English Word	Valence	Arousal	Dominance	Azerbaijani Word
jib	0.406	0.420	0.413	jib
jiff	0.576	0.404	0.349	jiff
jiffy	0.410	0.444	0.380	jiffy
jig	0.531	0.396	0.357	jig
jiggle	0.592	0.673	0.518	titrəmək
jigsaw	0.594	0.582	0.519	Yapboz
jihad	0.323	0.660	0.444	cihad
jimmy	0.579	0.321	0.311	jimmy
jingle	0.635	0.500	0.424	cingilti
jinx	0.337	0.582	0.373	cinx
jitters	0.224	0.918	0.192	titrəyir
jittery	0.344	0.856	0.255	hirsli
jive	0.561	0.551	0.373	jive
job	0.694	0.541	0.717	iş
jobinterview	0.684	0.837	0.723	iş müsahibəsi
jock	0.592	0.656	0.473	oyuncaq
jockey	0.562	0.644	0.703	jokey
jockstrap	0.347	0.431	0.390	jockstrap
jog	0.510	0.708	0.519	qaçış
jogger	0.417	0.510	0.424	qaçışçı
john	0.562	0.382	0.327	John
join	0.729	0.479	0.684	qoşulun
joined	0.667	0.394	0.600	qoşuldu
joining	0.755	0.469	0.685	qoşulma
joint	0.615	0.392	0.566	birgə
jointly	0.708	0.425	0.602	birgə
joke	0.704	0.610	0.316	zarafat
joker	0.771	0.760	0.416	zarafatcıl
joking	0.776	0.839	0.407	zarafat
jolly	0.959	0.705	0.708	şən
jolt	0.365	0.708	0.358	sarsıntı
jornada	0.417	0.500	0.533	jornada
jot	0.406	0.323	0.350	nöqtə
jour	0.479	0.394	0.415	səyahət
journal	0.688	0.240	0.352	jurnal
journalism	0.622	0.500	0.684	jurnalistika
journalist	0.542	0.452	0.732	jurnalist
journalistic	0.696	0.449	0.495	jurnalist
journey	0.910	0.702	0.625	səyahət
journeyman	0.765	0.596	0.741	səyahətçi
joust	0.520	0.528	0.551	cırmaq
jovial	0.823	0.460	0.526	şən
joy	0.980	0.824	0.794	sevinc
joyful	0.990	0.740	0.667	şən
joyous	0.958	0.580	0.728	sevincli
joyride	0.694	0.550	0.500	sevindirici
joys	0.981	0.643	0.651	sevinclər
jubilant	0.844	0.673	0.664	şən
jubilee	0.916	0.500	0.579	yubiley
judge	0.510	0.604	0.857	hakim
judged	0.281	0.686	0.722	mühakimə etdi
judging	0.240	0.625	0.693	mühakimə
judgment	0.396	0.600	0.816	hökm
judgmental	0.330	0.602	0.579	mühakimə edən
judicial	0.378	0.667	0.833	məhkəmə
judiciary	0.439	0.740	0.897	məhkəmə
judicious	0.630	0.432	0.772	müdrik
judo	0.500	0.790	0.612	cüdo
jug	0.520	0.250	0.213	küp
juggle	0.594	0.760	0.426	hoqqabazlıq etmək
juggler	0.633	0.821	0.480	kəndirbaz
juggling	0.562	0.874	0.346	hoqqabazlıq
jugular	0.271	0.573	0.426	boyun
juice	0.776	0.281	0.352	şirəsi
juicer	0.552	0.520	0.564	şirəçəkən
juicy	0.823	0.529	0.490	şirəli
juju	0.541	0.519	0.206	juju
juke	0.500	0.491	0.410	zarafat
jukebox	0.699	0.540	0.429	musiqi qutusu
jumble	0.357	0.613	0.331	qarışıqlıq
jumbled	0.292	0.602	0.445	qarışıq
jumbo	0.680	0.552	0.447	jumbo
jump	0.625	0.865	0.611	tullanmaq
jump rope	0.656	0.660	0.368	ip atlama
jumper	0.615	0.336	0.481	jumper
jumpsuit	0.562	0.365	0.361	kombinezon
jumpy	0.353	0.810	0.216	ürkək
junction	0.490	0.481	0.364	qovşaq
juncture	0.365	0.582	0.491	qovşağı
jungle	0.500	0.510	0.481	cəngəllik
junior	0.635	0.343	0.304	kiçik
juniper	0.583	0.327	0.352	ardıc
junk	0.115	0.481	0.118	zibil
junket	0.490	0.519	0.386	zibil
junkie	0.135	0.860	0.363	aşiq
junky	0.385	0.595	0.343	zibil
junkyard	0.177	0.398	0.302	zibilxana
junta	0.451	0.503	0.704	xunta
juridical	0.520	0.431	0.873	hüquqi
jurisdiction	0.480	0.580	0.820	yurisdiksiya
jurisprudence	0.360	0.425	0.764	hüquq
jurist	0.479	0.523	0.713	hüquqşünas
juror	0.582	0.640	0.750	münsif
jury	0.479	0.607	0.789	münsiflər heyəti
justice	0.760	0.538	0.787	ədalət
justifiable	0.786	0.413	0.821	əsaslandırıla bilən
justification	0.622	0.444	0.661	əsaslandırma
justify	0.612	0.473	0.615	haqq qazandırmaq
juststop	0.417	0.379	0.364	sadəcə dayan
justthebeginning	0.573	0.451	0.481	yalnız başlanğıc
jute	0.551	0.216	0.295	jüt
juvenile	0.678	0.490	0.526	yeniyetmə
juxtaposition	0.427	0.500	0.460	üst-üstə düşmə
kaiser	0.470	0.509	0.690	kaiser
kale	0.469	0.226	0.411	kələm
kaleidoscope	0.615	0.439	0.580	kaleydoskop
kamikaze	0.204	0.810	0.645	kamikadze
kangaroo	0.716	0.333	0.301	kenquru
kanji	0.510	0.413	0.425	kanci
kappa	0.469	0.375	0.366	kappa
kaput	0.281	0.441	0.440	kaput
karaoke	0.763	0.649	0.342	karaoke
karate	0.562	0.833	0.598	karate
karma	0.500	0.510	0.537	karma
karmic	0.357	0.459	0.464	karmik
kayak	0.592	0.600	0.364	kayak
kazoo	0.503	0.462	0.411	kazoo
kebab	0.531	0.431	0.377	kabab
keel	0.344	0.417	0.419	keil
keen	0.823	0.719	0.806	iti
keep	0.714	0.296	0.547	saxlamaq
keeper	0.612	0.457	0.773	gözətçi
keeping	0.592	0.280	0.723	saxlamaq
keepsake	0.740	0.307	0.491	yadigar
keg	0.551	0.389	0.404	keg
kelp	0.479	0.264	0.213	kələm
ken	0.438	0.409	0.360	ken
kennel	0.430	0.480	0.406	itxana
kerchief	0.520	0.189	0.236	dəsmal
kern	0.438	0.420	0.449	kern
kernel	0.542	0.453	0.462	ləpə
kerosene	0.302	0.472	0.427	kerosin
ketchup	0.653	0.338	0.282	ketçup
kettle	0.357	0.497	0.333	çaydan
key	0.615	0.275	0.519	açar
keyboard	0.573	0.279	0.349	klaviatura
keyed	0.469	0.497	0.521	açarlı
keyhole	0.438	0.358	0.356	açar deliği
keynote	0.630	0.431	0.545	əsas söz
keypad	0.604	0.255	0.330	klaviatura
keystone	0.573	0.438	0.491	əsas daşı
keyword	0.602	0.520	0.747	açar söz
khaki	0.594	0.252	0.278	xaki
khan	0.463	0.476	0.529	xan
kibble	0.510	0.458	0.404	öpmək
kick	0.271	0.791	0.526	təpik
kickboxing	0.427	0.882	0.651	kikboksinq
kicker	0.427	0.711	0.614	zərbə vuran
kicking	0.327	0.802	0.510	təpikləmək
kickoff	0.583	0.600	0.629	başlanğıc
kid	0.760	0.453	0.298	uşaq
kidder	0.708	0.768	0.471	şaqqal
kidding	0.622	0.625	0.457	zarafat
kiddo	0.674	0.393	0.419	balaca
kiddos	0.500	0.480	0.342	uşaqlar
kidnap	0.032	0.923	0.535	qaçırmaq
kidnapped	0.044	0.923	0.455	qaçırıldı
kidnapper	0.115	0.906	0.618	qaçıran
kidnapping	0.094	0.880	0.561	adam oğurluğu
kidney	0.448	0.363	0.380	böyrək
kids	0.837	0.500	0.417	uşaqlar
kill	0.052	0.941	0.736	öldürmək
killer	0.041	0.971	0.543	qatil
killing	0.080	0.959	0.696	öldürmək
killjoy	0.178	0.550	0.324	killjoy
kiln	0.451	0.423	0.414	soba
kilo	0.438	0.358	0.461	kilo
kilogram	0.510	0.260	0.455	kiloqram
kilometer	0.490	0.439	0.485	kilometr
kilt	0.448	0.346	0.348	kilt
kimono	0.643	0.280	0.363	kimono
kin	0.543	0.441	0.457	qohum
kind	0.918	0.240	0.618	mehriban
kindergarten	0.833	0.462	0.308	uşaq bağçası
kindling	0.520	0.651	0.421	alovlanma
kindness	0.938	0.350	0.508	mehribanlıq
kindred	0.760	0.418	0.517	qohum
kinematics	0.594	0.480	0.614	kinematika
kinesiology	0.491	0.480	0.633	kinesiologiya
kinetic	0.582	0.540	0.537	kinetik
king	0.677	0.690	0.892	kral
king snake	0.458	0.835	0.647	kral ilan
kingdom	0.714	0.547	0.910	səltənət
kingpin	0.357	0.626	0.642	kingpin
kink	0.337	0.634	0.321	bükülmə
kinky	0.449	0.558	0.361	kinky
kinship	0.771	0.300	0.652	qohumluq
kiosk	0.500	0.286	0.321	köşk
kirk	0.510	0.390	0.388	kirk
kiss	0.967	0.813	0.630	öpmək
kisser	0.844	0.682	0.618	öpüşən
kissy	0.874	0.684	0.402	öpüşmək
kit	0.583	0.344	0.420	dəsti
kitchen	0.700	0.234	0.398	mətbəx
kite	0.643	0.500	0.573	uçurtma
kitten	0.816	0.343	0.260	pişik
kiwi	0.646	0.273	0.282	kivi
klutz	0.275	0.451	0.356	klutz
knack	0.562	0.518	0.820	bacarıq
knapsack	0.551	0.317	0.268	çanta
knead	0.490	0.457	0.345	yoğurmaq
knee	0.520	0.245	0.396	diz
kneecap	0.427	0.360	0.440	diz qapağı
kneel	0.426	0.417	0.217	diz çökmək
kneeling	0.245	0.435	0.144	diz çökərək
knell	0.354	0.500	0.377	diz çökmək
knick	0.480	0.509	0.420	döymək
knickers	0.552	0.428	0.328	knickers
knife	0.344	0.717	0.573	bıçaq
knight	0.780	0.441	0.835	cəngavər
knighthood	0.740	0.660	0.769	cəngavərlik
knit	0.630	0.144	0.295	örgü
knob	0.340	0.360	0.272	düymə
knock	0.312	0.531	0.527	döymək
knockoff	0.350	0.606	0.240	nokaf
knockout	0.388	0.755	0.664	nokaut
knoll	0.434	0.347	0.333	knoll
knot	0.541	0.221	0.408	düyün
knots	0.418	0.346	0.267	düyünlər
knotted	0.226	0.412	0.294	düyünlü
know	0.765	0.361	0.704	bilmək
knowing	0.833	0.353	0.658	bilmək
knowingly	0.500	0.459	0.481	bilərəkdən
knowledge	0.847	0.430	0.896	bilik
knowledgeable	0.865	0.455	0.971	bilikli
knuckle	0.655	0.333	0.393	düyün
knucklehead	0.157	0.485	0.288	düyünbaşı
knuckles	0.271	0.461	0.320	düyünlər
koala	0.608	0.210	0.311	koala
kook	0.417	0.471	0.398	kook
kooky	0.418	0.582	0.366	kooky
kool-aid	0.531	0.318	0.393	cool yardım
kos	0.500	0.471	0.407	kos
kosher	0.469	0.443	0.312	kosher
kraut	0.388	0.500	0.390	kraut
kris	0.427	0.417	0.407	kris
kryptonite	0.306	0.690	0.588	kriptonit
kudos	0.925	0.587	0.642	sağol
kumquat	0.417	0.426	0.390	kumquat
lab	0.479	0.500	0.600	laboratoriya
label	0.582	0.245	0.423	etiket
labor	0.594	0.639	0.754	əmək
laboratory	0.571	0.490	0.537	laboratoriya
labored	0.646	0.451	0.637	zəhmət çəkdi
laborer	0.561	0.510	0.698	fəhlə
laboring	0.705	0.644	0.737	zəhmətkeş
laborious	0.393	0.635	0.709	zəhmətkeş
labyrinth	0.479	0.811	0.491	labirint
lac	0.408	0.418	0.331	lak
lace	0.625	0.200	0.293	krujeva
laceration	0.143	0.667	0.443	yırtıq
lack	0.250	0.365	0.242	çatışmazlığı
lackey	0.260	0.510	0.166	lanet
lacking	0.229	0.375	0.121	çatışmayan
lackluster	0.250	0.311	0.264	cansız
lacquer	0.510	0.353	0.258	lak
lacrosse	0.573	0.656	0.509	lakros
lactose	0.479	0.290	0.433	laktoza
lad	0.637	0.388	0.336	oğlan
ladder	0.560	0.438	0.358	nərdivan
laddie	0.668	0.539	0.391	xanım
laden	0.392	0.478	0.554	yüklü
lading	0.388	0.463	0.409	yük
ladle	0.531	0.368	0.352	çömçə
lady	0.854	0.481	0.602	xanım
lady bug	0.490	0.434	0.381	xanım böcək
ladybug	0.602	0.400	0.224	ladybug
ladylike	0.592	0.559	0.538	xanım kimi
ladyship	0.561	0.480	0.822	xanımlıq
lag	0.220	0.375	0.246	gecikmə
lager	0.584	0.480	0.353	lager
lagging	0.135	0.538	0.277	geriləmə
lagoon	0.660	0.231	0.373	laqon
lair	0.469	0.438	0.392	yuva
laity	0.510	0.320	0.487	dinsiz
lake	0.694	0.196	0.425	göl
lama	0.560	0.320	0.400	lama
lamb	0.646	0.284	0.321	quzu
lame	0.145	0.410	0.217	axsaq
lament	0.198	0.398	0.352	mərsiyə
lamenting	0.156	0.390	0.254	ağlayır
lamina	0.510	0.314	0.408	lamina
laminated	0.417	0.304	0.373	laminatlı
lamp	0.510	0.260	0.309	lampa
lamppost	0.420	0.337	0.455	işıq dirəyi
lance	0.406	0.620	0.587	lans
lancer	0.417	0.528	0.519	lancer
land	0.582	0.260	0.616	torpaq
landed	0.709	0.620	0.480	endi
landfall	0.521	0.434	0.407	quruya düşmə
landfill	0.398	0.423	0.324	poliqon
landing	0.552	0.696	0.596	eniş
landlady	0.677	0.303	0.417	ev sahibəsi
landlocked	0.280	0.391	0.367	dənizə çıxışı olmayan
landlord	0.684	0.500	0.858	mülkədar
landmark	0.694	0.355	0.681	əlamətdar
lands	0.594	0.280	0.492	torpaqlar
landscape	0.719	0.176	0.423	mənzərə
landscaping	0.823	0.379	0.519	abadlıq
landslide	0.250	0.864	0.530	sürüşmə
lane	0.449	0.490	0.451	zolaq
language	0.677	0.337	0.704	dil
languid	0.281	0.270	0.283	tənbəl
languish	0.235	0.408	0.382	yormaq
languishing	0.308	0.459	0.353	zəifləyən
lanky	0.412	0.426	0.370	cılız
lantern	0.622	0.250	0.243	fənər
lap	0.583	0.510	0.412	dövrə
lapdog	0.388	0.490	0.269	qucaq köpək
lapel	0.460	0.287	0.288	yaxa
lapse	0.420	0.316	0.281	fasilə
lapsed	0.357	0.333	0.276	keçdi
laptop	0.724	0.270	0.519	noutbuk
larceny	0.272	0.821	0.454	oğurluq
lard	0.427	0.239	0.179	donuz yağı
larder	0.656	0.290	0.509	kiler
large	0.704	0.565	0.736	böyük
larger	0.729	0.654	0.763	daha böyük
largo	0.521	0.480	0.517	larqo
lark	0.570	0.292	0.352	lark
larva	0.245	0.423	0.254	sürfə
laryngitis	0.125	0.500	0.370	laringit
larynx	0.460	0.420	0.402	qırtlaq
lasagna	0.719	0.441	0.396	lazanya
laser	0.469	0.531	0.769	lazer
lash	0.235	0.794	0.609	kirpik
lass	0.656	0.536	0.433	qız
lasso	0.438	0.460	0.339	kəmənd
lastday	0.309	0.580	0.463	keçən gün
lasting	0.804	0.535	0.745	Uzunmüddətli
lastminute	0.418	0.582	0.385	son dəqiqə
latch	0.395	0.263	0.288	mandal
late	0.245	0.358	0.315	gec
lateness	0.214	0.388	0.343	gecikmə
latent	0.469	0.500	0.653	gizli
lateral	0.469	0.370	0.322	yanal
laterally	0.562	0.255	0.450	yanal
latex	0.479	0.413	0.325	lateks
lathe	0.510	0.450	0.425	torna
lather	0.635	0.327	0.313	köpük
latitude	0.562	0.306	0.490	enlik
latrine	0.380	0.353	0.176	tualet
latrines	0.214	0.462	0.267	tualetlər
latte	0.615	0.320	0.311	latte
lattice	0.406	0.420	0.349	qəfəs
laud	0.493	0.427	0.383	tərifləmək
laudable	0.740	0.472	0.682	təqdirəlayiq
laudation	0.542	0.547	0.623	təriflər
laudatory	0.612	0.417	0.450	tərifləyici
laugh	0.980	0.639	0.587	gülmək
laughable	0.592	0.627	0.298	gülməli
laughing	0.906	0.596	0.534	gülür
laughingstock	0.427	0.779	0.312	gülüş
laughs	0.812	0.846	0.425	gülür
laughter	0.959	0.654	0.588	gülüş
launch	0.684	0.814	0.598	işə salmaq
launcher	0.677	0.745	0.808	başlatma qurğusu
launches	0.490	0.663	0.602	işə salır
launder	0.479	0.450	0.349	yumaq
laundering	0.439	0.327	0.444	yuyulma
laundry	0.644	0.292	0.377	camaşırxana
laureate	0.724	0.402	0.702	laureatı
laurel	0.646	0.146	0.302	dəfnə
laurels	0.684	0.279	0.545	dəfnə
lava	0.280	0.539	0.615	lava
lavage	0.615	0.467	0.361	yuyulmaq
lavatory	0.510	0.400	0.259	tualet
lavender	0.812	0.198	0.388	lavanda
lavish	0.792	0.648	0.730	təmtəraqlı
law	0.740	0.590	0.815	qanun
lawful	0.660	0.394	0.780	qanuni
lawless	0.219	0.690	0.420	qanunsuz
lawlessness	0.156	0.804	0.509	qanunsuzluq
lawman	0.510	0.523	0.786	qanunçu
lawn	0.686	0.153	0.192	qazon
lawnmower	0.480	0.531	0.355	otbiçən
lawsuit	0.219	0.794	0.611	iddia
lawyer	0.521	0.569	0.784	hüquqşünas
lax	0.430	0.401	0.300	lax
laxative	0.271	0.550	0.528	laksatif
lay	0.521	0.336	0.491	yatmaq
layaway	0.429	0.510	0.451	yaltaq
layer	0.500	0.208	0.366	qat
layered	0.571	0.306	0.436	laylı
layman	0.531	0.339	0.424	layman
layout	0.615	0.442	0.557	layout
layover	0.520	0.355	0.500	istirahət
laziness	0.271	0.240	0.132	tənbəllik
lazy	0.392	0.264	0.096	tənbəl
lazyday	0.337	0.319	0.145	tənbəl gün
lea	0.583	0.294	0.358	lea
lead	0.323	0.657	0.455	aparıcı
leaded	0.439	0.625	0.595	rəhbərlik etmişdir
leader	0.833	0.582	0.926	lider
leadership	0.870	0.690	0.983	liderlik
leading	0.823	0.698	0.954	aparıcı
leads	0.530	0.471	0.615	aparır
leaf	0.583	0.156	0.294	yarpaq
leaflet	0.490	0.206	0.375	vərəqə
leafy	0.653	0.530	0.700	yarpaqlı
league	0.656	0.340	0.462	liqa
leak	0.378	0.833	0.520	sızma
leakage	0.188	0.731	0.528	sızma
leaky	0.170	0.686	0.288	sızan
lean	0.734	0.353	0.438	arıq
leaned	0.570	0.373	0.490	əyildi
leaning	0.480	0.409	0.352	meyl
leap	0.750	0.663	0.667	sıçrayış
learn	0.833	0.643	0.829	öyrənmək
learned	0.704	0.462	0.543	öyrəndi
learner	0.698	0.475	0.398	öyrənən
learning	0.833	0.588	0.574	öyrənmək
lease	0.520	0.463	0.545	icarəyə götürmək
leash	0.320	0.347	0.427	qarışqa
leather	0.510	0.324	0.341	dəri
leathery	0.418	0.471	0.411	dərili
leave	0.375	0.315	0.295	buraxmaq
leavemealone	0.240	0.472	0.402	məni yalnız burax
leaving	0.163	0.542	0.371	tərk edir
lecherous	0.135	0.704	0.376	alçaq
lecture	0.594	0.462	0.737	mühazirə
lecturer	0.677	0.549	0.736	müəllim
ledge	0.406	0.235	0.339	çıxıntı
ledger	0.510	0.362	0.609	dəftər
lee	0.510	0.269	0.296	lee
leech	0.250	0.623	0.268	zəli
leeches	0.115	0.698	0.295	zəlilər
leer	0.612	0.348	0.509	laqeyd
leery	0.337	0.640	0.410	təvazökar
lees	0.360	0.567	0.406	lees
leeway	0.562	0.577	0.569	boşluq
left	0.354	0.370	0.361	sol
leftout	0.229	0.365	0.245	qalıb
leftover	0.490	0.460	0.222	qalıq
leftovers	0.219	0.350	0.116	qalıqlar
lefty	0.490	0.406	0.379	solaxay
leg	0.510	0.373	0.313	ayaq
legacy	0.792	0.529	0.827	miras
legal	0.653	0.387	0.887	qanuni
legality	0.765	0.343	0.713	qanunilik
legalize	0.510	0.460	0.818	qanuniləşdirmək
legalized	0.760	0.440	0.855	qanuniləşdirilib
legally	0.771	0.482	0.842	qanuni olaraq
legend	0.837	0.519	0.750	əfsanə
legendary	0.857	0.537	0.863	əfsanəvi
legibility	0.771	0.481	0.580	oxunaqlılıq
legible	0.673	0.279	0.509	oxunaqlı
legion	0.469	0.570	0.852	legion
legislate	0.571	0.582	0.736	qanunvericilik
legislation	0.531	0.418	0.808	qanunvericilik
legislative	0.633	0.365	0.800	qanunvericilik
legislator	0.490	0.580	0.877	qanunverici
legislature	0.540	0.435	0.698	qanunverici orqan
legit	0.747	0.427	0.849	qanuni
legitimacy	0.823	0.420	0.855	qanunilik
legitimate	0.792	0.363	0.841	qanuni
lego	0.600	0.294	0.189	lego
legs	0.479	0.407	0.228	ayaqları
legume	0.520	0.302	0.465	paxlalı
legwork	0.622	0.560	0.509	ayaq işi
leisure	0.631	0.429	0.421	asudə
leisurely	0.806	0.250	0.367	yavaş-yavaş
lemma	0.530	0.284	0.391	lemma
lemon	0.596	0.317	0.316	limon
lemonade	0.661	0.287	0.412	limonad
lend	0.520	0.461	0.508	borc vermək
lender	0.340	0.520	0.703	borc verən
lending	0.510	0.585	0.462	borc vermək
length	0.479	0.308	0.533	uzunluq
lengthen	0.619	0.481	0.566	uzatmaq
lengthened	0.448	0.530	0.474	uzadılıb
lengthening	0.673	0.530	0.528	uzadılması
lengthwise	0.571	0.470	0.528	uzununa
lengthy	0.570	0.342	0.528	uzun
leniency	0.517	0.436	0.545	yumşaqlıq
lenient	0.520	0.451	0.340	yumşaq
lens	0.420	0.245	0.472	obyektiv
leopard	0.542	0.755	0.611	bəbir
leotard	0.510	0.429	0.391	leotard
leper	0.075	0.589	0.206	cüzamlı
leprechaun	0.417	0.480	0.417	leprechaun
leprosy	0.130	0.670	0.349	cüzam
lesion	0.240	0.623	0.361	lezyon
less	0.265	0.240	0.115	az
lessee	0.417	0.474	0.595	icarəçi
lessen	0.235	0.284	0.255	azaltmaq
lessening	0.375	0.300	0.277	azaldılması
lesser	0.396	0.167	0.211	az
lesson	0.704	0.577	0.593	dərs
lessor	0.552	0.490	0.623	icarəyə verən
let	0.427	0.373	0.307	qoy
lethal	0.156	0.800	0.745	öldürücü
lethargic	0.214	0.245	0.375	letargik
lethargy	0.194	0.302	0.316	letarji
letter	0.635	0.279	0.342	məktub
lettered	0.542	0.361	0.482	hərfli
letterhead	0.450	0.316	0.462	blank
lettering	0.541	0.180	0.431	yazı
letters	0.663	0.327	0.364	məktublar
lettuce	0.594	0.163	0.291	kahı
leukemia	0.094	0.572	0.351	leykemiya
levee	0.520	0.324	0.490	leve
level	0.622	0.277	0.491	səviyyə
lever	0.400	0.343	0.402	rıçaq
leverage	0.459	0.500	0.629	rıçaq
levitate	0.561	0.598	0.551	havaya qalxmaq
levy	0.438	0.420	0.491	rüsum
lewd	0.188	0.673	0.412	əxlaqsız
lexicon	0.561	0.463	0.615	leksikon
ley	0.604	0.389	0.764	ley
liabilities	0.429	0.608	0.694	öhdəliklər
liability	0.646	0.500	0.802	məsuliyyət
liable	0.656	0.519	0.821	məsuliyyət daşıyır
liaison	0.698	0.337	0.472	əlaqə
liar	0.042	0.606	0.339	yalançı
libel	0.128	0.694	0.403	böhtan atmaq
libelous	0.125	0.735	0.436	böhtançı
liberal	0.565	0.565	0.755	liberal
liberalism	0.562	0.712	0.750	liberalizm
liberate	0.760	0.632	0.708	azad etmək
liberated	0.780	0.630	0.683	azad etdi
liberating	0.915	0.620	0.745	azad edən
liberation	0.745	0.614	0.857	qurtuluş
liberty	0.938	0.579	0.836	azadlıq
libido	0.770	0.602	0.571	libido
librarian	0.625	0.135	0.509	kitabxanaçı
library	0.776	0.122	0.549	kitabxana
libretto	0.612	0.328	0.406	libretto
lice	0.133	0.500	0.194	bit
license	0.500	0.394	0.702	lisenziya
lichen	0.418	0.388	0.463	liken
lick	0.470	0.482	0.330	yalamaq
licorice	0.677	0.310	0.400	biyan kökü
lid	0.490	0.189	0.255	qapaq
lie	0.130	0.725	0.272	yalan
liege	0.479	0.426	0.452	liege
lien	0.396	0.580	0.441	girov
lieu	0.427	0.410	0.312	əvəzinə
lieutenant	0.594	0.612	0.920	leytenant
life	0.918	0.615	0.824	həyat
lifeblood	0.673	0.690	0.708	həyat qanı
lifeboat	0.724	0.425	0.533	xilasedici qayıq
lifeguard	0.870	0.606	0.786	xilasedici
lifeisgood	0.812	0.575	0.611	həyat yaxşıdır
lifeless	0.042	0.333	0.163	cansız
lifelike	0.776	0.567	0.765	canlı
lifeline	0.735	0.552	0.496	həyat xətti
lifelong	0.823	0.330	0.640	ömür boyu
lifer	0.427	0.519	0.398	ömürlük məhbus
lifesaver	0.908	0.745	0.703	xilaskar
lifestyle	0.750	0.472	0.645	həyat tərzi
lifesucks	0.167	0.637	0.377	cansızdır
lifetime	0.816	0.559	0.736	ömür boyu
lift	0.704	0.518	0.656	qaldır
lifted	0.714	0.441	0.657	qaldırıldı
liftoff	0.531	0.667	0.588	qalxmaq
ligament	0.490	0.410	0.510	bağ
ligation	0.344	0.423	0.396	bağlama
ligature	0.478	0.430	0.447	liqatura
light	0.771	0.320	0.519	işıq
light year	0.719	0.425	0.593	işıq ili
lightbulb	0.573	0.255	0.302	lampa
lighten	0.688	0.438	0.362	yüngülləşdirmək
lightheaded	0.347	0.620	0.255	yüngül başlı
lighthouse	0.622	0.240	0.510	mayak
lighting	0.765	0.440	0.750	işıqlandırma
lightness	0.794	0.360	0.526	yüngüllük
lightning	0.429	0.683	0.595	ildırım
lights	0.750	0.480	0.575	işıqlar
lightweight	0.670	0.300	0.358	yüngül
likable	0.865	0.480	0.663	sevimli
like	0.719	0.353	0.446	kimi
likelihood	0.760	0.469	0.542	ehtimal
likely	0.633	0.356	0.454	ehtimal
likeness	0.688	0.410	0.561	oxşarlıq
likewise	0.651	0.217	0.312	eynilə
liking	0.963	0.604	0.589	bəyənmə
lilac	0.688	0.180	0.357	yasəmən
lily	0.640	0.245	0.263	zanbaq
limb	0.510	0.397	0.427	əza
limber	0.688	0.729	0.673	limber
limbo	0.385	0.284	0.309	limbo
lime	0.594	0.240	0.415	əhəng
limelight	0.667	0.639	0.694	diqqət mərkəzində
limestone	0.602	0.323	0.381	əhəngdaşı
limey	0.469	0.347	0.415	əhəng
limit	0.427	0.453	0.500	limit
limitation	0.190	0.431	0.225	məhdudiyyət
limited	0.229	0.273	0.380	məhduddur
limitless	0.688	0.574	0.655	sərhədsiz
limo	0.760	0.367	0.667	limuzin
limousine	0.638	0.531	0.640	limuzin
limp	0.393	0.440	0.172	axsamaq
lin	0.416	0.362	0.343	lin
line	0.541	0.180	0.353	xətt
lineage	0.633	0.465	0.721	nəsil
lineal	0.521	0.170	0.474	xətti
linear	0.646	0.250	0.472	xətti
linebacker	0.490	0.660	0.543	müdafiəçi
lined	0.438	0.367	0.424	astarlı
linen	0.656	0.323	0.286	kətan
liner	0.469	0.396	0.400	layner
lines	0.542	0.317	0.330	xətlər
lineup	0.635	0.427	0.638	sıra
linger	0.480	0.311	0.412	uzanmaq
lingerie	0.543	0.463	0.308	alt paltarı
lingering	0.630	0.643	0.667	uzanan
lingo	0.448	0.364	0.447	dil
lingual	0.500	0.457	0.315	dilli
linguini	0.625	0.338	0.355	linguini
linguist	0.583	0.330	0.634	dilçi
linguistic	0.646	0.351	0.618	Dilçilik
linguistics	0.552	0.390	0.618	dilçilik
lining	0.571	0.363	0.472	astar
link	0.427	0.264	0.491	keçid
linoleum	0.510	0.378	0.402	linoleum
lint	0.388	0.173	0.214	tüy
lion	0.532	0.717	0.682	aslan
lip	0.541	0.348	0.443	dodaq
liposuction	0.292	0.684	0.464	liposaksiya
lipstick	0.653	0.429	0.306	pomada
liquefaction	0.449	0.622	0.535	mayeləşmə
liquefied	0.562	0.463	0.342	mayeləşdirilmiş
liqueur	0.670	0.612	0.389	likör
liquid	0.562	0.235	0.307	maye
liquidate	0.327	0.654	0.664	ləğv etmək
liquidation	0.417	0.625	0.649	ləğvetmə
liquidator	0.354	0.663	0.750	ləğvedici
liquidity	0.688	0.529	0.534	likvidlik
liquor	0.603	0.702	0.433	içki
lira	0.530	0.255	0.370	lirə
lisp	0.365	0.412	0.288	lip
list	0.528	0.260	0.402	siyahı
listen	0.771	0.360	0.445	dinləmək
listener	0.667	0.375	0.403	dinləyici
listenting	0.640	0.377	0.491	dinləmək
listing	0.438	0.273	0.432	siyahı
listless	0.219	0.350	0.231	diqqətsiz
listneing	0.531	0.370	0.433	dinləmək
litany	0.510	0.365	0.482	litaniya
liter	0.573	0.208	0.382	litr
literacy	0.730	0.306	0.638	savadlılıq
literal	0.570	0.353	0.574	hərfi
literally	0.571	0.353	0.673	eynən
literary	0.719	0.324	0.667	ədəbi
literature	0.708	0.250	0.598	ədəbiyyat
lithe	0.656	0.596	0.602	elastik
lithium	0.417	0.330	0.430	litium
lithograph	0.551	0.327	0.481	litoqrafiya
lithography	0.561	0.346	0.473	litoqrafiya
