English Word	Valence	Arousal	Dominance	Icelandic Word
illumination	0.760	0.588	0.537	lýsingu
illuminator	0.770	0.566	0.718	ljósgjafa
illusion	0.562	0.490	0.387	blekking
illustrate	0.750	0.430	0.690	sýna
illustration	0.740	0.441	0.640	mynd
illustrative	0.771	0.452	0.647	lýsandi
illustrious	0.673	0.550	0.741	glæsilegur
ilovechristmas	0.885	0.590	0.525	elska jólin
iloveher	0.750	0.519	0.556	ég elska hana
image	0.653	0.241	0.453	mynd
imagery	0.653	0.327	0.390	myndmál
imaginable	0.613	0.529	0.596	hægt að hugsa sér
imaginary	0.560	0.424	0.310	ímyndaða
imagination	0.802	0.491	0.547	ímyndunarafl
imaginative	0.780	0.541	0.593	hugmyndaríkur
imagine	0.759	0.480	0.587	ímynda sér
imagined	0.656	0.412	0.418	ímyndað sér
imaging	0.724	0.394	0.482	myndatöku
imagining	0.765	0.458	0.545	ímynda sér
imam	0.527	0.337	0.539	imam
imbalance	0.115	0.538	0.264	ójafnvægi
imbecile	0.082	0.569	0.260	fáviti
imbedded	0.406	0.580	0.562	innbyggður
imissyou	0.480	0.608	0.344	ég sakna þín
imitate	0.469	0.561	0.336	herma eftir
imitated	0.333	0.391	0.442	hermt eftir
imitation	0.406	0.592	0.343	eftirlíkingu
immaculate	0.698	0.330	0.688	flekklaus
immaterial	0.296	0.309	0.295	ómálefnalegt
immature	0.114	0.500	0.200	óþroskaður
immaturity	0.146	0.567	0.221	vanþroska
immeasurable	0.510	0.539	0.712	ómælt
immeasurably	0.510	0.640	0.680	ómælt
immediacy	0.635	0.630	0.627	strax
immediate	0.656	0.548	0.716	strax
immediately	0.552	0.780	0.707	strax
immemorial	0.327	0.469	0.454	aldamóta
immense	0.755	0.750	0.811	gríðarlegur
immerse	0.510	0.577	0.509	sökkva niður
immersion	0.510	0.556	0.564	niðurdýfing
immigrant	0.357	0.663	0.509	innflytjandi
immigration	0.390	0.667	0.454	innflytjenda
imminent	0.490	0.784	0.643	yfirvofandi
immobile	0.225	0.217	0.298	óhreyfanlegur
immoral	0.143	0.622	0.385	siðlaus
immorality	0.188	0.689	0.315	siðleysi
immortal	0.812	0.750	0.795	ódauðlegur
immortality	0.688	0.635	0.861	ódauðleika
immovable	0.480	0.310	0.571	óhreyfanlegt
immune	0.629	0.472	0.780	ónæmir
immunity	0.633	0.316	0.786	friðhelgi
immunization	0.667	0.510	0.733	ónæmisaðgerð
immutable	0.427	0.431	0.571	óbreytanleg
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	áhrif
impair	0.153	0.500	0.360	skerða
impaired	0.130	0.459	0.269	skert
impairment	0.170	0.571	0.220	skerðingu
impart	0.521	0.441	0.694	miðla
impartial	0.531	0.406	0.685	hlutlaus
impartiality	0.622	0.394	0.616	óhlutdrægni
impassable	0.342	0.458	0.553	ófært
impassioned	0.740	0.780	0.802	ástríðufullur
impatience	0.278	0.780	0.411	óþolinmæði
impatient	0.250	0.708	0.429	óþolinmóð
impatiently	0.194	0.750	0.539	óþolinmóð
impeach	0.208	0.776	0.664	ákæra
impeachment	0.163	0.735	0.694	ákæra
impeccable	0.833	0.370	0.824	óaðfinnanlegur
impede	0.271	0.510	0.604	hindra
impediment	0.163	0.600	0.409	hindrun
impelled	0.604	0.741	0.690	knúinn
impending	0.480	0.735	0.752	yfirvofandi
impenetrable	0.531	0.577	0.839	órjúfanlegur
imperative	0.625	0.647	0.708	ómissandi
imperceptible	0.378	0.490	0.548	ómerkjanlegur
imperfect	0.173	0.527	0.202	ófullkomið
imperfection	0.190	0.567	0.321	ófullkomleika
imperfectly	0.297	0.481	0.330	ófullkomið
imperial	0.669	0.646	0.922	heimsveldi
imperialist	0.284	0.786	0.833	heimsvaldastefnu
impermeable	0.510	0.308	0.558	ógegndræpi
impermissible	0.188	0.464	0.352	óheimilt
impersonal	0.316	0.356	0.472	ópersónulegt
impersonate	0.510	0.632	0.591	herma eftir
impersonation	0.375	0.618	0.528	eftirlíking
impersonator	0.469	0.586	0.406	eftirherma
impertinence	0.170	0.653	0.420	frekja
impertinent	0.219	0.826	0.373	óviðeigandi
impervious	0.582	0.408	0.536	ógegndræpi
impetuous	0.602	0.814	0.712	hvatvís
impetus	0.521	0.740	0.635	hvati
implacable	0.569	0.663	0.830	óbilandi
implant	0.429	0.510	0.588	ígræðslu
implantation	0.396	0.604	0.741	ígræðslu
implanted	0.347	0.500	0.679	ígrædd
implement	0.720	0.573	0.792	framkvæma
implicate	0.250	0.670	0.434	gefa í skyn
implicated	0.354	0.673	0.438	bendlaðir
implication	0.337	0.528	0.690	vísbending
implied	0.327	0.530	0.481	gefið í skyn
implore	0.396	0.650	0.377	biðja
implosion	0.412	0.724	0.547	sprenging
imply	0.542	0.670	0.533	gefa í skyn
impolite	0.167	0.590	0.282	ókurteisi
import	0.615	0.480	0.623	flytja inn
importance	0.750	0.580	0.864	mikilvægi
important	0.827	0.630	0.836	mikilvægt
importation	0.625	0.500	0.733	innflutning
impose	0.503	0.721	0.745	leggja á
imposing	0.392	0.731	0.836	þvingandi
imposition	0.357	0.604	0.618	álagningu
impossibility	0.170	0.625	0.306	ómöguleiki
impossible	0.153	0.510	0.407	ómögulegt
impostor	0.135	0.704	0.442	svikari
impotence	0.198	0.689	0.224	getuleysi
impotent	0.146	0.587	0.333	getulaus
impound	0.230	0.587	0.583	hald
impoverished	0.125	0.311	0.203	fátækur
impracticable	0.398	0.549	0.381	óframkvæmanlegt
impractical	0.160	0.373	0.291	óframkvæmanlegt
impregnable	0.378	0.549	0.667	óviðeigandi
impregnate	0.510	0.721	0.655	gegndreypa
impress	0.816	0.744	0.895	heilla
impressed	0.806	0.770	0.429	hrifinn
impression	0.684	0.557	0.577	áhrif
impressionable	0.827	0.720	0.645	áhrifamikið
impressive	0.781	0.830	0.873	áhrifamikill
imprint	0.615	0.574	0.685	áletrun
imprison	0.112	0.829	0.545	fangelsi
imprisoned	0.032	0.717	0.302	fangelsaðir
imprisonment	0.133	0.630	0.471	fangelsi
improbable	0.097	0.412	0.439	ólíklegt
impromptu	0.541	0.729	0.415	óundirbúið
improper	0.229	0.520	0.259	óviðeigandi
impropriety	0.133	0.591	0.389	óviðeigandi
improve	0.833	0.528	0.815	bæta
improved	0.919	0.480	0.679	bætt
improvement	0.786	0.500	0.611	framför
improves	0.929	0.625	0.727	bætir
improving	0.911	0.510	0.682	batnar
improvisation	0.631	0.812	0.529	spuni
improvise	0.646	0.650	0.519	spuna
improvised	0.610	0.673	0.443	spuna
imprudent	0.170	0.676	0.265	óvarlegt
impudence	0.214	0.500	0.472	frekju
impudent	0.302	0.604	0.462	frek
impulse	0.530	0.840	0.611	hvatvísi
impulsive	0.365	0.864	0.607	hvatvís
impunity	0.313	0.721	0.602	refsileysi
impure	0.260	0.560	0.208	óhreint
impurity	0.173	0.546	0.306	óhreinindi
imputation	0.333	0.654	0.621	álagningu
imtryingtosleep	0.438	0.363	0.385	er að reyna að sofa
inability	0.150	0.529	0.250	vanhæfni
inaccessible	0.083	0.585	0.446	óaðgengilegt
inaccurate	0.135	0.450	0.250	ónákvæmt
inaction	0.323	0.225	0.325	aðgerðaleysi
inactivate	0.245	0.240	0.415	óvirkja
inactivation	0.198	0.260	0.220	óvirkjun
inactive	0.271	0.167	0.159	óvirkt
inactivity	0.135	0.143	0.227	óvirkni
inadequacy	0.286	0.500	0.297	ófullnægjandi
inadequate	0.122	0.450	0.223	ófullnægjandi
inadequateness	0.240	0.529	0.316	ófullnægjandi
inadmissible	0.188	0.636	0.389	óheimilt
inadvertent	0.365	0.368	0.286	óviljandi
inadvertently	0.302	0.541	0.549	óvart
inaffable	0.388	0.518	0.455	óviðeigandi
inalienable	0.437	0.459	0.608	ófrávíkjanlegur
inane	0.271	0.350	0.268	geðveikt
inanimate	0.281	0.143	0.224	lífvana
inapplicable	0.281	0.402	0.330	óviðeigandi
inappropriate	0.135	0.542	0.353	óviðeigandi
inattention	0.208	0.433	0.188	athyglisbrest
inaudible	0.280	0.398	0.358	óheyrilegt
inaugural	0.684	0.567	0.608	vígslu
inaugurate	0.781	0.582	0.800	vígja
inauguration	0.847	0.712	0.769	vígsla
inborn	0.590	0.288	0.546	meðfæddur
inbound	0.531	0.388	0.538	á heimleið
inbred	0.397	0.520	0.473	innræktaður
incalculable	0.449	0.620	0.679	ómetanlegt
incandescent	0.354	0.612	0.621	glóandi
incantation	0.439	0.632	0.548	tálgun
incapable	0.156	0.529	0.155	ófær
incapacity	0.052	0.500	0.217	vanhæfni
incarceration	0.100	0.800	0.397	fangelsun
incarnate	0.552	0.651	0.593	holdgert
incase	0.580	0.196	0.365	incase
incendiary	0.281	0.810	0.598	íkveikju
incense	0.698	0.275	0.328	reykelsi
incensed	0.338	0.643	0.392	æxluð
incentive	0.812	0.618	0.718	hvatning
inception	0.604	0.425	0.561	upphaf
incessant	0.438	0.760	0.544	óstöðvandi
incessantly	0.417	0.765	0.606	endalaust
incest	0.073	0.853	0.491	sifjaspell
incestuous	0.188	0.736	0.442	sifjaspell
inch	0.481	0.327	0.300	tommu
incidence	0.417	0.527	0.429	tíðni
incident	0.084	0.662	0.482	atvik
incidental	0.281	0.610	0.404	tilfallandi
incidentally	0.479	0.500	0.500	tilviljun
incineration	0.229	0.787	0.470	brennslu
incinerator	0.250	0.643	0.591	brennsluofni
incipient	0.442	0.382	0.430	byrjandi
incision	0.240	0.663	0.558	skurður
incisive	0.380	0.602	0.545	skarpur
incite	0.449	0.736	0.642	hvetja til
incitement	0.302	0.943	0.598	hvatning
inclement	0.260	0.676	0.616	ömurlegt
inclination	0.378	0.490	0.538	Halli
incline	0.490	0.423	0.345	halla
inclined	0.469	0.347	0.402	hneigðist
include	0.729	0.449	0.702	fela í sér
included	0.760	0.402	0.570	innifalinn
including	0.700	0.378	0.518	þar á meðal
inclusion	0.774	0.404	0.712	þátttöku
inclusive	0.604	0.420	0.564	innifalið
incognito	0.610	0.490	0.446	huliðsleysi
incoherent	0.122	0.612	0.250	samhengislaus
income	0.750	0.510	0.728	tekjur
incoming	0.660	0.509	0.596	komandi
incomparable	0.625	0.577	0.670	óviðjafnanlegt
incompatible	0.196	0.500	0.310	ósamrýmanleg
incompetence	0.077	0.551	0.208	vanhæfni
incompetent	0.133	0.566	0.239	óhæfur
incomplete	0.153	0.370	0.205	ófullnægjandi
incompletely	0.344	0.442	0.232	ófullkomið
incompleteness	0.271	0.451	0.234	ófullnægjandi
incomprehensible	0.250	0.550	0.344	óskiljanlegt
inconceivable	0.198	0.552	0.561	óhugsandi
inconclusive	0.153	0.442	0.340	ófullnægjandi
incongruous	0.177	0.504	0.343	úr takt
inconsequential	0.250	0.480	0.345	ómarkviss
inconsiderate	0.224	0.519	0.423	tillitslaus
inconsistency	0.125	0.480	0.314	ósamræmi
inconsistent	0.271	0.431	0.295	ósamræmi
inconspicuous	0.604	0.214	0.368	lítt áberandi
incontinence	0.150	0.598	0.272	þvagleka
inconvenience	0.063	0.667	0.291	óþægindum
inconvenient	0.224	0.610	0.375	óþægilegt
incorporate	0.745	0.612	0.571	fella inn
incorporation	0.573	0.404	0.768	innlimun
incorrect	0.140	0.569	0.255	rangt
incorrigible	0.130	0.667	0.500	óforbetranlegur
increase	0.810	0.657	0.886	auka
increased	0.684	0.660	0.773	aukist
incredible	0.857	0.796	0.902	ótrúlegt
incredulous	0.286	0.510	0.269	vantrúaður
increment	0.684	0.637	0.750	hækkun
incriminate	0.188	0.810	0.416	sakfella
incriminating	0.133	0.788	0.500	saknæmandi
incrimination	0.152	0.865	0.545	sakfellingu
incubation	0.461	0.490	0.397	ræktun
incubator	0.510	0.435	0.405	útungunarvél
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	sitjandi
incur	0.312	0.667	0.495	verða fyrir
incurable	0.104	0.667	0.255	ólæknandi
incursion	0.552	0.830	0.719	innrás
indebted	0.138	0.698	0.275	skuldsett
indecency	0.135	0.670	0.491	ósvífni
indecent	0.083	0.683	0.240	ósæmilegt
indecision	0.184	0.480	0.196	óákveðni
indecisive	0.271	0.420	0.190	óákveðinn
indefensible	0.173	0.647	0.484	óforsvaranleg
indefinite	0.448	0.292	0.296	ótímabundið
indelible	0.490	0.337	0.591	óafmáanlegt
indemnification	0.521	0.490	0.770	skaðabætur
indemnify	0.449	0.548	0.613	skaðabóta
indemnity	0.470	0.607	0.692	skaðabætur
indent	0.479	0.346	0.379	inndráttur
indentation	0.374	0.500	0.349	inndráttur
indenture	0.434	0.382	0.636	inndrætti
independence	0.896	0.663	0.911	sjálfstæði
independent	0.885	0.440	0.872	óháð
indescribable	0.448	0.529	0.648	ólýsanlegt
indestructible	0.772	0.731	0.853	óslítandi
indeterminate	0.360	0.402	0.322	óákveðinn
index	0.448	0.268	0.342	vísitölu
indicate	0.594	0.350	0.676	gefa til kynna
indicating	0.745	0.339	0.555	gefur til kynna
indication	0.719	0.432	0.750	vísbending
indicative	0.510	0.510	0.591	leiðbeinandi
indicator	0.573	0.451	0.670	vísir
indice	0.469	0.377	0.541	vísitölu
indict	0.188	0.731	0.458	ákæra
indictment	0.245	0.745	0.577	ákæru
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	afskiptaleysi
indifferent	0.396	0.157	0.250	áhugalaus
indigenous	0.500	0.509	0.552	frumbyggja
indigent	0.156	0.481	0.223	fátækur
indigestion	0.204	0.610	0.182	meltingartruflanir
indignant	0.260	0.600	0.423	reiðilegur
indignation	0.173	0.778	0.431	reiði
indignity	0.167	0.500	0.306	óvirðing
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	óbeint
indiscreet	0.177	0.587	0.342	óhyggja
indiscretion	0.265	0.637	0.390	ráðleysi
indispensable	0.710	0.449	0.802	ómissandi
indisposed	0.122	0.519	0.206	óráðin
indistinct	0.255	0.340	0.360	ógreinilegt
indistinguishable	0.346	0.458	0.548	ógreinanlegur
individual	0.627	0.327	0.533	einstaklingur
individuality	0.612	0.469	0.527	einstaklingseinkenni
indivisible	0.646	0.398	0.580	óskiptanlegt
indoctrination	0.327	0.657	0.698	innrætingu
indolent	0.177	0.381	0.259	iðjulaus
indomitable	0.458	0.800	0.830	ódrepandi
indoor	0.615	0.245	0.347	innandyra
induce	0.257	0.606	0.684	framkalla
induced	0.397	0.471	0.491	framkallað
inducement	0.647	0.765	0.685	hvatningu
induction	0.392	0.593	0.627	innleiðing
indulge	0.833	0.716	0.669	láta undan
indulgence	0.479	0.490	0.517	eftirlátssemi
indulgent	0.560	0.481	0.529	eftirlátssamur
industrial	0.469	0.600	0.875	iðnaðar
industrialist	0.562	0.633	0.843	iðnaðarmaður
industrious	0.720	0.537	0.791	iðjusamur
industry	0.650	0.447	0.836	iðnaði
ineffable	0.551	0.577	0.585	ólýsanlegt
ineffective	0.093	0.422	0.094	árangurslaus
ineffectual	0.163	0.412	0.200	áhrifalaus
inefficiency	0.092	0.466	0.181	óhagkvæmni
inefficient	0.190	0.460	0.173	óhagkvæm
inelastic	0.396	0.426	0.385	óteygjanlegt
ineligible	0.143	0.377	0.457	óhæfur
inept	0.156	0.418	0.209	óhæfur
ineptitude	0.177	0.471	0.250	vanhæfni
inequality	0.122	0.575	0.259	misrétti
inequitable	0.281	0.519	0.373	óréttlátt
inert	0.323	0.180	0.319	óvirkur
inertia	0.344	0.288	0.322	tregðu
inevitable	0.316	0.419	0.623	óumflýjanlegt
inexact	0.153	0.459	0.170	ónákvæmt
inexcusable	0.271	0.582	0.546	óafsakanlegt
inexhaustible	0.602	0.541	0.643	óþrjótandi
inexpensive	0.694	0.414	0.260	ódýrt
inexperience	0.208	0.614	0.151	reynsluleysi
inexperienced	0.281	0.473	0.231	óreyndur
inexplicable	0.224	0.635	0.443	óútskýranlegt
inexpressible	0.198	0.608	0.364	ólýsanlegt
infallibility	0.583	0.663	0.764	óskeikulleiki
infallible	0.776	0.687	0.809	óskeikul
infamous	0.146	0.580	0.472	alræmdur
infamy	0.177	0.676	0.421	svívirðing
infancy	0.750	0.399	0.370	frumbernsku
infant	0.802	0.431	0.328	ungabarn
infanticide	0.167	0.856	0.443	barnamorð
infantile	0.604	0.382	0.259	ungmenni
infantry	0.531	0.684	0.791	fótgöngulið
infarct	0.080	0.846	0.386	infarct
infatuated	0.729	0.764	0.417	ástfanginn
infatuation	0.844	0.745	0.530	ástúð
infeasible	0.245	0.472	0.236	óframkvæmanlegt
infect	0.102	0.777	0.424	smita
infection	0.083	0.735	0.407	sýkingu
infectious	0.142	0.760	0.422	smitandi
infer	0.449	0.490	0.453	álykta
inference	0.359	0.479	0.398	ályktun
inferential	0.426	0.451	0.455	ályktun
inferior	0.260	0.254	0.106	óæðri
inferiority	0.177	0.430	0.205	minnimáttarkennd
infernal	0.083	0.837	0.571	helvítis
inferno	0.051	0.857	0.463	helvítis
infertile	0.274	0.458	0.255	ófrjór
infertility	0.170	0.664	0.328	ófrjósemi
infestation	0.256	0.776	0.527	sýkingu
infidel	0.177	0.740	0.404	vantrúaður
infidelity	0.062	0.777	0.392	óheilindi
infield	0.510	0.571	0.438	innviði
infiltrate	0.408	0.745	0.587	síast inn
infiltration	0.265	0.792	0.536	íferð
infinite	0.724	0.583	0.735	óendanlegt
infinitely	0.688	0.643	0.829	endalaust
infinitesimal	0.388	0.472	0.496	óendanlega lítið
infinity	0.516	0.459	0.805	óendanlegt
infirm	0.115	0.521	0.210	veikur
infirmary	0.500	0.438	0.517	sjúkradeild
infirmity	0.094	0.482	0.252	veikleika
inflammation	0.146	0.765	0.423	bólga
inflammatory	0.177	0.642	0.404	bólgueyðandi
inflatable	0.510	0.510	0.400	uppblásanlegur
inflate	0.305	0.569	0.462	blása upp
inflated	0.303	0.431	0.617	uppblásinn
inflation	0.219	0.792	0.508	verðbólgu
inflection	0.385	0.635	0.377	beygingar
inflict	0.167	0.760	0.609	valdið
infliction	0.302	0.722	0.571	afsökun
inflorescence	0.459	0.344	0.412	blómstrandi
influence	0.622	0.663	0.824	áhrif
influential	0.899	0.688	0.944	áhrifamikill
influenza	0.271	0.718	0.321	inflúensu
influx	0.622	0.635	0.575	innstreymi
info	0.750	0.330	0.642	upplýsingar
infomercial	0.427	0.462	0.555	upplýsingaauglýsing
inform	0.723	0.582	0.679	Tilkynna
informal	0.480	0.398	0.441	óformlegt
informant	0.604	0.612	0.719	uppljóstrari
information	0.765	0.370	0.711	upplýsingar
informative	0.812	0.419	0.741	upplýsandi
informed	0.543	0.298	0.617	upplýst
informer	0.521	0.578	0.580	uppljóstrari
infraction	0.245	0.660	0.471	brot
infrared	0.469	0.588	0.526	innrauða
infrastructure	0.604	0.460	0.694	innviði
infrequent	0.312	0.377	0.192	sjaldgæft
infrequently	0.204	0.250	0.327	sjaldan
infringement	0.153	0.800	0.481	brot
infuriate	0.102	0.934	0.596	reiði
infuriated	0.073	0.930	0.510	reiður
infuriates	0.135	0.913	0.627	pirrar
infuriating	0.139	0.870	0.509	pirrandi
infuse	0.380	0.705	0.589	innrennsli
infused	0.385	0.473	0.546	innrennsli
infuser	0.469	0.433	0.536	innrennsli
infusion	0.583	0.365	0.453	innrennsli
ingenious	0.760	0.690	0.891	sniðug
ingenuity	0.708	0.590	0.868	hugvitssemi
ingest	0.510	0.559	0.473	neyta
ingestion	0.429	0.612	0.512	inntaka
ingot	0.688	0.444	0.615	hleifur
ingrained	0.531	0.490	0.712	rótgróinn
ingrate	0.235	0.606	0.327	innrættur
ingredient	0.792	0.373	0.451	innihaldsefni
ingress	0.601	0.366	0.736	inngöngu
inhabit	0.656	0.378	0.556	búa
inhabitant	0.604	0.356	0.519	íbúa
inhabited	0.667	0.361	0.510	byggð
inhabiting	0.458	0.440	0.598	búa
inhalation	0.510	0.613	0.464	innöndun
inhale	0.427	0.340	0.492	anda að sér
inhaler	0.408	0.500	0.349	innöndunartæki
inherent	0.562	0.439	0.480	felst í
inherit	0.745	0.546	0.694	erfa
inheritance	0.900	0.565	0.798	arfleifð
inhibit	0.167	0.479	0.447	hamla
inhibition	0.265	0.392	0.534	hömlun
inhibitor	0.281	0.450	0.471	hemill
inhospitable	0.265	0.531	0.395	óviðkomandi
inhuman	0.107	0.660	0.492	ómanneskjulegt
inhumane	0.104	0.587	0.402	ómannúðlegt
inhumanity	0.143	0.540	0.405	ómannúð
inimaginable	0.542	0.636	0.534	óhugsandi
inimical	0.260	0.823	0.556	óviljandi
inimitable	0.571	0.413	0.790	óviðjafnanlegt
iniquity	0.219	0.567	0.425	ranglæti
initial	0.583	0.314	0.539	upphaflega
initiate	0.719	0.480	0.553	hefja
initiated	0.760	0.490	0.650	hafin
initiation	0.698	0.529	0.527	vígslu
initiative	0.833	0.615	0.768	frumkvæði
inject	0.406	0.735	0.596	sprauta
injection	0.281	0.741	0.518	innspýting
injunction	0.281	0.422	0.519	lögbann
injure	0.177	0.710	0.364	meiða
injured	0.083	0.680	0.302	slasaður
injuring	0.073	0.790	0.245	meiða
injurious	0.177	0.759	0.366	skaðleg
injury	0.049	0.769	0.287	meiðsli
injustice	0.082	0.755	0.444	óréttlæti
ink	0.471	0.408	0.235	blek
inkling	0.448	0.551	0.570	íhugun
inland	0.510	0.417	0.423	inn til landsins
inlay	0.406	0.531	0.565	innlegg
inlet	0.646	0.378	0.466	inntak
inmate	0.235	0.663	0.398	fangi
inn	0.660	0.284	0.475	gistiheimili
innards	0.302	0.480	0.400	innvortis
innate	0.490	0.400	0.521	meðfæddur
inner	0.551	0.216	0.443	innri
innermost	0.583	0.500	0.510	innsta
innerpeace	0.714	0.318	0.551	innri friður
inning	0.602	0.315	0.520	leikhluta
innings	0.573	0.487	0.443	leikhluti
innkeeper	0.578	0.224	0.472	gistihúseigandi
innocence	0.802	0.260	0.307	sakleysi
innocent	0.729	0.206	0.340	saklaus
innocently	0.776	0.250	0.302	sakleysislega
innocuous	0.510	0.321	0.172	saklaus
innovate	0.898	0.872	0.750	nýsköpun
innovation	0.949	0.680	0.890	nýsköpun
innovative	0.880	0.640	0.830	nýstárleg
innuendo	0.467	0.670	0.463	tilvitnun
innumerable	0.667	0.445	0.704	óteljandi
inoculation	0.333	0.570	0.598	sáningu
inoperable	0.184	0.422	0.304	óstarfhæft
inoperative	0.138	0.425	0.273	óstarfhæft
inordinate	0.163	0.630	0.330	óhóflegt
inorganic	0.385	0.345	0.282	ólífræn
input	0.643	0.337	0.527	inntak
inquest	0.458	0.569	0.721	rannsókn
inquire	0.583	0.519	0.363	spyrjast fyrir
inquirer	0.573	0.598	0.776	fyrirspyrjanda
inquiring	0.479	0.510	0.500	spyrjandi
inquiry	0.541	0.420	0.536	fyrirspurn
inquisitive	0.301	0.637	0.615	fróðleiksfús
inquisitor	0.385	0.873	0.642	inquisitor
insane	0.062	0.670	0.265	geðveikur
insanity	0.098	0.847	0.337	geðveiki
insatiable	0.375	0.656	0.558	óseðjandi
inscription	0.592	0.422	0.542	áletrun
inscrutable	0.459	0.541	0.613	órannsakanlegt
insect	0.276	0.633	0.242	skordýr
insecticide	0.188	0.598	0.430	skordýraeitur
insecure	0.114	0.538	0.132	óörugg
insecurity	0.094	0.647	0.350	óöryggi
insemination	0.542	0.644	0.622	sæðingar
insensitive	0.219	0.471	0.302	óviðeigandi
inseparable	0.700	0.520	0.571	óaðskiljanleg
insert	0.481	0.552	0.519	setja inn
inserted	0.479	0.402	0.476	sett inn
insertion	0.521	0.520	0.565	innsetning
inside	0.612	0.404	0.472	inni
insider	0.625	0.562	0.750	innherja
insidious	0.146	0.622	0.480	lúmsk
insight	0.613	0.363	0.649	innsýn
insightful	0.664	0.691	0.713	innsýn
insignia	0.665	0.282	0.685	merki
insignificance	0.250	0.216	0.222	ómerkilegt
insignificant	0.083	0.306	0.114	óveruleg
insinuate	0.292	0.635	0.413	gefa í skyn
insipid	0.214	0.250	0.241	fáránlegt
insist	0.635	0.651	0.688	heimta
insistence	0.418	0.704	0.645	þráhyggja
insistent	0.552	0.635	0.701	áleitinn
insists	0.490	0.587	0.610	fullyrðir
insolence	0.115	0.731	0.402	ósvífni
insolent	0.112	0.663	0.343	ósvífni
insoluble	0.439	0.290	0.414	óleysanlegt
insolvency	0.323	0.431	0.300	gjaldþrot
insolvent	0.230	0.481	0.318	gjaldþrota
insomnia	0.198	0.611	0.373	svefnleysi
insomniac	0.231	0.367	0.329	svefnleysi
inspect	0.479	0.603	0.793	skoða
inspection	0.459	0.630	0.718	skoðun
inspector	0.418	0.580	0.852	eftirlitsmaður
inspiration	0.938	0.600	0.779	innblástur
inspirational	0.927	0.720	0.810	hvetjandi
inspire	0.918	0.627	0.759	hvetja
inspired	0.967	0.702	0.736	innblástur
instability	0.177	0.760	0.353	óstöðugleiki
install	0.630	0.583	0.736	setja upp
installation	0.656	0.469	0.759	uppsetningu
installment	0.619	0.396	0.483	afborgun
instance	0.547	0.450	0.558	dæmi
instant	0.766	0.454	0.554	augnablik
instantaneous	0.750	0.500	0.585	samstundis
instantaneously	0.656	0.640	0.600	samstundis
instigate	0.278	0.765	0.642	hvetja til
instigation	0.323	0.769	0.648	hvatningu
instill	0.562	0.490	0.618	innræta
instinct	0.771	0.602	0.642	eðlishvöt
instinctive	0.752	0.575	0.694	eðlislæg
institute	0.604	0.480	0.807	stofnun
institution	0.580	0.311	0.790	stofnun
instruct	0.729	0.490	0.833	leiðbeina
instructed	0.740	0.388	0.722	leiðbeint
instruction	0.656	0.434	0.736	kennslu
instructional	0.698	0.500	0.773	fræðslu
instructions	0.582	0.302	0.556	leiðbeiningar
instructive	0.583	0.420	0.643	lærdómsríkt
instructor	0.771	0.490	0.782	leiðbeinandi
instrument	0.562	0.537	0.655	hljóðfæri
instrumental	0.740	0.472	0.647	hljóðfæraleikur
instrumentalist	0.656	0.540	0.740	hljóðfæraleikari
instrumentality	0.637	0.510	0.618	hljóðfæraleikur
insubordination	0.281	0.775	0.634	óhlýðni
insufferable	0.220	0.784	0.291	óþolandi
insufficiency	0.115	0.431	0.210	ófullnægjandi
insufficient	0.188	0.380	0.093	ófullnægjandi
insufficiently	0.147	0.509	0.198	ófullnægjandi
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	einangra
insulated	0.208	0.265	0.304	einangruð
insulation	0.245	0.327	0.264	einangrun
insulin	0.429	0.472	0.375	insúlín
insult	0.085	0.831	0.389	móðgun
insulting	0.094	0.840	0.412	móðgandi
insurance	0.714	0.308	0.825	tryggingar
insure	0.700	0.415	0.698	tryggja
insurgent	0.235	0.735	0.660	uppreisnarmaður
insurmountable	0.620	0.627	0.737	óyfirstíganlegt
insurrection	0.229	0.706	0.582	uppreisn
intact	0.716	0.212	0.602	ósnortinn
intake	0.604	0.527	0.442	inntaka
intangible	0.525	0.480	0.473	óáþreifanlegt
integer	0.573	0.327	0.595	heiltala
integral	0.590	0.337	0.615	óaðskiljanlegur
integrate	0.729	0.390	0.700	samþætta
integration	0.771	0.480	0.737	samþættingu
integrity	0.865	0.413	0.848	heilindi
intellect	0.844	0.418	0.870	vitsmuni
intellectual	0.906	0.455	0.845	vitsmunalegur
intelligence	0.833	0.587	0.885	upplýsingaöflun
intelligent	0.917	0.541	0.868	greindur
intelligibility	0.740	0.481	0.689	skiljanleika
intelligible	0.635	0.480	0.691	skiljanlegt
intend	0.562	0.520	0.519	ætla
intended	0.406	0.542	0.587	ætlað
intending	0.510	0.567	0.597	ætlar
intense	0.592	0.774	0.679	ákafur
intensely	0.694	0.846	0.750	ákaft
intensify	0.604	0.870	0.737	magnast
intensity	0.622	0.930	0.952	styrkleiki
intensive	0.570	0.842	0.776	ákafur
intent	0.550	0.481	0.500	ásetningur
intention	0.531	0.480	0.636	ásetningur
intentional	0.650	0.615	0.750	viljandi
intentionally	0.450	0.676	0.696	viljandi
inter	0.510	0.375	0.466	milli
