English Word	Valence	Arousal	Dominance	Romanian Word
improve	0.833	0.528	0.815	îmbunătăţi
improved	0.919	0.480	0.679	îmbunătățită
improvement	0.786	0.500	0.611	îmbunătăţire
improves	0.929	0.625	0.727	se îmbunătățește
improving	0.911	0.510	0.682	imbunatatirea
improvisation	0.631	0.812	0.529	improvizaţie
improvise	0.646	0.650	0.519	improviza
improvised	0.610	0.673	0.443	improvizat
imprudent	0.170	0.676	0.265	imprudent
impudence	0.214	0.500	0.472	obrăznicie
impudent	0.302	0.604	0.462	obrăznicie
impulse	0.530	0.840	0.611	impuls
impulsive	0.365	0.864	0.607	impulsiv
impunity	0.313	0.721	0.602	impunitate
impure	0.260	0.560	0.208	impur
impurity	0.173	0.546	0.306	impuritate
imputation	0.333	0.654	0.621	imputare
imtryingtosleep	0.438	0.363	0.385	incerc sa dorm
inability	0.150	0.529	0.250	incapacitatea
inaccessible	0.083	0.585	0.446	inaccesibil
inaccurate	0.135	0.450	0.250	inexacte
inaction	0.323	0.225	0.325	inacțiune
inactivate	0.245	0.240	0.415	inactiva
inactivation	0.198	0.260	0.220	inactivare
inactive	0.271	0.167	0.159	inactiv
inactivity	0.135	0.143	0.227	inactivitate
inadequacy	0.286	0.500	0.297	inadecvare
inadequate	0.122	0.450	0.223	inadecvat
inadequateness	0.240	0.529	0.316	inadecvare
inadmissible	0.188	0.636	0.389	inadmisibil
inadvertent	0.365	0.368	0.286	inadvertent
inadvertently	0.302	0.541	0.549	neatenție
inaffable	0.388	0.518	0.455	inafabil
inalienable	0.437	0.459	0.608	inalienabil
inane	0.271	0.350	0.268	nebunesc
inanimate	0.281	0.143	0.224	neînsufleţit
inapplicable	0.281	0.402	0.330	inaplicabil
inappropriate	0.135	0.542	0.353	nepotrivit
inattention	0.208	0.433	0.188	neatenţie
inaudible	0.280	0.398	0.358	inaudibil
inaugural	0.684	0.567	0.608	inaugural
inaugurate	0.781	0.582	0.800	inaugura
inauguration	0.847	0.712	0.769	inaugurare
inborn	0.590	0.288	0.546	înnăscut
inbound	0.531	0.388	0.538	intrare
inbred	0.397	0.520	0.473	consangvinizate
incalculable	0.449	0.620	0.679	incalculabil
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	incantaţie
incapable	0.156	0.529	0.155	incapabil
incapacity	0.052	0.500	0.217	incapacitate
incarceration	0.100	0.800	0.397	încarcerare
incarnate	0.552	0.651	0.593	întrupat
incase	0.580	0.196	0.365	in caz
incendiary	0.281	0.810	0.598	incendiar
incense	0.698	0.275	0.328	tămâia
incensed	0.338	0.643	0.392	infuriat
incentive	0.812	0.618	0.718	stimulent
inception	0.604	0.425	0.561	începutul
incessant	0.438	0.760	0.544	neîncetat
incessantly	0.417	0.765	0.606	necontenit
incest	0.073	0.853	0.491	incest
incestuous	0.188	0.736	0.442	incestuoasă
inch	0.481	0.327	0.300	inch
incidence	0.417	0.527	0.429	incidenţă
incident	0.084	0.662	0.482	incident
incidental	0.281	0.610	0.404	incidental
incidentally	0.479	0.500	0.500	întâmplător
incineration	0.229	0.787	0.470	incinerare
incinerator	0.250	0.643	0.591	incinerator
incipient	0.442	0.382	0.430	incipient
incision	0.240	0.663	0.558	incizie
incisive	0.380	0.602	0.545	incisiv
incite	0.449	0.736	0.642	incita
incitement	0.302	0.943	0.598	incitare
inclement	0.260	0.676	0.616	inclemente
inclination	0.378	0.490	0.538	înclinare
incline	0.490	0.423	0.345	înclinaţie
inclined	0.469	0.347	0.402	înclinat
include	0.729	0.449	0.702	include
included	0.760	0.402	0.570	inclus
including	0.700	0.378	0.518	inclusiv
inclusion	0.774	0.404	0.712	includere
inclusive	0.604	0.420	0.564	inclusiv
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	incoerent
income	0.750	0.510	0.728	sursa de venit
incoming	0.660	0.509	0.596	sosit
incomparable	0.625	0.577	0.670	incomparabil
incompatible	0.196	0.500	0.310	incompatibil
incompetence	0.077	0.551	0.208	incompetenţă
incompetent	0.133	0.566	0.239	incompetent
incomplete	0.153	0.370	0.205	incomplet
incompletely	0.344	0.442	0.232	incomplet
incompleteness	0.271	0.451	0.234	incompletitudinea
incomprehensible	0.250	0.550	0.344	de neînţeles
inconceivable	0.198	0.552	0.561	neconceput
inconclusive	0.153	0.442	0.340	neconcludente
incongruous	0.177	0.504	0.343	incongruente
inconsequential	0.250	0.480	0.345	nesemnificativ
inconsiderate	0.224	0.519	0.423	nechibzuit
inconsistency	0.125	0.480	0.314	inconsecvență
inconsistent	0.271	0.431	0.295	inconsecventă
inconspicuous	0.604	0.214	0.368	discretă
incontinence	0.150	0.598	0.272	incontinenţă
inconvenience	0.063	0.667	0.291	incomoda
inconvenient	0.224	0.610	0.375	incomod
incorporate	0.745	0.612	0.571	încorporează
incorporation	0.573	0.404	0.768	încorporare
incorrect	0.140	0.569	0.255	incorect
incorrigible	0.130	0.667	0.500	incorigibil
increase	0.810	0.657	0.886	crește
increased	0.684	0.660	0.773	a crescut
incredible	0.857	0.796	0.902	incredibil
incredulous	0.286	0.510	0.269	neîncrezător
increment	0.684	0.637	0.750	creştere
incriminate	0.188	0.810	0.416	incrimina
incriminating	0.133	0.788	0.500	incriminatoare
incrimination	0.152	0.865	0.545	incriminare
incubation	0.461	0.490	0.397	incubatie
incubator	0.510	0.435	0.405	incubator
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	titular
incur	0.312	0.667	0.495	suporta
incurable	0.104	0.667	0.255	incurabil
incursion	0.552	0.830	0.719	incursiune
indebted	0.138	0.698	0.275	îndatorat
indecency	0.135	0.670	0.491	indecenţă
indecent	0.083	0.683	0.240	indecent
indecision	0.184	0.480	0.196	indecizie
indecisive	0.271	0.420	0.190	nehotărâtă
indefensible	0.173	0.647	0.484	de neapărat
indefinite	0.448	0.292	0.296	nedefinită
indelible	0.490	0.337	0.591	de neșters
indemnification	0.521	0.490	0.770	despăgubiri
indemnify	0.449	0.548	0.613	despăgubi
indemnity	0.470	0.607	0.692	despăgubire
indent	0.479	0.346	0.379	indentare
indentation	0.374	0.500	0.349	indentare
indenture	0.434	0.382	0.636	contractul
independence	0.896	0.663	0.911	independenţă
independent	0.885	0.440	0.872	independent
indescribable	0.448	0.529	0.648	de nedescris
indestructible	0.772	0.731	0.853	indestructibil
indeterminate	0.360	0.402	0.322	nedeterminat
index	0.448	0.268	0.342	index
indicate	0.594	0.350	0.676	indica
indicating	0.745	0.339	0.555	indicând
indication	0.719	0.432	0.750	indicaţie
indicative	0.510	0.510	0.591	indicativ
indicator	0.573	0.451	0.670	indicator
indice	0.469	0.377	0.541	indice
indict	0.188	0.731	0.458	inculpat
indictment	0.245	0.745	0.577	rechizitoriu
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	indiferenţă
indifferent	0.396	0.157	0.250	indiferent
indigenous	0.500	0.509	0.552	indigenă
indigent	0.156	0.481	0.223	indigent
indigestion	0.204	0.610	0.182	indigestie
indignant	0.260	0.600	0.423	indignat
indignation	0.173	0.778	0.431	indignare
indignity	0.167	0.500	0.306	nedemnitate
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	indirect
indiscreet	0.177	0.587	0.342	indiscret
indiscretion	0.265	0.637	0.390	indiscreţie
indispensable	0.710	0.449	0.802	indispensabil
indisposed	0.122	0.519	0.206	indispus
indistinct	0.255	0.340	0.360	indistinct
indistinguishable	0.346	0.458	0.548	de nedistins
individual	0.627	0.327	0.533	individual
individuality	0.612	0.469	0.527	individualitate
indivisible	0.646	0.398	0.580	indivizibil
indoctrination	0.327	0.657	0.698	îndoctrinare
indolent	0.177	0.381	0.259	indolent
indomitable	0.458	0.800	0.830	îndărătnic
indoor	0.615	0.245	0.347	de interior
induce	0.257	0.606	0.684	induce
induced	0.397	0.471	0.491	induse
inducement	0.647	0.765	0.685	stimulent
induction	0.392	0.593	0.627	inducţie
indulge	0.833	0.716	0.669	rasfata
indulgence	0.479	0.490	0.517	indulgenţă
indulgent	0.560	0.481	0.529	indulgent
industrial	0.469	0.600	0.875	industrial
industrialist	0.562	0.633	0.843	industriaş
industrious	0.720	0.537	0.791	harnic
industry	0.650	0.447	0.836	industrie
ineffable	0.551	0.577	0.585	inefabil
ineffective	0.093	0.422	0.094	ineficient
ineffectual	0.163	0.412	0.200	ineficient
inefficiency	0.092	0.466	0.181	ineficienta
inefficient	0.190	0.460	0.173	ineficace
inelastic	0.396	0.426	0.385	neelastic
ineligible	0.143	0.377	0.457	neeligibile
inept	0.156	0.418	0.209	ineptă
ineptitude	0.177	0.471	0.250	ineptitudine
inequality	0.122	0.575	0.259	inegalitate
inequitable	0.281	0.519	0.373	inechitabil
inert	0.323	0.180	0.319	inert
inertia	0.344	0.288	0.322	inerţie
inevitable	0.316	0.419	0.623	inevitabil
inexact	0.153	0.459	0.170	inexact
inexcusable	0.271	0.582	0.546	de neiertat
inexhaustible	0.602	0.541	0.643	inepuizabil
inexpensive	0.694	0.414	0.260	ieftin
inexperience	0.208	0.614	0.151	lipsa de experiență
inexperienced	0.281	0.473	0.231	neexperimentat
inexplicable	0.224	0.635	0.443	inexplicabil
inexpressible	0.198	0.608	0.364	inexprimabil
infallibility	0.583	0.663	0.764	infailibilitate
infallible	0.776	0.687	0.809	infailibil
infamous	0.146	0.580	0.472	infam
infamy	0.177	0.676	0.421	infamie
infancy	0.750	0.399	0.370	pruncie
infant	0.802	0.431	0.328	copil
infanticide	0.167	0.856	0.443	infanticid
infantile	0.604	0.382	0.259	infantil
infantry	0.531	0.684	0.791	infanterie
infarct	0.080	0.846	0.386	infarct
infatuated	0.729	0.764	0.417	îndrăgostit nebuneşte
infatuation	0.844	0.745	0.530	infatuarea
infeasible	0.245	0.472	0.236	imposibil de fezabil
infect	0.102	0.777	0.424	infecta
infection	0.083	0.735	0.407	infecţie
infectious	0.142	0.760	0.422	infectioase
infer	0.449	0.490	0.453	deduce
inference	0.359	0.479	0.398	deducere
inferential	0.426	0.451	0.455	inferenţială
inferior	0.260	0.254	0.106	inferior
inferiority	0.177	0.430	0.205	inferioritate
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	infern
infertile	0.274	0.458	0.255	infertilă
infertility	0.170	0.664	0.328	infertilitate
infestation	0.256	0.776	0.527	infestare
infidel	0.177	0.740	0.404	necredincios
infidelity	0.062	0.777	0.392	infidelitate
infield	0.510	0.571	0.438	teren agricol
infiltrate	0.408	0.745	0.587	infiltrat
infiltration	0.265	0.792	0.536	infiltrare
infinite	0.724	0.583	0.735	infinit
infinitely	0.688	0.643	0.829	la infinit
infinitesimal	0.388	0.472	0.496	infinitezimal
infinity	0.516	0.459	0.805	infinit
infirm	0.115	0.521	0.210	infirma
infirmary	0.500	0.438	0.517	infirmerie
infirmity	0.094	0.482	0.252	neputinţă
inflammation	0.146	0.765	0.423	inflamaţie
inflammatory	0.177	0.642	0.404	inflamator
inflatable	0.510	0.510	0.400	gonflabil
inflate	0.305	0.569	0.462	umfla
inflated	0.303	0.431	0.617	umflat
inflation	0.219	0.792	0.508	inflatia
inflection	0.385	0.635	0.377	inflexiune
inflict	0.167	0.760	0.609	cauza
infliction	0.302	0.722	0.571	infligere
inflorescence	0.459	0.344	0.412	inflorescenţă
influence	0.622	0.663	0.824	influență
influential	0.899	0.688	0.944	influent
influenza	0.271	0.718	0.321	gripa
influx	0.622	0.635	0.575	aflux
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	reclamă
inform	0.723	0.582	0.679	informa
informal	0.480	0.398	0.441	informal
informant	0.604	0.612	0.719	informator
information	0.765	0.370	0.711	informație
informative	0.812	0.419	0.741	informativ
informed	0.543	0.298	0.617	informat
informer	0.521	0.578	0.580	informator
infraction	0.245	0.660	0.471	infractiune
infrared	0.469	0.588	0.526	infraroşu
infrastructure	0.604	0.460	0.694	infrastructură
infrequent	0.312	0.377	0.192	rareori
infrequently	0.204	0.250	0.327	rar
infringement	0.153	0.800	0.481	încălcare
infuriate	0.102	0.934	0.596	înfuria
infuriated	0.073	0.930	0.510	înfuriat
infuriates	0.135	0.913	0.627	înfurie
infuriating	0.139	0.870	0.509	enervant
infuse	0.380	0.705	0.589	infuza
infused	0.385	0.473	0.546	infuzat
infuser	0.469	0.433	0.536	infuzor
infusion	0.583	0.365	0.453	infuzie
ingenious	0.760	0.690	0.891	ingenios
ingenuity	0.708	0.590	0.868	ingeniozitate
ingest	0.510	0.559	0.473	ingera
ingestion	0.429	0.612	0.512	ingerare
ingot	0.688	0.444	0.615	lingou
ingrained	0.531	0.490	0.712	înrădăcinată
ingrate	0.235	0.606	0.327	ingrat
ingredient	0.792	0.373	0.451	ingredient
ingress	0.601	0.366	0.736	intrare
inhabit	0.656	0.378	0.556	locuiesc
inhabitant	0.604	0.356	0.519	locuitor
inhabited	0.667	0.361	0.510	locuit
inhabiting	0.458	0.440	0.598	locuind
inhalation	0.510	0.613	0.464	inhalare
inhale	0.427	0.340	0.492	inhala
inhaler	0.408	0.500	0.349	inhalator
inherent	0.562	0.439	0.480	inerent
inherit	0.745	0.546	0.694	moşteni
inheritance	0.900	0.565	0.798	moştenire
inhibit	0.167	0.479	0.447	inhiba
inhibition	0.265	0.392	0.534	inhibitie
inhibitor	0.281	0.450	0.471	inhibitor
inhospitable	0.265	0.531	0.395	neospitalier
inhuman	0.107	0.660	0.492	inuman
inhumane	0.104	0.587	0.402	inumană
inhumanity	0.143	0.540	0.405	inumanitatea
inimaginable	0.542	0.636	0.534	inimaginabil
inimical	0.260	0.823	0.556	ostil
inimitable	0.571	0.413	0.790	inimitabil
iniquity	0.219	0.567	0.425	nelegiuirea
initial	0.583	0.314	0.539	iniţială
initiate	0.719	0.480	0.553	iniţia
initiated	0.760	0.490	0.650	iniţiat
initiation	0.698	0.529	0.527	iniţiere
initiative	0.833	0.615	0.768	inițiativă
inject	0.406	0.735	0.596	injecta
injection	0.281	0.741	0.518	injecţie
injunction	0.281	0.422	0.519	ordin
injure	0.177	0.710	0.364	răni
injured	0.083	0.680	0.302	rănit
injuring	0.073	0.790	0.245	rănirea
injurious	0.177	0.759	0.366	vătămătoare
injury	0.049	0.769	0.287	rănire
injustice	0.082	0.755	0.444	nedreptate
ink	0.471	0.408	0.235	cerneală
inkling	0.448	0.551	0.570	bănuind
inland	0.510	0.417	0.423	în interior
inlay	0.406	0.531	0.565	mozaicar
inlet	0.646	0.378	0.466	admisie
inmate	0.235	0.663	0.398	deţinut
inn	0.660	0.284	0.475	han
innards	0.302	0.480	0.400	măruntaiele
innate	0.490	0.400	0.521	înnăscut
inner	0.551	0.216	0.443	interior
innermost	0.583	0.500	0.510	cel mai interior
innerpeace	0.714	0.318	0.551	pace interioara
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	reprize
innkeeper	0.578	0.224	0.472	hangiu
innocence	0.802	0.260	0.307	nevinovăţie
innocent	0.729	0.206	0.340	nevinovat
innocently	0.776	0.250	0.302	nevinovat
innocuous	0.510	0.321	0.172	inofensiv
innovate	0.898	0.872	0.750	inovează
innovation	0.949	0.680	0.890	inovaţie
innovative	0.880	0.640	0.830	inovatoare
innuendo	0.467	0.670	0.463	aluzie
innumerable	0.667	0.445	0.704	nenumărate
inoculation	0.333	0.570	0.598	inoculare
inoperable	0.184	0.422	0.304	inoperabil
inoperative	0.138	0.425	0.273	inoperant
inordinate	0.163	0.630	0.330	dezordonat
inorganic	0.385	0.345	0.282	anorganic
input	0.643	0.337	0.527	intrare
inquest	0.458	0.569	0.721	anchetă
inquire	0.583	0.519	0.363	întreba
inquirer	0.573	0.598	0.776	solicitant
inquiring	0.479	0.510	0.500	întrebând
inquiry	0.541	0.420	0.536	Anchetă
inquisitive	0.301	0.637	0.615	indiscret
inquisitor	0.385	0.873	0.642	inchizitor
insane	0.062	0.670	0.265	nebun
insanity	0.098	0.847	0.337	nebunie
insatiable	0.375	0.656	0.558	nesățios
inscription	0.592	0.422	0.542	inscripţie
inscrutable	0.459	0.541	0.613	inscrutabil
insect	0.276	0.633	0.242	insectă
insecticide	0.188	0.598	0.430	insecticid
insecure	0.114	0.538	0.132	nesigur
insecurity	0.094	0.647	0.350	nesiguranta
insemination	0.542	0.644	0.622	inseminarea
insensitive	0.219	0.471	0.302	insensibil
inseparable	0.700	0.520	0.571	de nedespartit
insert	0.481	0.552	0.519	introduce
inserted	0.479	0.402	0.476	introdus
insertion	0.521	0.520	0.565	inserare
inside	0.612	0.404	0.472	interior
insider	0.625	0.562	0.750	insider
insidious	0.146	0.622	0.480	insidios
insight	0.613	0.363	0.649	perspicacitate
insightful	0.664	0.691	0.713	profund
insignia	0.665	0.282	0.685	însemne
insignificance	0.250	0.216	0.222	insignifiante
insignificant	0.083	0.306	0.114	nesemnificativ
insinuate	0.292	0.635	0.413	insinua
insipid	0.214	0.250	0.241	insipid
insist	0.635	0.651	0.688	insista
insistence	0.418	0.704	0.645	insistenţă
insistent	0.552	0.635	0.701	insistent
insists	0.490	0.587	0.610	insistă
insolence	0.115	0.731	0.402	obrăznicie
insolent	0.112	0.663	0.343	insolent
insoluble	0.439	0.290	0.414	insolubil
insolvency	0.323	0.431	0.300	insolventa
insolvent	0.230	0.481	0.318	insolvabil
insomnia	0.198	0.611	0.373	insomnie
insomniac	0.231	0.367	0.329	insomniac
inspect	0.479	0.603	0.793	inspecta
inspection	0.459	0.630	0.718	inspecţie
inspector	0.418	0.580	0.852	inspector
inspiration	0.938	0.600	0.779	inspirație
inspirational	0.927	0.720	0.810	inspirational
inspire	0.918	0.627	0.759	a inspira
inspired	0.967	0.702	0.736	inspirat
instability	0.177	0.760	0.353	instabilitate
install	0.630	0.583	0.736	instalare
installation	0.656	0.469	0.759	instalare
installment	0.619	0.396	0.483	rate
instance	0.547	0.450	0.558	instanță
instant	0.766	0.454	0.554	instant
instantaneous	0.750	0.500	0.585	instantaneu
instantaneously	0.656	0.640	0.600	instantaneu
instigate	0.278	0.765	0.642	instiga
instigation	0.323	0.769	0.648	instigare
instill	0.562	0.490	0.618	insufla
instinct	0.771	0.602	0.642	instinct
instinctive	0.752	0.575	0.694	instinctiv
institute	0.604	0.480	0.807	institut
institution	0.580	0.311	0.790	instituţie
instruct	0.729	0.490	0.833	instrui
instructed	0.740	0.388	0.722	instruit
instruction	0.656	0.434	0.736	instrucție
instructional	0.698	0.500	0.773	instructiv
instructions	0.582	0.302	0.556	instrucțiuni
instructive	0.583	0.420	0.643	instructiv
instructor	0.771	0.490	0.782	instructor
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentist
instrumentality	0.637	0.510	0.618	instrumentalitatea
insubordination	0.281	0.775	0.634	nesupunere
insufferable	0.220	0.784	0.291	insuportabil
insufficiency	0.115	0.431	0.210	insuficienţă
insufficient	0.188	0.380	0.093	insuficient
insufficiently	0.147	0.509	0.198	insuficient
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	izola
insulated	0.208	0.265	0.304	izolat
insulation	0.245	0.327	0.264	izolatie
insulin	0.429	0.472	0.375	insulină
insult	0.085	0.831	0.389	insultă
insulting	0.094	0.840	0.412	jignitoare
insurance	0.714	0.308	0.825	asigurare
insure	0.700	0.415	0.698	asigura
insurgent	0.235	0.735	0.660	insurgent
insurmountable	0.620	0.627	0.737	de netrecut
insurrection	0.229	0.706	0.582	insurecţie
intact	0.716	0.212	0.602	intact
intake	0.604	0.527	0.442	admisie
intangible	0.525	0.480	0.473	intangibile
integer	0.573	0.327	0.595	întreg
integral	0.590	0.337	0.615	integrală
integrate	0.729	0.390	0.700	integra
integration	0.771	0.480	0.737	integrare
integrity	0.865	0.413	0.848	integritate
intellect	0.844	0.418	0.870	intelect
intellectual	0.906	0.455	0.845	intelectual
intelligence	0.833	0.587	0.885	inteligenţă
intelligent	0.917	0.541	0.868	inteligent
intelligibility	0.740	0.481	0.689	inteligibilitate
intelligible	0.635	0.480	0.691	inteligibil
intend	0.562	0.520	0.519	intenționează
intended	0.406	0.542	0.587	destinat
intending	0.510	0.567	0.597	intenționând
intense	0.592	0.774	0.679	intens
intensely	0.694	0.846	0.750	intens
intensify	0.604	0.870	0.737	intensifica
intensity	0.622	0.930	0.952	intensitate
intensive	0.570	0.842	0.776	intens
intent	0.550	0.481	0.500	intentie
intention	0.531	0.480	0.636	intentie
intentional	0.650	0.615	0.750	intenționat
intentionally	0.450	0.676	0.696	intentionat
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	interacționa
interaction	0.646	0.735	0.750	interacţiune
interactive	0.727	0.811	0.770	interactiv
intercede	0.582	0.577	0.630	interveni
intercept	0.221	0.660	0.676	intercepta
interception	0.327	0.673	0.643	interceptare
intercession	0.503	0.486	0.598	mijlocire
interchange	0.615	0.527	0.565	schimb
interchangeable	0.615	0.459	0.526	interschimbabile
interchanged	0.396	0.472	0.434	schimbate
intercom	0.623	0.429	0.453	interfon
intercourse	0.551	0.608	0.557	relaţii sexuale
interdependence	0.608	0.618	0.639	interdependenţă
interdependent	0.410	0.482	0.598	interdependente
interdiction	0.337	0.500	0.585	interdicţie
interest	0.780	0.667	0.618	interes
interested	0.750	0.529	0.725	interesat
interesting	0.927	0.726	0.731	interesant
interface	0.643	0.357	0.600	interfata
interfere	0.323	0.714	0.471	interfera
interference	0.396	0.736	0.357	interferență
interferometer	0.510	0.510	0.517	interferometru
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	interimar
interior	0.618	0.157	0.462	interior
interject	0.333	0.648	0.658	intervine
interlocutory	0.490	0.500	0.527	interlocutorie
interlude	0.470	0.417	0.377	interludiu
intermediary	0.427	0.510	0.643	intermediar
intermediate	0.480	0.368	0.400	intermediar
interment	0.235	0.608	0.346	înhumare
interminable	0.327	0.481	0.561	interminabil
intermission	0.490	0.360	0.402	pauză
intermittent	0.337	0.565	0.436	intermitent
intern	0.459	0.460	0.392	stagiar
internal	0.439	0.349	0.423	intern
internally	0.615	0.400	0.616	intern
international	0.800	0.519	0.702	internaţional
internet	0.760	0.462	0.755	Internet
internship	0.590	0.510	0.482	stagiu
interoffice	0.439	0.375	0.556	interoficiu
interpolate	0.460	0.490	0.569	interpola
interpolation	0.419	0.506	0.528	interpolare
interpret	0.646	0.625	0.673	interpreta
interpretation	0.677	0.594	0.620	interpretare
interpreter	0.708	0.461	0.596	interpret
interpretive	0.531	0.549	0.595	interpretativ
interrelated	0.615	0.469	0.592	interconectate
interrogate	0.323	0.808	0.680	interoga
interrogation	0.302	0.827	0.657	interogare
interrupt	0.210	0.635	0.509	întrerupe
interrupted	0.281	0.559	0.333	întrerupt
interrupting	0.146	0.593	0.509	întrerupând
interruption	0.184	0.632	0.425	întrerupere
interrupts	0.204	0.545	0.389	întrerupe
intersect	0.521	0.510	0.480	se intersectează
intersection	0.344	0.541	0.658	intersecție
interstate	0.520	0.443	0.600	interstatal
interstellar	0.708	0.702	0.622	interstelar
interstitial	0.333	0.471	0.534	interstițial
interval	0.510	0.284	0.400	interval
intervene	0.520	0.677	0.768	interveni
intervening	0.398	0.627	0.442	intervenind
intervention	0.388	0.696	0.689	intervenţie
interview	0.573	0.770	0.619	interviu
interviewer	0.552	0.736	0.816	intervievatorul
interworking	0.552	0.587	0.691	interfuncţionare
intestate	0.459	0.467	0.415	abtestată
intestinal	0.357	0.531	0.370	intestinal
intestine	0.343	0.450	0.380	intestin
intestines	0.292	0.547	0.398	intestine
intimacy	0.857	0.802	0.558	intimitate
intimate	0.724	0.598	0.393	intim
intimately	0.806	0.573	0.590	intim
intimation	0.406	0.673	0.500	sesizare
intimidate	0.210	0.804	0.632	intimida
intimidated	0.177	0.663	0.208	intimidat
intimidating	0.229	0.790	0.708	intimidant
intimidation	0.177	0.791	0.644	intimidare
intolerable	0.146	0.660	0.439	intolerabil
intolerance	0.052	0.704	0.520	intoleranţă
intolerant	0.135	0.676	0.509	intoleranta
intonation	0.615	0.442	0.598	intonaţie
intoxicated	0.079	0.824	0.246	în stare de ebrietate
intoxicating	0.224	0.760	0.464	îmbătător
intoxication	0.323	0.710	0.400	intoxicaţie
intracranial	0.281	0.602	0.553	intracranienă
intractable	0.154	0.694	0.302	insolubil
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	intravenos
intrepid	0.753	0.696	0.637	îndrăzneț
intricate	0.559	0.704	0.500	complicat
intrigue	0.362	0.830	0.327	intrigi
intriguing	0.422	0.713	0.462	intrigant
intrinsic	0.406	0.471	0.526	intrinsec
intrinsically	0.459	0.382	0.538	intrinsec
intro	0.510	0.331	0.657	introducere
introduce	0.592	0.559	0.648	introduce
introduction	0.612	0.413	0.640	introducere
introductory	0.635	0.368	0.593	introductiv
introspection	0.603	0.337	0.575	introspecţie
introspective	0.552	0.360	0.471	introspectiv
intrude	0.058	0.735	0.480	intrude
intruder	0.146	0.740	0.324	intrus
intrusion	0.293	0.641	0.670	intruziune
intrusive	0.461	0.607	0.538	intruziv
intubation	0.276	0.598	0.526	intubare
intuition	0.857	0.508	0.602	intuiţie
intuitive	0.771	0.573	0.690	intuitiv
intuitively	0.670	0.561	0.648	intuitiv
inundation	0.177	0.780	0.455	inundaţie
invade	0.408	0.892	0.714	a invada
invader	0.200	0.827	0.618	invadator
invalid	0.180	0.330	0.255	invalid
invalidate	0.315	0.480	0.397	invalida
invalidation	0.181	0.490	0.278	invalidare
invalidity	0.186	0.394	0.158	invaliditate
invaluable	0.740	0.500	0.745	nepreţuit
invariably	0.458	0.365	0.550	invariabil
invasion	0.271	0.843	0.808	invazie
invasive	0.194	0.730	0.598	invaziv
invent	0.719	0.689	0.833	inventa
invention	0.714	0.577	0.811	invenţie
inventive	0.780	0.627	0.721	inventiv
inventor	0.781	0.667	0.847	inventator
inventory	0.594	0.463	0.490	inventar
inverse	0.459	0.337	0.319	invers
inversely	0.286	0.418	0.351	invers
inversion	0.602	0.630	0.772	inversiune
invert	0.510	0.585	0.706	inversa
inverted	0.310	0.471	0.357	inversat
invest	0.650	0.663	0.682	investi
investigate	0.640	0.500	0.781	investiga
investigation	0.531	0.592	0.820	ancheta
investigative	0.562	0.600	0.704	investigativ
investigator	0.615	0.509	0.779	anchetator
investment	0.720	0.592	0.745	investitie
investor	0.794	0.655	0.791	investitor
invidious	0.112	0.650	0.364	invidios
invigorate	0.821	0.798	0.831	înviora
invincible	0.867	0.853	0.914	de neinvins
invisibility	0.438	0.461	0.382	invizibilitate
invisible	0.417	0.345	0.412	invizibil
invitation	0.802	0.549	0.647	invitație
invite	0.745	0.655	0.611	a invita
inviting	0.938	0.571	0.538	îmbietor
invocation	0.430	0.620	0.673	invocare
invoice	0.480	0.380	0.474	factura fiscala
invoke	0.583	0.740	0.579	invoca
involuntary	0.354	0.490	0.231	involuntar
involution	0.296	0.420	0.407	involuţie
involve	0.694	0.490	0.728	implica
involvement	0.760	0.620	0.696	implicare
invulnerable	0.552	0.683	0.745	invulnerabil
inwards	0.490	0.385	0.438	spre interior
iodine	0.390	0.265	0.333	iod
ion	0.429	0.330	0.408	ion
iota	0.344	0.385	0.314	iotă
irate	0.188	0.852	0.474	iritat
ire	0.198	0.740	0.575	ire
iridescent	0.602	0.588	0.539	iridescent
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	supărat
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	fier
ironclad	0.561	0.648	0.679	de fier
ironic	0.435	0.550	0.500	ironic
irons	0.531	0.441	0.625	fiare de călcat
irony	0.390	0.587	0.508	ironie
irradiation	0.385	0.736	0.509	iradiere
irrational	0.125	0.648	0.394	iraţional
irrationality	0.198	0.735	0.361	iraţionalitate
irreconcilable	0.146	0.667	0.375	ireconciliabile
irreducible	0.296	0.455	0.569	ireductibil
