English Word	Valence	Arousal	Dominance	Igbo Word
improvisation	0.631	0.812	0.529	nkwalite
improvise	0.646	0.650	0.519	imeziwanye
improvised	0.610	0.673	0.443	emeziwanye
imprudent	0.170	0.676	0.265	enweghị uche
impudence	0.214	0.500	0.472	impudence
impudent	0.302	0.604	0.462	enweghị uche
impulse	0.530	0.840	0.611	mkpali
impulsive	0.365	0.864	0.607	na-akpali akpali
impunity	0.313	0.721	0.602	ntaramahụhụ
impure	0.260	0.560	0.208	adịghị ọcha
impurity	0.173	0.546	0.306	adịghị ọcha
imputation	0.333	0.654	0.621	ndetu
imtryingtosleep	0.438	0.363	0.385	na-achọ ụra
inability	0.150	0.529	0.250	enweghi ike
inaccessible	0.083	0.585	0.446	enweghi ike iru
inaccurate	0.135	0.450	0.250	ezighi ezi
inaction	0.323	0.225	0.325	emeghi ihe
inactivate	0.245	0.240	0.415	adịghị arụ ọrụ
inactivation	0.198	0.260	0.220	arụghị ọrụ
inactive	0.271	0.167	0.159	adịghị arụ ọrụ
inactivity	0.135	0.143	0.227	adịghị arụ ọrụ
inadequacy	0.286	0.500	0.297	ezughi oke
inadequate	0.122	0.450	0.223	ezughi oke
inadequateness	0.240	0.529	0.316	ezughị oke
inadmissible	0.188	0.636	0.389	ekweghiekwe
inadvertent	0.365	0.368	0.286	amaghị ama
inadvertently	0.302	0.541	0.549	n'amaghị ama
inaffable	0.388	0.518	0.455	enweghị atụ
inalienable	0.437	0.459	0.608	enweghị atụ
inane	0.271	0.350	0.268	enweghị
inanimate	0.281	0.143	0.224	adịghị ndụ
inapplicable	0.281	0.402	0.330	adịghị etinyere ya
inappropriate	0.135	0.542	0.353	na-ekwesịghị ekwesị
inattention	0.208	0.433	0.188	nlebara anya
inaudible	0.280	0.398	0.358	anaghi ekwu okwu
inaugural	0.684	0.567	0.608	mmalite
inaugurate	0.781	0.582	0.800	imeghe
inauguration	0.847	0.712	0.769	nraranye
inborn	0.590	0.288	0.546	amuru
inbound	0.531	0.388	0.538	inbound
inbred	0.397	0.520	0.473	ewebata
incalculable	0.449	0.620	0.679	enweghị atụ
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	nkwenye
incapable	0.156	0.529	0.155	enweghi ike
incapacity	0.052	0.500	0.217	enweghi ike
incarceration	0.100	0.800	0.397	nganga
incarnate	0.552	0.651	0.593	incarnanu
incase	0.580	0.196	0.365	adịghị ama ama
incendiary	0.281	0.810	0.598	ihe nsure ọkụ
incense	0.698	0.275	0.328	ihe nsure ọkụ na-esi ísì ụtọ
incensed	0.338	0.643	0.392	were iwe
incentive	0.812	0.618	0.718	mkpali
inception	0.604	0.425	0.561	mmalite
incessant	0.438	0.760	0.544	anaghị akwụsị akwụsị
incessantly	0.417	0.765	0.606	na-akwụsịghị akwụsị
incest	0.073	0.853	0.491	idina nwoke
incestuous	0.188	0.736	0.442	onye ikwu
inch	0.481	0.327	0.300	inch
incidence	0.417	0.527	0.429	omume
incident	0.084	0.662	0.482	merenụ
incidental	0.281	0.610	0.404	ndapụta
incidentally	0.479	0.500	0.500	na mberede
incineration	0.229	0.787	0.470	nsure ọkụ
incinerator	0.250	0.643	0.591	ihe nsure ọkụ
incipient	0.442	0.382	0.430	mmalite
incision	0.240	0.663	0.558	mbepụ
incisive	0.380	0.602	0.545	mkpasu iwe
incite	0.449	0.736	0.642	kpalie
incitement	0.302	0.943	0.598	mkpali
inclement	0.260	0.676	0.616	mmekpa ahụ
inclination	0.378	0.490	0.538	ọchịchọ
incline	0.490	0.423	0.345	gbadaa
inclined	0.469	0.347	0.402	nwere mmasị
include	0.729	0.449	0.702	gụnyere
included	0.760	0.402	0.570	gụnyere
including	0.700	0.378	0.518	gụnyere
inclusion	0.774	0.404	0.712	nsonye
inclusive	0.604	0.420	0.564	na-agụnye
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	enweghị njikọ
income	0.750	0.510	0.728	ego
incoming	0.660	0.509	0.596	na-abata
incomparable	0.625	0.577	0.670	enweghị atụ
incompatible	0.196	0.500	0.310	ekwekọghị
incompetence	0.077	0.551	0.208	enweghi ike
incompetent	0.133	0.566	0.239	erughi eru
incomplete	0.153	0.370	0.205	ezughi oke
incompletely	0.344	0.442	0.232	ezughị ezu
incompleteness	0.271	0.451	0.234	ezughị ezu
incomprehensible	0.250	0.550	0.344	enweghị nghọta
inconceivable	0.198	0.552	0.561	enweghị ike ichetụ n'echiche
inconclusive	0.153	0.442	0.340	enweghi ngwụcha
incongruous	0.177	0.504	0.343	na-adịghị mma
inconsequential	0.250	0.480	0.345	na-enweghị isi
inconsiderate	0.224	0.519	0.423	enweghị uche
inconsistency	0.125	0.480	0.314	ekwekọghị ekwekọ
inconsistent	0.271	0.431	0.295	ekwekọghị ekwekọ
inconspicuous	0.604	0.214	0.368	na-enweghị atụ
incontinence	0.150	0.598	0.272	incontinence
inconvenience	0.063	0.667	0.291	adịghị mma
inconvenient	0.224	0.610	0.375	adịghị mma
incorporate	0.745	0.612	0.571	itinye
incorporation	0.573	0.404	0.768	ntinye
incorrect	0.140	0.569	0.255	ezighi ezi
incorrigible	0.130	0.667	0.500	na-apụghị imezi emezi
increase	0.810	0.657	0.886	mụbaa
increased	0.684	0.660	0.773	mụbara
incredible	0.857	0.796	0.902	dị ịtụnanya
incredulous	0.286	0.510	0.269	incredulous
increment	0.684	0.637	0.750	mmụba
incriminate	0.188	0.810	0.416	ikpe ikpe
incriminating	0.133	0.788	0.500	na-eme mpụ
incrimination	0.152	0.865	0.545	mpụ
incubation	0.461	0.490	0.397	incubation
incubator	0.510	0.435	0.405	incubator
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	onye isi
incur	0.312	0.667	0.495	ịkpata
incurable	0.104	0.667	0.255	enweghị ọgwụgwọ
incursion	0.552	0.830	0.719	mbubata
indebted	0.138	0.698	0.275	ji ụgwọ
indecency	0.135	0.670	0.491	akwụghị ọtọ
indecent	0.083	0.683	0.240	adịghị mma
indecision	0.184	0.480	0.196	enweghị mkpebi
indecisive	0.271	0.420	0.190	na-enweghi mkpebi
indefensible	0.173	0.647	0.484	enweghị nchebe
indefinite	0.448	0.292	0.296	enweghi ngwụcha
indelible	0.490	0.337	0.591	enweghi ike igbapu
indemnification	0.521	0.490	0.770	indemnification
indemnify	0.449	0.548	0.613	kwụọ ụgwọ
indemnity	0.470	0.607	0.692	ụgwọ
indent	0.479	0.346	0.379	indent
indentation	0.374	0.500	0.349	ntinye
indenture	0.434	0.382	0.636	indenture
independence	0.896	0.663	0.911	nnwere onwe
independent	0.885	0.440	0.872	nnwere onwe
indescribable	0.448	0.529	0.648	enweghị atụ
indestructible	0.772	0.731	0.853	apụghị ibibi ebibi
indeterminate	0.360	0.402	0.322	enweghi ngwụcha
index	0.448	0.268	0.342	index
indicate	0.594	0.350	0.676	gosi
indicating	0.745	0.339	0.555	na-egosi
indication	0.719	0.432	0.750	egosi
indicative	0.510	0.510	0.591	na-egosi
indicator	0.573	0.451	0.670	egosi
indice	0.469	0.377	0.541	indices
indict	0.188	0.731	0.458	gosi
indictment	0.245	0.745	0.577	ebubo
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	enweghị mmasị
indifferent	0.396	0.157	0.250	enweghị mmasị
indigenous	0.500	0.509	0.552	ụmụ amaala
indigent	0.156	0.481	0.223	ogbenye
indigestion	0.204	0.610	0.182	afọ ntachi
indignant	0.260	0.600	0.423	iwe
indignation	0.173	0.778	0.431	iwe
indignity	0.167	0.500	0.306	mkparị
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	indirect
indiscreet	0.177	0.587	0.342	enweghị uche
indiscretion	0.265	0.637	0.390	enweghị uche
indispensable	0.710	0.449	0.802	dị mkpa
indisposed	0.122	0.519	0.206	enweghị atụ
indistinct	0.255	0.340	0.360	nke na-adighi nma
indistinguishable	0.346	0.458	0.548	enweghị atụ
individual	0.627	0.327	0.533	onye
individuality	0.612	0.469	0.527	n'otu n'otu
indivisible	0.646	0.398	0.580	adịghị ahụ anya
indoctrination	0.327	0.657	0.698	indoctrination
indolent	0.177	0.381	0.259	enweghị uche
indomitable	0.458	0.800	0.830	enweghi ike imeri
indoor	0.615	0.245	0.347	ime ụlọ
induce	0.257	0.606	0.684	kpalite
induced	0.397	0.471	0.491	kpaliri
inducement	0.647	0.765	0.685	mkpali
induction	0.392	0.593	0.627	nnabata
indulge	0.833	0.716	0.669	itinye uche
indulgence	0.479	0.490	0.517	afọ ojuju
indulgent	0.560	0.481	0.529	ime ihe n'obi
industrial	0.469	0.600	0.875	ulo oru
industrialist	0.562	0.633	0.843	onye mmepụta ihe
industrious	0.720	0.537	0.791	na-arụsi ọrụ ike
industry	0.650	0.447	0.836	ụlọ ọrụ
ineffable	0.551	0.577	0.585	enweghị atụ
ineffective	0.093	0.422	0.094	adịghị arụ ọrụ
ineffectual	0.163	0.412	0.200	enweghị mmetụta
inefficiency	0.092	0.466	0.181	adịghị arụ ọrụ
inefficient	0.190	0.460	0.173	adịghị arụ ọrụ
inelastic	0.396	0.426	0.385	enweghi ike ime
ineligible	0.143	0.377	0.457	erughi eru
inept	0.156	0.418	0.209	inept
ineptitude	0.177	0.471	0.250	enweghị uche
inequality	0.122	0.575	0.259	ahaghị nhata
inequitable	0.281	0.519	0.373	ezighi ezi
inert	0.323	0.180	0.319	inert
inertia	0.344	0.288	0.322	inertia
inevitable	0.316	0.419	0.623	apụghị izere ezere
inexact	0.153	0.459	0.170	ezighi ezi
inexcusable	0.271	0.582	0.546	enweghị ngọpụ
inexhaustible	0.602	0.541	0.643	agwụghị agwụ
inexpensive	0.694	0.414	0.260	ọnụ ala
inexperience	0.208	0.614	0.151	enweghị ahụmahụ
inexperienced	0.281	0.473	0.231	enweghị ahụmahụ
inexplicable	0.224	0.635	0.443	enweghị nkọwa
inexpressible	0.198	0.608	0.364	enweghị nkọwa
infallibility	0.583	0.663	0.764	enweghị ndahie
infallible	0.776	0.687	0.809	na-adịghị ada ada
infamous	0.146	0.580	0.472	aha ọjọọ
infamy	0.177	0.676	0.421	aha ọjọọ
infancy	0.750	0.399	0.370	nwa ọhụrụ
infant	0.802	0.431	0.328	nwa ọhụrụ
infanticide	0.167	0.856	0.443	igbu nwa ọhụrụ
infantile	0.604	0.382	0.259	nwa ọhụrụ
infantry	0.531	0.684	0.791	ndị agha nwa ọhụrụ
infarct	0.080	0.846	0.386	infarct
infatuated	0.729	0.764	0.417	ịhụnanya
infatuation	0.844	0.745	0.530	ihunanya
infeasible	0.245	0.472	0.236	enweghị ike ime
infect	0.102	0.777	0.424	ife efe
infection	0.083	0.735	0.407	ọrịa
infectious	0.142	0.760	0.422	na-efe efe
infer	0.449	0.490	0.453	infer
inference	0.359	0.479	0.398	ntinye aka
inferential	0.426	0.451	0.455	inferential
inferior	0.260	0.254	0.106	dị ala
inferiority	0.177	0.430	0.205	usụhọde
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	na-amụghị nwa
infertility	0.170	0.664	0.328	amụghị nwa
infestation	0.256	0.776	0.527	ofufe
infidel	0.177	0.740	0.404	ekweghiekwe
infidelity	0.062	0.777	0.392	ekwesịghị ntụkwasị obi
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	imibata
infiltration	0.265	0.792	0.536	infiltration
infinite	0.724	0.583	0.735	enweghi ngwụcha
infinitely	0.688	0.643	0.829	enweghi ngwụcha
infinitesimal	0.388	0.472	0.496	enweghi ngwụcha
infinity	0.516	0.459	0.805	enweghi ngwụcha
infirm	0.115	0.521	0.210	adịghị ike
infirmary	0.500	0.438	0.517	ụlọ ọgwụ
infirmity	0.094	0.482	0.252	adịghị ike
inflammation	0.146	0.765	0.423	mbufụt
inflammatory	0.177	0.642	0.404	mkpasu iwe
inflatable	0.510	0.510	0.400	inflatable
inflate	0.305	0.569	0.462	bute ọnụ
inflated	0.303	0.431	0.617	fụfụfụ
inflation	0.219	0.792	0.508	onu oriri
inflection	0.385	0.635	0.377	ntụgharị uche
inflict	0.167	0.760	0.609	ime ihe
infliction	0.302	0.722	0.571	mbufụt
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	mmetụta
influential	0.899	0.688	0.944	mmetụta
influenza	0.271	0.718	0.321	influenza
influx	0.622	0.635	0.575	mbubata
info	0.750	0.330	0.642	ozi
infomercial	0.427	0.462	0.555	onye ozi
inform	0.723	0.582	0.679	gwa
informal	0.480	0.398	0.441	na-ezighi ezi
informant	0.604	0.612	0.719	onye ozi
information	0.765	0.370	0.711	ozi
informative	0.812	0.419	0.741	ihe ọmụma
informed	0.543	0.298	0.617	gwara
informer	0.521	0.578	0.580	onye ozi
infraction	0.245	0.660	0.471	mmebi iwu
infrared	0.469	0.588	0.526	infrared
infrastructure	0.604	0.460	0.694	akụrụngwa
infrequent	0.312	0.377	0.192	ugboro ugboro
infrequently	0.204	0.250	0.327	ugboro ugboro
infringement	0.153	0.800	0.481	mmebi iwu
infuriate	0.102	0.934	0.596	iwe iwe
infuriated	0.073	0.930	0.510	iwe iwe
infuriates	0.135	0.913	0.627	na-ewe iwe
infuriating	0.139	0.870	0.509	na-ewe iwe
infuse	0.380	0.705	0.589	inye
infused	0.385	0.473	0.546	nyefere
infuser	0.469	0.433	0.536	infuser
infusion	0.583	0.365	0.453	infusion
ingenious	0.760	0.690	0.891	ọgụgụ isi
ingenuity	0.708	0.590	0.868	ọgụgụ isi
ingest	0.510	0.559	0.473	banye
ingestion	0.429	0.612	0.512	oriri
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	gbanyere mkpọrọgwụ
ingrate	0.235	0.606	0.327	ekweghiekwe
ingredient	0.792	0.373	0.451	mgwa ihe
ingress	0.601	0.366	0.736	ntinye
inhabit	0.656	0.378	0.556	ibi
inhabitant	0.604	0.356	0.519	onye bi
inhabited	0.667	0.361	0.510	bi
inhabiting	0.458	0.440	0.598	ibi
inhalation	0.510	0.613	0.464	iku ume
inhale	0.427	0.340	0.492	iku ume
inhaler	0.408	0.500	0.349	inhaler
inherent	0.562	0.439	0.480	ebumpụta ụwa
inherit	0.745	0.546	0.694	eketa
inheritance	0.900	0.565	0.798	ihe nketa
inhibit	0.167	0.479	0.447	igbochi
inhibition	0.265	0.392	0.534	mgbochi
inhibitor	0.281	0.450	0.471	ihe mgbochi
inhospitable	0.265	0.531	0.395	enweghị ọbịa
inhuman	0.107	0.660	0.492	emegbu mmadu
inhumane	0.104	0.587	0.402	obi ọjọọ
inhumanity	0.143	0.540	0.405	mmegbu
inimaginable	0.542	0.636	0.534	ihe a na-apụghị ichetụ n'echiche
inimical	0.260	0.823	0.556	inimical
inimitable	0.571	0.413	0.790	enweghi ike ime
iniquity	0.219	0.567	0.425	ajọ omume
initial	0.583	0.314	0.539	mbụ
initiate	0.719	0.480	0.553	ibido
initiated	0.760	0.490	0.650	ebidoro
initiation	0.698	0.529	0.527	mmalite
initiative	0.833	0.615	0.768	ụzọ
inject	0.406	0.735	0.596	igba ogwu
injection	0.281	0.741	0.518	ogwu ogbugba
injunction	0.281	0.422	0.519	iwu
injure	0.177	0.710	0.364	merụọ ahụ
injured	0.083	0.680	0.302	merụrụ ahụ
injuring	0.073	0.790	0.245	na-emerụ ahụ
injurious	0.177	0.759	0.366	na-emerụ ahụ
injury	0.049	0.769	0.287	mmerụ ahụ
injustice	0.082	0.755	0.444	ikpe na-ezighị ezi
ink	0.471	0.408	0.235	ink
inkling	0.448	0.551	0.570	inkling
inland	0.510	0.417	0.423	n'ime ala
inlay	0.406	0.531	0.565	inlay
inlet	0.646	0.378	0.466	ntinye
inmate	0.235	0.663	0.398	onye mkpọrọ
inn	0.660	0.284	0.475	ebe obibi
innards	0.302	0.480	0.400	innards
innate	0.490	0.400	0.521	ebumpụta ụwa
inner	0.551	0.216	0.443	ime
innermost	0.583	0.500	0.510	ime ime
innerpeace	0.714	0.318	0.551	obi iru ala
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	innings
innkeeper	0.578	0.224	0.472	onye na-elekọta ụlọ
innocence	0.802	0.260	0.307	ịdị ọcha
innocent	0.729	0.206	0.340	aka ya dị ọcha
innocently	0.776	0.250	0.302	n'emeghị ihe ọjọọ
innocuous	0.510	0.321	0.172	adịghị njọ
innovate	0.898	0.872	0.750	imeputa ihe ohuru
innovation	0.949	0.680	0.890	ihe ọhụrụ
innovative	0.880	0.640	0.830	ọhụrụ
innuendo	0.467	0.670	0.463	mkparị
innumerable	0.667	0.445	0.704	enweghị atụ
inoculation	0.333	0.570	0.598	inoculation
inoperable	0.184	0.422	0.304	adịghị arụ ọrụ
inoperative	0.138	0.425	0.273	adịghị arụ ọrụ
inordinate	0.163	0.630	0.330	oke oke
inorganic	0.385	0.345	0.282	inorganic
input	0.643	0.337	0.527	ntinye
inquest	0.458	0.569	0.721	ajụjụ
inquire	0.583	0.519	0.363	juo
inquirer	0.573	0.598	0.776	onye na-ajụ ase
inquiring	0.479	0.510	0.500	na-ajụ ase
inquiry	0.541	0.420	0.536	ajuju
inquisitive	0.301	0.637	0.615	ajuju
inquisitor	0.385	0.873	0.642	onye nyocha
insane	0.062	0.670	0.265	ara
insanity	0.098	0.847	0.337	ara
insatiable	0.375	0.656	0.558	afọ ojuju
inscription	0.592	0.422	0.542	ihe odide
inscrutable	0.459	0.541	0.613	enweghị nkọwa
insect	0.276	0.633	0.242	ahụhụ
insecticide	0.188	0.598	0.430	ọgwụ ahụhụ
insecure	0.114	0.538	0.132	enweghị ntụkwasị obi
insecurity	0.094	0.647	0.350	enweghị nchebe
insemination	0.542	0.644	0.622	insemination
insensitive	0.219	0.471	0.302	enweghi mmetụta
inseparable	0.700	0.520	0.571	enweghị ikewapụ
insert	0.481	0.552	0.519	fanye
inserted	0.479	0.402	0.476	tinye
insertion	0.521	0.520	0.565	ntinye
inside	0.612	0.404	0.472	n'ime
insider	0.625	0.562	0.750	onye n'ime
insidious	0.146	0.622	0.480	aghụghọ
insight	0.613	0.363	0.649	nghọta
insightful	0.664	0.691	0.713	nghọta
insignia	0.665	0.282	0.685	akara ngosi
insignificance	0.250	0.216	0.222	enweghị isi
insignificant	0.083	0.306	0.114	obere ihe
insinuate	0.292	0.635	0.413	na-eche echiche
insipid	0.214	0.250	0.241	esighi ike
insist	0.635	0.651	0.688	na-esi ọnwụ
insistence	0.418	0.704	0.645	esi ọnwụ
insistent	0.552	0.635	0.701	siri ọnwụ
insists	0.490	0.587	0.610	na-esi ọnwụ
insolence	0.115	0.731	0.402	mkparị
insolent	0.112	0.663	0.343	mkparị
insoluble	0.439	0.290	0.414	apụghị sosolument
insolvency	0.323	0.431	0.300	insolvency
insolvent	0.230	0.481	0.318	akwụghị ụgwọ
insomnia	0.198	0.611	0.373	ehighi ura
insomniac	0.231	0.367	0.329	ehighi ura
inspect	0.479	0.603	0.793	inyocha
inspection	0.459	0.630	0.718	nnyocha
inspector	0.418	0.580	0.852	onye nleba anya
inspiration	0.938	0.600	0.779	mkpali
inspirational	0.927	0.720	0.810	mkpali
inspire	0.918	0.627	0.759	kpalie
inspired	0.967	0.702	0.736	sitere n'ike mmụọ nsọ
instability	0.177	0.760	0.353	akwusighi ike
install	0.630	0.583	0.736	tinye
installation	0.656	0.469	0.759	echichi
installment	0.619	0.396	0.483	nkeji nkeji
instance	0.547	0.450	0.558	ọmụmaatụ
instant	0.766	0.454	0.554	ngwa ngwa
instantaneous	0.750	0.500	0.585	ozugbo
instantaneously	0.656	0.640	0.600	ozugbo
instigate	0.278	0.765	0.642	kpalite
instigation	0.323	0.769	0.648	mkpali
instill	0.562	0.490	0.618	ịkụnye
instinct	0.771	0.602	0.642	mmuo
instinctive	0.752	0.575	0.694	mmuo
institute	0.604	0.480	0.807	ulo akwukwo
institution	0.580	0.311	0.790	ụlọ ọrụ
instruct	0.729	0.490	0.833	nkuzi
instructed	0.740	0.388	0.722	nyere ntụziaka
instruction	0.656	0.434	0.736	ntụziaka
instructional	0.698	0.500	0.773	ntụziaka
instructions	0.582	0.302	0.556	ntuziaka
instructive	0.583	0.420	0.643	nkuzi
instructor	0.771	0.490	0.782	onye nkuzi
instrument	0.562	0.537	0.655	ngwa
instrumental	0.740	0.472	0.647	ngwa ngwa
instrumentalist	0.656	0.540	0.740	ngwa ngwa
instrumentality	0.637	0.510	0.618	ngwá ọrụ
insubordination	0.281	0.775	0.634	nnupụisi
insufferable	0.220	0.784	0.291	enweghị atụ
insufficiency	0.115	0.431	0.210	ezughi oke
insufficient	0.188	0.380	0.093	ezughi oke
insufficiently	0.147	0.509	0.198	ezughi oke
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	mkpuchi
insulated	0.208	0.265	0.304	mkpuchi mkpuchi
insulation	0.245	0.327	0.264	mkpuchi
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	mkparị
insulting	0.094	0.840	0.412	mkparị
insurance	0.714	0.308	0.825	mkpuchi
insure	0.700	0.415	0.698	mkpuchi
insurgent	0.235	0.735	0.660	nnupụisi
insurmountable	0.620	0.627	0.737	enweghi ike imeri
insurrection	0.229	0.706	0.582	nnupụisi
intact	0.716	0.212	0.602	emebibeghị
intake	0.604	0.527	0.442	oriri
intangible	0.525	0.480	0.473	emeghi eme
integer	0.573	0.327	0.595	ọnụọgụgụ
integral	0.590	0.337	0.615	isi
integrate	0.729	0.390	0.700	imekota
integration	0.771	0.480	0.737	mwekota
integrity	0.865	0.413	0.848	iguzosi ike n'ezi ihe
intellect	0.844	0.418	0.870	ọgụgụ isi
intellectual	0.906	0.455	0.845	ọgụgụ isi
intelligence	0.833	0.587	0.885	ọgụgụ isi
intelligent	0.917	0.541	0.868	nwere ọgụgụ isi
intelligibility	0.740	0.481	0.689	ọgụgụ isi
intelligible	0.635	0.480	0.691	ọgụgụ isi
intend	0.562	0.520	0.519	bu n'obi
intended	0.406	0.542	0.587	bu n'obi
intending	0.510	0.567	0.597	na-eme atụmatụ
intense	0.592	0.774	0.679	siri ike
intensely	0.694	0.846	0.750	ike
intensify	0.604	0.870	0.737	gbasie ike
intensity	0.622	0.930	0.952	ike
intensive	0.570	0.842	0.776	kpụ ọkụ n'ọnụ
intent	0.550	0.481	0.500	ebumnobi
intention	0.531	0.480	0.636	ebumnuche
intentional	0.650	0.615	0.750	kpachapụrụ anya
intentionally	0.450	0.676	0.696	kpachapụrụ anya
inter	0.510	0.375	0.466	n'etiti
interact	0.822	0.690	0.759	imekọrịta ihe
interaction	0.646	0.735	0.750	mmekọrịta
interactive	0.727	0.811	0.770	mmekọrịta
intercede	0.582	0.577	0.630	ịrịọchitere arịrịọ
intercept	0.221	0.660	0.676	igbachi
interception	0.327	0.673	0.643	interception
intercession	0.503	0.486	0.598	arịrịọ
interchange	0.615	0.527	0.565	ngbanwe
interchangeable	0.615	0.459	0.526	mgbanwe
interchanged	0.396	0.472	0.434	gbanwere
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	mmekorita
interdependence	0.608	0.618	0.639	ndabere
interdependent	0.410	0.482	0.598	n'etiti
interdiction	0.337	0.500	0.585	nkwụsịtụ
interest	0.780	0.667	0.618	mmasị
interested	0.750	0.529	0.725	nwere mmasị
interesting	0.927	0.726	0.731	na-adọrọ mmasị
interface	0.643	0.357	0.600	interface
interfere	0.323	0.714	0.471	itinye aka
interference	0.396	0.736	0.357	nnyonye anya
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	nwa oge
interior	0.618	0.157	0.462	ime
interject	0.333	0.648	0.658	igbachi
interlocutory	0.490	0.500	0.527	interlocutory
interlude	0.470	0.417	0.377	igbachi
intermediary	0.427	0.510	0.643	intermediary
intermediate	0.480	0.368	0.400	etiti
interment	0.235	0.608	0.346	interment
interminable	0.327	0.481	0.561	interminable
intermission	0.490	0.360	0.402	nkwụsịtụ
intermittent	0.337	0.565	0.436	na-adịte aka
intern	0.459	0.460	0.392	onye nkuzi
internal	0.439	0.349	0.423	ime
internally	0.615	0.400	0.616	n'ime
international	0.800	0.519	0.702	mba ụwa
internet	0.760	0.462	0.755	ịntanetị
internship	0.590	0.510	0.482	internship
interoffice	0.439	0.375	0.556	interoffice
interpolate	0.460	0.490	0.569	interpolate
interpolation	0.419	0.506	0.528	interpolation
interpret	0.646	0.625	0.673	ịkọwa
interpretation	0.677	0.594	0.620	nkọwa
interpreter	0.708	0.461	0.596	onye ntụgharị okwu
interpretive	0.531	0.549	0.595	ntụgharị okwu
interrelated	0.615	0.469	0.592	jikọrọ ọnụ
interrogate	0.323	0.808	0.680	gbara ajụjụ ọnụ
interrogation	0.302	0.827	0.657	ajuju
interrupt	0.210	0.635	0.509	kwusi
interrupted	0.281	0.559	0.333	kwụsịrị
interrupting	0.146	0.593	0.509	nkwụsịtụ
interruption	0.184	0.632	0.425	nkwụsị
interrupts	0.204	0.545	0.389	nkwụsịtụ
intersect	0.521	0.510	0.480	igbata
intersection	0.344	0.541	0.658	njikọ
interstate	0.520	0.443	0.600	interstate
interstellar	0.708	0.702	0.622	interstellar
interstitial	0.333	0.471	0.534	interstitial
interval	0.510	0.284	0.400	etiti oge
intervene	0.520	0.677	0.768	tinye aka
intervening	0.398	0.627	0.442	itinye aka
intervention	0.388	0.696	0.689	ntinye aka
interview	0.573	0.770	0.619	ajụjụ ọnụ
interviewer	0.552	0.736	0.816	onye na-agba ajụjụ ọnụ
interworking	0.552	0.587	0.691	imekọ ihe ọnụ
intestate	0.459	0.467	0.415	nnabata
intestinal	0.357	0.531	0.370	eriri afọ
intestine	0.343	0.450	0.380	eriri afọ
intestines	0.292	0.547	0.398	eriri afọ
intimacy	0.857	0.802	0.558	mmekọrịta chiri anya
intimate	0.724	0.598	0.393	nke chiri anya
intimately	0.806	0.573	0.590	na-akpachi anya
intimation	0.406	0.673	0.500	nkwuputa
intimidate	0.210	0.804	0.632	ịtụ egwu
intimidated	0.177	0.663	0.208	egwu
intimidating	0.229	0.790	0.708	na-eyi egwu
intimidation	0.177	0.791	0.644	iyi egwu
intolerable	0.146	0.660	0.439	anabataghi
intolerance	0.052	0.704	0.520	enweghi ndidi
intolerant	0.135	0.676	0.509	enweghị ndidi
intonation	0.615	0.442	0.598	ntụ ọka
intoxicated	0.079	0.824	0.246	mmanya na-egbu egbu
intoxicating	0.224	0.760	0.464	na-egbu egbu
intoxication	0.323	0.710	0.400	ịṅụbiga mmanya ókè
intracranial	0.281	0.602	0.553	intracranial
intractable	0.154	0.694	0.302	enweghi ike imeri
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	eriri afọ
intrepid	0.753	0.696	0.637	ejighi egwu
intricate	0.559	0.704	0.500	mgbagwoju anya
intrigue	0.362	0.830	0.327	aghụghọ
intriguing	0.422	0.713	0.462	na-akpali akpali
intrinsic	0.406	0.471	0.526	ime ime
intrinsically	0.459	0.382	0.538	n'ime ime
intro	0.510	0.331	0.657	intro
introduce	0.592	0.559	0.648	ewebata
introduction	0.612	0.413	0.640	okwu mmeghe
introductory	0.635	0.368	0.593	mmeghe
introspection	0.603	0.337	0.575	introspection
introspective	0.552	0.360	0.471	introspective
intrude	0.058	0.735	0.480	baabata
intruder	0.146	0.740	0.324	onye nbata
intrusion	0.293	0.641	0.670	ntinye aka
intrusive	0.461	0.607	0.538	ntinye aka
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	echiche
intuitive	0.771	0.573	0.690	kensinammuo
intuitively	0.670	0.561	0.648	n'uche
inundation	0.177	0.780	0.455	imirikiti
invade	0.408	0.892	0.714	wakpoo
invader	0.200	0.827	0.618	onye mbuso agha
