English Word	Valence	Arousal	Dominance	Swedish Word
inquiry	0.541	0.420	0.536	förfrågan
inquisitive	0.301	0.637	0.615	frågvis
inquisitor	0.385	0.873	0.642	inkvisitor
insane	0.062	0.670	0.265	sinnessjuk
insanity	0.098	0.847	0.337	vansinne
insatiable	0.375	0.656	0.558	omättlig
inscription	0.592	0.422	0.542	inskrift
inscrutable	0.459	0.541	0.613	outgrundlig
insect	0.276	0.633	0.242	insekt
insecticide	0.188	0.598	0.430	insekticid
insecure	0.114	0.538	0.132	osäker
insecurity	0.094	0.647	0.350	osäkerhet
insemination	0.542	0.644	0.622	insemination
insensitive	0.219	0.471	0.302	okänslig
inseparable	0.700	0.520	0.571	oskiljaktig
insert	0.481	0.552	0.519	Föra in
inserted	0.479	0.402	0.476	insatt
insertion	0.521	0.520	0.565	införande
inside	0.612	0.404	0.472	inuti
insider	0.625	0.562	0.750	insider
insidious	0.146	0.622	0.480	smygande
insight	0.613	0.363	0.649	insikt
insightful	0.664	0.691	0.713	insiktsfull
insignia	0.665	0.282	0.685	insignier
insignificance	0.250	0.216	0.222	obetydlighet
insignificant	0.083	0.306	0.114	obetydlig
insinuate	0.292	0.635	0.413	insinuera
insipid	0.214	0.250	0.241	fadd
insist	0.635	0.651	0.688	insistera
insistence	0.418	0.704	0.645	krav
insistent	0.552	0.635	0.701	påträngande
insists	0.490	0.587	0.610	insisterar
insolence	0.115	0.731	0.402	fräckhet
insolent	0.112	0.663	0.343	oförskämd
insoluble	0.439	0.290	0.414	olöslig
insolvency	0.323	0.431	0.300	insolvens
insolvent	0.230	0.481	0.318	insolvent
insomnia	0.198	0.611	0.373	sömnlöshet
insomniac	0.231	0.367	0.329	sömnlös person
inspect	0.479	0.603	0.793	inspektera
inspection	0.459	0.630	0.718	inspektion
inspector	0.418	0.580	0.852	inspektör
inspiration	0.938	0.600	0.779	inspiration
inspirational	0.927	0.720	0.810	inspirerande
inspire	0.918	0.627	0.759	inspirera
inspired	0.967	0.702	0.736	inspirerad
instability	0.177	0.760	0.353	instabilitet
install	0.630	0.583	0.736	Installera
installation	0.656	0.469	0.759	installation
installment	0.619	0.396	0.483	avbetalning
instance	0.547	0.450	0.558	exempel
instant	0.766	0.454	0.554	omedelbar
instantaneous	0.750	0.500	0.585	momentan
instantaneously	0.656	0.640	0.600	ögonblickligen
instigate	0.278	0.765	0.642	anstifta
instigation	0.323	0.769	0.648	anstiftan
instill	0.562	0.490	0.618	ingjuta
instinct	0.771	0.602	0.642	instinkt
instinctive	0.752	0.575	0.694	instinktiv
institute	0.604	0.480	0.807	inleda
institution	0.580	0.311	0.790	institution
instruct	0.729	0.490	0.833	instruera
instructed	0.740	0.388	0.722	instruerade
instruction	0.656	0.434	0.736	instruktion
instructional	0.698	0.500	0.773	instruktions-
instructions	0.582	0.302	0.556	instruktioner
instructive	0.583	0.420	0.643	lärorik
instructor	0.771	0.490	0.782	instruktör
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentalist
instrumentality	0.637	0.510	0.618	instrumentalitet
insubordination	0.281	0.775	0.634	olydnad
insufferable	0.220	0.784	0.291	olidlig
insufficiency	0.115	0.431	0.210	insufficiens
insufficient	0.188	0.380	0.093	otillräcklig
insufficiently	0.147	0.509	0.198	otillräckligt
insular	0.531	0.426	0.465	trångsynt
insulate	0.365	0.358	0.286	isolera
insulated	0.208	0.265	0.304	isolerade
insulation	0.245	0.327	0.264	isolering
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	förolämpning
insulting	0.094	0.840	0.412	förolämpande
insurance	0.714	0.308	0.825	försäkring
insure	0.700	0.415	0.698	försäkra
insurgent	0.235	0.735	0.660	rebellisk
insurmountable	0.620	0.627	0.737	oöverstiglig
insurrection	0.229	0.706	0.582	uppror
intact	0.716	0.212	0.602	intakt
intake	0.604	0.527	0.442	intag
intangible	0.525	0.480	0.473	immateriella
integer	0.573	0.327	0.595	heltal
integral	0.590	0.337	0.615	väsentlig
integrate	0.729	0.390	0.700	integrera
integration	0.771	0.480	0.737	integration
integrity	0.865	0.413	0.848	integritet
intellect	0.844	0.418	0.870	intellekt
intellectual	0.906	0.455	0.845	intellektuell
intelligence	0.833	0.587	0.885	intelligens
intelligent	0.917	0.541	0.868	intelligent
intelligibility	0.740	0.481	0.689	begriplighet
intelligible	0.635	0.480	0.691	begriplig
intend	0.562	0.520	0.519	avser
intended	0.406	0.542	0.587	avsedd
intending	0.510	0.567	0.597	avser
intense	0.592	0.774	0.679	intensiv
intensely	0.694	0.846	0.750	intensivt
intensify	0.604	0.870	0.737	intensifiera
intensity	0.622	0.930	0.952	intensitet
intensive	0.570	0.842	0.776	intensiv
intent	0.550	0.481	0.500	avsikt
intention	0.531	0.480	0.636	avsikt
intentional	0.650	0.615	0.750	avsiktlig
intentionally	0.450	0.676	0.696	avsiktligt
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	påverka varandra
interaction	0.646	0.735	0.750	samspel
interactive	0.727	0.811	0.770	interaktiv
intercede	0.582	0.577	0.630	medla
intercept	0.221	0.660	0.676	genskjuta
interception	0.327	0.673	0.643	uppsnappande
intercession	0.503	0.486	0.598	förbön
interchange	0.615	0.527	0.565	utbyte
interchangeable	0.615	0.459	0.526	utbytbar
interchanged	0.396	0.472	0.434	utbytt
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	umgänge
interdependence	0.608	0.618	0.639	ömsesidigt beroende
interdependent	0.410	0.482	0.598	beroende av varandra
interdiction	0.337	0.500	0.585	förbud
interest	0.780	0.667	0.618	intressera
interested	0.750	0.529	0.725	intresserad
interesting	0.927	0.726	0.731	intressant
interface	0.643	0.357	0.600	gränssnitt
interfere	0.323	0.714	0.471	blanda sig i
interference	0.396	0.736	0.357	interferens
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	intergalaktisk
interim	0.604	0.400	0.524	tillfällig
interior	0.618	0.157	0.462	interiör
interject	0.333	0.648	0.658	inskjuta
interlocutory	0.490	0.500	0.527	interlocutory
interlude	0.470	0.417	0.377	mellanspel
intermediary	0.427	0.510	0.643	mellanhand
intermediate	0.480	0.368	0.400	mellanliggande
interment	0.235	0.608	0.346	begravning
interminable	0.327	0.481	0.561	oändlig
intermission	0.490	0.360	0.402	paus
intermittent	0.337	0.565	0.436	intermittent
intern	0.459	0.460	0.392	internera
internal	0.439	0.349	0.423	inre
internally	0.615	0.400	0.616	internt
international	0.800	0.519	0.702	internationell
internet	0.760	0.462	0.755	internet
internship	0.590	0.510	0.482	praktik
interoffice	0.439	0.375	0.556	interoffice
interpolate	0.460	0.490	0.569	interpolera
interpolation	0.419	0.506	0.528	interpolation
interpret	0.646	0.625	0.673	tolka
interpretation	0.677	0.594	0.620	tolkning
interpreter	0.708	0.461	0.596	tolk
interpretive	0.531	0.549	0.595	tolkande
interrelated	0.615	0.469	0.592	sammanhängande
interrogate	0.323	0.808	0.680	förhöra
interrogation	0.302	0.827	0.657	förhör
interrupt	0.210	0.635	0.509	avbryta
interrupted	0.281	0.559	0.333	avbröts
interrupting	0.146	0.593	0.509	avbryta
interruption	0.184	0.632	0.425	avbrott
interrupts	0.204	0.545	0.389	avbryter
intersect	0.521	0.510	0.480	korsas
intersection	0.344	0.541	0.658	genomskärning
interstate	0.520	0.443	0.600	mellanstatlig
interstellar	0.708	0.702	0.622	interstellär
interstitial	0.333	0.471	0.534	interstitial
interval	0.510	0.284	0.400	intervall
intervene	0.520	0.677	0.768	ingripa
intervening	0.398	0.627	0.442	ingripande
intervention	0.388	0.696	0.689	intervention
interview	0.573	0.770	0.619	intervju
interviewer	0.552	0.736	0.816	intervjuare
interworking	0.552	0.587	0.691	samverkande
intestate	0.459	0.467	0.415	intestata
intestinal	0.357	0.531	0.370	tarm-
intestine	0.343	0.450	0.380	inälvor
intestines	0.292	0.547	0.398	tarmar
intimacy	0.857	0.802	0.558	intimitet
intimate	0.724	0.598	0.393	intim
intimately	0.806	0.573	0.590	intimt
intimation	0.406	0.673	0.500	antydan
intimidate	0.210	0.804	0.632	skrämma
intimidated	0.177	0.663	0.208	skrämmas
intimidating	0.229	0.790	0.708	skrämmande
intimidation	0.177	0.791	0.644	skrämsel
intolerable	0.146	0.660	0.439	outhärdlig
intolerance	0.052	0.704	0.520	intolerans
intolerant	0.135	0.676	0.509	intolerant
intonation	0.615	0.442	0.598	intonation
intoxicated	0.079	0.824	0.246	berusade
intoxicating	0.224	0.760	0.464	berusande
intoxication	0.323	0.710	0.400	berusning
intracranial	0.281	0.602	0.553	intrakraniell
intractable	0.154	0.694	0.302	svårhanterliga
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	intravenös
intrepid	0.753	0.696	0.637	orädda
intricate	0.559	0.704	0.500	invecklad
intrigue	0.362	0.830	0.327	intrig
intriguing	0.422	0.713	0.462	fängslande
intrinsic	0.406	0.471	0.526	inneboende
intrinsically	0.459	0.382	0.538	i sig själv
intro	0.510	0.331	0.657	intro
introduce	0.592	0.559	0.648	införa
introduction	0.612	0.413	0.640	introduktion
introductory	0.635	0.368	0.593	inledande
introspection	0.603	0.337	0.575	introspektion
introspective	0.552	0.360	0.471	introspektiv
intrude	0.058	0.735	0.480	inkräkta
intruder	0.146	0.740	0.324	inkräktare
intrusion	0.293	0.641	0.670	intrång
intrusive	0.461	0.607	0.538	påträngande
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	intuition
intuitive	0.771	0.573	0.690	intuitiv
intuitively	0.670	0.561	0.648	intuitivt
inundation	0.177	0.780	0.455	översvämning
invade	0.408	0.892	0.714	invadera
invader	0.200	0.827	0.618	inkräktare
invalid	0.180	0.330	0.255	ogiltig
invalidate	0.315	0.480	0.397	ogiltigförklara
invalidation	0.181	0.490	0.278	annullering
invalidity	0.186	0.394	0.158	invaliditet
invaluable	0.740	0.500	0.745	ovärderlig
invariably	0.458	0.365	0.550	ständigt
invasion	0.271	0.843	0.808	invasion
invasive	0.194	0.730	0.598	inkräktande
invent	0.719	0.689	0.833	uppfinna
invention	0.714	0.577	0.811	uppfinning
inventive	0.780	0.627	0.721	uppfinningsrik
inventor	0.781	0.667	0.847	uppfinnare
inventory	0.594	0.463	0.490	lager
inverse	0.459	0.337	0.319	omvänd
inversely	0.286	0.418	0.351	omvänt
inversion	0.602	0.630	0.772	inversion
invert	0.510	0.585	0.706	invertera
inverted	0.310	0.471	0.357	omvänd
invest	0.650	0.663	0.682	investera
investigate	0.640	0.500	0.781	undersöka
investigation	0.531	0.592	0.820	undersökning
investigative	0.562	0.600	0.704	undersökande
investigator	0.615	0.509	0.779	forskare
investment	0.720	0.592	0.745	investering
investor	0.794	0.655	0.791	investerare
invidious	0.112	0.650	0.364	orättvis
invigorate	0.821	0.798	0.831	stärka
invincible	0.867	0.853	0.914	oövervinnerlig
invisibility	0.438	0.461	0.382	osynlighet
invisible	0.417	0.345	0.412	osynlig
invitation	0.802	0.549	0.647	inbjudan
invite	0.745	0.655	0.611	inbjudan
inviting	0.938	0.571	0.538	inbjudande
invocation	0.430	0.620	0.673	åkallan
invoice	0.480	0.380	0.474	faktura
invoke	0.583	0.740	0.579	åberopa
involuntary	0.354	0.490	0.231	oavsiktlig
involution	0.296	0.420	0.407	involution
involve	0.694	0.490	0.728	engagera
involvement	0.760	0.620	0.696	medverkan
invulnerable	0.552	0.683	0.745	osårbar
inwards	0.490	0.385	0.438	inåt
iodine	0.390	0.265	0.333	jod
ion	0.429	0.330	0.408	Jon
iota	0.344	0.385	0.314	iota
irate	0.188	0.852	0.474	ilsken
ire	0.198	0.740	0.575	vrede
iridescent	0.602	0.588	0.539	iriserande
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	irriterad
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	järn
ironclad	0.561	0.648	0.679	järnklädd
ironic	0.435	0.550	0.500	Ironisk
irons	0.531	0.441	0.625	järn
irony	0.390	0.587	0.508	ironi
irradiation	0.385	0.736	0.509	bestrålning
irrational	0.125	0.648	0.394	irrationell
irrationality	0.198	0.735	0.361	irrationalitet
irreconcilable	0.146	0.667	0.375	oförenlig
irreducible	0.296	0.455	0.569	oreducerbar
irrefutable	0.496	0.549	0.716	obestridlig
irregular	0.312	0.548	0.321	oregelbunden
irregularity	0.104	0.647	0.306	oegentlighet
irregularly	0.292	0.565	0.397	oregelbundet
irrelevant	0.138	0.311	0.296	irrelevant
irreparable	0.061	0.530	0.430	irreparabel
irreplaceable	0.479	0.580	0.833	oersättlig
irrepressible	0.512	0.566	0.745	okuvlig
irresistible	0.823	0.833	0.839	oemotståndligt
irrespective	0.497	0.538	0.745	oavsett
irresponsible	0.177	0.680	0.241	oansvarig
irreverent	0.191	0.694	0.634	vanvördig
irreversible	0.170	0.541	0.667	irreversibel
irrevocable	0.296	0.560	0.712	oåterkallelig
irrigate	0.272	0.458	0.490	bevattna
irrigation	0.259	0.426	0.426	bevattning
irritability	0.146	0.853	0.283	irritabilitet
irritable	0.112	0.952	0.462	irritabel
irritate	0.167	0.890	0.368	irritera
irritated	0.210	0.816	0.281	irriterad
irritates	0.173	0.810	0.295	irriterar
irritating	0.104	0.912	0.393	irriterande
irritation	0.073	0.833	0.496	irritation
island	0.745	0.347	0.432	ö
isle	0.667	0.390	0.443	ö
islet	0.612	0.314	0.367	holme
isolate	0.235	0.422	0.336	isolera
isolated	0.221	0.356	0.255	isolerat
isolation	0.198	0.338	0.339	isolering
isomorphism	0.448	0.361	0.481	isomorfi
isothermal	0.459	0.491	0.500	isotermisk
isotope	0.429	0.404	0.407	isotop
issue	0.316	0.819	0.351	problem
itch	0.319	0.610	0.465	klia
itching	0.208	0.690	0.300	klåda
itchy	0.334	0.726	0.296	kliande
item	0.594	0.270	0.465	Artikel
itemize	0.459	0.527	0.518	specificera
items	0.542	0.401	0.434	föremål
iterate	0.449	0.460	0.440	iterera
iteration	0.531	0.449	0.486	iteration
iterative	0.429	0.420	0.500	iterativ
itinerant	0.449	0.545	0.439	ambulerande
itinerary	0.551	0.550	0.454	resväg
ivory	0.625	0.235	0.566	elfenben
jab	0.385	0.519	0.482	stöt
jabber	0.417	0.506	0.342	pladder
jack	0.487	0.450	0.441	jack
jackal	0.333	0.582	0.436	schakal
jackass	0.188	0.692	0.279	åsna
jacket	0.656	0.302	0.382	jacka
jackhammer	0.199	0.690	0.519	jackhammer
jackpot	0.950	0.750	0.786	jackpott
jackrabbit	0.625	0.379	0.344	jackkanin
jacks	0.490	0.400	0.505	domkrafter
jade	0.604	0.410	0.455	jade
jaded	0.255	0.560	0.400	utsliten
jag	0.408	0.440	0.427	jag
jagged	0.082	0.462	0.213	ojämn
jaguar	0.559	0.710	0.654	jaguar
jail	0.094	0.898	0.480	fängelse
jailbird	0.240	0.567	0.473	jailbird
jailbreak	0.354	0.629	0.471	jailbreak
jailer	0.194	0.630	0.632	fångvaktare
jailhouse	0.104	0.887	0.430	fängelsehus
jalopy	0.396	0.436	0.337	rishög
jam	0.510	0.548	0.318	sylt
jamboree	0.602	0.625	0.351	jamboree
jammed	0.235	0.817	0.411	fastnat
jammer	0.417	0.540	0.491	störsändare
janitor	0.510	0.350	0.527	vaktmästare
janitorial	0.490	0.373	0.481	vaktmästeri
japan	0.667	0.482	0.580	japan
jar	0.430	0.346	0.318	burk
jargon	0.333	0.548	0.404	jargong
jarhead	0.408	0.530	0.464	jarhead
jarring	0.210	0.673	0.309	skärande
jasmine	0.765	0.230	0.286	jasmin
jasper	0.480	0.425	0.402	jaspis
jaundice	0.214	0.480	0.355	gulsot
jaunt	0.808	0.451	0.500	utfärd
java	0.459	0.321	0.343	java
javelin	0.385	0.481	0.465	spjut
jaw	0.500	0.510	0.420	käke
jawbone	0.468	0.413	0.342	käkben
jaws	0.385	0.528	0.455	käftar
jay	0.531	0.408	0.389	jay
jazz	0.677	0.362	0.450	jazz
jazzy	0.725	0.431	0.389	jazzig
jealous	0.173	0.855	0.345	svartsjuk
jealousy	0.146	0.783	0.481	svartsjuka
jean	0.602	0.444	0.364	jean
jeans	0.622	0.324	0.371	jeans
jeep	0.602	0.510	0.612	jeep
jeering	0.266	0.792	0.380	hånfull
jelly	0.651	0.294	0.256	gelé
jellybean	0.592	0.406	0.399	geleböna
jellyfish	0.531	0.567	0.377	manet
jenny	0.542	0.406	0.407	jenny
jeopardize	0.260	0.877	0.582	äventyra
jeopardy	0.129	0.908	0.536	Jeopardy
jerk	0.194	0.630	0.238	rycka
jerks	0.214	0.788	0.395	ryck
jerky	0.233	0.538	0.358	ryckig
jersey	0.594	0.317	0.411	jersey
jest	0.520	0.736	0.222	skoj
jester	0.388	0.670	0.264	gycklare
jesus	0.800	0.400	0.620	Jesus
jet	0.612	0.721	0.606	jet
jetty	0.602	0.480	0.453	brygga
jewel	0.827	0.588	0.625	juvel
jeweler	0.760	0.482	0.500	juvelerare
jewelry	0.823	0.569	0.597	Smycken
jib	0.406	0.420	0.413	fock
jiff	0.576	0.404	0.349	jiff
jiffy	0.410	0.444	0.380	ögonblick
jig	0.531	0.396	0.357	jigg
jiggle	0.592	0.673	0.518	vicka
jigsaw	0.594	0.582	0.519	kontursåg
jihad	0.323	0.660	0.444	jihad
jimmy	0.579	0.321	0.311	jimmy
jingle	0.635	0.500	0.424	klingande
jinx	0.337	0.582	0.373	jinx
jitters	0.224	0.918	0.192	panik
jittery	0.344	0.856	0.255	skakis
jive	0.561	0.551	0.373	jive
job	0.694	0.541	0.717	jobb
jobinterview	0.684	0.837	0.723	jobbintervju
jock	0.592	0.656	0.473	jock
jockey	0.562	0.644	0.703	jockey
jockstrap	0.347	0.431	0.390	suspensoar
jog	0.510	0.708	0.519	jogga
jogger	0.417	0.510	0.424	joggare
john	0.562	0.382	0.327	john
join	0.729	0.479	0.684	Ansluta sig
joined	0.667	0.394	0.600	gick med
joining	0.755	0.469	0.685	sammanfogning
joint	0.615	0.392	0.566	gemensam
jointly	0.708	0.425	0.602	gemensamt
joke	0.704	0.610	0.316	skämt
joker	0.771	0.760	0.416	joker
joking	0.776	0.839	0.407	skojar
jolly	0.959	0.705	0.708	glad
jolt	0.365	0.708	0.358	ryck
jornada	0.417	0.500	0.533	jornada
jot	0.406	0.323	0.350	anteckna
jour	0.479	0.394	0.415	jour
journal	0.688	0.240	0.352	tidning
journalism	0.622	0.500	0.684	journalistik
journalist	0.542	0.452	0.732	journalist
journalistic	0.696	0.449	0.495	journalistisk
journey	0.910	0.702	0.625	resa
journeyman	0.765	0.596	0.741	gesäll
joust	0.520	0.528	0.551	tornera
jovial	0.823	0.460	0.526	gemytlig
joy	0.980	0.824	0.794	glädje
joyful	0.990	0.740	0.667	glad
joyous	0.958	0.580	0.728	glad
joyride	0.694	0.550	0.500	nöjestur
joys	0.981	0.643	0.651	glädjeämnen
jubilant	0.844	0.673	0.664	jublande
jubilee	0.916	0.500	0.579	jubileum
judge	0.510	0.604	0.857	bedöma
judged	0.281	0.686	0.722	bedömde
judging	0.240	0.625	0.693	bedömning
judgment	0.396	0.600	0.816	dom
judgmental	0.330	0.602	0.579	dömande
judicial	0.378	0.667	0.833	rättslig
judiciary	0.439	0.740	0.897	dömande
judicious	0.630	0.432	0.772	klok
judo	0.500	0.790	0.612	judo
jug	0.520	0.250	0.213	kanna
juggle	0.594	0.760	0.426	jonglera
juggler	0.633	0.821	0.480	jonglör
juggling	0.562	0.874	0.346	jonglering
jugular	0.271	0.573	0.426	hals
juice	0.776	0.281	0.352	juice
juicer	0.552	0.520	0.564	juicepress
juicy	0.823	0.529	0.490	saftig
juju	0.541	0.519	0.206	juju
juke	0.500	0.491	0.410	juke
jukebox	0.699	0.540	0.429	jukebox
jumble	0.357	0.613	0.331	virrvarr
jumbled	0.292	0.602	0.445	virrvarr
jumbo	0.680	0.552	0.447	jumbo
jump	0.625	0.865	0.611	hoppa
jump rope	0.656	0.660	0.368	hopprep
jumper	0.615	0.336	0.481	hoppare
jumpsuit	0.562	0.365	0.361	jumpsuit
jumpy	0.353	0.810	0.216	nervös
junction	0.490	0.481	0.364	korsning
juncture	0.365	0.582	0.491	tidpunkt
jungle	0.500	0.510	0.481	djungel
junior	0.635	0.343	0.304	junior
juniper	0.583	0.327	0.352	enbär
junk	0.115	0.481	0.118	skräp
junket	0.490	0.519	0.386	fest
junkie	0.135	0.860	0.363	knarkare
junky	0.385	0.595	0.343	junky
junkyard	0.177	0.398	0.302	Bildemontering
junta	0.451	0.503	0.704	junta
juridical	0.520	0.431	0.873	juridisk
jurisdiction	0.480	0.580	0.820	jurisdiktion
jurisprudence	0.360	0.425	0.764	juridik
jurist	0.479	0.523	0.713	jurist
juror	0.582	0.640	0.750	jurymedlem
jury	0.479	0.607	0.789	jury
justice	0.760	0.538	0.787	rättvisa
justifiable	0.786	0.413	0.821	berättigad
justification	0.622	0.444	0.661	berättigande
justify	0.612	0.473	0.615	rättfärdiga
juststop	0.417	0.379	0.364	bara sluta
justthebeginning	0.573	0.451	0.481	bara början
jute	0.551	0.216	0.295	jute
juvenile	0.678	0.490	0.526	juvenil
juxtaposition	0.427	0.500	0.460	sammanställning
kaiser	0.470	0.509	0.690	kaiser
kale	0.469	0.226	0.411	grönkål
kaleidoscope	0.615	0.439	0.580	kalejdoskop
kamikaze	0.204	0.810	0.645	kamikaze
kangaroo	0.716	0.333	0.301	känguru
kanji	0.510	0.413	0.425	kanji
kappa	0.469	0.375	0.366	kappa
kaput	0.281	0.441	0.440	kaputt
karaoke	0.763	0.649	0.342	karaoke
karate	0.562	0.833	0.598	karate
karma	0.500	0.510	0.537	karma
karmic	0.357	0.459	0.464	karmisk
kayak	0.592	0.600	0.364	kajak
kazoo	0.503	0.462	0.411	kazoo
kebab	0.531	0.431	0.377	kebab
keel	0.344	0.417	0.419	köl
keen	0.823	0.719	0.806	angelägen
keep	0.714	0.296	0.547	ha kvar
keeper	0.612	0.457	0.773	vårdare
keeping	0.592	0.280	0.723	förvaring
keepsake	0.740	0.307	0.491	minnessak
keg	0.551	0.389	0.404	kagge
kelp	0.479	0.264	0.213	kelp
ken	0.438	0.409	0.360	ken
kennel	0.430	0.480	0.406	kennel
kerchief	0.520	0.189	0.236	sjalett
kern	0.438	0.420	0.449	kern
kernel	0.542	0.453	0.462	kärna
kerosene	0.302	0.472	0.427	fotogen
ketchup	0.653	0.338	0.282	ketchup
kettle	0.357	0.497	0.333	vattenkokare
key	0.615	0.275	0.519	nyckel-
keyboard	0.573	0.279	0.349	tangentbord
keyed	0.469	0.497	0.521	nyckelad
keyhole	0.438	0.358	0.356	nyckelhål
keynote	0.630	0.431	0.545	grundton
keypad	0.604	0.255	0.330	knappsats
keystone	0.573	0.438	0.491	hörnsten
keyword	0.602	0.520	0.747	nyckelord
khaki	0.594	0.252	0.278	kaki
khan	0.463	0.476	0.529	khan
kibble	0.510	0.458	0.404	kibble
kick	0.271	0.791	0.526	sparka
kickboxing	0.427	0.882	0.651	kickboxning
kicker	0.427	0.711	0.614	kicker
kicking	0.327	0.802	0.510	sparkar
kickoff	0.583	0.600	0.629	avspark
kid	0.760	0.453	0.298	unge
kidder	0.708	0.768	0.471	skojare
kidding	0.622	0.625	0.457	skojar
kiddo	0.674	0.393	0.419	unge
kiddos	0.500	0.480	0.342	barn
kidnap	0.032	0.923	0.535	kidnappa
kidnapped	0.044	0.923	0.455	kidnappad
kidnapper	0.115	0.906	0.618	kidnappare
kidnapping	0.094	0.880	0.561	kidnappning
kidney	0.448	0.363	0.380	njure
kids	0.837	0.500	0.417	ungar
kill	0.052	0.941	0.736	döda
killer	0.041	0.971	0.543	mördare
killing	0.080	0.959	0.696	dödande
killjoy	0.178	0.550	0.324	killjoy
kiln	0.451	0.423	0.414	ugn
kilo	0.438	0.358	0.461	kilo
kilogram	0.510	0.260	0.455	kilogram
kilometer	0.490	0.439	0.485	kilometer
kilt	0.448	0.346	0.348	kilt
kimono	0.643	0.280	0.363	kimono
kin	0.543	0.441	0.457	släkt
kind	0.918	0.240	0.618	snäll
kindergarten	0.833	0.462	0.308	dagis
kindling	0.520	0.651	0.421	tändved
kindness	0.938	0.350	0.508	vänlighet
kindred	0.760	0.418	0.517	släkt
kinematics	0.594	0.480	0.614	kinematik
kinesiology	0.491	0.480	0.633	kinesiologi
kinetic	0.582	0.540	0.537	kinetisk
king	0.677	0.690	0.892	kung
king snake	0.458	0.835	0.647	kung orm
kingdom	0.714	0.547	0.910	rike
kingpin	0.357	0.626	0.642	kingpin
kink	0.337	0.634	0.321	kink
kinky	0.449	0.558	0.361	kinky
kinship	0.771	0.300	0.652	släktskap
kiosk	0.500	0.286	0.321	kiosk
kirk	0.510	0.390	0.388	kirk
kiss	0.967	0.813	0.630	kyss
kisser	0.844	0.682	0.618	trut
kissy	0.874	0.684	0.402	kiss
kit	0.583	0.344	0.420	utrustning
kitchen	0.700	0.234	0.398	kök
kite	0.643	0.500	0.573	drake
kitten	0.816	0.343	0.260	kattunge
kiwi	0.646	0.273	0.282	kiwi
klutz	0.275	0.451	0.356	klutz
knack	0.562	0.518	0.820	talang
knapsack	0.551	0.317	0.268	ryggsäck
knead	0.490	0.457	0.345	knåda
knee	0.520	0.245	0.396	knä
kneecap	0.427	0.360	0.440	knäskål
kneel	0.426	0.417	0.217	knäböja
kneeling	0.245	0.435	0.144	knästående
knell	0.354	0.500	0.377	knäböja
knick	0.480	0.509	0.420	knick
knickers	0.552	0.428	0.328	trosor
knife	0.344	0.717	0.573	kniv
knight	0.780	0.441	0.835	riddare
knighthood	0.740	0.660	0.769	riddarskap
knit	0.630	0.144	0.295	sticka
knob	0.340	0.360	0.272	knopp
knock	0.312	0.531	0.527	slå
knockoff	0.350	0.606	0.240	Lägg av
knockout	0.388	0.755	0.664	knockout-
knoll	0.434	0.347	0.333	kulle
knot	0.541	0.221	0.408	Knut
knots	0.418	0.346	0.267	knutar
knotted	0.226	0.412	0.294	knölig
know	0.765	0.361	0.704	känna till
knowing	0.833	0.353	0.658	menande
knowingly	0.500	0.459	0.481	medvetet
knowledge	0.847	0.430	0.896	kunskap
knowledgeable	0.865	0.455	0.971	kunnig
knuckle	0.655	0.333	0.393	knoge
knucklehead	0.157	0.485	0.288	knucklehead
knuckles	0.271	0.461	0.320	knogar
koala	0.608	0.210	0.311	koala
kook	0.417	0.471	0.398	kook
kooky	0.418	0.582	0.366	knasig
kool-aid	0.531	0.318	0.393	kool-aid
kos	0.500	0.471	0.407	kos
kosher	0.469	0.443	0.312	koscher
kraut	0.388	0.500	0.390	kraut
kris	0.427	0.417	0.407	kris
kryptonite	0.306	0.690	0.588	kryptonit
kudos	0.925	0.587	0.642	beröm
kumquat	0.417	0.426	0.390	kumquat
lab	0.479	0.500	0.600	labb
label	0.582	0.245	0.423	märka
labor	0.594	0.639	0.754	arbetskraft
laboratory	0.571	0.490	0.537	laboratorium
labored	0.646	0.451	0.637	arbetade
laborer	0.561	0.510	0.698	arbetare
laboring	0.705	0.644	0.737	arbetande
laborious	0.393	0.635	0.709	mödosamt
labyrinth	0.479	0.811	0.491	labyrint
lac	0.408	0.418	0.331	lac
lace	0.625	0.200	0.293	spets
laceration	0.143	0.667	0.443	rivsår
lack	0.250	0.365	0.242	brist
lackey	0.260	0.510	0.166	lakej
lacking	0.229	0.375	0.121	saknas
lackluster	0.250	0.311	0.264	matt
lacquer	0.510	0.353	0.258	lack
lacrosse	0.573	0.656	0.509	lacrosse
lactose	0.479	0.290	0.433	laktos
lad	0.637	0.388	0.336	pojke
ladder	0.560	0.438	0.358	stege
laddie	0.668	0.539	0.391	damen
laden	0.392	0.478	0.554	lastad
lading	0.388	0.463	0.409	last
ladle	0.531	0.368	0.352	slev
