English Word	Valence	Arousal	Dominance	Serbian Word
hallowed	0.740	0.500	0.728	посвећени
hallucination	0.396	0.706	0.370	халуцинације
hallway	0.573	0.230	0.279	ходник
halo	0.490	0.370	0.441	Хало
halt	0.167	0.360	0.432	застој
halter	0.448	0.451	0.431	улар
halting	0.255	0.596	0.519	заустављање
halve	0.316	0.347	0.302	преполовити
halving	0.292	0.474	0.366	преполовљење
ham	0.673	0.245	0.404	шунка
hamburger	0.809	0.551	0.387	хамбургер
hamlet	0.573	0.270	0.397	заселак
hammer	0.312	0.509	0.563	чекић
hammerhead	0.337	0.490	0.569	чекићем
hammering	0.347	0.779	0.557	чекићем
hammock	0.673	0.255	0.287	висећа мрежа
hamper	0.204	0.711	0.473	ометати
hamster	0.520	0.394	0.349	хрчак
hamstring	0.406	0.471	0.443	тетиве кољена
hand	0.542	0.314	0.434	руку
handbag	0.562	0.240	0.336	торбица
handball	0.561	0.493	0.440	Рукомет
handbook	0.600	0.224	0.567	приручник
handcuff	0.310	0.590	0.593	лисице
handful	0.521	0.481	0.400	прегршт
handgun	0.156	0.914	0.782	пиштољ
handheld	0.646	0.350	0.586	ручни
handicap	0.133	0.394	0.264	хендикеп
handicapped	0.204	0.467	0.180	хендикепираним
handicraft	0.724	0.333	0.565	ручни рад
handiwork	0.753	0.430	0.410	ручни рад
handkerchief	0.510	0.192	0.219	марамицу
handle	0.698	0.571	0.558	ручка
handler	0.439	0.593	0.861	руковалац
handmade	0.776	0.383	0.475	ручна израда
handout	0.560	0.330	0.545	брошура
handprint	0.635	0.289	0.463	отисак руке
handshake	0.816	0.654	0.492	руковање
handsome	0.890	0.600	0.682	згодан
handwriting	0.615	0.378	0.381	рукопис
handy	0.741	0.378	0.639	згодно
handyman	0.660	0.373	0.393	мајстор за све
hang	0.323	0.529	0.446	ханг
hangar	0.490	0.456	0.481	хангар
hanger	0.439	0.462	0.461	вешалица
hanging	0.378	0.471	0.389	висећи
hangman	0.153	0.877	0.555	обешењака
hangout	0.573	0.500	0.462	висити
hangover	0.188	0.565	0.267	мамурлук
hangry	0.219	0.794	0.279	гладан
hank	0.510	0.375	0.339	Ханк
hankering	0.604	0.540	0.558	жудња
hanky	0.460	0.276	0.250	ханки
hap	0.503	0.431	0.453	хап
haphazard	0.469	0.530	0.324	насумично
hapless	0.271	0.442	0.193	несрећни
happen	0.677	0.670	0.551	десити се
happening	0.646	0.529	0.555	догађај
happier	0.990	0.760	0.806	срећнији
happiest	0.990	0.716	0.746	најсрећнији
happily	1.000	0.690	0.674	срећно
happiness	0.960	0.732	0.850	срећа
happy	1.000	0.735	0.772	срећна
happydance	0.857	0.760	0.582	хаппиданце
happyday	0.929	0.650	0.663	Срећан дан
happyheart	0.949	0.575	0.605	хаппихеарт
happyholidays	0.927	0.740	0.637	срећни празници
happynewyear	0.969	0.815	0.559	Срећна Нова година
happyplace	0.938	0.589	0.645	хаппиплаце
happytweet	0.847	0.588	0.437	хаппитвеет
happyvalentinesday	0.929	0.784	0.509	хаппивалентинесдаи
harass	0.160	0.775	0.620	узнемиравати
harassing	0.120	0.873	0.446	узнемиравање
harassment	0.083	0.896	0.420	узнемиравање
harbinger	0.490	0.389	0.692	претеча
harbor	0.594	0.356	0.634	лука
hard	0.302	0.708	0.616	тешко
hardball	0.542	0.667	0.452	хардбалл
hardcore	0.250	0.721	0.585	хардцоре
harden	0.276	0.598	0.677	очврснути
hardened	0.406	0.618	0.764	очврснуо
hardening	0.388	0.673	0.741	каљење
hardheaded	0.156	0.699	0.571	тврдоглав
hardness	0.417	0.580	0.745	тврдоћа
hardship	0.094	0.775	0.482	тешкоћа
hardware	0.594	0.289	0.686	хардвера
hardwood	0.417	0.363	0.518	тврдо дрво
hardworking	0.719	0.583	0.792	вредни
hardy	0.571	0.569	0.810	издржљив
hare	0.620	0.410	0.345	харе
harebrained	0.296	0.551	0.436	зечји мозак
harem	0.521	0.578	0.582	харем
hark	0.571	0.500	0.398	харк
harlot	0.198	0.798	0.330	блудница
harm	0.073	0.679	0.423	штета
harmful	0.094	0.750	0.291	штетно
harmless	0.625	0.226	0.241	безопасан
harmonica	0.847	0.235	0.510	хармоника
harmonics	0.865	0.400	0.575	хармонике
harmonious	0.938	0.391	0.719	хармоничан
harmoniously	0.969	0.265	0.647	складно
harmonize	0.939	0.461	0.609	ускладити
harmony	0.949	0.230	0.509	хармонија
harness	0.570	0.549	0.508	упрегнути
harp	0.618	0.310	0.356	харфа
harper	0.417	0.454	0.435	харпер
harpoon	0.490	0.700	0.557	харпун
harpsichord	0.541	0.490	0.438	чембало
harrowing	0.209	0.810	0.474	дрљање
harry	0.520	0.409	0.390	харри
harsh	0.250	0.650	0.623	груб
harshness	0.323	0.600	0.779	грубост
hart	0.643	0.389	0.447	харт
harvest	0.781	0.353	0.548	жетва
hash	0.344	0.453	0.355	хасх
hashish	0.370	0.570	0.358	хашиш
hassle	0.177	0.740	0.489	гњаважа
haste	0.378	0.745	0.500	журба
hasten	0.571	0.750	0.618	убрзати
hastily	0.271	0.609	0.609	на брзину
hasty	0.188	0.885	0.424	нагао
hat	0.604	0.183	0.353	шешир
hatch	0.479	0.653	0.402	хатцх
hatchet	0.333	0.608	0.500	секире
hate	0.031	0.802	0.430	мржња
hateeee	0.219	0.606	0.368	хатееее
hateeveryone	0.041	0.840	0.429	Мрзим све
hateful	0.071	0.819	0.430	мрски
hater	0.052	0.702	0.422	мрзитељ
hateyou	0.125	0.735	0.464	Мрзим те
hating	0.083	0.820	0.434	мрзећи
hatred	0.037	0.847	0.424	мржње
haughty	0.240	0.708	0.588	охоло
haul	0.551	0.564	0.453	вући
haulage	0.561	0.510	0.650	вучу
haunt	0.288	0.676	0.576	утвара
haunted	0.264	0.731	0.520	уклет
have	0.757	0.389	0.593	имати
haven	0.684	0.265	0.547	пристаниште
havoc	0.163	0.769	0.535	хаос
haw	0.406	0.426	0.431	хав
hawk	0.583	0.530	0.631	Јастреб
hawking	0.521	0.509	0.491	хокинг
hay	0.469	0.212	0.343	сено
haye	0.615	0.451	0.336	хаие
hayride	0.561	0.521	0.464	хаириде
haystack	0.552	0.292	0.331	стог сена
haywire	0.358	0.545	0.430	хаивире
hazard	0.112	0.884	0.757	Опасност
hazardous	0.061	0.750	0.670	опасан
haze	0.427	0.327	0.217	измаглица
hazmat	0.398	0.479	0.519	хазмат
hazy	0.450	0.433	0.230	магловито
head	0.530	0.472	0.558	глава
headache	0.168	0.755	0.273	главобоља
headaches	0.104	0.720	0.259	главобоље
headband	0.670	0.469	0.527	трака за косу
headdress	0.594	0.408	0.443	покривала за главу
header	0.560	0.398	0.740	заглавље
headgear	0.542	0.442	0.571	покривала за главу
heading	0.551	0.292	0.642	наслова
headland	0.574	0.551	0.430	рт
headless	0.136	0.582	0.235	безглави
headlight	0.592	0.343	0.393	фар
headline	0.630	0.241	0.685	наслов
headliner	0.500	0.490	0.625	хеадлинер
headlock	0.448	0.538	0.560	хеадлоцк
headlong	0.354	0.548	0.409	стрмоглаво
headmaster	0.604	0.564	0.865	управник
headphones	0.600	0.357	0.336	слушалице
headquarter	0.615	0.269	0.525	Седиште
headquarters	0.615	0.271	0.525	штаб
headset	0.602	0.340	0.302	слушалице
headstone	0.240	0.378	0.349	надгробни споменик
headstrong	0.310	0.714	0.500	својеглав
headway	0.823	0.464	0.745	напредовање
heady	0.448	0.806	0.565	опојно
heal	0.765	0.245	0.556	излечити
healer	0.863	0.378	0.741	исцелитељ
healing	0.750	0.452	0.585	исцељење
health	0.935	0.427	0.551	здравље
healthcare	0.780	0.392	0.630	здравствена заштита
healthful	0.930	0.315	0.769	здраво
healthy	0.938	0.319	0.818	здрав
heap	0.582	0.510	0.474	гомила
hear	0.760	0.429	0.444	чуј
hearer	0.656	0.281	0.415	слушалац
hearing	0.669	0.490	0.595	слух
hearsay	0.288	0.623	0.333	из друге руке
hearse	0.177	0.490	0.324	мртвачка кола
heart	0.827	0.500	0.693	срце
heart disease	0.250	0.750	0.386	болест срца
heartache	0.088	0.750	0.291	бол у срцу
heartattack	0.156	0.839	0.455	срчани напад
heartbeat	0.750	0.698	0.585	откуцај срца
heartbreak	0.208	0.610	0.245	сломљено срце
heartbreaker	0.265	0.685	0.580	срцеломац
heartbreaking	0.146	0.811	0.423	срцепарајуће
heartbroken	0.082	0.551	0.235	сломљеног срца
heartburn	0.143	0.613	0.398	горушица
hearted	0.823	0.410	0.805	срчано
heartfelt	0.904	0.440	0.540	од срца
hearth	0.760	0.275	0.536	огњиште
heartily	0.927	0.531	0.664	од срца
heartland	0.812	0.510	0.675	хеартланд
heartless	0.071	0.652	0.400	бездушни
hearts	0.948	0.592	0.634	срца
heartsick	0.240	0.388	0.208	срчана
heartworm	0.333	0.550	0.430	срчани црв
hearty	0.760	0.684	0.792	срдачан
heat	0.534	0.612	0.433	топлота
heated	0.479	0.497	0.542	загрејан
heater	0.500	0.573	0.538	грејач
heath	0.802	0.387	0.546	Пустара
heathen	0.194	0.529	0.491	пагански
heather	0.500	0.352	0.407	хеатхер
heating	0.647	0.491	0.537	грејање
heave	0.716	0.588	0.664	хеаве
heaven	0.896	0.385	0.600	небо
heavenly	0.844	0.452	0.712	небески
heavens	0.806	0.273	0.683	небеса
heavily	0.542	0.679	0.814	јако
heaviness	0.219	0.549	0.318	тежина
heaving	0.201	0.843	0.491	дизање
heavy	0.250	0.454	0.600	тежак
heavy metal	0.417	0.755	0.621	тешки метал
heavyweight	0.429	0.578	0.713	тешка категорија
heck	0.240	0.728	0.560	хецк
hectares	0.570	0.250	0.471	хектара
hectic	0.167	0.811	0.438	ужурбано
hedge	0.604	0.602	0.569	живе ограде
hedgehog	0.458	0.491	0.377	јеж
hedonism	0.510	0.500	0.608	хедонизам
hee	0.430	0.433	0.312	он е
heed	0.750	0.490	0.569	пажње
heel	0.480	0.350	0.385	пета
heels	0.500	0.439	0.396	потпетице
heft	0.503	0.340	0.530	хефт
hefty	0.550	0.654	0.745	позамашан
hegemonic	0.462	0.519	0.558	хегемонистички
heheh	0.625	0.510	0.278	хехех
heifer	0.439	0.443	0.321	јуница
height	0.677	0.608	0.648	висина
heighten	0.755	0.622	0.765	појачати
heightened	0.592	0.529	0.788	појачан
heinous	0.133	0.792	0.471	гнусно
heir	0.840	0.654	0.764	наследник
heiress	0.827	0.571	0.676	наследница
heirloom	0.684	0.375	0.745	наследство
heirs	0.796	0.519	0.698	наследници
heist	0.184	0.850	0.645	пљачка
helical	0.379	0.429	0.468	спирални
helicopter	0.714	0.806	0.617	хеликоптер
helipad	0.780	0.637	0.573	хелиодром
heliport	0.594	0.604	0.527	хелиодром
helium	0.490	0.316	0.304	хелијум
helix	0.521	0.462	0.509	хелик
hell	0.020	0.918	0.565	пакао
hellfire	0.143	0.890	0.618	Паклена ватра
hellhole	0.200	0.615	0.421	хеллхоле
hellish	0.125	0.860	0.545	паклено
helm	0.511	0.450	0.615	кормило
helmet	0.573	0.327	0.402	Кацига
helmsman	0.490	0.441	0.647	кормилар
help	0.673	0.471	0.460	помоћ
helper	0.704	0.438	0.567	помоћник
helpful	0.816	0.337	0.705	користан
helpless	0.104	0.420	0.214	беспомоћан
helplessness	0.087	0.480	0.250	беспомоћности
hem	0.562	0.283	0.291	хем
hematite	0.448	0.389	0.342	хематит
hematoma	0.146	0.600	0.398	хематом
hemi	0.510	0.363	0.342	хеми
hemisphere	0.531	0.367	0.598	хемисфера
hemispheric	0.562	0.449	0.603	хемисферни
hemlock	0.438	0.350	0.434	хемлоцк
hemoglobin	0.469	0.481	0.418	хемоглобин
hemorrhage	0.031	0.849	0.426	хеморагија
hemorrhoids	0.133	0.702	0.304	хемороиди
hemostat	0.388	0.442	0.464	хемостат
hemp	0.469	0.439	0.422	конопље
hen	0.385	0.276	0.241	кокошка
henceforth	0.527	0.404	0.466	од сада
henhouse	0.500	0.577	0.414	кокошињац
hepatitis	0.055	0.596	0.358	хепатитиса
herald	0.643	0.382	0.500	гласник
heraldry	0.550	0.520	0.607	хералдика
herb	0.643	0.418	0.353	трава
herbaceous	0.560	0.220	0.310	зељаста
herbal	0.592	0.255	0.390	биљни
herbarium	0.602	0.188	0.327	хербаријум
herbs	0.620	0.299	0.308	биље
herd	0.592	0.500	0.474	стадо
hereditary	0.531	0.600	0.737	наследан
heredity	0.704	0.445	0.818	наследност
heresy	0.265	0.765	0.443	јерес
heretic	0.090	0.710	0.447	јеретик
heretical	0.229	0.630	0.487	јеретички
heretofore	0.479	0.388	0.385	до сада
hereunto	0.500	0.225	0.333	овоме
herewith	0.450	0.360	0.415	са овим
heritage	0.842	0.512	0.815	наслеђе
hermaphrodite	0.480	0.684	0.481	хермафродит
hermeneutics	0.406	0.577	0.562	херменеутике
hermit	0.271	0.337	0.351	Пустиња
hernia	0.146	0.486	0.223	кила
hero	0.940	0.806	0.881	јунак
heroic	0.890	0.770	0.912	јуначки
heroics	0.865	0.673	0.894	херојства
heroin	0.276	0.843	0.655	хероин
heroine	0.729	0.755	0.833	хероина
heroism	0.844	0.802	0.898	јунаштво
herpes	0.110	0.600	0.309	херпес
herpesvirus	0.219	0.558	0.435	херпесвирус
herring	0.531	0.387	0.422	харинга
hertz	0.396	0.417	0.506	херца
hesitant	0.333	0.542	0.321	колебљив
hesitate	0.459	0.548	0.232	оклевати
hesitating	0.265	0.528	0.240	оклевајући
hesitation	0.286	0.396	0.217	оклевање
hetero	0.589	0.405	0.435	хетеро
heterogeneity	0.439	0.450	0.556	хетерогеност
hew	0.417	0.470	0.377	хев
hex	0.410	0.510	0.363	хек
hexagon	0.542	0.226	0.425	хекагон
heyday	0.646	0.680	0.673	хеидаи
hiatus	0.479	0.294	0.352	пауза
hibernate	0.500	0.317	0.431	хибернирати
hibernation	0.469	0.245	0.384	хибернација
hiccup	0.271	0.549	0.240	штуцање
hick	0.357	0.442	0.314	хицк
hickey	0.448	0.529	0.345	шљива
hickory	0.520	0.490	0.415	хикори
hidden	0.208	0.430	0.327	сакривен
hide	0.438	0.510	0.218	сакрити
hideaway	0.448	0.481	0.360	скровиште
hideous	0.091	0.750	0.328	одвратан
hideout	0.337	0.443	0.302	скровиште
hiding	0.250	0.567	0.364	скривајући се
hierarchical	0.521	0.620	0.939	хијерархијски
hierarchy	0.583	0.722	0.902	хијерархија
hieroglyphics	0.479	0.325	0.509	хијероглифи
high	0.684	0.510	0.614	висока
high heels	0.646	0.528	0.429	високе потпетице
highball	0.656	0.520	0.481	хигхбалл
higher	0.866	0.528	0.713	виши
highest	0.771	0.640	0.710	највиши
highland	0.615	0.481	0.611	висоравни
highlands	0.735	0.431	0.596	висоравни
highlight	0.844	0.637	0.882	истакнути
highness	0.740	0.670	0.931	височанство
hight	0.667	0.637	0.645	хигхт
hightail	0.448	0.480	0.481	хигхтаил
highway	0.640	0.583	0.425	аутопут
hijack	0.042	0.908	0.594	отмица
hijacker	0.104	0.953	0.683	отмичар
hike	0.615	0.442	0.538	планинарење
hiker	0.694	0.802	0.644	планинар
hiking	0.820	0.843	0.670	планинарење
hiking boot	0.657	0.353	0.446	планинарска чизма
hilarious	0.750	0.640	0.537	урнебесно
hilarity	0.745	0.480	0.575	весеље
hill	0.615	0.353	0.518	брдо
hillside	0.625	0.292	0.458	обронак брда
hilltop	0.688	0.643	0.787	врх брда
hilly	0.643	0.479	0.603	брдовита
hilt	0.396	0.650	0.537	дршка
hind	0.483	0.644	0.337	хинд
hinder	0.276	0.537	0.470	ометати
hindering	0.260	0.654	0.435	ометајући
hindrance	0.135	0.545	0.473	сметња
hindsight	0.333	0.431	0.532	ретроспектива
hinge	0.458	0.292	0.417	шарка
hint	0.602	0.330	0.517	наговестити
hinterland	0.530	0.520	0.457	залеђе
hip	0.448	0.415	0.345	хип
hip hop	0.740	0.714	0.484	Хип Хоп
hippie	0.551	0.400	0.396	хипи
hippo	0.490	0.404	0.477	нилски коњ
hippopotamus	0.541	0.472	0.615	нилски коњ
hire	0.688	0.558	0.556	најам
hirsute	0.385	0.483	0.373	хирсуте
hiss	0.388	0.480	0.370	шиштати
hissing	0.500	0.454	0.400	шиштање
histology	0.490	0.320	0.560	хистологија
historian	0.688	0.270	0.637	историчар
historic	0.816	0.473	0.784	историјским
historical	0.653	0.357	0.833	историјским
historiography	0.562	0.415	0.634	историографија
history	0.729	0.382	0.754	историје
hit	0.235	0.931	0.679	хит
hitch	0.512	0.480	0.554	хитцх
hitchhike	0.396	0.622	0.385	стопирати
hitchhiker	0.594	0.626	0.603	аутостопер
hitherto	0.448	0.356	0.463	до сада
hitter	0.418	0.683	0.713	ударач
hive	0.471	0.452	0.544	кошница
hives	0.417	0.473	0.591	кошнице
hoard	0.506	0.412	0.518	оставе
hoarse	0.281	0.402	0.315	промуклим
hoary	0.469	0.298	0.424	сивкаст
hoax	0.146	0.696	0.303	обмана
hob	0.633	0.363	0.415	плоча за кување
hobbit	0.479	0.489	0.472	хобит
hobby	0.827	0.560	0.471	хоби
hobo	0.323	0.443	0.282	скитница
hock	0.513	0.452	0.412	скочни зглоб
hockey	0.565	0.786	0.548	хокеј
hoe	0.302	0.480	0.418	мотика
hog	0.317	0.509	0.271	свиња
hogwash	0.420	0.490	0.361	свињарија
hohoho	0.677	0.433	0.330	Хо Хо Хо
hoist	0.521	0.520	0.458	дизалица
hokey	0.604	0.667	0.430	хокеи
hold	0.448	0.290	0.364	држати
holder	0.592	0.330	0.713	држач
holding	0.600	0.385	0.670	држећи
holdup	0.398	0.471	0.398	држати
hole	0.531	0.310	0.330	рупа
holiday	0.948	0.431	0.593	празник
holidays	0.939	0.521	0.512	празници
holidayseason	0.875	0.566	0.518	празнична сезона
holiness	0.860	0.264	0.742	светост
holistic	0.670	0.348	0.547	холистички
holler	0.276	0.825	0.406	викати
hollow	0.300	0.337	0.222	шупље
holly	0.510	0.250	0.443	холли
holocaust	0.062	0.918	0.618	холокауста
hologram	0.615	0.461	0.575	холограм
holographic	0.510	0.471	0.555	холографски
holster	0.561	0.255	0.339	футрола
holy	0.812	0.112	0.690	Свети
holyspirit	0.740	0.480	0.526	Свети Дух
homage	0.833	0.560	0.737	омаж
hombre	0.656	0.472	0.696	хомбре
hombres	0.510	0.538	0.652	хомбрес
home	0.854	0.270	0.545	кућа
homeboy	0.602	0.255	0.436	хомебои
homecoming	0.760	0.413	0.472	повратак кући
homeland	0.663	0.439	0.868	домовина
homeless	0.042	0.450	0.188	бескућници
homely	0.745	0.157	0.399	домаћински
homemade	0.869	0.340	0.398	домаће
homeopathic	0.417	0.268	0.400	хомеопатски
homeopathy	0.469	0.284	0.439	хомеопатија
homeowner	0.635	0.397	0.962	власник куће
homeroom	0.604	0.480	0.491	кућна соба
homesick	0.436	0.304	0.347	носталгично
homestead	0.865	0.221	0.536	имање
homesweethome	0.796	0.380	0.538	доме слатки доме
hometown	0.858	0.333	0.605	родни град
homeward	0.833	0.275	0.435	кући
homework	0.396	0.412	0.459	домаћи задатак
homey	0.769	0.278	0.500	домаћи
homicidal	0.020	0.912	0.573	убиствена
homicide	0.010	0.973	0.518	убиство
homily	0.621	0.358	0.425	проповед
homing	0.551	0.460	0.527	хоминг
hominy	0.479	0.382	0.429	хомини
homo	0.531	0.368	0.415	хомо
homogeneity	0.715	0.365	0.582	хомогеност
homogeneous	0.552	0.255	0.617	хомоген
homologous	0.471	0.353	0.536	хомологно
homologue	0.542	0.356	0.509	хомолог
homology	0.571	0.494	0.527	хомологија
homophobic	0.130	0.736	0.464	хомофобичан
honcho	0.469	0.464	0.397	хонцхо
hone	0.688	0.392	0.473	брусити
honest	0.927	0.254	0.750	поштени
honesty	0.938	0.411	0.728	поштење
honey	0.920	0.431	0.510	душо
honeycomb	0.541	0.417	0.412	саће
honeymoon	0.979	0.678	0.526	Медени месец
honeysuckle	0.597	0.451	0.517	орлови нокти
honk	0.549	0.635	0.415	хонк
honky	0.458	0.632	0.425	хонки
honor	0.896	0.587	0.857	част
honorable	0.963	0.412	0.830	часни
honorarium	0.796	0.510	0.746	хонорар
honorary	0.885	0.565	0.811	почасни
honored	0.938	0.447	0.732	почаствован
hooch	0.429	0.538	0.373	хооцх
hood	0.357	0.459	0.306	хоод
hooded	0.306	0.745	0.439	са капуљачом
hoodlum	0.354	0.720	0.432	хулигана
hoof	0.427	0.341	0.365	копито
hook	0.418	0.444	0.395	кука
hooked	0.610	0.661	0.454	закачен
hooker	0.214	0.889	0.373	курва
hookup	0.625	0.529	0.683	смувати се
hooky	0.468	0.500	0.452	хооки
hooligan	0.295	0.712	0.455	хулиган
hoop	0.635	0.204	0.315	обруч
hoopla	0.542	0.471	0.353	хоопла
hooray	0.610	0.481	0.536	ура
hoot	0.449	0.560	0.430	хут
hooter	0.470	0.615	0.455	хутер
hop	0.450	0.520	0.427	хоп
hope	0.927	0.317	0.739	надати се
hopeful	0.947	0.357	0.627	пун наде
hopeless	0.094	0.298	0.112	безнадежан
hopelessness	0.052	0.402	0.223	безнађе
hopes	0.917	0.500	0.702	наде
hoping	0.684	0.469	0.454	надати се
hopper	0.396	0.491	0.442	хоппер
horde	0.286	0.713	0.684	хорде
horizon	0.729	0.284	0.590	Хоризонт
horizontal	0.573	0.304	0.387	хоризонтално
horizontally	0.500	0.356	0.439	хоризонтално
hormonal	0.500	0.620	0.551	хормонални
hormone	0.490	0.750	0.621	хормона
horn	0.385	0.510	0.366	рог
horned	0.316	0.610	0.375	рогати
hornet	0.398	0.594	0.500	Стршљен
horny	0.490	0.908	0.560	напаљен
horoscope	0.500	0.360	0.490	хороскоп
horrendous	0.073	0.755	0.365	хоррендоус
horrible	0.071	0.857	0.398	страшно
horribly	0.050	0.631	0.454	страшно
horrid	0.052	0.765	0.419	страшно
horrific	0.094	0.846	0.481	страшно
horrified	0.040	0.885	0.368	ужаснут
horrifying	0.010	0.760	0.352	ужасавајуће
horror	0.115	0.850	0.438	хорор
horrors	0.061	0.852	0.409	страхоте
horse	0.635	0.510	0.529	коњ
horseback	0.688	0.588	0.566	коња
horseman	0.441	0.700	0.676	коњаник
horsepower	0.594	0.735	0.735	коњских снага
horseradish	0.321	0.584	0.476	рен
horseshit	0.153	0.582	0.179	срање
horseshoe	0.673	0.350	0.406	потковица
horsey	0.602	0.454	0.462	коњски
horticultural	0.594	0.387	0.509	хортикултурни
horticulture	0.700	0.420	0.434	хортикултура
hosannah	0.679	0.373	0.500	хосаннах
hose	0.469	0.288	0.263	црево
hosiery	0.520	0.344	0.373	чарапа
hospice	0.337	0.443	0.535	хоспис
hospitable	0.791	0.470	0.661	гостопримљив
hospital	0.323	0.537	0.598	болница
hospitality	0.865	0.333	0.725	гостопримство
host	0.693	0.471	0.537	домаћин
hostage	0.163	0.923	0.325	талац
hostel	0.479	0.500	0.398	Хостел
hostess	0.792	0.604	0.688	хостеса
hostile	0.188	0.877	0.474	непријатељски
hostilities	0.276	0.810	0.444	непријатељства
hostility	0.122	0.775	0.465	непријатељство
hot	0.490	0.740	0.573	вруће
hot sauce	0.333	0.740	0.509	љути сос
hotbed	0.510	0.285	0.395	жариште
hotdog	0.720	0.438	0.373	Хот дог
hotel	0.740	0.370	0.407	Хотел
hothead	0.240	0.849	0.518	хотхеад
hotline	0.592	0.565	0.663	врућа линија
hotshot	0.500	0.727	0.615	паклени ударац
hotyoga	0.683	0.609	0.446	хотиога
hound	0.417	0.528	0.582	Ловачки пас
hour	0.552	0.265	0.336	сат
hourglass	0.542	0.284	0.492	пешчани сат
hourly	0.469	0.418	0.491	По сату
house	0.587	0.135	0.533	кућа
houseboat	0.604	0.389	0.429	чамац на кући
houseboy	0.479	0.415	0.393	хоусебои
housebroken	0.518	0.461	0.389	хоусеброкен
houseguest	0.530	0.500	0.481	хоусегуест
household	0.781	0.230	0.667	домаћинство
householder	0.816	0.541	0.833	домаћин
housekeeper	0.694	0.279	0.520	Кућна помоћница
housekeeping	0.604	0.500	0.445	домаћинство
housewarming	0.857	0.710	0.727	домовање
housewife	0.656	0.361	0.449	домаћица
housework	0.484	0.413	0.342	Кућни послови
housing	0.776	0.304	0.591	становање
hovel	0.333	0.296	0.322	ховел
hover	0.510	0.431	0.404	лебдети
hovercraft	0.541	0.654	0.588	ховерцрафт
howl	0.357	0.646	0.407	урлати
howsoever	0.459	0.309	0.345	како год
hoy	0.583	0.298	0.471	хои
hub	0.479	0.399	0.433	чвориште
hubby	0.548	0.435	0.430	хубби
huckleberry	0.600	0.279	0.296	хуцклеберри
huddle	0.604	0.509	0.445	дружити се
hue	0.507	0.416	0.417	нијанса
huff	0.388	0.491	0.315	хуфф
huffy	0.420	0.616	0.375	хуффи
hug	0.908	0.427	0.548	загрлити
huge	0.573	0.625	0.783	огроман
hugger	0.520	0.480	0.412	грлити
huggy	0.854	0.429	0.451	хугги
hugs	0.980	0.422	0.600	загрљаји
hulk	0.460	0.740	0.750	хулк
hull	0.542	0.265	0.353	труп
hum	0.490	0.296	0.276	зујати
human	0.767	0.314	0.605	људски
humane	0.800	0.370	0.580	хуман
humanitarian	0.786	0.317	0.709	хуманитарне
humanities	0.729	0.325	0.677	хуманистичких наука
humanity	0.750	0.360	0.727	човечанство
humankind	0.885	0.394	0.714	човечанство
humanoid	0.521	0.462	0.491	хуманоидни
humanrights	0.792	0.559	0.730	људска права
humble	0.867	0.236	0.483	скроман
humbled	0.280	0.618	0.198	понизио
humbly	0.771	0.194	0.370	понизно
humbug	0.219	0.622	0.456	хумбуг
humdrum	0.269	0.246	0.353	хумдрум
humid	0.375	0.324	0.366	влажан
humidity	0.464	0.373	0.367	влажност
humiliate	0.052	0.714	0.275	понизити
humiliated	0.104	0.712	0.216	понижени
humiliating	0.062	0.716	0.279	понижавајући
humiliation	0.048	0.712	0.310	понижење
humility	0.740	0.118	0.444	понизност, одмереност
hummer	0.510	0.622	0.589	хуммер
hummingbird	0.750	0.370	0.273	колибри
humongous	0.378	0.538	0.536	огроман
humor	0.890	0.633	0.462	хумор
humored	0.854	0.657	0.545	хуморед
humorist	0.958	0.790	0.607	хумориста
humorous	0.906	0.616	0.665	шаљив
hump	0.296	0.462	0.250	грба
humpback	0.235	0.346	0.247	грбавац
hunch	0.561	0.630	0.567	слутња
hunchback	0.208	0.390	0.259	грбавац
hundred	0.604	0.370	0.406	стотину
hundredth	0.427	0.368	0.466	стоти
hunger	0.083	0.554	0.328	глад
hungry	0.083	0.690	0.254	гладан
hunk	0.438	0.375	0.361	Комадина
hunks	0.417	0.453	0.482	хункс
hunky	0.469	0.571	0.438	хунки
hunt	0.327	0.806	0.588	ловити
hunter	0.292	0.817	0.817	ловац
hunting	0.448	0.713	0.714	лов
huntress	0.357	0.717	0.765	ловкиња
hurdle	0.198	0.682	0.434	препрека
hurl	0.316	0.745	0.574	бацити
hurrah	0.802	0.740	0.500	ура
hurricane	0.177	0.958	0.787	ураган
hurricanes	0.286	0.898	0.784	урагани
hurried	0.314	0.806	0.393	пожурио
hurry	0.422	0.735	0.481	пожурите
hurryup	0.473	0.791	0.555	пожури
hurt	0.062	0.773	0.291	повредити
hurtful	0.104	0.680	0.463	штетно
hurting	0.153	0.778	0.221	боли
husband	0.771	0.500	0.655	муж
husbandry	0.643	0.473	0.445	узгој
hush	0.471	0.231	0.312	тихо
hushed	0.292	0.194	0.272	утихнуо
husk	0.378	0.173	0.147	љуска
husky	0.630	0.450	0.490	хаски
hussy	0.219	0.594	0.384	хусси
hustle	0.406	0.661	0.427	енергичност
hustler	0.260	0.821	0.627	хустлер
hut	0.633	0.270	0.375	колиба
hutch	0.385	0.453	0.520	хутцх
hyacinth	0.372	0.360	0.342	зумбул
hybrid	0.500	0.365	0.570	хибрид
hydra	0.406	0.598	0.534	хидра
hydrant	0.570	0.413	0.367	хидрант
hydrate	0.610	0.367	0.547	хидратизовати
hydraulic	0.522	0.398	0.596	хидраулични
