English Word	Valence	Arousal	Dominance	Uyghur Word
ninety	0.479	0.349	0.436	توقسان
ninja	0.542	0.844	0.682	ninja
ninny	0.344	0.343	0.309	توققۇز
nintendo	0.802	0.571	0.464	nintendo
ninth	0.490	0.212	0.396	توققۇزىنچى
nip	0.281	0.700	0.264	nip
nipper	0.386	0.422	0.317	nipper
nipple	0.480	0.786	0.415	ئەمچەك توپچىسى
nippy	0.540	0.500	0.416	nippy
nitrate	0.388	0.406	0.500	nitrate
nitro	0.500	0.647	0.639	nitro
nitrogen	0.427	0.435	0.562	ئازوت
nitrous	0.435	0.561	0.411	nitrous
nitwit	0.146	0.606	0.139	nitwit
nix	0.330	0.380	0.404	nix
no anticipation	0.396	0.480	0.341	ئىنتىزارلىق يوق
no disgust	0.510	0.324	0.448	يىرگىنچلىك ئەمەس
no emotion	0.170	0.109	0.225	ھېسسىيات يوق
no sentiment	0.092	0.382	0.278	ھېچقانداق ھېسسىيات يوق
no surprise	0.171	0.224	0.412	ھەيران قالارلىق ئەمەس
no trust	0.055	0.445	0.257	ئىشەنچ يوق
nobility	0.844	0.347	0.736	ئاقسۆڭەك
noble	0.906	0.345	0.610	ئالىيجاناب
nobleman	0.675	0.286	0.709	ئاقسۆڭەك
nobodycares	0.365	0.410	0.354	ھېچكىم كارى يوق
nocomplaints	0.677	0.164	0.491	nocomplaints
nocturnal	0.540	0.500	0.462	كېچىدە
nod	0.590	0.367	0.427	بېشىنى لىڭشىتتى
nodding	0.694	0.294	0.426	بېشىنى لىڭشىتتى
node	0.396	0.343	0.361	node
nodular	0.438	0.351	0.411	nodular
nodule	0.312	0.426	0.349	nodule
noggin	0.510	0.433	0.382	noggin
nohope	0.200	0.441	0.385	nohope
noir	0.375	0.394	0.365	noir
noise	0.260	0.883	0.388	شاۋقۇن
noisy	0.271	0.812	0.561	شاۋقۇن
nomad	0.375	0.413	0.433	كۆچمەن
nomadic	0.427	0.519	0.422	كۆچمەن
nomenclature	0.500	0.222	0.575	nomenclature
nominal	0.594	0.250	0.463	nominal
nominate	0.615	0.471	0.669	نامزات
nomination	0.663	0.637	0.696	نامزات
nominee	0.662	0.625	0.765	نامزات
nonce	0.422	0.370	0.377	nonce
nonchalant	0.312	0.314	0.366	nonchalant
noncompliance	0.112	0.598	0.259	ماس كەلمەسلىك
nondescript	0.490	0.434	0.348	nondescript
nonexistent	0.208	0.429	0.149	يوق
nonfat	0.604	0.260	0.340	nonfat
nonfiction	0.426	0.315	0.431	nonfiction
nonpayment	0.229	0.510	0.298	پۇل تۆلىمەيدۇ
nonresident	0.250	0.340	0.302	ئاھالە
nonsense	0.214	0.531	0.155	قۇرۇق گەپ
nonsensical	0.173	0.268	0.193	قۇرۇق گەپ
nonviolent	0.640	0.287	0.346	زوراۋان
noob	0.417	0.430	0.267	noob
noodle	0.633	0.216	0.225	noodle
nook	0.480	0.321	0.296	nook
noon	0.531	0.343	0.518	چۈش
noose	0.356	0.300	0.330	noose
nopoint	0.276	0.324	0.314	nopoint
noregrets	0.469	0.476	0.426	noregrets
norm	0.500	0.245	0.527	norm
normal	0.740	0.127	0.380	نورمال
normalcy	0.805	0.151	0.620	نورماللىق
normality	0.781	0.089	0.444	نورماللىق
north	0.531	0.255	0.450	شىمال
northbound	0.604	0.454	0.491	northbound
northeast	0.562	0.260	0.375	شەرقىي شىمال
northern	0.570	0.340	0.472	شىمال
northwest	0.604	0.345	0.451	غەربىي شىمال
northwestern	0.479	0.306	0.462	غەربىي شىمال
noschool	0.490	0.400	0.380	noschool
nose	0.582	0.270	0.245	بۇرۇن
nosebleed	0.153	0.776	0.361	بۇرۇن
nosey	0.276	0.655	0.223	nosy
nosnow	0.392	0.394	0.366	nosnow
nostalgia	0.417	0.337	0.339	nostalgia
nostalgic	0.458	0.351	0.184	nostalgic
nostress	0.531	0.404	0.415	nostress
nostril	0.396	0.404	0.316	nostril
nosun	0.388	0.380	0.351	nosun
nosy	0.292	0.558	0.433	nosy
not negative	0.622	0.270	0.444	مەنپىي ئەمەس
not positive	0.051	0.370	0.236	ئاكتىپ ئەمەس
notable	0.760	0.450	0.696	كۆرۈنەرلىك
notables	0.594	0.608	0.755	notables
notably	0.792	0.533	0.689	بولۇپمۇ
notamorningperson	0.469	0.578	0.440	notamorningperson
notary	0.541	0.451	0.676	ھۆكۈمەت گۇۋاھلىقى خادىملىرى
notation	0.635	0.380	0.558	notation
notch	0.459	0.361	0.358	notch
notched	0.480	0.530	0.356	notched
note	0.594	0.163	0.416	ئىزاھات
notebook	0.449	0.167	0.442	خاتىرە دەپتەر
noted	0.615	0.382	0.464	دەپ كۆرسەتتى
noteworthy	0.704	0.481	0.759	دىققەت قىلىشقا ئەرزىيدۇ
nothappy	0.112	0.320	0.170	nothappy
nothingbetter	0.635	0.390	0.543	nothingbetter
nothingness	0.204	0.080	0.161	ھېچنېمە يوق
notice	0.646	0.408	0.491	ئۇقتۇرۇش
noticeable	0.890	0.562	0.750	كۆرۈنەرلىك
notification	0.604	0.461	0.671	ئۇقتۇرۇش
notify	0.643	0.471	0.573	ئۇقتۇرۇش قىلىڭ
notion	0.612	0.284	0.667	ئۇقۇم
notional	0.520	0.288	0.500	notional
notoriety	0.552	0.633	0.769	نام
notorious	0.366	0.582	0.609	داڭلىق
notready	0.133	0.400	0.196	ئاللىبۇرۇن
notwithstanding	0.367	0.316	0.433	قانداق بولۇشىدىن قەتئىينەزەر
nought	0.312	0.098	0.116	ھېچنېمە يوق
noun	0.531	0.230	0.477	ئىسىم
nourish	0.878	0.460	0.639	ئوزۇقلۇق
nourishment	0.786	0.290	0.631	ئوزۇقلۇق
nouveau	0.633	0.438	0.432	nouveau
novel	0.702	0.352	0.439	رومان
novelist	0.340	0.343	0.529	رومان يازغۇچى
novelty	0.673	0.521	0.740	يېڭىلىق
novice	0.429	0.346	0.180	novice
nowadays	0.680	0.346	0.400	ھازىر
nowork	0.312	0.264	0.309	nowork
noworries	0.630	0.402	0.500	noworries
noxious	0.177	0.585	0.379	زەھەرلىك
nozzle	0.438	0.330	0.287	nozzle
nuance	0.408	0.282	0.411	nuance
nuances	0.490	0.375	0.527	nuances
nuclear	0.219	0.856	0.781	يادرو
nucleus	0.529	0.296	0.667	يادرو
nude	0.490	0.915	0.200	nude
nudge	0.448	0.500	0.509	nudge
nudie	0.500	0.529	0.373	nudie
nudist	0.440	0.796	0.483	nudist
nudity	0.438	0.853	0.415	nudity
nugget	0.602	0.340	0.348	nugget
nuisance	0.198	0.817	0.227	ئاۋارىچىلىك
nuke	0.125	0.905	0.873	nuke
nul	0.337	0.358	0.264	nul
null	0.253	0.147	0.152	null
nullify	0.255	0.373	0.395	ئىناۋەتسىز
numb	0.108	0.420	0.352	numb
number	0.406	0.231	0.471	سان
numbering	0.510	0.363	0.482	نومۇر
numbers	0.406	0.241	0.440	سان
numbness	0.306	0.398	0.265	ماغدۇرسىزلىنىش
numbskull	0.300	0.472	0.284	numbskull
numeral	0.582	0.254	0.382	رەقەم
numerator	0.490	0.317	0.526	سان
numerical	0.479	0.322	0.517	سان
numerically	0.510	0.337	0.500	سان جەھەتتىن
numerous	0.622	0.462	0.609	نۇرغۇن
nun	0.500	0.150	0.406	راھىبە
nunchucks	0.337	0.580	0.526	nunchucks
nunnery	0.653	0.236	0.473	nunnery
nuptials	0.771	0.588	0.571	nuptials
nurse	0.635	0.578	0.521	سېستىرا
nursemaid	0.615	0.431	0.436	سېستىرا
nursery	0.894	0.406	0.389	بالىلار باغچىسى
nursing	0.552	0.549	0.653	سېستىرا
nurture	0.745	0.378	0.657	بېقىش
nut	0.365	0.310	0.250	ياڭاق
nutcase	0.286	0.775	0.259	ياڭاق
nutcracker	0.635	0.378	0.522	nutcracker
nuthouse	0.347	0.519	0.434	nuthouse
nutmeg	0.635	0.302	0.350	ياڭاق
nutrition	0.885	0.420	0.579	ئوزۇقلۇق
nutritional	0.812	0.406	0.676	ئوزۇقلۇق
nutritious	0.833	0.337	0.655	ئوزۇقلۇق قىممىتى يۇقىرى
nutritive	0.875	0.422	0.667	ئوزۇقلۇق قىممىتى يۇقىرى
nuts	0.594	0.250	0.291	ياڭاق
nutshell	0.458	0.407	0.310	قىسقىچە قىلىپ ئېيتقاندا
nutty	0.444	0.317	0.271	nutty
nylon	0.490	0.304	0.295	nylon
nylong	0.439	0.248	0.351	nylong
nylons	0.556	0.379	0.320	nylons
nymph	0.542	0.529	0.472	nymph
nymphomaniac	0.398	0.894	0.536	nymphomaniac
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	oak
oar	0.469	0.392	0.316	oar
oasis	0.796	0.283	0.429	بوستانلىق
oat	0.622	0.170	0.298	oat
oath	0.543	0.615	0.824	قەسەم
oatmeal	0.592	0.192	0.241	oatmeal
obedience	0.765	0.287	0.536	ئىتائەت
obedient	0.800	0.179	0.518	ئىتائەتمەن
obediently	0.802	0.304	0.577	ئىتائەتمەن
obelisk	0.604	0.408	0.596	obelisk
obese	0.133	0.427	0.250	سېمىز
obesity	0.215	0.370	0.328	سېمىزلىك
obey	0.677	0.433	0.533	ئىتائەت قىلىڭ
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	obituary
object	0.531	0.356	0.375	ئوبيېكت
objection	0.347	0.592	0.709	باشقىچە پىكىر
objectionable	0.459	0.382	0.558	باشقىچە پىكىردە
objective	0.724	0.337	0.736	ئوبيېكتىپ
objectivity	0.765	0.431	0.711	ئوبيېكتىپلىق
obligation	0.222	0.596	0.718	مەجبۇرىيەت
obligatory	0.337	0.571	0.780	ۋاجىپ
oblige	0.281	0.770	0.614	مەجبۇرى
obliged	0.327	0.680	0.411	مەجبۇرى
obliging	0.740	0.402	0.545	مەجبۇرى
obligor	0.302	0.600	0.360	قەرزدار
oblique	0.438	0.347	0.455	يانتۇ
obliterate	0.250	0.539	0.569	ئەمەلدىن قالدۇرۇڭ
obliterated	0.240	0.469	0.344	ئەمەلدىن قالدۇرۇلدى
obliteration	0.177	0.622	0.397	ئەمەلدىن قالدۇرۇش
oblivion	0.153	0.330	0.282	ئۇنتۇلۇش
oblivious	0.229	0.388	0.355	ئۇنتۇلغۇسىز
oblong	0.561	0.455	0.370	oblong
obnoxious	0.088	0.602	0.256	obnoxious
oboe	0.510	0.340	0.392	oboe
obscene	0.050	0.745	0.348	شەھۋانىي
obscenity	0.083	0.843	0.418	شەھۋانىيلىق
obscure	0.370	0.551	0.278	ئېنىق ئەمەس
obscured	0.115	0.356	0.298	ئېنىق ئەمەس
obscurity	0.208	0.392	0.380	ئېنىقسىزلىق
observance	0.531	0.315	0.632	كۆزىتىش
observant	0.740	0.422	0.708	كۈزەتكۈچى
observation	0.633	0.433	0.667	كۆزىتىش
observatory	0.643	0.324	0.731	رەسەتخانىسى
observe	0.771	0.390	0.360	كۈزەت
observer	0.663	0.363	0.603	كۈزەتكۈچى
observing	0.583	0.400	0.685	كۆزىتىش
obsess	0.112	0.846	0.509	obsess
obsessed	0.219	0.840	0.439	ھەۋەس
obsessing	0.173	0.773	0.698	obsessing
obsession	0.229	0.847	0.571	obsession
obsessive	0.219	0.823	0.480	obsessive
obsolescence	0.250	0.431	0.377	كونىراپ كەتكەن
obsolete	0.337	0.321	0.250	ۋاقتى ئۆتكەن
obstacle	0.204	0.708	0.336	توسالغۇ
obstetrician	0.521	0.636	0.604	تۇغۇت دوختۇرى
obstetrics	0.530	0.582	0.564	تۇغۇت بۆلۈمى
obstinate	0.146	0.696	0.562	جاھىل
obstruct	0.115	0.660	0.458	توسالغۇ
obstruction	0.125	0.742	0.491	توسقۇنلۇق
obstructive	0.204	0.650	0.613	توسالغۇ
obtain	0.760	0.438	0.731	ئېرىشىش
obtainable	0.677	0.327	0.702	ئېرىشكىلى بولىدۇ
obtuse	0.281	0.460	0.345	obtuse
obverse	0.470	0.394	0.464	قارشى
obvious	0.625	0.336	0.585	ئېنىق
ocarina	0.541	0.392	0.366	ocarina
occasion	0.700	0.451	0.398	پۇرسەت
occasional	0.490	0.298	0.387	ئاندا-ساندا
occasionally	0.538	0.240	0.264	ئاندا-ساندا
occipital	0.398	0.408	0.518	كۆكرەك پەردىسى
occlusion	0.306	0.439	0.442	ئوكسىگېن
occult	0.292	0.382	0.406	occult
occupancy	0.625	0.471	0.721	ئولتۇرۇش
occupant	0.500	0.417	0.483	ئولتۇرغۇچى
occupation	0.562	0.470	0.692	كەسپى
occupational	0.583	0.469	0.596	كەسپى
occupied	0.337	0.546	0.441	ئىشغال قىلىندى
occupier	0.427	0.438	0.600	ئىشغالچى
occupy	0.396	0.520	0.589	ئىگىلىۋېلىڭ
occupying	0.573	0.462	0.519	ئىشغال قىلىش
occur	0.451	0.561	0.510	يۈز بېرىدۇ
occurrence	0.573	0.690	0.541	ھادىسە
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	ئوكيان
oceanic	0.740	0.317	0.632	ئوكيان
octagon	0.602	0.349	0.462	سەككىز بۇرجەكلىك بىنا
octave	0.438	0.380	0.482	octave
octopus	0.713	0.378	0.411	octopus
ocular	0.418	0.370	0.400	ocular
odd	0.265	0.337	0.302	غەلىتە
oddball	0.316	0.360	0.357	oddball
oddity	0.312	0.557	0.386	غەلىتە
odds	0.500	0.472	0.680	غەلىتە
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	odious
odometer	0.367	0.470	0.388	odometer
odor	0.337	0.363	0.404	پۇراق
odyssey	0.622	0.692	0.710	odyssey
oedipal	0.312	0.575	0.509	oedipal
oestrogen	0.521	0.608	0.561	estrogen
oeuvre	0.653	0.484	0.598	oeuvre
offal	0.302	0.470	0.302	offal
offence	0.312	0.798	0.446	جىنايەت
offend	0.094	0.804	0.333	رەنجىتىش
offended	0.188	0.690	0.337	رەنجىدى
offender	0.104	0.851	0.537	جىنايەتچى
offense	0.230	0.765	0.510	جىنايەت
offensive	0.135	0.882	0.600	كىشىنى بىزار قىلىدۇ
offer	0.750	0.745	0.596	تەكلىپ
offered	0.582	0.490	0.544	تەكلىپ قىلىندى
offering	0.688	0.462	0.585	قۇربانلىق
offhand	0.388	0.500	0.368	offhand
office	0.427	0.302	0.509	ئىشخانا
officer	0.542	0.430	0.877	ئەمەلدار
offices	0.469	0.312	0.534	ئىشخانىلار
official	0.646	0.565	0.833	official
officiate	0.688	0.453	0.704	رەسمىي
offing	0.490	0.412	0.447	offing
offload	0.479	0.444	0.525	offload
offset	0.719	0.394	0.704	offset
offshoot	0.517	0.330	0.361	offshoot
offshore	0.417	0.484	0.441	offshore
offside	0.323	0.519	0.443	offside
offspring	0.656	0.435	0.600	ئەۋلاد
oft	0.500	0.308	0.474	oft
oftentimes	0.571	0.500	0.482	دائىم
ogre	0.135	0.698	0.510	ogre
ohdear	0.458	0.519	0.442	ohdear
ohgod	0.500	0.557	0.439	ohgod
ohno	0.396	0.475	0.380	ohno
ohshit	0.230	0.594	0.343	ohshit
oil	0.521	0.278	0.306	نېفىت
oils	0.459	0.229	0.391	ماي
oily	0.276	0.533	0.385	مايلىق
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	مەلھەم
okra	0.469	0.400	0.362	okra
olden	0.284	0.213	0.425	olden
oldie	0.363	0.363	0.342	oldie
oldies	0.438	0.300	0.412	ياشانغانلار
olfactory	0.602	0.409	0.452	پۇراش
oligarchy	0.327	0.567	0.741	oligarchy
olive	0.571	0.231	0.406	زەيتۇن
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	omelet
omen	0.390	0.657	0.583	omen
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	شۇملۇق
omission	0.367	0.333	0.275	ئەمەلدىن قالدۇرۇش
omit	0.330	0.265	0.451	ئەمەلدىن قالدۇرۇڭ
omitted	0.260	0.235	0.211	ئەمەلدىن قالدۇرۇلدى
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	ھەممىگە قادىر
omnipotent	0.719	0.679	0.919	ھەممىگە قادىر
omnipresent	0.688	0.452	0.825	ھەممىلا جايدا
omniscient	0.656	0.334	0.778	ھەممىنى بىلگۈچى
onboard	0.612	0.451	0.491	onboard
oncologist	0.260	0.654	0.640	ئۆسمە كېسەللىكلىرى دوختۇرى
oncology	0.204	0.424	0.500	oncology
oncoming	0.594	0.625	0.773	oncoming
one	0.542	0.292	0.370	بىرى
oneday	0.667	0.245	0.374	oneday
onedge	0.479	0.552	0.400	onedge
onelove	0.816	0.577	0.541	onelove
oneness	0.745	0.272	0.720	بىرلىك
onerous	0.500	0.480	0.462	جاپالىق
oneself	0.660	0.337	0.483	ئۆزى
ongoing	0.674	0.484	0.556	داۋاملىشىۋاتىدۇ
onion	0.378	0.367	0.382	پىياز
onset	0.673	0.497	0.500	onset
onslaught	0.198	0.939	0.717	onslaught
onstage	0.719	0.673	0.583	onstage
ontology	0.510	0.450	0.518	ontology
onus	0.562	0.520	0.769	onus
onward	0.667	0.538	0.741	onward
onyx	0.571	0.461	0.380	onyx
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	ooze
oozing	0.238	0.515	0.427	oozing
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	ئېنىقلىق
opal	0.623	0.479	0.379	opal
opaque	0.344	0.265	0.342	opaque
ope	0.375	0.380	0.395	ope
open	0.620	0.480	0.569	ئوچۇق
opener	0.584	0.526	0.377	ئاچقۇچى
opening	0.667	0.510	0.620	ئېچىش
openly	0.603	0.388	0.553	ئوچۇق
openness	0.837	0.561	0.667	ئوچۇق
opera	0.714	0.500	0.483	ئوپېرا
operate	0.582	0.690	0.691	مەشغۇلات قىلىڭ
operatic	0.375	0.452	0.627	مەشغۇلاتچان
operation	0.475	0.611	0.755	مەشغۇلات
operational	0.562	0.570	0.679	مەشغۇلاتچان
operations	0.480	0.549	0.798	مەشغۇلات
operative	0.541	0.635	0.718	مەشغۇلاتچان
operator	0.612	0.630	0.726	تىجارەتچى
ophthalmic	0.427	0.385	0.444	كۆز كېسەللىكلىرى
ophthalmologist	0.552	0.389	0.491	كۆز كېسەللىكلىرى دوختۇرى
opiate	0.281	0.594	0.598	opiate
opinion	0.594	0.482	0.638	پىكىر
opinionated	0.156	0.800	0.491	پىكىر قىلدى
opium	0.276	0.490	0.333	ئەپيۇن
opponent	0.080	0.741	0.716	رەقىبى
opportune	0.796	0.538	0.767	پۇرسەت
opportunism	0.571	0.752	0.673	پۇرسەتپەرەسلىك
opportunity	0.938	0.745	0.833	پۇرسەت
oppose	0.431	0.800	0.473	قارشى تۇر
opposed	0.092	0.460	0.606	قارشى تۇرغان
opposing	0.188	0.660	0.518	قارشى
opposite	0.235	0.545	0.408	ئەكسىچە
opposites	0.281	0.518	0.462	قارمۇ-قارشى
opposition	0.135	0.729	0.592	ئۆكتىچىلەر
oppress	0.186	0.654	0.555	زۇلۇم
oppressed	0.119	0.640	0.259	زۇلۇمغا ئۇچرىدى
oppression	0.080	0.673	0.615	زۇلۇم
oppressive	0.276	0.590	0.667	زالىم
oppressor	0.160	0.776	0.629	زالىم
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	opt
optic	0.663	0.384	0.594	ئوپتىك
optical	0.677	0.311	0.542	ئوپتىكىلىق
optics	0.562	0.286	0.580	ئوپتىكا
optimism	0.949	0.565	0.814	ئۈمىدۋارلىق
optimist	0.875	0.539	0.787	ئۈمىدۋار
optimistic	0.979	0.580	0.821	ئۈمىدۋار
optimum	0.892	0.469	0.808	ئەڭ ياخشى
option	0.512	0.427	0.359	تاللاش
optional	0.755	0.350	0.440	ئىختىيارىي
optionally	0.365	0.405	0.481	ئىختىيارىي
options	0.622	0.327	0.473	تاللانما
optometrist	0.446	0.455	0.668	optometrist
opulence	0.620	0.615	0.648	opulence
opulent	0.562	0.660	0.660	opulent
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	oracle
oral	0.530	0.448	0.375	ئاغزاكى
orange	0.646	0.132	0.296	ئاپېلسىن
orange juice	0.719	0.343	0.445	ئاپېلسىن شەربىتى
orangutan	0.430	0.560	0.471	orangutan
oration	0.646	0.315	0.683	oration
orator	0.667	0.375	0.682	orator
oratory	0.602	0.472	0.693	orator
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	orbit
orbital	0.458	0.451	0.559	orbital
orbiting	0.520	0.643	0.554	orbiting
orbs	0.469	0.355	0.482	orbs
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	مېۋىلىك باغ
orchestra	0.708	0.500	0.664	ئوركېستىر
orchid	0.840	0.345	0.382	orchid
ordained	0.735	0.409	0.731	بۇيرۇلغان
ordeal	0.344	0.539	0.529	جاپا-مۇشەققەت
order	0.780	0.295	0.814	زاكاز
orderly	0.844	0.240	0.661	تەرتىپلىك
ordinance	0.615	0.452	0.776	بۇيرۇق
ordinary	0.375	0.312	0.286	ئادەتتىكى
ordination	0.688	0.490	0.765	ordination
ordnance	0.354	0.825	0.679	ordnance
ore	0.500	0.333	0.356	رۇدا
oregano	0.596	0.327	0.250	oregano
organ	0.510	0.469	0.538	organ
organic	0.719	0.343	0.535	ئورگانىك
organism	0.457	0.559	0.800	ئورگانىزم
organist	0.740	0.469	0.669	organist
organization	0.810	0.535	0.851	تەشكىلات
organize	0.802	0.655	0.781	تەشكىللەڭ
organized	0.816	0.337	0.746	تەشكىللەنگەن
organizer	0.604	0.577	0.846	تەشكىللىگۈچى
orgasm	0.844	0.863	0.676	orgasm
orgies	0.388	0.953	0.433	orgies
orgy	0.346	0.962	0.536	orgy
orient	0.667	0.422	0.667	يۆنىلىش
oriental	0.592	0.409	0.598	شەرق
orientation	0.667	0.454	0.686	يۆنىلىش
orifice	0.448	0.355	0.443	orifice
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	كېلىپ چىقىشى
original	0.765	0.480	0.746	original
originality	0.898	0.500	0.824	originality
originate	0.702	0.500	0.866	مەنبە
origination	0.760	0.443	0.604	كېلىپ چىقىشى
originator	0.592	0.510	0.868	ئىجاد قىلغۇچى
ornament	0.561	0.373	0.441	زىننەت
ornamental	0.663	0.392	0.460	زىننەت بۇيۇمى
ornamentation	0.663	0.471	0.472	زىننەت
ornamented	0.677	0.350	0.490	زىننەتلەنگەن
ornate	0.812	0.356	0.500	ornate
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	يېتىم
orphanage	0.184	0.439	0.425	يېتىم بالىلار
orphaned	0.062	0.430	0.228	يېتىم
orthodontist	0.469	0.615	0.564	ortodontist
orthodox	0.388	0.471	0.647	orthodox
orthodoxy	0.271	0.388	0.612	ئورتودوكس
orthogonal	0.500	0.314	0.540	orthogonal
orthopedic	0.406	0.346	0.473	سۆڭەك كېسەللىكلىرى
oscillate	0.449	0.580	0.397	تەۋرىنىش
oscillating	0.469	0.548	0.402	تەۋرىنىش
oscillation	0.562	0.433	0.431	تەۋرىنىش
oscillatory	0.375	0.520	0.480	تەۋرىنىش
ostensible	0.542	0.549	0.585	ostensible
ostensibly	0.473	0.529	0.509	كۆرۈنۈشتە
ostentatious	0.479	0.794	0.648	ostentatious
ostracized	0.115	0.690	0.377	چەتكە قېقىلدى
ostrich	0.592	0.382	0.241	ostrich
other	0.472	0.230	0.259	other
otter	0.439	0.216	0.339	otter
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	ئوسمانلى
ought	0.438	0.511	0.434	تېگىشلىك
ounce	0.531	0.255	0.288	ئۇنسىيە
oust	0.296	0.716	0.444	oust
outage	0.306	0.684	0.438	outage
outback	0.500	0.324	0.430	outback
outbid	0.594	0.622	0.540	outbid
outboard	0.448	0.491	0.456	outboard
outbreak	0.260	0.632	0.472	تارقىلىش
outburst	0.209	0.802	0.528	outburst
outcast	0.153	0.449	0.353	outcast
outcome	0.615	0.472	0.685	نەتىجە
outcry	0.271	0.773	0.718	دەپ ۋارقىراش
outdated	0.167	0.236	0.226	ۋاقتى ئۆتكەن
outdo	0.771	0.750	0.873	سىرتتا
outdoor	0.814	0.256	0.447	سىرتتا
outdoors	0.781	0.444	0.453	سىرتتا
outer	0.552	0.471	0.456	تاشقى
outfit	0.760	0.490	0.566	كىيىم
outgoing	0.650	0.472	0.538	چىقىش
outgrow	0.510	0.529	0.722	outgrow
outgrowth	0.771	0.620	0.688	outgrowth
outhouse	0.281	0.519	0.255	outhouse
outing	0.771	0.672	0.634	outing
outlandish	0.448	0.737	0.657	outlandish
outlast	0.620	0.786	0.685	outlast
outlaw	0.255	0.662	0.482	قانۇنسىز
outlet	0.610	0.396	0.245	outlet
outline	0.542	0.365	0.509	outline
outlines	0.656	0.402	0.651	outlines
outlive	0.565	0.769	0.724	outlive
outlook	0.830	0.525	0.625	نەزەر
outlying	0.460	0.562	0.503	سىرتقا چىقىش
outnumber	0.347	0.615	0.577	سان
outpatient	0.260	0.400	0.395	ئامبۇلاتورىيە
outpost	0.635	0.571	0.675	outpost
outpouring	0.562	0.685	0.552	outpouring
output	0.604	0.389	0.434	output
outrage	0.060	0.689	0.542	غەزەپ
outraged	0.156	0.696	0.538	غەزەپلەنگەن
outrageous	0.153	0.945	0.713	كىشىنى غەزەپلەندۈرىدۇ
outrank	0.653	0.643	0.817	ئوچۇق
outreach	0.540	0.462	0.672	سىرتقا يەتكۈزۈش
outright	0.767	0.396	0.755	ئوچۇق
outrun	0.531	0.833	0.573	outrun
outset	0.750	0.500	0.582	باشلىنىش
outsider	0.398	0.549	0.447	outsider
outskirts	0.474	0.519	0.312	شەھەر سىرتى
outsmart	0.673	0.657	0.864	outsmart
outspoken	0.582	0.413	0.667	ئوچۇق-ئاشكارە
outstanding	0.898	0.760	0.896	گەۋدىلىك
outstretched	0.448	0.481	0.519	سوزۇلغان
outward	0.449	0.439	0.365	سىرتقا
outwards	0.440	0.472	0.400	سىرتقا
outweigh	0.486	0.600	0.682	outweigh
outwit	0.302	0.755	0.356	outwit
oval	0.417	0.280	0.330	oval
ovary	0.469	0.399	0.280	تۇخۇمدان
ovate	0.385	0.286	0.368	ovate
ovation	0.719	0.758	0.750	ovation
oven	0.583	0.425	0.606	ئوچاق
overactive	0.667	0.885	0.592	ھەددىدىن زىيادە ئاكتىپ
overall	0.583	0.370	0.670	ئومۇمەن
overalls	0.500	0.392	0.373	overs
overbearing	0.323	0.833	0.861	ھەددىدىن زىيادە ئېشىپ كېتىش
overburden	0.115	0.755	0.546	يۈك
overcast	0.417	0.250	0.475	قاپقارا
overcharged	0.276	0.780	0.569	overcharged
overcoat	0.594	0.265	0.430	چاپان
overcome	0.719	0.689	0.848	يەڭ
overcoming	0.842	0.765	0.855	ئۈستىدىن غالىب كېلىش
overcrowded	0.292	0.520	0.491	ئادەم بەك كۆپ
overdo	0.156	0.864	0.602	overdo
overdose	0.110	0.820	0.468	ھەددىدىن زىيادە كۆپ
overdrive	0.303	0.715	0.732	overdrive
overdue	0.125	0.427	0.259	ۋاقتى ئۆتۈپ كەتتى
overestimate	0.367	0.796	0.444	ھەددىدىن زىيادە مۆلچەر
overestimated	0.344	0.646	0.527	ھەددىدىن زىيادە يۇقىرى مۆلچەرلەنگەن
overflow	0.398	0.792	0.500	overflow
overflowing	0.439	0.796	0.635	تولۇپ تاشقان
overgrown	0.333	0.500	0.369	overgrown
overgrowth	0.417	0.790	0.673	ئۆسۈپ يېتىلىش
overhanging	0.698	0.755	0.812	overhanging
overhaul	0.500	0.651	0.491	رېمونت قىلىش
overhead	0.344	0.700	0.538	overhead
overhear	0.650	0.365	0.580	overhear
overheated	0.250	0.598	0.547	بەك قىزىپ كەتتى
overjoyed	0.908	0.708	0.755	بەك خۇشال بولدى
overkill	0.379	0.861	0.678	overkill
