English Word	Valence	Arousal	Dominance	Javanese Word
identification	0.714	0.451	0.692	identifikasi
identify	0.635	0.480	0.667	ngenali
identity	0.663	0.360	0.780	tetenger
ideology	0.573	0.344	0.692	ideologi
idiocy	0.112	0.635	0.137	kebodohan
idiom	0.520	0.337	0.445	idiom
idiomatic	0.531	0.429	0.516	idiomatik
idiot	0.086	0.567	0.113	wong bodho
idiotic	0.104	0.620	0.170	bodho
idiots	0.143	0.600	0.144	wong bodho
idle	0.179	0.167	0.112	nganggur
idleness	0.308	0.330	0.228	idleness
idler	0.200	0.304	0.194	nganggur
idol	0.684	0.805	0.853	idola
idolatry	0.365	0.571	0.625	nyembah brahala
idolizing	0.676	0.712	0.643	idolizing
idyllic	0.571	0.394	0.593	idyllic
iffy	0.380	0.442	0.333	kesel
ifonly	0.406	0.250	0.255	yen mung
igloo	0.569	0.302	0.345	igloo
igneous	0.469	0.466	0.517	igneous
ignite	0.458	0.785	0.675	murub
ignition	0.365	0.720	0.657	ignition
ignorance	0.153	0.417	0.209	nggatekke
ignorant	0.102	0.461	0.223	bodho
ignore	0.146	0.230	0.295	nglirwakake
iguana	0.521	0.235	0.291	iguana
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	ilk
ill	0.073	0.410	0.200	gerah
illegal	0.061	0.787	0.337	ilegal
illegality	0.094	0.635	0.427	ilegal
illegally	0.133	0.788	0.402	ilegal
illegible	0.296	0.490	0.315	ora bisa dibaca
illegitimate	0.184	0.644	0.302	ora sah
illicit	0.188	0.794	0.390	haram
illiterate	0.120	0.410	0.151	buta huruf
illness	0.098	0.717	0.211	penyakit
illogical	0.208	0.630	0.251	ora logis
illuminate	0.905	0.646	0.782	madhangi
illuminating	0.949	0.613	0.773	madhangi
illumination	0.760	0.588	0.537	iluminasi
illuminator	0.770	0.566	0.718	iluminator
illusion	0.562	0.490	0.387	khayalan
illustrate	0.750	0.430	0.690	ilustrasi
illustration	0.740	0.441	0.640	ilustrasi
illustrative	0.771	0.452	0.647	ilustrasi
illustrious	0.673	0.550	0.741	misuwur
ilovechristmas	0.885	0.590	0.525	natal
iloveher	0.750	0.519	0.556	aku tresno marang wong kui
image	0.653	0.241	0.453	gambar
imagery	0.653	0.327	0.390	gambaran
imaginable	0.613	0.529	0.596	bisa dibayangke
imaginary	0.560	0.424	0.310	khayalan
imagination	0.802	0.491	0.547	imajinasi
imaginative	0.780	0.541	0.593	imajinatif
imagine	0.759	0.480	0.587	mbayangno
imagined	0.656	0.412	0.418	mbayangno
imaging	0.724	0.394	0.482	pencitraan
imagining	0.765	0.458	0.545	mbayangno
imam	0.527	0.337	0.539	imam
imbalance	0.115	0.538	0.264	ora seimbang
imbecile	0.082	0.569	0.260	bodho
imbedded	0.406	0.580	0.562	imbedded
imissyou	0.480	0.608	0.344	kangen kowe
imitate	0.469	0.561	0.336	niru
imitated	0.333	0.391	0.442	ditiru
imitation	0.406	0.592	0.343	tiron
immaculate	0.698	0.330	0.688	resik
immaterial	0.296	0.309	0.295	ora material
immature	0.114	0.500	0.200	durung diwasa
immaturity	0.146	0.567	0.221	durung diwasa
immeasurable	0.510	0.539	0.712	ora bisa diukur
immeasurably	0.510	0.640	0.680	ora bisa diukur
immediacy	0.635	0.630	0.627	immediacy
immediate	0.656	0.548	0.716	langsung
immediately	0.552	0.780	0.707	langsung
immemorial	0.327	0.469	0.454	biyen
immense	0.755	0.750	0.811	ageng
immerse	0.510	0.577	0.509	nyemplungaken
immersion	0.510	0.556	0.564	kecemplung
immigrant	0.357	0.663	0.509	imigran
immigration	0.390	0.667	0.454	imigrasi
imminent	0.490	0.784	0.643	caket
immobile	0.225	0.217	0.298	ora obah
immoral	0.143	0.622	0.385	ora sopan
immorality	0.188	0.689	0.315	maksiat
immortal	0.812	0.750	0.795	langgeng
immortality	0.688	0.635	0.861	kalanggengan
immovable	0.480	0.310	0.571	ora obah
immune	0.629	0.472	0.780	kekebalan
immunity	0.633	0.316	0.786	kakebalan
immunization	0.667	0.510	0.733	imunisasi
immutable	0.427	0.431	0.571	ora bisa owah
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	impact
impair	0.153	0.500	0.360	ngrusak
impaired	0.130	0.459	0.269	cacat
impairment	0.170	0.571	0.220	cacat
impart	0.521	0.441	0.694	menehi
impartial	0.531	0.406	0.685	ora adil
impartiality	0.622	0.394	0.616	imparsial
impassable	0.342	0.458	0.553	ora bisa diliwati
impassioned	0.740	0.780	0.802	semangat
impatience	0.278	0.780	0.411	ora sabar
impatient	0.250	0.708	0.429	ora sabar
impatiently	0.194	0.750	0.539	ora sabar
impeach	0.208	0.776	0.664	impeach
impeachment	0.163	0.735	0.694	impeachment
impeccable	0.833	0.370	0.824	tanpa cacad
impede	0.271	0.510	0.604	ngalang-alangi
impediment	0.163	0.600	0.409	alangan
impelled	0.604	0.741	0.690	didorong
impending	0.480	0.735	0.752	mbesuk
impenetrable	0.531	0.577	0.839	ora bisa ditembus
imperative	0.625	0.647	0.708	imperatif
imperceptible	0.378	0.490	0.548	ora ketok
imperfect	0.173	0.527	0.202	ora sampurna
imperfection	0.190	0.567	0.321	ora sampurna
imperfectly	0.297	0.481	0.330	ora sampurna
imperial	0.669	0.646	0.922	imperial
imperialist	0.284	0.786	0.833	imperialis
impermeable	0.510	0.308	0.558	impermeable
impermissible	0.188	0.464	0.352	ora pareng
impersonal	0.316	0.356	0.472	ora pribadi
impersonate	0.510	0.632	0.591	impersonate
impersonation	0.375	0.618	0.528	impersonation
impersonator	0.469	0.586	0.406	peniru
impertinence	0.170	0.653	0.420	impertinence
impertinent	0.219	0.826	0.373	ora sopan
impervious	0.582	0.408	0.536	kebal
impetuous	0.602	0.814	0.712	impetuous
impetus	0.521	0.740	0.635	dorongan
implacable	0.569	0.663	0.830	implacable
implant	0.429	0.510	0.588	implan
implantation	0.396	0.604	0.741	implantasi
implanted	0.347	0.500	0.679	ditanem
implement	0.720	0.573	0.792	ngleksanakake
implicate	0.250	0.670	0.434	implicate
implicated	0.354	0.673	0.438	kena pengaruh
implication	0.337	0.528	0.690	implikasi
implied	0.327	0.530	0.481	tersirat
implore	0.396	0.650	0.377	nyuwun
implosion	0.412	0.724	0.547	implosion
imply	0.542	0.670	0.533	tegese
impolite	0.167	0.590	0.282	ora sopan
import	0.615	0.480	0.623	ngimpor
importance	0.750	0.580	0.864	wigati
important	0.827	0.630	0.836	penting
importation	0.625	0.500	0.733	impor
impose	0.503	0.721	0.745	nemtokke
imposing	0.392	0.731	0.836	imposing
imposition	0.357	0.604	0.618	imposisi
impossibility	0.170	0.625	0.306	mokal
impossible	0.153	0.510	0.407	mokal
impostor	0.135	0.704	0.442	tukang ngapusi
impotence	0.198	0.689	0.224	impotensi
impotent	0.146	0.587	0.333	impoten
impound	0.230	0.587	0.583	nangkep
impoverished	0.125	0.311	0.203	mlarat
impracticable	0.398	0.549	0.381	ora bisa ditindakake
impractical	0.160	0.373	0.291	ora praktis
impregnable	0.378	0.549	0.667	ora bisa ditembus
impregnate	0.510	0.721	0.655	impregnate
impress	0.816	0.744	0.895	ngematake
impressed	0.806	0.770	0.429	kesengsem
impression	0.684	0.557	0.577	kesan
impressionable	0.827	0.720	0.645	kena pengaruh
impressive	0.781	0.830	0.873	nyengsemaken
imprint	0.615	0.574	0.685	sidik
imprison	0.112	0.829	0.545	dikunjara
imprisoned	0.032	0.717	0.302	dikunjara
imprisonment	0.133	0.630	0.471	pakunjaran
improbable	0.097	0.412	0.439	mokal
impromptu	0.541	0.729	0.415	dadakan
improper	0.229	0.520	0.259	ora pantes
impropriety	0.133	0.591	0.389	ora pantes
improve	0.833	0.528	0.815	nambah
improved	0.919	0.480	0.679	apik
improvement	0.786	0.500	0.611	dandan
improves	0.929	0.625	0.727	mbenakake
improving	0.911	0.510	0.682	ningkatake
improvisation	0.631	0.812	0.529	improvisasi
improvise	0.646	0.650	0.519	gawe improvisasi
improvised	0.610	0.673	0.443	improvisasi
imprudent	0.170	0.676	0.265	ora sopan
impudence	0.214	0.500	0.472	ora sopan
impudent	0.302	0.604	0.462	ora sopan
impulse	0.530	0.840	0.611	impuls
impulsive	0.365	0.864	0.607	impulsif
impunity	0.313	0.721	0.602	impunitas
impure	0.260	0.560	0.208	najis
impurity	0.173	0.546	0.306	najis
imputation	0.333	0.654	0.621	imputasi
imtryingtosleep	0.438	0.363	0.385	imtryingtonsleep
inability	0.150	0.529	0.250	ora bisa
inaccessible	0.083	0.585	0.446	ora bisa diakses
inaccurate	0.135	0.450	0.250	leres
inaction	0.323	0.225	0.325	ora tumindak
inactivate	0.245	0.240	0.415	ora aktif
inactivation	0.198	0.260	0.220	inaktivasi
inactive	0.271	0.167	0.159	ora aktif
inactivity	0.135	0.143	0.227	ora aktif
inadequacy	0.286	0.500	0.297	kekirangan
inadequate	0.122	0.450	0.223	ora nyukupi
inadequateness	0.240	0.529	0.316	ora nyukupi
inadmissible	0.188	0.636	0.389	ora bisa ditampa
inadvertent	0.365	0.368	0.286	ora sengaja
inadvertently	0.302	0.541	0.549	ora sengaja
inaffable	0.388	0.518	0.455	ora bisa digatekake
inalienable	0.437	0.459	0.608	ora bisa dicopot
inane	0.271	0.350	0.268	inane
inanimate	0.281	0.143	0.224	inanimate
inapplicable	0.281	0.402	0.330	ora bisa ditrapake
inappropriate	0.135	0.542	0.353	ora pantes
inattention	0.208	0.433	0.188	ora nggatekake
inaudible	0.280	0.398	0.358	ora keprungu
inaugural	0.684	0.567	0.608	peresmian
inaugurate	0.781	0.582	0.800	ngresmikake
inauguration	0.847	0.712	0.769	peresmian
inborn	0.590	0.288	0.546	lair
inbound	0.531	0.388	0.538	mlebu
inbred	0.397	0.520	0.473	inbred
incalculable	0.449	0.620	0.679	ora bisa diitung
incandescent	0.354	0.612	0.621	pijar
incantation	0.439	0.632	0.548	mantera
incapable	0.156	0.529	0.155	ora bisa
incapacity	0.052	0.500	0.217	ora duwe kabisan
incarceration	0.100	0.800	0.397	pakunjaran
incarnate	0.552	0.651	0.593	inkarnasi
incase	0.580	0.196	0.365	ing kasus
incendiary	0.281	0.810	0.598	pembakar
incense	0.698	0.275	0.328	dupa
incensed	0.338	0.643	0.392	ngamuk
incentive	0.812	0.618	0.718	insentif
inception	0.604	0.425	0.561	wiwitan
incessant	0.438	0.760	0.544	terus-terusan
incessantly	0.417	0.765	0.606	terus-terusan
incest	0.073	0.853	0.491	incest
incestuous	0.188	0.736	0.442	inses
inch	0.481	0.327	0.300	inch
incidence	0.417	0.527	0.429	kedadeyan
incident	0.084	0.662	0.482	kedadeyan
incidental	0.281	0.610	0.404	insidental
incidentally	0.479	0.500	0.500	kebetulan
incineration	0.229	0.787	0.470	insinerasi
incinerator	0.250	0.643	0.591	insinerator
incipient	0.442	0.382	0.430	wiwitan
incision	0.240	0.663	0.558	irisan
incisive	0.380	0.602	0.545	irisan
incite	0.449	0.736	0.642	nuwuhake
incitement	0.302	0.943	0.598	hasutan
inclement	0.260	0.676	0.616	nakal
inclination	0.378	0.490	0.538	karep
incline	0.490	0.423	0.345	miring
inclined	0.469	0.347	0.402	condong
include	0.729	0.449	0.702	kalebu
included	0.760	0.402	0.570	klebu
including	0.700	0.378	0.518	kalebu
inclusion	0.774	0.404	0.712	klebu
inclusive	0.604	0.420	0.564	klebu
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	ora koheren
income	0.750	0.510	0.728	penghasilan
incoming	0.660	0.509	0.596	mlebu
incomparable	0.625	0.577	0.670	ora ana tandhingane
incompatible	0.196	0.500	0.310	ora cocog
incompetence	0.077	0.551	0.208	inkompetensi
incompetent	0.133	0.566	0.239	ora kompeten
incomplete	0.153	0.370	0.205	mboten jangkep
incompletely	0.344	0.442	0.232	ora jangkep
incompleteness	0.271	0.451	0.234	incompleteness
incomprehensible	0.250	0.550	0.344	ora bisa dimangerteni
inconceivable	0.198	0.552	0.561	ora bisa dibayangke
inconclusive	0.153	0.442	0.340	inconclusive
incongruous	0.177	0.504	0.343	incongruous
inconsequential	0.250	0.480	0.345	inconsequential
inconsiderate	0.224	0.519	0.423	ora nggatekake
inconsistency	0.125	0.480	0.314	inconsistency
inconsistent	0.271	0.431	0.295	ora konsisten
inconspicuous	0.604	0.214	0.368	ora ketok
incontinence	0.150	0.598	0.272	incontinence
inconvenience	0.063	0.667	0.291	ora trep
inconvenient	0.224	0.610	0.375	ora trep
incorporate	0.745	0.612	0.571	nggabungake
incorporation	0.573	0.404	0.768	penggabungan
incorrect	0.140	0.569	0.255	salah
incorrigible	0.130	0.667	0.500	incorrigible
increase	0.810	0.657	0.886	Mundakake
increased	0.684	0.660	0.773	mundhak
incredible	0.857	0.796	0.902	luar biasa
incredulous	0.286	0.510	0.269	ora percaya
increment	0.684	0.637	0.750	mundhak
incriminate	0.188	0.810	0.416	incriminate
incriminating	0.133	0.788	0.500	incriminating
incrimination	0.152	0.865	0.545	incrimination
incubation	0.461	0.490	0.397	inkubasi
incubator	0.510	0.435	0.405	inkubator
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	incumbent
incur	0.312	0.667	0.495	kena
incurable	0.104	0.667	0.255	ora bisa ditambani
incursion	0.552	0.830	0.719	serbuan
indebted	0.138	0.698	0.275	utang
indecency	0.135	0.670	0.491	ora sopan
indecent	0.083	0.683	0.240	ora sopan
indecision	0.184	0.480	0.196	indecision
indecisive	0.271	0.420	0.190	ora mesthi
indefensible	0.173	0.647	0.484	ora bisa ditanggulangi
indefinite	0.448	0.292	0.296	tanpa wates
indelible	0.490	0.337	0.591	indelible
indemnification	0.521	0.490	0.770	ganti rugi
indemnify	0.449	0.548	0.613	ganti rugi
indemnity	0.470	0.607	0.692	ganti rugi
indent	0.479	0.346	0.379	indent
indentation	0.374	0.500	0.349	indentasi
indenture	0.434	0.382	0.636	indenture
independence	0.896	0.663	0.911	kamardikan
independent	0.885	0.440	0.872	merdika
indescribable	0.448	0.529	0.648	ora bisa diterangake
indestructible	0.772	0.731	0.853	ora bisa rusak
indeterminate	0.360	0.402	0.322	ora mesthi
index	0.448	0.268	0.342	indeks
indicate	0.594	0.350	0.676	nunjukake
indicating	0.745	0.339	0.555	nuduhake
indication	0.719	0.432	0.750	indikasi
indicative	0.510	0.510	0.591	indikatif
indicator	0.573	0.451	0.670	indikator
indice	0.469	0.377	0.541	indeks
indict	0.188	0.731	0.458	dakwa
indictment	0.245	0.745	0.577	dakwaan
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	indifference
indifferent	0.396	0.157	0.250	ora perduli
indigenous	0.500	0.509	0.552	pribumi
indigent	0.156	0.481	0.223	wong mlarat
indigestion	0.204	0.610	0.182	gangguan pencernaan
indignant	0.260	0.600	0.423	nesu
indignation	0.173	0.778	0.431	nesu
indignity	0.167	0.500	0.306	nesu
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	ora langsung
indiscreet	0.177	0.587	0.342	ora wicaksana
indiscretion	0.265	0.637	0.390	indiscretion
indispensable	0.710	0.449	0.802	indispensable
indisposed	0.122	0.519	0.206	indisposed
indistinct	0.255	0.340	0.360	ora jelas
indistinguishable	0.346	0.458	0.548	ora bisa dibedakake
individual	0.627	0.327	0.533	individu
individuality	0.612	0.469	0.527	individualitas
indivisible	0.646	0.398	0.580	ora bisa dipisahake
indoctrination	0.327	0.657	0.698	indoktrinasi
indolent	0.177	0.381	0.259	kesed
indomitable	0.458	0.800	0.830	ora kuwat
indoor	0.615	0.245	0.347	njero ruangan
induce	0.257	0.606	0.684	nyurung
induced	0.397	0.471	0.491	induksi
inducement	0.647	0.765	0.685	prabawa
induction	0.392	0.593	0.627	induksi
indulge	0.833	0.716	0.669	nyenengi
indulgence	0.479	0.490	0.517	welas
indulgent	0.560	0.481	0.529	nyenengi
industrial	0.469	0.600	0.875	Industri
industrialist	0.562	0.633	0.843	industrialis
industrious	0.720	0.537	0.791	sing rajin
industry	0.650	0.447	0.836	industri
ineffable	0.551	0.577	0.585	ora bisa dingerteni
ineffective	0.093	0.422	0.094	ora efektif
ineffectual	0.163	0.412	0.200	ora efektif
inefficiency	0.092	0.466	0.181	inefisiensi
inefficient	0.190	0.460	0.173	ora efisien
inelastic	0.396	0.426	0.385	ora elastis
ineligible	0.143	0.377	0.457	ora layak
inept	0.156	0.418	0.209	ora pantes
ineptitude	0.177	0.471	0.250	ineptitude
inequality	0.122	0.575	0.259	ketimpangan
inequitable	0.281	0.519	0.373	ora adil
inert	0.323	0.180	0.319	inert
inertia	0.344	0.288	0.322	inersia
inevitable	0.316	0.419	0.623	ora bisa diendhani
inexact	0.153	0.459	0.170	ora pas
inexcusable	0.271	0.582	0.546	ora bisa disalahake
inexhaustible	0.602	0.541	0.643	ora bisa entek
inexpensive	0.694	0.414	0.260	murah
inexperience	0.208	0.614	0.151	ora pengalaman
inexperienced	0.281	0.473	0.231	ora duwe pengalaman
inexplicable	0.224	0.635	0.443	ora bisa diterangake
inexpressible	0.198	0.608	0.364	ora bisa diungkapake
infallibility	0.583	0.663	0.764	infallibility
infallible	0.776	0.687	0.809	mokal
infamous	0.146	0.580	0.472	kondhang
infamy	0.177	0.676	0.421	nistha
infancy	0.750	0.399	0.370	bayi
infant	0.802	0.431	0.328	bayi
infanticide	0.167	0.856	0.443	pembunuhan bayi
infantile	0.604	0.382	0.259	bayi
infantry	0.531	0.684	0.791	infantri
infarct	0.080	0.846	0.386	infark
infatuated	0.729	0.764	0.417	kasengsem
infatuation	0.844	0.745	0.530	kasmaran
infeasible	0.245	0.472	0.236	ora bisa ditindakake
infect	0.102	0.777	0.424	nginfèksi
infection	0.083	0.735	0.407	infeksi
infectious	0.142	0.760	0.422	infèksius
infer	0.449	0.490	0.453	nyimpulake
inference	0.359	0.479	0.398	inferensi
inferential	0.426	0.451	0.455	inferensial
inferior	0.260	0.254	0.106	inferior
inferiority	0.177	0.430	0.205	inferioritas
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	ora subur
infertility	0.170	0.664	0.328	ora subur
infestation	0.256	0.776	0.527	infestasi
infidel	0.177	0.740	0.404	kafir
infidelity	0.062	0.777	0.392	kafir
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	nyusup
infiltration	0.265	0.792	0.536	infiltrasi
infinite	0.724	0.583	0.735	tanpa wates
infinitely	0.688	0.643	0.829	tanpa wates
infinitesimal	0.388	0.472	0.496	tanpa wates
infinity	0.516	0.459	0.805	tanpa wates
infirm	0.115	0.521	0.210	lara
infirmary	0.500	0.438	0.517	rumah sakit
infirmity	0.094	0.482	0.252	kekirangan
inflammation	0.146	0.765	0.423	inflamasi
inflammatory	0.177	0.642	0.404	inflamasi
inflatable	0.510	0.510	0.400	inflatable
inflate	0.305	0.569	0.462	inflate
inflated	0.303	0.431	0.617	inflated
inflation	0.219	0.792	0.508	inflasi
inflection	0.385	0.635	0.377	infleksi
inflict	0.167	0.760	0.609	nimbulake
infliction	0.302	0.722	0.571	infliction
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	pengaruhe
influential	0.899	0.688	0.944	pengaruhe
influenza	0.271	0.718	0.321	influenza
influx	0.622	0.635	0.575	mlebu
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	infomersial
inform	0.723	0.582	0.679	ngandhani
informal	0.480	0.398	0.441	ora resmi
informant	0.604	0.612	0.719	informan
information	0.765	0.370	0.711	informasi
informative	0.812	0.419	0.741	informatif
informed	0.543	0.298	0.617	informed
informer	0.521	0.578	0.580	informan
infraction	0.245	0.660	0.471	nglanggar
infrared	0.469	0.588	0.526	infra abang
infrastructure	0.604	0.460	0.694	prasarana
infrequent	0.312	0.377	0.192	arang-arang
infrequently	0.204	0.250	0.327	arang-arang
infringement	0.153	0.800	0.481	nglanggar
infuriate	0.102	0.934	0.596	nesu
infuriated	0.073	0.930	0.510	nesu
infuriates	0.135	0.913	0.627	nesu
infuriating	0.139	0.870	0.509	nesu
infuse	0.380	0.705	0.589	infuse
infused	0.385	0.473	0.546	diinfus
infuser	0.469	0.433	0.536	infuser
infusion	0.583	0.365	0.453	infus
ingenious	0.760	0.690	0.891	pinter
ingenuity	0.708	0.590	0.868	kapinteran
ingest	0.510	0.559	0.473	nyesel
ingestion	0.429	0.612	0.512	ingestion
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	mendarat
ingrate	0.235	0.606	0.327	ingrate
ingredient	0.792	0.373	0.451	bahan
ingress	0.601	0.366	0.736	mlebu
inhabit	0.656	0.378	0.556	manggoni
inhabitant	0.604	0.356	0.519	pedunung
inhabited	0.667	0.361	0.510	didunungi
inhabiting	0.458	0.440	0.598	manggoni
inhalation	0.510	0.613	0.464	inhalasi
inhale	0.427	0.340	0.492	ambegan
inhaler	0.408	0.500	0.349	inhaler
inherent	0.562	0.439	0.480	gawan
inherit	0.745	0.546	0.694	warisan
inheritance	0.900	0.565	0.798	pusaka
inhibit	0.167	0.479	0.447	nyandhet
inhibition	0.265	0.392	0.534	inhibisi
inhibitor	0.281	0.450	0.471	inhibitor
inhospitable	0.265	0.531	0.395	ora sopan
inhuman	0.107	0.660	0.492	ora manungsa
inhumane	0.104	0.587	0.402	ora manusiawi
inhumanity	0.143	0.540	0.405	inhumanity
inimaginable	0.542	0.636	0.534	ora bisa dibayangke
inimical	0.260	0.823	0.556	nistha
inimitable	0.571	0.413	0.790	ora bisa ditiru
iniquity	0.219	0.567	0.425	piala
initial	0.583	0.314	0.539	wiwitan
initiate	0.719	0.480	0.553	miwiti
initiated	0.760	0.490	0.650	diwiwiti
initiation	0.698	0.529	0.527	inisiasi
initiative	0.833	0.615	0.768	inisiatif
inject	0.406	0.735	0.596	nyuntik
injection	0.281	0.741	0.518	injeksi
injunction	0.281	0.422	0.519	prentah
injure	0.177	0.710	0.364	cilaka
injured	0.083	0.680	0.302	tatu
injuring	0.073	0.790	0.245	tatu
injurious	0.177	0.759	0.366	cilaka
injury	0.049	0.769	0.287	tatu
injustice	0.082	0.755	0.444	ketidakadilan
ink	0.471	0.408	0.235	tinta
inkling	0.448	0.551	0.570	inkling
inland	0.510	0.417	0.423	dharatan
inlay	0.406	0.531	0.565	inlay
inlet	0.646	0.378	0.466	mlebu
inmate	0.235	0.663	0.398	narapidana
inn	0.660	0.284	0.475	panginepan
innards	0.302	0.480	0.400	jeroan
innate	0.490	0.400	0.521	bawaan
inner	0.551	0.216	0.443	njero
innermost	0.583	0.500	0.510	paling njero
innerpeace	0.714	0.318	0.551	katentreman
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	babak
innkeeper	0.578	0.224	0.472	panginepan
innocence	0.802	0.260	0.307	kesucian
innocent	0.729	0.206	0.340	lugu
innocently	0.776	0.250	0.302	lugu
innocuous	0.510	0.321	0.172	innocuous
innovate	0.898	0.872	0.750	gawe anyar
innovation	0.949	0.680	0.890	inovasi
innovative	0.880	0.640	0.830	inovatif
innuendo	0.467	0.670	0.463	sindiran
innumerable	0.667	0.445	0.704	ora kaetung
inoculation	0.333	0.570	0.598	inokulasi
inoperable	0.184	0.422	0.304	ora bisa ditindakake
inoperative	0.138	0.425	0.273	ora aktif
inordinate	0.163	0.630	0.330	inordinate
inorganic	0.385	0.345	0.282	anorganik
input	0.643	0.337	0.527	mlebu
inquest	0.458	0.569	0.721	papriksan
inquire	0.583	0.519	0.363	takon
inquirer	0.573	0.598	0.776	panyuwun
inquiring	0.479	0.510	0.500	takon-takon
inquiry	0.541	0.420	0.536	nakoni, nyelidiki
inquisitive	0.301	0.637	0.615	kepengin weruh
inquisitor	0.385	0.873	0.642	inkuisitor
insane	0.062	0.670	0.265	edan
insanity	0.098	0.847	0.337	edan
insatiable	0.375	0.656	0.558	ora bisa marem
inscription	0.592	0.422	0.542	prasasti
inscrutable	0.459	0.541	0.613	ora bisa dingerteni
insect	0.276	0.633	0.242	serangga
insecticide	0.188	0.598	0.430	insektisida
insecure	0.114	0.538	0.132	ora aman
insecurity	0.094	0.647	0.350	rasa ora aman
insemination	0.542	0.644	0.622	inseminasi
insensitive	0.219	0.471	0.302	ora peka
inseparable	0.700	0.520	0.571	ora bisa dipisahake
insert	0.481	0.552	0.519	nglebokake
inserted	0.479	0.402	0.476	dilebokake
insertion	0.521	0.520	0.565	sisipan
inside	0.612	0.404	0.472	ing njero
insider	0.625	0.562	0.750	wong njero
insidious	0.146	0.622	0.480	insidious
insight	0.613	0.363	0.649	wawasan
insightful	0.664	0.691	0.713	wawasan
insignia	0.665	0.282	0.685	lambang
insignificance	0.250	0.216	0.222	sepele
insignificant	0.083	0.306	0.114	sepele
insinuate	0.292	0.635	0.413	nyindir
insipid	0.214	0.250	0.241	ora karuan
insist	0.635	0.651	0.688	ngeyel
insistence	0.418	0.704	0.645	meksa
insistent	0.552	0.635	0.701	ngeyel
insists	0.490	0.587	0.610	ngeyel
insolence	0.115	0.731	0.402	insolence
insolent	0.112	0.663	0.343	ora sopan
insoluble	0.439	0.290	0.414	ora larut
insolvency	0.323	0.431	0.300	insolvensi
insolvent	0.230	0.481	0.318	bangkrut
insomnia	0.198	0.611	0.373	insomnia
insomniac	0.231	0.367	0.329	insomnia
inspect	0.479	0.603	0.793	mriksa
inspection	0.459	0.630	0.718	pamriksan
inspector	0.418	0.580	0.852	inspektur
inspiration	0.938	0.600	0.779	inspirasi
inspirational	0.927	0.720	0.810	inspirasional
inspire	0.918	0.627	0.759	menehi inspirasi
inspired	0.967	0.702	0.736	inspirasi
instability	0.177	0.760	0.353	kahanan kang ora stabil
install	0.630	0.583	0.736	nginstal
installation	0.656	0.469	0.759	instalasi
installment	0.619	0.396	0.483	cicilan
instance	0.547	0.450	0.558	contone
instant	0.766	0.454	0.554	instan
instantaneous	0.750	0.500	0.585	enggal
instantaneously	0.656	0.640	0.600	enggal-enggal
instigate	0.278	0.765	0.642	nyurung
instigation	0.323	0.769	0.648	hasutan
instill	0.562	0.490	0.618	nanem
instinct	0.771	0.602	0.642	naluri
instinctive	0.752	0.575	0.694	naluri
institute	0.604	0.480	0.807	institute
institution	0.580	0.311	0.790	institusi
instruct	0.729	0.490	0.833	dawuh
instructed	0.740	0.388	0.722	didhawuhi
instruction	0.656	0.434	0.736	instruksi
instructional	0.698	0.500	0.773	instruksional
instructions	0.582	0.302	0.556	instruksi
instructive	0.583	0.420	0.643	piwulang
instructor	0.771	0.490	0.782	instruktur
instrument	0.562	0.537	0.655	instrumen
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentalis
instrumentality	0.637	0.510	0.618	instrumentalitas
insubordination	0.281	0.775	0.634	insubordination
insufferable	0.220	0.784	0.291	ora tahan
insufficiency	0.115	0.431	0.210	kekurangan
insufficient	0.188	0.380	0.093	ora cukup
insufficiently	0.147	0.509	0.198	ora cukup
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	ngisolasi
insulated	0.208	0.265	0.304	terisolasi
insulation	0.245	0.327	0.264	isolasi
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	ngina
insulting	0.094	0.840	0.412	ngina
insurance	0.714	0.308	0.825	asuransi
insure	0.700	0.415	0.698	asuransi
insurgent	0.235	0.735	0.660	pemberontak
insurmountable	0.620	0.627	0.737	ora bisa diatasi
insurrection	0.229	0.706	0.582	pambrontakan
intact	0.716	0.212	0.602	wutuh
intake	0.604	0.527	0.442	asupan
intangible	0.525	0.480	0.473	ora wujud
integer	0.573	0.327	0.595	ongko
integral	0.590	0.337	0.615	integral
integrate	0.729	0.390	0.700	nyawiji
integration	0.771	0.480	0.737	integrasi
integrity	0.865	0.413	0.848	integritas
intellect	0.844	0.418	0.870	kapinteran
