English Word	Valence	Arousal	Dominance	Tatar Word
germane	0.570	0.500	0.567	герман
germinate	0.604	0.472	0.625	үсәргә
germination	0.439	0.490	0.566	үсемлек
germs	0.135	0.510	0.380	микроблар
gestation	0.561	0.538	0.702	балага узу
gesture	0.667	0.481	0.427	ишарә
get	0.740	0.594	0.667	алу
getaway	0.500	0.760	0.368	кач
getoverit	0.327	0.481	0.433	getoverit
getoveryourself	0.470	0.481	0.472	.әр сүзнең
getup	0.541	0.582	0.455	тор
getyourown	0.469	0.547	0.492	.әр сүзнең
ghastly	0.125	0.790	0.472	ямьсез
ghetto	0.302	0.630	0.482	гетто
ghost	0.265	0.755	0.343	арбак
ghostly	0.260	0.764	0.430	арбак
ghoul	0.260	0.561	0.430	гул
giant	0.646	0.814	0.963	гигант
gibberish	0.375	0.510	0.360	гайбәт
giddy	0.438	0.847	0.611	гидди
gift	0.880	0.539	0.483	бүләк
gifted	0.902	0.647	0.868	сәләтле
gifts	0.865	0.755	0.509	бүләкләр
gig	0.816	0.755	0.594	гиг
gigantic	0.750	0.776	0.921	гигант
giggle	0.719	0.618	0.360	кычкыру
giggles	0.865	0.684	0.346	кычкыра
giggling	0.886	0.726	0.391	кычкыру
gigolo	0.400	0.706	0.528	гиголо
gilded	0.719	0.471	0.455	ябыштырылган
gill	0.521	0.473	0.382	гил
gills	0.479	0.583	0.609	гильз
gilt	0.583	0.417	0.510	зиннәт
gimmick	0.380	0.663	0.519	гиммик
gimp	0.469	0.442	0.342	гимп
gin	0.449	0.551	0.518	Джин
ginger	0.406	0.375	0.316	имбир
gingerbread	0.597	0.333	0.264	имбир
gingerly	0.602	0.406	0.415	ипләп кенә
ginseng	0.677	0.360	0.364	ginseng
giraffe	0.561	0.347	0.436	жираф
girder	0.388	0.245	0.452	билбау
girdle	0.500	0.340	0.349	билбау
girlfriend	0.712	0.763	0.604	дус кыз
girlie	0.604	0.540	0.409	гирли
girlish	0.677	0.477	0.345	кыз
girly	0.595	0.462	0.371	гирли
girth	0.520	0.353	0.377	киртә
gist	0.622	0.450	0.519	төп фикер
give	0.750	0.346	0.500	бир
giveaway	0.865	0.618	0.437	бүләк итү
giver	0.688	0.415	0.658	бирүче
giving	0.795	0.333	0.585	бирү
gizmo	0.510	0.490	0.337	гизмо
gizzard	0.422	0.423	0.259	Гиззард
glabrous	0.413	0.474	0.462	глабрус
glacial	0.439	0.327	0.474	мөңге
glacier	0.573	0.396	0.554	бозлык
glad	0.938	0.760	0.740	шат
glade	0.600	0.385	0.434	глад
gladiator	0.500	0.833	0.866	гладиатор
gladness	0.896	0.670	0.643	шатлык
glamorous	0.918	0.630	0.791	гламур
glamour	0.823	0.606	0.623	гламур
glance	0.625	0.357	0.454	караш
gland	0.396	0.382	0.467	без
glare	0.698	0.735	0.733	ялтыравык
glaring	0.694	0.794	0.798	ялтыравык
glass	0.490	0.404	0.322	пыяла
glasses	0.531	0.210	0.330	стакан
glassware	0.633	0.356	0.450	пыяла савыт
glaucoma	0.208	0.500	0.315	глаукома
glaze	0.650	0.340	0.356	глаз
glazed	0.622	0.410	0.491	пыяла
gleam	0.781	0.520	0.741	ялтыравык
gleaming	0.827	0.635	0.627	ялтыравык
glean	0.398	0.531	0.500	җыю
glee	0.698	0.580	0.464	кул
gleeful	0.906	0.806	0.679	шат
glen	0.573	0.337	0.406	глен
glib	0.438	0.433	0.381	глиб
glide	0.561	0.706	0.415	сикерү
glider	0.618	0.548	0.590	плитер
glimmer	0.615	0.462	0.427	ялтыравык
glimpse	0.646	0.480	0.455	караш
glint	0.677	0.538	0.541	ялтыравык
glisten	0.765	0.608	0.694	ялтыравык
glitch	0.444	0.448	0.269	глит
glitter	0.814	0.750	0.762	ялтыравык
glittering	0.860	0.588	0.818	ялтыравык
gloat	0.500	0.637	0.603	шатлану
global	0.583	0.520	0.713	глобаль
globe	0.760	0.315	0.364	глобус
globular	0.542	0.375	0.438	глобуляр
gloom	0.135	0.404	0.196	караңгылык
gloomy	0.107	0.410	0.287	караңгы
glorification	0.821	0.541	0.817	данлау
glorified	0.865	0.570	0.886	данланган
glorify	0.940	0.591	0.661	данлагыз
glorious	0.959	0.673	0.827	данлы
glory	0.948	0.735	0.817	дан
gloss	0.757	0.466	0.625	ялтыравык
glossary	0.570	0.204	0.447	сүзлек
glossy	0.802	0.519	0.807	ялтыравыклы
glove	0.500	0.230	0.382	перчатка
gloves	0.542	0.225	0.491	перчаткалар
glow	0.918	0.500	0.745	ялтыравык
glowing	0.940	0.620	0.737	ялтыравыклы
glucose	0.562	0.316	0.444	глюкоза
glue	0.450	0.345	0.349	клей
glum	0.244	0.337	0.123	глум
glut	0.417	0.524	0.540	глют
gluten	0.385	0.308	0.388	глютен
glutton	0.438	0.519	0.384	глуттон
gluttony	0.500	0.702	0.412	ашказаны
glycerin	0.427	0.402	0.402	глицерин
gnat	0.357	0.345	0.200	гнат
gnome	0.429	0.479	0.380	гном
go	0.510	0.441	0.444	бар
goal	0.830	0.356	0.669	максат
goalie	0.573	0.389	0.455	тупчы
goals	0.719	0.490	0.795	максатлар
goat	0.448	0.304	0.364	кәҗә
goatee	0.479	0.290	0.255	капка
gob	0.280	0.357	0.447	gob
gobble	0.390	0.623	0.455	гайбәт
goblet	0.786	0.353	0.442	кәрәз
goblin	0.333	0.542	0.377	гоблин
god	0.758	0.518	0.886	алла
godbless	0.823	0.395	0.588	Алла фатиха бирсен
goddamn	0.125	0.760	0.422	аллаһ
goddamned	0.042	0.758	0.420	Алла
goddess	0.865	0.560	0.888	аллаһы
godfather	0.694	0.450	0.509	бабай
godforsaken	0.439	0.520	0.422	Алла
godisgood	0.740	0.434	0.630	Godisgood
godisgreat	0.712	0.596	0.600	Godisgreat
godless	0.316	0.557	0.358	динсез
godlike	0.854	0.648	0.870	Аллага охшаган
godly	0.747	0.298	0.589	Аллага яраклы
godmother	0.733	0.311	0.530	әби
godsend	0.865	0.562	0.613	алла
godson	0.680	0.515	0.429	Годсон
gofuckyourself	0.167	0.654	0.415	gәр сүзнең
goggle	0.525	0.286	0.360	күзлек
goggles	0.667	0.360	0.278	күзлек
gold	0.939	0.686	0.692	алтын
golden	0.802	0.491	0.609	алтын
goldfish	0.786	0.296	0.317	алтын балык
golf	0.573	0.358	0.447	гольф
golfer	0.602	0.402	0.578	гольфист
golfing	0.625	0.427	0.455	гольфинг
gondola	0.520	0.404	0.379	гондола
gone	0.292	0.230	0.190	китте
goner	0.410	0.461	0.274	гонер
gong	0.490	0.529	0.462	гонг
gonorrhea	0.106	0.635	0.322	гонорея
goo	0.439	0.396	0.312	goo
goober	0.469	0.444	0.342	губер
good	0.938	0.368	0.534	яхшы
goodbye	0.240	0.389	0.328	Сау бул
goodday	0.961	0.357	0.418	яхшы көн
goodfeeling	0.939	0.459	0.679	яхшылык
goodhealth	0.938	0.402	0.712	сәламәтлек
goodie	0.854	0.327	0.600	гуди
goodies	0.950	0.622	0.424	яхшы
goodlife	0.917	0.471	0.736	яхшы тормыш
goodly	0.701	0.471	0.636	яхшы
goodmood	0.823	0.491	0.519	яхшы кәеф
goodmorning	0.922	0.461	0.552	хәерле иртә
goodmusic	0.756	0.500	0.500	гудмузик
goodness	0.969	0.321	0.715	яхшылык
goodnews	0.961	0.740	0.768	саубуллашу
goods	0.888	0.396	0.726	товар
goodtimes	0.910	0.526	0.629	хәерле вакыт
goodvibes	0.827	0.500	0.534	саубуллашу
goodwill	0.938	0.327	0.667	теләк
goody	0.786	0.337	0.570	яхшы
gooey	0.392	0.480	0.445	гуи
goof	0.448	0.490	0.272	goof
goofball	0.561	0.550	0.382	гофбол
goofy	0.281	0.224	0.179	шомлы
goon	0.312	0.481	0.361	дәвам итү
gooood	0.857	0.652	0.547	гуд
goop	0.469	0.394	0.333	гоп
goose	0.479	0.283	0.265	каз
gopher	0.449	0.440	0.421	гопер
gore	0.260	0.608	0.518	гор
gorge	0.365	0.644	0.420	капка
gorgeous	0.920	0.560	0.741	матур
gorilla	0.565	0.720	0.648	горилла
gory	0.140	0.875	0.455	Гори
gospel	0.740	0.333	0.580	Инҗил
gossip	0.173	0.765	0.245	гайбәт
gothic	0.197	0.333	0.475	готик
gouge	0.396	0.441	0.400	гуж
goulash	0.582	0.429	0.347	гулаш
gourd	0.427	0.271	0.289	үлән
gourmet	0.911	0.387	0.562	гурмет
gout	0.354	0.314	0.170	гут
govern	0.573	0.702	0.980	идарә итү
governess	0.426	0.500	0.632	идарә итү
governing	0.635	0.700	0.900	идарә итү
government	0.427	0.530	0.850	хөкүмәт
governmental	0.521	0.541	0.906	хөкүмәт
governor	0.500	0.683	0.934	губернатор
gown	0.625	0.283	0.421	күлмәк
grab	0.448	0.706	0.538	тоту
grace	0.906	0.304	0.462	мәрхәмәт
graceful	0.906	0.510	0.655	нәфис
gracias	0.833	0.356	0.600	gracias
gracious	0.918	0.634	0.637	ягымлы
graciously	0.948	0.353	0.680	ягымлы
grad	0.806	0.538	0.733	град
gradation	0.487	0.477	0.616	градация
grade	0.698	0.360	0.600	класс
graded	0.562	0.340	0.759	дәрәҗәле
grader	0.583	0.317	0.420	грейдер
grades	0.521	0.349	0.566	класслар
gradient	0.480	0.423	0.509	градиент
gradschool	0.616	0.602	0.528	класс мәктәбе
gradual	0.571	0.350	0.509	әкренләп
gradually	0.583	0.385	0.464	әкренләп
graduate	0.898	0.549	0.778	тәмамлау
graduation	0.880	0.670	0.837	чыгарылыш
graffiti	0.582	0.633	0.353	граффити
graft	0.410	0.528	0.420	прививка
grail	0.573	0.384	0.566	граиль
grain	0.390	0.198	0.302	ашлык
gram	0.578	0.333	0.260	грамм
grammar	0.560	0.287	0.607	грамматикасы
grand	0.898	0.740	0.888	олы
grand theft auto	0.493	0.663	0.580	бөек машина урлашуы
grandchild	0.781	0.433	0.465	оныгы
grandchildren	0.796	0.545	0.426	оныклары
granddad	0.740	0.248	0.461	бабай
granddaddy	0.708	0.291	0.480	әби
granddaughter	0.823	0.445	0.389	оныгы
grandeur	0.885	0.796	0.839	бөеклек
grandfather	0.827	0.279	0.586	бабай
grandiose	0.900	0.682	0.864	зур
grandma	0.796	0.208	0.491	әби
grandmother	0.792	0.283	0.426	әби
grandpa	0.806	0.296	0.466	бабай
grandson	0.778	0.333	0.500	оныгы
grandstand	0.500	0.679	0.708	трибуна
grange	0.531	0.340	0.391	гранж
granite	0.572	0.343	0.483	гранит
granny	0.796	0.240	0.452	әби
granola	0.625	0.240	0.281	гранола
grant	0.719	0.380	0.667	грант
granted	0.882	0.348	0.779	бирелгән
grantee	0.865	0.477	0.708	грант алучы
grantor	0.542	0.500	0.717	грант
granular	0.478	0.337	0.443	гранул
granule	0.406	0.373	0.316	гранул
grape	0.729	0.122	0.295	йөзем
grape juice	0.696	0.304	0.267	йөзем согы
grapefruit	0.521	0.281	0.282	грейпфрут
grapes	0.784	0.240	0.236	йөзем
grapevine	0.541	0.343	0.232	йөзем
graph	0.510	0.286	0.621	график
graphic	0.602	0.494	0.491	график
graphics	0.542	0.431	0.509	графика
graphite	0.479	0.377	0.336	графит
grapple	0.490	0.577	0.482	граппл
grappling	0.448	0.676	0.516	грапплинг
grasp	0.560	0.623	0.570	аңлау
grasping	0.327	0.561	0.561	тотып алу
grass	0.604	0.164	0.333	үлән
grasshopper	0.500	0.462	0.287	саранча
grassy	0.647	0.323	0.371	үләнле
grate	0.333	0.250	0.419	торт
grated	0.357	0.462	0.361	торланган
grateful	0.958	0.353	0.560	рәхмәтле
gratification	0.867	0.643	0.755	канәгатьләнү
gratified	0.781	0.519	0.702	канәгать
gratify	0.837	0.539	0.794	канәгать
gratifying	0.857	0.606	0.776	канәгать
grating	0.512	0.337	0.282	торлау
gratis	0.796	0.510	0.417	бушлай
gratitude	0.885	0.441	0.610	рәхмәт
gratuitous	0.735	0.650	0.452	бушлай
gratuity	0.865	0.500	0.462	рәхмәт
grave	0.153	0.385	0.386	кабер
gravel	0.390	0.370	0.332	шагыл
graver	0.102	0.622	0.453	кабер
graveyard	0.041	0.441	0.272	каберлек
gravitate	0.479	0.472	0.476	тарту
gravitation	0.698	0.592	0.600	тарту
gravitational	0.528	0.510	0.691	тарту
gravity	0.510	0.635	0.538	тарту көче
gravy	0.608	0.450	0.339	грей
gray	0.335	0.153	0.189	соры
graze	0.560	0.255	0.371	көтү
grease	0.255	0.404	0.306	майлау
greased	0.250	0.461	0.368	майланган
greaser	0.408	0.518	0.462	майлаучы
greasy	0.399	0.442	0.294	майлы
great	0.958	0.665	0.810	бик яхшы
great anticipation	0.786	0.735	0.655	зур көтү
great aunt	0.896	0.419	0.589	олы апа
great disgust	0.042	0.836	0.389	зур нәфрәт
great grandfather	0.729	0.241	0.569	карт бабай
great grandma	0.771	0.221	0.491	олы әби
great grandmother	0.802	0.236	0.549	дәүәни
great grandpa	0.857	0.280	0.602	олы бабай
great surprise	0.939	0.941	0.688	зур сюрприз
great trust	0.939	0.528	0.853	зур ышаныч
great uncle	0.729	0.398	0.621	олы абзый
greatday	0.823	0.571	0.574	олы көн
greater	0.755	0.519	0.796	зуррак
greatest	0.847	0.627	0.922	иң зур
greatfriends	0.908	0.593	0.570	дуслар
greatful	0.923	0.571	0.676	бик яхшы
greatly	0.750	0.708	0.877	бик зур
greatly negative	0.051	0.640	0.282	бик тискәре
greatly positive	0.967	0.538	0.877	бик уңай
greatness	0.990	0.750	0.943	бөеклек
greatnight	0.918	0.349	0.574	төн
greed	0.173	0.780	0.528	комсызлык
greedy	0.125	0.660	0.476	комсыз
green	0.630	0.306	0.333	яшел
green bean	0.469	0.280	0.304	яшел чөгендер
green pepper	0.500	0.431	0.425	Яшел борыч
green snake	0.229	0.634	0.614	яшел елан
greenhouse	0.719	0.438	0.384	теплица
greenish	0.574	0.290	0.429	яшел
greenwood	0.531	0.382	0.491	яшел агач
greet	0.885	0.539	0.618	сәлам
greeted	0.781	0.317	0.454	сәлам
greeting	0.854	0.556	0.510	сәлам
gregarious	0.551	0.471	0.529	грегариус
grenade	0.281	0.777	0.694	граната
grey	0.347	0.140	0.295	соры
greyhound	0.520	0.490	0.440	Грейхунд
grid	0.562	0.426	0.443	челтәр
gridiron	0.667	0.491	0.425	гридирон
grief	0.070	0.640	0.474	кайгы
grievance	0.092	0.635	0.364	зарлану
grieve	0.122	0.500	0.333	кайгы
grieved	0.104	0.460	0.191	кайгырды
grieving	0.093	0.673	0.403	кайгы
grievous	0.146	0.640	0.179	аяныч
griffin	0.418	0.337	0.360	гриффин
grill	0.755	0.491	0.546	гриль
grille	0.337	0.327	0.246	тормоз
grilled	0.702	0.500	0.373	гриль
grim	0.310	0.483	0.298	аяныч
grime	0.198	0.500	0.225	грим
grimy	0.112	0.597	0.283	усал
grin	0.885	0.570	0.491	елмаю
grind	0.480	0.276	0.397	тарту
grinder	0.459	0.615	0.561	тарткыч
grinding	0.415	0.450	0.461	тарту
grindstone	0.541	0.453	0.526	тартма
gringo	0.540	0.452	0.510	гринго
grip	0.520	0.549	0.602	сап
gripe	0.184	0.526	0.241	тарту
grisly	0.083	0.863	0.426	тупас
grist	0.317	0.391	0.363	кулга алыгыз
grit	0.449	0.296	0.345	грит
grits	0.458	0.333	0.346	grits
gritty	0.417	0.373	0.375	гритти
grizzly	0.398	0.679	0.657	гризли
groan	0.396	0.750	0.351	ыңгырашу
grocer	0.625	0.250	0.382	кибетче
groceries	0.740	0.363	0.417	азык-төлек
grocery	0.687	0.540	0.446	азык-төлек
groggy	0.235	0.265	0.194	грогги
groin	0.296	0.452	0.364	кабак
groom	0.698	0.500	0.605	кияү
groove	0.552	0.448	0.361	трюк
groovy	0.615	0.538	0.464	грови
grope	0.420	0.559	0.358	култык
gross	0.115	0.575	0.181	тулаем
grotesque	0.135	0.788	0.500	гротеск
grotto	0.510	0.394	0.336	гротто
grouch	0.342	0.593	0.411	груш
grouchy	0.143	0.708	0.407	груши
ground	0.398	0.343	0.602	җир
grounded	0.531	0.601	0.509	нигезләнгән
groundhog	0.385	0.324	0.377	җир асты
grounding	0.521	0.452	0.591	җир асты
groundless	0.333	0.535	0.387	нигезсез
grounds	0.667	0.500	0.598	нигезләр
groundwork	0.500	0.375	0.593	нигез
group	0.573	0.423	0.480	төркем
groupie	0.521	0.583	0.393	группа
grouping	0.745	0.580	0.698	төркемләү
grouse	0.448	0.401	0.412	грус
grout	0.405	0.356	0.366	грут
grove	0.604	0.245	0.417	бакча
grovel	0.360	0.500	0.414	трюк
grow	0.914	0.615	0.755	үсә
growl	0.194	0.764	0.482	үкерү
growling	0.119	0.887	0.475	үкерү
growls	0.125	0.675	0.442	кычкыра
grownup	0.735	0.400	0.683	үскәнбез
growth	0.917	0.588	0.776	үсеш
growthefuckup	0.229	0.692	0.426	.әр сүзнең
grr	0.229	0.538	0.333	гр
grrr	0.271	0.755	0.327	grrr
grrrrr	0.281	0.633	0.444	grrrrr
grub	0.602	0.406	0.355	граб
grubby	0.156	0.583	0.176	грубби
grudge	0.115	0.647	0.414	үпкәләү
grudging	0.092	0.636	0.473	үпкәләү
grudgingly	0.156	0.610	0.292	үпкәләп
gruel	0.382	0.304	0.297	ягулык
grueling	0.180	0.763	0.704	газаплау
gruesome	0.094	0.837	0.474	коточкыч
gruff	0.323	0.611	0.472	.әр сүзнең
grumble	0.101	0.750	0.333	зарлану
grump	0.260	0.469	0.425	грум
grumpy	0.198	0.808	0.559	усал
grunt	0.286	0.798	0.392	кычкыру
grunting	0.198	0.827	0.481	кычкыру
guacamole	0.684	0.317	0.282	гуакамол
guano	0.296	0.343	0.191	гуано
guarantee	0.949	0.337	0.805	гарантия
guaranty	0.646	0.337	0.818	гарантия
guard	0.592	0.510	0.725	сакчы
guarded	0.758	0.686	0.500	сакланган
guardhouse	0.510	0.435	0.770	сакчы
guardian	0.656	0.686	0.789	опекун
guardianship	0.592	0.370	0.681	опека
guards	0.448	0.663	0.720	сакчылар
gubernatorial	0.552	0.604	0.897	губернатор
guerilla	0.146	0.845	0.727	партизан
guerrilla	0.219	0.917	0.792	партизан
guess	0.640	0.463	0.442	фаразлау
guesser	0.542	0.670	0.535	фаразлаучы
guesswork	0.417	0.451	0.405	фаразлау
guest	0.719	0.490	0.558	кунак
guesthouse	0.729	0.337	0.406	кунакханә
guidance	0.729	0.471	0.718	җитәкчелек
guide	0.688	0.315	0.620	кулланма
guidebook	0.677	0.260	0.427	кулланма
guidelines	0.459	0.500	0.664	күрсәтмәләр
guiding	0.667	0.520	0.714	җитәкче
guild	0.580	0.459	0.729	гильдия
guile	0.410	0.417	0.467	хәйлә
guillotine	0.163	0.817	0.585	гилотин
guilt	0.208	0.567	0.206	гаеп
guilty	0.135	0.770	0.352	гаепле
guinea	0.521	0.440	0.396	Гвинея
guise	0.531	0.547	0.324	гиз
guitar	0.844	0.542	0.469	гитара
guitarist	0.827	0.740	0.549	гитарачы
gules	0.469	0.443	0.340	гулес
gulf	0.520	0.365	0.398	култыгы
gull	0.594	0.317	0.378	гөл
gullet	0.385	0.490	0.393	гөллет
gullible	0.440	0.442	0.318	ышанычлы
gully	0.316	0.519	0.394	гөлли
gulp	0.551	0.660	0.409	гөл
gum	0.573	0.227	0.213	сагыз
gumbo	0.500	0.422	0.361	gumbo
gummy	0.521	0.302	0.291	гумми
gumption	0.480	0.538	0.488	гайбәт
gun	0.147	0.920	0.713	мылтык
gunboat	0.139	0.663	0.618	мылтык көймәсе
gunfight	0.051	0.961	0.700	мылтык
gunfighter	0.156	0.910	0.741	мылтык
gunfire	0.156	0.930	0.673	мылтык
gunk	0.250	0.478	0.219	мылтык
gunman	0.167	0.922	0.689	кораллы кеше
gunmen	0.073	0.942	0.727	кораллы кешеләр
gunner	0.250	0.853	0.817	мылтык
gunnery	0.281	0.861	0.873	мылтык
gunplay	0.133	0.906	0.627	мылтык
gunpoint	0.188	0.817	0.719	мылтык
gunpowder	0.425	0.853	0.509	пистолет
gunshot	0.042	0.953	0.673	мылтык
gunslinger	0.316	0.873	0.811	мылтык
gurney	0.408	0.304	0.352	гурни
guru	0.573	0.360	0.653	гуру
gush	0.510	0.490	0.381	гуш
gusher	0.406	0.520	0.453	гушер
gusset	0.427	0.425	0.423	Гуссет
gust	0.490	0.755	0.556	густ
gusto	0.692	0.729	0.620	густо
gusty	0.687	0.631	0.455	густы
gut	0.408	0.367	0.364	эчәк
gutless	0.250	0.381	0.384	эчкерсез
guts	0.592	0.649	0.582	эчәк
gutsy	0.635	0.573	0.536	Гутси
gutter	0.466	0.260	0.400	чүпрәк
guy	0.583	0.367	0.546	егет
guzzler	0.393	0.537	0.436	газлер
guzzling	0.460	0.490	0.380	гаҗәпләнү
gym	0.635	0.690	0.613	спортзал
gymnasium	0.667	0.561	0.474	гимназия
gymnast	0.670	0.760	0.558	гимнаст
gymnastic	0.810	0.706	0.604	гимнастик
gymnastics	0.745	0.677	0.508	гимнастика
gynecologist	0.552	0.566	0.682	гинеколог
gynecology	0.408	0.590	0.519	гинекология
gypsy	0.375	0.665	0.396	цыган
gyroscope	0.500	0.390	0.510	гироскоп
habit	0.625	0.226	0.585	гадәт
habitat	0.633	0.343	0.553	яшәү урыны
habitation	0.781	0.231	0.538	яшәү урыны
habitual	0.527	0.208	0.490	гадәттә
habitually	0.600	0.324	0.583	гадәттә
hacienda	0.688	0.402	0.573	хаҗида
hack	0.135	0.717	0.534	hack
hacker	0.271	0.755	0.740	хакер
hacksaw	0.406	0.645	0.537	хакса
hadenough	0.323	0.566	0.529	hadenough
hag	0.188	0.695	0.411	хаг
haggard	0.115	0.510	0.246	усал
haggle	0.480	0.601	0.461	каушау
haiku	0.583	0.356	0.392	хайку
hail	0.459	0.627	0.411	сәлам
hair	0.582	0.186	0.286	чәч
hairball	0.370	0.302	0.315	чәч
hairbrush	0.454	0.216	0.263	чәч щеткасы
haircut	0.677	0.343	0.307	чәч кисү
hairdo	0.552	0.320	0.435	чәч
hairdresser	0.708	0.509	0.407	чәчтараш
hairdryer	0.642	0.402	0.330	Фен
hairless	0.136	0.235	0.139	чәчсез
hairline	0.418	0.154	0.230	чәч
hairpin	0.459	0.363	0.370	чәч
hairspray	0.549	0.279	0.269	чәч
hairstyle	0.771	0.380	0.433	чәч формасы
hairy	0.542	0.380	0.343	чәчле
hale	0.479	0.435	0.500	hale
half	0.500	0.274	0.276	ярты
half dollar	0.573	0.408	0.509	ярты доллар
halfback	0.490	0.429	0.440	ярты
halftime	0.458	0.352	0.429	ярты вакыт
halfway	0.510	0.254	0.339	ярты юл
halibut	0.449	0.412	0.411	палтус
hall	0.510	0.340	0.424	зал
hallelujah	0.770	0.554	0.657	халлелужа
hallmark	0.646	0.315	0.411	билгесе
hallowed	0.740	0.500	0.728	изгеләндерелгән
hallucination	0.396	0.706	0.370	галлюцинация
hallway	0.573	0.230	0.279	коридор
halo	0.490	0.370	0.441	гало
halt	0.167	0.360	0.432	тукта
halter	0.448	0.451	0.431	чылбыр
halting	0.255	0.596	0.519	туктату
halve	0.316	0.347	0.302	ярты
halving	0.292	0.474	0.366	ярты
ham	0.673	0.245	0.404	радиосөюче
hamburger	0.809	0.551	0.387	гамбургер
hamlet	0.573	0.270	0.397	плитка
hammer	0.312	0.509	0.563	чүкеч
hammerhead	0.337	0.490	0.569	чүкеч
hammering	0.347	0.779	0.557	чүкеч
hammock	0.673	0.255	0.287	гамак
hamper	0.204	0.711	0.473	комачаулый
hamster	0.520	0.394	0.349	хамстер
hamstring	0.406	0.471	0.443	гастроль
hand	0.542	0.314	0.434	кул
handbag	0.562	0.240	0.336	сумка
handball	0.561	0.493	0.440	гандбол
handbook	0.600	0.224	0.567	кулланма
handcuff	0.310	0.590	0.593	кулъяулык
handful	0.521	0.481	0.400	усал
handgun	0.156	0.914	0.782	мылтык
handheld	0.646	0.350	0.586	кул
handicap	0.133	0.394	0.264	инвалид
handicapped	0.204	0.467	0.180	инвалид
handicraft	0.724	0.333	0.565	кул эшләре
handiwork	0.753	0.430	0.410	кул эше
handkerchief	0.510	0.192	0.219	кулъяулык
handle	0.698	0.571	0.558	тоткыч
handler	0.439	0.593	0.861	эшкәртүче
handmade	0.776	0.383	0.475	кулдан эшләнгән
handout	0.560	0.330	0.545	тарату
handprint	0.635	0.289	0.463	кул эзе
handshake	0.816	0.654	0.492	кул чабу
handsome	0.890	0.600	0.682	матур
handwriting	0.615	0.378	0.381	кулъязма
handy	0.741	0.378	0.639	уңайлы
handyman	0.660	0.373	0.393	куллы
hang	0.323	0.529	0.446	асыл
hangar	0.490	0.456	0.481	ангар
hanger	0.439	0.462	0.461	элгеч
hanging	0.378	0.471	0.389	асылу
hangman	0.153	0.877	0.555	асылучы
hangout	0.573	0.500	0.462	эшсез йөрү
hangover	0.188	0.565	0.267	асылыну
hangry	0.219	0.794	0.279	ач
hank	0.510	0.375	0.339	ханк
hankering	0.604	0.540	0.558	ханкеринг
hanky	0.460	0.276	0.250	ханки
hap	0.503	0.431	0.453	hap
haphazard	0.469	0.530	0.324	гафазард
hapless	0.271	0.442	0.193	бәхетсез
happen	0.677	0.670	0.551	була
happening	0.646	0.529	0.555	була
happier	0.990	0.760	0.806	бәхетлерәк
happiest	0.990	0.716	0.746	иң бәхетле
happily	1.000	0.690	0.674	бәхетле
happiness	0.960	0.732	0.850	бәхет
happy	1.000	0.735	0.772	бәхетле
happydance	0.857	0.760	0.582	Бәхет
happyday	0.929	0.650	0.663	бәхетле көн
happyheart	0.949	0.575	0.605	бәхетле
happyholidays	0.927	0.740	0.637	Бәхетле
happynewyear	0.969	0.815	0.559	Яңа ел белән
happyplace	0.938	0.589	0.645	Бәхет
happytweet	0.847	0.588	0.437	Бәхетле
happyvalentinesday	0.929	0.784	0.509	Изге Вәли көне белән
harass	0.160	0.775	0.620	эзәрлекләү
harassing	0.120	0.873	0.446	эзәрлекләү
harassment	0.083	0.896	0.420	эзәрлекләү
harbinger	0.490	0.389	0.692	гарбингер
harbor	0.594	0.356	0.634	порт
hard	0.302	0.708	0.616	авыр
hardball	0.542	0.667	0.452	Хардбол
hardcore	0.250	0.721	0.585	каты
harden	0.276	0.598	0.677	каты
hardened	0.406	0.618	0.764	каты
hardening	0.388	0.673	0.741	катыру
hardheaded	0.156	0.699	0.571	каты башлы
hardness	0.417	0.580	0.745	каты
hardship	0.094	0.775	0.482	авырлык
hardware	0.594	0.289	0.686	җиһаз
hardwood	0.417	0.363	0.518	каты агач
hardworking	0.719	0.583	0.792	эшчән
hardy	0.571	0.569	0.810	.әр сүзнең
hare	0.620	0.410	0.345	куян
harebrained	0.296	0.551	0.436	усал
harem	0.521	0.578	0.582	гарем
hark	0.571	0.500	0.398	hark
harlot	0.198	0.798	0.330	фахишә
harm	0.073	0.679	0.423	зарар
harmful	0.094	0.750	0.291	зарарлы
harmless	0.625	0.226	0.241	зарарсыз
harmonica	0.847	0.235	0.510	гармоника
harmonics	0.865	0.400	0.575	гармоника
harmonious	0.938	0.391	0.719	гармонияле
harmoniously	0.969	0.265	0.647	гармонияле
harmonize	0.939	0.461	0.609	гармонияләштерү
harmony	0.949	0.230	0.509	гармония
harness	0.570	0.549	0.508	җиһаз
harp	0.618	0.310	0.356	арфа
harper	0.417	0.454	0.435	арфа
harpoon	0.490	0.700	0.557	гарпун
harpsichord	0.541	0.490	0.438	гарфичорд
harrowing	0.209	0.810	0.474	.әр сүзнең
harry	0.520	0.409	0.390	Гарри
harsh	0.250	0.650	0.623	кырыс
harshness	0.323	0.600	0.779	кырыслык
hart	0.643	0.389	0.447	Харт
harvest	0.781	0.353	0.548	урып-җыю
hash	0.344	0.453	0.355	хэш
hashish	0.370	0.570	0.358	гашиш
hassle	0.177	0.740	0.489	кыенлык
haste	0.378	0.745	0.500	ашыга
hasten	0.571	0.750	0.618	ашык
hastily	0.271	0.609	0.609	ашыгып
