English Word	Valence	Arousal	Dominance	Latin Word
insatiable	0.375	0.656	0.558	insatiabilis
inscription	0.592	0.422	0.542	inscriptio
inscrutable	0.459	0.541	0.613	inscrutabilis
insect	0.276	0.633	0.242	insectum
insecticide	0.188	0.598	0.430	Insectum
insecure	0.114	0.538	0.132	insecure
insecurity	0.094	0.647	0.350	suspiciones
insemination	0.542	0.644	0.622	seminatio
insensitive	0.219	0.471	0.302	insensibilis
inseparable	0.700	0.520	0.571	inseparabilis
insert	0.481	0.552	0.519	inserta
inserted	0.479	0.402	0.476	adiecimus
insertion	0.521	0.520	0.565	insertio
inside	0.612	0.404	0.472	intus
insider	0.625	0.562	0.750	insider
insidious	0.146	0.622	0.480	insidiosa
insight	0.613	0.363	0.649	scientia
insightful	0.664	0.691	0.713	vim demonstrat
insignia	0.665	0.282	0.685	insignia
insignificance	0.250	0.216	0.222	parvitas
insignificant	0.083	0.306	0.114	minimus
insinuate	0.292	0.635	0.413	insinuare
insipid	0.214	0.250	0.241	insulsi
insist	0.635	0.651	0.688	insisto
insistence	0.418	0.704	0.645	instantia
insistent	0.552	0.635	0.701	instantius
insists	0.490	0.587	0.610	instat
insolence	0.115	0.731	0.402	insolentia
insolent	0.112	0.663	0.343	insolenti
insoluble	0.439	0.290	0.414	insolubilis
insolvency	0.323	0.431	0.300	insolvency
insolvent	0.230	0.481	0.318	solvendo
insomnia	0.198	0.611	0.373	vigiliae
insomniac	0.231	0.367	0.329	vigiliae
inspect	0.479	0.603	0.793	inspicere
inspection	0.459	0.630	0.718	inspectionem
inspector	0.418	0.580	0.852	inspector
inspiration	0.938	0.600	0.779	inspiratio
inspirational	0.927	0.720	0.810	inspirational
inspire	0.918	0.627	0.759	inspire
inspired	0.967	0.702	0.736	inspirati
instability	0.177	0.760	0.353	instabilitas
install	0.630	0.583	0.736	install
installation	0.656	0.469	0.759	institutionem
installment	0.619	0.396	0.483	pensionem
instance	0.547	0.450	0.558	exempli gratia
instant	0.766	0.454	0.554	instant
instantaneous	0.750	0.500	0.585	in instanti
instantaneously	0.656	0.640	0.600	in instanti
instigate	0.278	0.765	0.642	instigare
instigation	0.323	0.769	0.648	instinctu
instill	0.562	0.490	0.618	instill
instinct	0.771	0.602	0.642	instinctus
instinctive	0.752	0.575	0.694	natura
institute	0.604	0.480	0.807	institutum
institution	0.580	0.311	0.790	institutio
instruct	0.729	0.490	0.833	instrue
instructed	0.740	0.388	0.722	instructus
instruction	0.656	0.434	0.736	disciplinam
instructional	0.698	0.500	0.773	institutionis
instructions	0.582	0.302	0.556	instructiones
instructive	0.583	0.420	0.643	instructive
instructor	0.771	0.490	0.782	instructor
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentalis 
instrumentality	0.637	0.510	0.618	instrumentalitas
insubordination	0.281	0.775	0.634	contumacia
insufferable	0.220	0.784	0.291	intolerabilis
insufficiency	0.115	0.431	0.210	insufficientia
insufficient	0.188	0.380	0.093	insufficiens
insufficiently	0.147	0.509	0.198	satis
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	INSULO
insulated	0.208	0.265	0.304	insulatas
insulation	0.245	0.327	0.264	Nulla
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	contumelia
insulting	0.094	0.840	0.412	contumeliae
insurance	0.714	0.308	0.825	cautionum
insure	0.700	0.415	0.698	tueri
insurgent	0.235	0.735	0.660	rebellis
insurmountable	0.620	0.627	0.737	insuperabilis
insurrection	0.229	0.706	0.582	tumultus
intact	0.716	0.212	0.602	integer
intake	0.604	0.527	0.442	attractio
intangible	0.525	0.480	0.473	INTACTILIS
integer	0.573	0.327	0.595	integer
integral	0.590	0.337	0.615	integralis
integrate	0.729	0.390	0.700	integrare
integration	0.771	0.480	0.737	integrationem
integrity	0.865	0.413	0.848	integritas
intellect	0.844	0.418	0.870	intellectus
intellectual	0.906	0.455	0.845	intellectualis
intelligence	0.833	0.587	0.885	intelligentia
intelligent	0.917	0.541	0.868	intelligentes
intelligibility	0.740	0.481	0.689	intelligibilitas
intelligible	0.635	0.480	0.691	intelligibile
intend	0.562	0.520	0.519	intendo
intended	0.406	0.542	0.587	intendebat
intending	0.510	0.567	0.597	intendens
intense	0.592	0.774	0.679	vehemens
intensely	0.694	0.846	0.750	intensius
intensify	0.604	0.870	0.737	intendet
intensity	0.622	0.930	0.952	intensio
intensive	0.570	0.842	0.776	intensive
intent	0.550	0.481	0.500	intent
intention	0.531	0.480	0.636	intentio
intentional	0.650	0.615	0.750	voluntariam
intentionally	0.450	0.676	0.696	intentionally
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	penitus
interaction	0.646	0.735	0.750	commercium
interactive	0.727	0.811	0.770	interactive
intercede	0.582	0.577	0.630	intercedere
intercept	0.221	0.660	0.676	intercipere
interception	0.327	0.673	0.643	interceptio
intercession	0.503	0.486	0.598	intercessio
interchange	0.615	0.527	0.565	vicissitudo
interchangeable	0.615	0.459	0.526	convertibilis
interchanged	0.396	0.472	0.434	permutatus
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	commercium
interdependence	0.608	0.618	0.639	mutuae
interdependent	0.410	0.482	0.598	dependentes
interdiction	0.337	0.500	0.585	interdictio
interest	0.780	0.667	0.618	interest
interested	0.750	0.529	0.725	interested
interesting	0.927	0.726	0.731	novus
interface	0.643	0.357	0.600	interface
interfere	0.323	0.714	0.471	intermixti
interference	0.396	0.736	0.357	impedimentum
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	interim
interior	0.618	0.157	0.462	interior
interject	0.333	0.648	0.658	interject
interlocutory	0.490	0.500	0.527	interlocutorium
interlude	0.470	0.417	0.377	interlude
intermediary	0.427	0.510	0.643	medius
intermediate	0.480	0.368	0.400	medium
interment	0.235	0.608	0.346	humatio
interminable	0.327	0.481	0.561	interminabilis
intermission	0.490	0.360	0.402	intermissio
intermittent	0.337	0.565	0.436	intermittendi
intern	0.459	0.460	0.392	intern
internal	0.439	0.349	0.423	internum
internally	0.615	0.400	0.616	interius
international	0.800	0.519	0.702	international
internet	0.760	0.462	0.755	penitus
internship	0.590	0.510	0.482	amet
interoffice	0.439	0.375	0.556	interofficium
interpolate	0.460	0.490	0.569	interpolate
interpolation	0.419	0.506	0.528	interpolatio
interpret	0.646	0.625	0.673	interpretantur
interpretation	0.677	0.594	0.620	interpretatio
interpreter	0.708	0.461	0.596	interpres
interpretive	0.531	0.549	0.595	interpretativa
interrelated	0.615	0.469	0.592	inter se 
interrogate	0.323	0.808	0.680	interrogare
interrogation	0.302	0.827	0.657	interrogatio
interrupt	0.210	0.635	0.509	interrumpere
interrupted	0.281	0.559	0.333	Interrupit
interrupting	0.146	0.593	0.509	interpellatio
interruption	0.184	0.632	0.425	interruptio
interrupts	0.204	0.545	0.389	obloquitur
intersect	0.521	0.510	0.480	secet
intersection	0.344	0.541	0.658	intersectio
interstate	0.520	0.443	0.600	interstate
interstellar	0.708	0.702	0.622	interstellar
interstitial	0.333	0.471	0.534	interstitial
interval	0.510	0.284	0.400	intervallum
intervene	0.520	0.677	0.768	interveniendi
intervening	0.398	0.627	0.442	medium
intervention	0.388	0.696	0.689	interventus
interview	0.573	0.770	0.619	colloquium
interviewer	0.552	0.736	0.816	Interviewer
interworking	0.552	0.587	0.691	interworking
intestate	0.459	0.467	0.415	intestato
intestinal	0.357	0.531	0.370	intestinorum
intestine	0.343	0.450	0.380	intestinum
intestines	0.292	0.547	0.398	intestina
intimacy	0.857	0.802	0.558	familiaritas
intimate	0.724	0.598	0.393	familiaris
intimately	0.806	0.573	0.590	intime
intimation	0.406	0.673	0.500	significatio
intimidate	0.210	0.804	0.632	terrori
intimidated	0.177	0.663	0.208	perterritum
intimidating	0.229	0.790	0.708	acriter insequens
intimidation	0.177	0.791	0.644	metus
intolerable	0.146	0.660	0.439	intolerabilis
intolerance	0.052	0.704	0.520	intolerantia
intolerant	0.135	0.676	0.509	impatiens
intonation	0.615	0.442	0.598	vox
intoxicated	0.079	0.824	0.246	inebriatus
intoxicating	0.224	0.760	0.464	inebriare
intoxication	0.323	0.710	0.400	ebrietas
intracranial	0.281	0.602	0.553	intracraniale
intractable	0.154	0.694	0.302	intractabilis
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	intravenous
intrepid	0.753	0.696	0.637	intrepidus
intricate	0.559	0.704	0.500	perplexitas
intrigue	0.362	0.830	0.327	adulterium
intriguing	0.422	0.713	0.462	intriguing
intrinsic	0.406	0.471	0.526	intrinsecus
intrinsically	0.459	0.382	0.538	secundum se
intro	0.510	0.331	0.657	intro
introduce	0.592	0.559	0.648	inducere
introduction	0.612	0.413	0.640	introductio
introductory	0.635	0.368	0.593	introductory
introspection	0.603	0.337	0.575	introspectio
introspective	0.552	0.360	0.471	introspective
intrude	0.058	0.735	0.480	inferat
intruder	0.146	0.740	0.324	intrusor
intrusion	0.293	0.641	0.670	intrusio
intrusive	0.461	0.607	0.538	MOLESTUS
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	intuitum
intuitive	0.771	0.573	0.690	intuitive
intuitively	0.670	0.561	0.648	intuitive
inundation	0.177	0.780	0.455	inundatio
invade	0.408	0.892	0.714	invadere
invader	0.200	0.827	0.618	invasor
invalid	0.180	0.330	0.255	invalidum
invalidate	0.315	0.480	0.397	infirmare
invalidation	0.181	0.490	0.278	infirmatio
invalidity	0.186	0.394	0.158	invaliditas
invaluable	0.740	0.500	0.745	pretiosum
invariably	0.458	0.365	0.550	semper
invasion	0.271	0.843	0.808	incursio
invasive	0.194	0.730	0.598	incursio
invent	0.719	0.689	0.833	invent
invention	0.714	0.577	0.811	inventio
inventive	0.780	0.627	0.721	inventivum
inventor	0.781	0.667	0.847	inventor
inventory	0.594	0.463	0.490	inventory
inverse	0.459	0.337	0.319	inversus
inversely	0.286	0.418	0.351	inverse
inversion	0.602	0.630	0.772	inversionem
invert	0.510	0.585	0.706	invertere
inverted	0.310	0.471	0.357	inversa
invest	0.650	0.663	0.682	obsidere
investigate	0.640	0.500	0.781	investigate
investigation	0.531	0.592	0.820	inquisitionis
investigative	0.562	0.600	0.704	percontando
investigator	0.615	0.509	0.779	inquisitor
investment	0.720	0.592	0.745	investment
investor	0.794	0.655	0.791	investor
invidious	0.112	0.650	0.364	invidiosus
invigorate	0.821	0.798	0.831	reficiat
invincible	0.867	0.853	0.914	invictus
invisibility	0.438	0.461	0.382	invisibility
invisible	0.417	0.345	0.412	invisibilis
invitation	0.802	0.549	0.647	invitationem
invite	0.745	0.655	0.611	invite
inviting	0.938	0.571	0.538	vocat
invocation	0.430	0.620	0.673	invocatio
invoice	0.480	0.380	0.474	cautionem
invoke	0.583	0.740	0.579	invocare
involuntary	0.354	0.490	0.231	involuntarium
involution	0.296	0.420	0.407	involution
involve	0.694	0.490	0.728	involvere
involvement	0.760	0.620	0.696	concursus
invulnerable	0.552	0.683	0.745	inviolabilis
inwards	0.490	0.385	0.438	intus
iodine	0.390	0.265	0.333	iodine
ion	0.429	0.330	0.408	ion
iota	0.344	0.385	0.314	iota
irate	0.188	0.852	0.474	irato
ire	0.198	0.740	0.575	ire
iridescent	0.602	0.588	0.539	venetus
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	uehementer
irks	0.276	0.781	0.339	piget
iron	0.448	0.351	0.679	ferrum
ironclad	0.561	0.648	0.679	ferratus
ironic	0.435	0.550	0.500	irrisorie
irons	0.531	0.441	0.625	compedes
irony	0.390	0.587	0.508	ironia
irradiation	0.385	0.736	0.509	irradiatio
irrational	0.125	0.648	0.394	irrationalis
irrationality	0.198	0.735	0.361	irrationalitas
irreconcilable	0.146	0.667	0.375	placabilis
irreducible	0.296	0.455	0.569	nullas substantias
irrefutable	0.496	0.549	0.716	inexpugnabilis
irregular	0.312	0.548	0.321	irregularis
irregularity	0.104	0.647	0.306	irregularitas
irregularly	0.292	0.565	0.397	irregulariter
irrelevant	0.138	0.311	0.296	irrelevant
irreparable	0.061	0.530	0.430	irreparabilis
irreplaceable	0.479	0.580	0.833	irreparabile
irrepressible	0.512	0.566	0.745	irreparabilis
irresistible	0.823	0.833	0.839	intolerabilis
irrespective	0.497	0.538	0.745	sine 
irresponsible	0.177	0.680	0.241	imprudens
irreverent	0.191	0.694	0.634	irreverens
irreversible	0.170	0.541	0.667	immedicabile
irrevocable	0.296	0.560	0.712	irrevocabilis
irrigate	0.272	0.458	0.490	irrigare
irrigation	0.259	0.426	0.426	irrigatio
irritability	0.146	0.853	0.283	iracundias
irritable	0.112	0.952	0.462	iracundior
irritate	0.167	0.890	0.368	irritare
irritated	0.210	0.816	0.281	irritaverunt
irritates	0.173	0.810	0.295	inritat
irritating	0.104	0.912	0.393	vexo
irritation	0.073	0.833	0.496	irritatio
island	0.745	0.347	0.432	insulam
isle	0.667	0.390	0.443	isle
islet	0.612	0.314	0.367	islet
isolate	0.235	0.422	0.336	recludet
isolated	0.221	0.356	0.255	remotus
isolation	0.198	0.338	0.339	separatio
isomorphism	0.448	0.361	0.481	isomorphism
isothermal	0.459	0.491	0.500	isothermal
isotope	0.429	0.404	0.407	isotope
issue	0.316	0.819	0.351	exitus
itch	0.319	0.610	0.465	scabies
itching	0.208	0.690	0.300	prurientes
itchy	0.334	0.726	0.296	SCABROSUS
item	0.594	0.270	0.465	item
itemize	0.459	0.527	0.518	itemize 
items	0.542	0.401	0.434	items
iterate	0.449	0.460	0.440	iterate
iteration	0.531	0.449	0.486	iteratio
iterative	0.429	0.420	0.500	iterative
itinerant	0.449	0.545	0.439	itinerantis
itinerary	0.551	0.550	0.454	iter
ivory	0.625	0.235	0.566	eburneae
jab	0.385	0.519	0.482	jab
jabber	0.417	0.506	0.342	jabber
jack	0.487	0.450	0.441	jack
jackal	0.333	0.582	0.436	draconis
jackass	0.188	0.692	0.279	asinus
jacket	0.656	0.302	0.382	iaccam
jackhammer	0.199	0.690	0.519	jackhammer
jackpot	0.950	0.750	0.786	jackpot
jackrabbit	0.625	0.379	0.344	jackrabbit
jacks	0.490	0.400	0.505	jacks
jade	0.604	0.410	0.455	jade
jaded	0.255	0.560	0.400	adtrita
jag	0.408	0.440	0.427	jag
jagged	0.082	0.462	0.213	serratus
jaguar	0.559	0.710	0.654	jaguar
jail	0.094	0.898	0.480	vincula
jailbird	0.240	0.567	0.473	jailbird
jailbreak	0.354	0.629	0.471	jailbreak
jailer	0.194	0.630	0.632	custodis
jailhouse	0.104	0.887	0.430	jailhouse
jalopy	0.396	0.436	0.337	jalopy
jam	0.510	0.548	0.318	jam
jamboree	0.602	0.625	0.351	jamboree
jammed	0.235	0.817	0.411	Metronactis
jammer	0.417	0.540	0.491	jammer
janitor	0.510	0.350	0.527	janitor
janitorial	0.490	0.373	0.481	janitorial
japan	0.667	0.482	0.580	Japan
jar	0.430	0.346	0.318	hydria
jargon	0.333	0.548	0.404	lingua
jarhead	0.408	0.530	0.464	jarhead
jarring	0.210	0.673	0.309	jurgium
jasmine	0.765	0.230	0.286	Aenean
jasper	0.480	0.425	0.402	iaspis
jaundice	0.214	0.480	0.355	morbus regius
jaunt	0.808	0.451	0.500	jaunt
java	0.459	0.321	0.343	java
javelin	0.385	0.481	0.465	iaculum
jaw	0.500	0.510	0.420	maxilla
jawbone	0.468	0.413	0.342	maxilla
jaws	0.385	0.528	0.455	faucibus
jay	0.531	0.408	0.389	jay
jazz	0.677	0.362	0.450	jazz
jazzy	0.725	0.431	0.389	jazzy
jealous	0.173	0.855	0.345	aemulor
jealousy	0.146	0.783	0.481	invidia
jean	0.602	0.444	0.364	jean
jeans	0.622	0.324	0.371	jeans
jeep	0.602	0.510	0.612	Jeep
jeering	0.266	0.792	0.380	eludere
jelly	0.651	0.294	0.256	gelata
jellybean	0.592	0.406	0.399	gelata Bean
jellyfish	0.531	0.567	0.377	jellyfish
jenny	0.542	0.406	0.407	jenny
jeopardize	0.260	0.877	0.582	periclitari
jeopardy	0.129	0.908	0.536	periculum
jerk	0.194	0.630	0.238	jerk
jerks	0.214	0.788	0.395	iactationibus
jerky	0.233	0.538	0.358	jerky
jersey	0.594	0.317	0.411	Jersey
jest	0.520	0.736	0.222	jest
jester	0.388	0.670	0.264	ioculator
jesus	0.800	0.400	0.620	Jesus
jet	0.612	0.721	0.606	jet
jetty	0.602	0.480	0.453	nigricans
jewel	0.827	0.588	0.625	gemma
jeweler	0.760	0.482	0.500	gemmarius
jewelry	0.823	0.569	0.597	ornamentum
jib	0.406	0.420	0.413	jib
jiff	0.576	0.404	0.349	jiff
jiffy	0.410	0.444	0.380	jiffy
jig	0.531	0.396	0.357	jig
jiggle	0.592	0.673	0.518	jiggle
jigsaw	0.594	0.582	0.519	jigsaw
jihad	0.323	0.660	0.444	jihad
jimmy	0.579	0.321	0.311	jimmy
jingle	0.635	0.500	0.424	sonantis
jinx	0.337	0.582	0.373	jinx
jitters	0.224	0.918	0.192	jitters
jittery	0.344	0.856	0.255	jittery
jive	0.561	0.551	0.373	quinque
job	0.694	0.541	0.717	job
jobinterview	0.684	0.837	0.723	jobinterview
jock	0.592	0.656	0.473	jock
jockey	0.562	0.644	0.703	agaso
jockstrap	0.347	0.431	0.390	jockstrap
jog	0.510	0.708	0.519	quatio
jogger	0.417	0.510	0.424	jogger
john	0.562	0.382	0.327	john
join	0.729	0.479	0.684	join
joined	0.667	0.394	0.600	joined
joining	0.755	0.469	0.685	coniunctio
joint	0.615	0.392	0.566	iuncturam
jointly	0.708	0.425	0.602	coniunctim
joke	0.704	0.610	0.316	iocus
joker	0.771	0.760	0.416	scurra
joking	0.776	0.839	0.407	iocari
jolly	0.959	0.705	0.708	iocose
jolt	0.365	0.708	0.358	salebra
jornada	0.417	0.500	0.533	jornada
jot	0.406	0.323	0.350	iota
jour	0.479	0.394	0.415	jour
journal	0.688	0.240	0.352	journal
journalism	0.622	0.500	0.684	journalism
journalist	0.542	0.452	0.732	diurnarius
journalistic	0.696	0.449	0.495	journalistic
journey	0.910	0.702	0.625	iter
journeyman	0.765	0.596	0.741	iterman
joust	0.520	0.528	0.551	hastiludium
jovial	0.823	0.460	0.526	jovial
joy	0.980	0.824	0.794	gaudium
joyful	0.990	0.740	0.667	jucundus
joyous	0.958	0.580	0.728	laetificans
joyride	0.694	0.550	0.500	joyride
joys	0.981	0.643	0.651	gaudia
jubilant	0.844	0.673	0.664	jubilans
jubilee	0.916	0.500	0.579	iubilaeum
judge	0.510	0.604	0.857	iudex
judged	0.281	0.686	0.722	iudicatus
judging	0.240	0.625	0.693	judicans
judgment	0.396	0.600	0.816	iudicium
judgmental	0.330	0.602	0.579	iudicium
judicial	0.378	0.667	0.833	iudicialis
judiciary	0.439	0.740	0.897	iudiciarius
judicious	0.630	0.432	0.772	prudens
judo	0.500	0.790	0.612	judo
jug	0.520	0.250	0.213	jug
juggle	0.594	0.760	0.426	juggle
juggler	0.633	0.821	0.480	praestigiator
juggling	0.562	0.874	0.346	praestigiae
jugular	0.271	0.573	0.426	jugularis
juice	0.776	0.281	0.352	sucus
juicer	0.552	0.520	0.564	juicer
juicy	0.823	0.529	0.490	pubentes
juju	0.541	0.519	0.206	juju
juke	0.500	0.491	0.410	juke
jukebox	0.699	0.540	0.429	jukebox
jumble	0.357	0.613	0.331	confusio
jumbled	0.292	0.602	0.445	confuse
jumbo	0.680	0.552	0.447	jumbo
jump	0.625	0.865	0.611	jump
jump rope	0.656	0.660	0.368	jump funem
jumper	0.615	0.336	0.481	thorax
jumpsuit	0.562	0.365	0.361	jumpsuit
jumpy	0.353	0.810	0.216	jumpy
junction	0.490	0.481	0.364	coniunctas
juncture	0.365	0.582	0.491	junctura
jungle	0.500	0.510	0.481	saltu
junior	0.635	0.343	0.304	junior 
juniper	0.583	0.327	0.352	juniperi
junk	0.115	0.481	0.118	junk
junket	0.490	0.519	0.386	junket
junkie	0.135	0.860	0.363	junkie
junky	0.385	0.595	0.343	junky
junkyard	0.177	0.398	0.302	junkyard
junta	0.451	0.503	0.704	junta
juridical	0.520	0.431	0.873	iuridicus
jurisdiction	0.480	0.580	0.820	iurisdictio
jurisprudence	0.360	0.425	0.764	iurisprudentia
jurist	0.479	0.523	0.713	jurist
juror	0.582	0.640	0.750	jurator
jury	0.479	0.607	0.789	iudices
justice	0.760	0.538	0.787	iustitia
justifiable	0.786	0.413	0.821	probabili
justification	0.622	0.444	0.661	iustificationem
justify	0.612	0.473	0.615	justify
juststop	0.417	0.379	0.364	juststop
justthebeginning	0.573	0.451	0.481	justthebeginning
jute	0.551	0.216	0.295	jute
juvenile	0.678	0.490	0.526	juvenilis
juxtaposition	0.427	0.500	0.460	juxtaposition
kaiser	0.470	0.509	0.690	kaiser
kale	0.469	0.226	0.411	kale
kaleidoscope	0.615	0.439	0.580	kaleidoscope
kamikaze	0.204	0.810	0.645	kamikaze
kangaroo	0.716	0.333	0.301	praeiudicatum
kanji	0.510	0.413	0.425	kanji
kappa	0.469	0.375	0.366	kappa
kaput	0.281	0.441	0.440	kaput
karaoke	0.763	0.649	0.342	karaoke
karate	0.562	0.833	0.598	karate
karma	0.500	0.510	0.537	karma
karmic	0.357	0.459	0.464	karmic
kayak	0.592	0.600	0.364	kayak
kazoo	0.503	0.462	0.411	kazoo
kebab	0.531	0.431	0.377	kebab
keel	0.344	0.417	0.419	carina
keen	0.823	0.719	0.806	acer
keep	0.714	0.296	0.547	serva
keeper	0.612	0.457	0.773	custos
keeping	0.592	0.280	0.723	observatio
keepsake	0.740	0.307	0.491	mnemosynum
keg	0.551	0.389	0.404	cadus
kelp	0.479	0.264	0.213	algarum
ken	0.438	0.409	0.360	ken
kennel	0.430	0.480	0.406	kennel
kerchief	0.520	0.189	0.236	panniculum
kern	0.438	0.420	0.449	kern
kernel	0.542	0.453	0.462	nucleus
kerosene	0.302	0.472	0.427	kerosene
ketchup	0.653	0.338	0.282	ketchup
kettle	0.357	0.497	0.333	ollae
key	0.615	0.275	0.519	clavis
keyboard	0.573	0.279	0.349	tincidunt
keyed	0.469	0.497	0.521	keyed
keyhole	0.438	0.358	0.356	keyhole
keynote	0.630	0.431	0.545	keynote
keypad	0.604	0.255	0.330	keypad
keystone	0.573	0.438	0.491	lapisque angularis
keyword	0.602	0.520	0.747	keyword 
khaki	0.594	0.252	0.278	khaki
khan	0.463	0.476	0.529	khan
kibble	0.510	0.458	0.404	kibble
kick	0.271	0.791	0.526	calcitrare
kickboxing	0.427	0.882	0.651	kickboxing
kicker	0.427	0.711	0.614	kicker
kicking	0.327	0.802	0.510	recalcitratio
kickoff	0.583	0.600	0.629	kickoff
kid	0.760	0.453	0.298	hedum
kidder	0.708	0.768	0.471	kidder
kidding	0.622	0.625	0.457	kidding
kiddo	0.674	0.393	0.419	kiddo
kiddos	0.500	0.480	0.342	kiddos
kidnap	0.032	0.923	0.535	kidnap
kidnapped	0.044	0.923	0.455	tollebant
kidnapper	0.115	0.906	0.618	raptor
kidnapping	0.094	0.880	0.561	rapta
kidney	0.448	0.363	0.380	ren
kids	0.837	0.500	0.417	liberi
kill	0.052	0.941	0.736	Occidere
killer	0.041	0.971	0.543	occisor
killing	0.080	0.959	0.696	occisio
killjoy	0.178	0.550	0.324	killjoy
kiln	0.451	0.423	0.414	fornax
kilo	0.438	0.358	0.461	kilo
kilogram	0.510	0.260	0.455	kilogram
kilometer	0.490	0.439	0.485	kilometer
kilt	0.448	0.346	0.348	kilt
kimono	0.643	0.280	0.363	kimono
kin	0.543	0.441	0.457	propinquus
kind	0.918	0.240	0.618	benignus
kindergarten	0.833	0.462	0.308	Donec
kindling	0.520	0.651	0.421	inflammatio
kindness	0.938	0.350	0.508	benignitas
kindred	0.760	0.418	0.517	cognatio
kinematics	0.594	0.480	0.614	kinematics
kinesiology	0.491	0.480	0.633	kinesiology
kinetic	0.582	0.540	0.537	motu 
king	0.677	0.690	0.892	rex
king snake	0.458	0.835	0.647	rex anguis
kingdom	0.714	0.547	0.910	regnum
kingpin	0.357	0.626	0.642	kingpin
kink	0.337	0.634	0.321	kink
kinky	0.449	0.558	0.361	kinky
kinship	0.771	0.300	0.652	cognatio
kiosk	0.500	0.286	0.321	ac ante
kirk	0.510	0.390	0.388	kirk
kiss	0.967	0.813	0.630	osculum
kisser	0.844	0.682	0.618	kisser
kissy	0.874	0.684	0.402	kissy
kit	0.583	0.344	0.420	ornamentum
kitchen	0.700	0.234	0.398	culina
kite	0.643	0.500	0.573	milvus
kitten	0.816	0.343	0.260	catulus
kiwi	0.646	0.273	0.282	kiwi
klutz	0.275	0.451	0.356	klutz
knack	0.562	0.518	0.820	solarium
knapsack	0.551	0.317	0.268	peram
knead	0.490	0.457	0.345	conspergunt
knee	0.520	0.245	0.396	genu
kneecap	0.427	0.360	0.440	kneecap
kneel	0.426	0.417	0.217	genua
kneeling	0.245	0.435	0.144	genuflexus
knell	0.354	0.500	0.377	knell
knick	0.480	0.509	0.420	knick
knickers	0.552	0.428	0.328	knickers
knife	0.344	0.717	0.573	cultro
knight	0.780	0.441	0.835	eques
knighthood	0.740	0.660	0.769	equestris
knit	0.630	0.144	0.295	conglutinata
knob	0.340	0.360	0.272	nodi
knock	0.312	0.531	0.527	pulset
knockoff	0.350	0.606	0.240	knockoff
knockout	0.388	0.755	0.664	pulso
knoll	0.434	0.347	0.333	knoll
knot	0.541	0.221	0.408	nodum
knots	0.418	0.346	0.267	nodis
knotted	0.226	0.412	0.294	nodatus
know	0.765	0.361	0.704	scire
knowing	0.833	0.353	0.658	knowing
knowingly	0.500	0.459	0.481	scienter
knowledge	0.847	0.430	0.896	scientia
knowledgeable	0.865	0.455	0.971	sciens
knuckle	0.655	0.333	0.393	tessera
knucklehead	0.157	0.485	0.288	knucklehead
knuckles	0.271	0.461	0.320	condyli
koala	0.608	0.210	0.311	koala
kook	0.417	0.471	0.398	kook
kooky	0.418	0.582	0.366	kooky
kool-aid	0.531	0.318	0.393	auxilium kool
kos	0.500	0.471	0.407	kos
kosher	0.469	0.443	0.312	kosher
kraut	0.388	0.500	0.390	kraut
kris	0.427	0.417	0.407	kris
kryptonite	0.306	0.690	0.588	kryptonite
kudos	0.925	0.587	0.642	kudos
kumquat	0.417	0.426	0.390	kumquat
lab	0.479	0.500	0.600	lab
label	0.582	0.245	0.423	pittacium
labor	0.594	0.639	0.754	labor
laboratory	0.571	0.490	0.537	laboratorium
labored	0.646	0.451	0.637	laboravit
laborer	0.561	0.510	0.698	operarius
laboring	0.705	0.644	0.737	laborans
laborious	0.393	0.635	0.709	laboriosum
labyrinth	0.479	0.811	0.491	labyrinthum
lac	0.408	0.418	0.331	lac
lace	0.625	0.200	0.293	vitta
laceration	0.143	0.667	0.443	laceratio
lack	0.250	0.365	0.242	carent
lackey	0.260	0.510	0.166	pedissequa
lacking	0.229	0.375	0.121	carens
lackluster	0.250	0.311	0.264	lackluster
lacquer	0.510	0.353	0.258	lacquer
lacrosse	0.573	0.656	0.509	lacrosse
lactose	0.479	0.290	0.433	lactose
lad	0.637	0.388	0.336	puer
ladder	0.560	0.438	0.358	scalae
laddie	0.668	0.539	0.391	puerulus
laden	0.392	0.478	0.554	onustus
lading	0.388	0.463	0.409	onerandi
ladle	0.531	0.368	0.352	trulla
lady	0.854	0.481	0.602	domina
lady bug	0.490	0.434	0.381	dominae cimex
ladybug	0.602	0.400	0.224	ladybug
ladylike	0.592	0.559	0.538	ladylike
ladyship	0.561	0.480	0.822	dominatus
lag	0.220	0.375	0.246	lag
lager	0.584	0.480	0.353	lager
lagging	0.135	0.538	0.277	pigri
lagoon	0.660	0.231	0.373	stagnum
lair	0.469	0.438	0.392	cubile
laity	0.510	0.320	0.487	laici
