English Word	Valence	Arousal	Dominance	Latvian Word
pajamas	0.719	0.170	0.264	pidžamas
pal	0.812	0.426	0.596	draugs
palace	0.878	0.510	0.804	pils
palatable	0.823	0.500	0.594	garšīgs
palate	0.625	0.350	0.358	aukslējas
pale	0.281	0.259	0.245	bāla
paleontology	0.438	0.308	0.617	paleontoloģija
palette	0.590	0.333	0.205	palete
pall	0.277	0.387	0.394	pall
palladium	0.470	0.380	0.393	palādijs
pallet	0.604	0.241	0.349	palete
palliative	0.548	0.394	0.518	paliatīvā
palm	0.531	0.194	0.340	palma
palmer	0.480	0.269	0.413	palmers
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	taustāms
palpitations	0.417	0.702	0.528	sirdsklauves
palsy	0.083	0.446	0.221	paralīze
paltry	0.333	0.491	0.320	nieka
pamper	0.792	0.321	0.348	palutināt
pamphlet	0.530	0.250	0.327	brošūra
pan	0.734	0.182	0.364	panna
panacea	0.420	0.427	0.613	panaceja
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	pankūka
pancakes	0.844	0.373	0.402	pankūkas
pancreas	0.469	0.302	0.366	aizkuņģa dziedzeris
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandēmija
pandemonium	0.229	0.885	0.500	juceklis
pane	0.385	0.250	0.444	rūts
panel	0.469	0.321	0.425	panelis
pang	0.146	0.595	0.455	pang
panhandle	0.441	0.431	0.414	panhandle
panic	0.062	0.938	0.400	panika
panicattack	0.255	0.724	0.386	panikas lēkme
panicked	0.100	0.949	0.260	panikā
panicking	0.094	0.882	0.333	panikā
panicky	0.284	0.962	0.393	panikā
panier	0.500	0.392	0.380	panieris
panorama	0.719	0.402	0.625	panorāma
panoramic	0.542	0.462	0.684	panorāmas
pansy	0.653	0.283	0.589	pansija
pant	0.448	0.463	0.409	elsas
pantheon	0.144	0.410	0.610	panteons
panther	0.303	0.594	0.682	pantera
panties	0.594	0.529	0.312	biksītes
pantomime	0.552	0.481	0.385	pantomīma
pantry	0.622	0.294	0.312	pieliekamais
pants	0.673	0.320	0.333	bikses
panty	0.451	0.557	0.303	biksītes
pantyhose	0.570	0.539	0.250	zeķbikses
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	tētis
papacy	0.481	0.263	0.553	pāvestība
papal	0.493	0.304	0.559	pāvests
papaya	0.630	0.306	0.300	papaija
paper	0.520	0.123	0.293	papīrs
paperback	0.633	0.269	0.314	mīksts vāks
paperboy	0.521	0.490	0.471	papīra puika
paperweight	0.421	0.278	0.433	papīra svars
paperwork	0.448	0.355	0.422	papīru darbs
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papiruss
par	0.615	0.372	0.429	pag
parable	0.479	0.357	0.525	līdzība
parabola	0.542	0.413	0.620	parabola
parabolic	0.459	0.509	0.500	parabolisks
parachute	0.562	0.787	0.564	izpletnis
parade	0.792	0.685	0.509	parāde
paradigm	0.573	0.429	0.779	paradigma
paradise	0.875	0.540	0.796	paradīze
paradox	0.417	0.442	0.482	paradokss
paradoxical	0.406	0.547	0.433	paradoksāli
paraffin	0.426	0.291	0.343	parafīns
paragon	0.490	0.431	0.473	paragons
paragraph	0.510	0.164	0.269	paragrāfs
parakeet	0.576	0.387	0.227	papagailis
paralegal	0.479	0.470	0.519	advokāta palīgs
parallax	0.437	0.394	0.471	paralakse
parallel	0.568	0.284	0.465	paralēli
parallelism	0.549	0.363	0.527	paralēlisms
paralysis	0.156	0.500	0.305	paralīze
paralyze	0.188	0.367	0.471	paralizēt
paramedic	0.673	0.464	0.636	feldšeris
paramedics	0.479	0.594	0.712	feldšeri
paramilitary	0.154	0.804	0.727	paramilitārs
paramount	0.771	0.615	0.902	galvenais
paranoia	0.146	0.841	0.407	paranoja
paranoid	0.122	0.918	0.364	paranoisks
paranormal	0.167	0.814	0.560	paranormāls
parapet	0.450	0.356	0.279	parapets
paraphernalia	0.443	0.726	0.509	piederumi
paraphrase	0.500	0.375	0.444	pārfrāzēt
paraplegic	0.188	0.441	0.321	parapleģisks
parasite	0.092	0.442	0.324	parazīts
parasitic	0.037	0.600	0.364	parazitāras
parasol	0.604	0.255	0.304	saulessargs
parcel	0.660	0.324	0.411	paku
parcels	0.551	0.445	0.418	pakas
parched	0.250	0.235	0.255	izkaltis
parchment	0.615	0.228	0.455	pergaments
pardon	0.552	0.413	0.542	piedod
pare	0.500	0.356	0.309	pare
parenchyma	0.500	0.399	0.595	parenhīma
parent	0.812	0.357	0.860	vecāks
parentage	0.903	0.382	0.595	izcelsme
parental	0.760	0.430	0.627	vecāku
parenthesis	0.510	0.255	0.380	iekavās
parenthetical	0.490	0.327	0.391	iekavās
parenthood	0.750	0.630	0.782	vecāku statuss
parenting	0.812	0.520	0.676	vecāku audzināšana
pariah	0.397	0.478	0.293	parija
parietal	0.481	0.333	0.491	parietāls
paring	0.429	0.441	0.324	griešana
parish	0.698	0.354	0.582	pagasts
parity	0.582	0.406	0.407	paritāte
park	0.816	0.343	0.414	parks
parka	0.469	0.481	0.395	parka
parking	0.777	0.469	0.510	autostāvvieta
parkinsons	0.104	0.570	0.373	parkinsons
parlance	0.510	0.350	0.462	izteiciens
parlay	0.469	0.611	0.483	parlay
parliament	0.573	0.540	0.858	parlaments
parliamentary	0.490	0.554	0.755	parlamentārais
parlor	0.500	0.327	0.366	salons
parmesan	0.698	0.321	0.382	parmezāns
parody	0.561	0.651	0.375	parodija
parole	0.388	0.620	0.526	pirmstermiņa atbrīvošana
parquet	0.541	0.240	0.422	parkets
parrot	0.588	0.333	0.292	papagailis
parry	0.510	0.404	0.436	atturēt
parse	0.469	0.456	0.667	parsēt
parsimonious	0.417	0.312	0.446	taupīgs
parsimony	0.449	0.280	0.403	taupība
parsley	0.458	0.170	0.291	pētersīļi
parson	0.583	0.250	0.615	mācītājs
part	0.663	0.278	0.360	daļa
partake	0.755	0.656	0.629	piedalīties
partial	0.429	0.324	0.348	daļēja
partiality	0.375	0.380	0.490	neobjektivitāte
partially	0.418	0.368	0.396	daļēji
participant	0.712	0.598	0.613	dalībnieks
participate	0.755	0.580	0.684	piedalīties
participation	0.781	0.700	0.702	dalība
particle	0.521	0.265	0.438	daļiņa
particular	0.562	0.402	0.552	īpaši
particularity	0.670	0.434	0.586	specifika
particulars	0.604	0.348	0.525	informāciju
parting	0.260	0.542	0.353	šķiršanās
partisan	0.615	0.549	0.669	partizāns
partisanship	0.438	0.566	0.551	partizanisms
partition	0.615	0.469	0.567	nodalījums
partly	0.415	0.410	0.396	daļēji
partner	0.673	0.302	0.586	partneris
partnership	0.786	0.387	0.545	partnerība
partridge	0.583	0.415	0.250	irbe
parts	0.459	0.327	0.392	daļas
party	0.948	0.840	0.547	ballīte
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	caurlaide
passable	0.688	0.337	0.633	izbraucams
passage	0.429	0.314	0.370	fragments
passageway	0.490	0.389	0.400	eja
passe	0.531	0.357	0.426	caurlaide
passenger	0.717	0.413	0.481	pasažieris
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	garāmejot
passion	0.854	0.865	0.728	aizraušanās
passionate	0.990	0.827	0.731	kaislīgs
passive	0.420	0.116	0.241	pasīvs
passivity	0.241	0.115	0.246	pasivitāte
passkey	0.646	0.500	0.791	parole
passport	0.653	0.457	0.682	pase
password	0.390	0.356	0.559	parole
past	0.490	0.422	0.311	pagātne
pasta	0.615	0.306	0.375	makaroni
paste	0.500	0.556	0.500	pastas
pastel	0.719	0.357	0.367	pastelis
pastime	0.677	0.353	0.443	izklaide
pastor	0.698	0.236	0.746	mācītājs
pastrami	0.542	0.415	0.348	pastrami
pastry	0.870	0.407	0.419	konditorejas izstrādājumi
pasture	0.688	0.145	0.170	ganības
pasty	0.479	0.363	0.375	pastveida
pat	0.418	0.377	0.340	pat
patch	0.439	0.288	0.283	ielāps
patchwork	0.500	0.260	0.325	savārstījums
pate	0.406	0.260	0.260	pastēte
patella	0.430	0.260	0.342	ceļa skriemelis
patent	0.724	0.391	0.609	patents
patented	0.571	0.422	0.685	patentēts
paternal	0.776	0.353	0.755	tēvišķs
paternity	0.704	0.590	0.806	paternitāte
path	0.590	0.245	0.421	ceļš
pathetic	0.088	0.464	0.139	nožēlojams
pathological	0.220	0.602	0.580	patoloģisks
pathologist	0.354	0.552	0.585	patologs
pathology	0.271	0.560	0.558	patoloģija
pathos	0.350	0.449	0.462	patoss
pathway	0.646	0.410	0.519	ceļš
patience	0.771	0.125	0.387	pacietību
patient	0.583	0.193	0.340	pacients
patio	0.562	0.245	0.402	terase
patriarch	0.592	0.448	0.898	patriarhs
patriarchal	0.531	0.500	0.857	patriarhāls
patrimony	0.719	0.406	0.740	mantojums
patriot	0.771	0.635	0.886	patriots
patriotic	0.875	0.509	0.933	patriotisks
patriotism	0.708	0.635	0.848	patriotisms
patrol	0.427	0.664	0.736	patruļa
patrolman	0.469	0.731	0.884	patruļnieks
patron	0.583	0.451	0.870	patrons
patronage	0.583	0.490	0.583	patronāža
patronising	0.439	0.455	0.582	patronizējošs
patronize	0.430	0.451	0.591	patronizēt
patronizing	0.542	0.365	0.529	patronizējošs
patter	0.312	0.635	0.451	patērzēt
pattern	0.479	0.422	0.664	modelis
paucity	0.153	0.453	0.175	trūkums
pauper	0.260	0.347	0.151	nabags
pause	0.429	0.188	0.264	pauze
pave	0.594	0.490	0.509	bruģēt
pavement	0.460	0.353	0.475	bruģis
pavilion	0.583	0.500	0.770	paviljons
paving	0.408	0.469	0.545	bruģēšana
paw	0.417	0.360	0.286	ķepa
pawn	0.390	0.321	0.187	bandinieks
pawnshop	0.396	0.439	0.519	lombards
pax	0.551	0.421	0.473	pax
pay	0.514	0.588	0.592	maksāt
payable	0.385	0.480	0.606	maksājams
payback	0.459	0.500	0.567	atmaksāšanās
paycheck	0.896	0.630	0.652	algas čeks
payday	0.833	0.741	0.571	algas diena
payer	0.313	0.630	0.638	maksātājs
payload	0.612	0.510	0.682	kravnesība
payment	0.629	0.452	0.643	maksājumu
payoff	0.740	0.644	0.673	atmaksāt
payout	0.646	0.600	0.575	izmaksa
payphone	0.469	0.360	0.370	maksas telefons
payroll	0.521	0.360	0.549	algu saraksts
pea	0.580	0.275	0.298	zirņu
peace	0.939	0.156	0.613	miers
peaceable	0.776	0.134	0.453	mierīgs
peaceful	0.867	0.108	0.569	mierīga
peacefully	0.901	0.190	0.639	mierīgi
peacekeeper	0.865	0.320	0.644	miera uzturētājs
peaceofmind	0.786	0.160	0.519	mierīgs prāts
peacetime	0.949	0.180	0.579	miera laiks
peach	0.704	0.480	0.272	persiku
peachy	0.755	0.479	0.388	persiku
peacock	0.786	0.449	0.458	pāvs
peak	0.500	0.345	0.431	virsotne
peaked	0.677	0.704	0.857	sasniedza maksimumu
peanut	0.646	0.202	0.246	zemesrieksts
peanuts	0.542	0.294	0.324	zemesrieksti
pear	0.677	0.158	0.241	bumbieris
pearl	0.905	0.425	0.642	pērle
pearly	0.635	0.337	0.373	pērļu
peas	0.542	0.283	0.310	zirņi
peasant	0.530	0.275	0.407	zemnieks
peat	0.333	0.655	0.504	kūdra
pebble	0.354	0.353	0.287	oļi
pecan	0.552	0.316	0.358	pekanriekstu
peck	0.202	0.530	0.321	knābāt
pecker	0.459	0.509	0.375	knābis
peculiar	0.600	0.491	0.564	savdabīgs
peculiarities	0.511	0.460	0.528	īpatnībām
peculiarity	0.439	0.452	0.652	īpatnība
peculiarly	0.615	0.450	0.454	savdabīgi
pecuniary	0.490	0.490	0.500	naudas
pedal	0.500	0.320	0.342	pedālis
pedantic	0.229	0.608	0.253	pedantisks
peddle	0.539	0.549	0.538	tirgojas
peddler	0.408	0.481	0.390	tirgonis
pedestal	0.735	0.284	0.579	pjedestāls
pedestrian	0.438	0.360	0.448	gājējs
pediatric	0.560	0.462	0.490	pediatrijas
pediatrician	0.602	0.500	0.627	pediatrs
pediatrics	0.750	0.380	0.596	pediatrija
pedicure	0.695	0.269	0.296	pedikīrs
pedigree	0.625	0.340	0.609	ciltsraksti
pedometer	0.469	0.561	0.405	pedometrs
pedophile	0.051	0.724	0.430	pedofils
pee	0.449	0.529	0.391	urinēt
peek	0.486	0.360	0.411	palūrēt
peekaboo	0.592	0.607	0.412	ku kū
peel	0.439	0.250	0.279	mizu
peep	0.573	0.317	0.269	palūrēt
peeper	0.182	0.537	0.343	lūrētājs
peephole	0.479	0.500	0.310	skatiens
peer	0.458	0.321	0.569	līdzinieks
peering	0.514	0.409	0.451	skatoties
peerless	0.688	0.450	0.462	nepārspējams
peeved	0.156	0.750	0.467	īgns
peg	0.520	0.357	0.393	knaģis
pegs	0.408	0.286	0.386	mietiņi
peice	0.479	0.422	0.398	peice
pelagic	0.521	0.554	0.491	pelaģisks
pelican	0.573	0.391	0.380	pelikāns
pellet	0.448	0.390	0.466	granulu
pelvic	0.320	0.632	0.373	iegurņa
pelvis	0.378	0.618	0.380	iegurnis
pen	0.622	0.194	0.250	pildspalva
penal	0.208	0.565	0.610	sods
penalty	0.062	0.490	0.240	sods
penance	0.219	0.667	0.463	gandarīšana
penchant	0.688	0.480	0.609	tieksme
pencil	0.552	0.200	0.263	zīmulis
pendant	0.676	0.321	0.385	kulons
pendency	0.396	0.452	0.472	atkarība
pendent	0.470	0.380	0.425	piekarināms
pending	0.396	0.441	0.473	gaida
pendulum	0.542	0.368	0.434	svārsts
penetrate	0.287	0.877	0.732	iekļūt
penetrating	0.469	0.792	0.782	caurstrāvots
penetration	0.438	0.885	0.792	iespiešanās
penguin	0.615	0.296	0.307	pingvīns
penicillin	0.417	0.431	0.566	penicilīns
penile	0.490	0.736	0.491	dzimumloceklis
peninsula	0.551	0.384	0.627	pussala
penis	0.354	0.810	0.556	dzimumloceklis
penitent	0.542	0.530	0.508	nožēlojošs
penitentiary	0.229	0.726	0.491	penitenciārs
penmanship	0.677	0.284	0.509	pildspalva
pennant	0.542	0.380	0.426	vimpelis
penniless	0.062	0.316	0.083	bez naudas
penny	0.615	0.302	0.324	penss
pension	0.625	0.409	0.406	pensija
pensioner	0.440	0.245	0.442	pensionārs
pensive	0.540	0.220	0.529	domīgs
pentagon	0.490	0.636	0.774	piecstūris
pentagram	0.510	0.433	0.466	pentagramma
penthouse	0.592	0.430	0.395	penthauss
penultimate	0.469	0.366	0.255	priekšpēdējais
people	0.604	0.400	0.500	cilvēkiem
peopled	0.594	0.450	0.679	apdzīvots
pep	0.510	0.510	0.364	pep
pepper	0.400	0.539	0.328	pipari
peppermint	0.720	0.264	0.271	piparmētra
pepperoni	0.796	0.472	0.358	pepperoni
peppy	0.677	0.529	0.438	sparīgs
peptic	0.398	0.463	0.362	peptisks
peptide	0.380	0.480	0.411	peptīds
perceive	0.653	0.490	0.655	uztvert
percent	0.470	0.350	0.356	procentiem
percentage	0.469	0.400	0.553	procentos
percentile	0.479	0.410	0.390	procentile
perceptible	0.710	0.460	0.620	uztverams
perception	0.653	0.481	0.655	uztvere
perceptive	0.745	0.500	0.741	uztverošs
perch	0.531	0.300	0.314	asari
perchance	0.480	0.224	0.298	iespējams
percolation	0.397	0.417	0.415	perkolācija
percussion	0.622	0.635	0.642	perkusijas
perdition	0.135	0.656	0.496	pazušana
peremptory	0.429	0.426	0.606	obligāts
perennial	0.527	0.358	0.500	daudzgadīgs
perfect	0.980	0.471	0.870	ideāls
perfection	0.881	0.745	0.934	pilnība
perfectionist	0.667	0.704	0.905	perfekcionists
perfecto	0.802	0.567	0.889	perfekto
perforated	0.219	0.607	0.344	perforēts
perforation	0.365	0.668	0.578	perforācija
perforce	0.357	0.689	0.354	veikt spēku
perform	0.765	0.555	0.773	veikt
performance	0.750	0.520	0.672	sniegumu
performer	0.541	0.530	0.708	izpildītājs
perfume	0.740	0.472	0.463	smaržas
perfumed	0.816	0.471	0.509	parfimēts
peri	0.448	0.433	0.370	peri
peridot	0.458	0.481	0.435	peridots
peril	0.052	0.910	0.518	briesmas
perilous	0.143	0.862	0.575	bīstami
perimeter	0.470	0.443	0.555	perimetrs
period	0.396	0.324	0.588	periodā
periodic	0.677	0.324	0.508	periodiski
periodical	0.550	0.298	0.430	periodiskais izdevums
periodically	0.480	0.314	0.515	periodiski
periodicity	0.646	0.324	0.645	periodiskums
peripheral	0.406	0.406	0.549	perifēra
periphery	0.469	0.360	0.366	perifērijā
periscope	0.604	0.375	0.609	periskops
perish	0.296	0.570	0.415	iet bojā
perishable	0.270	0.464	0.354	ātri bojājas
perished	0.135	0.596	0.225	gāja bojā
perishing	0.229	0.423	0.148	iet bojā
perjury	0.229	0.686	0.409	nepatiesa liecība
perk	0.903	0.519	0.682	perk
perky	0.896	0.792	0.673	iecirtīgs
perm	0.667	0.465	0.741	ilgviļņi
permanence	0.771	0.370	0.708	pastāvība
permanent	0.745	0.345	0.736	pastāvīgs
permeable	0.635	0.402	0.495	caurlaidīgs
permeate	0.417	0.410	0.407	caurstrāvot
permeation	0.418	0.559	0.536	caurlaidība
permissible	0.684	0.646	0.612	pieļaujama
permission	0.612	0.311	0.580	atļauju
permissive	0.633	0.389	0.413	visatļautība
permit	0.733	0.349	0.518	atļauju
permitted	0.865	0.410	0.613	atļauts
permitting	0.724	0.481	0.661	atļaujot
permutation	0.385	0.588	0.500	permutācija
pernicious	0.229	0.600	0.382	kaitīgs
peroxide	0.458	0.529	0.510	peroksīds
perpendicular	0.510	0.398	0.439	perpendikulāri
perpetrate	0.327	0.837	0.732	izdarīt
perpetrator	0.229	0.765	0.538	pāridarītājs
perpetual	0.625	0.438	0.741	mūžīgs
perpetually	0.510	0.473	0.868	mūžīgi
perpetuate	0.397	0.588	0.788	iemūžināt
perpetuation	0.510	0.677	0.716	iemūžināšana
perpetuity	0.590	0.434	0.759	uz mūžību
perplexed	0.312	0.705	0.318	neizpratnē
perplexing	0.316	0.530	0.362	mulsinoši
perplexity	0.275	0.720	0.500	apjukums
persecute	0.281	0.873	0.509	vajāt
persecution	0.229	0.865	0.660	vajāšanu
perseverance	0.888	0.630	0.796	neatlaidība
persevere	0.802	0.583	0.937	izturēt
persist	0.765	0.644	0.727	pastāvēt
persistence	0.684	0.611	0.873	neatlaidība
persistent	0.646	0.667	0.815	neatlaidīgs
persisting	0.697	0.677	0.745	pastāvīgs
person	0.646	0.363	0.596	persona
persona	0.741	0.480	0.743	persona
personable	0.816	0.520	0.637	simpātisks
personage	0.653	0.324	0.698	personība
personal	0.750	0.311	0.467	personisks
personality	0.896	0.513	0.790	personība
personification	0.760	0.471	0.691	personifikācija
personnel	0.729	0.344	0.587	personāls
persons	0.869	0.302	0.588	personām
perspective	0.688	0.470	0.704	perspektīva
perspiration	0.385	0.667	0.490	svīšana
persuade	0.620	0.618	0.709	pārliecināt
persuasion	0.612	0.670	0.537	pārliecināšana
persuasive	0.740	0.700	0.657	pārliecinošs
pert	0.469	0.460	0.348	pert
pertinent	0.580	0.333	0.723	atbilstošs
perturbation	0.270	0.840	0.500	perturbācija
pertussis	0.279	0.569	0.386	garā klepus
perusal	0.622	0.235	0.543	pārlasīšana
peruse	0.503	0.270	0.439	izpētīt
pervading	0.418	0.684	0.728	caurstrāvots
perverse	0.146	0.808	0.464	perverss
perversion	0.083	0.830	0.490	perversija
pervert	0.082	0.863	0.500	perverss
perverted	0.062	0.918	0.436	perverss
pesky	0.250	0.760	0.431	nepatīkams
pessimism	0.083	0.484	0.264	pesimisms
pessimist	0.125	0.470	0.218	pesimists
pessimistic	0.088	0.394	0.236	pesimistisks
pest	0.188	0.680	0.452	kaitēklis
pester	0.143	0.780	0.385	apgrūtināta
pestilence	0.122	0.660	0.283	mēris
pestle	0.427	0.463	0.426	piesta
pesto	0.531	0.323	0.336	pesto
pet	0.875	0.327	0.305	mājdzīvnieks
petal	0.810	0.194	0.211	ziedlapiņa
petite	0.510	0.354	0.245	sīks
petition	0.498	0.575	0.415	petīcija
petitioner	0.601	0.531	0.566	lūgumraksta iesniedzējs
petloss	0.271	0.481	0.424	petloss
petpeeve	0.375	0.594	0.392	petpeeve
petrified	0.221	0.625	0.232	pārakmeņojies
petrify	0.177	0.571	0.447	pārakmeņot
petrol	0.418	0.519	0.577	benzīns
petroleum	0.583	0.451	0.640	naftas
petticoat	0.550	0.396	0.351	apakšsvārki
petting	0.812	0.462	0.480	glāstīšana
petty	0.210	0.537	0.236	sīkumains
petulant	0.247	0.685	0.491	nikns
petunia	0.583	0.260	0.356	petūnija
pew	0.449	0.235	0.664	sols
pewter	0.396	0.260	0.321	alvas
peyote	0.406	0.462	0.426	peijots
phalanx	0.398	0.398	0.455	falanga
phantom	0.260	0.759	0.448	fantoms
pharaoh	0.656	0.491	0.798	faraons
pharmaceutical	0.500	0.435	0.562	farmaceitiskā
pharmacist	0.592	0.382	0.648	farmaceits
pharmacology	0.560	0.440	0.526	farmakoloģija
pharmacy	0.531	0.337	0.542	aptieka
phase	0.645	0.300	0.482	fāze
pheasant	0.541	0.362	0.292	fazāns
phenomenal	0.915	0.750	0.918	fenomenāls
phenomenon	0.625	0.721	0.848	parādība
pheromone	0.561	0.573	0.561	feromons
phew	0.531	0.429	0.302	fu
phi	0.420	0.361	0.452	phi
philanthropic	0.812	0.426	0.717	filantropisks
philanthropist	0.704	0.463	0.623	filantrops
philanthropy	0.745	0.412	0.801	filantropija
philistine	0.390	0.500	0.491	filistrs
philosopher	0.684	0.316	0.720	filozofs
philosophic	0.688	0.270	0.655	filozofisks
philosophical	0.719	0.275	0.713	filozofisks
philosophy	0.684	0.255	0.640	filozofija
phlegm	0.173	0.394	0.240	flegma
pho	0.541	0.370	0.384	tālr
phobia	0.173	0.904	0.291	fobija
phoenix	0.653	0.481	0.594	fēnikss
phone	0.729	0.344	0.418	tālrunis
phonetic	0.542	0.435	0.536	fonētiskā
phonetics	0.646	0.425	0.519	fonētika
phonics	0.490	0.519	0.455	fonika
phonograph	0.561	0.398	0.565	fonogrāfs
phonology	0.695	0.402	0.512	fonoloģija
phony	0.115	0.592	0.202	neīsts
phooey	0.333	0.490	0.352	fui
phosphate	0.500	0.306	0.407	fosfāts
phosphor	0.438	0.480	0.427	fosfors
phosphorus	0.429	0.539	0.370	fosfors
photo	0.729	0.327	0.431	foto
photogenic	0.780	0.500	0.495	fotogēnisks
photograph	0.677	0.353	0.358	fotogrāfija
photographer	0.714	0.481	0.562	fotogrāfs
photographic	0.761	0.429	0.564	fotogrāfisks
photography	0.630	0.431	0.360	fotografēšana
photometry	0.417	0.456	0.436	fotometrija
photon	0.459	0.439	0.455	fotons
phrase	0.630	0.264	0.314	frāze
phraseology	0.620	0.406	0.537	frazeoloģija
phylogeny	0.378	0.410	0.481	filoģenēze
physical	0.750	0.520	0.607	fiziskais
physical therapist	0.531	0.337	0.775	fizioterapeits
physician	0.583	0.490	0.843	ārsts
physicist	0.635	0.538	0.693	fiziķis
physics	0.582	0.415	0.664	fizika
physiological	0.510	0.418	0.620	fizioloģisks
physiology	0.521	0.451	0.519	fizioloģija
physique	0.643	0.500	0.543	ķermeņa uzbūve
pi	0.469	0.265	0.400	pi
pianist	0.806	0.491	0.573	pianists
piano	0.704	0.343	0.438	klavieres
piazza	0.625	0.471	0.472	laukums
piccolo	0.625	0.423	0.380	pikolo
pick	0.500	0.464	0.525	izvēlēties
picked	0.740	0.518	0.670	pacēla
picker	0.534	0.340	0.609	savācējs
picket	0.365	0.615	0.451	pikets
picketing	0.330	0.557	0.471	pikets
pickle	0.593	0.449	0.288	marinēti gurķi
pickled	0.344	0.450	0.291	marinēti
pickpocket	0.365	0.704	0.449	kabatzaglis
pickup	0.561	0.529	0.420	pacelt
picky	0.257	0.729	0.598	izvēlīgs
picnic	0.625	0.470	0.375	pikniks
pictorial	0.704	0.481	0.476	attēlu
picture	0.714	0.308	0.462	bilde
pictures	0.653	0.240	0.405	attēlus
picturesque	0.802	0.491	0.483	gleznaini
pie	0.880	0.402	0.368	pīrāgs
piece	0.646	0.245	0.367	gabals
piecemeal	0.615	0.269	0.319	pa gabalu
pieceofshit	0.083	0.724	0.292	sūds
pied	0.594	0.433	0.350	pied
pier	0.583	0.279	0.445	piestātne
pierce	0.365	0.670	0.611	caurdurt
piety	0.760	0.340	0.482	dievbijība
pig	0.343	0.368	0.324	cūka
pigeon	0.688	0.224	0.276	balodis
piggy	0.541	0.365	0.412	cūciņa
piggyback	0.438	0.490	0.343	cūciņa
pigheaded	0.271	0.472	0.358	cūcīgs
piglet	0.540	0.443	0.250	sivēns
pigment	0.390	0.333	0.339	pigments
pigskin	0.347	0.449	0.300	cūkāda
pigsty	0.133	0.529	0.221	cūku kūts
pike	0.427	0.410	0.452	līdaka
pile	0.461	0.320	0.539	kaudze
piles	0.469	0.423	0.468	pāļi
pileup	0.340	0.559	0.446	sakraut
pilgrim	0.531	0.404	0.569	svētceļnieks
pilgrimage	0.708	0.522	0.625	svētceļojums
pill	0.573	0.407	0.368	tablete
pillage	0.240	0.685	0.375	laupīšana
pillar	0.583	0.330	0.684	pīlārs
pillbox	0.385	0.339	0.296	tablešu kaste
pillow	0.663	0.128	0.195	spilvens
pillowcase	0.500	0.179	0.250	spilvendrāna
pilot	0.688	0.680	0.736	pilots
pimp	0.146	0.700	0.536	suteneris
pimple	0.245	0.370	0.274	pūtīte
pin	0.438	0.346	0.390	pin
pinball	0.582	0.640	0.442	pinbols
pinch	0.340	0.632	0.339	šķipsnu
pinching	0.250	0.788	0.345	saspiežot
pine	0.583	0.225	0.312	priede
pineapple	0.677	0.316	0.245	ananāsu
ping	0.541	0.490	0.391	ping
pinhead	0.459	0.300	0.308	adatas galviņa
pinhole	0.375	0.279	0.345	pinhole
pinion	0.444	0.361	0.346	zobrats
pink	0.806	0.269	0.471	rozā
pinkie	0.663	0.265	0.269	pinkie
pinnacle	0.633	0.390	0.508	virsotne
pinot	0.365	0.370	0.361	pinot
pinpoint	0.583	0.443	0.528	precīzi noteikt
pint	0.686	0.333	0.321	pinte
pinto	0.570	0.354	0.373	Pinto
pinup	0.610	0.459	0.393	pinup
pioneer	0.796	0.618	0.802	pionieris
pious	0.698	0.306	0.426	dievbijīgs
pip	0.448	0.430	0.366	pip
pipe	0.541	0.340	0.330	caurule
piped	0.360	0.529	0.379	cauruļu
pipeline	0.479	0.337	0.411	cauruļvads
piper	0.569	0.442	0.398	pīpētājs
pipette	0.480	0.403	0.418	pipete
piping	0.365	0.337	0.405	cauruļvadi
pipsqueak	0.347	0.481	0.349	pipsqueak
pique	0.417	0.500	0.426	pique
piracy	0.296	0.792	0.567	pirātisms
piranha	0.219	0.799	0.575	piranja
pirate	0.156	0.740	0.559	pirāts
piscina	0.714	0.500	0.443	piscina
piss	0.354	0.462	0.268	mīzt
pissed	0.102	0.888	0.543	sašutis
pissedoff	0.240	0.651	0.459	nokaitināts
pisser	0.378	0.547	0.398	pisser
pissesmeoff	0.180	0.587	0.441	pissesmeoff
pissingmeoff	0.208	0.622	0.423	pissingmeoff
pissoff	0.255	0.617	0.400	atšujies
pistachio	0.643	0.336	0.305	pistācijas
pistol	0.170	0.900	0.677	pistole
piston	0.398	0.480	0.500	virzulis
pit	0.408	0.396	0.278	bedre
pita	0.551	0.279	0.255	pita
pitch	0.521	0.431	0.465	piķis
pitcher	0.510	0.673	0.704	krūka
pitchfork	0.312	0.580	0.529	dakša
pitfall	0.177	0.775	0.508	slazds
pith	0.458	0.350	0.596	iekšpuse
pithy	0.480	0.360	0.635	dūšīgs
pitiful	0.219	0.490	0.232	nožēlojami
pitted	0.358	0.653	0.470	bez kauliņiem
pitter	0.469	0.424	0.384	metējs
pituitary	0.406	0.365	0.442	hipofīze
pity	0.160	0.398	0.114	žēl
pivot	0.458	0.382	0.440	šarnīrs
pivotal	0.582	0.471	0.536	galvenais
pix	0.521	0.373	0.364	pix
