English Word	Valence	Arousal	Dominance	Turkmen Word
light year	0.719	0.425	0.593	ýagtylyk ýyly
lightbulb	0.573	0.255	0.302	çyra
lighten	0.688	0.438	0.362	ýeňilleşdir
lightheaded	0.347	0.620	0.255	ýeňil kelle
lighthouse	0.622	0.240	0.510	maýak
lighting	0.765	0.440	0.750	yşyklandyryş
lightness	0.794	0.360	0.526	ýeňillik
lightning	0.429	0.683	0.595	ýyldyrym
lights	0.750	0.480	0.575	yşyklar
lightweight	0.670	0.300	0.358	ýeňil
likable	0.865	0.480	0.663	halaýar
like	0.719	0.353	0.446	ýaly
likelihood	0.760	0.469	0.542	ähtimallyk
likely	0.633	0.356	0.454	ähtimal
likeness	0.688	0.410	0.561	meňzeşlik
likewise	0.651	0.217	0.312	edil şonuň ýaly
liking	0.963	0.604	0.589	haladym
lilac	0.688	0.180	0.357	lilak
lily	0.640	0.245	0.263	lili
limb	0.510	0.397	0.427	el-aýak
limber	0.688	0.729	0.673	agaç
limbo	0.385	0.284	0.309	el-aýak
lime	0.594	0.240	0.415	hek
limelight	0.667	0.639	0.694	ýagtylyk
limestone	0.602	0.323	0.381	hek daşy
limey	0.469	0.347	0.415	hek
limit	0.427	0.453	0.500	çäk
limitation	0.190	0.431	0.225	çäklendirme
limited	0.229	0.273	0.380	çäklendirilen
limitless	0.688	0.574	0.655	çäksiz
limo	0.760	0.367	0.667	limon
limousine	0.638	0.531	0.640	limuzin
limp	0.393	0.440	0.172	agsak
lin	0.416	0.362	0.343	lin
line	0.541	0.180	0.353	setir
lineage	0.633	0.465	0.721	nesil
lineal	0.521	0.170	0.474	çyzykly
linear	0.646	0.250	0.472	çyzykly
linebacker	0.490	0.660	0.543	çyzykly
lined	0.438	0.367	0.424	hatar
linen	0.656	0.323	0.286	zygyr matalar
liner	0.469	0.396	0.400	liner
lines	0.542	0.317	0.330	setirler
lineup	0.635	0.427	0.638	hatara düzüliň
linger	0.480	0.311	0.412	uzaga çekýär
lingerie	0.543	0.463	0.308	içki eşik
lingering	0.630	0.643	0.667	uzaga çekdi
lingo	0.448	0.364	0.447	lingo
lingual	0.500	0.457	0.315	dil
linguini	0.625	0.338	0.355	linguini
linguist	0.583	0.330	0.634	dilçi
linguistic	0.646	0.351	0.618	lingwistik
linguistics	0.552	0.390	0.618	lingwistika
lining	0.571	0.363	0.472	astar
link	0.427	0.264	0.491	baglanyşyk
linoleum	0.510	0.378	0.402	linolyum
lint	0.388	0.173	0.214	lint
lion	0.532	0.717	0.682	arslan
lip	0.541	0.348	0.443	dodak
liposuction	0.292	0.684	0.464	liposuction
lipstick	0.653	0.429	0.306	pomada
liquefaction	0.449	0.622	0.535	suwuklandyryş
liquefied	0.562	0.463	0.342	suwuklandyryldy
liqueur	0.670	0.612	0.389	likýor
liquid	0.562	0.235	0.307	suwuk
liquidate	0.327	0.654	0.664	ýatyr
liquidation	0.417	0.625	0.649	ýatyrylmagy
liquidator	0.354	0.663	0.750	ýatyryjy
liquidity	0.688	0.529	0.534	likwidligi
liquor	0.603	0.702	0.433	likýor
lira	0.530	0.255	0.370	lira
lisp	0.365	0.412	0.288	lisp
list	0.528	0.260	0.402	sanawy
listen	0.771	0.360	0.445	diňle
listener	0.667	0.375	0.403	diňleýji
listenting	0.640	0.377	0.491	diňlemek
listing	0.438	0.273	0.432	sanawy
listless	0.219	0.350	0.231	sanawsyz
listneing	0.531	0.370	0.433	sanaw
litany	0.510	0.365	0.482	litany
liter	0.573	0.208	0.382	litr
literacy	0.730	0.306	0.638	sowatlylyk
literal	0.570	0.353	0.574	Göçme manyda
literally	0.571	0.353	0.673	sözme-söz
literary	0.719	0.324	0.667	edebi
literature	0.708	0.250	0.598	edebiýaty
lithe	0.656	0.596	0.602	lit
lithium	0.417	0.330	0.430	litiý
lithograph	0.551	0.327	0.481	daşbasma
lithography	0.561	0.346	0.473	daşbasma
lithology	0.519	0.378	0.525	litologiýa
lithosphere	0.473	0.333	0.689	litosfera
litigant	0.219	0.577	0.696	kazyýet işi
litigate	0.260	0.819	0.712	kazyýet işi
litigation	0.388	0.760	0.602	kazyýet işi
litigator	0.429	0.630	0.732	kazyýet işi
litigious	0.360	0.736	0.632	kazyýet işi
litter	0.255	0.551	0.110	hapalar
little	0.385	0.160	0.213	az
littlethings	0.740	0.311	0.242	littings
littoral	0.551	0.387	0.452	kenar ýakasy
liturgy	0.490	0.327	0.568	liturgiýa
live	0.880	0.673	0.676	ýaşa
livelife	0.792	0.624	0.664	durmuşy ýaşa
livelihood	0.698	0.481	0.721	eklenç
lively	0.847	0.810	0.642	janly
liven	0.708	0.713	0.673	liven
liver	0.439	0.290	0.385	bagyr
livery	0.510	0.417	0.429	töhmet
livestock	0.729	0.420	0.519	mallar
livid	0.469	0.788	0.490	janly
living	0.865	0.608	0.727	ýaşamak
lizard	0.378	0.375	0.324	haizizyk
llama	0.490	0.590	0.519	llama
lml	0.448	0.519	0.385	lml
load	0.385	0.417	0.528	ýüklemek
loader	0.562	0.377	0.686	ýükleýji
loaf	0.755	0.250	0.277	çörek
loafer	0.235	0.396	0.254	loafer
loam	0.469	0.373	0.673	loam
loan	0.552	0.480	0.352	Karz
loath	0.135	0.714	0.445	ýigrenç
loathe	0.094	0.730	0.429	ýigren
loathful	0.068	0.740	0.358	ýigrenji
loathing	0.083	0.796	0.368	ýigrenç
loathsome	0.120	0.694	0.343	ýigrenji
lobby	0.625	0.427	0.472	lobbi
lobbyist	0.385	0.527	0.565	lobbiçi
lobe	0.459	0.364	0.352	lob
lobotomy	0.296	0.598	0.402	lobotomiýa
lobster	0.571	0.356	0.291	leňňeç
local	0.656	0.269	0.452	ýerli
locale	0.449	0.387	0.352	ýerli
locality	0.582	0.336	0.464	sebiti
localization	0.552	0.330	0.545	lokalizasiýa
localize	0.520	0.481	0.679	lokallaşdyrmak
localized	0.490	0.460	0.621	lokallaşdyryldy
locate	0.583	0.520	0.786	tapmak
location	0.615	0.375	0.546	ýerleşýän ýeri
locator	0.480	0.426	0.614	lokator
loch	0.449	0.235	0.425	loch
lock	0.271	0.585	0.600	gulplamak
locker	0.439	0.300	0.393	şkaf
locket	0.615	0.327	0.616	bukja
locksmith	0.510	0.417	0.491	çilingir
lockup	0.240	0.602	0.617	gulplamak
loco	0.306	0.774	0.226	loko
locomotion	0.470	0.600	0.595	lokomasiýa
locomotive	0.542	0.650	0.721	lokomotiw
locust	0.479	0.412	0.417	çekirtge
lode	0.365	0.423	0.318	lode
lodge	0.656	0.356	0.474	lodge
lodger	0.480	0.448	0.304	myhmanhana
lodging	0.713	0.286	0.527	ýatmak
loft	0.510	0.378	0.343	beýik
lofty	0.755	0.306	0.569	belent
log	0.591	0.371	0.395	gündeligi
logarithm	0.520	0.439	0.551	logarifm
logarithmic	0.469	0.458	0.606	logarifmiki
logic	0.646	0.245	0.819	logika
logical	0.805	0.400	0.648	mantykly
logistics	0.633	0.500	0.730	logistika
logo	0.469	0.296	0.565	logo
logotype	0.480	0.337	0.509	logotip
loin	0.420	0.298	0.379	bil
lollipop	0.628	0.483	0.357	lollipop
lone	0.198	0.204	0.367	ýalňyz
loneliness	0.146	0.182	0.222	ýalňyzlyk
lonely	0.250	0.226	0.238	ýalňyzlyk
loner	0.347	0.152	0.221	ýalňyz
lonesome	0.281	0.213	0.336	ýalňyz
long	0.541	0.353	0.543	uzyn
longboat	0.551	0.454	0.490	uzyn gämi
longevity	0.750	0.353	0.745	uzak ömür
longing	0.604	0.434	0.560	höwes
longitude	0.479	0.310	0.516	uzynlyk
longitudinal	0.542	0.398	0.582	uzynlyk
longitudinally	0.541	0.380	0.569	uzynlygyna
longtime	0.362	0.442	0.546	uzak wagtlap
loo	0.385	0.357	0.283	loo
look	0.719	0.429	0.615	seret
looker	0.583	0.354	0.451	synçy
lookout	0.698	0.538	0.639	gözleg
loom	0.531	0.245	0.325	dokma
looming	0.367	0.750	0.528	ýakyn wagtda
loon	0.429	0.392	0.325	loon
loony	0.439	0.474	0.295	loony
loop	0.516	0.343	0.317	aýlaw
loophole	0.406	0.755	0.491	boşluk
loopy	0.438	0.520	0.195	loopy
loose	0.573	0.312	0.365	gowşak
loosen	0.487	0.337	0.218	gowşat
loosening	0.378	0.343	0.295	gowşatmak
loot	0.604	0.711	0.537	talaň
lop	0.429	0.363	0.426	lop
lopsided	0.125	0.500	0.272	bir taraply
lord	0.618	0.327	0.684	lord
lords	0.571	0.356	0.781	lordlar
lordship	0.573	0.557	0.736	lord
lore	0.719	0.373	0.768	lore
lorry	0.521	0.481	0.402	ýük maşyny
lose	0.115	0.538	0.176	ýitirmek
loser	0.083	0.510	0.155	utulan
losing	0.076	0.686	0.223	ýitirmek
loss	0.062	0.567	0.211	ýitgi
lost	0.199	0.663	0.148	ýitdi
lot	0.531	0.215	0.370	köp
lotion	0.724	0.261	0.188	losyon
lots	0.604	0.417	0.424	köp
lottery	0.771	0.731	0.491	lotereýa
lotto	0.760	0.635	0.475	lotto
lotus	0.604	0.377	0.510	lotos
loud	0.573	0.650	0.870	gaty ses bilen
loudly	0.541	0.755	0.667	gaty ses bilen
loudmouth	0.337	0.615	0.456	gaty ses
loudness	0.350	0.582	0.620	gaty ses
loudspeaker	0.490	0.735	0.689	gatygepleýji
lounge	0.592	0.245	0.466	zal
lounging	0.735	0.167	0.449	ýatmak
louse	0.184	0.439	0.154	louse
lousy	0.125	0.482	0.234	lousy
lovable	0.948	0.335	0.565	söýgüli
love	1.000	0.519	0.673	söýgi
loved	0.927	0.452	0.582	gowy görýärdi
lovee	0.949	0.592	0.611	söýgüli
loveee	0.927	0.592	0.693	söýgüli
loveless	0.102	0.365	0.216	söýgüsiz
lovelife	0.837	0.610	0.592	durmuşy söý
loveliness	0.959	0.509	0.750	gözellik
lovelovelove	0.948	0.582	0.554	aşyk
lovely	0.917	0.456	0.741	owadan
lovemaking	0.969	0.927	0.814	söýgi
lovemylife	0.896	0.800	0.573	söýgi
lover	0.881	0.816	0.750	söýgüli
lovesick	0.796	0.842	0.500	love
lovethis	0.867	0.552	0.526	söýgi
loving	0.948	0.612	0.636	söýýän
lovinglife	0.979	0.404	0.673	söýgi durmuşy
lovinlife	0.714	0.460	0.544	söýgi
low	0.292	0.220	0.102	pes
lowdown	0.306	0.441	0.441	pes
lower	0.327	0.296	0.258	aşaky
lowering	0.286	0.363	0.236	peseltmek
lowest	0.312	0.304	0.129	iň pes
lowlands	0.323	0.290	0.331	peslikler
lowlife	0.296	0.529	0.309	pes durmuş
lowly	0.562	0.294	0.417	pes
lox	0.490	0.373	0.318	lox
loyal	0.896	0.265	0.657	wepaly
loyalty	0.885	0.406	0.793	wepalylyk
lsd	0.375	0.471	0.390	lsd
luau	0.594	0.545	0.296	luau
lube	0.552	0.490	0.411	lube
lubricant	0.656	0.550	0.454	çalgy
lubricate	0.552	0.490	0.470	ýaglamak
lubrication	0.624	0.646	0.491	ýaglamak
lucid	0.771	0.490	0.705	düşnükli
luck	0.854	0.490	0.717	bagt
luckiest	0.917	0.690	0.852	iň bagtly
lucky	0.960	0.610	0.793	bagtly
luckygirl	0.781	0.712	0.471	bagtly gyz
lucrative	0.729	0.519	0.798	girdejili
ludicrous	0.137	0.553	0.274	gülkünç
lug	0.344	0.443	0.340	gujaklamak
luggage	0.561	0.226	0.319	goşlar
lukewarm	0.573	0.300	0.241	ýyly
lull	0.602	0.130	0.402	lull
lullaby	0.796	0.156	0.339	lullaby
lumbar	0.323	0.418	0.342	lomber
lumber	0.517	0.184	0.373	agaç
lumbering	0.354	0.561	0.655	agaç
lumberjack	0.500	0.660	0.726	agaç
luminescent	0.796	0.550	0.526	lýumesent
luminous	0.918	0.392	0.783	ýagty
lump	0.438	0.337	0.463	bölek
lumpy	0.271	0.378	0.365	birkemsiz
lunacy	0.132	0.847	0.330	lunacy
lunar	0.562	0.296	0.427	aý
lunatic	0.125	0.792	0.442	lunatik
lunch	0.880	0.410	0.542	günortanlyk
lunchbox	0.663	0.346	0.346	günortanlyk nahar
luncheon	0.837	0.240	0.441	günortanlyk nahar
lunchtime	0.896	0.398	0.444	günortanlyk nahary
lung	0.510	0.292	0.629	öýken
lunge	0.354	0.721	0.509	lunge
lungs	0.531	0.352	0.555	öýken
lurch	0.404	0.694	0.363	ýitirmek
lure	0.439	0.565	0.300	çekmek
lurid	0.186	0.833	0.536	lurid
lurk	0.219	0.740	0.655	gizlenmek
lurking	0.421	0.781	0.575	gizlenmek
luscious	0.885	0.552	0.545	luscious
lush	0.740	0.783	0.833	gowy
lust	0.469	0.944	0.518	höwes
luster	0.833	0.566	0.558	şöhle
lustful	0.427	0.896	0.643	höwesli
lustrous	0.771	0.606	0.598	ajaýyp
lusty	0.469	0.941	0.673	höwesli
lute	0.459	0.407	0.500	lute
luxuriant	0.760	0.745	0.812	kaşaň
luxurious	0.947	0.644	0.754	kaşaň
luxury	0.932	0.673	0.750	kaşaň
lycra	0.520	0.449	0.328	likra
lye	0.378	0.396	0.443	lye
lying	0.208	0.704	0.317	ýalan sözleýär
lymph	0.398	0.510	0.390	limfa
lymphatic	0.380	0.509	0.472	limfa
lymphoma	0.208	0.645	0.330	lenfoma
lynch	0.167	0.885	0.482	linç
lynching	0.135	0.920	0.548	linçlemek
lynx	0.510	0.590	0.567	lynx
lyre	0.719	0.347	0.414	lyre
lyric	0.702	0.269	0.464	liriki
lyrical	0.708	0.451	0.618	liriki
lyrics	0.582	0.214	0.333	sözleri
macadamia	0.635	0.330	0.434	makadamiýa
macarena	0.802	0.601	0.368	makarena
macaroni	0.816	0.410	0.382	makaron
mace	0.450	0.412	0.415	krujka
mach	0.541	0.432	0.463	mach
machete	0.260	0.690	0.474	pyçak
machine	0.510	0.500	0.707	maşyn
machinery	0.458	0.615	0.629	enjamlar
machinist	0.490	0.598	0.721	maşinist
macho	0.643	0.690	0.676	macho
mackerel	0.418	0.423	0.426	makerel
macro	0.552	0.469	0.647	makro
mad	0.219	0.873	0.277	däli
madam	0.580	0.308	0.571	hanym
madame	0.604	0.500	0.635	madame
madden	0.329	0.602	0.457	däli
madder	0.323	0.853	0.267	däli
mademoiselle	0.752	0.459	0.461	mademoiselle
mademyday	0.694	0.573	0.537	Mademyday
madhouse	0.156	0.736	0.440	däli
madman	0.135	0.880	0.312	däli
madness	0.104	0.804	0.440	däli
maestro	0.823	0.357	0.849	maestro
mafia	0.204	0.867	0.676	mafiýa
magazine	0.615	0.332	0.377	magazineurnaly
mage	0.622	0.373	0.453	mage
magenta	0.635	0.275	0.415	magenta
maggot	0.235	0.500	0.235	garynja
magic	0.868	0.663	0.578	jady
magical	0.875	0.651	0.595	jadyly
magician	0.714	0.657	0.551	jadygöý
magistrate	0.587	0.541	0.904	magistrat
magma	0.323	0.623	0.609	magma
magna	0.605	0.490	0.652	magna
magnate	0.627	0.708	0.868	magnat
magnesium	0.542	0.320	0.321	magniý
magnet	0.571	0.318	0.553	magnit
magnetic	0.612	0.529	0.673	magnit
magnetism	0.630	0.529	0.741	magnit
magnetite	0.531	0.490	0.581	magnetit
magnification	0.890	0.615	0.880	ulaltmak
magnificence	0.802	0.810	0.920	ajaýyplyk
magnificent	1.000	0.680	0.886	ajaýyp
magnifier	0.469	0.216	0.345	ulaldyjy
magnify	0.729	0.561	0.839	ulaltmak
magnifying	0.594	0.265	0.406	ulaltmak
magnitude	0.608	0.613	0.774	ululygy
magnolia	0.558	0.343	0.379	magnoliýa
magpie	0.500	0.458	0.327	magpie
mahi mahi	0.510	0.410	0.398	mahi mahi
mahjong	0.556	0.418	0.440	mahjong
mahogany	0.602	0.225	0.393	mahogany
maid	0.406	0.324	0.300	gyrnak
maiden	0.755	0.396	0.461	gyz
mail	0.615	0.231	0.548	poçta
mailbox	0.573	0.222	0.404	poçta gutusy
mailing	0.688	0.324	0.375	poçta bilen ibermek
mailman	0.659	0.418	0.462	poçta işgäri
maim	0.133	0.724	0.496	maýyp
main	0.667	0.510	0.811	esasy
mainframe	0.531	0.490	0.557	esasy
mainland	0.680	0.407	0.806	materik
mainstay	0.694	0.400	0.713	esasy ýol
mainstream	0.653	0.527	0.660	esasy akym
maintain	0.684	0.398	0.647	saklamak
maintenance	0.592	0.410	0.545	hyzmat etmek
majestic	0.948	0.731	0.906	ajaýyp
majesty	0.823	0.602	0.955	belentlik
major	0.684	0.538	0.874	maýor
majority	0.684	0.560	0.930	köplük
make	0.684	0.420	0.480	ýasamak
makeover	0.771	0.510	0.596	ýasamak
maker	0.698	0.544	0.706	öndüriji
makeshift	0.479	0.611	0.389	ýasama
makesmehappy	0.894	0.663	0.712	bagtly
makesmemad	0.296	0.643	0.500	ýasama
makeup	0.740	0.333	0.331	makiýaup
makingdisciples	0.684	0.402	0.664	öwretmek
malady	0.190	0.686	0.304	kesel
malaise	0.150	0.600	0.161	näsazlyk
malaria	0.125	0.653	0.304	gyzzyrma
malarkey	0.396	0.500	0.465	malarkey
malevolent	0.094	0.854	0.613	erbet niýet
malfeasance	0.062	0.745	0.325	ýalňyşlyk
malformation	0.083	0.602	0.357	malformasiýa
malfunction	0.125	0.577	0.229	näsazlyk
malice	0.073	0.811	0.492	erbetlik
malicious	0.177	0.765	0.607	zyýanly
malign	0.140	0.765	0.481	erbet
malignancy	0.149	0.814	0.614	erbetlik
malignant	0.143	0.824	0.370	erbet
maligned	0.102	0.684	0.218	kemsidildi
mall	0.724	0.663	0.492	söwda merkezi
malleable	0.500	0.500	0.391	çeýe
mallet	0.354	0.390	0.483	söwda merkezi
malnutrition	0.024	0.592	0.277	ýeterlik iýmitlenmezlik
malpractice	0.094	0.559	0.330	nädogry hereket
malt	0.750	0.373	0.324	malt
mama	0.860	0.413	0.728	eje
mambo	0.808	0.622	0.445	mambo
mamma	0.600	0.358	0.449	mamma
mammal	0.618	0.449	0.421	süýdemdirijiler
mammoth	0.480	0.471	0.537	mamont
mammy	0.680	0.415	0.436	eje
manage	0.560	0.530	0.719	dolandyrmak
manageable	0.750	0.361	0.655	dolandyryp bolýar
management	0.792	0.491	0.806	dolandyryş
manager	0.625	0.549	0.897	dolandyryjy
managerial	0.604	0.520	0.791	dolandyryş
mandamus	0.439	0.577	0.556	mandamus
mandarin	0.625	0.398	0.491	mandarin
mandate	0.448	0.670	0.779	mandaty
mandatory	0.271	0.667	0.777	hökmany
mandible	0.510	0.431	0.500	hökmany
mandolin	0.708	0.433	0.367	mandolin
mandrel	0.310	0.490	0.481	mandrel
mane	0.521	0.277	0.373	mane
maneuver	0.615	0.663	0.608	manevr
maneuvering	0.635	0.640	0.745	manevr
mange	0.311	0.558	0.348	mange
manger	0.656	0.276	0.398	sürü
mangle	0.292	0.449	0.355	gümürtik
mango	0.765	0.327	0.290	mango
mangosteen	0.562	0.500	0.414	mangostin
mangy	0.214	0.698	0.270	mangy
manhole	0.378	0.500	0.516	çukur
manhood	0.625	0.735	0.858	erkeklik
manhunt	0.145	0.925	0.657	gözlemek
mania	0.290	0.683	0.382	mania
maniac	0.120	0.849	0.431	manyak
maniacal	0.200	0.848	0.500	maniacal
manic	0.054	0.892	0.368	manik
manicure	0.706	0.308	0.284	manikýur
manicurist	0.583	0.352	0.341	manikurist
manifest	0.667	0.647	0.704	aç-açan
manifestation	0.583	0.750	0.655	ýüze çykmagy
manifested	0.580	0.618	0.667	ýüze çykdy
manifestly	0.469	0.588	0.577	aç-açan
manifesto	0.646	0.519	0.676	manifesto
manifold	0.500	0.461	0.435	köp gezek
manipulate	0.255	0.700	0.772	manipulirlemek
manipulation	0.188	0.775	0.536	manipulýasiýa
manipulative	0.177	0.724	0.546	manipulýasiýa
mankind	0.823	0.471	0.768	adamzat
manly	0.698	0.633	0.846	manly
manna	0.698	0.294	0.544	manna
manned	0.551	0.588	0.484	işleýän
mannequin	0.427	0.302	0.295	maneken
manner	0.618	0.250	0.320	tertibi
mannered	0.469	0.556	0.291	tertipli
manners	0.816	0.284	0.517	edep-terbiýe
manor	0.646	0.358	0.738	manor
manpower	0.531	0.620	0.543	işçi güýji
mansion	0.847	0.490	0.717	köşk
mansions	0.735	0.529	0.777	köşkler
manslaughter	0.090	0.920	0.473	ganhorluk
mantel	0.500	0.265	0.471	mantel
mantis	0.480	0.355	0.421	mantis
mantle	0.510	0.269	0.422	manty
mantra	0.396	0.249	0.357	mantra
manual	0.635	0.245	0.449	gollanma
manufacture	0.868	0.703	0.780	öndürmek
manufacturer	0.688	0.537	0.830	öndüriji
manufacturing	0.653	0.613	0.804	önümçilik
manure	0.250	0.471	0.241	dökün
manuscript	0.510	0.208	0.540	golýazma
map	0.561	0.229	0.463	karta
maple	0.541	0.390	0.339	akja
mar	0.622	0.544	0.545	mar
marathon	0.646	0.778	0.740	marafon
marble	0.604	0.212	0.667	mermer
marbled	0.396	0.385	0.418	mermer
marbles	0.714	0.345	0.241	mermer
march	0.531	0.200	0.483	ýöriş
mare	0.541	0.320	0.417	keýik
margarine	0.530	0.316	0.333	margarin
margarita	0.750	0.438	0.420	margarita
margin	0.500	0.219	0.331	margin
marginal	0.235	0.644	0.345	marginal
mariachi	0.710	0.559	0.609	mariachi
marijuana	0.312	0.779	0.558	mariuana
marinara	0.657	0.388	0.435	marinara
marine	0.633	0.471	0.679	deňiz
mariner	0.652	0.491	0.676	deňizçi
marital	0.760	0.529	0.500	nika
maritime	0.646	0.490	0.713	deňiz
mark	0.491	0.231	0.600	bellik
marked	0.592	0.358	0.554	bellendi
marker	0.500	0.333	0.605	marker
market	0.724	0.480	0.521	bazary
marketable	0.746	0.545	0.664	satylýar
marketing	0.521	0.774	0.675	marketing
marketplace	0.698	0.420	0.525	bazar
marks	0.430	0.480	0.424	bellikleri
marksman	0.500	0.833	0.692	markman
marksmanship	0.573	0.531	0.664	ussatlyk
marl	0.372	0.471	0.351	marl
marmalade	0.729	0.370	0.288	marmelad
maroon	0.469	0.358	0.336	maroon
marooned	0.229	0.480	0.160	marooned
marquee	0.602	0.284	0.508	marquee
marquis	0.521	0.444	0.562	marquis
marred	0.181	0.561	0.233	nikaly
marriage	0.844	0.684	0.750	nika
married	0.674	0.570	0.602	öýlenen
marrow	0.398	0.422	0.472	ýilik
marry	0.896	0.765	0.673	öýlenmek
marsh	0.302	0.358	0.277	batgalyk
marshal	0.469	0.610	0.819	marşal
marshmallow	0.740	0.441	0.391	batgalyk
mart	0.531	0.402	0.418	mart
martial	0.480	0.710	0.737	söweş
martingale	0.469	0.510	0.455	martingale
martini	0.828	0.500	0.519	martini
martyr	0.281	0.708	0.509	şehit
martyrdom	0.323	0.745	0.442	şehitlik
marvel	0.961	0.755	0.866	haýran
marvellous	0.878	0.809	0.849	ajaýyp
marvelous	0.948	0.637	0.778	ajaýyp
marvelously	0.968	0.708	0.764	ajaýyp
marzipan	0.684	0.380	0.258	marzipan
mascara	0.575	0.450	0.269	maskara
mascot	0.750	0.337	0.337	maskot
masculine	0.653	0.540	0.773	erkeklik
masculinity	0.583	0.670	0.851	erkeklik
mash	0.440	0.363	0.283	püresi
mashed	0.531	0.337	0.194	püresi
mask	0.510	0.490	0.537	maska
masked	0.375	0.549	0.518	maskaly
masks	0.510	0.472	0.241	maskalar
masochism	0.194	0.845	0.483	masohizm
masochist	0.164	0.784	0.353	masohist
mason	0.541	0.442	0.580	mason
masquerade	0.431	0.633	0.446	maskarad
mass	0.458	0.245	0.277	massa
massacre	0.031	0.887	0.640	gyrgynçylyk
massage	0.708	0.356	0.413	massaage etmek
masses	0.552	0.453	0.473	köpçülik
masseur	0.622	0.265	0.463	masseur
masseuse	0.594	0.373	0.391	massause
massive	0.569	0.660	0.750	ullakan
mast	0.542	0.390	0.580	mast
master	0.694	0.490	0.849	ussat
masterful	0.854	0.510	0.960	ussat
mastermind	0.792	0.625	0.918	baş ussat
masterpiece	0.926	0.623	0.847	ussat eser
mastery	0.755	0.648	0.873	ussatlyk
masturbate	0.552	0.926	0.500	masturbasiýa
masturbation	0.542	0.961	0.509	masturbasiýa
mat	0.459	0.221	0.304	düşek
matador	0.224	0.880	0.667	matador
match	0.599	0.573	0.500	gabat gel
matchbook	0.562	0.391	0.412	gabat gelýän kitap
matching	0.719	0.735	0.418	gabat gelýär
matchmaker	0.615	0.509	0.519	gabat gelýän
mate	0.847	0.417	0.669	ýanýoldaş
material	0.521	0.363	0.439	material
materialism	0.220	0.390	0.556	materializm
materialist	0.255	0.491	0.504	materialist
materialistic	0.420	0.506	0.589	materialist
materiality	0.417	0.450	0.636	materializm
materialize	0.688	0.596	0.728	materiallaşdyrmak
materially	0.490	0.451	0.670	maddy taýdan
materials	0.633	0.361	0.473	materiallar
materiel	0.531	0.294	0.417	materiel
maternal	0.847	0.417	0.634	ene
maternity	0.865	0.480	0.622	enelik
math	0.417	0.375	0.600	matematika
mathematical	0.620	0.500	0.548	matematiki
mathematician	0.541	0.418	0.773	matematik
mathematics	0.438	0.435	0.664	matematika
matinee	0.694	0.578	0.447	matinee
mating	0.755	0.840	0.759	jübütleşmek
matriculation	0.622	0.490	0.675	matriculation
matrimony	0.850	0.637	0.843	nika
matrix	0.551	0.378	0.673	matrisa
matron	0.520	0.519	0.555	matron
matted	0.281	0.519	0.393	gabat geldi
matter	0.487	0.353	0.562	mesele
matting	0.479	0.405	0.423	jübütlemek
mattress	0.612	0.255	0.397	düşek
maturation	0.612	0.439	0.698	kämillik
mature	0.625	0.347	0.600	ýetişen
maturity	0.827	0.400	0.806	kämillik
maudlin	0.337	0.417	0.368	maudlin
mausoleum	0.344	0.281	0.594	mawzoleý
mauve	0.533	0.330	0.314	mauve
maverick	0.354	0.676	0.409	maverick
maxim	0.875	0.562	0.887	maksimum
maximize	0.823	0.765	0.792	ulaltmak
maximum	0.724	0.724	0.852	maksimum
may	0.704	0.273	0.245	bolup biler
mayday	0.344	0.643	0.423	Maý
mayflower	0.690	0.463	0.429	gül
mayhem	0.188	0.870	0.364	maýhem
mayonnaise	0.510	0.320	0.222	maýonez
mayor	0.469	0.481	0.818	häkim
maze	0.438	0.608	0.444	labirent
mead	0.667	0.337	0.441	çemenlik
meadow	0.622	0.130	0.382	çemenlik
meager	0.144	0.389	0.281	az
meal	0.833	0.461	0.473	nahar
mean	0.440	0.467	0.620	diýmekdir
meander	0.480	0.443	0.454	meander
meandering	0.427	0.644	0.539	gezelenç
meanie	0.388	0.420	0.404	manysy
meaning	0.663	0.395	0.625	manysy
meaningful	0.770	0.500	0.802	manyly
meaningless	0.156	0.314	0.143	manysyz
meanness	0.102	0.694	0.368	manysy
means	0.615	0.373	0.460	diýmekdir
meantime	0.432	0.222	0.300	arada
measles	0.092	0.635	0.422	gyzamyk
measurable	0.604	0.410	0.602	ölçäp bolýar
measure	0.510	0.375	0.365	ölçemek
measured	0.542	0.265	0.578	ölçeldi
measurement	0.622	0.418	0.491	ölçemek
measuring	0.448	0.337	0.529	ölçemek
measuring cup	0.557	0.343	0.377	ölçeg käsesi
measuring tape	0.337	0.280	0.327	ölçeg lentasy
meat	0.612	0.421	0.413	et
meatball	0.612	0.279	0.343	köfte
meathead	0.306	0.534	0.490	et
meatloaf	0.625	0.389	0.375	etli çörek
mechanic	0.571	0.433	0.566	mehanik
mechanical	0.479	0.569	0.564	mehaniki
mechanics	0.542	0.500	0.761	mehanika
mechanism	0.573	0.583	0.664	mehanizmi
med	0.375	0.429	0.606	med
medal	0.854	0.555	0.746	medal
medallion	0.750	0.510	0.710	medal
medallist	0.796	0.821	0.897	medal gazanan
meddle	0.302	0.770	0.526	aralaş
meddling	0.245	0.600	0.461	goşulmak
media	0.500	0.330	0.464	metbugat
medial	0.458	0.340	0.429	medial
median	0.459	0.216	0.375	ortaça
mediate	0.635	0.308	0.654	araçylyk et
mediation	0.661	0.350	0.657	töwellaçylyk
mediator	0.592	0.438	0.580	araçy
medic	0.500	0.472	0.585	derman
