English Word	Valence	Arousal	Dominance	Lithuanian Word
grail	0.573	0.384	0.566	gralis
grain	0.390	0.198	0.302	grūdai
gram	0.578	0.333	0.260	gramas
grammar	0.560	0.287	0.607	gramatikos
grand	0.898	0.740	0.888	didysis
grand theft auto	0.493	0.663	0.580	grandiozinis vagystės automobilis
grandchild	0.781	0.433	0.465	anūkas
grandchildren	0.796	0.545	0.426	anūkai
granddad	0.740	0.248	0.461	senelis
granddaddy	0.708	0.291	0.480	senelis
granddaughter	0.823	0.445	0.389	anūkė
grandeur	0.885	0.796	0.839	didybė
grandfather	0.827	0.279	0.586	senelis
grandiose	0.900	0.682	0.864	grandiozinis
grandma	0.796	0.208	0.491	močiutė
grandmother	0.792	0.283	0.426	močiutė
grandpa	0.806	0.296	0.466	senelis
grandson	0.778	0.333	0.500	anūkas
grandstand	0.500	0.679	0.708	tribūną
grange	0.531	0.340	0.391	Grange
granite	0.572	0.343	0.483	granito
granny	0.796	0.240	0.452	močiutė
granola	0.625	0.240	0.281	granola
grant	0.719	0.380	0.667	dotacija
granted	0.882	0.348	0.779	suteikta
grantee	0.865	0.477	0.708	dotacijos gavėjas
grantor	0.542	0.500	0.717	davėjas
granular	0.478	0.337	0.443	granuliuotas
granule	0.406	0.373	0.316	granulė
grape	0.729	0.122	0.295	Vynuogė
grape juice	0.696	0.304	0.267	vynuogių sultys
grapefruit	0.521	0.281	0.282	greipfrutų
grapes	0.784	0.240	0.236	vynuogės
grapevine	0.541	0.343	0.232	vynuogių
graph	0.510	0.286	0.621	grafiką
graphic	0.602	0.494	0.491	grafinis
graphics	0.542	0.431	0.509	grafika
graphite	0.479	0.377	0.336	grafitas
grapple	0.490	0.577	0.482	griebtis
grappling	0.448	0.676	0.516	grumtis
grasp	0.560	0.623	0.570	suvokti
grasping	0.327	0.561	0.561	griebdamasis
grass	0.604	0.164	0.333	žolė
grasshopper	0.500	0.462	0.287	žiogas
grassy	0.647	0.323	0.371	žolėtas
grate	0.333	0.250	0.419	grotelės
grated	0.357	0.462	0.361	tarkuotų
grateful	0.958	0.353	0.560	dėkingas
gratification	0.867	0.643	0.755	pasitenkinimą
gratified	0.781	0.519	0.702	patenkintas
gratify	0.837	0.539	0.794	džiuginti
gratifying	0.857	0.606	0.776	džiuginantis
grating	0.512	0.337	0.282	grotelės
gratis	0.796	0.510	0.417	nemokamai
gratitude	0.885	0.441	0.610	dėkingumą
gratuitous	0.735	0.650	0.452	neatlygintinai
gratuity	0.865	0.500	0.462	arbatpinigiai
grave	0.153	0.385	0.386	kapas
gravel	0.390	0.370	0.332	žvyras
graver	0.102	0.622	0.453	gražesnis
graveyard	0.041	0.441	0.272	kapinės
gravitate	0.479	0.472	0.476	gravituoti
gravitation	0.698	0.592	0.600	gravitacija
gravitational	0.528	0.510	0.691	gravitacinis
gravity	0.510	0.635	0.538	gravitacija
gravy	0.608	0.450	0.339	padažas
gray	0.335	0.153	0.189	pilka
graze	0.560	0.255	0.371	ganyti
grease	0.255	0.404	0.306	tepalas
greased	0.250	0.461	0.368	sutepti
greaser	0.408	0.518	0.462	tepalas
greasy	0.399	0.442	0.294	riebus
great	0.958	0.665	0.810	puiku
great anticipation	0.786	0.735	0.655	didelis laukimas
great aunt	0.896	0.419	0.589	Šauni teta
great disgust	0.042	0.836	0.389	didelis pasibjaurėjimas
great grandfather	0.729	0.241	0.569	prosenelis
great grandma	0.771	0.221	0.491	puiki močiutė
great grandmother	0.802	0.236	0.549	didžioji močiutė
great grandpa	0.857	0.280	0.602	didysis senelis
great surprise	0.939	0.941	0.688	puiki staigmena
great trust	0.939	0.528	0.853	didelis pasitikėjimas
great uncle	0.729	0.398	0.621	puikus dėdė
greatday	0.823	0.571	0.574	puiki diena
greater	0.755	0.519	0.796	didesnis
greatest	0.847	0.627	0.922	didžiausias
greatfriends	0.908	0.593	0.570	puikūs draugai
greatful	0.923	0.571	0.676	puiku
greatly	0.750	0.708	0.877	labai
greatly negative	0.051	0.640	0.282	labai neigiamas
greatly positive	0.967	0.538	0.877	labai teigiamas
greatness	0.990	0.750	0.943	didybė
greatnight	0.918	0.349	0.574	puiki naktis
greed	0.173	0.780	0.528	godumas
greedy	0.125	0.660	0.476	gobšus
green	0.630	0.306	0.333	žalias
green bean	0.469	0.280	0.304	žalios pupelės
green pepper	0.500	0.431	0.425	žalia paprika
green snake	0.229	0.634	0.614	žalia gyvatė
greenhouse	0.719	0.438	0.384	šiltnamis
greenish	0.574	0.290	0.429	žalsvos spalvos
greenwood	0.531	0.382	0.491	žalumynas
greet	0.885	0.539	0.618	pasveikinti
greeted	0.781	0.317	0.454	pasisveikino
greeting	0.854	0.556	0.510	pasisveikinimas
gregarious	0.551	0.471	0.529	bendruomeniškas
grenade	0.281	0.777	0.694	granata
grey	0.347	0.140	0.295	pilka
greyhound	0.520	0.490	0.440	kurtas
grid	0.562	0.426	0.443	tinklelis
gridiron	0.667	0.491	0.425	tinklelis
grief	0.070	0.640	0.474	sielvartas
grievance	0.092	0.635	0.364	skundas
grieve	0.122	0.500	0.333	liūdėti
grieved	0.104	0.460	0.191	nuliūdęs
grieving	0.093	0.673	0.403	sielvartaujantis
grievous	0.146	0.640	0.179	skaudus
griffin	0.418	0.337	0.360	grifas
grill	0.755	0.491	0.546	grilis
grille	0.337	0.327	0.246	grotelės
grilled	0.702	0.500	0.373	kepti ant grotelių
grim	0.310	0.483	0.298	niūrūs
grime	0.198	0.500	0.225	nešvarumai
grimy	0.112	0.597	0.283	purvinas
grin	0.885	0.570	0.491	šypsnys
grind	0.480	0.276	0.397	malti
grinder	0.459	0.615	0.561	malūnėlis
grinding	0.415	0.450	0.461	šlifavimas
grindstone	0.541	0.453	0.526	malūnėlis
gringo	0.540	0.452	0.510	gringo
grip	0.520	0.549	0.602	sukibimas
gripe	0.184	0.526	0.241	griebtis
grisly	0.083	0.863	0.426	siaubingai
grist	0.317	0.391	0.363	kruopos
grit	0.449	0.296	0.345	smėlis
grits	0.458	0.333	0.346	kruopos
gritty	0.417	0.373	0.375	smėlingas
grizzly	0.398	0.679	0.657	grizlis
groan	0.396	0.750	0.351	dejuoti
grocer	0.625	0.250	0.382	bakalėjos pardavėjas
groceries	0.740	0.363	0.417	bakalėjos
grocery	0.687	0.540	0.446	bakalėjos
groggy	0.235	0.265	0.194	apniukęs
groin	0.296	0.452	0.364	kirkšnis
groom	0.698	0.500	0.605	jaunikis
groove	0.552	0.448	0.361	griovelis
groovy	0.615	0.538	0.464	griozdiškas
grope	0.420	0.559	0.358	apčiuopti
gross	0.115	0.575	0.181	grubus
grotesque	0.135	0.788	0.500	groteskas
grotto	0.510	0.394	0.336	grota
grouch	0.342	0.593	0.411	niurzgėti
grouchy	0.143	0.708	0.407	niūrus
ground	0.398	0.343	0.602	žemės
grounded	0.531	0.601	0.509	įžemintas
groundhog	0.385	0.324	0.377	švilpikas
grounding	0.521	0.452	0.591	įžeminimas
groundless	0.333	0.535	0.387	be pagrindo
grounds	0.667	0.500	0.598	pagrindu
groundwork	0.500	0.375	0.593	parengiamieji darbai
group	0.573	0.423	0.480	grupė
groupie	0.521	0.583	0.393	grupiokas
grouping	0.745	0.580	0.698	grupavimas
grouse	0.448	0.401	0.412	tetervinas
grout	0.405	0.356	0.366	skiedinys
grove	0.604	0.245	0.417	giraitė
grovel	0.360	0.500	0.414	griovelis
grow	0.914	0.615	0.755	augti
growl	0.194	0.764	0.482	urzgti
growling	0.119	0.887	0.475	urzgdamas
growls	0.125	0.675	0.442	urzgia
grownup	0.735	0.400	0.683	Suaugęs
growth	0.917	0.588	0.776	augimas
growthefuckup	0.229	0.692	0.426	augimas pasileidimas
grr	0.229	0.538	0.333	grr
grrr	0.271	0.755	0.327	grrr
grrrrr	0.281	0.633	0.444	grrrrr
grub	0.602	0.406	0.355	grub
grubby	0.156	0.583	0.176	nešvarus
grudge	0.115	0.647	0.414	pyktis
grudging	0.092	0.636	0.473	gailėdamasis
grudgingly	0.156	0.610	0.292	negražiai
gruel	0.382	0.304	0.297	košė
grueling	0.180	0.763	0.704	alinantis
gruesome	0.094	0.837	0.474	baisu
gruff	0.323	0.611	0.472	šiurkštus
grumble	0.101	0.750	0.333	niurzgėti
grump	0.260	0.469	0.425	rūstus
grumpy	0.198	0.808	0.559	rūstus
grunt	0.286	0.798	0.392	niurzgėti
grunting	0.198	0.827	0.481	niurzgėdamas
guacamole	0.684	0.317	0.282	gvakamolė
guano	0.296	0.343	0.191	guanas
guarantee	0.949	0.337	0.805	garantija
guaranty	0.646	0.337	0.818	garantija
guard	0.592	0.510	0.725	apsauga
guarded	0.758	0.686	0.500	saugomas
guardhouse	0.510	0.435	0.770	sargybinis
guardian	0.656	0.686	0.789	globėjas
guardianship	0.592	0.370	0.681	globa
guards	0.448	0.663	0.720	sargybiniai
gubernatorial	0.552	0.604	0.897	gubernatorius
guerilla	0.146	0.845	0.727	partizanas
guerrilla	0.219	0.917	0.792	partizanas
guess	0.640	0.463	0.442	spėti
guesser	0.542	0.670	0.535	spėliotojas
guesswork	0.417	0.451	0.405	spėlionės
guest	0.719	0.490	0.558	svečias
guesthouse	0.729	0.337	0.406	svečių namai
guidance	0.729	0.471	0.718	gaires
guide	0.688	0.315	0.620	vadovas
guidebook	0.677	0.260	0.427	vadovas
guidelines	0.459	0.500	0.664	Gairės
guiding	0.667	0.520	0.714	vadovaujantis
guild	0.580	0.459	0.729	gildija
guile	0.410	0.417	0.467	klastos
guillotine	0.163	0.817	0.585	giljotina
guilt	0.208	0.567	0.206	kaltė
guilty	0.135	0.770	0.352	kaltas
guinea	0.521	0.440	0.396	Gvinėja
guise	0.531	0.547	0.324	užmaskuoti
guitar	0.844	0.542	0.469	gitara
guitarist	0.827	0.740	0.549	gitaristas
gules	0.469	0.443	0.340	gules
gulf	0.520	0.365	0.398	įlanka
gull	0.594	0.317	0.378	kiras
gullet	0.385	0.490	0.393	stemplė
gullible	0.440	0.442	0.318	patiklus
gully	0.316	0.519	0.394	griovys
gulp	0.551	0.660	0.409	gurkšnoti
gum	0.573	0.227	0.213	guma
gumbo	0.500	0.422	0.361	gumbo
gummy	0.521	0.302	0.291	guminis
gumption	0.480	0.538	0.488	gumbavimas
gun	0.147	0.920	0.713	ginklas
gunboat	0.139	0.663	0.618	patrankinė valtis
gunfight	0.051	0.961	0.700	susišaudymas
gunfighter	0.156	0.910	0.741	ginklininkas
gunfire	0.156	0.930	0.673	susišaudymas
gunk	0.250	0.478	0.219	gunk
gunman	0.167	0.922	0.689	šaulys
gunmen	0.073	0.942	0.727	šaulių
gunner	0.250	0.853	0.817	ginklininkas
gunnery	0.281	0.861	0.873	ginkluotė
gunplay	0.133	0.906	0.627	šaudymas
gunpoint	0.188	0.817	0.719	ginklu
gunpowder	0.425	0.853	0.509	parakas
gunshot	0.042	0.953	0.673	šūvis
gunslinger	0.316	0.873	0.811	ginklanešys
gurney	0.408	0.304	0.352	gurney
guru	0.573	0.360	0.653	guru
gush	0.510	0.490	0.381	trykšti
gusher	0.406	0.520	0.453	gusher
gusset	0.427	0.425	0.423	įdubimas
gust	0.490	0.755	0.556	gūsis
gusto	0.692	0.729	0.620	pomėgis
gusty	0.687	0.631	0.455	gūsingas
gut	0.408	0.367	0.364	žarnynas
gutless	0.250	0.381	0.384	beskonis
guts	0.592	0.649	0.582	vidurių
gutsy	0.635	0.573	0.536	drąsus
gutter	0.466	0.260	0.400	latakas
guy	0.583	0.367	0.546	vaikinas
guzzler	0.393	0.537	0.436	gurkšnis
guzzling	0.460	0.490	0.380	gurkšnoti
gym	0.635	0.690	0.613	sporto salė
gymnasium	0.667	0.561	0.474	gimnazija
gymnast	0.670	0.760	0.558	gimnastas
gymnastic	0.810	0.706	0.604	gimnastikos
gymnastics	0.745	0.677	0.508	gimnastika
gynecologist	0.552	0.566	0.682	ginekologas
gynecology	0.408	0.590	0.519	ginekologija
gypsy	0.375	0.665	0.396	čigonė
gyroscope	0.500	0.390	0.510	giroskopas
habit	0.625	0.226	0.585	įprotis
habitat	0.633	0.343	0.553	buveinė
habitation	0.781	0.231	0.538	gyvenamoji vieta
habitual	0.527	0.208	0.490	įprastas
habitually	0.600	0.324	0.583	įprastai
hacienda	0.688	0.402	0.573	hacienda
hack	0.135	0.717	0.534	nulaužti
hacker	0.271	0.755	0.740	įsilaužėlis
hacksaw	0.406	0.645	0.537	metalo pjūklas
hadenough	0.323	0.566	0.529	Užteko
hag	0.188	0.695	0.411	hag
haggard	0.115	0.510	0.246	apniktas
haggle	0.480	0.601	0.461	derėtis
haiku	0.583	0.356	0.392	haiku
hail	0.459	0.627	0.411	kruša
hair	0.582	0.186	0.286	plaukai
hairball	0.370	0.302	0.315	plaukų kamuolys
hairbrush	0.454	0.216	0.263	plaukų šepetys
haircut	0.677	0.343	0.307	kirpimas
hairdo	0.552	0.320	0.435	šukuosena
hairdresser	0.708	0.509	0.407	kirpykla
hairdryer	0.642	0.402	0.330	Plaukų džiovintuvas
hairless	0.136	0.235	0.139	beplaukis
hairline	0.418	0.154	0.230	plaukų linija
hairpin	0.459	0.363	0.370	plaukų segtukas
hairspray	0.549	0.279	0.269	plaukų lakas
hairstyle	0.771	0.380	0.433	šukuosena
hairy	0.542	0.380	0.343	plaukuotas
hale	0.479	0.435	0.500	hale
half	0.500	0.274	0.276	pusė
half dollar	0.573	0.408	0.509	pusė dolerio
halfback	0.490	0.429	0.440	pusnugaris
halftime	0.458	0.352	0.429	puse laiko
halfway	0.510	0.254	0.339	pusiaukelėje
halibut	0.449	0.412	0.411	otas
hall	0.510	0.340	0.424	salė
hallelujah	0.770	0.554	0.657	aleliuja
hallmark	0.646	0.315	0.411	skiriamasis ženklas
hallowed	0.740	0.500	0.728	pašventintas
hallucination	0.396	0.706	0.370	haliucinacijos
hallway	0.573	0.230	0.279	prieškambaris
halo	0.490	0.370	0.441	halo
halt	0.167	0.360	0.432	sustabdyti
halter	0.448	0.451	0.431	apynasris
halting	0.255	0.596	0.519	sustojus
halve	0.316	0.347	0.302	perpus
halving	0.292	0.474	0.366	perpus
ham	0.673	0.245	0.404	kumpis
hamburger	0.809	0.551	0.387	mėsainis
hamlet	0.573	0.270	0.397	kaimelis
hammer	0.312	0.509	0.563	plaktukas
hammerhead	0.337	0.490	0.569	plaktuko galvutė
hammering	0.347	0.779	0.557	kalimas
hammock	0.673	0.255	0.287	hamakas
hamper	0.204	0.711	0.473	trukdyti
hamster	0.520	0.394	0.349	žiurkėnas
hamstring	0.406	0.471	0.443	šlaunies raištis
hand	0.542	0.314	0.434	ranka
handbag	0.562	0.240	0.336	rankinė
handball	0.561	0.493	0.440	rankinis
handbook	0.600	0.224	0.567	vadovas
handcuff	0.310	0.590	0.593	antrankiai
handful	0.521	0.481	0.400	sauja
handgun	0.156	0.914	0.782	rankinis ginklas
handheld	0.646	0.350	0.586	rankinis
handicap	0.133	0.394	0.264	negalia
handicapped	0.204	0.467	0.180	neįgalus
handicraft	0.724	0.333	0.565	rankdarbiai
handiwork	0.753	0.430	0.410	rankų darbas
handkerchief	0.510	0.192	0.219	nosinė
handle	0.698	0.571	0.558	rankena
handler	0.439	0.593	0.861	prižiūrėtojas
handmade	0.776	0.383	0.475	rankų darbo
handout	0.560	0.330	0.545	dalomoji medžiaga
handprint	0.635	0.289	0.463	rankos atspaudas
handshake	0.816	0.654	0.492	rankos paspaudimas
handsome	0.890	0.600	0.682	gražuolis
handwriting	0.615	0.378	0.381	rašysena
handy	0.741	0.378	0.639	patogus
handyman	0.660	0.373	0.393	meistras
hang	0.323	0.529	0.446	pakabinti
hangar	0.490	0.456	0.481	angaras
hanger	0.439	0.462	0.461	kabykla
hanging	0.378	0.471	0.389	kabantis
hangman	0.153	0.877	0.555	pakaruoklis
hangout	0.573	0.500	0.462	„Hangout“.
hangover	0.188	0.565	0.267	pagirios
hangry	0.219	0.794	0.279	alkanas
hank	0.510	0.375	0.339	Hankas
hankering	0.604	0.540	0.558	troškimas
hanky	0.460	0.276	0.250	parankus
hap	0.503	0.431	0.453	hap
haphazard	0.469	0.530	0.324	atsitiktinis
hapless	0.271	0.442	0.193	nelaimingas
happen	0.677	0.670	0.551	atsitikti
happening	0.646	0.529	0.555	vykstantys
happier	0.990	0.760	0.806	laimingesnis
happiest	0.990	0.716	0.746	laimingiausias
happily	1.000	0.690	0.674	laimingai
happiness	0.960	0.732	0.850	laimė
happy	1.000	0.735	0.772	laimingas
happydance	0.857	0.760	0.582	laimingas šokis
happyday	0.929	0.650	0.663	laiminga diena
happyheart	0.949	0.575	0.605	laiminga širdis
happyholidays	0.927	0.740	0.637	linksmų švenčių
happynewyear	0.969	0.815	0.559	laimingų Naujųjų metų
happyplace	0.938	0.589	0.645	laiminga vieta
happytweet	0.847	0.588	0.437	laimingas tviteris
happyvalentinesday	0.929	0.784	0.509	laimingos Valentino dienos
harass	0.160	0.775	0.620	priekabiauti
harassing	0.120	0.873	0.446	priekabiaujantis
harassment	0.083	0.896	0.420	priekabiavimas
harbinger	0.490	0.389	0.692	pranašas
harbor	0.594	0.356	0.634	uostas
hard	0.302	0.708	0.616	sunku
hardball	0.542	0.667	0.452	hardball
hardcore	0.250	0.721	0.585	hardcore
harden	0.276	0.598	0.677	sukietėti
hardened	0.406	0.618	0.764	užgrūdintas
hardening	0.388	0.673	0.741	grūdinimas
hardheaded	0.156	0.699	0.571	kietagalvis
hardness	0.417	0.580	0.745	kietumas
hardship	0.094	0.775	0.482	sunkumas
hardware	0.594	0.289	0.686	aparatūra
hardwood	0.417	0.363	0.518	kietmedžio
hardworking	0.719	0.583	0.792	sunkiai dirbantis
hardy	0.571	0.569	0.810	atsparus
hare	0.620	0.410	0.345	kiškis
harebrained	0.296	0.551	0.436	smegenys
harem	0.521	0.578	0.582	haremas
hark	0.571	0.500	0.398	hark
harlot	0.198	0.798	0.330	paleistuve
harm	0.073	0.679	0.423	žalos
harmful	0.094	0.750	0.291	kenksmingas
harmless	0.625	0.226	0.241	nekenksmingas
harmonica	0.847	0.235	0.510	armonika
harmonics	0.865	0.400	0.575	harmonikų
harmonious	0.938	0.391	0.719	harmoninga
harmoniously	0.969	0.265	0.647	harmoningai
harmonize	0.939	0.461	0.609	harmonizuoti
harmony	0.949	0.230	0.509	harmonija
harness	0.570	0.549	0.508	pakinktai
harp	0.618	0.310	0.356	arfa
harper	0.417	0.454	0.435	arperė
harpoon	0.490	0.700	0.557	harpūnas
harpsichord	0.541	0.490	0.438	klavesinas
harrowing	0.209	0.810	0.474	kankinantis
harry	0.520	0.409	0.390	hari
harsh	0.250	0.650	0.623	atšiaurus
harshness	0.323	0.600	0.779	atšiaurumas
hart	0.643	0.389	0.447	hartas
harvest	0.781	0.353	0.548	derlius
hash	0.344	0.453	0.355	maišos
hashish	0.370	0.570	0.358	hašišo
hassle	0.177	0.740	0.489	vargo
haste	0.378	0.745	0.500	skubėti
hasten	0.571	0.750	0.618	paskubėk
hastily	0.271	0.609	0.609	paskubomis
hasty	0.188	0.885	0.424	skubotas
hat	0.604	0.183	0.353	skrybėlę
hatch	0.479	0.653	0.402	liukas
hatchet	0.333	0.608	0.500	kirvis
hate	0.031	0.802	0.430	neapykanta
hateeee	0.219	0.606	0.368	hateeee
hateeveryone	0.041	0.840	0.429	nekenčiu visų
hateful	0.071	0.819	0.430	neapykantos
hater	0.052	0.702	0.422	neapykantas
hateyou	0.125	0.735	0.464	nekenčiu tavęs
hating	0.083	0.820	0.434	neapykantą
hatred	0.037	0.847	0.424	neapykanta
haughty	0.240	0.708	0.588	išdidus
haul	0.551	0.564	0.453	vilkimas
haulage	0.561	0.510	0.650	pervežimas
haunt	0.288	0.676	0.576	vaidentis
haunted	0.264	0.731	0.520	apsėstas
have	0.757	0.389	0.593	turėti
haven	0.684	0.265	0.547	prieglobstis
havoc	0.163	0.769	0.535	sumaištį
haw	0.406	0.426	0.431	haw
hawk	0.583	0.530	0.631	vanagas
hawking	0.521	0.509	0.491	vanagas
hay	0.469	0.212	0.343	šieno
haye	0.615	0.451	0.336	šienas
hayride	0.561	0.521	0.464	hayride
haystack	0.552	0.292	0.331	šieno kupetą
haywire	0.358	0.545	0.430	šieno viela
hazard	0.112	0.884	0.757	pavojų
hazardous	0.061	0.750	0.670	pavojingas
haze	0.427	0.327	0.217	migla
hazmat	0.398	0.479	0.519	hazmat
hazy	0.450	0.433	0.230	miglotas
head	0.530	0.472	0.558	galva
headache	0.168	0.755	0.273	galvos skausmas
headaches	0.104	0.720	0.259	galvos skausmai
headband	0.670	0.469	0.527	galvos juosta
headdress	0.594	0.408	0.443	galvos apdangalas
header	0.560	0.398	0.740	antraštę
headgear	0.542	0.442	0.571	galvos apdangalai
heading	0.551	0.292	0.642	Antraštė
headland	0.574	0.551	0.430	galulaukė
headless	0.136	0.582	0.235	be galvos
headlight	0.592	0.343	0.393	priekinis žibintas
headline	0.630	0.241	0.685	antraštę
headliner	0.500	0.490	0.625	antraštė
headlock	0.448	0.538	0.560	galvos užraktas
headlong	0.354	0.548	0.409	stačia galva
headmaster	0.604	0.564	0.865	direktorius
headphones	0.600	0.357	0.336	ausines
headquarter	0.615	0.269	0.525	buveinė
headquarters	0.615	0.271	0.525	būstinė
headset	0.602	0.340	0.302	ausinės
headstone	0.240	0.378	0.349	antkapis
headstrong	0.310	0.714	0.500	užsispyręs
headway	0.823	0.464	0.745	pirmyn
heady	0.448	0.806	0.565	svaiginantis
heal	0.765	0.245	0.556	Išgyti
healer	0.863	0.378	0.741	gydytojas
healing	0.750	0.452	0.585	gijimas
health	0.935	0.427	0.551	sveikata
healthcare	0.780	0.392	0.630	sveikatos apsauga
healthful	0.930	0.315	0.769	sveikas
healthy	0.938	0.319	0.818	sveikas
heap	0.582	0.510	0.474	krūva
hear	0.760	0.429	0.444	girdėti
hearer	0.656	0.281	0.415	klausytojas
hearing	0.669	0.490	0.595	klausos
hearsay	0.288	0.623	0.333	nuogirdų
hearse	0.177	0.490	0.324	katafalkas
heart	0.827	0.500	0.693	širdies
heart disease	0.250	0.750	0.386	širdies liga
heartache	0.088	0.750	0.291	širdies skausmas
heartattack	0.156	0.839	0.455	širdies smūgis
heartbeat	0.750	0.698	0.585	širdies plakimas
heartbreak	0.208	0.610	0.245	širdgėla
heartbreaker	0.265	0.685	0.580	širdžių ėdikas
heartbreaking	0.146	0.811	0.423	širdį draskantis
heartbroken	0.082	0.551	0.235	sudaužyta širdis
heartburn	0.143	0.613	0.398	rėmuo
hearted	0.823	0.410	0.805	širdingas
heartfelt	0.904	0.440	0.540	nuoširdus
hearth	0.760	0.275	0.536	židinys
heartily	0.927	0.531	0.664	nuoširdžiai
heartland	0.812	0.510	0.675	širdyje
heartless	0.071	0.652	0.400	beširdis
hearts	0.948	0.592	0.634	širdyse
heartsick	0.240	0.388	0.208	širdgėla
heartworm	0.333	0.550	0.430	širdies kirmėlė
hearty	0.760	0.684	0.792	nuoširdus
heat	0.534	0.612	0.433	karštis
heated	0.479	0.497	0.542	įkaitintas
heater	0.500	0.573	0.538	šildytuvas
heath	0.802	0.387	0.546	viržas
heathen	0.194	0.529	0.491	pagonis
heather	0.500	0.352	0.407	viržiai
heating	0.647	0.491	0.537	šildymas
heave	0.716	0.588	0.664	pakilti
heaven	0.896	0.385	0.600	rojus
heavenly	0.844	0.452	0.712	dangiškas
heavens	0.806	0.273	0.683	dangus
heavily	0.542	0.679	0.814	stipriai
heaviness	0.219	0.549	0.318	sunkumas
heaving	0.201	0.843	0.491	svirduliuoja
heavy	0.250	0.454	0.600	sunkus
heavy metal	0.417	0.755	0.621	Sunkusis metalas
heavyweight	0.429	0.578	0.713	sunkiasvoris
heck	0.240	0.728	0.560	po velnių
hectares	0.570	0.250	0.471	hektarų
hectic	0.167	0.811	0.438	džiovos
hedge	0.604	0.602	0.569	gyvatvorė
hedgehog	0.458	0.491	0.377	ežiukas
hedonism	0.510	0.500	0.608	hedonizmas
hee	0.430	0.433	0.312	ei
heed	0.750	0.490	0.569	atkreipkite dėmesį
heel	0.480	0.350	0.385	kulnas
heels	0.500	0.439	0.396	kulniukai
heft	0.503	0.340	0.530	Heft
hefty	0.550	0.654	0.745	nemenkas
hegemonic	0.462	0.519	0.558	hegemoniškas
heheh	0.625	0.510	0.278	hehe
heifer	0.439	0.443	0.321	telyčia
height	0.677	0.608	0.648	aukščio
heighten	0.755	0.622	0.765	padidinti
heightened	0.592	0.529	0.788	padidintas
heinous	0.133	0.792	0.471	siaubingas
heir	0.840	0.654	0.764	įpėdinis
heiress	0.827	0.571	0.676	paveldėtoja
heirloom	0.684	0.375	0.745	palikimas
heirs	0.796	0.519	0.698	įpėdiniai
heist	0.184	0.850	0.645	apiplėšimas
helical	0.379	0.429	0.468	spiralinis
helicopter	0.714	0.806	0.617	malūnsparnis
helipad	0.780	0.637	0.573	sraigtasparnių nusileidimo aikštelė
heliport	0.594	0.604	0.527	sraigtasparnių oro uostas
helium	0.490	0.316	0.304	helis
helix	0.521	0.462	0.509	spiralė
hell	0.020	0.918	0.565	pragaras
hellfire	0.143	0.890	0.618	pragaro ugnis
hellhole	0.200	0.615	0.421	pragaras
hellish	0.125	0.860	0.545	pragariškas
helm	0.511	0.450	0.615	vairas
helmet	0.573	0.327	0.402	šalmas
helmsman	0.490	0.441	0.647	vairininkas
help	0.673	0.471	0.460	padėti
helper	0.704	0.438	0.567	pagalbininkas
helpful	0.816	0.337	0.705	naudinga
helpless	0.104	0.420	0.214	bejėgis
helplessness	0.087	0.480	0.250	bejėgiškumas
hem	0.562	0.283	0.291	hem
hematite	0.448	0.389	0.342	hematitas
hematoma	0.146	0.600	0.398	hematoma
hemi	0.510	0.363	0.342	hemi
hemisphere	0.531	0.367	0.598	pusrutulis
hemispheric	0.562	0.449	0.603	pusrutulio formos
hemlock	0.438	0.350	0.434	hemlock
hemoglobin	0.469	0.481	0.418	hemoglobino
hemorrhage	0.031	0.849	0.426	kraujavimas
hemorrhoids	0.133	0.702	0.304	hemorojus
hemostat	0.388	0.442	0.464	hemostatas
hemp	0.469	0.439	0.422	kanapių
hen	0.385	0.276	0.241	višta
henceforth	0.527	0.404	0.466	nuo šiol
henhouse	0.500	0.577	0.414	vištidė
hepatitis	0.055	0.596	0.358	hepatitas
herald	0.643	0.382	0.500	šauklys
heraldry	0.550	0.520	0.607	heraldika
herb	0.643	0.418	0.353	žolė
herbaceous	0.560	0.220	0.310	žoliniai
herbal	0.592	0.255	0.390	žolelių
herbarium	0.602	0.188	0.327	herbariumas
herbs	0.620	0.299	0.308	žolelių
herd	0.592	0.500	0.474	banda
hereditary	0.531	0.600	0.737	paveldimas
heredity	0.704	0.445	0.818	paveldimumas
heresy	0.265	0.765	0.443	erezija
heretic	0.090	0.710	0.447	eretikas
heretical	0.229	0.630	0.487	eretiškas
heretofore	0.479	0.388	0.385	iki šiol
hereunto	0.500	0.225	0.333	į tai
herewith	0.450	0.360	0.415	su tuo
heritage	0.842	0.512	0.815	paveldas
hermaphrodite	0.480	0.684	0.481	hermafroditas
hermeneutics	0.406	0.577	0.562	hermeneutika
hermit	0.271	0.337	0.351	atsiskyrėlis
hernia	0.146	0.486	0.223	išvarža
hero	0.940	0.806	0.881	herojus
heroic	0.890	0.770	0.912	herojiškas
heroics	0.865	0.673	0.894	herojai
heroin	0.276	0.843	0.655	heroino
heroine	0.729	0.755	0.833	herojė
heroism	0.844	0.802	0.898	didvyriškumas
herpes	0.110	0.600	0.309	pūslelinė
herpesvirus	0.219	0.558	0.435	herpes virusas
herring	0.531	0.387	0.422	silkė
hertz	0.396	0.417	0.506	hercų
hesitant	0.333	0.542	0.321	dvejojantis
hesitate	0.459	0.548	0.232	dvejoti
hesitating	0.265	0.528	0.240	dvejodama
hesitation	0.286	0.396	0.217	dvejonės
