English Word	Valence	Arousal	Dominance	Croatian Word
husband	0.771	0.500	0.655	suprug
husbandry	0.643	0.473	0.445	stočarstvo
hush	0.471	0.231	0.312	šutnja
hushed	0.292	0.194	0.272	utišan
husk	0.378	0.173	0.147	mahuna
husky	0.630	0.450	0.490	eskimski
hussy	0.219	0.594	0.384	seksi
hustle	0.406	0.661	0.427	energičnost
hustler	0.260	0.821	0.627	prevarant
hut	0.633	0.270	0.375	koliba
hutch	0.385	0.453	0.520	kavez
hyacinth	0.372	0.360	0.342	zumbul
hybrid	0.500	0.365	0.570	hibrid
hydra	0.406	0.598	0.534	hidra
hydrant	0.570	0.413	0.367	Hidrant
hydrate	0.610	0.367	0.547	hidrat
hydraulic	0.522	0.398	0.596	hidraulički
hydraulics	0.500	0.530	0.588	hidraulika
hydrocephalus	0.286	0.629	0.393	hidrocefalus
hydrodynamics	0.552	0.582	0.664	hidrodinamika
hydrogen	0.469	0.303	0.554	vodik
hydrographic	0.490	0.396	0.642	hidrografski
hydrology	0.500	0.380	0.509	hidrologija
hydrophobia	0.323	0.784	0.351	hidrofobija
hydroponics	0.500	0.549	0.500	hidroponija
hyena	0.396	0.719	0.464	hijena
hygiene	0.781	0.287	0.537	higijena
hygienic	0.719	0.245	0.702	higijenski
hygienist	0.698	0.389	0.682	higijeničar
hymen	0.469	0.651	0.457	himen
hymn	0.735	0.292	0.634	hvalospjev
hype	0.510	0.500	0.586	hype
hyped	0.708	0.582	0.679	razviti
hyper	0.542	0.616	0.640	hiper
hyperactive	0.500	0.921	0.660	hiperaktivan
hyperbole	0.469	0.521	0.542	hiperbola
hyperspace	0.510	0.623	0.755	hiperprostor
hypertension	0.133	0.784	0.427	hipertenzija
hypertrophy	0.312	0.625	0.413	hipertrofija
hyperventilate	0.347	0.729	0.556	hiperventilirati
hyperventilating	0.164	0.802	0.625	hiperventilirajući
hyphen	0.552	0.356	0.381	crtica
hypnosis	0.417	0.410	0.546	hipnoza
hypnotic	0.571	0.560	0.569	hipnotički
hypnotist	0.490	0.455	0.627	hipnotizer
hypnotize	0.469	0.507	0.508	hipnotizirati
hypnotized	0.449	0.434	0.380	hipnotiziran
hypochondriac	0.194	0.588	0.333	hipohondar
hypocrisy	0.156	0.523	0.370	licemjerje
hypocrite	0.082	0.673	0.306	licemjer
hypocritical	0.048	0.740	0.415	licemjeran
hypodermic	0.240	0.441	0.445	potkožni
hypothalamus	0.593	0.427	0.539	hipotalamus
hypothermia	0.184	0.620	0.301	hipotermija
hypothesis	0.552	0.370	0.509	hipoteza
hypothetical	0.480	0.367	0.361	hipotetski
hysterectomy	0.178	0.660	0.470	histerektomija
hysteria	0.224	0.906	0.482	histerija
hysterical	0.290	0.942	0.398	histeričan
ibuprofen	0.448	0.427	0.504	ibuprofen
ice	0.440	0.265	0.219	led
ice tea	0.771	0.337	0.336	ledeni čaj
iceberg	0.344	0.540	0.648	santa leda
icebox	0.560	0.222	0.370	ledenica
icebreaker	0.571	0.545	0.848	ledolomac
iced	0.564	0.482	0.339	zaleđen
icing	0.688	0.452	0.411	glazura
icky	0.357	0.510	0.342	gadan
icon	0.549	0.349	0.415	ikona
iconic	0.583	0.537	0.700	ikoničan
iconography	0.602	0.382	0.653	ikonografija
icy	0.684	0.375	0.345	ledena
id	0.449	0.344	0.391	iskaznica
idea	0.750	0.538	0.704	ideja
ideal	0.802	0.437	0.736	idealan
idealism	0.635	0.436	0.689	idealizam
idealist	0.816	0.510	0.802	idealista
idealistic	0.812	0.469	0.755	idealistički
identical	0.635	0.380	0.527	identičan
identically	0.667	0.427	0.487	istovjetno
identification	0.714	0.451	0.692	identifikacija
identify	0.635	0.480	0.667	identificirati
identity	0.663	0.360	0.780	identitet
ideology	0.573	0.344	0.692	ideologija
idiocy	0.112	0.635	0.137	idiotizam
idiom	0.520	0.337	0.445	idiom
idiomatic	0.531	0.429	0.516	idiomatski
idiot	0.086	0.567	0.113	idiot
idiotic	0.104	0.620	0.170	idiotski
idiots	0.143	0.600	0.144	idioti
idle	0.179	0.167	0.112	besposlen
idleness	0.308	0.330	0.228	besposlica
idler	0.200	0.304	0.194	besposličar
idol	0.684	0.805	0.853	idol
idolatry	0.365	0.571	0.625	idolopoklonstvo
idolizing	0.676	0.712	0.643	idolizirajući
idyllic	0.571	0.394	0.593	idiličan
iffy	0.380	0.442	0.333	dvoumljiv
ifonly	0.406	0.250	0.255	samo ako
igloo	0.569	0.302	0.345	iglu
igneous	0.469	0.466	0.517	magmatski
ignite	0.458	0.785	0.675	zapaliti
ignition	0.365	0.720	0.657	paljenje
ignorance	0.153	0.417	0.209	neznanje
ignorant	0.102	0.461	0.223	neznalica
ignore	0.146	0.230	0.295	zanemariti
iguana	0.521	0.235	0.291	iguana
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	ilk
ill	0.073	0.410	0.200	bolestan
illegal	0.061	0.787	0.337	nezakonito
illegality	0.094	0.635	0.427	nezakonitost
illegally	0.133	0.788	0.402	ilegalno
illegible	0.296	0.490	0.315	nečitak
illegitimate	0.184	0.644	0.302	nelegitimni
illicit	0.188	0.794	0.390	nedopušteno
illiterate	0.120	0.410	0.151	nepismeni
illness	0.098	0.717	0.211	bolest
illogical	0.208	0.630	0.251	nelogičan
illuminate	0.905	0.646	0.782	osvijetliti
illuminating	0.949	0.613	0.773	osvjetljavajući
illumination	0.760	0.588	0.537	osvjetljenje
illuminator	0.770	0.566	0.718	iluminator
illusion	0.562	0.490	0.387	iluzija
illustrate	0.750	0.430	0.690	ilustrirati
illustration	0.740	0.441	0.640	ilustracija
illustrative	0.771	0.452	0.647	ilustrativan
illustrious	0.673	0.550	0.741	slavan
ilovechristmas	0.885	0.590	0.525	ilovebožić
iloveher	0.750	0.519	0.556	volim je
image	0.653	0.241	0.453	slika
imagery	0.653	0.327	0.390	slike
imaginable	0.613	0.529	0.596	zamisliv
imaginary	0.560	0.424	0.310	zamišljena
imagination	0.802	0.491	0.547	mašta
imaginative	0.780	0.541	0.593	maštovit
imagine	0.759	0.480	0.587	zamisliti
imagined	0.656	0.412	0.418	zamišljeno
imaging	0.724	0.394	0.482	slikanje
imagining	0.765	0.458	0.545	zamišljajući
imam	0.527	0.337	0.539	imam
imbalance	0.115	0.538	0.264	neravnoteža
imbecile	0.082	0.569	0.260	imbecil
imbedded	0.406	0.580	0.562	ugrađen
imissyou	0.480	0.608	0.344	Nedostaješ mi
imitate	0.469	0.561	0.336	oponašati
imitated	0.333	0.391	0.442	oponašao
imitation	0.406	0.592	0.343	imitacija
immaculate	0.698	0.330	0.688	besprijekoran
immaterial	0.296	0.309	0.295	nematerijalan
immature	0.114	0.500	0.200	nezreo
immaturity	0.146	0.567	0.221	nezrelost
immeasurable	0.510	0.539	0.712	nemjerljiv
immeasurably	0.510	0.640	0.680	neizmjerno
immediacy	0.635	0.630	0.627	neposrednost
immediate	0.656	0.548	0.716	neposredna
immediately	0.552	0.780	0.707	odmah
immemorial	0.327	0.469	0.454	nezapamćen
immense	0.755	0.750	0.811	neizmjerno
immerse	0.510	0.577	0.509	zaroniti
immersion	0.510	0.556	0.564	uranjanje
immigrant	0.357	0.663	0.509	imigrant
immigration	0.390	0.667	0.454	imigracija
imminent	0.490	0.784	0.643	neizbježna
immobile	0.225	0.217	0.298	nepokretan
immoral	0.143	0.622	0.385	nemoralan
immorality	0.188	0.689	0.315	nemoralnost
immortal	0.812	0.750	0.795	besmrtan
immortality	0.688	0.635	0.861	besmrtnost
immovable	0.480	0.310	0.571	nepokretna
immune	0.629	0.472	0.780	imun
immunity	0.633	0.316	0.786	imunitet
immunization	0.667	0.510	0.733	imunizacija
immutable	0.427	0.431	0.571	nepromjenjiv
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	udarac
impair	0.153	0.500	0.360	narušiti
impaired	0.130	0.459	0.269	oštećena
impairment	0.170	0.571	0.220	oštećenje
impart	0.521	0.441	0.694	dodijeliti
impartial	0.531	0.406	0.685	nepristran
impartiality	0.622	0.394	0.616	nepristranost
impassable	0.342	0.458	0.553	neprohodan
impassioned	0.740	0.780	0.802	strastven
impatience	0.278	0.780	0.411	nestrpljivost
impatient	0.250	0.708	0.429	nestrpljiv
impatiently	0.194	0.750	0.539	nestrpljivo
impeach	0.208	0.776	0.664	opozvati
impeachment	0.163	0.735	0.694	opoziv
impeccable	0.833	0.370	0.824	besprijekoran
impede	0.271	0.510	0.604	ometati
impediment	0.163	0.600	0.409	zapreka
impelled	0.604	0.741	0.690	natjeran
impending	0.480	0.735	0.752	nadnesen
impenetrable	0.531	0.577	0.839	neprobojan
imperative	0.625	0.647	0.708	imperativ
imperceptible	0.378	0.490	0.548	neprimjetan
imperfect	0.173	0.527	0.202	nesavršen
imperfection	0.190	0.567	0.321	nesavršenost
imperfectly	0.297	0.481	0.330	nesavršeno
imperial	0.669	0.646	0.922	carski
imperialist	0.284	0.786	0.833	imperijalistički
impermeable	0.510	0.308	0.558	nepropusna
impermissible	0.188	0.464	0.352	nedopustivo
impersonal	0.316	0.356	0.472	bezličan
impersonate	0.510	0.632	0.591	predstavljati
impersonation	0.375	0.618	0.528	lažno predstavljanje
impersonator	0.469	0.586	0.406	imitator
impertinence	0.170	0.653	0.420	drskost
impertinent	0.219	0.826	0.373	drzak
impervious	0.582	0.408	0.536	nepropusna
impetuous	0.602	0.814	0.712	nagao
impetus	0.521	0.740	0.635	poticaj
implacable	0.569	0.663	0.830	neumoljiv
implant	0.429	0.510	0.588	implantat
implantation	0.396	0.604	0.741	implantacija
implanted	0.347	0.500	0.679	usađen
implement	0.720	0.573	0.792	implementirati
implicate	0.250	0.670	0.434	ukazati
implicated	0.354	0.673	0.438	upleten
implication	0.337	0.528	0.690	implikacija
implied	0.327	0.530	0.481	podrazumijeva se
implore	0.396	0.650	0.377	preklinjati
implosion	0.412	0.724	0.547	implozija
imply	0.542	0.670	0.533	implicirati
impolite	0.167	0.590	0.282	nepristojan
import	0.615	0.480	0.623	uvoz
importance	0.750	0.580	0.864	važnost
important	0.827	0.630	0.836	važno
importation	0.625	0.500	0.733	uvoz
impose	0.503	0.721	0.745	nameće
imposing	0.392	0.731	0.836	impozantan
imposition	0.357	0.604	0.618	nametanje
impossibility	0.170	0.625	0.306	nemogućnost
impossible	0.153	0.510	0.407	nemoguće
impostor	0.135	0.704	0.442	varalica
impotence	0.198	0.689	0.224	impotencija
impotent	0.146	0.587	0.333	impotentan
impound	0.230	0.587	0.583	zaplijeniti
impoverished	0.125	0.311	0.203	osiromašena
impracticable	0.398	0.549	0.381	neizvodljivo
impractical	0.160	0.373	0.291	nepraktičan
impregnable	0.378	0.549	0.667	neosvojiv
impregnate	0.510	0.721	0.655	prožeti
impress	0.816	0.744	0.895	impresionirati
impressed	0.806	0.770	0.429	impresioniran
impression	0.684	0.557	0.577	dojam
impressionable	0.827	0.720	0.645	dojmljiv
impressive	0.781	0.830	0.873	impresivan
imprint	0.615	0.574	0.685	otisak
imprison	0.112	0.829	0.545	zatvoriti
imprisoned	0.032	0.717	0.302	zatvorena
imprisonment	0.133	0.630	0.471	zatvorska kazna
improbable	0.097	0.412	0.439	nevjerojatan
impromptu	0.541	0.729	0.415	improvizirano
improper	0.229	0.520	0.259	neprikladno
impropriety	0.133	0.591	0.389	neprikladnost
improve	0.833	0.528	0.815	poboljšati
improved	0.919	0.480	0.679	poboljšana
improvement	0.786	0.500	0.611	poboljšanje
improves	0.929	0.625	0.727	poboljšava
improving	0.911	0.510	0.682	poboljšanje
improvisation	0.631	0.812	0.529	improvizacija
improvise	0.646	0.650	0.519	improvizirati
improvised	0.610	0.673	0.443	improvizirano
imprudent	0.170	0.676	0.265	nepromišljeno
impudence	0.214	0.500	0.472	drskost
impudent	0.302	0.604	0.462	drzak
impulse	0.530	0.840	0.611	impuls
impulsive	0.365	0.864	0.607	impulzivan
impunity	0.313	0.721	0.602	nekažnjivost
impure	0.260	0.560	0.208	nečisti
impurity	0.173	0.546	0.306	nečistoća
imputation	0.333	0.654	0.621	imputacija
imtryingtosleep	0.438	0.363	0.385	pokušavam zaspati
inability	0.150	0.529	0.250	nesposobnost
inaccessible	0.083	0.585	0.446	nedostupan
inaccurate	0.135	0.450	0.250	netočno
inaction	0.323	0.225	0.325	nedjelovanje
inactivate	0.245	0.240	0.415	inaktivirati
inactivation	0.198	0.260	0.220	inaktivacija
inactive	0.271	0.167	0.159	neaktivan
inactivity	0.135	0.143	0.227	neaktivnost
inadequacy	0.286	0.500	0.297	nedostatnost
inadequate	0.122	0.450	0.223	neadekvatan
inadequateness	0.240	0.529	0.316	neadekvatnost
inadmissible	0.188	0.636	0.389	nedopustivo
inadvertent	0.365	0.368	0.286	nehotice
inadvertently	0.302	0.541	0.549	nenamjerno
inaffable	0.388	0.518	0.455	nedokučiv
inalienable	0.437	0.459	0.608	neotuđiv
inane	0.271	0.350	0.268	besmislen
inanimate	0.281	0.143	0.224	neživo
inapplicable	0.281	0.402	0.330	neprimjenjivo
inappropriate	0.135	0.542	0.353	neprikladno
inattention	0.208	0.433	0.188	nepažnja
inaudible	0.280	0.398	0.358	nečujan
inaugural	0.684	0.567	0.608	inauguracijski
inaugurate	0.781	0.582	0.800	inaugurirati
inauguration	0.847	0.712	0.769	inauguracija
inborn	0.590	0.288	0.546	urođeni
inbound	0.531	0.388	0.538	ulazni
inbred	0.397	0.520	0.473	inbred
incalculable	0.449	0.620	0.679	neuračunljiv
incandescent	0.354	0.612	0.621	sa žarnom niti
incantation	0.439	0.632	0.548	bajanje
incapable	0.156	0.529	0.155	nesposoban
incapacity	0.052	0.500	0.217	nesposobnost
incarceration	0.100	0.800	0.397	zatvaranje
incarnate	0.552	0.651	0.593	utjeloviti se
incase	0.580	0.196	0.365	u slučaju
incendiary	0.281	0.810	0.598	palikuća
incense	0.698	0.275	0.328	tamjan
incensed	0.338	0.643	0.392	raspaljen
incentive	0.812	0.618	0.718	poticaj
inception	0.604	0.425	0.561	početak
incessant	0.438	0.760	0.544	neprestani
incessantly	0.417	0.765	0.606	neprestano
incest	0.073	0.853	0.491	incest
incestuous	0.188	0.736	0.442	incestuozan
inch	0.481	0.327	0.300	inč
incidence	0.417	0.527	0.429	učestalost
incident	0.084	0.662	0.482	incident
incidental	0.281	0.610	0.404	usputan
incidentally	0.479	0.500	0.500	slučajno
incineration	0.229	0.787	0.470	spaljivanje
incinerator	0.250	0.643	0.591	spalionica
incipient	0.442	0.382	0.430	početni
incision	0.240	0.663	0.558	rez
incisive	0.380	0.602	0.545	zajedljiv
incite	0.449	0.736	0.642	poticati
incitement	0.302	0.943	0.598	poticanje
inclement	0.260	0.676	0.616	surov
inclination	0.378	0.490	0.538	nagib
incline	0.490	0.423	0.345	nagib
inclined	0.469	0.347	0.402	sklona
include	0.729	0.449	0.702	uključiti
included	0.760	0.402	0.570	uključeno
including	0.700	0.378	0.518	uključujući
inclusion	0.774	0.404	0.712	uključenje, Ubrajanje
inclusive	0.604	0.420	0.564	uključivo
incognito	0.610	0.490	0.446	inkognito
incoherent	0.122	0.612	0.250	nesuvislo
income	0.750	0.510	0.728	prihod
incoming	0.660	0.509	0.596	dolazni
incomparable	0.625	0.577	0.670	neusporediv
incompatible	0.196	0.500	0.310	nekompatibilan
incompetence	0.077	0.551	0.208	nesposobnost
incompetent	0.133	0.566	0.239	nesposobni
incomplete	0.153	0.370	0.205	nepotpun
incompletely	0.344	0.442	0.232	nepotpuno
incompleteness	0.271	0.451	0.234	nedovršenost
incomprehensible	0.250	0.550	0.344	neshvatljivo
inconceivable	0.198	0.552	0.561	nepojmljivo
inconclusive	0.153	0.442	0.340	neuvjerljiv
incongruous	0.177	0.504	0.343	neskladan
inconsequential	0.250	0.480	0.345	beznačajan
inconsiderate	0.224	0.519	0.423	bezobzirno
inconsistency	0.125	0.480	0.314	nedosljednost
inconsistent	0.271	0.431	0.295	nedosljedan
inconspicuous	0.604	0.214	0.368	neprimjetan
incontinence	0.150	0.598	0.272	inkontinencija
inconvenience	0.063	0.667	0.291	neugodnosti
inconvenient	0.224	0.610	0.375	nezgodan
incorporate	0.745	0.612	0.571	uključiti
incorporation	0.573	0.404	0.768	inkorporacija
incorrect	0.140	0.569	0.255	netočno
incorrigible	0.130	0.667	0.500	nepopravljiv
increase	0.810	0.657	0.886	povećati
increased	0.684	0.660	0.773	povećana
incredible	0.857	0.796	0.902	nevjerojatan
incredulous	0.286	0.510	0.269	nevjerojatno
increment	0.684	0.637	0.750	prirast
incriminate	0.188	0.810	0.416	inkriminirati
incriminating	0.133	0.788	0.500	inkriminirajući
incrimination	0.152	0.865	0.545	inkriminacija
incubation	0.461	0.490	0.397	inkubacija
incubator	0.510	0.435	0.405	inkubator
incubus	0.458	0.529	0.482	inkub
incumbent	0.396	0.540	0.565	dužnosnik
incur	0.312	0.667	0.495	nastati
incurable	0.104	0.667	0.255	neizlječiv
incursion	0.552	0.830	0.719	upad
indebted	0.138	0.698	0.275	zaduženi
indecency	0.135	0.670	0.491	nepristojnost
indecent	0.083	0.683	0.240	nepristojan
indecision	0.184	0.480	0.196	neodlučnost
indecisive	0.271	0.420	0.190	neodlučan
indefensible	0.173	0.647	0.484	neobranjiva
indefinite	0.448	0.292	0.296	neodređeno
indelible	0.490	0.337	0.591	neizbrisiv
indemnification	0.521	0.490	0.770	obeštećenje
indemnify	0.449	0.548	0.613	obeštetiti
indemnity	0.470	0.607	0.692	odšteta
indent	0.479	0.346	0.379	uvlaka
indentation	0.374	0.500	0.349	uvlačenje
indenture	0.434	0.382	0.636	indentura
independence	0.896	0.663	0.911	neovisnost
independent	0.885	0.440	0.872	nezavisna
indescribable	0.448	0.529	0.648	neopisiv
indestructible	0.772	0.731	0.853	neuništiv
indeterminate	0.360	0.402	0.322	neodređen
index	0.448	0.268	0.342	indeks
indicate	0.594	0.350	0.676	naznačiti
indicating	0.745	0.339	0.555	ukazujući
indication	0.719	0.432	0.750	indikacija
indicative	0.510	0.510	0.591	indikativan
indicator	0.573	0.451	0.670	indikator
indice	0.469	0.377	0.541	indeks
indict	0.188	0.731	0.458	optužnica
indictment	0.245	0.745	0.577	optužnica
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	ravnodušnost
indifferent	0.396	0.157	0.250	ravnodušan
indigenous	0.500	0.509	0.552	autohtoni
indigent	0.156	0.481	0.223	siromašan
indigestion	0.204	0.610	0.182	probavne smetnje
indignant	0.260	0.600	0.423	ogorčeno
indignation	0.173	0.778	0.431	gnjev
indignity	0.167	0.500	0.306	poniženje
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	neizravni
indiscreet	0.177	0.587	0.342	indiskretan
indiscretion	0.265	0.637	0.390	indiskrecija
indispensable	0.710	0.449	0.802	neophodan
indisposed	0.122	0.519	0.206	indisponiran
indistinct	0.255	0.340	0.360	nejasno
indistinguishable	0.346	0.458	0.548	nerazlučivo
individual	0.627	0.327	0.533	pojedinac
individuality	0.612	0.469	0.527	individualnost
indivisible	0.646	0.398	0.580	nedjeljiv
indoctrination	0.327	0.657	0.698	indoktrinacija
indolent	0.177	0.381	0.259	indolentan
indomitable	0.458	0.800	0.830	nesalomljiv
indoor	0.615	0.245	0.347	zatvoreni
induce	0.257	0.606	0.684	inducirati
induced	0.397	0.471	0.491	induciran
inducement	0.647	0.765	0.685	poticaj
induction	0.392	0.593	0.627	indukcija
indulge	0.833	0.716	0.669	prepustiti se
indulgence	0.479	0.490	0.517	indulgencija
indulgent	0.560	0.481	0.529	popustljiv
industrial	0.469	0.600	0.875	industrijski
industrialist	0.562	0.633	0.843	industrijalac
industrious	0.720	0.537	0.791	marljiv
industry	0.650	0.447	0.836	industrija
ineffable	0.551	0.577	0.585	neizreciv
ineffective	0.093	0.422	0.094	neučinkovito
ineffectual	0.163	0.412	0.200	neučinkovito
inefficiency	0.092	0.466	0.181	neučinkovitost
inefficient	0.190	0.460	0.173	neučinkovito
inelastic	0.396	0.426	0.385	neelastično
ineligible	0.143	0.377	0.457	nepodoban
inept	0.156	0.418	0.209	nesposoban
ineptitude	0.177	0.471	0.250	nesposobnost
inequality	0.122	0.575	0.259	nejednakost
inequitable	0.281	0.519	0.373	nepravedan
inert	0.323	0.180	0.319	inertan
inertia	0.344	0.288	0.322	inercija
inevitable	0.316	0.419	0.623	neizbježan
inexact	0.153	0.459	0.170	netočan
inexcusable	0.271	0.582	0.546	neoprostivo
inexhaustible	0.602	0.541	0.643	neiscrpan
inexpensive	0.694	0.414	0.260	jeftin
inexperience	0.208	0.614	0.151	neiskustvo
inexperienced	0.281	0.473	0.231	neiskusan
inexplicable	0.224	0.635	0.443	neobjašnjiv
inexpressible	0.198	0.608	0.364	neizreciv
infallibility	0.583	0.663	0.764	nepogrešivost
infallible	0.776	0.687	0.809	nepogrešiv
infamous	0.146	0.580	0.472	zloglasan
infamy	0.177	0.676	0.421	zloglasnost
infancy	0.750	0.399	0.370	djetinjstvo
infant	0.802	0.431	0.328	dječji
infanticide	0.167	0.856	0.443	čedomorstvo
infantile	0.604	0.382	0.259	infantilan
infantry	0.531	0.684	0.791	pješaštvo
infarct	0.080	0.846	0.386	infarkt
infatuated	0.729	0.764	0.417	zaljubljeni
infatuation	0.844	0.745	0.530	zaljubljenost
infeasible	0.245	0.472	0.236	neizvedivo
infect	0.102	0.777	0.424	zaraziti
infection	0.083	0.735	0.407	infekcija
infectious	0.142	0.760	0.422	zarazna
infer	0.449	0.490	0.453	zaključiti
inference	0.359	0.479	0.398	zaključak
inferential	0.426	0.451	0.455	inferencijalni
inferior	0.260	0.254	0.106	inferioran
inferiority	0.177	0.430	0.205	inferiornost
infernal	0.083	0.837	0.571	podzeman
inferno	0.051	0.857	0.463	pakao
infertile	0.274	0.458	0.255	neplodan
infertility	0.170	0.664	0.328	neplodnost
infestation	0.256	0.776	0.527	zaraza
infidel	0.177	0.740	0.404	nevjernik
infidelity	0.062	0.777	0.392	nevjera
infield	0.510	0.571	0.438	okućnica
infiltrate	0.408	0.745	0.587	infiltrat
infiltration	0.265	0.792	0.536	infiltracija
infinite	0.724	0.583	0.735	beskonačan
infinitely	0.688	0.643	0.829	beskrajno
infinitesimal	0.388	0.472	0.496	infinitezimalnog
infinity	0.516	0.459	0.805	beskonačnost
infirm	0.115	0.521	0.210	nemoćan
infirmary	0.500	0.438	0.517	ambulanta
infirmity	0.094	0.482	0.252	nemoć
inflammation	0.146	0.765	0.423	upala
inflammatory	0.177	0.642	0.404	upalni
inflatable	0.510	0.510	0.400	na napuhavanje
inflate	0.305	0.569	0.462	napuhati
inflated	0.303	0.431	0.617	napuhan
inflation	0.219	0.792	0.508	inflacija
inflection	0.385	0.635	0.377	infleksija
inflict	0.167	0.760	0.609	nanositi
infliction	0.302	0.722	0.571	nanošenje
inflorescence	0.459	0.344	0.412	cvat
influence	0.622	0.663	0.824	utjecaj
influential	0.899	0.688	0.944	utjecajan
influenza	0.271	0.718	0.321	gripa
influx	0.622	0.635	0.575	priljev
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	reklamni oglas
inform	0.723	0.582	0.679	obavijestiti
informal	0.480	0.398	0.441	neformalan
informant	0.604	0.612	0.719	doušnik
information	0.765	0.370	0.711	informacija
informative	0.812	0.419	0.741	informativan
informed	0.543	0.298	0.617	informiran
informer	0.521	0.578	0.580	doušnik
infraction	0.245	0.660	0.471	prekršaj
infrared	0.469	0.588	0.526	infracrveni
infrastructure	0.604	0.460	0.694	infrastruktura
infrequent	0.312	0.377	0.192	nerijetko
infrequently	0.204	0.250	0.327	rijetko
infringement	0.153	0.800	0.481	povreda
infuriate	0.102	0.934	0.596	razbjesniti
infuriated	0.073	0.930	0.510	razbjesnio
infuriates	0.135	0.913	0.627	razbjesni
infuriating	0.139	0.870	0.509	razjarujući
infuse	0.380	0.705	0.589	uliti
infused	0.385	0.473	0.546	ulio
infuser	0.469	0.433	0.536	infuzer
infusion	0.583	0.365	0.453	infuzija
ingenious	0.760	0.690	0.891	genijalan
ingenuity	0.708	0.590	0.868	genijalnost
ingest	0.510	0.559	0.473	gutati
ingestion	0.429	0.612	0.512	gutanje
ingot	0.688	0.444	0.615	poluga
ingrained	0.531	0.490	0.712	ukorijenjen
ingrate	0.235	0.606	0.327	nezahvalna
ingredient	0.792	0.373	0.451	sastojak
ingress	0.601	0.366	0.736	ulazak
inhabit	0.656	0.378	0.556	nastaniti
inhabitant	0.604	0.356	0.519	stanovnik
inhabited	0.667	0.361	0.510	naseljena
inhabiting	0.458	0.440	0.598	nastanjivanje
inhalation	0.510	0.613	0.464	udisanje
inhale	0.427	0.340	0.492	udisati
inhaler	0.408	0.500	0.349	inhalator
inherent	0.562	0.439	0.480	inherentan
inherit	0.745	0.546	0.694	naslijediti
inheritance	0.900	0.565	0.798	nasljedstvo
inhibit	0.167	0.479	0.447	inhibirati
inhibition	0.265	0.392	0.534	inhibicija
inhibitor	0.281	0.450	0.471	inhibitor
inhospitable	0.265	0.531	0.395	negostoljubiv
inhuman	0.107	0.660	0.492	neljudski
inhumane	0.104	0.587	0.402	neljudski
inhumanity	0.143	0.540	0.405	nečovječnost
inimaginable	0.542	0.636	0.534	nezamislivo
inimical	0.260	0.823	0.556	neprijateljski
inimitable	0.571	0.413	0.790	neponovljiv
iniquity	0.219	0.567	0.425	bezakonje
initial	0.583	0.314	0.539	početni
initiate	0.719	0.480	0.553	inicirati
initiated	0.760	0.490	0.650	pokrenut
initiation	0.698	0.529	0.527	inicijacija
initiative	0.833	0.615	0.768	inicijativa
inject	0.406	0.735	0.596	ubrizgati
injection	0.281	0.741	0.518	ubrizgavanje
injunction	0.281	0.422	0.519	zabrana
injure	0.177	0.710	0.364	ozlijediti
injured	0.083	0.680	0.302	ozlijeđen
injuring	0.073	0.790	0.245	ozljeđivanje
injurious	0.177	0.759	0.366	štetan
injury	0.049	0.769	0.287	ozljeda
injustice	0.082	0.755	0.444	nepravda
ink	0.471	0.408	0.235	tinta
inkling	0.448	0.551	0.570	naslućujući
inland	0.510	0.417	0.423	unutrašnjost zemlje
inlay	0.406	0.531	0.565	intarzija
inlet	0.646	0.378	0.466	ulaz
inmate	0.235	0.663	0.398	zatvorenik
inn	0.660	0.284	0.475	gostionica
innards	0.302	0.480	0.400	utroba
innate	0.490	0.400	0.521	urođeni
inner	0.551	0.216	0.443	unutarnji
innermost	0.583	0.500	0.510	najunutarnjije
innerpeace	0.714	0.318	0.551	unutarnji mir
inning	0.602	0.315	0.520	red
innings	0.573	0.487	0.443	izmjene
innkeeper	0.578	0.224	0.472	gostioničar
innocence	0.802	0.260	0.307	nevinost
innocent	0.729	0.206	0.340	nevin
innocently	0.776	0.250	0.302	nevino
innocuous	0.510	0.321	0.172	neškodljiv
innovate	0.898	0.872	0.750	inovirati
innovation	0.949	0.680	0.890	inovacija
innovative	0.880	0.640	0.830	inovativan
innuendo	0.467	0.670	0.463	insinuacija
innumerable	0.667	0.445	0.704	bezbrojan
inoculation	0.333	0.570	0.598	inokulacija
inoperable	0.184	0.422	0.304	neoperabilan
inoperative	0.138	0.425	0.273	neoperativan
inordinate	0.163	0.630	0.330	neumjeren
inorganic	0.385	0.345	0.282	neorganski
input	0.643	0.337	0.527	ulazni
inquest	0.458	0.569	0.721	istraga
inquire	0.583	0.519	0.363	raspitati se
inquirer	0.573	0.598	0.776	ispitivač
inquiring	0.479	0.510	0.500	raspitujući se
inquiry	0.541	0.420	0.536	upit
inquisitive	0.301	0.637	0.615	radoznao
inquisitor	0.385	0.873	0.642	inkvizitor
insane	0.062	0.670	0.265	lud
insanity	0.098	0.847	0.337	ludilo
insatiable	0.375	0.656	0.558	nezasitan
inscription	0.592	0.422	0.542	natpis
inscrutable	0.459	0.541	0.613	nedokučiv
insect	0.276	0.633	0.242	kukac
