English Word	Valence	Arousal	Dominance	Basque Word
octagon	0.602	0.349	0.462	oktogonoa
octave	0.438	0.380	0.482	zortzidun
octopus	0.713	0.378	0.411	olagarroa
ocular	0.418	0.370	0.400	begikoa
odd	0.265	0.337	0.302	bakoitia
oddball	0.316	0.360	0.357	arraroa
oddity	0.312	0.557	0.386	bitxikeria
odds	0.500	0.472	0.680	probabilitateak
ode	0.604	0.269	0.519	oda
odious	0.235	0.708	0.235	higuingarria
odometer	0.367	0.470	0.388	kilometroa
odor	0.337	0.363	0.404	usaina
odyssey	0.622	0.692	0.710	odisea
oedipal	0.312	0.575	0.509	edipikoa
oestrogen	0.521	0.608	0.561	estrogenoa
oeuvre	0.653	0.484	0.598	obra
offal	0.302	0.470	0.302	hondakinak
offence	0.312	0.798	0.446	iraina
offend	0.094	0.804	0.333	mindu
offended	0.188	0.690	0.337	minduta
offender	0.104	0.851	0.537	delitugilea
offense	0.230	0.765	0.510	iraina
offensive	0.135	0.882	0.600	iraingarria
offer	0.750	0.745	0.596	eskaintza
offered	0.582	0.490	0.544	eskaini
offering	0.688	0.462	0.585	eskaintza
offhand	0.388	0.500	0.368	eskuz kanpo
office	0.427	0.302	0.509	bulegoa
officer	0.542	0.430	0.877	ofiziala
offices	0.469	0.312	0.534	bulegoak
official	0.646	0.565	0.833	ofiziala
officiate	0.688	0.453	0.704	ofizio
offing	0.490	0.412	0.447	offing
offload	0.479	0.444	0.525	deskargatu
offset	0.719	0.394	0.704	desplazamendu
offshoot	0.517	0.330	0.361	ertz
offshore	0.417	0.484	0.441	itsasoz kanpo
offside	0.323	0.519	0.443	jokoz kanpo
offspring	0.656	0.435	0.600	kumeak
oft	0.500	0.308	0.474	maiz
oftentimes	0.571	0.500	0.482	askotan
ogre	0.135	0.698	0.510	ogroa
ohdear	0.458	0.519	0.442	oh maitea
ohgod	0.500	0.557	0.439	Oh Jainkoa
ohno	0.396	0.475	0.380	Oh ez
ohshit	0.230	0.594	0.343	ai!
oil	0.521	0.278	0.306	olioa
oils	0.459	0.229	0.391	olioak
oily	0.276	0.533	0.385	koipetsua
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	pomada
okra	0.469	0.400	0.362	okra
olden	0.284	0.213	0.425	zaharra
oldie	0.363	0.363	0.342	zaharra
oldies	0.438	0.300	0.412	zaharrak
olfactory	0.602	0.409	0.452	usaimen
oligarchy	0.327	0.567	0.741	oligarkia
olive	0.571	0.231	0.406	oliba
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	tortilla
omen	0.390	0.657	0.583	omen
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	gaiztoa
omission	0.367	0.333	0.275	hutsunea
omit	0.330	0.265	0.451	baztertu
omitted	0.260	0.235	0.211	kenduta
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	ahalguztidun
omnipotent	0.719	0.679	0.919	ahalguztidun
omnipresent	0.688	0.452	0.825	omnipresentea
omniscient	0.656	0.334	0.778	orojakina
onboard	0.612	0.451	0.491	itsasontzian
oncologist	0.260	0.654	0.640	onkologoa
oncology	0.204	0.424	0.500	onkologia
oncoming	0.594	0.625	0.773	datorrena
one	0.542	0.292	0.370	bat
oneday	0.667	0.245	0.374	egun bat
onedge	0.479	0.552	0.400	ertza bat
onelove	0.816	0.577	0.541	maitasun bat
oneness	0.745	0.272	0.720	batasuna
onerous	0.500	0.480	0.462	aspergarria
oneself	0.660	0.337	0.483	norbera
ongoing	0.674	0.484	0.556	abian
onion	0.378	0.367	0.382	tipula
onset	0.673	0.497	0.500	agerpena
onslaught	0.198	0.939	0.717	erasoa
onstage	0.719	0.673	0.583	eszenatokian
ontology	0.510	0.450	0.518	ontologia
onus	0.562	0.520	0.769	ardura
onward	0.667	0.538	0.741	aurrera
onyx	0.571	0.461	0.380	onix
oodles	0.490	0.374	0.446	piloak
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	lehortu
oozing	0.238	0.515	0.427	jariatzen
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	opakutasuna
opal	0.623	0.479	0.379	opala
opaque	0.344	0.265	0.342	opakua
ope	0.375	0.380	0.395	opa
open	0.620	0.480	0.569	irekita
opener	0.584	0.526	0.377	irekitzailea
opening	0.667	0.510	0.620	Irekitze
openly	0.603	0.388	0.553	argi eta garbi
openness	0.837	0.561	0.667	irekitasuna
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	funtzionatu
operatic	0.375	0.452	0.627	operatikoa
operation	0.475	0.611	0.755	operazioa
operational	0.562	0.570	0.679	operatiboa
operations	0.480	0.549	0.798	eragiketak
operative	0.541	0.635	0.718	eragile
operator	0.612	0.630	0.726	operadorea
ophthalmic	0.427	0.385	0.444	oftalmikoa
ophthalmologist	0.552	0.389	0.491	oftalmologoa
opiate	0.281	0.594	0.598	opiazeoa
opinion	0.594	0.482	0.638	iritzia
opinionated	0.156	0.800	0.491	iritzia
opium	0.276	0.490	0.333	opioa
opponent	0.080	0.741	0.716	aurkari
opportune	0.796	0.538	0.767	aproposa
opportunism	0.571	0.752	0.673	oportunismoa
opportunity	0.938	0.745	0.833	aukera
oppose	0.431	0.800	0.473	aurka egin
opposed	0.092	0.460	0.606	aurka
opposing	0.188	0.660	0.518	kontrajarri
opposite	0.235	0.545	0.408	kontrakoa
opposites	0.281	0.518	0.462	kontrakoak
opposition	0.135	0.729	0.592	oposizioa
oppress	0.186	0.654	0.555	zapaldu
oppressed	0.119	0.640	0.259	zapaldua
oppression	0.080	0.673	0.615	zapalkuntza
oppressive	0.276	0.590	0.667	zapaltzailea
oppressor	0.160	0.776	0.629	zapaltzailea
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	aukera
optic	0.663	0.384	0.594	optikoa
optical	0.677	0.311	0.542	optikoa
optics	0.562	0.286	0.580	optika
optimism	0.949	0.565	0.814	baikortasuna
optimist	0.875	0.539	0.787	baikorra
optimistic	0.979	0.580	0.821	baikor
optimum	0.892	0.469	0.808	optimoa
option	0.512	0.427	0.359	aukera
optional	0.755	0.350	0.440	aukerakoa
optionally	0.365	0.405	0.481	aukeran
options	0.622	0.327	0.473	aukerak
optometrist	0.446	0.455	0.668	optometrista
opulence	0.620	0.615	0.648	oparotasuna
opulent	0.562	0.660	0.660	oparoa
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	orakulua
oral	0.530	0.448	0.375	ahozkoa
orange	0.646	0.132	0.296	laranja
orange juice	0.719	0.343	0.445	laranja-zukua
orangutan	0.430	0.560	0.471	orangutana
oration	0.646	0.315	0.683	orazioa
orator	0.667	0.375	0.682	hizlaria
oratory	0.602	0.472	0.693	oratoria
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	orbita
orbital	0.458	0.451	0.559	orbitala
orbiting	0.520	0.643	0.554	orbitan
orbs	0.469	0.355	0.482	orbeak
orc	0.240	0.510	0.388	orkoa
orchard	0.760	0.269	0.333	baratza
orchestra	0.708	0.500	0.664	orkestra
orchid	0.840	0.345	0.382	orkidea
ordained	0.735	0.409	0.731	ordenatu
ordeal	0.344	0.539	0.529	kalbarioa
order	0.780	0.295	0.814	ordena
orderly	0.844	0.240	0.661	ordenatua
ordinance	0.615	0.452	0.776	ordenantza
ordinary	0.375	0.312	0.286	arrunta
ordination	0.688	0.490	0.765	ordenazioa
ordnance	0.354	0.825	0.679	artisautza
ore	0.500	0.333	0.356	mea
oregano	0.596	0.327	0.250	oreganoa
organ	0.510	0.469	0.538	organoa
organic	0.719	0.343	0.535	organikoa
organism	0.457	0.559	0.800	organismo
organist	0.740	0.469	0.669	organista
organization	0.810	0.535	0.851	antolakuntza
organize	0.802	0.655	0.781	antolatu
organized	0.816	0.337	0.746	antolatuta
organizer	0.604	0.577	0.846	antolatzaile
orgasm	0.844	0.863	0.676	orgasmoa
orgies	0.388	0.953	0.433	orgiak
orgy	0.346	0.962	0.536	orgia
orient	0.667	0.422	0.667	orientatu
oriental	0.592	0.409	0.598	ekialdekoa
orientation	0.667	0.454	0.686	orientazio
orifice	0.448	0.355	0.443	orifizioa
origami	0.684	0.276	0.294	papiroflexia
origin	0.729	0.435	0.591	jatorria
original	0.765	0.480	0.746	jatorrizkoa
originality	0.898	0.500	0.824	originaltasuna
originate	0.702	0.500	0.866	sortu
origination	0.760	0.443	0.604	sorrera
originator	0.592	0.510	0.868	sortzaile
ornament	0.561	0.373	0.441	apaingarri
ornamental	0.663	0.392	0.460	apaingarri
ornamentation	0.663	0.471	0.472	apainketa
ornamented	0.677	0.350	0.490	apainduta
ornate	0.812	0.356	0.500	apainduta
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	umezurtz
orphanage	0.184	0.439	0.425	umezurztegia
orphaned	0.062	0.430	0.228	umezurtz
orthodontist	0.469	0.615	0.564	ortodontista
orthodox	0.388	0.471	0.647	ortodoxoa
orthodoxy	0.271	0.388	0.612	ortodoxia
orthogonal	0.500	0.314	0.540	ortogonala
orthopedic	0.406	0.346	0.473	ortopedikoa
oscillate	0.449	0.580	0.397	oszilatu
oscillating	0.469	0.548	0.402	oszilatzen
oscillation	0.562	0.433	0.431	oszilazioa
oscillatory	0.375	0.520	0.480	oszilatzailea
ostensible	0.542	0.549	0.585	itxurazkoa
ostensibly	0.473	0.529	0.509	itxuraz
ostentatious	0.479	0.794	0.648	ikaragarria
ostracized	0.115	0.690	0.377	baztertuta
ostrich	0.592	0.382	0.241	ostruka
other	0.472	0.230	0.259	beste
otter	0.439	0.216	0.339	igaraba
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	otomana
ought	0.438	0.511	0.434	beharko luke
ounce	0.531	0.255	0.288	ontza
oust	0.296	0.716	0.444	bota
outage	0.306	0.684	0.438	etenaldia
outback	0.500	0.324	0.430	kanpoaldea
outbid	0.594	0.622	0.540	eskaintza gainditzen du
outboard	0.448	0.491	0.456	kanpoaldea
outbreak	0.260	0.632	0.472	agerraldi
outburst	0.209	0.802	0.528	leherketa
outcast	0.153	0.449	0.353	baztertua
outcome	0.615	0.472	0.685	emaitza
outcry	0.271	0.773	0.718	oihu
outdated	0.167	0.236	0.226	zaharkitua
outdo	0.771	0.750	0.873	gainditu
outdoor	0.814	0.256	0.447	kanpokoa
outdoors	0.781	0.444	0.453	kanpoan
outer	0.552	0.471	0.456	kanpokoa
outfit	0.760	0.490	0.566	jantzia
outgoing	0.650	0.472	0.538	irteerakoa
outgrow	0.510	0.529	0.722	hazi
outgrowth	0.771	0.620	0.688	agerraldia
outhouse	0.281	0.519	0.255	aterpea
outing	0.771	0.672	0.634	irteera
outlandish	0.448	0.737	0.657	xelebrea
outlast	0.620	0.786	0.685	iraun
outlaw	0.255	0.662	0.482	legez kanpo
outlet	0.610	0.396	0.245	irteera
outline	0.542	0.365	0.509	eskema
outlines	0.656	0.402	0.651	eskemak
outlive	0.565	0.769	0.724	bizirik
outlook	0.830	0.525	0.625	ikuspegia
outlying	0.460	0.562	0.503	kanpoaldea
outnumber	0.347	0.615	0.577	kopurua baino handiagoa
outpatient	0.260	0.400	0.395	anbulatorioa
outpost	0.635	0.571	0.675	postua
outpouring	0.562	0.685	0.552	isurketa
output	0.604	0.389	0.434	irteera
outrage	0.060	0.689	0.542	haserrea
outraged	0.156	0.696	0.538	haserretu
outrageous	0.153	0.945	0.713	ikaragarria
outrank	0.653	0.643	0.817	gainditzen
outreach	0.540	0.462	0.672	dibulgazioa
outright	0.767	0.396	0.755	erabatekoa
outrun	0.531	0.833	0.573	ihes egin
outset	0.750	0.500	0.582	hasiera
outsider	0.398	0.549	0.447	kanpotarra
outskirts	0.474	0.519	0.312	kanpoaldea
outsmart	0.673	0.657	0.864	adimenduna
outspoken	0.582	0.413	0.667	esanguratsua
outstanding	0.898	0.760	0.896	bikaina
outstretched	0.448	0.481	0.519	luzatuta
outward	0.449	0.439	0.365	kanpora
outwards	0.440	0.472	0.400	kanpora
outweigh	0.486	0.600	0.682	gainditzea
outwit	0.302	0.755	0.356	aspertu
oval	0.417	0.280	0.330	obalatua
ovary	0.469	0.399	0.280	obulutegia
ovate	0.385	0.286	0.368	obalatua
ovation	0.719	0.758	0.750	txalo zaparrada
oven	0.583	0.425	0.606	labea
overactive	0.667	0.885	0.592	gehiegizko aktiboa
overall	0.583	0.370	0.670	orokorrean
overalls	0.500	0.392	0.373	petoak
overbearing	0.323	0.833	0.861	soberan
overburden	0.115	0.755	0.546	gainkarga
overcast	0.417	0.250	0.475	estalita
overcharged	0.276	0.780	0.569	gainkobratuta
overcoat	0.594	0.265	0.430	berokia
overcome	0.719	0.689	0.848	gainditu
overcoming	0.842	0.765	0.855	gainditzea
overcrowded	0.292	0.520	0.491	gainezka
overdo	0.156	0.864	0.602	sobera
overdose	0.110	0.820	0.468	gaindosi
overdrive	0.303	0.715	0.732	overdrive
overdue	0.125	0.427	0.259	atzeratuta
overestimate	0.367	0.796	0.444	gainbaloratu
overestimated	0.344	0.646	0.527	gainbaloratu
overflow	0.398	0.792	0.500	gainezka
overflowing	0.439	0.796	0.635	gainezka
overgrown	0.333	0.500	0.369	gainezka
overgrowth	0.417	0.790	0.673	gehiegizko hazkuntza
overhanging	0.698	0.755	0.812	gainezka
overhaul	0.500	0.651	0.491	berritzea
overhead	0.344	0.700	0.538	gainetik
overhear	0.650	0.365	0.580	entzun
overheated	0.250	0.598	0.547	gehiegi berotuta
overjoyed	0.908	0.708	0.755	poz-pozik
overkill	0.379	0.861	0.678	gehiegikeria
overlaid	0.620	0.610	0.676	gainjarri
overlap	0.594	0.615	0.627	gainjarri
overlapping	0.595	0.578	0.684	gainjarriz
overlay	0.564	0.596	0.749	gainjarri
overload	0.381	0.690	0.652	gainkarga
overlook	0.292	0.418	0.415	ahaztu
overlord	0.750	0.755	0.932	nagusi
overlying	0.500	0.519	0.691	gainezka
overpaid	0.429	0.670	0.585	gehiegi ordainduta
overpass	0.562	0.561	0.565	pasabidea
overplayed	0.224	0.798	0.586	gehiegi jokatuta
overpower	0.448	0.859	0.783	menderatu
overpowering	0.392	0.779	0.589	gailendu
overpriced	0.271	0.556	0.472	garestiegi
overprotective	0.448	0.673	0.741	gainbabeslea
overrated	0.312	0.630	0.482	gainbaloratua
overreact	0.306	0.912	0.471	gehiegi erreakzionatu
override	0.316	0.491	0.529	gainidatzi
overriding	0.240	0.490	0.384	gailentzen
overrule	0.224	0.412	0.429	baztertu
overrun	0.271	0.764	0.598	gainditzea
oversee	0.541	0.649	0.778	gainbegiratu
overseer	0.552	0.520	0.873	begirale
overshadow	0.333	0.549	0.654	itzala
oversight	0.385	0.618	0.723	gainbegiratzea
oversized	0.552	0.540	0.679	neurri handikoa
overslept	0.408	0.315	0.300	lo egin zuen
overstate	0.281	0.779	0.635	gehiegizkoa
overstock	0.344	0.592	0.589	gehiegizko stocka
overt	0.708	0.326	0.607	agerikoa
overtake	0.573	0.620	0.718	aurreratu
overtaken	0.594	0.552	0.702	gaindituta
overthemoon	0.643	0.531	0.481	Ilargiaren gainean
overthinker	0.430	0.606	0.552	gehiegizko pentsatzailea
overthinking	0.408	0.761	0.525	gehiegi pentsatzen
overthrow	0.260	0.868	0.620	irauli
overtime	0.447	0.504	0.529	aparteko orduak
overtired	0.210	0.357	0.273	gehiegi nekatuta
overture	0.490	0.402	0.491	obertura
overturn	0.240	0.765	0.396	irauli
overview	0.615	0.380	0.539	ikuspegi orokorra
overweight	0.052	0.500	0.389	gehiegizko pisua
overwhelm	0.250	0.823	0.462	larritu
overwhelmed	0.341	0.680	0.348	larrituta
overwhelming	0.327	0.830	0.640	ikaragarria
overworked	0.133	0.670	0.387	lanez gainezka
overwrought	0.156	0.900	0.571	gainezkatuta
overzealous	0.427	0.804	0.703	gehiegizko gogoa
owe	0.500	0.429	0.386	zor
owing	0.396	0.307	0.381	zor
owl	0.520	0.270	0.321	hontza
owner	0.776	0.449	0.920	jabea
ownership	0.628	0.445	0.741	jabetza
ox	0.417	0.396	0.412	idia
oxidation	0.453	0.415	0.211	oxidazioa
oxide	0.354	0.377	0.298	oxidoa
oxygen	0.908	0.310	0.575	oxigenoa
oxymoron	0.427	0.481	0.398	oximorona
oyster	0.500	0.311	0.327	ostra
ozone	0.560	0.345	0.518	ozonoa
pace	0.510	0.380	0.390	erritmoa
pacemaker	0.448	0.569	0.582	taupada-markagailua
pacific	0.627	0.118	0.580	pazifikoa
pacified	0.802	0.194	0.414	baketu
pacifier	0.615	0.342	0.356	txupetea
pacifist	0.663	0.153	0.557	bakezalea
pacify	0.812	0.283	0.629	baketu
pacing	0.583	0.551	0.491	pausoa
pack	0.510	0.347	0.475	paketea
package	0.571	0.433	0.443	paketea
packaging	0.604	0.393	0.549	bilgarri
packer	0.520	0.480	0.537	paketatzaile
packet	0.582	0.385	0.407	paketea
pact	0.442	0.444	0.593	ituna
pad	0.684	0.279	0.330	pad
padded	0.606	0.212	0.371	betegarria
padding	0.561	0.398	0.423	betegarria
paddle	0.561	0.375	0.393	arrauna
paddle boat	0.663	0.373	0.415	padel-ontzia
paddock	0.480	0.429	0.481	paddock
paddy	0.653	0.330	0.330	arroza
padlock	0.459	0.284	0.457	giltzarrapoa
padre	0.684	0.407	0.647	aita
paean	0.552	0.547	0.471	pean
pagan	0.292	0.578	0.542	paganoa
paganism	0.240	0.640	0.411	paganismoa
page	0.677	0.224	0.278	orrialdea
pageant	0.719	0.667	0.651	konpartsa
pager	0.510	0.526	0.554	orrialdea
pagination	0.459	0.333	0.400	orrialdea
paging	0.542	0.398	0.423	orrialdea
pagoda	0.571	0.259	0.435	pagoda
pail	0.448	0.177	0.188	kubeta
pain	0.012	0.765	0.395	mina
pained	0.112	0.500	0.250	minduta
painful	0.050	0.742	0.330	mingarria
painfully	0.156	0.720	0.407	minez
painkiller	0.487	0.312	0.481	mingarri
painless	0.785	0.173	0.491	minik gabe
pains	0.106	0.673	0.362	minak
painstaking	0.396	0.335	0.386	neketsua
paint	0.667	0.343	0.413	margotu
paintball	0.615	0.745	0.537	paintball
paintbrush	0.714	0.226	0.353	pintzela
painted	0.667	0.333	0.424	margotu
painter	0.677	0.366	0.487	margolaria
painting	0.792	0.324	0.333	pintura
pair	0.552	0.317	0.304	bikotea
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	pijama
pajamas	0.719	0.170	0.264	pijama
pal	0.812	0.426	0.596	lagun
palace	0.878	0.510	0.804	jauregia
palatable	0.823	0.500	0.594	gustagarria
palate	0.625	0.350	0.358	ahosabaia
pale	0.281	0.259	0.245	zurbil
paleontology	0.438	0.308	0.617	paleontologia
palette	0.590	0.333	0.205	paleta
pall	0.277	0.387	0.394	pall
palladium	0.470	0.380	0.393	paladioa
pallet	0.604	0.241	0.349	paleta
palliative	0.548	0.394	0.518	aringarri
palm	0.531	0.194	0.340	palmondoa
palmer	0.480	0.269	0.413	palmer
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	nabaria
palpitations	0.417	0.702	0.528	palpitazioak
palsy	0.083	0.446	0.221	paralisia
paltry	0.333	0.491	0.320	eskasa
pamper	0.792	0.321	0.348	mimatu
pamphlet	0.530	0.250	0.327	liburuxka
pan	0.734	0.182	0.364	zartagina
panacea	0.420	0.427	0.613	panazea
panache	0.510	0.363	0.306	patxada
pancake	0.802	0.274	0.364	krepe
pancakes	0.844	0.373	0.402	krepeak
pancreas	0.469	0.302	0.366	pankrea
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandemia
pandemonium	0.229	0.885	0.500	pandemonioa
pane	0.385	0.250	0.444	panela
panel	0.469	0.321	0.425	panela
pang	0.146	0.595	0.455	pang
panhandle	0.441	0.431	0.414	panhandi
panic	0.062	0.938	0.400	ikara
panicattack	0.255	0.724	0.386	izu-erasoa
panicked	0.100	0.949	0.260	izututa
panicking	0.094	0.882	0.333	izua
panicky	0.284	0.962	0.393	izua
panier	0.500	0.392	0.380	panier
panorama	0.719	0.402	0.625	panorama
panoramic	0.542	0.462	0.684	panoramikoa
pansy	0.653	0.283	0.589	pentsakera
pant	0.448	0.463	0.409	praka
pantheon	0.144	0.410	0.610	panteoia
panther	0.303	0.594	0.682	pantera
panties	0.594	0.529	0.312	kuleroak
pantomime	0.552	0.481	0.385	pantomima
pantry	0.622	0.294	0.312	despentsa
pants	0.673	0.320	0.333	prakak
panty	0.451	0.557	0.303	kuleroa
pantyhose	0.570	0.539	0.250	galtzerdiak
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	aita
papacy	0.481	0.263	0.553	aita santua
papal	0.493	0.304	0.559	aita santua
papaya	0.630	0.306	0.300	papaia
paper	0.520	0.123	0.293	papera
paperback	0.633	0.269	0.314	paperezkoa
paperboy	0.521	0.490	0.471	paperzalea
paperweight	0.421	0.278	0.433	paper pisua
paperwork	0.448	0.355	0.422	tramiteak
paprika	0.417	0.250	0.264	piperrautsa
papyrus	0.459	0.240	0.324	papiroa
par	0.615	0.372	0.429	par
parable	0.479	0.357	0.525	parabola
parabola	0.542	0.413	0.620	parabola
parabolic	0.459	0.509	0.500	parabolikoa
parachute	0.562	0.787	0.564	jausgailu
parade	0.792	0.685	0.509	kalejira
paradigm	0.573	0.429	0.779	paradigma
paradise	0.875	0.540	0.796	paradisua
paradox	0.417	0.442	0.482	paradoxa
paradoxical	0.406	0.547	0.433	paradoxikoa
paraffin	0.426	0.291	0.343	parafina
paragon	0.490	0.431	0.473	paragoia
paragraph	0.510	0.164	0.269	paragrafoa
parakeet	0.576	0.387	0.227	perika
paralegal	0.479	0.470	0.519	paralegal
parallax	0.437	0.394	0.471	paralajea
parallel	0.568	0.284	0.465	paraleloa
parallelism	0.549	0.363	0.527	paralelismoa
paralysis	0.156	0.500	0.305	paralisia
paralyze	0.188	0.367	0.471	paralizatu
paramedic	0.673	0.464	0.636	paramedikoa
paramedics	0.479	0.594	0.712	paramedikuak
paramilitary	0.154	0.804	0.727	paramilitarra
paramount	0.771	0.615	0.902	nagusiena
paranoia	0.146	0.841	0.407	paranoia
paranoid	0.122	0.918	0.364	paranoikoa
paranormal	0.167	0.814	0.560	paranormal
parapet	0.450	0.356	0.279	parapetoa
paraphernalia	0.443	0.726	0.509	parafernalia
paraphrase	0.500	0.375	0.444	parafraseatu
paraplegic	0.188	0.441	0.321	paraplegikoa
parasite	0.092	0.442	0.324	bizkarroia
parasitic	0.037	0.600	0.364	parasitoa
parasol	0.604	0.255	0.304	eguzkitakoa
parcel	0.660	0.324	0.411	partzela
parcels	0.551	0.445	0.418	fardelak
parched	0.250	0.235	0.255	lehortu
parchment	0.615	0.228	0.455	pergamino
pardon	0.552	0.413	0.542	barkatu
pare	0.500	0.356	0.309	pare
parenchyma	0.500	0.399	0.595	parenkima
parent	0.812	0.357	0.860	gurasoa
parentage	0.903	0.382	0.595	gurasotasuna
parental	0.760	0.430	0.627	gurasoak
parenthesis	0.510	0.255	0.380	parentesia
parenthetical	0.490	0.327	0.391	parentesi
parenthood	0.750	0.630	0.782	gurasotasuna
parenting	0.812	0.520	0.676	gurasotasuna
pariah	0.397	0.478	0.293	paria
parietal	0.481	0.333	0.491	parietalak
paring	0.429	0.441	0.324	paring
parish	0.698	0.354	0.582	parrokia
parity	0.582	0.406	0.407	parekotasuna
park	0.816	0.343	0.414	parkea
parka	0.469	0.481	0.395	parka
parking	0.777	0.469	0.510	aparkalekua
parkinsons	0.104	0.570	0.373	parkinsonak
parlance	0.510	0.350	0.462	hizkera
parlay	0.469	0.611	0.483	parlay
parliament	0.573	0.540	0.858	parlamentua
parliamentary	0.490	0.554	0.755	parlamentarioa
parlor	0.500	0.327	0.366	saloi
parmesan	0.698	0.321	0.382	parmesanoa
parody	0.561	0.651	0.375	parodia
parole	0.388	0.620	0.526	baldintzapeko askatasuna
parquet	0.541	0.240	0.422	parketa
parrot	0.588	0.333	0.292	loroa
parry	0.510	0.404	0.436	parekatu
parse	0.469	0.456	0.667	analizatu
parsimonious	0.417	0.312	0.446	parsimoniazkoa
parsimony	0.449	0.280	0.403	parsimonia
parsley	0.458	0.170	0.291	perrexila
parson	0.583	0.250	0.615	parrok
part	0.663	0.278	0.360	zatia
partake	0.755	0.656	0.629	parte hartu
partial	0.429	0.324	0.348	partziala
partiality	0.375	0.380	0.490	partzialtasuna
partially	0.418	0.368	0.396	partzialki
participant	0.712	0.598	0.613	parte-hartzailea
participate	0.755	0.580	0.684	parte hartu
participation	0.781	0.700	0.702	parte hartzea
particle	0.521	0.265	0.438	partikula
particular	0.562	0.402	0.552	bereziki
particularity	0.670	0.434	0.586	berezitasuna
particulars	0.604	0.348	0.525	zehaztasunak
parting	0.260	0.542	0.353	banatzea
partisan	0.615	0.549	0.669	alderdikoia
partisanship	0.438	0.566	0.551	alderdikeria
partition	0.615	0.469	0.567	zatiketa
partly	0.415	0.410	0.396	neurri batean
partner	0.673	0.302	0.586	bikotekidea
partnership	0.786	0.387	0.545	lankidetza
partridge	0.583	0.415	0.250	eperra
parts	0.459	0.327	0.392	zatiak
party	0.948	0.840	0.547	festa
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	pasa
passable	0.688	0.337	0.633	pasagarria
passage	0.429	0.314	0.370	pasabidea
passageway	0.490	0.389	0.400	pasabide
passe	0.531	0.357	0.426	pasa
passenger	0.717	0.413	0.481	bidaiari
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	igarotzen
passion	0.854	0.865	0.728	pasioa
passionate	0.990	0.827	0.731	sutsu
passive	0.420	0.116	0.241	pasiboa
passivity	0.241	0.115	0.246	pasibotasuna
passkey	0.646	0.500	0.791	pasahitza
passport	0.653	0.457	0.682	pasaportea
password	0.390	0.356	0.559	pasahitza
past	0.490	0.422	0.311	iragana
pasta	0.615	0.306	0.375	pasta
paste	0.500	0.556	0.500	itsatsi
pastel	0.719	0.357	0.367	pastela
pastime	0.677	0.353	0.443	denborapasa
pastor	0.698	0.236	0.746	artzaina
pastrami	0.542	0.415	0.348	pastramia
pastry	0.870	0.407	0.419	gozogintza
pasture	0.688	0.145	0.170	larre
pasty	0.479	0.363	0.375	pastosoa
pat	0.418	0.377	0.340	pat
patch	0.439	0.288	0.283	adabakia
patchwork	0.500	0.260	0.325	patchwork
pate	0.406	0.260	0.260	pate
patella	0.430	0.260	0.342	patela
patent	0.724	0.391	0.609	patentea
patented	0.571	0.422	0.685	patentatua
paternal	0.776	0.353	0.755	aitarena
paternity	0.704	0.590	0.806	aitatasuna
path	0.590	0.245	0.421	bidea
pathetic	0.088	0.464	0.139	patetikoa
pathological	0.220	0.602	0.580	patologikoa
pathologist	0.354	0.552	0.585	patologoa
pathology	0.271	0.560	0.558	patologia
pathos	0.350	0.449	0.462	patetismoa
pathway	0.646	0.410	0.519	bidea
patience	0.771	0.125	0.387	pazientzia
patient	0.583	0.193	0.340	pazientea
patio	0.562	0.245	0.402	patioa
patriarch	0.592	0.448	0.898	patriarka
patriarchal	0.531	0.500	0.857	patriarkala
patrimony	0.719	0.406	0.740	ondarea
patriot	0.771	0.635	0.886	abertzalea
patriotic	0.875	0.509	0.933	abertzalea
patriotism	0.708	0.635	0.848	abertzaletasuna
patrol	0.427	0.664	0.736	patruila
patrolman	0.469	0.731	0.884	patroilari
patron	0.583	0.451	0.870	patroia
patronage	0.583	0.490	0.583	mezenasgoa
patronising	0.439	0.455	0.582	babesle
patronize	0.430	0.451	0.591	babestu
patronizing	0.542	0.365	0.529	babesle
patter	0.312	0.635	0.451	astindu
pattern	0.479	0.422	0.664	eredua
paucity	0.153	0.453	0.175	eskasia
pauper	0.260	0.347	0.151	behartsua
pause	0.429	0.188	0.264	pausa
pave	0.594	0.490	0.509	zolatu
pavement	0.460	0.353	0.475	espaloia
