English Word	Valence	Arousal	Dominance	Indonesian Word
grandson	0.778	0.333	0.500	cucu
grandstand	0.500	0.679	0.708	tribun
grange	0.531	0.340	0.391	gran
granite	0.572	0.343	0.483	granit
granny	0.796	0.240	0.452	nenek
granola	0.625	0.240	0.281	granola
grant	0.719	0.380	0.667	menganugerahkan
granted	0.882	0.348	0.779	diberikan
grantee	0.865	0.477	0.708	penerima beasiswa
grantor	0.542	0.500	0.717	pemberi
granular	0.478	0.337	0.443	granular
granule	0.406	0.373	0.316	butir
grape	0.729	0.122	0.295	anggur
grape juice	0.696	0.304	0.267	jus anggur
grapefruit	0.521	0.281	0.282	jeruk bali
grapes	0.784	0.240	0.236	anggur
grapevine	0.541	0.343	0.232	selentingan
graph	0.510	0.286	0.621	grafik
graphic	0.602	0.494	0.491	grafis
graphics	0.542	0.431	0.509	grafis
graphite	0.479	0.377	0.336	grafit
grapple	0.490	0.577	0.482	bergulat
grappling	0.448	0.676	0.516	bergulat
grasp	0.560	0.623	0.570	mencengkeram
grasping	0.327	0.561	0.561	tamak
grass	0.604	0.164	0.333	rumput
grasshopper	0.500	0.462	0.287	belalang
grassy	0.647	0.323	0.371	rumput
grate	0.333	0.250	0.419	memarut
grated	0.357	0.462	0.361	parut
grateful	0.958	0.353	0.560	bersyukur
gratification	0.867	0.643	0.755	kepuasan
gratified	0.781	0.519	0.702	bersyukur
gratify	0.837	0.539	0.794	memuaskan
gratifying	0.857	0.606	0.776	memuaskan
grating	0.512	0.337	0.282	kisi
gratis	0.796	0.510	0.417	gratis
gratitude	0.885	0.441	0.610	rasa syukur
gratuitous	0.735	0.650	0.452	serampangan
gratuity	0.865	0.500	0.462	persen
grave	0.153	0.385	0.386	kuburan
gravel	0.390	0.370	0.332	kerikil
graver	0.102	0.622	0.453	pengukir
graveyard	0.041	0.441	0.272	makam
gravitate	0.479	0.472	0.476	condong
gravitation	0.698	0.592	0.600	gravitasi
gravitational	0.528	0.510	0.691	gravitasi
gravity	0.510	0.635	0.538	gravitasi
gravy	0.608	0.450	0.339	saus
gray	0.335	0.153	0.189	Abu-abu
graze	0.560	0.255	0.371	tergores
grease	0.255	0.404	0.306	gemuk
greased	0.250	0.461	0.368	berminyak
greaser	0.408	0.518	0.462	lebih gemuk
greasy	0.399	0.442	0.294	berminyak
great	0.958	0.665	0.810	Bagus
great anticipation	0.786	0.735	0.655	antisipasi yang luar biasa
great aunt	0.896	0.419	0.589	bibi yang hebat
great disgust	0.042	0.836	0.389	sangat jijik
great grandfather	0.729	0.241	0.569	kakek yang hebat
great grandma	0.771	0.221	0.491	nenek buyut
great grandmother	0.802	0.236	0.549	nenek moyang
great grandpa	0.857	0.280	0.602	kakek Hebat
great surprise	0.939	0.941	0.688	kejutan besar
great trust	0.939	0.528	0.853	kepercayaan besar
great uncle	0.729	0.398	0.621	paman yang hebat
greatday	0.823	0.571	0.574	hari yang indah
greater	0.755	0.519	0.796	lebih besar
greatest	0.847	0.627	0.922	terbesar
greatfriends	0.908	0.593	0.570	teman-teman yang hebat
greatful	0.923	0.571	0.676	bersyukur
greatly	0.750	0.708	0.877	sangat
greatly negative	0.051	0.640	0.282	sangat negatif
greatly positive	0.967	0.538	0.877	sangat positif
greatness	0.990	0.750	0.943	kebesaran
greatnight	0.918	0.349	0.574	malam yang hebat
greed	0.173	0.780	0.528	ketamakan
greedy	0.125	0.660	0.476	tamak
green	0.630	0.306	0.333	hijau
green bean	0.469	0.280	0.304	kacang hijau
green pepper	0.500	0.431	0.425	paprika hijau
green snake	0.229	0.634	0.614	ular hijau
greenhouse	0.719	0.438	0.384	rumah kaca
greenish	0.574	0.290	0.429	kehijauan
greenwood	0.531	0.382	0.491	kayu hijau
greet	0.885	0.539	0.618	menyapa
greeted	0.781	0.317	0.454	salam
greeting	0.854	0.556	0.510	salam
gregarious	0.551	0.471	0.529	suka berteman
grenade	0.281	0.777	0.694	granat
grey	0.347	0.140	0.295	abu-abu
greyhound	0.520	0.490	0.440	anjing greyhound
grid	0.562	0.426	0.443	kisi-kisi
gridiron	0.667	0.491	0.425	lapangan hijau
grief	0.070	0.640	0.474	duka
grievance	0.092	0.635	0.364	keluhan
grieve	0.122	0.500	0.333	bersedih
grieved	0.104	0.460	0.191	berduka
grieving	0.093	0.673	0.403	berduka
grievous	0.146	0.640	0.179	menyedihkan
griffin	0.418	0.337	0.360	grifon
grill	0.755	0.491	0.546	memanggang
grille	0.337	0.327	0.246	kisi
grilled	0.702	0.500	0.373	dipanggang
grim	0.310	0.483	0.298	suram
grime	0.198	0.500	0.225	kotoran
grimy	0.112	0.597	0.283	kotor
grin	0.885	0.570	0.491	menyeringai
grind	0.480	0.276	0.397	menggiling
grinder	0.459	0.615	0.561	penggiling
grinding	0.415	0.450	0.461	menggiling
grindstone	0.541	0.453	0.526	gerinda
gringo	0.540	0.452	0.510	gringo
grip	0.520	0.549	0.602	pegangan
gripe	0.184	0.526	0.241	mengeluh
grisly	0.083	0.863	0.426	mengerikan
grist	0.317	0.391	0.363	menggiling
grit	0.449	0.296	0.345	menggertakkan
grits	0.458	0.333	0.346	bubur jagung
gritty	0.417	0.373	0.375	seperti pasir
grizzly	0.398	0.679	0.657	grizzly
groan	0.396	0.750	0.351	mengerang
grocer	0.625	0.250	0.382	penjual bahan makanan
groceries	0.740	0.363	0.417	bahan makanan
grocery	0.687	0.540	0.446	kebutuhan sehari-hari
groggy	0.235	0.265	0.194	pening
groin	0.296	0.452	0.364	kunci paha
groom	0.698	0.500	0.605	pengantin pria
groove	0.552	0.448	0.361	alur
groovy	0.615	0.538	0.464	asyik
grope	0.420	0.559	0.358	merogoh
gross	0.115	0.575	0.181	bruto
grotesque	0.135	0.788	0.500	fantastis
grotto	0.510	0.394	0.336	gua
grouch	0.342	0.593	0.411	penggerutu
grouchy	0.143	0.708	0.407	kesal
ground	0.398	0.343	0.602	tanah
grounded	0.531	0.601	0.509	dihukum
groundhog	0.385	0.324	0.377	babi tanah
grounding	0.521	0.452	0.591	landasan
groundless	0.333	0.535	0.387	tanpa dasar
grounds	0.667	0.500	0.598	alasan
groundwork	0.500	0.375	0.593	dasar
group	0.573	0.423	0.480	kelompok
groupie	0.521	0.583	0.393	kelompok
grouping	0.745	0.580	0.698	pengelompokan
grouse	0.448	0.401	0.412	menggerutu
grout	0.405	0.356	0.366	nat
grove	0.604	0.245	0.417	belukar
grovel	0.360	0.500	0.414	merendahkan diri
grow	0.914	0.615	0.755	tumbuh
growl	0.194	0.764	0.482	menggeram
growling	0.119	0.887	0.475	menggeram
growls	0.125	0.675	0.442	menggeram
grownup	0.735	0.400	0.683	dewasa
growth	0.917	0.588	0.776	pertumbuhan
growthefuckup	0.229	0.692	0.426	sial
grr	0.229	0.538	0.333	grr
grrr	0.271	0.755	0.327	grrr
grrrrr	0.281	0.633	0.444	grrrrr
grub	0.602	0.406	0.355	grub
grubby	0.156	0.583	0.176	kotor
grudge	0.115	0.647	0.414	sakit hati
grudging	0.092	0.636	0.473	dendam
grudgingly	0.156	0.610	0.292	dengan enggan
gruel	0.382	0.304	0.297	bubur
grueling	0.180	0.763	0.704	yg sangat melelahkan
gruesome	0.094	0.837	0.474	mengerikan
gruff	0.323	0.611	0.472	kasar
grumble	0.101	0.750	0.333	ngomel
grump	0.260	0.469	0.425	pemarah
grumpy	0.198	0.808	0.559	pemarah
grunt	0.286	0.798	0.392	mendengus
grunting	0.198	0.827	0.481	dengkur
guacamole	0.684	0.317	0.282	guacamole
guano	0.296	0.343	0.191	pupuk dr tahi burung
guarantee	0.949	0.337	0.805	menjamin
guaranty	0.646	0.337	0.818	jaminan
guard	0.592	0.510	0.725	penjaga
guarded	0.758	0.686	0.500	dijaga
guardhouse	0.510	0.435	0.770	pos jaga
guardian	0.656	0.686	0.789	wali
guardianship	0.592	0.370	0.681	perwalian
guards	0.448	0.663	0.720	penjaga
gubernatorial	0.552	0.604	0.897	gubernur
guerilla	0.146	0.845	0.727	gerilya
guerrilla	0.219	0.917	0.792	gerilya
guess	0.640	0.463	0.442	Tebak
guesser	0.542	0.670	0.535	menebak
guesswork	0.417	0.451	0.405	tebak-tebakan
guest	0.719	0.490	0.558	tamu
guesthouse	0.729	0.337	0.406	rumah tamu
guidance	0.729	0.471	0.718	panduan
guide	0.688	0.315	0.620	memandu
guidebook	0.677	0.260	0.427	buku panduan
guidelines	0.459	0.500	0.664	pedoman
guiding	0.667	0.520	0.714	membimbing
guild	0.580	0.459	0.729	serikat
guile	0.410	0.417	0.467	tipu muslihat
guillotine	0.163	0.817	0.585	guillotine
guilt	0.208	0.567	0.206	kesalahan
guilty	0.135	0.770	0.352	bersalah
guinea	0.521	0.440	0.396	guinea
guise	0.531	0.547	0.324	samaran
guitar	0.844	0.542	0.469	gitar
guitarist	0.827	0.740	0.549	gitaris
gules	0.469	0.443	0.340	warna merah
gulf	0.520	0.365	0.398	Teluk
gull	0.594	0.317	0.378	camar
gullet	0.385	0.490	0.393	tenggorokan
gullible	0.440	0.442	0.318	mudah dibodohi
gully	0.316	0.519	0.394	selokan
gulp	0.551	0.660	0.409	meneguk
gum	0.573	0.227	0.213	gusi
gumbo	0.500	0.422	0.361	Gumbo
gummy	0.521	0.302	0.291	bergetah
gumption	0.480	0.538	0.488	kecerdasan
gun	0.147	0.920	0.713	senjata
gunboat	0.139	0.663	0.618	kapal perang
gunfight	0.051	0.961	0.700	baku tembak
gunfighter	0.156	0.910	0.741	penembak
gunfire	0.156	0.930	0.673	tembakan
gunk	0.250	0.478	0.219	gunk
gunman	0.167	0.922	0.689	penembak
gunmen	0.073	0.942	0.727	orang-orang bersenjata
gunner	0.250	0.853	0.817	penembak
gunnery	0.281	0.861	0.873	meriam
gunplay	0.133	0.906	0.627	perkelahian senapan
gunpoint	0.188	0.817	0.719	todongan senjata
gunpowder	0.425	0.853	0.509	bubuk mesiu
gunshot	0.042	0.953	0.673	suara tembakan
gunslinger	0.316	0.873	0.811	penembak jitu
gurney	0.408	0.304	0.352	brankar
guru	0.573	0.360	0.653	guru
gush	0.510	0.490	0.381	membesut
gusher	0.406	0.520	0.453	semburan minyak
gusset	0.427	0.425	0.423	buhul
gust	0.490	0.755	0.556	tiupan
gusto	0.692	0.729	0.620	semangat
gusty	0.687	0.631	0.455	berangin ribut
gut	0.408	0.367	0.364	usus
gutless	0.250	0.381	0.384	berani
guts	0.592	0.649	0.582	nyali
gutsy	0.635	0.573	0.536	berani
gutter	0.466	0.260	0.400	selokan
guy	0.583	0.367	0.546	pria
guzzler	0.393	0.537	0.436	pemabuk
guzzling	0.460	0.490	0.380	menenggak
gym	0.635	0.690	0.613	Gym
gymnasium	0.667	0.561	0.474	ruang olahraga
gymnast	0.670	0.760	0.558	pesenam
gymnastic	0.810	0.706	0.604	gimnastik
gymnastics	0.745	0.677	0.508	olahraga senam
gynecologist	0.552	0.566	0.682	ginekolog
gynecology	0.408	0.590	0.519	ginekologi
gypsy	0.375	0.665	0.396	gipsi
gyroscope	0.500	0.390	0.510	giroskop
habit	0.625	0.226	0.585	kebiasaan
habitat	0.633	0.343	0.553	habitat
habitation	0.781	0.231	0.538	tempat tinggal
habitual	0.527	0.208	0.490	biasa
habitually	0.600	0.324	0.583	biasanya
hacienda	0.688	0.402	0.573	hacienda
hack	0.135	0.717	0.534	retas
hacker	0.271	0.755	0.740	peretas
hacksaw	0.406	0.645	0.537	gergaji besi
hadenough	0.323	0.566	0.529	cukup
hag	0.188	0.695	0.411	perempuan
haggard	0.115	0.510	0.246	cekung
haggle	0.480	0.601	0.461	tawar-menawar
haiku	0.583	0.356	0.392	haiku
hail	0.459	0.627	0.411	hujan es
hair	0.582	0.186	0.286	rambut
hairball	0.370	0.302	0.315	bola rambut
hairbrush	0.454	0.216	0.263	sikat rambut
haircut	0.677	0.343	0.307	potong rambut
hairdo	0.552	0.320	0.435	tata rambut
hairdresser	0.708	0.509	0.407	penata rambut
hairdryer	0.642	0.402	0.330	pengering rambut
hairless	0.136	0.235	0.139	botak
hairline	0.418	0.154	0.230	garis rambut
hairpin	0.459	0.363	0.370	jepit rambut
hairspray	0.549	0.279	0.269	semprotan rambut
hairstyle	0.771	0.380	0.433	gaya rambut
hairy	0.542	0.380	0.343	berbulu
hale	0.479	0.435	0.500	sehat
half	0.500	0.274	0.276	setengah
half dollar	0.573	0.408	0.509	Setengah dollar
halfback	0.490	0.429	0.440	gelandang tengah
halftime	0.458	0.352	0.429	setengah waktu
halfway	0.510	0.254	0.339	setengah jalan
halibut	0.449	0.412	0.411	sejenis ikan pecak
hall	0.510	0.340	0.424	aula
hallelujah	0.770	0.554	0.657	haleluya
hallmark	0.646	0.315	0.411	tanda
hallowed	0.740	0.500	0.728	dikuduskan
hallucination	0.396	0.706	0.370	halusinasi
hallway	0.573	0.230	0.279	lorong
halo	0.490	0.370	0.441	lingkaran cahaya
halt	0.167	0.360	0.432	berhenti
halter	0.448	0.451	0.431	halter
halting	0.255	0.596	0.519	berhenti
halve	0.316	0.347	0.302	membagi dua
halving	0.292	0.474	0.366	membagi dua
ham	0.673	0.245	0.404	daging
hamburger	0.809	0.551	0.387	roti isi daging
hamlet	0.573	0.270	0.397	dukuh
hammer	0.312	0.509	0.563	Palu
hammerhead	0.337	0.490	0.569	kepala martil
hammering	0.347	0.779	0.557	tempa
hammock	0.673	0.255	0.287	tempat tidur gantung
hamper	0.204	0.711	0.473	menghambat
hamster	0.520	0.394	0.349	hamster
hamstring	0.406	0.471	0.443	melumpuhkan
hand	0.542	0.314	0.434	tangan
handbag	0.562	0.240	0.336	tas tangan
handball	0.561	0.493	0.440	bola tangan
handbook	0.600	0.224	0.567	buku pegangan
handcuff	0.310	0.590	0.593	memborgol
handful	0.521	0.481	0.400	segenggam
handgun	0.156	0.914	0.782	pistol
handheld	0.646	0.350	0.586	genggam
handicap	0.133	0.394	0.264	rintangan
handicapped	0.204	0.467	0.180	cacat
handicraft	0.724	0.333	0.565	kerajinan
handiwork	0.753	0.430	0.410	pekerjaan tangan
handkerchief	0.510	0.192	0.219	saputangan
handle	0.698	0.571	0.558	menangani
handler	0.439	0.593	0.861	pawang
handmade	0.776	0.383	0.475	buatan tangan
handout	0.560	0.330	0.545	selebaran
handprint	0.635	0.289	0.463	sidik jari
handshake	0.816	0.654	0.492	jabat tangan
handsome	0.890	0.600	0.682	tampan
handwriting	0.615	0.378	0.381	tulisan tangan
handy	0.741	0.378	0.639	berguna
handyman	0.660	0.373	0.393	tukang
hang	0.323	0.529	0.446	menggantung
hangar	0.490	0.456	0.481	hanggar
hanger	0.439	0.462	0.461	gantungan
hanging	0.378	0.471	0.389	gantung
hangman	0.153	0.877	0.555	algojo
hangout	0.573	0.500	0.462	bergaul
hangover	0.188	0.565	0.267	mabuk
hangry	0.219	0.794	0.279	mabuk
hank	0.510	0.375	0.339	gulungan
hankering	0.604	0.540	0.558	keinginan besar
hanky	0.460	0.276	0.250	sapu tangan
hap	0.503	0.431	0.453	terjadi
haphazard	0.469	0.530	0.324	serampangan
hapless	0.271	0.442	0.193	malang
happen	0.677	0.670	0.551	terjadi
happening	0.646	0.529	0.555	kejadian
happier	0.990	0.760	0.806	lebih bahagia
happiest	0.990	0.716	0.746	paling bahagia
happily	1.000	0.690	0.674	dengan senang hati
happiness	0.960	0.732	0.850	kebahagiaan
happy	1.000	0.735	0.772	senang
happydance	0.857	0.760	0.582	tarian bahagia
happyday	0.929	0.650	0.663	hari bahagia
happyheart	0.949	0.575	0.605	senang hati
happyholidays	0.927	0.740	0.637	Selamat berlibur
happynewyear	0.969	0.815	0.559	Selamat Tahun Baru
happyplace	0.938	0.589	0.645	tempat bahagia
happytweet	0.847	0.588	0.437	happytweet
happyvalentinesday	0.929	0.784	0.509	Selamat Hari Valentine
harass	0.160	0.775	0.620	mengganggu
harassing	0.120	0.873	0.446	melecehkan
harassment	0.083	0.896	0.420	gangguan
harbinger	0.490	0.389	0.692	pertanda
harbor	0.594	0.356	0.634	pelabuhan
hard	0.302	0.708	0.616	keras
hardball	0.542	0.667	0.452	bola keras
hardcore	0.250	0.721	0.585	hardcore
harden	0.276	0.598	0.677	mengeras
hardened	0.406	0.618	0.764	mengeras
hardening	0.388	0.673	0.741	pengerasan
hardheaded	0.156	0.699	0.571	keras kepala
hardness	0.417	0.580	0.745	kekerasan
hardship	0.094	0.775	0.482	kesulitan
hardware	0.594	0.289	0.686	perangkat keras
hardwood	0.417	0.363	0.518	kayu keras
hardworking	0.719	0.583	0.792	kerja keras
hardy	0.571	0.569	0.810	kuat
hare	0.620	0.410	0.345	kelinci
harebrained	0.296	0.551	0.436	bodoh
harem	0.521	0.578	0.582	harem
hark	0.571	0.500	0.398	mendengar
harlot	0.198	0.798	0.330	pelacur
harm	0.073	0.679	0.423	menyakiti
harmful	0.094	0.750	0.291	berbahaya
harmless	0.625	0.226	0.241	tidak berbahaya
harmonica	0.847	0.235	0.510	harmonika
harmonics	0.865	0.400	0.575	harmonik
harmonious	0.938	0.391	0.719	harmonis
harmoniously	0.969	0.265	0.647	secara harmonis
harmonize	0.939	0.461	0.609	menyelaraskan
harmony	0.949	0.230	0.509	harmoni
harness	0.570	0.549	0.508	memanfaatkan
harp	0.618	0.310	0.356	harpa
harper	0.417	0.454	0.435	pemain harpa
harpoon	0.490	0.700	0.557	seruit
harpsichord	0.541	0.490	0.438	piano kuno
harrowing	0.209	0.810	0.474	mengerikan
harry	0.520	0.409	0.390	harry
harsh	0.250	0.650	0.623	kasar
harshness	0.323	0.600	0.779	kekerasan
hart	0.643	0.389	0.447	hart
harvest	0.781	0.353	0.548	memanen
hash	0.344	0.453	0.355	hash
hashish	0.370	0.570	0.358	ganja
hassle	0.177	0.740	0.489	kerepotan
haste	0.378	0.745	0.500	bergegas
hasten	0.571	0.750	0.618	mempercepat
hastily	0.271	0.609	0.609	buru-buru
hasty	0.188	0.885	0.424	gegabah
hat	0.604	0.183	0.353	topi
hatch	0.479	0.653	0.402	menetas
hatchet	0.333	0.608	0.500	kapak
hate	0.031	0.802	0.430	membenci
hateeee	0.219	0.606	0.368	bencieeee
hateeveryone	0.041	0.840	0.429	benci semua orang
hateful	0.071	0.819	0.430	penuh kebencian
hater	0.052	0.702	0.422	pembenci
hateyou	0.125	0.735	0.464	benci kamu
hating	0.083	0.820	0.434	membenci
hatred	0.037	0.847	0.424	kebencian
haughty	0.240	0.708	0.588	angkuh
haul	0.551	0.564	0.453	mengangkut
haulage	0.561	0.510	0.650	pengangkutan
haunt	0.288	0.676	0.576	menghantui
haunted	0.264	0.731	0.520	berhantu
have	0.757	0.389	0.593	memiliki
haven	0.684	0.265	0.547	surga
havoc	0.163	0.769	0.535	malapetaka
haw	0.406	0.426	0.431	haw
hawk	0.583	0.530	0.631	elang
hawking	0.521	0.509	0.491	menjajakan
hay	0.469	0.212	0.343	jerami
haye	0.615	0.451	0.336	haye
hayride	0.561	0.521	0.464	naik jerami
haystack	0.552	0.292	0.331	tumpukan jerami
haywire	0.358	0.545	0.430	kusut
hazard	0.112	0.884	0.757	bahaya
hazardous	0.061	0.750	0.670	berbahaya
haze	0.427	0.327	0.217	kabut
hazmat	0.398	0.479	0.519	hazmat
hazy	0.450	0.433	0.230	kabur
head	0.530	0.472	0.558	kepala
headache	0.168	0.755	0.273	sakit kepala
headaches	0.104	0.720	0.259	sakit kepala
headband	0.670	0.469	0.527	ikat kepala
headdress	0.594	0.408	0.443	hiasan kepala
header	0.560	0.398	0.740	header
headgear	0.542	0.442	0.571	penutup kepala
heading	0.551	0.292	0.642	menuju
headland	0.574	0.551	0.430	tanjung
headless	0.136	0.582	0.235	tanpa kepala
headlight	0.592	0.343	0.393	lampu depan
headline	0.630	0.241	0.685	tajuk utama
headliner	0.500	0.490	0.625	Bintang Utama
headlock	0.448	0.538	0.560	kunci kepala
headlong	0.354	0.548	0.409	tunggang langgang
headmaster	0.604	0.564	0.865	kepala sekolah
headphones	0.600	0.357	0.336	headphone
headquarter	0.615	0.269	0.525	kantor pusat
headquarters	0.615	0.271	0.525	markas besar
headset	0.602	0.340	0.302	headset
headstone	0.240	0.378	0.349	nisan
headstrong	0.310	0.714	0.500	keras kepala
headway	0.823	0.464	0.745	kemajuan
heady	0.448	0.806	0.565	sengit
heal	0.765	0.245	0.556	sembuh
healer	0.863	0.378	0.741	penyembuh
healing	0.750	0.452	0.585	sembuh
health	0.935	0.427	0.551	kesehatan
healthcare	0.780	0.392	0.630	kesehatan
healthful	0.930	0.315	0.769	sehat
healthy	0.938	0.319	0.818	sehat
heap	0.582	0.510	0.474	tumpukan
hear	0.760	0.429	0.444	mendengar
hearer	0.656	0.281	0.415	pendengar
hearing	0.669	0.490	0.595	pendengaran
hearsay	0.288	0.623	0.333	kabar angin
hearse	0.177	0.490	0.324	mobil jenazah
heart	0.827	0.500	0.693	jantung
heart disease	0.250	0.750	0.386	penyakit jantung
heartache	0.088	0.750	0.291	duka
heartattack	0.156	0.839	0.455	serangan jantung
heartbeat	0.750	0.698	0.585	denyut jantung
heartbreak	0.208	0.610	0.245	patah hati
heartbreaker	0.265	0.685	0.580	patah hati
heartbreaking	0.146	0.811	0.423	menyayat hati
heartbroken	0.082	0.551	0.235	patah hati
heartburn	0.143	0.613	0.398	maag
hearted	0.823	0.410	0.805	hati
heartfelt	0.904	0.440	0.540	tulus
hearth	0.760	0.275	0.536	perapian
heartily	0.927	0.531	0.664	sepenuh hati
heartland	0.812	0.510	0.675	daerah pedalaman
heartless	0.071	0.652	0.400	kejam
hearts	0.948	0.592	0.634	hati
heartsick	0.240	0.388	0.208	sedih
heartworm	0.333	0.550	0.430	cacing hati
hearty	0.760	0.684	0.792	hangat
heat	0.534	0.612	0.433	panas
heated	0.479	0.497	0.542	dipanaskan
heater	0.500	0.573	0.538	pemanas
heath	0.802	0.387	0.546	kesehatan
heathen	0.194	0.529	0.491	kafir
heather	0.500	0.352	0.407	primadona
heating	0.647	0.491	0.537	Pemanasan
heave	0.716	0.588	0.664	mengangkat
heaven	0.896	0.385	0.600	surga
heavenly	0.844	0.452	0.712	surgawi
heavens	0.806	0.273	0.683	surga
heavily	0.542	0.679	0.814	berat
heaviness	0.219	0.549	0.318	berat
heaving	0.201	0.843	0.491	naik turun
heavy	0.250	0.454	0.600	berat
heavy metal	0.417	0.755	0.621	logam berat
heavyweight	0.429	0.578	0.713	kelas berat
heck	0.240	0.728	0.560	sial
hectares	0.570	0.250	0.471	hektar
hectic	0.167	0.811	0.438	sibuk sekali
hedge	0.604	0.602	0.569	pagar
hedgehog	0.458	0.491	0.377	landak
hedonism	0.510	0.500	0.608	hedonisme
hee	0.430	0.433	0.312	hee
heed	0.750	0.490	0.569	mengindahkan
heel	0.480	0.350	0.385	tumit
heels	0.500	0.439	0.396	tumit
heft	0.503	0.340	0.530	berat
hefty	0.550	0.654	0.745	besar dan kuat
hegemonic	0.462	0.519	0.558	hegemonik
heheh	0.625	0.510	0.278	hehehe
heifer	0.439	0.443	0.321	sapi betina
height	0.677	0.608	0.648	tinggi
heighten	0.755	0.622	0.765	mempertinggi
heightened	0.592	0.529	0.788	meningkat
heinous	0.133	0.792	0.471	mengerikan
heir	0.840	0.654	0.764	ahli waris
heiress	0.827	0.571	0.676	ahli waris perempuan
heirloom	0.684	0.375	0.745	pusaka
heirs	0.796	0.519	0.698	ahli waris
heist	0.184	0.850	0.645	perampokan
helical	0.379	0.429	0.468	spiral
helicopter	0.714	0.806	0.617	helikopter
helipad	0.780	0.637	0.573	helipad
heliport	0.594	0.604	0.527	lapangan helikopter
helium	0.490	0.316	0.304	helium
helix	0.521	0.462	0.509	spiral
hell	0.020	0.918	0.565	neraka
hellfire	0.143	0.890	0.618	api neraka
hellhole	0.200	0.615	0.421	lubang neraka
hellish	0.125	0.860	0.545	jahat
helm	0.511	0.450	0.615	kemudi
helmet	0.573	0.327	0.402	helm
helmsman	0.490	0.441	0.647	juru mudi
help	0.673	0.471	0.460	Tolong
helper	0.704	0.438	0.567	pembantu
helpful	0.816	0.337	0.705	bermanfaat
helpless	0.104	0.420	0.214	tidak berdaya
helplessness	0.087	0.480	0.250	ketidakberdayaan
hem	0.562	0.283	0.291	keliman
hematite	0.448	0.389	0.342	bijih besi
hematoma	0.146	0.600	0.398	hematom
hemi	0.510	0.363	0.342	hemi
hemisphere	0.531	0.367	0.598	belahan bumi
hemispheric	0.562	0.449	0.603	setengah bulat
hemlock	0.438	0.350	0.434	hemlock
hemoglobin	0.469	0.481	0.418	hemoglobin
hemorrhage	0.031	0.849	0.426	pendarahan
hemorrhoids	0.133	0.702	0.304	wasir
hemostat	0.388	0.442	0.464	hemostat
hemp	0.469	0.439	0.422	rami
hen	0.385	0.276	0.241	induk ayam
henceforth	0.527	0.404	0.466	untuk selanjutnya
henhouse	0.500	0.577	0.414	kandang ayam
hepatitis	0.055	0.596	0.358	hepatitis
herald	0.643	0.382	0.500	bentara
heraldry	0.550	0.520	0.607	heraldik
herb	0.643	0.418	0.353	herba
herbaceous	0.560	0.220	0.310	rumputan
herbal	0.592	0.255	0.390	jamu
herbarium	0.602	0.188	0.327	herbarium
herbs	0.620	0.299	0.308	Rempah
herd	0.592	0.500	0.474	kawanan
hereditary	0.531	0.600	0.737	turun temurun
heredity	0.704	0.445	0.818	keturunan
heresy	0.265	0.765	0.443	bidaah
heretic	0.090	0.710	0.447	sesat
heretical	0.229	0.630	0.487	sesat
heretofore	0.479	0.388	0.385	sampai sekarang
hereunto	0.500	0.225	0.333	berikut ini
herewith	0.450	0.360	0.415	bersama ini
heritage	0.842	0.512	0.815	warisan
hermaphrodite	0.480	0.684	0.481	banci
hermeneutics	0.406	0.577	0.562	hermeneutika
hermit	0.271	0.337	0.351	pertapa
hernia	0.146	0.486	0.223	burut
hero	0.940	0.806	0.881	pahlawan
heroic	0.890	0.770	0.912	heroik
heroics	0.865	0.673	0.894	heroik
heroin	0.276	0.843	0.655	heroin
heroine	0.729	0.755	0.833	pahlawan wanita
heroism	0.844	0.802	0.898	kepahlawanan
herpes	0.110	0.600	0.309	herpes
herpesvirus	0.219	0.558	0.435	virus herpes
herring	0.531	0.387	0.422	ikan haring
hertz	0.396	0.417	0.506	hertz
hesitant	0.333	0.542	0.321	ragu-ragu
hesitate	0.459	0.548	0.232	ragu-ragu
hesitating	0.265	0.528	0.240	ragu-ragu
hesitation	0.286	0.396	0.217	keraguan
hetero	0.589	0.405	0.435	hetero
heterogeneity	0.439	0.450	0.556	heterogenitas
hew	0.417	0.470	0.377	menebang
hex	0.410	0.510	0.363	hex
hexagon	0.542	0.226	0.425	segi enam
heyday	0.646	0.680	0.673	masa kejayaan
hiatus	0.479	0.294	0.352	hiatus
hibernate	0.500	0.317	0.431	hibernasi
hibernation	0.469	0.245	0.384	hibernasi
hiccup	0.271	0.549	0.240	cegukan
hick	0.357	0.442	0.314	orang udik
hickey	0.448	0.529	0.345	cupang
hickory	0.520	0.490	0.415	hickory
hidden	0.208	0.430	0.327	tersembunyi
hide	0.438	0.510	0.218	bersembunyi
hideaway	0.448	0.481	0.360	persembunyian
hideous	0.091	0.750	0.328	mengerikan
hideout	0.337	0.443	0.302	persembunyian
hiding	0.250	0.567	0.364	bersembunyi
hierarchical	0.521	0.620	0.939	hierarkis
hierarchy	0.583	0.722	0.902	hirarki
hieroglyphics	0.479	0.325	0.509	hieroglif
high	0.684	0.510	0.614	tinggi
high heels	0.646	0.528	0.429	sepatu hak tinggi
highball	0.656	0.520	0.481	tanda keberangkatan
higher	0.866	0.528	0.713	lebih tinggi
highest	0.771	0.640	0.710	paling tinggi
highland	0.615	0.481	0.611	dataran tinggi
highlands	0.735	0.431	0.596	pegunungan
highlight	0.844	0.637	0.882	menyorot
highness	0.740	0.670	0.931	kebesaran
hight	0.667	0.637	0.645	tinggi
