English Word	Valence	Arousal	Dominance	Georgian Word
gimp	0.469	0.442	0.342	გიმპი
gin	0.449	0.551	0.518	ჯინი
ginger	0.406	0.375	0.316	ჯანჯაფილი
gingerbread	0.597	0.333	0.264	ჯანჯაფილი
gingerly	0.602	0.406	0.415	გულგრილად
ginseng	0.677	0.360	0.364	ჟენშენი
giraffe	0.561	0.347	0.436	ჟირაფი
girder	0.388	0.245	0.452	სარტყელი
girdle	0.500	0.340	0.349	სარტყელი
girlfriend	0.712	0.763	0.604	შეყვარებული
girlie	0.604	0.540	0.409	გოგონა
girlish	0.677	0.477	0.345	გოგოური
girly	0.595	0.462	0.371	გოგოური
girth	0.520	0.353	0.377	გარსი
gist	0.622	0.450	0.519	არსი
give	0.750	0.346	0.500	მისცეს
giveaway	0.865	0.618	0.437	გაეცი
giver	0.688	0.415	0.658	გამცემი
giving	0.795	0.333	0.585	მიცემა
gizmo	0.510	0.490	0.337	გიზმო
gizzard	0.422	0.423	0.259	ჭუჭყიანი
glabrous	0.413	0.474	0.462	შიშველი
glacial	0.439	0.327	0.474	მყინვარული
glacier	0.573	0.396	0.554	მყინვარი
glad	0.938	0.760	0.740	გახარებული
glade	0.600	0.385	0.434	გალავანი
gladiator	0.500	0.833	0.866	გლადიატორი
gladness	0.896	0.670	0.643	სიხარულს
glamorous	0.918	0.630	0.791	გლამურული
glamour	0.823	0.606	0.623	გლამურული
glance	0.625	0.357	0.454	მზერა
gland	0.396	0.382	0.467	ჯირკვალი
glare	0.698	0.735	0.733	ნათება
glaring	0.694	0.794	0.798	თვალისმომჭრელი
glass	0.490	0.404	0.322	მინა
glasses	0.531	0.210	0.330	სათვალეები
glassware	0.633	0.356	0.450	მინის ნაწარმი
glaucoma	0.208	0.500	0.315	გლაუკომა
glaze	0.650	0.340	0.356	მინანქარი
glazed	0.622	0.410	0.491	მოჭიქული
gleam	0.781	0.520	0.741	ბრწყინავს
gleaming	0.827	0.635	0.627	მბზინავი
glean	0.398	0.531	0.500	მოკრიფეთ
glee	0.698	0.580	0.464	გახარება
gleeful	0.906	0.806	0.679	გახარებული
glen	0.573	0.337	0.406	გლენი
glib	0.438	0.433	0.381	გლიბი
glide	0.561	0.706	0.415	სრიალი
glider	0.618	0.548	0.590	პლანერი
glimmer	0.615	0.462	0.427	ციმციმი
glimpse	0.646	0.480	0.455	მზერა
glint	0.677	0.538	0.541	ბრჭყვიალა
glisten	0.765	0.608	0.694	ბრწყინავს
glitch	0.444	0.448	0.269	ხარვეზი
glitter	0.814	0.750	0.762	ბრჭყვიალა
glittering	0.860	0.588	0.818	ბრჭყვიალა
gloat	0.500	0.637	0.603	თვალებით ჭამა
global	0.583	0.520	0.713	გლობალური
globe	0.760	0.315	0.364	გლობუსი
globular	0.542	0.375	0.438	გლობულური
gloom	0.135	0.404	0.196	წყვდიადში
gloomy	0.107	0.410	0.287	პირქუში
glorification	0.821	0.541	0.817	განდიდება
glorified	0.865	0.570	0.886	განდიდებული
glorify	0.940	0.591	0.661	განადიდეს
glorious	0.959	0.673	0.827	დიდებული
glory	0.948	0.735	0.817	დიდება
gloss	0.757	0.466	0.625	პრიალა
glossary	0.570	0.204	0.447	ლექსიკონი
glossy	0.802	0.519	0.807	პრიალა
glove	0.500	0.230	0.382	ხელთათმანი
gloves	0.542	0.225	0.491	ხელთათმანები
glow	0.918	0.500	0.745	ბზინვარება
glowing	0.940	0.620	0.737	ანათებს
glucose	0.562	0.316	0.444	გლუკოზა
glue	0.450	0.345	0.349	წებო
glum	0.244	0.337	0.123	გლუვი
glut	0.417	0.524	0.540	სიჭარბე
gluten	0.385	0.308	0.388	წებოვანა
glutton	0.438	0.519	0.384	წებოვანა
gluttony	0.500	0.702	0.412	სიხარბე
glycerin	0.427	0.402	0.402	გლიცერინი
gnat	0.357	0.345	0.200	ღრჭიალი
gnome	0.429	0.479	0.380	ჯუჯა
go	0.510	0.441	0.444	წადი
goal	0.830	0.356	0.669	მიზანი
goalie	0.573	0.389	0.455	მეკარე
goals	0.719	0.490	0.795	მიზნები
goat	0.448	0.304	0.364	თხა
goatee	0.479	0.290	0.255	თხის ჯიში
gob	0.280	0.357	0.447	გობ
gobble	0.390	0.623	0.455	ყლაპვა
goblet	0.786	0.353	0.442	თასი
goblin	0.333	0.542	0.377	გობლინი
god	0.758	0.518	0.886	ღმერთო
godbless	0.823	0.395	0.588	ღმერთმა დაგლოცოს
goddamn	0.125	0.760	0.422	ღმერთო
goddamned	0.042	0.758	0.420	დაწყევლილი
goddess	0.865	0.560	0.888	ქალღმერთი
godfather	0.694	0.450	0.509	ნათლია
godforsaken	0.439	0.520	0.422	ღვთაებრივი მიტოვებული
godisgood	0.740	0.434	0.630	ღმერთი არის კარგი
godisgreat	0.712	0.596	0.600	ღმერთი დიადია
godless	0.316	0.557	0.358	უღვთო
godlike	0.854	0.648	0.870	ღვთიური
godly	0.747	0.298	0.589	ღვთისმოსავი
godmother	0.733	0.311	0.530	ნათლია
godsend	0.865	0.562	0.613	ღვთის ძღვენი
godson	0.680	0.515	0.429	ნათლული
gofuckyourself	0.167	0.654	0.415	გაგიჟდი საკუთარ თავს
goggle	0.525	0.286	0.360	სათვალე
goggles	0.667	0.360	0.278	სათვალეები
gold	0.939	0.686	0.692	ოქროს
golden	0.802	0.491	0.609	ოქროსფერი
goldfish	0.786	0.296	0.317	ოქროს თევზი
golf	0.573	0.358	0.447	გოლფის
golfer	0.602	0.402	0.578	გოლფის მოთამაშე
golfing	0.625	0.427	0.455	გოლფის თამაში
gondola	0.520	0.404	0.379	გონდოლა
gone	0.292	0.230	0.190	წავიდა
goner	0.410	0.461	0.274	წასული
gong	0.490	0.529	0.462	გონგი
gonorrhea	0.106	0.635	0.322	გონორეა
goo	0.439	0.396	0.312	გოო
goober	0.469	0.444	0.342	გუბერი
good	0.938	0.368	0.534	კარგი
goodbye	0.240	0.389	0.328	ნახვამდის
goodday	0.961	0.357	0.418	კარგი დღე
goodfeeling	0.939	0.459	0.679	კარგი გრძნობა
goodhealth	0.938	0.402	0.712	კარგი ჯანმრთელობა
goodie	0.854	0.327	0.600	კარგი
goodies	0.950	0.622	0.424	სიკეთეები
goodlife	0.917	0.471	0.736	კარგი ცხოვრება
goodly	0.701	0.471	0.636	კეთილად
goodmood	0.823	0.491	0.519	კარგი ხასიათი
goodmorning	0.922	0.461	0.552	დილა მშვიდობისა
goodmusic	0.756	0.500	0.500	კარგი მუსიკა
goodness	0.969	0.321	0.715	სიკეთე
goodnews	0.961	0.740	0.768	კარგი ამბავი
goods	0.888	0.396	0.726	საქონელი
goodtimes	0.910	0.526	0.629	კარგი დრო
goodvibes	0.827	0.500	0.534	კარგი ვიბრაციები
goodwill	0.938	0.327	0.667	კეთილგანწყობა
goody	0.786	0.337	0.570	კარგი
gooey	0.392	0.480	0.445	გოოი
goof	0.448	0.490	0.272	გუფი
goofball	0.561	0.550	0.382	გოფბოლი
goofy	0.281	0.224	0.179	სულელური
goon	0.312	0.481	0.361	გუნი
gooood	0.857	0.652	0.547	კარგია
goop	0.469	0.394	0.333	გუფ
goose	0.479	0.283	0.265	ბატი
gopher	0.449	0.440	0.421	გოფერი
gore	0.260	0.608	0.518	გორი
gorge	0.365	0.644	0.420	ხეობა
gorgeous	0.920	0.560	0.741	მშვენიერი
gorilla	0.565	0.720	0.648	გორილა
gory	0.140	0.875	0.455	მღელვარე
gospel	0.740	0.333	0.580	სახარება
gossip	0.173	0.765	0.245	ჭორაობა
gothic	0.197	0.333	0.475	გოთური
gouge	0.396	0.441	0.400	გუგა
goulash	0.582	0.429	0.347	გულაში
gourd	0.427	0.271	0.289	გოგრა
gourmet	0.911	0.387	0.562	გურმანი
gout	0.354	0.314	0.170	პოდაგრა
govern	0.573	0.702	0.980	მართვა
governess	0.426	0.500	0.632	გუბერნანტი
governing	0.635	0.700	0.900	მმართველობა
government	0.427	0.530	0.850	მთავრობა
governmental	0.521	0.541	0.906	სამთავრობო
governor	0.500	0.683	0.934	გუბერნატორი
gown	0.625	0.283	0.421	კაბა
grab	0.448	0.706	0.538	ხელში ჩაგდება
grace	0.906	0.304	0.462	მადლი
graceful	0.906	0.510	0.655	მოხდენილი
gracias	0.833	0.356	0.600	მადლობა
gracious	0.918	0.634	0.637	მადლიანი
graciously	0.948	0.353	0.680	გულმოწყალებით
grad	0.806	0.538	0.733	გრადი
gradation	0.487	0.477	0.616	გრადაცია
grade	0.698	0.360	0.600	შეფასება
graded	0.562	0.340	0.759	შეფასდა
grader	0.583	0.317	0.420	გრეიდერი
grades	0.521	0.349	0.566	კლასები
gradient	0.480	0.423	0.509	გრადიენტი
gradschool	0.616	0.602	0.528	gradschool
gradual	0.571	0.350	0.509	თანდათანობით
gradually	0.583	0.385	0.464	თანდათანობით
graduate	0.898	0.549	0.778	უმაღლესდამთავრებული
graduation	0.880	0.670	0.837	დამთავრება
graffiti	0.582	0.633	0.353	გრაფიტი
graft	0.410	0.528	0.420	მყნობა
grail	0.573	0.384	0.566	გრაალი
grain	0.390	0.198	0.302	მარცვლეული
gram	0.578	0.333	0.260	გრამი
grammar	0.560	0.287	0.607	გრამატიკა
grand	0.898	0.740	0.888	გრანდიოზული
grand theft auto	0.493	0.663	0.580	დიდი ქურდობის მანქანა
grandchild	0.781	0.433	0.465	შვილიშვილი
grandchildren	0.796	0.545	0.426	შვილიშვილები
granddad	0.740	0.248	0.461	ბაბუა
granddaddy	0.708	0.291	0.480	ბაბუა
granddaughter	0.823	0.445	0.389	შვილიშვილი
grandeur	0.885	0.796	0.839	სიდიადე
grandfather	0.827	0.279	0.586	ბაბუა
grandiose	0.900	0.682	0.864	გრანდიოზული
grandma	0.796	0.208	0.491	ბებია
grandmother	0.792	0.283	0.426	ბებია
grandpa	0.806	0.296	0.466	ბაბუა
grandson	0.778	0.333	0.500	შვილიშვილი
grandstand	0.500	0.679	0.708	ტრიბუნა
grange	0.531	0.340	0.391	გრანჟი
granite	0.572	0.343	0.483	გრანიტი
granny	0.796	0.240	0.452	ბებია
granola	0.625	0.240	0.281	გრანოლა
grant	0.719	0.380	0.667	გრანტი
granted	0.882	0.348	0.779	მინიჭებული
grantee	0.865	0.477	0.708	გრანტის მიმღები
grantor	0.542	0.500	0.717	მიმღები
granular	0.478	0.337	0.443	მარცვლოვანი
granule	0.406	0.373	0.316	გრანული
grape	0.729	0.122	0.295	ყურძენი
grape juice	0.696	0.304	0.267	ყურძნის წვენი
grapefruit	0.521	0.281	0.282	გრეიფრუტი
grapes	0.784	0.240	0.236	ყურძენი
grapevine	0.541	0.343	0.232	ვაზის ვაზი
graph	0.510	0.286	0.621	გრაფიკი
graphic	0.602	0.494	0.491	გრაფიკული
graphics	0.542	0.431	0.509	გრაფიკა
graphite	0.479	0.377	0.336	გრაფიტი
grapple	0.490	0.577	0.482	მებრძოლი
grappling	0.448	0.676	0.516	ებრძვის
grasp	0.560	0.623	0.570	დაჯექი
grasping	0.327	0.561	0.561	დაჭერა
grass	0.604	0.164	0.333	ბალახი
grasshopper	0.500	0.462	0.287	ბალახი
grassy	0.647	0.323	0.371	ბალახიანი
grate	0.333	0.250	0.419	გახეხვა
grated	0.357	0.462	0.361	გახეხილი
grateful	0.958	0.353	0.560	მადლიერი
gratification	0.867	0.643	0.755	დაკმაყოფილება
gratified	0.781	0.519	0.702	გახარებული
gratify	0.837	0.539	0.794	გაახარებს
gratifying	0.857	0.606	0.776	სასიხარულო
grating	0.512	0.337	0.282	გახეხვა
gratis	0.796	0.510	0.417	უფასოდ
gratitude	0.885	0.441	0.610	მადლიერება
gratuitous	0.735	0.650	0.452	უსასყიდლო
gratuity	0.865	0.500	0.462	ანაზღაურება
grave	0.153	0.385	0.386	საფლავი
gravel	0.390	0.370	0.332	ხრეში
graver	0.102	0.622	0.453	საფლავი
graveyard	0.041	0.441	0.272	სასაფლაო
gravitate	0.479	0.472	0.476	გრავიტაცია
gravitation	0.698	0.592	0.600	გრავიტაცია
gravitational	0.528	0.510	0.691	გრავიტაციული
gravity	0.510	0.635	0.538	გრავიტაცია
gravy	0.608	0.450	0.339	სოუსი
gray	0.335	0.153	0.189	ნაცრისფერი
graze	0.560	0.255	0.371	ძოვება
grease	0.255	0.404	0.306	ცხიმი
greased	0.250	0.461	0.368	ცხიმიანი
greaser	0.408	0.518	0.462	საპოხი
greasy	0.399	0.442	0.294	ცხიმიანი
great	0.958	0.665	0.810	დიდი
great anticipation	0.786	0.735	0.655	დიდი მოლოდინი
great aunt	0.896	0.419	0.589	დიდი დეიდა
great disgust	0.042	0.836	0.389	დიდი ზიზღი
great grandfather	0.729	0.241	0.569	დიდი ბაბუა
great grandma	0.771	0.221	0.491	დიდი ბებია
great grandmother	0.802	0.236	0.549	დიდი ბებია
great grandpa	0.857	0.280	0.602	დიდი ბაბუა
great surprise	0.939	0.941	0.688	დიდი სიურპრიზი
great trust	0.939	0.528	0.853	დიდი ნდობა
great uncle	0.729	0.398	0.621	დიდი ბიძა
greatday	0.823	0.571	0.574	დიდი დღე
greater	0.755	0.519	0.796	უფრო დიდი
greatest	0.847	0.627	0.922	უდიდესი
greatfriends	0.908	0.593	0.570	დიდი მეგობრები
greatful	0.923	0.571	0.676	დიდებული
greatly	0.750	0.708	0.877	დიდად
greatly negative	0.051	0.640	0.282	დიდად უარყოფითი
greatly positive	0.967	0.538	0.877	დიდად დადებითი
greatness	0.990	0.750	0.943	სიდიადე
greatnight	0.918	0.349	0.574	დიდებული ღამე
greed	0.173	0.780	0.528	სიხარბე
greedy	0.125	0.660	0.476	გაუმაძღარი
green	0.630	0.306	0.333	მწვანე
green bean	0.469	0.280	0.304	მწვანე ლობიო
green pepper	0.500	0.431	0.425	მწვანე წიწაკა
green snake	0.229	0.634	0.614	მწვანე გველი
greenhouse	0.719	0.438	0.384	სათბური
greenish	0.574	0.290	0.429	მომწვანო
greenwood	0.531	0.382	0.491	გრინვუდი
greet	0.885	0.539	0.618	მისალმება
greeted	0.781	0.317	0.454	მიესალმა
greeting	0.854	0.556	0.510	მისალმება
gregarious	0.551	0.471	0.529	ჯგუფური
grenade	0.281	0.777	0.694	ყუმბარა
grey	0.347	0.140	0.295	ნაცრისფერი
greyhound	0.520	0.490	0.440	გრეიჰაუნდი
grid	0.562	0.426	0.443	ბადე
gridiron	0.667	0.491	0.425	გრიდირონს
grief	0.070	0.640	0.474	მწუხარება
grievance	0.092	0.635	0.364	წყენა
grieve	0.122	0.500	0.333	მწუხარებას
grieved	0.104	0.460	0.191	დამწუხრებული
grieving	0.093	0.673	0.403	დამწუხრებული
grievous	0.146	0.640	0.179	მძიმე
griffin	0.418	0.337	0.360	გრიფინი
grill	0.755	0.491	0.546	გრილი
grille	0.337	0.327	0.246	ცხაური
grilled	0.702	0.500	0.373	შემწვარი
grim	0.310	0.483	0.298	მწარე
grime	0.198	0.500	0.225	ჭუჭყიანი
grimy	0.112	0.597	0.283	დაბურული
grin	0.885	0.570	0.491	ღიმილი
grind	0.480	0.276	0.397	დაფქვა
grinder	0.459	0.615	0.561	საფქვავი
grinding	0.415	0.450	0.461	სახეხი
grindstone	0.541	0.453	0.526	საფქვავი
gringo	0.540	0.452	0.510	გრინგო
grip	0.520	0.549	0.602	დაჭერა
gripe	0.184	0.526	0.241	წყენა
grisly	0.083	0.863	0.426	შემზარავი
grist	0.317	0.391	0.363	გრისტი
grit	0.449	0.296	0.345	ხრეში
grits	0.458	0.333	0.346	მარცვლები
gritty	0.417	0.373	0.375	გრილიანი
grizzly	0.398	0.679	0.657	გრიზლი
groan	0.396	0.750	0.351	კვნესა
grocer	0.625	0.250	0.382	სასურსათო მაღაზია
groceries	0.740	0.363	0.417	სასურსათო პროდუქტები
grocery	0.687	0.540	0.446	სასურსათო
groggy	0.235	0.265	0.194	დაღლილი
groin	0.296	0.452	0.364	საზარდულის
groom	0.698	0.500	0.605	საქმრო
groove	0.552	0.448	0.361	ღარი
groovy	0.615	0.538	0.464	ღრიალი
grope	0.420	0.559	0.358	ღრიალი
gross	0.115	0.575	0.181	უხეში
grotesque	0.135	0.788	0.500	გროტესკული
grotto	0.510	0.394	0.336	მღვიმე
grouch	0.342	0.593	0.411	გროუჩი
grouchy	0.143	0.708	0.407	ჟრუანტელი
ground	0.398	0.343	0.602	ადგილზე
grounded	0.531	0.601	0.509	დასაბუთებული
groundhog	0.385	0.324	0.377	მიწისთხილი
grounding	0.521	0.452	0.591	დამიწება
groundless	0.333	0.535	0.387	უსაფუძვლო
grounds	0.667	0.500	0.598	საფუძველი
groundwork	0.500	0.375	0.593	საფუძველი
group	0.573	0.423	0.480	ჯგუფი
groupie	0.521	0.583	0.393	ჯგუფური
grouping	0.745	0.580	0.698	დაჯგუფება
grouse	0.448	0.401	0.412	როჭო
grout	0.405	0.356	0.366	გრუტი
grove	0.604	0.245	0.417	კორომი
grovel	0.360	0.500	0.414	გროვა
grow	0.914	0.615	0.755	იზრდება
growl	0.194	0.764	0.482	ღრიალი
growling	0.119	0.887	0.475	ღრიალი
growls	0.125	0.675	0.442	ღრიალებს
grownup	0.735	0.400	0.683	გაზრდა
growth	0.917	0.588	0.776	ზრდა
growthefuckup	0.229	0.692	0.426	ზრდის შეტევა
grr	0.229	0.538	0.333	გრრ
grrr	0.271	0.755	0.327	გრრრ
grrrrr	0.281	0.633	0.444	გრრრრრ
grub	0.602	0.406	0.355	გრუბი
grubby	0.156	0.583	0.176	მწარე
grudge	0.115	0.647	0.414	წყენა
grudging	0.092	0.636	0.473	წყენა
grudgingly	0.156	0.610	0.292	უკმაყოფილოდ
gruel	0.382	0.304	0.297	გრუელი
grueling	0.180	0.763	0.704	დამღლელი
gruesome	0.094	0.837	0.474	შემზარავი
gruff	0.323	0.611	0.472	უხეში
grumble	0.101	0.750	0.333	წუწუნი
grump	0.260	0.469	0.425	წუწუნი
grumpy	0.198	0.808	0.559	გაბუტული
grunt	0.286	0.798	0.392	წუწუნი
grunting	0.198	0.827	0.481	ღრიალი
guacamole	0.684	0.317	0.282	გუაკამოლე
guano	0.296	0.343	0.191	გუანო
guarantee	0.949	0.337	0.805	გარანტია
guaranty	0.646	0.337	0.818	გარანტია
guard	0.592	0.510	0.725	მცველი
guarded	0.758	0.686	0.500	იცავდა
guardhouse	0.510	0.435	0.770	დაცვის სახლი
guardian	0.656	0.686	0.789	მეურვე
guardianship	0.592	0.370	0.681	მეურვეობა
guards	0.448	0.663	0.720	მცველები
gubernatorial	0.552	0.604	0.897	გუბერნატორული
guerilla	0.146	0.845	0.727	პარტიზანული
guerrilla	0.219	0.917	0.792	პარტიზანული
guess	0.640	0.463	0.442	გამოიცანი
guesser	0.542	0.670	0.535	გამოცნობა
guesswork	0.417	0.451	0.405	გამოცნობა
guest	0.719	0.490	0.558	სტუმარი
guesthouse	0.729	0.337	0.406	სასტუმრო
guidance	0.729	0.471	0.718	ხელმძღვანელობა
guide	0.688	0.315	0.620	სახელმძღვანელო
guidebook	0.677	0.260	0.427	სახელმძღვანელო
guidelines	0.459	0.500	0.664	გაიდლაინები
guiding	0.667	0.520	0.714	სახელმძღვანელო
guild	0.580	0.459	0.729	გილდია
guile	0.410	0.417	0.467	მზაკვრობა
guillotine	0.163	0.817	0.585	გილიოტინი
guilt	0.208	0.567	0.206	დანაშაული
guilty	0.135	0.770	0.352	დამნაშავე
guinea	0.521	0.440	0.396	გვინეა
guise	0.531	0.547	0.324	ნიღაბი
guitar	0.844	0.542	0.469	გიტარა
guitarist	0.827	0.740	0.549	გიტარისტი
gules	0.469	0.443	0.340	გოლები
gulf	0.520	0.365	0.398	ყურე
gull	0.594	0.317	0.378	თოლია
gullet	0.385	0.490	0.393	ნაღველი
gullible	0.440	0.442	0.318	გულკეთილი
gully	0.316	0.519	0.394	ხევი
gulp	0.551	0.660	0.409	ყელში
gum	0.573	0.227	0.213	რეზინა
gumbo	0.500	0.422	0.361	გუმბო
gummy	0.521	0.302	0.291	რეზინის
gumption	0.480	0.538	0.488	გუმპაცია
gun	0.147	0.920	0.713	იარაღი
gunboat	0.139	0.663	0.618	თოფის ნავი
gunfight	0.051	0.961	0.700	თოფის ჩხუბი
gunfighter	0.156	0.910	0.741	მებრძოლი
gunfire	0.156	0.930	0.673	სროლა
gunk	0.250	0.478	0.219	იარაღი
gunman	0.167	0.922	0.689	შეიარაღებული კაცი
gunmen	0.073	0.942	0.727	შეიარაღებული პირები
gunner	0.250	0.853	0.817	მსროლელი
gunnery	0.281	0.861	0.873	მსროლელი
gunplay	0.133	0.906	0.627	იარაღის თამაში
gunpoint	0.188	0.817	0.719	იარაღს
gunpowder	0.425	0.853	0.509	დენთის
gunshot	0.042	0.953	0.673	გასროლა
gunslinger	0.316	0.873	0.811	თოფიანი
gurney	0.408	0.304	0.352	გურნი
guru	0.573	0.360	0.653	გურუ
gush	0.510	0.490	0.381	ღვარძლიანი
gusher	0.406	0.520	0.453	გუშერი
gusset	0.427	0.425	0.423	გუსეტი
gust	0.490	0.755	0.556	აფეთქება
gusto	0.692	0.729	0.620	სიამოვნება
gusty	0.687	0.631	0.455	ღვარძლიანი
gut	0.408	0.367	0.364	ნაწლავი
gutless	0.250	0.381	0.384	უგუნურები
guts	0.592	0.649	0.582	გუნება
gutsy	0.635	0.573	0.536	გამბედავი
gutter	0.466	0.260	0.400	ღუმელი
guy	0.583	0.367	0.546	ბიჭი
guzzler	0.393	0.537	0.436	გუზლერი
guzzling	0.460	0.490	0.380	გუგუნი
gym	0.635	0.690	0.613	სპორტ - დარბაზი
gymnasium	0.667	0.561	0.474	გიმნაზია
gymnast	0.670	0.760	0.558	ტანმოვარჯიშე
gymnastic	0.810	0.706	0.604	ტანვარჯიშის
gymnastics	0.745	0.677	0.508	ტანვარჯიში
gynecologist	0.552	0.566	0.682	გინეკოლოგი
gynecology	0.408	0.590	0.519	გინეკოლოგია
gypsy	0.375	0.665	0.396	ბოშა
gyroscope	0.500	0.390	0.510	გიროსკოპი
habit	0.625	0.226	0.585	ჩვევა
habitat	0.633	0.343	0.553	ჰაბიტატი
habitation	0.781	0.231	0.538	საცხოვრებელი
habitual	0.527	0.208	0.490	ჩვეული
habitually	0.600	0.324	0.583	ჩვეულებრივად
hacienda	0.688	0.402	0.573	ჰაციენდა
hack	0.135	0.717	0.534	გატეხვა
hacker	0.271	0.755	0.740	ჰაკერი
hacksaw	0.406	0.645	0.537	hacksaw
hadenough	0.323	0.566	0.529	საკმარისია
hag	0.188	0.695	0.411	ჰაგი
haggard	0.115	0.510	0.246	დაღლილი
haggle	0.480	0.601	0.461	ვაჭრობა
haiku	0.583	0.356	0.392	ჰაიკუ
hail	0.459	0.627	0.411	სეტყვა
hair	0.582	0.186	0.286	თმა
hairball	0.370	0.302	0.315	თმის ბურთი
hairbrush	0.454	0.216	0.263	თმის ჯაგრისი
haircut	0.677	0.343	0.307	თმის შეჭრა
hairdo	0.552	0.320	0.435	თმის ვარცხნილობა
hairdresser	0.708	0.509	0.407	პარიკმახერი
hairdryer	0.642	0.402	0.330	თმის საშრობი
hairless	0.136	0.235	0.139	თმიანი
hairline	0.418	0.154	0.230	თმის ხაზი
hairpin	0.459	0.363	0.370	თმის სამაგრი
hairspray	0.549	0.279	0.269	თმის სპრეი
hairstyle	0.771	0.380	0.433	ვარცხნილობა
hairy	0.542	0.380	0.343	თმიანი
hale	0.479	0.435	0.500	ჰალე
half	0.500	0.274	0.276	ნახევარი
half dollar	0.573	0.408	0.509	ნახევარი დოლარი
halfback	0.490	0.429	0.440	ნახევარმცველი
halftime	0.458	0.352	0.429	ნახევარი დრო
halfway	0.510	0.254	0.339	შუა გზაზე
halibut	0.449	0.412	0.411	ჰალიბუტი
hall	0.510	0.340	0.424	დარბაზი
hallelujah	0.770	0.554	0.657	ალილუია
hallmark	0.646	0.315	0.411	დამახასიათებელი ნიშანი
hallowed	0.740	0.500	0.728	წმიდა
hallucination	0.396	0.706	0.370	ჰალუცინაცია
hallway	0.573	0.230	0.279	დერეფანი
halo	0.490	0.370	0.441	ჰალო
halt	0.167	0.360	0.432	შეჩერება
halter	0.448	0.451	0.431	ლაგამი
halting	0.255	0.596	0.519	შეჩერება
halve	0.316	0.347	0.302	განახევრება
halving	0.292	0.474	0.366	განახევრება
ham	0.673	0.245	0.404	ლორი
hamburger	0.809	0.551	0.387	ჰამბურგერი
hamlet	0.573	0.270	0.397	ჰამლეტი
hammer	0.312	0.509	0.563	ჩაქუჩი
hammerhead	0.337	0.490	0.569	ჩაქუჩის თავი
hammering	0.347	0.779	0.557	ჩაქუჩით დარტყმა
hammock	0.673	0.255	0.287	ჰამაკი
hamper	0.204	0.711	0.473	შეფერხება
hamster	0.520	0.394	0.349	ზაზუნა
hamstring	0.406	0.471	0.443	ბარძაყის ძვალი
hand	0.542	0.314	0.434	ხელი
handbag	0.562	0.240	0.336	ხელჩანთა
handball	0.561	0.493	0.440	ხელბურთი
handbook	0.600	0.224	0.567	სახელმძღვანელო
handcuff	0.310	0.590	0.593	ხელბორკილი
handful	0.521	0.481	0.400	მუჭა
handgun	0.156	0.914	0.782	თოფი
handheld	0.646	0.350	0.586	ხელის
handicap	0.133	0.394	0.264	ინვალიდობა
handicapped	0.204	0.467	0.180	ინვალიდი
handicraft	0.724	0.333	0.565	ხელსაქმე
handiwork	0.753	0.430	0.410	ხელნაკეთი
handkerchief	0.510	0.192	0.219	ცხვირსახოცი
handle	0.698	0.571	0.558	სახელური
handler	0.439	0.593	0.861	დამმუშავებელი
handmade	0.776	0.383	0.475	ხელნაკეთი
handout	0.560	0.330	0.545	დარიგება
handprint	0.635	0.289	0.463	ხელის ანაბეჭდი
handshake	0.816	0.654	0.492	ხელის ჩამორთმევა
handsome	0.890	0.600	0.682	სიმპათიური
handwriting	0.615	0.378	0.381	ხელწერა
handy	0.741	0.378	0.639	მოხერხებული
handyman	0.660	0.373	0.393	ხელოსანი
hang	0.323	0.529	0.446	დაკიდება
hangar	0.490	0.456	0.481	ანგარი
hanger	0.439	0.462	0.461	საკიდი
hanging	0.378	0.471	0.389	ჩამოკიდებული
hangman	0.153	0.877	0.555	ფარდული
hangout	0.573	0.500	0.462	დროის გატარება
hangover	0.188	0.565	0.267	ნაბახუსევი
hangry	0.219	0.794	0.279	მშიერი
hank	0.510	0.375	0.339	ჰანკი
hankering	0.604	0.540	0.558	მონდომება
hanky	0.460	0.276	0.250	ჰანკი
hap	0.503	0.431	0.453	ჰაპ
haphazard	0.469	0.530	0.324	შემთხვევითი
hapless	0.271	0.442	0.193	უბედური
happen	0.677	0.670	0.551	მოხდეს
happening	0.646	0.529	0.555	ხდება
happier	0.990	0.760	0.806	უფრო ბედნიერი
happiest	0.990	0.716	0.746	ყველაზე ბედნიერი
happily	1.000	0.690	0.674	ბედნიერად
happiness	0.960	0.732	0.850	ბედნიერება
happy	1.000	0.735	0.772	ბედნიერი
happydance	0.857	0.760	0.582	ბედნიერი ცეკვა
happyday	0.929	0.650	0.663	ბედნიერი დღე
happyheart	0.949	0.575	0.605	ბედნიერი გული
happyholidays	0.927	0.740	0.637	ბედნიერი არდადეგები
happynewyear	0.969	0.815	0.559	გილოცავთ ახალ წელს
happyplace	0.938	0.589	0.645	ბედნიერი ადგილი
happytweet	0.847	0.588	0.437	ბედნიერი ტვიტი
happyvalentinesday	0.929	0.784	0.509	გილოცავ ვალენტინობას
harass	0.160	0.775	0.620	შევიწროება
harassing	0.120	0.873	0.446	შევიწროება
harassment	0.083	0.896	0.420	შევიწროება
harbinger	0.490	0.389	0.692	წინამძღვარი
harbor	0.594	0.356	0.634	ნავსადგური
hard	0.302	0.708	0.616	მძიმე
hardball	0.542	0.667	0.452	მძიმე ბურთი
hardcore	0.250	0.721	0.585	ჰარდკორი
harden	0.276	0.598	0.677	გამკვრივება
hardened	0.406	0.618	0.764	გამაგრებული
