English Word	Valence	Arousal	Dominance	Marathi Word
hazmat	0.398	0.479	0.519	hazmat
hazy	0.450	0.433	0.230	धुके
head	0.530	0.472	0.558	डोके
headache	0.168	0.755	0.273	डोकेदुखी
headaches	0.104	0.720	0.259	डोकेदुखी
headband	0.670	0.469	0.527	हेडबँड
headdress	0.594	0.408	0.443	शिरोभूषण
header	0.560	0.398	0.740	शीर्षलेख
headgear	0.542	0.442	0.571	हेडगियर
heading	0.551	0.292	0.642	शीर्षक
headland	0.574	0.551	0.430	हेडलँड
headless	0.136	0.582	0.235	डोकेहीन
headlight	0.592	0.343	0.393	हेडलाइट
headline	0.630	0.241	0.685	मथळा
headliner	0.500	0.490	0.625	हेडलाइनर
headlock	0.448	0.538	0.560	हेडलॉक
headlong	0.354	0.548	0.409	डोक्यावर
headmaster	0.604	0.564	0.865	मुख्याध्यापक
headphones	0.600	0.357	0.336	हेडफोन
headquarter	0.615	0.269	0.525	मुख्यालय
headquarters	0.615	0.271	0.525	मुख्यालय
headset	0.602	0.340	0.302	हेडसेट
headstone	0.240	0.378	0.349	हेडस्टोन
headstrong	0.310	0.714	0.500	हेडस्ट्राँग
headway	0.823	0.464	0.745	प्रगती
heady	0.448	0.806	0.565	हेड
heal	0.765	0.245	0.556	बरे करणे
healer	0.863	0.378	0.741	बरे करणारा
healing	0.750	0.452	0.585	उपचार
health	0.935	0.427	0.551	आरोग्य
healthcare	0.780	0.392	0.630	आरोग्य सेवा
healthful	0.930	0.315	0.769	आरोग्यदायी
healthy	0.938	0.319	0.818	निरोगी
heap	0.582	0.510	0.474	ढीग
hear	0.760	0.429	0.444	ऐकणे
hearer	0.656	0.281	0.415	ऐकणारा
hearing	0.669	0.490	0.595	सुनावणी
hearsay	0.288	0.623	0.333	ऐकणे
hearse	0.177	0.490	0.324	ऐकणे
heart	0.827	0.500	0.693	हृदय
heart disease	0.250	0.750	0.386	हृदयरोग
heartache	0.088	0.750	0.291	हृदयदुखी
heartattack	0.156	0.839	0.455	हृदयविकाराचा झटका
heartbeat	0.750	0.698	0.585	हृदयाचा ठोका
heartbreak	0.208	0.610	0.245	हृदयविकार
heartbreaker	0.265	0.685	0.580	हृदयद्रावक
heartbreaking	0.146	0.811	0.423	हृदयद्रावक
heartbroken	0.082	0.551	0.235	हृदय तुटलेले
heartburn	0.143	0.613	0.398	छातीत जळजळ
hearted	0.823	0.410	0.805	मनापासून
heartfelt	0.904	0.440	0.540	मनापासून
hearth	0.760	0.275	0.536	चूल
heartily	0.927	0.531	0.664	मनापासून
heartland	0.812	0.510	0.675	हार्टलँड
heartless	0.071	0.652	0.400	हृदयहीन
hearts	0.948	0.592	0.634	ह्रदये
heartsick	0.240	0.388	0.208	हृदयविकार
heartworm	0.333	0.550	0.430	हृदयाचा किडा
hearty	0.760	0.684	0.792	हार्दिक
heat	0.534	0.612	0.433	उष्णता
heated	0.479	0.497	0.542	गरम
heater	0.500	0.573	0.538	हीटर
heath	0.802	0.387	0.546	आरोग्य
heathen	0.194	0.529	0.491	अधर्मी
heather	0.500	0.352	0.407	हिदर
heating	0.647	0.491	0.537	गरम करणे
heave	0.716	0.588	0.664	भरणे
heaven	0.896	0.385	0.600	स्वर्ग
heavenly	0.844	0.452	0.712	स्वर्गीय
heavens	0.806	0.273	0.683	स्वर्ग
heavily	0.542	0.679	0.814	जोरदारपणे
heaviness	0.219	0.549	0.318	जडपणा
heaving	0.201	0.843	0.491	heaving
heavy	0.250	0.454	0.600	जड
heavy metal	0.417	0.755	0.621	वजनदार धातू
heavyweight	0.429	0.578	0.713	हेवीवेट
heck	0.240	0.728	0.560	हेक
hectares	0.570	0.250	0.471	हेक्टर
hectic	0.167	0.811	0.438	व्यस्त
hedge	0.604	0.602	0.569	हेज
hedgehog	0.458	0.491	0.377	हेज हॉग
hedonism	0.510	0.500	0.608	हेडोनिझम
hee	0.430	0.433	0.312	हे
heed	0.750	0.490	0.569	लक्ष द्या
heel	0.480	0.350	0.385	टाच
heels	0.500	0.439	0.396	टाचा
heft	0.503	0.340	0.530	वजन
hefty	0.550	0.654	0.745	वजनदार
hegemonic	0.462	0.519	0.558	वर्चस्ववादी
heheh	0.625	0.510	0.278	हेहे
heifer	0.439	0.443	0.321	गाय
height	0.677	0.608	0.648	उंची
heighten	0.755	0.622	0.765	वाढवणे
heightened	0.592	0.529	0.788	वाढवलेला
heinous	0.133	0.792	0.471	जघन्य
heir	0.840	0.654	0.764	वारस
heiress	0.827	0.571	0.676	वारस
heirloom	0.684	0.375	0.745	वंशपरंपरा
heirs	0.796	0.519	0.698	वारस
heist	0.184	0.850	0.645	दरोडा
helical	0.379	0.429	0.468	पेचदार
helicopter	0.714	0.806	0.617	हेलिकॉप्टर
helipad	0.780	0.637	0.573	हेलिपॅड
heliport	0.594	0.604	0.527	हेलीपोर्ट
helium	0.490	0.316	0.304	हेलियम
helix	0.521	0.462	0.509	हेलिक्स
hell	0.020	0.918	0.565	नरक
hellfire	0.143	0.890	0.618	नरक आग
hellhole	0.200	0.615	0.421	हेलहोल
hellish	0.125	0.860	0.545	नरक
helm	0.511	0.450	0.615	सुकाणू
helmet	0.573	0.327	0.402	शिरस्त्राण
helmsman	0.490	0.441	0.647	कर्णधार
help	0.673	0.471	0.460	मदत
helper	0.704	0.438	0.567	मदतनीस
helpful	0.816	0.337	0.705	उपयुक्त
helpless	0.104	0.420	0.214	असहाय्य
helplessness	0.087	0.480	0.250	असहायता
hem	0.562	0.283	0.291	हेम
hematite	0.448	0.389	0.342	हेमॅटाइट
hematoma	0.146	0.600	0.398	रक्ताबुर्द
hemi	0.510	0.363	0.342	हेमी
hemisphere	0.531	0.367	0.598	गोलार्ध
hemispheric	0.562	0.449	0.603	गोलार्ध
hemlock	0.438	0.350	0.434	हेमलॉक
hemoglobin	0.469	0.481	0.418	हिमोग्लोबिन
hemorrhage	0.031	0.849	0.426	रक्तस्त्राव
hemorrhoids	0.133	0.702	0.304	मूळव्याध
hemostat	0.388	0.442	0.464	हेमोस्टॅट
hemp	0.469	0.439	0.422	भांग
hen	0.385	0.276	0.241	कोंबडी
henceforth	0.527	0.404	0.466	यापुढे
henhouse	0.500	0.577	0.414	कोंबडीचे घर
hepatitis	0.055	0.596	0.358	हिपॅटायटीस
herald	0.643	0.382	0.500	हेराल्ड
heraldry	0.550	0.520	0.607	हेराल्ड्री
herb	0.643	0.418	0.353	औषधी वनस्पती
herbaceous	0.560	0.220	0.310	औषधी वनस्पती
herbal	0.592	0.255	0.390	हर्बल
herbarium	0.602	0.188	0.327	वनौषधी
herbs	0.620	0.299	0.308	औषधी वनस्पती
herd	0.592	0.500	0.474	कळप
hereditary	0.531	0.600	0.737	आनुवंशिक
heredity	0.704	0.445	0.818	आनुवंशिकता
heresy	0.265	0.765	0.443	पाखंडी मत
heretic	0.090	0.710	0.447	विधर्मी
heretical	0.229	0.630	0.487	विधर्मी
heretofore	0.479	0.388	0.385	याआधी
hereunto	0.500	0.225	0.333	येथे
herewith	0.450	0.360	0.415	यासह
heritage	0.842	0.512	0.815	वारसा
hermaphrodite	0.480	0.684	0.481	हर्माफ्रोडाइट
hermeneutics	0.406	0.577	0.562	हर्मेन्युटिक्स
hermit	0.271	0.337	0.351	संन्यासी
hernia	0.146	0.486	0.223	हर्निया
hero	0.940	0.806	0.881	नायक
heroic	0.890	0.770	0.912	वीर
heroics	0.865	0.673	0.894	वीरता
heroin	0.276	0.843	0.655	हेरॉईन
heroine	0.729	0.755	0.833	नायिका
heroism	0.844	0.802	0.898	वीरता
herpes	0.110	0.600	0.309	नागीण
herpesvirus	0.219	0.558	0.435	नागीण व्हायरस
herring	0.531	0.387	0.422	हेरिंग
hertz	0.396	0.417	0.506	हर्ट्झ
hesitant	0.333	0.542	0.321	संकोच
hesitate	0.459	0.548	0.232	संकोच
hesitating	0.265	0.528	0.240	संकोच
hesitation	0.286	0.396	0.217	संकोच
hetero	0.589	0.405	0.435	hetero
heterogeneity	0.439	0.450	0.556	विषमता
hew	0.417	0.470	0.377	कापणे
hex	0.410	0.510	0.363	हेक्स
hexagon	0.542	0.226	0.425	षटकोन
heyday	0.646	0.680	0.673	आनंदाचा दिवस
hiatus	0.479	0.294	0.352	अंतर
hibernate	0.500	0.317	0.431	हायबरनेट
hibernation	0.469	0.245	0.384	हायबरनेशन
hiccup	0.271	0.549	0.240	हिचकी
hick	0.357	0.442	0.314	हिक
hickey	0.448	0.529	0.345	हिकी
hickory	0.520	0.490	0.415	हिकरी
hidden	0.208	0.430	0.327	लपलेले
hide	0.438	0.510	0.218	लपवा
hideaway	0.448	0.481	0.360	लपण्याची जागा
hideous	0.091	0.750	0.328	भयंकर
hideout	0.337	0.443	0.302	लपण्याची जागा
hiding	0.250	0.567	0.364	लपून
hierarchical	0.521	0.620	0.939	श्रेणीबद्ध
hierarchy	0.583	0.722	0.902	पदानुक्रम
hieroglyphics	0.479	0.325	0.509	चित्रलिपी
high	0.684	0.510	0.614	उच्च
high heels	0.646	0.528	0.429	उंच टाचा
highball	0.656	0.520	0.481	हायबॉल
higher	0.866	0.528	0.713	उच्च
highest	0.771	0.640	0.710	सर्वोच्च
highland	0.615	0.481	0.611	डोंगराळ प्रदेश
highlands	0.735	0.431	0.596	उंच प्रदेश
highlight	0.844	0.637	0.882	हायलाइट
highness	0.740	0.670	0.931	उच्चता
hight	0.667	0.637	0.645	उच्च
hightail	0.448	0.480	0.481	उंचवटा
highway	0.640	0.583	0.425	महामार्ग
hijack	0.042	0.908	0.594	अपहरण
hijacker	0.104	0.953	0.683	अपहरणकर्ता
hike	0.615	0.442	0.538	वाढ
hiker	0.694	0.802	0.644	गिर्यारोहक
hiking	0.820	0.843	0.670	हायकिंग
hiking boot	0.657	0.353	0.446	हायकिंग बूट
hilarious	0.750	0.640	0.537	आनंदी
hilarity	0.745	0.480	0.575	आनंद
hill	0.615	0.353	0.518	टेकडी
hillside	0.625	0.292	0.458	टेकडी
hilltop	0.688	0.643	0.787	टेकडी
hilly	0.643	0.479	0.603	डोंगराळ
hilt	0.396	0.650	0.537	हिल्ट
hind	0.483	0.644	0.337	हिंद
hinder	0.276	0.537	0.470	अडथळा
hindering	0.260	0.654	0.435	अडथळा आणणारा
hindrance	0.135	0.545	0.473	अडथळा
hindsight	0.333	0.431	0.532	दृष्टी
hinge	0.458	0.292	0.417	बिजागर
hint	0.602	0.330	0.517	इशारा
hinterland	0.530	0.520	0.457	अंतराळ
hip	0.448	0.415	0.345	नितंब
hip hop	0.740	0.714	0.484	उड्या मारणे
hippie	0.551	0.400	0.396	हिप्पी
hippo	0.490	0.404	0.477	हिप्पो
hippopotamus	0.541	0.472	0.615	हिप्पोपोटॅमस
hire	0.688	0.558	0.556	भाड्याने
hirsute	0.385	0.483	0.373	हिरसुट
hiss	0.388	0.480	0.370	हिसका
hissing	0.500	0.454	0.400	शिसणे
histology	0.490	0.320	0.560	हिस्टोलॉजी
historian	0.688	0.270	0.637	इतिहासकार
historic	0.816	0.473	0.784	ऐतिहासिक
historical	0.653	0.357	0.833	ऐतिहासिक
historiography	0.562	0.415	0.634	इतिहासलेखन
history	0.729	0.382	0.754	इतिहास
hit	0.235	0.931	0.679	दाबा
hitch	0.512	0.480	0.554	अडचण
hitchhike	0.396	0.622	0.385	हिचहाइक
hitchhiker	0.594	0.626	0.603	प्रवासी
hitherto	0.448	0.356	0.463	आतापर्यंत
hitter	0.418	0.683	0.713	मारणारा
hive	0.471	0.452	0.544	पोळे
hives	0.417	0.473	0.591	पोळ्या
hoard	0.506	0.412	0.518	साठा
hoarse	0.281	0.402	0.315	कर्कश
hoary	0.469	0.298	0.424	hoary
hoax	0.146	0.696	0.303	लबाडी
hob	0.633	0.363	0.415	हॉब
hobbit	0.479	0.489	0.472	हॉबिट
hobby	0.827	0.560	0.471	छंद
hobo	0.323	0.443	0.282	hobo
hock	0.513	0.452	0.412	हॉक
hockey	0.565	0.786	0.548	हॉकी
hoe	0.302	0.480	0.418	कुदळ
hog	0.317	0.509	0.271	हॉग
hogwash	0.420	0.490	0.361	हॉगवॉश
hohoho	0.677	0.433	0.330	hohoho
hoist	0.521	0.520	0.458	फडकावणे
hokey	0.604	0.667	0.430	होकी
hold	0.448	0.290	0.364	धरा
holder	0.592	0.330	0.713	धारक
holding	0.600	0.385	0.670	धारण
holdup	0.398	0.471	0.398	होल्डअप
hole	0.531	0.310	0.330	छिद्र
holiday	0.948	0.431	0.593	सुट्टी
holidays	0.939	0.521	0.512	सुट्ट्या
holidayseason	0.875	0.566	0.518	सुट्यांचा काळ
holiness	0.860	0.264	0.742	पवित्रता
holistic	0.670	0.348	0.547	समग्र
holler	0.276	0.825	0.406	होलर
hollow	0.300	0.337	0.222	पोकळ
holly	0.510	0.250	0.443	होली
holocaust	0.062	0.918	0.618	होलोकॉस्ट
hologram	0.615	0.461	0.575	होलोग्राम
holographic	0.510	0.471	0.555	होलोग्राफिक
holster	0.561	0.255	0.339	पिस्तूल
holy	0.812	0.112	0.690	पवित्र
holyspirit	0.740	0.480	0.526	पवित्र आत्मा
homage	0.833	0.560	0.737	श्रद्धांजली
hombre	0.656	0.472	0.696	hombre
hombres	0.510	0.538	0.652	hombres
home	0.854	0.270	0.545	मुख्यपृष्ठ
homeboy	0.602	0.255	0.436	घरचा मुलगा
homecoming	0.760	0.413	0.472	घरवापसी
homeland	0.663	0.439	0.868	जन्मभुमी
homeless	0.042	0.450	0.188	बेघर
homely	0.745	0.157	0.399	घरगुती
homemade	0.869	0.340	0.398	घरगुती
homeopathic	0.417	0.268	0.400	होमिओपॅथिक
homeopathy	0.469	0.284	0.439	होमिओपॅथी
homeowner	0.635	0.397	0.962	घरमालक
homeroom	0.604	0.480	0.491	घराची खोली
homesick	0.436	0.304	0.347	गृहस्थ
homestead	0.865	0.221	0.536	घर
homesweethome	0.796	0.380	0.538	घरगुती
hometown	0.858	0.333	0.605	मूळ गाव
homeward	0.833	0.275	0.435	घराकडे
homework	0.396	0.412	0.459	गृहपाठ
homey	0.769	0.278	0.500	घरगुती
homicidal	0.020	0.912	0.573	हत्या
homicide	0.010	0.973	0.518	हत्या
homily	0.621	0.358	0.425	नम्रपणे
homing	0.551	0.460	0.527	घरी परतणे
hominy	0.479	0.382	0.429	घराणेशाही
homo	0.531	0.368	0.415	होमो
homogeneity	0.715	0.365	0.582	एकजिनसीपणा
homogeneous	0.552	0.255	0.617	एकसंध
homologous	0.471	0.353	0.536	एकसंध
homologue	0.542	0.356	0.509	समलैंगिक
homology	0.571	0.494	0.527	होमोलॉजी
homophobic	0.130	0.736	0.464	होमोफोबिक
honcho	0.469	0.464	0.397	honcho
hone	0.688	0.392	0.473	होन
honest	0.927	0.254	0.750	प्रामाणिक
honesty	0.938	0.411	0.728	प्रामाणिकपणा
honey	0.920	0.431	0.510	मध
honeycomb	0.541	0.417	0.412	मधाचा पोळा
honeymoon	0.979	0.678	0.526	मधुचंद्र
honeysuckle	0.597	0.451	0.517	हनीसकल
honk	0.549	0.635	0.415	हॉंक
honky	0.458	0.632	0.425	honky
honor	0.896	0.587	0.857	सन्मान
honorable	0.963	0.412	0.830	सन्माननीय
honorarium	0.796	0.510	0.746	मानधन
honorary	0.885	0.565	0.811	मानद
honored	0.938	0.447	0.732	सन्मानित
hooch	0.429	0.538	0.373	हुच
hood	0.357	0.459	0.306	हुड
hooded	0.306	0.745	0.439	हुड असलेला
hoodlum	0.354	0.720	0.432	गुंडगिरी
hoof	0.427	0.341	0.365	खूर
hook	0.418	0.444	0.395	हुक
hooked	0.610	0.661	0.454	हुकलेला
hooker	0.214	0.889	0.373	हुकर
hookup	0.625	0.529	0.683	हुकअप
hooky	0.468	0.500	0.452	हुकी
hooligan	0.295	0.712	0.455	गुंड
hoop	0.635	0.204	0.315	हुप
hoopla	0.542	0.471	0.353	हुपला
hooray	0.610	0.481	0.536	हुर्रे
hoot	0.449	0.560	0.430	आवाज
hooter	0.470	0.615	0.455	हूटर
hop	0.450	0.520	0.427	हॉप
hope	0.927	0.317	0.739	आशा
hopeful	0.947	0.357	0.627	आशावादी
hopeless	0.094	0.298	0.112	हताश
hopelessness	0.052	0.402	0.223	नैराश्य
hopes	0.917	0.500	0.702	आशा
hoping	0.684	0.469	0.454	आशा
hopper	0.396	0.491	0.442	हॉपर
horde	0.286	0.713	0.684	जमाव
horizon	0.729	0.284	0.590	क्षितीज
horizontal	0.573	0.304	0.387	क्षैतिज
horizontally	0.500	0.356	0.439	क्षैतिज
hormonal	0.500	0.620	0.551	हार्मोनल
hormone	0.490	0.750	0.621	संप्रेरक
horn	0.385	0.510	0.366	हॉर्न
horned	0.316	0.610	0.375	शिंगे असलेला
hornet	0.398	0.594	0.500	हॉर्नेट
horny	0.490	0.908	0.560	खडबडीत
horoscope	0.500	0.360	0.490	पत्रिका
horrendous	0.073	0.755	0.365	भयानक
horrible	0.071	0.857	0.398	भयानक
horribly	0.050	0.631	0.454	भयंकरपणे
horrid	0.052	0.765	0.419	भयंकर
horrific	0.094	0.846	0.481	भयानक
horrified	0.040	0.885	0.368	भयभीत
horrifying	0.010	0.760	0.352	भयानक
horror	0.115	0.850	0.438	भयपट
horrors	0.061	0.852	0.409	भयपट
horse	0.635	0.510	0.529	घोडा
horseback	0.688	0.588	0.566	घोडा
horseman	0.441	0.700	0.676	घोडेस्वार
horsepower	0.594	0.735	0.735	अश्वशक्ती
horseradish	0.321	0.584	0.476	तिखट मूळ असलेले एक रोपटे
horseshit	0.153	0.582	0.179	घोडा
horseshoe	0.673	0.350	0.406	घोड्याचा नाल
horsey	0.602	0.454	0.462	घोडे
horticultural	0.594	0.387	0.509	बागायती
horticulture	0.700	0.420	0.434	फलोत्पादन
hosannah	0.679	0.373	0.500	hosannah
hose	0.469	0.288	0.263	रबरी नळी
hosiery	0.520	0.344	0.373	होजियरी
hospice	0.337	0.443	0.535	धर्मशाळा
hospitable	0.791	0.470	0.661	आदरातिथ्य
hospital	0.323	0.537	0.598	रुग्णालय
hospitality	0.865	0.333	0.725	आदरातिथ्य
host	0.693	0.471	0.537	यजमान
hostage	0.163	0.923	0.325	ओलीस
hostel	0.479	0.500	0.398	वसतिगृहात
hostess	0.792	0.604	0.688	परिचारिका
hostile	0.188	0.877	0.474	विरोधी
hostilities	0.276	0.810	0.444	शत्रुत्व
hostility	0.122	0.775	0.465	शत्रुत्व
hot	0.490	0.740	0.573	गरम
hot sauce	0.333	0.740	0.509	गरम सॉस
hotbed	0.510	0.285	0.395	हॉटबेड
hotdog	0.720	0.438	0.373	हॉटडॉग
hotel	0.740	0.370	0.407	हॉटेल
hothead	0.240	0.849	0.518	हॉटहेड
hotline	0.592	0.565	0.663	हॉटलाइन
hotshot	0.500	0.727	0.615	हॉटशॉट
hotyoga	0.683	0.609	0.446	hotyoga
hound	0.417	0.528	0.582	शिकारी प्राणी
hour	0.552	0.265	0.336	तास
hourglass	0.542	0.284	0.492	घंटागाडी
hourly	0.469	0.418	0.491	प्रति तास
house	0.587	0.135	0.533	घर
houseboat	0.604	0.389	0.429	हाऊसबोट
houseboy	0.479	0.415	0.393	घरातील मुलगा
housebroken	0.518	0.461	0.389	घर तुटलेले
houseguest	0.530	0.500	0.481	गृहस्थ
household	0.781	0.230	0.667	घरगुती
householder	0.816	0.541	0.833	गृहस्थ
housekeeper	0.694	0.279	0.520	घराची सर्व व्यवस्था पाहणारी व्यक्ती
housekeeping	0.604	0.500	0.445	घरकाम
housewarming	0.857	0.710	0.727	हाऊसवॉर्मिंग
housewife	0.656	0.361	0.449	गृहिणी
housework	0.484	0.413	0.342	घरकाम
housing	0.776	0.304	0.591	गृहनिर्माण
hovel	0.333	0.296	0.322	पोकळी
hover	0.510	0.431	0.404	फिरवा
hovercraft	0.541	0.654	0.588	हॉवरक्राफ्ट
howl	0.357	0.646	0.407	रडणे
howsoever	0.459	0.309	0.345	तरीही
hoy	0.583	0.298	0.471	hoy
hub	0.479	0.399	0.433	केंद्र
hubby	0.548	0.435	0.430	पती
huckleberry	0.600	0.279	0.296	हकलबेरी
huddle	0.604	0.509	0.445	अडकवणे
hue	0.507	0.416	0.417	रंग
huff	0.388	0.491	0.315	हफ
huffy	0.420	0.616	0.375	हफी
hug	0.908	0.427	0.548	मिठी
huge	0.573	0.625	0.783	प्रचंड
hugger	0.520	0.480	0.412	मिठी मारणे
huggy	0.854	0.429	0.451	मिठीत
hugs	0.980	0.422	0.600	मिठ्या
hulk	0.460	0.740	0.750	हल्क
hull	0.542	0.265	0.353	हुल
hum	0.490	0.296	0.276	गुंजन
human	0.767	0.314	0.605	मानव
humane	0.800	0.370	0.580	मानवी
humanitarian	0.786	0.317	0.709	मानवतावादी
humanities	0.729	0.325	0.677	मानवता
humanity	0.750	0.360	0.727	मानवता
humankind	0.885	0.394	0.714	मानवजात
humanoid	0.521	0.462	0.491	humanoid
humanrights	0.792	0.559	0.730	मानवी हक्क
humble	0.867	0.236	0.483	नम्र
humbled	0.280	0.618	0.198	नम्र
humbly	0.771	0.194	0.370	नम्रपणे
humbug	0.219	0.622	0.456	हंबग
humdrum	0.269	0.246	0.353	हंबरडा
humid	0.375	0.324	0.366	दमट
humidity	0.464	0.373	0.367	आर्द्रता
humiliate	0.052	0.714	0.275	अपमानित करणे
humiliated	0.104	0.712	0.216	अपमानित
humiliating	0.062	0.716	0.279	अपमानास्पद
humiliation	0.048	0.712	0.310	अपमान
humility	0.740	0.118	0.444	नम्रता
hummer	0.510	0.622	0.589	हमर
hummingbird	0.750	0.370	0.273	हमिंगबर्ड
humongous	0.378	0.538	0.536	प्रचंड
humor	0.890	0.633	0.462	विनोद
humored	0.854	0.657	0.545	विनोदी
humorist	0.958	0.790	0.607	विनोदी
humorous	0.906	0.616	0.665	विनोदी
hump	0.296	0.462	0.250	कुबड
humpback	0.235	0.346	0.247	कुबडा
hunch	0.561	0.630	0.567	कुबड्या
hunchback	0.208	0.390	0.259	कुबड्या
hundred	0.604	0.370	0.406	शंभर
hundredth	0.427	0.368	0.466	शंभरावा
hunger	0.083	0.554	0.328	भूक
hungry	0.083	0.690	0.254	भुकेले
hunk	0.438	0.375	0.361	हंक
hunks	0.417	0.453	0.482	हंक्स
hunky	0.469	0.571	0.438	हंकी
hunt	0.327	0.806	0.588	शिकार
hunter	0.292	0.817	0.817	शिकारी
hunting	0.448	0.713	0.714	शिकार
huntress	0.357	0.717	0.765	शिकारी
hurdle	0.198	0.682	0.434	अडथळा
hurl	0.316	0.745	0.574	फेकणे
hurrah	0.802	0.740	0.500	हुरे
hurricane	0.177	0.958	0.787	चक्रीवादळ
hurricanes	0.286	0.898	0.784	चक्रीवादळ
hurried	0.314	0.806	0.393	घाई
hurry	0.422	0.735	0.481	घाई
hurryup	0.473	0.791	0.555	लवकर कर
hurt	0.062	0.773	0.291	दुखापत
hurtful	0.104	0.680	0.463	त्रासदायक
hurting	0.153	0.778	0.221	दुखापत
husband	0.771	0.500	0.655	नवरा
husbandry	0.643	0.473	0.445	पालन
hush	0.471	0.231	0.312	शांत
hushed	0.292	0.194	0.272	शांत
husk	0.378	0.173	0.147	भुसा
husky	0.630	0.450	0.490	हस्की
hussy	0.219	0.594	0.384	हसी
hustle	0.406	0.661	0.427	रेटारेटी
hustler	0.260	0.821	0.627	हसलर
hut	0.633	0.270	0.375	झोपडी
hutch	0.385	0.453	0.520	हच
hyacinth	0.372	0.360	0.342	हायसिंथ
hybrid	0.500	0.365	0.570	संकरित
hydra	0.406	0.598	0.534	हायड्रा
hydrant	0.570	0.413	0.367	हायड्रंट
hydrate	0.610	0.367	0.547	हायड्रेट
hydraulic	0.522	0.398	0.596	हायड्रॉलिक
hydraulics	0.500	0.530	0.588	हायड्रॉलिक
hydrocephalus	0.286	0.629	0.393	हायड्रोसेफलस
hydrodynamics	0.552	0.582	0.664	हायड्रोडायनामिक्स
hydrogen	0.469	0.303	0.554	हायड्रोजन
hydrographic	0.490	0.396	0.642	हायड्रोग्राफिक
hydrology	0.500	0.380	0.509	जलविज्ञान
hydrophobia	0.323	0.784	0.351	हायड्रोफोबिया
hydroponics	0.500	0.549	0.500	हायड्रोपोनिक्स
hyena	0.396	0.719	0.464	हायना
hygiene	0.781	0.287	0.537	स्वच्छता
hygienic	0.719	0.245	0.702	आरोग्यदायी
hygienist	0.698	0.389	0.682	आरोग्यतज्ज्ञ
hymen	0.469	0.651	0.457	हायमेन
hymn	0.735	0.292	0.634	भजन
hype	0.510	0.500	0.586	प्रचार
hyped	0.708	0.582	0.679	hyped
hyper	0.542	0.616	0.640	अति
hyperactive	0.500	0.921	0.660	अतिक्रियाशील
hyperbole	0.469	0.521	0.542	हायपरबोल
hyperspace	0.510	0.623	0.755	हायपरस्पेस
hypertension	0.133	0.784	0.427	उच्च रक्तदाब
hypertrophy	0.312	0.625	0.413	अतिवृद्धी
hyperventilate	0.347	0.729	0.556	हायपरव्हेंटिलेट
hyperventilating	0.164	0.802	0.625	हायपरव्हेंटिलेटिंग
hyphen	0.552	0.356	0.381	हायफन
hypnosis	0.417	0.410	0.546	संमोहन
hypnotic	0.571	0.560	0.569	कृत्रिम निद्रा आणणारे
hypnotist	0.490	0.455	0.627	संमोहन तज्ञ
hypnotize	0.469	0.507	0.508	संमोहन करणे
hypnotized	0.449	0.434	0.380	संमोहित
hypochondriac	0.194	0.588	0.333	हायपोकॉन्ड्रियाक
hypocrisy	0.156	0.523	0.370	ढोंगीपणा
hypocrite	0.082	0.673	0.306	ढोंगी
hypocritical	0.048	0.740	0.415	दांभिक
hypodermic	0.240	0.441	0.445	हायपोडर्मिक
hypothalamus	0.593	0.427	0.539	हायपोथालेमस
hypothermia	0.184	0.620	0.301	हायपोथर्मिया
hypothesis	0.552	0.370	0.509	गृहीतक
hypothetical	0.480	0.367	0.361	काल्पनिक
hysterectomy	0.178	0.660	0.470	हिस्टेरेक्टॉमी
hysteria	0.224	0.906	0.482	उन्माद
hysterical	0.290	0.942	0.398	उन्माद
ibuprofen	0.448	0.427	0.504	ibuprofen
ice	0.440	0.265	0.219	बर्फ
ice tea	0.771	0.337	0.336	थंड चहा
iceberg	0.344	0.540	0.648	हिमखंड
icebox	0.560	0.222	0.370	आईसबॉक्स
icebreaker	0.571	0.545	0.848	बर्फ तोडणारा
iced	0.564	0.482	0.339	बर्फाच्छादित
icing	0.688	0.452	0.411	आइसिंग
icky	0.357	0.510	0.342	icky
icon	0.549	0.349	0.415	चिन्ह
iconic	0.583	0.537	0.700	आयकॉनिक
iconography	0.602	0.382	0.653	प्रतिमाशास्त्र
icy	0.684	0.375	0.345	बर्फाळ
id	0.449	0.344	0.391	आयडी
idea	0.750	0.538	0.704	कल्पना
ideal	0.802	0.437	0.736	आदर्श
idealism	0.635	0.436	0.689	आदर्शवाद
idealist	0.816	0.510	0.802	आदर्शवादी
idealistic	0.812	0.469	0.755	आदर्शवादी
identical	0.635	0.380	0.527	एकसारखे
identically	0.667	0.427	0.487	एकसारखे
identification	0.714	0.451	0.692	ओळख
identify	0.635	0.480	0.667	ओळखणे
identity	0.663	0.360	0.780	ओळख
ideology	0.573	0.344	0.692	विचारधारा
idiocy	0.112	0.635	0.137	मूर्खपणा
idiom	0.520	0.337	0.445	वाक्प्रचार
idiomatic	0.531	0.429	0.516	मुहावरे
idiot	0.086	0.567	0.113	मूर्ख
idiotic	0.104	0.620	0.170	मूर्ख
idiots	0.143	0.600	0.144	मूर्ख
idle	0.179	0.167	0.112	निष्क्रिय
idleness	0.308	0.330	0.228	आळस
idler	0.200	0.304	0.194	आळशी
idol	0.684	0.805	0.853	मूर्ती
idolatry	0.365	0.571	0.625	मूर्तिपूजा
idolizing	0.676	0.712	0.643	मूर्तिमंत
idyllic	0.571	0.394	0.593	रमणीय
iffy	0.380	0.442	0.333	इफ्फी
