English Word	Valence	Arousal	Dominance	Afrikaans Word
illegality	0.094	0.635	0.427	onwettigheid
illegally	0.133	0.788	0.402	onwettig
illegible	0.296	0.490	0.315	onleesbaar
illegitimate	0.184	0.644	0.302	onwettig
illicit	0.188	0.794	0.390	onwettig
illiterate	0.120	0.410	0.151	ongeletterd
illness	0.098	0.717	0.211	siekte
illogical	0.208	0.630	0.251	onlogies
illuminate	0.905	0.646	0.782	verlig
illuminating	0.949	0.613	0.773	verhelderend
illumination	0.760	0.588	0.537	verligting
illuminator	0.770	0.566	0.718	beligter
illusion	0.562	0.490	0.387	illusie
illustrate	0.750	0.430	0.690	illustreer
illustration	0.740	0.441	0.640	illustrasie
illustrative	0.771	0.452	0.647	illustratief
illustrious	0.673	0.550	0.741	illustere
ilovechristmas	0.885	0.590	0.525	ilovechristmas
iloveher	0.750	0.519	0.556	ek is lief vir haar
image	0.653	0.241	0.453	beeld
imagery	0.653	0.327	0.390	beeldspraak
imaginable	0.613	0.529	0.596	denkbaar
imaginary	0.560	0.424	0.310	denkbeeldige
imagination	0.802	0.491	0.547	verbeelding
imaginative	0.780	0.541	0.593	verbeeldingryk
imagine	0.759	0.480	0.587	verbeel
imagined	0.656	0.412	0.418	verbeeld
imaging	0.724	0.394	0.482	beelding
imagining	0.765	0.458	0.545	verbeelding
imam	0.527	0.337	0.539	imam
imbalance	0.115	0.538	0.264	wanbalans
imbecile	0.082	0.569	0.260	imbesiel
imbedded	0.406	0.580	0.562	ingebed
imissyou	0.480	0.608	0.344	Ek mis jou
imitate	0.469	0.561	0.336	naboots
imitated	0.333	0.391	0.442	nageboots
imitation	0.406	0.592	0.343	nabootsing
immaculate	0.698	0.330	0.688	onberispelik
immaterial	0.296	0.309	0.295	onwesenlik
immature	0.114	0.500	0.200	onvolwasse
immaturity	0.146	0.567	0.221	onvolwassenheid
immeasurable	0.510	0.539	0.712	onmeetbaar
immeasurably	0.510	0.640	0.680	onmeetbaar
immediacy	0.635	0.630	0.627	onmiddellikheid
immediate	0.656	0.548	0.716	onmiddellik
immediately	0.552	0.780	0.707	onmiddellik
immemorial	0.327	0.469	0.454	onheuglike
immense	0.755	0.750	0.811	enorm
immerse	0.510	0.577	0.509	onderdompel
immersion	0.510	0.556	0.564	onderdompeling
immigrant	0.357	0.663	0.509	immigrant
immigration	0.390	0.667	0.454	immigrasie
imminent	0.490	0.784	0.643	op hande
immobile	0.225	0.217	0.298	onbeweeglik
immoral	0.143	0.622	0.385	immoreel
immorality	0.188	0.689	0.315	onsedelikheid
immortal	0.812	0.750	0.795	onsterflik
immortality	0.688	0.635	0.861	onsterflikheid
immovable	0.480	0.310	0.571	onbeweeglik
immune	0.629	0.472	0.780	immuun
immunity	0.633	0.316	0.786	immuniteit
immunization	0.667	0.510	0.733	immunisering
immutable	0.427	0.431	0.571	onveranderlik
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	impak
impair	0.153	0.500	0.360	benadeel
impaired	0.130	0.459	0.269	benadeel
impairment	0.170	0.571	0.220	waardedaling
impart	0.521	0.441	0.694	oordra
impartial	0.531	0.406	0.685	onpartydig
impartiality	0.622	0.394	0.616	onpartydigheid
impassable	0.342	0.458	0.553	onbegaanbaar
impassioned	0.740	0.780	0.802	passievol
impatience	0.278	0.780	0.411	ongeduld
impatient	0.250	0.708	0.429	ongeduldig
impatiently	0.194	0.750	0.539	ongeduldig
impeach	0.208	0.776	0.664	beskuldig
impeachment	0.163	0.735	0.694	vervolging
impeccable	0.833	0.370	0.824	onberispelik
impede	0.271	0.510	0.604	belemmer
impediment	0.163	0.600	0.409	belemmering
impelled	0.604	0.741	0.690	gedwing
impending	0.480	0.735	0.752	dreigende
impenetrable	0.531	0.577	0.839	ondeurdringbaar
imperative	0.625	0.647	0.708	noodsaaklik
imperceptible	0.378	0.490	0.548	onmerkbaar
imperfect	0.173	0.527	0.202	onvolmaak
imperfection	0.190	0.567	0.321	onvolmaaktheid
imperfectly	0.297	0.481	0.330	onvolmaak
imperial	0.669	0.646	0.922	keiserlike
imperialist	0.284	0.786	0.833	imperialistiese
impermeable	0.510	0.308	0.558	ondeurdringbaar
impermissible	0.188	0.464	0.352	ontoelaatbaar
impersonal	0.316	0.356	0.472	onpersoonlik
impersonate	0.510	0.632	0.591	verpersoonlik
impersonation	0.375	0.618	0.528	nabootsing
impersonator	0.469	0.586	0.406	nabootser
impertinence	0.170	0.653	0.420	onbeskof
impertinent	0.219	0.826	0.373	onbeskof
impervious	0.582	0.408	0.536	ondeurdringbaar
impetuous	0.602	0.814	0.712	onstuimig
impetus	0.521	0.740	0.635	stukrag
implacable	0.569	0.663	0.830	onverbiddelik
implant	0.429	0.510	0.588	inplant
implantation	0.396	0.604	0.741	inplanting
implanted	0.347	0.500	0.679	ingeplant
implement	0.720	0.573	0.792	implementeer
implicate	0.250	0.670	0.434	impliseer
implicated	0.354	0.673	0.438	geïmpliseer
implication	0.337	0.528	0.690	implikasie
implied	0.327	0.530	0.481	geïmpliseer
implore	0.396	0.650	0.377	smeek
implosion	0.412	0.724	0.547	inploffing
imply	0.542	0.670	0.533	impliseer
impolite	0.167	0.590	0.282	ongeskik
import	0.615	0.480	0.623	invoer
importance	0.750	0.580	0.864	belangrikheid
important	0.827	0.630	0.836	belangrik
importation	0.625	0.500	0.733	invoer
impose	0.503	0.721	0.745	oplê
imposing	0.392	0.731	0.836	imposante
imposition	0.357	0.604	0.618	oplegging
impossibility	0.170	0.625	0.306	onmoontlikheid
impossible	0.153	0.510	0.407	onmoontlik
impostor	0.135	0.704	0.442	bedrieër
impotence	0.198	0.689	0.224	impotensie
impotent	0.146	0.587	0.333	impotent
impound	0.230	0.587	0.583	skut
impoverished	0.125	0.311	0.203	verarm
impracticable	0.398	0.549	0.381	onuitvoerbaar
impractical	0.160	0.373	0.291	onprakties
impregnable	0.378	0.549	0.667	onneembaar
impregnate	0.510	0.721	0.655	bevrug
impress	0.816	0.744	0.895	beïndruk
impressed	0.806	0.770	0.429	beïndruk
impression	0.684	0.557	0.577	indruk
impressionable	0.827	0.720	0.645	beïnvloedbaar
impressive	0.781	0.830	0.873	indrukwekkend
imprint	0.615	0.574	0.685	afdruk
imprison	0.112	0.829	0.545	tronk
imprisoned	0.032	0.717	0.302	gevange geneem
imprisonment	0.133	0.630	0.471	gevangenisstraf
improbable	0.097	0.412	0.439	onwaarskynlik
impromptu	0.541	0.729	0.415	impromptu
improper	0.229	0.520	0.259	onbehoorlik
impropriety	0.133	0.591	0.389	onbehoorlikheid
improve	0.833	0.528	0.815	verbeter
improved	0.919	0.480	0.679	verbeter
improvement	0.786	0.500	0.611	verbetering
improves	0.929	0.625	0.727	verbeter
improving	0.911	0.510	0.682	verbeter
improvisation	0.631	0.812	0.529	improvisasie
improvise	0.646	0.650	0.519	improviseer
improvised	0.610	0.673	0.443	geïmproviseer
imprudent	0.170	0.676	0.265	onverstandig
impudence	0.214	0.500	0.472	astrantheid
impudent	0.302	0.604	0.462	astrant
impulse	0.530	0.840	0.611	impuls
impulsive	0.365	0.864	0.607	impulsief
impunity	0.313	0.721	0.602	straffeloosheid
impure	0.260	0.560	0.208	onsuiwer
impurity	0.173	0.546	0.306	onreinheid
imputation	0.333	0.654	0.621	toerekening
imtryingtosleep	0.438	0.363	0.385	probeer om te slaap
inability	0.150	0.529	0.250	onvermoë
inaccessible	0.083	0.585	0.446	ontoeganklik
inaccurate	0.135	0.450	0.250	onakkurate
inaction	0.323	0.225	0.325	gebrek aan optrede
inactivate	0.245	0.240	0.415	deaktiveer
inactivation	0.198	0.260	0.220	inaktivering
inactive	0.271	0.167	0.159	onaktief
inactivity	0.135	0.143	0.227	onaktiwiteit
inadequacy	0.286	0.500	0.297	ontoereikendheid
inadequate	0.122	0.450	0.223	onvoldoende
inadequateness	0.240	0.529	0.316	ontoereikendheid
inadmissible	0.188	0.636	0.389	ontoelaatbaar
inadvertent	0.365	0.368	0.286	onopsetlik
inadvertently	0.302	0.541	0.549	onopsetlik
inaffable	0.388	0.518	0.455	onaanvaarbaar
inalienable	0.437	0.459	0.608	onvervreembaar
inane	0.271	0.350	0.268	mallig
inanimate	0.281	0.143	0.224	leweloos
inapplicable	0.281	0.402	0.330	ontoepaslik
inappropriate	0.135	0.542	0.353	onvanpas
inattention	0.208	0.433	0.188	onoplettendheid
inaudible	0.280	0.398	0.358	onhoorbaar
inaugural	0.684	0.567	0.608	intreerede
inaugurate	0.781	0.582	0.800	inhuldig
inauguration	0.847	0.712	0.769	inhuldiging
inborn	0.590	0.288	0.546	ingebore
inbound	0.531	0.388	0.538	inkomende
inbred	0.397	0.520	0.473	ingeteelde
incalculable	0.449	0.620	0.679	onberekenbaar
incandescent	0.354	0.612	0.621	gloeilamp
incantation	0.439	0.632	0.548	beswering
incapable	0.156	0.529	0.155	onbekwaam
incapacity	0.052	0.500	0.217	onvermoë
incarceration	0.100	0.800	0.397	opsluiting
incarnate	0.552	0.651	0.593	geïnkarneer
incase	0.580	0.196	0.365	ingeval
incendiary	0.281	0.810	0.598	aansteeklik
incense	0.698	0.275	0.328	wierook
incensed	0.338	0.643	0.392	ontstoke
incentive	0.812	0.618	0.718	aansporing
inception	0.604	0.425	0.561	begin
incessant	0.438	0.760	0.544	onophoudelik
incessantly	0.417	0.765	0.606	onophoudelik
incest	0.073	0.853	0.491	bloedskande
incestuous	0.188	0.736	0.442	bloedskande
inch	0.481	0.327	0.300	duim
incidence	0.417	0.527	0.429	voorkoms
incident	0.084	0.662	0.482	voorval
incidental	0.281	0.610	0.404	toevallig
incidentally	0.479	0.500	0.500	terloops
incineration	0.229	0.787	0.470	verbranding
incinerator	0.250	0.643	0.591	verbrandingsoond
incipient	0.442	0.382	0.430	begin
incision	0.240	0.663	0.558	insnyding
incisive	0.380	0.602	0.545	skerp
incite	0.449	0.736	0.642	aanhits
incitement	0.302	0.943	0.598	aanhitsing
inclement	0.260	0.676	0.616	onheilspellend
inclination	0.378	0.490	0.538	neiging
incline	0.490	0.423	0.345	helling
inclined	0.469	0.347	0.402	geneig
include	0.729	0.449	0.702	insluit
included	0.760	0.402	0.570	ingesluit
including	0.700	0.378	0.518	insluitend
inclusion	0.774	0.404	0.712	insluiting
inclusive	0.604	0.420	0.564	inklusief
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	onsamehangend
income	0.750	0.510	0.728	inkomste
incoming	0.660	0.509	0.596	inkomende
incomparable	0.625	0.577	0.670	onvergelykbaar
incompatible	0.196	0.500	0.310	onversoenbaar
incompetence	0.077	0.551	0.208	onbevoegdheid
incompetent	0.133	0.566	0.239	onbevoeg
incomplete	0.153	0.370	0.205	onvolledig
incompletely	0.344	0.442	0.232	onvolledig
incompleteness	0.271	0.451	0.234	onvolledigheid
incomprehensible	0.250	0.550	0.344	onverstaanbaar
inconceivable	0.198	0.552	0.561	ondenkbaar
inconclusive	0.153	0.442	0.340	onoortuigend
incongruous	0.177	0.504	0.343	onvanpas
inconsequential	0.250	0.480	0.345	onbelangrik
inconsiderate	0.224	0.519	0.423	onbedagsaam
inconsistency	0.125	0.480	0.314	inkonsekwentheid
inconsistent	0.271	0.431	0.295	strydig
inconspicuous	0.604	0.214	0.368	onopvallend
incontinence	0.150	0.598	0.272	inkontinensie
inconvenience	0.063	0.667	0.291	ongerief
inconvenient	0.224	0.610	0.375	ongerieflik
incorporate	0.745	0.612	0.571	inkorporeer
incorporation	0.573	0.404	0.768	inlywing
incorrect	0.140	0.569	0.255	verkeerd
incorrigible	0.130	0.667	0.500	onverbeterlik
increase	0.810	0.657	0.886	Verhoog
increased	0.684	0.660	0.773	toegeneem
incredible	0.857	0.796	0.902	ongelooflik
incredulous	0.286	0.510	0.269	ongelowig
increment	0.684	0.637	0.750	inkrement
incriminate	0.188	0.810	0.416	inkrimineer
incriminating	0.133	0.788	0.500	inkriminerende
incrimination	0.152	0.865	0.545	inkriminasie
incubation	0.461	0.490	0.397	inkubasie
incubator	0.510	0.435	0.405	broeikas
incubus	0.458	0.529	0.482	broeikas
incumbent	0.396	0.540	0.565	bekleër
incur	0.312	0.667	0.495	aangaan
incurable	0.104	0.667	0.255	ongeneeslik
incursion	0.552	0.830	0.719	inval
indebted	0.138	0.698	0.275	verskuldig
indecency	0.135	0.670	0.491	onsedelikheid
indecent	0.083	0.683	0.240	onwelvoeglik
indecision	0.184	0.480	0.196	besluiteloosheid
indecisive	0.271	0.420	0.190	besluiteloos
indefensible	0.173	0.647	0.484	onverdedigbaar
indefinite	0.448	0.292	0.296	onbepaald
indelible	0.490	0.337	0.591	onuitwisbaar
indemnification	0.521	0.490	0.770	skadeloosstelling
indemnify	0.449	0.548	0.613	vrywaar
indemnity	0.470	0.607	0.692	vrywaring
indent	0.479	0.346	0.379	inkeping
indentation	0.374	0.500	0.349	inkeping
indenture	0.434	0.382	0.636	inskrywing
independence	0.896	0.663	0.911	onafhanklikheid
independent	0.885	0.440	0.872	onafhanklik
indescribable	0.448	0.529	0.648	onbeskryflik
indestructible	0.772	0.731	0.853	onvernietigbaar
indeterminate	0.360	0.402	0.322	onbepaald
index	0.448	0.268	0.342	indeks
indicate	0.594	0.350	0.676	aandui
indicating	0.745	0.339	0.555	aandui
indication	0.719	0.432	0.750	aanduiding
indicative	0.510	0.510	0.591	aanduidend
indicator	0.573	0.451	0.670	aanwyser
indice	0.469	0.377	0.541	indeks
indict	0.188	0.731	0.458	aankla
indictment	0.245	0.745	0.577	aanklag
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	onverskilligheid
indifferent	0.396	0.157	0.250	onverskillig
indigenous	0.500	0.509	0.552	inheems
indigent	0.156	0.481	0.223	behoeftig
indigestion	0.204	0.610	0.182	spysvertering
indignant	0.260	0.600	0.423	verontwaardig
indignation	0.173	0.778	0.431	verontwaardiging
indignity	0.167	0.500	0.306	vernedering
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	indirek
indiscreet	0.177	0.587	0.342	ondiskreet
indiscretion	0.265	0.637	0.390	indiskresie
indispensable	0.710	0.449	0.802	onontbeerlik
indisposed	0.122	0.519	0.206	ongeskik
indistinct	0.255	0.340	0.360	onduidelik
indistinguishable	0.346	0.458	0.548	ononderskeibaar
individual	0.627	0.327	0.533	individu
individuality	0.612	0.469	0.527	individualiteit
indivisible	0.646	0.398	0.580	ondeelbaar
indoctrination	0.327	0.657	0.698	indoktrinasie
indolent	0.177	0.381	0.259	traag
indomitable	0.458	0.800	0.830	ontembaar
indoor	0.615	0.245	0.347	binnenshuis
induce	0.257	0.606	0.684	induseer
induced	0.397	0.471	0.491	geïnduseer
inducement	0.647	0.765	0.685	aansporing
induction	0.392	0.593	0.627	induksie
indulge	0.833	0.716	0.669	smul
indulgence	0.479	0.490	0.517	toegeeflikheid
indulgent	0.560	0.481	0.529	toegeeflik
industrial	0.469	0.600	0.875	industriële
industrialist	0.562	0.633	0.843	nyweraar
industrious	0.720	0.537	0.791	vlytig
industry	0.650	0.447	0.836	bedryf
ineffable	0.551	0.577	0.585	onuitspreeklik
ineffective	0.093	0.422	0.094	ondoeltreffend
ineffectual	0.163	0.412	0.200	ondoeltreffend
inefficiency	0.092	0.466	0.181	ondoeltreffendheid
inefficient	0.190	0.460	0.173	ondoeltreffende
inelastic	0.396	0.426	0.385	onelasties
ineligible	0.143	0.377	0.457	nie in aanmerking kom nie
inept	0.156	0.418	0.209	onbekwaam
ineptitude	0.177	0.471	0.250	onbekwaamheid
inequality	0.122	0.575	0.259	ongelykheid
inequitable	0.281	0.519	0.373	onbillik
inert	0.323	0.180	0.319	inert
inertia	0.344	0.288	0.322	traagheid
inevitable	0.316	0.419	0.623	onvermydelik
inexact	0.153	0.459	0.170	onjuis
inexcusable	0.271	0.582	0.546	onverskoonbaar
inexhaustible	0.602	0.541	0.643	onuitputlike
inexpensive	0.694	0.414	0.260	goedkoop
inexperience	0.208	0.614	0.151	onervarenheid
inexperienced	0.281	0.473	0.231	onervare
inexplicable	0.224	0.635	0.443	onverklaarbaar
inexpressible	0.198	0.608	0.364	onuitspreeklik
infallibility	0.583	0.663	0.764	onfeilbaarheid
infallible	0.776	0.687	0.809	onfeilbaar
infamous	0.146	0.580	0.472	berug
infamy	0.177	0.676	0.421	skande
infancy	0.750	0.399	0.370	kinderskoene
infant	0.802	0.431	0.328	baba
infanticide	0.167	0.856	0.443	kindermoord
infantile	0.604	0.382	0.259	infantiel
infantry	0.531	0.684	0.791	infanterie
infarct	0.080	0.846	0.386	infarkt
infatuated	0.729	0.764	0.417	verlief
infatuation	0.844	0.745	0.530	verliefdheid
infeasible	0.245	0.472	0.236	onuitvoerbaar
infect	0.102	0.777	0.424	besmet
infection	0.083	0.735	0.407	infeksie
infectious	0.142	0.760	0.422	aansteeklik
infer	0.449	0.490	0.453	aflei
inference	0.359	0.479	0.398	afleiding
inferential	0.426	0.451	0.455	inferensieel
inferior	0.260	0.254	0.106	minderwaardig
inferiority	0.177	0.430	0.205	minderwaardigheid
infernal	0.083	0.837	0.571	helse
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	onvrugbaar
infertility	0.170	0.664	0.328	onvrugbaarheid
infestation	0.256	0.776	0.527	besmetting
infidel	0.177	0.740	0.404	ongelowige
infidelity	0.062	0.777	0.392	ontrouheid
infield	0.510	0.571	0.438	binneveld
infiltrate	0.408	0.745	0.587	infiltreer
infiltration	0.265	0.792	0.536	infiltrasie
infinite	0.724	0.583	0.735	oneindig
infinitely	0.688	0.643	0.829	oneindig
infinitesimal	0.388	0.472	0.496	oneindig klein
infinity	0.516	0.459	0.805	oneindigheid
infirm	0.115	0.521	0.210	siek
infirmary	0.500	0.438	0.517	siekeboeg
infirmity	0.094	0.482	0.252	swakheid
inflammation	0.146	0.765	0.423	ontsteking
inflammatory	0.177	0.642	0.404	inflammatories
inflatable	0.510	0.510	0.400	opblaasbaar
inflate	0.305	0.569	0.462	opblaas
inflated	0.303	0.431	0.617	opgeblaas
inflation	0.219	0.792	0.508	inflasie
inflection	0.385	0.635	0.377	verbuiging
inflict	0.167	0.760	0.609	toedien
infliction	0.302	0.722	0.571	veroordeling
inflorescence	0.459	0.344	0.412	bloeiwyse
influence	0.622	0.663	0.824	invloed
influential	0.899	0.688	0.944	invloedryk
influenza	0.271	0.718	0.321	griep
influx	0.622	0.635	0.575	instroming
info	0.750	0.330	0.642	inligting
infomercial	0.427	0.462	0.555	inligtingsadvertensie
inform	0.723	0.582	0.679	inlig
informal	0.480	0.398	0.441	informeel
informant	0.604	0.612	0.719	informant
information	0.765	0.370	0.711	inligting
informative	0.812	0.419	0.741	insiggewend
informed	0.543	0.298	0.617	ingelig
informer	0.521	0.578	0.580	informant
infraction	0.245	0.660	0.471	oortreding
infrared	0.469	0.588	0.526	infrarooi
infrastructure	0.604	0.460	0.694	infrastruktuur
infrequent	0.312	0.377	0.192	selde
infrequently	0.204	0.250	0.327	selde
infringement	0.153	0.800	0.481	oortreding
infuriate	0.102	0.934	0.596	woedend
infuriated	0.073	0.930	0.510	woedend
infuriates	0.135	0.913	0.627	woedend
infuriating	0.139	0.870	0.509	woedend
infuse	0.380	0.705	0.589	intrek
infused	0.385	0.473	0.546	toegedien
infuser	0.469	0.433	0.536	infuser
infusion	0.583	0.365	0.453	infusie
ingenious	0.760	0.690	0.891	vernuftig
ingenuity	0.708	0.590	0.868	vernuf
ingest	0.510	0.559	0.473	inneem
ingestion	0.429	0.612	0.512	inname
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	ingeburgerde
ingrate	0.235	0.606	0.327	ingryp
ingredient	0.792	0.373	0.451	bestanddeel
ingress	0.601	0.366	0.736	intrede
inhabit	0.656	0.378	0.556	bewoon
inhabitant	0.604	0.356	0.519	inwoner
inhabited	0.667	0.361	0.510	bewoon
inhabiting	0.458	0.440	0.598	bewoon
inhalation	0.510	0.613	0.464	inaseming
inhale	0.427	0.340	0.492	inasem
inhaler	0.408	0.500	0.349	inhaleerder
inherent	0.562	0.439	0.480	inherent
inherit	0.745	0.546	0.694	erf
inheritance	0.900	0.565	0.798	erfenis
inhibit	0.167	0.479	0.447	inhibeer
inhibition	0.265	0.392	0.534	inhibisie
inhibitor	0.281	0.450	0.471	inhibeerder
inhospitable	0.265	0.531	0.395	onherbergsame
inhuman	0.107	0.660	0.492	onmenslik
inhumane	0.104	0.587	0.402	onmenslik
inhumanity	0.143	0.540	0.405	onmenslikheid
inimaginable	0.542	0.636	0.534	ondenkbaar
inimical	0.260	0.823	0.556	vyandiggesind
inimitable	0.571	0.413	0.790	onnavolgbaar
iniquity	0.219	0.567	0.425	ongeregtigheid
initial	0.583	0.314	0.539	aanvanklike
initiate	0.719	0.480	0.553	begin
initiated	0.760	0.490	0.650	geïnisieer
initiation	0.698	0.529	0.527	ontgroening
initiative	0.833	0.615	0.768	inisiatief
inject	0.406	0.735	0.596	spuit
injection	0.281	0.741	0.518	inspuiting
injunction	0.281	0.422	0.519	bevel
injure	0.177	0.710	0.364	beseer
injured	0.083	0.680	0.302	beseer
injuring	0.073	0.790	0.245	beseer
injurious	0.177	0.759	0.366	skadelik
injury	0.049	0.769	0.287	besering
injustice	0.082	0.755	0.444	onreg
ink	0.471	0.408	0.235	ink
inkling	0.448	0.551	0.570	vermoede
inland	0.510	0.417	0.423	binneland
inlay	0.406	0.531	0.565	inlegsel
inlet	0.646	0.378	0.466	inlaat
inmate	0.235	0.663	0.398	gevangene
inn	0.660	0.284	0.475	herberg
innards	0.302	0.480	0.400	binnegoed
innate	0.490	0.400	0.521	aangebore
inner	0.551	0.216	0.443	innerlike
innermost	0.583	0.500	0.510	binneste
innerpeace	0.714	0.318	0.551	innerlike vrede
inning	0.602	0.315	0.520	beurt
innings	0.573	0.487	0.443	beurt
innkeeper	0.578	0.224	0.472	herbergier
innocence	0.802	0.260	0.307	onskuld
innocent	0.729	0.206	0.340	onskuldig
innocently	0.776	0.250	0.302	onskuldig
innocuous	0.510	0.321	0.172	onskadelik
innovate	0.898	0.872	0.750	innoveer
innovation	0.949	0.680	0.890	innovasie
innovative	0.880	0.640	0.830	innoverende
innuendo	0.467	0.670	0.463	innuendo
innumerable	0.667	0.445	0.704	ontelbaar
inoculation	0.333	0.570	0.598	Inenting
inoperable	0.184	0.422	0.304	onwerkbaar
inoperative	0.138	0.425	0.273	onwerksaam
inordinate	0.163	0.630	0.330	buitensporig
inorganic	0.385	0.345	0.282	anorganiese
input	0.643	0.337	0.527	insette
inquest	0.458	0.569	0.721	geregtelike doodsondersoek
inquire	0.583	0.519	0.363	navraag doen
inquirer	0.573	0.598	0.776	navraer
inquiring	0.479	0.510	0.500	navraag doen
inquiry	0.541	0.420	0.536	navraag
inquisitive	0.301	0.637	0.615	nuuskierig
inquisitor	0.385	0.873	0.642	inkwisitor
insane	0.062	0.670	0.265	kranksinnig
insanity	0.098	0.847	0.337	waansin
insatiable	0.375	0.656	0.558	onversadigbaar
inscription	0.592	0.422	0.542	inskripsie
inscrutable	0.459	0.541	0.613	ondeurgrondelik
insect	0.276	0.633	0.242	insek
insecticide	0.188	0.598	0.430	insekdoder
insecure	0.114	0.538	0.132	onseker
insecurity	0.094	0.647	0.350	onsekerheid
insemination	0.542	0.644	0.622	inseminasie
insensitive	0.219	0.471	0.302	onsensitief
inseparable	0.700	0.520	0.571	onafskeidbaar
insert	0.481	0.552	0.519	invoeg
inserted	0.479	0.402	0.476	ingevoeg
insertion	0.521	0.520	0.565	invoeging
inside	0.612	0.404	0.472	binne
insider	0.625	0.562	0.750	insider
insidious	0.146	0.622	0.480	verraderlik
insight	0.613	0.363	0.649	insig
insightful	0.664	0.691	0.713	insiggewend
insignia	0.665	0.282	0.685	kentekens
insignificance	0.250	0.216	0.222	onbeduidendheid
insignificant	0.083	0.306	0.114	onbeduidend
insinuate	0.292	0.635	0.413	insinueer
insipid	0.214	0.250	0.241	flauw
insist	0.635	0.651	0.688	aandring
insistence	0.418	0.704	0.645	aandrang
insistent	0.552	0.635	0.701	aandringend
insists	0.490	0.587	0.610	dring aan
insolence	0.115	0.731	0.402	onbeskof
insolent	0.112	0.663	0.343	onbeskof
insoluble	0.439	0.290	0.414	onoplosbaar
insolvency	0.323	0.431	0.300	insolvensie
insolvent	0.230	0.481	0.318	insolvent
insomnia	0.198	0.611	0.373	slapeloosheid
insomniac	0.231	0.367	0.329	slapeloosheid
inspect	0.479	0.603	0.793	inspekteer
inspection	0.459	0.630	0.718	inspeksie
inspector	0.418	0.580	0.852	inspekteur
inspiration	0.938	0.600	0.779	inspirasie
inspirational	0.927	0.720	0.810	inspirerend
inspire	0.918	0.627	0.759	inspireer
inspired	0.967	0.702	0.736	geïnspireer
instability	0.177	0.760	0.353	onstabiliteit
install	0.630	0.583	0.736	installeer
installation	0.656	0.469	0.759	installasie
installment	0.619	0.396	0.483	paaiement
instance	0.547	0.450	0.558	instansie
instant	0.766	0.454	0.554	oombliklik
instantaneous	0.750	0.500	0.585	oombliklik
instantaneously	0.656	0.640	0.600	oombliklik
instigate	0.278	0.765	0.642	aanhits
instigation	0.323	0.769	0.648	aanstigting
instill	0.562	0.490	0.618	inboesem
instinct	0.771	0.602	0.642	instink
instinctive	0.752	0.575	0.694	instinktief
institute	0.604	0.480	0.807	instituut
institution	0.580	0.311	0.790	instelling
instruct	0.729	0.490	0.833	opdrag gee
instructed	0.740	0.388	0.722	opdrag gegee
instruction	0.656	0.434	0.736	instruksie
instructional	0.698	0.500	0.773	instruksioneel
instructions	0.582	0.302	0.556	instruksies
instructive	0.583	0.420	0.643	leersaam
instructor	0.771	0.490	0.782	instrukteur
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumenteel
instrumentalist	0.656	0.540	0.740	instrumentalis
instrumentality	0.637	0.510	0.618	instrumentaliteit
insubordination	0.281	0.775	0.634	insubordinasie
insufferable	0.220	0.784	0.291	ondraaglik
insufficiency	0.115	0.431	0.210	ontoereikendheid
insufficient	0.188	0.380	0.093	onvoldoende
insufficiently	0.147	0.509	0.198	onvoldoende
insular	0.531	0.426	0.465	insulêr
insulate	0.365	0.358	0.286	isoleer
insulated	0.208	0.265	0.304	geïsoleer
insulation	0.245	0.327	0.264	isolasie
insulin	0.429	0.472	0.375	insulien
insult	0.085	0.831	0.389	belediging
insulting	0.094	0.840	0.412	beledigend
insurance	0.714	0.308	0.825	versekering
insure	0.700	0.415	0.698	verseker
insurgent	0.235	0.735	0.660	opstandige
insurmountable	0.620	0.627	0.737	onoorkomelik
insurrection	0.229	0.706	0.582	opstand
intact	0.716	0.212	0.602	ongeskonde
intake	0.604	0.527	0.442	inname
intangible	0.525	0.480	0.473	ontasbare
integer	0.573	0.327	0.595	heelgetal
integral	0.590	0.337	0.615	integrale
integrate	0.729	0.390	0.700	integreer
integration	0.771	0.480	0.737	integrasie
integrity	0.865	0.413	0.848	integriteit
intellect	0.844	0.418	0.870	intellek
intellectual	0.906	0.455	0.845	intellektueel
intelligence	0.833	0.587	0.885	intelligensie
intelligent	0.917	0.541	0.868	intelligent
intelligibility	0.740	0.481	0.689	verstaanbaarheid
intelligible	0.635	0.480	0.691	verstaanbaar
intend	0.562	0.520	0.519	beoog
intended	0.406	0.542	0.587	bedoel
intending	0.510	0.567	0.597	voorneme
intense	0.592	0.774	0.679	intens
intensely	0.694	0.846	0.750	intens
intensify	0.604	0.870	0.737	verskerp
intensity	0.622	0.930	0.952	intensiteit
intensive	0.570	0.842	0.776	intensief
intent	0.550	0.481	0.500	voorneme
intention	0.531	0.480	0.636	voorneme
intentional	0.650	0.615	0.750	opsetlik
intentionally	0.450	0.676	0.696	doelbewus
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	interaksie
interaction	0.646	0.735	0.750	interaksie
