English Word	Valence	Arousal	Dominance	Hawaiian Word
lark	0.570	0.292	0.352	lark
larva	0.245	0.423	0.254	ʻiʻo
laryngitis	0.125	0.500	0.370	laryngitis
larynx	0.460	0.420	0.402	larynx
lasagna	0.719	0.441	0.396	lasagna
laser	0.469	0.531	0.769	laser
lash	0.235	0.794	0.609	hahau
lass	0.656	0.536	0.433	kaikamahine
lasso	0.438	0.460	0.339	laso
lastday	0.309	0.580	0.463	lā hope
lasting	0.804	0.535	0.745	mau loa
lastminute	0.418	0.582	0.385	hope minute
latch	0.395	0.263	0.288	laka
late	0.245	0.358	0.315	lohi
lateness	0.214	0.388	0.343	lohi
latent	0.469	0.500	0.653	huna
lateral	0.469	0.370	0.322	ʻaoʻao
laterally	0.562	0.255	0.450	ʻaoʻao
latex	0.479	0.413	0.325	latex
lathe	0.510	0.450	0.425	hili
lather	0.635	0.327	0.313	ʻūhū
latitude	0.562	0.306	0.490	latitu
latrine	0.380	0.353	0.176	hale hale lole
latrines	0.214	0.462	0.267	hale lole
latte	0.615	0.320	0.311	latte
lattice	0.406	0.420	0.349	lattice
laud	0.493	0.427	0.383	mahalo
laudable	0.740	0.472	0.682	mahalo ʻia
laudation	0.542	0.547	0.623	hoʻomaikaʻi
laudatory	0.612	0.417	0.450	mahalo
laugh	0.980	0.639	0.587	akaaka
laughable	0.592	0.627	0.298	ʻakaʻaka
laughing	0.906	0.596	0.534	ʻakaʻaka
laughingstock	0.427	0.779	0.312	mea ʻakaʻaka
laughs	0.812	0.846	0.425	ʻakaʻaka
laughter	0.959	0.654	0.588	ʻakaʻaka
launch	0.684	0.814	0.598	hoʻolana
launcher	0.677	0.745	0.808	mea hoʻolele
launches	0.490	0.663	0.602	hoʻokuʻu
launder	0.479	0.450	0.349	holoi holoi
laundering	0.439	0.327	0.444	ka holoi ʻana
laundry	0.644	0.292	0.377	holoi lole
laureate	0.724	0.402	0.702	laureate
laurel	0.646	0.146	0.302	laurel
laurels	0.684	0.279	0.545	laurels
lava	0.280	0.539	0.615	pele
lavage	0.615	0.467	0.361	holoi holoi
lavatory	0.510	0.400	0.259	lumi holoi
lavender	0.812	0.198	0.388	lavender
lavish	0.792	0.648	0.730	ʻoluʻolu
law	0.740	0.590	0.815	kanawai
lawful	0.660	0.394	0.780	kūpono i ke kānāwai
lawless	0.219	0.690	0.420	kanawai ole
lawlessness	0.156	0.804	0.509	ka hewa
lawman	0.510	0.523	0.786	loio
lawn	0.686	0.153	0.192	lawn
lawnmower	0.480	0.531	0.355	mīkini ʻokiʻoki
lawsuit	0.219	0.794	0.611	hoʻopiʻi
lawyer	0.521	0.569	0.784	loio
lax	0.430	0.401	0.300	lax
laxative	0.271	0.550	0.528	laxative
lay	0.521	0.336	0.491	waiho
layaway	0.429	0.510	0.451	hoʻokaʻawale
layer	0.500	0.208	0.366	papa
layered	0.571	0.306	0.436	papa ʻia
layman	0.531	0.339	0.424	kamaʻāina
layout	0.615	0.442	0.557	hoʻolālā
layover	0.520	0.355	0.500	hoʻomaha
laziness	0.271	0.240	0.132	palaualelo
lazy	0.392	0.264	0.096	palaualelo
lazyday	0.337	0.319	0.145	lazyday
lea	0.583	0.294	0.358	lea
lead	0.323	0.657	0.455	alakai
leaded	0.439	0.625	0.595	alakai
leader	0.833	0.582	0.926	alakaʻi
leadership	0.870	0.690	0.983	alakaʻi
leading	0.823	0.698	0.954	alakaʻi
leads	0.530	0.471	0.615	alakai
leaf	0.583	0.156	0.294	lau
leaflet	0.490	0.206	0.375	pepa palapala
leafy	0.653	0.530	0.700	lau lau
league	0.656	0.340	0.462	liki
leak	0.378	0.833	0.520	leak
leakage	0.188	0.731	0.528	leakage
leaky	0.170	0.686	0.288	leʻaleʻa
lean	0.734	0.353	0.438	wiwi
leaned	0.570	0.373	0.490	hilinaʻi
leaning	0.480	0.409	0.352	hilinaʻi
leap	0.750	0.663	0.667	lele
learn	0.833	0.643	0.829	aʻo
learned	0.704	0.462	0.543	aʻo ʻia
learner	0.698	0.475	0.398	mea aʻo
learning	0.833	0.588	0.574	ao ana
lease	0.520	0.463	0.545	hoolimalima
leash	0.320	0.347	0.427	kaulahao
leather	0.510	0.324	0.341	ʻili
leathery	0.418	0.471	0.411	ʻili
leave	0.375	0.315	0.295	haalele
leavemealone	0.240	0.472	0.402	e waiho mai iaʻu
leaving	0.163	0.542	0.371	haalele ana
lecherous	0.135	0.704	0.376	palaka
lecture	0.594	0.462	0.737	haʻiʻōlelo
lecturer	0.677	0.549	0.736	kumu aʻo
ledge	0.406	0.235	0.339	ʻāʻī
ledger	0.510	0.362	0.609	papa helu
lee	0.510	0.269	0.296	lee
leech	0.250	0.623	0.268	leech
leeches	0.115	0.698	0.295	leeches
leer	0.612	0.348	0.509	leer
leery	0.337	0.640	0.410	liuliu
lees	0.360	0.567	0.406	lees
leeway	0.562	0.577	0.569	ʻoluʻolu
left	0.354	0.370	0.361	hema
leftout	0.229	0.365	0.245	waiho ʻia
leftover	0.490	0.460	0.222	koena
leftovers	0.219	0.350	0.116	koena
lefty	0.490	0.406	0.379	haʻalele
leg	0.510	0.373	0.313	wāwae
legacy	0.792	0.529	0.827	hoʻoilina
legal	0.653	0.387	0.887	kānāwai
legality	0.765	0.343	0.713	kū kānāwai
legalize	0.510	0.460	0.818	hoʻoholo kānāwai
legalized	0.760	0.440	0.855	hoʻoholo kānāwai
legally	0.771	0.482	0.842	ma ke kanawai
legend	0.837	0.519	0.750	kaao
legendary	0.857	0.537	0.863	kaao
legibility	0.771	0.481	0.580	legibility
legible	0.673	0.279	0.509	hiki ke heluhelu
legion	0.469	0.570	0.852	legiona
legislate	0.571	0.582	0.736	kau kanawai
legislation	0.531	0.418	0.808	kanawai
legislative	0.633	0.365	0.800	kau kānāwai
legislator	0.490	0.580	0.877	luna kānāwai
legislature	0.540	0.435	0.698	ahaolelo
legit	0.747	0.427	0.849	pono
legitimacy	0.823	0.420	0.855	ka pono
legitimate	0.792	0.363	0.841	kupono
lego	0.600	0.294	0.189	lego
legs	0.479	0.407	0.228	wāwae
legume	0.520	0.302	0.465	legume
legwork	0.622	0.560	0.509	hana wāwae
leisure	0.631	0.429	0.421	leʻaleʻa
leisurely	0.806	0.250	0.367	leʻaleʻa
lemma	0.530	0.284	0.391	lema
lemon	0.596	0.317	0.316	lemona
lemonade	0.661	0.287	0.412	lemonade
lend	0.520	0.461	0.508	hāʻawi aku
lender	0.340	0.520	0.703	hāʻawi kālā
lending	0.510	0.585	0.462	hōʻaiʻē
length	0.479	0.308	0.533	lōʻihi
lengthen	0.619	0.481	0.566	hooloihi
lengthened	0.448	0.530	0.474	hooloihiia
lengthening	0.673	0.530	0.528	hooloihi ana
lengthwise	0.571	0.470	0.528	ka lōʻihi
lengthy	0.570	0.342	0.528	lōʻihi
leniency	0.517	0.436	0.545	ʻoluʻolu
lenient	0.520	0.451	0.340	ʻoluʻolu
lens	0.420	0.245	0.472	lekiō
leopard	0.542	0.755	0.611	leopadi
leotard	0.510	0.429	0.391	leotard
leper	0.075	0.589	0.206	lepera
leprechaun	0.417	0.480	0.417	leprechaun
leprosy	0.130	0.670	0.349	lepera
lesion	0.240	0.623	0.361	lesion
less	0.265	0.240	0.115	emi mai
lessee	0.417	0.474	0.595	mea hoolimalima
lessen	0.235	0.284	0.255	hoemi
lessening	0.375	0.300	0.277	hoemi ana
lesser	0.396	0.167	0.211	liʻiliʻi
lesson	0.704	0.577	0.593	haʻawina
lessor	0.552	0.490	0.623	hoʻolimalima
let	0.427	0.373	0.307	hoʻokuʻu
lethal	0.156	0.800	0.745	mea make
lethargic	0.214	0.245	0.375	lethargic
lethargy	0.194	0.302	0.316	lethargy
letter	0.635	0.279	0.342	palapala
lettered	0.542	0.361	0.482	palapala
letterhead	0.450	0.316	0.462	poo palapala
lettering	0.541	0.180	0.431	palapala
letters	0.663	0.327	0.364	palapala
lettuce	0.594	0.163	0.291	letus
leukemia	0.094	0.572	0.351	leukemia
levee	0.520	0.324	0.490	ʻauwaʻa
level	0.622	0.277	0.491	pae
lever	0.400	0.343	0.402	lever
leverage	0.459	0.500	0.629	leverage
levitate	0.561	0.598	0.551	levitate
levy	0.438	0.420	0.491	ʻauhau
lewd	0.188	0.673	0.412	kolohe
lexicon	0.561	0.463	0.615	huaʻōlelo
ley	0.604	0.389	0.764	ley
liabilities	0.429	0.608	0.694	nā aie
liability	0.646	0.500	0.802	kuleana
liable	0.656	0.519	0.821	kuleana
liaison	0.698	0.337	0.472	pili
liar	0.042	0.606	0.339	wahahee
libel	0.128	0.694	0.403	libel
libelous	0.125	0.735	0.436	libelous
liberal	0.565	0.565	0.755	kūʻokoʻa
liberalism	0.562	0.712	0.750	liberalism
liberate	0.760	0.632	0.708	hoʻokuʻu
liberated	0.780	0.630	0.683	hoʻokuʻu ʻia
liberating	0.915	0.620	0.745	hoʻokuʻu
liberation	0.745	0.614	0.857	hoʻokuʻu ʻia
liberty	0.938	0.579	0.836	kuokoa
libido	0.770	0.602	0.571	libido
librarian	0.625	0.135	0.509	hale waihona puke
library	0.776	0.122	0.549	hale waihona puke
libretto	0.612	0.328	0.406	manuahi
lice	0.133	0.500	0.194	makika
license	0.500	0.394	0.702	laikini
lichen	0.418	0.388	0.463	lichen
lick	0.470	0.482	0.330	lick
licorice	0.677	0.310	0.400	laiki
lid	0.490	0.189	0.255	poʻi
lie	0.130	0.725	0.272	wahahee
liege	0.479	0.426	0.452	liege
lien	0.396	0.580	0.441	pili
lieu	0.427	0.410	0.312	lieu
lieutenant	0.594	0.612	0.920	lutanela
life	0.918	0.615	0.824	ola
lifeblood	0.673	0.690	0.708	koko ola
lifeboat	0.724	0.425	0.533	waapa ola
lifeguard	0.870	0.606	0.786	kiaʻi ola
lifeisgood	0.812	0.575	0.611	ola maikaʻi
lifeless	0.042	0.333	0.163	ola ole
lifelike	0.776	0.567	0.765	mea ola
lifeline	0.735	0.552	0.496	laina ola
lifelong	0.823	0.330	0.640	ola loa
lifer	0.427	0.519	0.398	mea ola
lifesaver	0.908	0.745	0.703	mea ola
lifestyle	0.750	0.472	0.645	nohona
lifesucks	0.167	0.637	0.377	ola kino
lifetime	0.816	0.559	0.736	ola ana
lift	0.704	0.518	0.656	hāpai
lifted	0.714	0.441	0.657	hāpai ʻia
liftoff	0.531	0.667	0.588	hoʻokiʻekiʻe
ligament	0.490	0.410	0.510	ligament
ligation	0.344	0.423	0.396	ligation
ligature	0.478	0.430	0.447	ligature
light	0.771	0.320	0.519	māmā
light year	0.719	0.425	0.593	makahiki malamalama
lightbulb	0.573	0.255	0.302	ʻōpuʻu kukui
lighten	0.688	0.438	0.362	hoʻomāmā
lightheaded	0.347	0.620	0.255	poʻo māmā
lighthouse	0.622	0.240	0.510	hale kukui
lighting	0.765	0.440	0.750	kukui
lightness	0.794	0.360	0.526	māmā
lightning	0.429	0.683	0.595	uila
lights	0.750	0.480	0.575	kukui
lightweight	0.670	0.300	0.358	māmā
likable	0.865	0.480	0.663	ʻoluʻolu
like	0.719	0.353	0.446	like
likelihood	0.760	0.469	0.542	likelihood
likely	0.633	0.356	0.454	paha
likeness	0.688	0.410	0.561	ka like ana
likewise	0.651	0.217	0.312	pela no
liking	0.963	0.604	0.589	makemake
lilac	0.688	0.180	0.357	lilac
lily	0.640	0.245	0.263	lilia
limb	0.510	0.397	0.427	lala
limber	0.688	0.729	0.673	limber
limbo	0.385	0.284	0.309	limbo
lime	0.594	0.240	0.415	lime
limelight	0.667	0.639	0.694	limelight
limestone	0.602	0.323	0.381	limestone
limey	0.469	0.347	0.415	limey
limit	0.427	0.453	0.500	palena
limitation	0.190	0.431	0.225	palena
limited	0.229	0.273	0.380	kaupalena
limitless	0.688	0.574	0.655	palena ole
limo	0.760	0.367	0.667	limo
limousine	0.638	0.531	0.640	limousine
limp	0.393	0.440	0.172	liʻiliʻi
lin	0.416	0.362	0.343	lin
line	0.541	0.180	0.353	laina
lineage	0.633	0.465	0.721	moʻokūʻauhau
lineal	0.521	0.170	0.474	laina laina
linear	0.646	0.250	0.472	laina laina
linebacker	0.490	0.660	0.543	linebacker
lined	0.438	0.367	0.424	laina laina
linen	0.656	0.323	0.286	olonā
liner	0.469	0.396	0.400	liner
lines	0.542	0.317	0.330	laina laina
lineup	0.635	0.427	0.638	kū i ka laina
linger	0.480	0.311	0.412	hoʻomau
lingerie	0.543	0.463	0.308	lole lole lole
lingering	0.630	0.643	0.667	lohi ana
lingo	0.448	0.364	0.447	ʻōlelo ʻōlelo
lingual	0.500	0.457	0.315	ʻōlelo
linguini	0.625	0.338	0.355	linguini
linguist	0.583	0.330	0.634	mea ʻōlelo
linguistic	0.646	0.351	0.618	ʻōlelo ʻōlelo
linguistics	0.552	0.390	0.618	ʻōlelo ʻōlelo
lining	0.571	0.363	0.472	lining
link	0.427	0.264	0.491	loulou
linoleum	0.510	0.378	0.402	linoleum
lint	0.388	0.173	0.214	lint
lion	0.532	0.717	0.682	liona
lip	0.541	0.348	0.443	lehelehe
liposuction	0.292	0.684	0.464	liposuction
lipstick	0.653	0.429	0.306	lipstick
liquefaction	0.449	0.622	0.535	liquefaction
liquefied	0.562	0.463	0.342	liquefied
liqueur	0.670	0.612	0.389	liqueur
liquid	0.562	0.235	0.307	wai wai
liquidate	0.327	0.654	0.664	hoʻokaʻawale
liquidation	0.417	0.625	0.649	hoʻokaʻawale ʻana
liquidator	0.354	0.663	0.750	mea hoʻokaʻawale
liquidity	0.688	0.529	0.534	ʻano wai
liquor	0.603	0.702	0.433	waiʻona
lira	0.530	0.255	0.370	lira
lisp	0.365	0.412	0.288	lepe
list	0.528	0.260	0.402	papa inoa
listen	0.771	0.360	0.445	hoʻolohe
listener	0.667	0.375	0.403	mea hoʻolohe
listenting	0.640	0.377	0.491	ka hoʻolohe ʻana
listing	0.438	0.273	0.432	papa inoa
listless	0.219	0.350	0.231	paulele ole
listneing	0.531	0.370	0.433	ka hoolohe ana
litany	0.510	0.365	0.482	litany
liter	0.573	0.208	0.382	lita
literacy	0.730	0.306	0.638	ka heluhelu heluhelu
literal	0.570	0.353	0.574	maoli
literally	0.571	0.353	0.673	maoli
literary	0.719	0.324	0.667	palapala
literature	0.708	0.250	0.598	palapala
lithe	0.656	0.596	0.602	lithe
lithium	0.417	0.330	0.430	lithium
lithograph	0.551	0.327	0.481	lithograph
lithography	0.561	0.346	0.473	lithography
lithology	0.519	0.378	0.525	lithology
lithosphere	0.473	0.333	0.689	lithosphere
litigant	0.219	0.577	0.696	mea hoopii
litigate	0.260	0.819	0.712	hoʻopiʻi
litigation	0.388	0.760	0.602	ka hookolokolo ana
litigator	0.429	0.630	0.732	luna hoʻokolokolo
litigious	0.360	0.736	0.632	hoʻopaʻapaʻa
litter	0.255	0.551	0.110	ʻōpala
little	0.385	0.160	0.213	liʻiliʻi
littlethings	0.740	0.311	0.242	nā mea liʻiliʻi
littoral	0.551	0.387	0.452	kahakai
liturgy	0.490	0.327	0.568	liturgy
live	0.880	0.673	0.676	ola
livelife	0.792	0.624	0.664	ola ola
livelihood	0.698	0.481	0.721	ola
lively	0.847	0.810	0.642	olaola
liven	0.708	0.713	0.673	ola
liver	0.439	0.290	0.385	ate
livery	0.510	0.417	0.429	ola kino
livestock	0.729	0.420	0.519	holoholona
livid	0.469	0.788	0.490	ʻinoʻino
living	0.865	0.608	0.727	noho ana
lizard	0.378	0.375	0.324	moʻo
llama	0.490	0.590	0.519	llama
lml	0.448	0.519	0.385	lml
load	0.385	0.417	0.528	ukana
loader	0.562	0.377	0.686	mea lawe ukana
loaf	0.755	0.250	0.277	popo
loafer	0.235	0.396	0.254	kaʻaʻahu
loam	0.469	0.373	0.673	loam
loan	0.552	0.480	0.352	hōʻaiʻē
loath	0.135	0.714	0.445	inaina
loathe	0.094	0.730	0.429	inaina
loathful	0.068	0.740	0.358	inaina
loathing	0.083	0.796	0.368	inaina
loathsome	0.120	0.694	0.343	hoʻopailua
lobby	0.625	0.427	0.472	lobby
lobbyist	0.385	0.527	0.565	lobbyist
lobe	0.459	0.364	0.352	lobe
lobotomy	0.296	0.598	0.402	lobotomy
lobster	0.571	0.356	0.291	ula
local	0.656	0.269	0.452	kūloko
locale	0.449	0.387	0.352	wahi ʻāina
locality	0.582	0.336	0.464	kamaʻāina
localization	0.552	0.330	0.545	localization
localize	0.520	0.481	0.679	localize
localized	0.490	0.460	0.621	kūloko
locate	0.583	0.520	0.786	huli
location	0.615	0.375	0.546	wahi
locator	0.480	0.426	0.614	mea ʻimi
loch	0.449	0.235	0.425	loch
lock	0.271	0.585	0.600	laka
locker	0.439	0.300	0.393	laka
locket	0.615	0.327	0.616	laka
locksmith	0.510	0.417	0.491	mea laka
lockup	0.240	0.602	0.617	paʻa paʻa
loco	0.306	0.774	0.226	loko
locomotion	0.470	0.600	0.595	ka holo ʻana
locomotive	0.542	0.650	0.721	locomotive
locust	0.479	0.412	0.417	ʻūhini
lode	0.365	0.423	0.318	lode
lodge	0.656	0.356	0.474	hale moe
lodger	0.480	0.448	0.304	hale noho
lodging	0.713	0.286	0.527	hale noho
loft	0.510	0.378	0.343	loft
lofty	0.755	0.306	0.569	kiʻekiʻe
log	0.591	0.371	0.395	log
logarithm	0.520	0.439	0.551	logarithm
logarithmic	0.469	0.458	0.606	logarithmic
logic	0.646	0.245	0.819	manaʻo
logical	0.805	0.400	0.648	logical
logistics	0.633	0.500	0.730	logistics
logo	0.469	0.296	0.565	logo
logotype	0.480	0.337	0.509	logotype
loin	0.420	0.298	0.379	maloʻo
lollipop	0.628	0.483	0.357	lollipop
lone	0.198	0.204	0.367	mehameha
loneliness	0.146	0.182	0.222	mehameha
lonely	0.250	0.226	0.238	mehameha
loner	0.347	0.152	0.221	mehameha
lonesome	0.281	0.213	0.336	mehameha
long	0.541	0.353	0.543	lōʻihi
longboat	0.551	0.454	0.490	moku lōʻihi
longevity	0.750	0.353	0.745	ola lōʻihi
longing	0.604	0.434	0.560	ka iini ana
longitude	0.479	0.310	0.516	longitude
longitudinal	0.542	0.398	0.582	lōʻihi
longitudinally	0.541	0.380	0.569	me ka loa
longtime	0.362	0.442	0.546	lōʻihi
loo	0.385	0.357	0.283	loo
look	0.719	0.429	0.615	nana aku
looker	0.583	0.354	0.451	mea nana aku
lookout	0.698	0.538	0.639	nānā i waho
loom	0.531	0.245	0.325	mea ulana lole
looming	0.367	0.750	0.528	e kū ana
loon	0.429	0.392	0.325	loon
loony	0.439	0.474	0.295	ʻōniʻoniʻo
loop	0.516	0.343	0.317	loop
loophole	0.406	0.755	0.491	puka komo
loopy	0.438	0.520	0.195	pōʻino
loose	0.573	0.312	0.365	wehe
loosen	0.487	0.337	0.218	wehe
loosening	0.378	0.343	0.295	ka hemo ana
loot	0.604	0.711	0.537	hao wale
lop	0.429	0.363	0.426	lop
lopsided	0.125	0.500	0.272	hulili
lord	0.618	0.327	0.684	haku
lords	0.571	0.356	0.781	na haku
lordship	0.573	0.557	0.736	haku alii
lore	0.719	0.373	0.768	lore
lorry	0.521	0.481	0.402	kaʻa kaʻa
lose	0.115	0.538	0.176	lilo
loser	0.083	0.510	0.155	poho
losing	0.076	0.686	0.223	lilo ana
loss	0.062	0.567	0.211	poho
lost	0.199	0.663	0.148	nalowale
lot	0.531	0.215	0.370	hailona
lotion	0.724	0.261	0.188	lotiona
lots	0.604	0.417	0.424	hailona
lottery	0.771	0.731	0.491	hailona
lotto	0.760	0.635	0.475	lotto
lotus	0.604	0.377	0.510	lotus
loud	0.573	0.650	0.870	leo nui
loudly	0.541	0.755	0.667	leo nui
loudmouth	0.337	0.615	0.456	waha leo nui
loudness	0.350	0.582	0.620	ka leo nui
loudspeaker	0.490	0.735	0.689	leo kani
lounge	0.592	0.245	0.466	lumi hoʻomaha
lounging	0.735	0.167	0.449	e kau ana
louse	0.184	0.439	0.154	louse
lousy	0.125	0.482	0.234	ʻinoʻino
lovable	0.948	0.335	0.565	aloha
love	1.000	0.519	0.673	aloha
loved	0.927	0.452	0.582	aloha
lovee	0.949	0.592	0.611	aloha
loveee	0.927	0.592	0.693	alohaee
loveless	0.102	0.365	0.216	aloha ole
lovelife	0.837	0.610	0.592	aloha aloha
loveliness	0.959	0.509	0.750	ʻoluʻolu
lovelovelove	0.948	0.582	0.554	alohaalohaaloha
lovely	0.917	0.456	0.741	nani
lovemaking	0.969	0.927	0.814	Hoʻoipoipo
lovemylife	0.896	0.800	0.573	lovemylife
lover	0.881	0.816	0.750	mea aloha
lovesick	0.796	0.842	0.500	maʻi aloha
lovethis	0.867	0.552	0.526	aloha keia
loving	0.948	0.612	0.636	aloha
lovinglife	0.979	0.404	0.673	ola aloha
lovinlife	0.714	0.460	0.544	ola aloha
low	0.292	0.220	0.102	haahaa
lowdown	0.306	0.441	0.441	haʻahaʻa haʻahaʻa
lower	0.327	0.296	0.258	haahaa
lowering	0.286	0.363	0.236	hoemi ana
lowest	0.312	0.304	0.129	haahaa
lowlands	0.323	0.290	0.331	ʻāina haʻahaʻa
lowlife	0.296	0.529	0.309	ola haahaa
lowly	0.562	0.294	0.417	haahaa
lox	0.490	0.373	0.318	lox
loyal	0.896	0.265	0.657	kūpaʻa
loyalty	0.885	0.406	0.793	kūpaʻa
lsd	0.375	0.471	0.390	lsd
luau	0.594	0.545	0.296	luau
lube	0.552	0.490	0.411	lube
lubricant	0.656	0.550	0.454	lubricant
lubricate	0.552	0.490	0.470	lubricate
lubrication	0.624	0.646	0.491	lubrication
lucid	0.771	0.490	0.705	lucid
luck	0.854	0.490	0.717	laki
luckiest	0.917	0.690	0.852	laki loa
lucky	0.960	0.610	0.793	laki
luckygirl	0.781	0.712	0.471	wahine laki laki
lucrative	0.729	0.519	0.798	mea waiwai
ludicrous	0.137	0.553	0.274	hoʻohenehene
lug	0.344	0.443	0.340	lug
luggage	0.561	0.226	0.319	ukana
lukewarm	0.573	0.300	0.241	ʻoluʻolu
lull	0.602	0.130	0.402	lull
lullaby	0.796	0.156	0.339	lullaby
lumbar	0.323	0.418	0.342	lumbar
lumber	0.517	0.184	0.373	lāʻau
lumbering	0.354	0.561	0.655	lāʻau lāʻau
lumberjack	0.500	0.660	0.726	lāʻau lāʻau
luminescent	0.796	0.550	0.526	luminescent
luminous	0.918	0.392	0.783	ʻālohilohi
lump	0.438	0.337	0.463	puʻupuʻu
lumpy	0.271	0.378	0.365	puʻupuʻu
lunacy	0.132	0.847	0.330	pupule
lunar	0.562	0.296	0.427	mahina
lunatic	0.125	0.792	0.442	pupule
lunch	0.880	0.410	0.542	ʻaina awakea
lunchbox	0.663	0.346	0.346	pahu ʻaina awakea
luncheon	0.837	0.240	0.441	ʻaina awakea
lunchtime	0.896	0.398	0.444	ʻaina awakea
lung	0.510	0.292	0.629	akemāmā
lunge	0.354	0.721	0.509	lunge
lungs	0.531	0.352	0.555	ʻāmāmā
lurch	0.404	0.694	0.363	lurch
lure	0.439	0.565	0.300	lure
lurid	0.186	0.833	0.536	lurid
lurk	0.219	0.740	0.655	huna
lurking	0.421	0.781	0.575	e pee ana
luscious	0.885	0.552	0.545	ʻoluʻolu
lush	0.740	0.783	0.833	lush
lust	0.469	0.944	0.518	kuko
luster	0.833	0.566	0.558	ʻōlinolino
lustful	0.427	0.896	0.643	kuko wale
lustrous	0.771	0.606	0.598	lustroll
lusty	0.469	0.941	0.673	lusty
lute	0.459	0.407	0.500	lute
luxuriant	0.760	0.745	0.812	ʻoluʻolu
luxurious	0.947	0.644	0.754	ʻoluʻolu
luxury	0.932	0.673	0.750	ʻoluʻolu
lycra	0.520	0.449	0.328	lycra
lye	0.378	0.396	0.443	lye
lying	0.208	0.704	0.317	wahahee
lymph	0.398	0.510	0.390	lymph
lymphatic	0.380	0.509	0.472	lymphatic
lymphoma	0.208	0.645	0.330	lymphoma
lynch	0.167	0.885	0.482	lynch
lynching	0.135	0.920	0.548	lynching
lynx	0.510	0.590	0.567	lynx
lyre	0.719	0.347	0.414	lira
lyric	0.702	0.269	0.464	mele
lyrical	0.708	0.451	0.618	mele
lyrics	0.582	0.214	0.333	nā mele
macadamia	0.635	0.330	0.434	makadamia
macarena	0.802	0.601	0.368	macarena
macaroni	0.816	0.410	0.382	makaroni
mace	0.450	0.412	0.415	mace
mach	0.541	0.432	0.463	mach
machete	0.260	0.690	0.474	pahi kaua
machine	0.510	0.500	0.707	mīkini
machinery	0.458	0.615	0.629	nā mīkini
machinist	0.490	0.598	0.721	mea mīkini
macho	0.643	0.690	0.676	macho
mackerel	0.418	0.423	0.426	mackerel
macro	0.552	0.469	0.647	macro
mad	0.219	0.873	0.277	huhū
madam	0.580	0.308	0.571	madame
madame	0.604	0.500	0.635	madame
madden	0.329	0.602	0.457	huhu
madder	0.323	0.853	0.267	hehena
mademoiselle	0.752	0.459	0.461	mademoiselle
mademyday	0.694	0.573	0.537	makemyday
madhouse	0.156	0.736	0.440	hale hehena
madman	0.135	0.880	0.312	pupule
madness	0.104	0.804	0.440	pupule
maestro	0.823	0.357	0.849	maestro
mafia	0.204	0.867	0.676	mafia
magazine	0.615	0.332	0.377	nūpepa
mage	0.622	0.373	0.453	kupua
magenta	0.635	0.275	0.415	ʻulaʻula
maggot	0.235	0.500	0.235	iʻo
magic	0.868	0.663	0.578	kilokilo
magical	0.875	0.651	0.595	kupua
magician	0.714	0.657	0.551	kupua
magistrate	0.587	0.541	0.904	lunakanawai
magma	0.323	0.623	0.609	pelemaka
magna	0.605	0.490	0.652	magna
magnate	0.627	0.708	0.868	mea hanohano
magnesium	0.542	0.320	0.321	magnesium
magnet	0.571	0.318	0.553	magnet
magnetic	0.612	0.529	0.673	mākia
magnetism	0.630	0.529	0.741	magnetism
magnetite	0.531	0.490	0.581	magnetite
magnification	0.890	0.615	0.880	hoonui
magnificence	0.802	0.810	0.920	ka nani
magnificent	1.000	0.680	0.886	nani loa
magnifier	0.469	0.216	0.345	mea hoʻonui
magnify	0.729	0.561	0.839	hoonui
magnifying	0.594	0.265	0.406	hoonui ana
magnitude	0.608	0.613	0.774	ka nui
magnolia	0.558	0.343	0.379	magnolia
magpie	0.500	0.458	0.327	mākeo
mahi mahi	0.510	0.410	0.398	mahi mahi
mahjong	0.556	0.418	0.440	mahjong
mahogany	0.602	0.225	0.393	mahogany
maid	0.406	0.324	0.300	kaikamahine
maiden	0.755	0.396	0.461	kaikamahine
mail	0.615	0.231	0.548	leka uila
mailbox	0.573	0.222	0.404	pahu leta
mailing	0.688	0.324	0.375	leka uila
mailman	0.659	0.418	0.462	kanaka leka uila
maim	0.133	0.724	0.496	maim
main	0.667	0.510	0.811	nui
mainframe	0.531	0.490	0.557	pahu nui
mainland	0.680	0.407	0.806	ʻāina nui
mainstay	0.694	0.400	0.713	mea nui
mainstream	0.653	0.527	0.660	mainstream
maintain	0.684	0.398	0.647	mālama
maintenance	0.592	0.410	0.545	mālama
majestic	0.948	0.731	0.906	hanohano
majesty	0.823	0.602	0.955	ka hanohano
major	0.684	0.538	0.874	nui
majority	0.684	0.560	0.930	ka hapa nui
make	0.684	0.420	0.480	hana
makeover	0.771	0.510	0.596	hana hou
maker	0.698	0.544	0.706	mea hana
makeshift	0.479	0.611	0.389	hana hoʻomaha
makesmehappy	0.894	0.663	0.712	hoʻohauʻoli
makesmemad	0.296	0.643	0.500	makesmemad
makeup	0.740	0.333	0.331	kala
makingdisciples	0.684	0.402	0.664	e hana ana i mau haumana
malady	0.190	0.686	0.304	maʻi maʻi
malaise	0.150	0.600	0.161	malaise
malaria	0.125	0.653	0.304	malaria
malarkey	0.396	0.500	0.465	malarkey
malevolent	0.094	0.854	0.613	kolohe
malfeasance	0.062	0.745	0.325	hewahewa
malformation	0.083	0.602	0.357	ʻinoʻino
malfunction	0.125	0.577	0.229	hana ʻino
malice	0.073	0.811	0.492	ʻinoʻino
