English Word	Valence	Arousal	Dominance	Amharic Word
instrumental	0.740	0.472	0.647	መሳሪያዊ
instrumentalist	0.656	0.540	0.740	የሙዚቃ መሣሪያ ባለሙያ
instrumentality	0.637	0.510	0.618	መሳሪያነት
insubordination	0.281	0.775	0.634	መገዛት
insufferable	0.220	0.784	0.291	የማይበገር
insufficiency	0.115	0.431	0.210	ማነስ
insufficient	0.188	0.380	0.093	በቂ ያልሆነ
insufficiently	0.147	0.509	0.198	በቂ ያልሆነ
insular	0.531	0.426	0.465	ኢንሱላር
insulate	0.365	0.358	0.286	ኢንሱሌት
insulated	0.208	0.265	0.304	የተከለለ
insulation	0.245	0.327	0.264	የኢንሱሌሽን
insulin	0.429	0.472	0.375	ኢንሱሊን
insult	0.085	0.831	0.389	ስድብ
insulting	0.094	0.840	0.412	ስድብ
insurance	0.714	0.308	0.825	ኢንሹራንስ
insure	0.700	0.415	0.698	ኢንሹራንስ
insurgent	0.235	0.735	0.660	አማፂ
insurmountable	0.620	0.627	0.737	የማይታለፍ
insurrection	0.229	0.706	0.582	አመጽ
intact	0.716	0.212	0.602	ያልተነካ
intake	0.604	0.527	0.442	ቅበላ
intangible	0.525	0.480	0.473	የማይዳሰስ
integer	0.573	0.327	0.595	ኢንቲጀር
integral	0.590	0.337	0.615	የተዋሃደ
integrate	0.729	0.390	0.700	ማዋሃድ
integration	0.771	0.480	0.737	ውህደት
integrity	0.865	0.413	0.848	ታማኝነት
intellect	0.844	0.418	0.870	የማሰብ ችሎታ
intellectual	0.906	0.455	0.845	ምሁራዊ
intelligence	0.833	0.587	0.885	የማሰብ ችሎታ
intelligent	0.917	0.541	0.868	ብልህ
intelligibility	0.740	0.481	0.689	የማሰብ ችሎታ
intelligible	0.635	0.480	0.691	የማሰብ ችሎታ ያለው
intend	0.562	0.520	0.519	አስብ
intended	0.406	0.542	0.587	የታሰበ
intending	0.510	0.567	0.597	እያሰበ ነው።
intense	0.592	0.774	0.679	ኃይለኛ
intensely	0.694	0.846	0.750	በከፍተኛ ሁኔታ
intensify	0.604	0.870	0.737	ማጠናከር
intensity	0.622	0.930	0.952	ጥንካሬ
intensive	0.570	0.842	0.776	የተጠናከረ
intent	0.550	0.481	0.500	ዓላማ
intention	0.531	0.480	0.636	ዓላማ
intentional	0.650	0.615	0.750	ሆን ተብሎ
intentionally	0.450	0.676	0.696	ሆን ተብሎ
inter	0.510	0.375	0.466	ኢንተር
interact	0.822	0.690	0.759	መስተጋብር
interaction	0.646	0.735	0.750	መስተጋብር
interactive	0.727	0.811	0.770	በይነተገናኝ
intercede	0.582	0.577	0.630	ማማለድ
intercept	0.221	0.660	0.676	መጥለፍ
interception	0.327	0.673	0.643	መጥለፍ
intercession	0.503	0.486	0.598	ምልጃ
interchange	0.615	0.527	0.565	መለዋወጥ
interchangeable	0.615	0.459	0.526	ሊለዋወጥ የሚችል
interchanged	0.396	0.472	0.434	ተለዋወጡ
intercom	0.623	0.429	0.453	ኢንተርኮም
intercourse	0.551	0.608	0.557	ግንኙነት
interdependence	0.608	0.618	0.639	እርስ በርስ መደጋገፍ
interdependent	0.410	0.482	0.598	እርስ በርስ የሚደጋገፉ
interdiction	0.337	0.500	0.585	ጣልቃ ገብነት
interest	0.780	0.667	0.618	ፍላጎት
interested	0.750	0.529	0.725	ፍላጎት ያለው
interesting	0.927	0.726	0.731	የሚስብ
interface	0.643	0.357	0.600	በይነገጽ
interfere	0.323	0.714	0.471	ጣልቃ መግባት
interference	0.396	0.736	0.357	ጣልቃ መግባት
interferometer	0.510	0.510	0.517	ኢንተርፌሮሜትር
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	ጊዜያዊ
interior	0.618	0.157	0.462	የውስጥ
interject	0.333	0.648	0.658	ጣልቃ መግባት
interlocutory	0.490	0.500	0.527	እርስ በርስ የሚገናኙ
interlude	0.470	0.417	0.377	መጠላለፍ
intermediary	0.427	0.510	0.643	መካከለኛ
intermediate	0.480	0.368	0.400	መካከለኛ
interment	0.235	0.608	0.346	ጣልቃ መግባት
interminable	0.327	0.481	0.561	የማይቋረጥ
intermission	0.490	0.360	0.402	መቆራረጥ
intermittent	0.337	0.565	0.436	የማያቋርጥ
intern	0.459	0.460	0.392	ተለማማጅ
internal	0.439	0.349	0.423	ውስጣዊ
internally	0.615	0.400	0.616	ከውስጥ
international	0.800	0.519	0.702	ዓለም አቀፍ
internet	0.760	0.462	0.755	ኢንተርኔት
internship	0.590	0.510	0.482	internship
interoffice	0.439	0.375	0.556	ኢንተርናሽናል
interpolate	0.460	0.490	0.569	ጣልቃ መግባት
interpolation	0.419	0.506	0.528	ጣልቃ መግባት
interpret	0.646	0.625	0.673	መተርጎም
interpretation	0.677	0.594	0.620	ትርጓሜ
interpreter	0.708	0.461	0.596	ተርጓሚ
interpretive	0.531	0.549	0.595	አተረጓጎም
interrelated	0.615	0.469	0.592	እርስ በርስ የተያያዙ
interrogate	0.323	0.808	0.680	ብሎ መጠየቅ
interrogation	0.302	0.827	0.657	ጥያቄ
interrupt	0.210	0.635	0.509	ማቋረጥ
interrupted	0.281	0.559	0.333	ተቋርጧል
interrupting	0.146	0.593	0.509	ማቋረጥ
interruption	0.184	0.632	0.425	መቋረጥ
interrupts	0.204	0.545	0.389	ያቋርጣል
intersect	0.521	0.510	0.480	መቆራረጥ
intersection	0.344	0.541	0.658	መስቀለኛ መንገድ
interstate	0.520	0.443	0.600	ኢንተርስቴት
interstellar	0.708	0.702	0.622	ኢንተርስቴላር
interstitial	0.333	0.471	0.534	ኢንተርስቴትያል
interval	0.510	0.284	0.400	ክፍተት
intervene	0.520	0.677	0.768	ጣልቃ መግባት
intervening	0.398	0.627	0.442	ጣልቃ መግባት
intervention	0.388	0.696	0.689	ጣልቃ ገብነት
interview	0.573	0.770	0.619	ቃለ መጠይቅ
interviewer	0.552	0.736	0.816	ጠያቂ
interworking	0.552	0.587	0.691	መስተጋብር
intestate	0.459	0.467	0.415	መተሳሰር
intestinal	0.357	0.531	0.370	አንጀት
intestine	0.343	0.450	0.380	አንጀት
intestines	0.292	0.547	0.398	አንጀት
intimacy	0.857	0.802	0.558	መቀራረብ
intimate	0.724	0.598	0.393	የጠበቀ
intimately	0.806	0.573	0.590	በቅርበት
intimation	0.406	0.673	0.500	ማስተዋወቅ
intimidate	0.210	0.804	0.632	ማስፈራራት
intimidated	0.177	0.663	0.208	አስፈራራ
intimidating	0.229	0.790	0.708	የሚያስፈራራ
intimidation	0.177	0.791	0.644	ማስፈራራት
intolerable	0.146	0.660	0.439	የማይታገስ
intolerance	0.052	0.704	0.520	አለመቻቻል
intolerant	0.135	0.676	0.509	አለመቻቻል
intonation	0.615	0.442	0.598	ኢንቶኔሽን
intoxicated	0.079	0.824	0.246	የሰከረ
intoxicating	0.224	0.760	0.464	የሚያሰክር
intoxication	0.323	0.710	0.400	ስካር
intracranial	0.281	0.602	0.553	ውስጠ-ሥጋዊ
intractable	0.154	0.694	0.302	የማይበገር
intramural	0.490	0.464	0.447	የውስጥ ለውስጥ
intravenous	0.357	0.538	0.458	በደም ሥር
intrepid	0.753	0.696	0.637	ደፋር
intricate	0.559	0.704	0.500	ውስብስብ
intrigue	0.362	0.830	0.327	ሴራ
intriguing	0.422	0.713	0.462	የሚስብ
intrinsic	0.406	0.471	0.526	ውስጣዊ
intrinsically	0.459	0.382	0.538	በውስጥ በኩል
intro	0.510	0.331	0.657	መግቢያ
introduce	0.592	0.559	0.648	ማስተዋወቅ
introduction	0.612	0.413	0.640	መግቢያ
introductory	0.635	0.368	0.593	መግቢያ
introspection	0.603	0.337	0.575	ወደ ውስጥ መግባት
introspective	0.552	0.360	0.471	ውስጠ-ግንዛቤ
intrude	0.058	0.735	0.480	ዘልቆ መግባት
intruder	0.146	0.740	0.324	ሰርጎ ገዳይ
intrusion	0.293	0.641	0.670	ጣልቃ መግባት
intrusive	0.461	0.607	0.538	ጣልቃ መግባት
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	ግንዛቤ
intuitive	0.771	0.573	0.690	ሊታወቅ የሚችል
intuitively	0.670	0.561	0.648	በማስተዋል
inundation	0.177	0.780	0.455	ማጥለቅለቅ
invade	0.408	0.892	0.714	ወረራ
invader	0.200	0.827	0.618	ወራሪ
invalid	0.180	0.330	0.255	ልክ ያልሆነ
invalidate	0.315	0.480	0.397	ዋጋ የለውም
invalidation	0.181	0.490	0.278	ዋጋ ማጣት
invalidity	0.186	0.394	0.158	ልክ ያልሆነነት
invaluable	0.740	0.500	0.745	በዋጋ ሊተመን የማይችል
invariably	0.458	0.365	0.550	ሁልጊዜ
invasion	0.271	0.843	0.808	ወረራ
invasive	0.194	0.730	0.598	ወራሪ
invent	0.719	0.689	0.833	መፈልሰፍ
invention	0.714	0.577	0.811	ፈጠራ
inventive	0.780	0.627	0.721	የፈጠራ
inventor	0.781	0.667	0.847	ፈጣሪ
inventory	0.594	0.463	0.490	ዝርዝር
inverse	0.459	0.337	0.319	የተገላቢጦሽ
inversely	0.286	0.418	0.351	በተገላቢጦሽ
inversion	0.602	0.630	0.772	መገለባበጥ
invert	0.510	0.585	0.706	መገለባበጥ
inverted	0.310	0.471	0.357	የተገለበጠ
invest	0.650	0.663	0.682	ኢንቨስት ማድረግ
investigate	0.640	0.500	0.781	መመርመር
investigation	0.531	0.592	0.820	ምርመራ
investigative	0.562	0.600	0.704	መርማሪ
investigator	0.615	0.509	0.779	መርማሪ
investment	0.720	0.592	0.745	ኢንቨስትመንት
investor	0.794	0.655	0.791	ኢንቨስተር
invidious	0.112	0.650	0.364	ተንኮለኛ
invigorate	0.821	0.798	0.831	ማበረታታት
invincible	0.867	0.853	0.914	የማይበገር
invisibility	0.438	0.461	0.382	አለመታየት
invisible	0.417	0.345	0.412	የማይታይ
invitation	0.802	0.549	0.647	ግብዣ
invite	0.745	0.655	0.611	መጋበዝ
inviting	0.938	0.571	0.538	መጋበዝ
invocation	0.430	0.620	0.673	ጥሪ
invoice	0.480	0.380	0.474	ደረሰኝ
invoke	0.583	0.740	0.579	መጥራት
involuntary	0.354	0.490	0.231	ያለፈቃድ
involution	0.296	0.420	0.407	ኢንቮሉሽን
involve	0.694	0.490	0.728	ማሳተፍ
involvement	0.760	0.620	0.696	ተሳትፎ
invulnerable	0.552	0.683	0.745	የማይበገር
inwards	0.490	0.385	0.438	ወደ ውስጥ
iodine	0.390	0.265	0.333	አዮዲን
ion	0.429	0.330	0.408	ion
iota	0.344	0.385	0.314	አዮታ
irate	0.188	0.852	0.474	ተናደድኩ
ire	0.198	0.740	0.575	ብስጭት
iridescent	0.602	0.588	0.539	አይሪድሰንት
iris	0.708	0.275	0.380	አይሪስ
irked	0.164	0.791	0.353	ተናደደ
irks	0.276	0.781	0.339	ኢርክ
iron	0.448	0.351	0.679	ብረት
ironclad	0.561	0.648	0.679	በብረት የተሸፈነ
ironic	0.435	0.550	0.500	አስቂኝ
irons	0.531	0.441	0.625	ብረቶች
irony	0.390	0.587	0.508	አስቂኝ
irradiation	0.385	0.736	0.509	irradiation
irrational	0.125	0.648	0.394	ምክንያታዊ ያልሆነ
irrationality	0.198	0.735	0.361	ምክንያታዊነት የጎደለው
irreconcilable	0.146	0.667	0.375	የማይታረቅ
irreducible	0.296	0.455	0.569	የማይቀነስ
irrefutable	0.496	0.549	0.716	የማይካድ
irregular	0.312	0.548	0.321	መደበኛ ያልሆነ
irregularity	0.104	0.647	0.306	ሕገወጥነት
irregularly	0.292	0.565	0.397	መደበኛ ያልሆነ
irrelevant	0.138	0.311	0.296	አግባብነት የሌለው
irreparable	0.061	0.530	0.430	ሊስተካከል የማይችል
irreplaceable	0.479	0.580	0.833	የማይተካ
irrepressible	0.512	0.566	0.745	የማይጨበጥ
irresistible	0.823	0.833	0.839	ሊቋቋሙት የማይችሉት
irrespective	0.497	0.538	0.745	ምንም ይሁን ምን
irresponsible	0.177	0.680	0.241	ኃላፊነት የጎደለው
irreverent	0.191	0.694	0.634	የማያከብር
irreversible	0.170	0.541	0.667	የማይቀለበስ
irrevocable	0.296	0.560	0.712	የማይሻር
irrigate	0.272	0.458	0.490	መስኖ ማጠጣት
irrigation	0.259	0.426	0.426	መስኖ
irritability	0.146	0.853	0.283	ብስጭት
irritable	0.112	0.952	0.462	የሚያናድድ
irritate	0.167	0.890	0.368	ማበሳጨት
irritated	0.210	0.816	0.281	ተናደደ
irritates	0.173	0.810	0.295	ያናድዳል
irritating	0.104	0.912	0.393	የሚያናድድ
irritation	0.073	0.833	0.496	መበሳጨት
island	0.745	0.347	0.432	ደሴት
isle	0.667	0.390	0.443	ደሴት
islet	0.612	0.314	0.367	ደሴት
isolate	0.235	0.422	0.336	ማግለል
isolated	0.221	0.356	0.255	ተነጥሎ
isolation	0.198	0.338	0.339	ነጠላ
isomorphism	0.448	0.361	0.481	isomorphism
isothermal	0.459	0.491	0.500	isothermal
isotope	0.429	0.404	0.407	isotope
issue	0.316	0.819	0.351	ርዕሰ ጉዳይ
itch	0.319	0.610	0.465	ማሳከክ
itching	0.208	0.690	0.300	ማሳከክ
itchy	0.334	0.726	0.296	ማሳከክ
item	0.594	0.270	0.465	ንጥል ነገር
itemize	0.459	0.527	0.518	ንጥል ነገር ማድረግ
items	0.542	0.401	0.434	እቃዎች
iterate	0.449	0.460	0.440	መደጋገም
iteration	0.531	0.449	0.486	መደጋገም
iterative	0.429	0.420	0.500	ተደጋጋሚ
itinerant	0.449	0.545	0.439	ተጓዥ
itinerary	0.551	0.550	0.454	የጉዞ መስመር
ivory	0.625	0.235	0.566	የዝሆን ጥርስ
jab	0.385	0.519	0.482	ጃብ
jabber	0.417	0.506	0.342	ጀበር
jack	0.487	0.450	0.441	ጃክ
jackal	0.333	0.582	0.436	ጃካል
jackass	0.188	0.692	0.279	jackass
jacket	0.656	0.302	0.382	ጃኬት
jackhammer	0.199	0.690	0.519	ጃክሃመር
jackpot	0.950	0.750	0.786	jackpot
jackrabbit	0.625	0.379	0.344	jackrabbit
jacks	0.490	0.400	0.505	ጃክሶች
jade	0.604	0.410	0.455	ጄድ
jaded	0.255	0.560	0.400	ጄድድ
jag	0.408	0.440	0.427	ጃግ
jagged	0.082	0.462	0.213	የተወጠረ
jaguar	0.559	0.710	0.654	ጃጓር
jail	0.094	0.898	0.480	እስር ቤት
jailbird	0.240	0.567	0.473	jailbird
jailbreak	0.354	0.629	0.471	የእስር ቤት መጣስ
jailer	0.194	0.630	0.632	የእስር ቤት ጠባቂ
jailhouse	0.104	0.887	0.430	እስር ቤት
jalopy	0.396	0.436	0.337	ጃሎፒ
jam	0.510	0.548	0.318	መጨናነቅ
jamboree	0.602	0.625	0.351	jamboree
jammed	0.235	0.817	0.411	የተጨናነቀ
jammer	0.417	0.540	0.491	jammer
janitor	0.510	0.350	0.527	የፅዳት ሰራተኛ
janitorial	0.490	0.373	0.481	የጽዳት
japan	0.667	0.482	0.580	ጃፓን
jar	0.430	0.346	0.318	ማሰሮ
jargon	0.333	0.548	0.404	ጃርጎን
jarhead	0.408	0.530	0.464	jarhead
jarring	0.210	0.673	0.309	የሚያንገበግበው
jasmine	0.765	0.230	0.286	ጃስሚን
jasper	0.480	0.425	0.402	ኢያስጲድ
jaundice	0.214	0.480	0.355	አገርጥቶትና
jaunt	0.808	0.451	0.500	ጃውንት
java	0.459	0.321	0.343	ጃቫ
javelin	0.385	0.481	0.465	የጦር መሣሪያ
jaw	0.500	0.510	0.420	መንጋጋ
jawbone	0.468	0.413	0.342	መንጋጋ አጥንት
jaws	0.385	0.528	0.455	መንጋጋዎች
jay	0.531	0.408	0.389	ጄይ
jazz	0.677	0.362	0.450	ጃዝ
jazzy	0.725	0.431	0.389	ጃዚ
jealous	0.173	0.855	0.345	ቅናት
jealousy	0.146	0.783	0.481	ቅናት
jean	0.602	0.444	0.364	ዣን
jeans	0.622	0.324	0.371	ጂንስ
jeep	0.602	0.510	0.612	ጂፕ
jeering	0.266	0.792	0.380	ማሾፍ
jelly	0.651	0.294	0.256	ጄሊ
jellybean	0.592	0.406	0.399	የ ጄሊ ባቄላ
jellyfish	0.531	0.567	0.377	ጄሊፊሽ
jenny	0.542	0.406	0.407	ጄኒ
jeopardize	0.260	0.877	0.582	አደጋ ላይ ይጥሉ
jeopardy	0.129	0.908	0.536	ስጋት
jerk	0.194	0.630	0.238	ጅልነት
jerks	0.214	0.788	0.395	ዥዋዥዌ
jerky	0.233	0.538	0.358	ጅልነት
jersey	0.594	0.317	0.411	ማሊያ
jest	0.520	0.736	0.222	ቀልድ
jester	0.388	0.670	0.264	ጀስተር
jesus	0.800	0.400	0.620	የሱስ
jet	0.612	0.721	0.606	ጄት
jetty	0.602	0.480	0.453	ጄቲ
jewel	0.827	0.588	0.625	ጌጣጌጥ
jeweler	0.760	0.482	0.500	ጌጣጌጥ
jewelry	0.823	0.569	0.597	ጌጣጌጥ
jib	0.406	0.420	0.413	ጅብ
jiff	0.576	0.404	0.349	ጅፍ
jiffy	0.410	0.444	0.380	ጅፍ
jig	0.531	0.396	0.357	jig
jiggle	0.592	0.673	0.518	መንቀጥቀጥ
jigsaw	0.594	0.582	0.519	jigsaw
jihad	0.323	0.660	0.444	ጂሃድ
jimmy	0.579	0.321	0.311	ጂሚ
jingle	0.635	0.500	0.424	ጂንግል
jinx	0.337	0.582	0.373	ጂንክስ
jitters	0.224	0.918	0.192	መንቀጥቀጥ
jittery	0.344	0.856	0.255	መንቀጥቀጥ
jive	0.561	0.551	0.373	ጂቭ
job	0.694	0.541	0.717	ሥራ
jobinterview	0.684	0.837	0.723	ለሥራ ቃለ መጠይቅ
jock	0.592	0.656	0.473	ቀልድ
jockey	0.562	0.644	0.703	ጆኪ
jockstrap	0.347	0.431	0.390	jockstrap
jog	0.510	0.708	0.519	ሩጫ
jogger	0.417	0.510	0.424	መሮጥ
john	0.562	0.382	0.327	ጆን
join	0.729	0.479	0.684	መቀላቀል
joined	0.667	0.394	0.600	ተቀላቅሏል።
joining	0.755	0.469	0.685	መቀላቀል
joint	0.615	0.392	0.566	መገጣጠሚያ
jointly	0.708	0.425	0.602	በጋራ
joke	0.704	0.610	0.316	ቀልድ
joker	0.771	0.760	0.416	ቀልደኛ
joking	0.776	0.839	0.407	መቀለድ
jolly	0.959	0.705	0.708	ደስ የሚል
jolt	0.365	0.708	0.358	መወዛወዝ
jornada	0.417	0.500	0.533	ጆርናዳ
jot	0.406	0.323	0.350	ጆት
jour	0.479	0.394	0.415	jour
journal	0.688	0.240	0.352	መጽሔት
journalism	0.622	0.500	0.684	ጋዜጠኝነት
journalist	0.542	0.452	0.732	ጋዜጠኛ
journalistic	0.696	0.449	0.495	ጋዜጠኛ
journey	0.910	0.702	0.625	ጉዞ
journeyman	0.765	0.596	0.741	ተጓዥ
joust	0.520	0.528	0.551	ጆስት
jovial	0.823	0.460	0.526	ቀልድ
joy	0.980	0.824	0.794	ደስታ
joyful	0.990	0.740	0.667	ደስተኛ
joyous	0.958	0.580	0.728	ደስ የሚል
joyride	0.694	0.550	0.500	ጆይራይድ
joys	0.981	0.643	0.651	ደስታዎች
jubilant	0.844	0.673	0.664	ደስ የሚያሰኝ
jubilee	0.916	0.500	0.579	ኢዮቤልዩ
judge	0.510	0.604	0.857	ዳኛ
judged	0.281	0.686	0.722	ፈረደ
judging	0.240	0.625	0.693	መፍረድ
judgment	0.396	0.600	0.816	ፍርድ
judgmental	0.330	0.602	0.579	መፍረድ
judicial	0.378	0.667	0.833	ዳኝነት
judiciary	0.439	0.740	0.897	የፍትህ አካላት
judicious	0.630	0.432	0.772	ዳኝነት ያለው
judo	0.500	0.790	0.612	ጁዶ
jug	0.520	0.250	0.213	ማሰሮ
juggle	0.594	0.760	0.426	መሮጥ
juggler	0.633	0.821	0.480	ጀግለር
juggling	0.562	0.874	0.346	ጀግንግ
jugular	0.271	0.573	0.426	jugular
juice	0.776	0.281	0.352	ጭማቂ
juicer	0.552	0.520	0.564	ጭማቂ ሰሪ
juicy	0.823	0.529	0.490	ጭማቂ
juju	0.541	0.519	0.206	ጁጁ
juke	0.500	0.491	0.410	ጁክ
jukebox	0.699	0.540	0.429	jukebox
jumble	0.357	0.613	0.331	መወዛወዝ
jumbled	0.292	0.602	0.445	ተዘበራረቀ
jumbo	0.680	0.552	0.447	ጃምቦ
jump	0.625	0.865	0.611	ዝብሉ
jump rope	0.656	0.660	0.368	የመዝለያ ገመድ
jumper	0.615	0.336	0.481	ዝላይ
jumpsuit	0.562	0.365	0.361	ጃምፕሱት
jumpy	0.353	0.810	0.216	ዝላይ
junction	0.490	0.481	0.364	መጋጠሚያ
juncture	0.365	0.582	0.491	መጋጠሚያ
jungle	0.500	0.510	0.481	ጫካ
junior	0.635	0.343	0.304	ጁኒየር
juniper	0.583	0.327	0.352	ጥድ
junk	0.115	0.481	0.118	ቆሻሻ
junket	0.490	0.519	0.386	ጀንኬት
junkie	0.135	0.860	0.363	ጀንክኪ
junky	0.385	0.595	0.343	ቆሻሻ
junkyard	0.177	0.398	0.302	ቆሻሻ ግቢ
junta	0.451	0.503	0.704	ጁንታ
juridical	0.520	0.431	0.873	ህጋዊ
jurisdiction	0.480	0.580	0.820	ሥልጣን
jurisprudence	0.360	0.425	0.764	የሕግ ትምህርት
jurist	0.479	0.523	0.713	የሕግ ባለሙያ
juror	0.582	0.640	0.750	ዳኛ
jury	0.479	0.607	0.789	ዳኛ
justice	0.760	0.538	0.787	ፍትህ
justifiable	0.786	0.413	0.821	የሚጸድቅ
justification	0.622	0.444	0.661	መጽደቅ
justify	0.612	0.473	0.615	ማስረዳት
juststop	0.417	0.379	0.364	ዝም ብለህ አቁም
justthebeginning	0.573	0.451	0.481	ገና በመጀመር
jute	0.551	0.216	0.295	jute
juvenile	0.678	0.490	0.526	ታዳጊ
juxtaposition	0.427	0.500	0.460	መገጣጠም
kaiser	0.470	0.509	0.690	kaiser
kale	0.469	0.226	0.411	ካልሲ
kaleidoscope	0.615	0.439	0.580	ካልአይዶስኮፕ
kamikaze	0.204	0.810	0.645	ካሚካዜ
kangaroo	0.716	0.333	0.301	ካንጋሮ
kanji	0.510	0.413	0.425	ካንጂ
kappa	0.469	0.375	0.366	ካፓ
kaput	0.281	0.441	0.440	ካፑት
karaoke	0.763	0.649	0.342	ካራኦኬ
karate	0.562	0.833	0.598	ካራቴ
karma	0.500	0.510	0.537	ካርማ
karmic	0.357	0.459	0.464	ካርሚክ
kayak	0.592	0.600	0.364	ካያክ
kazoo	0.503	0.462	0.411	kazoo
kebab	0.531	0.431	0.377	kebab
keel	0.344	0.417	0.419	ቀበሌ
keen	0.823	0.719	0.806	በጣም
keep	0.714	0.296	0.547	ጠብቅ
keeper	0.612	0.457	0.773	ጠባቂ
keeping	0.592	0.280	0.723	ማቆየት
keepsake	0.740	0.307	0.491	ማቆየት
keg	0.551	0.389	0.404	keg
kelp	0.479	0.264	0.213	ኬልፕ
ken	0.438	0.409	0.360	ኬን
kennel	0.430	0.480	0.406	የውሻ ቤት
kerchief	0.520	0.189	0.236	መሀረብ
kern	0.438	0.420	0.449	ከርን
kernel	0.542	0.453	0.462	ከርነል
kerosene	0.302	0.472	0.427	ኬሮሲን
ketchup	0.653	0.338	0.282	ኬትጪፕ
kettle	0.357	0.497	0.333	ማንቆርቆሪያ
key	0.615	0.275	0.519	ቁልፍ
keyboard	0.573	0.279	0.349	የቁልፍ ሰሌዳ
keyed	0.469	0.497	0.521	ቁልፍ የተደረገ
keyhole	0.438	0.358	0.356	ቁልፍ ቀዳዳ
keynote	0.630	0.431	0.545	ቁልፍ ማስታወሻ
keypad	0.604	0.255	0.330	የቁልፍ ሰሌዳ
keystone	0.573	0.438	0.491	ቁልፍ ድንጋይ
keyword	0.602	0.520	0.747	ቁልፍ ቃል
khaki	0.594	0.252	0.278	ካኪ
khan	0.463	0.476	0.529	ካን
kibble	0.510	0.458	0.404	ኪብል
kick	0.271	0.791	0.526	ምታ
kickboxing	0.427	0.882	0.651	ኪክቦክስ
kicker	0.427	0.711	0.614	kicker
kicking	0.327	0.802	0.510	በእርግጫ
kickoff	0.583	0.600	0.629	ተጀመረ
kid	0.760	0.453	0.298	ልጅ
kidder	0.708	0.768	0.471	ኪደር
kidding	0.622	0.625	0.457	መቀለድ
kiddo	0.674	0.393	0.419	ልጅ
kiddos	0.500	0.480	0.342	ልጆች
kidnap	0.032	0.923	0.535	አፈና
kidnapped	0.044	0.923	0.455	ታፍኗል
kidnapper	0.115	0.906	0.618	ጠላፊ
kidnapping	0.094	0.880	0.561	አፈና
kidney	0.448	0.363	0.380	ኩላሊት
kids	0.837	0.500	0.417	ልጆች
kill	0.052	0.941	0.736	መግደል
killer	0.041	0.971	0.543	ገዳይ
killing	0.080	0.959	0.696	መግደል
killjoy	0.178	0.550	0.324	killjoy
kiln	0.451	0.423	0.414	እቶን
kilo	0.438	0.358	0.461	ኪሎ
kilogram	0.510	0.260	0.455	ኪሎግራም
kilometer	0.490	0.439	0.485	ኪሎሜትር
kilt	0.448	0.346	0.348	ኪልት
kimono	0.643	0.280	0.363	ኪሞኖ
kin	0.543	0.441	0.457	ዘመድ
kind	0.918	0.240	0.618	ዓይነት
kindergarten	0.833	0.462	0.308	ኪንደርጋርደን
kindling	0.520	0.651	0.421	ማቀጣጠል
kindness	0.938	0.350	0.508	ደግነት
kindred	0.760	0.418	0.517	ዘመድ
kinematics	0.594	0.480	0.614	kinematics
kinesiology	0.491	0.480	0.633	kinesiology
kinetic	0.582	0.540	0.537	ኪነቲክ
king	0.677	0.690	0.892	ንጉሥ
king snake	0.458	0.835	0.647	ንጉሥ እባብ
kingdom	0.714	0.547	0.910	መንግሥት
kingpin	0.357	0.626	0.642	ኪንግፒን
kink	0.337	0.634	0.321	መንቀጥቀጥ
kinky	0.449	0.558	0.361	ኪንኪ
kinship	0.771	0.300	0.652	ዝምድና
kiosk	0.500	0.286	0.321	ኪዮስክ
kirk	0.510	0.390	0.388	ኪርክ
kiss	0.967	0.813	0.630	መሳም
kisser	0.844	0.682	0.618	kisser
kissy	0.874	0.684	0.402	መሳም
kit	0.583	0.344	0.420	ኪት
kitchen	0.700	0.234	0.398	ወጥ ቤት
kite	0.643	0.500	0.573	ካይት
kitten	0.816	0.343	0.260	ድመት
kiwi	0.646	0.273	0.282	ኪዊ
klutz	0.275	0.451	0.356	ክሎትዝ
knack	0.562	0.518	0.820	ጉልበት
knapsack	0.551	0.317	0.268	ክናፕ ቦርሳ
knead	0.490	0.457	0.345	ተንበርክኮ
knee	0.520	0.245	0.396	ጉልበት
kneecap	0.427	0.360	0.440	ጉልበት ካፕ
kneel	0.426	0.417	0.217	ተንበርከክ
kneeling	0.245	0.435	0.144	መንበርከክ
knell	0.354	0.500	0.377	ተንበርክኮ
knick	0.480	0.509	0.420	ጩኸት
knickers	0.552	0.428	0.328	knickers
knife	0.344	0.717	0.573	ቢላዋ
knight	0.780	0.441	0.835	ባላባት
knighthood	0.740	0.660	0.769	ባላባትነት
knit	0.630	0.144	0.295	ሹራብ
knob	0.340	0.360	0.272	እንቡጥ
knock	0.312	0.531	0.527	ማንኳኳት
knockoff	0.350	0.606	0.240	ማንኳኳት
knockout	0.388	0.755	0.664	በዝረራ መጣል
knoll	0.434	0.347	0.333	ኖል
knot	0.541	0.221	0.408	ቋጠሮ
knots	0.418	0.346	0.267	አንጓዎች
knotted	0.226	0.412	0.294	መስቀለኛ መንገድ
know	0.765	0.361	0.704	ማወቅ
knowing	0.833	0.353	0.658	ማወቅ
knowingly	0.500	0.459	0.481	እያወቀ ነው።
knowledge	0.847	0.430	0.896	እውቀት
knowledgeable	0.865	0.455	0.971	እውቀት ያለው
knuckle	0.655	0.333	0.393	አንጓ
knucklehead	0.157	0.485	0.288	አንጓ ጭንቅላት
