English Word	Valence	Arousal	Dominance	Zulu Word
loco	0.306	0.774	0.226	indawo
locomotion	0.470	0.600	0.595	ukuhamba
locomotive	0.542	0.650	0.721	isitimela
locust	0.479	0.412	0.417	isikhonyane
lode	0.365	0.423	0.318	hlala
lodge	0.656	0.356	0.474	indawo yokulala
lodger	0.480	0.448	0.304	umhlali
lodging	0.713	0.286	0.527	indawo yokulala
loft	0.510	0.378	0.343	phezulu
lofty	0.755	0.306	0.569	phezulu
log	0.591	0.371	0.395	log
logarithm	0.520	0.439	0.551	i-logarithm
logarithmic	0.469	0.458	0.606	i-logarithmic
logic	0.646	0.245	0.819	logic
logical	0.805	0.400	0.648	okunengqondo
logistics	0.633	0.500	0.730	logistics
logo	0.469	0.296	0.565	uphawu
logotype	0.480	0.337	0.509	uhlobo lwelogo
loin	0.420	0.298	0.379	okhalweni
lollipop	0.628	0.483	0.357	ilolipop
lone	0.198	0.204	0.367	yedwa
loneliness	0.146	0.182	0.222	isizungu
lonely	0.250	0.226	0.238	isizungu
loner	0.347	0.152	0.221	isizungu
lonesome	0.281	0.213	0.336	unesizungu
long	0.541	0.353	0.543	eside
longboat	0.551	0.454	0.490	isikebhe eside
longevity	0.750	0.353	0.745	ukuphila isikhathi eside
longing	0.604	0.434	0.560	ukulangazelela
longitude	0.479	0.310	0.516	ubude
longitudinal	0.542	0.398	0.582	i-longitudinal
longitudinally	0.541	0.380	0.569	ngobude
longtime	0.362	0.442	0.546	isikhathi eside
loo	0.385	0.357	0.283	loo
look	0.719	0.429	0.615	bheka
looker	0.583	0.354	0.451	umbukeli
lookout	0.698	0.538	0.639	Qapha
loom	0.531	0.245	0.325	uhlaka
looming	0.367	0.750	0.528	ezayo
loon	0.429	0.392	0.325	i-loon
loony	0.439	0.474	0.295	i-lony
loop	0.516	0.343	0.317	iluphu
loophole	0.406	0.755	0.491	i-lophole
loopy	0.438	0.520	0.195	iluphu
loose	0.573	0.312	0.365	khulula
loosen	0.487	0.337	0.218	khulula
loosening	0.378	0.343	0.295	ukuxega
loot	0.604	0.711	0.537	phanga
lop	0.429	0.363	0.426	lop
lopsided	0.125	0.500	0.272	elahliwe
lord	0.618	0.327	0.684	nkosi
lords	0.571	0.356	0.781	makhosi
lordship	0.573	0.557	0.736	ubukhosi
lore	0.719	0.373	0.768	imfundiso
lorry	0.521	0.481	0.402	iloli
lose	0.115	0.538	0.176	lahlekelwa
loser	0.083	0.510	0.155	ohluliwe
losing	0.076	0.686	0.223	ukulahlekelwa
loss	0.062	0.567	0.211	ukulahlekelwa
lost	0.199	0.663	0.148	ilahlekile
lot	0.531	0.215	0.370	okuningi
lotion	0.724	0.261	0.188	amafutha okugcoba
lots	0.604	0.417	0.424	inkatho
lottery	0.771	0.731	0.491	ilotho
lotto	0.760	0.635	0.475	ilotho
lotus	0.604	0.377	0.510	i-lotus
loud	0.573	0.650	0.870	phezulu
loudly	0.541	0.755	0.667	ngokuzwakalayo
loudmouth	0.337	0.615	0.456	umlomo omkhulu
loudness	0.350	0.582	0.620	umsindo omkhulu
loudspeaker	0.490	0.735	0.689	isipikha
lounge	0.592	0.245	0.466	indawo yokuphumula
lounging	0.735	0.167	0.449	ukukhala
louse	0.184	0.439	0.154	intwala
lousy	0.125	0.482	0.234	i-lousy
lovable	0.948	0.335	0.565	ezithandekayo
love	1.000	0.519	0.673	uthando
loved	0.927	0.452	0.582	thandiwe
lovee	0.949	0.592	0.611	uthando
loveee	0.927	0.592	0.693	uthando
loveless	0.102	0.365	0.216	abangenalo uthando
lovelife	0.837	0.610	0.592	lovelife
loveliness	0.959	0.509	0.750	ubuhle
lovelovelove	0.948	0.582	0.554	lovelovelove
lovely	0.917	0.456	0.741	enhle
lovemaking	0.969	0.927	0.814	ukwenza uthando
lovemylife	0.896	0.800	0.573	lovemylife
lover	0.881	0.816	0.750	isithandwa
lovesick	0.796	0.842	0.500	ukugula
lovethis	0.867	0.552	0.526	thanda lokhu
loving	0.948	0.612	0.636	uthando
lovinglife	0.979	0.404	0.673	impilo yothando
lovinlife	0.714	0.460	0.544	i-lovinlife
low	0.292	0.220	0.102	phansi
lowdown	0.306	0.441	0.441	phansi phansi
lower	0.327	0.296	0.258	ngaphansi
lowering	0.286	0.363	0.236	ukwehlisa
lowest	0.312	0.304	0.129	ephansi kakhulu
lowlands	0.323	0.290	0.331	izindawo eziphansi
lowlife	0.296	0.529	0.309	impilo ephansi
lowly	0.562	0.294	0.417	phansi
lox	0.490	0.373	0.318	lox
loyal	0.896	0.265	0.657	qotho
loyalty	0.885	0.406	0.793	ukwethembeka
lsd	0.375	0.471	0.390	lsd
luau	0.594	0.545	0.296	luau
lube	0.552	0.490	0.411	lube
lubricant	0.656	0.550	0.454	okokugcoba
lubricate	0.552	0.490	0.470	gcoba
lubrication	0.624	0.646	0.491	ukuthambisa
lucid	0.771	0.490	0.705	lucid
luck	0.854	0.490	0.717	inhlanhla
luckiest	0.917	0.690	0.852	onenhlanhla
lucky	0.960	0.610	0.793	unenhlanhla
luckygirl	0.781	0.712	0.471	luckygirl
lucrative	0.729	0.519	0.798	kunenzuzo enkulu
ludicrous	0.137	0.553	0.274	ezihlekisayo
lug	0.344	0.443	0.340	lug
luggage	0.561	0.226	0.319	imithwalo
lukewarm	0.573	0.300	0.241	esivivi
lull	0.602	0.130	0.402	thula
lullaby	0.796	0.156	0.339	iculo
lumbar	0.323	0.418	0.342	i-lumbar
lumber	0.517	0.184	0.373	izingodo
lumbering	0.354	0.561	0.655	ukugawula amapulangwe
lumberjack	0.500	0.660	0.726	umgawuli
luminescent	0.796	0.550	0.526	i-luminescent
luminous	0.918	0.392	0.783	elikhanyayo
lump	0.438	0.337	0.463	isigaxa
lumpy	0.271	0.378	0.365	iqhubu
lunacy	0.132	0.847	0.330	ubuhlanya
lunar	0.562	0.296	0.427	okwenyanga
lunatic	0.125	0.792	0.442	uhlanya
lunch	0.880	0.410	0.542	isidlo sasemini
lunchbox	0.663	0.346	0.346	isikhafithini
luncheon	0.837	0.240	0.441	isidlo sasemini
lunchtime	0.896	0.398	0.444	isikhathi sesidlo sasemini
lung	0.510	0.292	0.629	iphaphu
lunge	0.354	0.721	0.509	lunge
lungs	0.531	0.352	0.555	amaphaphu
lurch	0.404	0.694	0.363	lurch
lure	0.439	0.565	0.300	ukuyenga
lurid	0.186	0.833	0.536	lurid
lurk	0.219	0.740	0.655	lalela
lurking	0.421	0.781	0.575	ukucathama
luscious	0.885	0.552	0.545	luscious
lush	0.740	0.783	0.833	luhlaza
lust	0.469	0.944	0.518	inkanuko
luster	0.833	0.566	0.558	ukucwebezela
lustful	0.427	0.896	0.643	nenkanuko
lustrous	0.771	0.606	0.598	elikhazimulayo
lusty	0.469	0.941	0.673	nenkanuko
lute	0.459	0.407	0.500	iluthi
luxuriant	0.760	0.745	0.812	luhlaza
luxurious	0.947	0.644	0.754	zikanokusho
luxury	0.932	0.673	0.750	ukunethezeka
lycra	0.520	0.449	0.328	i-lycra
lye	0.378	0.396	0.443	i-lye
lying	0.208	0.704	0.317	ukuqamba amanga
lymph	0.398	0.510	0.390	i-lymph
lymphatic	0.380	0.509	0.472	i-lymphatic
lymphoma	0.208	0.645	0.330	i-lymphoma
lynch	0.167	0.885	0.482	i-lynch
lynching	0.135	0.920	0.548	lynching
lynx	0.510	0.590	0.567	i-lynx
lyre	0.719	0.347	0.414	ihabhu
lyric	0.702	0.269	0.464	ingoma
lyrical	0.708	0.451	0.618	okomculo
lyrics	0.582	0.214	0.333	amazwi womculo
macadamia	0.635	0.330	0.434	macadamia
macarena	0.802	0.601	0.368	macarena
macaroni	0.816	0.410	0.382	i-macaroni
mace	0.450	0.412	0.415	inkungu
mach	0.541	0.432	0.463	makh
machete	0.260	0.690	0.474	ucelemba
machine	0.510	0.500	0.707	umshini
machinery	0.458	0.615	0.629	imishini
machinist	0.490	0.598	0.721	usomishini
macho	0.643	0.690	0.676	indoda
mackerel	0.418	0.423	0.426	i-mackerel
macro	0.552	0.469	0.647	amakhro
mad	0.219	0.873	0.277	hlanya
madam	0.580	0.308	0.571	nkosikazi
madame	0.604	0.500	0.635	unkosikazi
madden	0.329	0.602	0.457	uhlanya
madder	0.323	0.853	0.267	uhlanya
mademoiselle	0.752	0.459	0.461	i-mademoiselle
mademyday	0.694	0.573	0.537	mademyday
madhouse	0.156	0.736	0.440	indlu yohlanya
madman	0.135	0.880	0.312	uhlanya
madness	0.104	0.804	0.440	ubuhlanya
maestro	0.823	0.357	0.849	i-maestro
mafia	0.204	0.867	0.676	mafia
magazine	0.615	0.332	0.377	umagazini
mage	0.622	0.373	0.453	mage
magenta	0.635	0.275	0.415	imajenta
maggot	0.235	0.500	0.235	izimpethu
magic	0.868	0.663	0.578	umlingo
magical	0.875	0.651	0.595	imilingo
magician	0.714	0.657	0.551	umlingo
magistrate	0.587	0.541	0.904	imantshi
magma	0.323	0.623	0.609	magma
magna	0.605	0.490	0.652	magina
magnate	0.627	0.708	0.868	isikhulu
magnesium	0.542	0.320	0.321	i-magnesium
magnet	0.571	0.318	0.553	uzibuthe
magnetic	0.612	0.529	0.673	kazibuthe
magnetism	0.630	0.529	0.741	uzibuthe
magnetite	0.531	0.490	0.581	imagnetite
magnification	0.890	0.615	0.880	ukukhulisa
magnificence	0.802	0.810	0.920	ubuhle
magnificent	1.000	0.680	0.886	enhle kakhulu
magnifier	0.469	0.216	0.345	isikhulisi
magnify	0.729	0.561	0.839	khulisa
magnifying	0.594	0.265	0.406	ekhulisayo
magnitude	0.608	0.613	0.774	ubukhulu
magnolia	0.558	0.343	0.379	i-magnolia
magpie	0.500	0.458	0.327	izimanga
mahi mahi	0.510	0.410	0.398	mahi mahi
mahjong	0.556	0.418	0.440	mahjong
mahogany	0.602	0.225	0.393	i-mahogany
maid	0.406	0.324	0.300	incekukazi
maiden	0.755	0.396	0.461	intombi
mail	0.615	0.231	0.548	imeyili
mailbox	0.573	0.222	0.404	ibhokisi lemeyili
mailing	0.688	0.324	0.375	ukuthumela ngeposi
mailman	0.659	0.418	0.462	umeyili
maim	0.133	0.724	0.496	khubaza
main	0.667	0.510	0.811	main
mainframe	0.531	0.490	0.557	mainframe
mainland	0.680	0.407	0.806	izwekazi
mainstay	0.694	0.400	0.713	insika
mainstream	0.653	0.527	0.660	ejwayelekile
maintain	0.684	0.398	0.647	gcina
maintenance	0.592	0.410	0.545	ukunakekela
majestic	0.948	0.731	0.906	ngokubabazekayo
majesty	0.823	0.602	0.955	ubukhosi
major	0.684	0.538	0.874	enkulu
majority	0.684	0.560	0.930	iningi
make	0.684	0.420	0.480	yenza
makeover	0.771	0.510	0.596	Ushintsho olungcono
maker	0.698	0.544	0.706	umenzi
makeshift	0.479	0.611	0.389	isikhashana
makesmehappy	0.894	0.663	0.712	uyangijabulisa
makesmemad	0.296	0.643	0.500	makememad
makeup	0.740	0.333	0.331	ukulungisa
makingdisciples	0.684	0.402	0.664	ukwenza abafundi
malady	0.190	0.686	0.304	isifo
malaise	0.150	0.600	0.161	ukugula
malaria	0.125	0.653	0.304	umalaleveva
malarkey	0.396	0.500	0.465	i-malarkey
malevolent	0.094	0.854	0.613	ononya
malfeasance	0.062	0.745	0.325	ukungasebenzi kahle
malformation	0.083	0.602	0.357	ukonakala
malfunction	0.125	0.577	0.229	ukungasebenzi kahle
malice	0.073	0.811	0.492	ububi
malicious	0.177	0.765	0.607	enonya
malign	0.140	0.765	0.481	kabi
malignancy	0.149	0.814	0.614	ubulwelwe
malignant	0.143	0.824	0.370	yingozi
maligned	0.102	0.684	0.218	kabi
mall	0.724	0.663	0.492	inxanxathela yezitolo
malleable	0.500	0.500	0.391	-thambile
mallet	0.354	0.390	0.483	i-mallet
malnutrition	0.024	0.592	0.277	ukungondleki kahle
malpractice	0.094	0.559	0.330	ukungenzi kahle
malt	0.750	0.373	0.324	i-malt
mama	0.860	0.413	0.728	umama
mambo	0.808	0.622	0.445	inkosi
mamma	0.600	0.358	0.449	umama
mammal	0.618	0.449	0.421	izilwane ezincelisayo
mammoth	0.480	0.471	0.537	i-mammoth
mammy	0.680	0.415	0.436	umama
manage	0.560	0.530	0.719	phatha
manageable	0.750	0.361	0.655	iyalawuleka
management	0.792	0.491	0.806	abaphathi
manager	0.625	0.549	0.897	umphathi
managerial	0.604	0.520	0.791	zokuphatha
mandamus	0.439	0.577	0.556	mandamus
mandarin	0.625	0.398	0.491	i-mandarin
mandate	0.448	0.670	0.779	igunya
mandatory	0.271	0.667	0.777	impoqo
mandible	0.510	0.431	0.500	i-mandible
mandolin	0.708	0.433	0.367	i-mandolin
mandrel	0.310	0.490	0.481	mandrel
mane	0.521	0.277	0.373	umhlwehlwe
maneuver	0.615	0.663	0.608	ukuqondisa
maneuvering	0.635	0.640	0.745	ukuqondisa
mange	0.311	0.558	0.348	umange
manger	0.656	0.276	0.398	umkhombe
mangle	0.292	0.449	0.355	umhluzi
mango	0.765	0.327	0.290	i-Mango
mangosteen	0.562	0.500	0.414	umangosteen
mangy	0.214	0.698	0.270	manzi
manhole	0.378	0.500	0.516	umgodi
manhood	0.625	0.735	0.858	ubudoda
manhunt	0.145	0.925	0.657	ukuzingela
mania	0.290	0.683	0.382	ubuhlanya
maniac	0.120	0.849	0.431	uhlanya
maniacal	0.200	0.848	0.500	ohlanyayo
manic	0.054	0.892	0.368	uhlanya
manicure	0.706	0.308	0.284	i-manicure
manicurist	0.583	0.352	0.341	i-manicurist
manifest	0.667	0.647	0.704	i-manifest
manifestation	0.583	0.750	0.655	ukubonakaliswa
manifested	0.580	0.618	0.667	kubonakalisiwe
manifestly	0.469	0.588	0.577	ngokusobala
manifesto	0.646	0.519	0.676	i-manifesto
manifold	0.500	0.461	0.435	eziningi
manipulate	0.255	0.700	0.772	phatha
manipulation	0.188	0.775	0.536	ukukhwabanisa
manipulative	0.177	0.724	0.546	onobuqili
mankind	0.823	0.471	0.768	isintu
manly	0.698	0.633	0.846	indoda
manna	0.698	0.294	0.544	imana
manned	0.551	0.588	0.484	ngumuntu
mannequin	0.427	0.302	0.295	i-mannequin
manner	0.618	0.250	0.320	indlela
mannered	0.469	0.556	0.291	onesimilo
manners	0.816	0.284	0.517	imikhuba
manor	0.646	0.358	0.738	indlu
manpower	0.531	0.620	0.543	abasebenzi
mansion	0.847	0.490	0.717	isithabathaba somuzi
mansions	0.735	0.529	0.777	izindlu ezinkulu
manslaughter	0.090	0.920	0.473	ukubulawa kwabantu
mantel	0.500	0.265	0.471	indoda
mantis	0.480	0.355	0.421	isithwalambiza
mantle	0.510	0.269	0.422	isiphuku
mantra	0.396	0.249	0.357	i-mantra
manual	0.635	0.245	0.449	imanuwali
manufacture	0.868	0.703	0.780	ukukhiqiza
manufacturer	0.688	0.537	0.830	umkhiqizi
manufacturing	0.653	0.613	0.804	ukukhiqiza
manure	0.250	0.471	0.241	umquba
manuscript	0.510	0.208	0.540	umbhalo wesandla
map	0.561	0.229	0.463	imephu
maple	0.541	0.390	0.339	i-maple
mar	0.622	0.544	0.545	Mar
marathon	0.646	0.778	0.740	i-marathon
marble	0.604	0.212	0.667	imabula
marbled	0.396	0.385	0.418	imabula
marbles	0.714	0.345	0.241	imabula
march	0.531	0.200	0.483	imashi
mare	0.541	0.320	0.417	imbila
margarine	0.530	0.316	0.333	imajarini
margarita	0.750	0.438	0.420	u-margarita
margin	0.500	0.219	0.331	imajini
marginal	0.235	0.644	0.345	emaphethelweni
mariachi	0.710	0.559	0.609	mariachi
marijuana	0.312	0.779	0.558	insangu
marinara	0.657	0.388	0.435	marinara
marine	0.633	0.471	0.679	osolwandle
mariner	0.652	0.491	0.676	umatilosi
marital	0.760	0.529	0.500	oshadile
maritime	0.646	0.490	0.713	ezasolwandle
mark	0.491	0.231	0.600	umaka
marked	0.592	0.358	0.554	imakwe
marker	0.500	0.333	0.605	umaka
market	0.724	0.480	0.521	imakethe
marketable	0.746	0.545	0.664	iyathengiswa
marketing	0.521	0.774	0.675	ukumaketha
marketplace	0.698	0.420	0.525	indawo yemakethe
marks	0.430	0.480	0.424	amamaki
marksman	0.500	0.833	0.692	umaka
marksmanship	0.573	0.531	0.664	ubukhazikhazi
marl	0.372	0.471	0.351	marl
marmalade	0.729	0.370	0.288	i-marmalade
maroon	0.469	0.358	0.336	i-maroon
marooned	0.229	0.480	0.160	uboshiwe
marquee	0.602	0.284	0.508	itende
marquis	0.521	0.444	0.562	marquis
marred	0.181	0.561	0.233	konakele
marriage	0.844	0.684	0.750	umshado
married	0.674	0.570	0.602	ushadile
marrow	0.398	0.422	0.472	umnkantsha
marry	0.896	0.765	0.673	shada
marsh	0.302	0.358	0.277	ixhaphozi
marshal	0.469	0.610	0.819	u-marshal
marshmallow	0.740	0.441	0.391	i-marshmallow
mart	0.531	0.402	0.418	imart
martial	0.480	0.710	0.737	impi
martingale	0.469	0.510	0.455	i-martingale
martini	0.828	0.500	0.519	i-martini
martyr	0.281	0.708	0.509	umfel’ ukholo
martyrdom	0.323	0.745	0.442	ukufela ukholo
marvel	0.961	0.755	0.866	mangala
marvellous	0.878	0.809	0.849	emangalisayo
marvelous	0.948	0.637	0.778	emangalisayo
marvelously	0.968	0.708	0.764	ngokumangalisayo
marzipan	0.684	0.380	0.258	i-marzipan
mascara	0.575	0.450	0.269	imascara
mascot	0.750	0.337	0.337	umaskandi
masculine	0.653	0.540	0.773	owesilisa
masculinity	0.583	0.670	0.851	ubudoda
mash	0.440	0.363	0.283	i-mash
mashed	0.531	0.337	0.194	ecutshiwe
mask	0.510	0.490	0.537	imaski
masked	0.375	0.549	0.518	zifihle ubuso
masks	0.510	0.472	0.241	imaski
masochism	0.194	0.845	0.483	i-masochism
masochist	0.164	0.784	0.353	umasochist
mason	0.541	0.442	0.580	umakhi
masquerade	0.431	0.633	0.446	masquerade
mass	0.458	0.245	0.277	ubuningi
massacre	0.031	0.887	0.640	isibhicongo
massage	0.708	0.356	0.413	massage
masses	0.552	0.453	0.473	uquqaba
masseur	0.622	0.265	0.463	i-masseur
masseuse	0.594	0.373	0.391	masseuse
massive	0.569	0.660	0.750	omkhulu
mast	0.542	0.390	0.580	insika
master	0.694	0.490	0.849	inkosi
masterful	0.854	0.510	0.960	ubuciko
mastermind	0.792	0.625	0.918	ungqondongqondo
masterpiece	0.926	0.623	0.847	ubuciko bobuciko
mastery	0.755	0.648	0.873	ubuhlakani
masturbate	0.552	0.926	0.500	shaya indlwabu
masturbation	0.542	0.961	0.509	ukushaya indlwabu
mat	0.459	0.221	0.304	umata
matador	0.224	0.880	0.667	umatador
match	0.599	0.573	0.500	fanisa
matchbook	0.562	0.391	0.412	incwadi yokufanisa
matching	0.719	0.735	0.418	ukufanisa
matchmaker	0.615	0.509	0.519	umesheli
mate	0.847	0.417	0.669	umlingani
material	0.521	0.363	0.439	impahla
materialism	0.220	0.390	0.556	ukuthanda izinto ezibonakalayo
materialist	0.255	0.491	0.504	othanda izinto ezibonakalayo
materialistic	0.420	0.506	0.589	ukuthanda izinto ezibonakalayo
materiality	0.417	0.450	0.636	izinto ezibonakalayo
materialize	0.688	0.596	0.728	enze izinto ezibonakalayo
materially	0.490	0.451	0.670	ngokwezinto ezibonakalayo
materials	0.633	0.361	0.473	izinto zokwakha
materiel	0.531	0.294	0.417	impahla
maternal	0.847	0.417	0.634	komama
maternity	0.865	0.480	0.622	ukubeletha
math	0.417	0.375	0.600	izibalo
mathematical	0.620	0.500	0.548	ezezibalo
mathematician	0.541	0.418	0.773	isazi sezibalo
mathematics	0.438	0.435	0.664	izibalo
matinee	0.694	0.578	0.447	matine
mating	0.755	0.840	0.759	ukukhwelana
matriculation	0.622	0.490	0.675	u-matric
matrimony	0.850	0.637	0.843	umshado
matrix	0.551	0.378	0.673	i-matrix
matron	0.520	0.519	0.555	umatroni
matted	0.281	0.519	0.393	matted
matter	0.487	0.353	0.562	udaba
matting	0.479	0.405	0.423	ukukhwelana
mattress	0.612	0.255	0.397	umatilasi
maturation	0.612	0.439	0.698	ukuvuthwa
mature	0.625	0.347	0.600	abavuthiwe
maturity	0.827	0.400	0.806	ukuvuthwa
maudlin	0.337	0.417	0.368	maudlin
mausoleum	0.344	0.281	0.594	i-mausoleum
mauve	0.533	0.330	0.314	umuve
maverick	0.354	0.676	0.409	i-maverick
maxim	0.875	0.562	0.887	esiphezulu
maximize	0.823	0.765	0.792	khulisa
maximum	0.724	0.724	0.852	esiphezulu
may	0.704	0.273	0.245	kungenzeka
mayday	0.344	0.643	0.423	usuku lwami
mayflower	0.690	0.463	0.429	imayflower
mayhem	0.188	0.870	0.364	umonakalo
mayonnaise	0.510	0.320	0.222	imayonnaise
mayor	0.469	0.481	0.818	imeya
maze	0.438	0.608	0.444	imaze
mead	0.667	0.337	0.441	mead
meadow	0.622	0.130	0.382	idlelo
meager	0.144	0.389	0.281	kuncane
meal	0.833	0.461	0.473	ukudla
mean	0.440	0.467	0.620	kusho
meander	0.480	0.443	0.454	i-mender
meandering	0.427	0.644	0.539	ukuzulazula
meanie	0.388	0.420	0.404	meanie
meaning	0.663	0.395	0.625	incazelo
meaningful	0.770	0.500	0.802	okunenjongo
meaningless	0.156	0.314	0.143	lutho
meanness	0.102	0.694	0.368	ubuxhwanguxhwangu
means	0.615	0.373	0.460	kusho
meantime	0.432	0.222	0.300	okwamanje
measles	0.092	0.635	0.422	isimungumungwane
measurable	0.604	0.410	0.602	iyalinganiseka
measure	0.510	0.375	0.365	isilinganiso
measured	0.542	0.265	0.578	kukalwa
measurement	0.622	0.418	0.491	ukulinganisa
measuring	0.448	0.337	0.529	ukukala
measuring cup	0.557	0.343	0.377	inkomishi yokulinganisa
measuring tape	0.337	0.280	0.327	itheyiphu yokulinganisa
meat	0.612	0.421	0.413	inyama
meatball	0.612	0.279	0.343	i-meatball
meathead	0.306	0.534	0.490	inhloko yenyama
meatloaf	0.625	0.389	0.375	isinkwa senyama
mechanic	0.571	0.433	0.566	umakhenikha
mechanical	0.479	0.569	0.564	okomshini
mechanics	0.542	0.500	0.761	umakhenikha
mechanism	0.573	0.583	0.664	indlela
med	0.375	0.429	0.606	med
medal	0.854	0.555	0.746	indondo
medallion	0.750	0.510	0.710	imedali
medallist	0.796	0.821	0.897	othole indondo
meddle	0.302	0.770	0.526	gxambukela
meddling	0.245	0.600	0.461	ukugxambukela
media	0.500	0.330	0.464	abezindaba
medial	0.458	0.340	0.429	okuphakathi
median	0.459	0.216	0.375	okuphakathi
mediate	0.635	0.308	0.654	lamula
mediation	0.661	0.350	0.657	ukulamula
mediator	0.592	0.438	0.580	umlamuleli
medic	0.500	0.472	0.585	umuthi
medical	0.583	0.373	0.616	ezokwelapha
medicate	0.417	0.375	0.546	imithi
medication	0.615	0.439	0.500	imithi
medicinal	0.667	0.417	0.614	ezokwelapha
medicine	0.708	0.318	0.679	umuthi
medieval	0.560	0.408	0.455	enkathini ephakathi
mediocre	0.188	0.481	0.149	phakathi
mediocrity	0.073	0.398	0.225	ubuphakathi
meditate	0.812	0.146	0.564	zindla
meditating	0.718	0.185	0.399	ukuzindla
meditation	0.786	0.120	0.478	ukuzindla
meditative	0.614	0.120	0.454	ezindlayo
mediterranean	0.663	0.454	0.545	i-mediterranean
medium	0.559	0.356	0.358	okuphakathi
medley	0.487	0.352	0.400	medley
meek	0.531	0.150	0.198	mnene
meet	0.760	0.510	0.580	hlangana
meeting	0.750	0.569	0.613	umhlangano
mega	0.724	0.538	0.723	mega
meh	0.380	0.286	0.365	meh
melancholic	0.181	0.306	0.277	i-melancholic
melancholy	0.188	0.260	0.237	i-melancholy
melee	0.541	0.704	0.611	mele
mellow	0.633	0.069	0.265	mellow
melodious	0.932	0.530	0.587	emnandi
melodrama	0.378	0.830	0.446	i-melodrama
melodramatic	0.235	0.692	0.368	melodramatic
melody	0.847	0.434	0.405	ingoma
melon	0.461	0.231	0.271	i-Melon
melt	0.448	0.615	0.312	ncibilika
meltdown	0.629	0.657	0.602	ukuwohloka
melting	0.592	0.470	0.538	ukuncibilika
member	0.698	0.333	0.555	ilungu
membership	0.698	0.411	0.778	ubulungu
membrane	0.406	0.430	0.418	ulwelwesi
memento	0.708	0.360	0.536	isikhumbuzo
memo	0.625	0.235	0.407	imemo
memoir	0.750	0.242	0.553	isikhumbuzo
memorabilia	0.780	0.412	0.491	izikhumbuzo
memorable	0.939	0.510	0.769	ekhumbulekayo
memorandum	0.600	0.500	0.639	imemorandamu
memorial	0.602	0.304	0.600	isikhumbuzo
memorials	0.771	0.333	0.679	izikhumbuzo
memories	0.963	0.487	0.510	izinkumbulo
memoriesiwontforget	0.635	0.542	0.455	izinkumbulowontkhohlwa
memorize	0.520	0.451	0.716	ngekhanda
memory	0.792	0.378	0.573	inkumbulo
menace	0.125	0.894	0.759	usongo
menacing	0.042	0.880	0.643	ukusongela
menagerie	0.573	0.480	0.538	menagerie
mend	0.542	0.436	0.602	lungisa
mending	0.500	0.633	0.657	ukulungisa
menial	0.490	0.420	0.352	abaphansi
meningitis	0.104	0.612	0.407	i-meningitis
meniscus	0.323	0.330	0.453	i-meniscus
menopause	0.204	0.460	0.306	ukuya esikhathini
menses	0.163	0.686	0.331	ukuya esikhathini
menstrual	0.408	0.519	0.435	ukuya esikhathini
mental	0.490	0.490	0.585	ngokwengqondo
mentalhealth	0.562	0.541	0.670	impilo yengqondo
mentality	0.711	0.415	0.726	ingqondo
menthol	0.490	0.292	0.433	menthol
mention	0.562	0.365	0.562	yisho
mentor	0.719	0.455	0.777	umeluleki
menu	0.633	0.333	0.385	imenyu
meow	0.510	0.510	0.412	mew
mercantile	0.480	0.490	0.713	mercantile
mercenary	0.245	0.837	0.673	mercenary
merchandise	0.594	0.460	0.621	okuthengiswayo
merchant	0.675	0.500	0.620	umthengisi
merciful	0.854	0.346	0.500	nomusa
merciless	0.062	0.880	0.634	engenasihawu
mercurial	0.490	0.546	0.518	i-mercurial
mercury	0.337	0.312	0.475	i-mercury
mercy	0.719	0.229	0.500	umusa
mere	0.396	0.221	0.176	nje
merengue	0.688	0.519	0.442	i-merengue
merge	0.760	0.480	0.733	hlanganisa
merger	0.592	0.490	0.642	ukuhlanganisa
meridian	0.510	0.324	0.558	i-meridian
meridional	0.365	0.290	0.600	i-meridional
meringue	0.625	0.580	0.411	i-meringue
merit	0.854	0.500	0.722	ukufaneleka
meritorious	0.781	0.618	0.855	meritorious
mermaid	0.765	0.623	0.452	ugogo
merriment	0.948	0.721	0.632	intokozo
merry	0.979	0.731	0.764	ngijabule
merrychristmas	0.888	0.510	0.536	Jabulela Ukhisimusi
mesa	0.604	0.191	0.319	mesa
mescaline	0.490	0.580	0.415	i-mescaline
mesh	0.429	0.235	0.371	Imeshi
meshes	0.440	0.363	0.362	amameshi
mesmerized	0.520	0.552	0.421	ngimangele
mess	0.143	0.843	0.273	isiphithiphithi
message	0.650	0.391	0.415	umyalezo
messedup	0.333	0.615	0.358	ukudideka
messenger	0.694	0.434	0.500	isithunywa
messiah	0.781	0.634	0.800	uMesiya
messy	0.260	0.635	0.140	ngcolile
metabolic	0.408	0.531	0.559	i-metabolic
metabolism	0.698	0.509	0.555	umzimba
metal	0.551	0.429	0.547	insimbi
metallic	0.615	0.330	0.607	metallic
metallurgy	0.396	0.509	0.587	i-metallurgy
metamorphosis	0.541	0.571	0.613	i-metamorphosis
metaphor	0.562	0.280	0.470	isingathekiso
metaphorical	0.500	0.412	0.480	isingathekiso
metaphysical	0.630	0.573	0.686	i-metaphysical
metaphysics	0.561	0.396	0.588	imetaphysics
metastasis	0.177	0.646	0.452	i-metastasis
meteor	0.398	0.714	0.737	umkhathi
meteoric	0.590	0.802	0.684	i-meteoric
meteorite	0.385	0.794	0.750	i-meteorite
meteorological	0.635	0.557	0.556	isimo sezulu
meteorology	0.630	0.418	0.689	i-meteorology
