English Word	Valence	Arousal	Dominance	Russian Word
homey	0.769	0.278	0.500	домашний
homicidal	0.020	0.912	0.573	убийственный
homicide	0.010	0.973	0.518	убийство
homily	0.621	0.358	0.425	проповедь
homing	0.551	0.460	0.527	самонаведение
hominy	0.479	0.382	0.429	мамалыга
homo	0.531	0.368	0.415	гомо
homogeneity	0.715	0.365	0.582	однородность
homogeneous	0.552	0.255	0.617	однородный
homologous	0.471	0.353	0.536	гомологичный
homologue	0.542	0.356	0.509	гомолог
homology	0.571	0.494	0.527	гомология
homophobic	0.130	0.736	0.464	гомофобный
honcho	0.469	0.464	0.397	начальник
hone	0.688	0.392	0.473	оттачивать
honest	0.927	0.254	0.750	честный
honesty	0.938	0.411	0.728	честность
honey	0.920	0.431	0.510	медовый
honeycomb	0.541	0.417	0.412	соты
honeymoon	0.979	0.678	0.526	Медовый месяц
honeysuckle	0.597	0.451	0.517	жимолость
honk	0.549	0.635	0.415	гудок
honky	0.458	0.632	0.425	хонки
honor	0.896	0.587	0.857	честь
honorable	0.963	0.412	0.830	почетный
honorarium	0.796	0.510	0.746	гонорар
honorary	0.885	0.565	0.811	почетный
honored	0.938	0.447	0.732	заслуженный
hooch	0.429	0.538	0.373	самогон
hood	0.357	0.459	0.306	капот
hooded	0.306	0.745	0.439	с капюшоном
hoodlum	0.354	0.720	0.432	хулиган
hoof	0.427	0.341	0.365	копыто
hook	0.418	0.444	0.395	крюк
hooked	0.610	0.661	0.454	на крючке
hooker	0.214	0.889	0.373	проститутка
hookup	0.625	0.529	0.683	монтировать
hooky	0.468	0.500	0.452	прогул
hooligan	0.295	0.712	0.455	хулиган
hoop	0.635	0.204	0.315	обруч
hoopla	0.542	0.471	0.353	шумиха
hooray	0.610	0.481	0.536	Ура
hoot	0.449	0.560	0.430	улюлюкать
hooter	0.470	0.615	0.455	гудок
hop	0.450	0.520	0.427	прыгать
hope	0.927	0.317	0.739	надеяться
hopeful	0.947	0.357	0.627	обнадеживающий
hopeless	0.094	0.298	0.112	безнадежный
hopelessness	0.052	0.402	0.223	безнадежность
hopes	0.917	0.500	0.702	надежды
hoping	0.684	0.469	0.454	надеясь
hopper	0.396	0.491	0.442	бункер
horde	0.286	0.713	0.684	орда
horizon	0.729	0.284	0.590	горизонт
horizontal	0.573	0.304	0.387	горизонтальный
horizontally	0.500	0.356	0.439	по горизонтали
hormonal	0.500	0.620	0.551	гормональный
hormone	0.490	0.750	0.621	гормон
horn	0.385	0.510	0.366	рог
horned	0.316	0.610	0.375	рогатый
hornet	0.398	0.594	0.500	шершень
horny	0.490	0.908	0.560	роговой
horoscope	0.500	0.360	0.490	Гороскоп
horrendous	0.073	0.755	0.365	ужасный
horrible	0.071	0.857	0.398	какой ужас
horribly	0.050	0.631	0.454	ужасно
horrid	0.052	0.765	0.419	ужасный
horrific	0.094	0.846	0.481	ужасный
horrified	0.040	0.885	0.368	ужас
horrifying	0.010	0.760	0.352	ужасающий
horror	0.115	0.850	0.438	ужастик
horrors	0.061	0.852	0.409	ужасы
horse	0.635	0.510	0.529	лошадь
horseback	0.688	0.588	0.566	верхом
horseman	0.441	0.700	0.676	всадник
horsepower	0.594	0.735	0.735	Лошадиные силы
horseradish	0.321	0.584	0.476	хрен
horseshit	0.153	0.582	0.179	фигня
horseshoe	0.673	0.350	0.406	подкова
horsey	0.602	0.454	0.462	лошадиный
horticultural	0.594	0.387	0.509	садоводческий
horticulture	0.700	0.420	0.434	садоводство
hosannah	0.679	0.373	0.500	осанна
hose	0.469	0.288	0.263	шланг
hosiery	0.520	0.344	0.373	трикотаж
hospice	0.337	0.443	0.535	хоспис
hospitable	0.791	0.470	0.661	гостеприимный
hospital	0.323	0.537	0.598	больница
hospitality	0.865	0.333	0.725	гостеприимство
host	0.693	0.471	0.537	хозяин
hostage	0.163	0.923	0.325	заложник
hostel	0.479	0.500	0.398	общежитие
hostess	0.792	0.604	0.688	хозяйка
hostile	0.188	0.877	0.474	враждебный
hostilities	0.276	0.810	0.444	боевые действия
hostility	0.122	0.775	0.465	враждебность
hot	0.490	0.740	0.573	горячий
hot sauce	0.333	0.740	0.509	острый соус
hotbed	0.510	0.285	0.395	очаг
hotdog	0.720	0.438	0.373	хотдог
hotel	0.740	0.370	0.407	отель
hothead	0.240	0.849	0.518	вспыльчивый
hotline	0.592	0.565	0.663	горячая линия
hotshot	0.500	0.727	0.615	горячий выстрел
hotyoga	0.683	0.609	0.446	хотйога
hound	0.417	0.528	0.582	гончая
hour	0.552	0.265	0.336	час
hourglass	0.542	0.284	0.492	песочные часы
hourly	0.469	0.418	0.491	ежечасно
house	0.587	0.135	0.533	дом
houseboat	0.604	0.389	0.429	плавучий дом
houseboy	0.479	0.415	0.393	слуга
housebroken	0.518	0.461	0.389	разоренный
houseguest	0.530	0.500	0.481	гость
household	0.781	0.230	0.667	семья
householder	0.816	0.541	0.833	домовладелец
housekeeper	0.694	0.279	0.520	экономка
housekeeping	0.604	0.500	0.445	домашнее хозяйство
housewarming	0.857	0.710	0.727	празднование новоселья
housewife	0.656	0.361	0.449	домохозяйка
housework	0.484	0.413	0.342	домашние дела
housing	0.776	0.304	0.591	Корпус
hovel	0.333	0.296	0.322	лачуга
hover	0.510	0.431	0.404	парить
hovercraft	0.541	0.654	0.588	судно на воздушной подушке
howl	0.357	0.646	0.407	вой
howsoever	0.459	0.309	0.345	однако
hoy	0.583	0.298	0.471	эй
hub	0.479	0.399	0.433	центр
hubby	0.548	0.435	0.430	муженек
huckleberry	0.600	0.279	0.296	черника
huddle	0.604	0.509	0.445	сбиться в кучу
hue	0.507	0.416	0.417	оттенок
huff	0.388	0.491	0.315	пыхтение
huffy	0.420	0.616	0.375	раздражительный
hug	0.908	0.427	0.548	обнимать
huge	0.573	0.625	0.783	огромный
hugger	0.520	0.480	0.412	обниматься
huggy	0.854	0.429	0.451	обнимашка
hugs	0.980	0.422	0.600	объятия
hulk	0.460	0.740	0.750	Халк
hull	0.542	0.265	0.353	корпус
hum	0.490	0.296	0.276	гул
human	0.767	0.314	0.605	человек
humane	0.800	0.370	0.580	гуманный
humanitarian	0.786	0.317	0.709	гуманитарный
humanities	0.729	0.325	0.677	гуманитарные науки
humanity	0.750	0.360	0.727	человечество
humankind	0.885	0.394	0.714	человечество
humanoid	0.521	0.462	0.491	гуманоид
humanrights	0.792	0.559	0.730	права человека
humble	0.867	0.236	0.483	скромный
humbled	0.280	0.618	0.198	смиренный
humbly	0.771	0.194	0.370	смиренно
humbug	0.219	0.622	0.456	обман
humdrum	0.269	0.246	0.353	банальность
humid	0.375	0.324	0.366	влажный
humidity	0.464	0.373	0.367	влажность
humiliate	0.052	0.714	0.275	унижать
humiliated	0.104	0.712	0.216	униженный
humiliating	0.062	0.716	0.279	унизительный
humiliation	0.048	0.712	0.310	унижение
humility	0.740	0.118	0.444	смирение
hummer	0.510	0.622	0.589	Хаммер
hummingbird	0.750	0.370	0.273	колибри
humongous	0.378	0.538	0.536	огромный
humor	0.890	0.633	0.462	юмор
humored	0.854	0.657	0.545	юмористический
humorist	0.958	0.790	0.607	юморист
humorous	0.906	0.616	0.665	юмористический
hump	0.296	0.462	0.250	горб
humpback	0.235	0.346	0.247	горбатый
hunch	0.561	0.630	0.567	догадка
hunchback	0.208	0.390	0.259	горбун
hundred	0.604	0.370	0.406	сто
hundredth	0.427	0.368	0.466	сотый
hunger	0.083	0.554	0.328	голод
hungry	0.083	0.690	0.254	голодный
hunk	0.438	0.375	0.361	красавчик
hunks	0.417	0.453	0.482	скряга
hunky	0.469	0.571	0.438	работяга
hunt	0.327	0.806	0.588	охотиться
hunter	0.292	0.817	0.817	охотник
hunting	0.448	0.713	0.714	охота
huntress	0.357	0.717	0.765	охотница
hurdle	0.198	0.682	0.434	препятствие
hurl	0.316	0.745	0.574	швырять
hurrah	0.802	0.740	0.500	Ура
hurricane	0.177	0.958	0.787	ураган
hurricanes	0.286	0.898	0.784	ураганы
hurried	0.314	0.806	0.393	торопился
hurry	0.422	0.735	0.481	торопиться
hurryup	0.473	0.791	0.555	торопиться
hurt	0.062	0.773	0.291	повредить
hurtful	0.104	0.680	0.463	обидный
hurting	0.153	0.778	0.221	больно
husband	0.771	0.500	0.655	муж
husbandry	0.643	0.473	0.445	земледелие
hush	0.471	0.231	0.312	тише
hushed	0.292	0.194	0.272	тихий
husk	0.378	0.173	0.147	шелуха
husky	0.630	0.450	0.490	хаски
hussy	0.219	0.594	0.384	шлюха
hustle	0.406	0.661	0.427	суетиться
hustler	0.260	0.821	0.627	мошенник
hut	0.633	0.270	0.375	хижина
hutch	0.385	0.453	0.520	клетка
hyacinth	0.372	0.360	0.342	гиацинт
hybrid	0.500	0.365	0.570	гибридный
hydra	0.406	0.598	0.534	гидра
hydrant	0.570	0.413	0.367	гидрант
hydrate	0.610	0.367	0.547	гидрат
hydraulic	0.522	0.398	0.596	гидравлический
hydraulics	0.500	0.530	0.588	гидравлика
hydrocephalus	0.286	0.629	0.393	гидроцефалия
hydrodynamics	0.552	0.582	0.664	гидродинамика
hydrogen	0.469	0.303	0.554	водород
hydrographic	0.490	0.396	0.642	гидрографический
hydrology	0.500	0.380	0.509	гидрология
hydrophobia	0.323	0.784	0.351	гидрофобия
hydroponics	0.500	0.549	0.500	гидропоника
hyena	0.396	0.719	0.464	гиена
hygiene	0.781	0.287	0.537	гигиена
hygienic	0.719	0.245	0.702	гигиеничный
hygienist	0.698	0.389	0.682	гигиенист
hymen	0.469	0.651	0.457	девственная плева
hymn	0.735	0.292	0.634	гимн
hype	0.510	0.500	0.586	шумиха
hyped	0.708	0.582	0.679	раздутый
hyper	0.542	0.616	0.640	гипер
hyperactive	0.500	0.921	0.660	гиперактивный
hyperbole	0.469	0.521	0.542	гипербола
hyperspace	0.510	0.623	0.755	гиперпространство
hypertension	0.133	0.784	0.427	гипертония
hypertrophy	0.312	0.625	0.413	гипертрофия
hyperventilate	0.347	0.729	0.556	гипервентиляция
hyperventilating	0.164	0.802	0.625	гипервентиляция
hyphen	0.552	0.356	0.381	дефис
hypnosis	0.417	0.410	0.546	гипноз
hypnotic	0.571	0.560	0.569	гипнотический
hypnotist	0.490	0.455	0.627	гипнотизер
hypnotize	0.469	0.507	0.508	гипнотизировать
hypnotized	0.449	0.434	0.380	загипнотизированный
hypochondriac	0.194	0.588	0.333	ипохондрик
hypocrisy	0.156	0.523	0.370	лицемерие
hypocrite	0.082	0.673	0.306	лицемер
hypocritical	0.048	0.740	0.415	лицемерный
hypodermic	0.240	0.441	0.445	подкожный
hypothalamus	0.593	0.427	0.539	гипоталамус
hypothermia	0.184	0.620	0.301	гипотермия
hypothesis	0.552	0.370	0.509	гипотеза
hypothetical	0.480	0.367	0.361	гипотетический
hysterectomy	0.178	0.660	0.470	гистерэктомия
hysteria	0.224	0.906	0.482	истерия
hysterical	0.290	0.942	0.398	истеричный
ibuprofen	0.448	0.427	0.504	ибупрофен
ice	0.440	0.265	0.219	лед
ice tea	0.771	0.337	0.336	Холодный чай
iceberg	0.344	0.540	0.648	айсберг
icebox	0.560	0.222	0.370	холодильник
icebreaker	0.571	0.545	0.848	ледокол
iced	0.564	0.482	0.339	замороженный
icing	0.688	0.452	0.411	глазурь
icky	0.357	0.510	0.342	противный
icon	0.549	0.349	0.415	значок
iconic	0.583	0.537	0.700	культовый
iconography	0.602	0.382	0.653	иконография
icy	0.684	0.375	0.345	ледяной
id	0.449	0.344	0.391	я бы
idea	0.750	0.538	0.704	идея
ideal	0.802	0.437	0.736	идеальный
idealism	0.635	0.436	0.689	идеализм
idealist	0.816	0.510	0.802	идеалист
idealistic	0.812	0.469	0.755	идеалистический
identical	0.635	0.380	0.527	идентичный
identically	0.667	0.427	0.487	тождественно
identification	0.714	0.451	0.692	удостоверение личности
identify	0.635	0.480	0.667	идентифицировать
identity	0.663	0.360	0.780	личность
ideology	0.573	0.344	0.692	идеология
idiocy	0.112	0.635	0.137	идиотизм
idiom	0.520	0.337	0.445	идиома
idiomatic	0.531	0.429	0.516	идиоматический
idiot	0.086	0.567	0.113	идиот
idiotic	0.104	0.620	0.170	идиотский
idiots	0.143	0.600	0.144	идиоты
idle	0.179	0.167	0.112	праздный
idleness	0.308	0.330	0.228	праздность
idler	0.200	0.304	0.194	бездельник
idol	0.684	0.805	0.853	идол
idolatry	0.365	0.571	0.625	идолопоклонство
idolizing	0.676	0.712	0.643	обожествление
idyllic	0.571	0.394	0.593	идиллический
iffy	0.380	0.442	0.333	сомнительный
ifonly	0.406	0.250	0.255	если только
igloo	0.569	0.302	0.345	иглу
igneous	0.469	0.466	0.517	магматический
ignite	0.458	0.785	0.675	зажечь
ignition	0.365	0.720	0.657	зажигание
ignorance	0.153	0.417	0.209	невежество
ignorant	0.102	0.461	0.223	невежественный
ignore	0.146	0.230	0.295	игнорировать
iguana	0.521	0.235	0.291	игуана
ihatespiders	0.245	0.611	0.420	ненавижу пауков
ilk	0.438	0.451	0.455	вроде
ill	0.073	0.410	0.200	больной
illegal	0.061	0.787	0.337	незаконный
illegality	0.094	0.635	0.427	незаконность
illegally	0.133	0.788	0.402	незаконно
illegible	0.296	0.490	0.315	неразборчивый
illegitimate	0.184	0.644	0.302	незаконнорожденный
illicit	0.188	0.794	0.390	незаконный
illiterate	0.120	0.410	0.151	неграмотный
illness	0.098	0.717	0.211	болезнь
illogical	0.208	0.630	0.251	нелогичный
illuminate	0.905	0.646	0.782	освещать
illuminating	0.949	0.613	0.773	освещающий
illumination	0.760	0.588	0.537	освещение
illuminator	0.770	0.566	0.718	иллюминатор
illusion	0.562	0.490	0.387	иллюзия
illustrate	0.750	0.430	0.690	иллюстрировать
illustration	0.740	0.441	0.640	иллюстрация
illustrative	0.771	0.452	0.647	иллюстративный
illustrious	0.673	0.550	0.741	прославленный
ilovechristmas	0.885	0.590	0.525	я люблю Рождество
iloveher	0.750	0.519	0.556	я люблю ее
image	0.653	0.241	0.453	изображение
imagery	0.653	0.327	0.390	образность
imaginable	0.613	0.529	0.596	вообразимый
imaginary	0.560	0.424	0.310	мнимый
imagination	0.802	0.491	0.547	воображение
imaginative	0.780	0.541	0.593	творческий
imagine	0.759	0.480	0.587	представить
imagined	0.656	0.412	0.418	воображаемый
imaging	0.724	0.394	0.482	визуализация
imagining	0.765	0.458	0.545	воображая
imam	0.527	0.337	0.539	имам
imbalance	0.115	0.538	0.264	дисбаланс
imbecile	0.082	0.569	0.260	слабоумный
imbedded	0.406	0.580	0.562	встроенный
imissyou	0.480	0.608	0.344	я скучаю по тебе
imitate	0.469	0.561	0.336	подражать
imitated	0.333	0.391	0.442	подражал
imitation	0.406	0.592	0.343	имитация
immaculate	0.698	0.330	0.688	безупречный
immaterial	0.296	0.309	0.295	несущественный
immature	0.114	0.500	0.200	незрелый
immaturity	0.146	0.567	0.221	незрелость
immeasurable	0.510	0.539	0.712	неизмеримый
immeasurably	0.510	0.640	0.680	неизмеримо
immediacy	0.635	0.630	0.627	непосредственность
immediate	0.656	0.548	0.716	немедленный
immediately	0.552	0.780	0.707	немедленно
immemorial	0.327	0.469	0.454	незапамятный
immense	0.755	0.750	0.811	огромный
immerse	0.510	0.577	0.509	погружать
immersion	0.510	0.556	0.564	погружение
immigrant	0.357	0.663	0.509	иммигрант
immigration	0.390	0.667	0.454	иммиграция
imminent	0.490	0.784	0.643	неизбежный
immobile	0.225	0.217	0.298	неподвижный
immoral	0.143	0.622	0.385	аморальный
immorality	0.188	0.689	0.315	безнравственность
immortal	0.812	0.750	0.795	бессмертный
immortality	0.688	0.635	0.861	бессмертие
immovable	0.480	0.310	0.571	неподвижный
immune	0.629	0.472	0.780	иммунный
immunity	0.633	0.316	0.786	иммунитет
immunization	0.667	0.510	0.733	иммунизация
immutable	0.427	0.431	0.571	неизменный
imp	0.350	0.448	0.420	бес
impact	0.469	0.884	0.776	влияние
impair	0.153	0.500	0.360	ухудшать
impaired	0.130	0.459	0.269	ослабленный
impairment	0.170	0.571	0.220	обесценение
impart	0.521	0.441	0.694	передавать
impartial	0.531	0.406	0.685	беспристрастный
impartiality	0.622	0.394	0.616	беспристрастность
impassable	0.342	0.458	0.553	непроходимый
impassioned	0.740	0.780	0.802	страстный
impatience	0.278	0.780	0.411	нетерпение
impatient	0.250	0.708	0.429	нетерпеливый
impatiently	0.194	0.750	0.539	с нетерпением
impeach	0.208	0.776	0.664	импичмент
impeachment	0.163	0.735	0.694	импичмент
impeccable	0.833	0.370	0.824	безупречный
impede	0.271	0.510	0.604	препятствовать
impediment	0.163	0.600	0.409	препятствие
impelled	0.604	0.741	0.690	побуждаемый
impending	0.480	0.735	0.752	надвигающийся
impenetrable	0.531	0.577	0.839	непроницаемый
imperative	0.625	0.647	0.708	императив
imperceptible	0.378	0.490	0.548	незаметный
imperfect	0.173	0.527	0.202	несовершенный
imperfection	0.190	0.567	0.321	несовершенство
imperfectly	0.297	0.481	0.330	несовершенно
imperial	0.669	0.646	0.922	императорский
imperialist	0.284	0.786	0.833	империалистический
impermeable	0.510	0.308	0.558	непроницаемый
impermissible	0.188	0.464	0.352	недопустимый
impersonal	0.316	0.356	0.472	безличный
impersonate	0.510	0.632	0.591	выдавать себя за
impersonation	0.375	0.618	0.528	олицетворение
impersonator	0.469	0.586	0.406	самозванец
impertinence	0.170	0.653	0.420	дерзость
impertinent	0.219	0.826	0.373	дерзкий
impervious	0.582	0.408	0.536	непроницаемый
impetuous	0.602	0.814	0.712	стремительный
impetus	0.521	0.740	0.635	толчок
implacable	0.569	0.663	0.830	неумолимый
implant	0.429	0.510	0.588	имплантат
implantation	0.396	0.604	0.741	имплантация
implanted	0.347	0.500	0.679	имплантированный
implement	0.720	0.573	0.792	осуществлять
implicate	0.250	0.670	0.434	вовлекать
implicated	0.354	0.673	0.438	замешанный
implication	0.337	0.528	0.690	значение
implied	0.327	0.530	0.481	подразумеваемый
implore	0.396	0.650	0.377	умолять
implosion	0.412	0.724	0.547	имплозия
imply	0.542	0.670	0.533	подразумевать
impolite	0.167	0.590	0.282	невежливый
import	0.615	0.480	0.623	импорт
importance	0.750	0.580	0.864	важность
important	0.827	0.630	0.836	важный
importation	0.625	0.500	0.733	импорт
impose	0.503	0.721	0.745	навязывать
imposing	0.392	0.731	0.836	внушительный
imposition	0.357	0.604	0.618	введение
impossibility	0.170	0.625	0.306	невозможность
impossible	0.153	0.510	0.407	невозможно
impostor	0.135	0.704	0.442	самозванец
impotence	0.198	0.689	0.224	импотенция
impotent	0.146	0.587	0.333	импотент
impound	0.230	0.587	0.583	конфисковывать
impoverished	0.125	0.311	0.203	обедневший
impracticable	0.398	0.549	0.381	неосуществимый
impractical	0.160	0.373	0.291	непрактичный
impregnable	0.378	0.549	0.667	неприступный
impregnate	0.510	0.721	0.655	оплодотворять
impress	0.816	0.744	0.895	произвести впечатление
impressed	0.806	0.770	0.429	впечатленный
impression	0.684	0.557	0.577	впечатление
impressionable	0.827	0.720	0.645	впечатлительный
impressive	0.781	0.830	0.873	впечатляющий
imprint	0.615	0.574	0.685	отпечаток
imprison	0.112	0.829	0.545	заключать в тюрьму
imprisoned	0.032	0.717	0.302	заключенный в тюрьму
imprisonment	0.133	0.630	0.471	тюремное заключение
improbable	0.097	0.412	0.439	невероятный
impromptu	0.541	0.729	0.415	экспромт
improper	0.229	0.520	0.259	неподходящий
impropriety	0.133	0.591	0.389	непристойность
improve	0.833	0.528	0.815	улучшать
improved	0.919	0.480	0.679	улучшенный
improvement	0.786	0.500	0.611	улучшение
improves	0.929	0.625	0.727	улучшает
improving	0.911	0.510	0.682	улучшение
improvisation	0.631	0.812	0.529	импровизация
improvise	0.646	0.650	0.519	импровизировать
improvised	0.610	0.673	0.443	импровизированный
imprudent	0.170	0.676	0.265	неосторожный
impudence	0.214	0.500	0.472	наглость
impudent	0.302	0.604	0.462	дерзкий
impulse	0.530	0.840	0.611	импульс
impulsive	0.365	0.864	0.607	импульсивный
impunity	0.313	0.721	0.602	безнаказанность
impure	0.260	0.560	0.208	нечистый
impurity	0.173	0.546	0.306	примесь
imputation	0.333	0.654	0.621	вменение
imtryingtosleep	0.438	0.363	0.385	Я пытаюсь уснуть
inability	0.150	0.529	0.250	неспособность
inaccessible	0.083	0.585	0.446	недоступный
inaccurate	0.135	0.450	0.250	неточный
inaction	0.323	0.225	0.325	в действии
inactivate	0.245	0.240	0.415	деактивировать
inactivation	0.198	0.260	0.220	инактивация
inactive	0.271	0.167	0.159	неактивный
inactivity	0.135	0.143	0.227	бездействие
inadequacy	0.286	0.500	0.297	неадекватность
inadequate	0.122	0.450	0.223	неадекватный
inadequateness	0.240	0.529	0.316	неадекватность
inadmissible	0.188	0.636	0.389	недопустимый
inadvertent	0.365	0.368	0.286	непреднамеренный
inadvertently	0.302	0.541	0.549	непреднамеренно
inaffable	0.388	0.518	0.455	невозмутимый
inalienable	0.437	0.459	0.608	неотъемлемый
inane	0.271	0.350	0.268	бессмысленный
inanimate	0.281	0.143	0.224	неодушевленный
inapplicable	0.281	0.402	0.330	неприменим
inappropriate	0.135	0.542	0.353	неприличный
inattention	0.208	0.433	0.188	невнимательность
inaudible	0.280	0.398	0.358	неслышимый
inaugural	0.684	0.567	0.608	инаугурационный
inaugurate	0.781	0.582	0.800	открывать
inauguration	0.847	0.712	0.769	инаугурация
inborn	0.590	0.288	0.546	врожденный
inbound	0.531	0.388	0.538	входящий
inbred	0.397	0.520	0.473	врожденный
incalculable	0.449	0.620	0.679	неисчислимый
incandescent	0.354	0.612	0.621	раскаленный
incantation	0.439	0.632	0.548	заклинание
incapable	0.156	0.529	0.155	неспособный
incapacity	0.052	0.500	0.217	недееспособность
incarceration	0.100	0.800	0.397	заключение
incarnate	0.552	0.651	0.593	воплощенный
incase	0.580	0.196	0.365	в случае
incendiary	0.281	0.810	0.598	зажигательный
incense	0.698	0.275	0.328	благовония
incensed	0.338	0.643	0.392	рассерженный
incentive	0.812	0.618	0.718	стимул
inception	0.604	0.425	0.561	зарождение
incessant	0.438	0.760	0.544	непрекращающийся
incessantly	0.417	0.765	0.606	непрерывно
incest	0.073	0.853	0.491	инцест
incestuous	0.188	0.736	0.442	кровосмесительный
inch	0.481	0.327	0.300	дюйм
incidence	0.417	0.527	0.429	заболеваемость
incident	0.084	0.662	0.482	инцидент
incidental	0.281	0.610	0.404	случайный
incidentally	0.479	0.500	0.500	между прочим
incineration	0.229	0.787	0.470	сжигание
incinerator	0.250	0.643	0.591	мусоросжигательная печь
incipient	0.442	0.382	0.430	зарождающийся
incision	0.240	0.663	0.558	надрез
incisive	0.380	0.602	0.545	острый
incite	0.449	0.736	0.642	подстрекать
incitement	0.302	0.943	0.598	подстрекательство
inclement	0.260	0.676	0.616	ненастный
inclination	0.378	0.490	0.538	склонность
incline	0.490	0.423	0.345	наклонять
inclined	0.469	0.347	0.402	наклонный
include	0.729	0.449	0.702	включают
included	0.760	0.402	0.570	включены
including	0.700	0.378	0.518	включая
inclusion	0.774	0.404	0.712	включение
inclusive	0.604	0.420	0.564	включительно
incognito	0.610	0.490	0.446	инкогнито
incoherent	0.122	0.612	0.250	бессвязный
income	0.750	0.510	0.728	доход
incoming	0.660	0.509	0.596	входящий
incomparable	0.625	0.577	0.670	несравненный
incompatible	0.196	0.500	0.310	несовместимый
incompetence	0.077	0.551	0.208	некомпетентность
incompetent	0.133	0.566	0.239	некомпетентный
incomplete	0.153	0.370	0.205	неполный
incompletely	0.344	0.442	0.232	не полностью
incompleteness	0.271	0.451	0.234	незавершенность
incomprehensible	0.250	0.550	0.344	непостижимый
inconceivable	0.198	0.552	0.561	невообразимый
inconclusive	0.153	0.442	0.340	неубедительный
incongruous	0.177	0.504	0.343	неуместный
inconsequential	0.250	0.480	0.345	несущественный
inconsiderate	0.224	0.519	0.423	невнимательный
inconsistency	0.125	0.480	0.314	непоследовательность
inconsistent	0.271	0.431	0.295	непоследовательный
inconspicuous	0.604	0.214	0.368	незаметный
incontinence	0.150	0.598	0.272	недержание мочи
inconvenience	0.063	0.667	0.291	неудобство
inconvenient	0.224	0.610	0.375	неудобно
incorporate	0.745	0.612	0.571	включить
incorporation	0.573	0.404	0.768	регистрация
incorrect	0.140	0.569	0.255	неправильный
incorrigible	0.130	0.667	0.500	неисправимый
increase	0.810	0.657	0.886	увеличивать
increased	0.684	0.660	0.773	вырос
incredible	0.857	0.796	0.902	невероятный
incredulous	0.286	0.510	0.269	недоверчивый
increment	0.684	0.637	0.750	приращение
incriminate	0.188	0.810	0.416	инкриминировать
incriminating	0.133	0.788	0.500	инкриминирующий
incrimination	0.152	0.865	0.545	обвинение
incubation	0.461	0.490	0.397	инкубация
incubator	0.510	0.435	0.405	инкубатор
incubus	0.458	0.529	0.482	инкуб
incumbent	0.396	0.540	0.565	действующий
incur	0.312	0.667	0.495	нести
incurable	0.104	0.667	0.255	неизлечимый
incursion	0.552	0.830	0.719	вторжение
indebted	0.138	0.698	0.275	должник
indecency	0.135	0.670	0.491	непристойность
indecent	0.083	0.683	0.240	неприличный
indecision	0.184	0.480	0.196	нерешительность
indecisive	0.271	0.420	0.190	нерешительный
indefensible	0.173	0.647	0.484	незащищенный
indefinite	0.448	0.292	0.296	неопределенный
indelible	0.490	0.337	0.591	неизгладимый
indemnification	0.521	0.490	0.770	компенсация
indemnify	0.449	0.548	0.613	компенсировать
indemnity	0.470	0.607	0.692	возмещение
indent	0.479	0.346	0.379	отступ
indentation	0.374	0.500	0.349	отступ
indenture	0.434	0.382	0.636	договор
independence	0.896	0.663	0.911	независимость
independent	0.885	0.440	0.872	независимый
indescribable	0.448	0.529	0.648	неописуемо
indestructible	0.772	0.731	0.853	нерушимый
indeterminate	0.360	0.402	0.322	неопределенный
index	0.448	0.268	0.342	индекс
indicate	0.594	0.350	0.676	указывать
indicating	0.745	0.339	0.555	указание
indication	0.719	0.432	0.750	индикация
indicative	0.510	0.510	0.591	ориентировочный
indicator	0.573	0.451	0.670	индикатор
indice	0.469	0.377	0.541	индекс
indict	0.188	0.731	0.458	предъявить обвинение
indictment	0.245	0.745	0.577	обвинительный акт
indie	0.479	0.368	0.430	инди
indifference	0.265	0.417	0.299	равнодушие
indifferent	0.396	0.157	0.250	в различных
indigenous	0.500	0.509	0.552	местный
indigent	0.156	0.481	0.223	неимущий
indigestion	0.204	0.610	0.182	расстройство желудка
indignant	0.260	0.600	0.423	возмущенный
indignation	0.173	0.778	0.431	возмущение
indignity	0.167	0.500	0.306	оскорбление
indigo	0.514	0.365	0.473	индиго
indirect	0.385	0.402	0.330	косвенный
indiscreet	0.177	0.587	0.342	нескромный
indiscretion	0.265	0.637	0.390	неосмотрительность
indispensable	0.710	0.449	0.802	незаменимый
indisposed	0.122	0.519	0.206	недомогание
indistinct	0.255	0.340	0.360	нечеткий
indistinguishable	0.346	0.458	0.548	неразличимый
individual	0.627	0.327	0.533	индивидуальный
individuality	0.612	0.469	0.527	индивидуальность
indivisible	0.646	0.398	0.580	неделимый
indoctrination	0.327	0.657	0.698	идеологическая обработка
indolent	0.177	0.381	0.259	ленивый
indomitable	0.458	0.800	0.830	неукротимый
indoor	0.615	0.245	0.347	в помещении
induce	0.257	0.606	0.684	вызывать
induced	0.397	0.471	0.491	индуцированный
inducement	0.647	0.765	0.685	побуждение
induction	0.392	0.593	0.627	индукция
indulge	0.833	0.716	0.669	предаваться
indulgence	0.479	0.490	0.517	снисходительность
indulgent	0.560	0.481	0.529	снисходительный
industrial	0.469	0.600	0.875	промышленный
industrialist	0.562	0.633	0.843	промышленник
industrious	0.720	0.537	0.791	трудолюбивый
industry	0.650	0.447	0.836	промышленность
ineffable	0.551	0.577	0.585	невыразимый
ineffective	0.093	0.422	0.094	неэффективный
ineffectual	0.163	0.412	0.200	неэффективный
inefficiency	0.092	0.466	0.181	неэффективность
inefficient	0.190	0.460	0.173	неэффективный
