English Word	Valence	Arousal	Dominance	Hungarian Word
outraged	0.156	0.696	0.538	felháborodott
outrageous	0.153	0.945	0.713	felháborító
outrank	0.653	0.643	0.817	magasabb rangú
outreach	0.540	0.462	0.672	ismeretterjesztés
outright	0.767	0.396	0.755	nyílt
outrun	0.531	0.833	0.573	lehagyni
outset	0.750	0.500	0.582	kezdet
outsider	0.398	0.549	0.447	kívülálló
outskirts	0.474	0.519	0.312	külvárosában
outsmart	0.673	0.657	0.864	túljár vki eszén
outspoken	0.582	0.413	0.667	szókimondó
outstanding	0.898	0.760	0.896	kiemelkedő
outstretched	0.448	0.481	0.519	kinyújtott
outward	0.449	0.439	0.365	kifelé
outwards	0.440	0.472	0.400	kifelé
outweigh	0.486	0.600	0.682	meghaladják
outwit	0.302	0.755	0.356	túljár vki eszén
oval	0.417	0.280	0.330	ovális
ovary	0.469	0.399	0.280	petefészek
ovate	0.385	0.286	0.368	tojásdad
ovation	0.719	0.758	0.750	ováció
oven	0.583	0.425	0.606	sütő
overactive	0.667	0.885	0.592	túl aktív
overall	0.583	0.370	0.670	átfogó
overalls	0.500	0.392	0.373	overall
overbearing	0.323	0.833	0.861	erőszakos
overburden	0.115	0.755	0.546	túlterhelés
overcast	0.417	0.250	0.475	felhős
overcharged	0.276	0.780	0.569	túltöltött
overcoat	0.594	0.265	0.430	felöltő
overcome	0.719	0.689	0.848	legyőzni
overcoming	0.842	0.765	0.855	legyőzni
overcrowded	0.292	0.520	0.491	túlzsúfolt
overdo	0.156	0.864	0.602	túlzásba
overdose	0.110	0.820	0.468	túladagolás
overdrive	0.303	0.715	0.732	túlhajtás
overdue	0.125	0.427	0.259	lejárt
overestimate	0.367	0.796	0.444	túlbecslés
overestimated	0.344	0.646	0.527	túlbecsülték
overflow	0.398	0.792	0.500	túlcsordulás
overflowing	0.439	0.796	0.635	túláradó
overgrown	0.333	0.500	0.369	nyurga
overgrowth	0.417	0.790	0.673	túlnövekedés
overhanging	0.698	0.755	0.812	túlnyúló
overhaul	0.500	0.651	0.491	nagyjavítás
overhead	0.344	0.700	0.538	felső
overhear	0.650	0.365	0.580	kihallgatni
overheated	0.250	0.598	0.547	túlmelegedett
overjoyed	0.908	0.708	0.755	elragadtatott
overkill	0.379	0.861	0.678	túlzás
overlaid	0.620	0.610	0.676	átfedve
overlap	0.594	0.615	0.627	átfedés
overlapping	0.595	0.578	0.684	átfedő
overlay	0.564	0.596	0.749	átfedés
overload	0.381	0.690	0.652	túlterhelés
overlook	0.292	0.418	0.415	átnéz
overlord	0.750	0.755	0.932	hűbérúr
overlying	0.500	0.519	0.691	fedő
overpaid	0.429	0.670	0.585	túlfizetett
overpass	0.562	0.561	0.565	felüljáró
overplayed	0.224	0.798	0.586	túljátszott
overpower	0.448	0.859	0.783	túlerő
overpowering	0.392	0.779	0.589	ellenállhatatlan
overpriced	0.271	0.556	0.472	túlárazott
overprotective	0.448	0.673	0.741	túlzottan védelmező
overrated	0.312	0.630	0.482	túlértékelt
overreact	0.306	0.912	0.471	túlreagál
override	0.316	0.491	0.529	felülbírálni
overriding	0.240	0.490	0.384	felülírva
overrule	0.224	0.412	0.429	felülbírálni
overrun	0.271	0.764	0.598	túlfutás
oversee	0.541	0.649	0.778	felügyelni
overseer	0.552	0.520	0.873	felügyelő
overshadow	0.333	0.549	0.654	háttérbe szorít
oversight	0.385	0.618	0.723	felügyelet
oversized	0.552	0.540	0.679	túlméretezett
overslept	0.408	0.315	0.300	átaludt
overstate	0.281	0.779	0.635	túlbecsülni
overstock	0.344	0.592	0.589	elhalmoz
overt	0.708	0.326	0.607	nyílt
overtake	0.573	0.620	0.718	előzni
overtaken	0.594	0.552	0.702	megelőzve
overthemoon	0.643	0.531	0.481	A fellegekben
overthinker	0.430	0.606	0.552	túlgondoló
overthinking	0.408	0.761	0.525	átgondolás
overthrow	0.260	0.868	0.620	megdönteni
overtime	0.447	0.504	0.529	túlóra
overtired	0.210	0.357	0.273	túlfáradt
overture	0.490	0.402	0.491	nyitány
overturn	0.240	0.765	0.396	felborulni
overview	0.615	0.380	0.539	áttekintés
overweight	0.052	0.500	0.389	túlsúly
overwhelm	0.250	0.823	0.462	elborít
overwhelmed	0.341	0.680	0.348	túlterhelt
overwhelming	0.327	0.830	0.640	túlnyomó
overworked	0.133	0.670	0.387	túlhajszolt
overwrought	0.156	0.900	0.571	túlfeszített
overzealous	0.427	0.804	0.703	túlbuzgó
owe	0.500	0.429	0.386	tartozik
owing	0.396	0.307	0.381	fizetendő
owl	0.520	0.270	0.321	bagoly
owner	0.776	0.449	0.920	tulajdonos
ownership	0.628	0.445	0.741	tulajdonjog
ox	0.417	0.396	0.412	ökör
oxidation	0.453	0.415	0.211	oxidáció
oxide	0.354	0.377	0.298	oxid
oxygen	0.908	0.310	0.575	oxigén
oxymoron	0.427	0.481	0.398	ellentmondásos
oyster	0.500	0.311	0.327	osztriga
ozone	0.560	0.345	0.518	ózon
pace	0.510	0.380	0.390	ütemben
pacemaker	0.448	0.569	0.582	pacemaker
pacific	0.627	0.118	0.580	békés
pacified	0.802	0.194	0.414	megnyugtatott
pacifier	0.615	0.342	0.356	cucli
pacifist	0.663	0.153	0.557	pacifista
pacify	0.812	0.283	0.629	kibékít
pacing	0.583	0.551	0.491	ingerlés
pack	0.510	0.347	0.475	csomag
package	0.571	0.433	0.443	csomag
packaging	0.604	0.393	0.549	csomagolás
packer	0.520	0.480	0.537	csomagoló
packet	0.582	0.385	0.407	csomag
pact	0.442	0.444	0.593	egyezmény
pad	0.684	0.279	0.330	párna
padded	0.606	0.212	0.371	párnázott
padding	0.561	0.398	0.423	párnázás
paddle	0.561	0.375	0.393	lapát
paddle boat	0.663	0.373	0.415	evezős hajó
paddock	0.480	0.429	0.481	kifutókorlát
paddy	0.653	0.330	0.330	hántolatlan
padlock	0.459	0.284	0.457	lakat
padre	0.684	0.407	0.647	padre
paean	0.552	0.547	0.471	hálaének
pagan	0.292	0.578	0.542	pogány
paganism	0.240	0.640	0.411	pogányság
page	0.677	0.224	0.278	oldalon
pageant	0.719	0.667	0.651	parádé
pager	0.510	0.526	0.554	pager
pagination	0.459	0.333	0.400	lapszámozás
paging	0.542	0.398	0.423	lapozás
pagoda	0.571	0.259	0.435	pagoda
pail	0.448	0.177	0.188	vödör
pain	0.012	0.765	0.395	fájdalom
pained	0.112	0.500	0.250	fájdalmas
painful	0.050	0.742	0.330	fájdalmas
painfully	0.156	0.720	0.407	fájdalmasan
painkiller	0.487	0.312	0.481	fájdalomcsillapító
painless	0.785	0.173	0.491	fájdalommentes
pains	0.106	0.673	0.362	fájdalmak
painstaking	0.396	0.335	0.386	fáradságos
paint	0.667	0.343	0.413	festék
paintball	0.615	0.745	0.537	paintball
paintbrush	0.714	0.226	0.353	ecset
painted	0.667	0.333	0.424	festett
painter	0.677	0.366	0.487	festő
painting	0.792	0.324	0.333	festmény
pair	0.552	0.317	0.304	pár
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	pizsama
pajamas	0.719	0.170	0.264	pizsama
pal	0.812	0.426	0.596	haver
palace	0.878	0.510	0.804	palota
palatable	0.823	0.500	0.594	ízletes
palate	0.625	0.350	0.358	szájpadlás
pale	0.281	0.259	0.245	sápadt
paleontology	0.438	0.308	0.617	paleontológia
palette	0.590	0.333	0.205	paletta
pall	0.277	0.387	0.394	takaró
palladium	0.470	0.380	0.393	palládium
pallet	0.604	0.241	0.349	raklap
palliative	0.548	0.394	0.518	enyhítő
palm	0.531	0.194	0.340	tenyér
palmer	0.480	0.269	0.413	zarándok
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	kézzelfogható
palpitations	0.417	0.702	0.528	szívdobogásérzés
palsy	0.083	0.446	0.221	bénulás
paltry	0.333	0.491	0.320	csekély
pamper	0.792	0.321	0.348	elkényeztet
pamphlet	0.530	0.250	0.327	röpirat
pan	0.734	0.182	0.364	Pán
panacea	0.420	0.427	0.613	csodaszer
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	palacsinta
pancakes	0.844	0.373	0.402	palacsintát
pancreas	0.469	0.302	0.366	hasnyálmirigy
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	világjárvány
pandemonium	0.229	0.885	0.500	zűrzavar
pane	0.385	0.250	0.444	ablaktáblát
panel	0.469	0.321	0.425	panel
pang	0.146	0.595	0.455	pang
panhandle	0.441	0.431	0.414	panhandle
panic	0.062	0.938	0.400	pánik
panicattack	0.255	0.724	0.386	pánikroham
panicked	0.100	0.949	0.260	pánikolt
panicking	0.094	0.882	0.333	pánikba esve
panicky	0.284	0.962	0.393	rémült
panier	0.500	0.392	0.380	páncélszekrény
panorama	0.719	0.402	0.625	panoráma
panoramic	0.542	0.462	0.684	panorámás
pansy	0.653	0.283	0.589	árvácska
pant	0.448	0.463	0.409	liheg
pantheon	0.144	0.410	0.610	panteon
panther	0.303	0.594	0.682	párduc
panties	0.594	0.529	0.312	bugyi
pantomime	0.552	0.481	0.385	pantomim
pantry	0.622	0.294	0.312	éléskamra
pants	0.673	0.320	0.333	nadrág
panty	0.451	0.557	0.303	bugyi
pantyhose	0.570	0.539	0.250	harisnyanadrág
pap	0.438	0.403	0.302	pép
papa	0.656	0.340	0.527	papa
papacy	0.481	0.263	0.553	pápaság
papal	0.493	0.304	0.559	pápai
papaya	0.630	0.306	0.300	papaya
paper	0.520	0.123	0.293	papír
paperback	0.633	0.269	0.314	papírkötésben
paperboy	0.521	0.490	0.471	rikkancs
paperweight	0.421	0.278	0.433	papírnehezék
paperwork	0.448	0.355	0.422	papírmunka
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papirusz
par	0.615	0.372	0.429	par
parable	0.479	0.357	0.525	példázat
parabola	0.542	0.413	0.620	parabola
parabolic	0.459	0.509	0.500	parabolikus
parachute	0.562	0.787	0.564	ejtőernyő
parade	0.792	0.685	0.509	felvonulás
paradigm	0.573	0.429	0.779	paradigma
paradise	0.875	0.540	0.796	paradicsom
paradox	0.417	0.442	0.482	paradoxon
paradoxical	0.406	0.547	0.433	paradox
paraffin	0.426	0.291	0.343	paraffin
paragon	0.490	0.431	0.473	eszménykép
paragraph	0.510	0.164	0.269	bekezdés
parakeet	0.576	0.387	0.227	ara papagáj
paralegal	0.479	0.470	0.519	jogvédő
parallax	0.437	0.394	0.471	parallaxis
parallel	0.568	0.284	0.465	párhuzamos
parallelism	0.549	0.363	0.527	párhuzamosság
paralysis	0.156	0.500	0.305	bénulás
paralyze	0.188	0.367	0.471	megbénítani
paramedic	0.673	0.464	0.636	rohammentős
paramedics	0.479	0.594	0.712	mentősök
paramilitary	0.154	0.804	0.727	félkatonai
paramount	0.771	0.615	0.902	mindennél fontosabb
paranoia	0.146	0.841	0.407	üldözési mánia
paranoid	0.122	0.918	0.364	paranoid
paranormal	0.167	0.814	0.560	paranormális
parapet	0.450	0.356	0.279	mellvéd
paraphernalia	0.443	0.726	0.509	cucc, felszerelés
paraphrase	0.500	0.375	0.444	parafrázis
paraplegic	0.188	0.441	0.321	bénás
parasite	0.092	0.442	0.324	élősködő
parasitic	0.037	0.600	0.364	parazita
parasol	0.604	0.255	0.304	napernyő
parcel	0.660	0.324	0.411	csomag
parcels	0.551	0.445	0.418	csomagokat
parched	0.250	0.235	0.255	kiszáradt
parchment	0.615	0.228	0.455	pergament
pardon	0.552	0.413	0.542	Bocsánat
pare	0.500	0.356	0.309	pare
parenchyma	0.500	0.399	0.595	parenchima
parent	0.812	0.357	0.860	szülő
parentage	0.903	0.382	0.595	szülők
parental	0.760	0.430	0.627	szülői
parenthesis	0.510	0.255	0.380	zárójel
parenthetical	0.490	0.327	0.391	zárójeles
parenthood	0.750	0.630	0.782	apaság
parenting	0.812	0.520	0.676	nevelés
pariah	0.397	0.478	0.293	pária
parietal	0.481	0.333	0.491	fali
paring	0.429	0.441	0.324	paring
parish	0.698	0.354	0.582	plébánia
parity	0.582	0.406	0.407	paritás
park	0.816	0.343	0.414	park
parka	0.469	0.481	0.395	parka
parking	0.777	0.469	0.510	parkolás
parkinsons	0.104	0.570	0.373	parkinsonok
parlance	0.510	0.350	0.462	beszéd
parlay	0.469	0.611	0.483	kihasznál
parliament	0.573	0.540	0.858	parlament
parliamentary	0.490	0.554	0.755	parlamenti
parlor	0.500	0.327	0.366	társalgó
parmesan	0.698	0.321	0.382	parmezán
parody	0.561	0.651	0.375	paródia
parole	0.388	0.620	0.526	feltételes szabadságra bocsátás
parquet	0.541	0.240	0.422	parkett
parrot	0.588	0.333	0.292	papagáj
parry	0.510	0.404	0.436	elhárít
parse	0.469	0.456	0.667	elemezni
parsimonious	0.417	0.312	0.446	takarékos
parsimony	0.449	0.280	0.403	takarékosság
parsley	0.458	0.170	0.291	petrezselyem
parson	0.583	0.250	0.615	lelkész
part	0.663	0.278	0.360	rész
partake	0.755	0.656	0.629	részt venni
partial	0.429	0.324	0.348	részleges
partiality	0.375	0.380	0.490	elfogultság
partially	0.418	0.368	0.396	részben
participant	0.712	0.598	0.613	résztvevő
participate	0.755	0.580	0.684	részt venni
participation	0.781	0.700	0.702	részvétel
particle	0.521	0.265	0.438	részecske
particular	0.562	0.402	0.552	különös
particularity	0.670	0.434	0.586	sajátosság
particulars	0.604	0.348	0.525	részleteket
parting	0.260	0.542	0.353	elválás
partisan	0.615	0.549	0.669	partizán
partisanship	0.438	0.566	0.551	pártoskodás
partition	0.615	0.469	0.567	partíció
partly	0.415	0.410	0.396	részben
partner	0.673	0.302	0.586	partner
partnership	0.786	0.387	0.545	partnerség
partridge	0.583	0.415	0.250	fogoly
parts	0.459	0.327	0.392	alkatrészek
party	0.948	0.840	0.547	buli
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	pass
passable	0.688	0.337	0.633	járható
passage	0.429	0.314	0.370	átjáró, átkelés
passageway	0.490	0.389	0.400	folyosó
passe	0.531	0.357	0.426	ódivatú
passenger	0.717	0.413	0.481	utas
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	elhaladó
passion	0.854	0.865	0.728	szenvedély
passionate	0.990	0.827	0.731	szenvedélyes
passive	0.420	0.116	0.241	passzív
passivity	0.241	0.115	0.246	passzivitás
passkey	0.646	0.500	0.791	jelszó
passport	0.653	0.457	0.682	útlevél
password	0.390	0.356	0.559	Jelszó
past	0.490	0.422	0.311	múlt
pasta	0.615	0.306	0.375	tészta
paste	0.500	0.556	0.500	paszta
pastel	0.719	0.357	0.367	pasztell
pastime	0.677	0.353	0.443	időtöltés
pastor	0.698	0.236	0.746	lelkész
pastrami	0.542	0.415	0.348	pastrami
pastry	0.870	0.407	0.419	cukrászsütemény
pasture	0.688	0.145	0.170	legelő
pasty	0.479	0.363	0.375	tésztás
pat	0.418	0.377	0.340	pat
patch	0.439	0.288	0.283	tapasz
patchwork	0.500	0.260	0.325	patchwork
pate	0.406	0.260	0.260	pástétom
patella	0.430	0.260	0.342	térdkalács
patent	0.724	0.391	0.609	szabadalom
patented	0.571	0.422	0.685	szabadalmaztatott
paternal	0.776	0.353	0.755	apai
paternity	0.704	0.590	0.806	apaság
path	0.590	0.245	0.421	pálya
pathetic	0.088	0.464	0.139	szánalmas
pathological	0.220	0.602	0.580	kóros
pathologist	0.354	0.552	0.585	patológus
pathology	0.271	0.560	0.558	patológia
pathos	0.350	0.449	0.462	pátosz
pathway	0.646	0.410	0.519	útvonalat
patience	0.771	0.125	0.387	türelem
patient	0.583	0.193	0.340	beteg
patio	0.562	0.245	0.402	terasz
patriarch	0.592	0.448	0.898	pátriárka
patriarchal	0.531	0.500	0.857	patriarchális
patrimony	0.719	0.406	0.740	apai örökség
patriot	0.771	0.635	0.886	hazafi
patriotic	0.875	0.509	0.933	hazafias
patriotism	0.708	0.635	0.848	hazaszeretet
patrol	0.427	0.664	0.736	járőr
patrolman	0.469	0.731	0.884	járőr
patron	0.583	0.451	0.870	mecénás
patronage	0.583	0.490	0.583	pártfogás
patronising	0.439	0.455	0.582	pártfogó
patronize	0.430	0.451	0.591	oltalmaz
patronizing	0.542	0.365	0.529	pártfogó
patter	0.312	0.635	0.451	kopog
pattern	0.479	0.422	0.664	minta
paucity	0.153	0.453	0.175	szűkösség
pauper	0.260	0.347	0.151	koldus
pause	0.429	0.188	0.264	szünet
pave	0.594	0.490	0.509	kikövezni
pavement	0.460	0.353	0.475	járda
pavilion	0.583	0.500	0.770	pavilon
paving	0.408	0.469	0.545	burkolat
paw	0.417	0.360	0.286	mancs
pawn	0.390	0.321	0.187	zálog
pawnshop	0.396	0.439	0.519	zálogház
pax	0.551	0.421	0.473	pax
pay	0.514	0.588	0.592	fizetés
payable	0.385	0.480	0.606	kifizetendő
payback	0.459	0.500	0.567	megtérülés
paycheck	0.896	0.630	0.652	fizetés-ellenőrzés
payday	0.833	0.741	0.571	fizetésnap
payer	0.313	0.630	0.638	fizető
payload	0.612	0.510	0.682	hasznos teher
payment	0.629	0.452	0.643	fizetés
payoff	0.740	0.644	0.673	kifizet
payout	0.646	0.600	0.575	kifizetés
payphone	0.469	0.360	0.370	fizetős telefon
payroll	0.521	0.360	0.549	bérszámfejtés
pea	0.580	0.275	0.298	borsó
peace	0.939	0.156	0.613	béke
peaceable	0.776	0.134	0.453	békeszerető
peaceful	0.867	0.108	0.569	Békés
peacefully	0.901	0.190	0.639	békésen
peacekeeper	0.865	0.320	0.644	békefenntartó
peaceofmind	0.786	0.160	0.519	szellemi béke
peacetime	0.949	0.180	0.579	béke
peach	0.704	0.480	0.272	őszibarack
peachy	0.755	0.479	0.388	hamvas
peacock	0.786	0.449	0.458	páva
peak	0.500	0.345	0.431	csúcs
peaked	0.677	0.704	0.857	csúcsos
peanut	0.646	0.202	0.246	földimogyoró
peanuts	0.542	0.294	0.324	földimogyoró
pear	0.677	0.158	0.241	körte
pearl	0.905	0.425	0.642	gyöngyszem
pearly	0.635	0.337	0.373	gyöngyös
peas	0.542	0.283	0.310	borsó
peasant	0.530	0.275	0.407	paraszt
peat	0.333	0.655	0.504	tőzeg
pebble	0.354	0.353	0.287	kavics
pecan	0.552	0.316	0.358	pekandió
peck	0.202	0.530	0.321	csípés
pecker	0.459	0.509	0.375	harkály
peculiar	0.600	0.491	0.564	különös
peculiarities	0.511	0.460	0.528	sajátosságait
peculiarity	0.439	0.452	0.652	sajátosság
peculiarly	0.615	0.450	0.454	különösen
pecuniary	0.490	0.490	0.500	pénzügyi
pedal	0.500	0.320	0.342	pedál
pedantic	0.229	0.608	0.253	tudálékos
peddle	0.539	0.549	0.538	házal
peddler	0.408	0.481	0.390	házaló
pedestal	0.735	0.284	0.579	talapzat
pedestrian	0.438	0.360	0.448	gyalogos
pediatric	0.560	0.462	0.490	gyermekgyógyászati
pediatrician	0.602	0.500	0.627	gyermekorvos
pediatrics	0.750	0.380	0.596	gyermekgyógyászat
pedicure	0.695	0.269	0.296	pedikűr
pedigree	0.625	0.340	0.609	családfa
pedometer	0.469	0.561	0.405	lépésszámláló
pedophile	0.051	0.724	0.430	pedofil
pee	0.449	0.529	0.391	pisilni
peek	0.486	0.360	0.411	kandikál
peekaboo	0.592	0.607	0.412	Kukucs
peel	0.439	0.250	0.279	héj
peep	0.573	0.317	0.269	kukucskál
peeper	0.182	0.537	0.343	leskelődő
peephole	0.479	0.500	0.310	kémlelő ablak
peer	0.458	0.321	0.569	egyenrangú
peering	0.514	0.409	0.451	lesni
peerless	0.688	0.450	0.462	páratlan
peeved	0.156	0.750	0.467	felpiszkált
peg	0.520	0.357	0.393	szeg
pegs	0.408	0.286	0.386	csapok
peice	0.479	0.422	0.398	peice
pelagic	0.521	0.554	0.491	nyíltvízi
pelican	0.573	0.391	0.380	pelikán
pellet	0.448	0.390	0.466	pellet
pelvic	0.320	0.632	0.373	medence-
pelvis	0.378	0.618	0.380	medence
pen	0.622	0.194	0.250	toll
penal	0.208	0.565	0.610	büntető
penalty	0.062	0.490	0.240	büntetés
penance	0.219	0.667	0.463	bűnbánat
penchant	0.688	0.480	0.609	hajlam
pencil	0.552	0.200	0.263	ceruza
pendant	0.676	0.321	0.385	medál
pendency	0.396	0.452	0.472	függőséget
pendent	0.470	0.380	0.425	függőben
pending	0.396	0.441	0.473	függőben levő
pendulum	0.542	0.368	0.434	inga
penetrate	0.287	0.877	0.732	behatol
penetrating	0.469	0.792	0.782	átható
penetration	0.438	0.885	0.792	behatolás
penguin	0.615	0.296	0.307	pingvin
penicillin	0.417	0.431	0.566	penicillin
penile	0.490	0.736	0.491	pénisz
peninsula	0.551	0.384	0.627	félsziget
penis	0.354	0.810	0.556	hímvessző
penitent	0.542	0.530	0.508	bűnbánó
penitentiary	0.229	0.726	0.491	büntetés-végrehajtási intézet
penmanship	0.677	0.284	0.509	szépírás
pennant	0.542	0.380	0.426	jelzőzászló
penniless	0.062	0.316	0.083	nincstelen
penny	0.615	0.302	0.324	penny
pension	0.625	0.409	0.406	nyugdíj
pensioner	0.440	0.245	0.442	nyugdíjas
pensive	0.540	0.220	0.529	töprengő
pentagon	0.490	0.636	0.774	Pentagon
pentagram	0.510	0.433	0.466	pentagramma
penthouse	0.592	0.430	0.395	penthouse
penultimate	0.469	0.366	0.255	utolsó előtti
people	0.604	0.400	0.500	emberek
peopled	0.594	0.450	0.679	népesített
pep	0.510	0.510	0.364	elevenség
pepper	0.400	0.539	0.328	bors
peppermint	0.720	0.264	0.271	borsmenta
pepperoni	0.796	0.472	0.358	pepperoni
peppy	0.677	0.529	0.438	életerős
peptic	0.398	0.463	0.362	peptikus
peptide	0.380	0.480	0.411	peptid
perceive	0.653	0.490	0.655	észlelni
percent	0.470	0.350	0.356	százalék
percentage	0.469	0.400	0.553	százalék
percentile	0.479	0.410	0.390	százalékos
perceptible	0.710	0.460	0.620	érezhető
perception	0.653	0.481	0.655	észlelés
perceptive	0.745	0.500	0.741	figyelmes
perch	0.531	0.300	0.314	sügér
perchance	0.480	0.224	0.298	véletlenül
percolation	0.397	0.417	0.415	átszűrődés
percussion	0.622	0.635	0.642	ütőhangszerek
perdition	0.135	0.656	0.496	kárhozat
peremptory	0.429	0.426	0.606	ellentmondást nem tűrő
perennial	0.527	0.358	0.500	örök
perfect	0.980	0.471	0.870	tökéletes
perfection	0.881	0.745	0.934	tökéletesség
perfectionist	0.667	0.704	0.905	perfekcionista
perfecto	0.802	0.567	0.889	perfecto
perforated	0.219	0.607	0.344	perforált
perforation	0.365	0.668	0.578	perforáció
perforce	0.357	0.689	0.354	szükségképpen
perform	0.765	0.555	0.773	előadni
performance	0.750	0.520	0.672	teljesítmény
performer	0.541	0.530	0.708	előadó
perfume	0.740	0.472	0.463	parfüm
perfumed	0.816	0.471	0.509	illatosított
peri	0.448	0.433	0.370	peri
peridot	0.458	0.481	0.435	peridot
peril	0.052	0.910	0.518	veszély
perilous	0.143	0.862	0.575	veszélyes
perimeter	0.470	0.443	0.555	kerülete
period	0.396	0.324	0.588	időszak
periodic	0.677	0.324	0.508	időszakos
periodical	0.550	0.298	0.430	időszakos
periodically	0.480	0.314	0.515	időszakosan
periodicity	0.646	0.324	0.645	periodicitás
peripheral	0.406	0.406	0.549	kerületi
periphery	0.469	0.360	0.366	periféria
periscope	0.604	0.375	0.609	periszkóp
perish	0.296	0.570	0.415	elpusztul
perishable	0.270	0.464	0.354	romlandó
perished	0.135	0.596	0.225	elpusztult
perishing	0.229	0.423	0.148	elpusztulva
perjury	0.229	0.686	0.409	hamis eskü
perk	0.903	0.519	0.682	felfrissít
perky	0.896	0.792	0.673	csintalan
perm	0.667	0.465	0.741	perm
permanence	0.771	0.370	0.708	állandóság
permanent	0.745	0.345	0.736	állandó
permeable	0.635	0.402	0.495	áteresztő
permeate	0.417	0.410	0.407	átjárja
permeation	0.418	0.559	0.536	áthatolás
permissible	0.684	0.646	0.612	megengedhető
permission	0.612	0.311	0.580	engedély
permissive	0.633	0.389	0.413	megengedő
permit	0.733	0.349	0.518	engedély
permitted	0.865	0.410	0.613	megengedett
permitting	0.724	0.481	0.661	engedélyező
permutation	0.385	0.588	0.500	permutáció
pernicious	0.229	0.600	0.382	káros
peroxide	0.458	0.529	0.510	peroxid
perpendicular	0.510	0.398	0.439	merőleges
perpetrate	0.327	0.837	0.732	elkövet
perpetrator	0.229	0.765	0.538	elkövető
perpetual	0.625	0.438	0.741	örökös
perpetually	0.510	0.473	0.868	örökké
perpetuate	0.397	0.588	0.788	állandósítani
perpetuation	0.510	0.677	0.716	megörökítése
perpetuity	0.590	0.434	0.759	örökkévalóság
perplexed	0.312	0.705	0.318	megzavarodott
perplexing	0.316	0.530	0.362	zavarba ejtő
perplexity	0.275	0.720	0.500	zavar
persecute	0.281	0.873	0.509	üldözni
persecution	0.229	0.865	0.660	üldözés
perseverance	0.888	0.630	0.796	kitartás
persevere	0.802	0.583	0.937	kitartani
persist	0.765	0.644	0.727	kitartani
persistence	0.684	0.611	0.873	kitartás
persistent	0.646	0.667	0.815	kitartó
persisting	0.697	0.677	0.745	kitartó
person	0.646	0.363	0.596	személy
persona	0.741	0.480	0.743	személy
personable	0.816	0.520	0.637	csinos
personage	0.653	0.324	0.698	személyiség
personal	0.750	0.311	0.467	személyes
personality	0.896	0.513	0.790	személyiség
personification	0.760	0.471	0.691	megszemélyesítés
personnel	0.729	0.344	0.587	személyzet
persons	0.869	0.302	0.588	személyek
perspective	0.688	0.470	0.704	perspektíva
perspiration	0.385	0.667	0.490	izzadás
persuade	0.620	0.618	0.709	meggyőzni
persuasion	0.612	0.670	0.537	meggyőzés
persuasive	0.740	0.700	0.657	meggyőző
pert	0.469	0.460	0.348	hetyke
pertinent	0.580	0.333	0.723	találó
perturbation	0.270	0.840	0.500	perturbáció
pertussis	0.279	0.569	0.386	szamárköhögés
perusal	0.622	0.235	0.543	átolvasás
peruse	0.503	0.270	0.439	elolvas
pervading	0.418	0.684	0.728	átható
perverse	0.146	0.808	0.464	perverz
perversion	0.083	0.830	0.490	perverzió
pervert	0.082	0.863	0.500	perverz
perverted	0.062	0.918	0.436	elvetemült
pesky	0.250	0.760	0.431	bosszantó
pessimism	0.083	0.484	0.264	pesszimizmus
pessimist	0.125	0.470	0.218	pesszimista
pessimistic	0.088	0.394	0.236	pesszimista
pest	0.188	0.680	0.452	kártevő
pester	0.143	0.780	0.385	zaklat
pestilence	0.122	0.660	0.283	dögvész
pestle	0.427	0.463	0.426	mozsártörő
pesto	0.531	0.323	0.336	pesto
pet	0.875	0.327	0.305	házi kedvenc
petal	0.810	0.194	0.211	virágszirom
petite	0.510	0.354	0.245	aprócska
petition	0.498	0.575	0.415	petíciót
petitioner	0.601	0.531	0.566	petíció benyújtója
petloss	0.271	0.481	0.424	petloss
petpeeve	0.375	0.594	0.392	petpeeve
petrified	0.221	0.625	0.232	megkövült
petrify	0.177	0.571	0.447	megkövesít
petrol	0.418	0.519	0.577	benzin
petroleum	0.583	0.451	0.640	petróleum
petticoat	0.550	0.396	0.351	alsószoknya
petting	0.812	0.462	0.480	petting
petty	0.210	0.537	0.236	piti
petulant	0.247	0.685	0.491	ingerlékeny
petunia	0.583	0.260	0.356	petúnia
pew	0.449	0.235	0.664	pad
pewter	0.396	0.260	0.321	ónötvözet
peyote	0.406	0.462	0.426	peyote
phalanx	0.398	0.398	0.455	falanx
phantom	0.260	0.759	0.448	fantom
pharaoh	0.656	0.491	0.798	fáraó
pharmaceutical	0.500	0.435	0.562	gyógyszerészeti
pharmacist	0.592	0.382	0.648	gyógyszerész
pharmacology	0.560	0.440	0.526	gyógyszertan
pharmacy	0.531	0.337	0.542	gyógyszertár
phase	0.645	0.300	0.482	fázis
pheasant	0.541	0.362	0.292	fácán
phenomenal	0.915	0.750	0.918	rendkívüli
phenomenon	0.625	0.721	0.848	jelenség
