English Word	Valence	Arousal	Dominance	Chinese-Traditional Word
inaugural	0.684	0.567	0.608	就職典禮
inaugurate	0.781	0.582	0.800	就職典禮
inauguration	0.847	0.712	0.769	就職典禮
inborn	0.590	0.288	0.546	先天
inbound	0.531	0.388	0.538	入站
inbred	0.397	0.520	0.473	近交
incalculable	0.449	0.620	0.679	不可估量
incandescent	0.354	0.612	0.621	白熾燈
incantation	0.439	0.632	0.548	咒語
incapable	0.156	0.529	0.155	無法
incapacity	0.052	0.500	0.217	無能力
incarceration	0.100	0.800	0.397	監禁
incarnate	0.552	0.651	0.593	體現
incase	0.580	0.196	0.365	如果
incendiary	0.281	0.810	0.598	燃燒的
incense	0.698	0.275	0.328	香
incensed	0.338	0.643	0.392	激怒了
incentive	0.812	0.618	0.718	激勵
inception	0.604	0.425	0.561	成立之初
incessant	0.438	0.760	0.544	不斷
incessantly	0.417	0.765	0.606	不已
incest	0.073	0.853	0.491	亂倫
incestuous	0.188	0.736	0.442	亂倫的
inch	0.481	0.327	0.300	英寸
incidence	0.417	0.527	0.429	發病率
incident	0.084	0.662	0.482	事件
incidental	0.281	0.610	0.404	偶然的
incidentally	0.479	0.500	0.500	順便
incineration	0.229	0.787	0.470	焚化
incinerator	0.250	0.643	0.591	焚化爐
incipient	0.442	0.382	0.430	初期
incision	0.240	0.663	0.558	切口
incisive	0.380	0.602	0.545	尖銳
incite	0.449	0.736	0.642	煽動
incitement	0.302	0.943	0.598	煽動
inclement	0.260	0.676	0.616	惡劣的
inclination	0.378	0.490	0.538	傾角
incline	0.490	0.423	0.345	傾斜
inclined	0.469	0.347	0.402	傾斜的
include	0.729	0.449	0.702	包括
included	0.760	0.402	0.570	包括
including	0.700	0.378	0.518	包含
inclusion	0.774	0.404	0.712	包容
inclusive	0.604	0.420	0.564	包括的
incognito	0.610	0.490	0.446	隱姓埋名
incoherent	0.122	0.612	0.250	語無倫次
income	0.750	0.510	0.728	收入
incoming	0.660	0.509	0.596	傳入
incomparable	0.625	0.577	0.670	無與倫比
incompatible	0.196	0.500	0.310	不相容
incompetence	0.077	0.551	0.208	無能
incompetent	0.133	0.566	0.239	無能
incomplete	0.153	0.370	0.205	不完整
incompletely	0.344	0.442	0.232	不完全
incompleteness	0.271	0.451	0.234	不完整性
incomprehensible	0.250	0.550	0.344	無法理解
inconceivable	0.198	0.552	0.561	不可思議
inconclusive	0.153	0.442	0.340	不確定的
incongruous	0.177	0.504	0.343	不協調
inconsequential	0.250	0.480	0.345	無關緊要的
inconsiderate	0.224	0.519	0.423	不體貼
inconsistency	0.125	0.480	0.314	不一致
inconsistent	0.271	0.431	0.295	不一致的
inconspicuous	0.604	0.214	0.368	不顯眼的
incontinence	0.150	0.598	0.272	失禁
inconvenience	0.063	0.667	0.291	不便
inconvenient	0.224	0.610	0.375	不方便
incorporate	0.745	0.612	0.571	包含
incorporation	0.573	0.404	0.768	公司註冊
incorrect	0.140	0.569	0.255	不正確
incorrigible	0.130	0.667	0.500	不可救藥
increase	0.810	0.657	0.886	增加
increased	0.684	0.660	0.773	增加
incredible	0.857	0.796	0.902	極好的
incredulous	0.286	0.510	0.269	難以置信
increment	0.684	0.637	0.750	增量
incriminate	0.188	0.810	0.416	控訴
incriminating	0.133	0.788	0.500	入罪
incrimination	0.152	0.865	0.545	入罪
incubation	0.461	0.490	0.397	孵化
incubator	0.510	0.435	0.405	孵化器
incubus	0.458	0.529	0.482	夢魘
incumbent	0.396	0.540	0.565	現任
incur	0.312	0.667	0.495	招致
incurable	0.104	0.667	0.255	無法治癒的
incursion	0.552	0.830	0.719	侵入
indebted	0.138	0.698	0.275	負債累累
indecency	0.135	0.670	0.491	猥褻
indecent	0.083	0.683	0.240	不雅的
indecision	0.184	0.480	0.196	優柔寡斷
indecisive	0.271	0.420	0.190	優柔寡斷
indefensible	0.173	0.647	0.484	站不住腳的
indefinite	0.448	0.292	0.296	不定
indelible	0.490	0.337	0.591	不可磨滅
indemnification	0.521	0.490	0.770	保障
indemnify	0.449	0.548	0.613	賠償
indemnity	0.470	0.607	0.692	賠款
indent	0.479	0.346	0.379	縮進
indentation	0.374	0.500	0.349	縮進
indenture	0.434	0.382	0.636	契約
independence	0.896	0.663	0.911	獨立
independent	0.885	0.440	0.872	獨立的
indescribable	0.448	0.529	0.648	無法形容
indestructible	0.772	0.731	0.853	堅不可摧
indeterminate	0.360	0.402	0.322	不定
index	0.448	0.268	0.342	指數
indicate	0.594	0.350	0.676	表明
indicating	0.745	0.339	0.555	表示
indication	0.719	0.432	0.750	指示
indicative	0.510	0.510	0.591	指示性的
indicator	0.573	0.451	0.670	指標
indice	0.469	0.377	0.541	指數
indict	0.188	0.731	0.458	起訴
indictment	0.245	0.745	0.577	起訴書
indie	0.479	0.368	0.430	獨立
indifference	0.265	0.417	0.299	漠不關心
indifferent	0.396	0.157	0.250	冷漠
indigenous	0.500	0.509	0.552	土著
indigent	0.156	0.481	0.223	貧窮的
indigestion	0.204	0.610	0.182	消化不良
indignant	0.260	0.600	0.423	憤怒
indignation	0.173	0.778	0.431	憤慨
indignity	0.167	0.500	0.306	侮辱
indigo	0.514	0.365	0.473	靛青
indirect	0.385	0.402	0.330	間接
indiscreet	0.177	0.587	0.342	輕率
indiscretion	0.265	0.637	0.390	輕率
indispensable	0.710	0.449	0.802	必不可少
indisposed	0.122	0.519	0.206	不適
indistinct	0.255	0.340	0.360	模糊
indistinguishable	0.346	0.458	0.548	難以區分
individual	0.627	0.327	0.533	個人
individuality	0.612	0.469	0.527	個性
indivisible	0.646	0.398	0.580	不可分割
indoctrination	0.327	0.657	0.698	灌輸
indolent	0.177	0.381	0.259	懶惰的
indomitable	0.458	0.800	0.830	不屈不撓
indoor	0.615	0.245	0.347	室內的
induce	0.257	0.606	0.684	誘導
induced	0.397	0.471	0.491	誘導
inducement	0.647	0.765	0.685	誘因
induction	0.392	0.593	0.627	就職
indulge	0.833	0.716	0.669	放縱
indulgence	0.479	0.490	0.517	放縱
indulgent	0.560	0.481	0.529	放縱的
industrial	0.469	0.600	0.875	工業的
industrialist	0.562	0.633	0.843	實業家
industrious	0.720	0.537	0.791	勤勞
industry	0.650	0.447	0.836	行業
ineffable	0.551	0.577	0.585	無法形容
ineffective	0.093	0.422	0.094	無效
ineffectual	0.163	0.412	0.200	無效的
inefficiency	0.092	0.466	0.181	效率低下
inefficient	0.190	0.460	0.173	效率低下
inelastic	0.396	0.426	0.385	無彈性
ineligible	0.143	0.377	0.457	不合格
inept	0.156	0.418	0.209	無能
ineptitude	0.177	0.471	0.250	無能
inequality	0.122	0.575	0.259	不等式
inequitable	0.281	0.519	0.373	不公平的
inert	0.323	0.180	0.319	惰性
inertia	0.344	0.288	0.322	慣性
inevitable	0.316	0.419	0.623	不可避免的
inexact	0.153	0.459	0.170	不准確
inexcusable	0.271	0.582	0.546	不可原諒
inexhaustible	0.602	0.541	0.643	取之不盡
inexpensive	0.694	0.414	0.260	便宜
inexperience	0.208	0.614	0.151	經驗不足
inexperienced	0.281	0.473	0.231	沒有經驗
inexplicable	0.224	0.635	0.443	莫名其妙
inexpressible	0.198	0.608	0.364	無法表達
infallibility	0.583	0.663	0.764	萬無一失
infallible	0.776	0.687	0.809	萬無一失
infamous	0.146	0.580	0.472	臭名昭著
infamy	0.177	0.676	0.421	罵名
infancy	0.750	0.399	0.370	嬰儿期
infant	0.802	0.431	0.328	嬰兒
infanticide	0.167	0.856	0.443	殺嬰
infantile	0.604	0.382	0.259	嬰兒
infantry	0.531	0.684	0.791	步兵
infarct	0.080	0.846	0.386	梗塞
infatuated	0.729	0.764	0.417	迷戀
infatuation	0.844	0.745	0.530	癡情
infeasible	0.245	0.472	0.236	不可行
infect	0.102	0.777	0.424	感染
infection	0.083	0.735	0.407	感染
infectious	0.142	0.760	0.422	傳染性
infer	0.449	0.490	0.453	推斷
inference	0.359	0.479	0.398	推理
inferential	0.426	0.451	0.455	推理的
inferior	0.260	0.254	0.106	下
inferiority	0.177	0.430	0.205	自卑
infernal	0.083	0.837	0.571	地獄
inferno	0.051	0.857	0.463	地獄
infertile	0.274	0.458	0.255	不育
infertility	0.170	0.664	0.328	不孕不育
infestation	0.256	0.776	0.527	侵染
infidel	0.177	0.740	0.404	異教徒
infidelity	0.062	0.777	0.392	不忠
infield	0.510	0.571	0.438	內場
infiltrate	0.408	0.745	0.587	浸潤
infiltration	0.265	0.792	0.536	浸潤
infinite	0.724	0.583	0.735	無窮
infinitely	0.688	0.643	0.829	無限地
infinitesimal	0.388	0.472	0.496	無窮小
infinity	0.516	0.459	0.805	無窮
infirm	0.115	0.521	0.210	體弱多病
infirmary	0.500	0.438	0.517	醫務室
infirmity	0.094	0.482	0.252	虛弱
inflammation	0.146	0.765	0.423	炎
inflammatory	0.177	0.642	0.404	炎症
inflatable	0.510	0.510	0.400	充氣的
inflate	0.305	0.569	0.462	膨脹
inflated	0.303	0.431	0.617	膨脹的
inflation	0.219	0.792	0.508	通貨膨脹
inflection	0.385	0.635	0.377	拐點
inflict	0.167	0.760	0.609	施加
infliction	0.302	0.722	0.571	施加
inflorescence	0.459	0.344	0.412	花序
influence	0.622	0.663	0.824	影響
influential	0.899	0.688	0.944	有影響
influenza	0.271	0.718	0.321	流感
influx	0.622	0.635	0.575	湧入
info	0.750	0.330	0.642	信息
infomercial	0.427	0.462	0.555	商業廣告
inform	0.723	0.582	0.679	通知
informal	0.480	0.398	0.441	非正式的
informant	0.604	0.612	0.719	線人
information	0.765	0.370	0.711	信息
informative	0.812	0.419	0.741	內容豐富
informed	0.543	0.298	0.617	知情的
informer	0.521	0.578	0.580	告密者
infraction	0.245	0.660	0.471	違規
infrared	0.469	0.588	0.526	紅外線的
infrastructure	0.604	0.460	0.694	基礎設施
infrequent	0.312	0.377	0.192	不經常
infrequently	0.204	0.250	0.327	不經常
infringement	0.153	0.800	0.481	侵權
infuriate	0.102	0.934	0.596	激怒
infuriated	0.073	0.930	0.510	被激怒了
infuriates	0.135	0.913	0.627	激怒了
infuriating	0.139	0.870	0.509	真氣
infuse	0.380	0.705	0.589	注入
infused	0.385	0.473	0.546	注入
infuser	0.469	0.433	0.536	輸液器
infusion	0.583	0.365	0.453	輸液
ingenious	0.760	0.690	0.891	巧妙
ingenuity	0.708	0.590	0.868	獨創性
ingest	0.510	0.559	0.473	攝取
ingestion	0.429	0.612	0.512	攝取
ingot	0.688	0.444	0.615	錠
ingrained	0.531	0.490	0.712	根深蒂固
ingrate	0.235	0.606	0.327	忘恩負義
ingredient	0.792	0.373	0.451	成分
ingress	0.601	0.366	0.736	入口
inhabit	0.656	0.378	0.556	居住於
inhabitant	0.604	0.356	0.519	居民
inhabited	0.667	0.361	0.510	有人居住
inhabiting	0.458	0.440	0.598	居住
inhalation	0.510	0.613	0.464	吸入
inhale	0.427	0.340	0.492	吸入
inhaler	0.408	0.500	0.349	吸入器
inherent	0.562	0.439	0.480	固有
inherit	0.745	0.546	0.694	繼承
inheritance	0.900	0.565	0.798	遺產
inhibit	0.167	0.479	0.447	抑制
inhibition	0.265	0.392	0.534	抑制
inhibitor	0.281	0.450	0.471	抑製劑
inhospitable	0.265	0.531	0.395	荒涼
inhuman	0.107	0.660	0.492	不人道
inhumane	0.104	0.587	0.402	不人道
inhumanity	0.143	0.540	0.405	不人道
inimaginable	0.542	0.636	0.534	難以想像
inimical	0.260	0.823	0.556	敵對的
inimitable	0.571	0.413	0.790	無比
iniquity	0.219	0.567	0.425	罪孽
initial	0.583	0.314	0.539	最初的
initiate	0.719	0.480	0.553	發起
initiated	0.760	0.490	0.650	發起
initiation	0.698	0.529	0.527	引發
initiative	0.833	0.615	0.768	倡議
inject	0.406	0.735	0.596	注入
injection	0.281	0.741	0.518	注射
injunction	0.281	0.422	0.519	禁令
injure	0.177	0.710	0.364	損傷
injured	0.083	0.680	0.302	受傷
injuring	0.073	0.790	0.245	傷害
injurious	0.177	0.759	0.366	有害的
injury	0.049	0.769	0.287	受傷
injustice	0.082	0.755	0.444	不公正
ink	0.471	0.408	0.235	墨水
inkling	0.448	0.551	0.570	暗示
inland	0.510	0.417	0.423	內陸
inlay	0.406	0.531	0.565	鑲嵌
inlet	0.646	0.378	0.466	進口
inmate	0.235	0.663	0.398	犯人
inn	0.660	0.284	0.475	客棧
innards	0.302	0.480	0.400	內臟
innate	0.490	0.400	0.521	先天
inner	0.551	0.216	0.443	內
innermost	0.583	0.500	0.510	最裡面
innerpeace	0.714	0.318	0.551	內心的平靜
inning	0.602	0.315	0.520	局
innings	0.573	0.487	0.443	局
innkeeper	0.578	0.224	0.472	旅店老闆
innocence	0.802	0.260	0.307	純真
innocent	0.729	0.206	0.340	清白的
innocently	0.776	0.250	0.302	無辜地
innocuous	0.510	0.321	0.172	無害的
innovate	0.898	0.872	0.750	創新
innovation	0.949	0.680	0.890	創新
innovative	0.880	0.640	0.830	創新的
innuendo	0.467	0.670	0.463	影射
innumerable	0.667	0.445	0.704	無數
inoculation	0.333	0.570	0.598	接種
inoperable	0.184	0.422	0.304	無法操作
inoperative	0.138	0.425	0.273	不工作
inordinate	0.163	0.630	0.330	過度的
inorganic	0.385	0.345	0.282	無機物
input	0.643	0.337	0.527	輸入
inquest	0.458	0.569	0.721	審訊
inquire	0.583	0.519	0.363	查詢
inquirer	0.573	0.598	0.776	詢問者
inquiring	0.479	0.510	0.500	查詢
inquiry	0.541	0.420	0.536	詢問
inquisitive	0.301	0.637	0.615	好奇
inquisitor	0.385	0.873	0.642	調查官
insane	0.062	0.670	0.265	瘋狂的
insanity	0.098	0.847	0.337	瘋狂
insatiable	0.375	0.656	0.558	貪得無厭
inscription	0.592	0.422	0.542	題詞
inscrutable	0.459	0.541	0.613	高深莫測
insect	0.276	0.633	0.242	昆蟲
insecticide	0.188	0.598	0.430	殺蟲劑
insecure	0.114	0.538	0.132	不安全
insecurity	0.094	0.647	0.350	不安全感
insemination	0.542	0.644	0.622	授精
insensitive	0.219	0.471	0.302	麻木不仁
inseparable	0.700	0.520	0.571	形影不離
insert	0.481	0.552	0.519	插入
inserted	0.479	0.402	0.476	插入
insertion	0.521	0.520	0.565	插入
inside	0.612	0.404	0.472	裡面
insider	0.625	0.562	0.750	內幕
insidious	0.146	0.622	0.480	陰險
insight	0.613	0.363	0.649	洞察力
insightful	0.664	0.691	0.713	有見地
insignia	0.665	0.282	0.685	徽章
insignificance	0.250	0.216	0.222	無足輕重
insignificant	0.083	0.306	0.114	微不足道
insinuate	0.292	0.635	0.413	暗示
insipid	0.214	0.250	0.241	平淡
insist	0.635	0.651	0.688	堅持
insistence	0.418	0.704	0.645	堅持
insistent	0.552	0.635	0.701	堅持
insists	0.490	0.587	0.610	堅持
insolence	0.115	0.731	0.402	傲慢
insolent	0.112	0.663	0.343	蠻橫的
insoluble	0.439	0.290	0.414	不溶
insolvency	0.323	0.431	0.300	破產
insolvent	0.230	0.481	0.318	資不抵債
insomnia	0.198	0.611	0.373	失眠
insomniac	0.231	0.367	0.329	失眠的
inspect	0.479	0.603	0.793	檢查
inspection	0.459	0.630	0.718	檢查
inspector	0.418	0.580	0.852	檢查員
inspiration	0.938	0.600	0.779	靈感
inspirational	0.927	0.720	0.810	鼓舞人心的
inspire	0.918	0.627	0.759	啟發
inspired	0.967	0.702	0.736	啟發
instability	0.177	0.760	0.353	不穩定
install	0.630	0.583	0.736	安裝
installation	0.656	0.469	0.759	安裝
installment	0.619	0.396	0.483	分期付款
instance	0.547	0.450	0.558	實例
instant	0.766	0.454	0.554	立即的
instantaneous	0.750	0.500	0.585	瞬間
instantaneously	0.656	0.640	0.600	瞬間
instigate	0.278	0.765	0.642	唆
instigation	0.323	0.769	0.648	煽動
instill	0.562	0.490	0.618	灌輸
instinct	0.771	0.602	0.642	直覺
instinctive	0.752	0.575	0.694	本能的
institute	0.604	0.480	0.807	研究所
institution	0.580	0.311	0.790	機構
instruct	0.729	0.490	0.833	指導
instructed	0.740	0.388	0.722	指示
instruction	0.656	0.434	0.736	操作說明
instructional	0.698	0.500	0.773	指導性的
instructions	0.582	0.302	0.556	指示
instructive	0.583	0.420	0.643	有指導意義的
instructor	0.771	0.490	0.782	講師
instrument	0.562	0.537	0.655	樂器
instrumental	0.740	0.472	0.647	器樂的
instrumentalist	0.656	0.540	0.740	器樂主義者
instrumentality	0.637	0.510	0.618	工具性
insubordination	0.281	0.775	0.634	不服從
insufferable	0.220	0.784	0.291	難以忍受
insufficiency	0.115	0.431	0.210	不足
insufficient	0.188	0.380	0.093	不足的
insufficiently	0.147	0.509	0.198	不足夠
insular	0.531	0.426	0.465	孤島
insulate	0.365	0.358	0.286	隔離
insulated	0.208	0.265	0.304	絕緣
insulation	0.245	0.327	0.264	絕緣
insulin	0.429	0.472	0.375	胰島素
insult	0.085	0.831	0.389	侮辱
insulting	0.094	0.840	0.412	侮辱
insurance	0.714	0.308	0.825	保險
insure	0.700	0.415	0.698	保證
insurgent	0.235	0.735	0.660	叛亂分子
insurmountable	0.620	0.627	0.737	不可逾越
insurrection	0.229	0.706	0.582	起義
intact	0.716	0.212	0.602	完好無損的
intake	0.604	0.527	0.442	錄取
intangible	0.525	0.480	0.473	無形的
integer	0.573	0.327	0.595	整數
integral	0.590	0.337	0.615	不可缺少的
integrate	0.729	0.390	0.700	整合
integration	0.771	0.480	0.737	一體化
integrity	0.865	0.413	0.848	正直
intellect	0.844	0.418	0.870	智力
intellectual	0.906	0.455	0.845	知識分子
intelligence	0.833	0.587	0.885	智力
intelligent	0.917	0.541	0.868	聰明的
intelligibility	0.740	0.481	0.689	可理解性
intelligible	0.635	0.480	0.691	可理解的
intend	0.562	0.520	0.519	打算
intended	0.406	0.542	0.587	故意的
intending	0.510	0.567	0.597	有意
intense	0.592	0.774	0.679	激烈的
intensely	0.694	0.846	0.750	強烈地
intensify	0.604	0.870	0.737	強化
intensity	0.622	0.930	0.952	強度
intensive	0.570	0.842	0.776	密集的
intent	0.550	0.481	0.500	意圖
intention	0.531	0.480	0.636	意圖
intentional	0.650	0.615	0.750	故意的
intentionally	0.450	0.676	0.696	故意地
inter	0.510	0.375	0.466	間
interact	0.822	0.690	0.759	相互作用
interaction	0.646	0.735	0.750	相互作用
interactive	0.727	0.811	0.770	交互的
intercede	0.582	0.577	0.630	說情
intercept	0.221	0.660	0.676	截距
interception	0.327	0.673	0.643	攔截
intercession	0.503	0.486	0.598	代禱
interchange	0.615	0.527	0.565	互換
interchangeable	0.615	0.459	0.526	可互換
interchanged	0.396	0.472	0.434	互換
intercom	0.623	0.429	0.453	對講機
intercourse	0.551	0.608	0.557	交往
interdependence	0.608	0.618	0.639	相互依存
interdependent	0.410	0.482	0.598	相互依存
interdiction	0.337	0.500	0.585	阻截
interest	0.780	0.667	0.618	興趣
interested	0.750	0.529	0.725	感興趣的
interesting	0.927	0.726	0.731	有趣的
interface	0.643	0.357	0.600	界面
interfere	0.323	0.714	0.471	干擾
interference	0.396	0.736	0.357	干涉
interferometer	0.510	0.510	0.517	干涉儀
intergalactic	0.562	0.661	0.741	星系際
interim	0.604	0.400	0.524	臨時
interior	0.618	0.157	0.462	內部的
interject	0.333	0.648	0.658	插
interlocutory	0.490	0.500	0.527	中間人
interlude	0.470	0.417	0.377	插曲
intermediary	0.427	0.510	0.643	中介
intermediate	0.480	0.368	0.400	中間的
interment	0.235	0.608	0.346	安葬
interminable	0.327	0.481	0.561	沒完沒了
intermission	0.490	0.360	0.402	中場休息
intermittent	0.337	0.565	0.436	間歇性的
intern	0.459	0.460	0.392	實習生
internal	0.439	0.349	0.423	內部的
internally	0.615	0.400	0.616	內部
international	0.800	0.519	0.702	國際的
internet	0.760	0.462	0.755	互聯網
internship	0.590	0.510	0.482	實習
interoffice	0.439	0.375	0.556	辦公室間
interpolate	0.460	0.490	0.569	插
interpolation	0.419	0.506	0.528	插值
interpret	0.646	0.625	0.673	解釋
interpretation	0.677	0.594	0.620	解釋
interpreter	0.708	0.461	0.596	口譯員
interpretive	0.531	0.549	0.595	解釋性的
interrelated	0.615	0.469	0.592	相關
interrogate	0.323	0.808	0.680	審問
interrogation	0.302	0.827	0.657	審訊
interrupt	0.210	0.635	0.509	打斷
interrupted	0.281	0.559	0.333	被打斷
interrupting	0.146	0.593	0.509	打斷
interruption	0.184	0.632	0.425	中斷
interrupts	0.204	0.545	0.389	中斷
intersect	0.521	0.510	0.480	相交
intersection	0.344	0.541	0.658	路口
interstate	0.520	0.443	0.600	州際公路
interstellar	0.708	0.702	0.622	星際
interstitial	0.333	0.471	0.534	插頁式
interval	0.510	0.284	0.400	間隔
intervene	0.520	0.677	0.768	干預
intervening	0.398	0.627	0.442	干預
intervention	0.388	0.696	0.689	干涉
interview	0.573	0.770	0.619	面試
interviewer	0.552	0.736	0.816	面試官
interworking	0.552	0.587	0.691	互通
intestate	0.459	0.467	0.415	無遺囑
intestinal	0.357	0.531	0.370	腸
intestine	0.343	0.450	0.380	腸
intestines	0.292	0.547	0.398	腸子
intimacy	0.857	0.802	0.558	親密
intimate	0.724	0.598	0.393	親密的
intimately	0.806	0.573	0.590	親密地
intimation	0.406	0.673	0.500	暗示
intimidate	0.210	0.804	0.632	威逼
intimidated	0.177	0.663	0.208	被嚇倒
intimidating	0.229	0.790	0.708	嚇人的
intimidation	0.177	0.791	0.644	恐嚇
intolerable	0.146	0.660	0.439	無法忍受
intolerance	0.052	0.704	0.520	不寬容
intolerant	0.135	0.676	0.509	不可忍耐
intonation	0.615	0.442	0.598	語調
intoxicated	0.079	0.824	0.246	酣
intoxicating	0.224	0.760	0.464	醉人
intoxication	0.323	0.710	0.400	陶醉
intracranial	0.281	0.602	0.553	顱內
intractable	0.154	0.694	0.302	棘手的
intramural	0.490	0.464	0.447	校內
intravenous	0.357	0.538	0.458	靜脈
intrepid	0.753	0.696	0.637	強悍
intricate	0.559	0.704	0.500	錯綜複雜
intrigue	0.362	0.830	0.327	陰謀
intriguing	0.422	0.713	0.462	耐人尋味
intrinsic	0.406	0.471	0.526	固有的
intrinsically	0.459	0.382	0.538	本質上
intro	0.510	0.331	0.657	介紹
introduce	0.592	0.559	0.648	介紹
introduction	0.612	0.413	0.640	介紹
introductory	0.635	0.368	0.593	介紹性的
introspection	0.603	0.337	0.575	內省
introspective	0.552	0.360	0.471	內省的
intrude	0.058	0.735	0.480	侵入
intruder	0.146	0.740	0.324	入侵者
intrusion	0.293	0.641	0.670	入侵
intrusive	0.461	0.607	0.538	侵入性的
intubation	0.276	0.598	0.526	插管
intuition	0.857	0.508	0.602	直覺
intuitive	0.771	0.573	0.690	直覺的
intuitively	0.670	0.561	0.648	直觀地
inundation	0.177	0.780	0.455	淹沒
invade	0.408	0.892	0.714	入侵
invader	0.200	0.827	0.618	侵略者
invalid	0.180	0.330	0.255	無效的
invalidate	0.315	0.480	0.397	無效
invalidation	0.181	0.490	0.278	失效
invalidity	0.186	0.394	0.158	無效
invaluable	0.740	0.500	0.745	無價
invariably	0.458	0.365	0.550	總是
invasion	0.271	0.843	0.808	入侵
invasive	0.194	0.730	0.598	侵入性
invent	0.719	0.689	0.833	發明
invention	0.714	0.577	0.811	發明
inventive	0.780	0.627	0.721	創造性的
inventor	0.781	0.667	0.847	發明者
inventory	0.594	0.463	0.490	存貨
inverse	0.459	0.337	0.319	逆
inversely	0.286	0.418	0.351	反過來
inversion	0.602	0.630	0.772	倒置
invert	0.510	0.585	0.706	倒置
inverted	0.310	0.471	0.357	倒
invest	0.650	0.663	0.682	投資
investigate	0.640	0.500	0.781	調查
investigation	0.531	0.592	0.820	調查
investigative	0.562	0.600	0.704	調查性的
investigator	0.615	0.509	0.779	研究者
investment	0.720	0.592	0.745	投資
investor	0.794	0.655	0.791	投資者
invidious	0.112	0.650	0.364	令人反感的
invigorate	0.821	0.798	0.831	振奮
invincible	0.867	0.853	0.914	無敵
invisibility	0.438	0.461	0.382	隱形
invisible	0.417	0.345	0.412	無形的
invitation	0.802	0.549	0.647	邀請
invite	0.745	0.655	0.611	邀請
inviting	0.938	0.571	0.538	邀請
invocation	0.430	0.620	0.673	調用
invoice	0.480	0.380	0.474	發票
invoke	0.583	0.740	0.579	調用
involuntary	0.354	0.490	0.231	非自願
involution	0.296	0.420	0.407	對合
involve	0.694	0.490	0.728	涉及
involvement	0.760	0.620	0.696	參與
invulnerable	0.552	0.683	0.745	刀槍不入
inwards	0.490	0.385	0.438	向內
iodine	0.390	0.265	0.333	碘
ion	0.429	0.330	0.408	離子
iota	0.344	0.385	0.314	微塔
irate	0.188	0.852	0.474	憤怒
ire	0.198	0.740	0.575	憤怒
iridescent	0.602	0.588	0.539	虹彩
iris	0.708	0.275	0.380	虹膜
irked	0.164	0.791	0.353	惹惱了
irks	0.276	0.781	0.339	討厭
iron	0.448	0.351	0.679	鐵
ironclad	0.561	0.648	0.679	鐵定的
ironic	0.435	0.550	0.500	諷刺的
irons	0.531	0.441	0.625	熨斗
irony	0.390	0.587	0.508	諷刺
irradiation	0.385	0.736	0.509	輻照
irrational	0.125	0.648	0.394	非理性的
irrationality	0.198	0.735	0.361	非理性
irreconcilable	0.146	0.667	0.375	不可調和的
irreducible	0.296	0.455	0.569	不可約
irrefutable	0.496	0.549	0.716	無可辯駁
irregular	0.312	0.548	0.321	不規律的
irregularity	0.104	0.647	0.306	不規則
irregularly	0.292	0.565	0.397	不規則地
irrelevant	0.138	0.311	0.296	無關緊要的
irreparable	0.061	0.530	0.430	無法彌補
irreplaceable	0.479	0.580	0.833	無可替代
irrepressible	0.512	0.566	0.745	無法抑制
irresistible	0.823	0.833	0.839	不可抗拒
irrespective	0.497	0.538	0.745	無所謂
irresponsible	0.177	0.680	0.241	不負責任的
irreverent	0.191	0.694	0.634	不敬的
irreversible	0.170	0.541	0.667	不可逆轉
irrevocable	0.296	0.560	0.712	不可撤銷
irrigate	0.272	0.458	0.490	灌溉
irrigation	0.259	0.426	0.426	灌溉
irritability	0.146	0.853	0.283	易怒
irritable	0.112	0.952	0.462	煩躁
irritate	0.167	0.890	0.368	刺激
irritated	0.210	0.816	0.281	煩躁
irritates	0.173	0.810	0.295	激怒
irritating	0.104	0.912	0.393	惱人的
irritation	0.073	0.833	0.496	刺激
island	0.745	0.347	0.432	島
isle	0.667	0.390	0.443	小島
islet	0.612	0.314	0.367	胰島
isolate	0.235	0.422	0.336	隔離
isolated	0.221	0.356	0.255	孤立
isolation	0.198	0.338	0.339	隔離
isomorphism	0.448	0.361	0.481	同構
isothermal	0.459	0.491	0.500	等溫
isotope	0.429	0.404	0.407	同位素
issue	0.316	0.819	0.351	問題
itch	0.319	0.610	0.465	癢
itching	0.208	0.690	0.300	瘙癢
itchy	0.334	0.726	0.296	發癢
item	0.594	0.270	0.465	物品
itemize	0.459	0.527	0.518	逐項列出
items	0.542	0.401	0.434	項目
iterate	0.449	0.460	0.440	迭代
iteration	0.531	0.449	0.486	迭代
iterative	0.429	0.420	0.500	迭代的
itinerant	0.449	0.545	0.439	巡迴
itinerary	0.551	0.550	0.454	行程
ivory	0.625	0.235	0.566	象牙
jab	0.385	0.519	0.482	戳
jabber	0.417	0.506	0.342	胡言亂語
jack	0.487	0.450	0.441	傑克
jackal	0.333	0.582	0.436	豺狼
jackass	0.188	0.692	0.279	笨蛋
jacket	0.656	0.302	0.382	夾克
jackhammer	0.199	0.690	0.519	電鑽
jackpot	0.950	0.750	0.786	頭獎
jackrabbit	0.625	0.379	0.344	長耳兔
jacks	0.490	0.400	0.505	千斤頂
jade	0.604	0.410	0.455	玉
jaded	0.255	0.560	0.400	厭倦
jag	0.408	0.440	0.427	鋸齒
jagged	0.082	0.462	0.213	鋸齒狀的
jaguar	0.559	0.710	0.654	捷豹
jail	0.094	0.898	0.480	監獄
jailbird	0.240	0.567	0.473	累犯
jailbreak	0.354	0.629	0.471	越獄
