English Word	Valence	Arousal	Dominance	Bulgarian Word
lieutenant	0.594	0.612	0.920	лейтенант
life	0.918	0.615	0.824	живот
lifeblood	0.673	0.690	0.708	жизнена кръв
lifeboat	0.724	0.425	0.533	спасителна лодка
lifeguard	0.870	0.606	0.786	спасител на плажа
lifeisgood	0.812	0.575	0.611	Животът е добър
lifeless	0.042	0.333	0.163	безжизнен
lifelike	0.776	0.567	0.765	реалистичен
lifeline	0.735	0.552	0.496	спасителен пояс
lifelong	0.823	0.330	0.640	цял живот
lifer	0.427	0.519	0.398	доживотен затворник
lifesaver	0.908	0.745	0.703	спасител
lifestyle	0.750	0.472	0.645	начин на живот
lifesucks	0.167	0.637	0.377	живота не струва
lifetime	0.816	0.559	0.736	живот
lift	0.704	0.518	0.656	вдигам
lifted	0.714	0.441	0.657	повдигнати
liftoff	0.531	0.667	0.588	излитам
ligament	0.490	0.410	0.510	лигамент
ligation	0.344	0.423	0.396	лигиране
ligature	0.478	0.430	0.447	лигатура
light	0.771	0.320	0.519	светлина
light year	0.719	0.425	0.593	светлинна година
lightbulb	0.573	0.255	0.302	крушка
lighten	0.688	0.438	0.362	изсветлявам
lightheaded	0.347	0.620	0.255	празноглав
lighthouse	0.622	0.240	0.510	фар
lighting	0.765	0.440	0.750	осветление
lightness	0.794	0.360	0.526	лекота
lightning	0.429	0.683	0.595	мълния
lights	0.750	0.480	0.575	светлини
lightweight	0.670	0.300	0.358	лек
likable	0.865	0.480	0.663	симпатичен
like	0.719	0.353	0.446	като
likelihood	0.760	0.469	0.542	вероятност
likely	0.633	0.356	0.454	вероятно
likeness	0.688	0.410	0.561	подобие
likewise	0.651	0.217	0.312	по същия начин
liking	0.963	0.604	0.589	харесване
lilac	0.688	0.180	0.357	люляк
lily	0.640	0.245	0.263	лилия
limb	0.510	0.397	0.427	крайник
limber	0.688	0.729	0.673	крайник
limbo	0.385	0.284	0.309	неопределеност
lime	0.594	0.240	0.415	вар
limelight	0.667	0.639	0.694	светлината на прожекторите
limestone	0.602	0.323	0.381	варовик
limey	0.469	0.347	0.415	Лийми
limit	0.427	0.453	0.500	лимит
limitation	0.190	0.431	0.225	ограничение
limited	0.229	0.273	0.380	ограничен
limitless	0.688	0.574	0.655	неограничен
limo	0.760	0.367	0.667	лимузина
limousine	0.638	0.531	0.640	лимузина
limp	0.393	0.440	0.172	накуцвам
lin	0.416	0.362	0.343	лин
line	0.541	0.180	0.353	линия
lineage	0.633	0.465	0.721	родословие
lineal	0.521	0.170	0.474	линеен
linear	0.646	0.250	0.472	линеен
linebacker	0.490	0.660	0.543	защитник
lined	0.438	0.367	0.424	подплатени
linen	0.656	0.323	0.286	бельо
liner	0.469	0.396	0.400	подложка
lines	0.542	0.317	0.330	линии
lineup	0.635	0.427	0.638	състав
linger	0.480	0.311	0.412	задържам се
lingerie	0.543	0.463	0.308	дамско бельо
lingering	0.630	0.643	0.667	проточен
lingo	0.448	0.364	0.447	жаргон
lingual	0.500	0.457	0.315	лингвална
linguini	0.625	0.338	0.355	лингвини
linguist	0.583	0.330	0.634	лингвист
linguistic	0.646	0.351	0.618	лингвистичен
linguistics	0.552	0.390	0.618	лингвистика
lining	0.571	0.363	0.472	подплата
link	0.427	0.264	0.491	връзка
linoleum	0.510	0.378	0.402	линолеум
lint	0.388	0.173	0.214	мъх
lion	0.532	0.717	0.682	лъв
lip	0.541	0.348	0.443	устна
liposuction	0.292	0.684	0.464	липосукция
lipstick	0.653	0.429	0.306	червило
liquefaction	0.449	0.622	0.535	втечняване
liquefied	0.562	0.463	0.342	втечнен
liqueur	0.670	0.612	0.389	ликьор
liquid	0.562	0.235	0.307	течност
liquidate	0.327	0.654	0.664	ликвидирам
liquidation	0.417	0.625	0.649	ликвидация
liquidator	0.354	0.663	0.750	ликвидатор
liquidity	0.688	0.529	0.534	ликвидност
liquor	0.603	0.702	0.433	алкохол
lira	0.530	0.255	0.370	лира
lisp	0.365	0.412	0.288	прошепвам
list	0.528	0.260	0.402	списък
listen	0.771	0.360	0.445	слушам
listener	0.667	0.375	0.403	слушател
listenting	0.640	0.377	0.491	слушане
listing	0.438	0.273	0.432	листване
listless	0.219	0.350	0.231	апатичен
listneing	0.531	0.370	0.433	слушане
litany	0.510	0.365	0.482	литания
liter	0.573	0.208	0.382	литър
literacy	0.730	0.306	0.638	грамотност
literal	0.570	0.353	0.574	буквален
literally	0.571	0.353	0.673	буквално
literary	0.719	0.324	0.667	литературен
literature	0.708	0.250	0.598	литература
lithe	0.656	0.596	0.602	гъвкав
lithium	0.417	0.330	0.430	литий
lithograph	0.551	0.327	0.481	литография
lithography	0.561	0.346	0.473	литография
lithology	0.519	0.378	0.525	литология
lithosphere	0.473	0.333	0.689	литосфера
litigant	0.219	0.577	0.696	участник в делото
litigate	0.260	0.819	0.712	водя дела
litigation	0.388	0.760	0.602	съдебни спорове
litigator	0.429	0.630	0.732	съдебен истец
litigious	0.360	0.736	0.632	съдебен
litter	0.255	0.551	0.110	носилка
little	0.385	0.160	0.213	малко
littlethings	0.740	0.311	0.242	малки неща
littoral	0.551	0.387	0.452	крайбрежие
liturgy	0.490	0.327	0.568	литургия
live	0.880	0.673	0.676	на живо
livelife	0.792	0.624	0.664	жизнен живот
livelihood	0.698	0.481	0.721	поминък
lively	0.847	0.810	0.642	оживен
liven	0.708	0.713	0.673	оживявам
liver	0.439	0.290	0.385	черен дроб
livery	0.510	0.417	0.429	ливрея
livestock	0.729	0.420	0.519	добитък
livid	0.469	0.788	0.490	сивкав
living	0.865	0.608	0.727	жив
lizard	0.378	0.375	0.324	гущер
llama	0.490	0.590	0.519	лама
lml	0.448	0.519	0.385	lml
load	0.385	0.417	0.528	натоварване
loader	0.562	0.377	0.686	товарач
loaf	0.755	0.250	0.277	питка
loafer	0.235	0.396	0.254	безделник
loam	0.469	0.373	0.673	глинеста почва
loan	0.552	0.480	0.352	заем
loath	0.135	0.714	0.445	отвращение
loathe	0.094	0.730	0.429	ненавиждам
loathful	0.068	0.740	0.358	отвратителен
loathing	0.083	0.796	0.368	омраза
loathsome	0.120	0.694	0.343	отвратителен
lobby	0.625	0.427	0.472	лоби
lobbyist	0.385	0.527	0.565	лобист
lobe	0.459	0.364	0.352	лоб
lobotomy	0.296	0.598	0.402	лоботомия
lobster	0.571	0.356	0.291	омар
local	0.656	0.269	0.452	местен
locale	0.449	0.387	0.352	локал
locality	0.582	0.336	0.464	местност
localization	0.552	0.330	0.545	локализация
localize	0.520	0.481	0.679	локализирам
localized	0.490	0.460	0.621	локализиран
locate	0.583	0.520	0.786	локализирам
location	0.615	0.375	0.546	местоположение
locator	0.480	0.426	0.614	локатор
loch	0.449	0.235	0.425	езеро
lock	0.271	0.585	0.600	ключалка
locker	0.439	0.300	0.393	шкафче
locket	0.615	0.327	0.616	медальон
locksmith	0.510	0.417	0.491	ключар
lockup	0.240	0.602	0.617	заключване
loco	0.306	0.774	0.226	локо
locomotion	0.470	0.600	0.595	придвижване
locomotive	0.542	0.650	0.721	локомотив
locust	0.479	0.412	0.417	скакалец
lode	0.365	0.423	0.318	жила
lodge	0.656	0.356	0.474	ложа
lodger	0.480	0.448	0.304	квартирант
lodging	0.713	0.286	0.527	настаняване
loft	0.510	0.378	0.343	таванско помещение
lofty	0.755	0.306	0.569	възвишен
log	0.591	0.371	0.395	дневник
logarithm	0.520	0.439	0.551	логаритъм
logarithmic	0.469	0.458	0.606	логаритмичен
logic	0.646	0.245	0.819	логика
logical	0.805	0.400	0.648	логично
logistics	0.633	0.500	0.730	логистиката
logo	0.469	0.296	0.565	лого
logotype	0.480	0.337	0.509	лого
loin	0.420	0.298	0.379	Филе
lollipop	0.628	0.483	0.357	близалка
lone	0.198	0.204	0.367	самотен
loneliness	0.146	0.182	0.222	самота
lonely	0.250	0.226	0.238	самотен
loner	0.347	0.152	0.221	самотник
lonesome	0.281	0.213	0.336	самотен
long	0.541	0.353	0.543	дълго
longboat	0.551	0.454	0.490	дълга лодка
longevity	0.750	0.353	0.745	дълголетие
longing	0.604	0.434	0.560	копнеж
longitude	0.479	0.310	0.516	географска дължина
longitudinal	0.542	0.398	0.582	надлъжно
longitudinally	0.541	0.380	0.569	надлъжно
longtime	0.362	0.442	0.546	дълго време
loo	0.385	0.357	0.283	тоалетна
look	0.719	0.429	0.615	виж
looker	0.583	0.354	0.451	гледач
lookout	0.698	0.538	0.639	внимавай
loom	0.531	0.245	0.325	стан
looming	0.367	0.750	0.528	задаващ се
loon	0.429	0.392	0.325	луна
loony	0.439	0.474	0.295	луд
loop	0.516	0.343	0.317	цикъл
loophole	0.406	0.755	0.491	вратичка
loopy	0.438	0.520	0.195	примка
loose	0.573	0.312	0.365	разхлабен
loosen	0.487	0.337	0.218	разхлабвам
loosening	0.378	0.343	0.295	разхлабване
loot	0.604	0.711	0.537	плячка
lop	0.429	0.363	0.426	lop
lopsided	0.125	0.500	0.272	накриво
lord	0.618	0.327	0.684	господарю
lords	0.571	0.356	0.781	господари
lordship	0.573	0.557	0.736	господство
lore	0.719	0.373	0.768	знание
lorry	0.521	0.481	0.402	камион
lose	0.115	0.538	0.176	губя
loser	0.083	0.510	0.155	загубеняк
losing	0.076	0.686	0.223	губещ
loss	0.062	0.567	0.211	загуба
lost	0.199	0.663	0.148	изгубен
lot	0.531	0.215	0.370	много
lotion	0.724	0.261	0.188	лосион
lots	0.604	0.417	0.424	много
lottery	0.771	0.731	0.491	лотария
lotto	0.760	0.635	0.475	лото
lotus	0.604	0.377	0.510	лотос
loud	0.573	0.650	0.870	силен
loudly	0.541	0.755	0.667	силно
loudmouth	0.337	0.615	0.456	кръшливец
loudness	0.350	0.582	0.620	гръмкост
loudspeaker	0.490	0.735	0.689	високоговорител
lounge	0.592	0.245	0.466	салон
lounging	0.735	0.167	0.449	излежаване
louse	0.184	0.439	0.154	въшка
lousy	0.125	0.482	0.234	гадно
lovable	0.948	0.335	0.565	обичлив
love	1.000	0.519	0.673	любов
loved	0.927	0.452	0.582	обичан
lovee	0.949	0.592	0.611	любима
loveee	0.927	0.592	0.693	любовеее
loveless	0.102	0.365	0.216	без любов
lovelife	0.837	0.610	0.592	любовен живот
loveliness	0.959	0.509	0.750	прелест
lovelovelove	0.948	0.582	0.554	любов любов Любов
lovely	0.917	0.456	0.741	прекрасно
lovemaking	0.969	0.927	0.814	правене на любов
lovemylife	0.896	0.800	0.573	обичам живота си
lover	0.881	0.816	0.750	любовник
lovesick	0.796	0.842	0.500	влюбен
lovethis	0.867	0.552	0.526	обичам това
loving	0.948	0.612	0.636	любящ
lovinglife	0.979	0.404	0.673	любящ живот
lovinlife	0.714	0.460	0.544	любовен живот
low	0.292	0.220	0.102	ниско
lowdown	0.306	0.441	0.441	ниско ниво
lower	0.327	0.296	0.258	нисък
lowering	0.286	0.363	0.236	понижаване
lowest	0.312	0.304	0.129	най-нисък
lowlands	0.323	0.290	0.331	низини
lowlife	0.296	0.529	0.309	нисък живот
lowly	0.562	0.294	0.417	смирен
lox	0.490	0.373	0.318	локс
loyal	0.896	0.265	0.657	лоялен
loyalty	0.885	0.406	0.793	лоялност
lsd	0.375	0.471	0.390	lsd
luau	0.594	0.545	0.296	Луау
lube	0.552	0.490	0.411	лубрикант
lubricant	0.656	0.550	0.454	лубрикант
lubricate	0.552	0.490	0.470	смазвам
lubrication	0.624	0.646	0.491	смазване
lucid	0.771	0.490	0.705	ясни
luck	0.854	0.490	0.717	късмет
luckiest	0.917	0.690	0.852	най-големият късметлия
lucky	0.960	0.610	0.793	късметлия
luckygirl	0.781	0.712	0.471	щастливката
lucrative	0.729	0.519	0.798	доходоносен
ludicrous	0.137	0.553	0.274	нелепо
lug	0.344	0.443	0.340	ухо
luggage	0.561	0.226	0.319	багаж
lukewarm	0.573	0.300	0.241	хладка
lull	0.602	0.130	0.402	затишие
lullaby	0.796	0.156	0.339	приспивна песен
lumbar	0.323	0.418	0.342	лумбален
lumber	0.517	0.184	0.373	дървен материал
lumbering	0.354	0.561	0.655	дърводобив
lumberjack	0.500	0.660	0.726	дървосекач
luminescent	0.796	0.550	0.526	луминесцентни
luminous	0.918	0.392	0.783	светещ
lump	0.438	0.337	0.463	бучка
lumpy	0.271	0.378	0.365	на бучки
lunacy	0.132	0.847	0.330	лудост
lunar	0.562	0.296	0.427	лунен
lunatic	0.125	0.792	0.442	лунатик
lunch	0.880	0.410	0.542	обяд
lunchbox	0.663	0.346	0.346	кутия за обяд
luncheon	0.837	0.240	0.441	обяд
lunchtime	0.896	0.398	0.444	време за обяд
lung	0.510	0.292	0.629	бял дроб
lunge	0.354	0.721	0.509	скок
lungs	0.531	0.352	0.555	бели дробове
lurch	0.404	0.694	0.363	клатушкане
lure	0.439	0.565	0.300	примамка
lurid	0.186	0.833	0.536	зловещ
lurk	0.219	0.740	0.655	дебнат
lurking	0.421	0.781	0.575	дебнещ
luscious	0.885	0.552	0.545	пищен
lush	0.740	0.783	0.833	буйни
lust	0.469	0.944	0.518	похот
luster	0.833	0.566	0.558	блясък
lustful	0.427	0.896	0.643	похотлив
lustrous	0.771	0.606	0.598	лъскав
lusty	0.469	0.941	0.673	похотлив
lute	0.459	0.407	0.500	лютня
luxuriant	0.760	0.745	0.812	пищен
luxurious	0.947	0.644	0.754	луксозен
luxury	0.932	0.673	0.750	лукс
lycra	0.520	0.449	0.328	ликра
lye	0.378	0.396	0.443	луга
lying	0.208	0.704	0.317	лъжа
lymph	0.398	0.510	0.390	лимфа
lymphatic	0.380	0.509	0.472	лимфен
lymphoma	0.208	0.645	0.330	лимфом
lynch	0.167	0.885	0.482	линч
lynching	0.135	0.920	0.548	линчуване
lynx	0.510	0.590	0.567	рис
lyre	0.719	0.347	0.414	лира
lyric	0.702	0.269	0.464	лирика
lyrical	0.708	0.451	0.618	лиричен
lyrics	0.582	0.214	0.333	текстове на песни
macadamia	0.635	0.330	0.434	макадамия
macarena	0.802	0.601	0.368	макарена
macaroni	0.816	0.410	0.382	макарони
mace	0.450	0.412	0.415	боздуган
mach	0.541	0.432	0.463	мах
machete	0.260	0.690	0.474	мачете
machine	0.510	0.500	0.707	машина
machinery	0.458	0.615	0.629	машини
machinist	0.490	0.598	0.721	машинист
macho	0.643	0.690	0.676	мачо
mackerel	0.418	0.423	0.426	скумрия
macro	0.552	0.469	0.647	макрос
mad	0.219	0.873	0.277	луд
madam	0.580	0.308	0.571	Мадам
madame	0.604	0.500	0.635	мадам
madden	0.329	0.602	0.457	полудял
madder	0.323	0.853	0.267	по-луд
mademoiselle	0.752	0.459	0.461	мадмоазел
mademyday	0.694	0.573	0.537	оправи ми деня
madhouse	0.156	0.736	0.440	лудница
madman	0.135	0.880	0.312	луд човек
madness	0.104	0.804	0.440	лудост
maestro	0.823	0.357	0.849	маестро
mafia	0.204	0.867	0.676	мафия
magazine	0.615	0.332	0.377	списание
mage	0.622	0.373	0.453	магьосник
magenta	0.635	0.275	0.415	магента
maggot	0.235	0.500	0.235	личинка
magic	0.868	0.663	0.578	магия
magical	0.875	0.651	0.595	магически
magician	0.714	0.657	0.551	магьосник
magistrate	0.587	0.541	0.904	магистрат
magma	0.323	0.623	0.609	магма
magna	0.605	0.490	0.652	магна
magnate	0.627	0.708	0.868	магнат
magnesium	0.542	0.320	0.321	магнезий
magnet	0.571	0.318	0.553	магнит
magnetic	0.612	0.529	0.673	магнитен
magnetism	0.630	0.529	0.741	магнетизъм
magnetite	0.531	0.490	0.581	магнетит
magnification	0.890	0.615	0.880	увеличение
magnificence	0.802	0.810	0.920	великолепие
magnificent	1.000	0.680	0.886	великолепен
magnifier	0.469	0.216	0.345	лупа
magnify	0.729	0.561	0.839	увеличавам
magnifying	0.594	0.265	0.406	уголемяване
magnitude	0.608	0.613	0.774	величина
magnolia	0.558	0.343	0.379	магнолия
magpie	0.500	0.458	0.327	сврака
mahi mahi	0.510	0.410	0.398	махи махи
mahjong	0.556	0.418	0.440	маджонг
mahogany	0.602	0.225	0.393	махагон
maid	0.406	0.324	0.300	домашна прислужница
maiden	0.755	0.396	0.461	девойка
mail	0.615	0.231	0.548	поща
mailbox	0.573	0.222	0.404	пощенска кутия
mailing	0.688	0.324	0.375	изпращане по пощата
mailman	0.659	0.418	0.462	пощальон
maim	0.133	0.724	0.496	осакатявам
main	0.667	0.510	0.811	основен
mainframe	0.531	0.490	0.557	основна рамка
mainland	0.680	0.407	0.806	континентална част
mainstay	0.694	0.400	0.713	опора
mainstream	0.653	0.527	0.660	мейнстрийм
maintain	0.684	0.398	0.647	поддържам
maintenance	0.592	0.410	0.545	поддръжка
majestic	0.948	0.731	0.906	величествен
majesty	0.823	0.602	0.955	величие
major	0.684	0.538	0.874	майор
majority	0.684	0.560	0.930	мнозинство
make	0.684	0.420	0.480	направи
makeover	0.771	0.510	0.596	преобразяване
maker	0.698	0.544	0.706	производител
makeshift	0.479	0.611	0.389	импровизиран
makesmehappy	0.894	0.663	0.712	прави ме щастлив
makesmemad	0.296	0.643	0.500	прави мемад
makeup	0.740	0.333	0.331	грим
makingdisciples	0.684	0.402	0.664	правене на ученици
malady	0.190	0.686	0.304	неразположение
malaise	0.150	0.600	0.161	неразположение
malaria	0.125	0.653	0.304	малария
malarkey	0.396	0.500	0.465	маларкей
malevolent	0.094	0.854	0.613	злонамерен
malfeasance	0.062	0.745	0.325	длъжностно престъпление
malformation	0.083	0.602	0.357	малформация
malfunction	0.125	0.577	0.229	неизправност
malice	0.073	0.811	0.492	злоба
malicious	0.177	0.765	0.607	злонамерен
malign	0.140	0.765	0.481	злокачествен
malignancy	0.149	0.814	0.614	злокачествено заболяване
malignant	0.143	0.824	0.370	злокачествен
maligned	0.102	0.684	0.218	злепоставен
mall	0.724	0.663	0.492	търговски център
malleable	0.500	0.500	0.391	ковък
mallet	0.354	0.390	0.483	чук
malnutrition	0.024	0.592	0.277	недохранване
malpractice	0.094	0.559	0.330	злоупотреба
malt	0.750	0.373	0.324	малц
mama	0.860	0.413	0.728	мама
mambo	0.808	0.622	0.445	мамбо
mamma	0.600	0.358	0.449	мама
mammal	0.618	0.449	0.421	бозайник
mammoth	0.480	0.471	0.537	мамут
mammy	0.680	0.415	0.436	мама
manage	0.560	0.530	0.719	управлявам
manageable	0.750	0.361	0.655	управляем
management	0.792	0.491	0.806	управление
manager	0.625	0.549	0.897	мениджър
managerial	0.604	0.520	0.791	управленски
mandamus	0.439	0.577	0.556	мандамус
mandarin	0.625	0.398	0.491	мандарина
mandate	0.448	0.670	0.779	мандат
mandatory	0.271	0.667	0.777	задължителен
mandible	0.510	0.431	0.500	долна челюст
mandolin	0.708	0.433	0.367	мандолина
mandrel	0.310	0.490	0.481	дорник
mane	0.521	0.277	0.373	грива
maneuver	0.615	0.663	0.608	маневра
maneuvering	0.635	0.640	0.745	маневриране
mange	0.311	0.558	0.348	краста
manger	0.656	0.276	0.398	ясла
mangle	0.292	0.449	0.355	изкривявам
mango	0.765	0.327	0.290	манго
mangosteen	0.562	0.500	0.414	мангостин
mangy	0.214	0.698	0.270	крастави
manhole	0.378	0.500	0.516	шахта
manhood	0.625	0.735	0.858	мъжество
manhunt	0.145	0.925	0.657	преследване
mania	0.290	0.683	0.382	мания
maniac	0.120	0.849	0.431	маниак
maniacal	0.200	0.848	0.500	маниакален
manic	0.054	0.892	0.368	маниакален
manicure	0.706	0.308	0.284	маникюр
manicurist	0.583	0.352	0.341	маникюристка
manifest	0.667	0.647	0.704	манифест
manifestation	0.583	0.750	0.655	проявление
manifested	0.580	0.618	0.667	проявени
manifestly	0.469	0.588	0.577	явно
manifesto	0.646	0.519	0.676	манифест
manifold	0.500	0.461	0.435	колектор
manipulate	0.255	0.700	0.772	манипулирам
manipulation	0.188	0.775	0.536	манипулация
manipulative	0.177	0.724	0.546	манипулативен
mankind	0.823	0.471	0.768	човечеството
manly	0.698	0.633	0.846	мъжествен
manna	0.698	0.294	0.544	мана
manned	0.551	0.588	0.484	пилотиран
mannequin	0.427	0.302	0.295	манекен
manner	0.618	0.250	0.320	начин
mannered	0.469	0.556	0.291	възпитан
manners	0.816	0.284	0.517	маниери
manor	0.646	0.358	0.738	имение
manpower	0.531	0.620	0.543	работна ръка
mansion	0.847	0.490	0.717	имение
mansions	0.735	0.529	0.777	имения
manslaughter	0.090	0.920	0.473	непредумишлено убийство
mantel	0.500	0.265	0.471	камина
mantis	0.480	0.355	0.421	богомолка
mantle	0.510	0.269	0.422	мантия
mantra	0.396	0.249	0.357	мантра
manual	0.635	0.245	0.449	ръководство
manufacture	0.868	0.703	0.780	производство
manufacturer	0.688	0.537	0.830	производител
manufacturing	0.653	0.613	0.804	производство
manure	0.250	0.471	0.241	тор
manuscript	0.510	0.208	0.540	ръкопис
map	0.561	0.229	0.463	карта
maple	0.541	0.390	0.339	клен
mar	0.622	0.544	0.545	март
marathon	0.646	0.778	0.740	маратон
marble	0.604	0.212	0.667	мрамор
marbled	0.396	0.385	0.418	мраморизиран
marbles	0.714	0.345	0.241	топчета
march	0.531	0.200	0.483	Март
mare	0.541	0.320	0.417	кобила
margarine	0.530	0.316	0.333	маргарин
margarita	0.750	0.438	0.420	маргарита
margin	0.500	0.219	0.331	марж
marginal	0.235	0.644	0.345	маргинален
mariachi	0.710	0.559	0.609	мариачи
marijuana	0.312	0.779	0.558	марихуана
marinara	0.657	0.388	0.435	маринара
marine	0.633	0.471	0.679	морски
mariner	0.652	0.491	0.676	моряк
marital	0.760	0.529	0.500	брачен
maritime	0.646	0.490	0.713	морски
mark	0.491	0.231	0.600	марка
marked	0.592	0.358	0.554	маркиран
marker	0.500	0.333	0.605	маркер
market	0.724	0.480	0.521	пазар
marketable	0.746	0.545	0.664	продаваеми
marketing	0.521	0.774	0.675	маркетинг
marketplace	0.698	0.420	0.525	пазар
marks	0.430	0.480	0.424	марки
marksman	0.500	0.833	0.692	стрелец
marksmanship	0.573	0.531	0.664	стрелба
marl	0.372	0.471	0.351	мергел
marmalade	0.729	0.370	0.288	мармалад
maroon	0.469	0.358	0.336	кестеняво
marooned	0.229	0.480	0.160	кестенява
marquee	0.602	0.284	0.508	шатра
marquis	0.521	0.444	0.562	маркиз
marred	0.181	0.561	0.233	помрачени
marriage	0.844	0.684	0.750	брак
married	0.674	0.570	0.602	женен
marrow	0.398	0.422	0.472	костен мозък
marry	0.896	0.765	0.673	ожени се
marsh	0.302	0.358	0.277	блато
marshal	0.469	0.610	0.819	маршал
marshmallow	0.740	0.441	0.391	marshmallow
mart	0.531	0.402	0.418	март
martial	0.480	0.710	0.737	боен
martingale	0.469	0.510	0.455	мартингейл
martini	0.828	0.500	0.519	мартини
martyr	0.281	0.708	0.509	мъченик
martyrdom	0.323	0.745	0.442	мъченичество
marvel	0.961	0.755	0.866	чудо
marvellous	0.878	0.809	0.849	прекрасно
marvelous	0.948	0.637	0.778	прекрасно
marvelously	0.968	0.708	0.764	чудесно
marzipan	0.684	0.380	0.258	марципан
mascara	0.575	0.450	0.269	спирала за очи
mascot	0.750	0.337	0.337	талисман
masculine	0.653	0.540	0.773	мъжки
masculinity	0.583	0.670	0.851	мъжественост
mash	0.440	0.363	0.283	каша
mashed	0.531	0.337	0.194	пюре
mask	0.510	0.490	0.537	маска
masked	0.375	0.549	0.518	маскиран
masks	0.510	0.472	0.241	маски
masochism	0.194	0.845	0.483	мазохизъм
masochist	0.164	0.784	0.353	мазохист
mason	0.541	0.442	0.580	зидар
masquerade	0.431	0.633	0.446	бал с маски
mass	0.458	0.245	0.277	маса
massacre	0.031	0.887	0.640	клане
massage	0.708	0.356	0.413	масаж
masses	0.552	0.453	0.473	маси
masseur	0.622	0.265	0.463	масажист
masseuse	0.594	0.373	0.391	масажистка
massive	0.569	0.660	0.750	масивна
mast	0.542	0.390	0.580	мачта
master	0.694	0.490	0.849	майстор
masterful	0.854	0.510	0.960	майсторски
mastermind	0.792	0.625	0.918	ръководител
masterpiece	0.926	0.623	0.847	шедьовър
mastery	0.755	0.648	0.873	майсторство
masturbate	0.552	0.926	0.500	мастурбирам
masturbation	0.542	0.961	0.509	мастурбация
mat	0.459	0.221	0.304	мат
matador	0.224	0.880	0.667	матадор
match	0.599	0.573	0.500	съвпада
matchbook	0.562	0.391	0.412	кибритена кутия
matching	0.719	0.735	0.418	съчетаване
matchmaker	0.615	0.509	0.519	сватовник
mate	0.847	0.417	0.669	приятел
material	0.521	0.363	0.439	материал
materialism	0.220	0.390	0.556	материализъм
materialist	0.255	0.491	0.504	материалист
materialistic	0.420	0.506	0.589	материалистичен
materiality	0.417	0.450	0.636	материалност
materialize	0.688	0.596	0.728	материализирам се
materially	0.490	0.451	0.670	материално
materials	0.633	0.361	0.473	материали
materiel	0.531	0.294	0.417	материални средства
maternal	0.847	0.417	0.634	майчина
maternity	0.865	0.480	0.622	майчинство
math	0.417	0.375	0.600	математика
mathematical	0.620	0.500	0.548	математически
mathematician	0.541	0.418	0.773	математик
mathematics	0.438	0.435	0.664	математика
matinee	0.694	0.578	0.447	матине
mating	0.755	0.840	0.759	чифтосване
matriculation	0.622	0.490	0.675	матура
matrimony	0.850	0.637	0.843	брак
matrix	0.551	0.378	0.673	матрица
matron	0.520	0.519	0.555	матрона
matted	0.281	0.519	0.393	сплъстена
matter	0.487	0.353	0.562	материя
matting	0.479	0.405	0.423	матиране
mattress	0.612	0.255	0.397	матрак
maturation	0.612	0.439	0.698	съзряване
mature	0.625	0.347	0.600	зрял
maturity	0.827	0.400	0.806	зрелост
maudlin	0.337	0.417	0.368	плачлив
mausoleum	0.344	0.281	0.594	мавзолей
mauve	0.533	0.330	0.314	лилаво
maverick	0.354	0.676	0.409	самостоятел
maxim	0.875	0.562	0.887	максима
maximize	0.823	0.765	0.792	максимизиране
maximum	0.724	0.724	0.852	максимум
may	0.704	0.273	0.245	може
mayday	0.344	0.643	0.423	мейдей
mayflower	0.690	0.463	0.429	майско цвете
mayhem	0.188	0.870	0.364	хаос
mayonnaise	0.510	0.320	0.222	майонеза
mayor	0.469	0.481	0.818	кмет
maze	0.438	0.608	0.444	лабиринт
mead	0.667	0.337	0.441	медовина
meadow	0.622	0.130	0.382	ливада
meager	0.144	0.389	0.281	оскъден
meal	0.833	0.461	0.473	хранене
mean	0.440	0.467	0.620	означава
meander	0.480	0.443	0.454	меандър
meandering	0.427	0.644	0.539	криволичещ
meanie	0.388	0.420	0.404	злобен
meaning	0.663	0.395	0.625	значение
meaningful	0.770	0.500	0.802	смислен
meaningless	0.156	0.314	0.143	безсмислен
meanness	0.102	0.694	0.368	подлост
means	0.615	0.373	0.460	означава
meantime	0.432	0.222	0.300	междувременно
measles	0.092	0.635	0.422	дребна шарка
measurable	0.604	0.410	0.602	измерими
measure	0.510	0.375	0.365	мярка
measured	0.542	0.265	0.578	измерено
measurement	0.622	0.418	0.491	измерване
measuring	0.448	0.337	0.529	измерване
measuring cup	0.557	0.343	0.377	мерителна чашка
measuring tape	0.337	0.280	0.327	ролетка
meat	0.612	0.421	0.413	месо
meatball	0.612	0.279	0.343	кюфте
meathead	0.306	0.534	0.490	меша глава
meatloaf	0.625	0.389	0.375	кюфте
mechanic	0.571	0.433	0.566	механик
mechanical	0.479	0.569	0.564	механичен
mechanics	0.542	0.500	0.761	механика
mechanism	0.573	0.583	0.664	механизъм
med	0.375	0.429	0.606	мед
medal	0.854	0.555	0.746	медал
medallion	0.750	0.510	0.710	медальон
medallist	0.796	0.821	0.897	медалист
meddle	0.302	0.770	0.526	намесвам се
meddling	0.245	0.600	0.461	намесване
media	0.500	0.330	0.464	медии
medial	0.458	0.340	0.429	медиален
median	0.459	0.216	0.375	Медиана
mediate	0.635	0.308	0.654	посредничат
mediation	0.661	0.350	0.657	посредничество
mediator	0.592	0.438	0.580	посредник
medic	0.500	0.472	0.585	медик
medical	0.583	0.373	0.616	медицински
