English Word	Valence	Arousal	Dominance	Estonian Word
incidence	0.417	0.527	0.429	esinemissagedus
incident	0.084	0.662	0.482	intsident
incidental	0.281	0.610	0.404	juhuslik
incidentally	0.479	0.500	0.500	muide
incineration	0.229	0.787	0.470	põletamine
incinerator	0.250	0.643	0.591	põletusahi
incipient	0.442	0.382	0.430	algav
incision	0.240	0.663	0.558	sisselõige
incisive	0.380	0.602	0.545	teravmeelne
incite	0.449	0.736	0.642	õhutama
incitement	0.302	0.943	0.598	õhutamine
inclement	0.260	0.676	0.616	halb
inclination	0.378	0.490	0.538	kalle
incline	0.490	0.423	0.345	kalle
inclined	0.469	0.347	0.402	kaldu
include	0.729	0.449	0.702	sisaldama
included	0.760	0.402	0.570	kaasatud
including	0.700	0.378	0.518	kaasa arvatud
inclusion	0.774	0.404	0.712	kaasamine
inclusive	0.604	0.420	0.564	kaasa arvatud
incognito	0.610	0.490	0.446	inkognito
incoherent	0.122	0.612	0.250	ebaühtlane
income	0.750	0.510	0.728	tulu
incoming	0.660	0.509	0.596	sissetulevad
incomparable	0.625	0.577	0.670	võrreldamatu
incompatible	0.196	0.500	0.310	Sobimatu
incompetence	0.077	0.551	0.208	ebakompetentsus
incompetent	0.133	0.566	0.239	ebakompetentne
incomplete	0.153	0.370	0.205	mittetäielik
incompletely	0.344	0.442	0.232	mittetäielikult
incompleteness	0.271	0.451	0.234	ebatäielikkus
incomprehensible	0.250	0.550	0.344	arusaamatu
inconceivable	0.198	0.552	0.561	mõeldamatu
inconclusive	0.153	0.442	0.340	ebaselge
incongruous	0.177	0.504	0.343	kokkusobimatu
inconsequential	0.250	0.480	0.345	ebaoluline
inconsiderate	0.224	0.519	0.423	hoolimatu
inconsistency	0.125	0.480	0.314	ebakõla
inconsistent	0.271	0.431	0.295	ebajärjekindel
inconspicuous	0.604	0.214	0.368	silmapaistmatu
incontinence	0.150	0.598	0.272	uriinipidamatus
inconvenience	0.063	0.667	0.291	ebamugavust
inconvenient	0.224	0.610	0.375	ebamugav
incorporate	0.745	0.612	0.571	kaasata
incorporation	0.573	0.404	0.768	inkorporeerimine
incorrect	0.140	0.569	0.255	vale
incorrigible	0.130	0.667	0.500	parandamatu
increase	0.810	0.657	0.886	suurendama
increased	0.684	0.660	0.773	suurenenud
incredible	0.857	0.796	0.902	uskumatu
incredulous	0.286	0.510	0.269	uskmatu
increment	0.684	0.637	0.750	juurdekasv
incriminate	0.188	0.810	0.416	süüdistama
incriminating	0.133	0.788	0.500	süüdistav
incrimination	0.152	0.865	0.545	inkrimineerimine
incubation	0.461	0.490	0.397	inkubeerimine
incubator	0.510	0.435	0.405	inkubaator
incubus	0.458	0.529	0.482	inkubus
incumbent	0.396	0.540	0.565	ametis olev
incur	0.312	0.667	0.495	tekkima
incurable	0.104	0.667	0.255	ravimatu
incursion	0.552	0.830	0.719	sissetung
indebted	0.138	0.698	0.275	võlgu
indecency	0.135	0.670	0.491	sündsusetust
indecent	0.083	0.683	0.240	sündsusetu
indecision	0.184	0.480	0.196	otsustamatus
indecisive	0.271	0.420	0.190	otsustusvõimetu
indefensible	0.173	0.647	0.484	kaitseta
indefinite	0.448	0.292	0.296	tähtajatu
indelible	0.490	0.337	0.591	kustumatu
indemnification	0.521	0.490	0.770	hüvitamine
indemnify	0.449	0.548	0.613	hüvitama
indemnity	0.470	0.607	0.692	hüvitis
indent	0.479	0.346	0.379	taane
indentation	0.374	0.500	0.349	taane
indenture	0.434	0.382	0.636	sissekanne
independence	0.896	0.663	0.911	iseseisvus
independent	0.885	0.440	0.872	sõltumatu
indescribable	0.448	0.529	0.648	kirjeldamatu
indestructible	0.772	0.731	0.853	hävimatu
indeterminate	0.360	0.402	0.322	määramatu
index	0.448	0.268	0.342	indeks
indicate	0.594	0.350	0.676	näidata
indicating	0.745	0.339	0.555	osutades
indication	0.719	0.432	0.750	näidustus
indicative	0.510	0.510	0.591	soovituslik
indicator	0.573	0.451	0.670	indikaator
indice	0.469	0.377	0.541	indeks
indict	0.188	0.731	0.458	süüdistama
indictment	0.245	0.745	0.577	süüdistus
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	ükskõiksus
indifferent	0.396	0.157	0.250	ükskõikne
indigenous	0.500	0.509	0.552	põlisrahvad
indigent	0.156	0.481	0.223	vähekindlustatud
indigestion	0.204	0.610	0.182	seedehäired
indignant	0.260	0.600	0.423	nördinud
indignation	0.173	0.778	0.431	nördimust
indignity	0.167	0.500	0.306	nördimus
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	kaudne
indiscreet	0.177	0.587	0.342	diskreetne
indiscretion	0.265	0.637	0.390	diskreetsus
indispensable	0.710	0.449	0.802	asendamatu
indisposed	0.122	0.519	0.206	halb enesetunne
indistinct	0.255	0.340	0.360	ebaselge
indistinguishable	0.346	0.458	0.548	eristamatu
individual	0.627	0.327	0.533	individuaalne
individuality	0.612	0.469	0.527	individuaalsus
indivisible	0.646	0.398	0.580	jagamatu
indoctrination	0.327	0.657	0.698	indoktrineerimine
indolent	0.177	0.381	0.259	laisk
indomitable	0.458	0.800	0.830	alistamatu
indoor	0.615	0.245	0.347	siseruumides
induce	0.257	0.606	0.684	esile kutsuda
induced	0.397	0.471	0.491	indutseeritud
inducement	0.647	0.765	0.685	ergutus
induction	0.392	0.593	0.627	induktsioon
indulge	0.833	0.716	0.669	anduma
indulgence	0.479	0.490	0.517	järeleandlikkus
indulgent	0.560	0.481	0.529	järeleandlik
industrial	0.469	0.600	0.875	tööstuslik
industrialist	0.562	0.633	0.843	tööstur
industrious	0.720	0.537	0.791	töökas
industry	0.650	0.447	0.836	tööstusele
ineffable	0.551	0.577	0.585	sõnastamatu
ineffective	0.093	0.422	0.094	ebaefektiivne
ineffectual	0.163	0.412	0.200	ebaefektiivne
inefficiency	0.092	0.466	0.181	ebaefektiivsus
inefficient	0.190	0.460	0.173	ebaefektiivne
inelastic	0.396	0.426	0.385	mitteelastne
ineligible	0.143	0.377	0.457	abikõlbmatu
inept	0.156	0.418	0.209	saamatu
ineptitude	0.177	0.471	0.250	saamatus
inequality	0.122	0.575	0.259	ebavõrdsus
inequitable	0.281	0.519	0.373	ebaõiglane
inert	0.323	0.180	0.319	inertne
inertia	0.344	0.288	0.322	inerts
inevitable	0.316	0.419	0.623	vältimatu
inexact	0.153	0.459	0.170	ebatäpne
inexcusable	0.271	0.582	0.546	vabandamatu
inexhaustible	0.602	0.541	0.643	ammendamatu
inexpensive	0.694	0.414	0.260	odav
inexperience	0.208	0.614	0.151	kogenematus
inexperienced	0.281	0.473	0.231	kogenematu
inexplicable	0.224	0.635	0.443	seletamatu
inexpressible	0.198	0.608	0.364	väljendamatu
infallibility	0.583	0.663	0.764	eksimatus
infallible	0.776	0.687	0.809	eksimatu
infamous	0.146	0.580	0.472	kurikuulus
infamy	0.177	0.676	0.421	kurikuulsus
infancy	0.750	0.399	0.370	imikueas
infant	0.802	0.431	0.328	imik
infanticide	0.167	0.856	0.443	lapsetapp
infantile	0.604	0.382	0.259	infantiilne
infantry	0.531	0.684	0.791	jalavägi
infarct	0.080	0.846	0.386	infarkt
infatuated	0.729	0.764	0.417	armunud
infatuation	0.844	0.745	0.530	armumine
infeasible	0.245	0.472	0.236	teostamatu
infect	0.102	0.777	0.424	nakatada
infection	0.083	0.735	0.407	infektsioon
infectious	0.142	0.760	0.422	nakkav
infer	0.449	0.490	0.453	järeldada
inference	0.359	0.479	0.398	järeldus
inferential	0.426	0.451	0.455	järelduslik
inferior	0.260	0.254	0.106	kehvem
inferiority	0.177	0.430	0.205	alaväärsus
infernal	0.083	0.837	0.571	põrgulik
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	viljatu
infertility	0.170	0.664	0.328	viljatus
infestation	0.256	0.776	0.527	nakatumine
infidel	0.177	0.740	0.404	uskmatu
infidelity	0.062	0.777	0.392	truudusetus
infield	0.510	0.571	0.438	sisepõld
infiltrate	0.408	0.745	0.587	infiltreeruma
infiltration	0.265	0.792	0.536	infiltratsioon
infinite	0.724	0.583	0.735	lõpmatu
infinitely	0.688	0.643	0.829	lõputult
infinitesimal	0.388	0.472	0.496	lõpmatult väike
infinity	0.516	0.459	0.805	lõpmatus
infirm	0.115	0.521	0.210	nõrk
infirmary	0.500	0.438	0.517	haigemaja
infirmity	0.094	0.482	0.252	nõrkus
inflammation	0.146	0.765	0.423	põletik
inflammatory	0.177	0.642	0.404	põletikuline
inflatable	0.510	0.510	0.400	täispuhutavad
inflate	0.305	0.569	0.462	paisuma
inflated	0.303	0.431	0.617	täispuhutud
inflation	0.219	0.792	0.508	inflatsiooni
inflection	0.385	0.635	0.377	kääne
inflict	0.167	0.760	0.609	tekitama
infliction	0.302	0.722	0.571	tekitamine
inflorescence	0.459	0.344	0.412	õisik
influence	0.622	0.663	0.824	mõju
influential	0.899	0.688	0.944	mõjukas
influenza	0.271	0.718	0.321	gripp
influx	0.622	0.635	0.575	sissevool
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	inforeklaam
inform	0.723	0.582	0.679	teavitama
informal	0.480	0.398	0.441	mitteametlik
informant	0.604	0.612	0.719	informaator
information	0.765	0.370	0.711	teavet
informative	0.812	0.419	0.741	informatiivne
informed	0.543	0.298	0.617	teavitatud
informer	0.521	0.578	0.580	informaator
infraction	0.245	0.660	0.471	rikkumine
infrared	0.469	0.588	0.526	infrapuna
infrastructure	0.604	0.460	0.694	infrastruktuuri
infrequent	0.312	0.377	0.192	harva
infrequently	0.204	0.250	0.327	harva
infringement	0.153	0.800	0.481	rikkumine
infuriate	0.102	0.934	0.596	vihastada
infuriated	0.073	0.930	0.510	raevunud
infuriates	0.135	0.913	0.627	ajab vihale
infuriating	0.139	0.870	0.509	vihastav
infuse	0.380	0.705	0.589	infundeerida
infused	0.385	0.473	0.546	infundeeritud
infuser	0.469	0.433	0.536	infusiooniseade
infusion	0.583	0.365	0.453	infusioon
ingenious	0.760	0.690	0.891	geniaalne
ingenuity	0.708	0.590	0.868	leidlikkus
ingest	0.510	0.559	0.473	alla neelata
ingestion	0.429	0.612	0.512	allaneelamine
ingot	0.688	0.444	0.615	valuplokk
ingrained	0.531	0.490	0.712	juurdunud
ingrate	0.235	0.606	0.327	hindama
ingredient	0.792	0.373	0.451	koostisosa
ingress	0.601	0.366	0.736	sissepääs
inhabit	0.656	0.378	0.556	elama
inhabitant	0.604	0.356	0.519	elanik
inhabited	0.667	0.361	0.510	asustatud
inhabiting	0.458	0.440	0.598	asustamine
inhalation	0.510	0.613	0.464	sissehingamine
inhale	0.427	0.340	0.492	sisse hingata
inhaler	0.408	0.500	0.349	inhalaator
inherent	0.562	0.439	0.480	omane
inherit	0.745	0.546	0.694	pärida
inheritance	0.900	0.565	0.798	pärand
inhibit	0.167	0.479	0.447	pärssida
inhibition	0.265	0.392	0.534	pärssimine
inhibitor	0.281	0.450	0.471	inhibiitor
inhospitable	0.265	0.531	0.395	külalislahke
inhuman	0.107	0.660	0.492	ebainimlik
inhumane	0.104	0.587	0.402	ebainimlik
inhumanity	0.143	0.540	0.405	ebainimlikkus
inimaginable	0.542	0.636	0.534	kujuteldamatu
inimical	0.260	0.823	0.556	vaenulik
inimitable	0.571	0.413	0.790	jäljendamatu
iniquity	0.219	0.567	0.425	ülekohus
initial	0.583	0.314	0.539	esialgne
initiate	0.719	0.480	0.553	algatada
initiated	0.760	0.490	0.650	algatatud
initiation	0.698	0.529	0.527	algatus
initiative	0.833	0.615	0.768	algatus
inject	0.406	0.735	0.596	süstida
injection	0.281	0.741	0.518	süstimine
injunction	0.281	0.422	0.519	ettekirjutus
injure	0.177	0.710	0.364	vigastada
injured	0.083	0.680	0.302	vigastatud
injuring	0.073	0.790	0.245	vigastav
injurious	0.177	0.759	0.366	kahjustav
injury	0.049	0.769	0.287	vigastus
injustice	0.082	0.755	0.444	ebaõiglus
ink	0.471	0.408	0.235	tint
inkling	0.448	0.551	0.570	aimamine
inland	0.510	0.417	0.423	sisemaa
inlay	0.406	0.531	0.565	inkrusteering
inlet	0.646	0.378	0.466	sisselaskeava
inmate	0.235	0.663	0.398	kinnipeetav
inn	0.660	0.284	0.475	kõrts
innards	0.302	0.480	0.400	sisikond
innate	0.490	0.400	0.521	kaasasündinud
inner	0.551	0.216	0.443	sisemine
innermost	0.583	0.500	0.510	sisimas
innerpeace	0.714	0.318	0.551	sisemine rahu
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	inning
innkeeper	0.578	0.224	0.472	kõrtsmik
innocence	0.802	0.260	0.307	süütust
innocent	0.729	0.206	0.340	süütu
innocently	0.776	0.250	0.302	süütult
innocuous	0.510	0.321	0.172	kahjutu
innovate	0.898	0.872	0.750	uuendada
innovation	0.949	0.680	0.890	uuenduslikkust
innovative	0.880	0.640	0.830	uuenduslik
innuendo	0.467	0.670	0.463	vihje
innumerable	0.667	0.445	0.704	lugematu arv
inoculation	0.333	0.570	0.598	nakatamine
inoperable	0.184	0.422	0.304	kasutuskõlbmatu
inoperative	0.138	0.425	0.273	mittetoimiv
inordinate	0.163	0.630	0.330	ülemäärane
inorganic	0.385	0.345	0.282	anorgaaniline
input	0.643	0.337	0.527	sisend
inquest	0.458	0.569	0.721	uurimine
inquire	0.583	0.519	0.363	uurima
inquirer	0.573	0.598	0.776	küsija
inquiring	0.479	0.510	0.500	uurides
inquiry	0.541	0.420	0.536	päring
inquisitive	0.301	0.637	0.615	uudishimulik
inquisitor	0.385	0.873	0.642	inkvisiitor
insane	0.062	0.670	0.265	hull
insanity	0.098	0.847	0.337	hullumeelsus
insatiable	0.375	0.656	0.558	täitmatu
inscription	0.592	0.422	0.542	pealdis
inscrutable	0.459	0.541	0.613	uurimatu
insect	0.276	0.633	0.242	putukas
insecticide	0.188	0.598	0.430	insektitsiid
insecure	0.114	0.538	0.132	ebakindel
insecurity	0.094	0.647	0.350	ebakindlus
insemination	0.542	0.644	0.622	seemendamine
insensitive	0.219	0.471	0.302	tundetu
inseparable	0.700	0.520	0.571	lahutamatu
insert	0.481	0.552	0.519	sisestada
inserted	0.479	0.402	0.476	sisestatud
insertion	0.521	0.520	0.565	sisestamine
inside	0.612	0.404	0.472	sees
insider	0.625	0.562	0.750	sisering
insidious	0.146	0.622	0.480	salakaval
insight	0.613	0.363	0.649	arusaam
insightful	0.664	0.691	0.713	läbinägelik
insignia	0.665	0.282	0.685	sümboolika
insignificance	0.250	0.216	0.222	tähtsusetus
insignificant	0.083	0.306	0.114	tähtsusetu
insinuate	0.292	0.635	0.413	vihjata
insipid	0.214	0.250	0.241	maitsetu
insist	0.635	0.651	0.688	nõudma
insistence	0.418	0.704	0.645	nõudmine
insistent	0.552	0.635	0.701	nõudlik
insists	0.490	0.587	0.610	nõuab
insolence	0.115	0.731	0.402	jultumus
insolent	0.112	0.663	0.343	jultunud
insoluble	0.439	0.290	0.414	lahustumatu
insolvency	0.323	0.431	0.300	maksejõuetus
insolvent	0.230	0.481	0.318	maksejõuetu
insomnia	0.198	0.611	0.373	unetus
insomniac	0.231	0.367	0.329	unetus
inspect	0.479	0.603	0.793	üle vaadata
inspection	0.459	0.630	0.718	ülevaatus
inspector	0.418	0.580	0.852	inspektor
inspiration	0.938	0.600	0.779	inspiratsiooni
inspirational	0.927	0.720	0.810	inspireeriv
inspire	0.918	0.627	0.759	inspireerima
inspired	0.967	0.702	0.736	inspireeritud
instability	0.177	0.760	0.353	ebastabiilsus
install	0.630	0.583	0.736	installida
installation	0.656	0.469	0.759	paigaldus
installment	0.619	0.396	0.483	järelmaks
instance	0.547	0.450	0.558	näiteks
instant	0.766	0.454	0.554	vahetu
instantaneous	0.750	0.500	0.585	hetkeline
instantaneously	0.656	0.640	0.600	silmapilkselt
instigate	0.278	0.765	0.642	õhutama
instigation	0.323	0.769	0.648	õhutus
instill	0.562	0.490	0.618	sisendama
instinct	0.771	0.602	0.642	instinkt
instinctive	0.752	0.575	0.694	instinktiivne
institute	0.604	0.480	0.807	instituut
institution	0.580	0.311	0.790	institutsioon
instruct	0.729	0.490	0.833	juhendama
instructed	0.740	0.388	0.722	juhendatud
instruction	0.656	0.434	0.736	juhendamine
instructional	0.698	0.500	0.773	õpetlik
instructions	0.582	0.302	0.556	juhiseid
instructive	0.583	0.420	0.643	õpetlik
instructor	0.771	0.490	0.782	juhendaja
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumentaalne
instrumentalist	0.656	0.540	0.740	instrumentalist
instrumentality	0.637	0.510	0.618	instrumentaalsus
insubordination	0.281	0.775	0.634	allumatus
insufferable	0.220	0.784	0.291	talumatu
insufficiency	0.115	0.431	0.210	puudulikkus
insufficient	0.188	0.380	0.093	ebapiisav
insufficiently	0.147	0.509	0.198	ebapiisavalt
insular	0.531	0.426	0.465	saareline
insulate	0.365	0.358	0.286	isoleerida
insulated	0.208	0.265	0.304	isoleeritud
insulation	0.245	0.327	0.264	isolatsioon
insulin	0.429	0.472	0.375	insuliini
insult	0.085	0.831	0.389	solvang
insulting	0.094	0.840	0.412	solvav
insurance	0.714	0.308	0.825	kindlustus
insure	0.700	0.415	0.698	kindlustama
insurgent	0.235	0.735	0.660	mässuline
insurmountable	0.620	0.627	0.737	ületamatu
insurrection	0.229	0.706	0.582	ülestõus
intact	0.716	0.212	0.602	terved
intake	0.604	0.527	0.442	sissevõtt
intangible	0.525	0.480	0.473	immateriaalne
integer	0.573	0.327	0.595	täisarv
integral	0.590	0.337	0.615	lahutamatu
integrate	0.729	0.390	0.700	integreerida
integration	0.771	0.480	0.737	integratsiooni
integrity	0.865	0.413	0.848	terviklikkus
intellect	0.844	0.418	0.870	intellekt
intellectual	0.906	0.455	0.845	intellektuaalne
intelligence	0.833	0.587	0.885	intelligentsus
intelligent	0.917	0.541	0.868	intelligentne
intelligibility	0.740	0.481	0.689	arusaadavus
intelligible	0.635	0.480	0.691	arusaadav
intend	0.562	0.520	0.519	kavatsema
intended	0.406	0.542	0.587	mõeldud
intending	0.510	0.567	0.597	kavatsevad
intense	0.592	0.774	0.679	intensiivne
intensely	0.694	0.846	0.750	intensiivselt
intensify	0.604	0.870	0.737	intensiivistada
intensity	0.622	0.930	0.952	intensiivsusega
intensive	0.570	0.842	0.776	intensiivne
intent	0.550	0.481	0.500	kavatsus
intention	0.531	0.480	0.636	kavatsus
intentional	0.650	0.615	0.750	tahtlik
intentionally	0.450	0.676	0.696	tahtlikult
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	suhelda
interaction	0.646	0.735	0.750	interaktsiooni
interactive	0.727	0.811	0.770	interaktiivne
intercede	0.582	0.577	0.630	eestkostma
intercept	0.221	0.660	0.676	pealtkuulamine
interception	0.327	0.673	0.643	pealtkuulamine
intercession	0.503	0.486	0.598	eestpalve
interchange	0.615	0.527	0.565	vahetus
interchangeable	0.615	0.459	0.526	vahetatavad
interchanged	0.396	0.472	0.434	vahetatud
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	vahekorda
interdependence	0.608	0.618	0.639	vastastikune sõltuvus
interdependent	0.410	0.482	0.598	vastastikku sõltuvad
interdiction	0.337	0.500	0.585	keelamine
interest	0.780	0.667	0.618	huvi
interested	0.750	0.529	0.725	huvitatud
interesting	0.927	0.726	0.731	huvitav
interface	0.643	0.357	0.600	liides
interfere	0.323	0.714	0.471	segada
interference	0.396	0.736	0.357	sekkumine
interferometer	0.510	0.510	0.517	interferomeeter
intergalactic	0.562	0.661	0.741	galaktikatevaheline
interim	0.604	0.400	0.524	vahepealne
interior	0.618	0.157	0.462	interjöör
interject	0.333	0.648	0.658	sekkuda
interlocutory	0.490	0.500	0.527	vahepealne
interlude	0.470	0.417	0.377	vahepala
intermediary	0.427	0.510	0.643	vahendaja
intermediate	0.480	0.368	0.400	vahepealne
interment	0.235	0.608	0.346	interment
interminable	0.327	0.481	0.561	lõputu
intermission	0.490	0.360	0.402	vaheaeg
intermittent	0.337	0.565	0.436	katkendlik
intern	0.459	0.460	0.392	intern
internal	0.439	0.349	0.423	sisemine
internally	0.615	0.400	0.616	sisemiselt
international	0.800	0.519	0.702	rahvusvaheline
internet	0.760	0.462	0.755	internet
internship	0.590	0.510	0.482	praktika
interoffice	0.439	0.375	0.556	büroodevaheline
interpolate	0.460	0.490	0.569	interpoleerida
interpolation	0.419	0.506	0.528	interpoleerimine
interpret	0.646	0.625	0.673	tõlgendada
interpretation	0.677	0.594	0.620	tõlgendus
interpreter	0.708	0.461	0.596	tõlk
interpretive	0.531	0.549	0.595	tõlgendav
interrelated	0.615	0.469	0.592	omavahel seotud
interrogate	0.323	0.808	0.680	üle kuulama
interrogation	0.302	0.827	0.657	ülekuulamine
interrupt	0.210	0.635	0.509	vahele segama
interrupted	0.281	0.559	0.333	katkestatud
interrupting	0.146	0.593	0.509	katkestades
interruption	0.184	0.632	0.425	katkestus
interrupts	0.204	0.545	0.389	katkestab
intersect	0.521	0.510	0.480	ristuvad
intersection	0.344	0.541	0.658	ristmik
interstate	0.520	0.443	0.600	riikidevaheline
interstellar	0.708	0.702	0.622	tähtedevaheline
interstitial	0.333	0.471	0.534	vaheleht
interval	0.510	0.284	0.400	intervall
intervene	0.520	0.677	0.768	vahele segama
intervening	0.398	0.627	0.442	sekkudes
intervention	0.388	0.696	0.689	sekkumine
interview	0.573	0.770	0.619	intervjuu
interviewer	0.552	0.736	0.816	intervjueerija
interworking	0.552	0.587	0.691	koostoimimine
intestate	0.459	0.467	0.415	testamendita
intestinal	0.357	0.531	0.370	soolestiku
intestine	0.343	0.450	0.380	soolestikku
intestines	0.292	0.547	0.398	sooled
intimacy	0.857	0.802	0.558	intiimsus
intimate	0.724	0.598	0.393	intiimne
intimately	0.806	0.573	0.590	intiimselt
intimation	0.406	0.673	0.500	vihje
intimidate	0.210	0.804	0.632	hirmutama
intimidated	0.177	0.663	0.208	hirmutatud
intimidating	0.229	0.790	0.708	hirmutav
intimidation	0.177	0.791	0.644	hirmutamine
intolerable	0.146	0.660	0.439	talumatu
intolerance	0.052	0.704	0.520	sallimatus
intolerant	0.135	0.676	0.509	sallimatu
intonation	0.615	0.442	0.598	intonatsioon
intoxicated	0.079	0.824	0.246	joobes
intoxicating	0.224	0.760	0.464	joovastav
intoxication	0.323	0.710	0.400	joove
intracranial	0.281	0.602	0.553	intrakraniaalne
intractable	0.154	0.694	0.302	lahendamatu
intramural	0.490	0.464	0.447	intramuraalne
intravenous	0.357	0.538	0.458	intravenoosne
intrepid	0.753	0.696	0.637	kartmatu
intricate	0.559	0.704	0.500	keerukas
intrigue	0.362	0.830	0.327	intriig
intriguing	0.422	0.713	0.462	intrigeeriv
intrinsic	0.406	0.471	0.526	olemuslik
intrinsically	0.459	0.382	0.538	olemuslikult
intro	0.510	0.331	0.657	sissejuhatus
introduce	0.592	0.559	0.648	tutvustada
introduction	0.612	0.413	0.640	sissejuhatus
introductory	0.635	0.368	0.593	sissejuhatav
introspection	0.603	0.337	0.575	sisekaemus
introspective	0.552	0.360	0.471	sisekaemuslik
intrude	0.058	0.735	0.480	sisse tungida
intruder	0.146	0.740	0.324	sissetungija
intrusion	0.293	0.641	0.670	sissetung
intrusive	0.461	0.607	0.538	pealetükkiv
intubation	0.276	0.598	0.526	intubatsioon
intuition	0.857	0.508	0.602	intuitsioon
intuitive	0.771	0.573	0.690	intuitiivne
intuitively	0.670	0.561	0.648	intuitiivselt
inundation	0.177	0.780	0.455	üleujutus
invade	0.408	0.892	0.714	vallutama
invader	0.200	0.827	0.618	sissetungija
invalid	0.180	0.330	0.255	kehtetu
invalidate	0.315	0.480	0.397	kehtetuks tunnistada
invalidation	0.181	0.490	0.278	kehtetuks tunnistamine
invalidity	0.186	0.394	0.158	invaliidsus
invaluable	0.740	0.500	0.745	hindamatu
invariably	0.458	0.365	0.550	muutumatult
invasion	0.271	0.843	0.808	invasioon
invasive	0.194	0.730	0.598	invasiivne
invent	0.719	0.689	0.833	leiutada
invention	0.714	0.577	0.811	leiutis
inventive	0.780	0.627	0.721	leidlik
inventor	0.781	0.667	0.847	leiutaja
inventory	0.594	0.463	0.490	inventar
inverse	0.459	0.337	0.319	vastupidine
inversely	0.286	0.418	0.351	vastupidiselt
inversion	0.602	0.630	0.772	inversioon
invert	0.510	0.585	0.706	tagurpidi
inverted	0.310	0.471	0.357	tagurpidi
invest	0.650	0.663	0.682	investeerida
investigate	0.640	0.500	0.781	uurima
investigation	0.531	0.592	0.820	uurimine
investigative	0.562	0.600	0.704	uuriv
investigator	0.615	0.509	0.779	uurija
investment	0.720	0.592	0.745	investeering
investor	0.794	0.655	0.791	investor
invidious	0.112	0.650	0.364	pahatahtlik
invigorate	0.821	0.798	0.831	kosutama
invincible	0.867	0.853	0.914	võitmatu
invisibility	0.438	0.461	0.382	nähtamatus
invisible	0.417	0.345	0.412	nähtamatuks
invitation	0.802	0.549	0.647	kutse
invite	0.745	0.655	0.611	kutsuda
inviting	0.938	0.571	0.538	kutsuv
invocation	0.430	0.620	0.673	kutsumine
invoice	0.480	0.380	0.474	arve
invoke	0.583	0.740	0.579	kutsuda
involuntary	0.354	0.490	0.231	tahtmatu
involution	0.296	0.420	0.407	involutsioon
involve	0.694	0.490	0.728	kaasama
involvement	0.760	0.620	0.696	kaasamine
invulnerable	0.552	0.683	0.745	haavamatu
inwards	0.490	0.385	0.438	sissepoole
iodine	0.390	0.265	0.333	jood
ion	0.429	0.330	0.408	ioon
iota	0.344	0.385	0.314	ioota
irate	0.188	0.852	0.474	vihane
ire	0.198	0.740	0.575	vihane
iridescent	0.602	0.588	0.539	sillerdav
iris	0.708	0.275	0.380	iiris
irked	0.164	0.791	0.353	ärritunud
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	raud
ironclad	0.561	0.648	0.679	raudne
ironic	0.435	0.550	0.500	irooniline
irons	0.531	0.441	0.625	triikrauad
irony	0.390	0.587	0.508	iroonia
irradiation	0.385	0.736	0.509	kiiritamine
irrational	0.125	0.648	0.394	irratsionaalne
irrationality	0.198	0.735	0.361	irratsionaalsus
irreconcilable	0.146	0.667	0.375	lepitamatu
irreducible	0.296	0.455	0.569	taandamatu
irrefutable	0.496	0.549	0.716	ümberlükkamatu
irregular	0.312	0.548	0.321	ebaregulaarne
irregularity	0.104	0.647	0.306	ebakorrapärasus
irregularly	0.292	0.565	0.397	ebaregulaarselt
irrelevant	0.138	0.311	0.296	ebaoluline
irreparable	0.061	0.530	0.430	parandamatu
irreplaceable	0.479	0.580	0.833	asendamatu
irrepressible	0.512	0.566	0.745	pöördumatu
irresistible	0.823	0.833	0.839	vastupandamatu
irrespective	0.497	0.538	0.745	olenemata
irresponsible	0.177	0.680	0.241	vastutustundetu
irreverent	0.191	0.694	0.634	lugupidamatu
irreversible	0.170	0.541	0.667	pöördumatu
irrevocable	0.296	0.560	0.712	tagasivõtmatu
irrigate	0.272	0.458	0.490	kastma
irrigation	0.259	0.426	0.426	niisutamine
irritability	0.146	0.853	0.283	ärrituvus
irritable	0.112	0.952	0.462	ärrituv
irritate	0.167	0.890	0.368	ärritada
irritated	0.210	0.816	0.281	ärritunud
irritates	0.173	0.810	0.295	ärritab
irritating	0.104	0.912	0.393	ärritav
irritation	0.073	0.833	0.496	ärritus
island	0.745	0.347	0.432	saar
isle	0.667	0.390	0.443	saar
islet	0.612	0.314	0.367	saareke
isolate	0.235	0.422	0.336	isoleerida
isolated	0.221	0.356	0.255	isoleeritud
isolation	0.198	0.338	0.339	isolatsioon
isomorphism	0.448	0.361	0.481	isomorfism
isothermal	0.459	0.491	0.500	isotermiline
isotope	0.429	0.404	0.407	isotoop
issue	0.316	0.819	0.351	probleem
itch	0.319	0.610	0.465	sügelema
itching	0.208	0.690	0.300	kihelus
itchy	0.334	0.726	0.296	sügelev
