English Word	Valence	Arousal	Dominance	Mongolian Word
one	0.542	0.292	0.370	нэг
oneday	0.667	0.245	0.374	нэг өдөр
onedge	0.479	0.552	0.400	onedge
onelove	0.816	0.577	0.541	нэг хайр
oneness	0.745	0.272	0.720	нэгдэл
onerous	0.500	0.480	0.462	хүнд хэцүү
oneself	0.660	0.337	0.483	өөрөө
ongoing	0.674	0.484	0.556	үргэлжилж байна
onion	0.378	0.367	0.382	сонгино
onset	0.673	0.497	0.500	эхлэл
onslaught	0.198	0.939	0.717	дайралт
onstage	0.719	0.673	0.583	тайзан дээр
ontology	0.510	0.450	0.518	онтологи
onus	0.562	0.520	0.769	хариуцлага
onward	0.667	0.538	0.741	цааш
onyx	0.571	0.461	0.380	оникс
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	өө
ooze	0.344	0.577	0.333	гоожих
oozing	0.238	0.515	0.427	гоожих
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	тунгалаг байдал
opal	0.623	0.479	0.379	опал
opaque	0.344	0.265	0.342	тунгалаг
ope	0.375	0.380	0.395	нээх
open	0.620	0.480	0.569	нээлттэй
opener	0.584	0.526	0.377	онгойлгогч
opening	0.667	0.510	0.620	нээх
openly	0.603	0.388	0.553	нээлттэй
openness	0.837	0.561	0.667	нээлттэй байдал
opera	0.714	0.500	0.483	дуурь
operate	0.582	0.690	0.691	ажиллуулах
operatic	0.375	0.452	0.627	дуурийн
operation	0.475	0.611	0.755	үйл ажиллагаа
operational	0.562	0.570	0.679	ажиллагаатай
operations	0.480	0.549	0.798	үйл ажиллагаа
operative	0.541	0.635	0.718	шуурхай
operator	0.612	0.630	0.726	оператор
ophthalmic	0.427	0.385	0.444	нүдний
ophthalmologist	0.552	0.389	0.491	нүдний эмч
opiate	0.281	0.594	0.598	опиат
opinion	0.594	0.482	0.638	үзэл бодол
opinionated	0.156	0.800	0.491	үзэл бодолтой
opium	0.276	0.490	0.333	опиум
opponent	0.080	0.741	0.716	өрсөлдөгч
opportune	0.796	0.538	0.767	боломжийн
opportunism	0.571	0.752	0.673	оппортунизм
opportunity	0.938	0.745	0.833	боломж
oppose	0.431	0.800	0.473	эсэргүүцэх
opposed	0.092	0.460	0.606	эсэргүүцсэн
opposing	0.188	0.660	0.518	эсэргүүцэж байна
opposite	0.235	0.545	0.408	эсрэг
opposites	0.281	0.518	0.462	эсрэг талууд
opposition	0.135	0.729	0.592	сөрөг хүчин
oppress	0.186	0.654	0.555	дарамтлах
oppressed	0.119	0.640	0.259	дарлагдсан
oppression	0.080	0.673	0.615	дарангуйлал
oppressive	0.276	0.590	0.667	дарангуйлагч
oppressor	0.160	0.776	0.629	дарангуйлагч
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	сонголт
optic	0.663	0.384	0.594	оптик
optical	0.677	0.311	0.542	оптик
optics	0.562	0.286	0.580	оптик
optimism	0.949	0.565	0.814	өөдрөг үзэл
optimist	0.875	0.539	0.787	өөдрөг үзэлтэн
optimistic	0.979	0.580	0.821	өөдрөг үзэлтэй
optimum	0.892	0.469	0.808	оновчтой
option	0.512	0.427	0.359	сонголт
optional	0.755	0.350	0.440	сонголттой
optionally	0.365	0.405	0.481	сонголтоор
options	0.622	0.327	0.473	сонголтууд
optometrist	0.446	0.455	0.668	нүдний эмч
opulence	0.620	0.615	0.648	баялаг
opulent	0.562	0.660	0.660	баян
opus	0.458	0.368	0.391	зохиол
oracle	0.552	0.531	0.670	oracle
oral	0.530	0.448	0.375	аман
orange	0.646	0.132	0.296	жүрж
orange juice	0.719	0.343	0.445	жүржийн шүүс
orangutan	0.430	0.560	0.471	орангутан
oration	0.646	0.315	0.683	илтгэл
orator	0.667	0.375	0.682	илтгэгч
oratory	0.602	0.472	0.693	уран илтгэл
orb	0.463	0.370	0.444	бөмбөрцөг
orbit	0.561	0.422	0.575	тойрог зам
orbital	0.458	0.451	0.559	тойрог зам
orbiting	0.520	0.643	0.554	тойрог замд
orbs	0.469	0.355	0.482	бөмбөрцөг
orc	0.240	0.510	0.388	орк
orchard	0.760	0.269	0.333	жимсний цэцэрлэг
orchestra	0.708	0.500	0.664	найрал хөгжим
orchid	0.840	0.345	0.382	цахирмаа
ordained	0.735	0.409	0.731	томилогдсон
ordeal	0.344	0.539	0.529	сорилт
order	0.780	0.295	0.814	захиалга
orderly	0.844	0.240	0.661	эмх цэгцтэй
ordinance	0.615	0.452	0.776	захирамж
ordinary	0.375	0.312	0.286	жирийн
ordination	0.688	0.490	0.765	томилолт
ordnance	0.354	0.825	0.679	зэвсэг
ore	0.500	0.333	0.356	хүдэр
oregano	0.596	0.327	0.250	орегано
organ	0.510	0.469	0.538	эрхтэн
organic	0.719	0.343	0.535	органик
organism	0.457	0.559	0.800	организм
organist	0.740	0.469	0.669	органист
organization	0.810	0.535	0.851	байгууллага
organize	0.802	0.655	0.781	зохион байгуулах
organized	0.816	0.337	0.746	зохион байгуулсан
organizer	0.604	0.577	0.846	зохион байгуулагч
orgasm	0.844	0.863	0.676	дур тавих
orgies	0.388	0.953	0.433	Орги
orgy	0.346	0.962	0.536	Орги
orient	0.667	0.422	0.667	чиг баримжаа
oriental	0.592	0.409	0.598	дорнын
orientation	0.667	0.454	0.686	чиг баримжаа
orifice	0.448	0.355	0.443	нүх
origami	0.684	0.276	0.294	оригами
origin	0.729	0.435	0.591	гарал үүсэл
original	0.765	0.480	0.746	эх
originality	0.898	0.500	0.824	өвөрмөц байдал
originate	0.702	0.500	0.866	үүсэлтэй
origination	0.760	0.443	0.604	гарал үүсэл
originator	0.592	0.510	0.868	үүсгэн байгуулагч
ornament	0.561	0.373	0.441	гоёл чимэглэл
ornamental	0.663	0.392	0.460	гоёл чимэглэлийн
ornamentation	0.663	0.471	0.472	гоёл чимэглэл
ornamented	0.677	0.350	0.490	чимэглэсэн
ornate	0.812	0.356	0.500	гоёл чимэглэлтэй
ornery	0.361	0.520	0.509	ер бусын
orphan	0.133	0.388	0.140	өнчин
orphanage	0.184	0.439	0.425	асрамжийн газар
orphaned	0.062	0.430	0.228	өнчин
orthodontist	0.469	0.615	0.564	ортодонт эмч
orthodox	0.388	0.471	0.647	Ортодокс
orthodoxy	0.271	0.388	0.612	Ортодокс
orthogonal	0.500	0.314	0.540	ортогональ
orthopedic	0.406	0.346	0.473	ортопед
oscillate	0.449	0.580	0.397	хэлбэлзэх
oscillating	0.469	0.548	0.402	хэлбэлздэг
oscillation	0.562	0.433	0.431	хэлбэлзэл
oscillatory	0.375	0.520	0.480	хэлбэлзэлтэй
ostensible	0.542	0.549	0.585	харагдахуйц
ostensibly	0.473	0.529	0.509	бололтой
ostentatious	0.479	0.794	0.648	ихэмсэг
ostracized	0.115	0.690	0.377	гадуурхагдсан
ostrich	0.592	0.382	0.241	Тэмээн хяруул
other	0.472	0.230	0.259	бусад
otter	0.439	0.216	0.339	халиу
otto	0.427	0.425	0.404	отто
ottoman	0.531	0.337	0.444	Осман
ought	0.438	0.511	0.434	ёстой
ounce	0.531	0.255	0.288	унци
oust	0.296	0.716	0.444	хөөх
outage	0.306	0.684	0.438	тасалдал
outback	0.500	0.324	0.430	гадаа
outbid	0.594	0.622	0.540	хэтрүүлсэн
outboard	0.448	0.491	0.456	гадна
outbreak	0.260	0.632	0.472	тархалт
outburst	0.209	0.802	0.528	тэсрэлт
outcast	0.153	0.449	0.353	гадуурхагдсан
outcome	0.615	0.472	0.685	үр дүн
outcry	0.271	0.773	0.718	хашгирах
outdated	0.167	0.236	0.226	хуучирсан
outdo	0.771	0.750	0.873	давсан
outdoor	0.814	0.256	0.447	гадаа
outdoors	0.781	0.444	0.453	гадаа
outer	0.552	0.471	0.456	гадна
outfit	0.760	0.490	0.566	хувцас
outgoing	0.650	0.472	0.538	гарч байгаа
outgrow	0.510	0.529	0.722	өсөх
outgrowth	0.771	0.620	0.688	өсөлт
outhouse	0.281	0.519	0.255	гадна байшин
outing	0.771	0.672	0.634	зугаалга
outlandish	0.448	0.737	0.657	хачин
outlast	0.620	0.786	0.685	давах
outlaw	0.255	0.662	0.482	хууль бус
outlet	0.610	0.396	0.245	гарц
outline	0.542	0.365	0.509	тойм
outlines	0.656	0.402	0.651	тойм
outlive	0.565	0.769	0.724	урт наслах
outlook	0.830	0.525	0.625	хэтийн төлөв
outlying	0.460	0.562	0.503	гаднах
outnumber	0.347	0.615	0.577	тоогоор илүү
outpatient	0.260	0.400	0.395	амбулаторийн эмч
outpost	0.635	0.571	0.675	застав
outpouring	0.562	0.685	0.552	цутгах
output	0.604	0.389	0.434	гаралт
outrage	0.060	0.689	0.542	уур хилэн
outraged	0.156	0.696	0.538	уурласан
outrageous	0.153	0.945	0.713	хэрцгий
outrank	0.653	0.643	0.817	давсан
outreach	0.540	0.462	0.672	хүрч очих
outright	0.767	0.396	0.755	шууд
outrun	0.531	0.833	0.573	давсан
outset	0.750	0.500	0.582	эхлэл
outsider	0.398	0.549	0.447	гадны хүн
outskirts	0.474	0.519	0.312	зах
outsmart	0.673	0.657	0.864	ухаантай
outspoken	0.582	0.413	0.667	илэн далангүй
outstanding	0.898	0.760	0.896	гайхалтай
outstretched	0.448	0.481	0.519	сунгасан
outward	0.449	0.439	0.365	гадагшаа
outwards	0.440	0.472	0.400	гадагшаа
outweigh	0.486	0.600	0.682	илүү жинтэй
outwit	0.302	0.755	0.356	заль мэх
oval	0.417	0.280	0.330	зууван
ovary	0.469	0.399	0.280	өндгөвч
ovate	0.385	0.286	0.368	өндгөвч
ovation	0.719	0.758	0.750	алга ташилт
oven	0.583	0.425	0.606	зуух
overactive	0.667	0.885	0.592	хэт идэвхтэй
overall	0.583	0.370	0.670	Ерөнхий
overalls	0.500	0.392	0.373	комбинзон
overbearing	0.323	0.833	0.861	хэт даварсан
overburden	0.115	0.755	0.546	хэт ачаалал
overcast	0.417	0.250	0.475	бүрхэг
overcharged	0.276	0.780	0.569	хэтрүүлсэн
overcoat	0.594	0.265	0.430	пальто
overcome	0.719	0.689	0.848	даван туулах
overcoming	0.842	0.765	0.855	даван туулах
overcrowded	0.292	0.520	0.491	хэт ачаалалтай
overdo	0.156	0.864	0.602	хэтрүүлэх
overdose	0.110	0.820	0.468	хэтрүүлэн хэрэглэх
overdrive	0.303	0.715	0.732	хэтрүүлэх
overdue	0.125	0.427	0.259	хугацаа хэтэрсэн
overestimate	0.367	0.796	0.444	хэтрүүлэн үнэлэх
overestimated	0.344	0.646	0.527	хэтрүүлсэн
overflow	0.398	0.792	0.500	халих
overflowing	0.439	0.796	0.635	халих
overgrown	0.333	0.500	0.369	хэт ургасан
overgrowth	0.417	0.790	0.673	хэт өсөлт
overhanging	0.698	0.755	0.812	хэт унжсан
overhaul	0.500	0.651	0.491	их засвар
overhead	0.344	0.700	0.538	дээгүүр
overhear	0.650	0.365	0.580	сонссон
overheated	0.250	0.598	0.547	хэт халсан
overjoyed	0.908	0.708	0.755	баярласан
overkill	0.379	0.861	0.678	хэтрүүлэх
overlaid	0.620	0.610	0.676	давхарласан
overlap	0.594	0.615	0.627	давхцах
overlapping	0.595	0.578	0.684	давхцах
overlay	0.564	0.596	0.749	давхарласан
overload	0.381	0.690	0.652	хэт ачаалал
overlook	0.292	0.418	0.415	үл тоомсорлох
overlord	0.750	0.755	0.932	захирагч
overlying	0.500	0.519	0.691	давсан
overpaid	0.429	0.670	0.585	илүү төлсөн
overpass	0.562	0.561	0.565	гүүрэн гарц
overplayed	0.224	0.798	0.586	хэтрүүлсэн
overpower	0.448	0.859	0.783	давах
overpowering	0.392	0.779	0.589	давж гарах
overpriced	0.271	0.556	0.472	хэтрүүлсэн
overprotective	0.448	0.673	0.741	хэт хамгаалалттай
overrated	0.312	0.630	0.482	хэтрүүлсэн
overreact	0.306	0.912	0.471	хэт хариу үйлдэл үзүүлэх
override	0.316	0.491	0.529	хүчингүй болгох
overriding	0.240	0.490	0.384	давамгайлах
overrule	0.224	0.412	0.429	хүчингүй болгох
overrun	0.271	0.764	0.598	хэтрүүлсэн
oversee	0.541	0.649	0.778	хянадаг
overseer	0.552	0.520	0.873	хянагч
overshadow	0.333	0.549	0.654	сүүдэрлэх
oversight	0.385	0.618	0.723	хяналт
oversized	0.552	0.540	0.679	том хэмжээтэй
overslept	0.408	0.315	0.300	унтсан
overstate	0.281	0.779	0.635	хэтрүүлсэн
overstock	0.344	0.592	0.589	илүүдэл нөөц
overt	0.708	0.326	0.607	ил тод
overtake	0.573	0.620	0.718	гүйцэж түрүүлэх
overtaken	0.594	0.552	0.702	гүйцэж түрүүлсэн
overthemoon	0.643	0.531	0.481	Саран дээр
overthinker	0.430	0.606	0.552	хэт сэтгэгч
overthinking	0.408	0.761	0.525	хэт их бодох
overthrow	0.260	0.868	0.620	ялах
overtime	0.447	0.504	0.529	цаг хугацаа өнгөрөх тусам
overtired	0.210	0.357	0.273	хэт ядарсан
overture	0.490	0.402	0.491	увертюра
overturn	0.240	0.765	0.396	хөмрөх
overview	0.615	0.380	0.539	тойм
overweight	0.052	0.500	0.389	илүүдэл жинтэй
overwhelm	0.250	0.823	0.462	дарах
overwhelmed	0.341	0.680	0.348	дарагдсан
overwhelming	0.327	0.830	0.640	дийлэнх
overworked	0.133	0.670	0.387	хэт их ажилласан
overwrought	0.156	0.900	0.571	хэт дарагдсан
overzealous	0.427	0.804	0.703	хэт их хичээл зүтгэлтэй
owe	0.500	0.429	0.386	өртэй
owing	0.396	0.307	0.381	өртэй
owl	0.520	0.270	0.321	шар шувуу
owner	0.776	0.449	0.920	эзэн
ownership	0.628	0.445	0.741	эзэмшил
ox	0.417	0.396	0.412	үхэр
oxidation	0.453	0.415	0.211	исэлдэлт
oxide	0.354	0.377	0.298	исэл
oxygen	0.908	0.310	0.575	хүчилтөрөгч
oxymoron	0.427	0.481	0.398	оксиморон
oyster	0.500	0.311	0.327	хясаа
ozone	0.560	0.345	0.518	озон
pace	0.510	0.380	0.390	хурд
pacemaker	0.448	0.569	0.582	зүрхний аппарат
pacific	0.627	0.118	0.580	номхон далайн
pacified	0.802	0.194	0.414	тайвшруулсан
pacifier	0.615	0.342	0.356	хөхүүл
pacifist	0.663	0.153	0.557	пацифист
pacify	0.812	0.283	0.629	тайвшруулах
pacing	0.583	0.551	0.491	хурдны хурд
pack	0.510	0.347	0.475	боох
package	0.571	0.433	0.443	багц
packaging	0.604	0.393	0.549	сав баглаа боодол
packer	0.520	0.480	0.537	савлагч
packet	0.582	0.385	0.407	багц
pact	0.442	0.444	0.593	гэрээ
pad	0.684	0.279	0.330	дэвсгэр
padded	0.606	0.212	0.371	жийргэвчтэй
padding	0.561	0.398	0.423	дэвсгэр
paddle	0.561	0.375	0.393	сэлүүрт
paddle boat	0.663	0.373	0.415	сэлүүрт завь
paddock	0.480	0.429	0.481	талбай
paddy	0.653	0.330	0.330	шал
padlock	0.459	0.284	0.457	цоож
padre	0.684	0.407	0.647	аав
paean	0.552	0.547	0.471	паеан
pagan	0.292	0.578	0.542	паган
paganism	0.240	0.640	0.411	паганизм
page	0.677	0.224	0.278	хуудас
pageant	0.719	0.667	0.651	тэмцээн
pager	0.510	0.526	0.554	пейжер
pagination	0.459	0.333	0.400	хуудаслах
paging	0.542	0.398	0.423	пейжинг
pagoda	0.571	0.259	0.435	пагода
pail	0.448	0.177	0.188	хувин
pain	0.012	0.765	0.395	өвдөлт
pained	0.112	0.500	0.250	өвдсөн
painful	0.050	0.742	0.330	өвдөлттэй
painfully	0.156	0.720	0.407	өвдөлттэй
painkiller	0.487	0.312	0.481	өвдөлт намдаах эм
painless	0.785	0.173	0.491	өвдөлтгүй
pains	0.106	0.673	0.362	өвдөлт
painstaking	0.396	0.335	0.386	шаргуу
paint	0.667	0.343	0.413	будаг
paintball	0.615	0.745	0.537	пейнтбол
paintbrush	0.714	0.226	0.353	бийр
painted	0.667	0.333	0.424	будсан
painter	0.677	0.366	0.487	зураач
painting	0.792	0.324	0.333	уран зураг
pair	0.552	0.317	0.304	хос
paisley	0.531	0.327	0.347	Пейсли
pajama	0.908	0.157	0.245	унтлагын хувцас
pajamas	0.719	0.170	0.264	унтлагын хувцас
pal	0.812	0.426	0.596	найз
palace	0.878	0.510	0.804	ордон
palatable	0.823	0.500	0.594	амттай
palate	0.625	0.350	0.358	тагнай
pale	0.281	0.259	0.245	цайвар
paleontology	0.438	0.308	0.617	палеонтологи
palette	0.590	0.333	0.205	палитр
pall	0.277	0.387	0.394	цайвар
palladium	0.470	0.380	0.393	палладий
pallet	0.604	0.241	0.349	тавиур
palliative	0.548	0.394	0.518	хөнгөвчлөх
palm	0.531	0.194	0.340	далдуу
palmer	0.480	0.269	0.413	палмер
palomino	0.616	0.349	0.396	паломино
palpable	0.552	0.343	0.611	мэдрэгдэхүйц
palpitations	0.417	0.702	0.528	зүрх дэлсэх
palsy	0.083	0.446	0.221	саажилттай
paltry	0.333	0.491	0.320	өчүүхэн
pamper	0.792	0.321	0.348	эрхлүүлэх
pamphlet	0.530	0.250	0.327	товхимол
pan	0.734	0.182	0.364	тогоо
panacea	0.420	0.427	0.613	өвчин эмгэг
panache	0.510	0.363	0.306	аймар
pancake	0.802	0.274	0.364	бин
pancakes	0.844	0.373	0.402	бин
pancreas	0.469	0.302	0.366	нойр булчирхай
panda	0.646	0.194	0.406	панда
pandemic	0.160	0.790	0.544	цар тахал
pandemonium	0.229	0.885	0.500	тахал
pane	0.385	0.250	0.444	самбар
panel	0.469	0.321	0.425	самбар
pang	0.146	0.595	0.455	шаналах
panhandle	0.441	0.431	0.414	бариул
panic	0.062	0.938	0.400	сандрах
panicattack	0.255	0.724	0.386	сандрах
panicked	0.100	0.949	0.260	сандарсан
panicking	0.094	0.882	0.333	сандрах
panicky	0.284	0.962	0.393	сандарсан
panier	0.500	0.392	0.380	паниер
panorama	0.719	0.402	0.625	панорама
panoramic	0.542	0.462	0.684	панорама
pansy	0.653	0.283	0.589	хахуун цэцгийн
pant	0.448	0.463	0.409	өмд
pantheon	0.144	0.410	0.610	пантеон
panther	0.303	0.594	0.682	пантер
panties	0.594	0.529	0.312	дотуур өмд
pantomime	0.552	0.481	0.385	пантомим
pantry	0.622	0.294	0.312	агуулах
pants	0.673	0.320	0.333	өмд
panty	0.451	0.557	0.303	дотуур өмд
pantyhose	0.570	0.539	0.250	дотуур өмд
pap	0.438	0.403	0.302	пап
papa	0.656	0.340	0.527	аав
papacy	0.481	0.263	0.553	пап лам
papal	0.493	0.304	0.559	пап
papaya	0.630	0.306	0.300	гуа
paper	0.520	0.123	0.293	цаас
paperback	0.633	0.269	0.314	цаасан хавтастай
paperboy	0.521	0.490	0.471	цаасан хүү
paperweight	0.421	0.278	0.433	цаасны жин
paperwork	0.448	0.355	0.422	бичиг цаасны ажил
paprika	0.417	0.250	0.264	улаан чинжүү
papyrus	0.459	0.240	0.324	папирус
par	0.615	0.372	0.429	пар
parable	0.479	0.357	0.525	сургаалт зүйрлэл
parabola	0.542	0.413	0.620	парабол
parabolic	0.459	0.509	0.500	параболик
parachute	0.562	0.787	0.564	шүхэр
parade	0.792	0.685	0.509	жагсаал
paradigm	0.573	0.429	0.779	парадигм
paradise	0.875	0.540	0.796	диваажин
paradox	0.417	0.442	0.482	парадокс
paradoxical	0.406	0.547	0.433	парадокс
paraffin	0.426	0.291	0.343	парафин
paragon	0.490	0.431	0.473	үлгэр жишээ
paragraph	0.510	0.164	0.269	догол мөр
parakeet	0.576	0.387	0.227	паракет
paralegal	0.479	0.470	0.519	өмгөөлөгч
parallax	0.437	0.394	0.471	параллакс
parallel	0.568	0.284	0.465	Зэрэгцээ
parallelism	0.549	0.363	0.527	параллелизм
paralysis	0.156	0.500	0.305	саажилт
paralyze	0.188	0.367	0.471	саажилт
paramedic	0.673	0.464	0.636	фельдшер
paramedics	0.479	0.594	0.712	түргэн тусламжийн эмч нар
paramilitary	0.154	0.804	0.727	хагас цэрэгжсэн
paramount	0.771	0.615	0.902	хамгийн чухал
paranoia	0.146	0.841	0.407	паранойа
paranoid	0.122	0.918	0.364	параноид
paranormal	0.167	0.814	0.560	гаж үзэгдэл
parapet	0.450	0.356	0.279	парапет
paraphernalia	0.443	0.726	0.509	хэрэгсэл
paraphrase	0.500	0.375	0.444	үг хэллэг
paraplegic	0.188	0.441	0.321	саажилттай
parasite	0.092	0.442	0.324	шимэгч
parasitic	0.037	0.600	0.364	шимэгч
parasol	0.604	0.255	0.304	шүхэр
parcel	0.660	0.324	0.411	илгээмж
parcels	0.551	0.445	0.418	илгээмж
parched	0.250	0.235	0.255	хатсан
parchment	0.615	0.228	0.455	илгэн цаас
pardon	0.552	0.413	0.542	уучлаарай
pare	0.500	0.356	0.309	паре
parenchyma	0.500	0.399	0.595	паренхим
parent	0.812	0.357	0.860	эцэг эх
parentage	0.903	0.382	0.595	эцэг эх
parental	0.760	0.430	0.627	эцэг эх
parenthesis	0.510	0.255	0.380	хаалт
parenthetical	0.490	0.327	0.391	хаалтанд
parenthood	0.750	0.630	0.782	эцэг эх байх
parenting	0.812	0.520	0.676	эцэг эх
pariah	0.397	0.478	0.293	париа
parietal	0.481	0.333	0.491	париетал
paring	0.429	0.441	0.324	зүсэх
parish	0.698	0.354	0.582	сүм
parity	0.582	0.406	0.407	паритет
park	0.816	0.343	0.414	парк
parka	0.469	0.481	0.395	парк
parking	0.777	0.469	0.510	зогсоол
parkinsons	0.104	0.570	0.373	паркинсон
parlance	0.510	0.350	0.462	хэллэг
parlay	0.469	0.611	0.483	ярилцах
parliament	0.573	0.540	0.858	парламент
parliamentary	0.490	0.554	0.755	парламентын
parlor	0.500	0.327	0.366	танхим
parmesan	0.698	0.321	0.382	пармезан
parody	0.561	0.651	0.375	элэглэл
parole	0.388	0.620	0.526	тэнсэн суллах
parquet	0.541	0.240	0.422	паркет
parrot	0.588	0.333	0.292	тоть
parry	0.510	0.404	0.436	парри
parse	0.469	0.456	0.667	задлан шинжлэх
parsimonious	0.417	0.312	0.446	харамч
parsimony	0.449	0.280	0.403	харгислал
parsley	0.458	0.170	0.291	яншуй
parson	0.583	0.250	0.615	лам
part	0.663	0.278	0.360	хэсэг
partake	0.755	0.656	0.629	оролцох
partial	0.429	0.324	0.348	хэсэгчилсэн
partiality	0.375	0.380	0.490	хэсэгчилсэн байдал
partially	0.418	0.368	0.396	хэсэгчлэн
participant	0.712	0.598	0.613	оролцогч
participate	0.755	0.580	0.684	оролцох
participation	0.781	0.700	0.702	оролцоо
particle	0.521	0.265	0.438	бөөмс
particular	0.562	0.402	0.552	ялангуяа
particularity	0.670	0.434	0.586	онцлог
particulars	0.604	0.348	0.525	дэлгэрэнгүй мэдээлэл
parting	0.260	0.542	0.353	салах
partisan	0.615	0.549	0.669	партизан
partisanship	0.438	0.566	0.551	партизан байдал
partition	0.615	0.469	0.567	хуваалт
partly	0.415	0.410	0.396	хэсэгчлэн
partner	0.673	0.302	0.586	түнш
partnership	0.786	0.387	0.545	түншлэл
partridge	0.583	0.415	0.250	ятуу
parts	0.459	0.327	0.392	хэсгүүд
party	0.948	0.840	0.547	үдэшлэг
pas	0.490	0.344	0.262	пас
pass	0.510	0.324	0.362	нэвтрүүлэх
passable	0.688	0.337	0.633	нэвтрүүлэх боломжтой
passage	0.429	0.314	0.370	гарц
passageway	0.490	0.389	0.400	гарц
passe	0.531	0.357	0.426	өнгөрөх
passenger	0.717	0.413	0.481	зорчигч
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	өнгөрөх
passion	0.854	0.865	0.728	хүсэл тэмүүлэл
passionate	0.990	0.827	0.731	хүсэл тэмүүлэлтэй
passive	0.420	0.116	0.241	идэвхгүй
passivity	0.241	0.115	0.246	идэвхгүй байдал
passkey	0.646	0.500	0.791	нэвтрэх түлхүүр
passport	0.653	0.457	0.682	паспорт
password	0.390	0.356	0.559	нууц үг
past	0.490	0.422	0.311	өнгөрсөн
pasta	0.615	0.306	0.375	гоймон
paste	0.500	0.556	0.500	наах
pastel	0.719	0.357	0.367	пастел
pastime	0.677	0.353	0.443	зугаа цэнгэл
pastor	0.698	0.236	0.746	пастор
pastrami	0.542	0.415	0.348	пастрами
pastry	0.870	0.407	0.419	нарийн боов
pasture	0.688	0.145	0.170	бэлчээр
pasty	0.479	0.363	0.375	зуурмаг
pat	0.418	0.377	0.340	пат
patch	0.439	0.288	0.283	нөхөөс
patchwork	0.500	0.260	0.325	нөхөөс
pate	0.406	0.260	0.260	пате
patella	0.430	0.260	0.342	пателла
patent	0.724	0.391	0.609	патент
patented	0.571	0.422	0.685	патентлагдсан
paternal	0.776	0.353	0.755	эцэг
paternity	0.704	0.590	0.806	эцэг
path	0.590	0.245	0.421	зам
pathetic	0.088	0.464	0.139	өрөвдмөөр
pathological	0.220	0.602	0.580	эмгэг
pathologist	0.354	0.552	0.585	эмгэг судлаач
pathology	0.271	0.560	0.558	эмгэг
pathos	0.350	0.449	0.462	эмгэг
pathway	0.646	0.410	0.519	зам
patience	0.771	0.125	0.387	тэвчээр
patient	0.583	0.193	0.340	тэвчээртэй
patio	0.562	0.245	0.402	хашаа
patriarch	0.592	0.448	0.898	патриарх
patriarchal	0.531	0.500	0.857	патриарх
patrimony	0.719	0.406	0.740	өв
patriot	0.771	0.635	0.886	эх оронч
patriotic	0.875	0.509	0.933	эх оронч
patriotism	0.708	0.635	0.848	эх оронч үзэл
patrol	0.427	0.664	0.736	эргүүл
patrolman	0.469	0.731	0.884	эргүүл
patron	0.583	0.451	0.870	ивээн тэтгэгч
patronage	0.583	0.490	0.583	ивээл
patronising	0.439	0.455	0.582	ивээн тэтгэх
patronize	0.430	0.451	0.591	ивээн тэтгэх
patronizing	0.542	0.365	0.529	ивээн тэтгэх
patter	0.312	0.635	0.451	патер
pattern	0.479	0.422	0.664	загвар
paucity	0.153	0.453	0.175	хомсдол
pauper	0.260	0.347	0.151	ядуу
pause	0.429	0.188	0.264	түр зогсоох
pave	0.594	0.490	0.509	хучилттай
pavement	0.460	0.353	0.475	хучилт
pavilion	0.583	0.500	0.770	асар
paving	0.408	0.469	0.545	хучилттай
paw	0.417	0.360	0.286	тавхай
pawn	0.390	0.321	0.187	ломбард
pawnshop	0.396	0.439	0.519	ломбард
pax	0.551	0.421	0.473	пакс
pay	0.514	0.588	0.592	төлөх
payable	0.385	0.480	0.606	төлөх ёстой
payback	0.459	0.500	0.567	буцааж төлөх
paycheck	0.896	0.630	0.652	цалин
payday	0.833	0.741	0.571	цалингийн өдөр
payer	0.313	0.630	0.638	төлбөр төлөгч
payload	0.612	0.510	0.682	ачаалал
payment	0.629	0.452	0.643	төлбөр
payoff	0.740	0.644	0.673	өгөөж
payout	0.646	0.600	0.575	төлөх
payphone	0.469	0.360	0.370	таксофон
payroll	0.521	0.360	0.549	цалингийн жагсаалт
pea	0.580	0.275	0.298	вандуй
peace	0.939	0.156	0.613	амар амгалан
peaceable	0.776	0.134	0.453	тайван амгалан
peaceful	0.867	0.108	0.569	тайван
peacefully	0.901	0.190	0.639	тайван замаар
peacekeeper	0.865	0.320	0.644	энхийг сахиулагч
peaceofmind	0.786	0.160	0.519	сэтгэлийн амар амгалан
peacetime	0.949	0.180	0.579	тайван цаг
peach	0.704	0.480	0.272	тоор жимс
peachy	0.755	0.479	0.388	тоорлог
peacock	0.786	0.449	0.458	тогос
peak	0.500	0.345	0.431	оргил
peaked	0.677	0.704	0.857	оргилд хүрсэн
peanut	0.646	0.202	0.246	газрын самар
peanuts	0.542	0.294	0.324	газрын самар
pear	0.677	0.158	0.241	лийр
pearl	0.905	0.425	0.642	сувд
pearly	0.635	0.337	0.373	сувдан
peas	0.542	0.283	0.310	вандуй
peasant	0.530	0.275	0.407	тариачин
peat	0.333	0.655	0.504	хүлэр
pebble	0.354	0.353	0.287	хайрга
pecan	0.552	0.316	0.358	пекан
