English Word	Valence	Arousal	Dominance	Tajik Word
hinterland	0.530	0.520	0.457	хинтерланд
hip	0.448	0.415	0.345	хип
hip hop	0.740	0.714	0.484	хип хоп
hippie	0.551	0.400	0.396	хиппи
hippo	0.490	0.404	0.477	бегемот
hippopotamus	0.541	0.472	0.615	гиппопотам
hire	0.688	0.558	0.556	киро кардан
hirsute	0.385	0.483	0.373	хирс
hiss	0.388	0.480	0.370	хишлох
hissing	0.500	0.454	0.400	фишурдан
histology	0.490	0.320	0.560	гистология
historian	0.688	0.270	0.637	муаррих
historic	0.816	0.473	0.784	таърихй
historical	0.653	0.357	0.833	таърихй
historiography	0.562	0.415	0.634	таърихнигорӣ
history	0.729	0.382	0.754	таърих
hit	0.235	0.931	0.679	зад
hitch	0.512	0.480	0.554	банд
hitchhike	0.396	0.622	0.385	автостоп
hitchhiker	0.594	0.626	0.603	автостоп
hitherto	0.448	0.356	0.463	то хол
hitter	0.418	0.683	0.713	зарбазананда
hive	0.471	0.452	0.544	ќуттї
hives	0.417	0.473	0.591	занбӯрҳо
hoard	0.506	0.412	0.518	хазина
hoarse	0.281	0.402	0.315	хирург
hoary	0.469	0.298	0.424	гиря
hoax	0.146	0.696	0.303	шухии фиребомез
hob	0.633	0.363	0.415	плита
hobbit	0.479	0.489	0.472	хоббит
hobby	0.827	0.560	0.471	маҳфил
hobo	0.323	0.443	0.282	хобо
hock	0.513	0.452	0.412	хок
hockey	0.565	0.786	0.548	хоккей
hoe	0.302	0.480	0.418	хох
hog	0.317	0.509	0.271	хук
hogwash	0.420	0.490	0.361	шустан
hohoho	0.677	0.433	0.330	хохохо
hoist	0.521	0.520	0.458	борбардор
hokey	0.604	0.667	0.430	хоккей
hold	0.448	0.290	0.364	нигоҳ доред
holder	0.592	0.330	0.713	дорандаи
holding	0.600	0.385	0.670	нигоҳ доштан
holdup	0.398	0.471	0.398	нигоҳ доштан
hole	0.531	0.310	0.330	сӯрох
holiday	0.948	0.431	0.593	ид
holidays	0.939	0.521	0.512	ид
holidayseason	0.875	0.566	0.518	мавсими истироҳат
holiness	0.860	0.264	0.742	муқаддасӣ
holistic	0.670	0.348	0.547	мукаммал
holler	0.276	0.825	0.406	холлер
hollow	0.300	0.337	0.222	холӣ
holly	0.510	0.250	0.443	холли
holocaust	0.062	0.918	0.618	Холокост
hologram	0.615	0.461	0.575	голограмма
holographic	0.510	0.471	0.555	голографӣ
holster	0.561	0.255	0.339	гилоф
holy	0.812	0.112	0.690	муқаддас
holyspirit	0.740	0.480	0.526	муқаддас
homage	0.833	0.560	0.737	эҳтиром
hombre	0.656	0.472	0.696	хомбре
hombres	0.510	0.538	0.652	hombres
home	0.854	0.270	0.545	хона
homeboy	0.602	0.255	0.436	хонадон
homecoming	0.760	0.413	0.472	ба хона баргаштан
homeland	0.663	0.439	0.868	ватан
homeless	0.042	0.450	0.188	бехонумон
homely	0.745	0.157	0.399	хонашин
homemade	0.869	0.340	0.398	худсохти
homeopathic	0.417	0.268	0.400	гомеопатикӣ
homeopathy	0.469	0.284	0.439	гомеопатия
homeowner	0.635	0.397	0.962	соҳиби хона
homeroom	0.604	0.480	0.491	хона
homesick	0.436	0.304	0.347	пазмони хона
homestead	0.865	0.221	0.536	хона
homesweethome	0.796	0.380	0.538	хона хонаи хуб
hometown	0.858	0.333	0.605	зодгох
homeward	0.833	0.275	0.435	ба ватан
homework	0.396	0.412	0.459	вазифаи хонагӣ
homey	0.769	0.278	0.500	хонашин
homicidal	0.020	0.912	0.573	одамкуш
homicide	0.010	0.973	0.518	одамкушй
homily	0.621	0.358	0.425	мехрубонй
homing	0.551	0.460	0.527	манзил
hominy	0.479	0.382	0.429	хомин
homo	0.531	0.368	0.415	хомо
homogeneity	0.715	0.365	0.582	якхела будан
homogeneous	0.552	0.255	0.617	якхела
homologous	0.471	0.353	0.536	гомологӣ
homologue	0.542	0.356	0.509	гомолог
homology	0.571	0.494	0.527	гомология
homophobic	0.130	0.736	0.464	гомофобӣ
honcho	0.469	0.464	0.397	хончо
hone	0.688	0.392	0.473	холис
honest	0.927	0.254	0.750	поквичдон
honesty	0.938	0.411	0.728	ростқавлӣ
honey	0.920	0.431	0.510	асал
honeycomb	0.541	0.417	0.412	асал
honeymoon	0.979	0.678	0.526	моҳи асал
honeysuckle	0.597	0.451	0.517	асал
honk	0.549	0.635	0.415	хонд
honky	0.458	0.632	0.425	хони
honor	0.896	0.587	0.857	шараф
honorable	0.963	0.412	0.830	шарафманд
honorarium	0.796	0.510	0.746	гонорар
honorary	0.885	0.565	0.811	фахрй
honored	0.938	0.447	0.732	шарафманд
hooch	0.429	0.538	0.373	хох
hood	0.357	0.459	0.306	кулоҳ
hooded	0.306	0.745	0.439	кулоҳпӯш
hoodlum	0.354	0.720	0.432	зулм
hoof	0.427	0.341	0.365	туя
hook	0.418	0.444	0.395	қалмоқ
hooked	0.610	0.661	0.454	банд
hooker	0.214	0.889	0.373	фоҳиша
hookup	0.625	0.529	0.683	рафоқат
hooky	0.468	0.500	0.452	ҳаяҷон
hooligan	0.295	0.712	0.455	авбош
hoop	0.635	0.204	0.315	ҳалқа
hoopla	0.542	0.471	0.353	хопла
hooray	0.610	0.481	0.536	офарин
hoot	0.449	0.560	0.430	хох
hooter	0.470	0.615	0.455	овора
hop	0.450	0.520	0.427	хоп
hope	0.927	0.317	0.739	умед
hopeful	0.947	0.357	0.627	умедбахш
hopeless	0.094	0.298	0.112	ноумед
hopelessness	0.052	0.402	0.223	ноумедӣ
hopes	0.917	0.500	0.702	умед
hoping	0.684	0.469	0.454	умед
hopper	0.396	0.491	0.442	бункер
horde	0.286	0.713	0.684	лашкар
horizon	0.729	0.284	0.590	уфуқ
horizontal	0.573	0.304	0.387	уфуқӣ
horizontally	0.500	0.356	0.439	ба таври уфуқӣ
hormonal	0.500	0.620	0.551	гормоналӣ
hormone	0.490	0.750	0.621	гормон
horn	0.385	0.510	0.366	шох
horned	0.316	0.610	0.375	шохдор
hornet	0.398	0.594	0.500	шохдор
horny	0.490	0.908	0.560	шохдор
horoscope	0.500	0.360	0.490	гороскопи
horrendous	0.073	0.755	0.365	даҳшатнок
horrible	0.071	0.857	0.398	даҳшатнок
horribly	0.050	0.631	0.454	даҳшатнок
horrid	0.052	0.765	0.419	даҳшатнок
horrific	0.094	0.846	0.481	даҳшатнок
horrified	0.040	0.885	0.368	даҳшатнок
horrifying	0.010	0.760	0.352	даҳшатовар
horror	0.115	0.850	0.438	даҳшат
horrors	0.061	0.852	0.409	даҳшатҳо
horse	0.635	0.510	0.529	асп
horseback	0.688	0.588	0.566	аспсавор
horseman	0.441	0.700	0.676	савора
horsepower	0.594	0.735	0.735	кувваи асп
horseradish	0.321	0.584	0.476	хрен
horseshit	0.153	0.582	0.179	харгӯш
horseshoe	0.673	0.350	0.406	наъл
horsey	0.602	0.454	0.462	аспсавор
horticultural	0.594	0.387	0.509	богдорй
horticulture	0.700	0.420	0.434	богдорй
hosannah	0.679	0.373	0.500	Ҳусанна
hose	0.469	0.288	0.263	шланг
hosiery	0.520	0.344	0.373	чуробдузй
hospice	0.337	0.443	0.535	хоспис
hospitable	0.791	0.470	0.661	меҳмоннавоз
hospital	0.323	0.537	0.598	беморхона
hospitality	0.865	0.333	0.725	меҳмоннавозӣ
host	0.693	0.471	0.537	мизбон
hostage	0.163	0.923	0.325	гаравгон
hostel	0.479	0.500	0.398	хобгоҳ
hostess	0.792	0.604	0.688	сохибхона
hostile	0.188	0.877	0.474	душманона
hostilities	0.276	0.810	0.444	амалиёти харбй
hostility	0.122	0.775	0.465	душманй
hot	0.490	0.740	0.573	гарм
hot sauce	0.333	0.740	0.509	чошнии гарм
hotbed	0.510	0.285	0.395	гармхона
hotdog	0.720	0.438	0.373	ҳот дог
hotel	0.740	0.370	0.407	меҳмонхона
hothead	0.240	0.849	0.518	сари гарм
hotline	0.592	0.565	0.663	телефони боварӣ
hotshot	0.500	0.727	0.615	зарбаи гарм
hotyoga	0.683	0.609	0.446	хотёга
hound	0.417	0.528	0.582	саг
hour	0.552	0.265	0.336	соат
hourglass	0.542	0.284	0.492	соатаи соат
hourly	0.469	0.418	0.491	соатбайъ
house	0.587	0.135	0.533	хона
houseboat	0.604	0.389	0.429	киштии хонагӣ
houseboy	0.479	0.415	0.393	хонанишин
housebroken	0.518	0.461	0.389	хонавайрон
houseguest	0.530	0.500	0.481	меҳмони хона
household	0.781	0.230	0.667	хонавода
householder	0.816	0.541	0.833	сохибхона
housekeeper	0.694	0.279	0.520	хонадор
housekeeping	0.604	0.500	0.445	нигоҳубини хона
housewarming	0.857	0.710	0.727	хонанишинӣ
housewife	0.656	0.361	0.449	сохибхоназан
housework	0.484	0.413	0.342	кори хона
housing	0.776	0.304	0.591	манзил
hovel	0.333	0.296	0.322	хона
hover	0.510	0.431	0.404	овезон
hovercraft	0.541	0.654	0.588	хавопаймо
howl	0.357	0.646	0.407	нола
howsoever	0.459	0.309	0.345	ба ҳар ҳол
hoy	0.583	0.298	0.471	хой
hub	0.479	0.399	0.433	марказ
hubby	0.548	0.435	0.430	шавхар
huckleberry	0.600	0.279	0.296	хаклберри
huddle	0.604	0.509	0.445	печидан
hue	0.507	0.416	0.417	ранг
huff	0.388	0.491	0.315	хоф
huffy	0.420	0.616	0.375	шух
hug	0.908	0.427	0.548	оғӯш
huge	0.573	0.625	0.783	бузург
hugger	0.520	0.480	0.412	оғӯшгир
huggy	0.854	0.429	0.451	оғӯш
hugs	0.980	0.422	0.600	ба оғӯш мегирад
hulk	0.460	0.740	0.750	халк
hull	0.542	0.265	0.353	корпус
hum	0.490	0.296	0.276	хум
human	0.767	0.314	0.605	инсон
humane	0.800	0.370	0.580	инсондуст
humanitarian	0.786	0.317	0.709	башардӯстона
humanities	0.729	0.325	0.677	гуманитарӣ
humanity	0.750	0.360	0.727	инсоният
humankind	0.885	0.394	0.714	инсоният
humanoid	0.521	0.462	0.491	одамоид
humanrights	0.792	0.559	0.730	ҳуқуқи инсон
humble	0.867	0.236	0.483	хоксор
humbled	0.280	0.618	0.198	фурӯтан
humbly	0.771	0.194	0.370	хоксорона
humbug	0.219	0.622	0.456	хоксор
humdrum	0.269	0.246	0.353	шум
humid	0.375	0.324	0.366	намнок
humidity	0.464	0.373	0.367	намӣ
humiliate	0.052	0.714	0.275	хор кардан
humiliated	0.104	0.712	0.216	хор карда шудааст
humiliating	0.062	0.716	0.279	хоркунанда
humiliation	0.048	0.712	0.310	таҳқир
humility	0.740	0.118	0.444	хоксорй
hummer	0.510	0.622	0.589	хаммер
hummingbird	0.750	0.370	0.273	колибрез
humongous	0.378	0.538	0.536	бузург
humor	0.890	0.633	0.462	юмор
humored	0.854	0.657	0.545	шухй карда
humorist	0.958	0.790	0.607	юморист
humorous	0.906	0.616	0.665	хандаовар
hump	0.296	0.462	0.250	камбага
humpback	0.235	0.346	0.247	камбар
hunch	0.561	0.630	0.567	тахмин
hunchback	0.208	0.390	0.259	камбар
hundred	0.604	0.370	0.406	сад
hundredth	0.427	0.368	0.466	садум
hunger	0.083	0.554	0.328	гуруснагӣ
hungry	0.083	0.690	0.254	гурусна
hunk	0.438	0.375	0.361	ганҷ
hunks	0.417	0.453	0.482	хунсо
hunky	0.469	0.571	0.438	хандаовар
hunt	0.327	0.806	0.588	шикор кардан
hunter	0.292	0.817	0.817	шикорчй
hunting	0.448	0.713	0.714	шикор
huntress	0.357	0.717	0.765	шикорчй
hurdle	0.198	0.682	0.434	монеа
hurl	0.316	0.745	0.574	партофтан
hurrah	0.802	0.740	0.500	хурад
hurricane	0.177	0.958	0.787	тӯфон
hurricanes	0.286	0.898	0.784	тундбодхо
hurried	0.314	0.806	0.393	шитоб кард
hurry	0.422	0.735	0.481	шитоб кунед
hurryup	0.473	0.791	0.555	шитоб кардан
hurt	0.062	0.773	0.291	дард
hurtful	0.104	0.680	0.463	озордиҳанда
hurting	0.153	0.778	0.221	дарднок
husband	0.771	0.500	0.655	шавҳар
husbandry	0.643	0.473	0.445	чорводорй
hush	0.471	0.231	0.312	хомуш
hushed	0.292	0.194	0.272	хомуш
husk	0.378	0.173	0.147	пуст
husky	0.630	0.450	0.490	хаски
hussy	0.219	0.594	0.384	густурда
hustle	0.406	0.661	0.427	шитоб
hustler	0.260	0.821	0.627	овора
hut	0.633	0.270	0.375	кулба
hutch	0.385	0.453	0.520	кулба
hyacinth	0.372	0.360	0.342	гиацинт
hybrid	0.500	0.365	0.570	гибридӣ
hydra	0.406	0.598	0.534	гидра
hydrant	0.570	0.413	0.367	гидрант
hydrate	0.610	0.367	0.547	об додан
hydraulic	0.522	0.398	0.596	гидравликӣ
hydraulics	0.500	0.530	0.588	гидравлика
hydrocephalus	0.286	0.629	0.393	гидросефалия
hydrodynamics	0.552	0.582	0.664	гидродинамика
hydrogen	0.469	0.303	0.554	гидроген
hydrographic	0.490	0.396	0.642	гидрографй
hydrology	0.500	0.380	0.509	гидрология
hydrophobia	0.323	0.784	0.351	гидрофобия
hydroponics	0.500	0.549	0.500	гидропоника
hyena	0.396	0.719	0.464	гиена
hygiene	0.781	0.287	0.537	гигиена
hygienic	0.719	0.245	0.702	гигиенй
hygienist	0.698	0.389	0.682	гигиенист
hymen	0.469	0.651	0.457	пардаи бадан
hymn	0.735	0.292	0.634	гимн
hype	0.510	0.500	0.586	хайп
hyped	0.708	0.582	0.679	ташвиқ кард
hyper	0.542	0.616	0.640	гипер
hyperactive	0.500	0.921	0.660	гиперактивӣ
hyperbole	0.469	0.521	0.542	гипербола
hyperspace	0.510	0.623	0.755	гиперфазо
hypertension	0.133	0.784	0.427	гипертония
hypertrophy	0.312	0.625	0.413	гипертрофия
hyperventilate	0.347	0.729	0.556	гипервентилятсия
hyperventilating	0.164	0.802	0.625	гипервентилятсия
hyphen	0.552	0.356	0.381	дефис
hypnosis	0.417	0.410	0.546	гипноз
hypnotic	0.571	0.560	0.569	гипнозкунанда
hypnotist	0.490	0.455	0.627	гипнозист
hypnotize	0.469	0.507	0.508	гипноз кардан
hypnotized	0.449	0.434	0.380	гипноз карда шуд
hypochondriac	0.194	0.588	0.333	гипохондрия
hypocrisy	0.156	0.523	0.370	риёкорӣ
hypocrite	0.082	0.673	0.306	мунофик
hypocritical	0.048	0.740	0.415	мунофикона
hypodermic	0.240	0.441	0.445	гиподермикӣ
hypothalamus	0.593	0.427	0.539	гипоталамус
hypothermia	0.184	0.620	0.301	гипотермия
hypothesis	0.552	0.370	0.509	гипотеза
hypothetical	0.480	0.367	0.361	фарзиявӣ
hysterectomy	0.178	0.660	0.470	гистерэктомия
hysteria	0.224	0.906	0.482	истерия
hysterical	0.290	0.942	0.398	истерикӣ
ibuprofen	0.448	0.427	0.504	ибупрофен
ice	0.440	0.265	0.219	ях
ice tea	0.771	0.337	0.336	чой ях
iceberg	0.344	0.540	0.648	айсберг
icebox	0.560	0.222	0.370	қуттии яхбандӣ
icebreaker	0.571	0.545	0.848	киштии яхбандй
iced	0.564	0.482	0.339	яхбандӣ
icing	0.688	0.452	0.411	яхбандӣ
icky	0.357	0.510	0.342	ашковар
icon	0.549	0.349	0.415	нишона
iconic	0.583	0.537	0.700	барҷаста
iconography	0.602	0.382	0.653	иконография
icy	0.684	0.375	0.345	яхбандӣ
id	0.449	0.344	0.391	id
idea	0.750	0.538	0.704	идея
ideal	0.802	0.437	0.736	идеал
idealism	0.635	0.436	0.689	идеализм
idealist	0.816	0.510	0.802	идеалист
idealistic	0.812	0.469	0.755	идеалист
identical	0.635	0.380	0.527	якхела
identically	0.667	0.427	0.487	якхела
identification	0.714	0.451	0.692	шиносоӣ
identify	0.635	0.480	0.667	муайян кунанд
identity	0.663	0.360	0.780	шахсият
ideology	0.573	0.344	0.692	идеология
idiocy	0.112	0.635	0.137	аблаҳӣ
idiom	0.520	0.337	0.445	идиома
idiomatic	0.531	0.429	0.516	идиоматикӣ
idiot	0.086	0.567	0.113	ахмак
idiotic	0.104	0.620	0.170	аблаҳӣ
idiots	0.143	0.600	0.144	ахмакхо
idle	0.179	0.167	0.112	бекор
idleness	0.308	0.330	0.228	бекорй
idler	0.200	0.304	0.194	бекор
idol	0.684	0.805	0.853	бут
idolatry	0.365	0.571	0.625	бутпарастӣ
idolizing	0.676	0.712	0.643	бутпарастй
idyllic	0.571	0.394	0.593	ғайриоддӣ
iffy	0.380	0.442	0.333	ифшо
ifonly	0.406	0.250	0.255	танҳо
igloo	0.569	0.302	0.345	иглоо
igneous	0.469	0.466	0.517	магмавӣ
ignite	0.458	0.785	0.675	оташ задан
ignition	0.365	0.720	0.657	алангагирӣ
ignorance	0.153	0.417	0.209	нодонӣ
ignorant	0.102	0.461	0.223	нодон
ignore	0.146	0.230	0.295	сарфи назар кардан
iguana	0.521	0.235	0.291	игуана
ihatespiders	0.245	0.611	0.420	тортанакҳо
ilk	0.438	0.451	0.455	монанди
ill	0.073	0.410	0.200	бемор
illegal	0.061	0.787	0.337	ғайриқонунӣ
illegality	0.094	0.635	0.427	ғайриқонунӣ
illegally	0.133	0.788	0.402	ғайриқонунӣ
illegible	0.296	0.490	0.315	нохонда
illegitimate	0.184	0.644	0.302	ғайриқонунӣ
illicit	0.188	0.794	0.390	ғайриқонунӣ
illiterate	0.120	0.410	0.151	бесавод
illness	0.098	0.717	0.211	касали
illogical	0.208	0.630	0.251	бемантик
illuminate	0.905	0.646	0.782	равшан кардан
illuminating	0.949	0.613	0.773	равшанкунанда
illumination	0.760	0.588	0.537	равшанӣ
illuminator	0.770	0.566	0.718	равшанкунанда
illusion	0.562	0.490	0.387	иллюзия
illustrate	0.750	0.430	0.690	тасвир кардан
illustration	0.740	0.441	0.640	тасвир
illustrative	0.771	0.452	0.647	тасвирӣ
illustrious	0.673	0.550	0.741	номдор
ilovechristmas	0.885	0.590	0.525	Мавлуди Исо
iloveher	0.750	0.519	0.556	ман ӯро дӯст медорам
image	0.653	0.241	0.453	тасвир
imagery	0.653	0.327	0.390	тасвир
imaginable	0.613	0.529	0.596	тасаввур кардан мумкин аст
imaginary	0.560	0.424	0.310	хаёлӣ
imagination	0.802	0.491	0.547	тасаввурот
imaginative	0.780	0.541	0.593	хаёлот
imagine	0.759	0.480	0.587	тасаввур кунед
imagined	0.656	0.412	0.418	тасаввур кард
imaging	0.724	0.394	0.482	тасвир
imagining	0.765	0.458	0.545	тасаввур кардан
imam	0.527	0.337	0.539	имом
imbalance	0.115	0.538	0.264	номутаносибӣ
imbecile	0.082	0.569	0.260	беақл
imbedded	0.406	0.580	0.562	воридшуда
imissyou	0.480	0.608	0.344	ман туро пазмон шудам
imitate	0.469	0.561	0.336	тақлид кардан
imitated	0.333	0.391	0.442	тақлид кардааст
imitation	0.406	0.592	0.343	тақлид
immaculate	0.698	0.330	0.688	покиза
immaterial	0.296	0.309	0.295	ғайримоддӣ
immature	0.114	0.500	0.200	ба камолот нарасидааст
immaturity	0.146	0.567	0.221	ба камолот нарасидан
immeasurable	0.510	0.539	0.712	беандоза
immeasurably	0.510	0.640	0.680	беандоза
immediacy	0.635	0.630	0.627	фаврӣ
immediate	0.656	0.548	0.716	фавран
immediately	0.552	0.780	0.707	фавран
immemorial	0.327	0.469	0.454	абадй
immense	0.755	0.750	0.811	бузург
immerse	0.510	0.577	0.509	ғарқ кардан
immersion	0.510	0.556	0.564	таъмид
immigrant	0.357	0.663	0.509	муҳоҷир
immigration	0.390	0.667	0.454	муҳоҷират
imminent	0.490	0.784	0.643	наздик
immobile	0.225	0.217	0.298	бе ҳаракат
immoral	0.143	0.622	0.385	бадахлоқона
immorality	0.188	0.689	0.315	бадахлокй
immortal	0.812	0.750	0.795	ҷовидона
immortality	0.688	0.635	0.861	ҷовидонӣ
immovable	0.480	0.310	0.571	ғайриманқул
immune	0.629	0.472	0.780	иммунитет
immunity	0.633	0.316	0.786	иммунитет
immunization	0.667	0.510	0.733	эмкунӣ
immutable	0.427	0.431	0.571	тагйирнопазир
imp	0.350	0.448	0.420	им
impact	0.469	0.884	0.776	таъсир
impair	0.153	0.500	0.360	вайрон кардан
impaired	0.130	0.459	0.269	вайроншуда
impairment	0.170	0.571	0.220	беқурбшавӣ
impart	0.521	0.441	0.694	додан
impartial	0.531	0.406	0.685	холисона
impartiality	0.622	0.394	0.616	беғаразӣ
impassable	0.342	0.458	0.553	ногузар
impassioned	0.740	0.780	0.802	дилчасп
impatience	0.278	0.780	0.411	бесабрӣ
impatient	0.250	0.708	0.429	бесабр
impatiently	0.194	0.750	0.539	бесаброна
impeach	0.208	0.776	0.664	айбдор кардан
impeachment	0.163	0.735	0.694	импичмент
impeccable	0.833	0.370	0.824	бенуқсон
impede	0.271	0.510	0.604	монеъ шудан
impediment	0.163	0.600	0.409	монеа
impelled	0.604	0.741	0.690	тела дода
impending	0.480	0.735	0.752	дар пеш истода
impenetrable	0.531	0.577	0.839	касногузар
imperative	0.625	0.647	0.708	ҳатмӣ
imperceptible	0.378	0.490	0.548	нонамоён
imperfect	0.173	0.527	0.202	нокомил
imperfection	0.190	0.567	0.321	нокомилӣ
imperfectly	0.297	0.481	0.330	нокомил
imperial	0.669	0.646	0.922	империалистй
imperialist	0.284	0.786	0.833	империалистй
impermeable	0.510	0.308	0.558	гузаранда
impermissible	0.188	0.464	0.352	ҷоиз нест
impersonal	0.316	0.356	0.472	ғайришахсӣ
impersonate	0.510	0.632	0.591	шахсият кардан
impersonation	0.375	0.618	0.528	тақлид кардан
impersonator	0.469	0.586	0.406	тақлидкунанда
impertinence	0.170	0.653	0.420	бепарвоӣ
impertinent	0.219	0.826	0.373	бепарво
impervious	0.582	0.408	0.536	гузаранда
impetuous	0.602	0.814	0.712	пуртаъсир
impetus	0.521	0.740	0.635	такони
implacable	0.569	0.663	0.830	оштинопазир
implant	0.429	0.510	0.588	имплантатсия
implantation	0.396	0.604	0.741	имплантация
implanted	0.347	0.500	0.679	имплантатсия карда шудааст
implement	0.720	0.573	0.792	амалй гардонанд
implicate	0.250	0.670	0.434	ишора кардан
implicated	0.354	0.673	0.438	дахл дорад
implication	0.337	0.528	0.690	маъно
implied	0.327	0.530	0.481	дар назар дошта шудааст
implore	0.396	0.650	0.377	илтимос
implosion	0.412	0.724	0.547	таркиш
imply	0.542	0.670	0.533	дар назар дорад
impolite	0.167	0.590	0.282	беодоб
import	0.615	0.480	0.623	воридот
importance	0.750	0.580	0.864	аҳамият
important	0.827	0.630	0.836	муҳим
importation	0.625	0.500	0.733	воридот
impose	0.503	0.721	0.745	бор кардан
imposing	0.392	0.731	0.836	боркунанда
imposition	0.357	0.604	0.618	гузоштан
impossibility	0.170	0.625	0.306	имконнопазирӣ
impossible	0.153	0.510	0.407	имконнопазир
impostor	0.135	0.704	0.442	фиребгар
impotence	0.198	0.689	0.224	беқувватӣ
impotent	0.146	0.587	0.333	нотавон
impound	0.230	0.587	0.583	ҳабс кардан
impoverished	0.125	0.311	0.203	бенаво
impracticable	0.398	0.549	0.381	ғайриимкон аст
impractical	0.160	0.373	0.291	ғайриимкон
impregnable	0.378	0.549	0.667	дастнорас
impregnate	0.510	0.721	0.655	ҳомила кардан
impress	0.816	0.744	0.895	мутаассир кардан
impressed	0.806	0.770	0.429	мутаассир гардид
impression	0.684	0.557	0.577	таассурот
impressionable	0.827	0.720	0.645	таъсирбахш
impressive	0.781	0.830	0.873	таъсирбахш
imprint	0.615	0.574	0.685	чоп кардан
imprison	0.112	0.829	0.545	зиндон кардан
imprisoned	0.032	0.717	0.302	зиндонӣ шудааст
imprisonment	0.133	0.630	0.471	зиндон
improbable	0.097	0.412	0.439	имконнопазир
impromptu	0.541	0.729	0.415	беихтиёрона
improper	0.229	0.520	0.259	номуносиб
impropriety	0.133	0.591	0.389	номуносибӣ
improve	0.833	0.528	0.815	такмил додан
improved	0.919	0.480	0.679	такмил дода шуд
improvement	0.786	0.500	0.611	беҳтаршавӣ
improves	0.929	0.625	0.727	бехтар мекунад
improving	0.911	0.510	0.682	такмил дода мешавад
improvisation	0.631	0.812	0.529	импровизация
improvise	0.646	0.650	0.519	импровизация
improvised	0.610	0.673	0.443	импровизация
imprudent	0.170	0.676	0.265	бепарво
impudence	0.214	0.500	0.472	бепарвоӣ
impudent	0.302	0.604	0.462	бепарво
impulse	0.530	0.840	0.611	импулс
impulsive	0.365	0.864	0.607	импулсивӣ
impunity	0.313	0.721	0.602	беҷазо
impure	0.260	0.560	0.208	нопок
impurity	0.173	0.546	0.306	наҷосат
imputation	0.333	0.654	0.621	таъриф
imtryingtosleep	0.438	0.363	0.385	мехохам хоб кунам
inability	0.150	0.529	0.250	нотавонӣ
inaccessible	0.083	0.585	0.446	дастнорас
inaccurate	0.135	0.450	0.250	нодуруст
inaction	0.323	0.225	0.325	беамалӣ
inactivate	0.245	0.240	0.415	ғайрифаъол кардан
inactivation	0.198	0.260	0.220	ғайрифаъолшавӣ
inactive	0.271	0.167	0.159	ғайрифаъол
inactivity	0.135	0.143	0.227	бефаъолиятӣ
inadequacy	0.286	0.500	0.297	номувофиқӣ
inadequate	0.122	0.450	0.223	нокифоя
inadequateness	0.240	0.529	0.316	нокофй
inadmissible	0.188	0.636	0.389	қобили қабул нест
inadvertent	0.365	0.368	0.286	нохост
inadvertently	0.302	0.541	0.549	нохост
inaffable	0.388	0.518	0.455	нотавон
inalienable	0.437	0.459	0.608	ҷудонашаванда
inane	0.271	0.350	0.268	беасос
inanimate	0.281	0.143	0.224	беҷон
inapplicable	0.281	0.402	0.330	татбиқшаванда
inappropriate	0.135	0.542	0.353	номуносиб
inattention	0.208	0.433	0.188	беэътиноӣ
inaudible	0.280	0.398	0.358	шуниданашаванда
inaugural	0.684	0.567	0.608	кушодашавй
inaugurate	0.781	0.582	0.800	ифтитоҳ кунед
inauguration	0.847	0.712	0.769	ифтитоҳ
inborn	0.590	0.288	0.546	таваллуд
inbound	0.531	0.388	0.538	воридшаванда
inbred	0.397	0.520	0.473	насл
incalculable	0.449	0.620	0.679	бешумор
incandescent	0.354	0.612	0.621	фурӯзон
incantation	0.439	0.632	0.548	фитна
incapable	0.156	0.529	0.155	нотавон
incapacity	0.052	0.500	0.217	кобилият надоштан
incarceration	0.100	0.800	0.397	ба ҳабс гирифтан
incarnate	0.552	0.651	0.593	муҷаррад
incase	0.580	0.196	0.365	Агар
incendiary	0.281	0.810	0.598	оташзананда
incense	0.698	0.275	0.328	бухур
incensed	0.338	0.643	0.392	хашмгин шуд
incentive	0.812	0.618	0.718	ҳавасмандкунӣ
inception	0.604	0.425	0.561	ибтидо
incessant	0.438	0.760	0.544	беист
incessantly	0.417	0.765	0.606	беист
incest	0.073	0.853	0.491	никоҳи хешутаборӣ
incestuous	0.188	0.736	0.442	хешутаборӣ
inch	0.481	0.327	0.300	дюйм
incidence	0.417	0.527	0.429	ҳодиса
incident	0.084	0.662	0.482	ҳодиса
incidental	0.281	0.610	0.404	тасодуфӣ
incidentally	0.479	0.500	0.500	тасодуфан
incineration	0.229	0.787	0.470	сӯзондан
incinerator	0.250	0.643	0.591	сӯзондан
incipient	0.442	0.382	0.430	ибтидоӣ
incision	0.240	0.663	0.558	буридан
incisive	0.380	0.602	0.545	пурмазмун
incite	0.449	0.736	0.642	барангехт
incitement	0.302	0.943	0.598	игвогарй
inclement	0.260	0.676	0.616	ногувор
inclination	0.378	0.490	0.538	майл
incline	0.490	0.423	0.345	майл
inclined	0.469	0.347	0.402	моил
include	0.729	0.449	0.702	дохил мекунанд
included	0.760	0.402	0.570	дохил карда шудааст
including	0.700	0.378	0.518	аз чумла
inclusion	0.774	0.404	0.712	дохил кардан
inclusive	0.604	0.420	0.564	фарогир
incognito	0.610	0.490	0.446	номаълум
incoherent	0.122	0.612	0.250	номувофиқ
income	0.750	0.510	0.728	даромад
incoming	0.660	0.509	0.596	воридшаванда
