English Word	Valence	Arousal	Dominance	Malagasy Word
humbled	0.280	0.618	0.198	nanetry
humbly	0.771	0.194	0.370	fanetren-tena
humbug	0.219	0.622	0.456	humbug
humdrum	0.269	0.246	0.353	humdrum
humid	0.375	0.324	0.366	mando
humidity	0.464	0.373	0.367	hamandoana
humiliate	0.052	0.714	0.275	baraka
humiliated	0.104	0.712	0.216	baraka
humiliating	0.062	0.716	0.279	manala baraka
humiliation	0.048	0.712	0.310	fanalam-baraka
humility	0.740	0.118	0.444	FANETREN-TENA
hummer	0.510	0.622	0.589	hummer
hummingbird	0.750	0.370	0.273	Kôlibria
humongous	0.378	0.538	0.536	humongous
humor	0.890	0.633	0.462	humor
humored	0.854	0.657	0.545	humored
humorist	0.958	0.790	0.607	mpanao hatsikana
humorous	0.906	0.616	0.665	nampihomehy
hump	0.296	0.462	0.250	hump
humpback	0.235	0.346	0.247	misy trafo
hunch	0.561	0.630	0.567	fihevitra
hunchback	0.208	0.390	0.259	hunchback
hundred	0.604	0.370	0.406	-jato
hundredth	0.427	0.368	0.466	jato
hunger	0.083	0.554	0.328	hanoanana
hungry	0.083	0.690	0.254	NOANA
hunk	0.438	0.375	0.361	hunk
hunks	0.417	0.453	0.482	hunks
hunky	0.469	0.571	0.438	hunky
hunt	0.327	0.806	0.588	mihaza
hunter	0.292	0.817	0.817	mpihaza
hunting	0.448	0.713	0.714	mihaza
huntress	0.357	0.717	0.765	mpihaza
hurdle	0.198	0.682	0.434	sakana
hurl	0.316	0.745	0.574	Hatsipiny
hurrah	0.802	0.740	0.500	kopakopan-tànana
hurricane	0.177	0.958	0.787	Rivo-doza
hurricanes	0.286	0.898	0.784	rivo-doza
hurried	0.314	0.806	0.393	haingana
hurry	0.422	0.735	0.481	haingana
hurryup	0.473	0.791	0.555	haingana
hurt	0.062	0.773	0.291	loza
hurtful	0.104	0.680	0.463	-dratsy
hurting	0.153	0.778	0.221	mandratra
husband	0.771	0.500	0.655	lehilahy
husbandry	0.643	0.473	0.445	fiompiana
hush	0.471	0.231	0.312	Mangìna
hushed	0.292	0.194	0.272	nangina
husk	0.378	0.173	0.147	hodiny
husky	0.630	0.450	0.490	husky
hussy	0.219	0.594	0.384	VHS
hustle	0.406	0.661	0.427	mihazakazahana
hustler	0.260	0.821	0.627	hustler
hut	0.633	0.270	0.375	trano bongo
hutch	0.385	0.453	0.520	trano fitehirizam-bokatra
hyacinth	0.372	0.360	0.342	hyacinth
hybrid	0.500	0.365	0.570	mifangaro
hydra	0.406	0.598	0.534	hydra
hydrant	0.570	0.413	0.367	hydrant
hydrate	0.610	0.367	0.547	hydrate
hydraulic	0.522	0.398	0.596	hydraulic
hydraulics	0.500	0.530	0.588	hydraulic
hydrocephalus	0.286	0.629	0.393	hydrocephalus
hydrodynamics	0.552	0.582	0.664	hydrodynamics
hydrogen	0.469	0.303	0.554	hydrogène
hydrographic	0.490	0.396	0.642	hydrographie
hydrology	0.500	0.380	0.509	hydrology
hydrophobia	0.323	0.784	0.351	hydrophobia
hydroponics	0.500	0.549	0.500	hydroponics
hyena	0.396	0.719	0.464	hyena
hygiene	0.781	0.287	0.537	fitandremam-pahasalamana
hygienic	0.719	0.245	0.702	madio
hygienist	0.698	0.389	0.682	hygienist
hymen	0.469	0.651	0.457	hymen
hymn	0.735	0.292	0.634	hira
hype	0.510	0.500	0.586	natrehin'ireo
hyped	0.708	0.582	0.679	hyped
hyper	0.542	0.616	0.640	hyper
hyperactive	0.500	0.921	0.660	hyperactive
hyperbole	0.469	0.521	0.542	fanoharana
hyperspace	0.510	0.623	0.755	hyperspace
hypertension	0.133	0.784	0.427	fiakaran'ny tosidrà
hypertrophy	0.312	0.625	0.413	hypertrophy
hyperventilate	0.347	0.729	0.556	miahiahy loatra
hyperventilating	0.164	0.802	0.625	hyperventilation
hyphen	0.552	0.356	0.381	panohizana
hypnosis	0.417	0.410	0.546	hypnosis
hypnotic	0.571	0.560	0.569	milamindamina
hypnotist	0.490	0.455	0.627	hipnotisma
hypnotize	0.469	0.507	0.508	hypnotize
hypnotized	0.449	0.434	0.380	hypnotized
hypochondriac	0.194	0.588	0.333	hypochondriac
hypocrisy	0.156	0.523	0.370	fihatsaram-belatsihy
hypocrite	0.082	0.673	0.306	Ry mpihatsaravelatsihy
hypocritical	0.048	0.740	0.415	mihatsaravelatsihy
hypodermic	0.240	0.441	0.445	hypodermic
hypothalamus	0.593	0.427	0.539	hypothalamus
hypothermia	0.184	0.620	0.301	hypothermia
hypothesis	0.552	0.370	0.509	petra-kevitra
hypothetical	0.480	0.367	0.361	kidaladalan'ny
hysterectomy	0.178	0.660	0.470	hysterectomy
hysteria	0.224	0.906	0.482	tsain'ny
hysterical	0.290	0.942	0.398	toy ny adaladala kely
ibuprofen	0.448	0.427	0.504	ibuprofen
ice	0.440	0.265	0.219	ranomandry
ice tea	0.771	0.337	0.336	gilasy dite
iceberg	0.344	0.540	0.648	vaingan-dranomandry
icebox	0.560	0.222	0.370	boaty gilasy
icebreaker	0.571	0.545	0.848	mpanapaka ranomandry
iced	0.564	0.482	0.339	gilasy
icing	0.688	0.452	0.411	gilasy
icky	0.357	0.510	0.342	icky
icon	0.549	0.349	0.415	matoanteny
iconic	0.583	0.537	0.700	malaza
iconography	0.602	0.382	0.653	iconography
icy	0.684	0.375	0.345	ranomandry
id	0.449	0.344	0.391	id
idea	0.750	0.538	0.704	hevitra
ideal	0.802	0.437	0.736	tonga lafatra
idealism	0.635	0.436	0.689	be di-
idealist	0.816	0.510	0.802	idealista
idealistic	0.812	0.469	0.755	manonofinofy
identical	0.635	0.380	0.527	mitovy
identically	0.667	0.427	0.487	mitovy
identification	0.714	0.451	0.692	famantarana
identify	0.635	0.480	0.667	hamantatra
identity	0.663	0.360	0.780	maha-
ideology	0.573	0.344	0.692	firehan-kevitra
idiocy	0.112	0.635	0.137	hadalana
idiom	0.520	0.337	0.445	fomba fiteny
idiomatic	0.531	0.429	0.516	idiomatika
idiot	0.086	0.567	0.113	adala
idiotic	0.104	0.620	0.170	adaladala
idiots	0.143	0.600	0.144	adala
idle	0.179	0.167	0.112	malaina
idleness	0.308	0.330	0.228	ny fidonanaham-poana
idler	0.200	0.304	0.194	kamo
idol	0.684	0.805	0.853	SAMPY
idolatry	0.365	0.571	0.625	fanompoan-tsampy
idolizing	0.676	0.712	0.643	manindrahindra
idyllic	0.571	0.394	0.593	idyllic
iffy	0.380	0.442	0.333	iffy
ifonly	0.406	0.250	0.255	ifonly
igloo	0.569	0.302	0.345	igloo
igneous	0.469	0.466	0.517	igneous
ignite	0.458	0.785	0.675	handrehitra
ignition	0.365	0.720	0.657	ignition
ignorance	0.153	0.417	0.209	tsy fahalalana
ignorant	0.102	0.461	0.223	tsy mahalala
ignore	0.146	0.230	0.295	tsinontsinona
iguana	0.521	0.235	0.291	iguana
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	İlk
ill	0.073	0.410	0.200	marary
illegal	0.061	0.787	0.337	Tsy Ara-dalàna
illegality	0.094	0.635	0.427	dalàna
illegally	0.133	0.788	0.402	tsy ara-dalàna
illegible	0.296	0.490	0.315	tsy azo vakiana
illegitimate	0.184	0.644	0.302	tsy ara-dalàna
illicit	0.188	0.794	0.390	tsy ara-dalàna
illiterate	0.120	0.410	0.151	mahay taratasy
illness	0.098	0.717	0.211	faharariana
illogical	0.208	0.630	0.251	lojika
illuminate	0.905	0.646	0.782	hanazava
illuminating	0.949	0.613	0.773	manazava
illumination	0.760	0.588	0.537	hazavana
illuminator	0.770	0.566	0.718	mpanazava
illusion	0.562	0.490	0.387	nofinofy
illustrate	0.750	0.430	0.690	ohatra
illustration	0.740	0.441	0.640	SARY
illustrative	0.771	0.452	0.647	sarin-teny momba
illustrious	0.673	0.550	0.741	malaza
ilovechristmas	0.885	0.590	0.525	ilovechristmas
iloveher	0.750	0.519	0.556	tiako izy
image	0.653	0.241	0.453	SARY
imagery	0.653	0.327	0.390	sary
imaginable	0.613	0.529	0.596	javatra tsy
imaginary	0.560	0.424	0.310	an'eritreritra
imagination	0.802	0.491	0.547	mamoron
imaginative	0.780	0.541	0.593	sary an-tsaina
imagine	0.759	0.480	0.587	sary an-tsaina
imagined	0.656	0.412	0.418	sary an-tsaina
imaging	0.724	0.394	0.482	fitarafana
imagining	0.765	0.458	0.545	sary an-tsaina
imam	0.527	0.337	0.539	imam
imbalance	0.115	0.538	0.264	fifandanjan'ny
imbecile	0.082	0.569	0.260	imbecile
imbedded	0.406	0.580	0.562	alentika
imissyou	0.480	0.608	0.344	malahelo anao aho
imitate	0.469	0.561	0.336	Tahafo
imitated	0.333	0.391	0.442	Nanahaka an'i
imitation	0.406	0.592	0.343	toa
immaculate	0.698	0.330	0.688	madiodio
immaterial	0.296	0.309	0.295	azo tsapaintanana
immature	0.114	0.500	0.200	matoy
immaturity	0.146	0.567	0.221	tsy fahamatorana
immeasurable	0.510	0.539	0.712	hay refesina
immeasurably	0.510	0.640	0.680	be dia be
immediacy	0.635	0.630	0.627	maika
immediate	0.656	0.548	0.716	avy hatrany
immediately	0.552	0.780	0.707	AVY HATRANY
immemorial	0.327	0.469	0.454	ireo asa fanasoavana
immense	0.755	0.750	0.811	goavam-be
immerse	0.510	0.577	0.509	hanitrika
immersion	0.510	0.556	0.564	asitrika
immigrant	0.357	0.663	0.509	mpifindra monina
immigration	0.390	0.667	0.454	Fifindrà-monina
imminent	0.490	0.784	0.643	antomotra
immobile	0.225	0.217	0.298	tsy mihetsika
immoral	0.143	0.622	0.385	fitondran-tena maloto
immorality	0.188	0.689	0.315	fitondran-tena maloto
immortal	0.812	0.750	0.795	Tsy Mety Maty
immortality	0.688	0.635	0.861	ny tsy fahafatesana
immovable	0.480	0.310	0.571	voahozongozona
immune	0.629	0.472	0.780	-kery fanefitra
immunity	0.633	0.316	0.786	tsimatimanota
immunization	0.667	0.510	0.733	vaksiny
immutable	0.427	0.431	0.571	loha tsy mety miova
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	fiantraikany
impair	0.153	0.500	0.360	mahakasika
impaired	0.130	0.459	0.269	Simba
impairment	0.170	0.571	0.220	fanarahana
impart	0.521	0.441	0.694	mizara
impartial	0.531	0.406	0.685	manavakavaka
impartiality	0.622	0.394	0.616	tsy mitanila
impassable	0.342	0.458	0.553	Tsy azo naleha
impassioned	0.740	0.780	0.802	masiaka
impatience	0.278	0.780	0.411	tsy manam-paharetana
impatient	0.250	0.708	0.429	tsy manam-paharetana
impatiently	0.194	0.750	0.539	tsy amim-paharetana
impeach	0.208	0.776	0.664	impeach
impeachment	0.163	0.735	0.694	impeachment
impeccable	0.833	0.370	0.824	tsy misy kilema
impede	0.271	0.510	0.604	hanakantsakana
impediment	0.163	0.600	0.409	vato misakana
impelled	0.604	0.741	0.690	hahavoatosika
impending	0.480	0.735	0.752	didim-
impenetrable	0.531	0.577	0.839	tafiditry ny fahavalo
imperative	0.625	0.647	0.708	filaza mandidin '
imperceptible	0.378	0.490	0.548	ny fahatsapana
imperfect	0.173	0.527	0.202	tsy lavorary
imperfection	0.190	0.567	0.321	LAVORARY
imperfectly	0.297	0.481	0.330	dia mbola tsy
imperial	0.669	0.646	0.922	amperora
imperialist	0.284	0.786	0.833	imperialista
impermeable	0.510	0.308	0.558	tsy len-drano
impermissible	0.188	0.464	0.352	tsy azo ekena
impersonal	0.316	0.356	0.472	tsy manana ny maha
impersonate	0.510	0.632	0.591	hiseho ho
impersonation	0.375	0.618	0.528	fisandohana
impersonator	0.469	0.586	0.406	mpisandoka
impertinence	0.170	0.653	0.420	fahalalam-pomba
impertinent	0.219	0.826	0.373	manafintohina
impervious	0.582	0.408	0.536	tsy mahazaka
impetuous	0.602	0.814	0.712	mirehidrehitra
impetus	0.521	0.740	0.635	tosika
implacable	0.569	0.663	0.830	tsy azo ivalozana
implant	0.429	0.510	0.588	amin'ireo fanjary tsaika
implantation	0.396	0.604	0.741	implantation
implanted	0.347	0.500	0.679	nambolena
implement	0.720	0.573	0.792	Tanteraho
implicate	0.250	0.670	0.434	mampiditra
implicated	0.354	0.673	0.438	voarohirohy
implication	0.337	0.528	0.690	kolaka
implied	0.327	0.530	0.481	Te hilaza
implore	0.396	0.650	0.377	miangavy
implosion	0.412	0.724	0.547	implosion
imply	0.542	0.670	0.533	midika
impolite	0.167	0.590	0.282	tsy mahalala fomba
import	0.615	0.480	0.623	manafatra
importance	0.750	0.580	0.864	MAHA ZAVA- DEHIBE
important	0.827	0.630	0.836	ZAVA-DEHIBE
importation	0.625	0.500	0.733	fanafarana
impose	0.503	0.721	0.745	hametraka
imposing	0.392	0.731	0.836	Mampitolagaga
imposition	0.357	0.604	0.618	fametrahan
impossibility	0.170	0.625	0.306	tanteraka
impossible	0.153	0.510	0.407	azo atao
impostor	0.135	0.704	0.442	mpisandoka
impotence	0.198	0.689	0.224	levitra
impotent	0.146	0.587	0.333	marary
impound	0.230	0.587	0.583	fisamborana
impoverished	0.125	0.311	0.203	mahantra
impracticable	0.398	0.549	0.381	tsy azo ampiharina
impractical	0.160	0.373	0.291	sarotra
impregnable	0.378	0.549	0.667	tsy nety resy
impregnate	0.510	0.721	0.655	imbetsaka
impress	0.816	0.744	0.895	volana
impressed	0.806	0.770	0.429	Niaiky volana
impression	0.684	0.557	0.577	fahatsapana
impressionable	0.827	0.720	0.645	mahasarika
impressive	0.781	0.830	0.873	mahavariana
imprint	0.615	0.574	0.685	marika
imprison	0.112	0.829	0.545	hanagadra
imprisoned	0.032	0.717	0.302	naiditra am-ponja
imprisonment	0.133	0.630	0.471	am-ponja
improbable	0.097	0.412	0.439	hitranga
impromptu	0.541	0.729	0.415	impromptu
improper	0.229	0.520	0.259	dratsy
impropriety	0.133	0.591	0.389	tsy fahamendrehana
improve	0.833	0.528	0.815	manatsara
improved	0.919	0.480	0.679	kokoa
improvement	0.786	0.500	0.611	fanatsarana
improves	0.929	0.625	0.727	kokoa
improving	0.911	0.510	0.682	fanatsarana
improvisation	0.631	0.812	0.529	improvisation
improvise	0.646	0.650	0.519	manao improvise
improvised	0.610	0.673	0.443	improvised
imprudent	0.170	0.676	0.265	tsy mitandrina
impudence	0.214	0.500	0.472	tsy fahampiana
impudent	0.302	0.604	0.462	maditra
impulse	0.530	0.840	0.611	maimay
impulsive	0.365	0.864	0.607	taitaitra
impunity	0.313	0.721	0.602	tsimatimanota
impure	0.260	0.560	0.208	maloto
impurity	0.173	0.546	0.306	fahalotoana
imputation	0.333	0.654	0.621	imputation
imtryingtosleep	0.438	0.363	0.385	imtryingtonsleep
inability	0.150	0.529	0.250	tsy fahafahany
inaccessible	0.083	0.585	0.446	tsy afaka nidirana
inaccurate	0.135	0.450	0.250	tsy marina
inaction	0.323	0.225	0.325	tsy firaikan'ny
inactivate	0.245	0.240	0.415	tsy mihetsika
inactivation	0.198	0.260	0.220	inactivation
inactive	0.271	0.167	0.159	tsy mavitrika
inactivity	0.135	0.143	0.227	inona na inona
inadequacy	0.286	0.500	0.297	tenany ho tsy mahay
inadequate	0.122	0.450	0.223	ho tsy mahay
inadequateness	0.240	0.529	0.316	tsy fahampiana
inadmissible	0.188	0.636	0.389	tsy azo ekena
inadvertent	0.365	0.368	0.286	tsy nahy
inadvertently	0.302	0.541	0.549	nahy
inaffable	0.388	0.518	0.455	tsy azo ambara
inalienable	0.437	0.459	0.608	tsy azo esorina
inane	0.271	0.350	0.268	inane
inanimate	0.281	0.143	0.224	tsy mananaina
inapplicable	0.281	0.402	0.330	tsy azo ampiharina
inappropriate	0.135	0.542	0.353	tsy manara-penitra
inattention	0.208	0.433	0.188	tsy fitandremana
inaudible	0.280	0.398	0.358	tsy re
inaugural	0.684	0.567	0.608	fitokanana
inaugurate	0.781	0.582	0.800	hanokatra
inauguration	0.847	0.712	0.769	fitokanana
inborn	0.590	0.288	0.546	voajanahary
inbound	0.531	0.388	0.538	mampihiditra
inbred	0.397	0.520	0.473	inbred
incalculable	0.449	0.620	0.679	tsy voavidim-bola
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	fanozonana
incapable	0.156	0.529	0.155	mahavita
incapacity	0.052	0.500	0.217	kilema
incarceration	0.100	0.800	0.397	fampidirana am-ponja
incarnate	0.552	0.651	0.593	nofo
incase	0.580	0.196	0.365	raha toa ka
incendiary	0.281	0.810	0.598	fandoroana
incense	0.698	0.275	0.328	ditin-kazo manitra
incensed	0.338	0.643	0.392	tezitra
incentive	0.812	0.618	0.718	mandrisika
inception	0.604	0.425	0.561	niandohan'ny
incessant	0.438	0.760	0.544	tapaka
incessantly	0.417	0.765	0.606	ka aza mitsahatra
incest	0.073	0.853	0.491	firaisana amin'olom-pady
incestuous	0.188	0.736	0.442	olom-pady
inch	0.481	0.327	0.300	santimetatra
incidence	0.417	0.527	0.429	tranga
incident	0.084	0.662	0.482	zava-nitranga
incidental	0.281	0.610	0.404	mpitranga
incidentally	0.479	0.500	0.500	Tsara marihina
incineration	0.229	0.787	0.470	fandoroana
incinerator	0.250	0.643	0.591	fandoroana
incipient	0.442	0.382	0.430	incipient
incision	0.240	0.663	0.558	incision
incisive	0.380	0.602	0.545	insif
incite	0.449	0.736	0.642	mandrisika
incitement	0.302	0.943	0.598	fampirisihana
inclement	0.260	0.676	0.616	ratsy
inclination	0.378	0.490	0.538	fironana
incline	0.490	0.423	0.345	Atongilano
inclined	0.469	0.347	0.402	nanongilana
include	0.729	0.449	0.702	ahitana
included	0.760	0.402	0.570	tafiditra
including	0.700	0.378	0.518	anisan'izany ny
inclusion	0.774	0.404	0.712	fampidirana
inclusive	0.604	0.420	0.564	manavaka
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	tsy mazava
income	0.750	0.510	0.728	fidiram-bola
incoming	0.660	0.509	0.596	Narahi-
incomparable	0.625	0.577	0.670	tsy manan-tsahala
incompatible	0.196	0.500	0.310	Ilana
incompetence	0.077	0.551	0.208	tsy fahaizana
incompetent	0.133	0.566	0.239	tsy mahavita azy
incomplete	0.153	0.370	0.205	teny
incompletely	0.344	0.442	0.232	tsy feno
incompleteness	0.271	0.451	0.234	tsy fahafenoana
incomprehensible	0.250	0.550	0.344	tsy takatry ny saina
inconceivable	0.198	0.552	0.561	inoana
inconclusive	0.153	0.442	0.340	tsy azo antoka
incongruous	0.177	0.504	0.343	tsy mifanaraka
inconsequential	0.250	0.480	0.345	dikany
inconsiderate	0.224	0.519	0.423	mieritreritra
inconsistency	0.125	0.480	0.314	tsy mifanaraka
inconsistent	0.271	0.431	0.295	mifanaraka
inconspicuous	0.604	0.214	0.368	tsy hita maso
incontinence	0.150	0.598	0.272	incontinence
inconvenience	0.063	0.667	0.291	fanelingelenana
inconvenient	0.224	0.610	0.375	manahirana
incorporate	0.745	0.612	0.571	mampiditra
incorporation	0.573	0.404	0.768	fahatongavana ho fikambanana izany
incorrect	0.140	0.569	0.255	diso
incorrigible	0.130	0.667	0.500	sy tsy mety
increase	0.810	0.657	0.886	mitombo
increased	0.684	0.660	0.773	FANDROSOANA
incredible	0.857	0.796	0.902	mampino
incredulous	0.286	0.510	0.269	tsy tena nino
increment	0.684	0.637	0.750	increment
incriminate	0.188	0.810	0.416	hiampangana
incriminating	0.133	0.788	0.500	manameloka
incrimination	0.152	0.865	0.545	fanamelohana
incubation	0.461	0.490	0.397	incubation
incubator	0.510	0.435	0.405	incubator
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	amperinasa
incur	0.312	0.667	0.495	hiharan'ny
incurable	0.104	0.667	0.255	tsy azo sitranina
incursion	0.552	0.830	0.719	fitsofohany
indebted	0.138	0.698	0.275	Raiki-trosa
indecency	0.135	0.670	0.491	ambony ny tsy fahamaontinana
indecent	0.083	0.683	0.240	mendrika
indecision	0.184	0.480	0.196	aza misalasala
indecisive	0.271	0.420	0.190	misalasala
indefensible	0.173	0.647	0.484	tsy azo arovana
indefinite	0.448	0.292	0.296	Anarana
indelible	0.490	0.337	0.591	tsy maty vonoina
indemnification	0.521	0.490	0.770	tamby
indemnify	0.449	0.548	0.613	manonitra
indemnity	0.470	0.607	0.692	onitra
indent	0.479	0.346	0.379	Kinifinify
indentation	0.374	0.500	0.349	Fikinifinifin'ny
indenture	0.434	0.382	0.636	indenture
independence	0.896	0.663	0.911	TE HAHALEO TENA
independent	0.885	0.440	0.872	tsy miankina
indescribable	0.448	0.529	0.648	hay lazaina
indestructible	0.772	0.731	0.853	mety levona
indeterminate	0.360	0.402	0.322	tsy voafaritra
index	0.448	0.268	0.342	Fanondroana
indicate	0.594	0.350	0.676	manondro
indicating	0.745	0.339	0.555	Midika
indication	0.719	0.432	0.750	famantarana
indicative	0.510	0.510	0.591	matoanteny
indicator	0.573	0.451	0.670	famantarana
indice	0.469	0.377	0.541	Índice
indict	0.188	0.731	0.458	miampanga
indictment	0.245	0.745	0.577	fiampangana
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	tsy firaharahiana
indifferent	0.396	0.157	0.250	miraharaha
indigenous	0.500	0.509	0.552	vazimba teratany
indigent	0.156	0.481	0.223	mahantra
indigestion	0.204	0.610	0.182	tsy fahampian-tsakafo
indignant	0.260	0.600	0.423	tezitra
indignation	0.173	0.778	0.431	fahatezerana
indignity	0.167	0.500	0.306	baraka
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	ankolaka
indiscreet	0.177	0.587	0.342	tsy malina
indiscretion	0.265	0.637	0.390	tsy fahampiana
indispensable	0.710	0.449	0.802	ilaina
indisposed	0.122	0.519	0.206	tsy mahazaka
indistinct	0.255	0.340	0.360	hafahafa
indistinguishable	0.346	0.458	0.548	tsy azo avahana
individual	0.627	0.327	0.533	olona
individuality	0.612	0.469	0.527	maha
indivisible	0.646	0.398	0.580	saratsarahina
indoctrination	0.327	0.657	0.698	indoctrination
indolent	0.177	0.381	0.259	kamo
indomitable	0.458	0.800	0.830	tsy manaiky lembenana
indoor	0.615	0.245	0.347	an-trano
induce	0.257	0.606	0.684	hitarika
induced	0.397	0.471	0.491	nampirisika
inducement	0.647	0.765	0.685	handrisihana
induction	0.392	0.593	0.627	induction
indulge	0.833	0.716	0.669	manaram-po
indulgence	0.479	0.490	0.517	endolzansy
indulgent	0.560	0.481	0.529	Nandefitra
industrial	0.469	0.600	0.875	AN'NY TAOZAVA-BAVENTY
industrialist	0.562	0.633	0.843	indostrialy
industrious	0.720	0.537	0.791	miasa
industry	0.650	0.447	0.836	orinasa
ineffable	0.551	0.577	0.585	tsy hay ambara
ineffective	0.093	0.422	0.094	tsy mahomby
ineffectual	0.163	0.412	0.200	tsy mahomby
inefficiency	0.092	0.466	0.181	tsy fahombiazana
inefficient	0.190	0.460	0.173	tsy mahomby
inelastic	0.396	0.426	0.385	inelastic
ineligible	0.143	0.377	0.457	fidiana
inept	0.156	0.418	0.209	Nampahery
ineptitude	0.177	0.471	0.250	tsy fahaizana
inequality	0.122	0.575	0.259	ny tsy fitoviana
inequitable	0.281	0.519	0.373	tsy mitombina
inert	0.323	0.180	0.319	inert
inertia	0.344	0.288	0.322	inertia
inevitable	0.316	0.419	0.623	tsy azo ihodivirana
inexact	0.153	0.459	0.170	tsy marina
inexcusable	0.271	0.582	0.546	afa-tsiny
inexhaustible	0.602	0.541	0.643	mety ritra
inexpensive	0.694	0.414	0.260	lafo
inexperience	0.208	0.614	0.151	tsy traikefa
inexperienced	0.281	0.473	0.231	kely saina
inexplicable	0.224	0.635	0.443	tsy hay hazavaina
inexpressible	0.198	0.608	0.364	tsy hay lazaina
infallibility	0.583	0.663	0.764	tsy fetezana ho diso
infallible	0.776	0.687	0.809	tsy mety diso
infamous	0.146	0.580	0.472	nalaza ratsy
infamy	0.177	0.676	0.421	ambentinteny
infancy	0.750	0.399	0.370	zazakely
infant	0.802	0.431	0.328	zaza
infanticide	0.167	0.856	0.443	zazalahy hebreo
infantile	0.604	0.382	0.259	zazakely
infantry	0.531	0.684	0.791	-tongotra
infarct	0.080	0.846	0.386	infarct
infatuated	0.729	0.764	0.417	raiki-tahotra
infatuation	0.844	0.745	0.530	Potika Be
infeasible	0.245	0.472	0.236	tsy azo atao
infect	0.102	0.777	0.424	hanan-kery eo
infection	0.083	0.735	0.407	aretina
infectious	0.142	0.760	0.422	mifindra
infer	0.449	0.490	0.453	infer
inference	0.359	0.479	0.398	inferences
inferential	0.426	0.451	0.455	inferencial
inferior	0.260	0.254	0.106	ambany
inferiority	0.177	0.430	0.205	ambany
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	tsy hamokatra izy
infertility	0.170	0.664	0.328	tsy fiterahana
infestation	0.256	0.776	0.527	voakaikitry
infidel	0.177	0.740	0.404	mino aza
infidelity	0.062	0.777	0.392	fanitsakitsaham-bady
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	masiaka hiditra mangingina
infiltration	0.265	0.792	0.536	infiltration
infinite	0.724	0.583	0.735	tsy manam-petra
infinitely	0.688	0.643	0.829	lavitra
infinitesimal	0.388	0.472	0.496	faran'izay
infinity	0.516	0.459	0.805	tsy manam-petra
infirm	0.115	0.521	0.210	narary
infirmary	0.500	0.438	0.517	pitsaboana
infirmity	0.094	0.482	0.252	fahalemena
inflammation	0.146	0.765	0.423	mamaivay
inflammatory	0.177	0.642	0.404	milaza zavatra
inflatable	0.510	0.510	0.400	inflatable
inflate	0.305	0.569	0.462	mampisondrotra
inflated	0.303	0.431	0.617	inflated
inflation	0.219	0.792	0.508	ny vidim-piainana
inflection	0.385	0.635	0.377	Zavatra
inflict	0.167	0.760	0.609	ampitondraina
infliction	0.302	0.722	0.571	fampijaliana
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	hery miasa mangina
influential	0.899	0.688	0.944	pahefana
influenza	0.271	0.718	0.321	gripa
influx	0.622	0.635	0.575	firohotry
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	infomercial
inform	0.723	0.582	0.679	hampahafantarana
informal	0.480	0.398	0.441	tsy ara-dalàna
informant	0.604	0.612	0.719	Mpilaza Vaovao
information	0.765	0.370	0.711	vaovao
informative	0.812	0.419	0.741	ahalalan-javatra
informed	0.543	0.298	0.617	baovao
informer	0.521	0.578	0.580	mpanome vaovao
infraction	0.245	0.660	0.471	heloka
infrared	0.469	0.588	0.526	Infrared
infrastructure	0.604	0.460	0.694	foto-drafitr'asa
infrequent	0.312	0.377	0.192	tsindraindray
infrequently	0.204	0.250	0.327	Mahalana no
infringement	0.153	0.800	0.481	fandikan-dalàna
infuriate	0.102	0.934	0.596	mahatezitra
infuriated	0.073	0.930	0.510	tezitra
infuriates	0.135	0.913	0.627	mahatezitra
infuriating	0.139	0.870	0.509	mahatezitra
infuse	0.380	0.705	0.589	manome
infused	0.385	0.473	0.546	Nafangarony
infuser	0.469	0.433	0.536	infuser
infusion	0.583	0.365	0.453	mba hampahahendry
ingenious	0.760	0.690	0.891	fetsy
ingenuity	0.708	0.590	0.868	hakingan-tsaina
ingest	0.510	0.559	0.473	mihinana
ingestion	0.429	0.612	0.512	fihinanana
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	lalim-paka
ingrate	0.235	0.606	0.327	tsy mankasitraka
ingredient	0.792	0.373	0.451	ilaina
ingress	0.601	0.366	0.736	miditra
inhabit	0.656	0.378	0.556	hamboly
inhabitant	0.604	0.356	0.519	mponina
inhabited	0.667	0.361	0.510	mponina
inhabiting	0.458	0.440	0.598	mponina
inhalation	0.510	0.613	0.464	-na inhalation
inhale	0.427	0.340	0.492	mifoka rivotra
inhaler	0.408	0.500	0.349	inhaler
inherent	0.562	0.439	0.480	raiki-tampisaka
inherit	0.745	0.546	0.694	dia handova
