English Word	Valence	Arousal	Dominance	Albanian Word
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	lisi
oar	0.469	0.392	0.316	rrem
oasis	0.796	0.283	0.429	oaz
oat	0.622	0.170	0.298	tërshërë
oath	0.543	0.615	0.824	betim
oatmeal	0.592	0.192	0.241	bollgur
obedience	0.765	0.287	0.536	bindje
obedient	0.800	0.179	0.518	i bindur
obediently	0.802	0.304	0.577	me bindje
obelisk	0.604	0.408	0.596	obelisk
obese	0.133	0.427	0.250	i trashë
obesity	0.215	0.370	0.328	obeziteti
obey	0.677	0.433	0.533	binden
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	nekrologji
object	0.531	0.356	0.375	Objekt
objection	0.347	0.592	0.709	kundërshtimi
objectionable	0.459	0.382	0.558	e kundërshtueshme
objective	0.724	0.337	0.736	objektiv
objectivity	0.765	0.431	0.711	objektiviteti
obligation	0.222	0.596	0.718	detyrimi
obligatory	0.337	0.571	0.780	të detyrueshme
oblige	0.281	0.770	0.614	detyroj
obliged	0.327	0.680	0.411	i detyruar
obliging	0.740	0.402	0.545	obliguese
obligor	0.302	0.600	0.360	obligues
oblique	0.438	0.347	0.455	i zhdrejtë
obliterate	0.250	0.539	0.569	fshij
obliterated	0.240	0.469	0.344	i fshirë
obliteration	0.177	0.622	0.397	zhdukje
oblivion	0.153	0.330	0.282	harrese
oblivious	0.229	0.388	0.355	i pavëmendshëm
oblong	0.561	0.455	0.370	i zgjatur
obnoxious	0.088	0.602	0.256	i neveritshëm
oboe	0.510	0.340	0.392	oboe
obscene	0.050	0.745	0.348	e turpshme
obscenity	0.083	0.843	0.418	paturpësi
obscure	0.370	0.551	0.278	i errët
obscured	0.115	0.356	0.298	errësuar
obscurity	0.208	0.392	0.380	errësirë
observance	0.531	0.315	0.632	respektimi
observant	0.740	0.422	0.708	vëzhgues
observation	0.633	0.433	0.667	vrojtim
observatory	0.643	0.324	0.731	observatori
observe	0.771	0.390	0.360	vëzhgojnë
observer	0.663	0.363	0.603	vëzhgues
observing	0.583	0.400	0.685	duke vëzhguar
obsess	0.112	0.846	0.509	fiksim
obsessed	0.219	0.840	0.439	fiksuar
obsessing	0.173	0.773	0.698	të fiksuar
obsession	0.229	0.847	0.571	obsesioni
obsessive	0.219	0.823	0.480	obsesive
obsolescence	0.250	0.431	0.377	vjetërsimi
obsolete	0.337	0.321	0.250	të vjetruara
obstacle	0.204	0.708	0.336	pengesë
obstetrician	0.521	0.636	0.604	mjek obstetër
obstetrics	0.530	0.582	0.564	obstetrikë
obstinate	0.146	0.696	0.562	kokëfortë
obstruct	0.115	0.660	0.458	pengojnë
obstruction	0.125	0.742	0.491	pengim
obstructive	0.204	0.650	0.613	penguese
obtain	0.760	0.438	0.731	merrni
obtainable	0.677	0.327	0.702	të arritshme
obtuse	0.281	0.460	0.345	i mpirë
obverse	0.470	0.394	0.464	anasjelltas
obvious	0.625	0.336	0.585	e dukshme
ocarina	0.541	0.392	0.366	okarinë
occasion	0.700	0.451	0.398	rast
occasional	0.490	0.298	0.387	rastësor
occasionally	0.538	0.240	0.264	herë pas here
occipital	0.398	0.408	0.518	okupital
occlusion	0.306	0.439	0.442	mbyllje
occult	0.292	0.382	0.406	okult
occupancy	0.625	0.471	0.721	zënie
occupant	0.500	0.417	0.483	banues
occupation	0.562	0.470	0.692	profesion
occupational	0.583	0.469	0.596	profesionale
occupied	0.337	0.546	0.441	e zënë
occupier	0.427	0.438	0.600	pushtues
occupy	0.396	0.520	0.589	zënë
occupying	0.573	0.462	0.519	duke zënë
occur	0.451	0.561	0.510	ndodhin
occurrence	0.573	0.690	0.541	dukuri
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	oqeanit
oceanic	0.740	0.317	0.632	oqeanike
octagon	0.602	0.349	0.462	tetëkëndësh
octave	0.438	0.380	0.482	oktavë
octopus	0.713	0.378	0.411	oktapod
ocular	0.418	0.370	0.400	okulare
odd	0.265	0.337	0.302	i çuditshëm
oddball	0.316	0.360	0.357	çuditshëm
oddity	0.312	0.557	0.386	çuditshmëri
odds	0.500	0.472	0.680	shanset
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	i urryer
odometer	0.367	0.470	0.388	odometri
odor	0.337	0.363	0.404	erë
odyssey	0.622	0.692	0.710	odiseja
oedipal	0.312	0.575	0.509	edipale
oestrogen	0.521	0.608	0.561	estrogjenit
oeuvre	0.653	0.484	0.598	vepër
offal	0.302	0.470	0.302	të brendshmet
offence	0.312	0.798	0.446	vepër penale
offend	0.094	0.804	0.333	ofendoj
offended	0.188	0.690	0.337	ofenduar
offender	0.104	0.851	0.537	shkelës
offense	0.230	0.765	0.510	vepër penale
offensive	0.135	0.882	0.600	fyese
offer	0.750	0.745	0.596	oferta
offered	0.582	0.490	0.544	ofruar
offering	0.688	0.462	0.585	Oferta e
offhand	0.388	0.500	0.368	padobishme
office	0.427	0.302	0.509	zyrë
officer	0.542	0.430	0.877	oficer
offices	0.469	0.312	0.534	zyrat
official	0.646	0.565	0.833	zyrtare
officiate	0.688	0.453	0.704	kryej detyrën
offing	0.490	0.412	0.447	shpërndarja
offload	0.479	0.444	0.525	shkarkoj
offset	0.719	0.394	0.704	kompensuar
offshoot	0.517	0.330	0.361	degëzim
offshore	0.417	0.484	0.441	në det të hapur
offside	0.323	0.519	0.443	jashtë loje
offspring	0.656	0.435	0.600	pasardhës
oft	0.500	0.308	0.474	shpesh
oftentimes	0.571	0.500	0.482	shpeshherë
ogre	0.135	0.698	0.510	vigan
ohdear	0.458	0.519	0.442	Oh e dashur
ohgod	0.500	0.557	0.439	o Zot
ohno	0.396	0.475	0.380	ohno
ohshit	0.230	0.594	0.343	ohshit
oil	0.521	0.278	0.306	vaj
oils	0.459	0.229	0.391	vajra
oily	0.276	0.533	0.385	me vaj
oink	0.500	0.450	0.289	bojë
ointment	0.438	0.271	0.398	pomadë
okra	0.469	0.400	0.362	bamje
olden	0.284	0.213	0.425	i vjetëruar
oldie	0.363	0.363	0.342	plak
oldies	0.438	0.300	0.412	të vjetrit
olfactory	0.602	0.409	0.452	nuhatëse
oligarchy	0.327	0.567	0.741	oligarki
olive	0.571	0.231	0.406	ulliri
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	omëletë
omen	0.390	0.657	0.583	ogur
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	ogurzi
omission	0.367	0.333	0.275	lëshim
omit	0.330	0.265	0.451	heq
omitted	0.260	0.235	0.211	të hequra
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	plotfuqishmëri
omnipotent	0.719	0.679	0.919	i gjithëfuqishëm
omnipresent	0.688	0.452	0.825	i gjithëpranishëm
omniscient	0.656	0.334	0.778	i gjithëdijshëm
onboard	0.612	0.451	0.491	në bord
oncologist	0.260	0.654	0.640	onkologu
oncology	0.204	0.424	0.500	onkologjisë
oncoming	0.594	0.625	0.773	afrues
one	0.542	0.292	0.370	një
oneday	0.667	0.245	0.374	një ditë
onedge	0.479	0.552	0.400	një buzë
onelove	0.816	0.577	0.541	nje dashuri
oneness	0.745	0.272	0.720	njëshmëri
onerous	0.500	0.480	0.462	i mundimshëm
oneself	0.660	0.337	0.483	veten
ongoing	0.674	0.484	0.556	në vazhdim
onion	0.378	0.367	0.382	qepë
onset	0.673	0.497	0.500	fillimi
onslaught	0.198	0.939	0.717	sulmi
onstage	0.719	0.673	0.583	ne skene
ontology	0.510	0.450	0.518	ontologjisë
onus	0.562	0.520	0.769	përgjegjësi
onward	0.667	0.538	0.741	e tutje
onyx	0.571	0.461	0.380	oniks
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	oomf
ooze	0.344	0.577	0.333	kulloj
oozing	0.238	0.515	0.427	rrjedh
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	errësirë
opal	0.623	0.479	0.379	opal
opaque	0.344	0.265	0.342	i errët
ope	0.375	0.380	0.395	hap
open	0.620	0.480	0.569	hapur
opener	0.584	0.526	0.377	hapëse
opening	0.667	0.510	0.620	hapje
openly	0.603	0.388	0.553	hapur
openness	0.837	0.561	0.667	hapja
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	veprojnë
operatic	0.375	0.452	0.627	operistike
operation	0.475	0.611	0.755	operacion
operational	0.562	0.570	0.679	operacionale
operations	0.480	0.549	0.798	operacionet
operative	0.541	0.635	0.718	operative
operator	0.612	0.630	0.726	operatori
ophthalmic	0.427	0.385	0.444	oftalmike
ophthalmologist	0.552	0.389	0.491	okulist
opiate	0.281	0.594	0.598	opiumi
opinion	0.594	0.482	0.638	opinion
opinionated	0.156	0.800	0.491	me opinion
opium	0.276	0.490	0.333	opiumi
opponent	0.080	0.741	0.716	kundërshtar
opportune	0.796	0.538	0.767	oportune
opportunism	0.571	0.752	0.673	oportunizëm
opportunity	0.938	0.745	0.833	mundësi
oppose	0.431	0.800	0.473	kundërshtojnë
opposed	0.092	0.460	0.606	kundërshtoi
opposing	0.188	0.660	0.518	kundërshtuese
opposite	0.235	0.545	0.408	e kundërt
opposites	0.281	0.518	0.462	të kundërtat
opposition	0.135	0.729	0.592	opozita
oppress	0.186	0.654	0.555	shtypin
oppressed	0.119	0.640	0.259	i shtypur
oppression	0.080	0.673	0.615	shtypjen
oppressive	0.276	0.590	0.667	shtypëse
oppressor	0.160	0.776	0.629	shtypës
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	zgjedh
optic	0.663	0.384	0.594	optike
optical	0.677	0.311	0.542	optike
optics	0.562	0.286	0.580	optikën
optimism	0.949	0.565	0.814	optimizmi
optimist	0.875	0.539	0.787	optimist
optimistic	0.979	0.580	0.821	optimiste
optimum	0.892	0.469	0.808	optimale
option	0.512	0.427	0.359	opsion
optional	0.755	0.350	0.440	opsionale
optionally	0.365	0.405	0.481	sipas dëshirës
options	0.622	0.327	0.473	opsione
optometrist	0.446	0.455	0.668	optometrist
opulence	0.620	0.615	0.648	begati
opulent	0.562	0.660	0.660	i pasur
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	orakull
oral	0.530	0.448	0.375	gojore
orange	0.646	0.132	0.296	portokalli
orange juice	0.719	0.343	0.445	lëng portokalli
orangutan	0.430	0.560	0.471	orangutan
oration	0.646	0.315	0.683	fjalim
orator	0.667	0.375	0.682	orator
oratory	0.602	0.472	0.693	oratoria
orb	0.463	0.370	0.444	rruzull
orbit	0.561	0.422	0.575	orbitë
orbital	0.458	0.451	0.559	orbitale
orbiting	0.520	0.643	0.554	orbitale
orbs	0.469	0.355	0.482	rruzull
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	pemishte
orchestra	0.708	0.500	0.664	orkestër
orchid	0.840	0.345	0.382	orkide
ordained	0.735	0.409	0.731	i shuguruar
ordeal	0.344	0.539	0.529	sprovë
order	0.780	0.295	0.814	urdhëroj
orderly	0.844	0.240	0.661	i rregullt
ordinance	0.615	0.452	0.776	urdhëresë
ordinary	0.375	0.312	0.286	e zakonshme
ordination	0.688	0.490	0.765	shugurimi
ordnance	0.354	0.825	0.679	municione
ore	0.500	0.333	0.356	xeherore
oregano	0.596	0.327	0.250	rigon
organ	0.510	0.469	0.538	organ
organic	0.719	0.343	0.535	organike
organism	0.457	0.559	0.800	organizëm
organist	0.740	0.469	0.669	organist
organization	0.810	0.535	0.851	organizimi
organize	0.802	0.655	0.781	organizojnë
organized	0.816	0.337	0.746	organizuar
organizer	0.604	0.577	0.846	organizator
orgasm	0.844	0.863	0.676	orgazmë
orgies	0.388	0.953	0.433	orgjitë
orgy	0.346	0.962	0.536	orgji
orient	0.667	0.422	0.667	orientojnë
oriental	0.592	0.409	0.598	orientale
orientation	0.667	0.454	0.686	orientim
orifice	0.448	0.355	0.443	grykë
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	origjinën
original	0.765	0.480	0.746	origjinale
originality	0.898	0.500	0.824	origjinalitet
originate	0.702	0.500	0.866	origjinën
origination	0.760	0.443	0.604	origjinën
originator	0.592	0.510	0.868	krijues
ornament	0.561	0.373	0.441	stoli
ornamental	0.663	0.392	0.460	zbukuruese
ornamentation	0.663	0.471	0.472	zbukurim
ornamented	0.677	0.350	0.490	i zbukuruar
ornate	0.812	0.356	0.500	i zbukuruar
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	jetim
orphanage	0.184	0.439	0.425	jetimore
orphaned	0.062	0.430	0.228	jetim
orthodontist	0.469	0.615	0.564	ortodont
orthodox	0.388	0.471	0.647	ortodokse
orthodoxy	0.271	0.388	0.612	ortodoksinë
orthogonal	0.500	0.314	0.540	ortogonale
orthopedic	0.406	0.346	0.473	ortopedike
oscillate	0.449	0.580	0.397	lëkunden
oscillating	0.469	0.548	0.402	lëkundëse
oscillation	0.562	0.433	0.431	lëkundje
oscillatory	0.375	0.520	0.480	osciluese
ostensible	0.542	0.549	0.585	gjoja
ostensibly	0.473	0.529	0.509	gjoja
ostentatious	0.479	0.794	0.648	shfaqës
ostracized	0.115	0.690	0.377	i përjashtuar
ostrich	0.592	0.382	0.241	struci
other	0.472	0.230	0.259	tjera
otter	0.439	0.216	0.339	vidër
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	osmane
ought	0.438	0.511	0.434	duhet
ounce	0.531	0.255	0.288	ons
oust	0.296	0.716	0.444	largoj
outage	0.306	0.684	0.438	ndërprerje
outback	0.500	0.324	0.430	jashtë
outbid	0.594	0.622	0.540	tejkaloj
outboard	0.448	0.491	0.456	jashtë
outbreak	0.260	0.632	0.472	shpërthim
outburst	0.209	0.802	0.528	shpërthim
outcast	0.153	0.449	0.353	i dëbuar
outcome	0.615	0.472	0.685	rezultati
outcry	0.271	0.773	0.718	klithmë
outdated	0.167	0.236	0.226	i vjetëruar
outdo	0.771	0.750	0.873	tejkaloj
outdoor	0.814	0.256	0.447	të jashtme
outdoors	0.781	0.444	0.453	jashtë
outer	0.552	0.471	0.456	e jashtme
outfit	0.760	0.490	0.566	veshje
outgoing	0.650	0.472	0.538	dalëse
outgrow	0.510	0.529	0.722	rriten
outgrowth	0.771	0.620	0.688	rritje
outhouse	0.281	0.519	0.255	jashtë shtëpisë
outing	0.771	0.672	0.634	shëtitje
outlandish	0.448	0.737	0.657	i çuditshëm
outlast	0.620	0.786	0.685	më të gjatë
outlaw	0.255	0.662	0.482	i jashtëligjshëm
outlet	0.610	0.396	0.245	prizë
outline	0.542	0.365	0.509	përvijojnë
outlines	0.656	0.402	0.651	përvijon
outlive	0.565	0.769	0.724	mbijetojnë
outlook	0.830	0.525	0.625	opinion
outlying	0.460	0.562	0.503	periferike
outnumber	0.347	0.615	0.577	më shumë
outpatient	0.260	0.400	0.395	ambulatore
outpost	0.635	0.571	0.675	postë
outpouring	0.562	0.685	0.552	derdhje
output	0.604	0.389	0.434	prodhimit
outrage	0.060	0.689	0.542	zemërim
outraged	0.156	0.696	0.538	i indinjuar
outrageous	0.153	0.945	0.713	të egër
outrank	0.653	0.643	0.817	tejkaluar
outreach	0.540	0.462	0.672	shtrirje
outright	0.767	0.396	0.755	drejtpërsëdrejti
outrun	0.531	0.833	0.573	parakaloj
outset	0.750	0.500	0.582	fillimi
outsider	0.398	0.549	0.447	i huaj
outskirts	0.474	0.519	0.312	periferi
outsmart	0.673	0.657	0.864	i zgjuar
outspoken	0.582	0.413	0.667	i hapur
outstanding	0.898	0.760	0.896	i shquar
outstretched	0.448	0.481	0.519	i shtrirë
outward	0.449	0.439	0.365	e jashtme
outwards	0.440	0.472	0.400	nga jashtë
outweigh	0.486	0.600	0.682	mbipeshojnë
outwit	0.302	0.755	0.356	dal
oval	0.417	0.280	0.330	ovale
ovary	0.469	0.399	0.280	vezore
ovate	0.385	0.286	0.368	vezake
ovation	0.719	0.758	0.750	ovacion
oven	0.583	0.425	0.606	furrë
overactive	0.667	0.885	0.592	tepër aktiv
overall	0.583	0.370	0.670	në përgjithësi
overalls	0.500	0.392	0.373	kominoshe
overbearing	0.323	0.833	0.861	mbizotërues
overburden	0.115	0.755	0.546	mbingarkesë
overcast	0.417	0.250	0.475	i mbuluar me re
overcharged	0.276	0.780	0.569	i mbifaturuar
overcoat	0.594	0.265	0.430	pardesy
overcome	0.719	0.689	0.848	tejkaluar
overcoming	0.842	0.765	0.855	duke kapërcyer
overcrowded	0.292	0.520	0.491	i mbipopulluar
overdo	0.156	0.864	0.602	teproj
overdose	0.110	0.820	0.468	mbidozë
overdrive	0.303	0.715	0.732	teproj
overdue	0.125	0.427	0.259	i vonuar
overestimate	0.367	0.796	0.444	mbivlerësoj
overestimated	0.344	0.646	0.527	mbivlerësuar
overflow	0.398	0.792	0.500	vërshoj
overflowing	0.439	0.796	0.635	i tejmbushur
overgrown	0.333	0.500	0.369	i tejmbushur
overgrowth	0.417	0.790	0.673	rritje e tepërt
overhanging	0.698	0.755	0.812	mbivarur
overhaul	0.500	0.651	0.491	remont
overhead	0.344	0.700	0.538	lart
overhear	0.650	0.365	0.580	dëgjoj
overheated	0.250	0.598	0.547	mbinxehur
overjoyed	0.908	0.708	0.755	i gëzuar pa masë
overkill	0.379	0.861	0.678	teproj
overlaid	0.620	0.610	0.676	mbivendosur
overlap	0.594	0.615	0.627	mbivendosje
overlapping	0.595	0.578	0.684	mbivendosje
overlay	0.564	0.596	0.749	mbivendosje
overload	0.381	0.690	0.652	mbingarkesë
overlook	0.292	0.418	0.415	anashkaloj
overlord	0.750	0.755	0.932	mbizotërues
overlying	0.500	0.519	0.691	mbivendosur
overpaid	0.429	0.670	0.585	mbipaguar
overpass	0.562	0.561	0.565	mbikalim
overplayed	0.224	0.798	0.586	i mbiluajtur
overpower	0.448	0.859	0.783	mbifuqi
overpowering	0.392	0.779	0.589	mbizotërues
overpriced	0.271	0.556	0.472	mbiçmuar
overprotective	0.448	0.673	0.741	tepër mbrojtës
overrated	0.312	0.630	0.482	mbivlerësuar
overreact	0.306	0.912	0.471	reagojnë tepër
override	0.316	0.491	0.529	anashkaloj
overriding	0.240	0.490	0.384	mbizotëruese
overrule	0.224	0.412	0.429	anuloj
overrun	0.271	0.764	0.598	tejkalim
oversee	0.541	0.649	0.778	mbikëqyrin
overseer	0.552	0.520	0.873	mbikëqyrës
overshadow	0.333	0.549	0.654	hijeshoj
oversight	0.385	0.618	0.723	mbikëqyrje
oversized	0.552	0.540	0.679	i tepruar
overslept	0.408	0.315	0.300	tepergjumur
overstate	0.281	0.779	0.635	mbivlerësoj
overstock	0.344	0.592	0.589	tepricë
overt	0.708	0.326	0.607	i hapur
overtake	0.573	0.620	0.718	parakaloj
overtaken	0.594	0.552	0.702	i kapërcyer
overthemoon	0.643	0.531	0.481	mbi Hene
overthinker	0.430	0.606	0.552	mbimendimtar
overthinking	0.408	0.761	0.525	duke menduar shumë
overthrow	0.260	0.868	0.620	përmbysje
overtime	0.447	0.504	0.529	jashtë orarit
overtired	0.210	0.357	0.273	tepër i lodhur
overture	0.490	0.402	0.491	uverturë
overturn	0.240	0.765	0.396	përmbys
overview	0.615	0.380	0.539	pasqyrë e përgjithshme
overweight	0.052	0.500	0.389	mbipeshë
overwhelm	0.250	0.823	0.462	dërrmoj
overwhelmed	0.341	0.680	0.348	i dërrmuar
overwhelming	0.327	0.830	0.640	dërrmuese
overworked	0.133	0.670	0.387	i mbingarkuar
overwrought	0.156	0.900	0.571	mbipunuar
overzealous	0.427	0.804	0.703	tepër i zellshëm
owe	0.500	0.429	0.386	borxh
owing	0.396	0.307	0.381	borxh
owl	0.520	0.270	0.321	buf
owner	0.776	0.449	0.920	pronar
ownership	0.628	0.445	0.741	pronësinë
ox	0.417	0.396	0.412	kau
oxidation	0.453	0.415	0.211	oksidimi
oxide	0.354	0.377	0.298	oksid
oxygen	0.908	0.310	0.575	oksigjen
oxymoron	0.427	0.481	0.398	oksimoron
oyster	0.500	0.311	0.327	gocë deti
ozone	0.560	0.345	0.518	ozonit
pace	0.510	0.380	0.390	ritmin
pacemaker	0.448	0.569	0.582	stimulues kardiak
pacific	0.627	0.118	0.580	paqësor
pacified	0.802	0.194	0.414	i qetësuar
pacifier	0.615	0.342	0.356	biberon
pacifist	0.663	0.153	0.557	pacifist
pacify	0.812	0.283	0.629	qetësoj
pacing	0.583	0.551	0.491	ritmin
pack	0.510	0.347	0.475	paketoj
package	0.571	0.433	0.443	paketë
packaging	0.604	0.393	0.549	ambalazhimi
packer	0.520	0.480	0.537	paketues
packet	0.582	0.385	0.407	pako
pact	0.442	0.444	0.593	pakti
pad	0.684	0.279	0.330	jastëk
padded	0.606	0.212	0.371	i mbushur
padding	0.561	0.398	0.423	mbushje
paddle	0.561	0.375	0.393	vozis
paddle boat	0.663	0.373	0.415	varkë me vozis
paddock	0.480	0.429	0.481	paddokë
paddy	0.653	0.330	0.330	oriz
padlock	0.459	0.284	0.457	dry
padre	0.684	0.407	0.647	padre
paean	0.552	0.547	0.471	paean
pagan	0.292	0.578	0.542	pagane
paganism	0.240	0.640	0.411	paganizmi
page	0.677	0.224	0.278	faqe
pageant	0.719	0.667	0.651	konkursi
pager	0.510	0.526	0.554	pager
pagination	0.459	0.333	0.400	faqezim
paging	0.542	0.398	0.423	faqezim
pagoda	0.571	0.259	0.435	faltore
pail	0.448	0.177	0.188	kovë
pain	0.012	0.765	0.395	dhimbje
pained	0.112	0.500	0.250	e dhimbshme
painful	0.050	0.742	0.330	e dhimbshme
painfully	0.156	0.720	0.407	me dhimbje
painkiller	0.487	0.312	0.481	qetësues kundër dhimbjeve
painless	0.785	0.173	0.491	pa dhimbje
pains	0.106	0.673	0.362	dhimbjet
painstaking	0.396	0.335	0.386	i mundimshëm
paint	0.667	0.343	0.413	bojë
paintball	0.615	0.745	0.537	paintball
paintbrush	0.714	0.226	0.353	penel
painted	0.667	0.333	0.424	pikturuar
painter	0.677	0.366	0.487	piktor
painting	0.792	0.324	0.333	pikturë
pair	0.552	0.317	0.304	çift
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	pizhame
pajamas	0.719	0.170	0.264	pizhame
pal	0.812	0.426	0.596	shok
palace	0.878	0.510	0.804	pallati
palatable	0.823	0.500	0.594	i shijshëm
palate	0.625	0.350	0.358	qiellza
pale	0.281	0.259	0.245	i zbehtë
paleontology	0.438	0.308	0.617	paleontologji
palette	0.590	0.333	0.205	paleta
pall	0.277	0.387	0.394	i zbehtë
palladium	0.470	0.380	0.393	palladiumi
pallet	0.604	0.241	0.349	paletë
palliative	0.548	0.394	0.518	paliative
palm	0.531	0.194	0.340	pëllëmbë
palmer	0.480	0.269	0.413	palmer
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	i prekshëm
palpitations	0.417	0.702	0.528	palpitacionet
palsy	0.083	0.446	0.221	paralizë
paltry	0.333	0.491	0.320	i vogël
pamper	0.792	0.321	0.348	përkëdhel
pamphlet	0.530	0.250	0.327	pamflet
pan	0.734	0.182	0.364	tigan
panacea	0.420	0.427	0.613	ilaç
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	petulla
pancakes	0.844	0.373	0.402	petulla
pancreas	0.469	0.302	0.366	pankreasit
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandemi
pandemonium	0.229	0.885	0.500	pandemonium
pane	0.385	0.250	0.444	panel
panel	0.469	0.321	0.425	panel
pang	0.146	0.595	0.455	dhimbje
panhandle	0.441	0.431	0.414	panvarg
panic	0.062	0.938	0.400	panik
panicattack	0.255	0.724	0.386	sulm paniku
panicked	0.100	0.949	0.260	në panik
panicking	0.094	0.882	0.333	në panik
panicky	0.284	0.962	0.393	në panik
panier	0.500	0.392	0.380	panier
panorama	0.719	0.402	0.625	panoramë
panoramic	0.542	0.462	0.684	panoramike
pansy	0.653	0.283	0.589	pansi
pant	0.448	0.463	0.409	pantallona të gjalla
pantheon	0.144	0.410	0.610	panteon
panther	0.303	0.594	0.682	pantera
panties	0.594	0.529	0.312	brekë
pantomime	0.552	0.481	0.385	pantomimë
pantry	0.622	0.294	0.312	qilar
pants	0.673	0.320	0.333	pantallona
panty	0.451	0.557	0.303	brekë
pantyhose	0.570	0.539	0.250	pantyhose
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	babi
papacy	0.481	0.263	0.553	papatit
papal	0.493	0.304	0.559	papale
papaya	0.630	0.306	0.300	papaja
paper	0.520	0.123	0.293	letër
paperback	0.633	0.269	0.314	xhepat
paperboy	0.521	0.490	0.471	djalosh letre
paperweight	0.421	0.278	0.433	peshë letre
paperwork	0.448	0.355	0.422	shkresat
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papirusi
par	0.615	0.372	0.429	par
parable	0.479	0.357	0.525	shëmbëlltyrë
parabola	0.542	0.413	0.620	parabolë
parabolic	0.459	0.509	0.500	parabolike
parachute	0.562	0.787	0.564	parashutë
parade	0.792	0.685	0.509	paradë
paradigm	0.573	0.429	0.779	paradigmë
paradise	0.875	0.540	0.796	parajsë
paradox	0.417	0.442	0.482	paradoks
paradoxical	0.406	0.547	0.433	paradoksale
paraffin	0.426	0.291	0.343	parafine
paragon	0.490	0.431	0.473	model
paragraph	0.510	0.164	0.269	paragraf
parakeet	0.576	0.387	0.227	paraketë
paralegal	0.479	0.470	0.519	paraligjor
parallax	0.437	0.394	0.471	paralaksë
parallel	0.568	0.284	0.465	paralele
parallelism	0.549	0.363	0.527	paralelizmi
paralysis	0.156	0.500	0.305	paraliza
paralyze	0.188	0.367	0.471	paralizoj
paramedic	0.673	0.464	0.636	ndihmësmjeku
paramedics	0.479	0.594	0.712	ndihmësmjekë
paramilitary	0.154	0.804	0.727	paraushtarake
paramount	0.771	0.615	0.902	parësor
paranoia	0.146	0.841	0.407	paranojë
paranoid	0.122	0.918	0.364	paranojake
paranormal	0.167	0.814	0.560	paranormale
parapet	0.450	0.356	0.279	parapet
paraphernalia	0.443	0.726	0.509	pajisje
paraphrase	0.500	0.375	0.444	parafrazoj
paraplegic	0.188	0.441	0.321	paraplegjik
parasite	0.092	0.442	0.324	parazit
parasitic	0.037	0.600	0.364	parazitare
parasol	0.604	0.255	0.304	ombrellë
parcel	0.660	0.324	0.411	parcela
parcels	0.551	0.445	0.418	parcelat
parched	0.250	0.235	0.255	i tharë
parchment	0.615	0.228	0.455	pergamenë
pardon	0.552	0.413	0.542	falje
pare	0.500	0.356	0.309	para
parenchyma	0.500	0.399	0.595	parenkima
parent	0.812	0.357	0.860	prind
parentage	0.903	0.382	0.595	prejardhja
parental	0.760	0.430	0.627	prindërore
parenthesis	0.510	0.255	0.380	parantezë
parenthetical	0.490	0.327	0.391	me kllapa
parenthood	0.750	0.630	0.782	prindërimi
parenting	0.812	0.520	0.676	prindërimi
pariah	0.397	0.478	0.293	paria
parietal	0.481	0.333	0.491	parietale
paring	0.429	0.441	0.324	prerje
parish	0.698	0.354	0.582	famullisë
parity	0.582	0.406	0.407	barazi
park	0.816	0.343	0.414	parku
parka	0.469	0.481	0.395	park
parking	0.777	0.469	0.510	parkim
parkinsons	0.104	0.570	0.373	parkinsonët
parlance	0.510	0.350	0.462	gjuha e folur
parlay	0.469	0.611	0.483	diskutim
parliament	0.573	0.540	0.858	parlamenti
parliamentary	0.490	0.554	0.755	parlamentare
parlor	0.500	0.327	0.366	sallon
parmesan	0.698	0.321	0.382	parmixhano
parody	0.561	0.651	0.375	parodi
parole	0.388	0.620	0.526	lirim me kusht
parquet	0.541	0.240	0.422	parket
parrot	0.588	0.333	0.292	papagall
parry	0.510	0.404	0.436	dështoj
parse	0.469	0.456	0.667	analizoj
parsimonious	0.417	0.312	0.446	i matur
parsimony	0.449	0.280	0.403	maturi
