English Word	Valence	Arousal	Dominance	Haitian-Creole Word
nasty	0.115	0.620	0.264	degoutan
natal	0.755	0.462	0.481	natal
nation	0.594	0.443	0.821	nasyon
national	0.698	0.365	0.663	nasyonal
nationality	0.642	0.400	0.772	nasyonalite
nationwide	0.684	0.217	0.672	nan tout peyi a
native	0.635	0.422	0.710	natif natal
nativity	0.750	0.337	0.673	krèch
natural	0.854	0.118	0.481	natirèl
natural gas	0.635	0.324	0.396	gaz natirèl
naturalist	0.844	0.255	0.562	natirèlis
naturalization	0.781	0.279	0.652	natiralizasyon
naturalized	0.760	0.333	0.600	natiralize
naturally	0.854	0.276	0.549	natirèlman
nature	0.857	0.184	0.643	lanati
naught	0.344	0.176	0.161	anyen
naughty	0.451	0.857	0.371	vakabon
nausea	0.104	0.781	0.273	kè plen
nauseate	0.062	0.660	0.176	kè plen
nauseating	0.021	0.640	0.250	kè plen
nauseous	0.135	0.780	0.284	kè plen
nautical	0.646	0.250	0.579	naval
nautilus	0.396	0.509	0.517	nautilus
naval	0.542	0.449	0.679	naval
nave	0.583	0.448	0.585	nef
navel	0.448	0.261	0.276	lonbrit
navigable	0.749	0.406	0.645	navigab
navigate	0.740	0.555	0.675	navige
navigation	0.841	0.470	0.720	navigasyon
navigational	0.573	0.481	0.564	navigasyon
navigator	0.583	0.592	0.623	navigatè
navy	0.531	0.760	0.764	marin
nay	0.344	0.290	0.325	non
nearsighted	0.271	0.373	0.265	myop
neat	0.878	0.235	0.491	pwòp
neatly	0.802	0.412	0.588	nètman
nebula	0.510	0.418	0.438	nebula
nebulae	0.490	0.330	0.472	nebule
nebulous	0.469	0.347	0.417	nebule
necessarily	0.667	0.423	0.598	nesesèman
necessary	0.750	0.433	0.679	nesesè
necessitate	0.578	0.604	0.516	nesesite
necessities	0.520	0.630	0.463	nesesite
necessity	0.567	0.471	0.588	nesesite
neck	0.541	0.245	0.345	kou
necklace	0.760	0.294	0.373	kolye
necktie	0.583	0.229	0.314	kravat
necromancer	0.333	0.625	0.536	nekwoman
necrosis	0.115	0.622	0.385	nekwoz
nectar	0.746	0.331	0.398	nèktar
need	0.510	0.574	0.200	bezwen
needalife	0.490	0.443	0.394	bezwen lavi
needed	0.677	0.342	0.679	bezwen
needful	0.582	0.460	0.614	nesesè
needit	0.250	0.472	0.356	bezwen
needle	0.250	0.472	0.360	zegwi
needlepoint	0.653	0.500	0.556	zegwi
needles	0.250	0.602	0.348	zegwi
needless	0.327	0.385	0.200	initil
needtoknow	0.427	0.606	0.474	bezwen konnen
needtorelax	0.673	0.438	0.274	bezwen rilaks
needy	0.360	0.451	0.245	nan bezwen
nefarious	0.184	0.720	0.528	malfezan
negation	0.255	0.461	0.297	negasyon
negative	0.102	0.527	0.176	negatif
negativity	0.060	0.520	0.273	negativite
neglect	0.045	0.550	0.163	neglijans
neglected	0.271	0.385	0.160	neglije
neglecting	0.177	0.441	0.230	neglije
negligee	0.385	0.520	0.336	neglije
negligence	0.092	0.570	0.251	neglijans
negligent	0.167	0.583	0.259	neglijans
negligently	0.056	0.583	0.266	neglijans
negligible	0.177	0.292	0.232	neglijab
negotiable	0.688	0.585	0.731	negosyab
negotiate	0.612	0.708	0.769	negosye
negotiation	0.490	0.615	0.728	negosyasyon
negotiator	0.635	0.471	0.817	negosyatè
negro	0.354	0.368	0.461	nègès
neigh	0.378	0.642	0.373	Neigh
neighbor	0.657	0.448	0.434	vwazen
neighborhood	0.385	0.469	0.373	katye
neighboring	0.656	0.306	0.481	vwazen
nemesis	0.271	0.688	0.647	enmi
neon	0.594	0.480	0.380	lumineuz
neonatal	0.542	0.529	0.357	neonatal
neophyte	0.286	0.363	0.411	neofit
neoprene	0.316	0.451	0.443	neoprene
nephew	0.719	0.337	0.412	neve
nepotism	0.349	0.584	0.517	nepotism
nerd	0.408	0.481	0.315	nèrd
nerdy	0.296	0.255	0.292	nèrdy
nerve	0.129	0.698	0.307	nè
nerves	0.333	0.783	0.264	nè
nervous	0.235	0.820	0.213	nève
nervousness	0.163	0.915	0.241	nève
nervouswreck	0.112	0.867	0.179	epav nève
nervy	0.250	0.830	0.241	nève
ness	0.396	0.480	0.392	ness
nest	0.687	0.221	0.333	nich
nestle	0.625	0.308	0.379	nich
nestling	0.604	0.427	0.286	fè nich
net	0.441	0.288	0.417	nèt
nether	0.240	0.265	0.259	nether
netting	0.368	0.509	0.585	filet
nettle	0.406	0.324	0.490	orti
network	0.531	0.337	0.466	rezo
networking	0.625	0.482	0.545	rezo
neural	0.582	0.426	0.391	neral
neuralgia	0.092	0.706	0.439	nèralji
neurological	0.500	0.540	0.558	newolojik
neurologist	0.608	0.500	0.736	newològ
neurology	0.459	0.537	0.580	newoloji
neurosis	0.122	0.766	0.418	nevroz
neurosurgeon	0.590	0.673	0.755	nerochirijyen
neurosurgery	0.490	0.632	0.730	nerochiriji
neurotic	0.198	0.801	0.387	neurotic
neuter	0.621	0.163	0.302	net
neutral	0.469	0.184	0.357	net
neutrality	0.469	0.205	0.434	netralite
neutralize	0.519	0.363	0.719	netralize
neutron	0.469	0.440	0.679	netwon
new	0.917	0.490	0.582	nouvo
new age	0.694	0.556	0.727	nouvo laj
newbeginnings	0.802	0.613	0.524	nouvo kòmansman
newborn	0.918	0.580	0.372	tibebe ki fenk fèt
newcomer	0.622	0.380	0.396	fèk vini
newday	0.847	0.388	0.618	nouvo jou
newfound	0.745	0.741	0.520	nouvo jwenn
newjob	0.755	0.643	0.729	nouvo travay
newlife	0.898	0.646	0.701	nouvo lavi
newly	0.688	0.422	0.552	fèk
newlywed	0.847	0.706	0.570	ki fèk marye
newme	0.643	0.550	0.527	newme
newness	0.740	0.522	0.588	nouvote
news	0.633	0.580	0.610	nouvèl
newscast	0.531	0.509	0.714	emisyon nouvèl
newscaster	0.646	0.510	0.764	jounalis
newsflash	0.604	0.637	0.518	nouvèl flash
newsletter	0.622	0.385	0.490	bilten nouvèl
newsman	0.604	0.480	0.696	jounalis
newspaper	0.602	0.283	0.444	jounal
newspaperman	0.561	0.458	0.750	jounalis
newsreel	0.625	0.571	0.577	newsreel
newsroom	0.531	0.392	0.658	sal nouvèl
newsstand	0.615	0.222	0.336	kiosan
newstart	0.802	0.510	0.667	newstart
newt	0.458	0.380	0.541	triton
newyear	0.938	0.784	0.520	Nouvel ane
nexus	0.496	0.368	0.412	lyen
nib	0.510	0.282	0.406	nib
nibble	0.551	0.551	0.411	griye
nice	0.930	0.442	0.650	bèl
niche	0.459	0.413	0.318	nich
nichts	0.406	0.293	0.404	nichts
nick	0.554	0.388	0.387	nick
nickel	0.510	0.347	0.406	nikèl
nickname	0.490	0.470	0.263	tinon
nicotine	0.235	0.608	0.447	nikotin
niece	0.771	0.320	0.400	nyès
nifty	0.740	0.745	0.815	nifty
nigh	0.653	0.216	0.336	pre
night	0.598	0.396	0.404	lannwit
nightcap	0.750	0.196	0.268	bouchon
nightclub	0.802	0.894	0.528	nayklib
nightfall	0.490	0.436	0.426	lannwit tonbe
nightgown	0.643	0.408	0.250	chemiz de nuit
nightie	0.630	0.388	0.274	nwi
nightingale	0.740	0.340	0.496	rossinyol
nightlife	0.542	0.783	0.510	lavi nocturne
nightly	0.673	0.410	0.474	chak swa
nightmare	0.005	0.810	0.436	kochma
nightmares	0.082	0.942	0.448	kochma
nightstand	0.490	0.130	0.327	tabnwi
nightstick	0.500	0.461	0.348	baton de nuit
nighttime	0.735	0.385	0.439	lannwit
nihilism	0.367	0.510	0.364	nihilism
nil	0.286	0.143	0.157	nil
nimble	0.833	0.729	0.769	ajil
nimrod	0.327	0.500	0.539	nimrod
nincompoop	0.365	0.431	0.368	nincompoop
nine	0.552	0.255	0.327	nèf
nineteen	0.673	0.304	0.375	diznèf
ninety	0.479	0.349	0.436	katrevendis
ninja	0.542	0.844	0.682	ninja
ninny	0.344	0.343	0.309	ninny
nintendo	0.802	0.571	0.464	nintendo
ninth	0.490	0.212	0.396	nevyèm
nip	0.281	0.700	0.264	nip
nipper	0.386	0.422	0.317	nipper
nipple	0.480	0.786	0.415	pwent tete
nippy	0.540	0.500	0.416	nippy
nitrate	0.388	0.406	0.500	nitrat
nitro	0.500	0.647	0.639	nitro
nitrogen	0.427	0.435	0.562	nitwojèn
nitrous	0.435	0.561	0.411	nitre
nitwit	0.146	0.606	0.139	nitwit
nix	0.330	0.380	0.404	nix
no anticipation	0.396	0.480	0.341	pa gen okenn antisipasyon
no disgust	0.510	0.324	0.448	pa gen degou
no emotion	0.170	0.109	0.225	pa gen okenn emosyon
no sentiment	0.092	0.382	0.278	pa gen santiman
no surprise	0.171	0.224	0.412	pa gen sipriz
no trust	0.055	0.445	0.257	pa gen konfyans
nobility	0.844	0.347	0.736	noblès
noble	0.906	0.345	0.610	nòb
nobleman	0.675	0.286	0.709	nòb
nobodycares	0.365	0.410	0.354	pèsonn pa okipe
nocomplaints	0.677	0.164	0.491	nocomplaints
nocturnal	0.540	0.500	0.462	nocturne
nod	0.590	0.367	0.427	souke tèt
nodding	0.694	0.294	0.426	souke tèt
node	0.396	0.343	0.361	ne
nodular	0.438	0.351	0.411	nodilè
nodule	0.312	0.426	0.349	nodil
noggin	0.510	0.433	0.382	noggin
nohope	0.200	0.441	0.385	pa gen espwa
noir	0.375	0.394	0.365	nwa
noise	0.260	0.883	0.388	bri
noisy	0.271	0.812	0.561	fè bwi
nomad	0.375	0.413	0.433	nomad
nomadic	0.427	0.519	0.422	nomad
nomenclature	0.500	0.222	0.575	nomenklati
nominal	0.594	0.250	0.463	nominal
nominate	0.615	0.471	0.669	nonmen
nomination	0.663	0.637	0.696	nominasyon
nominee	0.662	0.625	0.765	kandida
nonce	0.422	0.370	0.377	nonce
nonchalant	0.312	0.314	0.366	nonchalant
noncompliance	0.112	0.598	0.259	non-konpliyans
nondescript	0.490	0.434	0.348	endeskriptif
nonexistent	0.208	0.429	0.149	ki pa egziste
nonfat	0.604	0.260	0.340	ki pa gra
nonfiction	0.426	0.315	0.431	nonfiksyon
nonpayment	0.229	0.510	0.298	pa peman
nonresident	0.250	0.340	0.302	ki pa rezidan
nonsense	0.214	0.531	0.155	tenten
nonsensical	0.173	0.268	0.193	san sans
nonviolent	0.640	0.287	0.346	san vyolans
noob	0.417	0.430	0.267	noob
noodle	0.633	0.216	0.225	nouy
nook	0.480	0.321	0.296	kwen
noon	0.531	0.343	0.518	midi
noose	0.356	0.300	0.330	nekoulan
nopoint	0.276	0.324	0.314	nopoint
noregrets	0.469	0.476	0.426	noregrets
norm	0.500	0.245	0.527	nòmal
normal	0.740	0.127	0.380	nòmal
normalcy	0.805	0.151	0.620	nòmal
normality	0.781	0.089	0.444	nòmalite
north	0.531	0.255	0.450	nò
northbound	0.604	0.454	0.491	direksyon nò
northeast	0.562	0.260	0.375	nòdès
northern	0.570	0.340	0.472	nò
northwest	0.604	0.345	0.451	Nodwes
northwestern	0.479	0.306	0.462	nòdwès
noschool	0.490	0.400	0.380	pa gen lekòl
nose	0.582	0.270	0.245	nen
nosebleed	0.153	0.776	0.361	senyen nan nen
nosey	0.276	0.655	0.223	noy
nosnow	0.392	0.394	0.366	nosnow
nostalgia	0.417	0.337	0.339	nostalji
nostalgic	0.458	0.351	0.184	nostaljik
nostress	0.531	0.404	0.415	nou yo
nostril	0.396	0.404	0.316	twou nen
nosun	0.388	0.380	0.351	nosun
nosy	0.292	0.558	0.433	noy
not negative	0.622	0.270	0.444	pa negatif
not positive	0.051	0.370	0.236	pa pozitif
notable	0.760	0.450	0.696	remakab
notables	0.594	0.608	0.755	remakab
notably	0.792	0.533	0.689	miyò
notamorningperson	0.469	0.578	0.440	notamorningperson
notary	0.541	0.451	0.676	notè
notation	0.635	0.380	0.558	notasyon
notch	0.459	0.361	0.358	dan
notched	0.480	0.530	0.356	krache
note	0.594	0.163	0.416	Remak
notebook	0.449	0.167	0.442	kaye
noted	0.615	0.382	0.464	te note
noteworthy	0.704	0.481	0.759	remakab
nothappy	0.112	0.320	0.170	pa kontan
nothingbetter	0.635	0.390	0.543	anyen pi bon
nothingness	0.204	0.080	0.161	anyen
notice	0.646	0.408	0.491	avi
noticeable	0.890	0.562	0.750	aparan
notification	0.604	0.461	0.671	notifikasyon
notify	0.643	0.471	0.573	notifye
notion	0.612	0.284	0.667	nosyon
notional	0.520	0.288	0.500	nosyonèl
notoriety	0.552	0.633	0.769	notoryete
notorious	0.366	0.582	0.609	notwa
notready	0.133	0.400	0.196	pa pare
notwithstanding	0.367	0.316	0.433	malgre
nought	0.312	0.098	0.116	anyen
noun	0.531	0.230	0.477	non
nourish	0.878	0.460	0.639	nouri
nourishment	0.786	0.290	0.631	nouriti
nouveau	0.633	0.438	0.432	nouvo
novel	0.702	0.352	0.439	roman
novelist	0.340	0.343	0.529	romansye
novelty	0.673	0.521	0.740	kado
novice	0.429	0.346	0.180	inisyasyon
nowadays	0.680	0.346	0.400	sèjousi
nowork	0.312	0.264	0.309	pa travay
noworries	0.630	0.402	0.500	nowories
noxious	0.177	0.585	0.379	danjere
nozzle	0.438	0.330	0.287	bouch
nuance	0.408	0.282	0.411	nuans
nuances	0.490	0.375	0.527	nuans
nuclear	0.219	0.856	0.781	nikleyè
nucleus	0.529	0.296	0.667	nwayo
nude	0.490	0.915	0.200	toutouni
nudge	0.448	0.500	0.509	koude
nudie	0.500	0.529	0.373	nudie
nudist	0.440	0.796	0.483	nudis
nudity	0.438	0.853	0.415	nidite
nugget	0.602	0.340	0.348	pepit
nuisance	0.198	0.817	0.227	nwuizans
nuke	0.125	0.905	0.873	nuke
nul	0.337	0.358	0.264	nul
null	0.253	0.147	0.152	nil
nullify	0.255	0.373	0.395	anile
numb	0.108	0.420	0.352	angoudi
number	0.406	0.231	0.471	nimewo
numbering	0.510	0.363	0.482	nimero
numbers	0.406	0.241	0.440	nimewo
numbness	0.306	0.398	0.265	pèt sansasyon
numbskull	0.300	0.472	0.284	numbskull
numeral	0.582	0.254	0.382	nimeral
numerator	0.490	0.317	0.526	nimeratè
numerical	0.479	0.322	0.517	nimerik
numerically	0.510	0.337	0.500	nimerikman
numerous	0.622	0.462	0.609	anpil
nun	0.500	0.150	0.406	mè
nunchucks	0.337	0.580	0.526	nunchucks
nunnery	0.653	0.236	0.473	kourè
nuptials	0.771	0.588	0.571	maryaj
nurse	0.635	0.578	0.521	enfimyè
nursemaid	0.615	0.431	0.436	enfimyè
nursery	0.894	0.406	0.389	pepinyè
nursing	0.552	0.549	0.653	tete
nurture	0.745	0.378	0.657	nouri
nut	0.365	0.310	0.250	nwa
nutcase	0.286	0.775	0.259	nwa
nutcracker	0.635	0.378	0.522	kase nwa
nuthouse	0.347	0.519	0.434	nuthouse
nutmeg	0.635	0.302	0.350	noutmèg
nutrition	0.885	0.420	0.579	nitrisyon
nutritional	0.812	0.406	0.676	nitrisyonèl
nutritious	0.833	0.337	0.655	nourisan
nutritive	0.875	0.422	0.667	nitritif
nuts	0.594	0.250	0.291	nwa
nutshell	0.458	0.407	0.310	mot
nutty	0.444	0.317	0.271	nwa
nylon	0.490	0.304	0.295	nilon
nylong	0.439	0.248	0.351	nayilonn
nylons	0.556	0.379	0.320	nayilonn
nymph	0.542	0.529	0.472	nenf
nymphomaniac	0.398	0.894	0.536	nenfoman
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	pye bwadchenn
oar	0.469	0.392	0.316	zaviwon
oasis	0.796	0.283	0.429	oasis
oat	0.622	0.170	0.298	avwàn
oath	0.543	0.615	0.824	sèman
oatmeal	0.592	0.192	0.241	farin avwàn
obedience	0.765	0.287	0.536	obeyisans
obedient	0.800	0.179	0.518	obeyisan
obediently	0.802	0.304	0.577	obeyisan
obelisk	0.604	0.408	0.596	obelisk
obese	0.133	0.427	0.250	obèz
obesity	0.215	0.370	0.328	obezite
obey	0.677	0.433	0.533	obeyi
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	nekroloji
object	0.531	0.356	0.375	objè
objection	0.347	0.592	0.709	objeksyon
objectionable	0.459	0.382	0.558	objeksyon
objective	0.724	0.337	0.736	objektif
objectivity	0.765	0.431	0.711	objektivite
obligation	0.222	0.596	0.718	obligasyon
obligatory	0.337	0.571	0.780	obligatwa
oblige	0.281	0.770	0.614	oblije
obliged	0.327	0.680	0.411	oblije
obliging	0.740	0.402	0.545	obliyan
obligor	0.302	0.600	0.360	obligatè
oblique	0.438	0.347	0.455	oblik
obliterate	0.250	0.539	0.569	efase
obliterated	0.240	0.469	0.344	efase
obliteration	0.177	0.622	0.397	obliterasyon
oblivion	0.153	0.330	0.282	oubli
oblivious	0.229	0.388	0.355	enkonsyan
oblong	0.561	0.455	0.370	Oblong
obnoxious	0.088	0.602	0.256	dezagreyab
oboe	0.510	0.340	0.392	obois
obscene	0.050	0.745	0.348	obsèn
obscenity	0.083	0.843	0.418	obscenite
obscure	0.370	0.551	0.278	fènwa
obscured	0.115	0.356	0.298	bouche
obscurity	0.208	0.392	0.380	fènwa
observance	0.531	0.315	0.632	obsèvans
observant	0.740	0.422	0.708	obsèvatè
observation	0.633	0.433	0.667	obsèvasyon
observatory	0.643	0.324	0.731	obsèvatwa
observe	0.771	0.390	0.360	obsève
observer	0.663	0.363	0.603	obsèvatè
observing	0.583	0.400	0.685	obsève
obsess	0.112	0.846	0.509	obsede
obsessed	0.219	0.840	0.439	obsede
obsessing	0.173	0.773	0.698	obsede
obsession	0.229	0.847	0.571	mani
obsessive	0.219	0.823	0.480	obsession
obsolescence	0.250	0.431	0.377	obsolesans
obsolete	0.337	0.321	0.250	demode
obstacle	0.204	0.708	0.336	obstak
obstetrician	0.521	0.636	0.604	obstetrisyen
obstetrics	0.530	0.582	0.564	obstetrik
obstinate	0.146	0.696	0.562	obstiné
obstruct	0.115	0.660	0.458	obstrue
obstruction	0.125	0.742	0.491	obstakl
obstructive	0.204	0.650	0.613	obstriktif
obtain	0.760	0.438	0.731	jwenn
obtainable	0.677	0.327	0.702	ka jwenn
obtuse	0.281	0.460	0.345	obti
obverse	0.470	0.394	0.464	anvè
obvious	0.625	0.336	0.585	evidan
ocarina	0.541	0.392	0.366	okarin
occasion	0.700	0.451	0.398	okazyon
occasional	0.490	0.298	0.387	okazyonèl
occasionally	0.538	0.240	0.264	detanzantan
occipital	0.398	0.408	0.518	oksipital
occlusion	0.306	0.439	0.442	okluzyon
occult	0.292	0.382	0.406	occult
occupancy	0.625	0.471	0.721	lokatè
occupant	0.500	0.417	0.483	okipan
occupation	0.562	0.470	0.692	okipasyon
occupational	0.583	0.469	0.596	okipasyonèl
occupied	0.337	0.546	0.441	okipe
occupier	0.427	0.438	0.600	okipan
occupy	0.396	0.520	0.589	okipe
occupying	0.573	0.462	0.519	okipe
occur	0.451	0.561	0.510	rive
occurrence	0.573	0.690	0.541	ensidan
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	oseyan
oceanic	0.740	0.317	0.632	oseyanik
octagon	0.602	0.349	0.462	oktagòn
octave	0.438	0.380	0.482	oktav
octopus	0.713	0.378	0.411	poulp
ocular	0.418	0.370	0.400	okulèr
odd	0.265	0.337	0.302	enpè
oddball	0.316	0.360	0.357	etranj
oddity	0.312	0.557	0.386	etranj
odds	0.500	0.472	0.680	chans
ode	0.604	0.269	0.519	od
odious	0.235	0.708	0.235	odiyan
odometer	0.367	0.470	0.388	odomètr
odor	0.337	0.363	0.404	odè
odyssey	0.622	0.692	0.710	odyssey
oedipal	0.312	0.575	0.509	oedipal
oestrogen	0.521	0.608	0.561	estwojèn
oeuvre	0.653	0.484	0.598	zèv
offal	0.302	0.470	0.302	detriye
offence	0.312	0.798	0.446	ofans
offend	0.094	0.804	0.333	ofanse
offended	0.188	0.690	0.337	ofanse
offender	0.104	0.851	0.537	delenkan
offense	0.230	0.765	0.510	ofans
offensive	0.135	0.882	0.600	ofansif
offer	0.750	0.745	0.596	ofri
offered	0.582	0.490	0.544	ofri
offering	0.688	0.462	0.585	ofrann
offhand	0.388	0.500	0.368	dezagreyab
office	0.427	0.302	0.509	biwo
officer	0.542	0.430	0.877	ofisye
offices	0.469	0.312	0.534	biwo yo
official	0.646	0.565	0.833	ofisyèl
officiate	0.688	0.453	0.704	ofisye
offing	0.490	0.412	0.447	offing
offload	0.479	0.444	0.525	dechaje
offset	0.719	0.394	0.704	konpanse
offshoot	0.517	0.330	0.361	branch
offshore	0.417	0.484	0.441	lanmè
offside	0.323	0.519	0.443	nan offside
offspring	0.656	0.435	0.600	pitit pitit
oft	0.500	0.308	0.474	souvan
oftentimes	0.571	0.500	0.482	souvan
ogre	0.135	0.698	0.510	ogr
ohdear	0.458	0.519	0.442	o cheri
ohgod	0.500	0.557	0.439	Oh Bondye
ohno	0.396	0.475	0.380	ohno
ohshit	0.230	0.594	0.343	oh merde
oil	0.521	0.278	0.306	lwil oliv
oils	0.459	0.229	0.391	lwil
oily	0.276	0.533	0.385	lwil
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	odè
okra	0.469	0.400	0.362	kalalou
olden	0.284	0.213	0.425	olden
oldie	0.363	0.363	0.342	oldie
oldies	0.438	0.300	0.412	ansyen
olfactory	0.602	0.409	0.452	olfactif
oligarchy	0.327	0.567	0.741	oligachi
olive	0.571	0.231	0.406	oliv
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	omlèt
omen	0.390	0.657	0.583	presan
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	menasan
omission	0.367	0.333	0.275	omisyon
omit	0.330	0.265	0.451	omite
omitted	0.260	0.235	0.211	omisyon
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	omnipotans
omnipotent	0.719	0.679	0.919	omnipoten
omnipresent	0.688	0.452	0.825	omniprezan
omniscient	0.656	0.334	0.778	omnisyan
onboard	0.612	0.451	0.491	abò
oncologist	0.260	0.654	0.640	onkolojist
oncology	0.204	0.424	0.500	nkoloji
oncoming	0.594	0.625	0.773	kap vini
one	0.542	0.292	0.370	youn
oneday	0.667	0.245	0.374	yon jou
onedge	0.479	0.552	0.400	onedge
onelove	0.816	0.577	0.541	yon sèl Lanmou
oneness	0.745	0.272	0.720	inite
onerous	0.500	0.480	0.462	onèr
oneself	0.660	0.337	0.483	tèt li
ongoing	0.674	0.484	0.556	kontinyèl
onion	0.378	0.367	0.382	zonyon
onset	0.673	0.497	0.500	aparisyon
onslaught	0.198	0.939	0.717	ofansiv
onstage	0.719	0.673	0.583	sou sèn
ontology	0.510	0.450	0.518	ontoloji
onus	0.562	0.520	0.769	onus
onward	0.667	0.538	0.741	pi devan
onyx	0.571	0.461	0.380	oniks
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	oze
oozing	0.238	0.515	0.427	koule
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	opakite
opal	0.623	0.479	0.379	opal
opaque	0.344	0.265	0.342	opak
ope	0.375	0.380	0.395	ope
open	0.620	0.480	0.569	louvri
opener	0.584	0.526	0.377	ouvèti
opening	0.667	0.510	0.620	ouvèti
openly	0.603	0.388	0.553	ouvètman
openness	0.837	0.561	0.667	ouvèti
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	opere
operatic	0.375	0.452	0.627	opéras
operation	0.475	0.611	0.755	operasyon
operational	0.562	0.570	0.679	operasyonèl
operations	0.480	0.549	0.798	operasyon yo
operative	0.541	0.635	0.718	opere
operator	0.612	0.630	0.726	operatè
ophthalmic	0.427	0.385	0.444	oftalmik
ophthalmologist	0.552	0.389	0.491	oftalmològ
opiate	0.281	0.594	0.598	opiate
opinion	0.594	0.482	0.638	opinyon
opinionated	0.156	0.800	0.491	opinyon
opium	0.276	0.490	0.333	opyòm
opponent	0.080	0.741	0.716	advèsè
opportune	0.796	0.538	0.767	apwopriye
opportunism	0.571	0.752	0.673	opòtinis
opportunity	0.938	0.745	0.833	opòtinite
oppose	0.431	0.800	0.473	opoze
opposed	0.092	0.460	0.606	opoze
opposing	0.188	0.660	0.518	opoze
opposite	0.235	0.545	0.408	kontrè
opposites	0.281	0.518	0.462	opoze
opposition	0.135	0.729	0.592	opozisyon
oppress	0.186	0.654	0.555	toupizi
oppressed	0.119	0.640	0.259	oprime
oppression	0.080	0.673	0.615	opresyon
oppressive	0.276	0.590	0.667	opresyon
oppressor	0.160	0.776	0.629	opresè
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	opt
optic	0.663	0.384	0.594	optik
optical	0.677	0.311	0.542	optik
optics	0.562	0.286	0.580	optik
optimism	0.949	0.565	0.814	optimis
optimist	0.875	0.539	0.787	optimis
optimistic	0.979	0.580	0.821	optimis
optimum	0.892	0.469	0.808	pi bon
option	0.512	0.427	0.359	opsyon
optional	0.755	0.350	0.440	opsyonèl
optionally	0.365	0.405	0.481	opsyonèlman
options	0.622	0.327	0.473	opsyon
optometrist	0.446	0.455	0.668	optometris
opulence	0.620	0.615	0.648	opulans
opulent	0.562	0.660	0.660	abondan
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	oracle
oral	0.530	0.448	0.375	oral
orange	0.646	0.132	0.296	zoranj
orange juice	0.719	0.343	0.445	ji zoranj
orangutan	0.430	0.560	0.471	orangoutan
oration	0.646	0.315	0.683	orasyon
orator	0.667	0.375	0.682	oratè
oratory	0.602	0.472	0.693	oratwa
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	òbit
orbital	0.458	0.451	0.559	òbital
orbiting	0.520	0.643	0.554	òbit
orbs	0.469	0.355	0.482	orb
orc	0.240	0.510	0.388	ork
orchard	0.760	0.269	0.333	orchard
orchestra	0.708	0.500	0.664	òkès
orchid	0.840	0.345	0.382	orkide
ordained	0.735	0.409	0.731	òdone
ordeal	0.344	0.539	0.529	apwè move moman
order	0.780	0.295	0.814	lòd
orderly	0.844	0.240	0.661	lòd
ordinance	0.615	0.452	0.776	òdonans
ordinary	0.375	0.312	0.286	òdinè
ordination	0.688	0.490	0.765	òdinasyon
ordnance	0.354	0.825	0.679	òdonans
ore	0.500	0.333	0.356	minrè
oregano	0.596	0.327	0.250	origan
organ	0.510	0.469	0.538	ògàn
organic	0.719	0.343	0.535	òganik
organism	0.457	0.559	0.800	òganis
organist	0.740	0.469	0.669	òganis
organization	0.810	0.535	0.851	òganizasyon
organize	0.802	0.655	0.781	òganize
organized	0.816	0.337	0.746	òganize
organizer	0.604	0.577	0.846	òganizatè
orgasm	0.844	0.863	0.676	orgasme
orgies	0.388	0.953	0.433	òji
orgy	0.346	0.962	0.536	òji
orient	0.667	0.422	0.667	oryante
oriental	0.592	0.409	0.598	oriental
orientation	0.667	0.454	0.686	oryantasyon
orifice	0.448	0.355	0.443	orifis
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	orijin
original	0.765	0.480	0.746	orijinal
originality	0.898	0.500	0.824	orijinalite
originate	0.702	0.500	0.866	orijine
origination	0.760	0.443	0.604	orijin
originator	0.592	0.510	0.868	orijinè
ornament	0.561	0.373	0.441	orneman
ornamental	0.663	0.392	0.460	dekoratif
ornamentation	0.663	0.471	0.472	dekorasyon
ornamented	0.677	0.350	0.490	dekore
ornate	0.812	0.356	0.500	òneman
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	òfelen
orphanage	0.184	0.439	0.425	òfelina
orphaned	0.062	0.430	0.228	òfelen
orthodontist	0.469	0.615	0.564	ÒTODONTIS
orthodox	0.388	0.471	0.647	òtodòks
orthodoxy	0.271	0.388	0.612	òtodoksi
orthogonal	0.500	0.314	0.540	òtogonal
orthopedic	0.406	0.346	0.473	òtopedik
oscillate	0.449	0.580	0.397	osile
oscillating	0.469	0.548	0.402	osile
