English Word	Valence	Arousal	Dominance	Irish Word
new age	0.694	0.556	0.727	aois nua
newbeginnings	0.802	0.613	0.524	nuabheirthe
newborn	0.918	0.580	0.372	nuabheirthe
newcomer	0.622	0.380	0.396	núíosach
newday	0.847	0.388	0.618	lá nua
newfound	0.745	0.741	0.520	nuafhionn
newjob	0.755	0.643	0.729	post nua
newlife	0.898	0.646	0.701	saol nua
newly	0.688	0.422	0.552	nua
newlywed	0.847	0.706	0.570	nuaphósta
newme	0.643	0.550	0.527	núíosa
newness	0.740	0.522	0.588	úire
news	0.633	0.580	0.610	nuacht
newscast	0.531	0.509	0.714	nuachtlitir
newscaster	0.646	0.510	0.764	nuachtlitir
newsflash	0.604	0.637	0.518	flash nuachta
newsletter	0.622	0.385	0.490	nuachtlitir
newsman	0.604	0.480	0.696	fear nuachta
newspaper	0.602	0.283	0.444	nuachtán
newspaperman	0.561	0.458	0.750	fear nuachtáin
newsreel	0.625	0.571	0.577	nuachtscannán
newsroom	0.531	0.392	0.658	seomra nuachta
newsstand	0.615	0.222	0.336	seastán nuachta
newstart	0.802	0.510	0.667	tús nua
newt	0.458	0.380	0.541	dearc
newyear	0.938	0.784	0.520	Athbhliain
nexus	0.496	0.368	0.412	nasc
nib	0.510	0.282	0.406	niab
nibble	0.551	0.551	0.411	nibble
nice	0.930	0.442	0.650	deas
niche	0.459	0.413	0.318	nideoige
nichts	0.406	0.293	0.404	nichts
nick	0.554	0.388	0.387	leasainm
nickel	0.510	0.347	0.406	nicil
nickname	0.490	0.470	0.263	leasainm
nicotine	0.235	0.608	0.447	nicotín
niece	0.771	0.320	0.400	neacht
nifty	0.740	0.745	0.815	nifty
nigh	0.653	0.216	0.336	ngar
night	0.598	0.396	0.404	oíche
nightcap	0.750	0.196	0.268	caipín oíche
nightclub	0.802	0.894	0.528	Club oíche
nightfall	0.490	0.436	0.426	choidhche
nightgown	0.643	0.408	0.250	gúna oíche
nightie	0.630	0.388	0.274	oíche
nightingale	0.740	0.340	0.496	nightingale
nightlife	0.542	0.783	0.510	nightlife
nightly	0.673	0.410	0.474	oíche
nightmare	0.005	0.810	0.436	tromluí
nightmares	0.082	0.942	0.448	tromluithe
nightstand	0.490	0.130	0.327	seastán oíche
nightstick	0.500	0.461	0.348	maide oíche
nighttime	0.735	0.385	0.439	oíche
nihilism	0.367	0.510	0.364	nihilism
nil	0.286	0.143	0.157	nialas
nimble	0.833	0.729	0.769	nimh
nimrod	0.327	0.500	0.539	nimrod
nincompoop	0.365	0.431	0.368	nialóg
nine	0.552	0.255	0.327	naoi
nineteen	0.673	0.304	0.375	naoi déag
ninety	0.479	0.349	0.436	nócha
ninja	0.542	0.844	0.682	ninja
ninny	0.344	0.343	0.309	nóin
nintendo	0.802	0.571	0.464	nintendo
ninth	0.490	0.212	0.396	naoú
nip	0.281	0.700	0.264	nip
nipper	0.386	0.422	0.317	clúidín
nipple	0.480	0.786	0.415	clúidín
nippy	0.540	0.500	0.416	clúidín
nitrate	0.388	0.406	0.500	níotráit
nitro	0.500	0.647	0.639	nítri
nitrogen	0.427	0.435	0.562	nítrigin
nitrous	0.435	0.561	0.411	nítriúil
nitwit	0.146	0.606	0.139	nitwit
nix	0.330	0.380	0.404	nix
no anticipation	0.396	0.480	0.341	gan súil
no disgust	0.510	0.324	0.448	gan disgust
no emotion	0.170	0.109	0.225	aon mhothúchán
no sentiment	0.092	0.382	0.278	aon sentiment
no surprise	0.171	0.224	0.412	gan aon iontas
no trust	0.055	0.445	0.257	gan muinín
nobility	0.844	0.347	0.736	uaisle
noble	0.906	0.345	0.610	uasal
nobleman	0.675	0.286	0.709	uasal
nobodycares	0.365	0.410	0.354	Is cuma le gach duine
nocomplaints	0.677	0.164	0.491	neamhghearáin
nocturnal	0.540	0.500	0.462	oícheanta
nod	0.590	0.367	0.427	nod
nodding	0.694	0.294	0.426	nocht
node	0.396	0.343	0.361	nód
nodular	0.438	0.351	0.411	nodular
nodule	0.312	0.426	0.349	nodule
noggin	0.510	0.433	0.382	noggin
nohope	0.200	0.441	0.385	nodóchas
noir	0.375	0.394	0.365	noir
noise	0.260	0.883	0.388	torann
noisy	0.271	0.812	0.561	nois
nomad	0.375	0.413	0.433	nomad
nomadic	0.427	0.519	0.422	fánaíochta
nomenclature	0.500	0.222	0.575	ainmníocht
nominal	0.594	0.250	0.463	ainmniúil
nominate	0.615	0.471	0.669	ainmniú
nomination	0.663	0.637	0.696	ainmniúchán
nominee	0.662	0.625	0.765	ainmní
nonce	0.422	0.370	0.377	nocht
nonchalant	0.312	0.314	0.366	neamhchalantach
noncompliance	0.112	0.598	0.259	neamhchomhlíonadh
nondescript	0.490	0.434	0.348	neamhthuairisc
nonexistent	0.208	0.429	0.149	nach bhfuil ann
nonfat	0.604	0.260	0.340	neamhshaille
nonfiction	0.426	0.315	0.431	neamhfhicsean
nonpayment	0.229	0.510	0.298	neamhíocaíocht
nonresident	0.250	0.340	0.302	neamhchónaitheach
nonsense	0.214	0.531	0.155	nonsense
nonsensical	0.173	0.268	0.193	nonsensical
nonviolent	0.640	0.287	0.346	neamhfhoréigneach
noob	0.417	0.430	0.267	noob
noodle	0.633	0.216	0.225	núdail
nook	0.480	0.321	0.296	noc
noon	0.531	0.343	0.518	meán lae
noose	0.356	0.300	0.330	srón
nopoint	0.276	0.324	0.314	nopoint
noregrets	0.469	0.476	0.426	Gan aiféala
norm	0.500	0.245	0.527	gnáth
normal	0.740	0.127	0.380	gnáth
normalcy	0.805	0.151	0.620	normáltacht
normality	0.781	0.089	0.444	normáltacht
north	0.531	0.255	0.450	thuaidh
northbound	0.604	0.454	0.491	ó thuaidh
northeast	0.562	0.260	0.375	oirthuaisceart
northern	0.570	0.340	0.472	Thuaidh
northwest	0.604	0.345	0.451	Iarthuaisceart
northwestern	0.479	0.306	0.462	iarthuaisceart
noschool	0.490	0.400	0.380	scoil
nose	0.582	0.270	0.245	srón
nosebleed	0.153	0.776	0.361	srón
nosey	0.276	0.655	0.223	suarach
nosnow	0.392	0.394	0.366	anois
nostalgia	0.417	0.337	0.339	cumha
nostalgic	0.458	0.351	0.184	cumha
nostress	0.531	0.404	0.415	nocht
nostril	0.396	0.404	0.316	nostril
nosun	0.388	0.380	0.351	noun
nosy	0.292	0.558	0.433	suarach
not negative	0.622	0.270	0.444	ní diúltach
not positive	0.051	0.370	0.236	ní dearfach
notable	0.760	0.450	0.696	suntasach
notables	0.594	0.608	0.755	suntais
notably	0.792	0.533	0.689	go háirithe
notamorningperson	0.469	0.578	0.440	nóta maidin duine
notary	0.541	0.451	0.676	nótaire
notation	0.635	0.380	0.558	nodaireacht
notch	0.459	0.361	0.358	notch
notched	0.480	0.530	0.356	notched
note	0.594	0.163	0.416	Nóta
notebook	0.449	0.167	0.442	leabhar nótaí
noted	0.615	0.382	0.464	faoi deara
noteworthy	0.704	0.481	0.759	iomráiteach
nothappy	0.112	0.320	0.170	nothappy
nothingbetter	0.635	0.390	0.543	rud ar bith níos fearr
nothingness	0.204	0.080	0.161	rud ar bith
notice	0.646	0.408	0.491	Fógra
noticeable	0.890	0.562	0.750	faoi deara
notification	0.604	0.461	0.671	fógra
notify	0.643	0.471	0.573	fógra a thabhairt
notion	0.612	0.284	0.667	nóisean
notional	0.520	0.288	0.500	barúlach
notoriety	0.552	0.633	0.769	clú
notorious	0.366	0.582	0.609	míchlúiteach
notready	0.133	0.400	0.196	notready
notwithstanding	0.367	0.316	0.433	ainneoin
nought	0.312	0.098	0.116	dána
noun	0.531	0.230	0.477	ainmfhocal
nourish	0.878	0.460	0.639	cothaigh
nourishment	0.786	0.290	0.631	cothú
nouveau	0.633	0.438	0.432	nouveau
novel	0.702	0.352	0.439	úrscéal
novelist	0.340	0.343	0.529	úrscéalaí
novelty	0.673	0.521	0.740	núíosach
novice	0.429	0.346	0.180	novice
nowadays	0.680	0.346	0.400	lá atá inniu ann
nowork	0.312	0.264	0.309	gan obair
noworries	0.630	0.402	0.500	ná bí buartha
noxious	0.177	0.585	0.379	urchóideach
nozzle	0.438	0.330	0.287	nozzle
nuance	0.408	0.282	0.411	nuance
nuances	0.490	0.375	0.527	nuances
nuclear	0.219	0.856	0.781	núicléach
nucleus	0.529	0.296	0.667	núicléas
nude	0.490	0.915	0.200	nocht
nudge	0.448	0.500	0.509	nocht
nudie	0.500	0.529	0.373	nudie
nudist	0.440	0.796	0.483	nudist
nudity	0.438	0.853	0.415	néaltacht
nugget	0.602	0.340	0.348	cnapán
nuisance	0.198	0.817	0.227	núis
nuke	0.125	0.905	0.873	núic
nul	0.337	0.358	0.264	null
null	0.253	0.147	0.152	null
nullify	0.255	0.373	0.395	neamhniú
numb	0.108	0.420	0.352	nimhneach
number	0.406	0.231	0.471	uimhir
numbering	0.510	0.363	0.482	uimhrithe
numbers	0.406	0.241	0.440	uimhreacha
numbness	0.306	0.398	0.265	numbness
numbskull	0.300	0.472	0.284	numbskull
numeral	0.582	0.254	0.382	uimhir
numerator	0.490	0.317	0.526	uimhreoir
numerical	0.479	0.322	0.517	uimhriúil
numerically	0.510	0.337	0.500	go huimhriúil
numerous	0.622	0.462	0.609	iomadúla
nun	0.500	0.150	0.406	bean rialta
nunchucks	0.337	0.580	0.526	mná rialta
nunnery	0.653	0.236	0.473	nunnery
nuptials	0.771	0.588	0.571	bainiseacha
nurse	0.635	0.578	0.521	banaltra
nursemaid	0.615	0.431	0.436	banaltra
nursery	0.894	0.406	0.389	naíonra
nursing	0.552	0.549	0.653	altranais
nurture	0.745	0.378	0.657	chothú
nut	0.365	0.310	0.250	cnó
nutcase	0.286	0.775	0.259	cáis cnónna
nutcracker	0.635	0.378	0.522	cnó cócó
nuthouse	0.347	0.519	0.434	teach cnó
nutmeg	0.635	0.302	0.350	cnómag
nutrition	0.885	0.420	0.579	cothú
nutritional	0.812	0.406	0.676	cothaitheach
nutritious	0.833	0.337	0.655	cothaitheach
nutritive	0.875	0.422	0.667	cothaitheach
nuts	0.594	0.250	0.291	cnónna
nutshell	0.458	0.407	0.310	cnó
nutty	0.444	0.317	0.271	nutty
nylon	0.490	0.304	0.295	níolón
nylong	0.439	0.248	0.351	nylong
nylons	0.556	0.379	0.320	níolóin
nymph	0.542	0.529	0.472	nimfeach
nymphomaniac	0.398	0.894	0.536	nymphomaniac
oaf	0.344	0.357	0.330	damh
oak	0.583	0.245	0.536	darach
oar	0.469	0.392	0.316	maimh
oasis	0.796	0.283	0.429	ósais
oat	0.622	0.170	0.298	coirce
oath	0.543	0.615	0.824	mionn
oatmeal	0.592	0.192	0.241	mhin choirce
obedience	0.765	0.287	0.536	géillsine
obedient	0.800	0.179	0.518	géilliúil
obediently	0.802	0.304	0.577	obediently
obelisk	0.604	0.408	0.596	oibilisc
obese	0.133	0.427	0.250	murtallach
obesity	0.215	0.370	0.328	raimhre
obey	0.677	0.433	0.533	géilleadh
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	marbhna
object	0.531	0.356	0.375	réad
objection	0.347	0.592	0.709	agóid
objectionable	0.459	0.382	0.558	dothuigthe
objective	0.724	0.337	0.736	cuspóir
objectivity	0.765	0.431	0.711	oibiachtúlacht
obligation	0.222	0.596	0.718	oibleagáid
obligatory	0.337	0.571	0.780	éigeantach
oblige	0.281	0.770	0.614	iallach
obliged	0.327	0.680	0.411	oibleagáid
obliging	0.740	0.402	0.545	oibleagáid
obligor	0.302	0.600	0.360	oibleagáideoir
oblique	0.438	0.347	0.455	fiar
obliterate	0.250	0.539	0.569	scriosta
obliterated	0.240	0.469	0.344	scriosta
obliteration	0.177	0.622	0.397	díothú
oblivion	0.153	0.330	0.282	dearmad
oblivious	0.229	0.388	0.355	doiléir
oblong	0.561	0.455	0.370	fadálach
obnoxious	0.088	0.602	0.256	dothuigthe
oboe	0.510	0.340	0.392	óbó
obscene	0.050	0.745	0.348	gáirsiúil
obscenity	0.083	0.843	0.418	graostacht
obscure	0.370	0.551	0.278	doiléir
obscured	0.115	0.356	0.298	doiléir
obscurity	0.208	0.392	0.380	doiléire
observance	0.531	0.315	0.632	urramú
observant	0.740	0.422	0.708	amhairc
observation	0.633	0.433	0.667	breathnadóireacht
observatory	0.643	0.324	0.731	réadlann
observe	0.771	0.390	0.360	breathnaigh
observer	0.663	0.363	0.603	bhreathnadóir
observing	0.583	0.400	0.685	ag breathnú
obsess	0.112	0.846	0.509	obsess
obsessed	0.219	0.840	0.439	obsessed
obsessing	0.173	0.773	0.698	dothuigthe
obsession	0.229	0.847	0.571	obsession
obsessive	0.219	0.823	0.480	obsessive
obsolescence	0.250	0.431	0.377	dífheidhmeacht
obsolete	0.337	0.321	0.250	imithe i léig
obstacle	0.204	0.708	0.336	bac
obstetrician	0.521	0.636	0.604	cnáimhseach
obstetrics	0.530	0.582	0.564	cnáimhseach
obstinate	0.146	0.696	0.562	bacach
obstruct	0.115	0.660	0.458	bac
obstruction	0.125	0.742	0.491	bac
obstructive	0.204	0.650	0.613	bacach
obtain	0.760	0.438	0.731	fuair
obtainable	0.677	0.327	0.702	infhaighte
obtuse	0.281	0.460	0.345	maoluillinneacha
obverse	0.470	0.394	0.464	mhalartach
obvious	0.625	0.336	0.585	soiléir
ocarina	0.541	0.392	0.366	ócairín
occasion	0.700	0.451	0.398	ócáid
occasional	0.490	0.298	0.387	ó am go chéile
occasionally	0.538	0.240	0.264	ó am go chéile
occipital	0.398	0.408	0.518	occipital
occlusion	0.306	0.439	0.442	occlusion
occult	0.292	0.382	0.406	asarlaíochta
occupancy	0.625	0.471	0.721	áitíochta
occupant	0.500	0.417	0.483	áititheoir
occupation	0.562	0.470	0.692	slí bheatha
occupational	0.583	0.469	0.596	ceirde
occupied	0.337	0.546	0.441	áitithe
occupier	0.427	0.438	0.600	áititheoir
occupy	0.396	0.520	0.589	áitiú
occupying	0.573	0.462	0.519	ag áitiú
occur	0.451	0.561	0.510	tarlú
occurrence	0.573	0.690	0.541	tarlúint
ocd	0.333	0.472	0.370	ocht
ocean	0.823	0.308	0.642	aigéan
oceanic	0.740	0.317	0.632	aigéanach
octagon	0.602	0.349	0.462	ochtagán
octave	0.438	0.380	0.482	ochtar
octopus	0.713	0.378	0.411	ochtapas
ocular	0.418	0.370	0.400	súilíneach
odd	0.265	0.337	0.302	corr
oddball	0.316	0.360	0.357	corrpheil
oddity	0.312	0.557	0.386	aisteach
odds	0.500	0.472	0.680	corr
ode	0.604	0.269	0.519	óid
odious	0.235	0.708	0.235	suarach
odometer	0.367	0.470	0.388	odaiméadair
odor	0.337	0.363	0.404	boladh
odyssey	0.622	0.692	0.710	odaisé
oedipal	0.312	0.575	0.509	oidipal
oestrogen	0.521	0.608	0.561	estrogen
oeuvre	0.653	0.484	0.598	oeuvre
offal	0.302	0.470	0.302	scartach
offence	0.312	0.798	0.446	cion
offend	0.094	0.804	0.333	chiontaíonn
offended	0.188	0.690	0.337	ciontaigh
offender	0.104	0.851	0.537	ciontóir
offense	0.230	0.765	0.510	cion
offensive	0.135	0.882	0.600	maslach
offer	0.750	0.745	0.596	tairiscint
offered	0.582	0.490	0.544	tairgeadh
offering	0.688	0.462	0.585	ag tairiscint
offhand	0.388	0.500	0.368	as lámh
office	0.427	0.302	0.509	oifig
officer	0.542	0.430	0.877	oifigeach
offices	0.469	0.312	0.534	oifigí
official	0.646	0.565	0.833	oifigeach
officiate	0.688	0.453	0.704	oifigeach
offing	0.490	0.412	0.447	as
offload	0.479	0.444	0.525	offload
offset	0.719	0.394	0.704	fhritháireamh
offshoot	0.517	0.330	0.361	seachrán
offshore	0.417	0.484	0.441	amach ón gcósta
offside	0.323	0.519	0.443	offside
offspring	0.656	0.435	0.600	sliocht
oft	0.500	0.308	0.474	minic
oftentimes	0.571	0.500	0.482	go minic
ogre	0.135	0.698	0.510	ogre
ohdear	0.458	0.519	0.442	ohdear
ohgod	0.500	0.557	0.439	a dhia
ohno	0.396	0.475	0.380	Ó níl
ohshit	0.230	0.594	0.343	ó shit
oil	0.521	0.278	0.306	ola
oils	0.459	0.229	0.391	olaí
oily	0.276	0.533	0.385	olach
oink	0.500	0.450	0.289	oinc
ointment	0.438	0.271	0.398	ointment
okra	0.469	0.400	0.362	ocra
olden	0.284	0.213	0.425	sean
oldie	0.363	0.363	0.342	seandhuine
oldies	0.438	0.300	0.412	seandaoine
olfactory	0.602	0.409	0.452	olfactory
oligarchy	0.327	0.567	0.741	oligarchy
olive	0.571	0.231	0.406	olóige
omega	0.529	0.337	0.526	óimige
omelet	0.708	0.323	0.315	óiméad
omen	0.390	0.657	0.583	manadh
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	ominous
omission	0.367	0.333	0.275	easnamh
omit	0.330	0.265	0.451	fág ar lár
omitted	0.260	0.235	0.211	fágtha ar lár
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	uilechumhachtach
omnipotent	0.719	0.679	0.919	uilechumhachtach
omnipresent	0.688	0.452	0.825	uileláithreacha
omniscient	0.656	0.334	0.778	omniscient
onboard	0.612	0.451	0.491	Ar mbord
oncologist	0.260	0.654	0.640	oinceolaí
oncology	0.204	0.424	0.500	oinceolaíocht
oncoming	0.594	0.625	0.773	ag teacht
one	0.542	0.292	0.370	aon
oneday	0.667	0.245	0.374	lá amháin
onedge	0.479	0.552	0.400	ar imeall
onelove	0.816	0.577	0.541	grá amháin
oneness	0.745	0.272	0.720	aontacht
onerous	0.500	0.480	0.462	trom
oneself	0.660	0.337	0.483	féin
ongoing	0.674	0.484	0.556	leanúnach
onion	0.378	0.367	0.382	oinniún
onset	0.673	0.497	0.500	tosaigh
onslaught	0.198	0.939	0.717	maraithe
onstage	0.719	0.673	0.583	ar stáitse
ontology	0.510	0.450	0.518	ontology
onus	0.562	0.520	0.769	dualgas
onward	0.667	0.538	0.741	ar aghaidh
onyx	0.571	0.461	0.380	onics
oodles	0.490	0.374	0.446	údail
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	ooze
oozing	0.238	0.515	0.427	oozing
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	teimhneacht
opal	0.623	0.479	0.379	ópal
opaque	0.344	0.265	0.342	teimhneach
ope	0.375	0.380	0.395	ope
open	0.620	0.480	0.569	oscailt
opener	0.584	0.526	0.377	oscailteoir
opening	0.667	0.510	0.620	oscailt
openly	0.603	0.388	0.553	go hoscailte
openness	0.837	0.561	0.667	oscailteacht
opera	0.714	0.500	0.483	ceoldráma
operate	0.582	0.690	0.691	oibriú
operatic	0.375	0.452	0.627	operatic
operation	0.475	0.611	0.755	oibríocht
operational	0.562	0.570	0.679	oibriúcháin
operations	0.480	0.549	0.798	oibríochtaí
operative	0.541	0.635	0.718	oibríoch
operator	0.612	0.630	0.726	oibreoir
ophthalmic	0.427	0.385	0.444	oftalmach
ophthalmologist	0.552	0.389	0.491	oftailmeolaí
opiate	0.281	0.594	0.598	codlaidín
opinion	0.594	0.482	0.638	tuairim
opinionated	0.156	0.800	0.491	tuairim
opium	0.276	0.490	0.333	codlaidín
opponent	0.080	0.741	0.716	comhraic
opportune	0.796	0.538	0.767	tráthúil
opportunism	0.571	0.752	0.673	caoithiúlacht
opportunity	0.938	0.745	0.833	deis
oppose	0.431	0.800	0.473	cur i gcoinne
opposed	0.092	0.460	0.606	ina choinne
opposing	0.188	0.660	0.518	ag cur ina choinne
opposite	0.235	0.545	0.408	os coinne
opposites	0.281	0.518	0.462	codarsnacha
opposition	0.135	0.729	0.592	freasúra
oppress	0.186	0.654	0.555	leatrom
oppressed	0.119	0.640	0.259	faoi chois
oppression	0.080	0.673	0.615	cos ar bolg
oppressive	0.276	0.590	0.667	leatromach
oppressor	0.160	0.776	0.629	leatromach
ops	0.417	0.550	0.528	comharchumainn
opt	0.510	0.471	0.345	rogha an diúltaithe
optic	0.663	0.384	0.594	snáthoptaice
optical	0.677	0.311	0.542	optúil
optics	0.562	0.286	0.580	optaic
optimism	0.949	0.565	0.814	dóchas
optimist	0.875	0.539	0.787	dóchasach
optimistic	0.979	0.580	0.821	dóchasach
optimum	0.892	0.469	0.808	barrmhaith
option	0.512	0.427	0.359	rogha
optional	0.755	0.350	0.440	roghnach
optionally	0.365	0.405	0.481	go roghnach
options	0.622	0.327	0.473	roghanna
optometrist	0.446	0.455	0.668	radharceolaí
opulence	0.620	0.615	0.648	opulence
opulent	0.562	0.660	0.660	opulent
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	oracle
oral	0.530	0.448	0.375	béil
orange	0.646	0.132	0.296	Oráiste
orange juice	0.719	0.343	0.445	sú oráiste
orangutan	0.430	0.560	0.471	orangutan
oration	0.646	0.315	0.683	óráid
orator	0.667	0.375	0.682	óráidí
oratory	0.602	0.472	0.693	aireagal
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	fithis
orbital	0.458	0.451	0.559	fithiseach
orbiting	0.520	0.643	0.554	orbiting
orbs	0.469	0.355	0.482	orbs
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	úllord
orchestra	0.708	0.500	0.664	ceolfhoirne
orchid	0.840	0.345	0.382	magairlín
ordained	0.735	0.409	0.731	ordaithe
ordeal	0.344	0.539	0.529	ordeal
order	0.780	0.295	0.814	ordú
orderly	0.844	0.240	0.661	ordúil
ordinance	0.615	0.452	0.776	ordanás
ordinary	0.375	0.312	0.286	gnáth
ordination	0.688	0.490	0.765	ordú
ordnance	0.354	0.825	0.679	ordanás
ore	0.500	0.333	0.356	méine
oregano	0.596	0.327	0.250	oregano
organ	0.510	0.469	0.538	orgán
organic	0.719	0.343	0.535	orgánach
organism	0.457	0.559	0.800	orgánach
organist	0.740	0.469	0.669	orgánaí
organization	0.810	0.535	0.851	eagraíocht
organize	0.802	0.655	0.781	eagrú
organized	0.816	0.337	0.746	eagraithe
organizer	0.604	0.577	0.846	eagraí
orgasm	0.844	0.863	0.676	orgasm
orgies	0.388	0.953	0.433	orgies
orgy	0.346	0.962	0.536	orgy
orient	0.667	0.422	0.667	oirthearach
oriental	0.592	0.409	0.598	oirthearach
orientation	0.667	0.454	0.686	treoshuíomh
orifice	0.448	0.355	0.443	orifice
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	bunadh
original	0.765	0.480	0.746	bunaidh
originality	0.898	0.500	0.824	úrnuacht
originate	0.702	0.500	0.866	tionscnaimh
origination	0.760	0.443	0.604	tionscnaimh
originator	0.592	0.510	0.868	tionscnóir
ornament	0.561	0.373	0.441	ornáid
ornamental	0.663	0.392	0.460	ornáideach
ornamentation	0.663	0.471	0.472	ornáideacht
ornamented	0.677	0.350	0.490	ornáideach
ornate	0.812	0.356	0.500	ornáideach
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	dílleachta
orphanage	0.184	0.439	0.425	dílleachtlann
orphaned	0.062	0.430	0.228	dílleachtaí
orthodontist	0.469	0.615	0.564	ortadóntach
orthodox	0.388	0.471	0.647	orthodox
orthodoxy	0.271	0.388	0.612	orthodoxy
orthogonal	0.500	0.314	0.540	orthogonal
orthopedic	0.406	0.346	0.473	ortaipéideach
oscillate	0.449	0.580	0.397	ascalach
oscillating	0.469	0.548	0.402	ascalach
oscillation	0.562	0.433	0.431	ascalaithe
oscillatory	0.375	0.520	0.480	ascalach
ostensible	0.542	0.549	0.585	dofheicthe
ostensibly	0.473	0.529	0.509	de réir dealraimh
ostentatious	0.479	0.794	0.648	maslach
ostracized	0.115	0.690	0.377	ostracized
ostrich	0.592	0.382	0.241	ostrais
other	0.472	0.230	0.259	eile
otter	0.439	0.216	0.339	dobharchú
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	ottoman
ought	0.438	0.511	0.434	chóir
ounce	0.531	0.255	0.288	unsa
oust	0.296	0.716	0.444	oust
outage	0.306	0.684	0.438	briseadh amach
outback	0.500	0.324	0.430	ais amach
outbid	0.594	0.622	0.540	forbid
outboard	0.448	0.491	0.456	bord amach
outbreak	0.260	0.632	0.472	ráig
outburst	0.209	0.802	0.528	sceith
outcast	0.153	0.449	0.353	outcast
outcome	0.615	0.472	0.685	toradh
outcry	0.271	0.773	0.718	outcry
outdated	0.167	0.236	0.226	as dáta
outdo	0.771	0.750	0.873	amuigh
outdoor	0.814	0.256	0.447	amuigh faoin aer
outdoors	0.781	0.444	0.453	amuigh
outer	0.552	0.471	0.456	amuigh
outfit	0.760	0.490	0.566	chulaith
outgoing	0.650	0.472	0.538	ag dul as oifig
outgrow	0.510	0.529	0.722	éirí amach
outgrowth	0.771	0.620	0.688	fás amach
outhouse	0.281	0.519	0.255	teach amuigh
outing	0.771	0.672	0.634	turas
outlandish	0.448	0.737	0.657	outlandish
outlast	0.620	0.786	0.685	thar barr
outlaw	0.255	0.662	0.482	eisreachtú
outlet	0.610	0.396	0.245	asraon
outline	0.542	0.365	0.509	imlíne
outlines	0.656	0.402	0.651	imlíne
outlive	0.565	0.769	0.724	beo
outlook	0.830	0.525	0.625	dearcadh
outlying	0.460	0.562	0.503	forimeallach
outnumber	0.347	0.615	0.577	líon níos airde
outpatient	0.260	0.400	0.395	othar seachtrach
outpost	0.635	0.571	0.675	outpost
outpouring	0.562	0.685	0.552	racht
output	0.604	0.389	0.434	aschur
outrage	0.060	0.689	0.542	feall
outraged	0.156	0.696	0.538	outraged
outrageous	0.153	0.945	0.713	fealltach
outrank	0.653	0.643	0.817	outrank
outreach	0.540	0.462	0.672	for-rochtain
outright	0.767	0.396	0.755	amach is amach
outrun	0.531	0.833	0.573	outrun
outset	0.750	0.500	0.582	tús
outsider	0.398	0.549	0.447	coimhthíoch
outskirts	0.474	0.519	0.312	imeall
outsmart	0.673	0.657	0.864	outsmart
outspoken	0.582	0.413	0.667	as cainte
outstanding	0.898	0.760	0.896	ar fheabhas
outstretched	0.448	0.481	0.519	sínte
outward	0.449	0.439	0.365	amach
outwards	0.440	0.472	0.400	amach
outweigh	0.486	0.600	0.682	treise
outwit	0.302	0.755	0.356	outwit
oval	0.417	0.280	0.330	ubhchruthach
ovary	0.469	0.399	0.280	ubhagán
ovate	0.385	0.286	0.368	ubhagán
ovation	0.719	0.758	0.750	ubhagán
oven	0.583	0.425	0.606	oigheann
overactive	0.667	0.885	0.592	róghníomhach
overall	0.583	0.370	0.670	tríd is tríd
overalls	0.500	0.392	0.373	rabhlaeir
overbearing	0.323	0.833	0.861	overbearing
overburden	0.115	0.755	0.546	ró-ualach
overcast	0.417	0.250	0.475	doiléir
overcharged	0.276	0.780	0.569	rómhuirearaithe
overcoat	0.594	0.265	0.430	cóta mór
overcome	0.719	0.689	0.848	shárú
overcoming	0.842	0.765	0.855	a shárú
overcrowded	0.292	0.520	0.491	plódaithe
overdo	0.156	0.864	0.602	ródhéanamh
overdose	0.110	0.820	0.468	ródháileog
overdrive	0.303	0.715	0.732	overdrive
overdue	0.125	0.427	0.259	thar téarma
overestimate	0.367	0.796	0.444	rómheastachán
overestimated	0.344	0.646	0.527	rómheasta
overflow	0.398	0.792	0.500	thar maoil
overflowing	0.439	0.796	0.635	ag cur thar maoil
overgrown	0.333	0.500	0.369	rófhásta
overgrowth	0.417	0.790	0.673	rófhás
overhanging	0.698	0.755	0.812	crochta
overhaul	0.500	0.651	0.491	ollchóiriú
overhead	0.344	0.700	0.538	lastuas
overhear	0.650	0.365	0.580	cloisteáil
overheated	0.250	0.598	0.547	róthéite
overjoyed	0.908	0.708	0.755	thar a bheith sásta
overkill	0.379	0.861	0.678	overkill
overlaid	0.620	0.610	0.676	forleagtha
overlap	0.594	0.615	0.627	forluí
overlapping	0.595	0.578	0.684	forluí
overlay	0.564	0.596	0.749	forleagan
overload	0.381	0.690	0.652	ró-ualach
overlook	0.292	0.418	0.415	overlook
