English Word	Valence	Arousal	Dominance	Filipino Word
opener	0.584	0.526	0.377	pambukas
opening	0.667	0.510	0.620	pagbubukas
openly	0.603	0.388	0.553	lantaran
openness	0.837	0.561	0.667	pagiging bukas
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	gumana
operatic	0.375	0.452	0.627	operatiko
operation	0.475	0.611	0.755	operasyon
operational	0.562	0.570	0.679	pagpapatakbo
operations	0.480	0.549	0.798	mga operasyon
operative	0.541	0.635	0.718	operatiba
operator	0.612	0.630	0.726	operator
ophthalmic	0.427	0.385	0.444	ophthalmic
ophthalmologist	0.552	0.389	0.491	ophthalmologist
opiate	0.281	0.594	0.598	opiate
opinion	0.594	0.482	0.638	opinyon
opinionated	0.156	0.800	0.491	may opinyon
opium	0.276	0.490	0.333	opyo
opponent	0.080	0.741	0.716	kalaban
opportune	0.796	0.538	0.767	pagkakataon
opportunism	0.571	0.752	0.673	oportunismo
opportunity	0.938	0.745	0.833	pagkakataon
oppose	0.431	0.800	0.473	tutulan
opposed	0.092	0.460	0.606	sumasalungat
opposing	0.188	0.660	0.518	sumasalungat
opposite	0.235	0.545	0.408	kabaligtaran
opposites	0.281	0.518	0.462	magkasalungat
opposition	0.135	0.729	0.592	pagsalungat
oppress	0.186	0.654	0.555	mang-api
oppressed	0.119	0.640	0.259	inaapi
oppression	0.080	0.673	0.615	pang-aapi
oppressive	0.276	0.590	0.667	mapang-api
oppressor	0.160	0.776	0.629	mapang-api
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	opt
optic	0.663	0.384	0.594	optic
optical	0.677	0.311	0.542	sa mata
optics	0.562	0.286	0.580	optika
optimism	0.949	0.565	0.814	optimismo
optimist	0.875	0.539	0.787	optimist
optimistic	0.979	0.580	0.821	optimistiko
optimum	0.892	0.469	0.808	pinakamabuting kalagayan
option	0.512	0.427	0.359	opsyon
optional	0.755	0.350	0.440	opsyonal
optionally	0.365	0.405	0.481	opsyonal
options	0.622	0.327	0.473	mga pagpipilian
optometrist	0.446	0.455	0.668	optometrist
opulence	0.620	0.615	0.648	kayamanan
opulent	0.562	0.660	0.660	mayaman
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	orakulo
oral	0.530	0.448	0.375	pasalita
orange	0.646	0.132	0.296	kahel
orange juice	0.719	0.343	0.445	orange juice
orangutan	0.430	0.560	0.471	orangutan
oration	0.646	0.315	0.683	orasyon
orator	0.667	0.375	0.682	mananalumpati
oratory	0.602	0.472	0.693	oratoryo
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	orbit
orbital	0.458	0.451	0.559	orbital
orbiting	0.520	0.643	0.554	umiikot
orbs	0.469	0.355	0.482	orbs
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	halamanan
orchestra	0.708	0.500	0.664	orkestra
orchid	0.840	0.345	0.382	orkidyas
ordained	0.735	0.409	0.731	inorden
ordeal	0.344	0.539	0.529	pagsubok
order	0.780	0.295	0.814	utos
orderly	0.844	0.240	0.661	maayos
ordinance	0.615	0.452	0.776	ordinansa
ordinary	0.375	0.312	0.286	karaniwan
ordination	0.688	0.490	0.765	ordinasyon
ordnance	0.354	0.825	0.679	ordnance
ore	0.500	0.333	0.356	mineral
oregano	0.596	0.327	0.250	oregano
organ	0.510	0.469	0.538	organ
organic	0.719	0.343	0.535	organic
organism	0.457	0.559	0.800	organismo
organist	0.740	0.469	0.669	organista
organization	0.810	0.535	0.851	organisasyon
organize	0.802	0.655	0.781	ayusin
organized	0.816	0.337	0.746	organisado
organizer	0.604	0.577	0.846	organizer
orgasm	0.844	0.863	0.676	orgasm
orgies	0.388	0.953	0.433	orgies
orgy	0.346	0.962	0.536	orgy
orient	0.667	0.422	0.667	i-orient
oriental	0.592	0.409	0.598	oriental
orientation	0.667	0.454	0.686	oryentasyon
orifice	0.448	0.355	0.443	orifice
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	pinanggalingan
original	0.765	0.480	0.746	orihinal
originality	0.898	0.500	0.824	pagka-orihinal
originate	0.702	0.500	0.866	nagmula
origination	0.760	0.443	0.604	pinagmulan
originator	0.592	0.510	0.868	tagalikha
ornament	0.561	0.373	0.441	palamuti
ornamental	0.663	0.392	0.460	pampalamuti
ornamentation	0.663	0.471	0.472	palamuti
ornamented	0.677	0.350	0.490	pinalamutian
ornate	0.812	0.356	0.500	gayak
ornery	0.361	0.520	0.509	kakulitan
orphan	0.133	0.388	0.140	ulila
orphanage	0.184	0.439	0.425	bahay-ampunan
orphaned	0.062	0.430	0.228	naulila
orthodontist	0.469	0.615	0.564	orthodontist
orthodox	0.388	0.471	0.647	orthodox
orthodoxy	0.271	0.388	0.612	orthodoxy
orthogonal	0.500	0.314	0.540	orthogonal
orthopedic	0.406	0.346	0.473	orthopedic
oscillate	0.449	0.580	0.397	umindayog
oscillating	0.469	0.548	0.402	umiikot
oscillation	0.562	0.433	0.431	osilasyon
oscillatory	0.375	0.520	0.480	oscillatory
ostensible	0.542	0.549	0.585	nagpapanggap
ostensibly	0.473	0.529	0.509	kunwari
ostentatious	0.479	0.794	0.648	bongga
ostracized	0.115	0.690	0.377	itinatakwil
ostrich	0.592	0.382	0.241	ostrich
other	0.472	0.230	0.259	iba pa
otter	0.439	0.216	0.339	otter
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	ottoman
ought	0.438	0.511	0.434	dapat
ounce	0.531	0.255	0.288	onsa
oust	0.296	0.716	0.444	patalsikin
outage	0.306	0.684	0.438	outage
outback	0.500	0.324	0.430	outback
outbid	0.594	0.622	0.540	outbid
outboard	0.448	0.491	0.456	outboard
outbreak	0.260	0.632	0.472	outbreak
outburst	0.209	0.802	0.528	pagsabog
outcast	0.153	0.449	0.353	itinakwil
outcome	0.615	0.472	0.685	kinalabasan
outcry	0.271	0.773	0.718	sigaw
outdated	0.167	0.236	0.226	lipas na sa panahon
outdo	0.771	0.750	0.873	malampasan
outdoor	0.814	0.256	0.447	panlabas
outdoors	0.781	0.444	0.453	nasa labas
outer	0.552	0.471	0.456	panlabas
outfit	0.760	0.490	0.566	damit
outgoing	0.650	0.472	0.538	papalabas
outgrow	0.510	0.529	0.722	lumaki
outgrowth	0.771	0.620	0.688	paglaki
outhouse	0.281	0.519	0.255	labas ng bahay
outing	0.771	0.672	0.634	pagliliwaliw
outlandish	0.448	0.737	0.657	kakaiba
outlast	0.620	0.786	0.685	magtagal
outlaw	0.255	0.662	0.482	bawal
outlet	0.610	0.396	0.245	labasan
outline	0.542	0.365	0.509	balangkas
outlines	0.656	0.402	0.651	mga balangkas
outlive	0.565	0.769	0.724	walang buhay
outlook	0.830	0.525	0.625	pananaw
outlying	0.460	0.562	0.503	nasa labas
outnumber	0.347	0.615	0.577	lumampas sa bilang
outpatient	0.260	0.400	0.395	outpatient
outpost	0.635	0.571	0.675	outpost
outpouring	0.562	0.685	0.552	pagbuhos
output	0.604	0.389	0.434	output
outrage	0.060	0.689	0.542	pagkagalit
outraged	0.156	0.696	0.538	nagagalit
outrageous	0.153	0.945	0.713	mapangahas
outrank	0.653	0.643	0.817	higit sa ranggo
outreach	0.540	0.462	0.672	outreach
outright	0.767	0.396	0.755	tahasan
outrun	0.531	0.833	0.573	malampasan ang pagtakbo
outset	0.750	0.500	0.582	pasimula
outsider	0.398	0.549	0.447	tagalabas
outskirts	0.474	0.519	0.312	labas ng bayan
outsmart	0.673	0.657	0.864	outsmart
outspoken	0.582	0.413	0.667	walang pigil sa pagsasalita
outstanding	0.898	0.760	0.896	namumukod-tangi
outstretched	0.448	0.481	0.519	nakabuka
outward	0.449	0.439	0.365	palabas
outwards	0.440	0.472	0.400	palabas
outweigh	0.486	0.600	0.682	matimbang
outwit	0.302	0.755	0.356	dayain
oval	0.417	0.280	0.330	hugis-itlog
ovary	0.469	0.399	0.280	obaryo
ovate	0.385	0.286	0.368	ovate
ovation	0.719	0.758	0.750	palakpakan
oven	0.583	0.425	0.606	hurno
overactive	0.667	0.885	0.592	sobrang aktibo
overall	0.583	0.370	0.670	sa pangkalahatan
overalls	0.500	0.392	0.373	oberols
overbearing	0.323	0.833	0.861	pagmamalabis
overburden	0.115	0.755	0.546	labis na pasanin
overcast	0.417	0.250	0.475	makulimlim
overcharged	0.276	0.780	0.569	overcharged
overcoat	0.594	0.265	0.430	patong
overcome	0.719	0.689	0.848	pagtagumpayan
overcoming	0.842	0.765	0.855	pagtagumpayan
overcrowded	0.292	0.520	0.491	masikip
overdo	0.156	0.864	0.602	sumobra
overdose	0.110	0.820	0.468	labis na dosis
overdrive	0.303	0.715	0.732	overdrive
overdue	0.125	0.427	0.259	overdue na
overestimate	0.367	0.796	0.444	mag-overestimate
overestimated	0.344	0.646	0.527	overestimated
overflow	0.398	0.792	0.500	pag-apaw
overflowing	0.439	0.796	0.635	umaapaw
overgrown	0.333	0.500	0.369	tinutubuan
overgrowth	0.417	0.790	0.673	labis na paglaki
overhanging	0.698	0.755	0.812	overhanging
overhaul	0.500	0.651	0.491	overhaul
overhead	0.344	0.700	0.538	overhead
overhear	0.650	0.365	0.580	marinig
overheated	0.250	0.598	0.547	sobrang init
overjoyed	0.908	0.708	0.755	tuwang-tuwa
overkill	0.379	0.861	0.678	overkill
overlaid	0.620	0.610	0.676	nakapatong
overlap	0.594	0.615	0.627	magkakapatong
overlapping	0.595	0.578	0.684	nagsasapawan
overlay	0.564	0.596	0.749	overlay
overload	0.381	0.690	0.652	labis na karga
overlook	0.292	0.418	0.415	makaligtaan
overlord	0.750	0.755	0.932	panginoon
overlying	0.500	0.519	0.691	nakapatong
overpaid	0.429	0.670	0.585	sobrang bayad
overpass	0.562	0.561	0.565	overpass
overplayed	0.224	0.798	0.586	overplayed
overpower	0.448	0.859	0.783	madaig
overpowering	0.392	0.779	0.589	makapangyarihan
overpriced	0.271	0.556	0.472	sobrang presyo
overprotective	0.448	0.673	0.741	sobrang proteksyon
overrated	0.312	0.630	0.482	overrated
overreact	0.306	0.912	0.471	mag-overreact
override	0.316	0.491	0.529	override
overriding	0.240	0.490	0.384	override
overrule	0.224	0.412	0.429	overrule
overrun	0.271	0.764	0.598	lumusob
oversee	0.541	0.649	0.778	mangasiwa
overseer	0.552	0.520	0.873	tagapangasiwa
overshadow	0.333	0.549	0.654	natatabunan
oversight	0.385	0.618	0.723	pangangasiwa
oversized	0.552	0.540	0.679	sobrang laki
overslept	0.408	0.315	0.300	overslept
overstate	0.281	0.779	0.635	labis na estado
overstock	0.344	0.592	0.589	overstock
overt	0.708	0.326	0.607	lantad
overtake	0.573	0.620	0.718	maabutan
overtaken	0.594	0.552	0.702	naabutan
overthemoon	0.643	0.531	0.481	overthemoon
overthinker	0.430	0.606	0.552	overthiker
overthinking	0.408	0.761	0.525	masyadong nag-iisip
overthrow	0.260	0.868	0.620	ibagsak
overtime	0.447	0.504	0.529	overtime
overtired	0.210	0.357	0.273	sobrang pagod
overture	0.490	0.402	0.491	overture
overturn	0.240	0.765	0.396	baligtarin
overview	0.615	0.380	0.539	pangkalahatang-ideya
overweight	0.052	0.500	0.389	sobra sa timbang
overwhelm	0.250	0.823	0.462	matabunan
overwhelmed	0.341	0.680	0.348	nalulula
overwhelming	0.327	0.830	0.640	napakalaki
overworked	0.133	0.670	0.387	sobra sa trabaho
overwrought	0.156	0.900	0.571	nasobrahan
overzealous	0.427	0.804	0.703	sobrang sigasig
owe	0.500	0.429	0.386	may utang na loob
owing	0.396	0.307	0.381	utang
owl	0.520	0.270	0.321	kuwago
owner	0.776	0.449	0.920	may-ari
ownership	0.628	0.445	0.741	pagmamay-ari
ox	0.417	0.396	0.412	baka
oxidation	0.453	0.415	0.211	oksihenasyon
oxide	0.354	0.377	0.298	oksido
oxygen	0.908	0.310	0.575	oxygen
oxymoron	0.427	0.481	0.398	oxymoron
oyster	0.500	0.311	0.327	talaba
ozone	0.560	0.345	0.518	ozone
pace	0.510	0.380	0.390	bilis
pacemaker	0.448	0.569	0.582	pacemaker
pacific	0.627	0.118	0.580	pacific
pacified	0.802	0.194	0.414	napatahimik
pacifier	0.615	0.342	0.356	pacifier
pacifist	0.663	0.153	0.557	pasipista
pacify	0.812	0.283	0.629	patahimikin
pacing	0.583	0.551	0.491	pacing
pack	0.510	0.347	0.475	pack
package	0.571	0.433	0.443	pakete
packaging	0.604	0.393	0.549	packaging
packer	0.520	0.480	0.537	packer
packet	0.582	0.385	0.407	pakete
pact	0.442	0.444	0.593	kasunduan
pad	0.684	0.279	0.330	pad
padded	0.606	0.212	0.371	may palaman
padding	0.561	0.398	0.423	padding
paddle	0.561	0.375	0.393	magtampisaw
paddle boat	0.663	0.373	0.415	bangkang sagwan
paddock	0.480	0.429	0.481	paddock
paddy	0.653	0.330	0.330	palay
padlock	0.459	0.284	0.457	padlock
padre	0.684	0.407	0.647	padre
paean	0.552	0.547	0.471	paean
pagan	0.292	0.578	0.542	pagano
paganism	0.240	0.640	0.411	paganismo
page	0.677	0.224	0.278	pahina
pageant	0.719	0.667	0.651	pageant
pager	0.510	0.526	0.554	pager
pagination	0.459	0.333	0.400	pagbilang ng pahina
paging	0.542	0.398	0.423	paging
pagoda	0.571	0.259	0.435	pagoda
pail	0.448	0.177	0.188	balde
pain	0.012	0.765	0.395	sakit
pained	0.112	0.500	0.250	masakit
painful	0.050	0.742	0.330	masakit
painfully	0.156	0.720	0.407	masakit
painkiller	0.487	0.312	0.481	pangpawala ng sakit
painless	0.785	0.173	0.491	walang sakit
pains	0.106	0.673	0.362	mga sakit
painstaking	0.396	0.335	0.386	masipag
paint	0.667	0.343	0.413	pintura
paintball	0.615	0.745	0.537	paintball
paintbrush	0.714	0.226	0.353	pintura
painted	0.667	0.333	0.424	pininturahan
painter	0.677	0.366	0.487	pintor
painting	0.792	0.324	0.333	pagpipinta
pair	0.552	0.317	0.304	pares
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	pajama
pajamas	0.719	0.170	0.264	pajama
pal	0.812	0.426	0.596	kaibigan
palace	0.878	0.510	0.804	palasyo
palatable	0.823	0.500	0.594	masarap
palate	0.625	0.350	0.358	panlasa
pale	0.281	0.259	0.245	maputla
paleontology	0.438	0.308	0.617	paleontolohiya
palette	0.590	0.333	0.205	palette
pall	0.277	0.387	0.394	pumuti
palladium	0.470	0.380	0.393	paleydyum
pallet	0.604	0.241	0.349	papag
palliative	0.548	0.394	0.518	pampakalma
palm	0.531	0.194	0.340	palad
palmer	0.480	0.269	0.413	palmer
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	nadadamay
palpitations	0.417	0.702	0.528	palpitations
palsy	0.083	0.446	0.221	paralisado
paltry	0.333	0.491	0.320	maliit
pamper	0.792	0.321	0.348	layaw
pamphlet	0.530	0.250	0.327	polyeto
pan	0.734	0.182	0.364	pan
panacea	0.420	0.427	0.613	panlunas sa lahat
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	pancake
pancakes	0.844	0.373	0.402	mga pancake
pancreas	0.469	0.302	0.366	lapay
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandemya
pandemonium	0.229	0.885	0.500	pandemonium
pane	0.385	0.250	0.444	pane
panel	0.469	0.321	0.425	panel
pang	0.146	0.595	0.455	pang
panhandle	0.441	0.431	0.414	panhandle
panic	0.062	0.938	0.400	panic
panicattack	0.255	0.724	0.386	panictack
panicked	0.100	0.949	0.260	nataranta
panicking	0.094	0.882	0.333	nagpapanic
panicky	0.284	0.962	0.393	nagpapanic
panier	0.500	0.392	0.380	panier
panorama	0.719	0.402	0.625	panorama
panoramic	0.542	0.462	0.684	panoramic
pansy	0.653	0.283	0.589	pansy
pant	0.448	0.463	0.409	humihingal
pantheon	0.144	0.410	0.610	panteon
panther	0.303	0.594	0.682	panther
panties	0.594	0.529	0.312	panty
pantomime	0.552	0.481	0.385	pantomime
pantry	0.622	0.294	0.312	pantry
pants	0.673	0.320	0.333	pantalon
panty	0.451	0.557	0.303	panty
pantyhose	0.570	0.539	0.250	pantyhose
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	papa
papacy	0.481	0.263	0.553	kapapahan
papal	0.493	0.304	0.559	papal
papaya	0.630	0.306	0.300	papaya
paper	0.520	0.123	0.293	papel
paperback	0.633	0.269	0.314	paperback
paperboy	0.521	0.490	0.471	paperboy
paperweight	0.421	0.278	0.433	timbang ng papel
paperwork	0.448	0.355	0.422	papeles
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papyrus
par	0.615	0.372	0.429	par
parable	0.479	0.357	0.525	parabula
parabola	0.542	0.413	0.620	parabola
parabolic	0.459	0.509	0.500	parabolic
parachute	0.562	0.787	0.564	parasyut
parade	0.792	0.685	0.509	parada
paradigm	0.573	0.429	0.779	paradigma
paradise	0.875	0.540	0.796	paraiso
paradox	0.417	0.442	0.482	kabalintunaan
paradoxical	0.406	0.547	0.433	kabalintunaan
paraffin	0.426	0.291	0.343	paraffin
paragon	0.490	0.431	0.473	huwaran
paragraph	0.510	0.164	0.269	talata
parakeet	0.576	0.387	0.227	parakeet
paralegal	0.479	0.470	0.519	paralegal
parallax	0.437	0.394	0.471	paralaks
parallel	0.568	0.284	0.465	parallel
parallelism	0.549	0.363	0.527	paralelismo
paralysis	0.156	0.500	0.305	paralisis
paralyze	0.188	0.367	0.471	paralisado
paramedic	0.673	0.464	0.636	paramedic
paramedics	0.479	0.594	0.712	mga paramedic
paramilitary	0.154	0.804	0.727	paramilitar
paramount	0.771	0.615	0.902	higit sa lahat
paranoia	0.146	0.841	0.407	paranoya
paranoid	0.122	0.918	0.364	paranoid
paranormal	0.167	0.814	0.560	paranormal
parapet	0.450	0.356	0.279	parapet
paraphernalia	0.443	0.726	0.509	mga gamit
paraphrase	0.500	0.375	0.444	paraphrase
paraplegic	0.188	0.441	0.321	paraplegic
parasite	0.092	0.442	0.324	parasito
parasitic	0.037	0.600	0.364	parasitiko
parasol	0.604	0.255	0.304	parasol
parcel	0.660	0.324	0.411	parsela
parcels	0.551	0.445	0.418	mga parsela
parched	0.250	0.235	0.255	natuyo
parchment	0.615	0.228	0.455	pergamino
pardon	0.552	0.413	0.542	patawad
pare	0.500	0.356	0.309	pare
parenchyma	0.500	0.399	0.595	parenkayma
parent	0.812	0.357	0.860	magulang
parentage	0.903	0.382	0.595	pagiging magulang
parental	0.760	0.430	0.627	magulang
parenthesis	0.510	0.255	0.380	panaklong
parenthetical	0.490	0.327	0.391	panaklong
parenthood	0.750	0.630	0.782	pagiging magulang
parenting	0.812	0.520	0.676	pagiging magulang
pariah	0.397	0.478	0.293	pariah
parietal	0.481	0.333	0.491	parietal
paring	0.429	0.441	0.324	pagbabawas
parish	0.698	0.354	0.582	parokya
parity	0.582	0.406	0.407	pagkakapantay-pantay
park	0.816	0.343	0.414	parke
parka	0.469	0.481	0.395	parke
parking	0.777	0.469	0.510	paradahan
parkinsons	0.104	0.570	0.373	mga parkinson
parlance	0.510	0.350	0.462	pagsasalita
parlay	0.469	0.611	0.483	parlay
parliament	0.573	0.540	0.858	parlyamento
parliamentary	0.490	0.554	0.755	parlyamentaryo
parlor	0.500	0.327	0.366	parlor
parmesan	0.698	0.321	0.382	parmesan
parody	0.561	0.651	0.375	patawa
parole	0.388	0.620	0.526	parol
parquet	0.541	0.240	0.422	parquet
parrot	0.588	0.333	0.292	loro
parry	0.510	0.404	0.436	patawarin
parse	0.469	0.456	0.667	pag-parse
parsimonious	0.417	0.312	0.446	matipid
parsimony	0.449	0.280	0.403	parsimonya
parsley	0.458	0.170	0.291	perehil
parson	0.583	0.250	0.615	parson
part	0.663	0.278	0.360	bahagi
partake	0.755	0.656	0.629	makibahagi
partial	0.429	0.324	0.348	bahagyang
partiality	0.375	0.380	0.490	pagtatangi
partially	0.418	0.368	0.396	bahagyang
participant	0.712	0.598	0.613	kalahok
participate	0.755	0.580	0.684	lumahok
participation	0.781	0.700	0.702	pakikilahok
particle	0.521	0.265	0.438	butil
particular	0.562	0.402	0.552	partikular
particularity	0.670	0.434	0.586	partikularidad
particulars	0.604	0.348	0.525	mga detalye
parting	0.260	0.542	0.353	paghihiwalay
partisan	0.615	0.549	0.669	partidista
partisanship	0.438	0.566	0.551	pagiging partisan
partition	0.615	0.469	0.567	pagkahati
partly	0.415	0.410	0.396	bahagyang
partner	0.673	0.302	0.586	partner
partnership	0.786	0.387	0.545	pakikipagsosyo
partridge	0.583	0.415	0.250	partridge
parts	0.459	0.327	0.392	mga bahagi
party	0.948	0.840	0.547	party
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	pumasa
passable	0.688	0.337	0.633	madadaanan
passage	0.429	0.314	0.370	daanan
passageway	0.490	0.389	0.400	daanan
passe	0.531	0.357	0.426	pumasa
passenger	0.717	0.413	0.481	pasahero
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	dumaraan
passion	0.854	0.865	0.728	pagsinta
passionate	0.990	0.827	0.731	madamdamin
passive	0.420	0.116	0.241	passive
passivity	0.241	0.115	0.246	pagiging pasibo
passkey	0.646	0.500	0.791	passkey
passport	0.653	0.457	0.682	pasaporte
password	0.390	0.356	0.559	password
past	0.490	0.422	0.311	nakaraan
pasta	0.615	0.306	0.375	pasta
paste	0.500	0.556	0.500	idikit
pastel	0.719	0.357	0.367	pastel
pastime	0.677	0.353	0.443	pampalipas oras
pastor	0.698	0.236	0.746	pastor
pastrami	0.542	0.415	0.348	pastrami
pastry	0.870	0.407	0.419	pastry
pasture	0.688	0.145	0.170	pastulan
pasty	0.479	0.363	0.375	matamis
pat	0.418	0.377	0.340	tapik
patch	0.439	0.288	0.283	patch
patchwork	0.500	0.260	0.325	tagpi-tagpi
pate	0.406	0.260	0.260	pate
patella	0.430	0.260	0.342	patella
patent	0.724	0.391	0.609	patent
patented	0.571	0.422	0.685	patented
paternal	0.776	0.353	0.755	ama
paternity	0.704	0.590	0.806	pagka-ama
path	0.590	0.245	0.421	landas
pathetic	0.088	0.464	0.139	kalunus-lunos
pathological	0.220	0.602	0.580	pathological
pathologist	0.354	0.552	0.585	pathologist
pathology	0.271	0.560	0.558	patolohiya
pathos	0.350	0.449	0.462	kalunos-lunos
pathway	0.646	0.410	0.519	landas
patience	0.771	0.125	0.387	pasensya
patient	0.583	0.193	0.340	pasyente
patio	0.562	0.245	0.402	patio
patriarch	0.592	0.448	0.898	patriyarka
patriarchal	0.531	0.500	0.857	patriyarkal
patrimony	0.719	0.406	0.740	patrimonya
patriot	0.771	0.635	0.886	makabayan
patriotic	0.875	0.509	0.933	makabayan
patriotism	0.708	0.635	0.848	pagiging makabayan
patrol	0.427	0.664	0.736	magpatrolya
patrolman	0.469	0.731	0.884	patrolman
patron	0.583	0.451	0.870	patron
patronage	0.583	0.490	0.583	pagtangkilik
patronising	0.439	0.455	0.582	tumatangkilik
patronize	0.430	0.451	0.591	tumangkilik
patronizing	0.542	0.365	0.529	tumatangkilik
patter	0.312	0.635	0.451	patter
pattern	0.479	0.422	0.664	pattern
paucity	0.153	0.453	0.175	kakulangan
pauper	0.260	0.347	0.151	dukha
pause	0.429	0.188	0.264	huminto
pave	0.594	0.490	0.509	pasemento
pavement	0.460	0.353	0.475	simento
pavilion	0.583	0.500	0.770	pavilion
paving	0.408	0.469	0.545	paving
paw	0.417	0.360	0.286	paa
pawn	0.390	0.321	0.187	nakasangla
pawnshop	0.396	0.439	0.519	Sanglaan
pax	0.551	0.421	0.473	pax
pay	0.514	0.588	0.592	magbayad
payable	0.385	0.480	0.606	pwedeng bayaran
payback	0.459	0.500	0.567	payback
paycheck	0.896	0.630	0.652	suweldo
payday	0.833	0.741	0.571	araw ng suweldo
payer	0.313	0.630	0.638	nagbabayad
payload	0.612	0.510	0.682	payload
payment	0.629	0.452	0.643	pagbabayad
payoff	0.740	0.644	0.673	kabayaran
payout	0.646	0.600	0.575	pagbabayad
payphone	0.469	0.360	0.370	payphone
payroll	0.521	0.360	0.549	payroll
pea	0.580	0.275	0.298	gisantes
peace	0.939	0.156	0.613	kapayapaan
peaceable	0.776	0.134	0.453	mapayapa
peaceful	0.867	0.108	0.569	mapayapa
peacefully	0.901	0.190	0.639	mapayapa
peacekeeper	0.865	0.320	0.644	tagapamayapa
peaceofmind	0.786	0.160	0.519	kapayapaan ng isip
peacetime	0.949	0.180	0.579	panahon ng kapayapaan
peach	0.704	0.480	0.272	peach
peachy	0.755	0.479	0.388	peach
peacock	0.786	0.449	0.458	paboreal
peak	0.500	0.345	0.431	tugatog
peaked	0.677	0.704	0.857	sumikat
peanut	0.646	0.202	0.246	mani
peanuts	0.542	0.294	0.324	mani
pear	0.677	0.158	0.241	peras
pearl	0.905	0.425	0.642	perlas
pearly	0.635	0.337	0.373	parang perlas
peas	0.542	0.283	0.310	mga gisantes
peasant	0.530	0.275	0.407	magsasaka
peat	0.333	0.655	0.504	pit
pebble	0.354	0.353	0.287	maliit na bato
pecan	0.552	0.316	0.358	pecan
peck	0.202	0.530	0.321	halik
pecker	0.459	0.509	0.375	pecker
peculiar	0.600	0.491	0.564	kakaiba
peculiarities	0.511	0.460	0.528	mga kakaiba
peculiarity	0.439	0.452	0.652	kakaiba
peculiarly	0.615	0.450	0.454	kakaiba
pecuniary	0.490	0.490	0.500	pera
pedal	0.500	0.320	0.342	pedal
pedantic	0.229	0.608	0.253	pedantic
peddle	0.539	0.549	0.538	maglalako
peddler	0.408	0.481	0.390	mangangalakal
pedestal	0.735	0.284	0.579	pedestal
pedestrian	0.438	0.360	0.448	pedestrian
pediatric	0.560	0.462	0.490	pediatric
pediatrician	0.602	0.500	0.627	pedyatrisyan
pediatrics	0.750	0.380	0.596	pediatrics
pedicure	0.695	0.269	0.296	pedikyur
pedigree	0.625	0.340	0.609	pedigree
pedometer	0.469	0.561	0.405	panukat ng layo ng nilakad
pedophile	0.051	0.724	0.430	pedophile
pee	0.449	0.529	0.391	umihi
peek	0.486	0.360	0.411	silip
peekaboo	0.592	0.607	0.412	silip
peel	0.439	0.250	0.279	balatan
peep	0.573	0.317	0.269	sumilip
peeper	0.182	0.537	0.343	sumilip
peephole	0.479	0.500	0.310	pasilipan
peer	0.458	0.321	0.569	kapantay
peering	0.514	0.409	0.451	pagsilip
peerless	0.688	0.450	0.462	walang kapantay
peeved	0.156	0.750	0.467	nagalit
peg	0.520	0.357	0.393	ang peg
pegs	0.408	0.286	0.386	pegs
peice	0.479	0.422	0.398	piraso
pelagic	0.521	0.554	0.491	pelagic
pelican	0.573	0.391	0.380	pelikano
pellet	0.448	0.390	0.466	bulitas
pelvic	0.320	0.632	0.373	pelvic
pelvis	0.378	0.618	0.380	pelvis
pen	0.622	0.194	0.250	panulat
penal	0.208	0.565	0.610	penal
penalty	0.062	0.490	0.240	parusa
penance	0.219	0.667	0.463	penitensiya
penchant	0.688	0.480	0.609	pagkahilig
pencil	0.552	0.200	0.263	lapis
pendant	0.676	0.321	0.385	palawit
pendency	0.396	0.452	0.472	pendency
pendent	0.470	0.380	0.425	nakakulong
pending	0.396	0.441	0.473	nakabinbin
pendulum	0.542	0.368	0.434	palawit
penetrate	0.287	0.877	0.732	tumagos
penetrating	0.469	0.792	0.782	tumatagos
penetration	0.438	0.885	0.792	pagtagos
penguin	0.615	0.296	0.307	penguin
penicillin	0.417	0.431	0.566	penicillin
penile	0.490	0.736	0.491	titi
peninsula	0.551	0.384	0.627	peninsula
penis	0.354	0.810	0.556	ari ng lalaki
penitent	0.542	0.530	0.508	nagsisisi
penitentiary	0.229	0.726	0.491	bilangguan
penmanship	0.677	0.284	0.509	panulat
pennant	0.542	0.380	0.426	pennant
penniless	0.062	0.316	0.083	walang pera
penny	0.615	0.302	0.324	piso
pension	0.625	0.409	0.406	pensiyon
