English Word	Valence	Arousal	Dominance	Uzbek Word
obstetrics	0.530	0.582	0.564	akusherlik
obstinate	0.146	0.696	0.562	qaysar
obstruct	0.115	0.660	0.458	to'sqinlik qilmoq
obstruction	0.125	0.742	0.491	yo'lni to'sish
obstructive	0.204	0.650	0.613	obstruktiv
obtain	0.760	0.438	0.731	olish
obtainable	0.677	0.327	0.702	olish mumkin
obtuse	0.281	0.460	0.345	o'tkir
obverse	0.470	0.394	0.464	old tomoni
obvious	0.625	0.336	0.585	aniq
ocarina	0.541	0.392	0.366	okarina
occasion	0.700	0.451	0.398	fursat
occasional	0.490	0.298	0.387	vaqti-vaqti bilan
occasionally	0.538	0.240	0.264	vaqti-vaqti bilan
occipital	0.398	0.408	0.518	oksipital
occlusion	0.306	0.439	0.442	tiqilishi
occult	0.292	0.382	0.406	okkultiv
occupancy	0.625	0.471	0.721	bandlik
occupant	0.500	0.417	0.483	yashovchi
occupation	0.562	0.470	0.692	kasb
occupational	0.583	0.469	0.596	kasbiy
occupied	0.337	0.546	0.441	ishg'ol qilingan
occupier	0.427	0.438	0.600	bosqinchi
occupy	0.396	0.520	0.589	egallash
occupying	0.573	0.462	0.519	egallab turgan
occur	0.451	0.561	0.510	yuzaga keladi
occurrence	0.573	0.690	0.541	yuzaga kelishi
ocd	0.333	0.472	0.370	okd
ocean	0.823	0.308	0.642	okean
oceanic	0.740	0.317	0.632	okeanik
octagon	0.602	0.349	0.462	sakkizburchak
octave	0.438	0.380	0.482	oktava
octopus	0.713	0.378	0.411	sakkizoyoq
ocular	0.418	0.370	0.400	ko'z
odd	0.265	0.337	0.302	g'alati
oddball	0.316	0.360	0.357	g'alati
oddity	0.312	0.557	0.386	g'alati
odds	0.500	0.472	0.680	imkoniyatlar
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	jirkanch
odometer	0.367	0.470	0.388	odometr
odor	0.337	0.363	0.404	hid
odyssey	0.622	0.692	0.710	odissey
oedipal	0.312	0.575	0.509	edipal
oestrogen	0.521	0.608	0.561	estrogen
oeuvre	0.653	0.484	0.598	ijod
offal	0.302	0.470	0.302	sakatat
offence	0.312	0.798	0.446	jinoyat
offend	0.094	0.804	0.333	xafa qilish
offended	0.188	0.690	0.337	xafa bo'lgan
offender	0.104	0.851	0.537	jinoyatchi
offense	0.230	0.765	0.510	jinoyat
offensive	0.135	0.882	0.600	hujumkor
offer	0.750	0.745	0.596	taklif
offered	0.582	0.490	0.544	taklif qildi
offering	0.688	0.462	0.585	taklif
offhand	0.388	0.500	0.368	oldindan
office	0.427	0.302	0.509	idora
officer	0.542	0.430	0.877	ofitser
offices	0.469	0.312	0.534	idoralar
official	0.646	0.565	0.833	rasmiy
officiate	0.688	0.453	0.704	amaldor
offing	0.490	0.412	0.447	chiqish
offload	0.479	0.444	0.525	tushirish
offset	0.719	0.394	0.704	ofset
offshoot	0.517	0.330	0.361	novda
offshore	0.417	0.484	0.441	offshor
offside	0.323	0.519	0.443	ofsayd
offspring	0.656	0.435	0.600	nasl
oft	0.500	0.308	0.474	tez-tez
oftentimes	0.571	0.500	0.482	tez-tez
ogre	0.135	0.698	0.510	ogre
ohdear	0.458	0.519	0.442	azizim
ohgod	0.500	0.557	0.439	Ey Xudo
ohno	0.396	0.475	0.380	Oh yo'q
ohshit	0.230	0.594	0.343	Jin o'rsin
oil	0.521	0.278	0.306	moy
oils	0.459	0.229	0.391	yog'lar
oily	0.276	0.533	0.385	yog'li
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	malham
okra	0.469	0.400	0.362	bomya
olden	0.284	0.213	0.425	eski
oldie	0.363	0.363	0.342	eski
oldies	0.438	0.300	0.412	eskilar
olfactory	0.602	0.409	0.452	hidlash
oligarchy	0.327	0.567	0.741	oligarxiya
olive	0.571	0.231	0.406	zaytun
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	omlet
omen	0.390	0.657	0.583	alomat
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	dahshatli
omission	0.367	0.333	0.275	e'tiborsizlik
omit	0.330	0.265	0.451	o'tkazib yubormang
omitted	0.260	0.235	0.211	o'tkazib yuborilgan
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	hamma narsaga qodirlik
omnipotent	0.719	0.679	0.919	hamma narsaga qodir
omnipresent	0.688	0.452	0.825	hamma joyda mavjud
omniscient	0.656	0.334	0.778	hamma narsani biluvchi
onboard	0.612	0.451	0.491	transport vosita ichida
oncologist	0.260	0.654	0.640	onkolog
oncology	0.204	0.424	0.500	onkologiya
oncoming	0.594	0.625	0.773	kelayotgan
one	0.542	0.292	0.370	bitta
oneday	0.667	0.245	0.374	bir kun
onedge	0.479	0.552	0.400	bir chekka
onelove	0.816	0.577	0.541	bir muhabbat
oneness	0.745	0.272	0.720	birlik
onerous	0.500	0.480	0.462	mashaqqatli
oneself	0.660	0.337	0.483	o'zi
ongoing	0.674	0.484	0.556	davom etayotgan
onion	0.378	0.367	0.382	piyoz
onset	0.673	0.497	0.500	boshlanishi
onslaught	0.198	0.939	0.717	hujum
onstage	0.719	0.673	0.583	sahnada
ontology	0.510	0.450	0.518	ontologiya
onus	0.562	0.520	0.769	yuk
onward	0.667	0.538	0.741	oldinga
onyx	0.571	0.461	0.380	oniks
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	oh
ooze	0.344	0.577	0.333	oqish
oozing	0.238	0.515	0.427	oqish
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	shaffoflik
opal	0.623	0.479	0.379	opal
opaque	0.344	0.265	0.342	shaffof emas
ope	0.375	0.380	0.395	ope
open	0.620	0.480	0.569	ochiq
opener	0.584	0.526	0.377	ochuvchi
opening	0.667	0.510	0.620	ochilish
openly	0.603	0.388	0.553	ochiqchasiga
openness	0.837	0.561	0.667	ochiqlik
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	ishlaydi
operatic	0.375	0.452	0.627	operativ
operation	0.475	0.611	0.755	operatsiya
operational	0.562	0.570	0.679	operativ
operations	0.480	0.549	0.798	operatsiyalar
operative	0.541	0.635	0.718	operativ
operator	0.612	0.630	0.726	operator
ophthalmic	0.427	0.385	0.444	oftalmik
ophthalmologist	0.552	0.389	0.491	oftalmolog
opiate	0.281	0.594	0.598	opiat
opinion	0.594	0.482	0.638	fikr
opinionated	0.156	0.800	0.491	fikrli
opium	0.276	0.490	0.333	afyun
opponent	0.080	0.741	0.716	raqib
opportune	0.796	0.538	0.767	qulay
opportunism	0.571	0.752	0.673	opportunizm
opportunity	0.938	0.745	0.833	imkoniyat
oppose	0.431	0.800	0.473	qarshi
opposed	0.092	0.460	0.606	qarshi chiqdi
opposing	0.188	0.660	0.518	qarshi
opposite	0.235	0.545	0.408	qarama-qarshi
opposites	0.281	0.518	0.462	qarama-qarshiliklar
opposition	0.135	0.729	0.592	qarama-qarshilik
oppress	0.186	0.654	0.555	zulm qilish
oppressed	0.119	0.640	0.259	ezilgan
oppression	0.080	0.673	0.615	zulm
oppressive	0.276	0.590	0.667	zolim
oppressor	0.160	0.776	0.629	zolim
ops	0.417	0.550	0.528	op
opt	0.510	0.471	0.345	opt
optic	0.663	0.384	0.594	optik
optical	0.677	0.311	0.542	optik
optics	0.562	0.286	0.580	optika
optimism	0.949	0.565	0.814	optimizm
optimist	0.875	0.539	0.787	optimist
optimistic	0.979	0.580	0.821	optimistik
optimum	0.892	0.469	0.808	optimal
option	0.512	0.427	0.359	variant
optional	0.755	0.350	0.440	ixtiyoriy
optionally	0.365	0.405	0.481	ixtiyoriy
options	0.622	0.327	0.473	variantlari
optometrist	0.446	0.455	0.668	optometrist
opulence	0.620	0.615	0.648	boylik
opulent	0.562	0.660	0.660	boy
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	oracle
oral	0.530	0.448	0.375	og'zaki
orange	0.646	0.132	0.296	apelsin
orange juice	0.719	0.343	0.445	apelsin sharbati
orangutan	0.430	0.560	0.471	orangutan
oration	0.646	0.315	0.683	nutq
orator	0.667	0.375	0.682	notiq
oratory	0.602	0.472	0.693	notiqlik
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	orbita
orbital	0.458	0.451	0.559	orbital
orbiting	0.520	0.643	0.554	orbitada
orbs	0.469	0.355	0.482	sharlar
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	bog'
orchestra	0.708	0.500	0.664	orkestr
orchid	0.840	0.345	0.382	orkide
ordained	0.735	0.409	0.731	tayinlangan
ordeal	0.344	0.539	0.529	sinov
order	0.780	0.295	0.814	buyurtma
orderly	0.844	0.240	0.661	tartibli
ordinance	0.615	0.452	0.776	farmon
ordinary	0.375	0.312	0.286	oddiy
ordination	0.688	0.490	0.765	tayinlash
ordnance	0.354	0.825	0.679	o'q-dorilar
ore	0.500	0.333	0.356	ruda
oregano	0.596	0.327	0.250	oregano
organ	0.510	0.469	0.538	organ
organic	0.719	0.343	0.535	organik
organism	0.457	0.559	0.800	organizm
organist	0.740	0.469	0.669	organist
organization	0.810	0.535	0.851	tashkilot
organize	0.802	0.655	0.781	tashkil qilish
organized	0.816	0.337	0.746	tashkil etilgan
organizer	0.604	0.577	0.846	tashkilotchi
orgasm	0.844	0.863	0.676	orgazm
orgies	0.388	0.953	0.433	orgiyalar
orgy	0.346	0.962	0.536	orgiya
orient	0.667	0.422	0.667	orient
oriental	0.592	0.409	0.598	sharqona
orientation	0.667	0.454	0.686	orientatsiya
orifice	0.448	0.355	0.443	teshik
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	kelib chiqishi
original	0.765	0.480	0.746	original
originality	0.898	0.500	0.824	originallik
originate	0.702	0.500	0.866	kelib chiqishi
origination	0.760	0.443	0.604	kelib chiqishi
originator	0.592	0.510	0.868	yaratuvchisi
ornament	0.561	0.373	0.441	bezak
ornamental	0.663	0.392	0.460	bezakli
ornamentation	0.663	0.471	0.472	bezak
ornamented	0.677	0.350	0.490	bezatilgan
ornate	0.812	0.356	0.500	bezakli
ornery	0.361	0.520	0.509	tartibsizlik
orphan	0.133	0.388	0.140	etim
orphanage	0.184	0.439	0.425	bolalar uyi
orphaned	0.062	0.430	0.228	yetim qolgan
orthodontist	0.469	0.615	0.564	ortodont
orthodox	0.388	0.471	0.647	pravoslav
orthodoxy	0.271	0.388	0.612	pravoslavlik
orthogonal	0.500	0.314	0.540	ortogonal
orthopedic	0.406	0.346	0.473	ortopedik
oscillate	0.449	0.580	0.397	tebranish
oscillating	0.469	0.548	0.402	tebranuvchi
oscillation	0.562	0.433	0.431	tebranish
oscillatory	0.375	0.520	0.480	tebranish
ostensible	0.542	0.549	0.585	ko'rinadigan
ostensibly	0.473	0.529	0.509	go'yoki
ostentatious	0.479	0.794	0.648	dabdabali
ostracized	0.115	0.690	0.377	chetlashtirilgan
ostrich	0.592	0.382	0.241	tuyaqush
other	0.472	0.230	0.259	boshqa
otter	0.439	0.216	0.339	otter
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	usmonli
ought	0.438	0.511	0.434	kerak
ounce	0.531	0.255	0.288	untsiya
oust	0.296	0.716	0.444	quvib chiqarish
outage	0.306	0.684	0.438	uzilish
outback	0.500	0.324	0.430	tashqarida
outbid	0.594	0.622	0.540	taklifdan oshib ketish
outboard	0.448	0.491	0.456	bortdan tashqarida
outbreak	0.260	0.632	0.472	avj olish
outburst	0.209	0.802	0.528	portlash
outcast	0.153	0.449	0.353	chetlangan
outcome	0.615	0.472	0.685	natija
outcry	0.271	0.773	0.718	hayqiriq
outdated	0.167	0.236	0.226	eskirgan
outdo	0.771	0.750	0.873	tashqariga chiqish
outdoor	0.814	0.256	0.447	ochiq havoda
outdoors	0.781	0.444	0.453	ochiq havoda
outer	0.552	0.471	0.456	tashqi
outfit	0.760	0.490	0.566	kiyim
outgoing	0.650	0.472	0.538	chiquvchi
outgrow	0.510	0.529	0.722	oshib ketish
outgrowth	0.771	0.620	0.688	o'sish
outhouse	0.281	0.519	0.255	tashqarida
outing	0.771	0.672	0.634	sayohat
outlandish	0.448	0.737	0.657	g'alati
outlast	0.620	0.786	0.685	uzoqroq
outlaw	0.255	0.662	0.482	qonundan tashqari
outlet	0.610	0.396	0.245	chiqish
outline	0.542	0.365	0.509	kontur
outlines	0.656	0.402	0.651	konturlar
outlive	0.565	0.769	0.724	uzoq umr ko'rish
outlook	0.830	0.525	0.625	dunyoqarash
outlying	0.460	0.562	0.503	tashqarida
outnumber	0.347	0.615	0.577	ko'p
outpatient	0.260	0.400	0.395	ambulatoriya
outpost	0.635	0.571	0.675	forpost
outpouring	0.562	0.685	0.552	to'kish
output	0.604	0.389	0.434	chiqish
outrage	0.060	0.689	0.542	g'azab
outraged	0.156	0.696	0.538	g'azablangan
outrageous	0.153	0.945	0.713	dahshatli
outrank	0.653	0.643	0.817	ustunlik qiladi
outreach	0.540	0.462	0.672	targ‘ibot
outright	0.767	0.396	0.755	to'g'ridan-to'g'ri
outrun	0.531	0.833	0.573	oshib ketish
outset	0.750	0.500	0.582	boshlanishi
outsider	0.398	0.549	0.447	begona
outskirts	0.474	0.519	0.312	chekkalari
outsmart	0.673	0.657	0.864	aqlli
outspoken	0.582	0.413	0.667	ochiqchasiga
outstanding	0.898	0.760	0.896	ajoyib
outstretched	0.448	0.481	0.519	cho'zilgan
outward	0.449	0.439	0.365	tashqariga
outwards	0.440	0.472	0.400	tashqariga
outweigh	0.486	0.600	0.682	og'irroq
outwit	0.302	0.755	0.356	ayyorlik
oval	0.417	0.280	0.330	tuxumsimon
ovary	0.469	0.399	0.280	tuxumdon
ovate	0.385	0.286	0.368	tuxumsimon
ovation	0.719	0.758	0.750	olqishlar
oven	0.583	0.425	0.606	pech
overactive	0.667	0.885	0.592	haddan tashqari faol
overall	0.583	0.370	0.670	umumiy
overalls	0.500	0.392	0.373	kombinezonlar
overbearing	0.323	0.833	0.861	haddan tashqari zo'r
overburden	0.115	0.755	0.546	ortiqcha yuk
overcast	0.417	0.250	0.475	bulutli
overcharged	0.276	0.780	0.569	ortiqcha to'lov
overcoat	0.594	0.265	0.430	palto
overcome	0.719	0.689	0.848	yengish
overcoming	0.842	0.765	0.855	yengish
overcrowded	0.292	0.520	0.491	gavjum
overdo	0.156	0.864	0.602	haddan tashqari ko'p
overdose	0.110	0.820	0.468	dozani oshirib yuborish
overdrive	0.303	0.715	0.732	haddan tashqari yuk
overdue	0.125	0.427	0.259	muddati o'tgan
overestimate	0.367	0.796	0.444	ortiqcha baholash
overestimated	0.344	0.646	0.527	ortiqcha baholangan
overflow	0.398	0.792	0.500	toshib ketish
overflowing	0.439	0.796	0.635	to'lib toshgan
overgrown	0.333	0.500	0.369	o'sib chiqqan
overgrowth	0.417	0.790	0.673	haddan tashqari o'sish
overhanging	0.698	0.755	0.812	haddan tashqari osilgan
overhaul	0.500	0.651	0.491	kapital ta'mirlash
overhead	0.344	0.700	0.538	tepalik
overhear	0.650	0.365	0.580	eshitish
overheated	0.250	0.598	0.547	haddan tashqari qizib ketgan
overjoyed	0.908	0.708	0.755	xursand bo'ldi
overkill	0.379	0.861	0.678	haddan tashqari ko'p
overlaid	0.620	0.610	0.676	ustiga qo'yilgan
overlap	0.594	0.615	0.627	bir-biriga yopishib olish
overlapping	0.595	0.578	0.684	ustma-ust tushadigan
overlay	0.564	0.596	0.749	qoplama
overload	0.381	0.690	0.652	ortiqcha yuk
overlook	0.292	0.418	0.415	e'tiborsizlik
overlord	0.750	0.755	0.932	hukmdor
overlying	0.500	0.519	0.691	ustivor
overpaid	0.429	0.670	0.585	ortiqcha to'langan
overpass	0.562	0.561	0.565	yo'l o'tkazgich
overplayed	0.224	0.798	0.586	haddan tashqari o'ynadi
overpower	0.448	0.859	0.783	ustunlik qilish
overpowering	0.392	0.779	0.589	haddan tashqari kuchayish
overpriced	0.271	0.556	0.472	haddan tashqari baholangan
overprotective	0.448	0.673	0.741	haddan tashqari himoya
overrated	0.312	0.630	0.482	ortiqcha baholangan
overreact	0.306	0.912	0.471	haddan tashqari reaktsiya
override	0.316	0.491	0.529	bekor qilish
overriding	0.240	0.490	0.384	ustunlik
overrule	0.224	0.412	0.429	bekor qilish
overrun	0.271	0.764	0.598	toshib ketish
oversee	0.541	0.649	0.778	nazorat qiladi
overseer	0.552	0.520	0.873	nazoratchi
overshadow	0.333	0.549	0.654	soya qilish
oversight	0.385	0.618	0.723	nazorat
oversized	0.552	0.540	0.679	katta o'lchamli
overslept	0.408	0.315	0.300	uxlab qoldi
overstate	0.281	0.779	0.635	haddan tashqari oshirib yuborish
overstock	0.344	0.592	0.589	ortiqcha zaxira
overt	0.708	0.326	0.607	ochiq
overtake	0.573	0.620	0.718	quvib o'tish
overtaken	0.594	0.552	0.702	ortda qoldi
overthemoon	0.643	0.531	0.481	to'satdan
overthinker	0.430	0.606	0.552	ortiqcha fikrlovchi
overthinking	0.408	0.761	0.525	haddan ziyod ko'p o'ylamoq
overthrow	0.260	0.868	0.620	ag'darish
overtime	0.447	0.504	0.529	vaqt o'tgan sari
overtired	0.210	0.357	0.273	haddan tashqari charchagan
overture	0.490	0.402	0.491	uvertura
overturn	0.240	0.765	0.396	ag'darish
overview	0.615	0.380	0.539	umumiy koʻrinish
overweight	0.052	0.500	0.389	ortiqcha vazn
overwhelm	0.250	0.823	0.462	bosib olmoq
overwhelmed	0.341	0.680	0.348	hayratga tushdi
overwhelming	0.327	0.830	0.640	haddan tashqari
overworked	0.133	0.670	0.387	ortiqcha ishlagan
overwrought	0.156	0.900	0.571	haddan tashqari ishlagan
overzealous	0.427	0.804	0.703	haddan tashqari g'ayratli
owe	0.500	0.429	0.386	qarz
owing	0.396	0.307	0.381	qarz
owl	0.520	0.270	0.321	boyqush
owner	0.776	0.449	0.920	egasi
ownership	0.628	0.445	0.741	egalik
ox	0.417	0.396	0.412	ho'kiz
oxidation	0.453	0.415	0.211	oksidlanish
oxide	0.354	0.377	0.298	oksidi
oxygen	0.908	0.310	0.575	kislorod
oxymoron	0.427	0.481	0.398	oksimoron
oyster	0.500	0.311	0.327	ustritsa
ozone	0.560	0.345	0.518	ozon
pace	0.510	0.380	0.390	sur'at
pacemaker	0.448	0.569	0.582	yurak stimulyatori
pacific	0.627	0.118	0.580	tinch okeani
pacified	0.802	0.194	0.414	tinchlantirildi
pacifier	0.615	0.342	0.356	emzik
pacifist	0.663	0.153	0.557	pasifist
pacify	0.812	0.283	0.629	tinchlantirish
pacing	0.583	0.551	0.491	qadam tezligi
pack	0.510	0.347	0.475	paket
package	0.571	0.433	0.443	paket
packaging	0.604	0.393	0.549	qadoqlash
packer	0.520	0.480	0.537	qadoqlovchi
packet	0.582	0.385	0.407	paket
pact	0.442	0.444	0.593	pakt
pad	0.684	0.279	0.330	pad
padded	0.606	0.212	0.371	to'ldirilgan
padding	0.561	0.398	0.423	to'ldirish
paddle	0.561	0.375	0.393	eshkak eshish
paddle boat	0.663	0.373	0.415	eshkakli qayiq
paddock	0.480	0.429	0.481	padok
paddy	0.653	0.330	0.330	paddy
padlock	0.459	0.284	0.457	qulf
padre	0.684	0.407	0.647	ota
paean	0.552	0.547	0.471	paean
pagan	0.292	0.578	0.542	butparast
paganism	0.240	0.640	0.411	butparastlik
page	0.677	0.224	0.278	sahifa
pageant	0.719	0.667	0.651	tanlov
pager	0.510	0.526	0.554	peyjer
pagination	0.459	0.333	0.400	sahifalash
paging	0.542	0.398	0.423	peyjing
pagoda	0.571	0.259	0.435	pagoda
pail	0.448	0.177	0.188	chelak
pain	0.012	0.765	0.395	og'riq
pained	0.112	0.500	0.250	og'riqli
painful	0.050	0.742	0.330	alamli
painfully	0.156	0.720	0.407	og'riqli
painkiller	0.487	0.312	0.481	og'riq qoldiruvchi
painless	0.785	0.173	0.491	og'riqsiz
pains	0.106	0.673	0.362	og'riqlar
painstaking	0.396	0.335	0.386	mashaqqatli
paint	0.667	0.343	0.413	bo'yamoq
paintball	0.615	0.745	0.537	peyntbol
paintbrush	0.714	0.226	0.353	bo'yoq cho'tkasi
painted	0.667	0.333	0.424	bo'yalgan
painter	0.677	0.366	0.487	rassom
painting	0.792	0.324	0.333	rasm chizish
pair	0.552	0.317	0.304	juft
paisley	0.531	0.327	0.347	peysli
pajama	0.908	0.157	0.245	pijama
pajamas	0.719	0.170	0.264	pijama
pal	0.812	0.426	0.596	do'stim
palace	0.878	0.510	0.804	saroy
palatable	0.823	0.500	0.594	mazali
palate	0.625	0.350	0.358	tanglay
pale	0.281	0.259	0.245	rangpar
paleontology	0.438	0.308	0.617	paleontologiya
palette	0.590	0.333	0.205	palitrasi
pall	0.277	0.387	0.394	palla
palladium	0.470	0.380	0.393	palladiy
pallet	0.604	0.241	0.349	sxemasidan
palliative	0.548	0.394	0.518	palliativ
palm	0.531	0.194	0.340	kaft
palmer	0.480	0.269	0.413	palmer
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	paypaslanadigan
palpitations	0.417	0.702	0.528	yurak urishi
palsy	0.083	0.446	0.221	falaj
paltry	0.333	0.491	0.320	arzimas
pamper	0.792	0.321	0.348	erkalamoq
pamphlet	0.530	0.250	0.327	risola
pan	0.734	0.182	0.364	pan
panacea	0.420	0.427	0.613	panatseya
panache	0.510	0.363	0.306	shijoat
pancake	0.802	0.274	0.364	krep
pancakes	0.844	0.373	0.402	krep
pancreas	0.469	0.302	0.366	oshqozon osti bezi
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandemiya
pandemonium	0.229	0.885	0.500	pandemoniya
pane	0.385	0.250	0.444	panel
panel	0.469	0.321	0.425	paneli
pang	0.146	0.595	0.455	azob
panhandle	0.441	0.431	0.414	ushlash
panic	0.062	0.938	0.400	vahima
panicattack	0.255	0.724	0.386	vahima hujumi
panicked	0.100	0.949	0.260	vahima
panicking	0.094	0.882	0.333	vahima
panicky	0.284	0.962	0.393	vahima
panier	0.500	0.392	0.380	panier
panorama	0.719	0.402	0.625	panorama
panoramic	0.542	0.462	0.684	panoramali
pansy	0.653	0.283	0.589	pansy
pant	0.448	0.463	0.409	shim
pantheon	0.144	0.410	0.610	panteon
panther	0.303	0.594	0.682	pantera
panties	0.594	0.529	0.312	külot
pantomime	0.552	0.481	0.385	pantomima
pantry	0.622	0.294	0.312	kiler
pants	0.673	0.320	0.333	shim
panty	0.451	0.557	0.303	külot
pantyhose	0.570	0.539	0.250	külotlu çorap
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	papa
papacy	0.481	0.263	0.553	papalik
papal	0.493	0.304	0.559	papa
papaya	0.630	0.306	0.300	papaya
paper	0.520	0.123	0.293	qog'oz
paperback	0.633	0.269	0.314	qog'oz muqovasi
paperboy	0.521	0.490	0.471	qog'oz bola
paperweight	0.421	0.278	0.433	qog'oz og'irligi
paperwork	0.448	0.355	0.422	qog'oz ishlari
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papirus
par	0.615	0.372	0.429	par
parable	0.479	0.357	0.525	masal
parabola	0.542	0.413	0.620	parabola
parabolic	0.459	0.509	0.500	parabolik
parachute	0.562	0.787	0.564	parashyut
parade	0.792	0.685	0.509	parad
paradigm	0.573	0.429	0.779	paradigma
paradise	0.875	0.540	0.796	jannat
paradox	0.417	0.442	0.482	paradoks
paradoxical	0.406	0.547	0.433	paradoksal
paraffin	0.426	0.291	0.343	kerosin
paragon	0.490	0.431	0.473	namuna
paragraph	0.510	0.164	0.269	paragraf
parakeet	0.576	0.387	0.227	parakeet
paralegal	0.479	0.470	0.519	paralegal
parallax	0.437	0.394	0.471	parallaks
parallel	0.568	0.284	0.465	parallel
parallelism	0.549	0.363	0.527	parallelizm
paralysis	0.156	0.500	0.305	falaj
paralyze	0.188	0.367	0.471	falaj qilish
paramedic	0.673	0.464	0.636	feldsher
paramedics	0.479	0.594	0.712	feldsherlar
paramilitary	0.154	0.804	0.727	harbiylashtirilgan
paramount	0.771	0.615	0.902	eng muhimi
paranoia	0.146	0.841	0.407	paranoyya
paranoid	0.122	0.918	0.364	paranoid
paranormal	0.167	0.814	0.560	paranormal
parapet	0.450	0.356	0.279	parapet
paraphernalia	0.443	0.726	0.509	atributlar
paraphrase	0.500	0.375	0.444	izohlash
paraplegic	0.188	0.441	0.321	paraplegik
parasite	0.092	0.442	0.324	parazit
parasitic	0.037	0.600	0.364	parazit
parasol	0.604	0.255	0.304	soyabon
parcel	0.660	0.324	0.411	posilka
parcels	0.551	0.445	0.418	posilkalar
parched	0.250	0.235	0.255	qurib qolgan
parchment	0.615	0.228	0.455	pergament
pardon	0.552	0.413	0.542	kechir
pare	0.500	0.356	0.309	par
parenchyma	0.500	0.399	0.595	parenxima
parent	0.812	0.357	0.860	ota-ona
parentage	0.903	0.382	0.595	ota-onalik
parental	0.760	0.430	0.627	ota-ona
parenthesis	0.510	0.255	0.380	qavs
parenthetical	0.490	0.327	0.391	qavs ichida
parenthood	0.750	0.630	0.782	ota-onalik
parenting	0.812	0.520	0.676	ota-onalik
pariah	0.397	0.478	0.293	pariya
parietal	0.481	0.333	0.491	parietal
paring	0.429	0.441	0.324	paring
parish	0.698	0.354	0.582	cherkov
parity	0.582	0.406	0.407	paritet
park	0.816	0.343	0.414	park
parka	0.469	0.481	0.395	park
parking	0.777	0.469	0.510	avtoturargoh
parkinsons	0.104	0.570	0.373	parkinsonlar
parlance	0.510	0.350	0.462	ibora
parlay	0.469	0.611	0.483	parlay
parliament	0.573	0.540	0.858	parlament
parliamentary	0.490	0.554	0.755	parlament
parlor	0.500	0.327	0.366	salon
parmesan	0.698	0.321	0.382	parmesan
parody	0.561	0.651	0.375	parodiya
parole	0.388	0.620	0.526	shartli ozod qilish
parquet	0.541	0.240	0.422	parket
parrot	0.588	0.333	0.292	to'tiqush
parry	0.510	0.404	0.436	parry
parse	0.469	0.456	0.667	tahlil qilish
parsimonious	0.417	0.312	0.446	parsimon
parsimony	0.449	0.280	0.403	parsimonlik
parsley	0.458	0.170	0.291	maydanoz
parson	0.583	0.250	0.615	parson
part	0.663	0.278	0.360	qismi
partake	0.755	0.656	0.629	qatnashish
partial	0.429	0.324	0.348	qisman
partiality	0.375	0.380	0.490	tarafkashlik
partially	0.418	0.368	0.396	qisman
participant	0.712	0.598	0.613	ishtirokchi
participate	0.755	0.580	0.684	ishtirok etish
participation	0.781	0.700	0.702	ishtirok etish
particle	0.521	0.265	0.438	zarracha
particular	0.562	0.402	0.552	alohida
particularity	0.670	0.434	0.586	o'ziga xoslik
particulars	0.604	0.348	0.525	tafsilotlar
parting	0.260	0.542	0.353	ajralish
partisan	0.615	0.549	0.669	partizan
partisanship	0.438	0.566	0.551	partizanlik
partition	0.615	0.469	0.567	bo'lim
partly	0.415	0.410	0.396	qisman
partner	0.673	0.302	0.586	hamkor
partnership	0.786	0.387	0.545	hamkorlik
partridge	0.583	0.415	0.250	keklik
parts	0.459	0.327	0.392	qismlar
party	0.948	0.840	0.547	partiya
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	o'tish
passable	0.688	0.337	0.633	o'tish mumkin
passage	0.429	0.314	0.370	o'tish
passageway	0.490	0.389	0.400	o'tish yo'li
passe	0.531	0.357	0.426	o'tish
passenger	0.717	0.413	0.481	yo'lovchi
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	o'tish
passion	0.854	0.865	0.728	ehtiros
passionate	0.990	0.827	0.731	ehtirosli
passive	0.420	0.116	0.241	passiv
passivity	0.241	0.115	0.246	passivlik
passkey	0.646	0.500	0.791	kalit
passport	0.653	0.457	0.682	pasport
password	0.390	0.356	0.559	parol
past	0.490	0.422	0.311	o'tgan
pasta	0.615	0.306	0.375	makaron
paste	0.500	0.556	0.500	yopishtiring
