English Word	Valence	Arousal	Dominance	Kannada Word
laser	0.469	0.531	0.769	ಲೇಸರ್
lash	0.235	0.794	0.609	ಪ್ರಹಾರ
lass	0.656	0.536	0.433	ಹುಡುಗಿ
lasso	0.438	0.460	0.339	ಲಾಸ್ಸೋ
lastday	0.309	0.580	0.463	ಕೊನೆಯ ದಿನ
lasting	0.804	0.535	0.745	ಶಾಶ್ವತ
lastminute	0.418	0.582	0.385	ಕೊನೆಗಳಿಗೆಯಲ್ಲಿ
latch	0.395	0.263	0.288	ತಾಳ
late	0.245	0.358	0.315	ತಡವಾಗಿ
lateness	0.214	0.388	0.343	ತಡವಾಗಿ
latent	0.469	0.500	0.653	ಸುಪ್ತ
lateral	0.469	0.370	0.322	ಪಾರ್ಶ್ವದ
laterally	0.562	0.255	0.450	ಪಾರ್ಶ್ವವಾಗಿ
latex	0.479	0.413	0.325	ಲ್ಯಾಟೆಕ್ಸ್
lathe	0.510	0.450	0.425	ಲೇತ್
lather	0.635	0.327	0.313	ನೊರೆ
latitude	0.562	0.306	0.490	ಅಕ್ಷಾಂಶ
latrine	0.380	0.353	0.176	ಶೌಚಾಲಯ
latrines	0.214	0.462	0.267	ಶೌಚಾಲಯಗಳು
latte	0.615	0.320	0.311	ಲ್ಯಾಟೆ
lattice	0.406	0.420	0.349	ಜಾಲರಿ
laud	0.493	0.427	0.383	ಹೊಗಳುತ್ತಾರೆ
laudable	0.740	0.472	0.682	ಶ್ಲಾಘನೀಯ
laudation	0.542	0.547	0.623	ಪ್ರಶಂಸೆ
laudatory	0.612	0.417	0.450	ಶ್ಲಾಘನೀಯ
laugh	0.980	0.639	0.587	ನಗು
laughable	0.592	0.627	0.298	ನಗಬಲ್ಲ
laughing	0.906	0.596	0.534	ನಗುತ್ತಿದ್ದ
laughingstock	0.427	0.779	0.312	ನಗೆಪಾಟಲು
laughs	0.812	0.846	0.425	ನಗುತ್ತಾನೆ
laughter	0.959	0.654	0.588	ನಗು
launch	0.684	0.814	0.598	ಉಡಾವಣೆ
launcher	0.677	0.745	0.808	ಲಾಂಚರ್
launches	0.490	0.663	0.602	ಪ್ರಾರಂಭಿಸುತ್ತದೆ
launder	0.479	0.450	0.349	ಲಾಂಡರ್
laundering	0.439	0.327	0.444	ಲಾಂಡರಿಂಗ್
laundry	0.644	0.292	0.377	ಲಾಂಡ್ರಿ
laureate	0.724	0.402	0.702	ಪ್ರಶಸ್ತಿ ವಿಜೇತ
laurel	0.646	0.146	0.302	ಲಾರೆಲ್
laurels	0.684	0.279	0.545	ಪ್ರಶಸ್ತಿಗಳು
lava	0.280	0.539	0.615	ಲಾವಾ
lavage	0.615	0.467	0.361	ತೊಳೆಯುವುದು
lavatory	0.510	0.400	0.259	ಶೌಚಾಲಯ
lavender	0.812	0.198	0.388	ಲ್ಯಾವೆಂಡರ್
lavish	0.792	0.648	0.730	ಅದ್ದೂರಿ
law	0.740	0.590	0.815	ಕಾನೂನು
lawful	0.660	0.394	0.780	ಕಾನೂನುಬದ್ಧ
lawless	0.219	0.690	0.420	ಕಾನೂನುಬಾಹಿರ
lawlessness	0.156	0.804	0.509	ಕಾನೂನುಬಾಹಿರತೆ
lawman	0.510	0.523	0.786	ಕಾನೂನುಗಾರ
lawn	0.686	0.153	0.192	ಹುಲ್ಲುಹಾಸು
lawnmower	0.480	0.531	0.355	ಹುಲ್ಲು ಕತ್ತರಿಸುವ ಯಂತ್ರ
lawsuit	0.219	0.794	0.611	ಮೊಕದ್ದಮೆ
lawyer	0.521	0.569	0.784	ವಕೀಲ
lax	0.430	0.401	0.300	ಸಡಿಲವಾದ
laxative	0.271	0.550	0.528	ವಿರೇಚಕ
lay	0.521	0.336	0.491	ಇಡುತ್ತವೆ
layaway	0.429	0.510	0.451	ಲೇಅವೇ
layer	0.500	0.208	0.366	ಪದರ
layered	0.571	0.306	0.436	ಲೇಯರ್ಡ್
layman	0.531	0.339	0.424	ಸಾಮಾನ್ಯ
layout	0.615	0.442	0.557	ಲೆಔಟ್
layover	0.520	0.355	0.500	ಲೇಓವರ್
laziness	0.271	0.240	0.132	ಸೋಮಾರಿತನ
lazy	0.392	0.264	0.096	ಸೋಮಾರಿಯಾದ
lazyday	0.337	0.319	0.145	ಸೋಮಾರಿ ದಿನ
lea	0.583	0.294	0.358	lea
lead	0.323	0.657	0.455	ಮುನ್ನಡೆ
leaded	0.439	0.625	0.595	ನೇತೃತ್ವ ವಹಿಸಿದ್ದರು
leader	0.833	0.582	0.926	ನಾಯಕ
leadership	0.870	0.690	0.983	ನಾಯಕತ್ವ
leading	0.823	0.698	0.954	ಮುನ್ನಡೆಸುತ್ತಿದೆ
leads	0.530	0.471	0.615	ಕಾರಣವಾಗುತ್ತದೆ
leaf	0.583	0.156	0.294	ಎಲೆ
leaflet	0.490	0.206	0.375	ಕರಪತ್ರ
leafy	0.653	0.530	0.700	ಎಲೆಗಳಿರುವ
league	0.656	0.340	0.462	ಲೀಗ್
leak	0.378	0.833	0.520	ಸೋರಿಕೆ
leakage	0.188	0.731	0.528	ಸೋರಿಕೆ
leaky	0.170	0.686	0.288	ಸೋರುವ
lean	0.734	0.353	0.438	ನೇರ
leaned	0.570	0.373	0.490	ವಾಲಿತು
leaning	0.480	0.409	0.352	ಒಲವು
leap	0.750	0.663	0.667	ನೆಗೆಯಿರಿ
learn	0.833	0.643	0.829	ಕಲಿ
learned	0.704	0.462	0.543	ಕಲಿತ
learner	0.698	0.475	0.398	ಕಲಿಯುವವರು
learning	0.833	0.588	0.574	ಕಲಿಕೆ
lease	0.520	0.463	0.545	ಗುತ್ತಿಗೆ
leash	0.320	0.347	0.427	ಬಾರು
leather	0.510	0.324	0.341	ಚರ್ಮ
leathery	0.418	0.471	0.411	ಚರ್ಮದ
leave	0.375	0.315	0.295	ಬಿಡು
leavemealone	0.240	0.472	0.402	ವೀಳ್ಯದೆಲೆ
leaving	0.163	0.542	0.371	ಹೊರಡುವುದು
lecherous	0.135	0.704	0.376	ದುಷ್ಟ
lecture	0.594	0.462	0.737	ಉಪನ್ಯಾಸ
lecturer	0.677	0.549	0.736	ಉಪನ್ಯಾಸಕ
ledge	0.406	0.235	0.339	ಕಟ್ಟು
ledger	0.510	0.362	0.609	ಖಾತಾ ಪುಸ್ತಕ
lee	0.510	0.269	0.296	ಲೀ
leech	0.250	0.623	0.268	ಜಿಗಣೆ
leeches	0.115	0.698	0.295	ಜಿಗಣೆಗಳು
leer	0.612	0.348	0.509	ಲೀರ್
leery	0.337	0.640	0.410	ಜಿಗುಪ್ಸೆ
lees	0.360	0.567	0.406	ಲೀಸ್
leeway	0.562	0.577	0.569	ಬಿಡುವು
left	0.354	0.370	0.361	ಬಿಟ್ಟರು
leftout	0.229	0.365	0.245	ಹೊರಗುಳಿದರು
leftover	0.490	0.460	0.222	ಎಂಜಲು
leftovers	0.219	0.350	0.116	ಎಂಜಲು
lefty	0.490	0.406	0.379	ಎಡಪಂಥೀಯ
leg	0.510	0.373	0.313	ಕಾಲು
legacy	0.792	0.529	0.827	ಪರಂಪರೆ
legal	0.653	0.387	0.887	ಕಾನೂನುಬದ್ಧ
legality	0.765	0.343	0.713	ಕಾನೂನುಬದ್ಧತೆ
legalize	0.510	0.460	0.818	ಕಾನೂನುಬದ್ಧಗೊಳಿಸು
legalized	0.760	0.440	0.855	ಕಾನೂನುಬದ್ಧಗೊಳಿಸಲಾಗಿದೆ
legally	0.771	0.482	0.842	ಕಾನೂನುಬದ್ಧವಾಗಿ
legend	0.837	0.519	0.750	ದಂತಕಥೆ
legendary	0.857	0.537	0.863	ಪೌರಾಣಿಕ
legibility	0.771	0.481	0.580	ಸ್ಪಷ್ಟತೆ
legible	0.673	0.279	0.509	ಓದಬಲ್ಲ
legion	0.469	0.570	0.852	ಸೈನ್ಯದಳ
legislate	0.571	0.582	0.736	ಶಾಸನ ಮಾಡು
legislation	0.531	0.418	0.808	ಶಾಸನ
legislative	0.633	0.365	0.800	ಶಾಸಕಾಂಗ
legislator	0.490	0.580	0.877	ಶಾಸಕ
legislature	0.540	0.435	0.698	ಶಾಸಕಾಂಗ
legit	0.747	0.427	0.849	ಅಸಲಿ
legitimacy	0.823	0.420	0.855	ನ್ಯಾಯಸಮ್ಮತತೆ
legitimate	0.792	0.363	0.841	ನ್ಯಾಯಸಮ್ಮತ
lego	0.600	0.294	0.189	ಲೆಗೊ
legs	0.479	0.407	0.228	ಕಾಲುಗಳು
legume	0.520	0.302	0.465	ದ್ವಿದಳ ಧಾನ್ಯ
legwork	0.622	0.560	0.509	ಕಾಲು ಕೆಲಸ
leisure	0.631	0.429	0.421	ವಿರಾಮ
leisurely	0.806	0.250	0.367	ಆರಾಮವಾಗಿ
lemma	0.530	0.284	0.391	ಲೆಮ್ಮಾ
lemon	0.596	0.317	0.316	ನಿಂಬೆ
lemonade	0.661	0.287	0.412	ನಿಂಬೆ ಪಾನಕ
lend	0.520	0.461	0.508	ಸಾಲ ಕೊಡು
lender	0.340	0.520	0.703	ಸಾಲದಾತ
lending	0.510	0.585	0.462	ಸಾಲ ನೀಡುತ್ತಿದೆ
length	0.479	0.308	0.533	ಉದ್ದ
lengthen	0.619	0.481	0.566	ಉದ್ದವಾಗು
lengthened	0.448	0.530	0.474	ಉದ್ದವಾಯಿತು
lengthening	0.673	0.530	0.528	ಉದ್ದವಾಗುವುದು
lengthwise	0.571	0.470	0.528	ಉದ್ದವಾಗಿ
lengthy	0.570	0.342	0.528	ಉದ್ದವಾದ
leniency	0.517	0.436	0.545	ಮೃದುತ್ವ
lenient	0.520	0.451	0.340	ವಿನಯಶೀಲ
lens	0.420	0.245	0.472	ಮಸೂರ
leopard	0.542	0.755	0.611	ಚಿರತೆ
leotard	0.510	0.429	0.391	ಚಿರತೆ
leper	0.075	0.589	0.206	ಕುಷ್ಠರೋಗಿ
leprechaun	0.417	0.480	0.417	ಕುಷ್ಠರೋಗ
leprosy	0.130	0.670	0.349	ಕುಷ್ಠರೋಗ
lesion	0.240	0.623	0.361	ಗಾಯ
less	0.265	0.240	0.115	ಕಡಿಮೆ
lessee	0.417	0.474	0.595	ಗುತ್ತಿಗೆದಾರ
lessen	0.235	0.284	0.255	ಕಡಿಮೆ
lessening	0.375	0.300	0.277	ಕಡಿಮೆಯಾಗುತ್ತಿದೆ
lesser	0.396	0.167	0.211	ಕಡಿಮೆ
lesson	0.704	0.577	0.593	ಪಾಠ
lessor	0.552	0.490	0.623	ಗುತ್ತಿಗೆದಾರ
let	0.427	0.373	0.307	ಅವಕಾಶ
lethal	0.156	0.800	0.745	ಮಾರಕ
lethargic	0.214	0.245	0.375	ಜಡ
lethargy	0.194	0.302	0.316	ಆಲಸ್ಯ
letter	0.635	0.279	0.342	ಪತ್ರ
lettered	0.542	0.361	0.482	ಪತ್ರ ಬರೆದಿದ್ದಾರೆ
letterhead	0.450	0.316	0.462	ಲೆಟರ್ ಹೆಡ್
lettering	0.541	0.180	0.431	ಅಕ್ಷರಗಳು
letters	0.663	0.327	0.364	ಅಕ್ಷರಗಳು
lettuce	0.594	0.163	0.291	ಲೆಟಿಸ್
leukemia	0.094	0.572	0.351	ರಕ್ತಕ್ಯಾನ್ಸರ್
levee	0.520	0.324	0.490	ದಂಡೆ
level	0.622	0.277	0.491	ಮಟ್ಟದ
lever	0.400	0.343	0.402	ಲಿವರ್
leverage	0.459	0.500	0.629	ಹತೋಟಿ
levitate	0.561	0.598	0.551	ಲೆವಿಟೇಟ್
levy	0.438	0.420	0.491	ಲೆವಿ
lewd	0.188	0.673	0.412	ಅಶ್ಲೀಲ
lexicon	0.561	0.463	0.615	ಶಬ್ದಕೋಶ
ley	0.604	0.389	0.764	ಲೇ
liabilities	0.429	0.608	0.694	ಬಾಧ್ಯತೆಗಳು
liability	0.646	0.500	0.802	ಹೊಣೆಗಾರಿಕೆ
liable	0.656	0.519	0.821	ಹೊಣೆಗಾರ
liaison	0.698	0.337	0.472	ಸಂಪರ್ಕ
liar	0.042	0.606	0.339	ಸುಳ್ಳುಗಾರ
libel	0.128	0.694	0.403	ಮಾನಹಾನಿ
libelous	0.125	0.735	0.436	ಮಾನಹಾನಿಕರ
liberal	0.565	0.565	0.755	ಉದಾರವಾದಿ
liberalism	0.562	0.712	0.750	ಉದಾರವಾದ
liberate	0.760	0.632	0.708	ಬಿಡುಗಡೆ ಮಾಡು
liberated	0.780	0.630	0.683	ಬಿಡುಗಡೆಗೊಳಿಸಿದರು
liberating	0.915	0.620	0.745	ವಿಮೋಚನೆ
liberation	0.745	0.614	0.857	ವಿಮೋಚನೆ
liberty	0.938	0.579	0.836	ಸ್ವಾತಂತ್ರ್ಯ
libido	0.770	0.602	0.571	ಕಾಮಾಸಕ್ತಿ
librarian	0.625	0.135	0.509	ಗ್ರಂಥಪಾಲಕ
library	0.776	0.122	0.549	ಗ್ರಂಥಾಲಯ
libretto	0.612	0.328	0.406	ಲಿಬ್ರೆಟ್ಟೊ
lice	0.133	0.500	0.194	ಪರೋಪಜೀವಿಗಳು
license	0.500	0.394	0.702	ಪರವಾನಗಿ
lichen	0.418	0.388	0.463	ಕಲ್ಲುಹೂವು
lick	0.470	0.482	0.330	ನೆಕ್ಕಲು
licorice	0.677	0.310	0.400	ಲೈಕೋರೈಸ್
lid	0.490	0.189	0.255	ಮುಚ್ಚಳ
lie	0.130	0.725	0.272	ಸುಳ್ಳು
liege	0.479	0.426	0.452	ಲೀಜ್
lien	0.396	0.580	0.441	ಹೊಣೆಗಾರಿಕೆ
lieu	0.427	0.410	0.312	ಬದಲಾಗಿ
lieutenant	0.594	0.612	0.920	ಲೆಫ್ಟಿನೆಂಟ್
life	0.918	0.615	0.824	ಜೀವನ
lifeblood	0.673	0.690	0.708	ಜೀವರಕ್ತ
lifeboat	0.724	0.425	0.533	ಲೈಫ್ ಬೋಟ್
lifeguard	0.870	0.606	0.786	ಜೀವರಕ್ಷಕ
lifeisgood	0.812	0.575	0.611	ಜೀವನ ಒಳ್ಳೆಯದಿದೆ
lifeless	0.042	0.333	0.163	ನಿರ್ಜೀವ
lifelike	0.776	0.567	0.765	ಜೀವಸಹಿತ
lifeline	0.735	0.552	0.496	ಜೀವಸೆಲೆ
lifelong	0.823	0.330	0.640	ಜೀವಮಾನವಿಡೀ
lifer	0.427	0.519	0.398	ಜೀವಾವಧಿ ಕೈದಿ
lifesaver	0.908	0.745	0.703	ಜೀವರಕ್ಷಕ
lifestyle	0.750	0.472	0.645	ಜೀವನಶೈಲಿ
lifesucks	0.167	0.637	0.377	ಜಿಗುಪ್ಸೆ ಜೀವನ
lifetime	0.816	0.559	0.736	ಜೀವಮಾನ
lift	0.704	0.518	0.656	ಎತ್ತುವ
lifted	0.714	0.441	0.657	ಎತ್ತಿದರು
liftoff	0.531	0.667	0.588	ಉಡಾವಣೆ
ligament	0.490	0.410	0.510	ಅಸ್ಥಿರಜ್ಜು
ligation	0.344	0.423	0.396	ಬಂಧನ
ligature	0.478	0.430	0.447	ಅಸ್ಥಿರಜ್ಜು
light	0.771	0.320	0.519	ಬೆಳಕು
light year	0.719	0.425	0.593	ಬೆಳಕಿನ ವರ್ಷ
lightbulb	0.573	0.255	0.302	ಬೆಳಕಿನ ಬಲ್ಬ್
lighten	0.688	0.438	0.362	ಹಗುರಗೊಳಿಸು
lightheaded	0.347	0.620	0.255	ಹಗುರವಾದ
lighthouse	0.622	0.240	0.510	ದೀಪಸ್ತಂಭ
lighting	0.765	0.440	0.750	ಬೆಳಕಿನ
lightness	0.794	0.360	0.526	ಲಘುತೆ
lightning	0.429	0.683	0.595	ಮಿಂಚು
lights	0.750	0.480	0.575	ದೀಪಗಳು
lightweight	0.670	0.300	0.358	ಹಗುರವಾದ
likable	0.865	0.480	0.663	ಇಷ್ಟವಾದ
like	0.719	0.353	0.446	ಹಾಗೆ
likelihood	0.760	0.469	0.542	ಸಾಧ್ಯತೆಯನ್ನು
likely	0.633	0.356	0.454	ಸಾಧ್ಯತೆ
likeness	0.688	0.410	0.561	ಹೋಲಿಕೆ
likewise	0.651	0.217	0.312	ಅಂತೆಯೇ
liking	0.963	0.604	0.589	ಇಷ್ಟಪಡುವ
lilac	0.688	0.180	0.357	ನೀಲಕ
lily	0.640	0.245	0.263	ಲಿಲಿ
limb	0.510	0.397	0.427	ಅಂಗ
limber	0.688	0.729	0.673	ಅಂಗಾಂಗ
limbo	0.385	0.284	0.309	ಅಂಗಾಂಗ
lime	0.594	0.240	0.415	ಸುಣ್ಣ
limelight	0.667	0.639	0.694	ಸುಣ್ಣದ ಬೆಳಕು
limestone	0.602	0.323	0.381	ಸುಣ್ಣದ ಕಲ್ಲು
limey	0.469	0.347	0.415	ಸುಣ್ಣ
limit	0.427	0.453	0.500	ಮಿತಿ
limitation	0.190	0.431	0.225	ಮಿತಿಯ
limited	0.229	0.273	0.380	ಸೀಮಿತ
limitless	0.688	0.574	0.655	ಮಿತಿಯಿಲ್ಲದ
limo	0.760	0.367	0.667	ನಿಂಬೆ
limousine	0.638	0.531	0.640	ಲಿಮೋಸಿನ್
limp	0.393	0.440	0.172	ಲಿಂಪ್
lin	0.416	0.362	0.343	lin
line	0.541	0.180	0.353	ಸಾಲು
lineage	0.633	0.465	0.721	ವಂಶಾವಳಿ
lineal	0.521	0.170	0.474	ರೇಖೀಯ
linear	0.646	0.250	0.472	ರೇಖೀಯ
linebacker	0.490	0.660	0.543	ಲೈನ್‌ಬ್ಯಾಕರ್
lined	0.438	0.367	0.424	ಸಾಲುಗಟ್ಟಿದ
linen	0.656	0.323	0.286	ಲಿನಿನ್
liner	0.469	0.396	0.400	ಲೈನರ್
lines	0.542	0.317	0.330	ಸಾಲುಗಳು
lineup	0.635	0.427	0.638	ಸಾಲಾಗಿ
linger	0.480	0.311	0.412	ಕಾಲಹರಣ ಮಾಡುತ್ತಾರೆ
lingerie	0.543	0.463	0.308	ಒಳ ಉಡುಪು
lingering	0.630	0.643	0.667	ಕಾಲಹರಣ ಮಾಡುತ್ತಿದೆ
lingo	0.448	0.364	0.447	ಲಿಂಗೋ
lingual	0.500	0.457	0.315	ಭಾಷಿಕ
linguini	0.625	0.338	0.355	ಭಾಷೆ
linguist	0.583	0.330	0.634	ಭಾಷಾಶಾಸ್ತ್ರಜ್ಞ
linguistic	0.646	0.351	0.618	ಭಾಷಾಶಾಸ್ತ್ರೀಯ
linguistics	0.552	0.390	0.618	ಭಾಷಾಶಾಸ್ತ್ರ
lining	0.571	0.363	0.472	ಲೈನಿಂಗ್
link	0.427	0.264	0.491	ಲಿಂಕ್
linoleum	0.510	0.378	0.402	ಲಿನೋಲಿಯಂ
lint	0.388	0.173	0.214	ಲಿಂಟ್
lion	0.532	0.717	0.682	ಸಿಂಹ
lip	0.541	0.348	0.443	ತುಟಿ
liposuction	0.292	0.684	0.464	ಲಿಪೊಸಕ್ಷನ್
lipstick	0.653	0.429	0.306	ಲಿಪ್ಸ್ಟಿಕ್
liquefaction	0.449	0.622	0.535	ದ್ರವೀಕರಣ
liquefied	0.562	0.463	0.342	ದ್ರವೀಕೃತ
liqueur	0.670	0.612	0.389	ಮದ್ಯ
liquid	0.562	0.235	0.307	ದ್ರವ
liquidate	0.327	0.654	0.664	ದಿವಾಳಿಸು
liquidation	0.417	0.625	0.649	ದಿವಾಳಿ
liquidator	0.354	0.663	0.750	ಲಿಕ್ವಿಡೇಟರ್
liquidity	0.688	0.529	0.534	ದ್ರವ್ಯತೆ
liquor	0.603	0.702	0.433	ಮದ್ಯ
lira	0.530	0.255	0.370	ಲಿರಾ
lisp	0.365	0.412	0.288	ತುಟಿ
list	0.528	0.260	0.402	ಪಟ್ಟಿ
listen	0.771	0.360	0.445	ಕೇಳು
listener	0.667	0.375	0.403	ಕೇಳುಗ
listenting	0.640	0.377	0.491	ಕೇಳುತ್ತಿದೆ
listing	0.438	0.273	0.432	ಪಟ್ಟಿ ಮಾಡುವುದು
listless	0.219	0.350	0.231	ನಿರಾಸಕ್ತಿ
listneing	0.531	0.370	0.433	ಕೇಳುತ್ತಿದೆ
litany	0.510	0.365	0.482	ಲಿಟನಿ
liter	0.573	0.208	0.382	ಲೀಟರ್
literacy	0.730	0.306	0.638	ಸಾಕ್ಷರತೆ
literal	0.570	0.353	0.574	ಅಕ್ಷರಶಃ
literally	0.571	0.353	0.673	ಅಕ್ಷರಶಃ
literary	0.719	0.324	0.667	ಸಾಹಿತ್ಯಿಕ
literature	0.708	0.250	0.598	ಸಾಹಿತ್ಯ
lithe	0.656	0.596	0.602	ಹಗುರವಾದ
lithium	0.417	0.330	0.430	ಲಿಥಿಯಂ
lithograph	0.551	0.327	0.481	ಲಿಥೋಗ್ರಾಫ್
lithography	0.561	0.346	0.473	ಶಿಲಾಶಾಸ್ತ್ರ
lithology	0.519	0.378	0.525	ಶಿಲಾಶಾಸ್ತ್ರ
lithosphere	0.473	0.333	0.689	ಶಿಲಾಗೋಳ
litigant	0.219	0.577	0.696	ದಾವೆಗಾರ
litigate	0.260	0.819	0.712	ದಾವೆ ಹೂಡಿ
litigation	0.388	0.760	0.602	ದಾವೆ
litigator	0.429	0.630	0.732	ದಾವೆಗಾರ
litigious	0.360	0.736	0.632	ವ್ಯಾಜ್ಯ
litter	0.255	0.551	0.110	ಕಸ
little	0.385	0.160	0.213	ಸ್ವಲ್ಪ
littlethings	0.740	0.311	0.242	ಚಿಕ್ಕ ವಸ್ತುಗಳು
littoral	0.551	0.387	0.452	ಕಡಲತೀರದ
liturgy	0.490	0.327	0.568	ಧರ್ಮಾಚರಣೆ
live	0.880	0.673	0.676	ಬದುಕುತ್ತಾರೆ
livelife	0.792	0.624	0.664	ಜೀವನವನ್ನು ಬಾಳು
livelihood	0.698	0.481	0.721	ಜೀವನೋಪಾಯ
lively	0.847	0.810	0.642	ಉತ್ಸಾಹಭರಿತ
liven	0.708	0.713	0.673	ಜೀವಂತವಾಗಿ
liver	0.439	0.290	0.385	ಯಕೃತ್ತು
livery	0.510	0.417	0.429	ಲೈವರಿ
livestock	0.729	0.420	0.519	ಜಾನುವಾರು
livid	0.469	0.788	0.490	ಉತ್ಸಾಹಭರಿತ
living	0.865	0.608	0.727	ದೇಶ
lizard	0.378	0.375	0.324	ಹಲ್ಲಿ
llama	0.490	0.590	0.519	ಲಾಮಾ
lml	0.448	0.519	0.385	ಎಲ್ಎಂಎಲ್
load	0.385	0.417	0.528	ಲೋಡ್
loader	0.562	0.377	0.686	ಲೋಡರ್
loaf	0.755	0.250	0.277	ಲೋಫ್
loafer	0.235	0.396	0.254	ಲೋಫರ್
loam	0.469	0.373	0.673	ಲೋಮ್
loan	0.552	0.480	0.352	ಸಾಲ
loath	0.135	0.714	0.445	ಅಸಹ್ಯ
loathe	0.094	0.730	0.429	ಅಸಹ್ಯಪಡುತ್ತಾರೆ
loathful	0.068	0.740	0.358	ಅಸಹ್ಯಕರ
loathing	0.083	0.796	0.368	ಅಸಹ್ಯಕರ
loathsome	0.120	0.694	0.343	ಅಸಹ್ಯಕರ
lobby	0.625	0.427	0.472	ಲಾಬಿ
lobbyist	0.385	0.527	0.565	ಲಾಬಿಗಾರ
lobe	0.459	0.364	0.352	ಹಾಲೆ
lobotomy	0.296	0.598	0.402	ಲೋಬೋಟಮಿ
lobster	0.571	0.356	0.291	ನಳ್ಳಿ
local	0.656	0.269	0.452	ಸ್ಥಳೀಯ
locale	0.449	0.387	0.352	ಸ್ಥಳ
locality	0.582	0.336	0.464	ಸ್ಥಳೀಯತೆ
localization	0.552	0.330	0.545	ಸ್ಥಳೀಕರಣ
localize	0.520	0.481	0.679	ಸ್ಥಳೀಕರಿಸು
localized	0.490	0.460	0.621	ಸ್ಥಳೀಕರಿಸಲಾಗಿದೆ
locate	0.583	0.520	0.786	ಪತ್ತೆ ಮಾಡಿ
location	0.615	0.375	0.546	ಸ್ಥಳ
locator	0.480	0.426	0.614	ಪತ್ತೆಕಾರಕ
loch	0.449	0.235	0.425	ಲೋಚ್
lock	0.271	0.585	0.600	ಬೀಗ
locker	0.439	0.300	0.393	ಲಾಕರ್
locket	0.615	0.327	0.616	ಲಾಕೆಟ್
locksmith	0.510	0.417	0.491	ಬೀಗ ಹಾಕುವವನು
lockup	0.240	0.602	0.617	ಲಾಕಪ್
loco	0.306	0.774	0.226	ಲೋಕೋ
locomotion	0.470	0.600	0.595	ಚಲನವಲನ
locomotive	0.542	0.650	0.721	ಲೋಕೋಮೋಟಿವ್
locust	0.479	0.412	0.417	ಮಿಡತೆ
lode	0.365	0.423	0.318	ಲೋಡ್
lodge	0.656	0.356	0.474	ವಸತಿಗೃಹ
lodger	0.480	0.448	0.304	ವಸತಿಗೃಹ
lodging	0.713	0.286	0.527	ವಸತಿ
loft	0.510	0.378	0.343	ಮೇಲಂತಸ್ತು
lofty	0.755	0.306	0.569	ಎತ್ತರದ
log	0.591	0.371	0.395	ಲಾಗ್
logarithm	0.520	0.439	0.551	ಲಾಗರಿಥಮ್
logarithmic	0.469	0.458	0.606	ಲಾಗರಿಥಮಿಕ್
logic	0.646	0.245	0.819	ತರ್ಕ
logical	0.805	0.400	0.648	ತಾರ್ಕಿಕ
logistics	0.633	0.500	0.730	ಲಾಜಿಸ್ಟಿಕ್ಸ್
logo	0.469	0.296	0.565	ಲೋಗೋ
logotype	0.480	0.337	0.509	ಲೋಗೋಟೈಪ್
loin	0.420	0.298	0.379	ಸೊಂಟ
lollipop	0.628	0.483	0.357	ಲಾಲಿಪಾಪ್
lone	0.198	0.204	0.367	ಒಂಟಿ
loneliness	0.146	0.182	0.222	ಒಂಟಿತನ
lonely	0.250	0.226	0.238	ಏಕಾಂಗಿ
loner	0.347	0.152	0.221	ಒಂಟಿ
lonesome	0.281	0.213	0.336	ಏಕಾಂಗಿ
long	0.541	0.353	0.543	ಉದ್ದವಾಗಿದೆ
longboat	0.551	0.454	0.490	ಉದ್ದದ ದೋಣಿ
longevity	0.750	0.353	0.745	ದೀರ್ಘಾಯುಷ್ಯ
longing	0.604	0.434	0.560	ಹಾತೊರೆಯುತ್ತಿದೆ
longitude	0.479	0.310	0.516	ರೇಖಾಂಶ
longitudinal	0.542	0.398	0.582	ಉದ್ದುದ್ದವಾದ
longitudinally	0.541	0.380	0.569	ಉದ್ದುದ್ದವಾಗಿ
longtime	0.362	0.442	0.546	ತುಂಬಾ ಸಮಯ
loo	0.385	0.357	0.283	ಲೂ
look	0.719	0.429	0.615	ನೋಡು
looker	0.583	0.354	0.451	ನೋಡುವವನು
lookout	0.698	0.538	0.639	ನೋಡು
loom	0.531	0.245	0.325	ಮಗ್ಗ
looming	0.367	0.750	0.528	ಮೂಡುತ್ತಿದೆ
loon	0.429	0.392	0.325	ಲೂನ್
loony	0.439	0.474	0.295	ಹುಚ್ಚ
loop	0.516	0.343	0.317	ಲೂಪ್
loophole	0.406	0.755	0.491	ಲೋಪದೋಷ
loopy	0.438	0.520	0.195	ಲೂಪಿ
loose	0.573	0.312	0.365	ಸಡಿಲ
loosen	0.487	0.337	0.218	ಸಡಿಲಗೊಳಿಸು
loosening	0.378	0.343	0.295	ಬಿಡಿಬಿಡಿಯಾಗುತ್ತಿದೆ
loot	0.604	0.711	0.537	ಲೂಟಿ
lop	0.429	0.363	0.426	ಲೋಪ್
lopsided	0.125	0.500	0.272	ತಲೆಕೆಳಗಾದ
lord	0.618	0.327	0.684	ಪ್ರಭು
lords	0.571	0.356	0.781	ಪ್ರಭುಗಳು
lordship	0.573	0.557	0.736	ಪ್ರಭುತ್ವ
lore	0.719	0.373	0.768	ವಿದ್ಯೆ
lorry	0.521	0.481	0.402	ಲಾರಿ
lose	0.115	0.538	0.176	ಕಳೆದುಕೊಳ್ಳುತ್ತಾರೆ
loser	0.083	0.510	0.155	ಸೋತವ
