English Word	Valence	Arousal	Dominance	Sindhi Word
ingest	0.510	0.559	0.473	داخل ڪرڻ
ingestion	0.429	0.612	0.512	داخل ٿيڻ
ingot	0.688	0.444	0.615	انگوٽ
ingrained	0.531	0.490	0.712	جڙيل
ingrate	0.235	0.606	0.327	بيڪار ڪرڻ
ingredient	0.792	0.373	0.451	جزو
ingress	0.601	0.366	0.736	داخل ٿيڻ
inhabit	0.656	0.378	0.556	آباد ڪرڻ
inhabitant	0.604	0.356	0.519	رهواسي
inhabited	0.667	0.361	0.510	آباد
inhabiting	0.458	0.440	0.598	آبادي
inhalation	0.510	0.613	0.464	ساهه کڻڻ
inhale	0.427	0.340	0.492	ساهه کڻڻ
inhaler	0.408	0.500	0.349	انھيلر
inherent	0.562	0.439	0.480	موروثي
inherit	0.745	0.546	0.694	وارث ٿيڻ
inheritance	0.900	0.565	0.798	وراثت
inhibit	0.167	0.479	0.447	روڪڻ
inhibition	0.265	0.392	0.534	منع ڪرڻ
inhibitor	0.281	0.450	0.471	روڪڻ وارو
inhospitable	0.265	0.531	0.395	مهمان نواز
inhuman	0.107	0.660	0.492	غير انساني
inhumane	0.104	0.587	0.402	غير انساني
inhumanity	0.143	0.540	0.405	غير انسانيت
inimaginable	0.542	0.636	0.534	ناقابل تصور
inimical	0.260	0.823	0.556	دشمني وارو
inimitable	0.571	0.413	0.790	لاتعداد
iniquity	0.219	0.567	0.425	بي انصافي
initial	0.583	0.314	0.539	شروعاتي
initiate	0.719	0.480	0.553	شروع ڪرڻ
initiated	0.760	0.490	0.650	شروع ڪيو
initiation	0.698	0.529	0.527	شروعات
initiative	0.833	0.615	0.768	شروعات
inject	0.406	0.735	0.596	انجڻ
injection	0.281	0.741	0.518	انجيڪشن
injunction	0.281	0.422	0.519	حڪم
injure	0.177	0.710	0.364	زخمي
injured	0.083	0.680	0.302	زخمي
injuring	0.073	0.790	0.245	زخمي ڪرڻ
injurious	0.177	0.759	0.366	نقصانڪار
injury	0.049	0.769	0.287	زخم
injustice	0.082	0.755	0.444	ناانصافي
ink	0.471	0.408	0.235	مس
inkling	0.448	0.551	0.570	ظاهر ڪرڻ
inland	0.510	0.417	0.423	اندرين
inlay	0.406	0.531	0.565	جڙڻ
inlet	0.646	0.378	0.466	داخل ٿيڻ
inmate	0.235	0.663	0.398	قيدي
inn	0.660	0.284	0.475	سرائي
innards	0.302	0.480	0.400	اندريون
innate	0.490	0.400	0.521	پيدائشي
inner	0.551	0.216	0.443	اندروني
innermost	0.583	0.500	0.510	اندران
innerpeace	0.714	0.318	0.551	اندروني سڪون
inning	0.602	0.315	0.520	اننگز
innings	0.573	0.487	0.443	اننگز
innkeeper	0.578	0.224	0.472	سرائيڪي
innocence	0.802	0.260	0.307	معصوميت
innocent	0.729	0.206	0.340	معصوم
innocently	0.776	0.250	0.302	بي گناهه
innocuous	0.510	0.321	0.172	بي ضرر
innovate	0.898	0.872	0.750	نوان ڪرڻ
innovation	0.949	0.680	0.890	جدت
innovative	0.880	0.640	0.830	جدت وارو
innuendo	0.467	0.670	0.463	اعتراض
innumerable	0.667	0.445	0.704	بيشمار
inoculation	0.333	0.570	0.598	انووليشن
inoperable	0.184	0.422	0.304	ناقابل عمل
inoperative	0.138	0.425	0.273	غير فعال
inordinate	0.163	0.630	0.330	بيحد
inorganic	0.385	0.345	0.282	غير نامياتي
input	0.643	0.337	0.527	ان پٽ
inquest	0.458	0.569	0.721	پڇا ڳاڇا
inquire	0.583	0.519	0.363	پڇا ڳاڇا ڪرڻ
inquirer	0.573	0.598	0.776	پڇا ڳاڇا ڪندڙ
inquiring	0.479	0.510	0.500	پڇا ڳاڇا ڪرڻ
inquiry	0.541	0.420	0.536	پڇا ڳاڇا
inquisitive	0.301	0.637	0.615	جستجو ڪندڙ
inquisitor	0.385	0.873	0.642	پڇا ڳاڇا ڪندڙ
insane	0.062	0.670	0.265	چريو
insanity	0.098	0.847	0.337	جنون
insatiable	0.375	0.656	0.558	لاجواب
inscription	0.592	0.422	0.542	لکت
inscrutable	0.459	0.541	0.613	اڻ ڄاڻائي
insect	0.276	0.633	0.242	حشر
insecticide	0.188	0.598	0.430	جراثيم ڪش
insecure	0.114	0.538	0.132	غير محفوظ
insecurity	0.094	0.647	0.350	عدم تحفظ
insemination	0.542	0.644	0.622	حمل
insensitive	0.219	0.471	0.302	بي حس
inseparable	0.700	0.520	0.571	الڳ نه ٿيندڙ
insert	0.481	0.552	0.519	داخل ڪرڻ
inserted	0.479	0.402	0.476	داخل ڪيو ويو
insertion	0.521	0.520	0.565	داخل ڪرڻ
inside	0.612	0.404	0.472	اندر
insider	0.625	0.562	0.750	اندروني
insidious	0.146	0.622	0.480	ڪوڙو
insight	0.613	0.363	0.649	بصيرت
insightful	0.664	0.691	0.713	بصيرت وارو
insignia	0.665	0.282	0.685	نشان
insignificance	0.250	0.216	0.222	اهميت
insignificant	0.083	0.306	0.114	غير اهم
insinuate	0.292	0.635	0.413	اشارو ڪرڻ
insipid	0.214	0.250	0.241	بيوقوف
insist	0.635	0.651	0.688	اصرار ڪرڻ
insistence	0.418	0.704	0.645	اصرار
insistent	0.552	0.635	0.701	اصرار ڪندڙ
insists	0.490	0.587	0.610	اصرار ڪري ٿو
insolence	0.115	0.731	0.402	بي عزتي
insolent	0.112	0.663	0.343	گستاخ
insoluble	0.439	0.290	0.414	حل نه ٿيندڙ
insolvency	0.323	0.431	0.300	نااهلي
insolvent	0.230	0.481	0.318	نادار
insomnia	0.198	0.611	0.373	بي خوابي
insomniac	0.231	0.367	0.329	بي خوابي
inspect	0.479	0.603	0.793	معائنو ڪرڻ
inspection	0.459	0.630	0.718	معائنو
inspector	0.418	0.580	0.852	انسپيڪٽر
inspiration	0.938	0.600	0.779	وحي
inspirational	0.927	0.720	0.810	متاثر ڪندڙ
inspire	0.918	0.627	0.759	متاثر ڪرڻ
inspired	0.967	0.702	0.736	متاثر
instability	0.177	0.760	0.353	عدم استحڪام
install	0.630	0.583	0.736	انسٽال ڪريو
installation	0.656	0.469	0.759	تنصيب
installment	0.619	0.396	0.483	قسط
instance	0.547	0.450	0.558	مثال
instant	0.766	0.454	0.554	فوري
instantaneous	0.750	0.500	0.585	فوري
instantaneously	0.656	0.640	0.600	فوري طور تي
instigate	0.278	0.765	0.642	ڀڙڪائڻ
instigation	0.323	0.769	0.648	ڀڙڪائڻ
instill	0.562	0.490	0.618	لڳائڻ
instinct	0.771	0.602	0.642	جبلت
instinctive	0.752	0.575	0.694	فطري
institute	0.604	0.480	0.807	انسٽيٽيوٽ
institution	0.580	0.311	0.790	ادارو
instruct	0.729	0.490	0.833	هدايت
instructed	0.740	0.388	0.722	هدايت ڪئي
instruction	0.656	0.434	0.736	هدايت
instructional	0.698	0.500	0.773	هدايتي
instructions	0.582	0.302	0.556	هدايتون
instructive	0.583	0.420	0.643	سبق آموز
instructor	0.771	0.490	0.782	استاد
instrument	0.562	0.537	0.655	اوزار
instrumental	0.740	0.472	0.647	اوزار وارو
instrumentalist	0.656	0.540	0.740	ساز ساز
instrumentality	0.637	0.510	0.618	اوزار جي صلاحيت
insubordination	0.281	0.775	0.634	بي فرماني
insufferable	0.220	0.784	0.291	ناقابل برداشت
insufficiency	0.115	0.431	0.210	گهٽتائي
insufficient	0.188	0.380	0.093	ڪافي
insufficiently	0.147	0.509	0.198	ڪافي نه
insular	0.531	0.426	0.465	انسولر
insulate	0.365	0.358	0.286	بند ڪرڻ
insulated	0.208	0.265	0.304	موصل
insulation	0.245	0.327	0.264	موصليت
insulin	0.429	0.472	0.375	انسولين
insult	0.085	0.831	0.389	بي عزتي
insulting	0.094	0.840	0.412	بي عزتي ڪرڻ
insurance	0.714	0.308	0.825	انشورنس
insure	0.700	0.415	0.698	بيمه ڪرڻ
insurgent	0.235	0.735	0.660	باغي
insurmountable	0.620	0.627	0.737	ناقابل تسخير
insurrection	0.229	0.706	0.582	بغاوت
intact	0.716	0.212	0.602	برقرار
intake	0.604	0.527	0.442	وٺڻ
intangible	0.525	0.480	0.473	غير محسوس
integer	0.573	0.327	0.595	عدد
integral	0.590	0.337	0.615	لازمي
integrate	0.729	0.390	0.700	ضم ڪرڻ
integration	0.771	0.480	0.737	انضمام
integrity	0.865	0.413	0.848	سالميت
intellect	0.844	0.418	0.870	عقل
intellectual	0.906	0.455	0.845	دانشور
intelligence	0.833	0.587	0.885	انٽيليجنس
intelligent	0.917	0.541	0.868	سمجھدار
intelligibility	0.740	0.481	0.689	سمجھڻ
intelligible	0.635	0.480	0.691	سمجھڻ وارو
intend	0.562	0.520	0.519	ارادو ڪرڻ
intended	0.406	0.542	0.587	ارادو ڪيو
intending	0.510	0.567	0.597	ارادو ڪرڻ
intense	0.592	0.774	0.679	شديد
intensely	0.694	0.846	0.750	شدت سان
intensify	0.604	0.870	0.737	تيز ڪرڻ
intensity	0.622	0.930	0.952	شدت
intensive	0.570	0.842	0.776	شديد
intent	0.550	0.481	0.500	ارادو
intention	0.531	0.480	0.636	ارادو
intentional	0.650	0.615	0.750	ارادي
intentionally	0.450	0.676	0.696	ڄاڻي واڻي
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	رابطو ڪرڻ
interaction	0.646	0.735	0.750	رابطي
interactive	0.727	0.811	0.770	انٽرويو
intercede	0.582	0.577	0.630	شفاعت ڪرڻ
intercept	0.221	0.660	0.676	مداخلت
interception	0.327	0.673	0.643	مداخلت
intercession	0.503	0.486	0.598	شفاعت
interchange	0.615	0.527	0.565	مٽا سٽا
interchangeable	0.615	0.459	0.526	مٽائڻ لائق
interchanged	0.396	0.472	0.434	مٽا سٽا
intercom	0.623	0.429	0.453	انٽرڪام
intercourse	0.551	0.608	0.557	جماع
interdependence	0.608	0.618	0.639	هڪٻئي تي انحصار
interdependent	0.410	0.482	0.598	هڪٻئي تي منحصر
interdiction	0.337	0.500	0.585	منع ڪرڻ
interest	0.780	0.667	0.618	دلچسپي
interested	0.750	0.529	0.725	دلچسپي
interesting	0.927	0.726	0.731	دلچسپ
interface	0.643	0.357	0.600	انٽرفيس
interfere	0.323	0.714	0.471	مداخلت ڪرڻ
interference	0.396	0.736	0.357	مداخلت
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	وچڙندڙ
interim	0.604	0.400	0.524	عبوري
interior	0.618	0.157	0.462	اندريون
interject	0.333	0.648	0.658	مداخلت
interlocutory	0.490	0.500	0.527	گفتگو ڪندڙ
interlude	0.470	0.417	0.377	وقفو
intermediary	0.427	0.510	0.643	وچولي
intermediate	0.480	0.368	0.400	وچولي
interment	0.235	0.608	0.346	مداخلت
interminable	0.327	0.481	0.561	لاتعداد
intermission	0.490	0.360	0.402	وقفو
intermittent	0.337	0.565	0.436	وقفي وقفي سان
intern	0.459	0.460	0.392	داخلا
internal	0.439	0.349	0.423	اندروني
internally	0.615	0.400	0.616	اندروني طور
international	0.800	0.519	0.702	بين الاقوامي
internet	0.760	0.462	0.755	انٽرنيٽ
internship	0.590	0.510	0.482	انٽرنيشنل شپ
interoffice	0.439	0.375	0.556	انٽر آفيس
interpolate	0.460	0.490	0.569	مداخلت ڪرڻ
interpolation	0.419	0.506	0.528	مداخلت
interpret	0.646	0.625	0.673	تفسير ڪرڻ
interpretation	0.677	0.594	0.620	تفسير
interpreter	0.708	0.461	0.596	مترجم
interpretive	0.531	0.549	0.595	تفسير ڪندڙ
interrelated	0.615	0.469	0.592	باہم لاڳاپيل
interrogate	0.323	0.808	0.680	پڇا ڳاڇا ڪرڻ
interrogation	0.302	0.827	0.657	پڇا ڳاڇا
interrupt	0.210	0.635	0.509	مداخلت ڪرڻ
interrupted	0.281	0.559	0.333	مداخلت ڪئي
interrupting	0.146	0.593	0.509	مداخلت ڪرڻ
interruption	0.184	0.632	0.425	مداخلت
interrupts	0.204	0.545	0.389	مداخلت ڪري ٿو
intersect	0.521	0.510	0.480	ٽڪرائڻ
intersection	0.344	0.541	0.658	چونڪ
interstate	0.520	0.443	0.600	بين الاقوامي
interstellar	0.708	0.702	0.622	تارن وارو
interstitial	0.333	0.471	0.534	وچولي
interval	0.510	0.284	0.400	وقفو
intervene	0.520	0.677	0.768	مداخلت ڪرڻ
intervening	0.398	0.627	0.442	مداخلت ڪرڻ
intervention	0.388	0.696	0.689	مداخلت
interview	0.573	0.770	0.619	انٽرويو
interviewer	0.552	0.736	0.816	انٽرويو وٺندڙ
interworking	0.552	0.587	0.691	ڪم ڪندڙ
intestate	0.459	0.467	0.415	داخل ٿيڻ
intestinal	0.357	0.531	0.370	آنت
intestine	0.343	0.450	0.380	آنت
intestines	0.292	0.547	0.398	آنت
intimacy	0.857	0.802	0.558	قربت
intimate	0.724	0.598	0.393	مباشرت
intimately	0.806	0.573	0.590	ويجهي سان
intimation	0.406	0.673	0.500	اطلاع
intimidate	0.210	0.804	0.632	ڊيڄارڻ
intimidated	0.177	0.663	0.208	خوفزده
intimidating	0.229	0.790	0.708	ڊيڄاريندڙ
intimidation	0.177	0.791	0.644	ڌمڪائڻ
intolerable	0.146	0.660	0.439	ناقابل برداشت
intolerance	0.052	0.704	0.520	عدم برداشت
intolerant	0.135	0.676	0.509	عدم برداشت
intonation	0.615	0.442	0.598	intonation
intoxicated	0.079	0.824	0.246	نشي ۾
intoxicating	0.224	0.760	0.464	نشي آور
intoxication	0.323	0.710	0.400	نشي
intracranial	0.281	0.602	0.553	intracranial
intractable	0.154	0.694	0.302	ناقابل برداشت
intramural	0.490	0.464	0.447	اندروني
intravenous	0.357	0.538	0.458	اندروني
intrepid	0.753	0.696	0.637	بي خوف
intricate	0.559	0.704	0.500	پيچيده
intrigue	0.362	0.830	0.327	سازش
intriguing	0.422	0.713	0.462	دلچسپ
intrinsic	0.406	0.471	0.526	اندروني
intrinsically	0.459	0.382	0.538	اندروني طور تي
intro	0.510	0.331	0.657	تعارف
introduce	0.592	0.559	0.648	متعارف ڪرائڻ
introduction	0.612	0.413	0.640	تعارف
introductory	0.635	0.368	0.593	تعارفي
introspection	0.603	0.337	0.575	introspection
introspective	0.552	0.360	0.471	introspective
intrude	0.058	0.735	0.480	دخل ڏيڻ
intruder	0.146	0.740	0.324	مداخلت ڪندڙ
intrusion	0.293	0.641	0.670	مداخلت
intrusive	0.461	0.607	0.538	مداخلت ڪندڙ
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	وجدان
intuitive	0.771	0.573	0.690	وجداني
intuitively	0.670	0.561	0.648	وجداني طور تي
inundation	0.177	0.780	0.455	ٻوڏ
invade	0.408	0.892	0.714	حملو ڪرڻ
invader	0.200	0.827	0.618	حملو ڪندڙ
invalid	0.180	0.330	0.255	غلط
invalidate	0.315	0.480	0.397	باطل ڪرڻ
invalidation	0.181	0.490	0.278	باطل ڪرڻ
invalidity	0.186	0.394	0.158	بي اعتباري
invaluable	0.740	0.500	0.745	انمول
invariably	0.458	0.365	0.550	هميشه
invasion	0.271	0.843	0.808	حملو
invasive	0.194	0.730	0.598	حملو ڪندڙ
invent	0.719	0.689	0.833	ايجاد ڪرڻ
invention	0.714	0.577	0.811	ايجاد
inventive	0.780	0.627	0.721	ايجاد ڪندڙ
inventor	0.781	0.667	0.847	موجد
inventory	0.594	0.463	0.490	فهرست
inverse	0.459	0.337	0.319	معکوس
inversely	0.286	0.418	0.351	inversely
inversion	0.602	0.630	0.772	ڦيرو
invert	0.510	0.585	0.706	ڦيرائڻ
inverted	0.310	0.471	0.357	ڦيرايو
invest	0.650	0.663	0.682	سيڙپ ڪرڻ
investigate	0.640	0.500	0.781	تحقيق ڪرڻ
investigation	0.531	0.592	0.820	تحقيق
investigative	0.562	0.600	0.704	تحقيق ڪندڙ
investigator	0.615	0.509	0.779	تحقيق ڪندڙ
investment	0.720	0.592	0.745	سيڙپڪاري
investor	0.794	0.655	0.791	سيڙپڪار
invidious	0.112	0.650	0.364	اڻ وڻندڙ
invigorate	0.821	0.798	0.831	متحرڪ ڪرڻ
invincible	0.867	0.853	0.914	ناقابل تسخير
invisibility	0.438	0.461	0.382	پوشيدگي
invisible	0.417	0.345	0.412	پوشيده
invitation	0.802	0.549	0.647	دعوت
invite	0.745	0.655	0.611	دعوت ڏيڻ
inviting	0.938	0.571	0.538	دعوت ڏيڻ
invocation	0.430	0.620	0.673	دعوت
invoice	0.480	0.380	0.474	انوائس
invoke	0.583	0.740	0.579	سڏڻ
involuntary	0.354	0.490	0.231	غير ارادي
involution	0.296	0.420	0.407	داخل ٿيڻ
involve	0.694	0.490	0.728	شامل ڪرڻ
involvement	0.760	0.620	0.696	شموليت
invulnerable	0.552	0.683	0.745	ناقابل برداشت
inwards	0.490	0.385	0.438	اندر
iodine	0.390	0.265	0.333	آئيوڊين
ion	0.429	0.330	0.408	آئن
iota	0.344	0.385	0.314	iota
irate	0.188	0.852	0.474	ڪاوڙيل
ire	0.198	0.740	0.575	ڪاوڙ
iridescent	0.602	0.588	0.539	چمڪندڙ
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	ڪاوڙيل
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	لوهه
ironclad	0.561	0.648	0.679	لوهي ڪپڙا
ironic	0.435	0.550	0.500	ستم ظريفي
irons	0.531	0.441	0.625	لوهه
irony	0.390	0.587	0.508	ستم ظريفي
irradiation	0.385	0.736	0.509	شعاع
irrational	0.125	0.648	0.394	غير معقول
irrationality	0.198	0.735	0.361	غير معقوليت
irreconcilable	0.146	0.667	0.375	ناقابل مصالحت
irreducible	0.296	0.455	0.569	ناقابل واپسي
irrefutable	0.496	0.549	0.716	ناقابل ترديد
irregular	0.312	0.548	0.321	بي ترتيب
irregularity	0.104	0.647	0.306	بي قاعدگي
irregularly	0.292	0.565	0.397	بي ترتيب طور
irrelevant	0.138	0.311	0.296	غير لاڳاپيل
irreparable	0.061	0.530	0.430	ناقابل تلافي
irreplaceable	0.479	0.580	0.833	ناقابل بدلي
irrepressible	0.512	0.566	0.745	ناقابل برداشت
irresistible	0.823	0.833	0.839	ناقابل مزاحمت
irrespective	0.497	0.538	0.745	بي پرواهه
irresponsible	0.177	0.680	0.241	غير ذميوار
irreverent	0.191	0.694	0.634	بي عزتي
irreversible	0.170	0.541	0.667	ناقابل واپسي
irrevocable	0.296	0.560	0.712	ناقابل واپسي
irrigate	0.272	0.458	0.490	سيراب ڪرڻ
irrigation	0.259	0.426	0.426	آبپاشي
irritability	0.146	0.853	0.283	چڙهڻ
irritable	0.112	0.952	0.462	چڙهائي
irritate	0.167	0.890	0.368	ناراض ڪرڻ
irritated	0.210	0.816	0.281	ڪاوڙيل
irritates	0.173	0.810	0.295	ناراض ڪري ٿو
irritating	0.104	0.912	0.393	چڙهڻ
irritation	0.073	0.833	0.496	جلن
island	0.745	0.347	0.432	ٻيٽ
isle	0.667	0.390	0.443	ٻيٽ
islet	0.612	0.314	0.367	ٻيٽ
isolate	0.235	0.422	0.336	الڳ ڪرڻ
isolated	0.221	0.356	0.255	الڳ ٿيل
isolation	0.198	0.338	0.339	اڪيلائي
isomorphism	0.448	0.361	0.481	isomorphism
isothermal	0.459	0.491	0.500	isothermal
isotope	0.429	0.404	0.407	آئوٽوپ
issue	0.316	0.819	0.351	مسئلو
itch	0.319	0.610	0.465	خارش
itching	0.208	0.690	0.300	خارش
itchy	0.334	0.726	0.296	خارش
item	0.594	0.270	0.465	شيءِ
itemize	0.459	0.527	0.518	شيون ڪرڻ
items	0.542	0.401	0.434	شيون
iterate	0.449	0.460	0.440	ٻيهر ڪرڻ
iteration	0.531	0.449	0.486	ورجائي
iterative	0.429	0.420	0.500	ورجائيندڙ
itinerant	0.449	0.545	0.439	سفر ڪندڙ
itinerary	0.551	0.550	0.454	سفر جو پروگرام
ivory	0.625	0.235	0.566	هٿي دانت
jab	0.385	0.519	0.482	جيب
jabber	0.417	0.506	0.342	جابر
jack	0.487	0.450	0.441	جيڪ
jackal	0.333	0.582	0.436	گدڙ
jackass	0.188	0.692	0.279	گدڙ
jacket	0.656	0.302	0.382	جيڪٽ
jackhammer	0.199	0.690	0.519	جيڪ هامر
jackpot	0.950	0.750	0.786	جيڪ پاٽ
jackrabbit	0.625	0.379	0.344	گدڙ
jacks	0.490	0.400	0.505	جيڪس
jade	0.604	0.410	0.455	جيڊ
jaded	0.255	0.560	0.400	ٿڪل
jag	0.408	0.440	0.427	جاگ
jagged	0.082	0.462	0.213	ڇڪيل
jaguar	0.559	0.710	0.654	جاگوار
jail	0.094	0.898	0.480	جيل
jailbird	0.240	0.567	0.473	قيدي
jailbreak	0.354	0.629	0.471	جيل ٽوڙڻ
jailer	0.194	0.630	0.632	جيلر
jailhouse	0.104	0.887	0.430	جيل خانو
jalopy	0.396	0.436	0.337	جالوپي
jam	0.510	0.548	0.318	جام
jamboree	0.602	0.625	0.351	جمبوري
jammed	0.235	0.817	0.411	جام ٿيل
jammer	0.417	0.540	0.491	جيمر
janitor	0.510	0.350	0.527	دربان
janitorial	0.490	0.373	0.481	سنڀاليندڙ
japan	0.667	0.482	0.580	جاپان
jar	0.430	0.346	0.318	برتن
jargon	0.333	0.548	0.404	اصطلاح
jarhead	0.408	0.530	0.464	جهنڊو
jarring	0.210	0.673	0.309	ڇڪڻ
jasmine	0.765	0.230	0.286	جيسمين
jasper	0.480	0.425	0.402	جيسپر
jaundice	0.214	0.480	0.355	يرقان
jaunt	0.808	0.451	0.500	سفر
java	0.459	0.321	0.343	جاوا
javelin	0.385	0.481	0.465	ٻيڙي
jaw	0.500	0.510	0.420	جبڙو
jawbone	0.468	0.413	0.342	جبڑے جي هڏي
jaws	0.385	0.528	0.455	جبل
jay	0.531	0.408	0.389	جي
jazz	0.677	0.362	0.450	جاز
jazzy	0.725	0.431	0.389	جازي
jealous	0.173	0.855	0.345	حسد ڪندڙ
jealousy	0.146	0.783	0.481	حسد
jean	0.602	0.444	0.364	جين
jeans	0.622	0.324	0.371	جينس
jeep	0.602	0.510	0.612	جيپ
jeering	0.266	0.792	0.380	مذاق ڪرڻ
jelly	0.651	0.294	0.256	جيلي
jellybean	0.592	0.406	0.399	جيليبين
jellyfish	0.531	0.567	0.377	جيلي فش
jenny	0.542	0.406	0.407	جيني
jeopardize	0.260	0.877	0.582	خطري ۾ وجهڻ
jeopardy	0.129	0.908	0.536	خطرو
jerk	0.194	0.630	0.238	جھٽڪو
jerks	0.214	0.788	0.395	ڌڪ
jerky	0.233	0.538	0.358	جهٽڪو
jersey	0.594	0.317	0.411	جرسي
jest	0.520	0.736	0.222	مذاق
jester	0.388	0.670	0.264	مذاق ڪندڙ
jesus	0.800	0.400	0.620	يسوع
jet	0.612	0.721	0.606	جيٽ
jetty	0.602	0.480	0.453	جيٽي
jewel	0.827	0.588	0.625	زيور
jeweler	0.760	0.482	0.500	زيور
jewelry	0.823	0.569	0.597	زيور
jib	0.406	0.420	0.413	جيب
jiff	0.576	0.404	0.349	جف
jiffy	0.410	0.444	0.380	جفا
jig	0.531	0.396	0.357	جيگ
jiggle	0.592	0.673	0.518	جهلڻ
jigsaw	0.594	0.582	0.519	جيگس
jihad	0.323	0.660	0.444	جهاد
jimmy	0.579	0.321	0.311	جمي
jingle	0.635	0.500	0.424	آواز
jinx	0.337	0.582	0.373	جنڪس
jitters	0.224	0.918	0.192	ڇڪڻ
jittery	0.344	0.856	0.255	پريشان ڪندڙ
jive	0.561	0.551	0.373	جيو
job	0.694	0.541	0.717	نوڪري
jobinterview	0.684	0.837	0.723	نوڪري جو انٽرويو
jock	0.592	0.656	0.473	جوڪ
jockey	0.562	0.644	0.703	جاڪي
jockstrap	0.347	0.431	0.390	جوڪ اسٽريپ
jog	0.510	0.708	0.519	جاگ
jogger	0.417	0.510	0.424	جوگر
john	0.562	0.382	0.327	جان
join	0.729	0.479	0.684	شامل ٿيڻ
joined	0.667	0.394	0.600	شامل ٿيو
joining	0.755	0.469	0.685	شامل ٿيڻ
joint	0.615	0.392	0.566	گڏيل
jointly	0.708	0.425	0.602	گڏيل طور تي
joke	0.704	0.610	0.316	مذاق
joker	0.771	0.760	0.416	جوڪر
joking	0.776	0.839	0.407	مذاق ڪرڻ
jolly	0.959	0.705	0.708	خوش مزاج
jolt	0.365	0.708	0.358	جھٽڪو
jornada	0.417	0.500	0.533	jornada
jot	0.406	0.323	0.350	جوٽ
jour	0.479	0.394	0.415	جور
journal	0.688	0.240	0.352	جرنل
journalism	0.622	0.500	0.684	صحافت
journalist	0.542	0.452	0.732	صحافي
journalistic	0.696	0.449	0.495	صحافتي
journey	0.910	0.702	0.625	سفر
journeyman	0.765	0.596	0.741	مسافر
joust	0.520	0.528	0.551	جوش
jovial	0.823	0.460	0.526	خوش مزاج
joy	0.980	0.824	0.794	خوشي
joyful	0.990	0.740	0.667	خوش ڪندڙ
joyous	0.958	0.580	0.728	خوشي
joyride	0.694	0.550	0.500	joyride
joys	0.981	0.643	0.651	خوشيون
jubilant	0.844	0.673	0.664	خوش ڪندڙ
jubilee	0.916	0.500	0.579	جوبلي
judge	0.510	0.604	0.857	جج
judged	0.281	0.686	0.722	فيصلو ڪيو
judging	0.240	0.625	0.693	فيصلو ڪرڻ
judgment	0.396	0.600	0.816	فيصلو
judgmental	0.330	0.602	0.579	فيصلو ڪندڙ
judicial	0.378	0.667	0.833	عدالتي
judiciary	0.439	0.740	0.897	عدليه
judicious	0.630	0.432	0.772	انصاف ڪندڙ
judo	0.500	0.790	0.612	جوڊو
jug	0.520	0.250	0.213	جگ
juggle	0.594	0.760	0.426	جادوگري
juggler	0.633	0.821	0.480	جادوگر
juggling	0.562	0.874	0.346	جادوگري
jugular	0.271	0.573	0.426	جهنگل
juice	0.776	0.281	0.352	رس
juicer	0.552	0.520	0.564	رسر
juicy	0.823	0.529	0.490	رسيلو
juju	0.541	0.519	0.206	جوجو
juke	0.500	0.491	0.410	جوڪ
jukebox	0.699	0.540	0.429	جوڪ باڪس
jumble	0.357	0.613	0.331	گڙٻڙ
jumbled	0.292	0.602	0.445	گڙٻڙ
jumbo	0.680	0.552	0.447	جمبو
jump	0.625	0.865	0.611	ٽپو ڏيڻ
jump rope	0.656	0.660	0.368	رسي ٽَپ
jumper	0.615	0.336	0.481	جمپر
jumpsuit	0.562	0.365	0.361	جمپ سوٽ
jumpy	0.353	0.810	0.216	جمپ
junction	0.490	0.481	0.364	سنگم
juncture	0.365	0.582	0.491	سنگم
jungle	0.500	0.510	0.481	جنگل
junior	0.635	0.343	0.304	جونيئر
juniper	0.583	0.327	0.352	جونيپر
junk	0.115	0.481	0.118	فضول
junket	0.490	0.519	0.386	جنڪٽ
junkie	0.135	0.860	0.363	فضول
junky	0.385	0.595	0.343	فضول
junkyard	0.177	0.398	0.302	ڪشادو باغ
junta	0.451	0.503	0.704	جنتا
juridical	0.520	0.431	0.873	قانوني
jurisdiction	0.480	0.580	0.820	دائره اختيار
jurisprudence	0.360	0.425	0.764	فقه
jurist	0.479	0.523	0.713	قانوندان
juror	0.582	0.640	0.750	جج
jury	0.479	0.607	0.789	جوري
justice	0.760	0.538	0.787	انصاف
justifiable	0.786	0.413	0.821	جائز
justification	0.622	0.444	0.661	جواز
justify	0.612	0.473	0.615	جواز ڏيڻ
juststop	0.417	0.379	0.364	بس روڪي
justthebeginning	0.573	0.451	0.481	صرف شروعات
jute	0.551	0.216	0.295	جوٽ
juvenile	0.678	0.490	0.526	نوجوان
juxtaposition	0.427	0.500	0.460	ملائڻ
kaiser	0.470	0.509	0.690	قيصر
kale	0.469	0.226	0.411	ڪيلي
kaleidoscope	0.615	0.439	0.580	kaleidoscope
kamikaze	0.204	0.810	0.645	ڪميڪيز
kangaroo	0.716	0.333	0.301	ڪنگارو
kanji	0.510	0.413	0.425	ڪنجي
kappa	0.469	0.375	0.366	ڪپا
kaput	0.281	0.441	0.440	ڪپت
