English Word	Valence	Arousal	Dominance	Bengali Word
notch	0.459	0.361	0.358	খাঁজ
notched	0.480	0.530	0.356	খাঁজযুক্ত
note	0.594	0.163	0.416	বিঃদ্রঃ
notebook	0.449	0.167	0.442	নোটবই
noted	0.615	0.382	0.464	উল্লেখ্য
noteworthy	0.704	0.481	0.759	উল্লেখযোগ্য
nothappy	0.112	0.320	0.170	অসুখী
nothingbetter	0.635	0.390	0.543	ভাল কিছু না
nothingness	0.204	0.080	0.161	শূন্যতা
notice	0.646	0.408	0.491	নোটিশ
noticeable	0.890	0.562	0.750	লক্ষণীয়
notification	0.604	0.461	0.671	বিজ্ঞপ্তি
notify	0.643	0.471	0.573	অবহিত
notion	0.612	0.284	0.667	ধারণা
notional	0.520	0.288	0.500	ধারণাগত
notoriety	0.552	0.633	0.769	কুখ্যাতি
notorious	0.366	0.582	0.609	কুখ্যাত
notready	0.133	0.400	0.196	প্রস্তুত নয়
notwithstanding	0.367	0.316	0.433	পরন্তু
nought	0.312	0.098	0.116	কিছুই না
noun	0.531	0.230	0.477	বিশেষ্য
nourish	0.878	0.460	0.639	পুষা
nourishment	0.786	0.290	0.631	পুষ্টি
nouveau	0.633	0.438	0.432	nouveau
novel	0.702	0.352	0.439	উপন্যাস
novelist	0.340	0.343	0.529	ঔপন্যাসিক
novelty	0.673	0.521	0.740	অভিনবত্ব
novice	0.429	0.346	0.180	নবীন
nowadays	0.680	0.346	0.400	আজকাল
nowork	0.312	0.264	0.309	কাজ নেই
noworries	0.630	0.402	0.500	কোন চিন্তা করো না
noxious	0.177	0.585	0.379	ক্ষতিকর
nozzle	0.438	0.330	0.287	অগ্রভাগ
nuance	0.408	0.282	0.411	nuance
nuances	0.490	0.375	0.527	সূক্ষ্মতা
nuclear	0.219	0.856	0.781	পারমাণবিক
nucleus	0.529	0.296	0.667	নিউক্লিয়াস
nude	0.490	0.915	0.200	নগ্ন
nudge	0.448	0.500	0.509	ঠেলা দেওয়া
nudie	0.500	0.529	0.373	নগ্ন
nudist	0.440	0.796	0.483	নগ্নতাবাদী
nudity	0.438	0.853	0.415	নগ্নতা
nugget	0.602	0.340	0.348	নুগেট
nuisance	0.198	0.817	0.227	উপদ্রব
nuke	0.125	0.905	0.873	পরমাণু
nul	0.337	0.358	0.264	nul
null	0.253	0.147	0.152	শূন্য
nullify	0.255	0.373	0.395	বাতিল করা
numb	0.108	0.420	0.352	অসাড়
number	0.406	0.231	0.471	সংখ্যা
numbering	0.510	0.363	0.482	সংখ্যায়ন
numbers	0.406	0.241	0.440	সংখ্যা
numbness	0.306	0.398	0.265	অসাড়তা
numbskull	0.300	0.472	0.284	অসাড়
numeral	0.582	0.254	0.382	সংখ্যা
numerator	0.490	0.317	0.526	অংক
numerical	0.479	0.322	0.517	সংখ্যাসূচক
numerically	0.510	0.337	0.500	সংখ্যাগতভাবে
numerous	0.622	0.462	0.609	অনেক
nun	0.500	0.150	0.406	সন্ন্যাসী
nunchucks	0.337	0.580	0.526	nunchucks
nunnery	0.653	0.236	0.473	নানারী
nuptials	0.771	0.588	0.571	বিবাহ
nurse	0.635	0.578	0.521	নার্স
nursemaid	0.615	0.431	0.436	সেবিকা
nursery	0.894	0.406	0.389	নার্সারি
nursing	0.552	0.549	0.653	নার্সিং
nurture	0.745	0.378	0.657	লালনপালন
nut	0.365	0.310	0.250	বাদাম
nutcase	0.286	0.775	0.259	নাটকেস
nutcracker	0.635	0.378	0.522	বাদাম
nuthouse	0.347	0.519	0.434	nuthouse
nutmeg	0.635	0.302	0.350	জায়ফল
nutrition	0.885	0.420	0.579	পুষ্টি
nutritional	0.812	0.406	0.676	পুষ্টিকর
nutritious	0.833	0.337	0.655	পুষ্টিকর
nutritive	0.875	0.422	0.667	পুষ্টিকর
nuts	0.594	0.250	0.291	বাদাম
nutshell	0.458	0.407	0.310	সংক্ষেপে
nutty	0.444	0.317	0.271	বাদাম
nylon	0.490	0.304	0.295	নাইলন
nylong	0.439	0.248	0.351	নাইলং
nylons	0.556	0.379	0.320	নাইলন
nymph	0.542	0.529	0.472	জলপরী
nymphomaniac	0.398	0.894	0.536	nymphomaniac
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	ওক
oar	0.469	0.392	0.316	oar
oasis	0.796	0.283	0.429	মরুদ্যান
oat	0.622	0.170	0.298	ওট
oath	0.543	0.615	0.824	শপথ
oatmeal	0.592	0.192	0.241	ওটমিল
obedience	0.765	0.287	0.536	আনুগত্য
obedient	0.800	0.179	0.518	বাধ্য
obediently	0.802	0.304	0.577	বাধ্যতামূলকভাবে
obelisk	0.604	0.408	0.596	ওবেলিস্ক
obese	0.133	0.427	0.250	স্থূল
obesity	0.215	0.370	0.328	স্থূলতা
obey	0.677	0.433	0.533	মান্য
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	মৃত্যু বার্তা
object	0.531	0.356	0.375	বস্তু
objection	0.347	0.592	0.709	আপত্তি
objectionable	0.459	0.382	0.558	আপত্তিকর
objective	0.724	0.337	0.736	উদ্দেশ্য
objectivity	0.765	0.431	0.711	বস্তুনিষ্ঠতা
obligation	0.222	0.596	0.718	বাধ্যবাধকতা
obligatory	0.337	0.571	0.780	বাধ্যতামূলক
oblige	0.281	0.770	0.614	বাধ্য করা
obliged	0.327	0.680	0.411	বাধিত
obliging	0.740	0.402	0.545	বাধ্য
obligor	0.302	0.600	0.360	বাধ্য
oblique	0.438	0.347	0.455	তির্যক
obliterate	0.250	0.539	0.569	নিশ্চিহ্ন করা
obliterated	0.240	0.469	0.344	বিলুপ্ত
obliteration	0.177	0.622	0.397	বিলুপ্তি
oblivion	0.153	0.330	0.282	বিস্মৃতি
oblivious	0.229	0.388	0.355	বিস্মৃত
oblong	0.561	0.455	0.370	আয়তাকার
obnoxious	0.088	0.602	0.256	আপত্তিকর
oboe	0.510	0.340	0.392	oboe
obscene	0.050	0.745	0.348	অশ্লীল
obscenity	0.083	0.843	0.418	অশ্লীলতা
obscure	0.370	0.551	0.278	অস্পষ্ট
obscured	0.115	0.356	0.298	অস্পষ্ট
obscurity	0.208	0.392	0.380	অস্পষ্টতা
observance	0.531	0.315	0.632	পালন
observant	0.740	0.422	0.708	পর্যবেক্ষক
observation	0.633	0.433	0.667	পর্যবেক্ষণ
observatory	0.643	0.324	0.731	মানমন্দির
observe	0.771	0.390	0.360	পর্যবেক্ষণ
observer	0.663	0.363	0.603	পর্যবেক্ষক
observing	0.583	0.400	0.685	পর্যবেক্ষণ
obsess	0.112	0.846	0.509	আবেশ
obsessed	0.219	0.840	0.439	আবেশ
obsessing	0.173	0.773	0.698	অবসেসিং
obsession	0.229	0.847	0.571	ঘোর
obsessive	0.219	0.823	0.480	আবেশী
obsolescence	0.250	0.431	0.377	অপ্রচলিততা
obsolete	0.337	0.321	0.250	অপ্রচলিত
obstacle	0.204	0.708	0.336	বাধা
obstetrician	0.521	0.636	0.604	প্রসূতি বিশেষজ্ঞ
obstetrics	0.530	0.582	0.564	প্রসূতিবিদ্যা
obstinate	0.146	0.696	0.562	অনড়
obstruct	0.115	0.660	0.458	বাধা
obstruction	0.125	0.742	0.491	বাধা
obstructive	0.204	0.650	0.613	প্রতিবন্ধক
obtain	0.760	0.438	0.731	প্রাপ্ত
obtainable	0.677	0.327	0.702	প্রাপ্য
obtuse	0.281	0.460	0.345	স্থূল
obverse	0.470	0.394	0.464	বিপরীত
obvious	0.625	0.336	0.585	স্পষ্ট
ocarina	0.541	0.392	0.366	ওকারিনা
occasion	0.700	0.451	0.398	উপলক্ষ
occasional	0.490	0.298	0.387	মাঝে মাঝে
occasionally	0.538	0.240	0.264	মাঝে মাঝে
occipital	0.398	0.408	0.518	occipital
occlusion	0.306	0.439	0.442	আবদ্ধতা
occult	0.292	0.382	0.406	জাদু
occupancy	0.625	0.471	0.721	দখল
occupant	0.500	0.417	0.483	দখলকারী
occupation	0.562	0.470	0.692	পেশা
occupational	0.583	0.469	0.596	পেশাগত
occupied	0.337	0.546	0.441	অধিকৃত
occupier	0.427	0.438	0.600	দখলকারী
occupy	0.396	0.520	0.589	দখল করা
occupying	0.573	0.462	0.519	দখল করা
occur	0.451	0.561	0.510	ঘটবে
occurrence	0.573	0.690	0.541	ঘটনা
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	মহাসাগর
oceanic	0.740	0.317	0.632	মহাসাগরীয়
octagon	0.602	0.349	0.462	অষ্টভুজ
octave	0.438	0.380	0.482	অষ্টক
octopus	0.713	0.378	0.411	অক্টোপাস
ocular	0.418	0.370	0.400	চোখের
odd	0.265	0.337	0.302	অস্বাভাবিক
oddball	0.316	0.360	0.357	oddball
oddity	0.312	0.557	0.386	অদ্ভুততা
odds	0.500	0.472	0.680	মতভেদ
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	ঘৃণ্য
odometer	0.367	0.470	0.388	ওডোমিটার
odor	0.337	0.363	0.404	গন্ধ
odyssey	0.622	0.692	0.710	ওডিসি
oedipal	0.312	0.575	0.509	oedipal
oestrogen	0.521	0.608	0.561	ইস্ট্রোজেন
oeuvre	0.653	0.484	0.598	oeuvre
offal	0.302	0.470	0.302	অফাল
offence	0.312	0.798	0.446	অপরাধ
offend	0.094	0.804	0.333	অপমান
offended	0.188	0.690	0.337	বিক্ষুব্ধ
offender	0.104	0.851	0.537	অপরাধী
offense	0.230	0.765	0.510	অপরাধ
offensive	0.135	0.882	0.600	আক্রমণাত্মক
offer	0.750	0.745	0.596	অফার
offered	0.582	0.490	0.544	দেওয়া
offering	0.688	0.462	0.585	প্রস্তাব
offhand	0.388	0.500	0.368	অফহ্যান্ড
office	0.427	0.302	0.509	দপ্তর
officer	0.542	0.430	0.877	অফিসার
offices	0.469	0.312	0.534	অফিস
official	0.646	0.565	0.833	দাপ্তরিক
officiate	0.688	0.453	0.704	কর্মকর্তা
offing	0.490	0.412	0.447	বন্ধ
offload	0.479	0.444	0.525	অফলোড
offset	0.719	0.394	0.704	অফসেট
offshoot	0.517	0.330	0.361	শাখা
offshore	0.417	0.484	0.441	সমুদ্রতীরাতিক্রান্ত
offside	0.323	0.519	0.443	অফসাইড
offspring	0.656	0.435	0.600	সন্তানসন্ততি
oft	0.500	0.308	0.474	প্রায়ই
oftentimes	0.571	0.500	0.482	প্রায়ই
ogre	0.135	0.698	0.510	রাক্ষস
ohdear	0.458	0.519	0.442	ohdear
ohgod	0.500	0.557	0.439	ওহ ঈশ্বর
ohno	0.396	0.475	0.380	ওহ না
ohshit	0.230	0.594	0.343	ওহশিট
oil	0.521	0.278	0.306	তেল
oils	0.459	0.229	0.391	তেল
oily	0.276	0.533	0.385	তৈলাক্ত
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	মলম
okra	0.469	0.400	0.362	ওকরা
olden	0.284	0.213	0.425	পুরাতন
oldie	0.363	0.363	0.342	পুরানো
oldies	0.438	0.300	0.412	পুরাতন
olfactory	0.602	0.409	0.452	ঘ্রাণজ
oligarchy	0.327	0.567	0.741	অভিজাততন্ত্র
olive	0.571	0.231	0.406	জলপাই
omega	0.529	0.337	0.526	ওমেগা
omelet	0.708	0.323	0.315	অমলেট
omen	0.390	0.657	0.583	লক্ষণ
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	অশুভ
omission	0.367	0.333	0.275	বাদ দেওয়া
omit	0.330	0.265	0.451	বর্জন করা
omitted	0.260	0.235	0.211	বাদ দেওয়া
omnibus	0.490	0.410	0.473	সর্বজনীন
omnipotence	0.667	0.793	0.866	সর্বশক্তিমান
omnipotent	0.719	0.679	0.919	সর্বশক্তিমান
omnipresent	0.688	0.452	0.825	সর্বব্যাপী
omniscient	0.656	0.334	0.778	সর্বজ্ঞ
onboard	0.612	0.451	0.491	বোর্ডে
oncologist	0.260	0.654	0.640	ক্যান্সার বিশেষজ্ঞ
oncology	0.204	0.424	0.500	অনকোলজি
oncoming	0.594	0.625	0.773	আসন্ন
one	0.542	0.292	0.370	এক
oneday	0.667	0.245	0.374	এক দিন
onedge	0.479	0.552	0.400	onedge
onelove	0.816	0.577	0.541	একটি ভালোবাসা
oneness	0.745	0.272	0.720	একতা
onerous	0.500	0.480	0.462	কষ্টকর
oneself	0.660	0.337	0.483	নিজেকে
ongoing	0.674	0.484	0.556	চলমান
onion	0.378	0.367	0.382	পেঁয়াজ
onset	0.673	0.497	0.500	শুরু
onslaught	0.198	0.939	0.717	আক্রমণ
onstage	0.719	0.673	0.583	মঞ্চে
ontology	0.510	0.450	0.518	অন্টোলজি
onus	0.562	0.520	0.769	দায়িত্ব
onward	0.667	0.538	0.741	এগিয়ে
onyx	0.571	0.461	0.380	গোমেদ
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	স্রাব
oozing	0.238	0.515	0.427	oozing
op	0.480	0.402	0.349	অপ
opacity	0.471	0.251	0.256	অস্বচ্ছতা
opal	0.623	0.479	0.379	ওপাল
opaque	0.344	0.265	0.342	অস্বচ্ছ
ope	0.375	0.380	0.395	খোলা
open	0.620	0.480	0.569	খোলা
opener	0.584	0.526	0.377	ওপেনার
opening	0.667	0.510	0.620	খোলা
openly	0.603	0.388	0.553	প্রকাশ্যে
openness	0.837	0.561	0.667	উন্মুক্ততা
opera	0.714	0.500	0.483	অপেরা
operate	0.582	0.690	0.691	কাজ
operatic	0.375	0.452	0.627	অপারেটিক
operation	0.475	0.611	0.755	অপারেশন
operational	0.562	0.570	0.679	কর্মক্ষম
operations	0.480	0.549	0.798	অপারেশন
operative	0.541	0.635	0.718	অপারেটিভ
operator	0.612	0.630	0.726	অপারেটর
ophthalmic	0.427	0.385	0.444	চক্ষু সংক্রান্ত
ophthalmologist	0.552	0.389	0.491	চক্ষু বিশেষজ্ঞ
opiate	0.281	0.594	0.598	আফিম
opinion	0.594	0.482	0.638	মতামত
opinionated	0.156	0.800	0.491	মতামতযুক্ত
opium	0.276	0.490	0.333	আফিম
opponent	0.080	0.741	0.716	প্রতিপক্ষ
opportune	0.796	0.538	0.767	সুবিধাজনক
opportunism	0.571	0.752	0.673	সুবিধাবাদ
opportunity	0.938	0.745	0.833	সুযোগ
oppose	0.431	0.800	0.473	বিরোধিতা
opposed	0.092	0.460	0.606	বিরোধী
opposing	0.188	0.660	0.518	বিরোধী
opposite	0.235	0.545	0.408	বিপরীত
opposites	0.281	0.518	0.462	বিপরীত
opposition	0.135	0.729	0.592	বিরোধী দল
oppress	0.186	0.654	0.555	নিপীড়ন
oppressed	0.119	0.640	0.259	নিপীড়িত
oppression	0.080	0.673	0.615	নিপীড়ন
oppressive	0.276	0.590	0.667	নিপীড়ক
oppressor	0.160	0.776	0.629	নিপীড়ক
ops	0.417	0.550	0.528	অপস
opt	0.510	0.471	0.345	অপট
optic	0.663	0.384	0.594	অপটিক
optical	0.677	0.311	0.542	অপটিক্যাল
optics	0.562	0.286	0.580	অপটিক্স
optimism	0.949	0.565	0.814	আশাবাদ
optimist	0.875	0.539	0.787	আশাবাদী
optimistic	0.979	0.580	0.821	আশাবাদী
optimum	0.892	0.469	0.808	সর্বোত্তম
option	0.512	0.427	0.359	বিকল্প
optional	0.755	0.350	0.440	ঐচ্ছিক
optionally	0.365	0.405	0.481	ঐচ্ছিকভাবে
options	0.622	0.327	0.473	বিকল্প
optometrist	0.446	0.455	0.668	চক্ষু বিশেষজ্ঞ
opulence	0.620	0.615	0.648	ঐশ্বর্য
opulent	0.562	0.660	0.660	ঐশ্বর্যপূর্ণ
opus	0.458	0.368	0.391	রচনা
oracle	0.552	0.531	0.670	ওরাকল
oral	0.530	0.448	0.375	মৌখিক
orange	0.646	0.132	0.296	কমলা
orange juice	0.719	0.343	0.445	কমলার শরবত
orangutan	0.430	0.560	0.471	ওরাঙ্গুটান
oration	0.646	0.315	0.683	বক্তৃতা
orator	0.667	0.375	0.682	বক্তা
oratory	0.602	0.472	0.693	বক্তৃতা
orb	0.463	0.370	0.444	orb
orbit	0.561	0.422	0.575	কক্ষপথ
orbital	0.458	0.451	0.559	অরবিটাল
orbiting	0.520	0.643	0.554	প্রদক্ষিণ
orbs	0.469	0.355	0.482	orbs
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	বাগান
orchestra	0.708	0.500	0.664	অর্কেস্ট্রা
orchid	0.840	0.345	0.382	অর্কিড
ordained	0.735	0.409	0.731	নিযুক্ত
ordeal	0.344	0.539	0.529	অগ্নিপরীক্ষা
order	0.780	0.295	0.814	আদেশ
orderly	0.844	0.240	0.661	সুশৃঙ্খল
ordinance	0.615	0.452	0.776	অধ্যাদেশ
ordinary	0.375	0.312	0.286	সাধারণ
ordination	0.688	0.490	0.765	আদেশ
ordnance	0.354	0.825	0.679	অর্ডন্যান্স
ore	0.500	0.333	0.356	আকরিক
oregano	0.596	0.327	0.250	অরেগানো
organ	0.510	0.469	0.538	অঙ্গ
organic	0.719	0.343	0.535	জৈব
organism	0.457	0.559	0.800	জীব
organist	0.740	0.469	0.669	অর্গানস্ট
organization	0.810	0.535	0.851	সংগঠন
organize	0.802	0.655	0.781	সংগঠিত করা
organized	0.816	0.337	0.746	সংগঠিত
organizer	0.604	0.577	0.846	সংগঠক
orgasm	0.844	0.863	0.676	প্রচণ্ড উত্তেজনা
orgies	0.388	0.953	0.433	orgies
orgy	0.346	0.962	0.536	বেলেল্লাপনা
orient	0.667	0.422	0.667	প্রাচ্য
oriental	0.592	0.409	0.598	প্রাচ্য
orientation	0.667	0.454	0.686	অভিযোজন
orifice	0.448	0.355	0.443	ছিদ্র
origami	0.684	0.276	0.294	অরিগামি
origin	0.729	0.435	0.591	মূল
original	0.765	0.480	0.746	মূল
originality	0.898	0.500	0.824	মৌলিকতা
originate	0.702	0.500	0.866	উৎপত্তি
origination	0.760	0.443	0.604	উৎপত্তি
originator	0.592	0.510	0.868	জন্মদাতা
ornament	0.561	0.373	0.441	অলঙ্কার
ornamental	0.663	0.392	0.460	শোভাকর
ornamentation	0.663	0.471	0.472	অলংকরণ
ornamented	0.677	0.350	0.490	অলংকৃত
ornate	0.812	0.356	0.500	অলঙ্কৃত
ornery	0.361	0.520	0.509	ornery
orphan	0.133	0.388	0.140	অনাথ
orphanage	0.184	0.439	0.425	এতিমখানা
orphaned	0.062	0.430	0.228	অনাথ
orthodontist	0.469	0.615	0.564	অর্থোডন্টিস্ট
orthodox	0.388	0.471	0.647	অর্থোডক্স
orthodoxy	0.271	0.388	0.612	অর্থোডক্সি
orthogonal	0.500	0.314	0.540	অর্থোগোনাল
orthopedic	0.406	0.346	0.473	অর্থোপেডিক
oscillate	0.449	0.580	0.397	দোদুল্যমান
oscillating	0.469	0.548	0.402	দোদুল্যমান
oscillation	0.562	0.433	0.431	দোলন
oscillatory	0.375	0.520	0.480	দোলক
ostensible	0.542	0.549	0.585	প্রকাশ্য
ostensibly	0.473	0.529	0.509	দৃশ্যত
ostentatious	0.479	0.794	0.648	আড়ম্বরপূর্ণ
ostracized	0.115	0.690	0.377	বহিষ্কৃত
ostrich	0.592	0.382	0.241	উটপাখি
other	0.472	0.230	0.259	অন্যান্য
otter	0.439	0.216	0.339	ওটার
otto	0.427	0.425	0.404	অটো
ottoman	0.531	0.337	0.444	অটোমান
ought	0.438	0.511	0.434	উচিত
ounce	0.531	0.255	0.288	আউন্স
oust	0.296	0.716	0.444	বহিষ্কার
outage	0.306	0.684	0.438	বিভ্রাট
outback	0.500	0.324	0.430	আউটব্যাক
outbid	0.594	0.622	0.540	আউটবিড
outboard	0.448	0.491	0.456	আউটবোর্ড
outbreak	0.260	0.632	0.472	প্রাদুর্ভাব
outburst	0.209	0.802	0.528	বিস্ফোরণ
outcast	0.153	0.449	0.353	নির্বাসিত
outcome	0.615	0.472	0.685	ফলাফল
outcry	0.271	0.773	0.718	চিৎকার
outdated	0.167	0.236	0.226	সেকেলে
outdo	0.771	0.750	0.873	বাইরে
outdoor	0.814	0.256	0.447	বহিরঙ্গন
outdoors	0.781	0.444	0.453	বাইরে
outer	0.552	0.471	0.456	বাইরের
outfit	0.760	0.490	0.566	সজ্জীকরণ
outgoing	0.650	0.472	0.538	বহির্গামী
outgrow	0.510	0.529	0.722	বৃদ্ধি
outgrowth	0.771	0.620	0.688	বৃদ্ধি
outhouse	0.281	0.519	0.255	আউটহাউস
outing	0.771	0.672	0.634	আউটিং
outlandish	0.448	0.737	0.657	বিদেশী
outlast	0.620	0.786	0.685	শেষ
outlaw	0.255	0.662	0.482	অবৈধ
outlet	0.610	0.396	0.245	আউটলেট
outline	0.542	0.365	0.509	রূপরেখা
outlines	0.656	0.402	0.651	রূপরেখা
outlive	0.565	0.769	0.724	বেঁচে থাকা
outlook	0.830	0.525	0.625	দৃষ্টিভঙ্গি
outlying	0.460	0.562	0.503	outlying
outnumber	0.347	0.615	0.577	সংখ্যা বেশি
outpatient	0.260	0.400	0.395	বহিরাগত রোগী
outpost	0.635	0.571	0.675	ফাঁড়ি
outpouring	0.562	0.685	0.552	বহিঃপ্রকাশ
output	0.604	0.389	0.434	আউটপুট
outrage	0.060	0.689	0.542	অত্যাচার
outraged	0.156	0.696	0.538	বিরক্ত
outrageous	0.153	0.945	0.713	আপত্তিকর
outrank	0.653	0.643	0.817	আউটরাঙ্ক
outreach	0.540	0.462	0.672	আউটরিচ
outright	0.767	0.396	0.755	সরাসরি
outrun	0.531	0.833	0.573	অতিক্রম করা
outset	0.750	0.500	0.582	শুরু
outsider	0.398	0.549	0.447	বহিরাগত
outskirts	0.474	0.519	0.312	উপকণ্ঠ
outsmart	0.673	0.657	0.864	outsmart
outspoken	0.582	0.413	0.667	স্পষ্টভাষী
outstanding	0.898	0.760	0.896	অসামান্য
outstretched	0.448	0.481	0.519	প্রসারিত
outward	0.449	0.439	0.365	বাহ্যিক
outwards	0.440	0.472	0.400	বাইরের দিকে
outweigh	0.486	0.600	0.682	ছাড়িয়ে যাওয়া
outwit	0.302	0.755	0.356	বুদ্ধিমত্তা
oval	0.417	0.280	0.330	ডিম্বাকৃতি
ovary	0.469	0.399	0.280	ডিম্বাশয়
ovate	0.385	0.286	0.368	ovate
ovation	0.719	0.758	0.750	প্রণাম
oven	0.583	0.425	0.606	চুলা
overactive	0.667	0.885	0.592	অতিরিক্ত সক্রিয়
overall	0.583	0.370	0.670	সামগ্রিক
overalls	0.500	0.392	0.373	overalls
overbearing	0.323	0.833	0.861	অবাধ্য
overburden	0.115	0.755	0.546	অতিরিক্ত বোঝা
overcast	0.417	0.250	0.475	মেঘলা
overcharged	0.276	0.780	0.569	অতিরিক্ত চার্জ করা
overcoat	0.594	0.265	0.430	ওভারকোট
overcome	0.719	0.689	0.848	পরাস্ত
overcoming	0.842	0.765	0.855	কাবু
overcrowded	0.292	0.520	0.491	উপচে পড়া
overdo	0.156	0.864	0.602	অতিরিক্ত
overdose	0.110	0.820	0.468	অতিরিক্ত মাত্রা
overdrive	0.303	0.715	0.732	ওভারড্রাইভ
overdue	0.125	0.427	0.259	ওভারডিউ
overestimate	0.367	0.796	0.444	overestimate
overestimated	0.344	0.646	0.527	overestimated
overflow	0.398	0.792	0.500	উপচে পড়া
overflowing	0.439	0.796	0.635	উপচে পড়া
overgrown	0.333	0.500	0.369	overgrown
overgrowth	0.417	0.790	0.673	অতিবৃদ্ধি
overhanging	0.698	0.755	0.812	overhanging
overhaul	0.500	0.651	0.491	ওভারহল
overhead	0.344	0.700	0.538	ওভারহেড
overhear	0.650	0.365	0.580	শ্রবণ করা
overheated	0.250	0.598	0.547	অতিরিক্ত উত্তপ্ত
overjoyed	0.908	0.708	0.755	আনন্দিত
overkill	0.379	0.861	0.678	overkill
overlaid	0.620	0.610	0.676	আচ্ছাদিত
overlap	0.594	0.615	0.627	ওভারল্যাপ
overlapping	0.595	0.578	0.684	ওভারল্যাপিং
overlay	0.564	0.596	0.749	ওভারলে
overload	0.381	0.690	0.652	ওভারলোড
overlook	0.292	0.418	0.415	উপেক্ষা করা
overlord	0.750	0.755	0.932	অধিপতি
overlying	0.500	0.519	0.691	overlying
overpaid	0.429	0.670	0.585	অতিরিক্ত অর্থ প্রদান করা
overpass	0.562	0.561	0.565	ওভারপাস
overplayed	0.224	0.798	0.586	overplayed
overpower	0.448	0.859	0.783	অতিশক্তি
overpowering	0.392	0.779	0.589	অপ্রতিরোধ্য
overpriced	0.271	0.556	0.472	বেশি দাম
overprotective	0.448	0.673	0.741	অতিরিক্ত সুরক্ষামূলক
overrated	0.312	0.630	0.482	ওভাররেটেড
overreact	0.306	0.912	0.471	অতিরিক্ত প্রতিক্রিয়া
override	0.316	0.491	0.529	অগ্রাহ্য করা
overriding	0.240	0.490	0.384	ওভাররাইডিং
overrule	0.224	0.412	0.429	overrule
overrun	0.271	0.764	0.598	overrun
oversee	0.541	0.649	0.778	তদারকি
overseer	0.552	0.520	0.873	অধ্যক্ষ
overshadow	0.333	0.549	0.654	ছায়া
oversight	0.385	0.618	0.723	তদারকি
oversized	0.552	0.540	0.679	বড়
overslept	0.408	0.315	0.300	অতিরিক্ত ঘুমানো
overstate	0.281	0.779	0.635	overstate
overstock	0.344	0.592	0.589	overstock
overt	0.708	0.326	0.607	প্রকাশ্য
overtake	0.573	0.620	0.718	ওভারটেক
overtaken	0.594	0.552	0.702	অতিক্রম করা
overthemoon	0.643	0.531	0.481	চাঁদের উপরে
overthinker	0.430	0.606	0.552	overthinker
overthinking	0.408	0.761	0.525	overthinking
overthrow	0.260	0.868	0.620	উৎখাত
overtime	0.447	0.504	0.529	ওভারটাইম
overtired	0.210	0.357	0.273	অতিরিক্ত ক্লান্ত
overture	0.490	0.402	0.491	overture
overturn	0.240	0.765	0.396	উল্টানো
overview	0.615	0.380	0.539	ওভারভিউ
overweight	0.052	0.500	0.389	অতিরিক্ত ওজন
overwhelm	0.250	0.823	0.462	অভিভূত করা
overwhelmed	0.341	0.680	0.348	অভিভূত
overwhelming	0.327	0.830	0.640	অপ্রতিরোধ্য
overworked	0.133	0.670	0.387	overworked
overwrought	0.156	0.900	0.571	overwrought
overzealous	0.427	0.804	0.703	অতি উৎসাহী
owe	0.500	0.429	0.386	ঋণী
owing	0.396	0.307	0.381	বকেয়া
owl	0.520	0.270	0.321	পেঁচা
owner	0.776	0.449	0.920	মালিক
ownership	0.628	0.445	0.741	মালিকানা
ox	0.417	0.396	0.412	বলদ
oxidation	0.453	0.415	0.211	জারণ
oxide	0.354	0.377	0.298	অক্সাইড
oxygen	0.908	0.310	0.575	অক্সিজেন
oxymoron	0.427	0.481	0.398	অক্সিমোরন
oyster	0.500	0.311	0.327	ঝিনুক
ozone	0.560	0.345	0.518	ওজোন
pace	0.510	0.380	0.390	গতি
pacemaker	0.448	0.569	0.582	পেসমেকার
pacific	0.627	0.118	0.580	প্যাসিফিক
pacified	0.802	0.194	0.414	শান্ত
pacifier	0.615	0.342	0.356	শান্তকারী
pacifist	0.663	0.153	0.557	শান্তিবাদী
pacify	0.812	0.283	0.629	শান্ত করা
pacing	0.583	0.551	0.491	পেসিং
pack	0.510	0.347	0.475	প্যাক
package	0.571	0.433	0.443	প্যাকেজ
packaging	0.604	0.393	0.549	প্যাকেজিং
packer	0.520	0.480	0.537	প্যাকার
packet	0.582	0.385	0.407	প্যাকেট
pact	0.442	0.444	0.593	চুক্তি
pad	0.684	0.279	0.330	প্যাড
padded	0.606	0.212	0.371	প্যাডেড
padding	0.561	0.398	0.423	প্যাডিং
paddle	0.561	0.375	0.393	বাহা
paddle boat	0.663	0.373	0.415	পা চালিত নৌকা
paddock	0.480	0.429	0.481	প্যাডক
paddy	0.653	0.330	0.330	ধান
padlock	0.459	0.284	0.457	তালা
padre	0.684	0.407	0.647	padre
paean	0.552	0.547	0.471	পায়ান
