English Word	Valence	Arousal	Dominance	Sesotho Word
impudence	0.214	0.500	0.472	bohlasoa
impudent	0.302	0.604	0.462	hlanya
impulse	0.530	0.840	0.611	tshusumetso
impulsive	0.365	0.864	0.607	lepotlapotla
impunity	0.313	0.721	0.602	ho hloka kotlo
impure	0.260	0.560	0.208	sa hloeka
impurity	0.173	0.546	0.306	litšila
imputation	0.333	0.654	0.621	imputation
imtryingtosleep	0.438	0.363	0.385	itryingto sleep/
inability	0.150	0.529	0.250	ho se kgone
inaccessible	0.083	0.585	0.446	sa fihlellehe
inaccurate	0.135	0.450	0.250	sa nepahalang
inaction	0.323	0.225	0.325	ho se etse letho
inactivate	0.245	0.240	0.415	timatsa
inactivation	0.198	0.260	0.220	inactvation
inactive	0.271	0.167	0.159	e sa sebetseng
inactivity	0.135	0.143	0.227	ho se sebetse
inadequacy	0.286	0.500	0.297	ho se lekane
inadequate	0.122	0.450	0.223	sa lekana
inadequateness	0.240	0.529	0.316	ho se lekane
inadmissible	0.188	0.636	0.389	e sa amoheleheng
inadvertent	0.365	0.368	0.286	e sa tsebeng
inadvertently	0.302	0.541	0.549	ka ho se tsebe
inaffable	0.388	0.518	0.455	e sa bueng
inalienable	0.437	0.459	0.608	e sa khoneheng
inane	0.271	0.350	0.268	inane
inanimate	0.281	0.143	0.224	e sa pheleng
inapplicable	0.281	0.402	0.330	e sa sebetseng
inappropriate	0.135	0.542	0.353	e sa lokelang
inattention	0.208	0.433	0.188	ho se tsotelle
inaudible	0.280	0.398	0.358	e sa utloahaleng
inaugural	0.684	0.567	0.608	qalo
inaugurate	0.781	0.582	0.800	khakola
inauguration	0.847	0.712	0.769	khakolo
inborn	0.590	0.288	0.546	tsoaloa
inbound	0.531	0.388	0.538	inbound
inbred	0.397	0.520	0.473	inbred
incalculable	0.449	0.620	0.679	e sa baleheng
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	bonohe
incapable	0.156	0.529	0.155	sa kgoneng
incapacity	0.052	0.500	0.217	ho hloka matla
incarceration	0.100	0.800	0.397	ho koalla
incarnate	0.552	0.651	0.593	e nametsoeng
incase	0.580	0.196	0.365	mohlomong
incendiary	0.281	0.810	0.598	moqhobi
incense	0.698	0.275	0.328	libano
incensed	0.338	0.643	0.392	koatile
incentive	0.812	0.618	0.718	khothatso
inception	0.604	0.425	0.561	qalo
incessant	0.438	0.760	0.544	e sa feleng
incessantly	0.417	0.765	0.606	ka ho sa feleng
incest	0.073	0.853	0.491	ho kopanela liphate le mong ka motho
incestuous	0.188	0.736	0.442	motho wa leloko
inch	0.481	0.327	0.300	intshi
incidence	0.417	0.527	0.429	ketsahalo
incident	0.084	0.662	0.482	ketsahalo
incidental	0.281	0.610	0.404	iketsahaletse feela
incidentally	0.479	0.500	0.500	ka tshohanyetso
incineration	0.229	0.787	0.470	ho chesetsoa
incinerator	0.250	0.643	0.591	secheso
incipient	0.442	0.382	0.430	incipient
incision	0.240	0.663	0.558	ho seha
incisive	0.380	0.602	0.545	e hlasetseng
incite	0.449	0.736	0.642	hlohlelletsa
incitement	0.302	0.943	0.598	hlohlelletsa
inclement	0.260	0.676	0.616	inclement
inclination	0.378	0.490	0.538	tshekamelo
incline	0.490	0.423	0.345	tshetleha
inclined	0.469	0.347	0.402	tshetlehile
include	0.729	0.449	0.702	kenyeletsa
included	0.760	0.402	0.570	kenyellelitsoe
including	0.700	0.378	0.518	ho kenyeletsa
inclusion	0.774	0.404	0.712	kenyeletso
inclusive	0.604	0.420	0.564	kenyeletsang
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	incoherent
income	0.750	0.510	0.728	chelete e kenang
incoming	0.660	0.509	0.596	tse kenang
incomparable	0.625	0.577	0.670	e sa bapisoeng
incompatible	0.196	0.500	0.310	sa dumellaneng
incompetence	0.077	0.551	0.208	ho hloka tsebo
incompetent	0.133	0.566	0.239	sa tsebeng letho
incomplete	0.153	0.370	0.205	sa fellang
incompletely	0.344	0.442	0.232	e sa fellang
incompleteness	0.271	0.451	0.234	ho se phethehe
incomprehensible	0.250	0.550	0.344	sa utloahaleng
inconceivable	0.198	0.552	0.561	e sa utloahaleng
inconclusive	0.153	0.442	0.340	e sa fellang
incongruous	0.177	0.504	0.343	incongruous
inconsequential	0.250	0.480	0.345	e sa hlokahaleng
inconsiderate	0.224	0.519	0.423	sa nahanele
inconsistency	0.125	0.480	0.314	ho se tsitsane
inconsistent	0.271	0.431	0.295	e sa tsitsang
inconspicuous	0.604	0.214	0.368	e sa bonahaleng
incontinence	0.150	0.598	0.272	incontinence/
inconvenience	0.063	0.667	0.291	tsietsi
inconvenient	0.224	0.610	0.375	bososa
incorporate	0.745	0.612	0.571	kenyeletsa
incorporation	0.573	0.404	0.768	kenyeletso
incorrect	0.140	0.569	0.255	e fosahetseng
incorrigible	0.130	0.667	0.500	e sa lokang
increase	0.810	0.657	0.886	nyollelo
increased	0.684	0.660	0.773	eketseha
incredible	0.857	0.796	0.902	tse makatsang
incredulous	0.286	0.510	0.269	e sa kholoeng
increment	0.684	0.637	0.750	keketso
incriminate	0.188	0.810	0.416	qosa
incriminating	0.133	0.788	0.500	qosa
incrimination	0.152	0.865	0.545	qoso
incubation	0.461	0.490	0.397	ho qhomisa
incubator	0.510	0.435	0.405	seqhoqhoa
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	incumbent
incur	0.312	0.667	0.495	kena
incurable	0.104	0.667	0.255	e sa phekoleheng
incursion	0.552	0.830	0.719	kenyeletso
indebted	0.138	0.698	0.275	kolotang
indecency	0.135	0.670	0.491	boitlhompho
indecent	0.083	0.683	0.240	e hlokang tlhompho
indecision	0.184	0.480	0.196	ho se etse qeto
indecisive	0.271	0.420	0.190	sa tsebeng ho etsa qeto
indefensible	0.173	0.647	0.484	e hlokang boikemelo
indefinite	0.448	0.292	0.296	e sa feleng
indelible	0.490	0.337	0.591	e sa hlakoheng
indemnification	0.521	0.490	0.770	tefello
indemnify	0.449	0.548	0.613	koela
indemnity	0.470	0.607	0.692	tefello
indent	0.479	0.346	0.379	indent
indentation	0.374	0.500	0.349	indentation
indenture	0.434	0.382	0.636	indeture
independence	0.896	0.663	0.911	boikemelo
independent	0.885	0.440	0.872	ikemetseng
indescribable	0.448	0.529	0.648	e sa hlaloseheng
indestructible	0.772	0.731	0.853	e sa senyeheng
indeterminate	0.360	0.402	0.322	e sa feleng
index	0.448	0.268	0.342	index
indicate	0.594	0.350	0.676	bontsha
indicating	0.745	0.339	0.555	ho bontsha
indication	0.719	0.432	0.750	pontsho
indicative	0.510	0.510	0.591	sesupo
indicator	0.573	0.451	0.670	sesupo
indice	0.469	0.377	0.541	indice
indict	0.188	0.731	0.458	qoso
indictment	0.245	0.745	0.577	qoso
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	ho se tsotelle
indifferent	0.396	0.157	0.250	sa tsotelleng
indigenous	0.500	0.509	0.552	matsoalloa
indigent	0.156	0.481	0.223	mohloki
indigestion	0.204	0.610	0.182	tlhokeho ya dijo
indignant	0.260	0.600	0.423	koatile
indignation	0.173	0.778	0.431	khalefo
indignity	0.167	0.500	0.306	tlhompho
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	e sa tobang
indiscreet	0.177	0.587	0.342	e hlokang masene
indiscretion	0.265	0.637	0.390	ho hloka bohlale
indispensable	0.710	0.449	0.802	bohlokoahali
indisposed	0.122	0.519	0.206	bohlasoa
indistinct	0.255	0.340	0.360	e sa hlakang
indistinguishable	0.346	0.458	0.548	e sa khetholleheng
individual	0.627	0.327	0.533	motho ka mong
individuality	0.612	0.469	0.527	botho ka bomong
indivisible	0.646	0.398	0.580	e sa bonahaleng
indoctrination	0.327	0.657	0.698	ho ruteha
indolent	0.177	0.381	0.259	bohlasoa
indomitable	0.458	0.800	0.830	indomitable
indoor	0.615	0.245	0.347	ka hare
induce	0.257	0.606	0.684	hlohlelletsa
induced	0.397	0.471	0.491	hlohlelletse
inducement	0.647	0.765	0.685	hlohlelletsa
induction	0.392	0.593	0.627	ho kenya letsoho
indulge	0.833	0.716	0.669	ithabisa
indulgence	0.479	0.490	0.517	boitelo
indulgent	0.560	0.481	0.529	indulgent
industrial	0.469	0.600	0.875	indasteri
industrialist	0.562	0.633	0.843	setsebi sa indasteri
industrious	0.720	0.537	0.791	mafolofolo
industry	0.650	0.447	0.836	indasteri
ineffable	0.551	0.577	0.585	e sa bueng
ineffective	0.093	0.422	0.094	e sa sebetseng
ineffectual	0.163	0.412	0.200	e sa sebetseng
inefficiency	0.092	0.466	0.181	ho se sebetse hantle
inefficient	0.190	0.460	0.173	e sa sebetseng hantle
inelastic	0.396	0.426	0.385	inelastic
ineligible	0.143	0.377	0.457	sa tšoanelehe
inept	0.156	0.418	0.209	inept/
ineptitude	0.177	0.471	0.250	ho hloka tsebo
inequality	0.122	0.575	0.259	ho se lekane
inequitable	0.281	0.519	0.373	e hlokang toka
inert	0.323	0.180	0.319	inetse
inertia	0.344	0.288	0.322	inertia
inevitable	0.316	0.419	0.623	e ke keng ea qojoa
inexact	0.153	0.459	0.170	e sa nepahalang
inexcusable	0.271	0.582	0.546	e hlokang boikemelo
inexhaustible	0.602	0.541	0.643	e sa feleng
inexpensive	0.694	0.414	0.260	theko e tlase
inexperience	0.208	0.614	0.151	ho hloka boiphihlelo
inexperienced	0.281	0.473	0.231	ya hlokang boiphihlelo
inexplicable	0.224	0.635	0.443	e sa hlaloseheng
inexpressible	0.198	0.608	0.364	e sa hlaloseheng
infallibility	0.583	0.663	0.764	ho se fose
infallible	0.776	0.687	0.809	sa fosehe
infamous	0.146	0.580	0.472	e sa tumang
infamy	0.177	0.676	0.421	botumo bo bobe
infancy	0.750	0.399	0.370	boseeng
infant	0.802	0.431	0.328	lesea
infanticide	0.167	0.856	0.443	polao ea masea
infantile	0.604	0.382	0.259	lesea
infantry	0.531	0.684	0.791	sesole sa masea
infarct	0.080	0.846	0.386	infarct
infatuated	0.729	0.764	0.417	hlabehile maikutlo
infatuation	0.844	0.745	0.530	ho nkeha maikutlo
infeasible	0.245	0.472	0.236	e sa kgoneheng
infect	0.102	0.777	0.424	tšoaetsa
infection	0.083	0.735	0.407	tšoaetso
infectious	0.142	0.760	0.422	tshoaetsanoa
infer	0.449	0.490	0.453	infer
inference	0.359	0.479	0.398	kakanyo
inferential	0.426	0.451	0.455	inferential
inferior	0.260	0.254	0.106	tlase
inferiority	0.177	0.430	0.205	maemo a tlase
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	inferno
infertile	0.274	0.458	0.255	nyopa
infertility	0.170	0.664	0.328	ho hloka thari
infestation	0.256	0.776	0.527	tlhaselo
infidel	0.177	0.740	0.404	motho ea sa lumeleng
infidelity	0.062	0.777	0.392	ho hloka botshepehi
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	kenelletse
infiltration	0.265	0.792	0.536	ho kenella
infinite	0.724	0.583	0.735	e sa feleng
infinitely	0.688	0.643	0.829	ka ho sa feleng
infinitesimal	0.388	0.472	0.496	e sa lekanngoeng
infinity	0.516	0.459	0.805	bosafeleng
infirm	0.115	0.521	0.210	holofetse
infirmary	0.500	0.438	0.517	sepetlele
infirmity	0.094	0.482	0.252	bofokodi
inflammation	0.146	0.765	0.423	ho ruruha
inflammatory	0.177	0.642	0.404	ho ruruha
inflatable	0.510	0.510	0.400	e futhumalang moea
inflate	0.305	0.569	0.462	phopholetsa
inflated	0.303	0.431	0.617	tlhohlelletse
inflation	0.219	0.792	0.508	inflation
inflection	0.385	0.635	0.377	inflection
inflict	0.167	0.760	0.609	fetsa
infliction	0.302	0.722	0.571	tsietsi
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	tshusumetso
influential	0.899	0.688	0.944	e nang le tšusumetso
influenza	0.271	0.718	0.321	sefuba
influx	0.622	0.635	0.575	tšubuhlellano
info	0.750	0.330	0.642	lintlha
infomercial	0.427	0.462	0.555	tsa infomercial
inform	0.723	0.582	0.679	tsebisa
informal	0.480	0.398	0.441	e seng molaong
informant	0.604	0.612	0.719	motsebi
information	0.765	0.370	0.711	tlhahisoleseding
informative	0.812	0.419	0.741	tse rutang
informed	0.543	0.298	0.617	tsebisitsoe
informer	0.521	0.578	0.580	motsebi
infraction	0.245	0.660	0.471	tlolo ya molao
infrared	0.469	0.588	0.526	infrared
infrastructure	0.604	0.460	0.694	mafaratlhatlha
infrequent	0.312	0.377	0.192	e sa tloaelehang
infrequently	0.204	0.250	0.327	kgafetsa
infringement	0.153	0.800	0.481	tlolo ya molao
infuriate	0.102	0.934	0.596	halefisa
infuriated	0.073	0.930	0.510	koatile
infuriates	0.135	0.913	0.627	halefisa
infuriating	0.139	0.870	0.509	ho halefisa
infuse	0.380	0.705	0.589	kenya
infused	0.385	0.473	0.546	kenyeletsoe
infuser	0.469	0.433	0.536	moketsi
infusion	0.583	0.365	0.453	tšeloa
ingenious	0.760	0.690	0.891	bohlale
ingenuity	0.708	0.590	0.868	bohlale
ingest	0.510	0.559	0.473	ingest
ingestion	0.429	0.612	0.512	ho koenya
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	metseng ka metso
ingrate	0.235	0.606	0.327	ngrate
ingredient	0.792	0.373	0.451	motsoako
ingress	0.601	0.366	0.736	ho kena
inhabit	0.656	0.378	0.556	lula
inhabitant	0.604	0.356	0.519	moahi
inhabited	0.667	0.361	0.510	ahile
inhabiting	0.458	0.440	0.598	ho dula
inhalation	0.510	0.613	0.464	ho hema
inhale	0.427	0.340	0.492	ho hema
inhaler	0.408	0.500	0.349	inhaler
inherent	0.562	0.439	0.480	tlhaho
inherit	0.745	0.546	0.694	lefa
inheritance	0.900	0.565	0.798	lefa
inhibit	0.167	0.479	0.447	thibela
inhibition	0.265	0.392	0.534	thibelo
inhibitor	0.281	0.450	0.471	inhibitor
inhospitable	0.265	0.531	0.395	hlokang kamohelo ya baeti
inhuman	0.107	0.660	0.492	e hlokang botho
inhumane	0.104	0.587	0.402	e hlokang botho
inhumanity	0.143	0.540	0.405	ho hloka botho
inimaginable	0.542	0.636	0.534	e ka nahanoang
inimical	0.260	0.823	0.556	e nyatsehang
inimitable	0.571	0.413	0.790	inimitable
iniquity	0.219	0.567	0.425	bokgopo
initial	0.583	0.314	0.539	qalo
initiate	0.719	0.480	0.553	qala
initiated	0.760	0.490	0.650	qadile
initiation	0.698	0.529	0.527	qalo
initiative	0.833	0.615	0.768	boikitlaetso
inject	0.406	0.735	0.596	kenya
injection	0.281	0.741	0.518	ente
injunction	0.281	0.422	0.519	taelo
injure	0.177	0.710	0.364	ntša kotsi
injured	0.083	0.680	0.302	lemala
injuring	0.073	0.790	0.245	ho lematsa
injurious	0.177	0.759	0.366	e kotsi
injury	0.049	0.769	0.287	kotsi
injustice	0.082	0.755	0.444	ho hloka toka
ink	0.471	0.408	0.235	enke
inkling	0.448	0.551	0.570	inkling
inland	0.510	0.417	0.423	ka hare ho naha
inlay	0.406	0.531	0.565	inlay
inlet	0.646	0.378	0.466	ho kena
inmate	0.235	0.663	0.398	motšoaruoa
inn	0.660	0.284	0.475	hotele e nyane
innards	0.302	0.480	0.400	ka hare
innate	0.490	0.400	0.521	tlhaho
inner	0.551	0.216	0.443	ka hare
innermost	0.583	0.500	0.510	hare-hare
innerpeace	0.714	0.318	0.551	khotsofalo
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	li-innings
innkeeper	0.578	0.224	0.472	mohlokomedi wa ntlo ya baeti
innocence	0.802	0.260	0.307	ho hloka molato
innocent	0.729	0.206	0.340	hlokang molato
innocently	0.776	0.250	0.302	ka ho hloka molato
innocuous	0.510	0.321	0.172	e hlokang molato
innovate	0.898	0.872	0.750	qapa
innovation	0.949	0.680	0.890	popontshwa
innovative	0.880	0.640	0.830	boiqapelo
innuendo	0.467	0.670	0.463	innuendo
innumerable	0.667	0.445	0.704	e se nang palo
inoculation	0.333	0.570	0.598	ente
inoperable	0.184	0.422	0.304	e sa sebetseng
inoperative	0.138	0.425	0.273	e sa sebetseng
inordinate	0.163	0.630	0.330	e feteletseng
inorganic	0.385	0.345	0.282	inorganic
input	0.643	0.337	0.527	kenya letsoho
inquest	0.458	0.569	0.721	patlisiso
inquire	0.583	0.519	0.363	botsa
inquirer	0.573	0.598	0.776	mmotsi
inquiring	0.479	0.510	0.500	ho botsa
inquiry	0.541	0.420	0.536	patlisiso
inquisitive	0.301	0.637	0.615	botlisisa
inquisitor	0.385	0.873	0.642	motlatsi
insane	0.062	0.670	0.265	bohlanya
insanity	0.098	0.847	0.337	bohlanya
insatiable	0.375	0.656	0.558	sa kgotsofale
inscription	0.592	0.422	0.542	mongolo
inscrutable	0.459	0.541	0.613	e sa rutehang
insect	0.276	0.633	0.242	kokoanyana
insecticide	0.188	0.598	0.430	sebolaya dikokoanyana
insecure	0.114	0.538	0.132	ho se sireletsehe
insecurity	0.094	0.647	0.350	ho se sireletsehe
insemination	0.542	0.644	0.622	ho qhadisa
insensitive	0.219	0.471	0.302	e hlokang kutlo
inseparable	0.700	0.520	0.571	e sa arohaneng
insert	0.481	0.552	0.519	kenya
inserted	0.479	0.402	0.476	kentse
insertion	0.521	0.520	0.565	ho kenya
inside	0.612	0.404	0.472	ka hare
insider	0.625	0.562	0.750	ka hare
insidious	0.146	0.622	0.480	bolotsana
insight	0.613	0.363	0.649	temohisiso
insightful	0.664	0.691	0.713	e nang le temohisiso
insignia	0.665	0.282	0.685	insignia
insignificance	0.250	0.216	0.222	ho hloka bohlokoa
insignificant	0.083	0.306	0.114	sa bohlokoa
insinuate	0.292	0.635	0.413	qaqisa
insipid	0.214	0.250	0.241	insipid
insist	0.635	0.651	0.688	tsitlella
insistence	0.418	0.704	0.645	tsitlella
insistent	0.552	0.635	0.701	tsitlella
insists	0.490	0.587	0.610	tsitlella
insolence	0.115	0.731	0.402	nyeliso
insolent	0.112	0.663	0.343	monyefodi
insoluble	0.439	0.290	0.414	e sa qhibidihang
insolvency	0.323	0.431	0.300	ho hloka chelete
insolvent	0.230	0.481	0.318	insolvent
insomnia	0.198	0.611	0.373	lefu la ho hlobaela
insomniac	0.231	0.367	0.329	motho ea hlokang boroko
inspect	0.479	0.603	0.793	hlahloba
inspection	0.459	0.630	0.718	tlhahlobo
inspector	0.418	0.580	0.852	mohlahlobi
inspiration	0.938	0.600	0.779	pululelo
inspirational	0.927	0.720	0.810	e khothatsang
inspire	0.918	0.627	0.759	susumetsa
inspired	0.967	0.702	0.736	bululetsoeng
instability	0.177	0.760	0.353	ho hloka botsitso
install	0.630	0.583	0.736	kenya
installation	0.656	0.469	0.759	ho kenya
installment	0.619	0.396	0.483	sekhetho
instance	0.547	0.450	0.558	mohlala
instant	0.766	0.454	0.554	hanghang
instantaneous	0.750	0.500	0.585	hanghang
instantaneously	0.656	0.640	0.600	hanghang
instigate	0.278	0.765	0.642	hlohlelletsa
instigation	0.323	0.769	0.648	hlohlelletsa
instill	0.562	0.490	0.618	kenya
instinct	0.771	0.602	0.642	tlhaho ya tlhaho
instinctive	0.752	0.575	0.694	tlhaho
institute	0.604	0.480	0.807	setsi
institution	0.580	0.311	0.790	setheo
instruct	0.729	0.490	0.833	laela
instructed	0.740	0.388	0.722	laeloa
instruction	0.656	0.434	0.736	taelo
instructional	0.698	0.500	0.773	tse rutang
instructions	0.582	0.302	0.556	ditaelo
instructive	0.583	0.420	0.643	rutang
instructor	0.771	0.490	0.782	morupelli
instrument	0.562	0.537	0.655	sesebedisoa
instrumental	0.740	0.472	0.647	sesebedisoa
instrumentalist	0.656	0.540	0.740	moletsi oa liletsa
instrumentality	0.637	0.510	0.618	sesebedisoa
insubordination	0.281	0.775	0.634	ho hloka kutlo
insufferable	0.220	0.784	0.291	e hlokang thuso
insufficiency	0.115	0.431	0.210	ho se lekane
insufficient	0.188	0.380	0.093	e sa lekaneng
insufficiently	0.147	0.509	0.198	e sa lekaneng
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	insulate
insulated	0.208	0.265	0.304	insulated
insulation	0.245	0.327	0.264	ho kenya letsoho
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	nyefolo
insulting	0.094	0.840	0.412	rohaka
insurance	0.714	0.308	0.825	inshorense
insure	0.700	0.415	0.698	inshorense
insurgent	0.235	0.735	0.660	mofetoheli
insurmountable	0.620	0.627	0.737	e sa hloleheng
insurrection	0.229	0.706	0.582	moferefere
intact	0.716	0.212	0.602	e tiile
intake	0.604	0.527	0.442	ho nkela
intangible	0.525	0.480	0.473	tse sa bonahaleng
integer	0.573	0.327	0.595	palo yohle
integral	0.590	0.337	0.615	bohlokoa
integrate	0.729	0.390	0.700	kopanya
integration	0.771	0.480	0.737	kopanyo
integrity	0.865	0.413	0.848	botshepehi
intellect	0.844	0.418	0.870	kelello
intellectual	0.906	0.455	0.845	hlalefo
intelligence	0.833	0.587	0.885	bohlale
intelligent	0.917	0.541	0.868	bohlale
intelligibility	0.740	0.481	0.689	kutloisiso
intelligible	0.635	0.480	0.691	e utlwahalang
intend	0.562	0.520	0.519	rera
intended	0.406	0.542	0.587	reriloeng
intending	0.510	0.567	0.597	maikemisetso
intense	0.592	0.774	0.679	e matla
intensely	0.694	0.846	0.750	ka matla
intensify	0.604	0.870	0.737	matlafatsa
intensity	0.622	0.930	0.952	matla
intensive	0.570	0.842	0.776	e matla
intent	0.550	0.481	0.500	maikemisetso
intention	0.531	0.480	0.636	maikemisetso
intentional	0.650	0.615	0.750	ka boomo
intentionally	0.450	0.676	0.696	ka boomo
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	sebelisana
interaction	0.646	0.735	0.750	tshebeletsano
interactive	0.727	0.811	0.770	phelisana
intercede	0.582	0.577	0.630	buella
intercept	0.221	0.660	0.676	khaoletsa
interception	0.327	0.673	0.643	khaollo
intercession	0.503	0.486	0.598	poelano
interchange	0.615	0.527	0.565	fapanyetsana
interchangeable	0.615	0.459	0.526	tse fapanyetsanoang
interchanged	0.396	0.472	0.434	fapanyetsana
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	thobalano
interdependence	0.608	0.618	0.639	tshetlehano
interdependent	0.410	0.482	0.598	tshetlehang
interdiction	0.337	0.500	0.585	thibelo
interest	0.780	0.667	0.618	thahasello
interested	0.750	0.529	0.725	thahasella
interesting	0.927	0.726	0.731	thahasellisang
interface	0.643	0.357	0.600	segokahanyi
interfere	0.323	0.714	0.471	sitisa
interference	0.396	0.736	0.357	tšitiso
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	nakoana
interior	0.618	0.157	0.462	hare-hare
interject	0.333	0.648	0.658	khanyetsa
interlocutory	0.490	0.500	0.527	interlocutory
interlude	0.470	0.417	0.377	kena lipakeng
intermediary	0.427	0.510	0.643	mokena-lipakeng
intermediate	0.480	0.368	0.400	mahareng
interment	0.235	0.608	0.346	qeaqea
interminable	0.327	0.481	0.561	interminable
intermission	0.490	0.360	0.402	khefutso
intermittent	0.337	0.565	0.436	intermittent
intern	0.459	0.460	0.392	intern
internal	0.439	0.349	0.423	ka hare
internally	0.615	0.400	0.616	ka hare
international	0.800	0.519	0.702	machaba
internet	0.760	0.462	0.755	inthanete
internship	0.590	0.510	0.482	boithuto
interoffice	0.439	0.375	0.556	interoffice
interpolate	0.460	0.490	0.569	kenyeletsa
interpolation	0.419	0.506	0.528	kenyeletso
interpret	0.646	0.625	0.673	toloka
interpretation	0.677	0.594	0.620	tlhaloso
interpreter	0.708	0.461	0.596	mofetoleli
interpretive	0.531	0.549	0.595	ya tolokang
interrelated	0.615	0.469	0.592	amanang
interrogate	0.323	0.808	0.680	botsisisa
interrogation	0.302	0.827	0.657	lipotso
interrupt	0.210	0.635	0.509	sitisa
interrupted	0.281	0.559	0.333	sitisoa
interrupting	0.146	0.593	0.509	sitisa
interruption	0.184	0.632	0.425	tshitiso
interrupts	0.204	0.545	0.389	sitisa
intersect	0.521	0.510	0.480	pharallana
intersection	0.344	0.541	0.658	mateano
interstate	0.520	0.443	0.600	interstate
interstellar	0.708	0.702	0.622	interstellar
interstitial	0.333	0.471	0.534	interstitial
interval	0.510	0.284	0.400	karohano
intervene	0.520	0.677	0.768	kena lipakeng
intervening	0.398	0.627	0.442	kena lipakeng
intervention	0.388	0.696	0.689	ho kena lipakeng
interview	0.573	0.770	0.619	puisano
interviewer	0.552	0.736	0.816	moqoqodi
interworking	0.552	0.587	0.691	tshebedisano
intestate	0.459	0.467	0.415	intestate
intestinal	0.357	0.531	0.370	mala
intestine	0.343	0.450	0.380	mala
intestines	0.292	0.547	0.398	mala
intimacy	0.857	0.802	0.558	kamano e haufi-ufi
intimate	0.724	0.598	0.393	haufi-ufi
intimately	0.806	0.573	0.590	haufi-ufi
intimation	0.406	0.673	0.500	tsebiso
intimidate	0.210	0.804	0.632	tshosa
intimidated	0.177	0.663	0.208	tshohile
intimidating	0.229	0.790	0.708	tshosa
intimidation	0.177	0.791	0.644	tshoso
intolerable	0.146	0.660	0.439	e sa mamelleheng
intolerance	0.052	0.704	0.520	ho hloka mamello
intolerant	0.135	0.676	0.509	e hlokang mamello
intonation	0.615	0.442	0.598	puo ea lentsoe
intoxicated	0.079	0.824	0.246	tahiloe
intoxicating	0.224	0.760	0.464	tahang
intoxication	0.323	0.710	0.400	botawa
intracranial	0.281	0.602	0.553	intracranial
intractable	0.154	0.694	0.302	e sa laoleheng
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	e kenang methapong
intrepid	0.753	0.696	0.637	sebete
intricate	0.559	0.704	0.500	rarahane
intrigue	0.362	0.830	0.327	bolotsana
intriguing	0.422	0.713	0.462	e kgahlang
intrinsic	0.406	0.471	0.526	ka hare
intrinsically	0.459	0.382	0.538	ka hare ho naha
intro	0.510	0.331	0.657	selelekela
introduce	0.592	0.559	0.648	tsebisa
introduction	0.612	0.413	0.640	selelekela
introductory	0.635	0.368	0.593	selelekela
introspection	0.603	0.337	0.575	boitlhaloso
introspective	0.552	0.360	0.471	boitlhaloso
intrude	0.058	0.735	0.480	kena-kenana
intruder	0.146	0.740	0.324	motho ya keneletseng
intrusion	0.293	0.641	0.670	ho kenella
intrusive	0.461	0.607	0.538	e kgenneng
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	intuition
intuitive	0.771	0.573	0.690	e utlwahalang
intuitively	0.670	0.561	0.648	intuitively
inundation	0.177	0.780	0.455	thoholetso
invade	0.408	0.892	0.714	hlasela
invader	0.200	0.827	0.618	mohlasedi
invalid	0.180	0.330	0.255	fosahetse
invalidate	0.315	0.480	0.397	fodisa
invalidation	0.181	0.490	0.278	ho se sebetse
invalidity	0.186	0.394	0.158	ho hloka matla
invaluable	0.740	0.500	0.745	bohlokoa haholo
invariably	0.458	0.365	0.550	ka ho sa feleng
invasion	0.271	0.843	0.808	tlhaselo
invasive	0.194	0.730	0.598	e hlaselang
invent	0.719	0.689	0.833	qapa
invention	0.714	0.577	0.811	qapa
inventive	0.780	0.627	0.721	boiqapelo
inventor	0.781	0.667	0.847	moqapi
inventory	0.594	0.463	0.490	lethathamo la lintho
inverse	0.459	0.337	0.319	e fapaneng
inversely	0.286	0.418	0.351	ka tsela e fapaneng
inversion	0.602	0.630	0.772	phetohelo
invert	0.510	0.585	0.706	thinyetsa
inverted	0.310	0.471	0.357	khelohile
invest	0.650	0.663	0.682	tsetela
investigate	0.640	0.500	0.781	batlisisa
investigation	0.531	0.592	0.820	lipatlisiso
investigative	0.562	0.600	0.704	lipatlisiso
investigator	0.615	0.509	0.779	mofuputsi
investment	0.720	0.592	0.745	letsete
