English Word	Valence	Arousal	Dominance	Armenian Word
nominate	0.615	0.471	0.669	առաջադրել
nomination	0.663	0.637	0.696	անվանակարգում
nominee	0.662	0.625	0.765	թեկնածու
nonce	0.422	0.370	0.377	ոչ մի անգամ
nonchalant	0.312	0.314	0.366	անվրդով
noncompliance	0.112	0.598	0.259	անհամապատասխանություն
nondescript	0.490	0.434	0.348	աննկարագրելի
nonexistent	0.208	0.429	0.149	գոյություն չունեցող
nonfat	0.604	0.260	0.340	ոչ յուղոտ
nonfiction	0.426	0.315	0.431	ոչ գեղարվեստական գրականություն
nonpayment	0.229	0.510	0.298	չվճարում
nonresident	0.250	0.340	0.302	ոչ ռեզիդենտ
nonsense	0.214	0.531	0.155	անհեթեթություն
nonsensical	0.173	0.268	0.193	անիմաստ
nonviolent	0.640	0.287	0.346	ոչ բռնի
noob	0.417	0.430	0.267	նուբ, Նորեկ, խամ
noodle	0.633	0.216	0.225	արիշտա
nook	0.480	0.321	0.296	անկյուն
noon	0.531	0.343	0.518	կեսօր
noose	0.356	0.300	0.330	հանգույց
nopoint	0.276	0.324	0.314	ոչ մի կետ
noregrets	0.469	0.476	0.426	չեմ ափսոսում
norm	0.500	0.245	0.527	նորմ
normal	0.740	0.127	0.380	նորմալ
normalcy	0.805	0.151	0.620	նորմալություն
normality	0.781	0.089	0.444	նորմալություն
north	0.531	0.255	0.450	հյուսիս
northbound	0.604	0.454	0.491	դեպի հյուսիս
northeast	0.562	0.260	0.375	հյուսիս-արևելք
northern	0.570	0.340	0.472	Հյուսիսային
northwest	0.604	0.345	0.451	Հյուսիս - արեւմուտք
northwestern	0.479	0.306	0.462	հյուսիսարևմտյան
noschool	0.490	0.400	0.380	նախադպրոցական
nose	0.582	0.270	0.245	քիթ
nosebleed	0.153	0.776	0.361	քթի արյունահոսություն
nosey	0.276	0.655	0.223	քթոտ
nosnow	0.392	0.394	0.366	nosnow
nostalgia	0.417	0.337	0.339	նոստալգիա
nostalgic	0.458	0.351	0.184	նոստալգիկ
nostress	0.531	0.404	0.415	նոսթրես
nostril	0.396	0.404	0.316	քթածակ
nosun	0.388	0.380	0.351	նոսուն
nosy	0.292	0.558	0.433	քթոտ
not negative	0.622	0.270	0.444	ոչ բացասական
not positive	0.051	0.370	0.236	ոչ դրական
notable	0.760	0.450	0.696	նշանավոր
notables	0.594	0.608	0.755	նշանավորներ
notably	0.792	0.533	0.689	հատկապես
notamorningperson	0.469	0.578	0.440	notamorning անձ
notary	0.541	0.451	0.676	նոտար
notation	0.635	0.380	0.558	նշում
notch	0.459	0.361	0.358	խազ
notched	0.480	0.530	0.356	խազված
note	0.594	0.163	0.416	Նշում
notebook	0.449	0.167	0.442	տետր
noted	0.615	0.382	0.464	նշել է
noteworthy	0.704	0.481	0.759	ուշագրավ
nothappy	0.112	0.320	0.170	դժգոհ
nothingbetter	0.635	0.390	0.543	ոչինչ ավելի լավ
nothingness	0.204	0.080	0.161	ոչնչություն
notice	0.646	0.408	0.491	ծանուցում
noticeable	0.890	0.562	0.750	նկատելի
notification	0.604	0.461	0.671	ծանուցում
notify	0.643	0.471	0.573	տեղեկացնել
notion	0.612	0.284	0.667	հասկացություն
notional	0.520	0.288	0.500	մտավոր
notoriety	0.552	0.633	0.769	հայտնիություն
notorious	0.366	0.582	0.609	տխրահռչակ
notready	0.133	0.400	0.196	պատրաստ չէ
notwithstanding	0.367	0.316	0.433	չնայած
nought	0.312	0.098	0.116	ոչինչ
noun	0.531	0.230	0.477	գոյական
nourish	0.878	0.460	0.639	սնուցել
nourishment	0.786	0.290	0.631	սնուցում
nouveau	0.633	0.438	0.432	nouveau
novel	0.702	0.352	0.439	վեպ
novelist	0.340	0.343	0.529	արձակագիր
novelty	0.673	0.521	0.740	նորություն
novice	0.429	0.346	0.180	սկսնակ
nowadays	0.680	0.346	0.400	մեր օրերում
nowork	0.312	0.264	0.309	ոչ մի աշխատանք
noworries	0.630	0.402	0.500	ոչ մի անհանգստություն
noxious	0.177	0.585	0.379	վնասակար
nozzle	0.438	0.330	0.287	վարդակ
nuance	0.408	0.282	0.411	նրբերանգ
nuances	0.490	0.375	0.527	նրբերանգներ
nuclear	0.219	0.856	0.781	միջուկային
nucleus	0.529	0.296	0.667	միջուկ
nude	0.490	0.915	0.200	մերկ
nudge	0.448	0.500	0.509	հրել
nudie	0.500	0.529	0.373	մերկ
nudist	0.440	0.796	0.483	նուդիստ
nudity	0.438	0.853	0.415	մերկություն
nugget	0.602	0.340	0.348	բնակտոր
nuisance	0.198	0.817	0.227	անհանգստություն
nuke	0.125	0.905	0.873	միջուկային
nul	0.337	0.358	0.264	nul
null	0.253	0.147	0.152	դատարկ
nullify	0.255	0.373	0.395	չեղյալ համարել
numb	0.108	0.420	0.352	թմրած
number	0.406	0.231	0.471	թիվ
numbering	0.510	0.363	0.482	համարակալում
numbers	0.406	0.241	0.440	թվեր
numbness	0.306	0.398	0.265	թմրություն
numbskull	0.300	0.472	0.284	անզգայացում
numeral	0.582	0.254	0.382	թվանշան
numerator	0.490	0.317	0.526	համարիչ
numerical	0.479	0.322	0.517	թվային
numerically	0.510	0.337	0.500	թվային առումով
numerous	0.622	0.462	0.609	բազմաթիվ
nun	0.500	0.150	0.406	միանձնուհի
nunchucks	0.337	0.580	0.526	nunchucks
nunnery	0.653	0.236	0.473	կուսանոց
nuptials	0.771	0.588	0.571	հարսանիքներ
nurse	0.635	0.578	0.521	բուժքույր
nursemaid	0.615	0.431	0.436	բուժքույր
nursery	0.894	0.406	0.389	տնկարան
nursing	0.552	0.549	0.653	բուժքույրական
nurture	0.745	0.378	0.657	դաստիարակել
nut	0.365	0.310	0.250	ընկույզ
nutcase	0.286	0.775	0.259	ընկույզի պատյան
nutcracker	0.635	0.378	0.522	ընկույզահատիկ
nuthouse	0.347	0.519	0.434	nuthouse
nutmeg	0.635	0.302	0.350	մշկընկույզ
nutrition	0.885	0.420	0.579	սնուցում
nutritional	0.812	0.406	0.676	սննդային
nutritious	0.833	0.337	0.655	սննդարար
nutritive	0.875	0.422	0.667	սննդարար
nuts	0.594	0.250	0.291	ընկույզներ
nutshell	0.458	0.407	0.310	ընկույզ
nutty	0.444	0.317	0.271	ընկույզ
nylon	0.490	0.304	0.295	նեյլոն
nylong	0.439	0.248	0.351	նեյլոնգ
nylons	0.556	0.379	0.320	նեյլոններ
nymph	0.542	0.529	0.472	նիմֆա
nymphomaniac	0.398	0.894	0.536	նիմֆոմանուհի
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	կաղնու
oar	0.469	0.392	0.316	թիակ
oasis	0.796	0.283	0.429	օազիս
oat	0.622	0.170	0.298	վարսակ
oath	0.543	0.615	0.824	երդում
oatmeal	0.592	0.192	0.241	վարսակի ալյուր
obedience	0.765	0.287	0.536	հնազանդություն
obedient	0.800	0.179	0.518	հնազանդ
obediently	0.802	0.304	0.577	հնազանդորեն
obelisk	0.604	0.408	0.596	obelisk
obese	0.133	0.427	0.250	գեր
obesity	0.215	0.370	0.328	գիրություն
obey	0.677	0.433	0.533	ենթարկվել
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	մահախոսական
object	0.531	0.356	0.375	օբյեկտ
objection	0.347	0.592	0.709	առարկություն
objectionable	0.459	0.382	0.558	անընդունելի
objective	0.724	0.337	0.736	օբյեկտիվ
objectivity	0.765	0.431	0.711	օբյեկտիվություն
obligation	0.222	0.596	0.718	պարտավորություն
obligatory	0.337	0.571	0.780	պարտադիր
oblige	0.281	0.770	0.614	պարտավորեցնել
obliged	0.327	0.680	0.411	պարտավորված
obliging	0.740	0.402	0.545	պարտավորեցնող
obligor	0.302	0.600	0.360	պարտապան
oblique	0.438	0.347	0.455	թեք
obliterate	0.250	0.539	0.569	ջնջել
obliterated	0.240	0.469	0.344	ջնջված
obliteration	0.177	0.622	0.397	ոչնչացում
oblivion	0.153	0.330	0.282	մոռացություն
oblivious	0.229	0.388	0.355	աննկատ
oblong	0.561	0.455	0.370	երկարավուն
obnoxious	0.088	0.602	0.256	զզվելի
oboe	0.510	0.340	0.392	հոբոյ
obscene	0.050	0.745	0.348	անպարկեշտ
obscenity	0.083	0.843	0.418	անպարկեշտություն
obscure	0.370	0.551	0.278	անհասկանալի
obscured	0.115	0.356	0.298	մթագնել
obscurity	0.208	0.392	0.380	անհայտություն
observance	0.531	0.315	0.632	պահպանում
observant	0.740	0.422	0.708	ուշադիր
observation	0.633	0.433	0.667	դիտարկում
observatory	0.643	0.324	0.731	աստղադիտարան
observe	0.771	0.390	0.360	դիտարկել
observer	0.663	0.363	0.603	դիտորդ
observing	0.583	0.400	0.685	դիտարկելով
obsess	0.112	0.846	0.509	մոլուցք
obsessed	0.219	0.840	0.439	տարված
obsessing	0.173	0.773	0.698	մոլուցքը
obsession	0.229	0.847	0.571	մոլուցք
obsessive	0.219	0.823	0.480	մոլուցքային
obsolescence	0.250	0.431	0.377	հնացում
obsolete	0.337	0.321	0.250	հնացած
obstacle	0.204	0.708	0.336	խոչընդոտ
obstetrician	0.521	0.636	0.604	մանկաբարձ
obstetrics	0.530	0.582	0.564	մանկաբարձություն
obstinate	0.146	0.696	0.562	համառ
obstruct	0.115	0.660	0.458	խոչընդոտել
obstruction	0.125	0.742	0.491	խոչընդոտում
obstructive	0.204	0.650	0.613	խանգարող
obtain	0.760	0.438	0.731	ձեռք բերել
obtainable	0.677	0.327	0.702	ձեռք բերելի
obtuse	0.281	0.460	0.345	բութ
obverse	0.470	0.394	0.464	դիմերեսը
obvious	0.625	0.336	0.585	ակնհայտ
ocarina	0.541	0.392	0.366	օկարինա
occasion	0.700	0.451	0.398	առիթ
occasional	0.490	0.298	0.387	պատահական
occasionally	0.538	0.240	0.264	երբեմն-երբեմն
occipital	0.398	0.408	0.518	occipital
occlusion	0.306	0.439	0.442	խցանումը
occult	0.292	0.382	0.406	օկուլտ
occupancy	0.625	0.471	0.721	բնակեցվածություն
occupant	0.500	0.417	0.483	բնակիչ
occupation	0.562	0.470	0.692	զբաղմունք
occupational	0.583	0.469	0.596	մասնագիտական
occupied	0.337	0.546	0.441	զբաղեցրած
occupier	0.427	0.438	0.600	օկուպանտ
occupy	0.396	0.520	0.589	զբաղեցնել
occupying	0.573	0.462	0.519	զբաղեցնելով
occur	0.451	0.561	0.510	առաջանալ
occurrence	0.573	0.690	0.541	առաջացում
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	օվկիանոս
oceanic	0.740	0.317	0.632	օվկիանոսային
octagon	0.602	0.349	0.462	ութանկյուն
octave	0.438	0.380	0.482	օկտավա
octopus	0.713	0.378	0.411	ութոտնուկ
ocular	0.418	0.370	0.400	աչքի
odd	0.265	0.337	0.302	տարօրինակ
oddball	0.316	0.360	0.357	տարօրինակ գնդակ
oddity	0.312	0.557	0.386	տարօրինակություն
odds	0.500	0.472	0.680	հավանականություն
ode	0.604	0.269	0.519	ձոն
odious	0.235	0.708	0.235	գարշելի
odometer	0.367	0.470	0.388	վազաչափ
odor	0.337	0.363	0.404	հոտը
odyssey	0.622	0.692	0.710	ոդիսական
oedipal	0.312	0.575	0.509	էդիպալ
oestrogen	0.521	0.608	0.561	էստրոգեն
oeuvre	0.653	0.484	0.598	ստեղծագործություն
offal	0.302	0.470	0.302	ենթամթերք
offence	0.312	0.798	0.446	վիրավորանք
offend	0.094	0.804	0.333	վիրավորել
offended	0.188	0.690	0.337	վիրավորված
offender	0.104	0.851	0.537	իրավախախտ
offense	0.230	0.765	0.510	վիրավորանք
offensive	0.135	0.882	0.600	վիրավորական
offer	0.750	0.745	0.596	առաջարկ
offered	0.582	0.490	0.544	առաջարկվել է
offering	0.688	0.462	0.585	առաջարկություն
offhand	0.388	0.500	0.368	անհասկանալի
office	0.427	0.302	0.509	գրասենյակ
officer	0.542	0.430	0.877	սպա
offices	0.469	0.312	0.534	գրասենյակներ
official	0.646	0.565	0.833	պաշտոնական
officiate	0.688	0.453	0.704	պաշտոնավարել
offing	0.490	0.412	0.447	զեղում
offload	0.479	0.444	0.525	բեռնաթափել
offset	0.719	0.394	0.704	օֆսեթ
offshoot	0.517	0.330	0.361	ճյուղ
offshore	0.417	0.484	0.441	օֆշորային
offside	0.323	0.519	0.443	խաղից դուրս
offspring	0.656	0.435	0.600	սերունդ
oft	0.500	0.308	0.474	հաճախ
oftentimes	0.571	0.500	0.482	հաճախակի
ogre	0.135	0.698	0.510	օգր
ohdear	0.458	0.519	0.442	ՕՀ սիրելիս
ohgod	0.500	0.557	0.439	Օ Աստված
ohno	0.396	0.475	0.380	Օ ոչ
ohshit	0.230	0.594	0.343	ախշիտ
oil	0.521	0.278	0.306	յուղ
oils	0.459	0.229	0.391	յուղեր
oily	0.276	0.533	0.385	յուղոտ
oink	0.500	0.450	0.289	օնիկ
ointment	0.438	0.271	0.398	քսուք
okra	0.469	0.400	0.362	բամիան
olden	0.284	0.213	0.425	հին
oldie	0.363	0.363	0.342	ծերուկ
oldies	0.438	0.300	0.412	ծերեր
olfactory	0.602	0.409	0.452	հոտառություն
oligarchy	0.327	0.567	0.741	օլիգարխիա
olive	0.571	0.231	0.406	ձիթապտղի
omega	0.529	0.337	0.526	օմեգա
omelet	0.708	0.323	0.315	ձվածեղ
omen	0.390	0.657	0.583	նախանշան
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	չարագուշակ
omission	0.367	0.333	0.275	բացթողում
omit	0.330	0.265	0.451	բաց թողնել
omitted	0.260	0.235	0.211	բաց թողնված
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	ամենակարողություն
omnipotent	0.719	0.679	0.919	ամենազոր
omnipresent	0.688	0.452	0.825	ամենուրեք
omniscient	0.656	0.334	0.778	ամենագետ
onboard	0.612	0.451	0.491	նավի վրա
oncologist	0.260	0.654	0.640	ուռուցքաբան
oncology	0.204	0.424	0.500	ուռուցքաբանություն
oncoming	0.594	0.625	0.773	մոտեցող
one	0.542	0.292	0.370	մեկ
oneday	0.667	0.245	0.374	մի օր
onedge	0.479	0.552	0.400	մի եզր
onelove	0.816	0.577	0.541	մեկ Սեր
oneness	0.745	0.272	0.720	միասնություն
onerous	0.500	0.480	0.462	ծանրաբեռնված
oneself	0.660	0.337	0.483	ինքն իրեն
ongoing	0.674	0.484	0.556	շարունակական
onion	0.378	0.367	0.382	սոխ
onset	0.673	0.497	0.500	սկիզբը
onslaught	0.198	0.939	0.717	հարձակում
onstage	0.719	0.673	0.583	բեմի վրա
ontology	0.510	0.450	0.518	գոյաբանություն
onus	0.562	0.520	0.769	պատասխանատվությունը
onward	0.667	0.538	0.741	առաջ
onyx	0.571	0.461	0.380	օնիքս
oodles	0.490	0.374	0.446	oodles
oomph	0.449	0.613	0.315	օմֆ
ooze	0.344	0.577	0.333	հոսել
oozing	0.238	0.515	0.427	հոսում է
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	անթափանցիկություն
opal	0.623	0.479	0.379	օպալ
opaque	0.344	0.265	0.342	անթափանց
ope	0.375	0.380	0.395	բացել
open	0.620	0.480	0.569	բացել
opener	0.584	0.526	0.377	բացիչ
opening	0.667	0.510	0.620	բացում
openly	0.603	0.388	0.553	բացեիբաց
openness	0.837	0.561	0.667	բացություն
opera	0.714	0.500	0.483	օպերա
operate	0.582	0.690	0.691	գործել
operatic	0.375	0.452	0.627	օպերային
operation	0.475	0.611	0.755	շահագործման
operational	0.562	0.570	0.679	գործառնական
operations	0.480	0.549	0.798	գործառնություններ
operative	0.541	0.635	0.718	օպերատիվ
operator	0.612	0.630	0.726	օպերատոր
ophthalmic	0.427	0.385	0.444	ակնաբուժական
ophthalmologist	0.552	0.389	0.491	ակնաբույժ
opiate	0.281	0.594	0.598	օփիատ
opinion	0.594	0.482	0.638	կարծիք
opinionated	0.156	0.800	0.491	կարծիք ունեցող
opium	0.276	0.490	0.333	ափիոն
opponent	0.080	0.741	0.716	հակառակորդ
opportune	0.796	0.538	0.767	պատեհ
opportunism	0.571	0.752	0.673	պատեհապաշտություն
opportunity	0.938	0.745	0.833	հնարավորություն
oppose	0.431	0.800	0.473	հակադրվել
opposed	0.092	0.460	0.606	հակադրվել է
opposing	0.188	0.660	0.518	հակադրվող
opposite	0.235	0.545	0.408	հակառակը
opposites	0.281	0.518	0.462	հակադրություններ
opposition	0.135	0.729	0.592	ընդդիմություն
oppress	0.186	0.654	0.555	ճնշել
oppressed	0.119	0.640	0.259	ճնշված
oppression	0.080	0.673	0.615	ճնշումը
oppressive	0.276	0.590	0.667	ճնշող
oppressor	0.160	0.776	0.629	ճնշող
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	ընտրել
optic	0.663	0.384	0.594	օպտիկա
optical	0.677	0.311	0.542	օպտիկական
optics	0.562	0.286	0.580	օպտիկա
optimism	0.949	0.565	0.814	լավատեսություն
optimist	0.875	0.539	0.787	լավատես
optimistic	0.979	0.580	0.821	լավատես
optimum	0.892	0.469	0.808	օպտիմալ
option	0.512	0.427	0.359	տարբերակ
optional	0.755	0.350	0.440	ընտրովի
optionally	0.365	0.405	0.481	ընտրովի
options	0.622	0.327	0.473	տարբերակները
optometrist	0.446	0.455	0.668	օպտոմետրիկ
opulence	0.620	0.615	0.648	ճոխություն
opulent	0.562	0.660	0.660	ճոխ
opus	0.458	0.368	0.391	օպուս
oracle	0.552	0.531	0.670	պատգամաբեր
oral	0.530	0.448	0.375	բանավոր
orange	0.646	0.132	0.296	նարնջագույն
orange juice	0.719	0.343	0.445	նարնջի հյութ
orangutan	0.430	0.560	0.471	օրանգուտան
oration	0.646	0.315	0.683	հռետորություն
orator	0.667	0.375	0.682	հռետոր
oratory	0.602	0.472	0.693	հռետորություն
orb	0.463	0.370	0.444	գունդ
orbit	0.561	0.422	0.575	ուղեծիր
orbital	0.458	0.451	0.559	ուղեծրային
orbiting	0.520	0.643	0.554	ուղեծրում
orbs	0.469	0.355	0.482	գնդիկներ
orc	0.240	0.510	0.388	օրկ
orchard	0.760	0.269	0.333	պտղատու այգի
orchestra	0.708	0.500	0.664	նվագախումբ
orchid	0.840	0.345	0.382	խոլորձ
ordained	0.735	0.409	0.731	ձեռնադրվել է
ordeal	0.344	0.539	0.529	փորձություն
order	0.780	0.295	0.814	պատվեր
orderly	0.844	0.240	0.661	կարգուկանոն
ordinance	0.615	0.452	0.776	հրամանագիր
ordinary	0.375	0.312	0.286	սովորական
ordination	0.688	0.490	0.765	ձեռնադրություն
ordnance	0.354	0.825	0.679	զինամթերք
ore	0.500	0.333	0.356	հանքաքար
oregano	0.596	0.327	0.250	օրեգանո
organ	0.510	0.469	0.538	օրգան
organic	0.719	0.343	0.535	օրգանական
organism	0.457	0.559	0.800	օրգանիզմ
organist	0.740	0.469	0.669	երգեհոնահար
organization	0.810	0.535	0.851	կազմակերպություն
organize	0.802	0.655	0.781	կազմակերպել
organized	0.816	0.337	0.746	կազմակերպված
organizer	0.604	0.577	0.846	կազմակերպիչ
orgasm	0.844	0.863	0.676	օրգազմ
orgies	0.388	0.953	0.433	օրգիաներ
orgy	0.346	0.962	0.536	օրգիա
orient	0.667	0.422	0.667	կողմնորոշվել
oriental	0.592	0.409	0.598	արևելյան
orientation	0.667	0.454	0.686	կողմնորոշում
orifice	0.448	0.355	0.443	բացվածք
origami	0.684	0.276	0.294	օրիգամի
origin	0.729	0.435	0.591	ծագում
original	0.765	0.480	0.746	օրիգինալ
originality	0.898	0.500	0.824	ինքնատիպություն
originate	0.702	0.500	0.866	ծագել
origination	0.760	0.443	0.604	ծագումը
originator	0.592	0.510	0.868	սկզբնավորող
ornament	0.561	0.373	0.441	զարդ
ornamental	0.663	0.392	0.460	դեկորատիվ
ornamentation	0.663	0.471	0.472	զարդարանք
ornamented	0.677	0.350	0.490	զարդարված
ornate	0.812	0.356	0.500	զարդարուն
ornery	0.361	0.520	0.509	խորամանկություն
orphan	0.133	0.388	0.140	որբ
orphanage	0.184	0.439	0.425	մանկատուն
orphaned	0.062	0.430	0.228	որբացած
orthodontist	0.469	0.615	0.564	օրթոդոնտ
orthodox	0.388	0.471	0.647	ուղղափառ
orthodoxy	0.271	0.388	0.612	ուղղափառություն
orthogonal	0.500	0.314	0.540	ուղղանկյուն
orthopedic	0.406	0.346	0.473	օրթոպեդիկ
oscillate	0.449	0.580	0.397	տատանվել
oscillating	0.469	0.548	0.402	տատանվող
oscillation	0.562	0.433	0.431	տատանում
oscillatory	0.375	0.520	0.480	տատանողական
ostensible	0.542	0.549	0.585	առերեւույթ
ostensibly	0.473	0.529	0.509	իբր
ostentatious	0.479	0.794	0.648	ցուցադրական
ostracized	0.115	0.690	0.377	օտարված
ostrich	0.592	0.382	0.241	ջայլամ
other	0.472	0.230	0.259	այլ
otter	0.439	0.216	0.339	ջրասամույր
otto	0.427	0.425	0.404	օտտո
ottoman	0.531	0.337	0.444	օսմանյան
ought	0.438	0.511	0.434	պետք է
ounce	0.531	0.255	0.288	ունցիա
oust	0.296	0.716	0.444	հեռացնել
outage	0.306	0.684	0.438	անջատում
outback	0.500	0.324	0.430	ծայրամաս
outbid	0.594	0.622	0.540	գերազանցել
outboard	0.448	0.491	0.456	արտաքին օդանավ
outbreak	0.260	0.632	0.472	բռնկում
outburst	0.209	0.802	0.528	պոռթկում
outcast	0.153	0.449	0.353	վտարված
outcome	0.615	0.472	0.685	արդյունքը
outcry	0.271	0.773	0.718	աղաղակ
outdated	0.167	0.236	0.226	հնացած
outdo	0.771	0.750	0.873	գերազանցել
outdoor	0.814	0.256	0.447	բացօթյա
outdoors	0.781	0.444	0.453	դրսում
outer	0.552	0.471	0.456	արտաքին
outfit	0.760	0.490	0.566	հանդերձանք
outgoing	0.650	0.472	0.538	արտագնա
outgrow	0.510	0.529	0.722	գերաճել
outgrowth	0.771	0.620	0.688	աճը
outhouse	0.281	0.519	0.255	արտաքին տուն
outing	0.771	0.672	0.634	զբոսանք
outlandish	0.448	0.737	0.657	արտասովոր
outlast	0.620	0.786	0.685	գերազանցել
outlaw	0.255	0.662	0.482	օրենքից դուրս
outlet	0.610	0.396	0.245	վարդակից
outline	0.542	0.365	0.509	ուրվագիծը
outlines	0.656	0.402	0.651	ուրվագծերը
outlive	0.565	0.769	0.724	գոյատևել
outlook	0.830	0.525	0.625	հեռանկար
outlying	0.460	0.562	0.503	ծայրամասային
outnumber	0.347	0.615	0.577	գերազանցում է
outpatient	0.260	0.400	0.395	ամբուլատոր
outpost	0.635	0.571	0.675	ֆորպոստ
outpouring	0.562	0.685	0.552	հորդառատ
output	0.604	0.389	0.434	ելքը
outrage	0.060	0.689	0.542	վրդովմունք
outraged	0.156	0.696	0.538	վրդովված
outrageous	0.153	0.945	0.713	աղաղակող
outrank	0.653	0.643	0.817	գերազանցում է
outreach	0.540	0.462	0.672	իրազեկում
outright	0.767	0.396	0.755	ուղղակիորեն
outrun	0.531	0.833	0.573	վազել
outset	0.750	0.500	0.582	սկզբից
outsider	0.398	0.549	0.447	դրսից
outskirts	0.474	0.519	0.312	ծայրամասերը
outsmart	0.673	0.657	0.864	գերազանցել
outspoken	0.582	0.413	0.667	անկեղծ ասած
outstanding	0.898	0.760	0.896	ականավոր
outstretched	0.448	0.481	0.519	տարածված
outward	0.449	0.439	0.365	արտաքին
outwards	0.440	0.472	0.400	դեպի դուրս
outweigh	0.486	0.600	0.682	գերակշռել
outwit	0.302	0.755	0.356	խորամանկել
oval	0.417	0.280	0.330	ձվաձեւ
ovary	0.469	0.399	0.280	ձվարան
ovate	0.385	0.286	0.368	ձվաձեւ
ovation	0.719	0.758	0.750	օվացիա
oven	0.583	0.425	0.606	վառարան
overactive	0.667	0.885	0.592	գերակտիվ
overall	0.583	0.370	0.670	ընդհանուր առմամբ
overalls	0.500	0.392	0.373	կոմբինեզոններ
overbearing	0.323	0.833	0.861	գերիշխող
overburden	0.115	0.755	0.546	գերծանրաբեռնվածություն
overcast	0.417	0.250	0.475	ամպամած
overcharged	0.276	0.780	0.569	գերգանձված
overcoat	0.594	0.265	0.430	վերարկու
overcome	0.719	0.689	0.848	հաղթահարել
overcoming	0.842	0.765	0.855	հաղթահարելով
overcrowded	0.292	0.520	0.491	գերբնակեցված
overdo	0.156	0.864	0.602	չափազանցել
overdose	0.110	0.820	0.468	չափից մեծ դոզա
overdrive	0.303	0.715	0.732	գերլարել
overdue	0.125	0.427	0.259	ժամկետանց
overestimate	0.367	0.796	0.444	գերագնահատել
overestimated	0.344	0.646	0.527	գերագնահատված
overflow	0.398	0.792	0.500	վարարել
overflowing	0.439	0.796	0.635	հորդառատ
overgrown	0.333	0.500	0.369	գերաճած
overgrowth	0.417	0.790	0.673	գերաճ
overhanging	0.698	0.755	0.812	գերբարձր
overhaul	0.500	0.651	0.491	կապիտալ վերանորոգում
overhead	0.344	0.700	0.538	գլխավերեւում
overhear	0.650	0.365	0.580	լսել
overheated	0.250	0.598	0.547	գերտաքացած
overjoyed	0.908	0.708	0.755	անչափ ուրախ
overkill	0.379	0.861	0.678	գերակատարել
overlaid	0.620	0.610	0.676	ծածկված
overlap	0.594	0.615	0.627	համընկնումը
overlapping	0.595	0.578	0.684	համընկնող
overlay	0.564	0.596	0.749	ծածկույթը
overload	0.381	0.690	0.652	գերբեռնվածություն
overlook	0.292	0.418	0.415	անտեսել
overlord	0.750	0.755	0.932	տիրակալ
overlying	0.500	0.519	0.691	ծածկող
overpaid	0.429	0.670	0.585	գերավճարված
overpass	0.562	0.561	0.565	վերգետնյա անցում
overplayed	0.224	0.798	0.586	չափազանցված
overpower	0.448	0.859	0.783	գերիշխանություն
overpowering	0.392	0.779	0.589	գերակշռող
overpriced	0.271	0.556	0.472	գերգին
overprotective	0.448	0.673	0.741	գերպաշտպանիչ
overrated	0.312	0.630	0.482	գերագնահատված
overreact	0.306	0.912	0.471	չափազանց արձագանքել
override	0.316	0.491	0.529	գերագնահատել
overriding	0.240	0.490	0.384	գերակայող
overrule	0.224	0.412	0.429	վերացնել
overrun	0.271	0.764	0.598	գերազանցել
oversee	0.541	0.649	0.778	վերահսկել
overseer	0.552	0.520	0.873	վերակացու
overshadow	0.333	0.549	0.654	ստվերել
oversight	0.385	0.618	0.723	վերահսկողություն
oversized	0.552	0.540	0.679	չափազանց մեծ
overslept	0.408	0.315	0.300	չափից շատ քնած
overstate	0.281	0.779	0.635	գերագնահատել
overstock	0.344	0.592	0.589	գերպաշար
overt	0.708	0.326	0.607	բացահայտ
overtake	0.573	0.620	0.718	շրջանցել
overtaken	0.594	0.552	0.702	շրջանցել է
overthemoon	0.643	0.531	0.481	լուսնի վրա
overthinker	0.430	0.606	0.552	չափազանց մտածող
overthinking	0.408	0.761	0.525	չափազանց մտածողություն
overthrow	0.260	0.868	0.620	տապալել
overtime	0.447	0.504	0.529	արտաժամյա աշխատանք
overtired	0.210	0.357	0.273	գերհոգնած
overture	0.490	0.402	0.491	նախերգանք
overturn	0.240	0.765	0.396	շրջվել
overview	0.615	0.380	0.539	ակնարկ
overweight	0.052	0.500	0.389	ավելորդ քաշը
overwhelm	0.250	0.823	0.462	գերակշռել
overwhelmed	0.341	0.680	0.348	ծանրաբեռնված
overwhelming	0.327	0.830	0.640	ճնշող
overworked	0.133	0.670	0.387	գերծանրաբեռնված
overwrought	0.156	0.900	0.571	գերբեռնված
overzealous	0.427	0.804	0.703	չափազանց եռանդուն
owe	0.500	0.429	0.386	պարտք
owing	0.396	0.307	0.381	պարտքով
owl	0.520	0.270	0.321	բու
owner	0.776	0.449	0.920	սեփականատեր
ownership	0.628	0.445	0.741	սեփականություն
ox	0.417	0.396	0.412	եզ
oxidation	0.453	0.415	0.211	օքսիդացում
oxide	0.354	0.377	0.298	օքսիդ
oxygen	0.908	0.310	0.575	թթվածին
