English Word	Valence	Arousal	Dominance	Danish Word
oblige	0.281	0.770	0.614	forpligte
obliged	0.327	0.680	0.411	forpligtet
obliging	0.740	0.402	0.545	forpligtende
obligor	0.302	0.600	0.360	skyldner
oblique	0.438	0.347	0.455	skrå
obliterate	0.250	0.539	0.569	udslette
obliterated	0.240	0.469	0.344	udslettet
obliteration	0.177	0.622	0.397	udslettelse
oblivion	0.153	0.330	0.282	glemsel
oblivious	0.229	0.388	0.355	uvidende
oblong	0.561	0.455	0.370	aflang
obnoxious	0.088	0.602	0.256	modbydeligt
oboe	0.510	0.340	0.392	obo
obscene	0.050	0.745	0.348	obskøn
obscenity	0.083	0.843	0.418	obskønitet
obscure	0.370	0.551	0.278	mærkelig
obscured	0.115	0.356	0.298	sløret
obscurity	0.208	0.392	0.380	uklarhed
observance	0.531	0.315	0.632	overholdelse
observant	0.740	0.422	0.708	opmærksom
observation	0.633	0.433	0.667	observation
observatory	0.643	0.324	0.731	observatorium
observe	0.771	0.390	0.360	observere
observer	0.663	0.363	0.603	observatør
observing	0.583	0.400	0.685	observere
obsess	0.112	0.846	0.509	besætte
obsessed	0.219	0.840	0.439	besat
obsessing	0.173	0.773	0.698	besat
obsession	0.229	0.847	0.571	besættelse
obsessive	0.219	0.823	0.480	obsessiv
obsolescence	0.250	0.431	0.377	forældelse
obsolete	0.337	0.321	0.250	forældet
obstacle	0.204	0.708	0.336	hindring
obstetrician	0.521	0.636	0.604	fødselslæge
obstetrics	0.530	0.582	0.564	obstetrik
obstinate	0.146	0.696	0.562	stædig
obstruct	0.115	0.660	0.458	hindre
obstruction	0.125	0.742	0.491	obstruktion
obstructive	0.204	0.650	0.613	obstruktiv
obtain	0.760	0.438	0.731	opnå
obtainable	0.677	0.327	0.702	opnåelig
obtuse	0.281	0.460	0.345	stump
obverse	0.470	0.394	0.464	forsiden
obvious	0.625	0.336	0.585	indlysende
ocarina	0.541	0.392	0.366	ocarina
occasion	0.700	0.451	0.398	lejlighed
occasional	0.490	0.298	0.387	lejlighedsvis
occasionally	0.538	0.240	0.264	en gang imellem
occipital	0.398	0.408	0.518	occipital
occlusion	0.306	0.439	0.442	okklusion
occult	0.292	0.382	0.406	okkulte
occupancy	0.625	0.471	0.721	belægning
occupant	0.500	0.417	0.483	beboer
occupation	0.562	0.470	0.692	beskæftigelse
occupational	0.583	0.469	0.596	erhvervsmæssig
occupied	0.337	0.546	0.441	optaget
occupier	0.427	0.438	0.600	besætter
occupy	0.396	0.520	0.589	besætte
occupying	0.573	0.462	0.519	besætter
occur	0.451	0.561	0.510	forekomme
occurrence	0.573	0.690	0.541	Hændelse
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	ocean
oceanic	0.740	0.317	0.632	oceanisk
octagon	0.602	0.349	0.462	ottekant
octave	0.438	0.380	0.482	oktav
octopus	0.713	0.378	0.411	blæksprutte
ocular	0.418	0.370	0.400	okulær
odd	0.265	0.337	0.302	ulige
oddball	0.316	0.360	0.357	ulige
oddity	0.312	0.557	0.386	mærkværdighed
odds	0.500	0.472	0.680	odds
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	odiøs
odometer	0.367	0.470	0.388	kilometertæller
odor	0.337	0.363	0.404	lugt
odyssey	0.622	0.692	0.710	odyssé
oedipal	0.312	0.575	0.509	ødipal
oestrogen	0.521	0.608	0.561	østrogen
oeuvre	0.653	0.484	0.598	oeuvre
offal	0.302	0.470	0.302	indmad
offence	0.312	0.798	0.446	forbrydelse
offend	0.094	0.804	0.333	fornærme
offended	0.188	0.690	0.337	fornærmet
offender	0.104	0.851	0.537	gerningsmand
offense	0.230	0.765	0.510	forbrydelse
offensive	0.135	0.882	0.600	offensiv
offer	0.750	0.745	0.596	tilbud
offered	0.582	0.490	0.544	tilbydes
offering	0.688	0.462	0.585	tilbud
offhand	0.388	0.500	0.368	direkte
office	0.427	0.302	0.509	kontor
officer	0.542	0.430	0.877	officer
offices	0.469	0.312	0.534	kontorer
official	0.646	0.565	0.833	officiel
officiate	0.688	0.453	0.704	forrette
offing	0.490	0.412	0.447	offensiv
offload	0.479	0.444	0.525	aflastning
offset	0.719	0.394	0.704	offset
offshoot	0.517	0.330	0.361	udløber
offshore	0.417	0.484	0.441	offshore
offside	0.323	0.519	0.443	offside
offspring	0.656	0.435	0.600	afkom
oft	0.500	0.308	0.474	ofte
oftentimes	0.571	0.500	0.482	ofte
ogre	0.135	0.698	0.510	ogre
ohdear	0.458	0.519	0.442	Åh gud
ohgod	0.500	0.557	0.439	Åh gud
ohno	0.396	0.475	0.380	Åh nej
ohshit	0.230	0.594	0.343	oh shit
oil	0.521	0.278	0.306	olie
oils	0.459	0.229	0.391	olier
oily	0.276	0.533	0.385	olieagtig
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	salve
okra	0.469	0.400	0.362	okra
olden	0.284	0.213	0.425	olden
oldie	0.363	0.363	0.342	oldie
oldies	0.438	0.300	0.412	gamle
olfactory	0.602	0.409	0.452	lugte
oligarchy	0.327	0.567	0.741	oligarki
olive	0.571	0.231	0.406	oliven
omega	0.529	0.337	0.526	omega
omelet	0.708	0.323	0.315	omelet
omen	0.390	0.657	0.583	varsel
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	ildevarslende
omission	0.367	0.333	0.275	udeladelse
omit	0.330	0.265	0.451	udelade
omitted	0.260	0.235	0.211	udeladt
omnibus	0.490	0.410	0.473	omnibus
omnipotence	0.667	0.793	0.866	almagt
omnipotent	0.719	0.679	0.919	almægtig
omnipresent	0.688	0.452	0.825	allestedsnærværende
omniscient	0.656	0.334	0.778	alvidende
onboard	0.612	0.451	0.491	ombord
oncologist	0.260	0.654	0.640	onkolog
oncology	0.204	0.424	0.500	onkologi
oncoming	0.594	0.625	0.773	modkørende
one	0.542	0.292	0.370	en
oneday	0.667	0.245	0.374	en dag
onedge	0.479	0.552	0.400	på kanten
onelove	0.816	0.577	0.541	en kærlighed
oneness	0.745	0.272	0.720	enhed
onerous	0.500	0.480	0.462	besværlig
oneself	0.660	0.337	0.483	en selv
ongoing	0.674	0.484	0.556	igangværende
onion	0.378	0.367	0.382	løg
onset	0.673	0.497	0.500	begyndelse
onslaught	0.198	0.939	0.717	angreb
onstage	0.719	0.673	0.583	på scenen
ontology	0.510	0.450	0.518	ontologi
onus	0.562	0.520	0.769	byrde
onward	0.667	0.538	0.741	videre
onyx	0.571	0.461	0.380	onyx
oodles	0.490	0.374	0.446	masser
oomph	0.449	0.613	0.315	åf
ooze	0.344	0.577	0.333	oser
oozing	0.238	0.515	0.427	oser
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	Gennemsigtighed
opal	0.623	0.479	0.379	opal
opaque	0.344	0.265	0.342	uigennemsigtig
ope	0.375	0.380	0.395	ope
open	0.620	0.480	0.569	åben
opener	0.584	0.526	0.377	åbner
opening	0.667	0.510	0.620	åbning
openly	0.603	0.388	0.553	åbent
openness	0.837	0.561	0.667	åbenhed
opera	0.714	0.500	0.483	opera
operate	0.582	0.690	0.691	operere
operatic	0.375	0.452	0.627	opera
operation	0.475	0.611	0.755	operation
operational	0.562	0.570	0.679	operationelle
operations	0.480	0.549	0.798	operationer
operative	0.541	0.635	0.718	operativ
operator	0.612	0.630	0.726	operatør
ophthalmic	0.427	0.385	0.444	oftalmisk
ophthalmologist	0.552	0.389	0.491	øjenlæge
opiate	0.281	0.594	0.598	opiat
opinion	0.594	0.482	0.638	mening
opinionated	0.156	0.800	0.491	meningsfuld
opium	0.276	0.490	0.333	opium
opponent	0.080	0.741	0.716	modstander
opportune	0.796	0.538	0.767	opportun
opportunism	0.571	0.752	0.673	opportunisme
opportunity	0.938	0.745	0.833	mulighed
oppose	0.431	0.800	0.473	modsætte sig
opposed	0.092	0.460	0.606	imod
opposing	0.188	0.660	0.518	modsat
opposite	0.235	0.545	0.408	modsatte
opposites	0.281	0.518	0.462	modsætninger
opposition	0.135	0.729	0.592	modstand
oppress	0.186	0.654	0.555	undertrykke
oppressed	0.119	0.640	0.259	undertrykt
oppression	0.080	0.673	0.615	undertrykkelse
oppressive	0.276	0.590	0.667	undertrykkende
oppressor	0.160	0.776	0.629	undertrykker
ops	0.417	0.550	0.528	ops
opt	0.510	0.471	0.345	opt
optic	0.663	0.384	0.594	optik
optical	0.677	0.311	0.542	optisk
optics	0.562	0.286	0.580	optik
optimism	0.949	0.565	0.814	optimisme
optimist	0.875	0.539	0.787	optimist
optimistic	0.979	0.580	0.821	optimistisk
optimum	0.892	0.469	0.808	optimal
option	0.512	0.427	0.359	mulighed
optional	0.755	0.350	0.440	valgfri
optionally	0.365	0.405	0.481	valgfrit
options	0.622	0.327	0.473	muligheder
optometrist	0.446	0.455	0.668	optometrist
opulence	0.620	0.615	0.648	overdådighed
opulent	0.562	0.660	0.660	overdådig
opus	0.458	0.368	0.391	opus
oracle	0.552	0.531	0.670	orakel
oral	0.530	0.448	0.375	mundtlig
orange	0.646	0.132	0.296	orange
orange juice	0.719	0.343	0.445	Appelsinjuice
orangutan	0.430	0.560	0.471	orangutang
oration	0.646	0.315	0.683	tale
orator	0.667	0.375	0.682	taler
oratory	0.602	0.472	0.693	talemåde
orb	0.463	0.370	0.444	kugle
orbit	0.561	0.422	0.575	kredsløb
orbital	0.458	0.451	0.559	orbital
orbiting	0.520	0.643	0.554	kredsende
orbs	0.469	0.355	0.482	kugler
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	frugthave
orchestra	0.708	0.500	0.664	orkester
orchid	0.840	0.345	0.382	orkidé
ordained	0.735	0.409	0.731	ordineret
ordeal	0.344	0.539	0.529	prøvelse
order	0.780	0.295	0.814	bestille
orderly	0.844	0.240	0.661	velordnet
ordinance	0.615	0.452	0.776	forordning
ordinary	0.375	0.312	0.286	almindelig
ordination	0.688	0.490	0.765	ordination
ordnance	0.354	0.825	0.679	ammunition
ore	0.500	0.333	0.356	malm
oregano	0.596	0.327	0.250	oregano
organ	0.510	0.469	0.538	organ
organic	0.719	0.343	0.535	økologisk
organism	0.457	0.559	0.800	organisme
organist	0.740	0.469	0.669	organist
organization	0.810	0.535	0.851	organisation
organize	0.802	0.655	0.781	organisere
organized	0.816	0.337	0.746	organiseret
organizer	0.604	0.577	0.846	arrangør
orgasm	0.844	0.863	0.676	orgasme
orgies	0.388	0.953	0.433	orgier
orgy	0.346	0.962	0.536	orgie
orient	0.667	0.422	0.667	orientere
oriental	0.592	0.409	0.598	orientalsk
orientation	0.667	0.454	0.686	orientering
orifice	0.448	0.355	0.443	åbning
origami	0.684	0.276	0.294	origami
origin	0.729	0.435	0.591	oprindelse
original	0.765	0.480	0.746	original
originality	0.898	0.500	0.824	originalitet
originate	0.702	0.500	0.866	stamme
origination	0.760	0.443	0.604	oprindelse
originator	0.592	0.510	0.868	ophavsmand
ornament	0.561	0.373	0.441	ornament
ornamental	0.663	0.392	0.460	dekorative
ornamentation	0.663	0.471	0.472	ornamentik
ornamented	0.677	0.350	0.490	udsmykket
ornate	0.812	0.356	0.500	udsmykkede
ornery	0.361	0.520	0.509	orneriet
orphan	0.133	0.388	0.140	forældreløs
orphanage	0.184	0.439	0.425	børnehjem
orphaned	0.062	0.430	0.228	forældreløse
orthodontist	0.469	0.615	0.564	ortodontist
orthodox	0.388	0.471	0.647	ortodokse
orthodoxy	0.271	0.388	0.612	ortodoksi
orthogonal	0.500	0.314	0.540	ortogonal
orthopedic	0.406	0.346	0.473	ortopædisk
oscillate	0.449	0.580	0.397	svinge
oscillating	0.469	0.548	0.402	oscillerende
oscillation	0.562	0.433	0.431	svingning
oscillatory	0.375	0.520	0.480	oscillerende
ostensible	0.542	0.549	0.585	tilsyneladende
ostensibly	0.473	0.529	0.509	tilsyneladende
ostentatious	0.479	0.794	0.648	prangende
ostracized	0.115	0.690	0.377	udstødt
ostrich	0.592	0.382	0.241	struds
other	0.472	0.230	0.259	Andet
otter	0.439	0.216	0.339	Odder
otto	0.427	0.425	0.404	otto
ottoman	0.531	0.337	0.444	skammel
ought	0.438	0.511	0.434	burde
ounce	0.531	0.255	0.288	ounce
oust	0.296	0.716	0.444	fordrive
outage	0.306	0.684	0.438	udfald
outback	0.500	0.324	0.430	outback
outbid	0.594	0.622	0.540	overbudt
outboard	0.448	0.491	0.456	påhængsmotor
outbreak	0.260	0.632	0.472	udbrud
outburst	0.209	0.802	0.528	udbrud
outcast	0.153	0.449	0.353	udstødt
outcome	0.615	0.472	0.685	resultat
outcry	0.271	0.773	0.718	ramaskrig
outdated	0.167	0.236	0.226	forældet
outdo	0.771	0.750	0.873	overgå
outdoor	0.814	0.256	0.447	udendørs
outdoors	0.781	0.444	0.453	udendørs
outer	0.552	0.471	0.456	ydre
outfit	0.760	0.490	0.566	outfit
outgoing	0.650	0.472	0.538	udgående
outgrow	0.510	0.529	0.722	vokse ud
outgrowth	0.771	0.620	0.688	udvækst
outhouse	0.281	0.519	0.255	udhus
outing	0.771	0.672	0.634	udflugt
outlandish	0.448	0.737	0.657	besynderlig
outlast	0.620	0.786	0.685	overleve
outlaw	0.255	0.662	0.482	fredløs
outlet	0.610	0.396	0.245	stikkontakt
outline	0.542	0.365	0.509	omrids
outlines	0.656	0.402	0.651	konturer
outlive	0.565	0.769	0.724	overleve
outlook	0.830	0.525	0.625	udsigter
outlying	0.460	0.562	0.503	udkant
outnumber	0.347	0.615	0.577	overtal
outpatient	0.260	0.400	0.395	ambulant
outpost	0.635	0.571	0.675	forpost
outpouring	0.562	0.685	0.552	udgydelse
output	0.604	0.389	0.434	produktion
outrage	0.060	0.689	0.542	skandale
outraged	0.156	0.696	0.538	forarget
outrageous	0.153	0.945	0.713	uhyrlig
outrank	0.653	0.643	0.817	udkonkurrere
outreach	0.540	0.462	0.672	opsøgende
outright	0.767	0.396	0.755	ligefrem
outrun	0.531	0.833	0.573	løbe ud
outset	0.750	0.500	0.582	begyndelsen
outsider	0.398	0.549	0.447	outsider
outskirts	0.474	0.519	0.312	udkant
outsmart	0.673	0.657	0.864	overliste
outspoken	0.582	0.413	0.667	åbenhjertig
outstanding	0.898	0.760	0.896	fremragende
outstretched	0.448	0.481	0.519	udstrakt
outward	0.449	0.439	0.365	udgående
outwards	0.440	0.472	0.400	udadtil
outweigh	0.486	0.600	0.682	opveje
outwit	0.302	0.755	0.356	overliste
oval	0.417	0.280	0.330	oval
ovary	0.469	0.399	0.280	æggestok
ovate	0.385	0.286	0.368	ægformet
ovation	0.719	0.758	0.750	ovationer
oven	0.583	0.425	0.606	ovn
overactive	0.667	0.885	0.592	overaktiv
overall	0.583	0.370	0.670	samlet set
overalls	0.500	0.392	0.373	overalls
overbearing	0.323	0.833	0.861	anmassende
overburden	0.115	0.755	0.546	overbelastning
overcast	0.417	0.250	0.475	overskyet
overcharged	0.276	0.780	0.569	overopladet
overcoat	0.594	0.265	0.430	overfrakke
overcome	0.719	0.689	0.848	overvinde
overcoming	0.842	0.765	0.855	overvinde
overcrowded	0.292	0.520	0.491	overfyldt
overdo	0.156	0.864	0.602	overdrive
overdose	0.110	0.820	0.468	overdosis
overdrive	0.303	0.715	0.732	overdrive
overdue	0.125	0.427	0.259	forsinket
overestimate	0.367	0.796	0.444	overvurdere
overestimated	0.344	0.646	0.527	overvurderet
overflow	0.398	0.792	0.500	flyde over
overflowing	0.439	0.796	0.635	overfyldte
overgrown	0.333	0.500	0.369	tilgroet
overgrowth	0.417	0.790	0.673	overvækst
overhanging	0.698	0.755	0.812	overhængende
overhaul	0.500	0.651	0.491	eftersyn
overhead	0.344	0.700	0.538	over hovedet
overhear	0.650	0.365	0.580	overhøre
overheated	0.250	0.598	0.547	overophedet
overjoyed	0.908	0.708	0.755	ovenud glad
overkill	0.379	0.861	0.678	overkill
overlaid	0.620	0.610	0.676	overlejret
overlap	0.594	0.615	0.627	overlap
overlapping	0.595	0.578	0.684	overlappende
overlay	0.564	0.596	0.749	overlejring
overload	0.381	0.690	0.652	overbelaste
overlook	0.292	0.418	0.415	overse
overlord	0.750	0.755	0.932	overherre
overlying	0.500	0.519	0.691	overliggende
overpaid	0.429	0.670	0.585	overbetalt
overpass	0.562	0.561	0.565	overkørsel
overplayed	0.224	0.798	0.586	overspillet
overpower	0.448	0.859	0.783	overmande
overpowering	0.392	0.779	0.589	overvældende
overpriced	0.271	0.556	0.472	overpris
overprotective	0.448	0.673	0.741	overbeskyttende
overrated	0.312	0.630	0.482	overvurderet
overreact	0.306	0.912	0.471	overreagere
override	0.316	0.491	0.529	tilsidesætte
overriding	0.240	0.490	0.384	tilsidesættende
overrule	0.224	0.412	0.429	tilsidesætte
overrun	0.271	0.764	0.598	overrendt
oversee	0.541	0.649	0.778	overvåge
overseer	0.552	0.520	0.873	opsynsmand
overshadow	0.333	0.549	0.654	overskygge
oversight	0.385	0.618	0.723	tilsyn
oversized	0.552	0.540	0.679	overdimensioneret
overslept	0.408	0.315	0.300	sov over
overstate	0.281	0.779	0.635	overdrive
overstock	0.344	0.592	0.589	overbeholdning
overt	0.708	0.326	0.607	åbenlyst
overtake	0.573	0.620	0.718	overhale
overtaken	0.594	0.552	0.702	overhalet
overthemoon	0.643	0.531	0.481	over Månen
overthinker	0.430	0.606	0.552	overtænker
overthinking	0.408	0.761	0.525	over tænkning
overthrow	0.260	0.868	0.620	styrte
overtime	0.447	0.504	0.529	over tid
overtired	0.210	0.357	0.273	overtræt
overture	0.490	0.402	0.491	ouverture
overturn	0.240	0.765	0.396	vælte
overview	0.615	0.380	0.539	oversigt
overweight	0.052	0.500	0.389	overvægtig
overwhelm	0.250	0.823	0.462	overvælde
overwhelmed	0.341	0.680	0.348	overvældet
overwhelming	0.327	0.830	0.640	overvældende
overworked	0.133	0.670	0.387	overanstrengt
overwrought	0.156	0.900	0.571	overbearbejdet
overzealous	0.427	0.804	0.703	overivrig
owe	0.500	0.429	0.386	skylde
owing	0.396	0.307	0.381	skylder
owl	0.520	0.270	0.321	ugle
owner	0.776	0.449	0.920	ejer
ownership	0.628	0.445	0.741	ejendomsret
ox	0.417	0.396	0.412	okse
oxidation	0.453	0.415	0.211	oxidation
oxide	0.354	0.377	0.298	oxid
oxygen	0.908	0.310	0.575	ilt
oxymoron	0.427	0.481	0.398	oxymoron
oyster	0.500	0.311	0.327	østers
ozone	0.560	0.345	0.518	ozon
pace	0.510	0.380	0.390	tempo
pacemaker	0.448	0.569	0.582	pacemaker
pacific	0.627	0.118	0.580	Stillehavet
pacified	0.802	0.194	0.414	pacificeret
pacifier	0.615	0.342	0.356	sut
pacifist	0.663	0.153	0.557	pacifist
pacify	0.812	0.283	0.629	pacificere
pacing	0.583	0.551	0.491	pacing
pack	0.510	0.347	0.475	pakke
package	0.571	0.433	0.443	pakke
packaging	0.604	0.393	0.549	emballage
packer	0.520	0.480	0.537	pakker
packet	0.582	0.385	0.407	pakke
pact	0.442	0.444	0.593	pagt
pad	0.684	0.279	0.330	pude
padded	0.606	0.212	0.371	polstret
padding	0.561	0.398	0.423	polstring
paddle	0.561	0.375	0.393	padle
paddle boat	0.663	0.373	0.415	padlebåd
paddock	0.480	0.429	0.481	fold
paddy	0.653	0.330	0.330	uafskallet
padlock	0.459	0.284	0.457	hængelås
padre	0.684	0.407	0.647	padre
paean	0.552	0.547	0.471	paean
pagan	0.292	0.578	0.542	hedensk
paganism	0.240	0.640	0.411	hedenskab
page	0.677	0.224	0.278	side
pageant	0.719	0.667	0.651	optog
pager	0.510	0.526	0.554	personsøger
pagination	0.459	0.333	0.400	paginering
paging	0.542	0.398	0.423	personsøgning
pagoda	0.571	0.259	0.435	pagode
pail	0.448	0.177	0.188	spand
pain	0.012	0.765	0.395	smerte
pained	0.112	0.500	0.250	smertede
painful	0.050	0.742	0.330	smertefuld
painfully	0.156	0.720	0.407	smertefuldt
painkiller	0.487	0.312	0.481	smertestillende medicin
painless	0.785	0.173	0.491	smertefri
pains	0.106	0.673	0.362	smerter
painstaking	0.396	0.335	0.386	omhyggelig
paint	0.667	0.343	0.413	maling
paintball	0.615	0.745	0.537	paintball
paintbrush	0.714	0.226	0.353	pensel
painted	0.667	0.333	0.424	malet
painter	0.677	0.366	0.487	maler
painting	0.792	0.324	0.333	maleri
pair	0.552	0.317	0.304	par
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	pyjamas
pajamas	0.719	0.170	0.264	pyjamas
pal	0.812	0.426	0.596	kammerat
palace	0.878	0.510	0.804	palads
palatable	0.823	0.500	0.594	velsmagende
palate	0.625	0.350	0.358	gane
pale	0.281	0.259	0.245	bleg
paleontology	0.438	0.308	0.617	palæontologi
palette	0.590	0.333	0.205	palet
pall	0.277	0.387	0.394	pall
palladium	0.470	0.380	0.393	palladium
pallet	0.604	0.241	0.349	palle
palliative	0.548	0.394	0.518	palliativ
palm	0.531	0.194	0.340	håndflade
palmer	0.480	0.269	0.413	palmer
palomino	0.616	0.349	0.396	palomino
palpable	0.552	0.343	0.611	håndgribelig
palpitations	0.417	0.702	0.528	hjertebanken
palsy	0.083	0.446	0.221	parese
paltry	0.333	0.491	0.320	sølle
pamper	0.792	0.321	0.348	forkæle
pamphlet	0.530	0.250	0.327	pjece
pan	0.734	0.182	0.364	pande
panacea	0.420	0.427	0.613	vidundermiddel
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	pandekage
pancakes	0.844	0.373	0.402	pandekager
pancreas	0.469	0.302	0.366	bugspytkirtlen
panda	0.646	0.194	0.406	panda
pandemic	0.160	0.790	0.544	pandemi
pandemonium	0.229	0.885	0.500	pandemonium
pane	0.385	0.250	0.444	rude
panel	0.469	0.321	0.425	panel
pang	0.146	0.595	0.455	pang
panhandle	0.441	0.431	0.414	pandehåndtag
panic	0.062	0.938	0.400	panik
panicattack	0.255	0.724	0.386	panikanfald
panicked	0.100	0.949	0.260	panik
panicking	0.094	0.882	0.333	panik
panicky	0.284	0.962	0.393	panisk
panier	0.500	0.392	0.380	panier
panorama	0.719	0.402	0.625	panorama
panoramic	0.542	0.462	0.684	panoramisk
pansy	0.653	0.283	0.589	stedmoderblomst
pant	0.448	0.463	0.409	pant
pantheon	0.144	0.410	0.610	pantheon
panther	0.303	0.594	0.682	panter
panties	0.594	0.529	0.312	trusser
pantomime	0.552	0.481	0.385	pantomime
pantry	0.622	0.294	0.312	spisekammer
pants	0.673	0.320	0.333	bukser
panty	0.451	0.557	0.303	trusse
pantyhose	0.570	0.539	0.250	strømpebukser
pap	0.438	0.403	0.302	pap
papa	0.656	0.340	0.527	far
papacy	0.481	0.263	0.553	pavedømmet
papal	0.493	0.304	0.559	pavelig
papaya	0.630	0.306	0.300	papaya
paper	0.520	0.123	0.293	papir
paperback	0.633	0.269	0.314	paperback
paperboy	0.521	0.490	0.471	papirdreng
paperweight	0.421	0.278	0.433	papirvægt
paperwork	0.448	0.355	0.422	papirarbejde
paprika	0.417	0.250	0.264	paprika
papyrus	0.459	0.240	0.324	papyrus
par	0.615	0.372	0.429	stk
parable	0.479	0.357	0.525	lignelse
parabola	0.542	0.413	0.620	parabel
parabolic	0.459	0.509	0.500	parabolsk
parachute	0.562	0.787	0.564	faldskærm
parade	0.792	0.685	0.509	parade
paradigm	0.573	0.429	0.779	paradigme
paradise	0.875	0.540	0.796	paradis
paradox	0.417	0.442	0.482	paradoks
paradoxical	0.406	0.547	0.433	paradoksalt
paraffin	0.426	0.291	0.343	paraffin
paragon	0.490	0.431	0.473	paragon
paragraph	0.510	0.164	0.269	afsnit
parakeet	0.576	0.387	0.227	parakit
paralegal	0.479	0.470	0.519	advokatfuldmægtig
parallax	0.437	0.394	0.471	parallakse
parallel	0.568	0.284	0.465	parallel
parallelism	0.549	0.363	0.527	parallelitet
paralysis	0.156	0.500	0.305	lammelse
paralyze	0.188	0.367	0.471	lamme
paramedic	0.673	0.464	0.636	paramediciner
paramedics	0.479	0.594	0.712	paramedicinere
paramilitary	0.154	0.804	0.727	paramilitære
paramount	0.771	0.615	0.902	altafgørende
paranoia	0.146	0.841	0.407	paranoia
paranoid	0.122	0.918	0.364	paranoid
paranormal	0.167	0.814	0.560	paranormale
parapet	0.450	0.356	0.279	brystværn
paraphernalia	0.443	0.726	0.509	tilbehør
paraphrase	0.500	0.375	0.444	omskrive
paraplegic	0.188	0.441	0.321	paraplegisk
parasite	0.092	0.442	0.324	parasit
parasitic	0.037	0.600	0.364	parasitisk
parasol	0.604	0.255	0.304	parasol
parcel	0.660	0.324	0.411	parcel
parcels	0.551	0.445	0.418	pakker
parched	0.250	0.235	0.255	udtørret
parchment	0.615	0.228	0.455	pergament
pardon	0.552	0.413	0.542	om forladelse
pare	0.500	0.356	0.309	pare
parenchyma	0.500	0.399	0.595	parenkym
parent	0.812	0.357	0.860	forælder
parentage	0.903	0.382	0.595	forældreskab
parental	0.760	0.430	0.627	forældre
parenthesis	0.510	0.255	0.380	parentes
parenthetical	0.490	0.327	0.391	parentes
parenthood	0.750	0.630	0.782	forældreskab
parenting	0.812	0.520	0.676	forældreskab
pariah	0.397	0.478	0.293	paria
parietal	0.481	0.333	0.491	parietal
paring	0.429	0.441	0.324	afskæring
parish	0.698	0.354	0.582	sogn
parity	0.582	0.406	0.407	paritet
park	0.816	0.343	0.414	parkere
parka	0.469	0.481	0.395	parka
parking	0.777	0.469	0.510	parkering
parkinsons	0.104	0.570	0.373	parkinsons
parlance	0.510	0.350	0.462	sprogbrug
parlay	0.469	0.611	0.483	parlay
parliament	0.573	0.540	0.858	parlament
parliamentary	0.490	0.554	0.755	parlamentarisk
parlor	0.500	0.327	0.366	stue
parmesan	0.698	0.321	0.382	parmesan
parody	0.561	0.651	0.375	parodi
parole	0.388	0.620	0.526	prøveløsladelse
parquet	0.541	0.240	0.422	parket
parrot	0.588	0.333	0.292	papegøje
parry	0.510	0.404	0.436	parere
parse	0.469	0.456	0.667	parse
parsimonious	0.417	0.312	0.446	sparsommelig
parsimony	0.449	0.280	0.403	sparsommelighed
parsley	0.458	0.170	0.291	persille
parson	0.583	0.250	0.615	præst
part	0.663	0.278	0.360	en del
partake	0.755	0.656	0.629	deltage
partial	0.429	0.324	0.348	delvis
partiality	0.375	0.380	0.490	partiskhed
partially	0.418	0.368	0.396	delvist
participant	0.712	0.598	0.613	deltager
participate	0.755	0.580	0.684	deltage
participation	0.781	0.700	0.702	deltagelse
particle	0.521	0.265	0.438	partikel
particular	0.562	0.402	0.552	særlig
particularity	0.670	0.434	0.586	særegenhed
particulars	0.604	0.348	0.525	detaljer
parting	0.260	0.542	0.353	afsked
partisan	0.615	0.549	0.669	partisan
partisanship	0.438	0.566	0.551	partiskhed
partition	0.615	0.469	0.567	skillevæg
partly	0.415	0.410	0.396	til dels
partner	0.673	0.302	0.586	partner
partnership	0.786	0.387	0.545	partnerskab
partridge	0.583	0.415	0.250	agerhøne
parts	0.459	0.327	0.392	dele
party	0.948	0.840	0.547	parti
pas	0.490	0.344	0.262	pas
pass	0.510	0.324	0.362	passere
passable	0.688	0.337	0.633	farbar
passage	0.429	0.314	0.370	passage
passageway	0.490	0.389	0.400	passage
passe	0.531	0.357	0.426	passere
passenger	0.717	0.413	0.481	passager
passim	0.458	0.491	0.333	passim
passing	0.458	0.298	0.509	passerer
passion	0.854	0.865	0.728	lidenskab
passionate	0.990	0.827	0.731	lidenskabelig
passive	0.420	0.116	0.241	passiv
passivity	0.241	0.115	0.246	passivitet
passkey	0.646	0.500	0.791	adgangsnøgle
passport	0.653	0.457	0.682	pas
password	0.390	0.356	0.559	adgangskode
past	0.490	0.422	0.311	forbi
pasta	0.615	0.306	0.375	pasta
paste	0.500	0.556	0.500	sæt ind
pastel	0.719	0.357	0.367	pastel
pastime	0.677	0.353	0.443	tidsfordriv
pastor	0.698	0.236	0.746	pastor
