English Word	Valence	Arousal	Dominance	Kyrgyz Word
marrow	0.398	0.422	0.472	чучук
marry	0.896	0.765	0.673	үйлөнүү
marsh	0.302	0.358	0.277	саз
marshal	0.469	0.610	0.819	маршал
marshmallow	0.740	0.441	0.391	зефир
mart	0.531	0.402	0.418	март
martial	0.480	0.710	0.737	согуштук
martingale	0.469	0.510	0.455	мартингал
martini	0.828	0.500	0.519	мартини
martyr	0.281	0.708	0.509	шейит
martyrdom	0.323	0.745	0.442	шейиттик
marvel	0.961	0.755	0.866	керемет
marvellous	0.878	0.809	0.849	керемет
marvelous	0.948	0.637	0.778	керемет
marvelously	0.968	0.708	0.764	кереметтүү
marzipan	0.684	0.380	0.258	марципан
mascara	0.575	0.450	0.269	тушь
mascot	0.750	0.337	0.337	талисман
masculine	0.653	0.540	0.773	эркектик
masculinity	0.583	0.670	0.851	эркектик
mash	0.440	0.363	0.283	маш
mashed	0.531	0.337	0.194	эзилген
mask	0.510	0.490	0.537	маска
masked	0.375	0.549	0.518	маскаланган
masks	0.510	0.472	0.241	маскалар
masochism	0.194	0.845	0.483	мазохизм
masochist	0.164	0.784	0.353	мазохист
mason	0.541	0.442	0.580	масон
masquerade	0.431	0.633	0.446	маскарад
mass	0.458	0.245	0.277	масса
massacre	0.031	0.887	0.640	кыргын
massage	0.708	0.356	0.413	массаж
masses	0.552	0.453	0.473	массалар
masseur	0.622	0.265	0.463	массажист
masseuse	0.594	0.373	0.391	массажист
massive	0.569	0.660	0.750	массалык
mast	0.542	0.390	0.580	мачта
master	0.694	0.490	0.849	агай
masterful	0.854	0.510	0.960	чебер
mastermind	0.792	0.625	0.918	башкы
masterpiece	0.926	0.623	0.847	шедевр
mastery	0.755	0.648	0.873	чеберчилик
masturbate	0.552	0.926	0.500	мастурбация кылуу
masturbation	0.542	0.961	0.509	мастурбация
mat	0.459	0.221	0.304	мат
matador	0.224	0.880	0.667	матадор
match	0.599	0.573	0.500	дал келүү
matchbook	0.562	0.391	0.412	ширенке китеби
matching	0.719	0.735	0.418	дал келүү
matchmaker	0.615	0.509	0.519	матч
mate	0.847	0.417	0.669	жолдош
material	0.521	0.363	0.439	материал
materialism	0.220	0.390	0.556	материализм
materialist	0.255	0.491	0.504	материалист
materialistic	0.420	0.506	0.589	материалисттик
materiality	0.417	0.450	0.636	материалдуулук
materialize	0.688	0.596	0.728	материалдаштыруу
materially	0.490	0.451	0.670	материалдык жактан
materials	0.633	0.361	0.473	материалдар
materiel	0.531	0.294	0.417	материал
maternal	0.847	0.417	0.634	энелик
maternity	0.865	0.480	0.622	энелик
math	0.417	0.375	0.600	математика
mathematical	0.620	0.500	0.548	математикалык
mathematician	0.541	0.418	0.773	математик
mathematics	0.438	0.435	0.664	математика
matinee	0.694	0.578	0.447	эртең мененки
mating	0.755	0.840	0.759	жупташуу
matriculation	0.622	0.490	0.675	бүтүрүү
matrimony	0.850	0.637	0.843	нике
matrix	0.551	0.378	0.673	матрица
matron	0.520	0.519	0.555	матрон
matted	0.281	0.519	0.393	матталган
matter	0.487	0.353	0.562	маселе
matting	0.479	0.405	0.423	төшөө
mattress	0.612	0.255	0.397	матрац
maturation	0.612	0.439	0.698	жетилиши
mature	0.625	0.347	0.600	жетилген
maturity	0.827	0.400	0.806	жетилгендик
maudlin	0.337	0.417	0.368	маудлин
mausoleum	0.344	0.281	0.594	мавзолей
mauve	0.533	0.330	0.314	кызгылт көк
maverick	0.354	0.676	0.409	маверик
maxim	0.875	0.562	0.887	максим
maximize	0.823	0.765	0.792	максималдаштыруу
maximum	0.724	0.724	0.852	максимум
may	0.704	0.273	0.245	Май
mayday	0.344	0.643	0.423	майда
mayflower	0.690	0.463	0.429	май гүлү
mayhem	0.188	0.870	0.364	баш аламандык
mayonnaise	0.510	0.320	0.222	майонез
mayor	0.469	0.481	0.818	мэр
maze	0.438	0.608	0.444	лабиринт
mead	0.667	0.337	0.441	mead
meadow	0.622	0.130	0.382	шалбаа
meager	0.144	0.389	0.281	аз
meal	0.833	0.461	0.473	тамак
mean	0.440	0.467	0.620	дегенди билдирет
meander	0.480	0.443	0.454	меандр
meandering	0.427	0.644	0.539	айлануу
meanie	0.388	0.420	0.404	meanie
meaning	0.663	0.395	0.625	мааниси
meaningful	0.770	0.500	0.802	мазмундуу
meaningless	0.156	0.314	0.143	маанисиз
meanness	0.102	0.694	0.368	адепсиздик
means	0.615	0.373	0.460	билдирет
meantime	0.432	0.222	0.300	ошол эле учурда
measles	0.092	0.635	0.422	кызамык
measurable	0.604	0.410	0.602	өлчөнүүчү
measure	0.510	0.375	0.365	өлчөө
measured	0.542	0.265	0.578	өлчөнгөн
measurement	0.622	0.418	0.491	өлчөө
measuring	0.448	0.337	0.529	өлчөө
measuring cup	0.557	0.343	0.377	өлчөөчү чөйчөк
measuring tape	0.337	0.280	0.327	өлчөө лентасы
meat	0.612	0.421	0.413	эт
meatball	0.612	0.279	0.343	тефтели
meathead	0.306	0.534	0.490	эт башчысы
meatloaf	0.625	0.389	0.375	эт нан
mechanic	0.571	0.433	0.566	механик
mechanical	0.479	0.569	0.564	механикалык
mechanics	0.542	0.500	0.761	механика
mechanism	0.573	0.583	0.664	механизм
med	0.375	0.429	0.606	мед
medal	0.854	0.555	0.746	медаль
medallion	0.750	0.510	0.710	медальон
medallist	0.796	0.821	0.897	медалдын ээси
meddle	0.302	0.770	0.526	аралашуу
meddling	0.245	0.600	0.461	кийлигишүү
media	0.500	0.330	0.464	маалымат каражаттары
medial	0.458	0.340	0.429	ортоңку
median	0.459	0.216	0.375	медиана
mediate	0.635	0.308	0.654	ортомчулук кылуу
mediation	0.661	0.350	0.657	медиация
mediator	0.592	0.438	0.580	ортомчу
medic	0.500	0.472	0.585	медик
medical	0.583	0.373	0.616	медициналык
medicate	0.417	0.375	0.546	дары
medication	0.615	0.439	0.500	дары
medicinal	0.667	0.417	0.614	дарылык
medicine	0.708	0.318	0.679	дары
medieval	0.560	0.408	0.455	орто кылым
mediocre	0.188	0.481	0.149	орточо
mediocrity	0.073	0.398	0.225	ортолук
meditate	0.812	0.146	0.564	медитация кыл
meditating	0.718	0.185	0.399	медитация
meditation	0.786	0.120	0.478	медитация
meditative	0.614	0.120	0.454	медитивдүү
mediterranean	0.663	0.454	0.545	жер ортолук
medium	0.559	0.356	0.358	орто
medley	0.487	0.352	0.400	аралаш
meek	0.531	0.150	0.198	жумшак
meet	0.760	0.510	0.580	жолугушуу
meeting	0.750	0.569	0.613	жолугушуу
mega	0.724	0.538	0.723	мега
meh	0.380	0.286	0.365	мех
melancholic	0.181	0.306	0.277	меланхолик
melancholy	0.188	0.260	0.237	меланхолия
melee	0.541	0.704	0.611	мушташуу
mellow	0.633	0.069	0.265	жумшак
melodious	0.932	0.530	0.587	обондуу
melodrama	0.378	0.830	0.446	мелодрама
melodramatic	0.235	0.692	0.368	мелодрамалык
melody	0.847	0.434	0.405	обон
melon	0.461	0.231	0.271	коон
melt	0.448	0.615	0.312	эритүү
meltdown	0.629	0.657	0.602	эрүү
melting	0.592	0.470	0.538	эрүү
member	0.698	0.333	0.555	мүчөсү
membership	0.698	0.411	0.778	мүчөлүк
membrane	0.406	0.430	0.418	мембрана
memento	0.708	0.360	0.536	эстелик
memo	0.625	0.235	0.407	мемо
memoir	0.750	0.242	0.553	мемуар
memorabilia	0.780	0.412	0.491	эстелик
memorable	0.939	0.510	0.769	эсте каларлык
memorandum	0.600	0.500	0.639	меморандум
memorial	0.602	0.304	0.600	эстелик
memorials	0.771	0.333	0.679	эстеликтер
memories	0.963	0.487	0.510	эскерүүлөр
memoriesiwontforget	0.635	0.542	0.455	эскерүүлөр унутулбайт
memorize	0.520	0.451	0.716	жаттоо
memory	0.792	0.378	0.573	эс
menace	0.125	0.894	0.759	коркунуч
menacing	0.042	0.880	0.643	коркунучтуу
menagerie	0.573	0.480	0.538	мал чарбачылыгы
mend	0.542	0.436	0.602	оңдоо
mending	0.500	0.633	0.657	оңдоо
menial	0.490	0.420	0.352	кара ниет
meningitis	0.104	0.612	0.407	менингит
meniscus	0.323	0.330	0.453	мениск
menopause	0.204	0.460	0.306	менопауза
menses	0.163	0.686	0.331	айыз
menstrual	0.408	0.519	0.435	этек кир
mental	0.490	0.490	0.585	психикалык
mentalhealth	0.562	0.541	0.670	психикалык ден соолук
mentality	0.711	0.415	0.726	менталитет
menthol	0.490	0.292	0.433	ментол
mention	0.562	0.365	0.562	эскерүү
mentor	0.719	0.455	0.777	насаатчы
menu	0.633	0.333	0.385	меню
meow	0.510	0.510	0.412	мияу
mercantile	0.480	0.490	0.713	соода
mercenary	0.245	0.837	0.673	жалданма
merchandise	0.594	0.460	0.621	товар
merchant	0.675	0.500	0.620	соодагер
merciful	0.854	0.346	0.500	мээримдүү
merciless	0.062	0.880	0.634	ырайымсыз
mercurial	0.490	0.546	0.518	сымап
mercury	0.337	0.312	0.475	сымап
mercy	0.719	0.229	0.500	ырайым
mere	0.396	0.221	0.176	жөн гана
merengue	0.688	0.519	0.442	меренге
merge	0.760	0.480	0.733	бириктирүү
merger	0.592	0.490	0.642	биригүү
meridian	0.510	0.324	0.558	меридиан
meridional	0.365	0.290	0.600	меридионалдык
meringue	0.625	0.580	0.411	меренга
merit	0.854	0.500	0.722	татыктуу
meritorious	0.781	0.618	0.855	татыктуу
mermaid	0.765	0.623	0.452	суу периси
merriment	0.948	0.721	0.632	шаттык
merry	0.979	0.731	0.764	көңүлдүү
merrychristmas	0.888	0.510	0.536	Рождество майрамы менен
mesa	0.604	0.191	0.319	mesa
mescaline	0.490	0.580	0.415	мескалин
mesh	0.429	0.235	0.371	тор
meshes	0.440	0.363	0.362	торлор
mesmerized	0.520	0.552	0.421	суктандырды
mess	0.143	0.843	0.273	баш аламандык
message	0.650	0.391	0.415	билдирүү
messedup	0.333	0.615	0.358	баш аламандык
messenger	0.694	0.434	0.500	кабарчы
messiah	0.781	0.634	0.800	Мессия
messy	0.260	0.635	0.140	баш аламан
metabolic	0.408	0.531	0.559	метаболизм
metabolism	0.698	0.509	0.555	метаболизм
metal	0.551	0.429	0.547	металл
metallic	0.615	0.330	0.607	металлдык
metallurgy	0.396	0.509	0.587	металлургия
metamorphosis	0.541	0.571	0.613	метаморфоз
metaphor	0.562	0.280	0.470	метафора
metaphorical	0.500	0.412	0.480	метафоралык
metaphysical	0.630	0.573	0.686	метафизикалык
metaphysics	0.561	0.396	0.588	метафизика
metastasis	0.177	0.646	0.452	метастаз
meteor	0.398	0.714	0.737	метеор
meteoric	0.590	0.802	0.684	метеорикалык
meteorite	0.385	0.794	0.750	метеорит
meteorological	0.635	0.557	0.556	метеорологиялык
meteorology	0.630	0.418	0.689	метеорология
meter	0.438	0.300	0.463	метр
meth	0.354	0.564	0.340	мет
methadone	0.240	0.540	0.453	метадон
methane	0.290	0.460	0.569	метан
methanol	0.292	0.500	0.570	метанол
method	0.640	0.275	0.698	ыкмасы
methodical	0.663	0.360	0.745	методикалык
methodology	0.664	0.327	0.745	методология
meticulous	0.555	0.480	0.555	кылдат
metime	0.531	0.398	0.417	мага убакыт
metric	0.519	0.248	0.573	метрикалык
metrical	0.521	0.375	0.482	метрикалык
metrology	0.531	0.432	0.439	метрология
metropolis	0.656	0.625	0.779	мегаполис
metropolitan	0.387	0.408	0.723	метрополитан
mettle	0.667	0.529	0.750	шык
mew	0.418	0.481	0.380	mew
mezzanine	0.479	0.427	0.404	мезонин
mica	0.531	0.250	0.314	слюда
mick	0.449	0.451	0.382	мик
micro	0.500	0.270	0.250	микро
microbe	0.255	0.450	0.340	микроб
microbiology	0.571	0.378	0.560	микробиология
microchip	0.551	0.358	0.432	микрочип
microcosm	0.500	0.500	0.520	микродүйнө
microfilm	0.469	0.352	0.412	микрофильм
microgram	0.448	0.286	0.355	микрограмм
micrometer	0.573	0.358	0.394	микрометр
micron	0.375	0.291	0.315	микрон
microphone	0.551	0.431	0.462	микрофон
microscope	0.531	0.330	0.464	микроскоп
microscopic	0.360	0.327	0.433	микроскопиялык
microscopically	0.623	0.370	0.412	микроскопиялык
microscopy	0.500	0.339	0.455	микроскопия
microwave	0.542	0.497	0.443	микротолкундуу меш
mid	0.500	0.315	0.356	орто
midair	0.633	0.413	0.455	абада
midday	0.658	0.250	0.403	түш
middle	0.458	0.157	0.300	орто
middleman	0.500	0.404	0.452	ортомчу
middleweight	0.510	0.302	0.428	орто салмак
midget	0.396	0.295	0.254	митет
midland	0.521	0.402	0.456	ортолук
midlife	0.594	0.244	0.473	орто жашоо
midline	0.332	0.224	0.330	орто сызык
midnight	0.562	0.470	0.545	түн жарымы
midshipman	0.469	0.615	0.785	мичман
midst	0.324	0.275	0.296	ортосунда
midsummer	0.781	0.480	0.492	жайдын ортосу
midterm	0.427	0.337	0.425	орто сынак
midtown	0.479	0.442	0.538	шаардын ортосу
midway	0.459	0.316	0.304	орто жолдо
midwife	0.531	0.570	0.453	акушерка
midwifery	0.510	0.570	0.459	акушерлик
mien	0.500	0.352	0.447	миен
miffed	0.204	0.726	0.429	миф
mighty	0.855	0.837	0.936	күчтүү
mignon	0.551	0.440	0.423	миньон
migraine	0.135	0.783	0.318	шакый
migrate	0.415	0.580	0.454	көчүү
migration	0.492	0.731	0.566	миграция
migratory	0.448	0.521	0.491	миграциялык
mike	0.542	0.365	0.423	майк
mil	0.534	0.388	0.347	млн
mild	0.635	0.198	0.216	жумшак
mildew	0.344	0.250	0.241	көгөрүп кетүү
mildness	0.827	0.226	0.311	жумшактык
mile	0.521	0.417	0.456	миль
mileage	0.510	0.458	0.562	пробег
milestone	0.719	0.373	0.558	этап
militant	0.418	0.667	0.750	согушчан
militants	0.260	0.673	0.652	согушкерлер
military	0.396	0.710	0.875	аскердик
militia	0.396	0.729	0.769	милиция
milk	0.817	0.270	0.327	сүт
milkman	0.750	0.380	0.304	саанчы
milkshake	0.796	0.521	0.330	сүт коктейли
milky	0.517	0.283	0.311	сүттүү
mill	0.531	0.382	0.347	тегирмен
millennium	0.573	0.398	0.760	миң жылдык
milligram	0.429	0.217	0.302	миллиграмм
millimeter	0.427	0.177	0.360	миллиметр
million	0.776	0.647	0.812	миллион
millionaire	0.917	0.755	0.850	миллионер
millionth	0.635	0.528	0.611	миллионунчу
millstone	0.510	0.433	0.492	тегирмен ташы
mime	0.455	0.235	0.302	мим
mimic	0.557	0.587	0.391	мимик
mimicking	0.316	0.433	0.364	тууроо
mimicry	0.420	0.337	0.472	мимика
mince	0.417	0.529	0.378	майдалоо
mincemeat	0.396	0.435	0.358	фарш
mind	0.650	0.388	0.627	акыл
minded	0.656	0.394	0.627	ойлуу
mindful	0.765	0.450	0.725	эстүү
mindfulness	0.729	0.635	0.745	эстүүлүк
mindless	0.184	0.333	0.153	акылсыз
mine	0.688	0.418	0.578	меники
minefield	0.188	0.839	0.684	мина талаасы
miner	0.408	0.594	0.644	шахтер
mineral	0.519	0.287	0.605	минерал
mineralogy	0.551	0.408	0.545	минералогия
mingle	0.561	0.480	0.434	аралашуу
mingled	0.521	0.392	0.357	аралашты
mini	0.421	0.324	0.221	мини
miniature	0.429	0.292	0.204	миниатюралык
minibus	0.439	0.390	0.428	микроавтобус
minim	0.518	0.208	0.138	минимум
minimal	0.448	0.147	0.206	минималдуу
minimize	0.360	0.236	0.311	кичирейтүү
minimized	0.458	0.137	0.208	минималдаштырылган
minimum	0.380	0.198	0.194	минимум
mining	0.633	0.598	0.554	тоо-кен казып алуу
minion	0.490	0.430	0.167	минион
minister	0.547	0.441	0.892	министр
ministerial	0.571	0.519	0.660	министр
ministry	0.510	0.346	0.717	министрлик
minivan	0.592	0.356	0.452	минивэн
mink	0.560	0.515	0.430	норка
minnow	0.541	0.367	0.364	миннow
minor	0.250	0.235	0.175	жашы жете элек
minority	0.310	0.332	0.211	азчылык
minstrel	0.458	0.541	0.397	минстрел
mint	0.688	0.221	0.345	жалбыз
minty	0.635	0.292	0.361	жалбыз
minuscule	0.396	0.286	0.214	кичинекей
minute	0.582	0.279	0.356	мүнөт
minutiae	0.323	0.257	0.316	minutiae
minx	0.448	0.519	0.404	тентек
mir	0.417	0.339	0.355	мир
miracle	0.917	0.607	0.806	керемет
miracles	0.922	0.735	0.692	кереметтер
miraculous	0.875	0.706	0.812	кереметтүү
mirage	0.546	0.487	0.562	закым
mire	0.344	0.376	0.298	баткак
mirror	0.677	0.310	0.438	күзгү
mirth	0.888	0.640	0.608	шаттык
misappropriation	0.097	0.831	0.500	мыйзамсыз ээлеп алуу
misbehave	0.020	0.847	0.304	туура эмес жүрүм-туруму
misbehavior	0.031	0.704	0.269	туура эмес жүрүм-турум
miscalculation	0.177	0.490	0.353	туура эмес эсептөө
miscarriage	0.042	0.781	0.312	бойдон алдыруу
miscellaneous	0.531	0.321	0.196	ар кандай
miscellany	0.500	0.412	0.384	ар кандай
mischief	0.385	0.834	0.292	жамандык
mischievous	0.439	0.804	0.472	бузуку
misconception	0.210	0.557	0.291	туура эмес түшүнүк
misconduct	0.061	0.667	0.304	туура эмес жүрүм-турум
misdemeanor	0.210	0.640	0.364	жосунсуз жорук
misdirection	0.131	0.710	0.281	туура эмес багыт
miser	0.208	0.633	0.311	сараң
miserable	0.062	0.461	0.188	аянычтуу
miserably	0.280	0.545	0.150	аянычтуу
misery	0.146	0.378	0.158	азап
misfire	0.153	0.453	0.200	ката
misfit	0.173	0.500	0.393	туура эмес
misfortune	0.094	0.780	0.311	бактысыздык
misguided	0.280	0.531	0.259	адашкан
mishap	0.071	0.654	0.227	кырсык
misinformed	0.156	0.567	0.250	туура эмес маалымат берген
misinterpretation	0.112	0.556	0.360	туура эмес чечмелөө
mislead	0.167	0.765	0.412	адаштыруу
misleading	0.070	0.660	0.272	адаштыруучу
misled	0.177	0.606	0.353	адаштырды
mismanagement	0.094	0.520	0.295	туура эмес башкаруу
mismatch	0.250	0.459	0.282	дал келбөө
mismatched	0.250	0.557	0.302	дал келбеген
misnomer	0.296	0.528	0.284	туура эмес атоо
misplace	0.229	0.461	0.191	туура эмес
misplaced	0.247	0.450	0.324	туура эмес
misread	0.115	0.558	0.315	туура эмес окуу
misrepresent	0.198	0.542	0.418	бурмалоо
misrepresentation	0.323	0.618	0.518	бурмалоо
misrepresented	0.042	0.519	0.466	бурмаланган
miss	0.573	0.490	0.408	мисс
missile	0.240	0.830	0.764	ракета
missiles	0.070	0.922	0.830	ракеталар
missing	0.306	0.418	0.222	жок
missingyou	0.260	0.471	0.377	сени сагынып жатам
mission	0.765	0.633	0.870	миссия
missionary	0.729	0.404	0.596	миссионер
misspell	0.292	0.423	0.281	ката жазуу
misstatement	0.302	0.547	0.221	бурмалоо
missy	0.521	0.480	0.333	мисс
mist	0.375	0.194	0.221	туман
mistake	0.208	0.585	0.102	ката
mistaken	0.131	0.630	0.212	жаңылыштык
mister	0.604	0.406	0.663	мырза
mistletoe	0.542	0.470	0.324	омела
mistreated	0.010	0.792	0.200	жаман мамиле кылган
mistress	0.630	0.796	0.694	мырзайым
mistrial	0.427	0.539	0.536	туура эмес сот
mistrust	0.135	0.657	0.231	ишенбөөчүлүк
misty	0.427	0.451	0.278	тумандуу
misunderstand	0.177	0.548	0.382	туура эмес түшүнүү
misunderstanding	0.112	0.618	0.284	түшүнбөстүк
misunderstood	0.177	0.625	0.309	туура эмес түшүнгөн
misuse	0.083	0.560	0.196	туура эмес колдонуу
mite	0.290	0.584	0.271	кене
miter	0.458	0.500	0.414	митер
mitigate	0.506	0.427	0.456	жумшартуу
mitigating	0.551	0.520	0.600	жумшартуу
mitigation	0.448	0.527	0.423	жумшартуу
mitt	0.406	0.183	0.264	митт
mitten	0.531	0.330	0.408	кол кап
mitzvah	0.422	0.610	0.409	миц
mix	0.542	0.490	0.472	аралаштыруу
mixed	0.510	0.346	0.444	аралаш
mixedemotions	0.440	0.673	0.430	аралаш эмоциялар
mixer	0.562	0.500	0.556	аралаштыргыч
mixture	0.546	0.360	0.481	аралашма
mnemonic	0.531	0.480	0.452	мнемоникалык
moan	0.357	0.735	0.352	онтоо
moat	0.398	0.380	0.314	чуңкур
mob	0.296	0.788	0.567	сүрмө
mobile	0.615	0.569	0.481	мобилдик
mobility	0.700	0.596	0.654	мобилдүүлүк
mobilization	0.688	0.720	0.787	мобилизациялоо
mobilize	0.604	0.684	0.727	мобилизациялоо
mobster	0.188	0.870	0.638	мобстер
mocha	0.500	0.396	0.311	mocha
mock	0.360	0.606	0.618	шылдыңдоо
mocked	0.225	0.746	0.204	шылдыңдады
mockery	0.094	0.806	0.181	шылдыңдоо
mocking	0.082	0.755	0.394	шылдыңдоо
mockingbird	0.513	0.337	0.423	күлкүчү
mod	0.458	0.367	0.384	мод
modal	0.592	0.264	0.461	модалдык
modality	0.633	0.404	0.527	модалдуулук
mode	0.531	0.185	0.367	режими
model	0.607	0.388	0.723	модель
modeler	0.500	0.510	0.730	модельер
modeling	0.684	0.404	0.490	моделдөө
modem	0.573	0.355	0.500	модем
moderate	0.582	0.190	0.453	орточо
moderate anticipation	0.667	0.451	0.574	орточо күтүү
moderate disgust	0.229	0.558	0.381	орточо жийиркеничтүү
moderate negative	0.177	0.500	0.306	орточо терс
moderate positive	0.896	0.453	0.753	орточо оң
moderate surprise	0.776	0.663	0.637	орточо сюрприз
moderate trust	0.677	0.350	0.773	орточо ишеним
moderately	0.604	0.264	0.500	орточо
moderating	0.667	0.402	0.783	модерациялоо
moderation	0.531	0.240	0.453	модерация
moderator	0.519	0.354	0.802	модератор
modern	0.855	0.423	0.691	заманбап
modernism	0.760	0.553	0.703	модернизм
modest	0.760	0.130	0.412	жупуну
modesty	0.778	0.240	0.500	жөнөкөйлүк
modicum	0.234	0.417	0.327	аз
modifiable	0.541	0.422	0.373	өзгөртүлүүчү
modification	0.480	0.520	0.625	өзгөртүү
modified	0.561	0.458	0.693	өзгөртүлгөн
modify	0.458	0.584	0.625	өзгөртүү
modulate	0.673	0.343	0.555	модуляциялоо
modulation	0.458	0.365	0.565	модуляция
module	0.582	0.388	0.571	модулу
modulus	0.622	0.304	0.481	модулу
mogul	0.510	0.652	0.865	могул
moiety	0.378	0.343	0.454	бөлүгү
moist	0.470	0.316	0.386	нымдуу
moisture	0.406	0.398	0.327	нымдуулук
moisturizer	0.750	0.280	0.386	нымдагыч
molar	0.544	0.426	0.350	моляр
molasses	0.490	0.269	0.286	патока
mold	0.330	0.274	0.402	көк
molded	0.667	0.361	0.373	калыптанган
molding	0.552	0.308	0.546	калыптоо
moldy	0.235	0.387	0.250	көгөрүп кеткен
mole	0.436	0.377	0.352	мең
molecular	0.495	0.440	0.536	молекулярдык
molecule	0.531	0.259	0.375	молекула
molest	0.133	0.816	0.319	зордуктоо
molestation	0.102	0.808	0.407	зордуктоо
molester	0.143	0.811	0.478	зордуктоочу
molten	0.417	0.490	0.339	эриген
mom	0.927	0.336	0.639	апа
moment	0.604	0.435	0.509	учур
momentary	0.562	0.271	0.330	көз ирмемдик
momentous	0.792	0.587	0.760	маанилүү
momentum	0.663	0.750	0.688	импульс
momma	0.833	0.412	0.527	апа
mommy	0.854	0.353	0.422	апа
monad	0.510	0.482	0.451	монад
monarch	0.583	0.559	0.870	монарх
monarchy	0.450	0.557	0.870	монархия
monastery	0.694	0.183	0.726	монастыр
monastic	0.438	0.314	0.676	монастырдык
monetary	0.583	0.494	0.716	акчалай
money	0.844	0.608	0.827	акча
mongoloid	0.177	0.364	0.317	монголоид
mongoose	0.327	0.380	0.546	мангуст
mongrel	0.425	0.438	0.395	монгель
monitor	0.490	0.298	0.538	монитор
monk	0.472	0.208	0.439	монах
monkey	0.548	0.449	0.283	маймыл
mono	0.500	0.390	0.273	моно
monochrome	0.312	0.292	0.339	монохромдуу
monogamous	0.510	0.335	0.402	моногамдык
monogamy	0.542	0.380	0.455	моногамия
monogram	0.480	0.210	0.425	монограмма
monogrammed	0.503	0.270	0.402	монограммаланган
monograph	0.500	0.242	0.481	монография
monolayer	0.427	0.294	0.433	бир катмар
monolith	0.429	0.327	0.500	монолит
monologue	0.500	0.284	0.534	монолог
monopolist	0.330	0.590	0.725	монополист
monopoly	0.449	0.509	0.640	монополия
monotonous	0.354	0.221	0.400	монотондуу
monotony	0.398	0.135	0.353	монотондуулук
monoxide	0.433	0.430	0.490	монооксид
monsieur	0.552	0.340	0.623	мырза
monsoon	0.358	0.600	0.481	муссон
monster	0.133	0.935	0.596	желмогуз
monstrosity	0.094	0.933	0.611	желмогуздук
monstrous	0.094	0.942	0.649	коркунучтуу
montage	0.438	0.520	0.388	монтаж
monte	0.589	0.330	0.391	monte
month	0.688	0.255	0.411	ай
monthly	0.622	0.314	0.364	ай сайын
monument	0.833	0.404	0.811	эстелик
monumental	0.656	0.594	0.955	монументалдык
moo	0.438	0.355	0.300	moo
mooch	0.378	0.413	0.309	mooch
mood	0.720	0.500	0.500	маанай
moods	0.578	0.633	0.491	маанайлар
moody	0.245	0.811	0.595	маанайы жок
moon	0.673	0.233	0.547	ай
moonbeam	0.700	0.290	0.491	ай нуру
moonlight	0.865	0.264	0.409	айдын жарыгы
moonlit	0.873	0.269	0.508	ай жарык
moonshine	0.633	0.389	0.491	самогон
moonstruck	0.583	0.438	0.407	ай тийди
moonwalk	0.615	0.586	0.525	ай жүрүү
moor	0.311	0.464	0.378	мор
moored	0.344	0.500	0.417	байланган
mooring	0.323	0.490	0.444	байлоо
moorings	0.406	0.500	0.516	приборлор
moorland	0.490	0.370	0.456	моорланд
moose	0.648	0.373	0.318	багыш
moot	0.344	0.500	0.615	талаш
mooted	0.388	0.580	0.463	козголду
mop	0.396	0.442	0.296	швабра
mope	0.406	0.309	0.345	мопе
moped	0.582	0.582	0.554	мопед
moral	0.700	0.459	0.796	моралдык
morale	0.729	0.158	0.792	моралдык
morality	0.750	0.408	0.759	адептуулук
morals	0.646	0.430	0.611	моралдык
morass	0.387	0.348	0.375	чөп
moratorium	0.337	0.427	0.373	мораторий
moray	0.510	0.402	0.463	мура
morbid	0.090	0.833	0.395	оорулуу
morbidity	0.370	0.630	0.443	оорулуу
morbidness	0.120	0.694	0.339	оору
mores	0.582	0.317	0.684	Mores
morgue	0.022	0.539	0.241	өлүккана
moribund	0.083	0.488	0.167	өлүү
morn	0.542	0.284	0.345	эртең менен
morning	0.688	0.235	0.444	эртең менен
moron	0.133	0.587	0.183	акылсыз
moronic	0.122	0.500	0.224	акылсыз
morose	0.240	0.663	0.264	мороз
morph	0.448	0.469	0.451	айлануу
morphine	0.229	0.490	0.496	морфин
morphism	0.398	0.549	0.386	морфизм
morphology	0.516	0.373	0.639	морфология
morrow	0.708	0.314	0.490	эртең
morsel	0.490	0.296	0.400	чакмак
mortal	0.196	0.786	0.510	өлүү
mortality	0.229	0.726	0.518	өлүм
mortar	0.333	0.627	0.562	миномет
mortgage	0.255	0.408	0.537	ипотека
mortgagee	0.418	0.633	0.723	күрөө алуучу
mortgagor	0.431	0.522	0.490	күрөө берүүчү
mortician	0.104	0.429	0.275	өлүкчү
mortification	0.135	0.644	0.404	кыжырдануу
mortified	0.073	0.731	0.270	капаланган
mortuary	0.133	0.606	0.427	өлүккана
mosaic	0.635	0.250	0.302	мозаика
mosey	0.521	0.402	0.330	качуу
mosquito	0.229	0.400	0.198	чиркей
moss	0.235	0.270	0.245	мох
mossy	0.375	0.329	0.286	мохтуу
mote	0.375	0.388	0.260	майда
motel	0.531	0.372	0.450	мотел
moth	0.323	0.350	0.196	көпөлөк
mother	0.931	0.408	0.725	эне
motherfucker	0.122	0.827	0.351	энеке
motherfucking	0.071	0.823	0.373	энеке
motherhood	0.844	0.546	0.667	энелик
motherland	0.677	0.375	0.731	мекен
motherless	0.163	0.541	0.337	энесиз
motherly	0.927	0.324	0.710	энелик
motif	0.688	0.481	0.527	мотив
motion	0.667	0.538	0.657	кыймыл
