English Word	Valence	Arousal	Dominance	Persian Word
haye	0.615	0.451	0.336	یونجه
hayride	0.561	0.521	0.464	هیرید
haystack	0.552	0.292	0.331	انبار کاه
haywire	0.358	0.545	0.430	سیم یونجه
hazard	0.112	0.884	0.757	خطر
hazardous	0.061	0.750	0.670	خطرناک
haze	0.427	0.327	0.217	مه
hazmat	0.398	0.479	0.519	حزمت
hazy	0.450	0.433	0.230	مه آلود
head	0.530	0.472	0.558	سر
headache	0.168	0.755	0.273	سردرد
headaches	0.104	0.720	0.259	سردرد
headband	0.670	0.469	0.527	دستمال سر
headdress	0.594	0.408	0.443	روسری
header	0.560	0.398	0.740	سرتیتر
headgear	0.542	0.442	0.571	سرپوش
heading	0.551	0.292	0.642	عنوان
headland	0.574	0.551	0.430	سردر
headless	0.136	0.582	0.235	بی سر
headlight	0.592	0.343	0.393	چراغ جلو
headline	0.630	0.241	0.685	عنوان
headliner	0.500	0.490	0.625	تیتر
headlock	0.448	0.538	0.560	سر قفل
headlong	0.354	0.548	0.409	سر به سر
headmaster	0.604	0.564	0.865	مدیر مدرسه
headphones	0.600	0.357	0.336	هدفون
headquarter	0.615	0.269	0.525	مقر
headquarters	0.615	0.271	0.525	مرکز فرماندهی
headset	0.602	0.340	0.302	هدست
headstone	0.240	0.378	0.349	سنگ قبر
headstrong	0.310	0.714	0.500	سرسخت
headway	0.823	0.464	0.745	پیشروی
heady	0.448	0.806	0.565	سرگیجه
heal	0.765	0.245	0.556	شفا دادن
healer	0.863	0.378	0.741	شفا دهنده
healing	0.750	0.452	0.585	شفا
health	0.935	0.427	0.551	سلامتی
healthcare	0.780	0.392	0.630	مراقبت های بهداشتی
healthful	0.930	0.315	0.769	سالم
healthy	0.938	0.319	0.818	سالم
heap	0.582	0.510	0.474	پشته
hear	0.760	0.429	0.444	شنیدن
hearer	0.656	0.281	0.415	شنونده
hearing	0.669	0.490	0.595	شنیدن
hearsay	0.288	0.623	0.333	شایعه
hearse	0.177	0.490	0.324	نعش کش
heart	0.827	0.500	0.693	قلب
heart disease	0.250	0.750	0.386	بیماری قلبی
heartache	0.088	0.750	0.291	درد دل
heartattack	0.156	0.839	0.455	حمله قلبی
heartbeat	0.750	0.698	0.585	تپش قلب
heartbreak	0.208	0.610	0.245	دل شکستن
heartbreaker	0.265	0.685	0.580	دل شکسته
heartbreaking	0.146	0.811	0.423	دلخراش
heartbroken	0.082	0.551	0.235	دل شکسته
heartburn	0.143	0.613	0.398	سوزش سردل
hearted	0.823	0.410	0.805	دلسوز
heartfelt	0.904	0.440	0.540	از صمیم قلب
hearth	0.760	0.275	0.536	اجاق
heartily	0.927	0.531	0.664	از صمیم قلب
heartland	0.812	0.510	0.675	هارتلند
heartless	0.071	0.652	0.400	بی دل
hearts	0.948	0.592	0.634	قلبها
heartsick	0.240	0.388	0.208	دلگیر
heartworm	0.333	0.550	0.430	کرم قلب
hearty	0.760	0.684	0.792	دلچسب
heat	0.534	0.612	0.433	حرارت
heated	0.479	0.497	0.542	گرم شده است
heater	0.500	0.573	0.538	بخاری
heath	0.802	0.387	0.546	سلامتی
heathen	0.194	0.529	0.491	بت پرست
heather	0.500	0.352	0.407	هدر
heating	0.647	0.491	0.537	گرمایش
heave	0.716	0.588	0.664	بالا بردن
heaven	0.896	0.385	0.600	بهشت
heavenly	0.844	0.452	0.712	بهشتی
heavens	0.806	0.273	0.683	بهشت
heavily	0.542	0.679	0.814	به شدت
heaviness	0.219	0.549	0.318	سنگینی
heaving	0.201	0.843	0.491	بالا بردن
heavy	0.250	0.454	0.600	سنگین
heavy metal	0.417	0.755	0.621	فلز سنگین
heavyweight	0.429	0.578	0.713	سنگین وزن
heck	0.240	0.728	0.560	به جهنم
hectares	0.570	0.250	0.471	هکتار
hectic	0.167	0.811	0.438	گیج کننده
hedge	0.604	0.602	0.569	پرچین
hedgehog	0.458	0.491	0.377	جوجه تيغي
hedonism	0.510	0.500	0.608	لذت گرایی
hee	0.430	0.433	0.312	هی
heed	0.750	0.490	0.569	توجه
heel	0.480	0.350	0.385	پاشنه
heels	0.500	0.439	0.396	پاشنه
heft	0.503	0.340	0.530	سنگین
hefty	0.550	0.654	0.745	سنگین
hegemonic	0.462	0.519	0.558	هژمونیک
heheh	0.625	0.510	0.278	ههه
heifer	0.439	0.443	0.321	تلیسه
height	0.677	0.608	0.648	ارتفاع
heighten	0.755	0.622	0.765	بالا بردن
heightened	0.592	0.529	0.788	افزایش یافته است
heinous	0.133	0.792	0.471	شنیع
heir	0.840	0.654	0.764	وارث
heiress	0.827	0.571	0.676	وارث
heirloom	0.684	0.375	0.745	ارثیه
heirs	0.796	0.519	0.698	وارثان
heist	0.184	0.850	0.645	سرقت
helical	0.379	0.429	0.468	مارپیچ
helicopter	0.714	0.806	0.617	بالگرد
helipad	0.780	0.637	0.573	بالگرد
heliport	0.594	0.604	0.527	هلی فرودگاه
helium	0.490	0.316	0.304	هلیوم
helix	0.521	0.462	0.509	مارپیچ
hell	0.020	0.918	0.565	جهنم
hellfire	0.143	0.890	0.618	آتش جهنم
hellhole	0.200	0.615	0.421	جهنم
hellish	0.125	0.860	0.545	جهنمی
helm	0.511	0.450	0.615	سکان
helmet	0.573	0.327	0.402	کلاه ایمنی
helmsman	0.490	0.441	0.647	سکاندار
help	0.673	0.471	0.460	کمک
helper	0.704	0.438	0.567	یاور
helpful	0.816	0.337	0.705	مفید
helpless	0.104	0.420	0.214	درمانده
helplessness	0.087	0.480	0.250	درماندگی
hem	0.562	0.283	0.291	سجاف
hematite	0.448	0.389	0.342	هماتیت
hematoma	0.146	0.600	0.398	هماتوم
hemi	0.510	0.363	0.342	همی
hemisphere	0.531	0.367	0.598	نیمکره
hemispheric	0.562	0.449	0.603	نیمکره ای
hemlock	0.438	0.350	0.434	شوکران
hemoglobin	0.469	0.481	0.418	هموگلوبین
hemorrhage	0.031	0.849	0.426	خونریزی
hemorrhoids	0.133	0.702	0.304	هموروئید
hemostat	0.388	0.442	0.464	هموستات
hemp	0.469	0.439	0.422	کنف
hen	0.385	0.276	0.241	مرغ
henceforth	0.527	0.404	0.466	از حالا به بعد
henhouse	0.500	0.577	0.414	مرغدانی
hepatitis	0.055	0.596	0.358	هپاتیت
herald	0.643	0.382	0.500	قاصد
heraldry	0.550	0.520	0.607	هرالدیکی
herb	0.643	0.418	0.353	گیاه دارویی
herbaceous	0.560	0.220	0.310	علفی
herbal	0.592	0.255	0.390	گیاهی
herbarium	0.602	0.188	0.327	هرباریوم
herbs	0.620	0.299	0.308	گیاهان
herd	0.592	0.500	0.474	گله
hereditary	0.531	0.600	0.737	ارثی
heredity	0.704	0.445	0.818	وراثت
heresy	0.265	0.765	0.443	ارتداد
heretic	0.090	0.710	0.447	ملحد و مرتد
heretical	0.229	0.630	0.487	بدعت گذار
heretofore	0.479	0.388	0.385	تا کنون
hereunto	0.500	0.225	0.333	در اینجا
herewith	0.450	0.360	0.415	بدین وسیله
heritage	0.842	0.512	0.815	میراث
hermaphrodite	0.480	0.684	0.481	هرمافرودیت
hermeneutics	0.406	0.577	0.562	هرمنوتیک
hermit	0.271	0.337	0.351	گوشه نشین
hernia	0.146	0.486	0.223	فتق
hero	0.940	0.806	0.881	قهرمان
heroic	0.890	0.770	0.912	قهرمانانه
heroics	0.865	0.673	0.894	قهرمانی ها
heroin	0.276	0.843	0.655	هروئین
heroine	0.729	0.755	0.833	قهرمان
heroism	0.844	0.802	0.898	قهرمانی
herpes	0.110	0.600	0.309	تبخال
herpesvirus	0.219	0.558	0.435	ویروس هرپس
herring	0.531	0.387	0.422	شاه ماهی
hertz	0.396	0.417	0.506	هرتز
hesitant	0.333	0.542	0.321	مردد، دودل
hesitate	0.459	0.548	0.232	تردید کنید
hesitating	0.265	0.528	0.240	مردد
hesitation	0.286	0.396	0.217	تردید
hetero	0.589	0.405	0.435	هترو
heterogeneity	0.439	0.450	0.556	ناهمگونی
hew	0.417	0.470	0.377	چو
hex	0.410	0.510	0.363	هگز
hexagon	0.542	0.226	0.425	شش ضلعی
heyday	0.646	0.680	0.673	اوج
hiatus	0.479	0.294	0.352	وقفه
hibernate	0.500	0.317	0.431	خواب زمستانی
hibernation	0.469	0.245	0.384	خواب زمستانی
hiccup	0.271	0.549	0.240	سکسکه
hick	0.357	0.442	0.314	هک
hickey	0.448	0.529	0.345	هیکی
hickory	0.520	0.490	0.415	هیکوری
hidden	0.208	0.430	0.327	پنهان شده است
hide	0.438	0.510	0.218	پنهان شدن
hideaway	0.448	0.481	0.360	مخفیگاه
hideous	0.091	0.750	0.328	زشت و زننده
hideout	0.337	0.443	0.302	مخفیگاه
hiding	0.250	0.567	0.364	قایم شدن
hierarchical	0.521	0.620	0.939	بر اساس سلسله مراتب
hierarchy	0.583	0.722	0.902	سلسله مراتب
hieroglyphics	0.479	0.325	0.509	هیروگلیف
high	0.684	0.510	0.614	بالا
high heels	0.646	0.528	0.429	پاشنه بلند
highball	0.656	0.520	0.481	هایبال
higher	0.866	0.528	0.713	بالاتر
highest	0.771	0.640	0.710	بالاترین
highland	0.615	0.481	0.611	ارتفاعات
highlands	0.735	0.431	0.596	ارتفاعات
highlight	0.844	0.637	0.882	برجسته
highness	0.740	0.670	0.931	عظمت
hight	0.667	0.637	0.645	ارتفاع
hightail	0.448	0.480	0.481	دم بلند
highway	0.640	0.583	0.425	بزرگراه
hijack	0.042	0.908	0.594	ربودن
hijacker	0.104	0.953	0.683	هواپیماربای
hike	0.615	0.442	0.538	پیاده روی
hiker	0.694	0.802	0.644	کوهنورد
hiking	0.820	0.843	0.670	پیاده روی
hiking boot	0.657	0.353	0.446	کفش پیاده روی
hilarious	0.750	0.640	0.537	خنده دار
hilarity	0.745	0.480	0.575	شادی
hill	0.615	0.353	0.518	تپه
hillside	0.625	0.292	0.458	دامنه تپه
hilltop	0.688	0.643	0.787	نوک تپه
hilly	0.643	0.479	0.603	تپه ای
hilt	0.396	0.650	0.537	دسته
hind	0.483	0.644	0.337	عقب
hinder	0.276	0.537	0.470	مانع شود
hindering	0.260	0.654	0.435	مانع
hindrance	0.135	0.545	0.473	مانع
hindsight	0.333	0.431	0.532	واپس نگری
hinge	0.458	0.292	0.417	لولا
hint	0.602	0.330	0.517	اشاره
hinterland	0.530	0.520	0.457	سرزمین داخلی
hip	0.448	0.415	0.345	باسن
hip hop	0.740	0.714	0.484	هیپ هاپ
hippie	0.551	0.400	0.396	هیپی
hippo	0.490	0.404	0.477	اسب آبی
hippopotamus	0.541	0.472	0.615	اسب ابی
hire	0.688	0.558	0.556	استخدام
hirsute	0.385	0.483	0.373	هیرسوت
hiss	0.388	0.480	0.370	هیس
hissing	0.500	0.454	0.400	خش خش
histology	0.490	0.320	0.560	بافت شناسی
historian	0.688	0.270	0.637	تاریخ شناس
historic	0.816	0.473	0.784	تاریخی
historical	0.653	0.357	0.833	تاریخی
historiography	0.562	0.415	0.634	تاریخ نگاری
history	0.729	0.382	0.754	تاریخ
hit	0.235	0.931	0.679	اصابت
hitch	0.512	0.480	0.554	تکان دادن
hitchhike	0.396	0.622	0.385	مسافرت مفتی
hitchhiker	0.594	0.626	0.603	سوار بر خودرو
hitherto	0.448	0.356	0.463	تا کنون
hitter	0.418	0.683	0.713	ضربه زننده
hive	0.471	0.452	0.544	کندو
hives	0.417	0.473	0.591	کندوها
hoard	0.506	0.412	0.518	احتکار
hoarse	0.281	0.402	0.315	خشن
hoary	0.469	0.298	0.424	هوس انگیز
hoax	0.146	0.696	0.303	حقه
hob	0.633	0.363	0.415	اجاق گاز
hobbit	0.479	0.489	0.472	هابیت
hobby	0.827	0.560	0.471	سرگرمی
hobo	0.323	0.443	0.282	دوره گرد
hock	0.513	0.452	0.412	هک
hockey	0.565	0.786	0.548	هاکی
hoe	0.302	0.480	0.418	بیل زدن
hog	0.317	0.509	0.271	گراز
hogwash	0.420	0.490	0.361	گراز شویی
hohoho	0.677	0.433	0.330	هو هو هو
hoist	0.521	0.520	0.458	بالابر
hokey	0.604	0.667	0.430	هوکی
hold	0.448	0.290	0.364	نگه دارید
holder	0.592	0.330	0.713	دارنده
holding	0.600	0.385	0.670	برگزاری
holdup	0.398	0.471	0.398	توقف
hole	0.531	0.310	0.330	سوراخ
holiday	0.948	0.431	0.593	تعطیلات
holidays	0.939	0.521	0.512	تعطیلات
holidayseason	0.875	0.566	0.518	فصل تعطیلی
holiness	0.860	0.264	0.742	تقدس
holistic	0.670	0.348	0.547	کل نگر
holler	0.276	0.825	0.406	ناله
hollow	0.300	0.337	0.222	توخالی
holly	0.510	0.250	0.443	هالی
holocaust	0.062	0.918	0.618	هولوکاست
hologram	0.615	0.461	0.575	هولوگرام
holographic	0.510	0.471	0.555	هولوگرافیک
holster	0.561	0.255	0.339	غلاف
holy	0.812	0.112	0.690	مقدس
holyspirit	0.740	0.480	0.526	روح مقدس
homage	0.833	0.560	0.737	ادای احترام
hombre	0.656	0.472	0.696	هومبر
hombres	0.510	0.538	0.652	هومبرها
home	0.854	0.270	0.545	خانه
homeboy	0.602	0.255	0.436	پسر خانه
homecoming	0.760	0.413	0.472	بازگشت به خانه
homeland	0.663	0.439	0.868	وطن
homeless	0.042	0.450	0.188	بی خانمان
homely	0.745	0.157	0.399	خانگی
homemade	0.869	0.340	0.398	خانگی
homeopathic	0.417	0.268	0.400	هومیوپاتی
homeopathy	0.469	0.284	0.439	هومیوپاتی
homeowner	0.635	0.397	0.962	صاحب خانه
homeroom	0.604	0.480	0.491	اتاق خانه
homesick	0.436	0.304	0.347	دلتنگ
homestead	0.865	0.221	0.536	خانه
homesweethome	0.796	0.380	0.538	خانه شیرین
hometown	0.858	0.333	0.605	زادگاه
homeward	0.833	0.275	0.435	بسمت خانه
homework	0.396	0.412	0.459	مشق شب
homey	0.769	0.278	0.500	خانه دار
homicidal	0.020	0.912	0.573	قتل
homicide	0.010	0.973	0.518	قتل
homily	0.621	0.358	0.425	موعظه
homing	0.551	0.460	0.527	خانه نشینی
hominy	0.479	0.382	0.429	انسان دوستی
homo	0.531	0.368	0.415	همو
homogeneity	0.715	0.365	0.582	همگنی
homogeneous	0.552	0.255	0.617	همگن
homologous	0.471	0.353	0.536	همولوگ
homologue	0.542	0.356	0.509	همولوگ
homology	0.571	0.494	0.527	همسانی
homophobic	0.130	0.736	0.464	همجنسگرا هراس
honcho	0.469	0.464	0.397	هونچو
hone	0.688	0.392	0.473	با سنگ تیز کردن
honest	0.927	0.254	0.750	صادقانه
honesty	0.938	0.411	0.728	صداقت
honey	0.920	0.431	0.510	عسل
honeycomb	0.541	0.417	0.412	شانه عسل
honeymoon	0.979	0.678	0.526	ماه عسل
honeysuckle	0.597	0.451	0.517	پیچ امین الدوله
honk	0.549	0.635	0.415	صدای بوق
honky	0.458	0.632	0.425	بوق زدن
honor	0.896	0.587	0.857	افتخار و احترام
honorable	0.963	0.412	0.830	محترم
honorarium	0.796	0.510	0.746	افتخاری
honorary	0.885	0.565	0.811	افتخاری
honored	0.938	0.447	0.732	مفتخر شد
hooch	0.429	0.538	0.373	هوچ
hood	0.357	0.459	0.306	کاپوت ماشین
hooded	0.306	0.745	0.439	کلاه دار
hoodlum	0.354	0.720	0.432	کلاه بردار
hoof	0.427	0.341	0.365	سم
hook	0.418	0.444	0.395	قلاب
hooked	0.610	0.661	0.454	قلاب شده
hooker	0.214	0.889	0.373	هوکر
hookup	0.625	0.529	0.683	اتصال
hooky	0.468	0.500	0.452	قلابدار
hooligan	0.295	0.712	0.455	هولیگان
hoop	0.635	0.204	0.315	حلقه
hoopla	0.542	0.471	0.353	هوپلو
hooray	0.610	0.481	0.536	هورا
hoot	0.449	0.560	0.430	داغ کردن
hooter	0.470	0.615	0.455	هوتر
hop	0.450	0.520	0.427	هاپ
hope	0.927	0.317	0.739	امید
hopeful	0.947	0.357	0.627	امیدوار کننده
hopeless	0.094	0.298	0.112	نومید
hopelessness	0.052	0.402	0.223	ناامیدی
hopes	0.917	0.500	0.702	امیدها
hoping	0.684	0.469	0.454	امید
hopper	0.396	0.491	0.442	قیف
horde	0.286	0.713	0.684	گروه ترکان و مغولان
horizon	0.729	0.284	0.590	افق
horizontal	0.573	0.304	0.387	افقی
horizontally	0.500	0.356	0.439	به صورت افقی
hormonal	0.500	0.620	0.551	هورمونی
hormone	0.490	0.750	0.621	هورمون
horn	0.385	0.510	0.366	شیپور
horned	0.316	0.610	0.375	شاخ دار
hornet	0.398	0.594	0.500	هورنت
horny	0.490	0.908	0.560	شاخدار
horoscope	0.500	0.360	0.490	طالع بینی
horrendous	0.073	0.755	0.365	وحشتناک
horrible	0.071	0.857	0.398	ناگوار
horribly	0.050	0.631	0.454	به طرز وحشتناکی
horrid	0.052	0.765	0.419	وحشتناک
horrific	0.094	0.846	0.481	دلهره آور
horrified	0.040	0.885	0.368	وحشت زده
horrifying	0.010	0.760	0.352	وحشتناک
horror	0.115	0.850	0.438	وحشت
horrors	0.061	0.852	0.409	وحشت
horse	0.635	0.510	0.529	اسب
horseback	0.688	0.588	0.566	اسب سواری
horseman	0.441	0.700	0.676	سوارکار
horsepower	0.594	0.735	0.735	اسب بخار
horseradish	0.321	0.584	0.476	ترب کوهی
horseshit	0.153	0.582	0.179	اسب اسب
horseshoe	0.673	0.350	0.406	نعل اسب
horsey	0.602	0.454	0.462	اسب سوار
horticultural	0.594	0.387	0.509	باغبانی
horticulture	0.700	0.420	0.434	باغبانی
hosannah	0.679	0.373	0.500	حسنا
hose	0.469	0.288	0.263	شلنگ
hosiery	0.520	0.344	0.373	جوراب بافی
hospice	0.337	0.443	0.535	آسایشگاه
hospitable	0.791	0.470	0.661	مهمان نواز
hospital	0.323	0.537	0.598	بیمارستان
hospitality	0.865	0.333	0.725	مهمان نوازی
host	0.693	0.471	0.537	میزبان
hostage	0.163	0.923	0.325	گروگان
hostel	0.479	0.500	0.398	خوابگاه
hostess	0.792	0.604	0.688	مهماندار
hostile	0.188	0.877	0.474	خصومت آمیز
hostilities	0.276	0.810	0.444	خصومت ها
hostility	0.122	0.775	0.465	خصومت
hot	0.490	0.740	0.573	داغ
hot sauce	0.333	0.740	0.509	سس تند
hotbed	0.510	0.285	0.395	داغ
hotdog	0.720	0.438	0.373	هات داگ
hotel	0.740	0.370	0.407	هتل
hothead	0.240	0.849	0.518	سر داغ
hotline	0.592	0.565	0.663	خط تلفن
hotshot	0.500	0.727	0.615	داغ
hotyoga	0.683	0.609	0.446	هاتیوگا
hound	0.417	0.528	0.582	سگ شکاری
hour	0.552	0.265	0.336	ساعت
hourglass	0.542	0.284	0.492	ساعت شنی
hourly	0.469	0.418	0.491	ساعتی
house	0.587	0.135	0.533	خانه
houseboat	0.604	0.389	0.429	خانه قایق
houseboy	0.479	0.415	0.393	پسر خانه
housebroken	0.518	0.461	0.389	خانه شکسته
houseguest	0.530	0.500	0.481	مهمان خانه
household	0.781	0.230	0.667	خانواده
householder	0.816	0.541	0.833	صاحب خانه
housekeeper	0.694	0.279	0.520	خانه دار
housekeeping	0.604	0.500	0.445	خانه داری
housewarming	0.857	0.710	0.727	خانه نشینی
housewife	0.656	0.361	0.449	خانم خانه دار
housework	0.484	0.413	0.342	کارهای خانه
housing	0.776	0.304	0.591	مسکن
hovel	0.333	0.296	0.322	سنگ شکن
hover	0.510	0.431	0.404	شناور
hovercraft	0.541	0.654	0.588	هاورکرفت
howl	0.357	0.646	0.407	زوزه کشیدن
howsoever	0.459	0.309	0.345	به هر حال
hoy	0.583	0.298	0.471	هوی
hub	0.479	0.399	0.433	هاب
hubby	0.548	0.435	0.430	شوهر
huckleberry	0.600	0.279	0.296	هاکلبری
huddle	0.604	0.509	0.445	جمع شدن
hue	0.507	0.416	0.417	رنگ
huff	0.388	0.491	0.315	هوف
huffy	0.420	0.616	0.375	هوفی
hug	0.908	0.427	0.548	در آغوش گرفتن
huge	0.573	0.625	0.783	بزرگ
hugger	0.520	0.480	0.412	بغل کردن
huggy	0.854	0.429	0.451	بغل کردن
hugs	0.980	0.422	0.600	آغوش
hulk	0.460	0.740	0.750	هالک
hull	0.542	0.265	0.353	بدنە ضد آب شناور
hum	0.490	0.296	0.276	زمزمه
human	0.767	0.314	0.605	انسان
humane	0.800	0.370	0.580	انسانی
humanitarian	0.786	0.317	0.709	بشردوستانه
humanities	0.729	0.325	0.677	علوم انسانی
humanity	0.750	0.360	0.727	بشریت
humankind	0.885	0.394	0.714	نوع بشر
humanoid	0.521	0.462	0.491	انسان نما
humanrights	0.792	0.559	0.730	حقوق بشر
humble	0.867	0.236	0.483	فروتن
humbled	0.280	0.618	0.198	متواضع
humbly	0.771	0.194	0.370	فروتنانه
humbug	0.219	0.622	0.456	فروتن
humdrum	0.269	0.246	0.353	زمزمه
humid	0.375	0.324	0.366	مرطوب
humidity	0.464	0.373	0.367	رطوبت
humiliate	0.052	0.714	0.275	تحقیر کردن
humiliated	0.104	0.712	0.216	تحقیر شده
humiliating	0.062	0.716	0.279	تحقیر کننده
humiliation	0.048	0.712	0.310	حقارت
humility	0.740	0.118	0.444	فروتنی
hummer	0.510	0.622	0.589	هامر
hummingbird	0.750	0.370	0.273	زرین پر، زرین بال
humongous	0.378	0.538	0.536	انبوه
humor	0.890	0.633	0.462	شوخ طبعی
humored	0.854	0.657	0.545	شوخ طبع
humorist	0.958	0.790	0.607	طنزپرداز
humorous	0.906	0.616	0.665	طنز
hump	0.296	0.462	0.250	قوز
humpback	0.235	0.346	0.247	قوزدار
hunch	0.561	0.630	0.567	قوز کردن
hunchback	0.208	0.390	0.259	گوژپشت
hundred	0.604	0.370	0.406	صد
hundredth	0.427	0.368	0.466	صدم
hunger	0.083	0.554	0.328	گرسنگی
hungry	0.083	0.690	0.254	گرسنه
hunk	0.438	0.375	0.361	تکه تکه
hunks	0.417	0.453	0.482	تکه ها
hunky	0.469	0.571	0.438	تنبل
hunt	0.327	0.806	0.588	شکار کردن
hunter	0.292	0.817	0.817	شکارچی
hunting	0.448	0.713	0.714	شکار
huntress	0.357	0.717	0.765	شکارچی
hurdle	0.198	0.682	0.434	مانع
hurl	0.316	0.745	0.574	پرتاب کردن
hurrah	0.802	0.740	0.500	هورای
hurricane	0.177	0.958	0.787	طوفان
hurricanes	0.286	0.898	0.784	طوفان شدید
hurried	0.314	0.806	0.393	عجله کرد
hurry	0.422	0.735	0.481	عجله کن
hurryup	0.473	0.791	0.555	عجله کن
hurt	0.062	0.773	0.291	صدمه
hurtful	0.104	0.680	0.463	آسیب زا
hurting	0.153	0.778	0.221	صدمه زدن
husband	0.771	0.500	0.655	شوهر
husbandry	0.643	0.473	0.445	دامداری
hush	0.471	0.231	0.312	ساکت کردن
hushed	0.292	0.194	0.272	ساکت شد
husk	0.378	0.173	0.147	پوسته
husky	0.630	0.450	0.490	هاسکی
hussy	0.219	0.594	0.384	هوسی
hustle	0.406	0.661	0.427	فشار
hustler	0.260	0.821	0.627	مزاحم
hut	0.633	0.270	0.375	کلبه
hutch	0.385	0.453	0.520	کلبه
hyacinth	0.372	0.360	0.342	سنبل
hybrid	0.500	0.365	0.570	ترکیبی
hydra	0.406	0.598	0.534	هیدرا
hydrant	0.570	0.413	0.367	شیر آب
hydrate	0.610	0.367	0.547	هیدراته کردن
hydraulic	0.522	0.398	0.596	هیدرولیک
hydraulics	0.500	0.530	0.588	هیدرولیک
hydrocephalus	0.286	0.629	0.393	هیدروسفالی
hydrodynamics	0.552	0.582	0.664	هیدرودینامیک
hydrogen	0.469	0.303	0.554	هیدروژن
hydrographic	0.490	0.396	0.642	هیدروگرافی
hydrology	0.500	0.380	0.509	هیدرولوژی
hydrophobia	0.323	0.784	0.351	آب هراسی
hydroponics	0.500	0.549	0.500	هیدروپونیک
hyena	0.396	0.719	0.464	کفتار
hygiene	0.781	0.287	0.537	بهداشت
hygienic	0.719	0.245	0.702	بهداشتی
hygienist	0.698	0.389	0.682	بهداشتی
hymen	0.469	0.651	0.457	پرده بكارت
hymn	0.735	0.292	0.634	سرود
hype	0.510	0.500	0.586	هیپ
hyped	0.708	0.582	0.679	هیپ زد
hyper	0.542	0.616	0.640	هایپر
hyperactive	0.500	0.921	0.660	بیش فعال
hyperbole	0.469	0.521	0.542	هایپربولی
hyperspace	0.510	0.623	0.755	ابرفضا
hypertension	0.133	0.784	0.427	فشار خون
hypertrophy	0.312	0.625	0.413	هیپرتروفی
hyperventilate	0.347	0.729	0.556	تهویه بیش از حد
hyperventilating	0.164	0.802	0.625	هیپر تهویه
hyphen	0.552	0.356	0.381	خط ربط
hypnosis	0.417	0.410	0.546	هیپنوتیزم
hypnotic	0.571	0.560	0.569	خواب آور
hypnotist	0.490	0.455	0.627	هیپنوتیزم کننده
hypnotize	0.469	0.507	0.508	هیپنوتیزم کردن
hypnotized	0.449	0.434	0.380	هیپنوتیزم شده
hypochondriac	0.194	0.588	0.333	هیپوکندری
hypocrisy	0.156	0.523	0.370	دورویی
hypocrite	0.082	0.673	0.306	منافق
hypocritical	0.048	0.740	0.415	ریاکارانه
hypodermic	0.240	0.441	0.445	زیرپوستی
hypothalamus	0.593	0.427	0.539	هیپوتالاموس
hypothermia	0.184	0.620	0.301	هیپوترمی
hypothesis	0.552	0.370	0.509	فرضیه
hypothetical	0.480	0.367	0.361	فرضی
hysterectomy	0.178	0.660	0.470	هیسترکتومی
hysteria	0.224	0.906	0.482	هیستری
hysterical	0.290	0.942	0.398	هیستریک
ibuprofen	0.448	0.427	0.504	ایبوپروفن
ice	0.440	0.265	0.219	یخ
ice tea	0.771	0.337	0.336	چای سرد
iceberg	0.344	0.540	0.648	کوه یخ
icebox	0.560	0.222	0.370	جعبه یخ
icebreaker	0.571	0.545	0.848	یخ شکن
iced	0.564	0.482	0.339	یخ زده
icing	0.688	0.452	0.411	آیسینگ
icky	0.357	0.510	0.342	یخ زده
icon	0.549	0.349	0.415	آیکون
iconic	0.583	0.537	0.700	نمادین
iconography	0.602	0.382	0.653	شمایل نگاری
icy	0.684	0.375	0.345	یخی
id	0.449	0.344	0.391	شناسه
idea	0.750	0.538	0.704	اندیشه
ideal	0.802	0.437	0.736	ایده آل
idealism	0.635	0.436	0.689	ایده آلیسم
idealist	0.816	0.510	0.802	ایده آلیست
idealistic	0.812	0.469	0.755	آرمان گرا
identical	0.635	0.380	0.527	همسان
identically	0.667	0.427	0.487	به طور یکسان
identification	0.714	0.451	0.692	شناسایی
identify	0.635	0.480	0.667	شناسایی
identity	0.663	0.360	0.780	هویت
ideology	0.573	0.344	0.692	ایدئولوژی
idiocy	0.112	0.635	0.137	حماقت
idiom	0.520	0.337	0.445	اصطلاح
idiomatic	0.531	0.429	0.516	اصطلاحی
idiot	0.086	0.567	0.113	ادم سفیه و احمق
idiotic	0.104	0.620	0.170	احمق
idiots	0.143	0.600	0.144	احمق ها
idle	0.179	0.167	0.112	بیکار
idleness	0.308	0.330	0.228	بیکاری، تنبلی
idler	0.200	0.304	0.194	بیکار
idol	0.684	0.805	0.853	بت
idolatry	0.365	0.571	0.625	بت پرستی
idolizing	0.676	0.712	0.643	بت سازی
idyllic	0.571	0.394	0.593	بسیار خوب
iffy	0.380	0.442	0.333	ناخوشایند
ifonly	0.406	0.250	0.255	اگر فقط
igloo	0.569	0.302	0.345	ایگلو
igneous	0.469	0.466	0.517	آذرین
ignite	0.458	0.785	0.675	مشتعل شدن
ignition	0.365	0.720	0.657	آتش گرفتن
ignorance	0.153	0.417	0.209	جهل
ignorant	0.102	0.461	0.223	نادان
ignore	0.146	0.230	0.295	چشم پوشی
iguana	0.521	0.235	0.291	ایگوانا
ihatespiders	0.245	0.611	0.420	من از عنکبوت ها متنفرم
ilk	0.438	0.451	0.455	شبیه
ill	0.073	0.410	0.200	بیمار
illegal	0.061	0.787	0.337	غیر مجاز
illegality	0.094	0.635	0.427	غیر قانونی بودن
