English Word	Valence	Arousal	Dominance	French Word
imperceptible	0.378	0.490	0.548	imperceptible
imperfect	0.173	0.527	0.202	imparfait
imperfection	0.190	0.567	0.321	imperfection
imperfectly	0.297	0.481	0.330	imparfaitement
imperial	0.669	0.646	0.922	impérial
imperialist	0.284	0.786	0.833	impérialiste
impermeable	0.510	0.308	0.558	imperméable
impermissible	0.188	0.464	0.352	inadmissible
impersonal	0.316	0.356	0.472	impersonnel
impersonate	0.510	0.632	0.591	imiter
impersonation	0.375	0.618	0.528	imitation
impersonator	0.469	0.586	0.406	imitateur
impertinence	0.170	0.653	0.420	impertinence
impertinent	0.219	0.826	0.373	impertinent
impervious	0.582	0.408	0.536	imperméable
impetuous	0.602	0.814	0.712	impétueux
impetus	0.521	0.740	0.635	élan
implacable	0.569	0.663	0.830	implacable
implant	0.429	0.510	0.588	implant
implantation	0.396	0.604	0.741	implantation
implanted	0.347	0.500	0.679	implanté
implement	0.720	0.573	0.792	mettre en place
implicate	0.250	0.670	0.434	impliquer
implicated	0.354	0.673	0.438	impliqué
implication	0.337	0.528	0.690	implication
implied	0.327	0.530	0.481	implicite
implore	0.396	0.650	0.377	implorer
implosion	0.412	0.724	0.547	implosion
imply	0.542	0.670	0.533	impliquer
impolite	0.167	0.590	0.282	impoli
import	0.615	0.480	0.623	importer
importance	0.750	0.580	0.864	importance
important	0.827	0.630	0.836	important
importation	0.625	0.500	0.733	importation
impose	0.503	0.721	0.745	imposer
imposing	0.392	0.731	0.836	imposant
imposition	0.357	0.604	0.618	imposition
impossibility	0.170	0.625	0.306	impossibilité
impossible	0.153	0.510	0.407	impossible
impostor	0.135	0.704	0.442	imposteur
impotence	0.198	0.689	0.224	impuissance
impotent	0.146	0.587	0.333	impuissant
impound	0.230	0.587	0.583	mettre en fourrière
impoverished	0.125	0.311	0.203	appauvri
impracticable	0.398	0.549	0.381	impraticable
impractical	0.160	0.373	0.291	pas pratique
impregnable	0.378	0.549	0.667	imprenable
impregnate	0.510	0.721	0.655	imprégner
impress	0.816	0.744	0.895	impressionner
impressed	0.806	0.770	0.429	impressionné
impression	0.684	0.557	0.577	impression
impressionable	0.827	0.720	0.645	impressionnable
impressive	0.781	0.830	0.873	Impressionant
imprint	0.615	0.574	0.685	imprimer
imprison	0.112	0.829	0.545	emprisonner
imprisoned	0.032	0.717	0.302	détenu
imprisonment	0.133	0.630	0.471	emprisonnement
improbable	0.097	0.412	0.439	improbable
impromptu	0.541	0.729	0.415	impromptu
improper	0.229	0.520	0.259	non conforme
impropriety	0.133	0.591	0.389	inconvenance
improve	0.833	0.528	0.815	améliorer
improved	0.919	0.480	0.679	amélioré
improvement	0.786	0.500	0.611	amélioration
improves	0.929	0.625	0.727	améliore
improving	0.911	0.510	0.682	améliorer
improvisation	0.631	0.812	0.529	improvisation
improvise	0.646	0.650	0.519	improviser
improvised	0.610	0.673	0.443	improvisé
imprudent	0.170	0.676	0.265	imprudent
impudence	0.214	0.500	0.472	impudence
impudent	0.302	0.604	0.462	impudent
impulse	0.530	0.840	0.611	impulsion
impulsive	0.365	0.864	0.607	impulsif
impunity	0.313	0.721	0.602	impunité
impure	0.260	0.560	0.208	impur
impurity	0.173	0.546	0.306	impureté
imputation	0.333	0.654	0.621	imputation
imtryingtosleep	0.438	0.363	0.385	J'essaie de dormir
inability	0.150	0.529	0.250	incapacité
inaccessible	0.083	0.585	0.446	inaccessible
inaccurate	0.135	0.450	0.250	inexacte
inaction	0.323	0.225	0.325	inaction
inactivate	0.245	0.240	0.415	désactiver
inactivation	0.198	0.260	0.220	inactivation
inactive	0.271	0.167	0.159	inactif
inactivity	0.135	0.143	0.227	inactivité
inadequacy	0.286	0.500	0.297	insuffisance
inadequate	0.122	0.450	0.223	inadéquat
inadequateness	0.240	0.529	0.316	insuffisance
inadmissible	0.188	0.636	0.389	inadmissible
inadvertent	0.365	0.368	0.286	involontaire
inadvertently	0.302	0.541	0.549	par inadvertance
inaffable	0.388	0.518	0.455	inaffable
inalienable	0.437	0.459	0.608	inaliénable
inane	0.271	0.350	0.268	inepte
inanimate	0.281	0.143	0.224	inanimé
inapplicable	0.281	0.402	0.330	inapplicable
inappropriate	0.135	0.542	0.353	inapproprié
inattention	0.208	0.433	0.188	inattention
inaudible	0.280	0.398	0.358	inaudible
inaugural	0.684	0.567	0.608	inaugural
inaugurate	0.781	0.582	0.800	inaugurer
inauguration	0.847	0.712	0.769	inauguration
inborn	0.590	0.288	0.546	inné
inbound	0.531	0.388	0.538	entrant
inbred	0.397	0.520	0.473	inné
incalculable	0.449	0.620	0.679	incalculable
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	incantation
incapable	0.156	0.529	0.155	incapable
incapacity	0.052	0.500	0.217	incapacité
incarceration	0.100	0.800	0.397	incarcération
incarnate	0.552	0.651	0.593	incarner
incase	0.580	0.196	0.365	au cas où
incendiary	0.281	0.810	0.598	incendiaire
incense	0.698	0.275	0.328	encens
incensed	0.338	0.643	0.392	furieux
incentive	0.812	0.618	0.718	motivation
inception	0.604	0.425	0.561	création
incessant	0.438	0.760	0.544	incessant
incessantly	0.417	0.765	0.606	sans cesse
incest	0.073	0.853	0.491	inceste
incestuous	0.188	0.736	0.442	incestueux
inch	0.481	0.327	0.300	pouce
incidence	0.417	0.527	0.429	incidence
incident	0.084	0.662	0.482	incident
incidental	0.281	0.610	0.404	accessoire
incidentally	0.479	0.500	0.500	incidemment
incineration	0.229	0.787	0.470	incinération
incinerator	0.250	0.643	0.591	incinérateur
incipient	0.442	0.382	0.430	naissant
incision	0.240	0.663	0.558	incision
incisive	0.380	0.602	0.545	incisif
incite	0.449	0.736	0.642	inciter
incitement	0.302	0.943	0.598	incitation
inclement	0.260	0.676	0.616	inclément
inclination	0.378	0.490	0.538	inclination
incline	0.490	0.423	0.345	inclinaison
inclined	0.469	0.347	0.402	incliné
include	0.729	0.449	0.702	comprendre
included	0.760	0.402	0.570	inclus
including	0.700	0.378	0.518	y compris
inclusion	0.774	0.404	0.712	inclusion
inclusive	0.604	0.420	0.564	compris
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	incohérent
income	0.750	0.510	0.728	le revenu
incoming	0.660	0.509	0.596	entrant
incomparable	0.625	0.577	0.670	incomparable
incompatible	0.196	0.500	0.310	incompatible
incompetence	0.077	0.551	0.208	incompétence
incompetent	0.133	0.566	0.239	incompétent
incomplete	0.153	0.370	0.205	incomplet
incompletely	0.344	0.442	0.232	incomplètement
incompleteness	0.271	0.451	0.234	incomplétude
incomprehensible	0.250	0.550	0.344	incompréhensible
inconceivable	0.198	0.552	0.561	inconcevable
inconclusive	0.153	0.442	0.340	peu concluant
incongruous	0.177	0.504	0.343	incongru
inconsequential	0.250	0.480	0.345	sans conséquence
inconsiderate	0.224	0.519	0.423	inconsidéré
inconsistency	0.125	0.480	0.314	incohérence
inconsistent	0.271	0.431	0.295	inconsistant
inconspicuous	0.604	0.214	0.368	discret
incontinence	0.150	0.598	0.272	incontinence
inconvenience	0.063	0.667	0.291	inconvénient
inconvenient	0.224	0.610	0.375	incommode
incorporate	0.745	0.612	0.571	intégrer
incorporation	0.573	0.404	0.768	incorporation
incorrect	0.140	0.569	0.255	Incorrect
incorrigible	0.130	0.667	0.500	incorrigible
increase	0.810	0.657	0.886	augmenter
increased	0.684	0.660	0.773	augmenté
incredible	0.857	0.796	0.902	incroyable
incredulous	0.286	0.510	0.269	incrédule
increment	0.684	0.637	0.750	incrément
incriminate	0.188	0.810	0.416	incriminer
incriminating	0.133	0.788	0.500	compromettant
incrimination	0.152	0.865	0.545	incrimination
incubation	0.461	0.490	0.397	incubation
incubator	0.510	0.435	0.405	incubateur
incubus	0.458	0.529	0.482	incube
incumbent	0.396	0.540	0.565	titulaire
incur	0.312	0.667	0.495	encourir
incurable	0.104	0.667	0.255	incurable
incursion	0.552	0.830	0.719	incursion
indebted	0.138	0.698	0.275	endetté
indecency	0.135	0.670	0.491	indécence
indecent	0.083	0.683	0.240	indécent
indecision	0.184	0.480	0.196	indécision
indecisive	0.271	0.420	0.190	indécis
indefensible	0.173	0.647	0.484	indéfendable
indefinite	0.448	0.292	0.296	indéfini
indelible	0.490	0.337	0.591	indélébile
indemnification	0.521	0.490	0.770	indemnité
indemnify	0.449	0.548	0.613	indemniser
indemnity	0.470	0.607	0.692	indemnité
indent	0.479	0.346	0.379	retrait
indentation	0.374	0.500	0.349	échancrure
indenture	0.434	0.382	0.636	indenture
independence	0.896	0.663	0.911	indépendance
independent	0.885	0.440	0.872	indépendant
indescribable	0.448	0.529	0.648	indescriptible
indestructible	0.772	0.731	0.853	indestructible
indeterminate	0.360	0.402	0.322	indéterminé
index	0.448	0.268	0.342	indice
indicate	0.594	0.350	0.676	indiquer
indicating	0.745	0.339	0.555	indiquant
indication	0.719	0.432	0.750	indication
indicative	0.510	0.510	0.591	indicatif
indicator	0.573	0.451	0.670	indicateur
indice	0.469	0.377	0.541	indices
indict	0.188	0.731	0.458	accuser
indictment	0.245	0.745	0.577	accusation
indie	0.479	0.368	0.430	indé
indifference	0.265	0.417	0.299	indifférence
indifferent	0.396	0.157	0.250	indifférent
indigenous	0.500	0.509	0.552	indigène
indigent	0.156	0.481	0.223	indigent
indigestion	0.204	0.610	0.182	indigestion
indignant	0.260	0.600	0.423	indigné
indignation	0.173	0.778	0.431	indignation
indignity	0.167	0.500	0.306	indignité
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	indirect
indiscreet	0.177	0.587	0.342	indiscret
indiscretion	0.265	0.637	0.390	indiscrétion
indispensable	0.710	0.449	0.802	indispensable
indisposed	0.122	0.519	0.206	indisposé
indistinct	0.255	0.340	0.360	indistinct
indistinguishable	0.346	0.458	0.548	indiscernable
individual	0.627	0.327	0.533	individuel
individuality	0.612	0.469	0.527	individualité
indivisible	0.646	0.398	0.580	indivisible
indoctrination	0.327	0.657	0.698	endoctrinement
indolent	0.177	0.381	0.259	indolent
indomitable	0.458	0.800	0.830	indomptable
indoor	0.615	0.245	0.347	intérieur
induce	0.257	0.606	0.684	induire
induced	0.397	0.471	0.491	induit
inducement	0.647	0.765	0.685	incitation
induction	0.392	0.593	0.627	induction
indulge	0.833	0.716	0.669	se livrer
indulgence	0.479	0.490	0.517	indulgence
indulgent	0.560	0.481	0.529	indulgent
industrial	0.469	0.600	0.875	industriel
industrialist	0.562	0.633	0.843	industriel
industrious	0.720	0.537	0.791	industrieux
industry	0.650	0.447	0.836	industrie
ineffable	0.551	0.577	0.585	ineffable
ineffective	0.093	0.422	0.094	inefficace
ineffectual	0.163	0.412	0.200	inefficace
inefficiency	0.092	0.466	0.181	inefficacité
inefficient	0.190	0.460	0.173	inefficace
inelastic	0.396	0.426	0.385	inélastique
ineligible	0.143	0.377	0.457	inéligible
inept	0.156	0.418	0.209	inepte
ineptitude	0.177	0.471	0.250	ineptie
inequality	0.122	0.575	0.259	inégalité
inequitable	0.281	0.519	0.373	inéquitable
inert	0.323	0.180	0.319	inerte
inertia	0.344	0.288	0.322	inertie
inevitable	0.316	0.419	0.623	inévitable
inexact	0.153	0.459	0.170	inexact
inexcusable	0.271	0.582	0.546	inexcusable
inexhaustible	0.602	0.541	0.643	inépuisable
inexpensive	0.694	0.414	0.260	peu coûteux
inexperience	0.208	0.614	0.151	inexpérience
inexperienced	0.281	0.473	0.231	inexpérimenté
inexplicable	0.224	0.635	0.443	inexplicable
inexpressible	0.198	0.608	0.364	inexprimable
infallibility	0.583	0.663	0.764	infaillibilité
infallible	0.776	0.687	0.809	infaillible
infamous	0.146	0.580	0.472	infâme
infamy	0.177	0.676	0.421	infamie
infancy	0.750	0.399	0.370	enfance
infant	0.802	0.431	0.328	nourrisson
infanticide	0.167	0.856	0.443	infanticide
infantile	0.604	0.382	0.259	infantile
infantry	0.531	0.684	0.791	infanterie
infarct	0.080	0.846	0.386	infarctus
infatuated	0.729	0.764	0.417	entiché
infatuation	0.844	0.745	0.530	engouement
infeasible	0.245	0.472	0.236	irréalisable
infect	0.102	0.777	0.424	infecter
infection	0.083	0.735	0.407	infection
infectious	0.142	0.760	0.422	infectieux
infer	0.449	0.490	0.453	déduire
inference	0.359	0.479	0.398	inférence
inferential	0.426	0.451	0.455	inférentiel
inferior	0.260	0.254	0.106	inférieur
inferiority	0.177	0.430	0.205	infériorité
infernal	0.083	0.837	0.571	infernal
inferno	0.051	0.857	0.463	enfer
infertile	0.274	0.458	0.255	infertile
infertility	0.170	0.664	0.328	infertilité
infestation	0.256	0.776	0.527	infestation
infidel	0.177	0.740	0.404	infidèle
infidelity	0.062	0.777	0.392	infidélité
infield	0.510	0.571	0.438	champ intérieur
infiltrate	0.408	0.745	0.587	infiltrer
infiltration	0.265	0.792	0.536	infiltration
infinite	0.724	0.583	0.735	infini
infinitely	0.688	0.643	0.829	infiniment
infinitesimal	0.388	0.472	0.496	infinitésimal
infinity	0.516	0.459	0.805	infini
infirm	0.115	0.521	0.210	infirme
infirmary	0.500	0.438	0.517	infirmerie
infirmity	0.094	0.482	0.252	infirmité
inflammation	0.146	0.765	0.423	inflammation
inflammatory	0.177	0.642	0.404	inflammatoire
inflatable	0.510	0.510	0.400	gonflable
inflate	0.305	0.569	0.462	gonfler
inflated	0.303	0.431	0.617	gonflé
inflation	0.219	0.792	0.508	inflation
inflection	0.385	0.635	0.377	inflexion
inflict	0.167	0.760	0.609	infliger
infliction	0.302	0.722	0.571	affliction
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	rayonnement
influential	0.899	0.688	0.944	influent
influenza	0.271	0.718	0.321	grippe
influx	0.622	0.635	0.575	afflux
info	0.750	0.330	0.642	Info
infomercial	0.427	0.462	0.555	infopublicité
inform	0.723	0.582	0.679	informer
informal	0.480	0.398	0.441	informel
informant	0.604	0.612	0.719	informateur
information	0.765	0.370	0.711	informations
informative	0.812	0.419	0.741	informatif
informed	0.543	0.298	0.617	informé
informer	0.521	0.578	0.580	informateur
infraction	0.245	0.660	0.471	infraction
infrared	0.469	0.588	0.526	infrarouge
infrastructure	0.604	0.460	0.694	Infrastructure
infrequent	0.312	0.377	0.192	rare
infrequently	0.204	0.250	0.327	rarement
infringement	0.153	0.800	0.481	infraction
infuriate	0.102	0.934	0.596	exaspérer
infuriated	0.073	0.930	0.510	furieux
infuriates	0.135	0.913	0.627	exaspère
infuriating	0.139	0.870	0.509	exaspérant
infuse	0.380	0.705	0.589	infuser
infused	0.385	0.473	0.546	infusé
infuser	0.469	0.433	0.536	infuseur
infusion	0.583	0.365	0.453	infusion
ingenious	0.760	0.690	0.891	ingénieux
ingenuity	0.708	0.590	0.868	ingéniosité
ingest	0.510	0.559	0.473	ingérer
ingestion	0.429	0.612	0.512	ingestion
ingot	0.688	0.444	0.615	lingot
ingrained	0.531	0.490	0.712	enraciné
ingrate	0.235	0.606	0.327	ingrat
ingredient	0.792	0.373	0.451	ingrédient
ingress	0.601	0.366	0.736	entrée
inhabit	0.656	0.378	0.556	habiter
inhabitant	0.604	0.356	0.519	habitant
inhabited	0.667	0.361	0.510	habité
inhabiting	0.458	0.440	0.598	habiter
inhalation	0.510	0.613	0.464	inhalation
inhale	0.427	0.340	0.492	inhaler
inhaler	0.408	0.500	0.349	inhalateur
inherent	0.562	0.439	0.480	inhérent
inherit	0.745	0.546	0.694	hériter
inheritance	0.900	0.565	0.798	héritage
inhibit	0.167	0.479	0.447	inhiber
inhibition	0.265	0.392	0.534	inhibition
inhibitor	0.281	0.450	0.471	inhibiteur
inhospitable	0.265	0.531	0.395	inhospitalier
inhuman	0.107	0.660	0.492	inhumain
inhumane	0.104	0.587	0.402	inhumain
inhumanity	0.143	0.540	0.405	inhumanité
inimaginable	0.542	0.636	0.534	inimaginable
inimical	0.260	0.823	0.556	hostile
inimitable	0.571	0.413	0.790	inimitable
iniquity	0.219	0.567	0.425	iniquité
initial	0.583	0.314	0.539	initial
initiate	0.719	0.480	0.553	lancer
initiated	0.760	0.490	0.650	initié
initiation	0.698	0.529	0.527	initiation
initiative	0.833	0.615	0.768	initiative
inject	0.406	0.735	0.596	injecter
injection	0.281	0.741	0.518	injection
injunction	0.281	0.422	0.519	injonction
injure	0.177	0.710	0.364	blesser
injured	0.083	0.680	0.302	blessée
injuring	0.073	0.790	0.245	blesser
injurious	0.177	0.759	0.366	préjudiciable
injury	0.049	0.769	0.287	blessure
injustice	0.082	0.755	0.444	injustice
ink	0.471	0.408	0.235	encrer
inkling	0.448	0.551	0.570	idée
inland	0.510	0.417	0.423	intérieur
inlay	0.406	0.531	0.565	incruster
inlet	0.646	0.378	0.466	entrée
inmate	0.235	0.663	0.398	détenu
inn	0.660	0.284	0.475	auberge
innards	0.302	0.480	0.400	entrailles
innate	0.490	0.400	0.521	inné
inner	0.551	0.216	0.443	intérieur
innermost	0.583	0.500	0.510	le plus profond
innerpeace	0.714	0.318	0.551	la paix intérieure
inning	0.602	0.315	0.520	tour de batte
innings	0.573	0.487	0.443	manches
innkeeper	0.578	0.224	0.472	aubergiste
innocence	0.802	0.260	0.307	innocence
innocent	0.729	0.206	0.340	innocent
innocently	0.776	0.250	0.302	naïvement
innocuous	0.510	0.321	0.172	inoffensif
innovate	0.898	0.872	0.750	innover
innovation	0.949	0.680	0.890	innovation
innovative	0.880	0.640	0.830	innovant
innuendo	0.467	0.670	0.463	insinuation
innumerable	0.667	0.445	0.704	innombrable
inoculation	0.333	0.570	0.598	inoculation
inoperable	0.184	0.422	0.304	inopérable
inoperative	0.138	0.425	0.273	inopérant
inordinate	0.163	0.630	0.330	excessif
inorganic	0.385	0.345	0.282	inorganique
input	0.643	0.337	0.527	saisir
inquest	0.458	0.569	0.721	enquête
inquire	0.583	0.519	0.363	renseigner
inquirer	0.573	0.598	0.776	enquêteur
inquiring	0.479	0.510	0.500	curieux
inquiry	0.541	0.420	0.536	demande
inquisitive	0.301	0.637	0.615	curieux
inquisitor	0.385	0.873	0.642	inquisiteur
insane	0.062	0.670	0.265	fou
insanity	0.098	0.847	0.337	folie
insatiable	0.375	0.656	0.558	insatiable
inscription	0.592	0.422	0.542	une inscription
inscrutable	0.459	0.541	0.613	impénétrable
insect	0.276	0.633	0.242	insecte
insecticide	0.188	0.598	0.430	insecticide
insecure	0.114	0.538	0.132	insécurité
insecurity	0.094	0.647	0.350	insécurité
insemination	0.542	0.644	0.622	insémination
insensitive	0.219	0.471	0.302	insensible
inseparable	0.700	0.520	0.571	inséparable
insert	0.481	0.552	0.519	insérer
inserted	0.479	0.402	0.476	inséré
insertion	0.521	0.520	0.565	insertion
inside	0.612	0.404	0.472	à l'intérieur
insider	0.625	0.562	0.750	initié
insidious	0.146	0.622	0.480	insidieux
insight	0.613	0.363	0.649	aperçu
insightful	0.664	0.691	0.713	perspicace
insignia	0.665	0.282	0.685	insigne
insignificance	0.250	0.216	0.222	insignifiance
insignificant	0.083	0.306	0.114	insignifiant
insinuate	0.292	0.635	0.413	insinuer
insipid	0.214	0.250	0.241	insipide
insist	0.635	0.651	0.688	insister
insistence	0.418	0.704	0.645	insistance
insistent	0.552	0.635	0.701	insistant
insists	0.490	0.587	0.610	insiste
insolence	0.115	0.731	0.402	insolence
insolent	0.112	0.663	0.343	insolent
insoluble	0.439	0.290	0.414	insoluble
insolvency	0.323	0.431	0.300	insolvabilité
insolvent	0.230	0.481	0.318	insolvable
insomnia	0.198	0.611	0.373	insomnie
insomniac	0.231	0.367	0.329	insomniaque
inspect	0.479	0.603	0.793	inspecter
inspection	0.459	0.630	0.718	inspection
inspector	0.418	0.580	0.852	inspecteur
inspiration	0.938	0.600	0.779	inspiration
inspirational	0.927	0.720	0.810	inspirant
inspire	0.918	0.627	0.759	inspirer
inspired	0.967	0.702	0.736	inspiré
instability	0.177	0.760	0.353	instabilité
install	0.630	0.583	0.736	installer
installation	0.656	0.469	0.759	installation
installment	0.619	0.396	0.483	Versement
instance	0.547	0.450	0.558	exemple
instant	0.766	0.454	0.554	instantané
instantaneous	0.750	0.500	0.585	instantané
instantaneously	0.656	0.640	0.600	instantanément
instigate	0.278	0.765	0.642	susciter
instigation	0.323	0.769	0.648	instigation
instill	0.562	0.490	0.618	insuffler
instinct	0.771	0.602	0.642	instinct
instinctive	0.752	0.575	0.694	instinctif
institute	0.604	0.480	0.807	institut
institution	0.580	0.311	0.790	institution
instruct	0.729	0.490	0.833	instruire
instructed	0.740	0.388	0.722	instruit
instruction	0.656	0.434	0.736	instruction
instructional	0.698	0.500	0.773	pédagogique
instructions	0.582	0.302	0.556	des instructions
instructive	0.583	0.420	0.643	instructif
instructor	0.771	0.490	0.782	instructeur
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentaliste
instrumentality	0.637	0.510	0.618	instrumentalité
insubordination	0.281	0.775	0.634	insubordination
insufferable	0.220	0.784	0.291	insupportable
insufficiency	0.115	0.431	0.210	insuffisance
insufficient	0.188	0.380	0.093	insuffisant
insufficiently	0.147	0.509	0.198	insuffisamment
insular	0.531	0.426	0.465	insulaire
insulate	0.365	0.358	0.286	isoler
insulated	0.208	0.265	0.304	isolé
insulation	0.245	0.327	0.264	isolation
insulin	0.429	0.472	0.375	insuline
insult	0.085	0.831	0.389	insulte
insulting	0.094	0.840	0.412	insultant
insurance	0.714	0.308	0.825	Assurance
insure	0.700	0.415	0.698	assurer
insurgent	0.235	0.735	0.660	insurgé
insurmountable	0.620	0.627	0.737	insurmontable
insurrection	0.229	0.706	0.582	insurrection
intact	0.716	0.212	0.602	intact
intake	0.604	0.527	0.442	admission
intangible	0.525	0.480	0.473	intangible
integer	0.573	0.327	0.595	entier
integral	0.590	0.337	0.615	intégral
integrate	0.729	0.390	0.700	intégrer
integration	0.771	0.480	0.737	l'intégration
integrity	0.865	0.413	0.848	intégrité
intellect	0.844	0.418	0.870	intellect
intellectual	0.906	0.455	0.845	intellectuel
intelligence	0.833	0.587	0.885	intelligence
intelligent	0.917	0.541	0.868	intelligente
intelligibility	0.740	0.481	0.689	intelligibilité
intelligible	0.635	0.480	0.691	intelligible
intend	0.562	0.520	0.519	intention
intended	0.406	0.542	0.587	prévu
intending	0.510	0.567	0.597	avoir l'intention
intense	0.592	0.774	0.679	intense
intensely	0.694	0.846	0.750	intensément
intensify	0.604	0.870	0.737	intensifier
intensity	0.622	0.930	0.952	intensité
intensive	0.570	0.842	0.776	intensif
intent	0.550	0.481	0.500	intention
intention	0.531	0.480	0.636	intention
intentional	0.650	0.615	0.750	intentionnel
intentionally	0.450	0.676	0.696	intentionnellement
inter	0.510	0.375	0.466	Inter
interact	0.822	0.690	0.759	interagir
interaction	0.646	0.735	0.750	interaction
interactive	0.727	0.811	0.770	interactif
intercede	0.582	0.577	0.630	intercéder
intercept	0.221	0.660	0.676	intercepter
interception	0.327	0.673	0.643	interception
intercession	0.503	0.486	0.598	intercession
interchange	0.615	0.527	0.565	échange
interchangeable	0.615	0.459	0.526	interchangeable
interchanged	0.396	0.472	0.434	échangé
intercom	0.623	0.429	0.453	interphone
intercourse	0.551	0.608	0.557	rapports
interdependence	0.608	0.618	0.639	interdépendance
interdependent	0.410	0.482	0.598	interdépendant
interdiction	0.337	0.500	0.585	interdiction
interest	0.780	0.667	0.618	intérêt
interested	0.750	0.529	0.725	intéressé
interesting	0.927	0.726	0.731	intéressant
interface	0.643	0.357	0.600	interface
interfere	0.323	0.714	0.471	interférer
interference	0.396	0.736	0.357	ingérence
interferometer	0.510	0.510	0.517	interféromètre
intergalactic	0.562	0.661	0.741	intergalactique
interim	0.604	0.400	0.524	intérimaire
interior	0.618	0.157	0.462	intérieur
interject	0.333	0.648	0.658	intervenir
interlocutory	0.490	0.500	0.527	interlocutoire
interlude	0.470	0.417	0.377	interlude
intermediary	0.427	0.510	0.643	intermédiaire
intermediate	0.480	0.368	0.400	intermédiaire
interment	0.235	0.608	0.346	inhumation
interminable	0.327	0.481	0.561	interminable
intermission	0.490	0.360	0.402	entracte
intermittent	0.337	0.565	0.436	intermittent
intern	0.459	0.460	0.392	interne
internal	0.439	0.349	0.423	interne
internally	0.615	0.400	0.616	intérieurement
international	0.800	0.519	0.702	international
internet	0.760	0.462	0.755	l'Internet
internship	0.590	0.510	0.482	stage
interoffice	0.439	0.375	0.556	interbureau
interpolate	0.460	0.490	0.569	interpoler
interpolation	0.419	0.506	0.528	interpolation
interpret	0.646	0.625	0.673	interpréter
interpretation	0.677	0.594	0.620	interprétation
interpreter	0.708	0.461	0.596	interprète
interpretive	0.531	0.549	0.595	interprétatif
interrelated	0.615	0.469	0.592	interdépendant
interrogate	0.323	0.808	0.680	interroger
interrogation	0.302	0.827	0.657	interrogatoire
interrupt	0.210	0.635	0.509	couper la parole
interrupted	0.281	0.559	0.333	interrompu
interrupting	0.146	0.593	0.509	interrompre
interruption	0.184	0.632	0.425	interruption
interrupts	0.204	0.545	0.389	interrompt
intersect	0.521	0.510	0.480	couper
intersection	0.344	0.541	0.658	intersection
interstate	0.520	0.443	0.600	entre États
interstellar	0.708	0.702	0.622	interstellaire
interstitial	0.333	0.471	0.534	interstitiel
interval	0.510	0.284	0.400	intervalle
intervene	0.520	0.677	0.768	intervenir
intervening	0.398	0.627	0.442	intervenant
intervention	0.388	0.696	0.689	intervention
interview	0.573	0.770	0.619	interview
interviewer	0.552	0.736	0.816	interviewer
interworking	0.552	0.587	0.691	interfonctionnement
intestate	0.459	0.467	0.415	intestat
intestinal	0.357	0.531	0.370	intestinal
intestine	0.343	0.450	0.380	intestin
intestines	0.292	0.547	0.398	intestins
intimacy	0.857	0.802	0.558	intimité
intimate	0.724	0.598	0.393	intime
intimately	0.806	0.573	0.590	intimement
intimation	0.406	0.673	0.500	dénonciation
intimidate	0.210	0.804	0.632	intimider
intimidated	0.177	0.663	0.208	intimidé
intimidating	0.229	0.790	0.708	intimidant
intimidation	0.177	0.791	0.644	intimidation
intolerable	0.146	0.660	0.439	intolérable
intolerance	0.052	0.704	0.520	intolérance
intolerant	0.135	0.676	0.509	intolérant
intonation	0.615	0.442	0.598	intonation
intoxicated	0.079	0.824	0.246	ivre
intoxicating	0.224	0.760	0.464	enivrant
intoxication	0.323	0.710	0.400	intoxication
intracranial	0.281	0.602	0.553	intracrânien
intractable	0.154	0.694	0.302	intraitable
intramural	0.490	0.464	0.447	intra-muros
intravenous	0.357	0.538	0.458	intraveineux
intrepid	0.753	0.696	0.637	intrépide
intricate	0.559	0.704	0.500	complexe
intrigue	0.362	0.830	0.327	intrigue
intriguing	0.422	0.713	0.462	intrigant
intrinsic	0.406	0.471	0.526	intrinsèque
intrinsically	0.459	0.382	0.538	intrinsèquement
intro	0.510	0.331	0.657	introduction
introduce	0.592	0.559	0.648	introduire
introduction	0.612	0.413	0.640	introduction
introductory	0.635	0.368	0.593	introduction
introspection	0.603	0.337	0.575	introspection
introspective	0.552	0.360	0.471	introspectif
intrude	0.058	0.735	0.480	s'immiscer
intruder	0.146	0.740	0.324	intrus
intrusion	0.293	0.641	0.670	intrusion
intrusive	0.461	0.607	0.538	intrusif
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	intuition
intuitive	0.771	0.573	0.690	intuitif
intuitively	0.670	0.561	0.648	intuitivement
inundation	0.177	0.780	0.455	inondation
invade	0.408	0.892	0.714	envahir
invader	0.200	0.827	0.618	envahisseur
invalid	0.180	0.330	0.255	non valide
invalidate	0.315	0.480	0.397	invalider
invalidation	0.181	0.490	0.278	annulation
invalidity	0.186	0.394	0.158	invalidité
invaluable	0.740	0.500	0.745	inestimable
invariably	0.458	0.365	0.550	invariablement
invasion	0.271	0.843	0.808	invasion
invasive	0.194	0.730	0.598	envahissant
invent	0.719	0.689	0.833	inventer
invention	0.714	0.577	0.811	invention
