English Word	Valence	Arousal	Dominance	Slovak Word
heartbreak	0.208	0.610	0.245	zlomené srdce
heartbreaker	0.265	0.685	0.580	lámač sŕdc
heartbreaking	0.146	0.811	0.423	srdcervúci
heartbroken	0.082	0.551	0.235	zlomené srdce
heartburn	0.143	0.613	0.398	pálenie záhy
hearted	0.823	0.410	0.805	srdečný
heartfelt	0.904	0.440	0.540	srdečný
hearth	0.760	0.275	0.536	ohnisko
heartily	0.927	0.531	0.664	srdečne
heartland	0.812	0.510	0.675	srdce
heartless	0.071	0.652	0.400	bezcitný
hearts	0.948	0.592	0.634	srdiečka
heartsick	0.240	0.388	0.208	chorý na srdce
heartworm	0.333	0.550	0.430	srdcovka
hearty	0.760	0.684	0.792	výdatný
heat	0.534	0.612	0.433	teplo
heated	0.479	0.497	0.542	vyhrievaný
heater	0.500	0.573	0.538	ohrievač
heath	0.802	0.387	0.546	vresoviská
heathen	0.194	0.529	0.491	pohania
heather	0.500	0.352	0.407	vres
heating	0.647	0.491	0.537	kúrenie
heave	0.716	0.588	0.664	zdvihnúť
heaven	0.896	0.385	0.600	nebo
heavenly	0.844	0.452	0.712	nebeský
heavens	0.806	0.273	0.683	nebesá
heavily	0.542	0.679	0.814	ťažko
heaviness	0.219	0.549	0.318	ťažkosť
heaving	0.201	0.843	0.491	zdvíhanie
heavy	0.250	0.454	0.600	ťažký
heavy metal	0.417	0.755	0.621	Heavy metal
heavyweight	0.429	0.578	0.713	ťažká váha
heck	0.240	0.728	0.560	sakra
hectares	0.570	0.250	0.471	hektárov
hectic	0.167	0.811	0.438	hektický
hedge	0.604	0.602	0.569	živý plot
hedgehog	0.458	0.491	0.377	ježko
hedonism	0.510	0.500	0.608	hedonizmus
hee	0.430	0.433	0.312	hee
heed	0.750	0.490	0.569	pozor
heel	0.480	0.350	0.385	päta
heels	0.500	0.439	0.396	podpätky
heft	0.503	0.340	0.530	heft
hefty	0.550	0.654	0.745	statný
hegemonic	0.462	0.519	0.558	hegemonický
heheh	0.625	0.510	0.278	hehe
heifer	0.439	0.443	0.321	jalovica
height	0.677	0.608	0.648	výška
heighten	0.755	0.622	0.765	zvýšiť
heightened	0.592	0.529	0.788	zvýšená
heinous	0.133	0.792	0.471	ohavný
heir	0.840	0.654	0.764	dedič
heiress	0.827	0.571	0.676	dedička
heirloom	0.684	0.375	0.745	dedičstvo
heirs	0.796	0.519	0.698	dedičia
heist	0.184	0.850	0.645	lúpež
helical	0.379	0.429	0.468	špirálový
helicopter	0.714	0.806	0.617	vrtuľník
helipad	0.780	0.637	0.573	heliport
heliport	0.594	0.604	0.527	heliport
helium	0.490	0.316	0.304	hélium
helix	0.521	0.462	0.509	špirála
hell	0.020	0.918	0.565	peklo
hellfire	0.143	0.890	0.618	pekelný oheň
hellhole	0.200	0.615	0.421	pekelná diera
hellish	0.125	0.860	0.545	pekelný
helm	0.511	0.450	0.615	kormidlo
helmet	0.573	0.327	0.402	prilba
helmsman	0.490	0.441	0.647	kormidelník
help	0.673	0.471	0.460	Pomoc
helper	0.704	0.438	0.567	pomocníka
helpful	0.816	0.337	0.705	užitočné
helpless	0.104	0.420	0.214	bezmocný
helplessness	0.087	0.480	0.250	bezmocnosť
hem	0.562	0.283	0.291	lem
hematite	0.448	0.389	0.342	hematit
hematoma	0.146	0.600	0.398	hematóm
hemi	0.510	0.363	0.342	hemi
hemisphere	0.531	0.367	0.598	hemisféra
hemispheric	0.562	0.449	0.603	pologuľový
hemlock	0.438	0.350	0.434	jedľovec
hemoglobin	0.469	0.481	0.418	hemoglobínu
hemorrhage	0.031	0.849	0.426	krvácanie
hemorrhoids	0.133	0.702	0.304	hemoroidy
hemostat	0.388	0.442	0.464	hemostat
hemp	0.469	0.439	0.422	konope
hen	0.385	0.276	0.241	sliepka
henceforth	0.527	0.404	0.466	odteraz
henhouse	0.500	0.577	0.414	kurník
hepatitis	0.055	0.596	0.358	hepatitída
herald	0.643	0.382	0.500	heraldik
heraldry	0.550	0.520	0.607	heraldika
herb	0.643	0.418	0.353	bylina
herbaceous	0.560	0.220	0.310	bylinný
herbal	0.592	0.255	0.390	bylinný
herbarium	0.602	0.188	0.327	herbár
herbs	0.620	0.299	0.308	bylinky
herd	0.592	0.500	0.474	stádo
hereditary	0.531	0.600	0.737	dedičné
heredity	0.704	0.445	0.818	dedičnosť
heresy	0.265	0.765	0.443	kacírstvo
heretic	0.090	0.710	0.447	heretik
heretical	0.229	0.630	0.487	kacírsky
heretofore	0.479	0.388	0.385	doteraz
hereunto	0.500	0.225	0.333	k tomuto
herewith	0.450	0.360	0.415	týmto
heritage	0.842	0.512	0.815	dedičstvo
hermaphrodite	0.480	0.684	0.481	hermafrodit
hermeneutics	0.406	0.577	0.562	hermeneutika
hermit	0.271	0.337	0.351	pustovník
hernia	0.146	0.486	0.223	pruh
hero	0.940	0.806	0.881	hrdina
heroic	0.890	0.770	0.912	hrdinský
heroics	0.865	0.673	0.894	hrdinstvo
heroin	0.276	0.843	0.655	heroín
heroine	0.729	0.755	0.833	hrdinka
heroism	0.844	0.802	0.898	hrdinstvo
herpes	0.110	0.600	0.309	herpes
herpesvirus	0.219	0.558	0.435	herpesvírus
herring	0.531	0.387	0.422	sleď
hertz	0.396	0.417	0.506	hertz
hesitant	0.333	0.542	0.321	váhavý
hesitate	0.459	0.548	0.232	váhať
hesitating	0.265	0.528	0.240	váhanie
hesitation	0.286	0.396	0.217	váhanie
hetero	0.589	0.405	0.435	hetero
heterogeneity	0.439	0.450	0.556	heterogenita
hew	0.417	0.470	0.377	hew
hex	0.410	0.510	0.363	hex
hexagon	0.542	0.226	0.425	šesťuholník
heyday	0.646	0.680	0.673	rozkvet
hiatus	0.479	0.294	0.352	prestávka
hibernate	0.500	0.317	0.431	hibernovať
hibernation	0.469	0.245	0.384	hibernácia
hiccup	0.271	0.549	0.240	štikútanie
hick	0.357	0.442	0.314	hick
hickey	0.448	0.529	0.345	cucflek
hickory	0.520	0.490	0.415	hikor
hidden	0.208	0.430	0.327	skryté
hide	0.438	0.510	0.218	skryť
hideaway	0.448	0.481	0.360	úkryt
hideous	0.091	0.750	0.328	ohyzdný
hideout	0.337	0.443	0.302	úkryt
hiding	0.250	0.567	0.364	skrývanie
hierarchical	0.521	0.620	0.939	hierarchické
hierarchy	0.583	0.722	0.902	hierarchia
hieroglyphics	0.479	0.325	0.509	hieroglyfy
high	0.684	0.510	0.614	vysoká
high heels	0.646	0.528	0.429	vysoké opätky
highball	0.656	0.520	0.481	highball
higher	0.866	0.528	0.713	vyššie
highest	0.771	0.640	0.710	najvyššie
highland	0.615	0.481	0.611	vysočina
highlands	0.735	0.431	0.596	vysočiny
highlight	0.844	0.637	0.882	Zlatý klinec
highness	0.740	0.670	0.931	výsosť
hight	0.667	0.637	0.645	výška
hightail	0.448	0.480	0.481	hightail
highway	0.640	0.583	0.425	diaľnice
hijack	0.042	0.908	0.594	únos
hijacker	0.104	0.953	0.683	únosca
hike	0.615	0.442	0.538	túra
hiker	0.694	0.802	0.644	turista
hiking	0.820	0.843	0.670	turistika
hiking boot	0.657	0.353	0.446	turistická topánka
hilarious	0.750	0.640	0.537	veselý
hilarity	0.745	0.480	0.575	veselosť
hill	0.615	0.353	0.518	kopec
hillside	0.625	0.292	0.458	svahu
hilltop	0.688	0.643	0.787	vrchol
hilly	0.643	0.479	0.603	kopcovitý
hilt	0.396	0.650	0.537	rukoväť
hind	0.483	0.644	0.337	zadný
hinder	0.276	0.537	0.470	brániť
hindering	0.260	0.654	0.435	brániace
hindrance	0.135	0.545	0.473	prekážka
hindsight	0.333	0.431	0.532	spätný pohľad
hinge	0.458	0.292	0.417	záves
hint	0.602	0.330	0.517	nápoveda
hinterland	0.530	0.520	0.457	vnútrozemie
hip	0.448	0.415	0.345	bedro
hip hop	0.740	0.714	0.484	hip hop
hippie	0.551	0.400	0.396	hippie
hippo	0.490	0.404	0.477	hroch
hippopotamus	0.541	0.472	0.615	hroch
hire	0.688	0.558	0.556	najať
hirsute	0.385	0.483	0.373	chlpatý
hiss	0.388	0.480	0.370	syčať
hissing	0.500	0.454	0.400	syčanie
histology	0.490	0.320	0.560	histológie
historian	0.688	0.270	0.637	historik
historic	0.816	0.473	0.784	historické
historical	0.653	0.357	0.833	historické
historiography	0.562	0.415	0.634	historiografia
history	0.729	0.382	0.754	histórie
hit	0.235	0.931	0.679	zasiahnuť
hitch	0.512	0.480	0.554	ťažné zariadenie
hitchhike	0.396	0.622	0.385	stopovať
hitchhiker	0.594	0.626	0.603	stopár
hitherto	0.448	0.356	0.463	doteraz
hitter	0.418	0.683	0.713	úderník
hive	0.471	0.452	0.544	úľ
hives	0.417	0.473	0.591	žihľavka
hoard	0.506	0.412	0.518	hromadiť
hoarse	0.281	0.402	0.315	chrapľavý
hoary	0.469	0.298	0.424	ošúchaný
hoax	0.146	0.696	0.303	hoax
hob	0.633	0.363	0.415	varná doska
hobbit	0.479	0.489	0.472	hobit
hobby	0.827	0.560	0.471	hobby
hobo	0.323	0.443	0.282	tulák
hock	0.513	0.452	0.412	päty
hockey	0.565	0.786	0.548	hokej
hoe	0.302	0.480	0.418	motyka
hog	0.317	0.509	0.271	prasa
hogwash	0.420	0.490	0.361	prasa
hohoho	0.677	0.433	0.330	Ho Ho Ho
hoist	0.521	0.520	0.458	kladkostroj
hokey	0.604	0.667	0.430	hokey
hold	0.448	0.290	0.364	držať
holder	0.592	0.330	0.713	držiak
holding	0.600	0.385	0.670	držanie
holdup	0.398	0.471	0.398	zdržanie
hole	0.531	0.310	0.330	diera
holiday	0.948	0.431	0.593	dovolenka
holidays	0.939	0.521	0.512	prázdniny
holidayseason	0.875	0.566	0.518	dovolenkové obdobie
holiness	0.860	0.264	0.742	svätosť
holistic	0.670	0.348	0.547	holistický
holler	0.276	0.825	0.406	kričať
hollow	0.300	0.337	0.222	dutý
holly	0.510	0.250	0.443	Svätý
holocaust	0.062	0.918	0.618	holokaustu
hologram	0.615	0.461	0.575	hologram
holographic	0.510	0.471	0.555	holografický
holster	0.561	0.255	0.339	puzdro
holy	0.812	0.112	0.690	svätý
holyspirit	0.740	0.480	0.526	Duch svätý
homage	0.833	0.560	0.737	hold
hombre	0.656	0.472	0.696	hombre
hombres	0.510	0.538	0.652	hombres
home	0.854	0.270	0.545	Domov
homeboy	0.602	0.255	0.436	domáci chlapec
homecoming	0.760	0.413	0.472	návrat domov
homeland	0.663	0.439	0.868	vlasť
homeless	0.042	0.450	0.188	bezdomovci
homely	0.745	0.157	0.399	domácky
homemade	0.869	0.340	0.398	domáce
homeopathic	0.417	0.268	0.400	homeopatický
homeopathy	0.469	0.284	0.439	homeopatia
homeowner	0.635	0.397	0.962	vlastník domu
homeroom	0.604	0.480	0.491	domáca izba
homesick	0.436	0.304	0.347	túžba po domove
homestead	0.865	0.221	0.536	usadlosť
homesweethome	0.796	0.380	0.538	domov, sladký domov
hometown	0.858	0.333	0.605	rodné mesto
homeward	0.833	0.275	0.435	domov
homework	0.396	0.412	0.459	domáca úloha
homey	0.769	0.278	0.500	domáci
homicidal	0.020	0.912	0.573	vražedný
homicide	0.010	0.973	0.518	zabitie
homily	0.621	0.358	0.425	homília
homing	0.551	0.460	0.527	navádzanie
hominy	0.479	0.382	0.429	hominy
homo	0.531	0.368	0.415	homo
homogeneity	0.715	0.365	0.582	homogénnosť
homogeneous	0.552	0.255	0.617	homogénne
homologous	0.471	0.353	0.536	homológne
homologue	0.542	0.356	0.509	homológ
homology	0.571	0.494	0.527	homológiu
homophobic	0.130	0.736	0.464	homofóbny
honcho	0.469	0.464	0.397	hončo
hone	0.688	0.392	0.473	vybrúsiť
honest	0.927	0.254	0.750	čestný
honesty	0.938	0.411	0.728	čestnosť
honey	0.920	0.431	0.510	med
honeycomb	0.541	0.417	0.412	plást
honeymoon	0.979	0.678	0.526	medové týždne
honeysuckle	0.597	0.451	0.517	zimolez
honk	0.549	0.635	0.415	trúbiť
honky	0.458	0.632	0.425	honky
honor	0.896	0.587	0.857	česť
honorable	0.963	0.412	0.830	čestný
honorarium	0.796	0.510	0.746	honorár
honorary	0.885	0.565	0.811	čestný
honored	0.938	0.447	0.732	poctený
hooch	0.429	0.538	0.373	hooch
hood	0.357	0.459	0.306	kapucňa
hooded	0.306	0.745	0.439	s kapucňou
hoodlum	0.354	0.720	0.432	hrdlorez
hoof	0.427	0.341	0.365	kopyto
hook	0.418	0.444	0.395	háčik
hooked	0.610	0.661	0.454	zahnutý
hooker	0.214	0.889	0.373	šlapka
hookup	0.625	0.529	0.683	prípojka
hooky	0.468	0.500	0.452	hákovitý
hooligan	0.295	0.712	0.455	chuligán
hoop	0.635	0.204	0.315	obruč
hoopla	0.542	0.471	0.353	hoopla
hooray	0.610	0.481	0.536	hurá
hoot	0.449	0.560	0.430	húkať
hooter	0.470	0.615	0.455	húkačka
hop	0.450	0.520	0.427	hop
hope	0.927	0.317	0.739	nádej
hopeful	0.947	0.357	0.627	nádejný
hopeless	0.094	0.298	0.112	beznádejný
hopelessness	0.052	0.402	0.223	beznádej
hopes	0.917	0.500	0.702	nádeje
hoping	0.684	0.469	0.454	dúfajúc
hopper	0.396	0.491	0.442	násypka
horde	0.286	0.713	0.684	horda
horizon	0.729	0.284	0.590	horizont
horizontal	0.573	0.304	0.387	horizontálne
horizontally	0.500	0.356	0.439	horizontálne
hormonal	0.500	0.620	0.551	hormonálne
hormone	0.490	0.750	0.621	hormón
horn	0.385	0.510	0.366	roh
horned	0.316	0.610	0.375	rohatý
hornet	0.398	0.594	0.500	sršeň
horny	0.490	0.908	0.560	nadržaný
horoscope	0.500	0.360	0.490	horoskop
horrendous	0.073	0.755	0.365	strašné
horrible	0.071	0.857	0.398	strašné
horribly	0.050	0.631	0.454	strašne
horrid	0.052	0.765	0.419	hrozné
horrific	0.094	0.846	0.481	strašný
horrified	0.040	0.885	0.368	zdesený
horrifying	0.010	0.760	0.352	otrasné
horror	0.115	0.850	0.438	hrôza
horrors	0.061	0.852	0.409	hrôzy
horse	0.635	0.510	0.529	kôň
horseback	0.688	0.588	0.566	konský chrbát
horseman	0.441	0.700	0.676	jazdec
horsepower	0.594	0.735	0.735	Konská sila
horseradish	0.321	0.584	0.476	chren
horseshit	0.153	0.582	0.179	svinstvo
horseshoe	0.673	0.350	0.406	podkova
horsey	0.602	0.454	0.462	konský
horticultural	0.594	0.387	0.509	záhradnícky
horticulture	0.700	0.420	0.434	záhradníctvo
hosannah	0.679	0.373	0.500	hosannah
hose	0.469	0.288	0.263	hadica
hosiery	0.520	0.344	0.373	pančuchový tovar
hospice	0.337	0.443	0.535	hospicu
hospitable	0.791	0.470	0.661	pohostinný
hospital	0.323	0.537	0.598	NEMOCNICA
hospitality	0.865	0.333	0.725	pohostinnosť
host	0.693	0.471	0.537	hostiteľ
hostage	0.163	0.923	0.325	rukojemníkov
hostel	0.479	0.500	0.398	ubytovňa
hostess	0.792	0.604	0.688	hosteska
hostile	0.188	0.877	0.474	nepriateľský
hostilities	0.276	0.810	0.444	nepriateľské akcie
hostility	0.122	0.775	0.465	nepriateľstvo
hot	0.490	0.740	0.573	horúce
hot sauce	0.333	0.740	0.509	pikantná omáčka
hotbed	0.510	0.285	0.395	ohnisko
hotdog	0.720	0.438	0.373	párok v rožku
hotel	0.740	0.370	0.407	hotel
hothead	0.240	0.849	0.518	horúca hlava
hotline	0.592	0.565	0.663	horúcu linku
hotshot	0.500	0.727	0.615	horúca strela
hotyoga	0.683	0.609	0.446	hotyoga
hound	0.417	0.528	0.582	chrt
hour	0.552	0.265	0.336	hodina
hourglass	0.542	0.284	0.492	presýpacie hodiny
hourly	0.469	0.418	0.491	každú hodinu
house	0.587	0.135	0.533	dom
houseboat	0.604	0.389	0.429	hausbót
houseboy	0.479	0.415	0.393	domáci chlapec
housebroken	0.518	0.461	0.389	rozbitý
houseguest	0.530	0.500	0.481	domáci hosť
household	0.781	0.230	0.667	domácnosti
householder	0.816	0.541	0.833	hospodár
housekeeper	0.694	0.279	0.520	gazdiná
housekeeping	0.604	0.500	0.445	upratovanie
housewarming	0.857	0.710	0.727	kolaudácia
housewife	0.656	0.361	0.449	gazdiná
housework	0.484	0.413	0.342	domáce práce
housing	0.776	0.304	0.591	bývanie
hovel	0.333	0.296	0.322	chatrč
hover	0.510	0.431	0.404	vznášať sa
hovercraft	0.541	0.654	0.588	vznášadlo
howl	0.357	0.646	0.407	zavýjať
howsoever	0.459	0.309	0.345	akokoľvek
hoy	0.583	0.298	0.471	ahoj
hub	0.479	0.399	0.433	stredisko
hubby	0.548	0.435	0.430	manžel
huckleberry	0.600	0.279	0.296	čučoriedka
huddle	0.604	0.509	0.445	schúliť sa
hue	0.507	0.416	0.417	odtieň
huff	0.388	0.491	0.315	huff
huffy	0.420	0.616	0.375	nafúkaný
hug	0.908	0.427	0.548	objatie
huge	0.573	0.625	0.783	obrovský
hugger	0.520	0.480	0.412	objímať
huggy	0.854	0.429	0.451	huggy
hugs	0.980	0.422	0.600	objatia
hulk	0.460	0.740	0.750	vrak
hull	0.542	0.265	0.353	trup
hum	0.490	0.296	0.276	hukot
human	0.767	0.314	0.605	človek
humane	0.800	0.370	0.580	humánny
humanitarian	0.786	0.317	0.709	humanitárne
humanities	0.729	0.325	0.677	humanitné vedy
humanity	0.750	0.360	0.727	ľudskosť
humankind	0.885	0.394	0.714	ľudstvo
humanoid	0.521	0.462	0.491	humanoid
humanrights	0.792	0.559	0.730	ľudské práva
humble	0.867	0.236	0.483	pokorný
humbled	0.280	0.618	0.198	ponížený
humbly	0.771	0.194	0.370	pokorne
humbug	0.219	0.622	0.456	humbug
humdrum	0.269	0.246	0.353	humbum
humid	0.375	0.324	0.366	vlhké
humidity	0.464	0.373	0.367	vlhkosť
humiliate	0.052	0.714	0.275	ponížiť
humiliated	0.104	0.712	0.216	ponížený
humiliating	0.062	0.716	0.279	ponižujúce
humiliation	0.048	0.712	0.310	poníženie
humility	0.740	0.118	0.444	pokora
hummer	0.510	0.622	0.589	hummer
hummingbird	0.750	0.370	0.273	kolibrík
humongous	0.378	0.538	0.536	obrovský
humor	0.890	0.633	0.462	humor
humored	0.854	0.657	0.545	humorný
humorist	0.958	0.790	0.607	humorista
humorous	0.906	0.616	0.665	humorný
hump	0.296	0.462	0.250	hrb
humpback	0.235	0.346	0.247	hrbáč
hunch	0.561	0.630	0.567	tušiť
hunchback	0.208	0.390	0.259	hrbatý
hundred	0.604	0.370	0.406	sto
hundredth	0.427	0.368	0.466	stotina
hunger	0.083	0.554	0.328	hlad
hungry	0.083	0.690	0.254	hladný
hunk	0.438	0.375	0.361	kus
hunks	0.417	0.453	0.482	fešáci
hunky	0.469	0.571	0.438	hunky
hunt	0.327	0.806	0.588	loviť
hunter	0.292	0.817	0.817	lovec
hunting	0.448	0.713	0.714	lov
huntress	0.357	0.717	0.765	lovkyňa
hurdle	0.198	0.682	0.434	prekážka
hurl	0.316	0.745	0.574	vrhnúť
hurrah	0.802	0.740	0.500	hurááá
hurricane	0.177	0.958	0.787	hurikán
hurricanes	0.286	0.898	0.784	hurikány
hurried	0.314	0.806	0.393	ponáhľal
hurry	0.422	0.735	0.481	ponáhľaj sa
hurryup	0.473	0.791	0.555	ponáhľaj sa
hurt	0.062	0.773	0.291	ublížiť
hurtful	0.104	0.680	0.463	zraňujúci
hurting	0.153	0.778	0.221	bolieť
husband	0.771	0.500	0.655	manžel
husbandry	0.643	0.473	0.445	chov
hush	0.471	0.231	0.312	ticho
hushed	0.292	0.194	0.272	utíšil
husk	0.378	0.173	0.147	šupka
husky	0.630	0.450	0.490	husky
hussy	0.219	0.594	0.384	hussy
hustle	0.406	0.661	0.427	zhon
hustler	0.260	0.821	0.627	podvodník
hut	0.633	0.270	0.375	chatrč
hutch	0.385	0.453	0.520	chatrč
hyacinth	0.372	0.360	0.342	hyacint
hybrid	0.500	0.365	0.570	Hybrid
hydra	0.406	0.598	0.534	hydra
hydrant	0.570	0.413	0.367	HYDRANT
hydrate	0.610	0.367	0.547	hydratovať
hydraulic	0.522	0.398	0.596	hydraulické
hydraulics	0.500	0.530	0.588	hydraulika
hydrocephalus	0.286	0.629	0.393	hydrocefalus
hydrodynamics	0.552	0.582	0.664	hydrodynamika
hydrogen	0.469	0.303	0.554	vodík
hydrographic	0.490	0.396	0.642	hydrografický
hydrology	0.500	0.380	0.509	hydrológie
hydrophobia	0.323	0.784	0.351	hydrofóbia
hydroponics	0.500	0.549	0.500	hydropónia
hyena	0.396	0.719	0.464	hyena
hygiene	0.781	0.287	0.537	hygiena
hygienic	0.719	0.245	0.702	hygienické
hygienist	0.698	0.389	0.682	hygienik
hymen	0.469	0.651	0.457	panenská blana
hymn	0.735	0.292	0.634	hymna
hype	0.510	0.500	0.586	humbuk
hyped	0.708	0.582	0.679	medializovaný
hyper	0.542	0.616	0.640	hyper
hyperactive	0.500	0.921	0.660	hyperaktívny
hyperbole	0.469	0.521	0.542	hyperbola
hyperspace	0.510	0.623	0.755	hyperpriestor
hypertension	0.133	0.784	0.427	hypertenzia
hypertrophy	0.312	0.625	0.413	hypertrofia
hyperventilate	0.347	0.729	0.556	hyperventilovať
hyperventilating	0.164	0.802	0.625	hyperventilácia
hyphen	0.552	0.356	0.381	spojovník
hypnosis	0.417	0.410	0.546	hypnóza
hypnotic	0.571	0.560	0.569	hypnotikum
hypnotist	0.490	0.455	0.627	hypnotizér
hypnotize	0.469	0.507	0.508	hypnotizovať
hypnotized	0.449	0.434	0.380	zhypnotizovaný
hypochondriac	0.194	0.588	0.333	hypochonder
hypocrisy	0.156	0.523	0.370	pokrytectvo
hypocrite	0.082	0.673	0.306	pokrytec
hypocritical	0.048	0.740	0.415	pokrytecký
hypodermic	0.240	0.441	0.445	hypodermický
hypothalamus	0.593	0.427	0.539	hypotalamus
hypothermia	0.184	0.620	0.301	podchladenie
hypothesis	0.552	0.370	0.509	hypotéza
hypothetical	0.480	0.367	0.361	hypotetický
hysterectomy	0.178	0.660	0.470	hysterektómii
hysteria	0.224	0.906	0.482	hystéria
hysterical	0.290	0.942	0.398	hysterický
ibuprofen	0.448	0.427	0.504	ibuprofén
ice	0.440	0.265	0.219	ľad
ice tea	0.771	0.337	0.336	ľadový čaj
iceberg	0.344	0.540	0.648	ľadovca
icebox	0.560	0.222	0.370	mraziaci box
icebreaker	0.571	0.545	0.848	ľadoborec
iced	0.564	0.482	0.339	ľadový
icing	0.688	0.452	0.411	námraza
icky	0.357	0.510	0.342	icky
icon	0.549	0.349	0.415	ikonu
iconic	0.583	0.537	0.700	ikonický
iconography	0.602	0.382	0.653	ikonografia
icy	0.684	0.375	0.345	ľadový
id	0.449	0.344	0.391	id
idea	0.750	0.538	0.704	nápad
ideal	0.802	0.437	0.736	ideálne
idealism	0.635	0.436	0.689	idealizmus
idealist	0.816	0.510	0.802	idealista
idealistic	0.812	0.469	0.755	idealistický
identical	0.635	0.380	0.527	identické
identically	0.667	0.427	0.487	identicky
identification	0.714	0.451	0.692	identifikácia
identify	0.635	0.480	0.667	identifikovať
identity	0.663	0.360	0.780	identity
ideology	0.573	0.344	0.692	ideológie
idiocy	0.112	0.635	0.137	idiocie
idiom	0.520	0.337	0.445	idiom
idiomatic	0.531	0.429	0.516	idiomatický
idiot	0.086	0.567	0.113	idiot
idiotic	0.104	0.620	0.170	idiotský
idiots	0.143	0.600	0.144	idioti
idle	0.179	0.167	0.112	nečinný
idleness	0.308	0.330	0.228	nečinnosť
idler	0.200	0.304	0.194	nečinný
idol	0.684	0.805	0.853	idol
idolatry	0.365	0.571	0.625	modlárstvo
idolizing	0.676	0.712	0.643	zbožňovanie
idyllic	0.571	0.394	0.593	idylický
iffy	0.380	0.442	0.333	podradný
ifonly	0.406	0.250	0.255	Kiežby
igloo	0.569	0.302	0.345	iglu
igneous	0.469	0.466	0.517	magmatický
ignite	0.458	0.785	0.675	zapáliť
ignition	0.365	0.720	0.657	zapálenie
ignorance	0.153	0.417	0.209	nevedomosť
ignorant	0.102	0.461	0.223	neznalý
ignore	0.146	0.230	0.295	ignorovať
iguana	0.521	0.235	0.291	leguán
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	podobne
ill	0.073	0.410	0.200	chorý
illegal	0.061	0.787	0.337	nezákonné
illegality	0.094	0.635	0.427	nezákonnosti
illegally	0.133	0.788	0.402	nelegálne
illegible	0.296	0.490	0.315	nečitateľné
illegitimate	0.184	0.644	0.302	nelegitímne
illicit	0.188	0.794	0.390	nedovolené
illiterate	0.120	0.410	0.151	negramotný
illness	0.098	0.717	0.211	choroba
illogical	0.208	0.630	0.251	nelogické
illuminate	0.905	0.646	0.782	osvetliť
illuminating	0.949	0.613	0.773	osvetľujúce
illumination	0.760	0.588	0.537	osvetlenie
illuminator	0.770	0.566	0.718	iluminátor
illusion	0.562	0.490	0.387	ilúzia
illustrate	0.750	0.430	0.690	ilustrovať
illustration	0.740	0.441	0.640	ilustrácie
illustrative	0.771	0.452	0.647	ilustratívny
illustrious	0.673	0.550	0.741	preslávený
ilovechristmas	0.885	0.590	0.525	ilovevianoce
iloveher	0.750	0.519	0.556	milujem ju
image	0.653	0.241	0.453	obrázok
imagery	0.653	0.327	0.390	obraznosť
imaginable	0.613	0.529	0.596	predstaviteľné
imaginary	0.560	0.424	0.310	imaginárny
imagination	0.802	0.491	0.547	predstavivosť
imaginative	0.780	0.541	0.593	nápadité
imagine	0.759	0.480	0.587	predstavte si
imagined	0.656	0.412	0.418	si predstavoval
imaging	0.724	0.394	0.482	zobrazovanie
imagining	0.765	0.458	0.545	predstavovať si
imam	0.527	0.337	0.539	imám
imbalance	0.115	0.538	0.264	nerovnováha
imbecile	0.082	0.569	0.260	imbecil
imbedded	0.406	0.580	0.562	vložené
imissyou	0.480	0.608	0.344	chýbaš mi
imitate	0.469	0.561	0.336	imitovať
imitated	0.333	0.391	0.442	napodobnil
imitation	0.406	0.592	0.343	imitácia
immaculate	0.698	0.330	0.688	nepoškvrnený
immaterial	0.296	0.309	0.295	nehmotný
immature	0.114	0.500	0.200	nevyspelý
immaturity	0.146	0.567	0.221	nezrelosť
immeasurable	0.510	0.539	0.712	nemerateľný
immeasurably	0.510	0.640	0.680	nezmerateľne
immediacy	0.635	0.630	0.627	bezprostrednosť
immediate	0.656	0.548	0.716	okamžitý
immediately	0.552	0.780	0.707	okamžite
immemorial	0.327	0.469	0.454	nepamätný
immense	0.755	0.750	0.811	nesmierny
immerse	0.510	0.577	0.509	ponoriť
immersion	0.510	0.556	0.564	ponorenie
immigrant	0.357	0.663	0.509	prisťahovalec
immigration	0.390	0.667	0.454	imigrácia
imminent	0.490	0.784	0.643	hroziacej
immobile	0.225	0.217	0.298	imobilný
immoral	0.143	0.622	0.385	nemorálny
immorality	0.188	0.689	0.315	nemravnosť
immortal	0.812	0.750	0.795	nesmrteľný
immortality	0.688	0.635	0.861	nesmrteľnosť
immovable	0.480	0.310	0.571	nepojazdný
immune	0.629	0.472	0.780	imúnny
immunity	0.633	0.316	0.786	imunita
immunization	0.667	0.510	0.733	imunizácia
immutable	0.427	0.431	0.571	nemenný
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	vplyv
impair	0.153	0.500	0.360	zhoršiť
impaired	0.130	0.459	0.269	narušený
impairment	0.170	0.571	0.220	oslabenie
impart	0.521	0.441	0.694	odovzdať
impartial	0.531	0.406	0.685	nestranný
impartiality	0.622	0.394	0.616	nestrannosť
impassable	0.342	0.458	0.553	nepriechodné
impassioned	0.740	0.780	0.802	vášnivý
impatience	0.278	0.780	0.411	netrpezlivosť
impatient	0.250	0.708	0.429	netrpezlivý
impatiently	0.194	0.750	0.539	netrpezlivo
impeach	0.208	0.776	0.664	obžalovať
impeachment	0.163	0.735	0.694	obvinenie
