English Word	Valence	Arousal	Dominance	Kurdish-Kurmanji Word
header	0.560	0.398	0.740	header
headgear	0.542	0.442	0.571	headgear
heading	0.551	0.292	0.642	sernivîs
headland	0.574	0.551	0.430	headland
headless	0.136	0.582	0.235	bê serî
headlight	0.592	0.343	0.393	çira trimbêlan
headline	0.630	0.241	0.685	serrêza nivîs
headliner	0.500	0.490	0.625	headliner
headlock	0.448	0.538	0.560	headlock
headlong	0.354	0.548	0.409	serî
headmaster	0.604	0.564	0.865	serdar
headphones	0.600	0.357	0.336	headphones
headquarter	0.615	0.269	0.525	navenda
headquarters	0.615	0.271	0.525	sergeh
headset	0.602	0.340	0.302	headset
headstone	0.240	0.378	0.349	kevirê serî
headstrong	0.310	0.714	0.500	serê xwe
headway	0.823	0.464	0.745	serî
heady	0.448	0.806	0.565	serêşî
heal	0.765	0.245	0.556	saxkirin
healer	0.863	0.378	0.741	dermanker
healing	0.750	0.452	0.585	saxkirin
health	0.935	0.427	0.551	tendûrûstî
healthcare	0.780	0.392	0.630	parastina saxlemîyê
healthful	0.930	0.315	0.769	saxlem
healthy	0.938	0.319	0.818	sax
heap	0.582	0.510	0.474	heap
hear	0.760	0.429	0.444	gûhdarkirin
hearer	0.656	0.281	0.415	guhdar
hearing	0.669	0.490	0.595	seh
hearsay	0.288	0.623	0.333	bihîstin
hearse	0.177	0.490	0.324	cenaze
heart	0.827	0.500	0.693	dil
heart disease	0.250	0.750	0.386	nexweşiya dil
heartache	0.088	0.750	0.291	êşa dil
heartattack	0.156	0.839	0.455	hêrişa dilî
heartbeat	0.750	0.698	0.585	dillêdanî
heartbreak	0.208	0.610	0.245	dilşikestî
heartbreaker	0.265	0.685	0.580	dilşikestî
heartbreaking	0.146	0.811	0.423	dilşikestî
heartbroken	0.082	0.551	0.235	dilşikestî
heartburn	0.143	0.613	0.398	serdilşewatî
hearted	0.823	0.410	0.805	dildar
heartfelt	0.904	0.440	0.540	ji dil
hearth	0.760	0.275	0.536	hearth
heartily	0.927	0.531	0.664	ji dil
heartland	0.812	0.510	0.675	heartland
heartless	0.071	0.652	0.400	bê dil
hearts	0.948	0.592	0.634	dilên
heartsick	0.240	0.388	0.208	dilgiran
heartworm	0.333	0.550	0.430	kurmê dil
hearty	0.760	0.684	0.792	dildar
heat	0.534	0.612	0.433	germa
heated	0.479	0.497	0.542	germ kirin
heater	0.500	0.573	0.538	germakir
heath	0.802	0.387	0.546	heath
heathen	0.194	0.529	0.491	dîn
heather	0.500	0.352	0.407	heather
heating	0.647	0.491	0.537	sofac
heave	0.716	0.588	0.664	heave
heaven	0.896	0.385	0.600	ezman
heavenly	0.844	0.452	0.712	bihiştî
heavens	0.806	0.273	0.683	ezmên
heavily	0.542	0.679	0.814	bi giranî
heaviness	0.219	0.549	0.318	giranî
heaving	0.201	0.843	0.491	hejandin
heavy	0.250	0.454	0.600	giran
heavy metal	0.417	0.755	0.621	metal giran
heavyweight	0.429	0.578	0.713	giran
heck	0.240	0.728	0.560	heck
hectares	0.570	0.250	0.471	hektar
hectic	0.167	0.811	0.438	sergêjane
hedge	0.604	0.602	0.569	dehl
hedgehog	0.458	0.491	0.377	jîjo
hedonism	0.510	0.500	0.608	hedonîzm
hee	0.430	0.433	0.312	hee
heed	0.750	0.490	0.569	guh bidin
heel	0.480	0.350	0.385	kerkê pê
heels	0.500	0.439	0.396	heels
heft	0.503	0.340	0.530	heft
hefty	0.550	0.654	0.745	hefty
hegemonic	0.462	0.519	0.558	hegemonîk
heheh	0.625	0.510	0.278	heheh
heifer	0.439	0.443	0.321	heifer
height	0.677	0.608	0.648	bilindî
heighten	0.755	0.622	0.765	bilindkirin
heightened	0.592	0.529	0.788	bilind kirin
heinous	0.133	0.792	0.471	hovane
heir	0.840	0.654	0.764	mîratgir
heiress	0.827	0.571	0.676	mîratgir
heirloom	0.684	0.375	0.745	mîratmal
heirs	0.796	0.519	0.698	wêrisan
heist	0.184	0.850	0.645	heist
helical	0.379	0.429	0.468	helîk
helicopter	0.714	0.806	0.617	helîkopter
helipad	0.780	0.637	0.573	helipad
heliport	0.594	0.604	0.527	heliport
helium	0.490	0.316	0.304	helium
helix	0.521	0.462	0.509	helix
hell	0.020	0.918	0.565	cehnem
hellfire	0.143	0.890	0.618	dojehê
hellhole	0.200	0.615	0.421	hellhole
hellish	0.125	0.860	0.545	dojeh
helm	0.511	0.450	0.615	bêr
helmet	0.573	0.327	0.402	serparêz
helmsman	0.490	0.441	0.647	helmsman
help	0.673	0.471	0.460	alîkarî
helper	0.704	0.438	0.567	alîkar
helpful	0.816	0.337	0.705	alîkarane
helpless	0.104	0.420	0.214	bêçare
helplessness	0.087	0.480	0.250	bêçaretî
hem	0.562	0.283	0.291	dor
hematite	0.448	0.389	0.342	hematite
hematoma	0.146	0.600	0.398	hematoma
hemi	0.510	0.363	0.342	hemi
hemisphere	0.531	0.367	0.598	dorhalî
hemispheric	0.562	0.449	0.603	hemispheric
hemlock	0.438	0.350	0.434	hemlock
hemoglobin	0.469	0.481	0.418	hemoglobîn
hemorrhage	0.031	0.849	0.426	hemorrajî
hemorrhoids	0.133	0.702	0.304	hemorroîd
hemostat	0.388	0.442	0.464	hemostat
hemp	0.469	0.439	0.422	hemp
hen	0.385	0.276	0.241	mirîşk
henceforth	0.527	0.404	0.466	ji vir pê ve
henhouse	0.500	0.577	0.414	henhouse
hepatitis	0.055	0.596	0.358	hepatît
herald	0.643	0.382	0.500	herald
heraldry	0.550	0.520	0.607	heraldry
herb	0.643	0.418	0.353	gîha
herbaceous	0.560	0.220	0.310	herbaceous
herbal	0.592	0.255	0.390	herbal
herbarium	0.602	0.188	0.327	herbarium
herbs	0.620	0.299	0.308	giyayên
herd	0.592	0.500	0.474	naxir
hereditary	0.531	0.600	0.737	mîrasî
heredity	0.704	0.445	0.818	derbasdibe
heresy	0.265	0.765	0.443	heresy
heretic	0.090	0.710	0.447	heretîk
heretical	0.229	0.630	0.487	heretîk
heretofore	0.479	0.388	0.385	heta niha
hereunto	0.500	0.225	0.333	hereunto
herewith	0.450	0.360	0.415	herewith
heritage	0.842	0.512	0.815	heritage
hermaphrodite	0.480	0.684	0.481	hermafrodît
hermeneutics	0.406	0.577	0.562	hermeneutîk
hermit	0.271	0.337	0.351	bicîbû
hernia	0.146	0.486	0.223	şikesta
hero	0.940	0.806	0.881	qehreman
heroic	0.890	0.770	0.912	qehremanî
heroics	0.865	0.673	0.894	lehengan
heroin	0.276	0.843	0.655	eroîn
heroine	0.729	0.755	0.833	heroine
heroism	0.844	0.802	0.898	lehengiyê
herpes	0.110	0.600	0.309	herpes
herpesvirus	0.219	0.558	0.435	herpesvirus
herring	0.531	0.387	0.422	herring
hertz	0.396	0.417	0.506	hertz
hesitant	0.333	0.542	0.321	dudil
hesitate	0.459	0.548	0.232	dudilî
hesitating	0.265	0.528	0.240	dudilî
hesitation	0.286	0.396	0.217	rirsî
hetero	0.589	0.405	0.435	hetero
heterogeneity	0.439	0.450	0.556	heterojenî
hew	0.417	0.470	0.377	hew
hex	0.410	0.510	0.363	hex
hexagon	0.542	0.226	0.425	şeşqozî
heyday	0.646	0.680	0.673	heyday
hiatus	0.479	0.294	0.352	navber
hibernate	0.500	0.317	0.431	hibernate
hibernation	0.469	0.245	0.384	xewa zivistanê
hiccup	0.271	0.549	0.240	qirpik
hick	0.357	0.442	0.314	hick
hickey	0.448	0.529	0.345	hickey
hickory	0.520	0.490	0.415	hickory
hidden	0.208	0.430	0.327	veşartî
hide	0.438	0.510	0.218	veşartin
hideaway	0.448	0.481	0.360	hideaway
hideous	0.091	0.750	0.328	xedar
hideout	0.337	0.443	0.302	veşart
hiding	0.250	0.567	0.364	veşartin
hierarchical	0.521	0.620	0.939	hiyerarşîk
hierarchy	0.583	0.722	0.902	hiyerarşî
hieroglyphics	0.479	0.325	0.509	hieroglifîk
high	0.684	0.510	0.614	bilind
high heels	0.646	0.528	0.429	pîtên mezin
highball	0.656	0.520	0.481	highball
higher	0.866	0.528	0.713	bilindtir
highest	0.771	0.640	0.710	herî bilind
highland	0.615	0.481	0.611	bilindahî
highlands	0.735	0.431	0.596	bilindahiyan
highlight	0.844	0.637	0.882	highlight
highness	0.740	0.670	0.931	bilindahî
hight	0.667	0.637	0.645	hight
hightail	0.448	0.480	0.481	hightail
highway	0.640	0.583	0.425	rê
hijack	0.042	0.908	0.594	revandin
hijacker	0.104	0.953	0.683	hijacker
hike	0.615	0.442	0.538	gerrîn
hiker	0.694	0.802	0.644	gerrok
hiking	0.820	0.843	0.670	meşîn
hiking boot	0.657	0.353	0.446	bootê meşîn
hilarious	0.750	0.640	0.537	hilarious
hilarity	0.745	0.480	0.575	hilanîn
hill	0.615	0.353	0.518	girik
hillside	0.625	0.292	0.458	çiyê
hilltop	0.688	0.643	0.787	hilltop
hilly	0.643	0.479	0.603	girikî
hilt	0.396	0.650	0.537	hilt
hind	0.483	0.644	0.337	hind
hinder	0.276	0.537	0.470	manibûn
hindering	0.260	0.654	0.435	asteng kirin
hindrance	0.135	0.545	0.473	mani
hindsight	0.333	0.431	0.532	hindsight
hinge	0.458	0.292	0.417	çengelê seyda masîyan
hint	0.602	0.330	0.517	geşî
hinterland	0.530	0.520	0.457	hinterland
hip	0.448	0.415	0.345	kûlîmek
hip hop	0.740	0.714	0.484	hîp hop
hippie	0.551	0.400	0.396	hippie
hippo	0.490	0.404	0.477	hippo
hippopotamus	0.541	0.472	0.615	gamêşê nîlê
hire	0.688	0.558	0.556	îcarkirin
hirsute	0.385	0.483	0.373	hirsute
hiss	0.388	0.480	0.370	zîzdan
hissing	0.500	0.454	0.400	hissing
histology	0.490	0.320	0.560	histology
historian	0.688	0.270	0.637	dîrokzan
historic	0.816	0.473	0.784	dîrokî
historical	0.653	0.357	0.833	dîrokî
historiography	0.562	0.415	0.634	dîroknasî
history	0.729	0.382	0.754	dîrok
hit	0.235	0.931	0.679	lêxistin
hitch	0.512	0.480	0.554	pêvgirêdan
hitchhike	0.396	0.622	0.385	otostopê
hitchhiker	0.594	0.626	0.603	hitchhiker
hitherto	0.448	0.356	0.463	heta niha
hitter	0.418	0.683	0.713	hitter
hive	0.471	0.452	0.544	hive
hives	0.417	0.473	0.591	hives
hoard	0.506	0.412	0.518	hoard
hoarse	0.281	0.402	0.315	dengketî
hoary	0.469	0.298	0.424	hoary
hoax	0.146	0.696	0.303	hoax
hob	0.633	0.363	0.415	hob
hobbit	0.479	0.489	0.472	hobbit
hobby	0.827	0.560	0.471	karkêfî
hobo	0.323	0.443	0.282	hobo
hock	0.513	0.452	0.412	hock
hockey	0.565	0.786	0.548	hockey
hoe	0.302	0.480	0.418	çengel
hog	0.317	0.509	0.271	beraz
hogwash	0.420	0.490	0.361	hogwash
hohoho	0.677	0.433	0.330	hohoho
hoist	0.521	0.520	0.458	esansor
hokey	0.604	0.667	0.430	hokey
hold	0.448	0.290	0.364	rawestan
holder	0.592	0.330	0.713	xwedî
holding	0.600	0.385	0.670	hilgirtin
holdup	0.398	0.471	0.398	asteng kirin
hole	0.531	0.310	0.330	qûl
holiday	0.948	0.431	0.593	karbetalî
holidays	0.939	0.521	0.512	cejnan
holidayseason	0.875	0.566	0.518	betlaneyê
holiness	0.860	0.264	0.742	rûhanî
holistic	0.670	0.348	0.547	holistic
holler	0.276	0.825	0.406	holler
hollow	0.300	0.337	0.222	navvala
holly	0.510	0.250	0.443	holly
holocaust	0.062	0.918	0.618	holocaust
hologram	0.615	0.461	0.575	hologram
holographic	0.510	0.471	0.555	holographic
holster	0.561	0.255	0.339	holster
holy	0.812	0.112	0.690	rûhane
holyspirit	0.740	0.480	0.526	ruhê pîroz
homage	0.833	0.560	0.737	navbilindkirin
hombre	0.656	0.472	0.696	hombre
hombres	0.510	0.538	0.652	hombres
home	0.854	0.270	0.545	xane
homeboy	0.602	0.255	0.436	zarokê malê
homecoming	0.760	0.413	0.472	hatina malê
homeland	0.663	0.439	0.868	welat
homeless	0.042	0.450	0.188	bêmal
homely	0.745	0.157	0.399	homely
homemade	0.869	0.340	0.398	homemade
homeopathic	0.417	0.268	0.400	homeopathic
homeopathy	0.469	0.284	0.439	homeopatî
homeowner	0.635	0.397	0.962	xwediyê malê
homeroom	0.604	0.480	0.491	odeya malê
homesick	0.436	0.304	0.347	hesreta mal
homestead	0.865	0.221	0.536	xanî
homesweethome	0.796	0.380	0.538	dirav dan
hometown	0.858	0.333	0.605	bajarê malê
homeward	0.833	0.275	0.435	mala xwe
homework	0.396	0.412	0.459	wazîfa malê
homey	0.769	0.278	0.500	homey
homicidal	0.020	0.912	0.573	kuştinê
homicide	0.010	0.973	0.518	kûştinî
homily	0.621	0.358	0.425	homily
homing	0.551	0.460	0.527	mal
hominy	0.479	0.382	0.429	hominy
homo	0.531	0.368	0.415	homo
homogeneity	0.715	0.365	0.582	homojenî
homogeneous	0.552	0.255	0.617	homojen
homologous	0.471	0.353	0.536	homolog
homologue	0.542	0.356	0.509	homolog
homology	0.571	0.494	0.527	homolojî
homophobic	0.130	0.736	0.464	homofobîk
honcho	0.469	0.464	0.397	honcho
hone	0.688	0.392	0.473	hone
honest	0.927	0.254	0.750	dilpaqij
honesty	0.938	0.411	0.728	rastî
honey	0.920	0.431	0.510	hûngiv
honeycomb	0.541	0.417	0.412	darê mêşa hûngiv
honeymoon	0.979	0.678	0.526	gera paşzewacê
honeysuckle	0.597	0.451	0.517	honeysuckle
honk	0.549	0.635	0.415	honk
honky	0.458	0.632	0.425	honky
honor	0.896	0.587	0.857	namûs
honorable	0.963	0.412	0.830	binamûs
honorarium	0.796	0.510	0.746	rûmetdar
honorary	0.885	0.565	0.811	rûmetdar
honored	0.938	0.447	0.732	bi rûmet
hooch	0.429	0.538	0.373	hooch
hood	0.357	0.459	0.306	kûmik
hooded	0.306	0.745	0.439	hooded
hoodlum	0.354	0.720	0.432	hoodlum
hoof	0.427	0.341	0.365	nal
hook	0.418	0.444	0.395	çengel
hooked	0.610	0.661	0.454	girêdaye
hooker	0.214	0.889	0.373	hooker
hookup	0.625	0.529	0.683	pêwendî
hooky	0.468	0.500	0.452	hooky
hooligan	0.295	0.712	0.455	holigan
hoop	0.635	0.204	0.315	hoop
hoopla	0.542	0.471	0.353	hoopla
hooray	0.610	0.481	0.536	hooray
hoot	0.449	0.560	0.430	hoot
hooter	0.470	0.615	0.455	hooter
hop	0.450	0.520	0.427	hilperkîn
hope	0.927	0.317	0.739	hêvî
hopeful	0.947	0.357	0.627	hêvîyane
hopeless	0.094	0.298	0.112	bêhêvî
hopelessness	0.052	0.402	0.223	bêhêvîbûn
hopes	0.917	0.500	0.702	hêvî dike
hoping	0.684	0.469	0.454	hêvî dikin
hopper	0.396	0.491	0.442	hopper
horde	0.286	0.713	0.684	horde
horizon	0.729	0.284	0.590	asûman
horizontal	0.573	0.304	0.387	asumane
horizontally	0.500	0.356	0.439	horizontal
hormonal	0.500	0.620	0.551	hormonal
hormone	0.490	0.750	0.621	hormone
horn	0.385	0.510	0.366	qiloç
horned	0.316	0.610	0.375	horned
hornet	0.398	0.594	0.500	moz
horny	0.490	0.908	0.560	horny
horoscope	0.500	0.360	0.490	horoscope
horrendous	0.073	0.755	0.365	hovane
horrible	0.071	0.857	0.398	xofane
horribly	0.050	0.631	0.454	bi hovane
horrid	0.052	0.765	0.419	tirsnak
horrific	0.094	0.846	0.481	horrific
horrified	0.040	0.885	0.368	tirsandin
horrifying	0.010	0.760	0.352	horrifying
horror	0.115	0.850	0.438	xof
horrors	0.061	0.852	0.409	horrors
horse	0.635	0.510	0.529	hesp
horseback	0.688	0.588	0.566	siwarî
horseman	0.441	0.700	0.676	siwarî
horsepower	0.594	0.735	0.735	hêza hesp
horseradish	0.321	0.584	0.476	hesp
horseshit	0.153	0.582	0.179	horseshit
horseshoe	0.673	0.350	0.406	nalhesin
horsey	0.602	0.454	0.462	siwarî
horticultural	0.594	0.387	0.509	baxçevanî
horticulture	0.700	0.420	0.434	bexçeavahî
hosannah	0.679	0.373	0.500	hosannah
hose	0.469	0.288	0.263	xertûm
hosiery	0.520	0.344	0.373	hosiery
hospice	0.337	0.443	0.535	hospice
hospitable	0.791	0.470	0.661	mêvanperwer
hospital	0.323	0.537	0.598	nexweşxane
hospitality	0.865	0.333	0.725	mêvanperwerî
host	0.693	0.471	0.537	mazûban
hostage	0.163	0.923	0.325	rehîn
hostel	0.479	0.500	0.398	hostel
hostess	0.792	0.604	0.688	mazûban
hostile	0.188	0.877	0.474	neyar
hostilities	0.276	0.810	0.444	dijminatiyan
hostility	0.122	0.775	0.465	neyarî
hot	0.490	0.740	0.573	germ
hot sauce	0.333	0.740	0.509	sosê germ
hotbed	0.510	0.285	0.395	hotbed
hotdog	0.720	0.438	0.373	veqetadin
hotel	0.740	0.370	0.407	ûtêl
hothead	0.240	0.849	0.518	hothead
hotline	0.592	0.565	0.663	hotline
hotshot	0.500	0.727	0.615	lêdana germ
hotyoga	0.683	0.609	0.446	hotyoga
hound	0.417	0.528	0.582	hound
hour	0.552	0.265	0.336	seet
hourglass	0.542	0.284	0.492	saeta saetê
hourly	0.469	0.418	0.491	seetî
house	0.587	0.135	0.533	xanî
houseboat	0.604	0.389	0.429	houseboat
houseboy	0.479	0.415	0.393	malaboy
housebroken	0.518	0.461	0.389	xanî şikandin
houseguest	0.530	0.500	0.481	mêvanê malê
household	0.781	0.230	0.667	navmalî
householder	0.816	0.541	0.833	maldar
housekeeper	0.694	0.279	0.520	malparêz
housekeeping	0.604	0.500	0.445	malnişînî
housewarming	0.857	0.710	0.727	xaniyan
housewife	0.656	0.361	0.449	jina malê
housework	0.484	0.413	0.342	karê malê
housing	0.776	0.304	0.591	xanî
hovel	0.333	0.296	0.322	hovel
hover	0.510	0.431	0.404	hover
hovercraft	0.541	0.654	0.588	hovercraft
howl	0.357	0.646	0.407	zûrîn
howsoever	0.459	0.309	0.345	çawa be
hoy	0.583	0.298	0.471	hoy
hub	0.479	0.399	0.433	hub
hubby	0.548	0.435	0.430	hubby
huckleberry	0.600	0.279	0.296	huckleberry
huddle	0.604	0.509	0.445	huddle
hue	0.507	0.416	0.417	hue
huff	0.388	0.491	0.315	huff
huffy	0.420	0.616	0.375	huffy
hug	0.908	0.427	0.548	himbêzkirinî
huge	0.573	0.625	0.783	pirr
hugger	0.520	0.480	0.412	hugger
huggy	0.854	0.429	0.451	hembêz kirin
hugs	0.980	0.422	0.600	hembêz kirin
hulk	0.460	0.740	0.750	hulk
hull	0.542	0.265	0.353	xaçil
hum	0.490	0.296	0.276	hum
human	0.767	0.314	0.605	mirov
humane	0.800	0.370	0.580	mirovan
humanitarian	0.786	0.317	0.709	mirovahî
humanities	0.729	0.325	0.677	zanistên mirovî
humanity	0.750	0.360	0.727	mirovatî
humankind	0.885	0.394	0.714	mirovatî
humanoid	0.521	0.462	0.491	humanoid
humanrights	0.792	0.559	0.730	mafên mirovan
humble	0.867	0.236	0.483	dilnizm
humbled	0.280	0.618	0.198	nizim kirin
humbly	0.771	0.194	0.370	bi nermî
humbug	0.219	0.622	0.456	humbug
humdrum	0.269	0.246	0.353	humdrum
humid	0.375	0.324	0.366	şil
humidity	0.464	0.373	0.367	şilî
humiliate	0.052	0.714	0.275	bêrûmetkirin
humiliated	0.104	0.712	0.216	şermezar kirin
humiliating	0.062	0.716	0.279	rûreşkirin
humiliation	0.048	0.712	0.310	şermezarkirin
humility	0.740	0.118	0.444	humility
hummer	0.510	0.622	0.589	hummer
hummingbird	0.750	0.370	0.273	hummingbird
humongous	0.378	0.538	0.536	humongous
humor	0.890	0.633	0.462	dilşahî
humored	0.854	0.657	0.545	henekî kirin
humorist	0.958	0.790	0.607	humorist
humorous	0.906	0.616	0.665	henekane
hump	0.296	0.462	0.250	hump
humpback	0.235	0.346	0.247	humpback
hunch	0.561	0.630	0.567	hunch
hunchback	0.208	0.390	0.259	hunchback
hundred	0.604	0.370	0.406	sed
hundredth	0.427	0.368	0.466	sedemîn
hunger	0.083	0.554	0.328	birçîtî
hungry	0.083	0.690	0.254	birçî
hunk	0.438	0.375	0.361	hunk
hunks	0.417	0.453	0.482	hunks
hunky	0.469	0.571	0.438	hunky
hunt	0.327	0.806	0.588	neçir
hunter	0.292	0.817	0.817	neçirvan
hunting	0.448	0.713	0.714	nêçîrê
huntress	0.357	0.717	0.765	nêçîrvan
hurdle	0.198	0.682	0.434	asteng
hurl	0.316	0.745	0.574	hurl
hurrah	0.802	0.740	0.500	hurray
hurricane	0.177	0.958	0.787	bahoz
hurricanes	0.286	0.898	0.784	bahozên
hurried	0.314	0.806	0.393	lezand
hurry	0.422	0.735	0.481	lezdan
hurryup	0.473	0.791	0.555	lez be
hurt	0.062	0.773	0.291	birîndar
hurtful	0.104	0.680	0.463	birîndarkir
hurting	0.153	0.778	0.221	êşandin
husband	0.771	0.500	0.655	mêr
husbandry	0.643	0.473	0.445	cotkarî
hush	0.471	0.231	0.312	bêdeng
hushed	0.292	0.194	0.272	bêdeng kirin
husk	0.378	0.173	0.147	husk
husky	0.630	0.450	0.490	husky
hussy	0.219	0.594	0.384	hussy
hustle	0.406	0.661	0.427	hustle
hustler	0.260	0.821	0.627	hustler
hut	0.633	0.270	0.375	kozik
hutch	0.385	0.453	0.520	hutch
hyacinth	0.372	0.360	0.342	hyacinth
hybrid	0.500	0.365	0.570	hybrid
hydra	0.406	0.598	0.534	hydra
hydrant	0.570	0.413	0.367	hydrant
hydrate	0.610	0.367	0.547	hydrate
hydraulic	0.522	0.398	0.596	hîdrolîk
hydraulics	0.500	0.530	0.588	hîdrolîk
hydrocephalus	0.286	0.629	0.393	hîdrocephalus
hydrodynamics	0.552	0.582	0.664	hîdrodînamîk
hydrogen	0.469	0.303	0.554	hîdrojen
hydrographic	0.490	0.396	0.642	hîdrografîk
hydrology	0.500	0.380	0.509	hydrology
hydrophobia	0.323	0.784	0.351	hîdrofobî
hydroponics	0.500	0.549	0.500	hîdroponîk
hyena	0.396	0.719	0.464	sehê bejî
hygiene	0.781	0.287	0.537	paqijî
hygienic	0.719	0.245	0.702	hîjyenîk
hygienist	0.698	0.389	0.682	hîjyenîst
hymen	0.469	0.651	0.457	hymen
hymn	0.735	0.292	0.634	strana dêrê
hype	0.510	0.500	0.586	hype
hyped	0.708	0.582	0.679	hyped
hyper	0.542	0.616	0.640	hyper
hyperactive	0.500	0.921	0.660	hîperaktîf
hyperbole	0.469	0.521	0.542	hyperbole
hyperspace	0.510	0.623	0.755	hyperspace
hypertension	0.133	0.784	0.427	hîpertansiyon
hypertrophy	0.312	0.625	0.413	hîpertrofî
hyperventilate	0.347	0.729	0.556	hyperventilate
hyperventilating	0.164	0.802	0.625	hyperventilating
hyphen	0.552	0.356	0.381	daçek
hypnosis	0.417	0.410	0.546	hîpnoz
hypnotic	0.571	0.560	0.569	hîpnotîk
hypnotist	0.490	0.455	0.627	hîpnotîst
hypnotize	0.469	0.507	0.508	xewirandin
hypnotized	0.449	0.434	0.380	hîpnotîze kirin
hypochondriac	0.194	0.588	0.333	hîpokondriak
hypocrisy	0.156	0.523	0.370	durûtî
hypocrite	0.082	0.673	0.306	derewîn
hypocritical	0.048	0.740	0.415	durû
hypodermic	0.240	0.441	0.445	hîpodermîk
hypothalamus	0.593	0.427	0.539	hîpotalamus
hypothermia	0.184	0.620	0.301	hîpotermî
hypothesis	0.552	0.370	0.509	hîpoteza
hypothetical	0.480	0.367	0.361	hîpotetîk
hysterectomy	0.178	0.660	0.470	hîsterektomî
hysteria	0.224	0.906	0.482	nerehetî
hysterical	0.290	0.942	0.398	hîsterîk
ibuprofen	0.448	0.427	0.504	ibuprofen
ice	0.440	0.265	0.219	qeşa
ice tea	0.771	0.337	0.336	çaya qeşayê
iceberg	0.344	0.540	0.648	girqeşa
icebox	0.560	0.222	0.370	icebox
icebreaker	0.571	0.545	0.848	icebreaker
iced	0.564	0.482	0.339	cemidî
icing	0.688	0.452	0.411	icing
icky	0.357	0.510	0.342	icky
icon	0.549	0.349	0.415	icon
iconic	0.583	0.537	0.700	îcon
iconography	0.602	0.382	0.653	iconography
icy	0.684	0.375	0.345	qeşayî
id	0.449	0.344	0.391	id
idea	0.750	0.538	0.704	fikir
ideal	0.802	0.437	0.736	xwestekî
idealism	0.635	0.436	0.689	îdealîzm
idealist	0.816	0.510	0.802	îdealîst
idealistic	0.812	0.469	0.755	îdealîst
identical	0.635	0.380	0.527	wekhev
identically	0.667	0.427	0.487	identically
identification	0.714	0.451	0.692	nasname
identify	0.635	0.480	0.667	naskirin
identity	0.663	0.360	0.780	nasname
ideology	0.573	0.344	0.692	îdeolojî
idiocy	0.112	0.635	0.137	idiocy
idiom	0.520	0.337	0.445	devok
idiomatic	0.531	0.429	0.516	îdyomatîk
idiot	0.086	0.567	0.113	dînê
idiotic	0.104	0.620	0.170	dînî
idiots	0.143	0.600	0.144	idiots
idle	0.179	0.167	0.112	bêçalak
idleness	0.308	0.330	0.228	bêkarî
idler	0.200	0.304	0.194	idler
idol	0.684	0.805	0.853	xûdayê putî
idolatry	0.365	0.571	0.625	pûtperestî
idolizing	0.676	0.712	0.643	pût kirin
idyllic	0.571	0.394	0.593	idyllic
iffy	0.380	0.442	0.333	iffy
ifonly	0.406	0.250	0.255	ifonly
igloo	0.569	0.302	0.345	xanîkê eskîmoyan
igneous	0.469	0.466	0.517	igneous
ignite	0.458	0.785	0.675	vêxistin
ignition	0.365	0.720	0.657	ardadanî
ignorance	0.153	0.417	0.209	nezanî
ignorant	0.102	0.461	0.223	nezan
ignore	0.146	0.230	0.295	berçavnegirtin
iguana	0.521	0.235	0.291	iguana
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	wek
ill	0.073	0.410	0.200	nexweş
illegal	0.061	0.787	0.337	neqanûnî
illegality	0.094	0.635	0.427	neqanûnî
illegally	0.133	0.788	0.402	neqanûnî
illegible	0.296	0.490	0.315	nexwendî
illegitimate	0.184	0.644	0.302	bêbavane
illicit	0.188	0.794	0.390	neqanûnî
illiterate	0.120	0.410	0.151	nexwende
illness	0.098	0.717	0.211	nexweşî
illogical	0.208	0.630	0.251	aqilnegir
illuminate	0.905	0.646	0.782	biriqandin
illuminating	0.949	0.613	0.773	ronîkirin
illumination	0.760	0.588	0.537	biriqîn
illuminator	0.770	0.566	0.718	ronahîker
illusion	0.562	0.490	0.387	xiyal
illustrate	0.750	0.430	0.690	illustrate
illustration	0.740	0.441	0.640	xetkirî
illustrative	0.771	0.452	0.647	illustrative
illustrious	0.673	0.550	0.741	navdar
ilovechristmas	0.885	0.590	0.525	ilovechristmas
iloveher	0.750	0.519	0.556	iloveher
image	0.653	0.241	0.453	wêne
imagery	0.653	0.327	0.390	imagery
imaginable	0.613	0.529	0.596	xeyalkirin
imaginary	0.560	0.424	0.310	pozbilind
imagination	0.802	0.491	0.547	xewn
imaginative	0.780	0.541	0.593	xeyalpirr
imagine	0.759	0.480	0.587	fikirin
imagined	0.656	0.412	0.418	xeyal kirin
imaging	0.724	0.394	0.482	wênekirin
imagining	0.765	0.458	0.545	xeyal kirin
imam	0.527	0.337	0.539	îmam
imbalance	0.115	0.538	0.264	nehevbûnî
imbecile	0.082	0.569	0.260	bêaqil
imbedded	0.406	0.580	0.562	pêvekirî
imissyou	0.480	0.608	0.344	ez bîra te dikim
imitate	0.469	0.561	0.336	teqlîdkirin
imitated	0.333	0.391	0.442	teqlîd kirin
imitation	0.406	0.592	0.343	teqlîd
immaculate	0.698	0.330	0.688	lihevhatî
immaterial	0.296	0.309	0.295	nemalî
immature	0.114	0.500	0.200	xav
immaturity	0.146	0.567	0.221	xavîtî
immeasurable	0.510	0.539	0.712	bêpîvan
immeasurably	0.510	0.640	0.680	bêpîvan
immediacy	0.635	0.630	0.627	yekserbûn
