English Word	Valence	Arousal	Dominance	Slovenian Word
incredulous	0.286	0.510	0.269	nejeveren
increment	0.684	0.637	0.750	prirastek
incriminate	0.188	0.810	0.416	inkriminirati
incriminating	0.133	0.788	0.500	inkriminirajoče
incrimination	0.152	0.865	0.545	inkriminacijo
incubation	0.461	0.490	0.397	inkubacija
incubator	0.510	0.435	0.405	inkubator
incubus	0.458	0.529	0.482	inkub
incumbent	0.396	0.540	0.565	vršilec dolžnosti
incur	0.312	0.667	0.495	nastati
incurable	0.104	0.667	0.255	neozdravljivo
incursion	0.552	0.830	0.719	vdor
indebted	0.138	0.698	0.275	zadolžen
indecency	0.135	0.670	0.491	nespodobnost
indecent	0.083	0.683	0.240	nespodobno
indecision	0.184	0.480	0.196	neodločnost
indecisive	0.271	0.420	0.190	neodločen
indefensible	0.173	0.647	0.484	neubranljivo
indefinite	0.448	0.292	0.296	nedoločen
indelible	0.490	0.337	0.591	neizbrisen
indemnification	0.521	0.490	0.770	odškodnina
indemnify	0.449	0.548	0.613	povrniti škodo
indemnity	0.470	0.607	0.692	odškodnina
indent	0.479	0.346	0.379	zamik
indentation	0.374	0.500	0.349	vdolbina
indenture	0.434	0.382	0.636	pogodba
independence	0.896	0.663	0.911	neodvisnost
independent	0.885	0.440	0.872	neodvisen
indescribable	0.448	0.529	0.648	neopisljivo
indestructible	0.772	0.731	0.853	neuničljiva
indeterminate	0.360	0.402	0.322	nedoločen
index	0.448	0.268	0.342	kazalo
indicate	0.594	0.350	0.676	kažejo
indicating	0.745	0.339	0.555	nakazuje
indication	0.719	0.432	0.750	indikacija
indicative	0.510	0.510	0.591	okvirno
indicator	0.573	0.451	0.670	indikator
indice	0.469	0.377	0.541	indeks
indict	0.188	0.731	0.458	obtožnica
indictment	0.245	0.745	0.577	obtožnica
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	ravnodušnost
indifferent	0.396	0.157	0.250	enak
indigenous	0.500	0.509	0.552	avtohtona
indigent	0.156	0.481	0.223	revni
indigestion	0.204	0.610	0.182	prebavne motnje
indignant	0.260	0.600	0.423	ogorčen
indignation	0.173	0.778	0.431	ogorčenje
indignity	0.167	0.500	0.306	nedostojnost
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	posredno
indiscreet	0.177	0.587	0.342	indiskreten
indiscretion	0.265	0.637	0.390	nerazsodnost
indispensable	0.710	0.449	0.802	nepogrešljiv
indisposed	0.122	0.519	0.206	nerazpoložen
indistinct	0.255	0.340	0.360	nejasna
indistinguishable	0.346	0.458	0.548	neločljivo
individual	0.627	0.327	0.533	posameznika
individuality	0.612	0.469	0.527	individualnost
indivisible	0.646	0.398	0.580	nedeljivo
indoctrination	0.327	0.657	0.698	indoktrinacija
indolent	0.177	0.381	0.259	indolenten
indomitable	0.458	0.800	0.830	neukrotljiv
indoor	0.615	0.245	0.347	v zaprtih prostorih
induce	0.257	0.606	0.684	povzročiti
induced	0.397	0.471	0.491	povzročeno
inducement	0.647	0.765	0.685	spodbuda
induction	0.392	0.593	0.627	indukcija
indulge	0.833	0.716	0.669	prepustiti se
indulgence	0.479	0.490	0.517	popustljivost
indulgent	0.560	0.481	0.529	popustljiv
industrial	0.469	0.600	0.875	industrijski
industrialist	0.562	0.633	0.843	industrialec
industrious	0.720	0.537	0.791	marljiv
industry	0.650	0.447	0.836	industrija
ineffable	0.551	0.577	0.585	neizrekljivo
ineffective	0.093	0.422	0.094	neučinkovito
ineffectual	0.163	0.412	0.200	neučinkovito
inefficiency	0.092	0.466	0.181	neučinkovitost
inefficient	0.190	0.460	0.173	neučinkovito
inelastic	0.396	0.426	0.385	neelastično
ineligible	0.143	0.377	0.457	neupravičen
inept	0.156	0.418	0.209	nesposoben
ineptitude	0.177	0.471	0.250	nesposobnost
inequality	0.122	0.575	0.259	neenakost
inequitable	0.281	0.519	0.373	nepravično
inert	0.323	0.180	0.319	inerten
inertia	0.344	0.288	0.322	vztrajnost
inevitable	0.316	0.419	0.623	neizogibno
inexact	0.153	0.459	0.170	nenatančen
inexcusable	0.271	0.582	0.546	neopravičljivo
inexhaustible	0.602	0.541	0.643	neizčrpen
inexpensive	0.694	0.414	0.260	poceni
inexperience	0.208	0.614	0.151	neizkušenost
inexperienced	0.281	0.473	0.231	neizkušen
inexplicable	0.224	0.635	0.443	nerazložljivo
inexpressible	0.198	0.608	0.364	neizrekljivo
infallibility	0.583	0.663	0.764	nezmotljivost
infallible	0.776	0.687	0.809	nezmotljiv
infamous	0.146	0.580	0.472	zloglasno
infamy	0.177	0.676	0.421	sramota
infancy	0.750	0.399	0.370	otroštvo
infant	0.802	0.431	0.328	dojenček
infanticide	0.167	0.856	0.443	detomor
infantile	0.604	0.382	0.259	infantilno
infantry	0.531	0.684	0.791	pehota
infarct	0.080	0.846	0.386	infarkt
infatuated	0.729	0.764	0.417	zaljubljen
infatuation	0.844	0.745	0.530	zaljubljenost
infeasible	0.245	0.472	0.236	neizvedljivo
infect	0.102	0.777	0.424	okužiti
infection	0.083	0.735	0.407	okužba
infectious	0.142	0.760	0.422	nalezljive
infer	0.449	0.490	0.453	sklepati
inference	0.359	0.479	0.398	sklepanje
inferential	0.426	0.451	0.455	sklepni
inferior	0.260	0.254	0.106	manjvredno
inferiority	0.177	0.430	0.205	manjvrednost
infernal	0.083	0.837	0.571	peklensko
inferno	0.051	0.857	0.463	pekel
infertile	0.274	0.458	0.255	neplodna
infertility	0.170	0.664	0.328	neplodnost
infestation	0.256	0.776	0.527	okužba
infidel	0.177	0.740	0.404	nevernik
infidelity	0.062	0.777	0.392	nezvestoba
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	infiltrirati
infiltration	0.265	0.792	0.536	infiltracijo
infinite	0.724	0.583	0.735	neskončno
infinitely	0.688	0.643	0.829	neskončno
infinitesimal	0.388	0.472	0.496	infinitezimalno
infinity	0.516	0.459	0.805	neskončnost
infirm	0.115	0.521	0.210	slaboten
infirmary	0.500	0.438	0.517	ambulanta
infirmity	0.094	0.482	0.252	slabotnost
inflammation	0.146	0.765	0.423	vnetje
inflammatory	0.177	0.642	0.404	vnetna
inflatable	0.510	0.510	0.400	napihljiv
inflate	0.305	0.569	0.462	napihniti
inflated	0.303	0.431	0.617	napihnjena
inflation	0.219	0.792	0.508	inflacija
inflection	0.385	0.635	0.377	pregib
inflict	0.167	0.760	0.609	povzročiti
infliction	0.302	0.722	0.571	povzročanje
inflorescence	0.459	0.344	0.412	socvetje
influence	0.622	0.663	0.824	vpliv
influential	0.899	0.688	0.944	vpliven
influenza	0.271	0.718	0.321	gripa
influx	0.622	0.635	0.575	priliv
info	0.750	0.330	0.642	info
infomercial	0.427	0.462	0.555	oglasni oglas
inform	0.723	0.582	0.679	informirati
informal	0.480	0.398	0.441	neformalno
informant	0.604	0.612	0.719	informator
information	0.765	0.370	0.711	informacije
informative	0.812	0.419	0.741	informativno
informed	0.543	0.298	0.617	obveščeni
informer	0.521	0.578	0.580	informator
infraction	0.245	0.660	0.471	kršitev
infrared	0.469	0.588	0.526	infrardeči
infrastructure	0.604	0.460	0.694	infrastrukturo
infrequent	0.312	0.377	0.192	redko
infrequently	0.204	0.250	0.327	redko
infringement	0.153	0.800	0.481	kršitev
infuriate	0.102	0.934	0.596	razjeziti
infuriated	0.073	0.930	0.510	razjarjen
infuriates	0.135	0.913	0.627	razjezi
infuriating	0.139	0.870	0.509	razburljivo
infuse	0.380	0.705	0.589	napolniti
infused	0.385	0.473	0.546	infundirano
infuser	0.469	0.433	0.536	infuzor
infusion	0.583	0.365	0.453	infuzijo
ingenious	0.760	0.690	0.891	genialno
ingenuity	0.708	0.590	0.868	iznajdljivost
ingest	0.510	0.559	0.473	zaužiti
ingestion	0.429	0.612	0.512	zaužitje
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	zakoreninjen
ingrate	0.235	0.606	0.327	nehvaležen
ingredient	0.792	0.373	0.451	sestavina
ingress	0.601	0.366	0.736	vstop
inhabit	0.656	0.378	0.556	naseliti
inhabitant	0.604	0.356	0.519	prebivalec
inhabited	0.667	0.361	0.510	naseljena
inhabiting	0.458	0.440	0.598	naseljevanje
inhalation	0.510	0.613	0.464	vdihavanje
inhale	0.427	0.340	0.492	vdihniti
inhaler	0.408	0.500	0.349	inhalator
inherent	0.562	0.439	0.480	inherentno
inherit	0.745	0.546	0.694	dedovati
inheritance	0.900	0.565	0.798	dedovanje
inhibit	0.167	0.479	0.447	zavirati
inhibition	0.265	0.392	0.534	zaviranje
inhibitor	0.281	0.450	0.471	inhibitor
inhospitable	0.265	0.531	0.395	negostoljuben
inhuman	0.107	0.660	0.492	nečloveško
inhumane	0.104	0.587	0.402	nehumano
inhumanity	0.143	0.540	0.405	nehumanost
inimaginable	0.542	0.636	0.534	nepredstavljivo
inimical	0.260	0.823	0.556	sovražnega
inimitable	0.571	0.413	0.790	neponovljiv
iniquity	0.219	0.567	0.425	krivica
initial	0.583	0.314	0.539	začetnica
initiate	0.719	0.480	0.553	iniciirati
initiated	0.760	0.490	0.650	začela
initiation	0.698	0.529	0.527	iniciacija
initiative	0.833	0.615	0.768	pobudo
inject	0.406	0.735	0.596	vbrizgati
injection	0.281	0.741	0.518	injekcijo
injunction	0.281	0.422	0.519	sodna prepoved
injure	0.177	0.710	0.364	poškodovati
injured	0.083	0.680	0.302	poškodovani
injuring	0.073	0.790	0.245	poškoduje
injurious	0.177	0.759	0.366	škodljivo
injury	0.049	0.769	0.287	poškodba
injustice	0.082	0.755	0.444	nepravičnost
ink	0.471	0.408	0.235	črnilo
inkling	0.448	0.551	0.570	namigovanje
inland	0.510	0.417	0.423	v notranjosti
inlay	0.406	0.531	0.565	vložek
inlet	0.646	0.378	0.466	dovod
inmate	0.235	0.663	0.398	zapornik
inn	0.660	0.284	0.475	gostilna
innards	0.302	0.480	0.400	drobovje
innate	0.490	0.400	0.521	prirojeno
inner	0.551	0.216	0.443	notranji
innermost	0.583	0.500	0.510	najbolj notranja
innerpeace	0.714	0.318	0.551	notranji mir
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	menjave
innkeeper	0.578	0.224	0.472	gostilničar
innocence	0.802	0.260	0.307	nedolžnost
innocent	0.729	0.206	0.340	nedolžen
innocently	0.776	0.250	0.302	nedolžno
innocuous	0.510	0.321	0.172	neškodljiv
innovate	0.898	0.872	0.750	inovirati
innovation	0.949	0.680	0.890	inovativnost
innovative	0.880	0.640	0.830	inovativen
innuendo	0.467	0.670	0.463	namigovanje
innumerable	0.667	0.445	0.704	nešteto
inoculation	0.333	0.570	0.598	inokulacija
inoperable	0.184	0.422	0.304	neoperabilen
inoperative	0.138	0.425	0.273	nedelujoče
inordinate	0.163	0.630	0.330	neustrezen
inorganic	0.385	0.345	0.282	anorganski
input	0.643	0.337	0.527	vnos
inquest	0.458	0.569	0.721	preiskava
inquire	0.583	0.519	0.363	poizvedovati
inquirer	0.573	0.598	0.776	spraševalec
inquiring	0.479	0.510	0.500	poizvedovanje
inquiry	0.541	0.420	0.536	povpraševanje
inquisitive	0.301	0.637	0.615	radoveden
inquisitor	0.385	0.873	0.642	inkvizitor
insane	0.062	0.670	0.265	noro
insanity	0.098	0.847	0.337	norost
insatiable	0.375	0.656	0.558	nenasiten
inscription	0.592	0.422	0.542	napis
inscrutable	0.459	0.541	0.613	nedoumljivo
insect	0.276	0.633	0.242	žuželka
insecticide	0.188	0.598	0.430	insekticid
insecure	0.114	0.538	0.132	negotov
insecurity	0.094	0.647	0.350	negotovost
insemination	0.542	0.644	0.622	osemenjevanje
insensitive	0.219	0.471	0.302	neobčutljiv
inseparable	0.700	0.520	0.571	neločljiva
insert	0.481	0.552	0.519	vstavi
inserted	0.479	0.402	0.476	vstavljeno
insertion	0.521	0.520	0.565	vstavljanje
inside	0.612	0.404	0.472	znotraj
insider	0.625	0.562	0.750	insajder
insidious	0.146	0.622	0.480	zahrbten
insight	0.613	0.363	0.649	vpogled
insightful	0.664	0.691	0.713	pronicljiv
insignia	0.665	0.282	0.685	insignije
insignificance	0.250	0.216	0.222	nepomembnost
insignificant	0.083	0.306	0.114	nepomemben
insinuate	0.292	0.635	0.413	namigovati
insipid	0.214	0.250	0.241	neokusno
insist	0.635	0.651	0.688	vztrajati
insistence	0.418	0.704	0.645	vztrajanje
insistent	0.552	0.635	0.701	vztrajen
insists	0.490	0.587	0.610	vztraja
insolence	0.115	0.731	0.402	predrznost
insolent	0.112	0.663	0.343	nesramen
insoluble	0.439	0.290	0.414	nerešljiv
insolvency	0.323	0.431	0.300	insolventnost
insolvent	0.230	0.481	0.318	plačilno nesposobna
insomnia	0.198	0.611	0.373	nespečnost
insomniac	0.231	0.367	0.329	nespečnost
inspect	0.479	0.603	0.793	pregledati
inspection	0.459	0.630	0.718	pregled
inspector	0.418	0.580	0.852	inšpektor
inspiration	0.938	0.600	0.779	navdih
inspirational	0.927	0.720	0.810	navdihujoče
inspire	0.918	0.627	0.759	navdihniti
inspired	0.967	0.702	0.736	navdihnjen
instability	0.177	0.760	0.353	nestabilnost
install	0.630	0.583	0.736	namestite
installation	0.656	0.469	0.759	namestitev
installment	0.619	0.396	0.483	obrok
instance	0.547	0.450	0.558	primerek
instant	0.766	0.454	0.554	instant
instantaneous	0.750	0.500	0.585	takojšnje
instantaneously	0.656	0.640	0.600	v trenutku
instigate	0.278	0.765	0.642	napeljevati
instigation	0.323	0.769	0.648	napeljevanje
instill	0.562	0.490	0.618	vcepiti
instinct	0.771	0.602	0.642	instinkt
instinctive	0.752	0.575	0.694	instinktivno
institute	0.604	0.480	0.807	inštitut
institution	0.580	0.311	0.790	ustanova
instruct	0.729	0.490	0.833	poučevati
instructed	0.740	0.388	0.722	poučen
instruction	0.656	0.434	0.736	navodilo
instructional	0.698	0.500	0.773	poučna
instructions	0.582	0.302	0.556	navodila
instructive	0.583	0.420	0.643	poučno
instructor	0.771	0.490	0.782	inštruktor
instrument	0.562	0.537	0.655	instrument
instrumental	0.740	0.472	0.647	instrumental
instrumentalist	0.656	0.540	0.740	instrumentalist
instrumentality	0.637	0.510	0.618	instrumentalnost
insubordination	0.281	0.775	0.634	nepokornost
insufferable	0.220	0.784	0.291	nevzdržno
insufficiency	0.115	0.431	0.210	insuficienco
insufficient	0.188	0.380	0.093	nezadostna
insufficiently	0.147	0.509	0.198	nezadostno
insular	0.531	0.426	0.465	otoški
insulate	0.365	0.358	0.286	izolirati
insulated	0.208	0.265	0.304	izolirana
insulation	0.245	0.327	0.264	izolacija
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	žalitev
insulting	0.094	0.840	0.412	žaljivo
insurance	0.714	0.308	0.825	zavarovanje
insure	0.700	0.415	0.698	zavarovati
insurgent	0.235	0.735	0.660	vstajniška
insurmountable	0.620	0.627	0.737	nepremostljivo
insurrection	0.229	0.706	0.582	vstaja
intact	0.716	0.212	0.602	nedotaknjen
intake	0.604	0.527	0.442	vnos
intangible	0.525	0.480	0.473	nematerialno
integer	0.573	0.327	0.595	celo število
integral	0.590	0.337	0.615	integral
integrate	0.729	0.390	0.700	integrirati
integration	0.771	0.480	0.737	integracija
integrity	0.865	0.413	0.848	celovitost
intellect	0.844	0.418	0.870	intelekt
intellectual	0.906	0.455	0.845	intelektualec
intelligence	0.833	0.587	0.885	inteligenca
intelligent	0.917	0.541	0.868	inteligenten
intelligibility	0.740	0.481	0.689	razumljivost
intelligible	0.635	0.480	0.691	razumljivo
intend	0.562	0.520	0.519	nameravati
intended	0.406	0.542	0.587	namenjeno
intending	0.510	0.567	0.597	nameravajo
intense	0.592	0.774	0.679	intenzivno
intensely	0.694	0.846	0.750	intenzivno
intensify	0.604	0.870	0.737	okrepiti
intensity	0.622	0.930	0.952	intenzivnost
intensive	0.570	0.842	0.776	intenzivno
intent	0.550	0.481	0.500	namen
intention	0.531	0.480	0.636	namen
intentional	0.650	0.615	0.750	namerno
intentionally	0.450	0.676	0.696	namerno
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	komunicirati
interaction	0.646	0.735	0.750	interakcija
interactive	0.727	0.811	0.770	interaktivni
intercede	0.582	0.577	0.630	posredovati
intercept	0.221	0.660	0.676	prestreči
interception	0.327	0.673	0.643	prestrezanje
intercession	0.503	0.486	0.598	posredovanje
interchange	0.615	0.527	0.565	izmenjava
interchangeable	0.615	0.459	0.526	zamenljivi
interchanged	0.396	0.472	0.434	zamenjati
intercom	0.623	0.429	0.453	domofon
intercourse	0.551	0.608	0.557	spolni odnos
interdependence	0.608	0.618	0.639	soodvisnost
interdependent	0.410	0.482	0.598	soodvisni
interdiction	0.337	0.500	0.585	prepoved
interest	0.780	0.667	0.618	obresti
interested	0.750	0.529	0.725	zanima
interesting	0.927	0.726	0.731	zanimivo
interface	0.643	0.357	0.600	vmesnik
interfere	0.323	0.714	0.471	posegati
interference	0.396	0.736	0.357	motnje
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	medgalaktični
interim	0.604	0.400	0.524	vmesno
interior	0.618	0.157	0.462	notranjost
interject	0.333	0.648	0.658	vmešati
interlocutory	0.490	0.500	0.527	vmesni
interlude	0.470	0.417	0.377	interludij
intermediary	0.427	0.510	0.643	posrednik
intermediate	0.480	0.368	0.400	vmesni
interment	0.235	0.608	0.346	pogreb
interminable	0.327	0.481	0.561	neskončno
intermission	0.490	0.360	0.402	odmor
intermittent	0.337	0.565	0.436	občasno
intern	0.459	0.460	0.392	pripravnik
internal	0.439	0.349	0.423	notranji
internally	0.615	0.400	0.616	interno
international	0.800	0.519	0.702	mednarodni
internet	0.760	0.462	0.755	internet
internship	0.590	0.510	0.482	Pripravništvo
interoffice	0.439	0.375	0.556	interoffice
interpolate	0.460	0.490	0.569	interpolirati
interpolation	0.419	0.506	0.528	interpolacija
interpret	0.646	0.625	0.673	razlagati
interpretation	0.677	0.594	0.620	tolmačenje
interpreter	0.708	0.461	0.596	tolmač
interpretive	0.531	0.549	0.595	razlagalni
interrelated	0.615	0.469	0.592	med seboj povezani
interrogate	0.323	0.808	0.680	zasliševati
interrogation	0.302	0.827	0.657	zaslišanje
interrupt	0.210	0.635	0.509	prekiniti
interrupted	0.281	0.559	0.333	zmoten
interrupting	0.146	0.593	0.509	prekinitev
interruption	0.184	0.632	0.425	prekinitev
interrupts	0.204	0.545	0.389	prekine
intersect	0.521	0.510	0.480	sekajo
intersection	0.344	0.541	0.658	križišče
interstate	0.520	0.443	0.600	meddržavni
interstellar	0.708	0.702	0.622	medzvezdni
interstitial	0.333	0.471	0.534	intersticijski
interval	0.510	0.284	0.400	interval
intervene	0.520	0.677	0.768	posredovati
intervening	0.398	0.627	0.442	interveniranje
intervention	0.388	0.696	0.689	intervencija
interview	0.573	0.770	0.619	intervju
interviewer	0.552	0.736	0.816	anketar
interworking	0.552	0.587	0.691	medsebojno delovanje
intestate	0.459	0.467	0.415	intestate
intestinal	0.357	0.531	0.370	črevesni
intestine	0.343	0.450	0.380	črevesje
intestines	0.292	0.547	0.398	črevesje
intimacy	0.857	0.802	0.558	intimnost
intimate	0.724	0.598	0.393	intimno
intimately	0.806	0.573	0.590	intimno
intimation	0.406	0.673	0.500	namigovanje
intimidate	0.210	0.804	0.632	ustrahovati
intimidated	0.177	0.663	0.208	prestrašeni
intimidating	0.229	0.790	0.708	zastrašujoče
intimidation	0.177	0.791	0.644	ustrahovanje
intolerable	0.146	0.660	0.439	nevzdržno
intolerance	0.052	0.704	0.520	nestrpnost
intolerant	0.135	0.676	0.509	nestrpen
intonation	0.615	0.442	0.598	intonacijo
intoxicated	0.079	0.824	0.246	vinjen
intoxicating	0.224	0.760	0.464	opojno
intoxication	0.323	0.710	0.400	zastrupitev
intracranial	0.281	0.602	0.553	intrakranialni
intractable	0.154	0.694	0.302	nerešljiv
intramural	0.490	0.464	0.447	intramuralni
intravenous	0.357	0.538	0.458	intravenozno
intrepid	0.753	0.696	0.637	neustrašen
intricate	0.559	0.704	0.500	zapleteno
intrigue	0.362	0.830	0.327	spletkarjenje
intriguing	0.422	0.713	0.462	zanimivo
intrinsic	0.406	0.471	0.526	vrojeno
intrinsically	0.459	0.382	0.538	intrinzično
intro	0.510	0.331	0.657	uvod
introduce	0.592	0.559	0.648	predstaviti
introduction	0.612	0.413	0.640	uvod
introductory	0.635	0.368	0.593	uvodni
introspection	0.603	0.337	0.575	introspekcija
introspective	0.552	0.360	0.471	introspektiven
intrude	0.058	0.735	0.480	vdirati
intruder	0.146	0.740	0.324	vsiljivec
intrusion	0.293	0.641	0.670	vdor
intrusive	0.461	0.607	0.538	vsiljiv
intubation	0.276	0.598	0.526	intubacijo
intuition	0.857	0.508	0.602	intuicijo
intuitive	0.771	0.573	0.690	intuitivno
intuitively	0.670	0.561	0.648	intuitivno
inundation	0.177	0.780	0.455	poplavljanje
invade	0.408	0.892	0.714	vdreti
invader	0.200	0.827	0.618	vsiljivec
invalid	0.180	0.330	0.255	neveljaven
invalidate	0.315	0.480	0.397	razveljaviti
invalidation	0.181	0.490	0.278	razveljavitev
invalidity	0.186	0.394	0.158	invalidnost
invaluable	0.740	0.500	0.745	neprecenljivo
invariably	0.458	0.365	0.550	vedno
invasion	0.271	0.843	0.808	invazija
invasive	0.194	0.730	0.598	invazivna
invent	0.719	0.689	0.833	izumiti
invention	0.714	0.577	0.811	izum
inventive	0.780	0.627	0.721	inventiven
inventor	0.781	0.667	0.847	izumitelj
inventory	0.594	0.463	0.490	inventar
inverse	0.459	0.337	0.319	obratno
inversely	0.286	0.418	0.351	obratno
inversion	0.602	0.630	0.772	inverzija
invert	0.510	0.585	0.706	obrniti
inverted	0.310	0.471	0.357	obrnjeno
invest	0.650	0.663	0.682	investirati
investigate	0.640	0.500	0.781	raziskati
investigation	0.531	0.592	0.820	preiskava
investigative	0.562	0.600	0.704	preiskovalni
investigator	0.615	0.509	0.779	preiskovalec
investment	0.720	0.592	0.745	naložba
investor	0.794	0.655	0.791	investitor
invidious	0.112	0.650	0.364	invidiozen
invigorate	0.821	0.798	0.831	poživljajo
invincible	0.867	0.853	0.914	nepremagljiv
invisibility	0.438	0.461	0.382	nevidnost
invisible	0.417	0.345	0.412	neviden
invitation	0.802	0.549	0.647	vabilo
invite	0.745	0.655	0.611	povabi
inviting	0.938	0.571	0.538	vabljiv
invocation	0.430	0.620	0.673	priklic
invoice	0.480	0.380	0.474	račun
invoke	0.583	0.740	0.579	priklicati
involuntary	0.354	0.490	0.231	neprostovoljno
involution	0.296	0.420	0.407	involucija
involve	0.694	0.490	0.728	vključiti
involvement	0.760	0.620	0.696	vpletenost
invulnerable	0.552	0.683	0.745	neranljiv
inwards	0.490	0.385	0.438	navznoter
iodine	0.390	0.265	0.333	jod
ion	0.429	0.330	0.408	ion
iota	0.344	0.385	0.314	jota
irate	0.188	0.852	0.474	jezen
ire	0.198	0.740	0.575	jeza
iridescent	0.602	0.588	0.539	mavrično
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	razburjen
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	železo
ironclad	0.561	0.648	0.679	ironclad
ironic	0.435	0.550	0.500	ironično
irons	0.531	0.441	0.625	likalniki
irony	0.390	0.587	0.508	ironija
irradiation	0.385	0.736	0.509	obsevanje
irrational	0.125	0.648	0.394	neracionalno
irrationality	0.198	0.735	0.361	neracionalnost
irreconcilable	0.146	0.667	0.375	nezdružljiv
irreducible	0.296	0.455	0.569	ireduktibilen
irrefutable	0.496	0.549	0.716	neizpodbitno
irregular	0.312	0.548	0.321	nepravilno
irregularity	0.104	0.647	0.306	nepravilnost
irregularly	0.292	0.565	0.397	neredno
irrelevant	0.138	0.311	0.296	nepomemben
irreparable	0.061	0.530	0.430	nepopravljivo
irreplaceable	0.479	0.580	0.833	nenadomestljiv
irrepressible	0.512	0.566	0.745	neustavljiv
irresistible	0.823	0.833	0.839	neustavljiv
irrespective	0.497	0.538	0.745	ne glede na to
irresponsible	0.177	0.680	0.241	neodgovorno
irreverent	0.191	0.694	0.634	nespoštljiv
irreversible	0.170	0.541	0.667	nepovraten
irrevocable	0.296	0.560	0.712	nepreklicno
irrigate	0.272	0.458	0.490	namakati
irrigation	0.259	0.426	0.426	namakanje
irritability	0.146	0.853	0.283	razdražljivost
irritable	0.112	0.952	0.462	razdražljiv
irritate	0.167	0.890	0.368	dražiti
irritated	0.210	0.816	0.281	razdražen
irritates	0.173	0.810	0.295	draži
irritating	0.104	0.912	0.393	razdražljiv
irritation	0.073	0.833	0.496	draženje
island	0.745	0.347	0.432	otok
isle	0.667	0.390	0.443	otok
islet	0.612	0.314	0.367	otoček
isolate	0.235	0.422	0.336	izolirati
isolated	0.221	0.356	0.255	izolirana
isolation	0.198	0.338	0.339	izolacija
isomorphism	0.448	0.361	0.481	izomorfizem
isothermal	0.459	0.491	0.500	izotermično
isotope	0.429	0.404	0.407	izotop
issue	0.316	0.819	0.351	težava
itch	0.319	0.610	0.465	srbenje
itching	0.208	0.690	0.300	srbenje
itchy	0.334	0.726	0.296	srbenje
item	0.594	0.270	0.465	postavka
itemize	0.459	0.527	0.518	razčleniti
items	0.542	0.401	0.434	predmete
iterate	0.449	0.460	0.440	ponoviti
iteration	0.531	0.449	0.486	ponovitev
iterative	0.429	0.420	0.500	iterativno
itinerant	0.449	0.545	0.439	potujoči
itinerary	0.551	0.550	0.454	itinerar
ivory	0.625	0.235	0.566	slonovina
jab	0.385	0.519	0.482	udarec
jabber	0.417	0.506	0.342	brbljanje
jack	0.487	0.450	0.441	jack
jackal	0.333	0.582	0.436	šakal
jackass	0.188	0.692	0.279	jackass
jacket	0.656	0.302	0.382	jakna
jackhammer	0.199	0.690	0.519	udarno kladivo
jackpot	0.950	0.750	0.786	jackpot
jackrabbit	0.625	0.379	0.344	jackrabbit
jacks	0.490	0.400	0.505	priključki
jade	0.604	0.410	0.455	žad
jaded	0.255	0.560	0.400	utrujena
jag	0.408	0.440	0.427	jag
jagged	0.082	0.462	0.213	nazobčan
jaguar	0.559	0.710	0.654	jaguar
jail	0.094	0.898	0.480	zapor
jailbird	0.240	0.567	0.473	zapornica
jailbreak	0.354	0.629	0.471	beg iz zapora
jailer	0.194	0.630	0.632	ječar
jailhouse	0.104	0.887	0.430	zapornica
jalopy	0.396	0.436	0.337	jalopy
jam	0.510	0.548	0.318	marmelada
jamboree	0.602	0.625	0.351	jamboree
jammed	0.235	0.817	0.411	zagozden
jammer	0.417	0.540	0.491	motilo
janitor	0.510	0.350	0.527	hišnik
janitorial	0.490	0.373	0.481	hišniška
japan	0.667	0.482	0.580	Japonska
jar	0.430	0.346	0.318	kozarec
jargon	0.333	0.548	0.404	žargon
jarhead	0.408	0.530	0.464	jarhead
jarring	0.210	0.673	0.309	tresenje
jasmine	0.765	0.230	0.286	jasmin
jasper	0.480	0.425	0.402	jaspis
jaundice	0.214	0.480	0.355	zlatenica
jaunt	0.808	0.451	0.500	sprehod
java	0.459	0.321	0.343	java
javelin	0.385	0.481	0.465	kopje
jaw	0.500	0.510	0.420	čeljust
jawbone	0.468	0.413	0.342	čeljustna kost
jaws	0.385	0.528	0.455	čeljusti
jay	0.531	0.408	0.389	jay
jazz	0.677	0.362	0.450	jazz
jazzy	0.725	0.431	0.389	jazzy
jealous	0.173	0.855	0.345	ljubosumen
jealousy	0.146	0.783	0.481	ljubosumje
jean	0.602	0.444	0.364	jean
jeans	0.622	0.324	0.371	kavbojke
jeep	0.602	0.510	0.612	džip
jeering	0.266	0.792	0.380	norčevanje
jelly	0.651	0.294	0.256	žele
jellybean	0.592	0.406	0.399	žele bonbon
jellyfish	0.531	0.567	0.377	meduze
jenny	0.542	0.406	0.407	jenny
jeopardize	0.260	0.877	0.582	ogroziti
jeopardy	0.129	0.908	0.536	ogroženost
