English Word	Valence	Arousal	Dominance	Finnish Word
malformation	0.083	0.602	0.357	epämuodostuma
malfunction	0.125	0.577	0.229	toimintahäiriö
malice	0.073	0.811	0.492	pahuus
malicious	0.177	0.765	0.607	ilkeä
malign	0.140	0.765	0.481	parjata
malignancy	0.149	0.814	0.614	pahanlaatuisuus
malignant	0.143	0.824	0.370	pahanlaatuinen
maligned	0.102	0.684	0.218	paheksuttu
mall	0.724	0.663	0.492	ostoskeskus
malleable	0.500	0.500	0.391	muokattava
mallet	0.354	0.390	0.483	nuija
malnutrition	0.024	0.592	0.277	aliravitsemus
malpractice	0.094	0.559	0.330	väärinkäytöstä
malt	0.750	0.373	0.324	maltaat
mama	0.860	0.413	0.728	äiti
mambo	0.808	0.622	0.445	mambo
mamma	0.600	0.358	0.449	äiti
mammal	0.618	0.449	0.421	nisäkäs
mammoth	0.480	0.471	0.537	mammutti
mammy	0.680	0.415	0.436	äiti
manage	0.560	0.530	0.719	hallita
manageable	0.750	0.361	0.655	hallittavissa
management	0.792	0.491	0.806	hallinta
manager	0.625	0.549	0.897	johtaja
managerial	0.604	0.520	0.791	johtavia
mandamus	0.439	0.577	0.556	mandamus
mandarin	0.625	0.398	0.491	mandariini
mandate	0.448	0.670	0.779	mandaatti
mandatory	0.271	0.667	0.777	pakollinen
mandible	0.510	0.431	0.500	alaleuka
mandolin	0.708	0.433	0.367	mandoliini
mandrel	0.310	0.490	0.481	kara
mane	0.521	0.277	0.373	harja
maneuver	0.615	0.663	0.608	liikkumavaraa
maneuvering	0.635	0.640	0.745	ohjailu
mange	0.311	0.558	0.348	mange
manger	0.656	0.276	0.398	seimi
mangle	0.292	0.449	0.355	mankeli
mango	0.765	0.327	0.290	mango
mangosteen	0.562	0.500	0.414	mangosteen
mangy	0.214	0.698	0.270	nukkavieru
manhole	0.378	0.500	0.516	kulkuaukko
manhood	0.625	0.735	0.858	miehuus
manhunt	0.145	0.925	0.657	metsästys
mania	0.290	0.683	0.382	mania
maniac	0.120	0.849	0.431	hullu
maniacal	0.200	0.848	0.500	maniakaalinen
manic	0.054	0.892	0.368	maaninen
manicure	0.706	0.308	0.284	manikyyri
manicurist	0.583	0.352	0.341	manikyristi
manifest	0.667	0.647	0.704	selvä
manifestation	0.583	0.750	0.655	ilmentymä
manifested	0.580	0.618	0.667	ilmennyt
manifestly	0.469	0.588	0.577	selvästi
manifesto	0.646	0.519	0.676	manifesti
manifold	0.500	0.461	0.435	jakotukki
manipulate	0.255	0.700	0.772	manipuloida
manipulation	0.188	0.775	0.536	manipulointi
manipulative	0.177	0.724	0.546	manipuloiva
mankind	0.823	0.471	0.768	ihmiskunta
manly	0.698	0.633	0.846	miehekäs
manna	0.698	0.294	0.544	manna
manned	0.551	0.588	0.484	miehitetty
mannequin	0.427	0.302	0.295	mannekiini
manner	0.618	0.250	0.320	tavalla
mannered	0.469	0.556	0.291	teennäinen
manners	0.816	0.284	0.517	käytöstapoja
manor	0.646	0.358	0.738	kartano
manpower	0.531	0.620	0.543	työvoimaa
mansion	0.847	0.490	0.717	kartano
mansions	0.735	0.529	0.777	kartanoita
manslaughter	0.090	0.920	0.473	tappo
mantel	0.500	0.265	0.471	manteli
mantis	0.480	0.355	0.421	mantis
mantle	0.510	0.269	0.422	vaippa
mantra	0.396	0.249	0.357	mantra
manual	0.635	0.245	0.449	manuaalinen
manufacture	0.868	0.703	0.780	valmistus
manufacturer	0.688	0.537	0.830	valmistaja
manufacturing	0.653	0.613	0.804	valmistus
manure	0.250	0.471	0.241	lantaa
manuscript	0.510	0.208	0.540	käsikirjoitus
map	0.561	0.229	0.463	kartta
maple	0.541	0.390	0.339	vaahtera
mar	0.622	0.544	0.545	maalis
marathon	0.646	0.778	0.740	maraton-
marble	0.604	0.212	0.667	marmori
marbled	0.396	0.385	0.418	marmoroitu
marbles	0.714	0.345	0.241	marmorit
march	0.531	0.200	0.483	maaliskuuta
mare	0.541	0.320	0.417	tamma
margarine	0.530	0.316	0.333	margariini
margarita	0.750	0.438	0.420	margarita
margin	0.500	0.219	0.331	marginaali
marginal	0.235	0.644	0.345	marginaalinen
mariachi	0.710	0.559	0.609	mariachi
marijuana	0.312	0.779	0.558	marihuana
marinara	0.657	0.388	0.435	marinara
marine	0.633	0.471	0.679	meren-
mariner	0.652	0.491	0.676	merimies
marital	0.760	0.529	0.500	avioliitossa
maritime	0.646	0.490	0.713	merenkulun
mark	0.491	0.231	0.600	merkki
marked	0.592	0.358	0.554	merkitty
marker	0.500	0.333	0.605	merkki
market	0.724	0.480	0.521	markkinoida
marketable	0.746	0.545	0.664	myyntikelpoinen
marketing	0.521	0.774	0.675	markkinointi
marketplace	0.698	0.420	0.525	markkinapaikka
marks	0.430	0.480	0.424	merkit
marksman	0.500	0.833	0.692	ampuja
marksmanship	0.573	0.531	0.664	ampumataito
marl	0.372	0.471	0.351	marl
marmalade	0.729	0.370	0.288	marmeladi
maroon	0.469	0.358	0.336	kastanjanruskea
marooned	0.229	0.480	0.160	hämärtynyt
marquee	0.602	0.284	0.508	teltta
marquis	0.521	0.444	0.562	markiisi
marred	0.181	0.561	0.233	pilannut
marriage	0.844	0.684	0.750	avioliitto
married	0.674	0.570	0.602	naimisissa
marrow	0.398	0.422	0.472	luuydin
marry	0.896	0.765	0.673	naida
marsh	0.302	0.358	0.277	suo
marshal	0.469	0.610	0.819	marsalkka
marshmallow	0.740	0.441	0.391	vaahtokarkkeja
mart	0.531	0.402	0.418	mart
martial	0.480	0.710	0.737	taistelullinen
martingale	0.469	0.510	0.455	martingaali
martini	0.828	0.500	0.519	Martini
martyr	0.281	0.708	0.509	marttyyri
martyrdom	0.323	0.745	0.442	marttyyrikuolema
marvel	0.961	0.755	0.866	ihmettele
marvellous	0.878	0.809	0.849	ihmeellistä
marvelous	0.948	0.637	0.778	ihmeellistä
marvelously	0.968	0.708	0.764	ihmeellisesti
marzipan	0.684	0.380	0.258	marsipaani
mascara	0.575	0.450	0.269	ripsiväri
mascot	0.750	0.337	0.337	maskotti
masculine	0.653	0.540	0.773	maskuliini-
masculinity	0.583	0.670	0.851	maskuliinisuus
mash	0.440	0.363	0.283	muussaa
mashed	0.531	0.337	0.194	muussattu
mask	0.510	0.490	0.537	naamio
masked	0.375	0.549	0.518	naamioitunut
masks	0.510	0.472	0.241	naamarit
masochism	0.194	0.845	0.483	masokismi
masochist	0.164	0.784	0.353	masokisti
mason	0.541	0.442	0.580	muurari
masquerade	0.431	0.633	0.446	naamiaiset
mass	0.458	0.245	0.277	massa-
massacre	0.031	0.887	0.640	verilöyly
massage	0.708	0.356	0.413	hieronta
masses	0.552	0.453	0.473	massat
masseur	0.622	0.265	0.463	hieroja
masseuse	0.594	0.373	0.391	hieroja
massive	0.569	0.660	0.750	massiivinen
mast	0.542	0.390	0.580	masto
master	0.694	0.490	0.849	hallita
masterful	0.854	0.510	0.960	mestarillinen
mastermind	0.792	0.625	0.918	sielu
masterpiece	0.926	0.623	0.847	mestariteos
mastery	0.755	0.648	0.873	mestaruus
masturbate	0.552	0.926	0.500	masturboida
masturbation	0.542	0.961	0.509	itsetyydytys
mat	0.459	0.221	0.304	matto
matador	0.224	0.880	0.667	matadori
match	0.599	0.573	0.500	ottelu
matchbook	0.562	0.391	0.412	tulitikkuvihko
matching	0.719	0.735	0.418	yhteensopivuus
matchmaker	0.615	0.509	0.519	matchmaker
mate	0.847	0.417	0.669	kaveri
material	0.521	0.363	0.439	materiaalia
materialism	0.220	0.390	0.556	materialismi
materialist	0.255	0.491	0.504	materialisti
materialistic	0.420	0.506	0.589	materialistinen
materiality	0.417	0.450	0.636	olennaisuus
materialize	0.688	0.596	0.728	materialisoitua
materially	0.490	0.451	0.670	aineellisesti
materials	0.633	0.361	0.473	materiaaleja
materiel	0.531	0.294	0.417	materiaalia
maternal	0.847	0.417	0.634	äidin
maternity	0.865	0.480	0.622	äitiys
math	0.417	0.375	0.600	matematiikka
mathematical	0.620	0.500	0.548	matemaattinen
mathematician	0.541	0.418	0.773	matemaatikko
mathematics	0.438	0.435	0.664	matematiikka
matinee	0.694	0.578	0.447	matinea
mating	0.755	0.840	0.759	parittelu
matriculation	0.622	0.490	0.675	ylioppilaaksi
matrimony	0.850	0.637	0.843	avioliitto
matrix	0.551	0.378	0.673	matriisi
matron	0.520	0.519	0.555	emäntä
matted	0.281	0.519	0.393	takkuinen
matter	0.487	0.353	0.562	asia
matting	0.479	0.405	0.423	matto
mattress	0.612	0.255	0.397	patja
maturation	0.612	0.439	0.698	kypsyminen
mature	0.625	0.347	0.600	kypsä
maturity	0.827	0.400	0.806	kypsyys
maudlin	0.337	0.417	0.368	maudlin
mausoleum	0.344	0.281	0.594	mausoleumi
mauve	0.533	0.330	0.314	violetti
maverick	0.354	0.676	0.409	Maverick
maxim	0.875	0.562	0.887	maksimi
maximize	0.823	0.765	0.792	maksimoida
maximum	0.724	0.724	0.852	enimmäismäärä
may	0.704	0.273	0.245	saattaa
mayday	0.344	0.643	0.423	Vappu
mayflower	0.690	0.463	0.429	Mayflower
mayhem	0.188	0.870	0.364	sekasorto
mayonnaise	0.510	0.320	0.222	majoneesi
mayor	0.469	0.481	0.818	pormestari
maze	0.438	0.608	0.444	sokkelo
mead	0.667	0.337	0.441	sima
meadow	0.622	0.130	0.382	niitty
meager	0.144	0.389	0.281	niukka
meal	0.833	0.461	0.473	ateria
mean	0.440	0.467	0.620	tarkoittaa
meander	0.480	0.443	0.454	mutkitella
meandering	0.427	0.644	0.539	polveileva
meanie	0.388	0.420	0.404	pikkusielu
meaning	0.663	0.395	0.625	merkitys
meaningful	0.770	0.500	0.802	merkityksellinen
meaningless	0.156	0.314	0.143	merkityksetön
meanness	0.102	0.694	0.368	ilkeyttä
means	0.615	0.373	0.460	tarkoittaa
meantime	0.432	0.222	0.300	sillä välin
measles	0.092	0.635	0.422	tuhkarokko
measurable	0.604	0.410	0.602	mitattavissa
measure	0.510	0.375	0.365	mitata
measured	0.542	0.265	0.578	mitattu
measurement	0.622	0.418	0.491	mittaus
measuring	0.448	0.337	0.529	mittaamalla
measuring cup	0.557	0.343	0.377	mittakuppi
measuring tape	0.337	0.280	0.327	mittanauha
meat	0.612	0.421	0.413	liha
meatball	0.612	0.279	0.343	lihapullia
meathead	0.306	0.534	0.490	lihapää
meatloaf	0.625	0.389	0.375	lihamureke
mechanic	0.571	0.433	0.566	mekaaninen
mechanical	0.479	0.569	0.564	mekaaninen
mechanics	0.542	0.500	0.761	mekaniikka
mechanism	0.573	0.583	0.664	mekanismi
med	0.375	0.429	0.606	med
medal	0.854	0.555	0.746	mitali
medallion	0.750	0.510	0.710	medaljonki
medallist	0.796	0.821	0.897	mitalisti
meddle	0.302	0.770	0.526	mestaroida
meddling	0.245	0.600	0.461	sekaantumista
media	0.500	0.330	0.464	media
medial	0.458	0.340	0.429	mediaalinen
median	0.459	0.216	0.375	mediaani
mediate	0.635	0.308	0.654	välittää
mediation	0.661	0.350	0.657	sovittelu
mediator	0.592	0.438	0.580	välittäjänä
medic	0.500	0.472	0.585	lääkintämies
medical	0.583	0.373	0.616	lääketieteellinen
medicate	0.417	0.375	0.546	lääkitä
medication	0.615	0.439	0.500	lääkitys
medicinal	0.667	0.417	0.614	lääkinnällinen
medicine	0.708	0.318	0.679	lääke
medieval	0.560	0.408	0.455	keskiaikainen
mediocre	0.188	0.481	0.149	keskiverto
mediocrity	0.073	0.398	0.225	keskinkertaisuus
meditate	0.812	0.146	0.564	mietiskellä
meditating	0.718	0.185	0.399	meditoimalla
meditation	0.786	0.120	0.478	meditaatio
meditative	0.614	0.120	0.454	meditatiivista
mediterranean	0.663	0.454	0.545	Välimeren
medium	0.559	0.356	0.358	keskikokoinen
medley	0.487	0.352	0.400	sekauinti
meek	0.531	0.150	0.198	nöyrä
meet	0.760	0.510	0.580	tavata
meeting	0.750	0.569	0.613	tapaaminen
mega	0.724	0.538	0.723	mega
meh	0.380	0.286	0.365	meh
melancholic	0.181	0.306	0.277	melankolinen
melancholy	0.188	0.260	0.237	melankoliaa
melee	0.541	0.704	0.611	nujakka
mellow	0.633	0.069	0.265	täyteläinen
melodious	0.932	0.530	0.587	melodinen
melodrama	0.378	0.830	0.446	melodraama
melodramatic	0.235	0.692	0.368	melodramaattinen
melody	0.847	0.434	0.405	melodia
melon	0.461	0.231	0.271	meloni
melt	0.448	0.615	0.312	sulaa
meltdown	0.629	0.657	0.602	sulaminen
melting	0.592	0.470	0.538	sulaminen
member	0.698	0.333	0.555	jäsen
membership	0.698	0.411	0.778	jäsenyys
membrane	0.406	0.430	0.418	kalvo
memento	0.708	0.360	0.536	muisto
memo	0.625	0.235	0.407	muistio
memoir	0.750	0.242	0.553	muistelma
memorabilia	0.780	0.412	0.491	muistoesineitä
memorable	0.939	0.510	0.769	mieleenpainuva
memorandum	0.600	0.500	0.639	muistio
memorial	0.602	0.304	0.600	muistomerkki
memorials	0.771	0.333	0.679	muistomerkit
memories	0.963	0.487	0.510	muistoja
memoriesiwontforget	0.635	0.542	0.455	muistot eivät unohdu
memorize	0.520	0.451	0.716	muistaa
memory	0.792	0.378	0.573	muisti
menace	0.125	0.894	0.759	uhka
menacing	0.042	0.880	0.643	uhkaava
menagerie	0.573	0.480	0.538	eläintarha
mend	0.542	0.436	0.602	paikata
mending	0.500	0.633	0.657	korjaaminen
menial	0.490	0.420	0.352	palkollinen
meningitis	0.104	0.612	0.407	aivokalvontulehdus
meniscus	0.323	0.330	0.453	meniski
menopause	0.204	0.460	0.306	vaihdevuodet
menses	0.163	0.686	0.331	kuukautiset
menstrual	0.408	0.519	0.435	kuukautiset
mental	0.490	0.490	0.585	henkistä
mentalhealth	0.562	0.541	0.670	mielenterveys
mentality	0.711	0.415	0.726	mentaliteetti
menthol	0.490	0.292	0.433	mentoli
mention	0.562	0.365	0.562	mainita
mentor	0.719	0.455	0.777	mentori
menu	0.633	0.333	0.385	valikosta
meow	0.510	0.510	0.412	Miau
mercantile	0.480	0.490	0.713	kaupallinen
mercenary	0.245	0.837	0.673	palkkasoturi
merchandise	0.594	0.460	0.621	tavarat
merchant	0.675	0.500	0.620	kauppias
merciful	0.854	0.346	0.500	armollinen
merciless	0.062	0.880	0.634	armoton
mercurial	0.490	0.546	0.518	oikukas
mercury	0.337	0.312	0.475	elohopeaa
mercy	0.719	0.229	0.500	armo
mere	0.396	0.221	0.176	pelkkä
merengue	0.688	0.519	0.442	merengue
merge	0.760	0.480	0.733	yhdistää
merger	0.592	0.490	0.642	fuusio
meridian	0.510	0.324	0.558	meridiaani
meridional	0.365	0.290	0.600	meridionaalinen
meringue	0.625	0.580	0.411	marenki
merit	0.854	0.500	0.722	ansioita
meritorious	0.781	0.618	0.855	ansiokas
mermaid	0.765	0.623	0.452	merenneito
merriment	0.948	0.721	0.632	iloa
merry	0.979	0.731	0.764	iloinen
merrychristmas	0.888	0.510	0.536	hyvää joulua
mesa	0.604	0.191	0.319	mesa
mescaline	0.490	0.580	0.415	meskaliini
mesh	0.429	0.235	0.371	verkko
meshes	0.440	0.363	0.362	silmät
mesmerized	0.520	0.552	0.421	lumoutunut
mess	0.143	0.843	0.273	sotku
message	0.650	0.391	0.415	viesti
messedup	0.333	0.615	0.358	sekaisin
messenger	0.694	0.434	0.500	sanansaattaja
messiah	0.781	0.634	0.800	Messias
messy	0.260	0.635	0.140	sotkuinen
metabolic	0.408	0.531	0.559	metabolinen
metabolism	0.698	0.509	0.555	aineenvaihduntaa
metal	0.551	0.429	0.547	metalli-
metallic	0.615	0.330	0.607	metallinen
metallurgy	0.396	0.509	0.587	metallurgia
metamorphosis	0.541	0.571	0.613	metamorfoosi
metaphor	0.562	0.280	0.470	metafora
metaphorical	0.500	0.412	0.480	metaforinen
metaphysical	0.630	0.573	0.686	metafyysinen
metaphysics	0.561	0.396	0.588	metafysiikka
metastasis	0.177	0.646	0.452	etäpesäke
meteor	0.398	0.714	0.737	meteori
meteoric	0.590	0.802	0.684	meteorinen
meteorite	0.385	0.794	0.750	meteoriitti
meteorological	0.635	0.557	0.556	meteorologinen
meteorology	0.630	0.418	0.689	meteorologia
meter	0.438	0.300	0.463	mittari
meth	0.354	0.564	0.340	meth
methadone	0.240	0.540	0.453	metadonia
methane	0.290	0.460	0.569	metaani
methanol	0.292	0.500	0.570	metanoli
method	0.640	0.275	0.698	menetelmä
methodical	0.663	0.360	0.745	menetelmällinen
methodology	0.664	0.327	0.745	metodologia
meticulous	0.555	0.480	0.555	huolellinen
metime	0.531	0.398	0.417	oma aika
metric	0.519	0.248	0.573	metrinen
metrical	0.521	0.375	0.482	metrinen
metrology	0.531	0.432	0.439	metrologia
metropolis	0.656	0.625	0.779	metropoli
metropolitan	0.387	0.408	0.723	suurkaupunki
mettle	0.667	0.529	0.750	taitavaa
mew	0.418	0.481	0.380	mew
mezzanine	0.479	0.427	0.404	mezzanine
mica	0.531	0.250	0.314	kiille
mick	0.449	0.451	0.382	mick
micro	0.500	0.270	0.250	mikro
microbe	0.255	0.450	0.340	mikrobi
microbiology	0.571	0.378	0.560	mikrobiologia
microchip	0.551	0.358	0.432	mikrosiru
microcosm	0.500	0.500	0.520	mikrokosmos
microfilm	0.469	0.352	0.412	mikrofilmi
microgram	0.448	0.286	0.355	mikrogrammaa
micrometer	0.573	0.358	0.394	mikrometri
micron	0.375	0.291	0.315	mikronia
microphone	0.551	0.431	0.462	mikrofoni
microscope	0.531	0.330	0.464	mikroskooppi
microscopic	0.360	0.327	0.433	mikroskooppinen
microscopically	0.623	0.370	0.412	mikroskooppisesti
microscopy	0.500	0.339	0.455	mikroskopia
microwave	0.542	0.497	0.443	mikroaaltouuni
mid	0.500	0.315	0.356	mid
midair	0.633	0.413	0.455	ilmassa
midday	0.658	0.250	0.403	keskipäivä
middle	0.458	0.157	0.300	keskellä
middleman	0.500	0.404	0.452	välikäsi
middleweight	0.510	0.302	0.428	keskisarjassa
midget	0.396	0.295	0.254	kääpiö
midland	0.521	0.402	0.456	keskimaa
midlife	0.594	0.244	0.473	keski-ikää
midline	0.332	0.224	0.330	keskiviiva
midnight	0.562	0.470	0.545	keskiyöllä
midshipman	0.469	0.615	0.785	merikadetti
midst	0.324	0.275	0.296	keskellä
midsummer	0.781	0.480	0.492	juhannus
midterm	0.427	0.337	0.425	puolivälissä
midtown	0.479	0.442	0.538	keskustassa
midway	0.459	0.316	0.304	puolivälissä
midwife	0.531	0.570	0.453	kätilö
midwifery	0.510	0.570	0.459	kätilö
mien	0.500	0.352	0.447	mien
miffed	0.204	0.726	0.429	loukkaantunut
mighty	0.855	0.837	0.936	mahtava
mignon	0.551	0.440	0.423	mignon
migraine	0.135	0.783	0.318	migreeni
migrate	0.415	0.580	0.454	siirtyä
migration	0.492	0.731	0.566	muuttoliike
migratory	0.448	0.521	0.491	muuttoliike
mike	0.542	0.365	0.423	mike
mil	0.534	0.388	0.347	milj
mild	0.635	0.198	0.216	lievä
mildew	0.344	0.250	0.241	hometta
mildness	0.827	0.226	0.311	lempeys
mile	0.521	0.417	0.456	mailia
mileage	0.510	0.458	0.562	kilometrimäärä
milestone	0.719	0.373	0.558	virstanpylväs
militant	0.418	0.667	0.750	militantti
militants	0.260	0.673	0.652	militantteja
military	0.396	0.710	0.875	sotilaallinen
militia	0.396	0.729	0.769	miliisi
milk	0.817	0.270	0.327	maito
milkman	0.750	0.380	0.304	maitomies
milkshake	0.796	0.521	0.330	pirtelö
milky	0.517	0.283	0.311	maitomainen
mill	0.531	0.382	0.347	mylly
millennium	0.573	0.398	0.760	vuosituhannen
milligram	0.429	0.217	0.302	milligramma
millimeter	0.427	0.177	0.360	millimetri
million	0.776	0.647	0.812	miljoonaa
millionaire	0.917	0.755	0.850	miljonääri
millionth	0.635	0.528	0.611	miljoonas
millstone	0.510	0.433	0.492	myllynkivi
mime	0.455	0.235	0.302	miimi
mimic	0.557	0.587	0.391	jäljitellä
mimicking	0.316	0.433	0.364	matkimalla
mimicry	0.420	0.337	0.472	matkiminen
mince	0.417	0.529	0.378	jauheliha
mincemeat	0.396	0.435	0.358	jauheliha
mind	0.650	0.388	0.627	mieleen
minded	0.656	0.394	0.627	ajattelevainen
mindful	0.765	0.450	0.725	tietoinen
mindfulness	0.729	0.635	0.745	tarkkaavaisuus
mindless	0.184	0.333	0.153	mieletön
mine	0.688	0.418	0.578	Kaivos
minefield	0.188	0.839	0.684	miinakenttä
miner	0.408	0.594	0.644	kaivosmies
mineral	0.519	0.287	0.605	mineraali
mineralogy	0.551	0.408	0.545	mineralogia
mingle	0.561	0.480	0.434	sekoittua
mingled	0.521	0.392	0.357	sekoittunut
mini	0.421	0.324	0.221	mini
miniature	0.429	0.292	0.204	miniatyyri
minibus	0.439	0.390	0.428	pikkubussi
minim	0.518	0.208	0.138	minimi
minimal	0.448	0.147	0.206	minimaalinen
minimize	0.360	0.236	0.311	minimoida
minimized	0.458	0.137	0.208	minimoitu
minimum	0.380	0.198	0.194	minimi
mining	0.633	0.598	0.554	kaivostoimintaa
minion	0.490	0.430	0.167	juoksupoika
minister	0.547	0.441	0.892	ministeri
ministerial	0.571	0.519	0.660	ministeriön-
ministry	0.510	0.346	0.717	ministeriö
minivan	0.592	0.356	0.452	tila-auto
mink	0.560	0.515	0.430	minkki
minnow	0.541	0.367	0.364	mutu
minor	0.250	0.235	0.175	alaikäinen
minority	0.310	0.332	0.211	vähemmistö
minstrel	0.458	0.541	0.397	minstrel
mint	0.688	0.221	0.345	Minttu
minty	0.635	0.292	0.361	mintty
minuscule	0.396	0.286	0.214	pienikokoinen
minute	0.582	0.279	0.356	minuutti
minutiae	0.323	0.257	0.316	yksityiskohtia
minx	0.448	0.519	0.404	minx
mir	0.417	0.339	0.355	mir
miracle	0.917	0.607	0.806	ihme
miracles	0.922	0.735	0.692	ihmeitä
miraculous	0.875	0.706	0.812	ihmeellinen
mirage	0.546	0.487	0.562	kangastus
mire	0.344	0.376	0.298	suota
mirror	0.677	0.310	0.438	peili
mirth	0.888	0.640	0.608	iloa
misappropriation	0.097	0.831	0.500	väärinkäyttö
misbehave	0.020	0.847	0.304	käyttäytyä huonosti
misbehavior	0.031	0.704	0.269	kurittomuus
miscalculation	0.177	0.490	0.353	laskuvirhe
miscarriage	0.042	0.781	0.312	keskenmeno
miscellaneous	0.531	0.321	0.196	sekalaista
miscellany	0.500	0.412	0.384	sekalaista
mischief	0.385	0.834	0.292	ilkivalta
mischievous	0.439	0.804	0.472	ilkikurinen
misconception	0.210	0.557	0.291	väärinkäsitys
misconduct	0.061	0.667	0.304	rikkomus
misdemeanor	0.210	0.640	0.364	rikkomus
misdirection	0.131	0.710	0.281	väärä suunta
miser	0.208	0.633	0.311	saituri
miserable	0.062	0.461	0.188	kurja
miserably	0.280	0.545	0.150	surkeasti
misery	0.146	0.378	0.158	kurjuutta
misfire	0.153	0.453	0.200	sytytyskatkos
misfit	0.173	0.500	0.393	sopimaton
misfortune	0.094	0.780	0.311	epäonni
misguided	0.280	0.531	0.259	harhaan johdettu
mishap	0.071	0.654	0.227	vahinko
misinformed	0.156	0.567	0.250	väärin tiedotettu
misinterpretation	0.112	0.556	0.360	väärintulkinta
mislead	0.167	0.765	0.412	johtaa harhaan
misleading	0.070	0.660	0.272	harhaanjohtavaa
misled	0.177	0.606	0.353	johdettu harhaan
mismanagement	0.094	0.520	0.295	huonosta johtamisesta
mismatch	0.250	0.459	0.282	epäsuhta
mismatched	0.250	0.557	0.302	yhteensopimaton
misnomer	0.296	0.528	0.284	väärä nimitys
misplace	0.229	0.461	0.191	väärässä paikassa
misplaced	0.247	0.450	0.324	väärässä paikassa
misread	0.115	0.558	0.315	luettu väärin
misrepresent	0.198	0.542	0.418	antaa vääriä tietoja
misrepresentation	0.323	0.618	0.518	harhaanjohtamista
misrepresented	0.042	0.519	0.466	väärin esitetty
miss	0.573	0.490	0.408	neiti
missile	0.240	0.830	0.764	ohjus
missiles	0.070	0.922	0.830	ohjuksia
missing	0.306	0.418	0.222	puuttuu
missingyou	0.260	0.471	0.377	kaipaan sinua
mission	0.765	0.633	0.870	tehtävä
missionary	0.729	0.404	0.596	lähetyssaarnaaja
misspell	0.292	0.423	0.281	kirjoittaa väärin
misstatement	0.302	0.547	0.221	virheellisyyttä
missy	0.521	0.480	0.333	neiti
mist	0.375	0.194	0.221	sumu
mistake	0.208	0.585	0.102	virhe
mistaken	0.131	0.630	0.212	virheellinen
mister	0.604	0.406	0.663	herra
mistletoe	0.542	0.470	0.324	misteli
mistreated	0.010	0.792	0.200	pahoinpidelty
mistress	0.630	0.796	0.694	emäntä
mistrial	0.427	0.539	0.536	mistrial
mistrust	0.135	0.657	0.231	epäluottamus
misty	0.427	0.451	0.278	sumuinen
misunderstand	0.177	0.548	0.382	ymmärtää väärin
misunderstanding	0.112	0.618	0.284	väärinkäsitys
misunderstood	0.177	0.625	0.309	väärin ymmärretty
misuse	0.083	0.560	0.196	väärinkäyttö
mite	0.290	0.584	0.271	punkki
miter	0.458	0.500	0.414	jiiriä
mitigate	0.506	0.427	0.456	lieventää
mitigating	0.551	0.520	0.600	lieventäviä
mitigation	0.448	0.527	0.423	lieventäminen
mitt	0.406	0.183	0.264	mitt
mitten	0.531	0.330	0.408	lapanen
mitzvah	0.422	0.610	0.409	mitsva
mix	0.542	0.490	0.472	sekoita
mixed	0.510	0.346	0.444	sekoitettu
mixedemotions	0.440	0.673	0.430	sekavat tunteet
mixer	0.562	0.500	0.556	mikseri
mixture	0.546	0.360	0.481	seos
mnemonic	0.531	0.480	0.452	muistomerkki
moan	0.357	0.735	0.352	vaikerrus
moat	0.398	0.380	0.314	vallihauta
mob	0.296	0.788	0.567	väkijoukko
mobile	0.615	0.569	0.481	mobiili
mobility	0.700	0.596	0.654	liikkuvuus
mobilization	0.688	0.720	0.787	mobilisaatio
mobilize	0.604	0.684	0.727	mobilisoida
mobster	0.188	0.870	0.638	gangsteri
mocha	0.500	0.396	0.311	mokka
mock	0.360	0.606	0.618	pilkata
mocked	0.225	0.746	0.204	pilkattiin
mockery	0.094	0.806	0.181	pilkkaaminen
mocking	0.082	0.755	0.394	pilkkaaminen
mockingbird	0.513	0.337	0.423	pilkkaajalintu
mod	0.458	0.367	0.384	mod
modal	0.592	0.264	0.461	modaalinen
modality	0.633	0.404	0.527	modaliteetti
mode	0.531	0.185	0.367	-tilassa
model	0.607	0.388	0.723	malli-
modeler	0.500	0.510	0.730	mallintaja
modeling	0.684	0.404	0.490	mallinnus
modem	0.573	0.355	0.500	modeemi
moderate	0.582	0.190	0.453	kohtalainen
moderate anticipation	0.667	0.451	0.574	maltillinen odotus
moderate disgust	0.229	0.558	0.381	kohtalainen inho
moderate negative	0.177	0.500	0.306	kohtalainen negatiivinen
moderate positive	0.896	0.453	0.753	kohtalaisen positiivinen
moderate surprise	0.776	0.663	0.637	kohtalainen yllätys
moderate trust	0.677	0.350	0.773	kohtalainen luottamus
moderately	0.604	0.264	0.500	kohtalaisen
moderating	0.667	0.402	0.783	moderointi
moderation	0.531	0.240	0.453	maltillisuus
moderator	0.519	0.354	0.802	moderaattori
modern	0.855	0.423	0.691	moderni
modernism	0.760	0.553	0.703	modernismia
modest	0.760	0.130	0.412	vaatimaton
modesty	0.778	0.240	0.500	vaatimattomuus
modicum	0.234	0.417	0.327	pieni määrä
modifiable	0.541	0.422	0.373	muokattavissa
modification	0.480	0.520	0.625	muutos
modified	0.561	0.458	0.693	muokattu
modify	0.458	0.584	0.625	muuttaa
modulate	0.673	0.343	0.555	moduloida
modulation	0.458	0.365	0.565	modulaatio
module	0.582	0.388	0.571	moduuli
modulus	0.622	0.304	0.481	moduuli
mogul	0.510	0.652	0.865	moguli
moiety	0.378	0.343	0.454	osa
moist	0.470	0.316	0.386	kostea
