English Word	Valence	Arousal	Dominance	Pashto Word
multimedia	0.611	0.390	0.607	ملټي میډیا
multinational	0.656	0.510	0.842	ملټي نیشنل
multiple	0.660	0.510	0.578	څو
multiple sclerosis	0.188	0.587	0.483	څو سکلیروسیس
multiplex	0.610	0.590	0.667	ملټي پلیکس
multiplication	0.646	0.565	0.762	ضرب
multiplicity	0.677	0.490	0.777	ضربت
multiplied	0.802	0.559	0.729	ضرب
multiplier	0.643	0.615	0.741	ضرب
multiply	0.802	0.625	0.777	ضرب
multitude	0.562	0.765	0.847	ګڼه ګوڼه
mum	0.802	0.317	0.698	مور
mumble	0.292	0.444	0.245	خندل
mumbo	0.429	0.506	0.336	ممبو
mummy	0.400	0.588	0.415	مور
mumps	0.099	0.410	0.311	ممپس
munch	0.541	0.277	0.434	غوښه
munchies	0.562	0.470	0.491	مچۍ
munchkin	0.490	0.466	0.374	munchkin
mundane	0.312	0.420	0.480	دنیا
municipal	0.625	0.390	0.758	ښاروال
municipality	0.569	0.280	0.614	ښاروالۍ
mural	0.551	0.265	0.454	دیوال
murder	0.061	0.942	0.615	وژنه
murderer	0.010	0.960	0.650	قاتل
murderess	0.041	0.941	0.462	قاتل
murderous	0.017	0.940	0.682	وژونکی
murky	0.143	0.618	0.370	خړ
murmur	0.458	0.520	0.200	چغې وهل
muscle	0.359	0.490	0.645	عضلات
muscular	0.531	0.434	0.577	عضلاتي
muse	0.760	0.360	0.509	میوز
muses	0.714	0.434	0.571	میوز
museum	0.792	0.206	0.481	میوزیم
mush	0.500	0.311	0.125	خندا
mushroom	0.490	0.274	0.269	مشروم
mushy	0.520	0.200	0.182	خندا
music	0.833	0.563	0.605	موسيقي
musical	0.908	0.630	0.530	میوزیکل
musician	0.816	0.509	0.618	موسیقار
musing	0.740	0.151	0.465	ګډوډي
musk	0.469	0.454	0.453	مشک
musket	0.260	0.654	0.510	مشک
musketeer	0.694	0.569	0.705	مشک
muskrat	0.439	0.510	0.368	مسکرات
muslin	0.439	0.304	0.352	ململ
muss	0.418	0.438	0.302	مس
must	0.408	0.382	0.441	باید
mustang	0.635	0.642	0.708	مستنګ
mustard	0.500	0.346	0.275	سرسۍ
muster	0.635	0.460	0.548	راټولول
musty	0.354	0.367	0.267	مست
mutable	0.426	0.531	0.491	بدلون وړ
mutant	0.337	0.676	0.573	mutant
mutate	0.281	0.548	0.463	بدلون
mutation	0.365	0.625	0.611	بدلون
mute	0.271	0.200	0.250	خاموش
muted	0.260	0.167	0.162	خاموش
mutilate	0.125	0.900	0.465	ماتول
mutilated	0.041	0.841	0.356	مات شوی
mutilation	0.122	0.782	0.456	ماتول
mutiny	0.323	0.890	0.549	بغاوت
mutt	0.418	0.408	0.387	mutt
mutter	0.406	0.427	0.228	غوغا
mutton	0.427	0.283	0.393	غوښه
mutual	0.729	0.321	0.464	متقابل
mutually	0.844	0.490	0.582	متقابل
muzzle	0.388	0.430	0.232	خوله
myfavorite	0.812	0.587	0.615	زما د خوښې
myopia	0.245	0.387	0.226	myopia
myopic	0.344	0.396	0.218	myopic
myriad	0.480	0.429	0.550	بې شمیره
mysterious	0.448	0.699	0.455	پراسرار
mystery	0.417	0.667	0.519	اسرار
mystic	0.643	0.520	0.535	صوفیانه
mystical	0.594	0.443	0.689	صوفیانه
mysticism	0.594	0.598	0.423	تصوف
mystified	0.344	0.600	0.509	پراسرار
mystique	0.668	0.633	0.667	صوفیانه
myth	0.458	0.432	0.338	افسانه
mythic	0.635	0.528	0.645	افسانه
mythical	0.625	0.556	0.583	افسانوي
mythological	0.760	0.573	0.658	افسانوي
mythology	0.684	0.439	0.688	افسانه
nab	0.469	0.544	0.407	نیول
nacho	0.667	0.259	0.333	nacho
nada	0.250	0.231	0.136	نادا
nadir	0.479	0.363	0.424	نادر
nag	0.271	0.451	0.472	ناګ
nail	0.469	0.397	0.282	نوک
nail gun	0.378	0.806	0.574	ناخن ټوپک
naive	0.406	0.260	0.375	ساده
naked	0.323	0.885	0.288	بربنډ
nakedness	0.480	0.760	0.350	بربنډتوب
namaste	0.719	0.255	0.464	سلام
name	0.573	0.300	0.415	نوم
named	0.562	0.396	0.565	نومول شوی
nameless	0.344	0.280	0.164	بې نومه
namesake	0.418	0.327	0.404	نوم
naming	0.667	0.410	0.559	نوم ورکول
nana	0.765	0.255	0.375	نانا
nanny	0.615	0.370	0.528	نانی
nanometer	0.375	0.356	0.446	نانومیټر
nap	0.660	0.098	0.342	خوب
napalm	0.265	0.580	0.471	ناپلم
nape	0.427	0.268	0.298	نپ
napkin	0.469	0.142	0.209	رومال
napping	0.765	0.046	0.306	خوب کول
nappy	0.529	0.333	0.207	نپی
narcissism	0.214	0.639	0.540	نرگسیت
narcissist	0.173	0.614	0.629	نشه کوونکی
narcissistic	0.323	0.708	0.655	narcissistic
narcotic	0.102	0.858	0.450	مخدره مواد
narrate	0.541	0.480	0.473	بیانول
narration	0.622	0.408	0.551	روایت
narrative	0.580	0.303	0.443	داستان
narrator	0.673	0.430	0.623	راوی
narrow	0.260	0.368	0.356	تنګ
narrowing	0.354	0.593	0.357	تنګول
nasal	0.479	0.340	0.330	پوزه
nascent	0.684	0.373	0.585	نوی
nasty	0.115	0.620	0.264	چټل
natal	0.755	0.462	0.481	زیږون
nation	0.594	0.443	0.821	ملت
national	0.698	0.365	0.663	ملي
nationality	0.642	0.400	0.772	تابعیت
nationwide	0.684	0.217	0.672	په ټول هیواد کې
native	0.635	0.422	0.710	اصلي
nativity	0.750	0.337	0.673	زیږون
natural	0.854	0.118	0.481	طبیعي
natural gas	0.635	0.324	0.396	طبیعی ګاز
naturalist	0.844	0.255	0.562	طبيعي
naturalization	0.781	0.279	0.652	طبیعي کول
naturalized	0.760	0.333	0.600	طبیعی شوی
naturally	0.854	0.276	0.549	په طبیعي توګه
nature	0.857	0.184	0.643	طبیعت
naught	0.344	0.176	0.161	هیڅ نه
naughty	0.451	0.857	0.371	شرارتي
nausea	0.104	0.781	0.273	مغز
nauseate	0.062	0.660	0.176	ستړیا
nauseating	0.021	0.640	0.250	زړه بدوالی
nauseous	0.135	0.780	0.284	مغز
nautical	0.646	0.250	0.579	سمندري
nautilus	0.396	0.509	0.517	نوټیلس
naval	0.542	0.449	0.679	بحري
nave	0.583	0.448	0.585	nave
navel	0.448	0.261	0.276	ناوې
navigable	0.749	0.406	0.645	د تګ وړ
navigate	0.740	0.555	0.675	تګ
navigation	0.841	0.470	0.720	نیویگیشن
navigational	0.573	0.481	0.564	نیویګیشنل
navigator	0.583	0.592	0.623	نیویگیټر
navy	0.531	0.760	0.764	بحري
nay	0.344	0.290	0.325	نه
nearsighted	0.271	0.373	0.265	نږدې لید
neat	0.878	0.235	0.491	پاک
neatly	0.802	0.412	0.588	په ښه توګه
nebula	0.510	0.418	0.438	نیبولا
nebulae	0.490	0.330	0.472	nebulae
nebulous	0.469	0.347	0.417	ناپاک
necessarily	0.667	0.423	0.598	ضرور
necessary	0.750	0.433	0.679	اړین
necessitate	0.578	0.604	0.516	اړ کول
necessities	0.520	0.630	0.463	اړتیاوې
necessity	0.567	0.471	0.588	اړتیا
neck	0.541	0.245	0.345	غاړه
necklace	0.760	0.294	0.373	هار
necktie	0.583	0.229	0.314	غالۍ
necromancer	0.333	0.625	0.536	عصبي
necrosis	0.115	0.622	0.385	necrosis
nectar	0.746	0.331	0.398	امرت
need	0.510	0.574	0.200	اړتیا
needalife	0.490	0.443	0.394	اړتیا ژوند
needed	0.677	0.342	0.679	اړتیا
needful	0.582	0.460	0.614	اړين
needit	0.250	0.472	0.356	اړتیا
needle	0.250	0.472	0.360	ستنه
needlepoint	0.653	0.500	0.556	د ستنې نقطه
needles	0.250	0.602	0.348	ستنې
needless	0.327	0.385	0.200	بې ضرورته
needtoknow	0.427	0.606	0.474	پوهیدل اړین دي
needtorelax	0.673	0.438	0.274	اړتیا لرونکی آرام
needy	0.360	0.451	0.245	اړمن
nefarious	0.184	0.720	0.528	ناوړه
negation	0.255	0.461	0.297	انکار
negative	0.102	0.527	0.176	منفي
negativity	0.060	0.520	0.273	منفيتوب
neglect	0.045	0.550	0.163	غفلت
neglected	0.271	0.385	0.160	غفلت شوی
neglecting	0.177	0.441	0.230	غفلت
negligee	0.385	0.520	0.336	غفلت
negligence	0.092	0.570	0.251	غفلت
negligent	0.167	0.583	0.259	غفلت
negligently	0.056	0.583	0.266	په غفلت سره
negligible	0.177	0.292	0.232	د نه منلو وړ
negotiable	0.688	0.585	0.731	د خبرو اترو وړ
negotiate	0.612	0.708	0.769	خبرې اترې
negotiation	0.490	0.615	0.728	خبرې اترې
negotiator	0.635	0.471	0.817	مذاکره کوونکی
negro	0.354	0.368	0.461	نیګرو
neigh	0.378	0.642	0.373	ګاونډی
neighbor	0.657	0.448	0.434	ګاونډی
neighborhood	0.385	0.469	0.373	ګاونډی
neighboring	0.656	0.306	0.481	ګاونډی
nemesis	0.271	0.688	0.647	nemesis
neon	0.594	0.480	0.380	نیون
neonatal	0.542	0.529	0.357	نوی زیږون
neophyte	0.286	0.363	0.411	neophyte
neoprene	0.316	0.451	0.443	neoprene
nephew	0.719	0.337	0.412	وراره
nepotism	0.349	0.584	0.517	خپلوي
nerd	0.408	0.481	0.315	بې وزله
nerdy	0.296	0.255	0.292	نرډي
nerve	0.129	0.698	0.307	اعصاب
nerves	0.333	0.783	0.264	اعصاب
nervous	0.235	0.820	0.213	عصبي
nervousness	0.163	0.915	0.241	اعصاب
nervouswreck	0.112	0.867	0.179	عصبي تباهي
nervy	0.250	0.830	0.241	اعصاب
ness	0.396	0.480	0.392	ness
nest	0.687	0.221	0.333	ځاله
nestle	0.625	0.308	0.379	ځاله
nestling	0.604	0.427	0.286	ځړول
net	0.441	0.288	0.417	خالص
nether	0.240	0.265	0.259	نه
netting	0.368	0.509	0.585	جال
nettle	0.406	0.324	0.490	نټل
network	0.531	0.337	0.466	شبکه
networking	0.625	0.482	0.545	شبکه کول
neural	0.582	0.426	0.391	عصبي
neuralgia	0.092	0.706	0.439	عصبي ناروغي
neurological	0.500	0.540	0.558	عصبي
neurologist	0.608	0.500	0.736	نیورولوژیست
neurology	0.459	0.537	0.580	نیورولوژي
neurosis	0.122	0.766	0.418	عصبي ناروغي
neurosurgeon	0.590	0.673	0.755	عصبي جراح
neurosurgery	0.490	0.632	0.730	عصبي جراحي
neurotic	0.198	0.801	0.387	عصبي
neuter	0.621	0.163	0.302	بې طرفه
neutral	0.469	0.184	0.357	بې طرفه
neutrality	0.469	0.205	0.434	بې پرېتوب
neutralize	0.519	0.363	0.719	بې طرفه کول
neutron	0.469	0.440	0.679	نیوټرون
new	0.917	0.490	0.582	نوی
new age	0.694	0.556	0.727	نوی عمر
newbeginnings	0.802	0.613	0.524	نوي پیلونه
newborn	0.918	0.580	0.372	نوی زیږیدلی
newcomer	0.622	0.380	0.396	نوی راغلی
newday	0.847	0.388	0.618	نوې ورځ
newfound	0.745	0.741	0.520	نوی موندل شوی
newjob	0.755	0.643	0.729	نوې دنده
newlife	0.898	0.646	0.701	نوی ژوند
newly	0.688	0.422	0.552	تازه
newlywed	0.847	0.706	0.570	نوی واده شوی
newme	0.643	0.550	0.527	newme
newness	0.740	0.522	0.588	نویتوب
news	0.633	0.580	0.610	خبرونه
newscast	0.531	0.509	0.714	خبرونه
newscaster	0.646	0.510	0.764	خبر کاسټر
newsflash	0.604	0.637	0.518	خبر فلش
newsletter	0.622	0.385	0.490	خبر پاڼه
newsman	0.604	0.480	0.696	خبریال
newspaper	0.602	0.283	0.444	ورځپاڼه
newspaperman	0.561	0.458	0.750	ورځپاڼه لیکونکی
newsreel	0.625	0.571	0.577	نیوزریل
newsroom	0.531	0.392	0.658	خبري خونه
newsstand	0.615	0.222	0.336	خبري سټنډ
newstart	0.802	0.510	0.667	خبر پیل
newt	0.458	0.380	0.541	نیوټ
newyear	0.938	0.784	0.520	نوی کال
nexus	0.496	0.368	0.412	Nexus
nib	0.510	0.282	0.406	نب
nibble	0.551	0.551	0.411	نبل
nice	0.930	0.442	0.650	غوره
niche	0.459	0.413	0.318	طاق
nichts	0.406	0.293	0.404	nichts
nick	0.554	0.388	0.387	نیک
nickel	0.510	0.347	0.406	نکل
nickname	0.490	0.470	0.263	مستعار نوم
nicotine	0.235	0.608	0.447	نیکوتین
niece	0.771	0.320	0.400	خور
nifty	0.740	0.745	0.815	نفتي
nigh	0.653	0.216	0.336	نږدې
night	0.598	0.396	0.404	شپه
nightcap	0.750	0.196	0.268	د شپې کیپ
nightclub	0.802	0.894	0.528	د شپې کلب
nightfall	0.490	0.436	0.426	شپه
nightgown	0.643	0.408	0.250	د شپې جامې
nightie	0.630	0.388	0.274	شپه
nightingale	0.740	0.340	0.496	شپه
nightlife	0.542	0.783	0.510	د شپې ژوند
nightly	0.673	0.410	0.474	د شپې
nightmare	0.005	0.810	0.436	خوب
nightmares	0.082	0.942	0.448	خوبونه
nightstand	0.490	0.130	0.327	شپیلۍ
nightstick	0.500	0.461	0.348	شپېلۍ
nighttime	0.735	0.385	0.439	د شپې وخت
nihilism	0.367	0.510	0.364	ناهیلیزم
nil	0.286	0.143	0.157	صفر
nimble	0.833	0.729	0.769	ګړندی
nimrod	0.327	0.500	0.539	نمرود
nincompoop	0.365	0.431	0.368	nincompoop
nine	0.552	0.255	0.327	نهه
nineteen	0.673	0.304	0.375	نولس
ninety	0.479	0.349	0.436	نوي
ninja	0.542	0.844	0.682	ننجا
ninny	0.344	0.343	0.309	نانی
nintendo	0.802	0.571	0.464	نینټینډو
ninth	0.490	0.212	0.396	نهم
nip	0.281	0.700	0.264	نپ
nipper	0.386	0.422	0.317	نپر
nipple	0.480	0.786	0.415	نپل
nippy	0.540	0.500	0.416	نپی
nitrate	0.388	0.406	0.500	نايټريټ
nitro	0.500	0.647	0.639	نايټرو
nitrogen	0.427	0.435	0.562	نايتروجن
nitrous	0.435	0.561	0.411	نايټروس
nitwit	0.146	0.606	0.139	nitwit
nix	0.330	0.380	0.404	نکس
no anticipation	0.396	0.480	0.341	هیڅ تمه نشته
no disgust	0.510	0.324	0.448	نه کرکه
no emotion	0.170	0.109	0.225	هیڅ احساس نشته
no sentiment	0.092	0.382	0.278	هیڅ احساس نشته
no surprise	0.171	0.224	0.412	هیڅ حیرانتیا نشته
no trust	0.055	0.445	0.257	باور نشته
nobility	0.844	0.347	0.736	شرافت
noble	0.906	0.345	0.610	عالي
nobleman	0.675	0.286	0.709	اتل
nobodycares	0.365	0.410	0.354	هیڅوک پروا نه کوي
nocomplaints	0.677	0.164	0.491	هیڅ شکایت
nocturnal	0.540	0.500	0.462	شپې
nod	0.590	0.367	0.427	سر
nodding	0.694	0.294	0.426	سر ټکول
node	0.396	0.343	0.361	نوډ
nodular	0.438	0.351	0.411	نوډولر
nodule	0.312	0.426	0.349	نوډول
noggin	0.510	0.433	0.382	نوګین
nohope	0.200	0.441	0.385	نوپ
noir	0.375	0.394	0.365	noir
noise	0.260	0.883	0.388	شور
noisy	0.271	0.812	0.561	شور
nomad	0.375	0.413	0.433	کوچیان
nomadic	0.427	0.519	0.422	کوچیان
nomenclature	0.500	0.222	0.575	نومول
nominal	0.594	0.250	0.463	نومیالی
nominate	0.615	0.471	0.669	نومول
nomination	0.663	0.637	0.696	نومونې
nominee	0.662	0.625	0.765	نوماند
nonce	0.422	0.370	0.377	نه
nonchalant	0.312	0.314	0.366	بې پروا
noncompliance	0.112	0.598	0.259	نه اطاعت
nondescript	0.490	0.434	0.348	نه تشریح
nonexistent	0.208	0.429	0.149	شتون نلري
nonfat	0.604	0.260	0.340	غیر غوړ
nonfiction	0.426	0.315	0.431	غیر افسانوي
nonpayment	0.229	0.510	0.298	نه تادیه
nonresident	0.250	0.340	0.302	غیر استوګن
nonsense	0.214	0.531	0.155	بې مانا
nonsensical	0.173	0.268	0.193	بې معنی
nonviolent	0.640	0.287	0.346	عدم تشدد
noob	0.417	0.430	0.267	نابلده
noodle	0.633	0.216	0.225	نوډل
nook	0.480	0.321	0.296	کونج
noon	0.531	0.343	0.518	غرمه
noose	0.356	0.300	0.330	پوزه
nopoint	0.276	0.324	0.314	هیڅ نښه
noregrets	0.469	0.476	0.426	افسوس
norm	0.500	0.245	0.527	نورم
normal	0.740	0.127	0.380	نورمال
normalcy	0.805	0.151	0.620	نورمال حالت
normality	0.781	0.089	0.444	نورمالیت
north	0.531	0.255	0.450	شمال
northbound	0.604	0.454	0.491	شمال خواته
northeast	0.562	0.260	0.375	شمال ختیځ
northern	0.570	0.340	0.472	شمالي
northwest	0.604	0.345	0.451	شمال لویدیځ
northwestern	0.479	0.306	0.462	شمال لویدیز
noschool	0.490	0.400	0.380	ښوونځی
nose	0.582	0.270	0.245	پوزه
nosebleed	0.153	0.776	0.361	د پوزې وينه
nosey	0.276	0.655	0.223	پوزه
nosnow	0.392	0.394	0.366	واوره
nostalgia	0.417	0.337	0.339	نوستالیجیا
nostalgic	0.458	0.351	0.184	نوستالیژیک
nostress	0.531	0.404	0.415	پوزې
nostril	0.396	0.404	0.316	پوزه
nosun	0.388	0.380	0.351	نوم
nosy	0.292	0.558	0.433	پوزه
not negative	0.622	0.270	0.444	منفي نه
not positive	0.051	0.370	0.236	مثبت نه دی
notable	0.760	0.450	0.696	د پام وړ
notables	0.594	0.608	0.755	د پام وړ
notably	0.792	0.533	0.689	د پام وړ
notamorningperson	0.469	0.578	0.440	ناڅاپه سړی
notary	0.541	0.451	0.676	نوټری
notation	0.635	0.380	0.558	یادښت
notch	0.459	0.361	0.358	نښه
notched	0.480	0.530	0.356	نښه شوی
note	0.594	0.163	0.416	یادښت
notebook	0.449	0.167	0.442	نوټ بوک
noted	0.615	0.382	0.464	یاد شوی
noteworthy	0.704	0.481	0.759	د پام وړ
nothappy	0.112	0.320	0.170	ناخوښه
nothingbetter	0.635	0.390	0.543	هیڅ ښه نه
nothingness	0.204	0.080	0.161	هیڅ شی
notice	0.646	0.408	0.491	خبرتیا
noticeable	0.890	0.562	0.750	د پام وړ
notification	0.604	0.461	0.671	خبرتیا
notify	0.643	0.471	0.573	خبرتیا
notion	0.612	0.284	0.667	تصور
notional	0.520	0.288	0.500	خیالي
notoriety	0.552	0.633	0.769	شهرت
notorious	0.366	0.582	0.609	بدنام
notready	0.133	0.400	0.196	نه تیار
notwithstanding	0.367	0.316	0.433	سره له دې
nought	0.312	0.098	0.116	هیڅ نه
noun	0.531	0.230	0.477	نوم
nourish	0.878	0.460	0.639	تغذیه کول
nourishment	0.786	0.290	0.631	تغذیه
nouveau	0.633	0.438	0.432	nouveau
novel	0.702	0.352	0.439	ناول
novelist	0.340	0.343	0.529	ناول لیکونکی
novelty	0.673	0.521	0.740	نوښت
novice	0.429	0.346	0.180	نوی
nowadays	0.680	0.346	0.400	نن ورځ
nowork	0.312	0.264	0.309	کار نشته
noworries	0.630	0.402	0.500	مه ورخطا کیږه
noxious	0.177	0.585	0.379	مضر
nozzle	0.438	0.330	0.287	نوزل
nuance	0.408	0.282	0.411	nuance
nuances	0.490	0.375	0.527	لنډیزونه
nuclear	0.219	0.856	0.781	اټومي
nucleus	0.529	0.296	0.667	نیوکلیوس
nude	0.490	0.915	0.200	لوڅ
nudge	0.448	0.500	0.509	ټک وهل
nudie	0.500	0.529	0.373	nudie
nudist	0.440	0.796	0.483	نجاست
nudity	0.438	0.853	0.415	عریانی
nugget	0.602	0.340	0.348	نوګټ
nuisance	0.198	0.817	0.227	خپګان
nuke	0.125	0.905	0.873	اټومي
nul	0.337	0.358	0.264	nul
null	0.253	0.147	0.152	null
nullify	0.255	0.373	0.395	باطلول
numb	0.108	0.420	0.352	بې حسه
number	0.406	0.231	0.471	شمیره
numbering	0.510	0.363	0.482	شمېرنه
numbers	0.406	0.241	0.440	شمېرې
numbness	0.306	0.398	0.265	بې حسي
numbskull	0.300	0.472	0.284	numbskull
numeral	0.582	0.254	0.382	شمیره
numerator	0.490	0.317	0.526	شمیرونکی
numerical	0.479	0.322	0.517	عددي
numerically	0.510	0.337	0.500	په عددي توګه
numerous	0.622	0.462	0.609	ګڼ
nun	0.500	0.150	0.406	نن
nunchucks	0.337	0.580	0.526	nunchucks
nunnery	0.653	0.236	0.473	غرفه
nuptials	0.771	0.588	0.571	واده
nurse	0.635	0.578	0.521	نرس
nursemaid	0.615	0.431	0.436	نرسه
nursery	0.894	0.406	0.389	نرسري
nursing	0.552	0.549	0.653	نرسنګ
nurture	0.745	0.378	0.657	پالنه
nut	0.365	0.310	0.250	مغز
nutcase	0.286	0.775	0.259	nutcase
nutcracker	0.635	0.378	0.522	نوټ کریکر
nuthouse	0.347	0.519	0.434	nuthouse
nutmeg	0.635	0.302	0.350	جائفل
nutrition	0.885	0.420	0.579	تغذیه
nutritional	0.812	0.406	0.676	تغذیه
nutritious	0.833	0.337	0.655	مغذي
nutritive	0.875	0.422	0.667	غذايي
nuts	0.594	0.250	0.291	مغز
nutshell	0.458	0.407	0.310	لنډیز
nutty	0.444	0.317	0.271	مغز لرونکی
nylon	0.490	0.304	0.295	نایلان
nylong	0.439	0.248	0.351	نایلنګ
nylons	0.556	0.379	0.320	نایلان
nymph	0.542	0.529	0.472	nymph
nymphomaniac	0.398	0.894	0.536	nymphomaniac
oaf	0.344	0.357	0.330	oaf
oak	0.583	0.245	0.536	بلوط
oar	0.469	0.392	0.316	اوار
oasis	0.796	0.283	0.429	نخلستان
oat	0.622	0.170	0.298	اوټ
oath	0.543	0.615	0.824	قسم
oatmeal	0.592	0.192	0.241	غوړي
obedience	0.765	0.287	0.536	اطاعت
obedient	0.800	0.179	0.518	اطاعت کوونکی
obediently	0.802	0.304	0.577	په اطاعت سره
obelisk	0.604	0.408	0.596	obelisk
obese	0.133	0.427	0.250	چاقۍ
obesity	0.215	0.370	0.328	چاقۍ
obey	0.677	0.433	0.533	اطاعت کول
obi	0.469	0.442	0.414	obi
obit	0.410	0.464	0.393	obit
obituary	0.188	0.330	0.423	مړینه
object	0.531	0.356	0.375	اعتراض
objection	0.347	0.592	0.709	اعتراض
objectionable	0.459	0.382	0.558	د اعتراض وړ
objective	0.724	0.337	0.736	هدف
objectivity	0.765	0.431	0.711	اعتراض
obligation	0.222	0.596	0.718	مکلفیت
obligatory	0.337	0.571	0.780	واجب
oblige	0.281	0.770	0.614	مکلف
obliged	0.327	0.680	0.411	مکلف
obliging	0.740	0.402	0.545	مکلف
obligor	0.302	0.600	0.360	مکلف
oblique	0.438	0.347	0.455	ترخه
obliterate	0.250	0.539	0.569	له منځه وړل
obliterated	0.240	0.469	0.344	له منځه وړل
obliteration	0.177	0.622	0.397	له منځه وړل
oblivion	0.153	0.330	0.282	هېرول
oblivious	0.229	0.388	0.355	غافل
oblong	0.561	0.455	0.370	اوږده
obnoxious	0.088	0.602	0.256	ناوړه
oboe	0.510	0.340	0.392	oboe
obscene	0.050	0.745	0.348	فحش
obscenity	0.083	0.843	0.418	فحشاء
obscure	0.370	0.551	0.278	ناڅرګند
obscured	0.115	0.356	0.298	پټ شوی
obscurity	0.208	0.392	0.380	ناڅرګندتیا
observance	0.531	0.315	0.632	مشاهده
observant	0.740	0.422	0.708	څارونکی
observation	0.633	0.433	0.667	مشاهده
observatory	0.643	0.324	0.731	څارونکی
observe	0.771	0.390	0.360	مشاهده کول
observer	0.663	0.363	0.603	څارونکی
observing	0.583	0.400	0.685	مشاهده
obsess	0.112	0.846	0.509	جنون
obsessed	0.219	0.840	0.439	جنون
obsessing	0.173	0.773	0.698	لیونی
obsession	0.229	0.847	0.571	جنون
obsessive	0.219	0.823	0.480	جنون
obsolescence	0.250	0.431	0.377	زوړوالی
obsolete	0.337	0.321	0.250	متروک
obstacle	0.204	0.708	0.336	خنډ
obstetrician	0.521	0.636	0.604	نسايي ډاکټر
obstetrics	0.530	0.582	0.564	ولادت
obstinate	0.146	0.696	0.562	مضطرب
obstruct	0.115	0.660	0.458	خنډ
obstruction	0.125	0.742	0.491	خنډ
obstructive	0.204	0.650	0.613	خنډونکی
obtain	0.760	0.438	0.731	ترلاسه کول
obtainable	0.677	0.327	0.702	د ترلاسه کولو وړ
obtuse	0.281	0.460	0.345	مغز
obverse	0.470	0.394	0.464	مخکی
obvious	0.625	0.336	0.585	ښکاره
ocarina	0.541	0.392	0.366	اوکارینا
occasion	0.700	0.451	0.398	موقع
occasional	0.490	0.298	0.387	کله ناکله
occasionally	0.538	0.240	0.264	کله ناکله
occipital	0.398	0.408	0.518	occipital
occlusion	0.306	0.439	0.442	بندول
occult	0.292	0.382	0.406	جادو
occupancy	0.625	0.471	0.721	اشغال
occupant	0.500	0.417	0.483	اشغالګر
occupation	0.562	0.470	0.692	شغل
occupational	0.583	0.469	0.596	مسلکی
occupied	0.337	0.546	0.441	نیول شوی
occupier	0.427	0.438	0.600	اشغالګر
occupy	0.396	0.520	0.589	قبضه کول
occupying	0.573	0.462	0.519	اشغال
occur	0.451	0.561	0.510	پیښیږي
occurrence	0.573	0.690	0.541	پیښه
ocd	0.333	0.472	0.370	ocd
ocean	0.823	0.308	0.642	سمندر
oceanic	0.740	0.317	0.632	سمندري
octagon	0.602	0.349	0.462	اتهګون
octave	0.438	0.380	0.482	octave
octopus	0.713	0.378	0.411	اکتوپس
ocular	0.418	0.370	0.400	سترګو
odd	0.265	0.337	0.302	عجیب
oddball	0.316	0.360	0.357	عجیب بال
oddity	0.312	0.557	0.386	عجیبیت
odds	0.500	0.472	0.680	امکانات
ode	0.604	0.269	0.519	ode
odious	0.235	0.708	0.235	ناوړه
odometer	0.367	0.470	0.388	اوډومیټر
odor	0.337	0.363	0.404	بوی
odyssey	0.622	0.692	0.710	اوډیسي
oedipal	0.312	0.575	0.509	oedipal
oestrogen	0.521	0.608	0.561	اسټروجن
oeuvre	0.653	0.484	0.598	oeuvre
offal	0.302	0.470	0.302	بند
offence	0.312	0.798	0.446	جرم
offend	0.094	0.804	0.333	سپکاوی
offended	0.188	0.690	0.337	ناراضه
offender	0.104	0.851	0.537	مجرم
offense	0.230	0.765	0.510	جرم
offensive	0.135	0.882	0.600	برید کوونکی
offer	0.750	0.745	0.596	وړاندیز
offered	0.582	0.490	0.544	وړاندیز شوی
offering	0.688	0.462	0.585	وړاندیز
offhand	0.388	0.500	0.368	لاس په لاس
office	0.427	0.302	0.509	دفتر
officer	0.542	0.430	0.877	افسر
offices	0.469	0.312	0.534	دفترونه
official	0.646	0.565	0.833	رسمي
officiate	0.688	0.453	0.704	مامور
offing	0.490	0.412	0.447	روان
offload	0.479	0.444	0.525	کښته کول
offset	0.719	0.394	0.704	بندول
offshoot	0.517	0.330	0.361	آف شوټ
offshore	0.417	0.484	0.441	ساحل
offside	0.323	0.519	0.443	بهر
offspring	0.656	0.435	0.600	اولاد
oft	0.500	0.308	0.474	اکثر
oftentimes	0.571	0.500	0.482	ډیری وختونه
ogre	0.135	0.698	0.510	اوګر
ohdear	0.458	0.519	0.442	اوه ګرانه
ohgod	0.500	0.557	0.439	اوه خدایه
ohno	0.396	0.475	0.380	اوه
ohshit	0.230	0.594	0.343	اوشیت
oil	0.521	0.278	0.306	تیل
oils	0.459	0.229	0.391	غوړي
oily	0.276	0.533	0.385	غوړ
oink	0.500	0.450	0.289	oink
ointment	0.438	0.271	0.398	مرهم
okra	0.469	0.400	0.362	اوکرا
olden	0.284	0.213	0.425	زوړ
oldie	0.363	0.363	0.342	زوړ
oldies	0.438	0.300	0.412	زاړه
olfactory	0.602	0.409	0.452	زيړي
oligarchy	0.327	0.567	0.741	oligarchy
olive	0.571	0.231	0.406	زیتون
omega	0.529	0.337	0.526	اومیګا
omelet	0.708	0.323	0.315	آملېټ
omen	0.390	0.657	0.583	شګون
omgomgomg	0.490	0.551	0.358	omgomgomg
ominous	0.255	0.730	0.510	بدمرغه
omission	0.367	0.333	0.275	پریښودل
