English Word	Valence	Arousal	Dominance	Belarusian Word
gelatin	0.562	0.402	0.361	жэлацін
geld	0.406	0.460	0.456	гельд
gelding	0.398	0.520	0.455	мерын
gem	0.917	0.480	0.582	каштоўны камень
gemini	0.531	0.320	0.327	двайняты
gender	0.688	0.346	0.611	пол
genealogy	0.479	0.370	0.644	генеалогія
general	0.834	0.484	0.853	агульны
generality	0.604	0.360	0.500	агульнасць
generalization	0.542	0.459	0.704	абагульненне
generally	0.562	0.255	0.473	наогул
generate	0.771	0.423	0.772	генераваць
generation	0.903	0.480	0.685	пакалення
generative	0.724	0.549	0.708	генератыўныя
generator	0.704	0.568	0.864	генератар
generic	0.520	0.357	0.422	радавыя
generosity	0.958	0.443	0.692	шчодрасць
generous	1.000	0.410	0.810	шчодры
genesis	0.612	0.429	0.658	генезіс
genetic	0.562	0.288	0.726	генетычны
genetics	0.552	0.460	0.574	генетыка
genial	0.867	0.630	0.769	геніяльны
genie	0.760	0.600	0.908	джын
genital	0.385	0.694	0.453	генітальны
genitalia	0.323	0.667	0.500	геніталіі
genius	0.878	0.667	0.846	геній
genocide	0.020	0.878	0.627	генацыд
genome	0.507	0.366	0.509	геном
genre	0.520	0.433	0.500	жанр
gent	0.573	0.494	0.464	джэнтльмен
genteel	0.917	0.333	0.656	вытанчаны
gentile	0.833	0.250	0.527	язычнік
gentle	0.847	0.353	0.589	пяшчотны
gentleman	0.823	0.439	0.712	джэнтльмен
gentlemanly	0.918	0.451	0.720	панскі
gentleness	0.927	0.278	0.447	далікатнасць
gently	0.917	0.255	0.360	далікатна
gentry	0.560	0.480	0.625	шляхта
genuine	0.875	0.450	0.685	сапраўдны
genus	0.582	0.349	0.561	роду
geographic	0.698	0.330	0.664	геаграфічны
geographical	0.500	0.317	0.637	геаграфічны
geography	0.719	0.150	0.553	геаграфія
geological	0.667	0.324	0.596	геалагічныя
geologist	0.594	0.431	0.625	геолаг
geology	0.635	0.321	0.518	геалогіі
geometric	0.542	0.356	0.491	геаметрычны
geometry	0.490	0.270	0.537	геаметрыі
geranium	0.635	0.250	0.458	герань
gerbil	0.453	0.306	0.398	Пясчанка
geriatric	0.479	0.247	0.436	герыятрычны
germ	0.265	0.421	0.302	зародак
german	0.438	0.290	0.570	нямецкі
germane	0.570	0.500	0.567	адпаведны
germinate	0.604	0.472	0.625	прарасці
germination	0.439	0.490	0.566	прарастанне
germs	0.135	0.510	0.380	мікробы
gestation	0.561	0.538	0.702	гестация
gesture	0.667	0.481	0.427	жэст
get	0.740	0.594	0.667	атрымаць
getaway	0.500	0.760	0.368	уцёкі
getoverit	0.327	0.481	0.433	гетаварыць
getoveryourself	0.470	0.481	0.472	пераадолець сябе
getup	0.541	0.582	0.455	нарад
getyourown	0.469	0.547	0.492	атрымаць сваё
ghastly	0.125	0.790	0.472	жудасны
ghetto	0.302	0.630	0.482	гета
ghost	0.265	0.755	0.343	прывід
ghostly	0.260	0.764	0.430	прывідны
ghoul	0.260	0.561	0.430	ваўкалака
giant	0.646	0.814	0.963	гігант
gibberish	0.375	0.510	0.360	тарабаршчына
giddy	0.438	0.847	0.611	галавакружэнне
gift	0.880	0.539	0.483	падарунак
gifted	0.902	0.647	0.868	адораны
gifts	0.865	0.755	0.509	падарункі
gig	0.816	0.755	0.594	канцэрт
gigantic	0.750	0.776	0.921	гіганцкі
giggle	0.719	0.618	0.360	хіхікаць
giggles	0.865	0.684	0.346	хіхікае
giggling	0.886	0.726	0.391	хіхікаючы
gigolo	0.400	0.706	0.528	жыгала
gilded	0.719	0.471	0.455	пазалочаны
gill	0.521	0.473	0.382	жабры
gills	0.479	0.583	0.609	жабры
gilt	0.583	0.417	0.510	пазалочаны
gimmick	0.380	0.663	0.519	трук
gimp	0.469	0.442	0.342	гімп
gin	0.449	0.551	0.518	джын
ginger	0.406	0.375	0.316	імбір
gingerbread	0.597	0.333	0.264	пернік
gingerly	0.602	0.406	0.415	асцярожна
ginseng	0.677	0.360	0.364	жэньшэнь
giraffe	0.561	0.347	0.436	жырафа
girder	0.388	0.245	0.452	бэлька
girdle	0.500	0.340	0.349	пояс
girlfriend	0.712	0.763	0.604	сяброўка
girlie	0.604	0.540	0.409	дзяўчынка
girlish	0.677	0.477	0.345	дзявочы
girly	0.595	0.462	0.371	дзявочы
girth	0.520	0.353	0.377	абхапілі
gist	0.622	0.450	0.519	сутнасць
give	0.750	0.346	0.500	даць
giveaway	0.865	0.618	0.437	аддаваць
giver	0.688	0.415	0.658	дарыльнік
giving	0.795	0.333	0.585	даючы
gizmo	0.510	0.490	0.337	штуковіна
gizzard	0.422	0.423	0.259	страўнік
glabrous	0.413	0.474	0.462	голыя
glacial	0.439	0.327	0.474	ледавіковы
glacier	0.573	0.396	0.554	ледавік
glad	0.938	0.760	0.740	рады
glade	0.600	0.385	0.434	паляна
gladiator	0.500	0.833	0.866	гладыятар
gladness	0.896	0.670	0.643	радасць
glamorous	0.918	0.630	0.791	гламурны
glamour	0.823	0.606	0.623	гламур
glance	0.625	0.357	0.454	позірк
gland	0.396	0.382	0.467	залоза
glare	0.698	0.735	0.733	блікі
glaring	0.694	0.794	0.798	абуральны
glass	0.490	0.404	0.322	шкло
glasses	0.531	0.210	0.330	акуляры
glassware	0.633	0.356	0.450	шкляны посуд
glaucoma	0.208	0.500	0.315	глаўкома
glaze	0.650	0.340	0.356	глазуры
glazed	0.622	0.410	0.491	паліваныя
gleam	0.781	0.520	0.741	бляск
gleaming	0.827	0.635	0.627	бліскучы
glean	0.398	0.531	0.500	падбіраць
glee	0.698	0.580	0.464	радасць
gleeful	0.906	0.806	0.679	радасны
glen	0.573	0.337	0.406	Глен
glib	0.438	0.433	0.381	бойкі
glide	0.561	0.706	0.415	слізгаць
glider	0.618	0.548	0.590	планёр
glimmer	0.615	0.462	0.427	пробліск
glimpse	0.646	0.480	0.455	пробліск
glint	0.677	0.538	0.541	бляск
glisten	0.765	0.608	0.694	блішчаць
glitch	0.444	0.448	0.269	глюк
glitter	0.814	0.750	0.762	бляск
glittering	0.860	0.588	0.818	бліскучы
gloat	0.500	0.637	0.603	злараднічаць
global	0.583	0.520	0.713	глабальны
globe	0.760	0.315	0.364	глобус
globular	0.542	0.375	0.438	шарападобныя
gloom	0.135	0.404	0.196	змрок
gloomy	0.107	0.410	0.287	змрочны
glorification	0.821	0.541	0.817	праслаўленне
glorified	0.865	0.570	0.886	праслаўлены
glorify	0.940	0.591	0.661	праслаўляць
glorious	0.959	0.673	0.827	слаўны
glory	0.948	0.735	0.817	слава
gloss	0.757	0.466	0.625	бляск
glossary	0.570	0.204	0.447	гласарый
glossy	0.802	0.519	0.807	глянцавы
glove	0.500	0.230	0.382	пальчатка
gloves	0.542	0.225	0.491	пальчаткі
glow	0.918	0.500	0.745	свячэнне
glowing	0.940	0.620	0.737	свеціцца
glucose	0.562	0.316	0.444	глюкоза
glue	0.450	0.345	0.349	клей
glum	0.244	0.337	0.123	змрочны
glut	0.417	0.524	0.540	перанасычэнне
gluten	0.385	0.308	0.388	глютен
glutton	0.438	0.519	0.384	абжора
gluttony	0.500	0.702	0.412	абжорства
glycerin	0.427	0.402	0.402	гліцэрына
gnat	0.357	0.345	0.200	камар
gnome	0.429	0.479	0.380	гном
go	0.510	0.441	0.444	ісці
goal	0.830	0.356	0.669	мэта
goalie	0.573	0.389	0.455	брамнік
goals	0.719	0.490	0.795	мэты
goat	0.448	0.304	0.364	каза
goatee	0.479	0.290	0.255	казліная барада
gob	0.280	0.357	0.447	глыток
gobble	0.390	0.623	0.455	зжэрці
goblet	0.786	0.353	0.442	кубак
goblin	0.333	0.542	0.377	гоблін
god	0.758	0.518	0.886	бог
godbless	0.823	0.395	0.588	бязбожны
goddamn	0.125	0.760	0.422	чорт вазьмі
goddamned	0.042	0.758	0.420	пракляты
goddess	0.865	0.560	0.888	багіня
godfather	0.694	0.450	0.509	хросны бацька
godforsaken	0.439	0.520	0.422	богам забыты
godisgood	0.740	0.434	0.630	godisgood
godisgreat	0.712	0.596	0.600	Бог вялікі
godless	0.316	0.557	0.358	бязбожны
godlike	0.854	0.648	0.870	богападобны
godly	0.747	0.298	0.589	пабожны
godmother	0.733	0.311	0.530	хросная маці
godsend	0.865	0.562	0.613	знаходка
godson	0.680	0.515	0.429	хроснік
gofuckyourself	0.167	0.654	0.415	ебаць сябе
goggle	0.525	0.286	0.360	акуляры
goggles	0.667	0.360	0.278	ахоўныя акуляры
gold	0.939	0.686	0.692	золата
golden	0.802	0.491	0.609	залаты
goldfish	0.786	0.296	0.317	залатая рыбка
golf	0.573	0.358	0.447	гольф
golfer	0.602	0.402	0.578	гулец у гольф
golfing	0.625	0.427	0.455	гульня ў гольф
gondola	0.520	0.404	0.379	гандола
gone	0.292	0.230	0.190	пайшоў
goner	0.410	0.461	0.274	скончаны
gong	0.490	0.529	0.462	гонг
gonorrhea	0.106	0.635	0.322	ганарэя
goo	0.439	0.396	0.312	ліпка
goober	0.469	0.444	0.342	губер
good	0.938	0.368	0.534	добры
goodbye	0.240	0.389	0.328	да пабачэння
goodday	0.961	0.357	0.418	добры дзень
goodfeeling	0.939	0.459	0.679	добрае самаадчуванне
goodhealth	0.938	0.402	0.712	добрае здароўе
goodie	0.854	0.327	0.600	ласунак
goodies	0.950	0.622	0.424	прысмакі
goodlife	0.917	0.471	0.736	добрае жыццё
goodly	0.701	0.471	0.636	добра
goodmood	0.823	0.491	0.519	добры настрой
goodmorning	0.922	0.461	0.552	добрай раніцы
goodmusic	0.756	0.500	0.500	добрая музыка
goodness	0.969	0.321	0.715	дабрыня
goodnews	0.961	0.740	0.768	добрыя навіны
goods	0.888	0.396	0.726	тавары
goodtimes	0.910	0.526	0.629	добры час
goodvibes	0.827	0.500	0.534	добры настрой
goodwill	0.938	0.327	0.667	добразычлівасць
goody	0.786	0.337	0.570	добры
gooey	0.392	0.480	0.445	клейкі
goof	0.448	0.490	0.272	дурань
goofball	0.561	0.550	0.382	дурань
goofy	0.281	0.224	0.179	тупаваты
goon	0.312	0.481	0.361	працягваць
gooood	0.857	0.652	0.547	добра
goop	0.469	0.394	0.333	гуп
goose	0.479	0.283	0.265	гусь
gopher	0.449	0.440	0.421	суслік
gore	0.260	0.608	0.518	кроў
gorge	0.365	0.644	0.420	цясніна
gorgeous	0.920	0.560	0.741	цудоўны
gorilla	0.565	0.720	0.648	гарыла
gory	0.140	0.875	0.455	крывавы
gospel	0.740	0.333	0.580	Евангелле
gossip	0.173	0.765	0.245	плёткі
gothic	0.197	0.333	0.475	гатычны
gouge	0.396	0.441	0.400	выдзіраць
goulash	0.582	0.429	0.347	гуляш
gourd	0.427	0.271	0.289	гарбуз
gourmet	0.911	0.387	0.562	гурман
gout	0.354	0.314	0.170	падагра
govern	0.573	0.702	0.980	кіраваць
governess	0.426	0.500	0.632	гувернантка
governing	0.635	0.700	0.900	кіруючая
government	0.427	0.530	0.850	ўрад
governmental	0.521	0.541	0.906	урадавыя
governor	0.500	0.683	0.934	губернатар
gown	0.625	0.283	0.421	сукенка
grab	0.448	0.706	0.538	захапіць
grace	0.906	0.304	0.462	ласка
graceful	0.906	0.510	0.655	хупавы
gracias	0.833	0.356	0.600	дзякуй
gracious	0.918	0.634	0.637	літасцівы
graciously	0.948	0.353	0.680	ласкава
grad	0.806	0.538	0.733	град
gradation	0.487	0.477	0.616	градацыя
grade	0.698	0.360	0.600	гатунак
graded	0.562	0.340	0.759	градуяваная
grader	0.583	0.317	0.420	грэйдэр
grades	0.521	0.349	0.566	гатункі
gradient	0.480	0.423	0.509	градыент
gradschool	0.616	0.602	0.528	гімназія
gradual	0.571	0.350	0.509	паступовым
gradually	0.583	0.385	0.464	паступова
graduate	0.898	0.549	0.778	скончыць навучальную установу
graduation	0.880	0.670	0.837	выпускны
graffiti	0.582	0.633	0.353	графіці
graft	0.410	0.528	0.420	прышчэпка
grail	0.573	0.384	0.566	Грааль
grain	0.390	0.198	0.302	збожжа
gram	0.578	0.333	0.260	грам
grammar	0.560	0.287	0.607	граматыка
grand	0.898	0.740	0.888	грандыёзны
grand theft auto	0.493	0.663	0.580	grand theft auto
grandchild	0.781	0.433	0.465	унук
grandchildren	0.796	0.545	0.426	унукі
granddad	0.740	0.248	0.461	дзядуля
granddaddy	0.708	0.291	0.480	дзядуля
granddaughter	0.823	0.445	0.389	унучка
grandeur	0.885	0.796	0.839	веліч
grandfather	0.827	0.279	0.586	дзед
grandiose	0.900	0.682	0.864	грандыёзны
grandma	0.796	0.208	0.491	бабуля
grandmother	0.792	0.283	0.426	бабуля
grandpa	0.806	0.296	0.466	дзядуля
grandson	0.778	0.333	0.500	унук
grandstand	0.500	0.679	0.708	трыбуна
grange	0.531	0.340	0.391	паселішча
granite	0.572	0.343	0.483	граніт
granny	0.796	0.240	0.452	бабуля
granola	0.625	0.240	0.281	гранола
grant	0.719	0.380	0.667	грант
granted	0.882	0.348	0.779	прадастаўлена
grantee	0.865	0.477	0.708	грантаатрымальнік
grantor	0.542	0.500	0.717	грантадаўца
granular	0.478	0.337	0.443	крупчасты
granule	0.406	0.373	0.316	гранула
grape	0.729	0.122	0.295	вінаградны
grape juice	0.696	0.304	0.267	вінаграднага соку
grapefruit	0.521	0.281	0.282	грэйпфрут
grapes	0.784	0.240	0.236	вінаград
grapevine	0.541	0.343	0.232	вінаградная лаза
graph	0.510	0.286	0.621	граф
graphic	0.602	0.494	0.491	графічны
graphics	0.542	0.431	0.509	графіка
graphite	0.479	0.377	0.336	графіт
grapple	0.490	0.577	0.482	грэйфер
grappling	0.448	0.676	0.516	барацьба
grasp	0.560	0.623	0.570	схапіць
grasping	0.327	0.561	0.561	хапанне
grass	0.604	0.164	0.333	трава
grasshopper	0.500	0.462	0.287	конік
grassy	0.647	0.323	0.371	травяністы
grate	0.333	0.250	0.419	краты
grated	0.357	0.462	0.361	цёрты
grateful	0.958	0.353	0.560	удзячны
gratification	0.867	0.643	0.755	задавальненне
gratified	0.781	0.519	0.702	задаволены
gratify	0.837	0.539	0.794	задавальняць
gratifying	0.857	0.606	0.776	радуючы
grating	0.512	0.337	0.282	краты
gratis	0.796	0.510	0.417	бясплатна
gratitude	0.885	0.441	0.610	удзячнасць
gratuitous	0.735	0.650	0.452	бязвыплатныя
gratuity	0.865	0.500	0.462	чаявыя
grave	0.153	0.385	0.386	магіла
gravel	0.390	0.370	0.332	жвір
graver	0.102	0.622	0.453	магільшчык
graveyard	0.041	0.441	0.272	могілкі
gravitate	0.479	0.472	0.476	цягнуцца
gravitation	0.698	0.592	0.600	гравітацыя
gravitational	0.528	0.510	0.691	гравітацыйная
gravity	0.510	0.635	0.538	гравітацыя
gravy	0.608	0.450	0.339	падліўка
gray	0.335	0.153	0.189	шэры
graze	0.560	0.255	0.371	пасвіцца
grease	0.255	0.404	0.306	змазка
greased	0.250	0.461	0.368	змазаны тлушчам
greaser	0.408	0.518	0.462	змазвальнік
greasy	0.399	0.442	0.294	тлусты
great	0.958	0.665	0.810	вялікі
great anticipation	0.786	0.735	0.655	вялікае чаканне
great aunt	0.896	0.419	0.589	вялікая цётка
great disgust	0.042	0.836	0.389	вялікая агіда
great grandfather	0.729	0.241	0.569	прадзед
great grandma	0.771	0.221	0.491	прабабуля
great grandmother	0.802	0.236	0.549	прабабуля
great grandpa	0.857	0.280	0.602	прадзед
great surprise	0.939	0.941	0.688	вялікі сюрпрыз
great trust	0.939	0.528	0.853	вялікі давер
great uncle	0.729	0.398	0.621	вялікі дзядзька
greatday	0.823	0.571	0.574	вялікі дзень
greater	0.755	0.519	0.796	большы
greatest	0.847	0.627	0.922	найвялікшы
greatfriends	0.908	0.593	0.570	выдатныя сябры
greatful	0.923	0.571	0.676	вялікае
greatly	0.750	0.708	0.877	значна
greatly negative	0.051	0.640	0.282	моцна адмоўны
greatly positive	0.967	0.538	0.877	вельмі пазітыўны
greatness	0.990	0.750	0.943	веліч
greatnight	0.918	0.349	0.574	выдатная ноч
greed	0.173	0.780	0.528	прагнасць
greedy	0.125	0.660	0.476	прагны
green	0.630	0.306	0.333	зялёны
green bean	0.469	0.280	0.304	зялёная фасоля
green pepper	0.500	0.431	0.425	зялёны перац
green snake	0.229	0.634	0.614	зялёны змей
greenhouse	0.719	0.438	0.384	аранжарэя
greenish	0.574	0.290	0.429	зеленаватыя
greenwood	0.531	0.382	0.491	зялёнае дрэва
greet	0.885	0.539	0.618	вітацца
greeted	0.781	0.317	0.454	прывітаўся
greeting	0.854	0.556	0.510	прывітанне
gregarious	0.551	0.471	0.529	статкавы
grenade	0.281	0.777	0.694	граната
grey	0.347	0.140	0.295	шэры
greyhound	0.520	0.490	0.440	хорт
grid	0.562	0.426	0.443	сетка
gridiron	0.667	0.491	0.425	рашотка
grief	0.070	0.640	0.474	гора
grievance	0.092	0.635	0.364	крыўда
grieve	0.122	0.500	0.333	смуткаваць
grieved	0.104	0.460	0.191	засмучаны
grieving	0.093	0.673	0.403	смуткуючы
grievous	0.146	0.640	0.179	цяжкі
griffin	0.418	0.337	0.360	грыфон
grill	0.755	0.491	0.546	грыль
grille	0.337	0.327	0.246	краты
grilled	0.702	0.500	0.373	на грылі
grim	0.310	0.483	0.298	змрочны
grime	0.198	0.500	0.225	бруд
grimy	0.112	0.597	0.283	брудны
grin	0.885	0.570	0.491	усмешка
grind	0.480	0.276	0.397	здрабніць
grinder	0.459	0.615	0.561	шліфавальная машынка
grinding	0.415	0.450	0.461	шліфоўка
grindstone	0.541	0.453	0.526	тачыльны камень
gringo	0.540	0.452	0.510	грынга
grip	0.520	0.549	0.602	захоп
gripe	0.184	0.526	0.241	схватка
grisly	0.083	0.863	0.426	жудасны
grist	0.317	0.391	0.363	здрабніць
grit	0.449	0.296	0.345	пясчынка
grits	0.458	0.333	0.346	крупы
gritty	0.417	0.373	0.375	пясчаны
grizzly	0.398	0.679	0.657	грызлі
groan	0.396	0.750	0.351	стогн
grocer	0.625	0.250	0.382	бакалейшчык
groceries	0.740	0.363	0.417	бакалейныя тавары
grocery	0.687	0.540	0.446	бакалея
groggy	0.235	0.265	0.194	апантаны
groin	0.296	0.452	0.364	пахвіну
groom	0.698	0.500	0.605	жаніх
groove	0.552	0.448	0.361	канаўка
groovy	0.615	0.538	0.464	заводны
grope	0.420	0.559	0.358	намацаць
gross	0.115	0.575	0.181	валавы
grotesque	0.135	0.788	0.500	гратэск
grotto	0.510	0.394	0.336	грот
grouch	0.342	0.593	0.411	бурчаць
grouchy	0.143	0.708	0.407	бурклівы
ground	0.398	0.343	0.602	зямлю
grounded	0.531	0.601	0.509	абгрунтаваны
groundhog	0.385	0.324	0.377	сурка
grounding	0.521	0.452	0.591	зазямленне
groundless	0.333	0.535	0.387	беспадстаўна
grounds	0.667	0.500	0.598	падставы
groundwork	0.500	0.375	0.593	аснова
group	0.573	0.423	0.480	група
groupie	0.521	0.583	0.393	паклонніца
grouping	0.745	0.580	0.698	групоўка
grouse	0.448	0.401	0.412	цецярук
grout	0.405	0.356	0.366	зацірка
grove	0.604	0.245	0.417	гай
grovel	0.360	0.500	0.414	панізіцца
grow	0.914	0.615	0.755	расці
growl	0.194	0.764	0.482	рыкаць
growling	0.119	0.887	0.475	бурчанне
growls	0.125	0.675	0.442	рыкае
grownup	0.735	0.400	0.683	дарослы
growth	0.917	0.588	0.776	рост
growthefuckup	0.229	0.692	0.426	ростебля
grr	0.229	0.538	0.333	грр
grrr	0.271	0.755	0.327	гррр
grrrrr	0.281	0.633	0.444	гррррр
grub	0.602	0.406	0.355	жэрці
grubby	0.156	0.583	0.176	брудны
grudge	0.115	0.647	0.414	крыўда
grudging	0.092	0.636	0.473	неахвотна
grudgingly	0.156	0.610	0.292	неахвотна
gruel	0.382	0.304	0.297	кашыца
grueling	0.180	0.763	0.704	знясільваючы
gruesome	0.094	0.837	0.474	жудасны
gruff	0.323	0.611	0.472	грубаваты
grumble	0.101	0.750	0.333	бурчаць
grump	0.260	0.469	0.425	сварлівы
grumpy	0.198	0.808	0.559	сварлівы
grunt	0.286	0.798	0.392	рохкаць
grunting	0.198	0.827	0.481	бурчанне
guacamole	0.684	0.317	0.282	гуакамоле
guano	0.296	0.343	0.191	гуано
guarantee	0.949	0.337	0.805	гарантыя
guaranty	0.646	0.337	0.818	гарантыя
guard	0.592	0.510	0.725	ахоўнік
guarded	0.758	0.686	0.500	ахоўваецца
guardhouse	0.510	0.435	0.770	гаўптвахта
guardian	0.656	0.686	0.789	апякун
guardianship	0.592	0.370	0.681	апякунства
guards	0.448	0.663	0.720	ахоўнікаў
gubernatorial	0.552	0.604	0.897	губ
guerilla	0.146	0.845	0.727	партызан
guerrilla	0.219	0.917	0.792	партызанскі
guess	0.640	0.463	0.442	адгадаць
guesser	0.542	0.670	0.535	адгадчык
guesswork	0.417	0.451	0.405	здагадка
guest	0.719	0.490	0.558	госць
guesthouse	0.729	0.337	0.406	гасцявы дом
guidance	0.729	0.471	0.718	кіраўніцтва
guide	0.688	0.315	0.620	кіраўніцтва
guidebook	0.677	0.260	0.427	даведнік
guidelines	0.459	0.500	0.664	кіруючыя прынцыпы
guiding	0.667	0.520	0.714	накіроўваючы
guild	0.580	0.459	0.729	гільдыя
guile	0.410	0.417	0.467	хітрасць
guillotine	0.163	0.817	0.585	гільяціна
guilt	0.208	0.567	0.206	пачуццё віны
guilty	0.135	0.770	0.352	вінаваты
guinea	0.521	0.440	0.396	гвінея
guise	0.531	0.547	0.324	выгляд
guitar	0.844	0.542	0.469	гітара
guitarist	0.827	0.740	0.549	гітарыст
gules	0.469	0.443	0.340	колеры
gulf	0.520	0.365	0.398	заліў
gull	0.594	0.317	0.378	чайка
gullet	0.385	0.490	0.393	стрававод
gullible	0.440	0.442	0.318	даверлівы
gully	0.316	0.519	0.394	яр
gulp	0.551	0.660	0.409	глыток
gum	0.573	0.227	0.213	гумка
gumbo	0.500	0.422	0.361	гумбо
gummy	0.521	0.302	0.291	клейкі
gumption	0.480	0.538	0.488	кемлівасць
gun	0.147	0.920	0.713	пісталет
gunboat	0.139	0.663	0.618	канонерская лодка
gunfight	0.051	0.961	0.700	перастрэлка
gunfighter	0.156	0.910	0.741	стралок
gunfire	0.156	0.930	0.673	страляніна
gunk	0.250	0.478	0.219	пісталет
gunman	0.167	0.922	0.689	узброены чалавек
gunmen	0.073	0.942	0.727	узброеныя людзі
gunner	0.250	0.853	0.817	наводчык
gunnery	0.281	0.861	0.873	стральба
gunplay	0.133	0.906	0.627	стральба
gunpoint	0.188	0.817	0.719	прыцэл
gunpowder	0.425	0.853	0.509	порах
gunshot	0.042	0.953	0.673	агнястрэльны стрэл
gunslinger	0.316	0.873	0.811	стралок
gurney	0.408	0.304	0.352	каталка
guru	0.573	0.360	0.653	гуру
gush	0.510	0.490	0.381	хлынуць
gusher	0.406	0.520	0.453	фантанатар
gusset	0.427	0.425	0.423	ластовіца
gust	0.490	0.755	0.556	парыў
gusto	0.692	0.729	0.620	смак
gusty	0.687	0.631	0.455	парывісты
gut	0.408	0.367	0.364	кішка
gutless	0.250	0.381	0.384	бязглуздая
guts	0.592	0.649	0.582	вантробы
gutsy	0.635	0.573	0.536	адважны
gutter	0.466	0.260	0.400	жолаб
guy	0.583	0.367	0.546	хлопец
guzzler	0.393	0.537	0.436	пажыральнік
guzzling	0.460	0.490	0.380	аб'ядаць
gym	0.635	0.690	0.613	трэнажорная зала
gymnasium	0.667	0.561	0.474	гімназія
gymnast	0.670	0.760	0.558	гімнастка
gymnastic	0.810	0.706	0.604	гімнастычны
gymnastics	0.745	0.677	0.508	гімнастыка
gynecologist	0.552	0.566	0.682	гінеколаг
gynecology	0.408	0.590	0.519	гінекалогія
gypsy	0.375	0.665	0.396	цыганка
gyroscope	0.500	0.390	0.510	гіраскоп
habit	0.625	0.226	0.585	звычка
habitat	0.633	0.343	0.553	асяроддзе пражывання
habitation	0.781	0.231	0.538	жыллё
habitual	0.527	0.208	0.490	звыклы
habitually	0.600	0.324	0.583	звычайна
hacienda	0.688	0.402	0.573	фазэнда
hack	0.135	0.717	0.534	ўзламаць
hacker	0.271	0.755	0.740	хакер
hacksaw	0.406	0.645	0.537	ножовка
hadenough	0.323	0.566	0.529	было дастаткова
hag	0.188	0.695	0.411	дзядзька
haggard	0.115	0.510	0.246	змардаваны
haggle	0.480	0.601	0.461	таргавацца
haiku	0.583	0.356	0.392	хайку
hail	0.459	0.627	0.411	град
hair	0.582	0.186	0.286	валасы
hairball	0.370	0.302	0.315	валасяны ком
hairbrush	0.454	0.216	0.263	расчоска для валасоў
haircut	0.677	0.343	0.307	стрыжка
hairdo	0.552	0.320	0.435	прычоска
hairdresser	0.708	0.509	0.407	цырульнік
hairdryer	0.642	0.402	0.330	фен
hairless	0.136	0.235	0.139	безвалосы
hairline	0.418	0.154	0.230	лінія росту валасоў
hairpin	0.459	0.363	0.370	заколка для валасоў
hairspray	0.549	0.279	0.269	лак для валасоў
hairstyle	0.771	0.380	0.433	прычоска
hairy	0.542	0.380	0.343	валасаты
hale	0.479	0.435	0.500	Хэйл
half	0.500	0.274	0.276	палова
half dollar	0.573	0.408	0.509	паўдаляра
halfback	0.490	0.429	0.440	паўабаронца
halftime	0.458	0.352	0.429	перапынак
halfway	0.510	0.254	0.339	напалову
halibut	0.449	0.412	0.411	палтус
hall	0.510	0.340	0.424	зала
hallelujah	0.770	0.554	0.657	алілуя
hallmark	0.646	0.315	0.411	адметны знак
hallowed	0.740	0.500	0.728	асвечаны
hallucination	0.396	0.706	0.370	галюцынацыя
hallway	0.573	0.230	0.279	калідор
halo	0.490	0.370	0.441	гало
halt	0.167	0.360	0.432	прыпынак
halter	0.448	0.451	0.431	недоуздок
halting	0.255	0.596	0.519	прыпынак
halve	0.316	0.347	0.302	напалову
halving	0.292	0.474	0.366	напалову
ham	0.673	0.245	0.404	вяндліна
hamburger	0.809	0.551	0.387	гамбургер
hamlet	0.573	0.270	0.397	хутар
hammer	0.312	0.509	0.563	малаток
hammerhead	0.337	0.490	0.569	молат
hammering	0.347	0.779	0.557	забіванне малатком
hammock	0.673	0.255	0.287	гамак
hamper	0.204	0.711	0.473	перашкаджаць
hamster	0.520	0.394	0.349	хамяк
hamstring	0.406	0.471	0.443	падкаленнае сухажылле
hand	0.542	0.314	0.434	рука
handbag	0.562	0.240	0.336	сумачка
handball	0.561	0.493	0.440	гандбол
handbook	0.600	0.224	0.567	даведнік
handcuff	0.310	0.590	0.593	кайданкі
handful	0.521	0.481	0.400	жменька
handgun	0.156	0.914	0.782	пісталет
handheld	0.646	0.350	0.586	кішэнны
handicap	0.133	0.394	0.264	недахоп
handicapped	0.204	0.467	0.180	інвалід
handicraft	0.724	0.333	0.565	рамесніцтва
handiwork	0.753	0.430	0.410	ручная праца
handkerchief	0.510	0.192	0.219	хустку
handle	0.698	0.571	0.558	ручка
handler	0.439	0.593	0.861	апрацоўшчык
handmade	0.776	0.383	0.475	ручной работы
handout	0.560	0.330	0.545	раздатачны матэрыял
handprint	0.635	0.289	0.463	адбітак рукі
handshake	0.816	0.654	0.492	поціск рукі
handsome	0.890	0.600	0.682	прыгожы
handwriting	0.615	0.378	0.381	почырк
handy	0.741	0.378	0.639	зручна
handyman	0.660	0.373	0.393	майстар на ўсе рукі
hang	0.323	0.529	0.446	павесіць
hangar	0.490	0.456	0.481	ангар
hanger	0.439	0.462	0.461	вешалка
hanging	0.378	0.471	0.389	вісіць
hangman	0.153	0.877	0.555	кат
hangout	0.573	0.500	0.462	тусоўка
hangover	0.188	0.565	0.267	пахмелле
hangry	0.219	0.794	0.279	галодны
hank	0.510	0.375	0.339	Хэнк
hankering	0.604	0.540	0.558	прага
hanky	0.460	0.276	0.250	хустка
hap	0.503	0.431	0.453	хап
haphazard	0.469	0.530	0.324	бессістэмна
hapless	0.271	0.442	0.193	няшчасны
