English Word	Valence	Arousal	Dominance	Urdu Word
hilarity	0.745	0.480	0.575	مزاح
hill	0.615	0.353	0.518	پہاڑی
hillside	0.625	0.292	0.458	پہاڑی
hilltop	0.688	0.643	0.787	پہاڑی کی چوٹی
hilly	0.643	0.479	0.603	پہاڑی
hilt	0.396	0.650	0.537	ہلٹ
hind	0.483	0.644	0.337	پیچھے
hinder	0.276	0.537	0.470	رکاوٹ
hindering	0.260	0.654	0.435	رکاوٹ
hindrance	0.135	0.545	0.473	رکاوٹ
hindsight	0.333	0.431	0.532	پچھتاوا
hinge	0.458	0.292	0.417	قبضہ
hint	0.602	0.330	0.517	اشارہ
hinterland	0.530	0.520	0.457	اندرون ملک
hip	0.448	0.415	0.345	کولہے
hip hop	0.740	0.714	0.484	ہپ ہاپ
hippie	0.551	0.400	0.396	ہپی
hippo	0.490	0.404	0.477	ہپو
hippopotamus	0.541	0.472	0.615	ہپوپوٹیمس
hire	0.688	0.558	0.556	کرایہ پر لینا
hirsute	0.385	0.483	0.373	hirsute
hiss	0.388	0.480	0.370	ہس
hissing	0.500	0.454	0.400	ہسنا
histology	0.490	0.320	0.560	ہسٹولوجی
historian	0.688	0.270	0.637	مورخ
historic	0.816	0.473	0.784	تاریخی
historical	0.653	0.357	0.833	تاریخی
historiography	0.562	0.415	0.634	تاریخ نگاری
history	0.729	0.382	0.754	تاریخ
hit	0.235	0.931	0.679	مارو
hitch	0.512	0.480	0.554	رکاوٹ
hitchhike	0.396	0.622	0.385	ہچکی
hitchhiker	0.594	0.626	0.603	سفر کرنے والا
hitherto	0.448	0.356	0.463	اب تک
hitter	0.418	0.683	0.713	مارنے والا
hive	0.471	0.452	0.544	چھتہ
hives	0.417	0.473	0.591	چھتے
hoard	0.506	0.412	0.518	ذخیرہ
hoarse	0.281	0.402	0.315	کھردرا
hoary	0.469	0.298	0.424	hoary
hoax	0.146	0.696	0.303	چکما
hob	0.633	0.363	0.415	hob
hobbit	0.479	0.489	0.472	hobbit
hobby	0.827	0.560	0.471	شوق
hobo	0.323	0.443	0.282	ہوبو
hock	0.513	0.452	0.412	ہاک
hockey	0.565	0.786	0.548	ہاکی
hoe	0.302	0.480	0.418	کدال
hog	0.317	0.509	0.271	ہاگ
hogwash	0.420	0.490	0.361	ہاگ واش
hohoho	0.677	0.433	0.330	ہو ہو ہو
hoist	0.521	0.520	0.458	لہرانا
hokey	0.604	0.667	0.430	ہاکی
hold	0.448	0.290	0.364	پکڑو
holder	0.592	0.330	0.713	ہولڈر
holding	0.600	0.385	0.670	انعقاد
holdup	0.398	0.471	0.398	ہولڈ اپ
hole	0.531	0.310	0.330	سوراخ
holiday	0.948	0.431	0.593	چھٹی
holidays	0.939	0.521	0.512	چھٹیاں
holidayseason	0.875	0.566	0.518	چھٹیوں کا موسم
holiness	0.860	0.264	0.742	تقدس
holistic	0.670	0.348	0.547	مجموعی
holler	0.276	0.825	0.406	ہولر
hollow	0.300	0.337	0.222	کھوکھلی
holly	0.510	0.250	0.443	ہولی
holocaust	0.062	0.918	0.618	ہولوکاسٹ
hologram	0.615	0.461	0.575	ہولوگرام
holographic	0.510	0.471	0.555	ہولوگرافک
holster	0.561	0.255	0.339	ہولسٹر
holy	0.812	0.112	0.690	مقدس
holyspirit	0.740	0.480	0.526	روح القدس
homage	0.833	0.560	0.737	خراج عقیدت پیش
hombre	0.656	0.472	0.696	hombre
hombres	0.510	0.538	0.652	hombres
home	0.854	0.270	0.545	گھر
homeboy	0.602	0.255	0.436	گھر کا لڑکا
homecoming	0.760	0.413	0.472	گھر واپسی
homeland	0.663	0.439	0.868	وطن
homeless	0.042	0.450	0.188	بے گھر
homely	0.745	0.157	0.399	گھریلو
homemade	0.869	0.340	0.398	گھریلو
homeopathic	0.417	0.268	0.400	ہومیوپیتھک
homeopathy	0.469	0.284	0.439	ہومیوپیتھی
homeowner	0.635	0.397	0.962	گھر کا مالک
homeroom	0.604	0.480	0.491	گھر کا کمرہ
homesick	0.436	0.304	0.347	گھریلو بیمار
homestead	0.865	0.221	0.536	گھر
homesweethome	0.796	0.380	0.538	گھر پیارا گھر
hometown	0.858	0.333	0.605	آبائی شہر
homeward	0.833	0.275	0.435	گھر کی طرف
homework	0.396	0.412	0.459	گھر کا کام
homey	0.769	0.278	0.500	گھریلو
homicidal	0.020	0.912	0.573	قتل عام
homicide	0.010	0.973	0.518	قتل عام
homily	0.621	0.358	0.425	عاجزی سے
homing	0.551	0.460	0.527	گھر واپسی
hominy	0.479	0.382	0.429	عزت
homo	0.531	0.368	0.415	ہومو
homogeneity	0.715	0.365	0.582	یکسانیت
homogeneous	0.552	0.255	0.617	یکساں
homologous	0.471	0.353	0.536	ہم جنس
homologue	0.542	0.356	0.509	ہومولوگ
homology	0.571	0.494	0.527	ہومولوجی
homophobic	0.130	0.736	0.464	ہم جنس پرست
honcho	0.469	0.464	0.397	ہونچو
hone	0.688	0.392	0.473	ہون
honest	0.927	0.254	0.750	ایماندار
honesty	0.938	0.411	0.728	ایمانداری
honey	0.920	0.431	0.510	شہد
honeycomb	0.541	0.417	0.412	شہد کا چھلا
honeymoon	0.979	0.678	0.526	سہاگ رات
honeysuckle	0.597	0.451	0.517	ہنی سکل
honk	0.549	0.635	0.415	ہانک
honky	0.458	0.632	0.425	ہونکی
honor	0.896	0.587	0.857	عزت
honorable	0.963	0.412	0.830	معزز
honorarium	0.796	0.510	0.746	اعزازیہ
honorary	0.885	0.565	0.811	اعزازی
honored	0.938	0.447	0.732	عزت دی
hooch	0.429	0.538	0.373	ہوچ
hood	0.357	0.459	0.306	ہڈ
hooded	0.306	0.745	0.439	چھپے ہوئے
hoodlum	0.354	0.720	0.432	ہڈلم
hoof	0.427	0.341	0.365	کھر
hook	0.418	0.444	0.395	کانٹا
hooked	0.610	0.661	0.454	جھکا ہوا
hooker	0.214	0.889	0.373	کنڈی
hookup	0.625	0.529	0.683	ہک اپ
hooky	0.468	0.500	0.452	ہکی
hooligan	0.295	0.712	0.455	غنڈے
hoop	0.635	0.204	0.315	ہوپ
hoopla	0.542	0.471	0.353	ہوپلا
hooray	0.610	0.481	0.536	ہورے
hoot	0.449	0.560	0.430	ہاٹ
hooter	0.470	0.615	0.455	ہوٹر
hop	0.450	0.520	0.427	ہاپ
hope	0.927	0.317	0.739	امید
hopeful	0.947	0.357	0.627	امید مند
hopeless	0.094	0.298	0.112	نا امید
hopelessness	0.052	0.402	0.223	ناامیدی
hopes	0.917	0.500	0.702	امیدیں
hoping	0.684	0.469	0.454	امید
hopper	0.396	0.491	0.442	ہاپر
horde	0.286	0.713	0.684	بھیڑ
horizon	0.729	0.284	0.590	افق
horizontal	0.573	0.304	0.387	افقی
horizontally	0.500	0.356	0.439	افقی طور پر
hormonal	0.500	0.620	0.551	ہارمونل
hormone	0.490	0.750	0.621	ہارمون
horn	0.385	0.510	0.366	سینگ
horned	0.316	0.610	0.375	سینگ والا
hornet	0.398	0.594	0.500	ہارنیٹ
horny	0.490	0.908	0.560	سینگ
horoscope	0.500	0.360	0.490	زائچہ
horrendous	0.073	0.755	0.365	خوفناک
horrible	0.071	0.857	0.398	خوفناک
horribly	0.050	0.631	0.454	خوفناک طور پر
horrid	0.052	0.765	0.419	خوفناک
horrific	0.094	0.846	0.481	خوفناک
horrified	0.040	0.885	0.368	خوفزدہ
horrifying	0.010	0.760	0.352	خوفناک
horror	0.115	0.850	0.438	وحشت
horrors	0.061	0.852	0.409	ہولناکیاں
horse	0.635	0.510	0.529	گھوڑا
horseback	0.688	0.588	0.566	گھوڑے کی پیٹھ
horseman	0.441	0.700	0.676	گھڑ سوار
horsepower	0.594	0.735	0.735	ہارس پاور
horseradish	0.321	0.584	0.476	ہارسریڈش
horseshit	0.153	0.582	0.179	گھوڑا
horseshoe	0.673	0.350	0.406	گھوڑے کی نالی
horsey	0.602	0.454	0.462	گھوڑے والا
horticultural	0.594	0.387	0.509	باغبانی
horticulture	0.700	0.420	0.434	باغبانی
hosannah	0.679	0.373	0.500	حسنہ
hose	0.469	0.288	0.263	نلی
hosiery	0.520	0.344	0.373	ہوزری
hospice	0.337	0.443	0.535	ہاسپیس
hospitable	0.791	0.470	0.661	مہمان نواز
hospital	0.323	0.537	0.598	ہسپتال
hospitality	0.865	0.333	0.725	مہمان نوازی
host	0.693	0.471	0.537	میزبان
hostage	0.163	0.923	0.325	یرغمال
hostel	0.479	0.500	0.398	ہاسٹل
hostess	0.792	0.604	0.688	میزبان
hostile	0.188	0.877	0.474	دشمنی
hostilities	0.276	0.810	0.444	دشمنی
hostility	0.122	0.775	0.465	دشمنی
hot	0.490	0.740	0.573	گرم
hot sauce	0.333	0.740	0.509	گرم چٹنی
hotbed	0.510	0.285	0.395	گرم بستر
hotdog	0.720	0.438	0.373	ہاٹ ڈاگ
hotel	0.740	0.370	0.407	ہوٹل
hothead	0.240	0.849	0.518	گرم سر
hotline	0.592	0.565	0.663	ہاٹ لائن
hotshot	0.500	0.727	0.615	گرم شاٹ
hotyoga	0.683	0.609	0.446	hotyoga
hound	0.417	0.528	0.582	شکاری جانور
hour	0.552	0.265	0.336	گھنٹہ
hourglass	0.542	0.284	0.492	گھنٹہ کا گلاس
hourly	0.469	0.418	0.491	فی گھنٹہ
house	0.587	0.135	0.533	گھر
houseboat	0.604	0.389	0.429	ہاؤس بوٹ
houseboy	0.479	0.415	0.393	گھریلو لڑکا
housebroken	0.518	0.461	0.389	گھر ٹوٹا ہوا
houseguest	0.530	0.500	0.481	گھریلو مہمان
household	0.781	0.230	0.667	گھریلو
householder	0.816	0.541	0.833	گھر والا
housekeeper	0.694	0.279	0.520	نوکرانی
housekeeping	0.604	0.500	0.445	ہاؤس کیپنگ
housewarming	0.857	0.710	0.727	گھریلو گرمی
housewife	0.656	0.361	0.449	گھریلو خاتون
housework	0.484	0.413	0.342	گھر کا کام
housing	0.776	0.304	0.591	ہاؤسنگ
hovel	0.333	0.296	0.322	ہول
hover	0.510	0.431	0.404	ہوور
hovercraft	0.541	0.654	0.588	ہوور کرافٹ
howl	0.357	0.646	0.407	چیخنا
howsoever	0.459	0.309	0.345	بہر حال
hoy	0.583	0.298	0.471	ہو
hub	0.479	0.399	0.433	مرکز
hubby	0.548	0.435	0.430	شوہر
huckleberry	0.600	0.279	0.296	ہکل بیری
huddle	0.604	0.509	0.445	اکٹھ
hue	0.507	0.416	0.417	رنگت
huff	0.388	0.491	0.315	ہف
huffy	0.420	0.616	0.375	حفی
hug	0.908	0.427	0.548	گلے
huge	0.573	0.625	0.783	بہت بڑا
hugger	0.520	0.480	0.412	گلے لگانا
huggy	0.854	0.429	0.451	گلے لگانا
hugs	0.980	0.422	0.600	گلے لگانا
hulk	0.460	0.740	0.750	ہلک
hull	0.542	0.265	0.353	ہل
hum	0.490	0.296	0.276	ہم
human	0.767	0.314	0.605	انسان
humane	0.800	0.370	0.580	انسانی
humanitarian	0.786	0.317	0.709	انسانی
humanities	0.729	0.325	0.677	انسانیت
humanity	0.750	0.360	0.727	انسانیت
humankind	0.885	0.394	0.714	انسانیت
humanoid	0.521	0.462	0.491	humanoid
humanrights	0.792	0.559	0.730	حقوق انسان
humble	0.867	0.236	0.483	عاجز
humbled	0.280	0.618	0.198	عاجز
humbly	0.771	0.194	0.370	عاجزی
humbug	0.219	0.622	0.456	ہمبگ
humdrum	0.269	0.246	0.353	ہمدرم
humid	0.375	0.324	0.366	مرطوب
humidity	0.464	0.373	0.367	نمی
humiliate	0.052	0.714	0.275	ذلیل کرنا
humiliated	0.104	0.712	0.216	بے عزت کرنا
humiliating	0.062	0.716	0.279	ذلت آمیز
humiliation	0.048	0.712	0.310	ذلت
humility	0.740	0.118	0.444	عاجزی
hummer	0.510	0.622	0.589	hummer
hummingbird	0.750	0.370	0.273	ہمنگ برڈ
humongous	0.378	0.538	0.536	بہت بڑا
humor	0.890	0.633	0.462	مزاح
humored	0.854	0.657	0.545	مزاحیہ
humorist	0.958	0.790	0.607	مزاح نگار
humorous	0.906	0.616	0.665	مزاحیہ
hump	0.296	0.462	0.250	کوبڑ
humpback	0.235	0.346	0.247	humpback
hunch	0.561	0.630	0.567	ہنچ
hunchback	0.208	0.390	0.259	کبڑا
hundred	0.604	0.370	0.406	سو
hundredth	0.427	0.368	0.466	سوواں
hunger	0.083	0.554	0.328	بھوک
hungry	0.083	0.690	0.254	بھوکا
hunk	0.438	0.375	0.361	ہنک
hunks	0.417	0.453	0.482	ہنکس
hunky	0.469	0.571	0.438	ہنکی
hunt	0.327	0.806	0.588	شکار
hunter	0.292	0.817	0.817	شکاری
hunting	0.448	0.713	0.714	شکار
huntress	0.357	0.717	0.765	شکاری
hurdle	0.198	0.682	0.434	رکاوٹ
hurl	0.316	0.745	0.574	پھینکنا
hurrah	0.802	0.740	0.500	ہیرے
hurricane	0.177	0.958	0.787	سمندری طوفان
hurricanes	0.286	0.898	0.784	سمندری طوفان
hurried	0.314	0.806	0.393	جلدی
hurry	0.422	0.735	0.481	جلدی
hurryup	0.473	0.791	0.555	جلدی کرو
hurt	0.062	0.773	0.291	چوٹ
hurtful	0.104	0.680	0.463	تکلیف دہ
hurting	0.153	0.778	0.221	تکلیف دہ
husband	0.771	0.500	0.655	شوہر
husbandry	0.643	0.473	0.445	پالنے
hush	0.471	0.231	0.312	چپ
hushed	0.292	0.194	0.272	خاموش
husk	0.378	0.173	0.147	بھوسی
husky	0.630	0.450	0.490	ہسکی
hussy	0.219	0.594	0.384	husy
hustle	0.406	0.661	0.427	ہلچل
hustler	0.260	0.821	0.627	hustler
hut	0.633	0.270	0.375	ہٹ
hutch	0.385	0.453	0.520	ہچ
hyacinth	0.372	0.360	0.342	ہائیسنتھ
hybrid	0.500	0.365	0.570	ہائبرڈ
hydra	0.406	0.598	0.534	ہائیڈرا
hydrant	0.570	0.413	0.367	ہائیڈرنٹ
hydrate	0.610	0.367	0.547	ہائیڈریٹ
hydraulic	0.522	0.398	0.596	ہائیڈرولک
hydraulics	0.500	0.530	0.588	ہائیڈرولکس
hydrocephalus	0.286	0.629	0.393	ہائیڈروسیفالس
hydrodynamics	0.552	0.582	0.664	ہائیڈروڈینامکس
hydrogen	0.469	0.303	0.554	ہائیڈروجن
hydrographic	0.490	0.396	0.642	ہائیڈروگرافک
hydrology	0.500	0.380	0.509	ہائیڈرولوجی
hydrophobia	0.323	0.784	0.351	ہائیڈروفوبیا
hydroponics	0.500	0.549	0.500	ہائیڈروپونکس
hyena	0.396	0.719	0.464	ہائینا
hygiene	0.781	0.287	0.537	حفظان صحت
hygienic	0.719	0.245	0.702	حفظان صحت
hygienist	0.698	0.389	0.682	حفظان صحت
hymen	0.469	0.651	0.457	ہائمن
hymn	0.735	0.292	0.634	تسبیح
hype	0.510	0.500	0.586	ہائپ
hyped	0.708	0.582	0.679	hyped
hyper	0.542	0.616	0.640	ہائپر
hyperactive	0.500	0.921	0.660	hyperactive
hyperbole	0.469	0.521	0.542	ہائپربول
hyperspace	0.510	0.623	0.755	ہائپر اسپیس
hypertension	0.133	0.784	0.427	ہائی بلڈ پریشر
hypertrophy	0.312	0.625	0.413	ہائپر ٹرافی
hyperventilate	0.347	0.729	0.556	ہائپر وینٹیلیٹ
hyperventilating	0.164	0.802	0.625	hyperventilating
hyphen	0.552	0.356	0.381	ہائفن
hypnosis	0.417	0.410	0.546	سموہن
hypnotic	0.571	0.560	0.569	hypnotic
hypnotist	0.490	0.455	0.627	ہپناٹسٹ
hypnotize	0.469	0.507	0.508	ہپناٹائز کرنا
hypnotized	0.449	0.434	0.380	ہپناٹائزڈ
hypochondriac	0.194	0.588	0.333	hypochondriac
hypocrisy	0.156	0.523	0.370	منافقت
hypocrite	0.082	0.673	0.306	منافق
hypocritical	0.048	0.740	0.415	منافقانہ
hypodermic	0.240	0.441	0.445	ہائپوڈرمک
hypothalamus	0.593	0.427	0.539	hypothalamus
hypothermia	0.184	0.620	0.301	ہائپوتھرمیا
hypothesis	0.552	0.370	0.509	مفروضہ
hypothetical	0.480	0.367	0.361	فرضی
hysterectomy	0.178	0.660	0.470	ہسٹریکٹومی
hysteria	0.224	0.906	0.482	ہسٹیریا
hysterical	0.290	0.942	0.398	پراسرار
ibuprofen	0.448	0.427	0.504	ibuprofen
ice	0.440	0.265	0.219	برف
ice tea	0.771	0.337	0.336	آئس چائے
iceberg	0.344	0.540	0.648	آئس برگ
icebox	0.560	0.222	0.370	آئس باکس
icebreaker	0.571	0.545	0.848	برف توڑنے والا
iced	0.564	0.482	0.339	آئسڈ
icing	0.688	0.452	0.411	آئسنگ
icky	0.357	0.510	0.342	icky
icon	0.549	0.349	0.415	آئیکن
iconic	0.583	0.537	0.700	مشہور
iconography	0.602	0.382	0.653	iconography
icy	0.684	0.375	0.345	برفیلی
id	0.449	0.344	0.391	آئی ڈی
idea	0.750	0.538	0.704	خیال
ideal	0.802	0.437	0.736	مثالی
idealism	0.635	0.436	0.689	آئیڈیلزم
idealist	0.816	0.510	0.802	مثالی
idealistic	0.812	0.469	0.755	مثالی
identical	0.635	0.380	0.527	ایک جیسی
identically	0.667	0.427	0.487	یکساں طور پر
identification	0.714	0.451	0.692	شناخت
identify	0.635	0.480	0.667	شناخت
identity	0.663	0.360	0.780	شناخت
ideology	0.573	0.344	0.692	نظریہ
idiocy	0.112	0.635	0.137	بیوقوفی
idiom	0.520	0.337	0.445	محاورے
idiomatic	0.531	0.429	0.516	محاورہ
idiot	0.086	0.567	0.113	بیوقوف
idiotic	0.104	0.620	0.170	بیوقوف
idiots	0.143	0.600	0.144	بیوقوف
idle	0.179	0.167	0.112	بیکار
idleness	0.308	0.330	0.228	سستی
idler	0.200	0.304	0.194	بیکار
idol	0.684	0.805	0.853	بت
idolatry	0.365	0.571	0.625	بت پرستی
idolizing	0.676	0.712	0.643	بت پرست
idyllic	0.571	0.394	0.593	خوبصورت
iffy	0.380	0.442	0.333	iffy
ifonly	0.406	0.250	0.255	اگر صرف
igloo	0.569	0.302	0.345	igloo
igneous	0.469	0.466	0.517	اگنیس
ignite	0.458	0.785	0.675	جلانا
ignition	0.365	0.720	0.657	اگنیشن
ignorance	0.153	0.417	0.209	لاعلمی
ignorant	0.102	0.461	0.223	جاہل
ignore	0.146	0.230	0.295	نظر انداز کرنا
iguana	0.521	0.235	0.291	iguana
ihatespiders	0.245	0.611	0.420	ihatespiders
ilk	0.438	0.451	0.455	ilk
ill	0.073	0.410	0.200	بیمار
illegal	0.061	0.787	0.337	غیر قانونی
illegality	0.094	0.635	0.427	غیر قانونی
illegally	0.133	0.788	0.402	غیر قانونی طور پر
illegible	0.296	0.490	0.315	ناجائز
illegitimate	0.184	0.644	0.302	ناجائز
illicit	0.188	0.794	0.390	غیر قانونی
illiterate	0.120	0.410	0.151	نا خواندگی
illness	0.098	0.717	0.211	بیماری
illogical	0.208	0.630	0.251	غیر منطقی
illuminate	0.905	0.646	0.782	روشن کرنا
illuminating	0.949	0.613	0.773	روشن کرنے والا
illumination	0.760	0.588	0.537	روشنی
illuminator	0.770	0.566	0.718	روشن کرنے والا
illusion	0.562	0.490	0.387	برم
illustrate	0.750	0.430	0.690	مثال دینا
illustration	0.740	0.441	0.640	مثال
illustrative	0.771	0.452	0.647	مثالی
illustrious	0.673	0.550	0.741	نامور
ilovechristmas	0.885	0.590	0.525	ilovecrismas
iloveher	0.750	0.519	0.556	مجھے اس سے پیار
image	0.653	0.241	0.453	تصویر
imagery	0.653	0.327	0.390	تصویر
imaginable	0.613	0.529	0.596	قابل تصور
imaginary	0.560	0.424	0.310	فرضی
imagination	0.802	0.491	0.547	تخیل
imaginative	0.780	0.541	0.593	تخیلاتی
imagine	0.759	0.480	0.587	تصور
imagined	0.656	0.412	0.418	تصور کیا
imaging	0.724	0.394	0.482	امیجنگ
imagining	0.765	0.458	0.545	تصور
imam	0.527	0.337	0.539	امام
imbalance	0.115	0.538	0.264	عدم توازن
imbecile	0.082	0.569	0.260	بے وقوف
imbedded	0.406	0.580	0.562	سرایت شدہ
imissyou	0.480	0.608	0.344	میں تمہیں یاد کرتا ہوں
imitate	0.469	0.561	0.336	نقل کرنا
imitated	0.333	0.391	0.442	نقل کیا
imitation	0.406	0.592	0.343	تقلید
immaculate	0.698	0.330	0.688	بے عیب
immaterial	0.296	0.309	0.295	غیر مادی
immature	0.114	0.500	0.200	نادان
immaturity	0.146	0.567	0.221	ناپختگی
immeasurable	0.510	0.539	0.712	بے حد
immeasurably	0.510	0.640	0.680	بے حد
immediacy	0.635	0.630	0.627	فوری طور پر
immediate	0.656	0.548	0.716	فوری
immediately	0.552	0.780	0.707	فوری طور پر
immemorial	0.327	0.469	0.454	قدیم
immense	0.755	0.750	0.811	بے پناہ
immerse	0.510	0.577	0.509	غرق
immersion	0.510	0.556	0.564	وسرجن
immigrant	0.357	0.663	0.509	مہاجر
immigration	0.390	0.667	0.454	امیگریشن
imminent	0.490	0.784	0.643	آسنن
immobile	0.225	0.217	0.298	متحرک
immoral	0.143	0.622	0.385	غیر اخلاقی
immorality	0.188	0.689	0.315	بے حیائی
immortal	0.812	0.750	0.795	لافانی
immortality	0.688	0.635	0.861	لافانی
immovable	0.480	0.310	0.571	غیر منقولہ
immune	0.629	0.472	0.780	مدافعتی
immunity	0.633	0.316	0.786	قوت مدافعت
immunization	0.667	0.510	0.733	امیونائزیشن
immutable	0.427	0.431	0.571	ناقابل تغیر
imp	0.350	0.448	0.420	imp
impact	0.469	0.884	0.776	کے اثرات
impair	0.153	0.500	0.360	خراب کرنا
impaired	0.130	0.459	0.269	معذور
impairment	0.170	0.571	0.220	خرابی
impart	0.521	0.441	0.694	فراہم کرنا
impartial	0.531	0.406	0.685	غیر جانبدار
impartiality	0.622	0.394	0.616	غیر جانبداری
impassable	0.342	0.458	0.553	ناقابل تسخیر
impassioned	0.740	0.780	0.802	جذباتی
impatience	0.278	0.780	0.411	بے صبری
impatient	0.250	0.708	0.429	بے صبر
impatiently	0.194	0.750	0.539	بے صبری سے
impeach	0.208	0.776	0.664	مواخذہ
impeachment	0.163	0.735	0.694	مواخذہ
impeccable	0.833	0.370	0.824	بے عیب
impede	0.271	0.510	0.604	روکنا
impediment	0.163	0.600	0.409	رکاوٹ
impelled	0.604	0.741	0.690	متاثر
impending	0.480	0.735	0.752	آسنن
impenetrable	0.531	0.577	0.839	ناقابل تسخیر
imperative	0.625	0.647	0.708	ضروری
imperceptible	0.378	0.490	0.548	ناقابل تصور
imperfect	0.173	0.527	0.202	نامکمل
imperfection	0.190	0.567	0.321	نامکمل
imperfectly	0.297	0.481	0.330	نامکمل طور پر
imperial	0.669	0.646	0.922	سامراجی
imperialist	0.284	0.786	0.833	سامراجی
impermeable	0.510	0.308	0.558	ناقابل تسخیر
impermissible	0.188	0.464	0.352	ناجائز
impersonal	0.316	0.356	0.472	غیر ذاتی
impersonate	0.510	0.632	0.591	نقالی کرنا
impersonation	0.375	0.618	0.528	نقالی
impersonator	0.469	0.586	0.406	نقالی کرنے والا
impertinence	0.170	0.653	0.420	بے حسی
impertinent	0.219	0.826	0.373	بے غیرت
impervious	0.582	0.408	0.536	ناقابل تسخیر
impetuous	0.602	0.814	0.712	پرجوش
impetus	0.521	0.740	0.635	محرک
implacable	0.569	0.663	0.830	ناقابل تسخیر
implant	0.429	0.510	0.588	امپلانٹ
implantation	0.396	0.604	0.741	امپلانٹیشن
implanted	0.347	0.500	0.679	پرتیاروپت
implement	0.720	0.573	0.792	لاگو
implicate	0.250	0.670	0.434	ملوث
implicated	0.354	0.673	0.438	ملوث
implication	0.337	0.528	0.690	مضمرات
implied	0.327	0.530	0.481	مضمر
implore	0.396	0.650	0.377	منت کرنا
implosion	0.412	0.724	0.547	پھسلنا
imply	0.542	0.670	0.533	مطلب
impolite	0.167	0.590	0.282	بے ادب
import	0.615	0.480	0.623	درآمد
importance	0.750	0.580	0.864	اہمیت
important	0.827	0.630	0.836	اہم
importation	0.625	0.500	0.733	درآمد
impose	0.503	0.721	0.745	مسلط
imposing	0.392	0.731	0.836	مسلط
imposition	0.357	0.604	0.618	مسلط
impossibility	0.170	0.625	0.306	ناممکن
impossible	0.153	0.510	0.407	ناممکن
impostor	0.135	0.704	0.442	دھوکے باز
impotence	0.198	0.689	0.224	نامردی
impotent	0.146	0.587	0.333	نامرد
impound	0.230	0.587	0.583	ضبط کرنا
impoverished	0.125	0.311	0.203	غریب
impracticable	0.398	0.549	0.381	ناقابل عمل
impractical	0.160	0.373	0.291	ناقابل عمل
impregnable	0.378	0.549	0.667	ناقابل تسخیر
impregnate	0.510	0.721	0.655	حاملہ
impress	0.816	0.744	0.895	متاثر کرنا
impressed	0.806	0.770	0.429	متاثر
impression	0.684	0.557	0.577	تاثر
impressionable	0.827	0.720	0.645	متاثر کن
impressive	0.781	0.830	0.873	متاثر کن
imprint	0.615	0.574	0.685	امپرنٹ
imprison	0.112	0.829	0.545	قید
imprisoned	0.032	0.717	0.302	قید
imprisonment	0.133	0.630	0.471	قید
improbable	0.097	0.412	0.439	ناممکن
impromptu	0.541	0.729	0.415	فوری
improper	0.229	0.520	0.259	غلط
impropriety	0.133	0.591	0.389	نامناسب
improve	0.833	0.528	0.815	بہتر کریں
improved	0.919	0.480	0.679	بہتر
improvement	0.786	0.500	0.611	بہتری
improves	0.929	0.625	0.727	بہتر کرتا ہے
improving	0.911	0.510	0.682	بہتر کرنا
improvisation	0.631	0.812	0.529	اصلاح
improvise	0.646	0.650	0.519	بہتر بنانا
improvised	0.610	0.673	0.443	اصلاح شدہ
imprudent	0.170	0.676	0.265	نادان
impudence	0.214	0.500	0.472	بے حیائی
impudent	0.302	0.604	0.462	بے غیرت
impulse	0.530	0.840	0.611	تسلسل
impulsive	0.365	0.864	0.607	جذباتی
impunity	0.313	0.721	0.602	استثنیٰ
impure	0.260	0.560	0.208	ناپاک
impurity	0.173	0.546	0.306	نجاست
imputation	0.333	0.654	0.621	مواخذہ
imtryingtosleep	0.438	0.363	0.385	سونے کی کوشش کر رہا ہے
inability	0.150	0.529	0.250	اسمرتتا
inaccessible	0.083	0.585	0.446	ناقابل رسائی
inaccurate	0.135	0.450	0.250	غلط
inaction	0.323	0.225	0.325	بے عملی
inactivate	0.245	0.240	0.415	غیر فعال
inactivation	0.198	0.260	0.220	غیر فعال کرنا
inactive	0.271	0.167	0.159	غیر فعال
inactivity	0.135	0.143	0.227	غیرفعالیت
inadequacy	0.286	0.500	0.297	ناکافی
inadequate	0.122	0.450	0.223	ناکافی
inadequateness	0.240	0.529	0.316	ناکافی
inadmissible	0.188	0.636	0.389	ناقابل قبول
inadvertent	0.365	0.368	0.286	نادانستہ
inadvertently	0.302	0.541	0.549	نادانستہ طور پر
inaffable	0.388	0.518	0.455	ناقابل برداشت
inalienable	0.437	0.459	0.608	ناقابل تلافی
inane	0.271	0.350	0.268	بے ہودہ
inanimate	0.281	0.143	0.224	بے جان
inapplicable	0.281	0.402	0.330	قابل اطلاق
inappropriate	0.135	0.542	0.353	نامناسب
inattention	0.208	0.433	0.188	عدم توجہی
inaudible	0.280	0.398	0.358	ناقابل سماعت
inaugural	0.684	0.567	0.608	افتتاحی
inaugurate	0.781	0.582	0.800	افتتاح
inauguration	0.847	0.712	0.769	افتتاح
inborn	0.590	0.288	0.546	پیدائشی
inbound	0.531	0.388	0.538	ان باؤنڈ
inbred	0.397	0.520	0.473	نسل
incalculable	0.449	0.620	0.679	بے حساب
incandescent	0.354	0.612	0.621	تاپدیپت
incantation	0.439	0.632	0.548	منتر
incapable	0.156	0.529	0.155	نااہل
incapacity	0.052	0.500	0.217	نااہلی
incarceration	0.100	0.800	0.397	قید
incarnate	0.552	0.651	0.593	اوتار
incase	0.580	0.196	0.365	کیس میں
incendiary	0.281	0.810	0.598	آگ لگانے والا
incense	0.698	0.275	0.328	بخور
