English Word	Valence	Arousal	Dominance	Malay Word
lark	0.570	0.292	0.352	lark
larva	0.245	0.423	0.254	larva
laryngitis	0.125	0.500	0.370	laringitis
larynx	0.460	0.420	0.402	anak tekak
lasagna	0.719	0.441	0.396	lasagna
laser	0.469	0.531	0.769	laser
lash	0.235	0.794	0.609	sebatan
lass	0.656	0.536	0.433	budak perempuan
lasso	0.438	0.460	0.339	laso
lastday	0.309	0.580	0.463	hari terakhir
lasting	0.804	0.535	0.745	berkekalan
lastminute	0.418	0.582	0.385	saat akhir
latch	0.395	0.263	0.288	selak
late	0.245	0.358	0.315	lewat
lateness	0.214	0.388	0.343	kelewatan
latent	0.469	0.500	0.653	terpendam
lateral	0.469	0.370	0.322	sisi
laterally	0.562	0.255	0.450	secara lateral
latex	0.479	0.413	0.325	susu getah
lathe	0.510	0.450	0.425	mesin bubut
lather	0.635	0.327	0.313	berbuih
latitude	0.562	0.306	0.490	latitud
latrine	0.380	0.353	0.176	tandas
latrines	0.214	0.462	0.267	tandas
latte	0.615	0.320	0.311	latte
lattice	0.406	0.420	0.349	kekisi
laud	0.493	0.427	0.383	memuji
laudable	0.740	0.472	0.682	terpuji
laudation	0.542	0.547	0.623	pujian
laudatory	0.612	0.417	0.450	pujian
laugh	0.980	0.639	0.587	ketawa
laughable	0.592	0.627	0.298	ketawa
laughing	0.906	0.596	0.534	ketawa
laughingstock	0.427	0.779	0.312	bahan ketawa
laughs	0.812	0.846	0.425	ketawa
laughter	0.959	0.654	0.588	gelak ketawa
launch	0.684	0.814	0.598	pelancaran
launcher	0.677	0.745	0.808	pelancar
launches	0.490	0.663	0.602	pelancaran
launder	0.479	0.450	0.349	pencuci pakaian
laundering	0.439	0.327	0.444	pencucian pakaian
laundry	0.644	0.292	0.377	dobi
laureate	0.724	0.402	0.702	pemenang
laurel	0.646	0.146	0.302	laurel
laurels	0.684	0.279	0.545	laurel
lava	0.280	0.539	0.615	lahar
lavage	0.615	0.467	0.361	bilas
lavatory	0.510	0.400	0.259	tandas
lavender	0.812	0.198	0.388	lavender
lavish	0.792	0.648	0.730	mewah
law	0.740	0.590	0.815	undang-undang
lawful	0.660	0.394	0.780	halal
lawless	0.219	0.690	0.420	tanpa undang-undang
lawlessness	0.156	0.804	0.509	kemungkaran
lawman	0.510	0.523	0.786	ahli undang-undang
lawn	0.686	0.153	0.192	rumput
lawnmower	0.480	0.531	0.355	pemotong rumput
lawsuit	0.219	0.794	0.611	tuntutan mahkamah
lawyer	0.521	0.569	0.784	peguam
lax	0.430	0.401	0.300	longgar
laxative	0.271	0.550	0.528	julap
lay	0.521	0.336	0.491	berbaring
layaway	0.429	0.510	0.451	layaway
layer	0.500	0.208	0.366	lapisan
layered	0.571	0.306	0.436	berlapis-lapis
layman	0.531	0.339	0.424	orang awam
layout	0.615	0.442	0.557	susun atur
layover	0.520	0.355	0.500	persinggahan
laziness	0.271	0.240	0.132	kemalasan
lazy	0.392	0.264	0.096	malas
lazyday	0.337	0.319	0.145	hari yang malas
lea	0.583	0.294	0.358	lea
lead	0.323	0.657	0.455	memimpin
leaded	0.439	0.625	0.595	bertimbal
leader	0.833	0.582	0.926	Ketua
leadership	0.870	0.690	0.983	kepimpinan
leading	0.823	0.698	0.954	mengetuai
leads	0.530	0.471	0.615	memimpin
leaf	0.583	0.156	0.294	daun
leaflet	0.490	0.206	0.375	risalah
leafy	0.653	0.530	0.700	berdaun
league	0.656	0.340	0.462	liga
leak	0.378	0.833	0.520	bocor
leakage	0.188	0.731	0.528	kebocoran
leaky	0.170	0.686	0.288	bocor
lean	0.734	0.353	0.438	kurus
leaned	0.570	0.373	0.490	bersandar
leaning	0.480	0.409	0.352	bersandar
leap	0.750	0.663	0.667	lompat
learn	0.833	0.643	0.829	belajar
learned	0.704	0.462	0.543	belajar
learner	0.698	0.475	0.398	pelajar
learning	0.833	0.588	0.574	pembelajaran
lease	0.520	0.463	0.545	pajakan
leash	0.320	0.347	0.427	tali
leather	0.510	0.324	0.341	kulit
leathery	0.418	0.471	0.411	berkulit
leave	0.375	0.315	0.295	pergi
leavemealone	0.240	0.472	0.402	leavemealone
leaving	0.163	0.542	0.371	pergi
lecherous	0.135	0.704	0.376	bejat
lecture	0.594	0.462	0.737	syarahan
lecturer	0.677	0.549	0.736	pensyarah
ledge	0.406	0.235	0.339	langkan
ledger	0.510	0.362	0.609	lejar
lee	0.510	0.269	0.296	lee
leech	0.250	0.623	0.268	lintah
leeches	0.115	0.698	0.295	lintah
leer	0.612	0.348	0.509	leer
leery	0.337	0.640	0.410	curiga
lees	0.360	0.567	0.406	lees
leeway	0.562	0.577	0.569	kelonggaran
left	0.354	0.370	0.361	ditinggalkan
leftout	0.229	0.365	0.245	meninggalkan
leftover	0.490	0.460	0.222	sisa
leftovers	0.219	0.350	0.116	lebihan makanan
lefty	0.490	0.406	0.379	kidal
leg	0.510	0.373	0.313	kaki
legacy	0.792	0.529	0.827	warisan
legal	0.653	0.387	0.887	sah
legality	0.765	0.343	0.713	kesahan
legalize	0.510	0.460	0.818	menghalalkan
legalized	0.760	0.440	0.855	dihalalkan
legally	0.771	0.482	0.842	secara sah
legend	0.837	0.519	0.750	lagenda
legendary	0.857	0.537	0.863	legenda
legibility	0.771	0.481	0.580	keterbacaan
legible	0.673	0.279	0.509	boleh dibaca
legion	0.469	0.570	0.852	legion
legislate	0.571	0.582	0.736	menggubal undang-undang
legislation	0.531	0.418	0.808	perundangan
legislative	0.633	0.365	0.800	perundangan
legislator	0.490	0.580	0.877	penggubal undang-undang
legislature	0.540	0.435	0.698	badan perundangan
legit	0.747	0.427	0.849	sah
legitimacy	0.823	0.420	0.855	legitimasi
legitimate	0.792	0.363	0.841	sah
lego	0.600	0.294	0.189	lego
legs	0.479	0.407	0.228	kaki
legume	0.520	0.302	0.465	kekacang
legwork	0.622	0.560	0.509	kerja kaki
leisure	0.631	0.429	0.421	masa lapang
leisurely	0.806	0.250	0.367	secara santai
lemma	0.530	0.284	0.391	lemma
lemon	0.596	0.317	0.316	limau
lemonade	0.661	0.287	0.412	air limau
lend	0.520	0.461	0.508	meminjamkan
lender	0.340	0.520	0.703	pemberi pinjaman
lending	0.510	0.585	0.462	memberi pinjaman
length	0.479	0.308	0.533	panjang
lengthen	0.619	0.481	0.566	memanjangkan
lengthened	0.448	0.530	0.474	dipanjangkan
lengthening	0.673	0.530	0.528	memanjangkan
lengthwise	0.571	0.470	0.528	memanjang
lengthy	0.570	0.342	0.528	panjang lebar
leniency	0.517	0.436	0.545	kelonggaran
lenient	0.520	0.451	0.340	berlembut
lens	0.420	0.245	0.472	kanta
leopard	0.542	0.755	0.611	harimau bintang
leotard	0.510	0.429	0.391	leotard
leper	0.075	0.589	0.206	kusta
leprechaun	0.417	0.480	0.417	leprechaun
leprosy	0.130	0.670	0.349	penyakit kusta
lesion	0.240	0.623	0.361	luka
less	0.265	0.240	0.115	kurang
lessee	0.417	0.474	0.595	pemajak
lessen	0.235	0.284	0.255	kurangkan
lessening	0.375	0.300	0.277	berkurangan
lesser	0.396	0.167	0.211	lebih rendah
lesson	0.704	0.577	0.593	pelajaran
lessor	0.552	0.490	0.623	pemajak
let	0.427	0.373	0.307	biarkan
lethal	0.156	0.800	0.745	maut
lethargic	0.214	0.245	0.375	lesu
lethargy	0.194	0.302	0.316	kelesuan
letter	0.635	0.279	0.342	surat
lettered	0.542	0.361	0.482	bersurat
letterhead	0.450	0.316	0.462	kepala surat
lettering	0.541	0.180	0.431	persuratan
letters	0.663	0.327	0.364	surat
lettuce	0.594	0.163	0.291	selada
leukemia	0.094	0.572	0.351	leukemia
levee	0.520	0.324	0.490	tanggul
level	0.622	0.277	0.491	tahap
lever	0.400	0.343	0.402	tuas
leverage	0.459	0.500	0.629	leverage
levitate	0.561	0.598	0.551	melayang
levy	0.438	0.420	0.491	levi
lewd	0.188	0.673	0.412	lucah
lexicon	0.561	0.463	0.615	leksikon
ley	0.604	0.389	0.764	ley
liabilities	0.429	0.608	0.694	liabiliti
liability	0.646	0.500	0.802	liabiliti
liable	0.656	0.519	0.821	bertanggungjawab
liaison	0.698	0.337	0.472	penghubung
liar	0.042	0.606	0.339	penipu
libel	0.128	0.694	0.403	fitnah
libelous	0.125	0.735	0.436	memfitnah
liberal	0.565	0.565	0.755	liberal
liberalism	0.562	0.712	0.750	liberalisme
liberate	0.760	0.632	0.708	membebaskan
liberated	0.780	0.630	0.683	dibebaskan
liberating	0.915	0.620	0.745	membebaskan
liberation	0.745	0.614	0.857	pembebasan
liberty	0.938	0.579	0.836	kebebasan
libido	0.770	0.602	0.571	libido
librarian	0.625	0.135	0.509	pustakawan
library	0.776	0.122	0.549	perpustakaan
libretto	0.612	0.328	0.406	libretto
lice	0.133	0.500	0.194	kutu
license	0.500	0.394	0.702	lesen
lichen	0.418	0.388	0.463	lichen
lick	0.470	0.482	0.330	menjilat
licorice	0.677	0.310	0.400	likuoris
lid	0.490	0.189	0.255	tudung
lie	0.130	0.725	0.272	berbohong
liege	0.479	0.426	0.452	liege
lien	0.396	0.580	0.441	lien
lieu	0.427	0.410	0.312	pengganti
lieutenant	0.594	0.612	0.920	leftenan
life	0.918	0.615	0.824	kehidupan
lifeblood	0.673	0.690	0.708	darah hidup
lifeboat	0.724	0.425	0.533	bot penyelamat
lifeguard	0.870	0.606	0.786	Penyelamat
lifeisgood	0.812	0.575	0.611	hidup ini indah
lifeless	0.042	0.333	0.163	tak bermaya
lifelike	0.776	0.567	0.765	seperti kehidupan
lifeline	0.735	0.552	0.496	talian hayat
lifelong	0.823	0.330	0.640	sepanjang hayat
lifer	0.427	0.519	0.398	penyelamat
lifesaver	0.908	0.745	0.703	penyelamat nyawa
lifestyle	0.750	0.472	0.645	cara hidup
lifesucks	0.167	0.637	0.377	menyebalkan
lifetime	0.816	0.559	0.736	seumur hidup
lift	0.704	0.518	0.656	lif
lifted	0.714	0.441	0.657	diangkat
liftoff	0.531	0.667	0.588	lepas landas
ligament	0.490	0.410	0.510	ligamen
ligation	0.344	0.423	0.396	pengikatan
ligature	0.478	0.430	0.447	huruf kembar
light	0.771	0.320	0.519	ringan
light year	0.719	0.425	0.593	tahun cahaya
lightbulb	0.573	0.255	0.302	mentol
lighten	0.688	0.438	0.362	meringankan
lightheaded	0.347	0.620	0.255	cahaya yang diketuai
lighthouse	0.622	0.240	0.510	rumah api
lighting	0.765	0.440	0.750	pencahayaan
lightness	0.794	0.360	0.526	ringan
lightning	0.429	0.683	0.595	kilat
lights	0.750	0.480	0.575	lampu
lightweight	0.670	0.300	0.358	ringan
likable	0.865	0.480	0.663	disenangi
like	0.719	0.353	0.446	suka
likelihood	0.760	0.469	0.542	kemungkinan
likely	0.633	0.356	0.454	berkemungkinan
likeness	0.688	0.410	0.561	keserupaan
likewise	0.651	0.217	0.312	begitu juga
liking	0.963	0.604	0.589	suka
lilac	0.688	0.180	0.357	ungu
lily	0.640	0.245	0.263	lily
limb	0.510	0.397	0.427	anggota badan
limber	0.688	0.729	0.673	lentur
limbo	0.385	0.284	0.309	limbo
lime	0.594	0.240	0.415	kapur
limelight	0.667	0.639	0.694	tumpuan
limestone	0.602	0.323	0.381	Batu kapur
limey	0.469	0.347	0.415	limey
limit	0.427	0.453	0.500	had
limitation	0.190	0.431	0.225	had
limited	0.229	0.273	0.380	terhad
limitless	0.688	0.574	0.655	tanpa had
limo	0.760	0.367	0.667	limo
limousine	0.638	0.531	0.640	limosin
limp	0.393	0.440	0.172	lembik
lin	0.416	0.362	0.343	lin
line	0.541	0.180	0.353	barisan
lineage	0.633	0.465	0.721	keturunan
lineal	0.521	0.170	0.474	lineal
linear	0.646	0.250	0.472	linear
linebacker	0.490	0.660	0.543	penjaga garisan
lined	0.438	0.367	0.424	berbaris
linen	0.656	0.323	0.286	linen
liner	0.469	0.396	0.400	pelapik
lines	0.542	0.317	0.330	garisan
lineup	0.635	0.427	0.638	berbaris
linger	0.480	0.311	0.412	berlama-lama
lingerie	0.543	0.463	0.308	pakaian dalam
lingering	0.630	0.643	0.667	berlarutan
lingo	0.448	0.364	0.447	lingo
lingual	0.500	0.457	0.315	lingual
linguini	0.625	0.338	0.355	linguini
linguist	0.583	0.330	0.634	ahli bahasa
linguistic	0.646	0.351	0.618	linguistik
linguistics	0.552	0.390	0.618	linguistik
lining	0.571	0.363	0.472	lapisan
link	0.427	0.264	0.491	pautan
linoleum	0.510	0.378	0.402	linoleum
lint	0.388	0.173	0.214	serabut
lion	0.532	0.717	0.682	singa
lip	0.541	0.348	0.443	bibir
liposuction	0.292	0.684	0.464	liposuction
lipstick	0.653	0.429	0.306	Gincu
liquefaction	0.449	0.622	0.535	pencairan
liquefied	0.562	0.463	0.342	cair
liqueur	0.670	0.612	0.389	minuman keras
liquid	0.562	0.235	0.307	cecair
liquidate	0.327	0.654	0.664	mencairkan
liquidation	0.417	0.625	0.649	pembubaran
liquidator	0.354	0.663	0.750	pelikuidasi
liquidity	0.688	0.529	0.534	kecairan
liquor	0.603	0.702	0.433	minuman keras
lira	0.530	0.255	0.370	lira
lisp	0.365	0.412	0.288	lisp
list	0.528	0.260	0.402	senarai
listen	0.771	0.360	0.445	dengar
listener	0.667	0.375	0.403	pendengar
listenting	0.640	0.377	0.491	mendengar
listing	0.438	0.273	0.432	penyenaraian
listless	0.219	0.350	0.231	tidak bermaya
listneing	0.531	0.370	0.433	mendengar
litany	0.510	0.365	0.482	litanya
liter	0.573	0.208	0.382	liter
literacy	0.730	0.306	0.638	celik huruf
literal	0.570	0.353	0.574	literal
literally	0.571	0.353	0.673	secara literal
literary	0.719	0.324	0.667	sastera
literature	0.708	0.250	0.598	sastera
lithe	0.656	0.596	0.602	lincah
lithium	0.417	0.330	0.430	litium
lithograph	0.551	0.327	0.481	litograf
lithography	0.561	0.346	0.473	litografi
lithology	0.519	0.378	0.525	litologi
lithosphere	0.473	0.333	0.689	litosfera
litigant	0.219	0.577	0.696	berperkara
litigate	0.260	0.819	0.712	mengadili
litigation	0.388	0.760	0.602	litigasi
litigator	0.429	0.630	0.732	litigator
litigious	0.360	0.736	0.632	berperkara
litter	0.255	0.551	0.110	sampah
little	0.385	0.160	0.213	sedikit
littlethings	0.740	0.311	0.242	perkara kecil
littoral	0.551	0.387	0.452	litoral
liturgy	0.490	0.327	0.568	liturgi
live	0.880	0.673	0.676	hidup
livelife	0.792	0.624	0.664	kehidupan
livelihood	0.698	0.481	0.721	rezeki
lively	0.847	0.810	0.642	meriah
liven	0.708	0.713	0.673	menghidupkan
liver	0.439	0.290	0.385	hati
livery	0.510	0.417	0.429	livery
livestock	0.729	0.420	0.519	ternakan
livid	0.469	0.788	0.490	geram
living	0.865	0.608	0.727	hidup
lizard	0.378	0.375	0.324	cicak
llama	0.490	0.590	0.519	llama
lml	0.448	0.519	0.385	lml
load	0.385	0.417	0.528	memuatkan
loader	0.562	0.377	0.686	pemuat
loaf	0.755	0.250	0.277	roti
loafer	0.235	0.396	0.254	loafer
loam	0.469	0.373	0.673	tanah liat
loan	0.552	0.480	0.352	pinjaman
loath	0.135	0.714	0.445	kebencian
loathe	0.094	0.730	0.429	benci
loathful	0.068	0.740	0.358	meluat
loathing	0.083	0.796	0.368	kebencian
loathsome	0.120	0.694	0.343	menjijikkan
lobby	0.625	0.427	0.472	lobi
lobbyist	0.385	0.527	0.565	pelobi
lobe	0.459	0.364	0.352	lobus
lobotomy	0.296	0.598	0.402	lobotomi
lobster	0.571	0.356	0.291	udang galah
local	0.656	0.269	0.452	tempatan
locale	0.449	0.387	0.352	setempat
locality	0.582	0.336	0.464	lokaliti
localization	0.552	0.330	0.545	penyetempatan
localize	0.520	0.481	0.679	menyetempatkan
localized	0.490	0.460	0.621	setempat
locate	0.583	0.520	0.786	cari
location	0.615	0.375	0.546	lokasi
locator	0.480	0.426	0.614	pencari
loch	0.449	0.235	0.425	loch
lock	0.271	0.585	0.600	kunci
locker	0.439	0.300	0.393	loker
locket	0.615	0.327	0.616	loket
locksmith	0.510	0.417	0.491	tukang kunci
lockup	0.240	0.602	0.617	mengunci
loco	0.306	0.774	0.226	loco
locomotion	0.470	0.600	0.595	pergerakan
locomotive	0.542	0.650	0.721	lokomotif
locust	0.479	0.412	0.417	belalang
lode	0.365	0.423	0.318	lode
lodge	0.656	0.356	0.474	rumah persinggahan
lodger	0.480	0.448	0.304	penginapan
lodging	0.713	0.286	0.527	penginapan
loft	0.510	0.378	0.343	loteng
lofty	0.755	0.306	0.569	megah
log	0.591	0.371	0.395	log
logarithm	0.520	0.439	0.551	logaritma
logarithmic	0.469	0.458	0.606	logaritma
logic	0.646	0.245	0.819	logik
logical	0.805	0.400	0.648	logik
logistics	0.633	0.500	0.730	logistik
logo	0.469	0.296	0.565	logo
logotype	0.480	0.337	0.509	logotype
loin	0.420	0.298	0.379	pinggang
lollipop	0.628	0.483	0.357	Lollipop
lone	0.198	0.204	0.367	keseorangan
loneliness	0.146	0.182	0.222	kesunyian
lonely	0.250	0.226	0.238	sunyi
loner	0.347	0.152	0.221	penyendiri
lonesome	0.281	0.213	0.336	sunyi
long	0.541	0.353	0.543	panjang
longboat	0.551	0.454	0.490	bot panjang
longevity	0.750	0.353	0.745	panjang umur
longing	0.604	0.434	0.560	rindu
longitude	0.479	0.310	0.516	longitud
longitudinal	0.542	0.398	0.582	membujur
longitudinally	0.541	0.380	0.569	membujur
longtime	0.362	0.442	0.546	lama
loo	0.385	0.357	0.283	loo
look	0.719	0.429	0.615	tengok
looker	0.583	0.354	0.451	pemerhati
lookout	0.698	0.538	0.639	mencari
loom	0.531	0.245	0.325	alat tenun
looming	0.367	0.750	0.528	menjulang
loon	0.429	0.392	0.325	loon
loony	0.439	0.474	0.295	gedik
loop	0.516	0.343	0.317	gelung
loophole	0.406	0.755	0.491	celah
loopy	0.438	0.520	0.195	bergelombang
loose	0.573	0.312	0.365	longgar
loosen	0.487	0.337	0.218	melonggarkan
loosening	0.378	0.343	0.295	melonggarkan
loot	0.604	0.711	0.537	rampasan
lop	0.429	0.363	0.426	lop
lopsided	0.125	0.500	0.272	senget
lord	0.618	0.327	0.684	Tuan
lords	0.571	0.356	0.781	tuan-tuan
lordship	0.573	0.557	0.736	pertuanan
lore	0.719	0.373	0.768	tradisi
lorry	0.521	0.481	0.402	lori
lose	0.115	0.538	0.176	kalah
loser	0.083	0.510	0.155	yang kalah
losing	0.076	0.686	0.223	kalah
loss	0.062	0.567	0.211	kerugian
lost	0.199	0.663	0.148	hilang
lot	0.531	0.215	0.370	banyak
lotion	0.724	0.261	0.188	losyen
lots	0.604	0.417	0.424	banyak
lottery	0.771	0.731	0.491	loteri
lotto	0.760	0.635	0.475	lotto
lotus	0.604	0.377	0.510	teratai
loud	0.573	0.650	0.870	kuat
loudly	0.541	0.755	0.667	dengan kuat
loudmouth	0.337	0.615	0.456	loudmouth
loudness	0.350	0.582	0.620	kenyaringan
loudspeaker	0.490	0.735	0.689	pembesar suara
lounge	0.592	0.245	0.466	ruang rehat
lounging	0.735	0.167	0.449	bersantai
louse	0.184	0.439	0.154	kutu
lousy	0.125	0.482	0.234	buruk
lovable	0.948	0.335	0.565	disayangi
love	1.000	0.519	0.673	cinta
loved	0.927	0.452	0.582	disayangi
lovee	0.949	0.592	0.611	sayang
loveee	0.927	0.592	0.693	loveee
loveless	0.102	0.365	0.216	tanpa cinta
lovelife	0.837	0.610	0.592	kehidupan cinta
loveliness	0.959	0.509	0.750	keindahan
lovelovelove	0.948	0.582	0.554	cinta cinta cinta
lovely	0.917	0.456	0.741	indah
lovemaking	0.969	0.927	0.814	suka membuat
lovemylife	0.896	0.800	0.573	lovemylife
lover	0.881	0.816	0.750	kekasih
lovesick	0.796	0.842	0.500	mabuk cinta
lovethis	0.867	0.552	0.526	suka ini
loving	0.948	0.612	0.636	penyayang
lovinglife	0.979	0.404	0.673	menyayangi kehidupan
lovinlife	0.714	0.460	0.544	percintaan
low	0.292	0.220	0.102	rendah
lowdown	0.306	0.441	0.441	lowdown
lower	0.327	0.296	0.258	lebih rendah
lowering	0.286	0.363	0.236	menurunkan
lowest	0.312	0.304	0.129	paling rendah
lowlands	0.323	0.290	0.331	tanah pamah
lowlife	0.296	0.529	0.309	hidup rendah
lowly	0.562	0.294	0.417	rendah diri
lox	0.490	0.373	0.318	lox
loyal	0.896	0.265	0.657	setia
loyalty	0.885	0.406	0.793	kesetiaan
lsd	0.375	0.471	0.390	lsd
luau	0.594	0.545	0.296	luau
lube	0.552	0.490	0.411	pelincir
lubricant	0.656	0.550	0.454	pelincir
lubricate	0.552	0.490	0.470	pelincir
lubrication	0.624	0.646	0.491	pelinciran
lucid	0.771	0.490	0.705	jelas
luck	0.854	0.490	0.717	nasib baik
luckiest	0.917	0.690	0.852	paling bertuah
lucky	0.960	0.610	0.793	bertuah
luckygirl	0.781	0.712	0.471	gadis bertuah
lucrative	0.729	0.519	0.798	lumayan
ludicrous	0.137	0.553	0.274	menggelikan hati
lug	0.344	0.443	0.340	bawak
luggage	0.561	0.226	0.319	bagasi
lukewarm	0.573	0.300	0.241	suam-suam kuku
lull	0.602	0.130	0.402	mengantuk
lullaby	0.796	0.156	0.339	lagu pengantar tidur
lumbar	0.323	0.418	0.342	lumbar
lumber	0.517	0.184	0.373	kayu balak
lumbering	0.354	0.561	0.655	kayu balak
lumberjack	0.500	0.660	0.726	penebang kayu
luminescent	0.796	0.550	0.526	bercahaya
luminous	0.918	0.392	0.783	bercahaya
lump	0.438	0.337	0.463	ketulan
lumpy	0.271	0.378	0.365	berketul-ketul
lunacy	0.132	0.847	0.330	kegilaan
lunar	0.562	0.296	0.427	bulan
lunatic	0.125	0.792	0.442	gila
lunch	0.880	0.410	0.542	makan tengah hari
lunchbox	0.663	0.346	0.346	kotak makan tengah hari
luncheon	0.837	0.240	0.441	makan tengah hari
lunchtime	0.896	0.398	0.444	waktu makan tengahari
lung	0.510	0.292	0.629	paru-paru
lunge	0.354	0.721	0.509	menerjang
lungs	0.531	0.352	0.555	paru-paru
lurch	0.404	0.694	0.363	geram
lure	0.439	0.565	0.300	memikat
lurid	0.186	0.833	0.536	menggelikan hati
lurk	0.219	0.740	0.655	mengintai
lurking	0.421	0.781	0.575	mengintai
luscious	0.885	0.552	0.545	lazat
lush	0.740	0.783	0.833	subur
lust	0.469	0.944	0.518	nafsu
luster	0.833	0.566	0.558	kilauan
lustful	0.427	0.896	0.643	bernafsu
lustrous	0.771	0.606	0.598	berkilat
lusty	0.469	0.941	0.673	sedap
lute	0.459	0.407	0.500	kecapi
luxuriant	0.760	0.745	0.812	bermewah
luxurious	0.947	0.644	0.754	mewah
luxury	0.932	0.673	0.750	kemewahan
lycra	0.520	0.449	0.328	lycra
lye	0.378	0.396	0.443	alkali
lying	0.208	0.704	0.317	berbohong
lymph	0.398	0.510	0.390	limfa
lymphatic	0.380	0.509	0.472	limfatik
lymphoma	0.208	0.645	0.330	limfoma
lynch	0.167	0.885	0.482	lynch
lynching	0.135	0.920	0.548	hukuman mati
lynx	0.510	0.590	0.567	lynx
lyre	0.719	0.347	0.414	kecapi
lyric	0.702	0.269	0.464	lirik
lyrical	0.708	0.451	0.618	lirik
lyrics	0.582	0.214	0.333	lirik
macadamia	0.635	0.330	0.434	macadamia
macarena	0.802	0.601	0.368	macarena
macaroni	0.816	0.410	0.382	makaroni
mace	0.450	0.412	0.415	cokmar
mach	0.541	0.432	0.463	mach
machete	0.260	0.690	0.474	parang
machine	0.510	0.500	0.707	mesin
machinery	0.458	0.615	0.629	mesin
machinist	0.490	0.598	0.721	tukang mesin
macho	0.643	0.690	0.676	macho
mackerel	0.418	0.423	0.426	ikan tenggiri
macro	0.552	0.469	0.647	makro
mad	0.219	0.873	0.277	gila
madam	0.580	0.308	0.571	puan
madame	0.604	0.500	0.635	puan
madden	0.329	0.602	0.457	marah
madder	0.323	0.853	0.267	lebih gila
mademoiselle	0.752	0.459	0.461	mademoiselle
mademyday	0.694	0.573	0.537	bahagiakan hari saya
madhouse	0.156	0.736	0.440	rumah gila
madman	0.135	0.880	0.312	orang gila
madness	0.104	0.804	0.440	kegilaan
maestro	0.823	0.357	0.849	maestro
mafia	0.204	0.867	0.676	mafia
magazine	0.615	0.332	0.377	majalah
mage	0.622	0.373	0.453	ahli sihir
magenta	0.635	0.275	0.415	magenta
maggot	0.235	0.500	0.235	ulat
magic	0.868	0.663	0.578	sihir
magical	0.875	0.651	0.595	ajaib
magician	0.714	0.657	0.551	ahli silap mata
magistrate	0.587	0.541	0.904	majistret
magma	0.323	0.623	0.609	magma
magna	0.605	0.490	0.652	magna
magnate	0.627	0.708	0.868	pembesar
magnesium	0.542	0.320	0.321	magnesium
magnet	0.571	0.318	0.553	magnet
magnetic	0.612	0.529	0.673	magnetik
magnetism	0.630	0.529	0.741	kemagnetan
magnetite	0.531	0.490	0.581	magnetit
magnification	0.890	0.615	0.880	pembesaran
magnificence	0.802	0.810	0.920	kehebatan
magnificent	1.000	0.680	0.886	tersergam indah
magnifier	0.469	0.216	0.345	pembesar
magnify	0.729	0.561	0.839	membesarkan
magnifying	0.594	0.265	0.406	pembesaran
magnitude	0.608	0.613	0.774	magnitud
magnolia	0.558	0.343	0.379	magnolia
magpie	0.500	0.458	0.327	murai
mahi mahi	0.510	0.410	0.398	mahi mahi
mahjong	0.556	0.418	0.440	mahjong
mahogany	0.602	0.225	0.393	mahogani
maid	0.406	0.324	0.300	pembantu rumah
maiden	0.755	0.396	0.461	anak dara
mail	0.615	0.231	0.548	mel
mailbox	0.573	0.222	0.404	peti mel
mailing	0.688	0.324	0.375	mel
mailman	0.659	0.418	0.462	penghantar surat
maim	0.133	0.724	0.496	lumpuh
main	0.667	0.510	0.811	utama
mainframe	0.531	0.490	0.557	kerangka utama
mainland	0.680	0.407	0.806	tanah besar
mainstay	0.694	0.400	0.713	tunjang utama
mainstream	0.653	0.527	0.660	arus perdana
maintain	0.684	0.398	0.647	mengekalkan
maintenance	0.592	0.410	0.545	penyelenggaraan
majestic	0.948	0.731	0.906	megah
majesty	0.823	0.602	0.955	keagungan
major	0.684	0.538	0.874	jurusan
majority	0.684	0.560	0.930	majoriti
make	0.684	0.420	0.480	buat
makeover	0.771	0.510	0.596	ubah suai
maker	0.698	0.544	0.706	pembuat
makeshift	0.479	0.611	0.389	sementara
makesmehappy	0.894	0.663	0.712	buat saya gembira
makesmemad	0.296	0.643	0.500	makesmemad
makeup	0.740	0.333	0.331	solek
makingdisciples	0.684	0.402	0.664	menjadikan murid
malady	0.190	0.686	0.304	penyakit
malaise	0.150	0.600	0.161	rasa lesu
malaria	0.125	0.653	0.304	malaria
malarkey	0.396	0.500	0.465	malarkey
malevolent	0.094	0.854	0.613	jahat
malfeasance	0.062	0.745	0.325	penyelewengan
malformation	0.083	0.602	0.357	kecacatan
malfunction	0.125	0.577	0.229	kerosakan
malice	0.073	0.811	0.492	niat jahat
malicious	0.177	0.765	0.607	berniat jahat
malign	0.140	0.765	0.481	jahat
malignancy	0.149	0.814	0.614	keganasan
malignant	0.143	0.824	0.370	malignan
maligned	0.102	0.684	0.218	difitnah
mall	0.724	0.663	0.492	pusat beli belah
malleable	0.500	0.500	0.391	mudah dibentuk
mallet	0.354	0.390	0.483	palu
malnutrition	0.024	0.592	0.277	kekurangan zat makanan
malpractice	0.094	0.559	0.330	penyelewengan
malt	0.750	0.373	0.324	malt
mama	0.860	0.413	0.728	mama
mambo	0.808	0.622	0.445	mambo
mamma	0.600	0.358	0.449	mama
mammal	0.618	0.449	0.421	mamalia
mammoth	0.480	0.471	0.537	raksasa
mammy	0.680	0.415	0.436	mammy
manage	0.560	0.530	0.719	mengurus
manageable	0.750	0.361	0.655	terurus
management	0.792	0.491	0.806	pengurusan
manager	0.625	0.549	0.897	pengurus
