English Word	Valence	Arousal	Dominance	Spanish Word
marijuana	0.312	0.779	0.558	marijuana
marinara	0.657	0.388	0.435	Marinara
marine	0.633	0.471	0.679	marina
mariner	0.652	0.491	0.676	marinero
marital	0.760	0.529	0.500	marital
maritime	0.646	0.490	0.713	marítimo
mark	0.491	0.231	0.600	Marcos
marked	0.592	0.358	0.554	marcado
marker	0.500	0.333	0.605	marcador
market	0.724	0.480	0.521	mercado
marketable	0.746	0.545	0.664	comerciable
marketing	0.521	0.774	0.675	marketing
marketplace	0.698	0.420	0.525	mercado
marks	0.430	0.480	0.424	marcas
marksman	0.500	0.833	0.692	tirador escondido
marksmanship	0.573	0.531	0.664	puntería
marl	0.372	0.471	0.351	marga
marmalade	0.729	0.370	0.288	mermelada
maroon	0.469	0.358	0.336	granate
marooned	0.229	0.480	0.160	abandonado
marquee	0.602	0.284	0.508	marquesina
marquis	0.521	0.444	0.562	marqués
marred	0.181	0.561	0.233	estropeado
marriage	0.844	0.684	0.750	matrimonio
married	0.674	0.570	0.602	casado
marrow	0.398	0.422	0.472	médula
marry	0.896	0.765	0.673	casar
marsh	0.302	0.358	0.277	pantano
marshal	0.469	0.610	0.819	mariscal
marshmallow	0.740	0.441	0.391	malvavisco
mart	0.531	0.402	0.418	mercado
martial	0.480	0.710	0.737	marcial
martingale	0.469	0.510	0.455	martingala
martini	0.828	0.500	0.519	martini
martyr	0.281	0.708	0.509	mártir
martyrdom	0.323	0.745	0.442	martirio
marvel	0.961	0.755	0.866	maravilla
marvellous	0.878	0.809	0.849	maravilloso
marvelous	0.948	0.637	0.778	maravilloso
marvelously	0.968	0.708	0.764	maravillosamente
marzipan	0.684	0.380	0.258	Mazapán
mascara	0.575	0.450	0.269	máscara
mascot	0.750	0.337	0.337	mascota
masculine	0.653	0.540	0.773	masculino
masculinity	0.583	0.670	0.851	masculinidad
mash	0.440	0.363	0.283	mezcla
mashed	0.531	0.337	0.194	machacado
mask	0.510	0.490	0.537	mascarilla
masked	0.375	0.549	0.518	enmascarado
masks	0.510	0.472	0.241	mascarillas
masochism	0.194	0.845	0.483	masoquismo
masochist	0.164	0.784	0.353	masoquista
mason	0.541	0.442	0.580	masón
masquerade	0.431	0.633	0.446	mascarada
mass	0.458	0.245	0.277	masa
massacre	0.031	0.887	0.640	masacre
massage	0.708	0.356	0.413	masaje
masses	0.552	0.453	0.473	masas
masseur	0.622	0.265	0.463	masajista
masseuse	0.594	0.373	0.391	masajista
massive	0.569	0.660	0.750	masivo
mast	0.542	0.390	0.580	mástil
master	0.694	0.490	0.849	Maestro
masterful	0.854	0.510	0.960	maestro
mastermind	0.792	0.625	0.918	cerebro
masterpiece	0.926	0.623	0.847	obra maestra
mastery	0.755	0.648	0.873	maestría
masturbate	0.552	0.926	0.500	masturbarse
masturbation	0.542	0.961	0.509	masturbación
mat	0.459	0.221	0.304	estera
matador	0.224	0.880	0.667	matador
match	0.599	0.573	0.500	juego
matchbook	0.562	0.391	0.412	caja de cerillas
matching	0.719	0.735	0.418	pareo
matchmaker	0.615	0.509	0.519	casamentero
mate	0.847	0.417	0.669	compañero
material	0.521	0.363	0.439	material
materialism	0.220	0.390	0.556	materialismo
materialist	0.255	0.491	0.504	materialista
materialistic	0.420	0.506	0.589	materialista
materiality	0.417	0.450	0.636	materialidad
materialize	0.688	0.596	0.728	materializar
materially	0.490	0.451	0.670	materialmente
materials	0.633	0.361	0.473	materiales
materiel	0.531	0.294	0.417	material bélico
maternal	0.847	0.417	0.634	materno
maternity	0.865	0.480	0.622	maternidad
math	0.417	0.375	0.600	Matemáticas
mathematical	0.620	0.500	0.548	matemático
mathematician	0.541	0.418	0.773	matemático
mathematics	0.438	0.435	0.664	matemáticas
matinee	0.694	0.578	0.447	matinée
mating	0.755	0.840	0.759	apareamiento
matriculation	0.622	0.490	0.675	matriculación
matrimony	0.850	0.637	0.843	matrimonio
matrix	0.551	0.378	0.673	matriz
matron	0.520	0.519	0.555	matrona
matted	0.281	0.519	0.393	enmarañado
matter	0.487	0.353	0.562	asunto
matting	0.479	0.405	0.423	estera
mattress	0.612	0.255	0.397	colchón
maturation	0.612	0.439	0.698	maduración
mature	0.625	0.347	0.600	maduro
maturity	0.827	0.400	0.806	madurez
maudlin	0.337	0.417	0.368	sensiblero
mausoleum	0.344	0.281	0.594	mausoleo
mauve	0.533	0.330	0.314	color de malva
maverick	0.354	0.676	0.409	disidente
maxim	0.875	0.562	0.887	máxima
maximize	0.823	0.765	0.792	maximizar
maximum	0.724	0.724	0.852	máximo
may	0.704	0.273	0.245	mayo
mayday	0.344	0.643	0.423	Auxilio
mayflower	0.690	0.463	0.429	muguete
mayhem	0.188	0.870	0.364	violencia
mayonnaise	0.510	0.320	0.222	mayonesa
mayor	0.469	0.481	0.818	alcalde
maze	0.438	0.608	0.444	laberinto
mead	0.667	0.337	0.441	aguamiel
meadow	0.622	0.130	0.382	prado
meager	0.144	0.389	0.281	pobre
meal	0.833	0.461	0.473	comida
mean	0.440	0.467	0.620	significar
meander	0.480	0.443	0.454	meandro
meandering	0.427	0.644	0.539	serpenteante
meanie	0.388	0.420	0.404	malvado
meaning	0.663	0.395	0.625	sentido
meaningful	0.770	0.500	0.802	significativo
meaningless	0.156	0.314	0.143	sin sentido
meanness	0.102	0.694	0.368	mezquindad
means	0.615	0.373	0.460	medio
meantime	0.432	0.222	0.300	mientras tanto
measles	0.092	0.635	0.422	sarampión
measurable	0.604	0.410	0.602	mensurable
measure	0.510	0.375	0.365	medida
measured	0.542	0.265	0.578	Medido
measurement	0.622	0.418	0.491	medición
measuring	0.448	0.337	0.529	medición
measuring cup	0.557	0.343	0.377	taza medidora
measuring tape	0.337	0.280	0.327	cinta métrica
meat	0.612	0.421	0.413	carne
meatball	0.612	0.279	0.343	albóndiga
meathead	0.306	0.534	0.490	cabeza de carne
meatloaf	0.625	0.389	0.375	pastel de carne
mechanic	0.571	0.433	0.566	mecánico
mechanical	0.479	0.569	0.564	mecánico
mechanics	0.542	0.500	0.761	mecánica
mechanism	0.573	0.583	0.664	mecanismo
med	0.375	0.429	0.606	medicina
medal	0.854	0.555	0.746	medalla
medallion	0.750	0.510	0.710	medallón
medallist	0.796	0.821	0.897	medallista
meddle	0.302	0.770	0.526	entrometerse
meddling	0.245	0.600	0.461	intromisión
media	0.500	0.330	0.464	medios de comunicación
medial	0.458	0.340	0.429	medio
median	0.459	0.216	0.375	mediana
mediate	0.635	0.308	0.654	mediar
mediation	0.661	0.350	0.657	mediación
mediator	0.592	0.438	0.580	mediador
medic	0.500	0.472	0.585	médico
medical	0.583	0.373	0.616	médico
medicate	0.417	0.375	0.546	medicinar
medication	0.615	0.439	0.500	medicamento
medicinal	0.667	0.417	0.614	medicinal
medicine	0.708	0.318	0.679	medicamento
medieval	0.560	0.408	0.455	medieval
mediocre	0.188	0.481	0.149	mediocre
mediocrity	0.073	0.398	0.225	mediocridad
meditate	0.812	0.146	0.564	meditar
meditating	0.718	0.185	0.399	meditando
meditation	0.786	0.120	0.478	meditación
meditative	0.614	0.120	0.454	meditativo
mediterranean	0.663	0.454	0.545	Mediterráneo
medium	0.559	0.356	0.358	medio
medley	0.487	0.352	0.400	popurrí
meek	0.531	0.150	0.198	manso
meet	0.760	0.510	0.580	reunir
meeting	0.750	0.569	0.613	reunión
mega	0.724	0.538	0.723	mega
meh	0.380	0.286	0.365	bueno
melancholic	0.181	0.306	0.277	melancólico
melancholy	0.188	0.260	0.237	melancolía
melee	0.541	0.704	0.611	pelea confusa
mellow	0.633	0.069	0.265	meloso
melodious	0.932	0.530	0.587	melodioso
melodrama	0.378	0.830	0.446	melodrama
melodramatic	0.235	0.692	0.368	melodramático
melody	0.847	0.434	0.405	melodía
melon	0.461	0.231	0.271	melón
melt	0.448	0.615	0.312	derretir
meltdown	0.629	0.657	0.602	fusión de un reactor
melting	0.592	0.470	0.538	derritiendo
member	0.698	0.333	0.555	miembro
membership	0.698	0.411	0.778	afiliación
membrane	0.406	0.430	0.418	membrana
memento	0.708	0.360	0.536	recuerdo
memo	0.625	0.235	0.407	memorándum
memoir	0.750	0.242	0.553	memoria
memorabilia	0.780	0.412	0.491	cosas memorables
memorable	0.939	0.510	0.769	memorable
memorandum	0.600	0.500	0.639	memorándum
memorial	0.602	0.304	0.600	monumento
memorials	0.771	0.333	0.679	memoriales
memories	0.963	0.487	0.510	recuerdos
memoriesiwontforget	0.635	0.542	0.455	recuerdos que no olvidaré
memorize	0.520	0.451	0.716	memorizar
memory	0.792	0.378	0.573	memoria
menace	0.125	0.894	0.759	amenaza
menacing	0.042	0.880	0.643	amenazador
menagerie	0.573	0.480	0.538	casa de fieras
mend	0.542	0.436	0.602	arreglar
mending	0.500	0.633	0.657	zurcidura
menial	0.490	0.420	0.352	servil
meningitis	0.104	0.612	0.407	meningitis
meniscus	0.323	0.330	0.453	menisco
menopause	0.204	0.460	0.306	menopausia
menses	0.163	0.686	0.331	menstruo
menstrual	0.408	0.519	0.435	menstrual
mental	0.490	0.490	0.585	mental
mentalhealth	0.562	0.541	0.670	salud mental
mentality	0.711	0.415	0.726	mentalidad
menthol	0.490	0.292	0.433	mentol
mention	0.562	0.365	0.562	mencion
mentor	0.719	0.455	0.777	mentor
menu	0.633	0.333	0.385	menú
meow	0.510	0.510	0.412	maullar
mercantile	0.480	0.490	0.713	mercantil
mercenary	0.245	0.837	0.673	mercenario
merchandise	0.594	0.460	0.621	mercancías
merchant	0.675	0.500	0.620	comerciante
merciful	0.854	0.346	0.500	misericordioso
merciless	0.062	0.880	0.634	despiadado
mercurial	0.490	0.546	0.518	mercurial
mercury	0.337	0.312	0.475	mercurio
mercy	0.719	0.229	0.500	misericordia
mere	0.396	0.221	0.176	mero
merengue	0.688	0.519	0.442	merengue
merge	0.760	0.480	0.733	unir
merger	0.592	0.490	0.642	fusión
meridian	0.510	0.324	0.558	meridiano
meridional	0.365	0.290	0.600	meridional
meringue	0.625	0.580	0.411	merengue
merit	0.854	0.500	0.722	mérito
meritorious	0.781	0.618	0.855	meritorio
mermaid	0.765	0.623	0.452	sirena
merriment	0.948	0.721	0.632	alegría
merry	0.979	0.731	0.764	alegre
merrychristmas	0.888	0.510	0.536	Feliz Navidad
mesa	0.604	0.191	0.319	colina baja
mescaline	0.490	0.580	0.415	mescalina
mesh	0.429	0.235	0.371	malla
meshes	0.440	0.363	0.362	mallas
mesmerized	0.520	0.552	0.421	hipnotizado
mess	0.143	0.843	0.273	desorden
message	0.650	0.391	0.415	mensaje
messedup	0.333	0.615	0.358	hecho un desastre
messenger	0.694	0.434	0.500	Mensajero
messiah	0.781	0.634	0.800	Mesías
messy	0.260	0.635	0.140	desordenado
metabolic	0.408	0.531	0.559	metabólico
metabolism	0.698	0.509	0.555	metabolismo
metal	0.551	0.429	0.547	metal
metallic	0.615	0.330	0.607	metálico
metallurgy	0.396	0.509	0.587	metalurgia
metamorphosis	0.541	0.571	0.613	metamorfosis
metaphor	0.562	0.280	0.470	metáfora
metaphorical	0.500	0.412	0.480	metafórico
metaphysical	0.630	0.573	0.686	metafísico
metaphysics	0.561	0.396	0.588	metafísica
metastasis	0.177	0.646	0.452	metástasis
meteor	0.398	0.714	0.737	meteorito
meteoric	0.590	0.802	0.684	meteórico
meteorite	0.385	0.794	0.750	meteorito
meteorological	0.635	0.557	0.556	meteorológico
meteorology	0.630	0.418	0.689	meteorología
meter	0.438	0.300	0.463	metro
meth	0.354	0.564	0.340	metanfetamina
methadone	0.240	0.540	0.453	metadona
methane	0.290	0.460	0.569	metano
methanol	0.292	0.500	0.570	metanol
method	0.640	0.275	0.698	método
methodical	0.663	0.360	0.745	metódico
methodology	0.664	0.327	0.745	metodología
meticulous	0.555	0.480	0.555	meticuloso
metime	0.531	0.398	0.417	tiempo personal
metric	0.519	0.248	0.573	métrico
metrical	0.521	0.375	0.482	métrico
metrology	0.531	0.432	0.439	metrología
metropolis	0.656	0.625	0.779	metrópoli
metropolitan	0.387	0.408	0.723	metropolitano
mettle	0.667	0.529	0.750	brío
mew	0.418	0.481	0.380	maullar
mezzanine	0.479	0.427	0.404	entresuelo
mica	0.531	0.250	0.314	mica
mick	0.449	0.451	0.382	mick
micro	0.500	0.270	0.250	micro
microbe	0.255	0.450	0.340	microbio
microbiology	0.571	0.378	0.560	microbiología
microchip	0.551	0.358	0.432	pastilla
microcosm	0.500	0.500	0.520	microcosmo
microfilm	0.469	0.352	0.412	microfilm
microgram	0.448	0.286	0.355	microgramo
micrometer	0.573	0.358	0.394	micrómetro
micron	0.375	0.291	0.315	micrón
microphone	0.551	0.431	0.462	micrófono
microscope	0.531	0.330	0.464	microscopio
microscopic	0.360	0.327	0.433	microscópico
microscopically	0.623	0.370	0.412	microscópicamente
microscopy	0.500	0.339	0.455	microscopía
microwave	0.542	0.497	0.443	microondas
mid	0.500	0.315	0.356	medio
midair	0.633	0.413	0.455	aire
midday	0.658	0.250	0.403	mediodía
middle	0.458	0.157	0.300	medio
middleman	0.500	0.404	0.452	intermediario
middleweight	0.510	0.302	0.428	peso medio
midget	0.396	0.295	0.254	enano
midland	0.521	0.402	0.456	del interior
midlife	0.594	0.244	0.473	mediana edad
midline	0.332	0.224	0.330	línea media
midnight	0.562	0.470	0.545	doce de la noche
midshipman	0.469	0.615	0.785	guardia marina
midst	0.324	0.275	0.296	medio
midsummer	0.781	0.480	0.492	pleno verano
midterm	0.427	0.337	0.425	Mediano plazo
midtown	0.479	0.442	0.538	centro de la ciudad
midway	0.459	0.316	0.304	a mitad de camino
midwife	0.531	0.570	0.453	Partera
midwifery	0.510	0.570	0.459	partería
mien	0.500	0.352	0.447	semblante
miffed	0.204	0.726	0.429	molesto
mighty	0.855	0.837	0.936	poderoso
mignon	0.551	0.440	0.423	miñón
migraine	0.135	0.783	0.318	migraña
migrate	0.415	0.580	0.454	emigrar
migration	0.492	0.731	0.566	migración
migratory	0.448	0.521	0.491	migratorio
mike	0.542	0.365	0.423	Miguel
mil	0.534	0.388	0.347	mil
mild	0.635	0.198	0.216	templado
mildew	0.344	0.250	0.241	moho
mildness	0.827	0.226	0.311	suavidad
mile	0.521	0.417	0.456	milla
mileage	0.510	0.458	0.562	kilometraje
milestone	0.719	0.373	0.558	hito
militant	0.418	0.667	0.750	militante
militants	0.260	0.673	0.652	militantes
military	0.396	0.710	0.875	militar
militia	0.396	0.729	0.769	milicia
milk	0.817	0.270	0.327	Leche
milkman	0.750	0.380	0.304	lechero
milkshake	0.796	0.521	0.330	malteada
milky	0.517	0.283	0.311	lechoso
mill	0.531	0.382	0.347	molino
millennium	0.573	0.398	0.760	milenio
milligram	0.429	0.217	0.302	miligramo
millimeter	0.427	0.177	0.360	milímetro
million	0.776	0.647	0.812	millón
millionaire	0.917	0.755	0.850	millonario
millionth	0.635	0.528	0.611	millonésimo
millstone	0.510	0.433	0.492	piedra de molino
mime	0.455	0.235	0.302	mímica
mimic	0.557	0.587	0.391	imitar
mimicking	0.316	0.433	0.364	imitando
mimicry	0.420	0.337	0.472	mimetismo
mince	0.417	0.529	0.378	desmenuzar
mincemeat	0.396	0.435	0.358	carne picada
mind	0.650	0.388	0.627	mente
minded	0.656	0.394	0.627	dispuesto
mindful	0.765	0.450	0.725	consciente de
mindfulness	0.729	0.635	0.745	atención plena
mindless	0.184	0.333	0.153	imbécil
mine	0.688	0.418	0.578	mía
minefield	0.188	0.839	0.684	campo de minas
miner	0.408	0.594	0.644	minero
mineral	0.519	0.287	0.605	mineral
mineralogy	0.551	0.408	0.545	mineralogía
mingle	0.561	0.480	0.434	mezclarse
mingled	0.521	0.392	0.357	mezclado
mini	0.421	0.324	0.221	mini
miniature	0.429	0.292	0.204	miniatura
minibus	0.439	0.390	0.428	microbús
minim	0.518	0.208	0.138	blanca
minimal	0.448	0.147	0.206	mínimo
minimize	0.360	0.236	0.311	minimizar
minimized	0.458	0.137	0.208	minimizado
minimum	0.380	0.198	0.194	mínimo
mining	0.633	0.598	0.554	minería
minion	0.490	0.430	0.167	esbirro
minister	0.547	0.441	0.892	ministro
ministerial	0.571	0.519	0.660	ministerial
ministry	0.510	0.346	0.717	ministerio
minivan	0.592	0.356	0.452	minivan
mink	0.560	0.515	0.430	visón
minnow	0.541	0.367	0.364	pececillo
minor	0.250	0.235	0.175	menor
minority	0.310	0.332	0.211	minoría
minstrel	0.458	0.541	0.397	juglar
mint	0.688	0.221	0.345	menta
minty	0.635	0.292	0.361	menta
minuscule	0.396	0.286	0.214	minúscula
minute	0.582	0.279	0.356	minuto
minutiae	0.323	0.257	0.316	minucias
minx	0.448	0.519	0.404	marta
mir	0.417	0.339	0.355	mirar
miracle	0.917	0.607	0.806	milagro
miracles	0.922	0.735	0.692	milagros
miraculous	0.875	0.706	0.812	milagroso
mirage	0.546	0.487	0.562	espejismo
mire	0.344	0.376	0.298	fango
mirror	0.677	0.310	0.438	espejo
mirth	0.888	0.640	0.608	alegría
misappropriation	0.097	0.831	0.500	malversación
misbehave	0.020	0.847	0.304	portarse mal
misbehavior	0.031	0.704	0.269	mal comportamiento
miscalculation	0.177	0.490	0.353	cálculo erróneo
miscarriage	0.042	0.781	0.312	aborto espontáneo
miscellaneous	0.531	0.321	0.196	misceláneas
miscellany	0.500	0.412	0.384	miscelánea
mischief	0.385	0.834	0.292	Travesura
mischievous	0.439	0.804	0.472	travieso
misconception	0.210	0.557	0.291	Idea equivocada
misconduct	0.061	0.667	0.304	mala conducta
misdemeanor	0.210	0.640	0.364	delito
misdirection	0.131	0.710	0.281	mala dirección
miser	0.208	0.633	0.311	avaro
miserable	0.062	0.461	0.188	miserable
miserably	0.280	0.545	0.150	tristemente
misery	0.146	0.378	0.158	miseria
misfire	0.153	0.453	0.200	fallar
misfit	0.173	0.500	0.393	inadaptado
misfortune	0.094	0.780	0.311	desgracia
misguided	0.280	0.531	0.259	equivocado
mishap	0.071	0.654	0.227	percance
misinformed	0.156	0.567	0.250	mal informado
misinterpretation	0.112	0.556	0.360	mala interpretación
mislead	0.167	0.765	0.412	engañar
misleading	0.070	0.660	0.272	engañoso
misled	0.177	0.606	0.353	engañado
mismanagement	0.094	0.520	0.295	mala administración
mismatch	0.250	0.459	0.282	discordancia
mismatched	0.250	0.557	0.302	no coincide
misnomer	0.296	0.528	0.284	nombre equivocado
misplace	0.229	0.461	0.191	perder
misplaced	0.247	0.450	0.324	fuera de lugar
misread	0.115	0.558	0.315	leer mal
misrepresent	0.198	0.542	0.418	falsificar
misrepresentation	0.323	0.618	0.518	tergiversación
misrepresented	0.042	0.519	0.466	tergiversado
miss	0.573	0.490	0.408	señorita
missile	0.240	0.830	0.764	misil
missiles	0.070	0.922	0.830	misiles
missing	0.306	0.418	0.222	perdido
missingyou	0.260	0.471	0.377	echándote de menos
mission	0.765	0.633	0.870	misión
missionary	0.729	0.404	0.596	misionero
misspell	0.292	0.423	0.281	escribir mal
misstatement	0.302	0.547	0.221	declaración errónea
missy	0.521	0.480	0.333	señorita
mist	0.375	0.194	0.221	neblina
mistake	0.208	0.585	0.102	error
mistaken	0.131	0.630	0.212	equivocado
mister	0.604	0.406	0.663	señor
mistletoe	0.542	0.470	0.324	muérdago
mistreated	0.010	0.792	0.200	maltratado
mistress	0.630	0.796	0.694	amante
mistrial	0.427	0.539	0.536	juicio nulo
mistrust	0.135	0.657	0.231	desconfianza
misty	0.427	0.451	0.278	brumoso
misunderstand	0.177	0.548	0.382	entender mal
misunderstanding	0.112	0.618	0.284	malentendido
misunderstood	0.177	0.625	0.309	incomprendido
misuse	0.083	0.560	0.196	mal uso
mite	0.290	0.584	0.271	Pizca
miter	0.458	0.500	0.414	inglete
mitigate	0.506	0.427	0.456	mitigar
mitigating	0.551	0.520	0.600	mitigando
mitigation	0.448	0.527	0.423	mitigación
mitt	0.406	0.183	0.264	guante
mitten	0.531	0.330	0.408	mitón
mitzvah	0.422	0.610	0.409	mitzvá
mix	0.542	0.490	0.472	mezcla
mixed	0.510	0.346	0.444	mezclado
mixedemotions	0.440	0.673	0.430	emociones mezcladas
mixer	0.562	0.500	0.556	mezclador
mixture	0.546	0.360	0.481	mezcla
mnemonic	0.531	0.480	0.452	mnemotécnico
moan	0.357	0.735	0.352	gemir
moat	0.398	0.380	0.314	foso
mob	0.296	0.788	0.567	multitud
mobile	0.615	0.569	0.481	móvil
mobility	0.700	0.596	0.654	movilidad
mobilization	0.688	0.720	0.787	movilización
mobilize	0.604	0.684	0.727	movilizar
mobster	0.188	0.870	0.638	gángster
mocha	0.500	0.396	0.311	moca
mock	0.360	0.606	0.618	imitar
mocked	0.225	0.746	0.204	burlado
mockery	0.094	0.806	0.181	mofa
mocking	0.082	0.755	0.394	burlón
mockingbird	0.513	0.337	0.423	sinsonte
mod	0.458	0.367	0.384	modificación
modal	0.592	0.264	0.461	modal
modality	0.633	0.404	0.527	modalidad
mode	0.531	0.185	0.367	modo
model	0.607	0.388	0.723	modelo
modeler	0.500	0.510	0.730	modelador
modeling	0.684	0.404	0.490	modelado
modem	0.573	0.355	0.500	módem
moderate	0.582	0.190	0.453	moderado
moderate anticipation	0.667	0.451	0.574	anticipación moderada
moderate disgust	0.229	0.558	0.381	asco moderado
moderate negative	0.177	0.500	0.306	moderado negativo
moderate positive	0.896	0.453	0.753	positivo moderado
moderate surprise	0.776	0.663	0.637	sorpresa moderada
moderate trust	0.677	0.350	0.773	confianza moderada
moderately	0.604	0.264	0.500	moderadamente
moderating	0.667	0.402	0.783	moderando
moderation	0.531	0.240	0.453	moderación
moderator	0.519	0.354	0.802	moderador
modern	0.855	0.423	0.691	moderno
modernism	0.760	0.553	0.703	modernismo
modest	0.760	0.130	0.412	modesto
modesty	0.778	0.240	0.500	modestia
modicum	0.234	0.417	0.327	cantidad mínima
modifiable	0.541	0.422	0.373	modificable
modification	0.480	0.520	0.625	modificación
modified	0.561	0.458	0.693	modificado
modify	0.458	0.584	0.625	modificar
modulate	0.673	0.343	0.555	modular
modulation	0.458	0.365	0.565	modulación
module	0.582	0.388	0.571	módulo
modulus	0.622	0.304	0.481	módulo
mogul	0.510	0.652	0.865	magnate
moiety	0.378	0.343	0.454	mitad
moist	0.470	0.316	0.386	húmedo
moisture	0.406	0.398	0.327	humedad
moisturizer	0.750	0.280	0.386	hidratante
molar	0.544	0.426	0.350	molar
molasses	0.490	0.269	0.286	melaza
mold	0.330	0.274	0.402	moho
molded	0.667	0.361	0.373	moldeado
molding	0.552	0.308	0.546	moldura
moldy	0.235	0.387	0.250	mohoso
mole	0.436	0.377	0.352	Topo
molecular	0.495	0.440	0.536	molecular
molecule	0.531	0.259	0.375	molécula
molest	0.133	0.816	0.319	molestar
molestation	0.102	0.808	0.407	acoso
molester	0.143	0.811	0.478	abusador
molten	0.417	0.490	0.339	fundido
mom	0.927	0.336	0.639	mamá
moment	0.604	0.435	0.509	momento
momentary	0.562	0.271	0.330	momentáneo
momentous	0.792	0.587	0.760	trascendental
momentum	0.663	0.750	0.688	impulso
momma	0.833	0.412	0.527	mamá
mommy	0.854	0.353	0.422	mamá
monad	0.510	0.482	0.451	monada
monarch	0.583	0.559	0.870	monarca
monarchy	0.450	0.557	0.870	monarquía
monastery	0.694	0.183	0.726	monasterio
monastic	0.438	0.314	0.676	monástico
monetary	0.583	0.494	0.716	monetario
money	0.844	0.608	0.827	dinero
mongoloid	0.177	0.364	0.317	mongoloide
mongoose	0.327	0.380	0.546	mangosta
mongrel	0.425	0.438	0.395	mestizo
monitor	0.490	0.298	0.538	monitor
monk	0.472	0.208	0.439	monje
monkey	0.548	0.449	0.283	mono
mono	0.500	0.390	0.273	mononucleosis infecciosa
monochrome	0.312	0.292	0.339	monocromo
monogamous	0.510	0.335	0.402	monógamo
monogamy	0.542	0.380	0.455	monogamia
monogram	0.480	0.210	0.425	monograma
monogrammed	0.503	0.270	0.402	con monograma
monograph	0.500	0.242	0.481	monografía
monolayer	0.427	0.294	0.433	monocapa
monolith	0.429	0.327	0.500	monolito
monologue	0.500	0.284	0.534	monólogo
monopolist	0.330	0.590	0.725	monopolista
monopoly	0.449	0.509	0.640	monopolio
monotonous	0.354	0.221	0.400	monótono
monotony	0.398	0.135	0.353	monotonía
monoxide	0.433	0.430	0.490	monóxido
monsieur	0.552	0.340	0.623	señor
monsoon	0.358	0.600	0.481	monzón
monster	0.133	0.935	0.596	monstruo
monstrosity	0.094	0.933	0.611	monstruosidad
monstrous	0.094	0.942	0.649	monstruoso
montage	0.438	0.520	0.388	montaje
monte	0.589	0.330	0.391	monte
month	0.688	0.255	0.411	mes
monthly	0.622	0.314	0.364	mensual
monument	0.833	0.404	0.811	Monumento
monumental	0.656	0.594	0.955	monumental
moo	0.438	0.355	0.300	mugir
mooch	0.378	0.413	0.309	vagar a
mood	0.720	0.500	0.500	estado animico
moods	0.578	0.633	0.491	Estados de ánimo
moody	0.245	0.811	0.595	temperamental
moon	0.673	0.233	0.547	luna
moonbeam	0.700	0.290	0.491	rayo de luna
moonlight	0.865	0.264	0.409	luz de la luna
moonlit	0.873	0.269	0.508	de luna
moonshine	0.633	0.389	0.491	luz de la luna
moonstruck	0.583	0.438	0.407	lunático
moonwalk	0.615	0.586	0.525	paseo lunar
moor	0.311	0.464	0.378	Páramo
moored	0.344	0.500	0.417	amarrado
mooring	0.323	0.490	0.444	amarradero
moorings	0.406	0.500	0.516	amarras
moorland	0.490	0.370	0.456	páramo
moose	0.648	0.373	0.318	alce
moot	0.344	0.500	0.615	discutible
mooted	0.388	0.580	0.463	discutido
mop	0.396	0.442	0.296	fregar
mope	0.406	0.309	0.345	melancólico
moped	0.582	0.582	0.554	ciclomotor
moral	0.700	0.459	0.796	moral
morale	0.729	0.158	0.792	moral
morality	0.750	0.408	0.759	moralidad
morals	0.646	0.430	0.611	moralidad
morass	0.387	0.348	0.375	pantano
moratorium	0.337	0.427	0.373	moratoria
moray	0.510	0.402	0.463	Morena
morbid	0.090	0.833	0.395	mórbido
morbidity	0.370	0.630	0.443	morbosidad
morbidness	0.120	0.694	0.339	morbosidad
mores	0.582	0.317	0.684	costumbres
morgue	0.022	0.539	0.241	morgue
moribund	0.083	0.488	0.167	moribundo
morn	0.542	0.284	0.345	alborada
morning	0.688	0.235	0.444	Mañana
moron	0.133	0.587	0.183	imbécil
moronic	0.122	0.500	0.224	imbécil
morose	0.240	0.663	0.264	malhumorado
morph	0.448	0.469	0.451	transformarse
morphine	0.229	0.490	0.496	morfina
morphism	0.398	0.549	0.386	morfismo
morphology	0.516	0.373	0.639	morfología
morrow	0.708	0.314	0.490	día siguiente
morsel	0.490	0.296	0.400	bocado
mortal	0.196	0.786	0.510	mortal
mortality	0.229	0.726	0.518	mortalidad
mortar	0.333	0.627	0.562	mortero
mortgage	0.255	0.408	0.537	hipoteca
mortgagee	0.418	0.633	0.723	acreedor hipotecario
mortgagor	0.431	0.522	0.490	deudor hipotecario
mortician	0.104	0.429	0.275	funerario
mortification	0.135	0.644	0.404	mortificación
mortified	0.073	0.731	0.270	mortificado
mortuary	0.133	0.606	0.427	mortuorio
mosaic	0.635	0.250	0.302	mosaico
mosey	0.521	0.402	0.330	deambular
mosquito	0.229	0.400	0.198	mosquito
moss	0.235	0.270	0.245	musgo
mossy	0.375	0.329	0.286	cubierto de musgo
mote	0.375	0.388	0.260	mota
motel	0.531	0.372	0.450	motel
moth	0.323	0.350	0.196	polilla
mother	0.931	0.408	0.725	madre
motherfucker	0.122	0.827	0.351	hijo de puta
motherfucking	0.071	0.823	0.373	hijo de puta
motherhood	0.844	0.546	0.667	maternidad
motherland	0.677	0.375	0.731	patria
motherless	0.163	0.541	0.337	sin madre
motherly	0.927	0.324	0.710	maternal
motif	0.688	0.481	0.527	motivo
motion	0.667	0.538	0.657	movimiento
motionless	0.323	0.210	0.246	inmóvil
motivate	0.812	0.776	0.873	motivar
