English Word	Valence	Arousal	Dominance	Korean Word
monotonous	0.354	0.221	0.400	단조로운
monotony	0.398	0.135	0.353	단음
monoxide	0.433	0.430	0.490	일산화탄소
monsieur	0.552	0.340	0.623	당신
monsoon	0.358	0.600	0.481	우기
monster	0.133	0.935	0.596	괴물
monstrosity	0.094	0.933	0.611	기괴
monstrous	0.094	0.942	0.649	거대한
montage	0.438	0.520	0.388	몽타주
monte	0.589	0.330	0.391	몬테
month	0.688	0.255	0.411	월
monthly	0.622	0.314	0.364	월간 간행물
monument	0.833	0.404	0.811	기념물
monumental	0.656	0.594	0.955	기념비적 인
moo	0.438	0.355	0.300	음매
mooch	0.378	0.413	0.309	멍청이
mood	0.720	0.500	0.500	분위기
moods	0.578	0.633	0.491	기분
moody	0.245	0.811	0.595	변덕스러운
moon	0.673	0.233	0.547	달
moonbeam	0.700	0.290	0.491	달빛
moonlight	0.865	0.264	0.409	월광
moonlit	0.873	0.269	0.508	달빛
moonshine	0.633	0.389	0.491	달빛
moonstruck	0.583	0.438	0.407	달맞이
moonwalk	0.615	0.586	0.525	문워크
moor	0.311	0.464	0.378	황무지
moored	0.344	0.500	0.417	정박
mooring	0.323	0.490	0.444	계선
moorings	0.406	0.500	0.516	계선 설비
moorland	0.490	0.370	0.456	황무지
moose	0.648	0.373	0.318	엘크
moot	0.344	0.500	0.615	무트
mooted	0.388	0.580	0.463	논쟁
mop	0.396	0.442	0.296	대걸레
mope	0.406	0.309	0.345	우울
moped	0.582	0.582	0.554	모터 달린 자전거
moral	0.700	0.459	0.796	도의적인
morale	0.729	0.158	0.792	사기
morality	0.750	0.408	0.759	도덕
morals	0.646	0.430	0.611	수신
morass	0.387	0.348	0.375	궁지
moratorium	0.337	0.427	0.373	모라토리엄
moray	0.510	0.402	0.463	모레이
morbid	0.090	0.833	0.395	병적
morbidity	0.370	0.630	0.443	병적 상태
morbidness	0.120	0.694	0.339	이환
mores	0.582	0.317	0.684	사회적 습관
morgue	0.022	0.539	0.241	거만
moribund	0.083	0.488	0.167	죽어가는
morn	0.542	0.284	0.345	아침
morning	0.688	0.235	0.444	아침
moron	0.133	0.587	0.183	바보
moronic	0.122	0.500	0.224	멍청한
morose	0.240	0.663	0.264	침울한
morph	0.448	0.469	0.451	모프
morphine	0.229	0.490	0.496	모르핀
morphism	0.398	0.549	0.386	형태론
morphology	0.516	0.373	0.639	형태
morrow	0.708	0.314	0.490	이튿날
morsel	0.490	0.296	0.400	조금
mortal	0.196	0.786	0.510	치명적인
mortality	0.229	0.726	0.518	인류
mortar	0.333	0.627	0.562	박격포
mortgage	0.255	0.408	0.537	저당
mortgagee	0.418	0.633	0.723	저당권자
mortgagor	0.431	0.522	0.490	저당권 설정자
mortician	0.104	0.429	0.275	장의사
mortification	0.135	0.644	0.404	고행
mortified	0.073	0.731	0.270	굴욕적인
mortuary	0.133	0.606	0.427	시체 임시 안치소
mosaic	0.635	0.250	0.302	모자이크
mosey	0.521	0.402	0.330	모시
mosquito	0.229	0.400	0.198	모기
moss	0.235	0.270	0.245	이끼
mossy	0.375	0.329	0.286	이끼 낀
mote	0.375	0.388	0.260	티끌
motel	0.531	0.372	0.450	모텔
moth	0.323	0.350	0.196	나방
mother	0.931	0.408	0.725	어머니
motherfucker	0.122	0.827	0.351	개자식
motherfucking	0.071	0.823	0.373	빌어먹을
motherhood	0.844	0.546	0.667	어머니
motherland	0.677	0.375	0.731	모국
motherless	0.163	0.541	0.337	어머니가 없는
motherly	0.927	0.324	0.710	어머니 같은
motif	0.688	0.481	0.527	주제
motion	0.667	0.538	0.657	운동
motionless	0.323	0.210	0.246	움직이지 않는
motivate	0.812	0.776	0.873	동기를 부여하다
motivating	0.958	0.820	0.787	동기 부여
motivation	0.854	0.784	0.802	동기 부여
motivational	0.906	0.646	0.858	동기 부여
motive	0.667	0.588	0.663	동기
motley	0.480	0.398	0.412	뒤범벅
motor	0.531	0.551	0.648	모터
motorbike	0.552	0.608	0.616	오토바이
motorboat	0.677	0.500	0.390	기선
motorcade	0.708	0.730	0.593	자동차 행렬
motorcar	0.694	0.565	0.682	자동차
motorcycle	0.677	0.764	0.713	오토바이
motorist	0.562	0.663	0.578	자동차 여행자
motte	0.481	0.389	0.370	모트
mottled	0.380	0.336	0.295	얼룩덜룩 한
motto	0.688	0.317	0.439	금언
mould	0.357	0.176	0.246	곰팡이
mound	0.520	0.481	0.509	투수판
mount	0.500	0.292	0.348	산
mountain	0.698	0.408	0.649	산
mountaineer	0.635	0.774	0.535	등산가
mountainous	0.635	0.519	0.612	산과 같은
mountains	0.766	0.433	0.569	산
mountaintop	0.653	0.541	0.713	산꼭대기
mourn	0.056	0.583	0.150	애도하다
mournful	0.180	0.441	0.188	슬픈
mourning	0.177	0.490	0.266	비탄
mouse	0.427	0.441	0.206	생쥐
mousetrap	0.180	0.643	0.330	쥐덫
mousse	0.604	0.336	0.368	무스
moustache	0.470	0.236	0.409	수염
mousy	0.480	0.413	0.339	무스
mouth	0.734	0.294	0.336	입
mouthful	0.609	0.565	0.389	한입 가득
mouthpiece	0.573	0.346	0.393	대변자
mouthwash	0.438	0.385	0.352	구강청결제
movable	0.469	0.509	0.500	움직일 수 있는
move	0.656	0.647	0.670	이동하다
movement	0.656	0.654	0.658	움직임
mover	0.615	0.539	0.466	발동력
movie	0.792	0.560	0.471	영화
movies	0.724	0.426	0.472	영화 산업
moving	0.479	0.673	0.358	움직이는
movingforward	0.857	0.518	0.848	앞으로 나아가 다
movingon	0.490	0.529	0.435	이동
mow	0.420	0.559	0.393	베다
mower	0.458	0.510	0.368	풀 베는 사람
moxie	0.531	0.490	0.366	목시
mozzarella	0.653	0.265	0.340	모짜렐라
mri	0.365	0.431	0.349	MRI
muchneeded	0.438	0.602	0.455	많이 필요한
mucis	0.398	0.418	0.420	점액
muck	0.347	0.423	0.272	쓰레기
mucked	0.184	0.500	0.373	엿먹인
mucous	0.330	0.296	0.293	점액
mucus	0.143	0.309	0.228	점액
mud	0.333	0.260	0.185	진흙
muddle	0.184	0.710	0.336	혼란
muddled	0.250	0.615	0.263	뒤죽박죽
muddy	0.292	0.400	0.283	흐린
muff	0.542	0.335	0.314	통
muffin	0.684	0.430	0.306	머핀
muffled	0.479	0.330	0.421	숨막히는
muffler	0.357	0.407	0.454	머플러
mug	0.542	0.214	0.382	얼굴
mugger	0.125	0.850	0.500	폭력 소매치기
mulberry	0.469	0.315	0.361	짙은 적자색
mulch	0.349	0.361	0.383	뿌리 덮개
mule	0.320	0.337	0.254	노새
mull	0.663	0.340	0.594	숙고하다
mullet	0.521	0.356	0.377	숭어
multilateral	0.500	0.469	0.705	다자간
multimedia	0.611	0.390	0.607	멀티미디어
multinational	0.656	0.510	0.842	다국적
multiple	0.660	0.510	0.578	다수의
multiple sclerosis	0.188	0.587	0.483	다발성 경화증
multiplex	0.610	0.590	0.667	다양한
multiplication	0.646	0.565	0.762	곱셈
multiplicity	0.677	0.490	0.777	다수
multiplied	0.802	0.559	0.729	곱한
multiplier	0.643	0.615	0.741	승수
multiply	0.802	0.625	0.777	곱하다
multitude	0.562	0.765	0.847	다수
mum	0.802	0.317	0.698	침묵
mumble	0.292	0.444	0.245	중얼중얼
mumbo	0.429	0.506	0.336	멈보
mummy	0.400	0.588	0.415	미라
mumps	0.099	0.410	0.311	유행성 이하선염
munch	0.541	0.277	0.434	뭉크
munchies	0.562	0.470	0.491	먼치
munchkin	0.490	0.466	0.374	먼치킨
mundane	0.312	0.420	0.480	평범한
municipal	0.625	0.390	0.758	시립
municipality	0.569	0.280	0.614	지방 자치체
mural	0.551	0.265	0.454	벽화
murder	0.061	0.942	0.615	살인
murderer	0.010	0.960	0.650	살인자
murderess	0.041	0.941	0.462	살인마
murderous	0.017	0.940	0.682	살인적인
murky	0.143	0.618	0.370	어두운
murmur	0.458	0.520	0.200	어렴풋한 말소리
muscle	0.359	0.490	0.645	근육
muscular	0.531	0.434	0.577	근육질의
muse	0.760	0.360	0.509	뮤즈 신
muses	0.714	0.434	0.571	뮤즈
museum	0.792	0.206	0.481	박물관
mush	0.500	0.311	0.125	걸쭉한 죽
mushroom	0.490	0.274	0.269	버섯
mushy	0.520	0.200	0.182	흐릿한
music	0.833	0.563	0.605	음악
musical	0.908	0.630	0.530	뮤지컬
musician	0.816	0.509	0.618	음악가
musing	0.740	0.151	0.465	사색
musk	0.469	0.454	0.453	사향
musket	0.260	0.654	0.510	머스킷
musketeer	0.694	0.569	0.705	총병
muskrat	0.439	0.510	0.368	사향쥐
muslin	0.439	0.304	0.352	캘리코
muss	0.418	0.438	0.302	혼란
must	0.408	0.382	0.441	~ 해야 하다
mustang	0.635	0.642	0.708	무스탕
mustard	0.500	0.346	0.275	머스타드
muster	0.635	0.460	0.548	소집
musty	0.354	0.367	0.267	곰팡내 나는
mutable	0.426	0.531	0.491	변하기 쉬운
mutant	0.337	0.676	0.573	돌연변이
mutate	0.281	0.548	0.463	돌연변이
mutation	0.365	0.625	0.611	돌연변이
mute	0.271	0.200	0.250	음소거
muted	0.260	0.167	0.162	음소거
mutilate	0.125	0.900	0.465	자르다
mutilated	0.041	0.841	0.356	훼손된
mutilation	0.122	0.782	0.456	절단
mutiny	0.323	0.890	0.549	폭동
mutt	0.418	0.408	0.387	바보
mutter	0.406	0.427	0.228	속삭임
mutton	0.427	0.283	0.393	양고기
mutual	0.729	0.321	0.464	상호간의
mutually	0.844	0.490	0.582	서로
muzzle	0.388	0.430	0.232	포구
myfavorite	0.812	0.587	0.615	내가 좋아하는 것
myopia	0.245	0.387	0.226	근시
myopic	0.344	0.396	0.218	근시
myriad	0.480	0.429	0.550	무수한
mysterious	0.448	0.699	0.455	신비한
mystery	0.417	0.667	0.519	신비
mystic	0.643	0.520	0.535	신비주의자
mystical	0.594	0.443	0.689	신비로운
mysticism	0.594	0.598	0.423	비밀
mystified	0.344	0.600	0.509	신비한
mystique	0.668	0.633	0.667	신비감
myth	0.458	0.432	0.338	신화
mythic	0.635	0.528	0.645	신화적인
mythical	0.625	0.556	0.583	신화적인
mythological	0.760	0.573	0.658	신화적인
mythology	0.684	0.439	0.688	신화학
nab	0.469	0.544	0.407	붙잡다
nacho	0.667	0.259	0.333	나쵸
nada	0.250	0.231	0.136	나다
nadir	0.479	0.363	0.424	최하점
nag	0.271	0.451	0.472	성가신 잔소리
nail	0.469	0.397	0.282	못
nail gun	0.378	0.806	0.574	네일 건
naive	0.406	0.260	0.375	순진한
naked	0.323	0.885	0.288	적나라한
nakedness	0.480	0.760	0.350	벌거숭이
namaste	0.719	0.255	0.464	나마스테
name	0.573	0.300	0.415	이름
named	0.562	0.396	0.565	명명 된
nameless	0.344	0.280	0.164	이름 없는
namesake	0.418	0.327	0.404	이름을 딴
naming	0.667	0.410	0.559	명명
nana	0.765	0.255	0.375	나나
nanny	0.615	0.370	0.528	여자 이름
nanometer	0.375	0.356	0.446	나노미터
nap	0.660	0.098	0.342	선잠
napalm	0.265	0.580	0.471	네이팜
nape	0.427	0.268	0.298	목덜미
napkin	0.469	0.142	0.209	냅킨
napping	0.765	0.046	0.306	낮잠
nappy	0.529	0.333	0.207	기저귀
narcissism	0.214	0.639	0.540	자기애
narcissist	0.173	0.614	0.629	나르시시스트
narcissistic	0.323	0.708	0.655	자기애적
narcotic	0.102	0.858	0.450	마약
narrate	0.541	0.480	0.473	말하다
narration	0.622	0.408	0.551	화법
narrative	0.580	0.303	0.443	이야기
narrator	0.673	0.430	0.623	내레이터
narrow	0.260	0.368	0.356	좁은
narrowing	0.354	0.593	0.357	협착
nasal	0.479	0.340	0.330	코
nascent	0.684	0.373	0.585	초기
nasty	0.115	0.620	0.264	끔찍한
natal	0.755	0.462	0.481	산후
nation	0.594	0.443	0.821	국가
national	0.698	0.365	0.663	국가의
nationality	0.642	0.400	0.772	국적
nationwide	0.684	0.217	0.672	전국적으로
native	0.635	0.422	0.710	토종의
nativity	0.750	0.337	0.673	출생
natural	0.854	0.118	0.481	자연스러운
natural gas	0.635	0.324	0.396	천연 가스
naturalist	0.844	0.255	0.562	자연주의자
naturalization	0.781	0.279	0.652	귀화
naturalized	0.760	0.333	0.600	귀화
naturally	0.854	0.276	0.549	당연히
nature	0.857	0.184	0.643	자연
naught	0.344	0.176	0.161	제로
naughty	0.451	0.857	0.371	못된
nausea	0.104	0.781	0.273	메스꺼움
nauseate	0.062	0.660	0.176	욕지기 나다
nauseating	0.021	0.640	0.250	메스꺼움
nauseous	0.135	0.780	0.284	메스꺼움
nautical	0.646	0.250	0.579	항해의
nautilus	0.396	0.509	0.517	노틸러스
naval	0.542	0.449	0.679	해군
nave	0.583	0.448	0.585	본당
navel	0.448	0.261	0.276	배꼽
navigable	0.749	0.406	0.645	항해 가능한
navigate	0.740	0.555	0.675	탐색하다
navigation	0.841	0.470	0.720	항해
navigational	0.573	0.481	0.564	항해의
navigator	0.583	0.592	0.623	항해자
navy	0.531	0.760	0.764	해군
nay	0.344	0.290	0.325	아니
nearsighted	0.271	0.373	0.265	근시
neat	0.878	0.235	0.491	정돈된
neatly	0.802	0.412	0.588	깔끔하게
nebula	0.510	0.418	0.438	성운
nebulae	0.490	0.330	0.472	성운
nebulous	0.469	0.347	0.417	모호한
necessarily	0.667	0.423	0.598	필연적으로
necessary	0.750	0.433	0.679	필요한
necessitate	0.578	0.604	0.516	필요하다
necessities	0.520	0.630	0.463	필수품
necessity	0.567	0.471	0.588	필요성
neck	0.541	0.245	0.345	목
necklace	0.760	0.294	0.373	목걸이
necktie	0.583	0.229	0.314	넥타이
necromancer	0.333	0.625	0.536	점쟁이
necrosis	0.115	0.622	0.385	회저
nectar	0.746	0.331	0.398	넥타
need	0.510	0.574	0.200	필요
needalife	0.490	0.443	0.394	필요 생활
needed	0.677	0.342	0.679	필요한
needful	0.582	0.460	0.614	필요한
needit	0.250	0.472	0.356	필요해
needle	0.250	0.472	0.360	바늘
needlepoint	0.653	0.500	0.556	바늘끝
needles	0.250	0.602	0.348	바늘
needless	0.327	0.385	0.200	불필요한
needtoknow	0.427	0.606	0.474	알 필요가있다
needtorelax	0.673	0.438	0.274	필요 이완
needy	0.360	0.451	0.245	아주 가난한
nefarious	0.184	0.720	0.528	극악한
negation	0.255	0.461	0.297	부정
negative	0.102	0.527	0.176	부정적인
negativity	0.060	0.520	0.273	부정성
neglect	0.045	0.550	0.163	소홀히 하다
neglected	0.271	0.385	0.160	무시
neglecting	0.177	0.441	0.230	무시
negligee	0.385	0.520	0.336	네글리제
negligence	0.092	0.570	0.251	과실
negligent	0.167	0.583	0.259	태만
negligently	0.056	0.583	0.266	부주의하게
negligible	0.177	0.292	0.232	무시할 수 있는
negotiable	0.688	0.585	0.731	협상 가능한
negotiate	0.612	0.708	0.769	협상하다
negotiation	0.490	0.615	0.728	협상
negotiator	0.635	0.471	0.817	양도인
negro	0.354	0.368	0.461	흑인
neigh	0.378	0.642	0.373	울다
neighbor	0.657	0.448	0.434	이웃
neighborhood	0.385	0.469	0.373	이웃
neighboring	0.656	0.306	0.481	이웃
nemesis	0.271	0.688	0.647	네메시스
neon	0.594	0.480	0.380	네온
neonatal	0.542	0.529	0.357	신생아
neophyte	0.286	0.363	0.411	초보자
neoprene	0.316	0.451	0.443	네오프렌
nephew	0.719	0.337	0.412	조카
nepotism	0.349	0.584	0.517	친척 편중
nerd	0.408	0.481	0.315	얼간이
nerdy	0.296	0.255	0.292	살아남다
nerve	0.129	0.698	0.307	신경 이상
nerves	0.333	0.783	0.264	신경
nervous	0.235	0.820	0.213	불안한
nervousness	0.163	0.915	0.241	신경질
nervouswreck	0.112	0.867	0.179	신경쇠약
nervy	0.250	0.830	0.241	신경질적인
ness	0.396	0.480	0.392	네스 호
nest	0.687	0.221	0.333	둥지
nestle	0.625	0.308	0.379	기분 좋게 눕다
nestling	0.604	0.427	0.286	새 새끼
net	0.441	0.288	0.417	그물
nether	0.240	0.265	0.259	네더
netting	0.368	0.509	0.585	그물
nettle	0.406	0.324	0.490	쐐기풀
network	0.531	0.337	0.466	회로망
networking	0.625	0.482	0.545	네트워킹
neural	0.582	0.426	0.391	신경
neuralgia	0.092	0.706	0.439	신경통
neurological	0.500	0.540	0.558	신경학적
neurologist	0.608	0.500	0.736	신경과 전문의
neurology	0.459	0.537	0.580	신경학
neurosis	0.122	0.766	0.418	신경증
neurosurgeon	0.590	0.673	0.755	신경외과
neurosurgery	0.490	0.632	0.730	신경외과
neurotic	0.198	0.801	0.387	신경증 환자
neuter	0.621	0.163	0.302	중성
neutral	0.469	0.184	0.357	중립적
neutrality	0.469	0.205	0.434	중립
neutralize	0.519	0.363	0.719	중화하다
neutron	0.469	0.440	0.679	중성자
new	0.917	0.490	0.582	새로운
new age	0.694	0.556	0.727	새로운 시대
newbeginnings	0.802	0.613	0.524	새로운 시작
newborn	0.918	0.580	0.372	신생아
newcomer	0.622	0.380	0.396	새로 온 사람
newday	0.847	0.388	0.618	새로운 날
newfound	0.745	0.741	0.520	새로 찾은
newjob	0.755	0.643	0.729	새 직업
newlife	0.898	0.646	0.701	새로운 삶
newly	0.688	0.422	0.552	새로운
newlywed	0.847	0.706	0.570	신혼부부
newme	0.643	0.550	0.527	뉴미
newness	0.740	0.522	0.588	새로움
news	0.633	0.580	0.610	소식
newscast	0.531	0.509	0.714	뉴스 방송
newscaster	0.646	0.510	0.764	뉴스 캐스터
newsflash	0.604	0.637	0.518	속보
newsletter	0.622	0.385	0.490	뉴스 레터
newsman	0.604	0.480	0.696	뉴스맨
newspaper	0.602	0.283	0.444	신문
newspaperman	0.561	0.458	0.750	신문사
newsreel	0.625	0.571	0.577	뉴스 영화
newsroom	0.531	0.392	0.658	뉴스 편집실
newsstand	0.615	0.222	0.336	신문 판매대
newstart	0.802	0.510	0.667	새로운 시작
newt	0.458	0.380	0.541	영원
newyear	0.938	0.784	0.520	새해
nexus	0.496	0.368	0.412	연결점
nib	0.510	0.282	0.406	부리
nibble	0.551	0.551	0.411	한입 깨물기
nice	0.930	0.442	0.650	멋진
niche	0.459	0.413	0.318	벽감
nichts	0.406	0.293	0.404	틈새
nick	0.554	0.388	0.387	새긴 금
nickel	0.510	0.347	0.406	니켈
nickname	0.490	0.470	0.263	별명
nicotine	0.235	0.608	0.447	니코틴
niece	0.771	0.320	0.400	조카
nifty	0.740	0.745	0.815	맵시 있는
nigh	0.653	0.216	0.336	가까이
night	0.598	0.396	0.404	밤
nightcap	0.750	0.196	0.268	나이트캡
nightclub	0.802	0.894	0.528	나이트 클럽
nightfall	0.490	0.436	0.426	해질녘
nightgown	0.643	0.408	0.250	잠옷
nightie	0.630	0.388	0.274	잠옷
nightingale	0.740	0.340	0.496	나이팅게일
nightlife	0.542	0.783	0.510	밤문화
nightly	0.673	0.410	0.474	밤마다
nightmare	0.005	0.810	0.436	악몽
nightmares	0.082	0.942	0.448	악몽
nightstand	0.490	0.130	0.327	스탠드
nightstick	0.500	0.461	0.348	나이트 스틱
nighttime	0.735	0.385	0.439	야간
nihilism	0.367	0.510	0.364	허무주의
nil	0.286	0.143	0.157	무
nimble	0.833	0.729	0.769	재빠른
nimrod	0.327	0.500	0.539	님로드
nincompoop	0.365	0.431	0.368	멍청이
nine	0.552	0.255	0.327	아홉
nineteen	0.673	0.304	0.375	십구
ninety	0.479	0.349	0.436	구십
ninja	0.542	0.844	0.682	닌자
ninny	0.344	0.343	0.309	멍청이
nintendo	0.802	0.571	0.464	닌텐도
ninth	0.490	0.212	0.396	제구
nip	0.281	0.700	0.264	집게발
nipper	0.386	0.422	0.317	집게발
nipple	0.480	0.786	0.415	젖꼭지
nippy	0.540	0.500	0.416	니피
nitrate	0.388	0.406	0.500	질산염
nitro	0.500	0.647	0.639	니트로
nitrogen	0.427	0.435	0.562	질소
nitrous	0.435	0.561	0.411	아질산
nitwit	0.146	0.606	0.139	바보
nix	0.330	0.380	0.404	아니야
no anticipation	0.396	0.480	0.341	기대가 없다
no disgust	0.510	0.324	0.448	혐오 없음
no emotion	0.170	0.109	0.225	무 감정
no sentiment	0.092	0.382	0.278	감정이 없다
no surprise	0.171	0.224	0.412	놀랍지 않다
no trust	0.055	0.445	0.257	신뢰가 없다
nobility	0.844	0.347	0.736	귀족
noble	0.906	0.345	0.610	고귀한
nobleman	0.675	0.286	0.709	귀족
nobodycares	0.365	0.410	0.354	아무도 신경 쓰지 않는다
nocomplaints	0.677	0.164	0.491	불만 없음
nocturnal	0.540	0.500	0.462	야행성
nod	0.590	0.367	0.427	목례
nodding	0.694	0.294	0.426	꼬박
node	0.396	0.343	0.361	마디
nodular	0.438	0.351	0.411	결절
nodule	0.312	0.426	0.349	결절
noggin	0.510	0.433	0.382	머리
nohope	0.200	0.441	0.385	희망 없다
noir	0.375	0.394	0.365	느와르
noise	0.260	0.883	0.388	소음
noisy	0.271	0.812	0.561	시끄러운
nomad	0.375	0.413	0.433	유목민
nomadic	0.427	0.519	0.422	유목민
nomenclature	0.500	0.222	0.575	명명법
nominal	0.594	0.250	0.463	명사 같은
nominate	0.615	0.471	0.669	지명하다
nomination	0.663	0.637	0.696	지명
nominee	0.662	0.625	0.765	후보자
nonce	0.422	0.370	0.377	목하
nonchalant	0.312	0.314	0.366	무심한
noncompliance	0.112	0.598	0.259	비준수
nondescript	0.490	0.434	0.348	정체 모를 사람
nonexistent	0.208	0.429	0.149	존재하지 않는
nonfat	0.604	0.260	0.340	무지방
nonfiction	0.426	0.315	0.431	논픽션
nonpayment	0.229	0.510	0.298	미불
nonresident	0.250	0.340	0.302	비거주자
nonsense	0.214	0.531	0.155	무의미한 말
nonsensical	0.173	0.268	0.193	무의미한
nonviolent	0.640	0.287	0.346	잔인하지 않은
noob	0.417	0.430	0.267	멍청한 놈
noodle	0.633	0.216	0.225	국수
nook	0.480	0.321	0.296	구석
noon	0.531	0.343	0.518	정오
noose	0.356	0.300	0.330	올가미
nopoint	0.276	0.324	0.314	노포인트
noregrets	0.469	0.476	0.426	후회 없다
norm	0.500	0.245	0.527	표준
normal	0.740	0.127	0.380	정상
normalcy	0.805	0.151	0.620	정상
normality	0.781	0.089	0.444	정상
north	0.531	0.255	0.450	북쪽
northbound	0.604	0.454	0.491	북쪽으로
northeast	0.562	0.260	0.375	북동
northern	0.570	0.340	0.472	북부 사투리
northwest	0.604	0.345	0.451	북서
northwestern	0.479	0.306	0.462	북서쪽
noschool	0.490	0.400	0.380	학교 없음
nose	0.582	0.270	0.245	코
nosebleed	0.153	0.776	0.361	코피
nosey	0.276	0.655	0.223	코가
nosnow	0.392	0.394	0.366	눈꽃
nostalgia	0.417	0.337	0.339	노스탤지어
nostalgic	0.458	0.351	0.184	향수를 불러일으키는
nostress	0.531	0.404	0.415	스트레스없는
nostril	0.396	0.404	0.316	콧구멍
nosun	0.388	0.380	0.351	노순
nosy	0.292	0.558	0.433	코가
not negative	0.622	0.270	0.444	부정적이지 않다
not positive	0.051	0.370	0.236	긍정적이지 않다
notable	0.760	0.450	0.696	주목할 만한
notables	0.594	0.608	0.755	명사
notably	0.792	0.533	0.689	특히
notamorningperson	0.469	0.578	0.440	아침을 모르는 사람
notary	0.541	0.451	0.676	공증인
notation	0.635	0.380	0.558	표기법
notch	0.459	0.361	0.358	골짜기
notched	0.480	0.530	0.356	노치
note	0.594	0.163	0.416	노트
notebook	0.449	0.167	0.442	공책
noted	0.615	0.382	0.464	유명한
noteworthy	0.704	0.481	0.759	주목할만한
nothappy	0.112	0.320	0.170	불행
nothingbetter	0.635	0.390	0.543	더 나은
nothingness	0.204	0.080	0.161	무
notice	0.646	0.408	0.491	알아채다
noticeable	0.890	0.562	0.750	눈에 띄는
notification	0.604	0.461	0.671	공고
notify	0.643	0.471	0.573	알리다
notion	0.612	0.284	0.667	개념
notional	0.520	0.288	0.500	명목상의
notoriety	0.552	0.633	0.769	평판
notorious	0.366	0.582	0.609	유명한
notready	0.133	0.400	0.196	아직
notwithstanding	0.367	0.316	0.433	그럼에도 불구하고
nought	0.312	0.098	0.116	제로
noun	0.531	0.230	0.477	명사
nourish	0.878	0.460	0.639	키우다
nourishment	0.786	0.290	0.631	자양물
nouveau	0.633	0.438	0.432	누보
novel	0.702	0.352	0.439	소설
novelist	0.340	0.343	0.529	소설가
novelty	0.673	0.521	0.740	진기함
novice	0.429	0.346	0.180	초심자
nowadays	0.680	0.346	0.400	요즘에는
nowork	0.312	0.264	0.309	아무 일 없다
noworries	0.630	0.402	0.500	걱정 마
noxious	0.177	0.585	0.379	유해한
nozzle	0.438	0.330	0.287	대통 주둥이
nuance	0.408	0.282	0.411	미묘한 차이
nuances	0.490	0.375	0.527	뉘앙스
nuclear	0.219	0.856	0.781	핵무기
nucleus	0.529	0.296	0.667	핵
nude	0.490	0.915	0.200	나체상
nudge	0.448	0.500	0.509	슬쩍 찌르다
nudie	0.500	0.529	0.373	누드
nudist	0.440	0.796	0.483	나체주의자
nudity	0.438	0.853	0.415	나체
nugget	0.602	0.340	0.348	덩어리
nuisance	0.198	0.817	0.227	폐가 되는 행위
nuke	0.125	0.905	0.873	핵무기
nul	0.337	0.358	0.264	무효
null	0.253	0.147	0.152	없는
nullify	0.255	0.373	0.395	무효화하다
numb	0.108	0.420	0.352	무감각
number	0.406	0.231	0.471	숫자
numbering	0.510	0.363	0.482	번호 매기기
numbers	0.406	0.241	0.440	번호
numbness	0.306	0.398	0.265	얼어서 고움
numbskull	0.300	0.472	0.284	무감각
numeral	0.582	0.254	0.382	숫자
numerator	0.490	0.317	0.526	분자
numerical	0.479	0.322	0.517	수치
numerically	0.510	0.337	0.500	수치적으로
numerous	0.622	0.462	0.609	많은
nun	0.500	0.150	0.406	수녀
nunchucks	0.337	0.580	0.526	쌍절곤
nunnery	0.653	0.236	0.473	여자 수도원
nuptials	0.771	0.588	0.571	결혼식
nurse	0.635	0.578	0.521	간호사
nursemaid	0.615	0.431	0.436	안저지
nursery	0.894	0.406	0.389	양식장
nursing	0.552	0.549	0.653	육아
nurture	0.745	0.378	0.657	양육하다
nut	0.365	0.310	0.250	너트
nutcase	0.286	0.775	0.259	너트 케이스
nutcracker	0.635	0.378	0.522	호두 까는 집게
nuthouse	0.347	0.519	0.434	너트 하우스
nutmeg	0.635	0.302	0.350	육두구
nutrition	0.885	0.420	0.579	영양물 섭취
nutritional	0.812	0.406	0.676	영양
nutritious	0.833	0.337	0.655	영양가 있는
nutritive	0.875	0.422	0.667	영양가 있는
nuts	0.594	0.250	0.291	견과류
nutshell	0.458	0.407	0.310	간단히 말해서
nutty	0.444	0.317	0.271	멋진
nylon	0.490	0.304	0.295	나일론
nylong	0.439	0.248	0.351	나일론
nylons	0.556	0.379	0.320	나일론 양말
nymph	0.542	0.529	0.472	님프
nymphomaniac	0.398	0.894	0.536	님포매니악
oaf	0.344	0.357	0.330	기형아
oak	0.583	0.245	0.536	오크
oar	0.469	0.392	0.316	노
oasis	0.796	0.283	0.429	오아시스
oat	0.622	0.170	0.298	귀리
oath	0.543	0.615	0.824	맹세
oatmeal	0.592	0.192	0.241	오트밀
obedience	0.765	0.287	0.536	복종
obedient	0.800	0.179	0.518	순종하는
obediently	0.802	0.304	0.577	순종적으로
obelisk	0.604	0.408	0.596	오벨리스크
obese	0.133	0.427	0.250	뚱뚱한
obesity	0.215	0.370	0.328	비만
obey	0.677	0.433	0.533	순종하다
obi	0.469	0.442	0.414	오비
obit	0.410	0.464	0.393	오빗
obituary	0.188	0.330	0.423	사망 기사
object	0.531	0.356	0.375	물체
objection	0.347	0.592	0.709	반대
objectionable	0.459	0.382	0.558	괘씸한
objective	0.724	0.337	0.736	목적
objectivity	0.765	0.431	0.711	객관성
obligation	0.222	0.596	0.718	의무
obligatory	0.337	0.571	0.780	의무
oblige	0.281	0.770	0.614	의무
obliged	0.327	0.680	0.411	고마운
