English Word	Valence	Arousal	Dominance	Ukrainian Word
memo	0.625	0.235	0.407	записка
memoir	0.750	0.242	0.553	мемуари
memorabilia	0.780	0.412	0.491	пам'ятні речі
memorable	0.939	0.510	0.769	пам'ятний
memorandum	0.600	0.500	0.639	меморандум
memorial	0.602	0.304	0.600	меморіал
memorials	0.771	0.333	0.679	меморіали
memories	0.963	0.487	0.510	спогади
memoriesiwontforget	0.635	0.542	0.455	незабутні спогади
memorize	0.520	0.451	0.716	запам'ятати
memory	0.792	0.378	0.573	пам'ять
menace	0.125	0.894	0.759	загроза
menacing	0.042	0.880	0.643	грізний
menagerie	0.573	0.480	0.538	звіринець
mend	0.542	0.436	0.602	виправити
mending	0.500	0.633	0.657	ремонт
menial	0.490	0.420	0.352	слуга
meningitis	0.104	0.612	0.407	менінгіт
meniscus	0.323	0.330	0.453	меніск
menopause	0.204	0.460	0.306	менопауза
menses	0.163	0.686	0.331	менструації
menstrual	0.408	0.519	0.435	менструальний
mental	0.490	0.490	0.585	психічний
mentalhealth	0.562	0.541	0.670	психічне здоров'я
mentality	0.711	0.415	0.726	менталітет
menthol	0.490	0.292	0.433	ментол
mention	0.562	0.365	0.562	згадка
mentor	0.719	0.455	0.777	наставник
menu	0.633	0.333	0.385	меню
meow	0.510	0.510	0.412	нявкати
mercantile	0.480	0.490	0.713	меркантильний
mercenary	0.245	0.837	0.673	найманець
merchandise	0.594	0.460	0.621	товари
merchant	0.675	0.500	0.620	купець
merciful	0.854	0.346	0.500	милосердний
merciless	0.062	0.880	0.634	безжальний
mercurial	0.490	0.546	0.518	ртутний
mercury	0.337	0.312	0.475	ртуть
mercy	0.719	0.229	0.500	милосердя
mere	0.396	0.221	0.176	просто
merengue	0.688	0.519	0.442	меренге
merge	0.760	0.480	0.733	злиття
merger	0.592	0.490	0.642	злиття
meridian	0.510	0.324	0.558	меридіан
meridional	0.365	0.290	0.600	меридіональний
meringue	0.625	0.580	0.411	безе
merit	0.854	0.500	0.722	заслуги
meritorious	0.781	0.618	0.855	заслужений
mermaid	0.765	0.623	0.452	русалка
merriment	0.948	0.721	0.632	веселість
merry	0.979	0.731	0.764	веселий
merrychristmas	0.888	0.510	0.536	щасливого Різдва
mesa	0.604	0.191	0.319	меса
mescaline	0.490	0.580	0.415	мескалін
mesh	0.429	0.235	0.371	сітка
meshes	0.440	0.363	0.362	сітки
mesmerized	0.520	0.552	0.421	загіпнотизований
mess	0.143	0.843	0.273	безлад
message	0.650	0.391	0.415	повідомлення
messedup	0.333	0.615	0.358	переплуталися
messenger	0.694	0.434	0.500	месенджер
messiah	0.781	0.634	0.800	месія
messy	0.260	0.635	0.140	безладний
metabolic	0.408	0.531	0.559	метаболічний
metabolism	0.698	0.509	0.555	метаболізм
metal	0.551	0.429	0.547	метал
metallic	0.615	0.330	0.607	металевий
metallurgy	0.396	0.509	0.587	металургія
metamorphosis	0.541	0.571	0.613	метаморфоз
metaphor	0.562	0.280	0.470	метафора
metaphorical	0.500	0.412	0.480	метафоричний
metaphysical	0.630	0.573	0.686	метафізичний
metaphysics	0.561	0.396	0.588	метафізика
metastasis	0.177	0.646	0.452	метастази
meteor	0.398	0.714	0.737	метеор
meteoric	0.590	0.802	0.684	метеоритний
meteorite	0.385	0.794	0.750	метеорит
meteorological	0.635	0.557	0.556	метеорологічний
meteorology	0.630	0.418	0.689	метеорологія
meter	0.438	0.300	0.463	метр
meth	0.354	0.564	0.340	мет
methadone	0.240	0.540	0.453	метадон
methane	0.290	0.460	0.569	метан
methanol	0.292	0.500	0.570	метанол
method	0.640	0.275	0.698	метод
methodical	0.663	0.360	0.745	методичні
methodology	0.664	0.327	0.745	методологія
meticulous	0.555	0.480	0.555	прискіпливий
metime	0.531	0.398	0.417	час
metric	0.519	0.248	0.573	метрика
metrical	0.521	0.375	0.482	метричний
metrology	0.531	0.432	0.439	метрологія
metropolis	0.656	0.625	0.779	мегаполіс
metropolitan	0.387	0.408	0.723	митрополит
mettle	0.667	0.529	0.750	мужність
mew	0.418	0.481	0.380	мяу
mezzanine	0.479	0.427	0.404	мезонін
mica	0.531	0.250	0.314	слюда
mick	0.449	0.451	0.382	Мік
micro	0.500	0.270	0.250	мікро
microbe	0.255	0.450	0.340	мікроб
microbiology	0.571	0.378	0.560	мікробіології
microchip	0.551	0.358	0.432	мікрочіп
microcosm	0.500	0.500	0.520	мікросвіт
microfilm	0.469	0.352	0.412	мікрофільм
microgram	0.448	0.286	0.355	мікрограм
micrometer	0.573	0.358	0.394	мікрометр
micron	0.375	0.291	0.315	мікрон
microphone	0.551	0.431	0.462	мікрофон
microscope	0.531	0.330	0.464	мікроскоп
microscopic	0.360	0.327	0.433	мікроскопічні
microscopically	0.623	0.370	0.412	мікроскопічно
microscopy	0.500	0.339	0.455	мікроскопія
microwave	0.542	0.497	0.443	мікрохвильова піч
mid	0.500	0.315	0.356	середина
midair	0.633	0.413	0.455	у повітрі
midday	0.658	0.250	0.403	полудень
middle	0.458	0.157	0.300	середина
middleman	0.500	0.404	0.452	посередник
middleweight	0.510	0.302	0.428	середня вага
midget	0.396	0.295	0.254	карлик
midland	0.521	0.402	0.456	середня смуга
midlife	0.594	0.244	0.473	середнього віку
midline	0.332	0.224	0.330	середня лінія
midnight	0.562	0.470	0.545	опівночі
midshipman	0.469	0.615	0.785	мічман
midst	0.324	0.275	0.296	посередині
midsummer	0.781	0.480	0.492	середина літа
midterm	0.427	0.337	0.425	проміжний термін
midtown	0.479	0.442	0.538	центр міста
midway	0.459	0.316	0.304	на півдорозі
midwife	0.531	0.570	0.453	акушерка
midwifery	0.510	0.570	0.459	акушерство
mien	0.500	0.352	0.447	минь
miffed	0.204	0.726	0.429	обурений
mighty	0.855	0.837	0.936	могутній
mignon	0.551	0.440	0.423	міньйон
migraine	0.135	0.783	0.318	мігрень
migrate	0.415	0.580	0.454	мігрувати
migration	0.492	0.731	0.566	міграція
migratory	0.448	0.521	0.491	перелітні
mike	0.542	0.365	0.423	Майк
mil	0.534	0.388	0.347	млн
mild	0.635	0.198	0.216	помірний
mildew	0.344	0.250	0.241	цвіль
mildness	0.827	0.226	0.311	м'якість
mile	0.521	0.417	0.456	миля
mileage	0.510	0.458	0.562	пробіг
milestone	0.719	0.373	0.558	віха
militant	0.418	0.667	0.750	войовничий
militants	0.260	0.673	0.652	бойовиків
military	0.396	0.710	0.875	військовий
militia	0.396	0.729	0.769	міліція
milk	0.817	0.270	0.327	молоко
milkman	0.750	0.380	0.304	молочник
milkshake	0.796	0.521	0.330	молочний коктейль
milky	0.517	0.283	0.311	молочний
mill	0.531	0.382	0.347	млин
millennium	0.573	0.398	0.760	тисячоліття
milligram	0.429	0.217	0.302	міліграм
millimeter	0.427	0.177	0.360	міліметр
million	0.776	0.647	0.812	мільйон
millionaire	0.917	0.755	0.850	мільйонер
millionth	0.635	0.528	0.611	мільйонний
millstone	0.510	0.433	0.492	жорна
mime	0.455	0.235	0.302	мім
mimic	0.557	0.587	0.391	міміка
mimicking	0.316	0.433	0.364	наслідування
mimicry	0.420	0.337	0.472	міміка
mince	0.417	0.529	0.378	фарш
mincemeat	0.396	0.435	0.358	м'ясний фарш
mind	0.650	0.388	0.627	розум
minded	0.656	0.394	0.627	налаштований
mindful	0.765	0.450	0.725	уважний
mindfulness	0.729	0.635	0.745	уважність
mindless	0.184	0.333	0.153	безглуздий
mine	0.688	0.418	0.578	Шахта
minefield	0.188	0.839	0.684	мінне поле
miner	0.408	0.594	0.644	шахтар
mineral	0.519	0.287	0.605	мінерал
mineralogy	0.551	0.408	0.545	мінералогії
mingle	0.561	0.480	0.434	змішуватися
mingled	0.521	0.392	0.357	змішані
mini	0.421	0.324	0.221	міні
miniature	0.429	0.292	0.204	мініатюрний
minibus	0.439	0.390	0.428	мікроавтобус
minim	0.518	0.208	0.138	мінімум
minimal	0.448	0.147	0.206	мінімальний
minimize	0.360	0.236	0.311	мінімізувати
minimized	0.458	0.137	0.208	зведений до мінімуму
minimum	0.380	0.198	0.194	мінімум
mining	0.633	0.598	0.554	видобуток корисних копалин
minion	0.490	0.430	0.167	міньйон
minister	0.547	0.441	0.892	міністр
ministerial	0.571	0.519	0.660	міністерський
ministry	0.510	0.346	0.717	міністерство
minivan	0.592	0.356	0.452	мінівен
mink	0.560	0.515	0.430	норка
minnow	0.541	0.367	0.364	минь
minor	0.250	0.235	0.175	другорядний
minority	0.310	0.332	0.211	меншість
minstrel	0.458	0.541	0.397	менестрель
mint	0.688	0.221	0.345	м'ята
minty	0.635	0.292	0.361	м'ятний
minuscule	0.396	0.286	0.214	мізерний
minute	0.582	0.279	0.356	хвилина
minutiae	0.323	0.257	0.316	дрібниці
minx	0.448	0.519	0.404	шалун
mir	0.417	0.339	0.355	мир
miracle	0.917	0.607	0.806	чудо
miracles	0.922	0.735	0.692	чудеса
miraculous	0.875	0.706	0.812	чудесний
mirage	0.546	0.487	0.562	міраж
mire	0.344	0.376	0.298	болото
mirror	0.677	0.310	0.438	дзеркало
mirth	0.888	0.640	0.608	веселість
misappropriation	0.097	0.831	0.500	незаконне привласнення
misbehave	0.020	0.847	0.304	погано поводитися
misbehavior	0.031	0.704	0.269	погана поведінка
miscalculation	0.177	0.490	0.353	прорахунок
miscarriage	0.042	0.781	0.312	викидень
miscellaneous	0.531	0.321	0.196	різне
miscellany	0.500	0.412	0.384	різне
mischief	0.385	0.834	0.292	пустощі
mischievous	0.439	0.804	0.472	пустотливий
misconception	0.210	0.557	0.291	помилкове уявлення
misconduct	0.061	0.667	0.304	неправомірна поведінка
misdemeanor	0.210	0.640	0.364	проступок
misdirection	0.131	0.710	0.281	неправильне спрямування
miser	0.208	0.633	0.311	скнара
miserable	0.062	0.461	0.188	жалюгідний
miserably	0.280	0.545	0.150	жалюгідно
misery	0.146	0.378	0.158	нещастя
misfire	0.153	0.453	0.200	осічка
misfit	0.173	0.500	0.393	невідповідність
misfortune	0.094	0.780	0.311	нещастя
misguided	0.280	0.531	0.259	помилковий
mishap	0.071	0.654	0.227	нещасний випадок
misinformed	0.156	0.567	0.250	дезінформований
misinterpretation	0.112	0.556	0.360	неправильне тлумачення
mislead	0.167	0.765	0.412	вводити в оману
misleading	0.070	0.660	0.272	вводить в оману
misled	0.177	0.606	0.353	ввели в оману
mismanagement	0.094	0.520	0.295	безгосподарність
mismatch	0.250	0.459	0.282	невідповідність
mismatched	0.250	0.557	0.302	невідповідність
misnomer	0.296	0.528	0.284	неправильна назва
misplace	0.229	0.461	0.191	недоречний
misplaced	0.247	0.450	0.324	не на місці
misread	0.115	0.558	0.315	неправильно прочитаний
misrepresent	0.198	0.542	0.418	спотворити
misrepresentation	0.323	0.618	0.518	спотворення
misrepresented	0.042	0.519	0.466	неправильно представлені
miss	0.573	0.490	0.408	міс
missile	0.240	0.830	0.764	ракета
missiles	0.070	0.922	0.830	ракети
missing	0.306	0.418	0.222	відсутній
missingyou	0.260	0.471	0.377	сумую за тобою
mission	0.765	0.633	0.870	місія
missionary	0.729	0.404	0.596	місіонерський
misspell	0.292	0.423	0.281	орфографічна помилка
misstatement	0.302	0.547	0.221	спотворення
missy	0.521	0.480	0.333	Місі
mist	0.375	0.194	0.221	туман
mistake	0.208	0.585	0.102	помилка
mistaken	0.131	0.630	0.212	помилявся
mister	0.604	0.406	0.663	пан
mistletoe	0.542	0.470	0.324	омела
mistreated	0.010	0.792	0.200	погано поводилися
mistress	0.630	0.796	0.694	господиня
mistrial	0.427	0.539	0.536	судова помилка
mistrust	0.135	0.657	0.231	недовіра
misty	0.427	0.451	0.278	туманний
misunderstand	0.177	0.548	0.382	неправильно розуміти
misunderstanding	0.112	0.618	0.284	непорозуміння
misunderstood	0.177	0.625	0.309	неправильно зрозумілий
misuse	0.083	0.560	0.196	неправильне використання
mite	0.290	0.584	0.271	кліщ
miter	0.458	0.500	0.414	митра
mitigate	0.506	0.427	0.456	пом'якшити
mitigating	0.551	0.520	0.600	пом'якшення
mitigation	0.448	0.527	0.423	пом'якшення
mitt	0.406	0.183	0.264	рукавиця
mitten	0.531	0.330	0.408	рукавиця
mitzvah	0.422	0.610	0.409	міцва
mix	0.542	0.490	0.472	змішувати
mixed	0.510	0.346	0.444	змішаний
mixedemotions	0.440	0.673	0.430	змішані почуття
mixer	0.562	0.500	0.556	змішувач
mixture	0.546	0.360	0.481	суміш
mnemonic	0.531	0.480	0.452	мнемонічні
moan	0.357	0.735	0.352	стогін
moat	0.398	0.380	0.314	рів
mob	0.296	0.788	0.567	моб
mobile	0.615	0.569	0.481	мобільний
mobility	0.700	0.596	0.654	мобільність
mobilization	0.688	0.720	0.787	мобілізація
mobilize	0.604	0.684	0.727	мобілізувати
mobster	0.188	0.870	0.638	бандит
mocha	0.500	0.396	0.311	мокко
mock	0.360	0.606	0.618	знущатися
mocked	0.225	0.746	0.204	знущався
mockery	0.094	0.806	0.181	насмішка
mocking	0.082	0.755	0.394	насмішкуватий
mockingbird	0.513	0.337	0.423	пересмішник
mod	0.458	0.367	0.384	мод
modal	0.592	0.264	0.461	модальний
modality	0.633	0.404	0.527	модальність
mode	0.531	0.185	0.367	режим
model	0.607	0.388	0.723	модель
modeler	0.500	0.510	0.730	модельєр
modeling	0.684	0.404	0.490	моделювання
modem	0.573	0.355	0.500	модем
moderate	0.582	0.190	0.453	помірний
moderate anticipation	0.667	0.451	0.574	помірне очікування
moderate disgust	0.229	0.558	0.381	помірна огида
moderate negative	0.177	0.500	0.306	помірно негативний
moderate positive	0.896	0.453	0.753	помірно позитивний
moderate surprise	0.776	0.663	0.637	помірна несподіванка
moderate trust	0.677	0.350	0.773	помірна довіра
moderately	0.604	0.264	0.500	помірно
moderating	0.667	0.402	0.783	модерування
moderation	0.531	0.240	0.453	помірність
moderator	0.519	0.354	0.802	модератор
modern	0.855	0.423	0.691	сучасний
modernism	0.760	0.553	0.703	модернізм
modest	0.760	0.130	0.412	скромний
modesty	0.778	0.240	0.500	скромність
modicum	0.234	0.417	0.327	хоча б
modifiable	0.541	0.422	0.373	змінювані
modification	0.480	0.520	0.625	модифікація
modified	0.561	0.458	0.693	змінений
modify	0.458	0.584	0.625	змінювати
modulate	0.673	0.343	0.555	модулювати
modulation	0.458	0.365	0.565	модуляція
module	0.582	0.388	0.571	модуль
modulus	0.622	0.304	0.481	модуль
mogul	0.510	0.652	0.865	магнат
moiety	0.378	0.343	0.454	фрагмент
moist	0.470	0.316	0.386	вологий
moisture	0.406	0.398	0.327	вологи
moisturizer	0.750	0.280	0.386	зволожуючий крем
molar	0.544	0.426	0.350	молярний
molasses	0.490	0.269	0.286	патока
mold	0.330	0.274	0.402	цвіль
molded	0.667	0.361	0.373	формовані
molding	0.552	0.308	0.546	формування
moldy	0.235	0.387	0.250	запліснявілий
mole	0.436	0.377	0.352	моль
molecular	0.495	0.440	0.536	молекулярний
molecule	0.531	0.259	0.375	молекула
molest	0.133	0.816	0.319	приставати
molestation	0.102	0.808	0.407	розбещення
molester	0.143	0.811	0.478	розбещувач
molten	0.417	0.490	0.339	розплавлений
mom	0.927	0.336	0.639	мама
moment	0.604	0.435	0.509	момент
momentary	0.562	0.271	0.330	миттєвий
momentous	0.792	0.587	0.760	знаменний
momentum	0.663	0.750	0.688	імпульс
momma	0.833	0.412	0.527	мама
mommy	0.854	0.353	0.422	мама
monad	0.510	0.482	0.451	монада
monarch	0.583	0.559	0.870	монарх
monarchy	0.450	0.557	0.870	монархія
monastery	0.694	0.183	0.726	монастир
monastic	0.438	0.314	0.676	монастирський
monetary	0.583	0.494	0.716	грошовий
money	0.844	0.608	0.827	гроші
mongoloid	0.177	0.364	0.317	монголоїдний
mongoose	0.327	0.380	0.546	мангуст
mongrel	0.425	0.438	0.395	дворняжка
monitor	0.490	0.298	0.538	монітор
monk	0.472	0.208	0.439	чернець
monkey	0.548	0.449	0.283	мавпа
mono	0.500	0.390	0.273	мононуклеоз
monochrome	0.312	0.292	0.339	монохромний
monogamous	0.510	0.335	0.402	моногамний
monogamy	0.542	0.380	0.455	моногамія
monogram	0.480	0.210	0.425	монограма
monogrammed	0.503	0.270	0.402	з монограмою
monograph	0.500	0.242	0.481	монографія
monolayer	0.427	0.294	0.433	моношар
monolith	0.429	0.327	0.500	моноліт
monologue	0.500	0.284	0.534	монолог
monopolist	0.330	0.590	0.725	монополіст
monopoly	0.449	0.509	0.640	монополія
monotonous	0.354	0.221	0.400	монотонні
monotony	0.398	0.135	0.353	монотонність
monoxide	0.433	0.430	0.490	монооксид
monsieur	0.552	0.340	0.623	месьє
monsoon	0.358	0.600	0.481	мусон
monster	0.133	0.935	0.596	монстр
monstrosity	0.094	0.933	0.611	потворність
monstrous	0.094	0.942	0.649	жахливий
montage	0.438	0.520	0.388	монтаж
monte	0.589	0.330	0.391	монте
month	0.688	0.255	0.411	місяць
monthly	0.622	0.314	0.364	щомісяця
monument	0.833	0.404	0.811	пам'ятник
monumental	0.656	0.594	0.955	монументальний
moo	0.438	0.355	0.300	мукання
mooch	0.378	0.413	0.309	мучитися
mood	0.720	0.500	0.500	настрій
moods	0.578	0.633	0.491	настрої
moody	0.245	0.811	0.595	примхливий
moon	0.673	0.233	0.547	місяць
moonbeam	0.700	0.290	0.491	місячний промінь
moonlight	0.865	0.264	0.409	місячне світло
moonlit	0.873	0.269	0.508	місячне освітлення
moonshine	0.633	0.389	0.491	самогону
moonstruck	0.583	0.438	0.407	вражений місяцем
moonwalk	0.615	0.586	0.525	місячна хода
moor	0.311	0.464	0.378	причалити
moored	0.344	0.500	0.417	пришвартований
mooring	0.323	0.490	0.444	швартування
moorings	0.406	0.500	0.516	причали
moorland	0.490	0.370	0.456	болотиста місцевість
moose	0.648	0.373	0.318	лось
moot	0.344	0.500	0.615	спірний
mooted	0.388	0.580	0.463	обговорений
mop	0.396	0.442	0.296	швабра
mope	0.406	0.309	0.345	сумний
moped	0.582	0.582	0.554	мопед
moral	0.700	0.459	0.796	моральний
morale	0.729	0.158	0.792	моральний дух
morality	0.750	0.408	0.759	мораль
morals	0.646	0.430	0.611	мораль
morass	0.387	0.348	0.375	болото
moratorium	0.337	0.427	0.373	мораторій
moray	0.510	0.402	0.463	мурена
morbid	0.090	0.833	0.395	хворобливий
morbidity	0.370	0.630	0.443	хворобливість
morbidness	0.120	0.694	0.339	хворобливість
mores	0.582	0.317	0.684	звичаї
morgue	0.022	0.539	0.241	морг
moribund	0.083	0.488	0.167	відмираючий
morn	0.542	0.284	0.345	ранок
morning	0.688	0.235	0.444	ранок
moron	0.133	0.587	0.183	виродок
moronic	0.122	0.500	0.224	дебільний
morose	0.240	0.663	0.264	похмурий
morph	0.448	0.469	0.451	морф
morphine	0.229	0.490	0.496	морфін
morphism	0.398	0.549	0.386	морфізм
morphology	0.516	0.373	0.639	морфологія
morrow	0.708	0.314	0.490	завтра
morsel	0.490	0.296	0.400	шматочок
mortal	0.196	0.786	0.510	смертний
mortality	0.229	0.726	0.518	смертність
mortar	0.333	0.627	0.562	розчин
mortgage	0.255	0.408	0.537	іпотека
mortgagee	0.418	0.633	0.723	іпотекодержатель
mortgagor	0.431	0.522	0.490	заставодавець
mortician	0.104	0.429	0.275	похоронник
mortification	0.135	0.644	0.404	умертвіння
mortified	0.073	0.731	0.270	принижений
mortuary	0.133	0.606	0.427	морг
mosaic	0.635	0.250	0.302	мозаїка
mosey	0.521	0.402	0.330	мосі
mosquito	0.229	0.400	0.198	комар
moss	0.235	0.270	0.245	мох
mossy	0.375	0.329	0.286	моховий
mote	0.375	0.388	0.260	порошинка
motel	0.531	0.372	0.450	мотель
moth	0.323	0.350	0.196	моль
mother	0.931	0.408	0.725	мати
motherfucker	0.122	0.827	0.351	піздець
motherfucking	0.071	0.823	0.373	блядь
motherhood	0.844	0.546	0.667	материнство
motherland	0.677	0.375	0.731	Батьківщина
motherless	0.163	0.541	0.337	без матері
motherly	0.927	0.324	0.710	материнський
motif	0.688	0.481	0.527	мотив
motion	0.667	0.538	0.657	руху
motionless	0.323	0.210	0.246	нерухомий
motivate	0.812	0.776	0.873	мотивувати
motivating	0.958	0.820	0.787	мотивуючий
motivation	0.854	0.784	0.802	мотивація
motivational	0.906	0.646	0.858	мотиваційний
motive	0.667	0.588	0.663	мотив
motley	0.480	0.398	0.412	строкатий
motor	0.531	0.551	0.648	двигун
motorbike	0.552	0.608	0.616	мотоцикл
motorboat	0.677	0.500	0.390	моторний човен
motorcade	0.708	0.730	0.593	кортеж
motorcar	0.694	0.565	0.682	легковий автомобіль
motorcycle	0.677	0.764	0.713	мотоцикл
motorist	0.562	0.663	0.578	автомобіліст
motte	0.481	0.389	0.370	motte
mottled	0.380	0.336	0.295	рябий
motto	0.688	0.317	0.439	девіз
mould	0.357	0.176	0.246	цвіль
mound	0.520	0.481	0.509	курган
mount	0.500	0.292	0.348	монтувати
mountain	0.698	0.408	0.649	гора
mountaineer	0.635	0.774	0.535	альпініст
mountainous	0.635	0.519	0.612	гірський
mountains	0.766	0.433	0.569	гори
mountaintop	0.653	0.541	0.713	вершина гори
mourn	0.056	0.583	0.150	оплакувати
mournful	0.180	0.441	0.188	скорботний
mourning	0.177	0.490	0.266	траур
mouse	0.427	0.441	0.206	миша
mousetrap	0.180	0.643	0.330	мишоловка
mousse	0.604	0.336	0.368	мус
moustache	0.470	0.236	0.409	вуса
mousy	0.480	0.413	0.339	мишачий
mouth	0.734	0.294	0.336	рот
mouthful	0.609	0.565	0.389	повний рот
mouthpiece	0.573	0.346	0.393	мундштук
mouthwash	0.438	0.385	0.352	рідина для полоскання рота
movable	0.469	0.509	0.500	рухомий
move	0.656	0.647	0.670	рухатися
movement	0.656	0.654	0.658	рух
mover	0.615	0.539	0.466	рушій
movie	0.792	0.560	0.471	фільм
movies	0.724	0.426	0.472	фільми
moving	0.479	0.673	0.358	переміщення
movingforward	0.857	0.518	0.848	рухатися вперед
movingon	0.490	0.529	0.435	жити далі
mow	0.420	0.559	0.393	косити
mower	0.458	0.510	0.368	косарка
moxie	0.531	0.490	0.366	моксі
mozzarella	0.653	0.265	0.340	моцарела
mri	0.365	0.431	0.349	МРТ
muchneeded	0.438	0.602	0.455	дуже потрібний
mucis	0.398	0.418	0.420	слиз
muck	0.347	0.423	0.272	гидота
mucked	0.184	0.500	0.373	викинуто
mucous	0.330	0.296	0.293	слизова
mucus	0.143	0.309	0.228	слизу
mud	0.333	0.260	0.185	грязь
muddle	0.184	0.710	0.336	плутатися
muddled	0.250	0.615	0.263	заплутаний
muddy	0.292	0.400	0.283	каламутний
muff	0.542	0.335	0.314	муфта
muffin	0.684	0.430	0.306	булочка
muffled	0.479	0.330	0.421	приглушено
muffler	0.357	0.407	0.454	глушник
mug	0.542	0.214	0.382	гуртка
mugger	0.125	0.850	0.500	грабіжник
mulberry	0.469	0.315	0.361	шовковиця
mulch	0.349	0.361	0.383	мульча
mule	0.320	0.337	0.254	мул
mull	0.663	0.340	0.594	обдумати
mullet	0.521	0.356	0.377	кефаль
multilateral	0.500	0.469	0.705	багатосторонній
multimedia	0.611	0.390	0.607	мультимедіа
multinational	0.656	0.510	0.842	багатонаціональний
multiple	0.660	0.510	0.578	багаторазовий
multiple sclerosis	0.188	0.587	0.483	розсіяний склероз
multiplex	0.610	0.590	0.667	мультиплекс
multiplication	0.646	0.565	0.762	множення
multiplicity	0.677	0.490	0.777	кратність
multiplied	0.802	0.559	0.729	помножений
multiplier	0.643	0.615	0.741	множник
multiply	0.802	0.625	0.777	множити
multitude	0.562	0.765	0.847	безліч
mum	0.802	0.317	0.698	мама
mumble	0.292	0.444	0.245	бурмотіти
mumbo	0.429	0.506	0.336	мумбо
mummy	0.400	0.588	0.415	мумія
mumps	0.099	0.410	0.311	паротит
munch	0.541	0.277	0.434	жувати
munchies	0.562	0.470	0.491	їсти
munchkin	0.490	0.466	0.374	манчкін
mundane	0.312	0.420	0.480	буденний
municipal	0.625	0.390	0.758	муніципальний
municipality	0.569	0.280	0.614	муніципалітет
mural	0.551	0.265	0.454	фреска
murder	0.061	0.942	0.615	вбивство
murderer	0.010	0.960	0.650	вбивця
murderess	0.041	0.941	0.462	вбивця
murderous	0.017	0.940	0.682	вбивчий
murky	0.143	0.618	0.370	каламутний
murmur	0.458	0.520	0.200	бурчання
muscle	0.359	0.490	0.645	м'яз
muscular	0.531	0.434	0.577	м'язовий
muse	0.760	0.360	0.509	муза
muses	0.714	0.434	0.571	муз
museum	0.792	0.206	0.481	музей
mush	0.500	0.311	0.125	каша
mushroom	0.490	0.274	0.269	гриб
mushy	0.520	0.200	0.182	кашоподібний
music	0.833	0.563	0.605	музика
musical	0.908	0.630	0.530	музичний
musician	0.816	0.509	0.618	музикант
musing	0.740	0.151	0.465	розмірковуючи
musk	0.469	0.454	0.453	мускус
musket	0.260	0.654	0.510	мушкет
musketeer	0.694	0.569	0.705	мушкетер
muskrat	0.439	0.510	0.368	ондатра
muslin	0.439	0.304	0.352	муслін
muss	0.418	0.438	0.302	мусс
must	0.408	0.382	0.441	повинен
mustang	0.635	0.642	0.708	мустанг
mustard	0.500	0.346	0.275	гірчиця
muster	0.635	0.460	0.548	зібрати
musty	0.354	0.367	0.267	затхлий
mutable	0.426	0.531	0.491	мінливий
mutant	0.337	0.676	0.573	мутант
mutate	0.281	0.548	0.463	мутувати
mutation	0.365	0.625	0.611	мутація
mute	0.271	0.200	0.250	німий
muted	0.260	0.167	0.162	приглушено
mutilate	0.125	0.900	0.465	калічити
mutilated	0.041	0.841	0.356	понівечений
mutilation	0.122	0.782	0.456	каліцтво
mutiny	0.323	0.890	0.549	заколот
mutt	0.418	0.408	0.387	дворняга
mutter	0.406	0.427	0.228	бурмотіти
mutton	0.427	0.283	0.393	баранина
mutual	0.729	0.321	0.464	взаємний
mutually	0.844	0.490	0.582	взаємно
muzzle	0.388	0.430	0.232	морда
myfavorite	0.812	0.587	0.615	мій улюблений
myopia	0.245	0.387	0.226	короткозорість
myopic	0.344	0.396	0.218	короткозорий
myriad	0.480	0.429	0.550	безліч
mysterious	0.448	0.699	0.455	таємничий
mystery	0.417	0.667	0.519	таємниця
mystic	0.643	0.520	0.535	містика
mystical	0.594	0.443	0.689	містичний
mysticism	0.594	0.598	0.423	містика
mystified	0.344	0.600	0.509	містифікований
mystique	0.668	0.633	0.667	містика
myth	0.458	0.432	0.338	міф
mythic	0.635	0.528	0.645	міфічний
mythical	0.625	0.556	0.583	міфічний
mythological	0.760	0.573	0.658	міфологічний
mythology	0.684	0.439	0.688	міфології
nab	0.469	0.544	0.407	наб
nacho	0.667	0.259	0.333	начо
nada	0.250	0.231	0.136	нада
nadir	0.479	0.363	0.424	найнижчий рівень
nag	0.271	0.451	0.472	наг
nail	0.469	0.397	0.282	цвях
nail gun	0.378	0.806	0.574	цвяховий пістолет
naive	0.406	0.260	0.375	наївний
naked	0.323	0.885	0.288	голий
nakedness	0.480	0.760	0.350	нагота
namaste	0.719	0.255	0.464	намасте
name	0.573	0.300	0.415	назва
named	0.562	0.396	0.565	названий
nameless	0.344	0.280	0.164	безіменні
namesake	0.418	0.327	0.404	тезка
naming	0.667	0.410	0.559	іменування
nana	0.765	0.255	0.375	нана
nanny	0.615	0.370	0.528	няня
nanometer	0.375	0.356	0.446	нанометр
nap	0.660	0.098	0.342	дрімати
napalm	0.265	0.580	0.471	напалм
nape	0.427	0.268	0.298	потилицю
napkin	0.469	0.142	0.209	серветка
napping	0.765	0.046	0.306	дрімає
nappy	0.529	0.333	0.207	підгузник
narcissism	0.214	0.639	0.540	нарцисизм
narcissist	0.173	0.614	0.629	самозакоханий
narcissistic	0.323	0.708	0.655	самозакоханий
narcotic	0.102	0.858	0.450	наркотичний
narrate	0.541	0.480	0.473	розповідати
narration	0.622	0.408	0.551	розповідь
narrative	0.580	0.303	0.443	розповідь
