English Word	Valence	Arousal	Dominance	Hausa Word
inadmissible	0.188	0.636	0.389	m
inadvertent	0.365	0.368	0.286	rashin sani
inadvertently	0.302	0.541	0.549	ba da gangan ba
inaffable	0.388	0.518	0.455	m
inalienable	0.437	0.459	0.608	m
inane	0.271	0.350	0.268	inane
inanimate	0.281	0.143	0.224	marar rai
inapplicable	0.281	0.402	0.330	wanda bai dace ba
inappropriate	0.135	0.542	0.353	bai dace ba
inattention	0.208	0.433	0.188	rashin kulawa
inaudible	0.280	0.398	0.358	m
inaugural	0.684	0.567	0.608	na farko
inaugurate	0.781	0.582	0.800	kaddamar
inauguration	0.847	0.712	0.769	bikin rantsar da shi
inborn	0.590	0.288	0.546	haihuwa
inbound	0.531	0.388	0.538	inbound
inbred	0.397	0.520	0.473	inbred
incalculable	0.449	0.620	0.679	m
incandescent	0.354	0.612	0.621	incandescent
incantation	0.439	0.632	0.548	incantation
incapable	0.156	0.529	0.155	m
incapacity	0.052	0.500	0.217	rashin iyawa
incarceration	0.100	0.800	0.397	ɗaurin kurkuku
incarnate	0.552	0.651	0.593	jiki
incase	0.580	0.196	0.365	incase
incendiary	0.281	0.810	0.598	m
incense	0.698	0.275	0.328	turare
incensed	0.338	0.643	0.392	ya fusata
incentive	0.812	0.618	0.718	ƙarfafawa
inception	0.604	0.425	0.561	farkon
incessant	0.438	0.760	0.544	m
incessantly	0.417	0.765	0.606	ba kakkautawa
incest	0.073	0.853	0.491	lalata
incestuous	0.188	0.736	0.442	m
inch	0.481	0.327	0.300	inci
incidence	0.417	0.527	0.429	faruwa
incident	0.084	0.662	0.482	lamarin
incidental	0.281	0.610	0.404	na bazata
incidentally	0.479	0.500	0.500	bazata
incineration	0.229	0.787	0.470	ƙonewa
incinerator	0.250	0.643	0.591	incinerator
incipient	0.442	0.382	0.430	farkon
incision	0.240	0.663	0.558	kaciya
incisive	0.380	0.602	0.545	m
incite	0.449	0.736	0.642	zuga
incitement	0.302	0.943	0.598	tsokana
inclement	0.260	0.676	0.616	rashin lafiya
inclination	0.378	0.490	0.538	karkata
incline	0.490	0.423	0.345	karkata
inclined	0.469	0.347	0.402	karkata
include	0.729	0.449	0.702	hada da
included	0.760	0.402	0.570	hada
including	0.700	0.378	0.518	ciki har da
inclusion	0.774	0.404	0.712	hada
inclusive	0.604	0.420	0.564	m
incognito	0.610	0.490	0.446	incognito
incoherent	0.122	0.612	0.250	m
income	0.750	0.510	0.728	kudin shiga
incoming	0.660	0.509	0.596	mai shigowa
incomparable	0.625	0.577	0.670	maras misaltuwa
incompatible	0.196	0.500	0.310	m
incompetence	0.077	0.551	0.208	rashin iyawa
incompetent	0.133	0.566	0.239	rashin iyawa
incomplete	0.153	0.370	0.205	bai cika ba
incompletely	0.344	0.442	0.232	rashin cikawa
incompleteness	0.271	0.451	0.234	rashin cikawa
incomprehensible	0.250	0.550	0.344	rashin fahimta
inconceivable	0.198	0.552	0.561	wanda ba za a iya tunani ba
inconclusive	0.153	0.442	0.340	m
incongruous	0.177	0.504	0.343	m
inconsequential	0.250	0.480	0.345	m
inconsiderate	0.224	0.519	0.423	rashin la'akari
inconsistency	0.125	0.480	0.314	rashin daidaito
inconsistent	0.271	0.431	0.295	m
inconspicuous	0.604	0.214	0.368	m
incontinence	0.150	0.598	0.272	rashin natsuwa
inconvenience	0.063	0.667	0.291	rashin jin daɗi
inconvenient	0.224	0.610	0.375	m
incorporate	0.745	0.612	0.571	hada
incorporation	0.573	0.404	0.768	hadewa
incorrect	0.140	0.569	0.255	ba daidai ba
incorrigible	0.130	0.667	0.500	marar kuskure
increase	0.810	0.657	0.886	karuwa
increased	0.684	0.660	0.773	ya karu
incredible	0.857	0.796	0.902	m
incredulous	0.286	0.510	0.269	m
increment	0.684	0.637	0.750	karuwa
incriminate	0.188	0.810	0.416	laifi
incriminating	0.133	0.788	0.500	m
incrimination	0.152	0.865	0.545	laifi
incubation	0.461	0.490	0.397	shiryawa
incubator	0.510	0.435	0.405	incubator
incubus	0.458	0.529	0.482	incubus
incumbent	0.396	0.540	0.565	mai ci
incur	0.312	0.667	0.495	jawowa
incurable	0.104	0.667	0.255	m
incursion	0.552	0.830	0.719	kutsawa
indebted	0.138	0.698	0.275	bashi
indecency	0.135	0.670	0.491	rashin ladabi
indecent	0.083	0.683	0.240	rashin mutunci
indecision	0.184	0.480	0.196	rashin yanke shawara
indecisive	0.271	0.420	0.190	m
indefensible	0.173	0.647	0.484	m
indefinite	0.448	0.292	0.296	marar iyaka
indelible	0.490	0.337	0.591	maras sharewa
indemnification	0.521	0.490	0.770	ramuwa
indemnify	0.449	0.548	0.613	ramuwa
indemnity	0.470	0.607	0.692	laifi
indent	0.479	0.346	0.379	ciki
indentation	0.374	0.500	0.349	shigar ciki
indenture	0.434	0.382	0.636	abun ciki
independence	0.896	0.663	0.911	'yancin kai
independent	0.885	0.440	0.872	mai zaman kansa
indescribable	0.448	0.529	0.648	maras misaltuwa
indestructible	0.772	0.731	0.853	marar lalacewa
indeterminate	0.360	0.402	0.322	m
index	0.448	0.268	0.342	index
indicate	0.594	0.350	0.676	nuna
indicating	0.745	0.339	0.555	nuni
indication	0.719	0.432	0.750	nuni
indicative	0.510	0.510	0.591	m
indicator	0.573	0.451	0.670	nuna alama
indice	0.469	0.377	0.541	nuni
indict	0.188	0.731	0.458	tuhuma
indictment	0.245	0.745	0.577	tuhuma
indie	0.479	0.368	0.430	indie
indifference	0.265	0.417	0.299	rashin kulawa
indifferent	0.396	0.157	0.250	m
indigenous	0.500	0.509	0.552	na asali
indigent	0.156	0.481	0.223	m
indigestion	0.204	0.610	0.182	rashin narkewar abinci
indignant	0.260	0.600	0.423	bacin rai
indignation	0.173	0.778	0.431	fushi
indignity	0.167	0.500	0.306	rashin mutunci
indigo	0.514	0.365	0.473	indigo
indirect	0.385	0.402	0.330	kaikaice
indiscreet	0.177	0.587	0.342	rashin hankali
indiscretion	0.265	0.637	0.390	rashin hankali
indispensable	0.710	0.449	0.802	ba makawa
indisposed	0.122	0.519	0.206	m
indistinct	0.255	0.340	0.360	m
indistinguishable	0.346	0.458	0.548	m
individual	0.627	0.327	0.533	mutum guda
individuality	0.612	0.469	0.527	mutuntaka
indivisible	0.646	0.398	0.580	marar ganuwa
indoctrination	0.327	0.657	0.698	indoctrination
indolent	0.177	0.381	0.259	m
indomitable	0.458	0.800	0.830	m
indoor	0.615	0.245	0.347	cikin gida
induce	0.257	0.606	0.684	jawo
induced	0.397	0.471	0.491	jawo
inducement	0.647	0.765	0.685	jawo hankali
induction	0.392	0.593	0.627	gabatarwa
indulge	0.833	0.716	0.669	shigar
indulgence	0.479	0.490	0.517	sha'awa
indulgent	0.560	0.481	0.529	m
industrial	0.469	0.600	0.875	masana'antu
industrialist	0.562	0.633	0.843	masanin masana'antu
industrious	0.720	0.537	0.791	m
industry	0.650	0.447	0.836	masana'antu
ineffable	0.551	0.577	0.585	m
ineffective	0.093	0.422	0.094	m
ineffectual	0.163	0.412	0.200	m
inefficiency	0.092	0.466	0.181	rashin iya aiki
inefficient	0.190	0.460	0.173	rashin inganci
inelastic	0.396	0.426	0.385	rashin ƙarfi
ineligible	0.143	0.377	0.457	m
inept	0.156	0.418	0.209	inept
ineptitude	0.177	0.471	0.250	rashin kuskure
inequality	0.122	0.575	0.259	rashin daidaito
inequitable	0.281	0.519	0.373	rashin adalci
inert	0.323	0.180	0.319	rashin aiki
inertia	0.344	0.288	0.322	rashin aiki
inevitable	0.316	0.419	0.623	babu makawa
inexact	0.153	0.459	0.170	m
inexcusable	0.271	0.582	0.546	m
inexhaustible	0.602	0.541	0.643	m
inexpensive	0.694	0.414	0.260	m
inexperience	0.208	0.614	0.151	rashin kwarewa
inexperienced	0.281	0.473	0.231	rashin kwarewa
inexplicable	0.224	0.635	0.443	m
inexpressible	0.198	0.608	0.364	m
infallibility	0.583	0.663	0.764	rashin kuskure
infallible	0.776	0.687	0.809	ma'asumi
infamous	0.146	0.580	0.472	m
infamy	0.177	0.676	0.421	rashin mutunci
infancy	0.750	0.399	0.370	jariri
infant	0.802	0.431	0.328	jariri
infanticide	0.167	0.856	0.443	kisan gilla
infantile	0.604	0.382	0.259	jariri
infantry	0.531	0.684	0.791	sojan kasa
infarct	0.080	0.846	0.386	ciwon ciki
infatuated	0.729	0.764	0.417	m
infatuation	0.844	0.745	0.530	soyayya
infeasible	0.245	0.472	0.236	m
infect	0.102	0.777	0.424	harba
infection	0.083	0.735	0.407	kamuwa da cuta
infectious	0.142	0.760	0.422	m
infer	0.449	0.490	0.453	zurfafa
inference	0.359	0.479	0.398	ra'ayi
inferential	0.426	0.451	0.455	m
inferior	0.260	0.254	0.106	m
inferiority	0.177	0.430	0.205	kasanci
infernal	0.083	0.837	0.571	na ciki
inferno	0.051	0.857	0.463	zafi
infertile	0.274	0.458	0.255	marar haihuwa
infertility	0.170	0.664	0.328	rashin haihuwa
infestation	0.256	0.776	0.527	kamuwa da cuta
infidel	0.177	0.740	0.404	kafiri
infidelity	0.062	0.777	0.392	kafirci
infield	0.510	0.571	0.438	infield
infiltrate	0.408	0.745	0.587	kutsawa
infiltration	0.265	0.792	0.536	kutsawa
infinite	0.724	0.583	0.735	marar iyaka
infinitely	0.688	0.643	0.829	marar iyaka
infinitesimal	0.388	0.472	0.496	maras iyaka
infinity	0.516	0.459	0.805	rashin iyaka
infirm	0.115	0.521	0.210	marasa lafiya
infirmary	0.500	0.438	0.517	na rashin lafiya
infirmity	0.094	0.482	0.252	rashin lafiya
inflammation	0.146	0.765	0.423	kumburi
inflammatory	0.177	0.642	0.404	mai kumburi
inflatable	0.510	0.510	0.400	inflatable
inflate	0.305	0.569	0.462	kumbura
inflated	0.303	0.431	0.617	kumbura
inflation	0.219	0.792	0.508	hauhawar farashin kaya
inflection	0.385	0.635	0.377	juzu'i
inflict	0.167	0.760	0.609	yi
infliction	0.302	0.722	0.571	ciwo
inflorescence	0.459	0.344	0.412	inflorescence
influence	0.622	0.663	0.824	tasiri
influential	0.899	0.688	0.944	m
influenza	0.271	0.718	0.321	mura
influx	0.622	0.635	0.575	shigowa
info	0.750	0.330	0.642	bayani
infomercial	0.427	0.462	0.555	m
inform	0.723	0.582	0.679	sanarwa
informal	0.480	0.398	0.441	na yau da kullun
informant	0.604	0.612	0.719	mai ba da labari
information	0.765	0.370	0.711	bayani
informative	0.812	0.419	0.741	m
informed	0.543	0.298	0.617	sanarwa
informer	0.521	0.578	0.580	mai ba da labari
infraction	0.245	0.660	0.471	cin zarafi
infrared	0.469	0.588	0.526	infrared
infrastructure	0.604	0.460	0.694	kayayyakin more rayuwa
infrequent	0.312	0.377	0.192	m
infrequently	0.204	0.250	0.327	akai-akai
infringement	0.153	0.800	0.481	cin zarafi
infuriate	0.102	0.934	0.596	fushi
infuriated	0.073	0.930	0.510	ya fusata
infuriates	0.135	0.913	0.627	ya fusata
infuriating	0.139	0.870	0.509	mai ban haushi
infuse	0.380	0.705	0.589	saka
infused	0.385	0.473	0.546	cusa
infuser	0.469	0.433	0.536	infuser
infusion	0.583	0.365	0.453	jiko
ingenious	0.760	0.690	0.891	m
ingenuity	0.708	0.590	0.868	basira
ingest	0.510	0.559	0.473	ciki
ingestion	0.429	0.612	0.512	ciki
ingot	0.688	0.444	0.615	ingot
ingrained	0.531	0.490	0.712	m
ingrate	0.235	0.606	0.327	rashin kunya
ingredient	0.792	0.373	0.451	sashi
ingress	0.601	0.366	0.736	shiga
inhabit	0.656	0.378	0.556	zauna
inhabitant	0.604	0.356	0.519	mazauni
inhabited	0.667	0.361	0.510	zama
inhabiting	0.458	0.440	0.598	zama
inhalation	0.510	0.613	0.464	inhalation
inhale	0.427	0.340	0.492	shaka
inhaler	0.408	0.500	0.349	inhaler
inherent	0.562	0.439	0.480	na asali
inherit	0.745	0.546	0.694	gado
inheritance	0.900	0.565	0.798	gado
inhibit	0.167	0.479	0.447	hana
inhibition	0.265	0.392	0.534	hanawa
inhibitor	0.281	0.450	0.471	mai hanawa
inhospitable	0.265	0.531	0.395	m
inhuman	0.107	0.660	0.492	rashin mutuntaka
inhumane	0.104	0.587	0.402	rashin mutuntaka
inhumanity	0.143	0.540	0.405	rashin mutuntaka
inimaginable	0.542	0.636	0.534	m
inimical	0.260	0.823	0.556	m
inimitable	0.571	0.413	0.790	m
iniquity	0.219	0.567	0.425	zalunci
initial	0.583	0.314	0.539	na farko
initiate	0.719	0.480	0.553	fara
initiated	0.760	0.490	0.650	qaddamar
initiation	0.698	0.529	0.527	qaddamarwa
initiative	0.833	0.615	0.768	himma
inject	0.406	0.735	0.596	allura
injection	0.281	0.741	0.518	allura
injunction	0.281	0.422	0.519	umarni
injure	0.177	0.710	0.364	raunata
injured	0.083	0.680	0.302	rauni
injuring	0.073	0.790	0.245	raunata
injurious	0.177	0.759	0.366	m
injury	0.049	0.769	0.287	rauni
injustice	0.082	0.755	0.444	zalunci
ink	0.471	0.408	0.235	tawada
inkling	0.448	0.551	0.570	inkling
inland	0.510	0.417	0.423	cikin ƙasa
inlay	0.406	0.531	0.565	inlay
inlet	0.646	0.378	0.466	shiga
inmate	0.235	0.663	0.398	fursuna
inn	0.660	0.284	0.475	masauki
innards	0.302	0.480	0.400	ciki
innate	0.490	0.400	0.521	na asali
inner	0.551	0.216	0.443	ciki
innermost	0.583	0.500	0.510	ciki
innerpeace	0.714	0.318	0.551	kwanciyar hankali
inning	0.602	0.315	0.520	inning
innings	0.573	0.487	0.443	innings
innkeeper	0.578	0.224	0.472	mai kula da masauki
innocence	0.802	0.260	0.307	rashin laifi
innocent	0.729	0.206	0.340	marar laifi
innocently	0.776	0.250	0.302	marar laifi
innocuous	0.510	0.321	0.172	m
innovate	0.898	0.872	0.750	sabunta
innovation	0.949	0.680	0.890	bidi'a
innovative	0.880	0.640	0.830	m
innuendo	0.467	0.670	0.463	rashin hankali
innumerable	0.667	0.445	0.704	marasa adadi
inoculation	0.333	0.570	0.598	allurar rigakafi
inoperable	0.184	0.422	0.304	rashin aiki
inoperative	0.138	0.425	0.273	rashin aiki
inordinate	0.163	0.630	0.330	m
inorganic	0.385	0.345	0.282	inorganic
input	0.643	0.337	0.527	shigarwa
inquest	0.458	0.569	0.721	bincike
inquire	0.583	0.519	0.363	tambaya
inquirer	0.573	0.598	0.776	mai tambaya
inquiring	0.479	0.510	0.500	tambaya
inquiry	0.541	0.420	0.536	tambaya
inquisitive	0.301	0.637	0.615	m
inquisitor	0.385	0.873	0.642	mai tambaya
insane	0.062	0.670	0.265	hauka
insanity	0.098	0.847	0.337	hauka
insatiable	0.375	0.656	0.558	m
inscription	0.592	0.422	0.542	rubutu
inscrutable	0.459	0.541	0.613	m
insect	0.276	0.633	0.242	kwari
insecticide	0.188	0.598	0.430	maganin kashe kwari
insecure	0.114	0.538	0.132	rashin tsaro
insecurity	0.094	0.647	0.350	rashin tsaro
insemination	0.542	0.644	0.622	nono
insensitive	0.219	0.471	0.302	m
inseparable	0.700	0.520	0.571	m
insert	0.481	0.552	0.519	saka
inserted	0.479	0.402	0.476	shigar
insertion	0.521	0.520	0.565	shigar
inside	0.612	0.404	0.472	ciki
insider	0.625	0.562	0.750	mai ciki
insidious	0.146	0.622	0.480	m
insight	0.613	0.363	0.649	basira
insightful	0.664	0.691	0.713	m
insignia	0.665	0.282	0.685	alamar alama
insignificance	0.250	0.216	0.222	rashin muhimmanci
insignificant	0.083	0.306	0.114	maras muhimmanci
insinuate	0.292	0.635	0.413	zuci
insipid	0.214	0.250	0.241	m
insist	0.635	0.651	0.688	nace
insistence	0.418	0.704	0.645	nace
insistent	0.552	0.635	0.701	nace
insists	0.490	0.587	0.610	nace
insolence	0.115	0.731	0.402	rashin kunya
insolent	0.112	0.663	0.343	rashin kunya
insoluble	0.439	0.290	0.414	marar narkewa
insolvency	0.323	0.431	0.300	rashin biyan kuɗi
insolvent	0.230	0.481	0.318	rashin warwarewa
insomnia	0.198	0.611	0.373	rashin barci
insomniac	0.231	0.367	0.329	rashin barci
inspect	0.479	0.603	0.793	duba
inspection	0.459	0.630	0.718	dubawa
inspector	0.418	0.580	0.852	inspector
inspiration	0.938	0.600	0.779	wahayi
inspirational	0.927	0.720	0.810	ilhama
inspire	0.918	0.627	0.759	wahayi
inspired	0.967	0.702	0.736	wahayi
instability	0.177	0.760	0.353	rashin zaman lafiya
install	0.630	0.583	0.736	shigar
installation	0.656	0.469	0.759	shigarwa
installment	0.619	0.396	0.483	kashi-kashi
instance	0.547	0.450	0.558	misali
instant	0.766	0.454	0.554	nan take
instantaneous	0.750	0.500	0.585	nan take
instantaneously	0.656	0.640	0.600	nan take
instigate	0.278	0.765	0.642	zuga
instigation	0.323	0.769	0.648	zuga
instill	0.562	0.490	0.618	sanya
instinct	0.771	0.602	0.642	ilhami
instinctive	0.752	0.575	0.694	ilhami
institute	0.604	0.480	0.807	institute
institution	0.580	0.311	0.790	cibiyar
instruct	0.729	0.490	0.833	koyarwa
instructed	0.740	0.388	0.722	umarni
instruction	0.656	0.434	0.736	umarni
instructional	0.698	0.500	0.773	na koyarwa
instructions	0.582	0.302	0.556	umarnin
instructive	0.583	0.420	0.643	m
instructor	0.771	0.490	0.782	malami
instrument	0.562	0.537	0.655	kayan aiki
instrumental	0.740	0.472	0.647	kayan aiki
instrumentalist	0.656	0.540	0.740	kayan aiki
instrumentality	0.637	0.510	0.618	kayan aiki
insubordination	0.281	0.775	0.634	rashin biyayya
insufferable	0.220	0.784	0.291	m
insufficiency	0.115	0.431	0.210	rashin wadatarwa
insufficient	0.188	0.380	0.093	rashin isa
insufficiently	0.147	0.509	0.198	rashin wadatarwa
insular	0.531	0.426	0.465	insular
insulate	0.365	0.358	0.286	rufi
insulated	0.208	0.265	0.304	mai rufi
insulation	0.245	0.327	0.264	rufi
insulin	0.429	0.472	0.375	insulin
insult	0.085	0.831	0.389	zagi
insulting	0.094	0.840	0.412	zagi
insurance	0.714	0.308	0.825	inshora
insure	0.700	0.415	0.698	inshora
insurgent	0.235	0.735	0.660	masu tayar da kayar baya
insurmountable	0.620	0.627	0.737	wanda ba a iya jurewa
insurrection	0.229	0.706	0.582	tawaye
intact	0.716	0.212	0.602	m
intake	0.604	0.527	0.442	ci
intangible	0.525	0.480	0.473	m
integer	0.573	0.327	0.595	lamba
integral	0.590	0.337	0.615	m
integrate	0.729	0.390	0.700	haɗaka
integration	0.771	0.480	0.737	hadewa
integrity	0.865	0.413	0.848	mutunci
intellect	0.844	0.418	0.870	hankali
intellectual	0.906	0.455	0.845	hankali
intelligence	0.833	0.587	0.885	hankali
intelligent	0.917	0.541	0.868	mai hankali
intelligibility	0.740	0.481	0.689	hankali
intelligible	0.635	0.480	0.691	m
intend	0.562	0.520	0.519	nufi
intended	0.406	0.542	0.587	nufi
intending	0.510	0.567	0.597	niyya
intense	0.592	0.774	0.679	mai tsanani
intensely	0.694	0.846	0.750	tsanani
intensify	0.604	0.870	0.737	ƙara
intensity	0.622	0.930	0.952	tsanani
intensive	0.570	0.842	0.776	m
intent	0.550	0.481	0.500	niyya
intention	0.531	0.480	0.636	niyya
intentional	0.650	0.615	0.750	na ganganci
intentionally	0.450	0.676	0.696	da gangan
inter	0.510	0.375	0.466	inter
interact	0.822	0.690	0.759	mu'amala
interaction	0.646	0.735	0.750	hulɗa
interactive	0.727	0.811	0.770	m
intercede	0.582	0.577	0.630	cẽto
intercept	0.221	0.660	0.676	shiga tsakani
interception	0.327	0.673	0.643	tsangwama
intercession	0.503	0.486	0.598	cẽto
interchange	0.615	0.527	0.565	musanya
interchangeable	0.615	0.459	0.526	m
interchanged	0.396	0.472	0.434	musanya
intercom	0.623	0.429	0.453	intercom
intercourse	0.551	0.608	0.557	saduwa
interdependence	0.608	0.618	0.639	dogaro da juna
interdependent	0.410	0.482	0.598	dogara da juna
interdiction	0.337	0.500	0.585	tsakani
interest	0.780	0.667	0.618	sha'awa
interested	0.750	0.529	0.725	sha'awar
interesting	0.927	0.726	0.731	ban sha'awa
interface	0.643	0.357	0.600	dubawa
interfere	0.323	0.714	0.471	tsoma baki
interference	0.396	0.736	0.357	tsangwama
interferometer	0.510	0.510	0.517	interferometer
intergalactic	0.562	0.661	0.741	intergalactic
interim	0.604	0.400	0.524	na wucin gadi
interior	0.618	0.157	0.462	ciki
interject	0.333	0.648	0.658	shiga tsakani
interlocutory	0.490	0.500	0.527	interlocutory
interlude	0.470	0.417	0.377	shiga tsakani
intermediary	0.427	0.510	0.643	tsaka-tsaki
intermediate	0.480	0.368	0.400	tsaka-tsaki
interment	0.235	0.608	0.346	shiga tsakani
interminable	0.327	0.481	0.561	m
intermission	0.490	0.360	0.402	tsaiko
intermittent	0.337	0.565	0.436	m
intern	0.459	0.460	0.392	ƙwararren malami
internal	0.439	0.349	0.423	na ciki
internally	0.615	0.400	0.616	na ciki
international	0.800	0.519	0.702	na duniya
internet	0.760	0.462	0.755	intanet
internship	0.590	0.510	0.482	horon horo
interoffice	0.439	0.375	0.556	ofishin sadarwa
interpolate	0.460	0.490	0.569	interpolate
interpolation	0.419	0.506	0.528	interpolation
interpret	0.646	0.625	0.673	fassara
interpretation	0.677	0.594	0.620	fassara
interpreter	0.708	0.461	0.596	mai fassara
interpretive	0.531	0.549	0.595	m
interrelated	0.615	0.469	0.592	masu alaƙa
interrogate	0.323	0.808	0.680	yi tambaya
interrogation	0.302	0.827	0.657	tambayoyi
interrupt	0.210	0.635	0.509	katse
interrupted	0.281	0.559	0.333	katse
interrupting	0.146	0.593	0.509	katsewa
interruption	0.184	0.632	0.425	katsewa
interrupts	0.204	0.545	0.389	katsewa
intersect	0.521	0.510	0.480	shiga tsakani
intersection	0.344	0.541	0.658	mahada
interstate	0.520	0.443	0.600	Interstate
interstellar	0.708	0.702	0.622	interstellar
interstitial	0.333	0.471	0.534	interstitial
interval	0.510	0.284	0.400	tazara
intervene	0.520	0.677	0.768	shiga tsakani
intervening	0.398	0.627	0.442	shiga tsakani
intervention	0.388	0.696	0.689	shiga tsakani
interview	0.573	0.770	0.619	hira
interviewer	0.552	0.736	0.816	mai hira
interworking	0.552	0.587	0.691	aiki tare
intestate	0.459	0.467	0.415	dangantaka
intestinal	0.357	0.531	0.370	na hanji
intestine	0.343	0.450	0.380	hanji
intestines	0.292	0.547	0.398	hanji
intimacy	0.857	0.802	0.558	kusanci
intimate	0.724	0.598	0.393	m
intimately	0.806	0.573	0.590	m
intimation	0.406	0.673	0.500	tsoratarwa
intimidate	0.210	0.804	0.632	tsoratarwa
intimidated	0.177	0.663	0.208	tsoratarwa
intimidating	0.229	0.790	0.708	ban tsoro
intimidation	0.177	0.791	0.644	tsoratarwa
intolerable	0.146	0.660	0.439	m
intolerance	0.052	0.704	0.520	rashin haƙuri
intolerant	0.135	0.676	0.509	m
intonation	0.615	0.442	0.598	yin magana
intoxicated	0.079	0.824	0.246	maye
intoxicating	0.224	0.760	0.464	mai maye
intoxication	0.323	0.710	0.400	maye
intracranial	0.281	0.602	0.553	intracranial
intractable	0.154	0.694	0.302	m
intramural	0.490	0.464	0.447	intramural
intravenous	0.357	0.538	0.458	na jijiya
intrepid	0.753	0.696	0.637	m
intricate	0.559	0.704	0.500	m
intrigue	0.362	0.830	0.327	makirci
intriguing	0.422	0.713	0.462	m
intrinsic	0.406	0.471	0.526	na ciki
intrinsically	0.459	0.382	0.538	na ciki
intro	0.510	0.331	0.657	intro
introduce	0.592	0.559	0.648	gabatar
introduction	0.612	0.413	0.640	gabatarwa
introductory	0.635	0.368	0.593	gabatarwa
introspection	0.603	0.337	0.575	introspection
introspective	0.552	0.360	0.471	introspective
intrude	0.058	0.735	0.480	kutsawa
intruder	0.146	0.740	0.324	mai kutse
intrusion	0.293	0.641	0.670	kutsawa
intrusive	0.461	0.607	0.538	m
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	hankali
intuitive	0.771	0.573	0.690	ilhama
intuitively	0.670	0.561	0.648	cikin fahimta
inundation	0.177	0.780	0.455	ambaliya
invade	0.408	0.892	0.714	mamayewa
invader	0.200	0.827	0.618	mamaya
invalid	0.180	0.330	0.255	mara inganci
invalidate	0.315	0.480	0.397	bata
invalidation	0.181	0.490	0.278	rashin inganci
invalidity	0.186	0.394	0.158	rashin inganci
invaluable	0.740	0.500	0.745	m
invariably	0.458	0.365	0.550	kullum
invasion	0.271	0.843	0.808	mamayewa
invasive	0.194	0.730	0.598	m
invent	0.719	0.689	0.833	ƙirƙira
invention	0.714	0.577	0.811	ƙirƙira
inventive	0.780	0.627	0.721	ƙirƙira
inventor	0.781	0.667	0.847	mai ƙirƙira
inventory	0.594	0.463	0.490	kaya
inverse	0.459	0.337	0.319	juzu'i
inversely	0.286	0.418	0.351	inversely
inversion	0.602	0.630	0.772	juyawa
invert	0.510	0.585	0.706	juya
inverted	0.310	0.471	0.357	juya
invest	0.650	0.663	0.682	zuba jari
investigate	0.640	0.500	0.781	bincike
investigation	0.531	0.592	0.820	bincike
investigative	0.562	0.600	0.704	bincike
investigator	0.615	0.509	0.779	mai bincike
investment	0.720	0.592	0.745	zuba jari
investor	0.794	0.655	0.791	mai saka jari
invidious	0.112	0.650	0.364	m
invigorate	0.821	0.798	0.831	karfafa
invincible	0.867	0.853	0.914	m
invisibility	0.438	0.461	0.382	ganuwa
invisible	0.417	0.345	0.412	ganuwa
invitation	0.802	0.549	0.647	gayyata
invite	0.745	0.655	0.611	gayyata
inviting	0.938	0.571	0.538	gayyata
invocation	0.430	0.620	0.673	kira
invoice	0.480	0.380	0.474	daftari
invoke	0.583	0.740	0.579	kira
involuntary	0.354	0.490	0.231	na son rai
involution	0.296	0.420	0.407	juyin halitta
involve	0.694	0.490	0.728	shigar da
involvement	0.760	0.620	0.696	sa hannu
invulnerable	0.552	0.683	0.745	m
inwards	0.490	0.385	0.438	ciki
iodine	0.390	0.265	0.333	aidin
ion	0.429	0.330	0.408	ion
iota	0.344	0.385	0.314	iota
irate	0.188	0.852	0.474	fushi
ire	0.198	0.740	0.575	ire
iridescent	0.602	0.588	0.539	mai ban mamaki
iris	0.708	0.275	0.380	iris
irked	0.164	0.791	0.353	ban haushi
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	baƙin ƙarfe
ironclad	0.561	0.648	0.679	baƙin ƙarfe
ironic	0.435	0.550	0.500	m
irons	0.531	0.441	0.625	baƙin ƙarfe
irony	0.390	0.587	0.508	m
irradiation	0.385	0.736	0.509	hasken wuta
irrational	0.125	0.648	0.394	rashin hankali
irrationality	0.198	0.735	0.361	rashin hankali
irreconcilable	0.146	0.667	0.375	m
irreducible	0.296	0.455	0.569	irreducible
irrefutable	0.496	0.549	0.716	m
irregular	0.312	0.548	0.321	rashin daidaituwa
irregularity	0.104	0.647	0.306	rashin bin ka'ida
irregularly	0.292	0.565	0.397	ba bisa ka'ida ba
irrelevant	0.138	0.311	0.296	maras dacewa
irreparable	0.061	0.530	0.430	wanda ba a iya gyarawa
irreplaceable	0.479	0.580	0.833	wanda ba a iya maye gurbinsa ba
irrepressible	0.512	0.566	0.745	m
irresistible	0.823	0.833	0.839	m
irrespective	0.497	0.538	0.745	ba tare da la'akari ba
irresponsible	0.177	0.680	0.241	m
irreverent	0.191	0.694	0.634	rashin girmamawa
irreversible	0.170	0.541	0.667	wanda ba zai iya jurewa ba
irrevocable	0.296	0.560	0.712	wanda ba a iya sokewa
irrigate	0.272	0.458	0.490	ban ruwa
irrigation	0.259	0.426	0.426	ban ruwa
irritability	0.146	0.853	0.283	bacin rai
irritable	0.112	0.952	0.462	m
irritate	0.167	0.890	0.368	haushi
irritated	0.210	0.816	0.281	haushi
irritates	0.173	0.810	0.295	haushi
irritating	0.104	0.912	0.393	mai ban haushi
irritation	0.073	0.833	0.496	haushi
island	0.745	0.347	0.432	tsibirin
